Fp1   3,9289 3,8661 3,5411 2,8241 1,6720 0,2331 -1,2174 -2,4404 -3,3296 -3,8739 -4,0580 -3,8260 -3,1526 -2,1330 -0,9897 0,0150 0,6891 0,9623 0,8762 0,5647 0,2219 0,0088 -0,0396 0,0185 0,1479 0,3663 0,6517 0,8726 0,8475 0,4607 -0,2541 -1,0679 -1,5993 -1,4931 -0,6236 0,8210 2,4024 3,5959 4,0057 3,5457 2,4614 1,1531 -0,0416 -0,9310 -1,4439 -1,6050 -1,5428 -1,4763 -1,6122 -2,0027 -2,4998 -2,8362 -2,7444 -2,0616 -0,8214 0,7232 2,2165 3,4042 4,2770 5,0392 5,9232 7,0108 8,1681 9,0920 9,4577 9,0854 8,0044 6,4067 4,5483 2,6332 0,7564 -1,0202 -2,5491 -3,6012 -4,0098 -3,7913 -3,1259 -2,2358 -1,2636 -0,2212 0,9646 2,3448 3,8481 5,2496 6,2380 6,5531 6,1236 5,1305 3,9406 2,9215 2,2556 1,8752 1,5249 0,9314 0,0321 -0,9166 -1,4947 -1,4201 -0,7288 0,2898 1,3015 2,1000 2,6371 2,9356 3,0060 2,8355 2,4002 1,6907 0,7834 -0,1157 -0,7424 -0,9019 -0,5505 0,1886 1,0681 1,7773 1,9852 1,4482 0,2196 -1,2454 -2,2894 -2,4103 -1,4718 0,3063 2,4767 4,5358 6,1092 7,0705 7,4907 7,4511 6,9204 5,8471 4,3441 2,7223 1,3306 0,3816 -0,0828 -0,1159 0,2018 0,7797 1,5243 2,3788 3,3733 4,6198 6,2064 8,0752 9,9917 11,5730 12,3508 11,9531 10,3362 7,8462 5,0651 2,6002 0,9542 0,4832 1,3467 3,4029 6,1560 8,8651 10,7858 11,4301 10,7214 8,9662 6,6858 4,4493 2,7732 2,0613 2,5453 4,2265 6,8573 9,9640 12,9142 15,1018 16,2044 16,2661 15,5233 14,2014 12,4833 10,6139 8,9590 7,8784 7,5164 7,7285 8,1860 8,5333 8,4974 7,9266 6,8124 5,3393 3,8743 2,8178 2,4269 2,7633 3,7557 5,2417 6,9290 8,3743 9,1136 8,9056 7,8656 6,3641 4,8239 3,5769 2,7807 2,3771 2,1453 1,8583 1,4604 1,1173 1,0963 1,6222 2,8195 4,6827 7,0501 9,6045 11,8905 13,3758 13,6153 12,4600 10,1662 7,3195 4,5889 2,4467 1,0541 0,3635 0,2824 0,7430 1,6514 2,8067 3,9093 4,6791 4,9864 4,9158 4,7212 4,6748 4,9073 5,3635 5,8776 6,2799 6,4484 6,3158 5,9153 5,4203 5,0518 4,9161 4,9496 4,9889 4,8903 4,6299 4,3162 4,0909 4,0227 4,0997 4,2829 4,5438 4,8650 5,2015 5,4498 5,4888 5,2488 4,7357 4,0032 3,1110 2,1274 1,1721 0,4203 0,0239 -0,0056 0,1537 0,2230 0,0115 -0,4418 -0,8979 -1,0858 -0,8876 -0,4117 0,1177 0,5564 0,9356 1,3880 2,0234 2,8744 3,8978 4,9801 5,9576 6,6499 6,8979 6,6486 6,0601 5,4662 5,1614 5,2063 5,4030 5,4228 5,0106 4,1473 3,0617 2,1039 1,5557 1,4827 1,7347 2,0870 2,3816 2,5744 2,7250 2,9492 3,3108 3,7209 3,9715 3,8769 3,3867 2,6250 1,8572 1,3751 1,3511 1,7545 2,3778 2,9591 3,3127 3,3811 3,2006 2,8308 2,3081 1,6813 1,1041 0,8377 1,1016 1,9300 3,1991 4,7537 6,4561 8,1475 9,6235 10,6350 10,9140 10,2490 8,5987 6,1926 3,5151 1,1255 -0,5651 -1,3815 -1,3081 -0,3955 1,2212 3,2710 5,4131 7,3950 9,1396 10,6874 12,0643 13,1928 13,9256 14,1628 13,9205 13,3177 12,5429 11,8021 11,2568 11,0016 11,0903 11,5500 12,3707 13,5119 14,9236 16,5332 18,2190 19,8369 21,2694 22,4124 23,1336 23,3120 22,9407 22,1755 21,2928 20,5766 20,1753 20,0248 19,9200 19,6754 19,2230 18,5928 17,8560 17,1100 16,4851 16,1340 16,1830 16,6508 17,4145 18,2835 19,1236 19,9284 20,7774 21,7181 22,6949 23,5836 24,2602 24,6385 24,6898 24,4480 23,9860 23,3715 22,6486 21,8871 21,2387 20,8967 20,9820 21,4632 22,1611 22,8315 23,2627 23,3216 22,9865 22,3893 21,7678 21,2997 20,9697 20,6069 20,0675 19,4165 18,9081 18,7452 18,9070 19,2556 19,7500 20,4829 21,5133 22,7188 23,8316 24,5848 24,8185 24,4838 23,5948 22,2109 20,4671 18,5896 16,8622 15,5706 14,9338 15,0167 15,6867 16,6692 17,6609 18,4302 18,8597 18,9155 18,6013 17,9894 17,2663 16,6429 16,1687 15,6983 15,0810 14,3438 13,7044 13,4619 13,8508 14,9049 16,3917 17,8924 19,0130 19,5332 19,3703 18,4915 16,9141 14,7698 12,3532 10,1038 8,5094 7,9387 8,4843 9,9500 11,9928 14,2754 16,4923 18,2870 19,2142 18,8879 17,2585 14,7633 12,1647 10,1804 9,1675 9,0370 9,3994 9,8293 10,0798 10,1229 10,0163 9,7277 9,1035 8,0487 6,7272 5,5362 4,8965 5,0577 6,0038 7,4716 9,0622 10,3869 11,2053 11,4876 11,3441 10,9226 10,3822 9,8745 9,4603 9,0533 8,5100 7,8074 7,1030 6,6149 6,4749 6,7083 7,3095 8,2695 9,4940 10,7200 11,5689 11,7433 11,1977 10,1380 8,9015 7,8123 7,0555 6,6570 6,6025 6,9344 7,6947 8,8375 10,2525 11,8225 13,4139 14,8390 15,8703 16,3265 16,1674 15,4904 14,4400 13,1723 11,9151 10,9789 10,6232 10,8870 11,5574 12,3146 12,9212 13,2830 13,3659 13,1059 12,4206 11,3205 10,0336 9,0121 8,7670 9,5970 11,3784 13,6022 15,6665 17,1831 18,0670 18,4366 18,4777 18,3320 18,0410 17,6001 17,0565 16,5286 16,1517 16,0127 16,0744 16,1188 15,8334 15,0607 13,9762 12,9723 12,3642 12,2357 12,5191 13,1054 13,8408 14,5210 14,9797 15,1665 15,1136 14,8280 14,2070 13,0650 11,2927 9,0515 6,8284 5,2472 4,7516 5,4179 7,0073 9,1319 11,3807 13,3684 14,7609
Fz    -0,5093 -0,2304 -0,0008 0,1179 0,0990 -0,0433 -0,2758 -0,5598 -0,8412 -1,0445 -1,0822 -0,8853 -0,4506 0,1271 0,6798 1,0532 1,1911 1,1388 0,9879 0,8461 0,8300 1,0125 1,3470 1,6831 1,8851 1,9108 1,7753 1,4912 1,0629 0,4960 -0,1869 -0,8974 -1,4598 -1,6917 -1,5294 -1,0729 -0,5224 -0,0739 0,1482 0,1158 -0,1093 -0,4196 -0,7158 -0,9322 -1,0375 -1,0232 -0,8972 -0,6944 -0,4810 -0,3308 -0,2869 -0,3287 -0,3558 -0,2121 0,2287 0,9746 1,9076 2,8427 3,6028 4,0771 4,2437 4,1571 3,9048 3,5630 3,1920 2,8479 2,5740 2,3963 2,3209 2,2989 2,2032 1,9126 1,4439 0,9537 0,6063 0,4803 0,5905 0,9459 1,5566 2,3878 3,3253 4,2051 4,8798 5,2628 5,3367 5,1430 4,7580 4,2770 3,8227 3,5257 3,4478 3,5239 3,5861 3,4511 3,0354 2,4201 1,7854 1,2784 0,9516 0,7951 0,7877 0,9100 1,1230 1,3503 1,5060 1,5352 1,4109 1,1122 0,6529 0,1190 -0,3605 -0,6832 -0,8150 -0,7902 -0,6839 -0,5869 -0,6171 -0,9086 -1,4884 -2,1513 -2,5344 -2,3389 -1,4795 -0,0940 1,5149 2,9731 3,9691 4,3713 4,2325 3,6778 2,7916 1,6178 0,2394 -1,1779 -2,4048 -3,1907 -3,3208 -2,6951 -1,3926 0,3407 2,1871 3,8786 5,2785 6,3814 7,2404 7,8977 8,3730 8,6670 8,7462 8,5555 8,0673 7,3194 6,4223 5,5448 4,8851 4,6346 4,9323 5,7995 7,0934 8,5441 9,8616 10,8298 11,3444 11,4036 11,0887 10,5496 9,9734 9,5319 9,3551 9,5335 10,1103 11,0509 12,2154 13,3926 14,3983 15,1333 15,5452 15,5878 15,2576 14,6646 14,0296 13,5772 13,4112 13,4672 13,5464 13,4070 12,8785 11,9310 10,6598 9,2396 7,8884 6,8170 6,1710 6,0133 6,3460 7,0947 8,0473 8,8522 9,1420 8,7111 7,6198 6,1576 4,7053 3,5859 2,9594 2,7955 2,9262 3,1397 3,2777 3,2932 3,2388 3,2294 3,4050 3,8686 4,6224 5,5477 6,4302 7,0221 7,1325 6,7070 5,8491 4,7718 3,6989 2,7668 2,0005 1,3852 0,9499 0,7738 0,9152 1,3366 1,9051 2,4735 2,9664 3,4099 3,8931 4,4723 5,0909 5,6068 5,9138 6,0126 5,9531 5,7583 5,4495 5,1049 4,8384 4,7380 4,8294 5,0575 5,3010 5,4418 5,4314 5,2858 5,0384 4,7175 4,3491 3,9521 3,5380 3,1240 2,7389 2,4099 2,1485 1,9505 1,8016 1,6819 1,5779 1,4950 1,4599 1,5011 1,6038 1,6710 1,5640 1,2318 0,8103 0,5688 0,7396 1,3622 2,2478 3,0903 3,6426 3,8273 3,7232 3,4936 3,3252 3,3770 3,7305 4,3727 5,2057 6,0629 6,7567 7,1669 7,2782 7,1118 6,6549 5,8713 4,7593 3,4073 2,0125 0,8343 0,1026 -0,0814 0,2032 0,7561 1,3922 2,0332 2,6945 3,4240 4,2356 5,0513 5,7023 6,0189 5,9311 5,4905 4,8351 4,1481 3,6147 3,3681 3,4409 3,7551 4,1619 4,5084 4,6942 4,6995 4,5722 4,3892 4,2476 4,2845 4,6477 5,4036 6,4711 7,6578 8,7571 9,6090 10,1115 10,2379 10,0523 9,6834 9,2606 8,8568 8,5031 8,2484 8,1679 8,3114 8,6654 9,1702 9,7587 10,3687 10,9418 11,4370 11,8468 12,1845 12,4515 12,6099 12,5849 12,3130 11,7958 11,0989 10,3206 9,5925 9,0681 8,8496 8,9319 9,2377 9,6878 10,2227 10,7859 11,3328 11,8600 12,3973 12,9575 13,5013 13,9328 14,1143 13,9248 13,3503 12,5184 11,6499 10,9594 10,5430 10,3310 10,1708 9,9572 9,6844 9,4164 9,2345 9,1807 9,2246 9,3083 9,4287 9,6363 9,9513 10,3149 10,6307 10,8389 10,9553 11,0542 11,2124 11,4461 11,6835 11,8196 11,8132 11,7193 11,6163 11,5151 11,3476 11,0292 10,5185 9,8354 9,0570 8,3074 7,7188 7,3760 7,2855 7,3701 7,4952 7,5450 7,4826 7,3237 7,0656 6,6540 6,0349 5,2701 4,5777 4,2025 4,2429 4,6226 5,2122 5,9430 6,7951 7,7060 8,5246 9,0497 9,1116 8,6489 7,7354 6,5425 5,2603 4,0341 2,9596 2,1264 1,6382 1,5734 1,9390 2,6745 3,6839 4,8574 6,0692 7,1630 7,9626 8,3507 8,3479 8,0801 7,6445 7,0377 6,2355 5,3042 4,4162 3,7819 3,5664 3,8288 4,4933 5,3570 6,1520 6,6403 6,6819 6,2550 5,4398 4,3894 3,3108 2,4400 1,9821 2,0225 2,4695 3,1019 3,7025 4,1595 4,4492 4,5334 4,2978 3,6346 2,6146 1,5547 0,8630 0,7842 1,2590 1,9810 2,5710 2,7413 2,3795 1,5463 0,3980 -0,9152 -2,2917 -3,6096 -4,6402 -5,0879 -4,7514 -3,6551 -2,0540 -0,3293 1,1520 2,1441 2,5686 2,4862 2,0131 1,2712 0,4097 -0,3905 -0,9998 -1,4345 -1,8234 -2,2515 -2,6669 -2,9545 -3,0552 -2,9908 -2,8039 -2,5004 -2,0578 -1,4896 -0,8871 -0,3689 0,0211 0,3556 0,7744 1,3867 2,1782 3,0064 3,7124 4,2392 4,6205 4,8915 5,0579 5,1249 5,1034 4,9939 4,7846 4,4803 4,1327 3,8210 3,5878 3,4126 3,2686 3,1990 3,3074 3,6440 4,1142 4,5296 4,7419 4,7014 4,4216 3,9517 3,3765 2,8054 2,3648 2,2094 2,5037 3,3307 4,5991 6,0736 7,5143 8,7816 9,8282 10,6422 11,2193 11,5437 11,5601 11,2087 10,5124 9,6066 8,6870 7,9450 7,4929 7,2774 7,1002 6,7931 6,3779 6,0228 5,8619 5,8839 5,9747 6,0086 5,8892 5,5650 5,0567 4,4578 3,8828 3,3946 2,9563 2,4496 1,7712 0,9594 0,2276 -0,1636 -0,0875 0,3989 1,1705 2,1657 3,3780 4,7258 5,9627
F3    1,0045 1,1091 0,9983 0,6599 0,1290 -0,5174 -1,1948 -1,8305 -2,3489 -2,6554 -2,6385 -2,2059 -1,3535 -0,2142 0,9738 1,9685 2,6155 2,8665 2,7583 2,4096 2,0124 1,7559 1,7238 1,8736 2,1044 2,3079 2,3614 2,1396 1,5758 0,6953 -0,3936 -1,4876 -2,2971 -2,5573 -2,1843 -1,3351 -0,3250 0,5207 0,9824 0,9948 0,6307 0,0329 -0,6507 -1,2911 -1,7865 -2,0760 -2,1525 -2,0670 -1,9054 -1,7363 -1,5674 -1,3392 -0,9412 -0,2545 0,7584 1,9877 3,2195 4,2338 4,8689 5,0419 4,7568 4,1060 3,2376 2,3030 1,4305 0,7164 0,2115 -0,0675 -0,1113 0,0586 0,3367 0,5736 0,6997 0,7645 0,8471 0,9765 1,1484 1,3833 1,7316 2,2173 2,7918 3,3511 3,7850 4,0113 3,9960 3,7526 3,3231 2,7881 2,2975 2,0337 2,0984 2,4362 2,8596 3,1394 3,1222 2,8112 2,3332 1,8260 1,3692 0,9916 0,7034 0,5109 0,4067 0,3676 0,3821 0,4655 0,6174 0,7841 0,9064 0,9810 1,0369 1,0737 1,0456 0,8907 0,5691 0,0837 -0,5515 -1,3323 -2,1765 -2,8326 -2,9782 -2,4288 -1,2248 0,4316 2,2517 3,9060 5,1098 5,7349 5,8224 5,4547 4,6438 3,3791 1,7467 -0,0347 -1,6613 -2,8038 -3,1842 -2,6873 -1,4356 0,2591 2,0443 3,6676 5,0331 6,1604 7,0928 7,8346 8,3574 8,6231 8,5844 8,2019 7,4827 6,5032 5,4062 4,3732 3,5858 3,2035 3,3503 4,0712 5,2786 6,7547 8,2243 9,4466 10,2771 10,6748 10,6799 10,3966 9,9644 9,5187 9,1861 9,0974 9,3704 10,0489 11,0322 12,0830 12,9522 13,4926 13,6572 13,4531 12,9444 12,2813 11,6741 11,2991 11,2134 11,3410 11,5088 11,5065 11,1751 10,4754 9,4918 8,3964 7,4006 6,6842 6,3414 6,3829 6,7756 7,4417 8,2003 8,7573 8,8127 8,2230 7,0846 5,6738 4,3123 3,2567 2,6291 2,4005 2,4380 2,5836 2,7227 2,8095 2,8515 2,9071 3,0852 3,4904 4,1495 4,9813 5,8134 6,4345 6,6771 6,4871 5,9363 5,1790 4,3754 3,6136 2,9017 2,2454 1,7134 1,4103 1,3912 1,6044 1,9199 2,2110 2,4193 2,5772 2,7824 3,1148 3,5580 4,0180 4,4183 4,7410 4,9712 5,0621 4,9963 4,8475 4,7413 4,7720 4,9548 5,2098 5,3891 5,3583 5,0800 4,6180 4,0713 3,5171 2,9918 2,4872 1,9755 1,4565 0,9767 0,6092 0,4175 0,4227 0,5796 0,7810 0,9218 0,9780 1,0225 1,1598 1,4237 1,7100 1,8244 1,6448 1,2586 0,9344 0,9494 1,4042 2,1544 2,9090 3,4205 3,6093 3,5454 3,3626 3,2054 3,2026 3,4348 3,9161 4,5916 5,3346 5,9762 6,3907 6,5412 6,4251 6,0213 5,3058 4,2898 3,0506 1,7536 0,6325 -0,0802 -0,2572 0,0428 0,6169 1,2632 1,8833 2,4740 3,0739 3,7049 4,3096 4,7450 4,8748 4,6693 4,2078 3,6208 3,0609 2,6921 2,6492 2,9736 3,5917 4,3494 5,0604 5,5455 5,6837 5,4579 4,9595 4,3684 3,9254 3,8629 4,2990 5,1803 6,3283 7,5363 8,6162 9,4035 9,7889 9,7582 9,3916 8,8150 8,1376 7,4527 6,8826 6,5672 6,5824 6,8873 7,3623 7,8947 8,4207 8,9125 9,3639 9,7933 10,2300 10,6662 11,0205 11,1665 11,0152 10,5708 9,9017 9,0948 8,2740 7,6137 7,2691 7,3014 7,6798 8,3212 9,1048 9,8729 10,4740 10,8436 11,0347 11,1582 11,2929 11,4323 11,4806 11,3127 10,8657 10,1794 9,3747 8,6063 7,9921 7,5647 7,3008 7,1749 7,1665 7,2498 7,4001 7,5919 7,7855 7,9550 8,1436 8,4589 8,9911 9,7356 10,5816 11,3619 11,9296 12,2093 12,1987 11,9277 11,4167 10,6978 9,8814 9,1661 8,7433 8,6744 8,8572 9,1024 9,2430 9,2012 8,9991 8,7346 8,5265 8,4482 8,4904 8,5633 8,5446 8,3682 8,0622 7,6835 7,2277 6,6136 5,7671 4,7648 3,8835 3,4408 3,5710 4,1752 5,0738 6,1627 7,4073 8,7318 9,9587 10,8472 11,1828 10,8649 9,9482 8,6122 7,0792 5,5393 4,1307 2,9754 2,2032 1,9148 2,1273 2,7721 3,7360 4,8927 6,0983 7,1733 7,9262 8,2475 8,1872 7,8972 7,4760 6,8948 6,0908 5,0993 4,0868 3,2920 2,9362 3,1429 3,8812 4,9469 6,0251 6,8126 7,1156 6,8805 6,1723 5,1390 3,9997 3,0207 2,4388 2,3573 2,6876 3,2089 3,7138 4,1062 4,3776 4,5035 4,3732 3,8615 3,0118 2,1210 1,5876 1,6546 2,2755 3,1677 3,9618 4,3451 4,1588 3,4214 2,2659 0,8456 -0,6968 -2,1666 -3,2619 -3,6474 -3,1260 -1,7704 0,0787 1,9468 3,4071 4,2018 4,2774 3,7450 2,7899 1,6093 0,4222 -0,5376 -1,1193 -1,3624 -1,4538 -1,5442 -1,6310 -1,6227 -1,4626 -1,1753 -0,8243 -0,4478 -0,0456 0,3644 0,7041 0,8899 0,9391 1,0024 1,2811 1,8907 2,7695 3,7185 4,5531 5,2073 5,6907 6,0008 6,1217 6,0663 5,8801 5,6143 5,3042 4,9739 4,6605 4,4043 4,2069 4,0312 3,8618 3,7515 3,7822 3,9684 4,2045 4,3247 4,2210 3,8891 3,3925 2,8279 2,3055 1,9174 1,7286 1,8078 2,2379 3,0472 4,1344 5,3100 6,4271 7,4455 8,3843 9,2589 10,0612 10,7387 11,1673 11,1988 10,7777 10,0080 9,1215 8,3899 7,9976 7,9174 7,9271 7,8096 7,5386 7,2473 7,0524 6,9501 6,8574 6,6906 6,3911 5,9254 5,3055 4,6092 3,9591 3,4539 3,0884 2,7385 2,2549 1,6196 1,0250 0,7648 1,0144 1,7255 2,7333 3,9311 5,3019 6,7871 8,1578
F7    -1,3487 -1,1470 -0,8376 -0,5213 -0,2755 -0,1311 -0,0956 -0,1544 -0,2445 -0,2667 -0,1314 0,2065 0,7227 1,3085 1,7909 2,0062 1,8868 1,4818 0,9144 0,3515 -0,0164 -0,0540 0,2182 0,6381 1,0391 1,3446 1,5320 1,5745 1,4401 1,1038 0,5594 -0,1272 -0,7851 -1,2219 -1,3573 -1,2688 -1,1207 -1,0489 -1,0945 -1,2119 -1,3232 -1,3747 -1,3509 -1,2468 -1,0497 -0,7424 -0,3212 0,1715 0,6347 0,9439 1,0059 0,8041 0,4348 0,1041 0,0355 0,3424 0,9776 1,7700 2,5038 2,9997 3,1730 3,0499 2,7340 2,3460 1,9854 1,7114 1,5315 1,4240 1,3568 1,2514 0,9625 0,3761 -0,4559 -1,3194 -1,9802 -2,3007 -2,2447 -1,8264 -1,0843 -0,1006 0,9821 1,9946 2,8034 3,3396 3,5937 3,6005 3,4179 3,1133 2,7754 2,5097 2,3819 2,3644 2,3428 2,1782 1,8028 1,2788 0,7490 0,3376 0,1107 0,0978 0,3117 0,7345 1,2876 1,8352 2,2458 2,4518 2,4385 2,2064 1,7941 1,3183 0,9429 0,7919 0,8876 1,1564 1,4874 1,7804 1,9242 1,7813 1,2985 0,6412 0,1383 0,0781 0,5621 1,4885 2,6000 3,5702 4,1327 4,1961 3,8478 3,2341 2,4382 1,4823 0,4169 -0,6233 -1,4286 -1,7620 -1,4382 -0,4212 1,1238 2,8755 4,4860 5,7223 6,5381 7,0377 7,3658 7,6221 7,8537 8,0695 8,2276 8,2412 8,0259 7,5445 6,8241 5,9568 5,1011 4,4758 4,3033 4,6971 5,5866 6,7554 7,9462 8,9453 9,6142 9,8865 9,7631 9,3164 8,6782 8,0097 7,4770 7,2251 7,3471 7,8573 8,6748 9,6457 10,6165 11,4743 12,1091 12,3963 12,2732 11,8350 11,3232 10,9816 10,9068 11,0104 11,0818 10,8946 10,3164 9,3580 8,1386 6,8339 5,6547 4,8181 4,4912 4,7523 5,5901 6,8847 8,3609 9,6097 10,2269 9,9945 8,9891 7,5460 6,1107 5,0600 4,5625 4,5480 4,7979 5,0819 5,2655 5,3326 5,3311 5,3309 5,4197 5,6747 6,1148 6,6780 7,2273 7,5796 7,5717 7,1359 6,3349 5,3315 4,3094 3,3858 2,5762 1,8542 1,2418 0,8324 0,7252 0,9346 1,3655 1,8780 2,3777 2,8537 3,3374 3,8187 4,2067 4,3903 4,3485 4,1752 3,9802 3,7984 3,6258 3,4942 3,4639 3,5726 3,8072 4,0952 4,3319 4,4482 4,4530 4,3960 4,3058 4,1731 3,9712 3,6755 3,2800 2,8157 2,3455 1,9340 1,6156 1,3935 1,2646 1,2379 1,3330 1,5616 1,9105 2,3392 2,7715 3,0788 3,1178 2,8471 2,4169 2,1044 2,1379 2,5494 3,1530 3,6656 3,8834 3,7730 3,4329 3,0159 2,6955 2,6409 2,9632 3,6670 4,6367 5,6559 6,4756 6,9257 6,9661 6,6230 5,9167 4,8654 3,5256 2,0308 0,5976 -0,5284 -1,1608 -1,2499 -0,9074 -0,3361 0,2967 0,9359 1,6224 2,4295 3,3786 4,3626 5,1627 5,5760 5,5291 5,0803 4,3609 3,5326 2,7632 2,1906 1,8816 1,8154 1,9069 2,0475 2,1411 2,1323 2,0154 1,8210 1,6228 1,5638 1,8242 2,5087 3,5541 4,7495 5,8412 6,6069 6,8841 6,6134 5,8787 4,8805 3,8433 2,9226 2,1936 1,7062 1,5120 1,6332 2,0267 2,5926 3,2150 3,7983 4,2895 4,6933 5,0535 5,4074 5,7452 5,9963 6,0521 5,8363 5,3670 4,7311 4,0211 3,3392 2,8219 2,5848 2,6517 2,9734 3,4919 4,1551 4,8924 5,6207 6,2810 6,8486 7,3089 7,6379 7,7933 7,7082 7,3248 6,6673 5,8716 5,1364 4,6282 4,3823 4,2723 4,1058 3,7620 3,2538 2,7051 2,2843 2,1152 2,2184 2,5508 3,0925 3,8561 4,8064 5,8065 6,6598 7,2036 7,3838 7,2713 7,0158 6,7496 6,5048 6,2294 5,8923 5,5441 5,2594 5,0480 4,8495 4,5959 4,2531 3,8250 3,3627 2,9726 2,7810 2,8615 3,1890 3,6307 3,9924 4,1276 4,0235 3,7692 3,4420 3,0235 2,4362 1,6900 0,9718 0,5459 0,5745 1,0514 1,8765 2,9525 4,1954 5,4844 6,6445 7,4809 7,8334 7,6351 6,9470 5,9311 4,7674 3,5838 2,4552 1,4593 0,7114 0,3246 0,3479 0,7514 1,4580 2,3734 3,3851 4,3387 5,0486 5,3777 5,3231 4,9970 4,5035 3,8604 3,0605 2,1740 1,3706 0,8584 0,7929 1,2120 2,0190 2,9992 3,8731 4,3868 4,3929 3,8920 3,0186 1,9889 1,0573 0,4759 0,4190 0,8966 1,7250 2,6152 3,3342 3,8062 4,0782 4,1977 4,1218 3,7608 3,1339 2,4545 2,0182 1,9970 2,3275 2,7576 2,9800 2,7673 2,0617 0,9837 -0,2562 -1,4900 -2,6508 -3,6859 -4,4273 -4,6038 -4,0176 -2,7116 -0,9739 0,8015 2,2725 3,2402 3,6753 3,6808 3,3998 2,9513 2,4434 1,9862 1,6403 1,3494 0,9740 0,4328 -0,2114 -0,8152 -1,2673 -1,5306 -1,6141 -1,5334 -1,3014 -0,9527 -0,5636 -0,2112 0,1010 0,4585 0,9757 1,7092 2,5947 3,4650 4,1625 4,6397 4,9360 5,0880 5,1024 4,9853 4,7564 4,4430 4,0728 3,6767 3,3027 3,0060 2,7980 2,6230 2,4243 2,2371 2,1842 2,3500 2,6724 2,9826 3,1349 3,0600 2,7409 2,2141 1,5847 0,9941 0,5729 0,4350 0,6759 1,3150 2,2335 3,2232 4,1185 4,8676 5,4858 5,9897 6,3970 6,7321 6,9826 7,0830 6,9636 6,6042 6,0616 5,4707 4,9773 4,6177 4,2941 3,9177 3,5513 3,3680 3,4800 3,8273 4,2206 4,4555 4,3845 3,9539 3,2296 2,3760 1,5799 0,9620 0,5248 0,1665 -0,2295 -0,6717 -1,0098 -1,0400 -0,6810 -0,0268 0,7779 1,6840 2,7221 3,8438 4,8082
