Fp1   1,4368 1,2655 1,0937 0,9229 0,6258 0,0779 -0,6850 -1,4645 -2,0544 -2,3675 -2,4343 -2,3257 -2,0623 -1,5666 -0,7178 0,4969 1,8960 3,2067 4,2297 4,8773 5,1014 4,8400 4,0409 2,7355 1,0699 -0,7409 -2,4647 -3,8625 -4,7183 -4,9200 -4,5224 -3,7129 -2,7048 -1,6548 -0,6607 0,1954 0,8240 1,1535 1,1716 0,9528 0,6594 0,4872 0,5440 0,7570 0,9193 0,8478 0,5125 0,0295 -0,4556 -0,8754 -1,2526 -1,6460 -2,1062 -2,6390 -3,1643 -3,5434 -3,6795 -3,5883 -3,3864 -3,2335 -3,2592 -3,4862 -3,7923 -3,9829 -3,9533 -3,7737 -3,6031 -3,5538 -3,6509 -3,8986 -4,3548 -5,1132 -6,1895 -7,4269 -8,5187 -9,1268 -9,0180 -8,1450 -6,6486 -4,8127 -2,9837 -1,4673 -0,4425 0,0761 0,2184 0,1852 0,1526 0,1673 0,0855 -0,3306 -1,2149 -2,5107 -4,0237 -5,4885 -6,6291 -7,2320 -7,1961 -6,5505 -5,4507 -4,1313 -2,8197 -1,6528 -0,6375 0,2936 1,1483 1,7995 2,0607 1,8457 1,2337 0,3529 -0,7479 -2,0823 -3,6570 -5,4521 -7,4158 -9,4175 -11,1970 -12,4115 -12,7992 -12,3214 -11,1640 -9,6238 -7,9882 -6,4664 -5,1735 -4,1398 -3,3328 -2,6986 -2,2218 -1,9397 -1,8818 -2,0067 -2,1993 -2,3169 -2,2582 -2,0174 -1,6655 -1,2683 -0,8267 -0,2942 0,3692 1,1674 2,0654 2,9866 3,8204 4,4590 4,8243 4,8648 4,5750 4,0410 3,4287 2,8925 2,4880 2,1797 1,9400 1,8340 2,0198 2,6568 3,7678 5,1682 6,5302 7,5342 8,0096 7,9790 7,5887 7,0124 6,4003 5,8459 5,3482 4,8556 4,3924 4,1159 4,2181 4,7559 5,5617 6,3066 6,6701 6,5071 5,9155 5,1648 4,5347 4,1793 4,0892 4,1385 4,1706 4,0689 3,8030 3,4429 3,0925 2,7795 2,4310 1,9537 1,3406 0,7246 0,3140 0,2433 0,4713 0,8141 1,0789 1,2035 1,2762 1,4080 1,5841 1,6379 1,3618 0,6682 -0,3220 -1,3546 -2,2263 -2,8967 -3,4437 -3,9371 -4,3605 -4,6300 -4,6569 -4,3807 -3,7749 -2,8714 -1,7818 -0,6757 0,2535 0,8145 0,8669 0,3852 -0,5151 -1,6025 -2,5922 -3,2509 -3,5172 -3,5147 -3,4066 -3,2604 -3,0691 -2,8402 -2,6127 -2,4087 -2,2150 -2,0400 -1,9563 -2,0155 -2,1322 -2,1225 -1,8482 -1,2993 -0,5915 0,0780 0,4923 0,4669 -0,0984 -1,1630 -2,5314 -3,9084 -5,0049 -5,6378 -5,7540 -5,4042 -4,7252 -3,9200 -3,1962 -2,6832 -2,4116 -2,3716 -2,5452 -2,8664 -3,1985 -3,3799 -3,2863 -2,8891 -2,2979 -1,7185 -1,3336 -1,2239 -1,3917 -1,8182 -2,4743 -3,2696 -4,0114 -4,4666 -4,5112 -4,2059 -3,7122 -3,1751 -2,6952 -2,3413 -2,1440 -2,0809 -2,0700 -2,0027 -1,8114 -1,5030 -1,1441 -0,8310 -0,6473 -0,6261 -0,7530 -0,9879 -1,2690 -1,5228 -1,7024 -1,8010 -1,7943 -1,5881 -1,0732 -0,2447 0,7359 1,5895 2,0459 1,9585 1,3430 0,3552 -0,7556 -1,7047 -2,2468 -2,2547 -1,7631 -0,9271 0,1002 1,2440 2,4403 3,5355 4,3043 4,5527 4,2126 3,3819 2,2946 1,2401 0,4906 0,2523 0,6083 1,4723 2,6177 3,7912 4,8079 5,5529 5,9521 5,9896 5,7206 5,2381 4,6514 4,0999 3,7209 3,5481 3,4619 3,2786 2,8912 2,3216 1,6646 1,0223 0,4764 0,0471 -0,3329 -0,7512 -1,2199 -1,6811 -2,0873 -2,4090 -2,5803 -2,5108 -2,1737 -1,6614 -1,1405 -0,7492 -0,5389 -0,4735 -0,4532 -0,3898 -0,2937 -0,2589 -0,3913 -0,7811 -1,4853 -2,4963 -3,7432 -5,1083 -6,4171 -7,4335 -7,9041 -7,6401 -6,6073 -4,9646 -2,9969 -0,9915 0,8250 2,2868 3,3114 3,9389 4,3120 4,5866 4,8235 4,9500 4,8369 4,4241 3,7790 3,0606 2,4421 2,0302 1,8308 1,8132 1,9813 2,3160 2,6779 2,8493 2,6860 2,2111 1,5819 0,9941 0,5910 0,4182 0,4659 0,7503 1,3031 2,0786 2,9155 3,6057 3,9823 3,9720 3,6113 3,0000 2,2204 1,3299 0,4388 -0,2466 -0,5079 -0,2625 0,3720 1,1716 1,9685 2,7316 3,5266 4,4325 5,4772 6,6034 7,6842 8,5897 9,2377 9,5746 9,5500 9,1470 8,4132 7,4441 6,3578 5,2947 4,4274 3,9570 4,0662 4,8190 6,0797 7,5396 8,8364 9,6700 9,8646 9,3852 8,3272 6,8828 5,2999 3,8465 2,7694 2,2250 2,2146 2,5906 3,1628 3,8230 4,5960 5,5880 6,8726 8,4036 10,0231 11,5223 12,6922 13,3649 13,4414 12,9003 11,8033 10,3169 8,7397 7,4494 6,7274 6,5965 6,8520 7,2283 7,5068 7,5251 7,1647 6,3616 5,1466 3,6802 2,2216 1,0366 0,3111 0,0984 0,3127 0,7941 1,4165 2,1314 2,8890 3,5307 3,8428 3,7640 3,4765 3,2545 3,2601 3,4699 3,7386 3,9356 4,0547 4,2160 4,5612 5,1187 5,7733 6,3865 6,9332 7,5073 8,2148 9,0745 9,9797 10,7110 11,0288 10,8406 10,2952 9,6806 9,2358 9,0690 9,1988 9,6221 10,3509 11,3954 12,6965 14,0601 15,1739 15,7061 15,4260 14,2937 12,4769 10,2842 8,0520 6,0449 4,4409 3,3769 2,9606 3,2329 4,0948 5,2578 6,3438 7,1038 7,5293 7,7628 7,9463 8,1428 8,3265 8,4040 8,2773 7,9207 7,4067 6,8852 6,5482 6,5761 7,0659 7,9759 9,1450 10,3843 11,5227 12,3535 12,6268 12,1801 11,0542 9,4491 7,6168 5,8429 4,4868 3,9341 4,4136 5,8085 7,6569 9,3872 10,5990 11,1516 11,0617 10,4277 9,4538 8,4584 7,7897 7,6634 8,0107 8,4955 8,7119 8,3898 7,4948 6,2316 4,9704 4,1134 3,9645 4,6671 6,1938 8,3330 10,6757 12,6868 13,9051 14,1423 13,5269 12,4162
Fz    0,6689 0,4063 0,1181 -0,1653 -0,4353 -0,6858 -0,8971 -1,0416 -1,1099 -1,1197 -1,0897 -1,0193 -0,9000 -0,7354 -0,5439 -0,3493 -0,1647 0,0255 0,2664 0,6001 1,0254 1,4898 1,9185 2,2485 2,4411 2,4790 2,3680 2,1434 1,8584 1,5548 1,2399 0,8866 0,4590 -0,0511 -0,5947 -1,0800 -1,4301 -1,6222 -1,6738 -1,6092 -1,4480 -1,2166 -0,9541 -0,6984 -0,4732 -0,2912 -0,1657 -0,1174 -0,1720 -0,3427 -0,6154 -0,9475 -1,2869 -1,5926 -1,8304 -1,9603 -1,9418 -1,7512 -1,3968 -0,9238 -0,4035 0,1003 0,5674 1,0241 1,4964 1,9580 2,3355 2,5658 2,6398 2,5855 2,4223 2,1444 1,7465 1,2562 0,7408 0,2856 -0,0422 -0,2178 -0,2564 -0,1943 -0,0695 0,0847 0,2289 0,3165 0,3165 0,2391 0,1309 0,0309 -0,0680 -0,1994 -0,3727 -0,5592 -0,7168 -0,8113 -0,8242 -0,7542 -0,6144 -0,4270 -0,2152 0,0054 0,2324 0,4709 0,7207 0,9676 1,1872 1,3547 1,4464 1,4452 1,3514 1,1738 0,9072 0,5359 0,0582 -0,5005 -1,0999 -1,7015 -2,2652 -2,7397 -3,0703 -3,2171 -3,1679 -2,9416 -2,5864 -2,1627 -1,7238 -1,3109 -0,9537 -0,6709 -0,4772 -0,3782 -0,3460 -0,3085 -0,1728 0,1333 0,6278 1,2720 2,0063 2,7891 3,5951 4,3872 5,1129 5,7258 6,1992 6,5185 6,6742 6,6652 6,4972 6,1799 5,7435 5,2564 4,8043 4,4466 4,1964 4,0376 3,9502 3,9242 3,9671 4,1037 4,3615 4,7517 5,2543 5,8167 6,3708 6,8600 7,2619 7,5964 7,9164 8,2728 8,6753 9,0926 9,4927 9,8692 10,2291 10,5738 10,8982 11,1923 11,4360 11,6045 11,6827 11,6678 11,5603 11,3603 11,0678 10,6773 10,1791 9,5778 8,9193 8,2922 7,7828 7,4159 7,1447 6,9003 6,6508 6,4045 6,1658 5,9146 5,6311 5,3103 4,9464 4,5288 4,0585 3,5494 3,0094 2,4239 1,7608 1,0053 0,1972 -0,5738 -1,2140 -1,6669 -1,9237 -2,0091 -1,9660 -1,8496 -1,7223 -1,6393 -1,6362 -1,7256 -1,8977 -2,1308 -2,4091 -2,7282 -3,0810 -3,4435 -3,7822 -4,0633 -4,2508 -4,3134 -4,2492 -4,0942 -3,9046 -3,7441 -3,6783 -3,7512 -3,9503 -4,1951 -4,3710 -4,3910 -4,2326 -3,9240 -3,5111 -3,0515 -2,6204 -2,2900 -2,0935 -2,0201 -2,0462 -2,1637 -2,3770 -2,6832 -3,0592 -3,4614 -3,8307 -4,1025 -4,2206 -4,1537 -3,9129 -3,5556 -3,1589 -2,7720 -2,4007 -2,0389 -1,6992 -1,4043 -1,1579 -0,9343 -0,6952 -0,4219 -0,1342 0,1186 0,2832 0,3196 0,2049 -0,0566 -0,4200 -0,8027 -1,1155 -1,3078 -1,3936 -1,4357 -1,4971 -1,6019 -1,7301 -1,8373 -1,8785 -1,8255 -1,6752 -1,4578 -1,2410 -1,1097 -1,1165 -1,2431 -1,4225 -1,6015 -1,7663 -1,9188 -2,0511 -2,1438 -2,1777 -2,1411 -2,0240 -1,8206 -1,5496 -1,2635 -1,0193 -0,8390 -0,7048 -0,5821 -0,4350 -0,2320 0,0457 0,4007 0,8210 1,2718 1,6913 2,0104 2,1881 2,2200 2,1101 1,8567 1,4724 0,9969 0,4854 -0,0041 -0,4248 -0,7610 -1,0281 -1,2449 -1,4075 -1,4852 -1,4343 -1,2161 -0,8209 -0,2864 0,3081 0,8712 1,3295 1,6452 1,8294 1,9440 2,0688 2,2406 2,4264 2,5621 2,6068 2,5595 2,4450 2,2986 2,1576 2,0419 1,9428 1,8408 1,7299 1,6146 1,4982 1,3964 1,3543 1,4183 1,5902 1,8235 2,0596 2,2542 2,3810 2,4289 2,4060 2,3362 2,2407 2,1336 2,0310 1,9552 1,9224 1,9285 1,9521 1,9722 1,9832 1,9983 2,0411 2,1295 2,2633 2,4286 2,6188 2,8391 3,0808 3,3047 3,4645 3,5384 3,5362 3,4859 3,4101 3,3062 3,1561 2,9571 2,7372 2,5419 2,4096 2,3548 2,3644 2,4093 2,4557 2,4718 2,4347 2,3404 2,2088 2,0769 1,9785 1,9312 1,9331 1,9581 1,9652 1,9296 1,8655 1,8096 1,7928 1,8329 1,9383 2,1086 2,3380 2,6083 2,8734 3,0684 3,1484 3,1181 3,0264 2,9395 2,9143 2,9934 3,2062 3,5585 4,0214 4,5407 5,0613 5,5474 5,9850 6,3743 6,7166 7,0004 7,1977 7,2797 7,2459 7,1388 7,0283 6,9782 7,0101 7,0880 7,1354 7,0769 6,8800 6,5731 6,2263 5,9135 5,6930 5,6091 5,6848 5,9091 6,2425 6,6379 7,0513 7,4384 7,7557 7,9737 8,0850 8,0963 8,0145 7,8437 7,5904 7,2737 6,9385 6,6546 6,4910 6,4845 6,6229 6,8479 7,0738 7,2142 7,2131 7,0668 6,8237 6,5664 6,3826 6,3277 6,3996 6,5460 6,6997 6,8124 6,8695 6,8881 6,9022 6,9391 6,9990 7,0546 7,0776 7,0694 7,0616 7,0847 7,1331 7,1552 7,0834 6,8804 6,5573 6,1567 5,7311 5,3297 4,9942 4,7574 4,6385 4,6388 4,7435 4,9198 5,1212 5,3135 5,5020 5,7272 6,0266 6,4017 6,8215 7,2527 7,6786 8,0928 8,4821 8,8205 9,0783 9,2377 9,3035 9,3042 9,2788 9,2525 9,2168 9,1278 8,9283 8,5754 8,0602 7,4164 6,7107 6,0221 5,4241 4,9701 4,6774 4,5251 4,4723 4,4865 4,5555 4,6790 4,8553 5,0720 5,2998 5,5068 5,6854 5,8600 6,0578 6,2666 6,4270 6,4710 6,3674 6,1408 5,8625 5,6150 5,4471 5,3472 5,2640 5,1587 5,0239 4,8510 4,6081 4,2633 3,8107 3,2678 2,6669 2,0560 1,5008 1,0743 0,8226 0,7292 0,7187 0,7026 0,6264 0,4787 0,2697 0,0126 -0,2737 -0,5629 -0,8319 -1,0729 -1,2897 -1,4784 -1,6122 -1,6538 -1,5798 -1,3920 -1,1174 -0,8051 -0,5094 -0,2657 -0,0854 0,0278 0,0670 0,0250 -0,1039 -0,3277 -0,6532 -1,0654
F3    1,1838 0,7701 0,3793 0,0482 -0,2254 -0,4562 -0,6410 -0,7489 -0,7487 -0,6437 -0,4692 -0,2615 -0,0458 0,1515 0,2912 0,3325 0,2622 0,1162 -0,0282 -0,0887 -0,0210 0,1666 0,4409 0,7779 1,1584 1,5418 1,8654 2,0829 2,1887 2,1942 2,0878 1,8290 1,3793 0,7426 -0,0048 -0,7344 -1,3345 -1,7554 -1,9903 -2,0428 -1,9285 -1,6950 -1,4151 -1,1498 -0,9219 -0,7245 -0,5529 -0,4325 -0,4112 -0,5189 -0,7404 -1,0279 -1,3364 -1,6443 -1,9426 -2,2100 -2,3962 -2,4308 -2,2689 -1,9380 -1,5334 -1,1598 -0,8705 -0,6467 -0,4356 -0,2081 0,0165 0,1919 0,2793 0,2652 0,1567 -0,0252 -0,2492 -0,4813 -0,6984 -0,8903 -1,0525 -1,1800 -1,2674 -1,3106 -1,3008 -1,2247 -1,0818 -0,8961 -0,7048 -0,5399 -0,4198 -0,3566 -0,3636 -0,4385 -0,5446 -0,6278 -0,6563 -0,6361 -0,5935 -0,5507 -0,5189 -0,5103 -0,5445 -0,6371 -0,7795 -0,9323 -1,0435 -1,0798 -1,0432 -0,9692 -0,9197 -0,9556 -1,0933 -1,2903 -1,4885 -1,6636 -1,8291 -2,0057 -2,2038 -2,4245 -2,6589 -2,8847 -3,0688 -3,1789 -3,1968 -3,1251 -2,9820 -2,7951 -2,6003 -2,4351 -2,3194 -2,2425 -2,1819 -2,1268 -2,0689 -1,9725 -1,7666 -1,3831 -0,8049 -0,0734 0,7455 1,5931 2,4130 3,1383 3,7062 4,0835 4,2702 4,2842 4,1520 3,9110 3,6092 3,2938 3,0046 2,7717 2,6071 2,5033 2,4513 2,4577 2,5364 2,6772 2,8389 2,9834 3,1086 3,2509 3,4637 3,7850 4,2116 4,7027 5,2057 5,6899 6,1591 6,6287 7,0894 7,5001 7,8249 8,0675 8,2606 8,4308 8,5869 8,7262 8,8373 8,9057 8,9214 8,8742 8,7531 8,5635 8,3270 8,0508 7,7063 7,2560 6,7060 6,1247 5,6004 5,1818 4,8612 4,6083 4,4071 4,2491 4,1019 3,9146 3,6627 3,3623 3,0327 2,6694 2,2572 1,7904 1,2694 0,6872 0,0333 -0,6821 -1,4103 -2,0749 -2,5997 -2,9375 -3,0923 -3,1177 -3,0854 -3,0567 -3,0754 -3,1641 -3,3217 -3,5233 -3,7214 -3,8652 -3,9289 -3,9157 -3,8408 -3,7270 -3,6125 -3,5385 -3,5278 -3,5858 -3,7115 -3,8872 -4,0730 -4,2367 -4,3779 -4,5080 -4,6157 -4,6632 -4,6108 -4,4448 -4,1828 -3,8535 -3,4789 -3,0865 -2,7251 -2,4466 -2,2710 -2,1787 -2,1354 -2,1159 -2,1076 -2,1061 -2,1123 -2,1325 -2,1786 -2,2636 -2,3906 -2,5416 -2,6745 -2,7450 -2,7366 -2,6582 -2,5222 -2,3375 -2,1227 -1,9104 -1,7298 -1,5865 -1,4613 -1,3279 -1,1737 -1,0070 -0,8520 -0,7423 -0,7171 -0,8125 -1,0398 -1,3660 -1,7259 -2,0640 -2,3675 -2,6585 -2,9560 -3,2493 -3,5040 -3,6867 -3,7804 -3,7831 -3,6990 -3,5361 -3,3120 -3,0544 -2,7844 -2,5003 -2,1941 -1,8858 -1,6230 -1,4401 -1,3272 -1,2464 -1,1713 -1,1043 -1,0630 -1,0638 -1,1254 -1,2651 -1,4738 -1,6979 -1,8548 -1,8712 -1,7125 -1,3876 -0,9441 -0,4496 0,0392 0,4906 0,8877 1,2168 1,4702 1,6431 1,7136 1,6436 1,4186 1,0731 0,6703 0,2720 -0,0701 -0,3247 -0,4984 -0,6244 -0,7119 -0,7220 -0,5989 -0,3137 0,1152 0,6279 1,1512 1,6205 1,9841 2,2102 2,3041 2,3132 2,2999 2,2997 2,3103 2,3123 2,2865 2,2226 2,1247 2,0107 1,9044 1,8203 1,7546 1,6929 1,6244 1,5493 1,4758 1,4208 1,4111 1,4662 1,5714 1,6802 1,7433 1,7341 1,6581 1,5455 1,4254 1,3092 1,2005 1,1080 1,0458 1,0245 1,0396 1,0681 1,0973 1,1550 1,2940 1,5411 1,8634 2,1779 2,3972 2,4821 2,4635 2,4125 2,3893 2,4200 2,5042 2,6216 2,7416 2,8399 2,9051 2,9314 2,9113 2,8402 2,7240 2,5814 2,4365 2,3137 2,2359 2,2107 2,2144 2,2032 2,1408 2,0172 1,8565 1,7078 1,6154 1,5956 1,6295 1,6654 1,6398 1,5157 1,3053 1,0582 0,8313 0,6714 0,6167 0,7021 0,9604 1,4018 1,9822 2,5983 3,1341 3,5231 3,7744 3,9462 4,1028 4,2918 4,5319 4,8023 5,0548 5,2508 5,3826 5,4633 5,5085 5,5314 5,5436 5,5508 5,5448 5,5157 5,4764 5,4698 5,5467 5,7323 5,9990 6,2636 6,4223 6,3974 6,1701 5,7953 5,3857 5,0604 4,8965 4,9192 5,1160 5,4482 5,8575 6,2738 6,6284 6,8772 7,0107 7,0380 6,9726 6,8339 6,6415 6,4003 6,1039 5,7671 5,4513 5,2475 5,2247 5,3881 5,6769 5,9952 6,2477 6,3628 6,3077 6,0982 5,7941 5,4759 5,2185 5,0716 5,0435 5,1019 5,1997 5,3060 5,4146 5,5349 5,6798 5,8485 6,0060 6,0882 6,0449 5,8835 5,6627 5,4474 5,2714 5,1261 4,9752 4,7765 4,4939 4,1089 3,6397 3,1454 2,7033 2,3787 2,2057 2,1782 2,2619 2,4226 2,6459 2,9380 3,3187 3,8065 4,3965 5,0512 5,7194 6,3659 6,9846 7,5795 8,1319 8,5945 8,9220 9,0995 9,1342 9,0325 8,7908 8,4022 7,8693 7,2150 6,4825 5,7262 5,0011 4,3543 3,8145 3,3911 3,0850 2,8959 2,8120 2,7964 2,7935 2,7607 2,7011 2,6641 2,7125 2,8835 3,1700 3,5299 3,9134 4,2866 4,6357 4,9502 5,2040 5,3593 5,3884 5,2949 5,1167 4,9028 4,6744 4,4053 4,0495 3,5977 3,0969 2,6092 2,1694 1,7940 1,4960 1,2706 1,0893 0,9190 0,7416 0,5608 0,3856 0,2052 -0,0091 -0,2753 -0,5793 -0,8837 -1,1539 -1,3756 -1,5627 -1,7567 -2,0077 -2,3398 -2,7247 -3,0795 -3,2914 -3,2618 -2,9528 -2,4143 -1,7738 -1,1899 -0,7904 -0,6272 -0,6846 -0,9150 -1,2515 -1,6078 -1,9104 -2,1447 -2,3577 -2,6110
F7    -0,2164 -0,5743 -0,9016 -1,1462 -1,2870 -1,3273 -1,2755 -1,1307 -0,8972 -0,5984 -0,2682 0,0635 0,3717 0,6359 0,8429 0,9798 1,0269 0,9727 0,8403 0,6912 0,5912 0,5653 0,5908 0,6301 0,6556 0,6430 0,5721 0,4537 0,3344 0,2569 0,2254 0,2131 0,1882 0,1316 0,0542 -0,0074 -0,0308 -0,0359 -0,0617 -0,1266 -0,2152 -0,2949 -0,3376 -0,3354 -0,3008 -0,2544 -0,2135 -0,1939 -0,2134 -0,2861 -0,4115 -0,5734 -0,7541 -0,9398 -1,1096 -1,2334 -1,2859 -1,2525 -1,1321 -0,9429 -0,7255 -0,5335 -0,4089 -0,3592 -0,3655 -0,4122 -0,5003 -0,6389 -0,8332 -1,0831 -1,3865 -1,7358 -2,1059 -2,4538 -2,7347 -2,9175 -2,9883 -2,9447 -2,7952 -2,5650 -2,2914 -2,0140 -1,7754 -1,6140 -1,5426 -1,5418 -1,5740 -1,6088 -1,6411 -1,6793 -1,7231 -1,7667 -1,8087 -1,8444 -1,8566 -1,8188 -1,7029 -1,4901 -1,1894 -0,8411 -0,5024 -0,2293 -0,0602 -0,0028 -0,0363 -0,1283 -0,2536 -0,3945 -0,5289 -0,6386 -0,7367 -0,8682 -1,0808 -1,3943 -1,7929 -2,2302 -2,6356 -2,9270 -3,0352 -2,9279 -2,6212 -2,1754 -1,6812 -1,2403 -0,9425 -0,8375 -0,9147 -1,1109 -1,3464 -1,5546 -1,6837 -1,6932 -1,5626 -1,2990 -0,9358 -0,5273 -0,1292 0,2287 0,5450 0,8234 1,0572 1,2323 1,3350 1,3584 1,3144 1,2400 1,1806 1,1625 1,1892 1,2561 1,3589 1,4946 1,6584 1,8405 2,0342 2,2406 2,4684 2,7324 3,0457 3,4108 3,8186 4,2490 4,6742 5,0593 5,3682 5,5819 5,7160 5,8114 5,9004 5,9892 6,0787 6,1814 6,3043 6,4315 6,5361 6,6029 6,6298 6,6189 6,5679 6,4638 6,2873 6,0296 5,6987 5,3047 4,8522 4,3517 3,8370 3,3687 3,0081 2,7748 2,6343 2,5303 2,4269 2,3199 2,2118 2,0932 1,9549 1,7985 1,6254 1,4340 1,2332 1,0422 0,8716 0,7062 0,5060 0,2338 -0,1119 -0,4899 -0,8397 -1,1120 -1,2893 -1,3843 -1,4258 -1,4482 -1,4781 -1,5177 -1,5485 -1,5502 -1,5110 -1,4290 -1,3191 -1,2140 -1,1523 -1,1662 -1,2768 -1,4813 -1,7421 -2,0065 -2,2447 -2,4598 -2,6654 -2,8679 -3,0582 -3,2033 -3,2589 -3,1960 -3,0153 -2,7464 -2,4421 -2,1506 -1,8852 -1,6364 -1,4037 -1,1983 -1,0270 -0,8927 -0,8118 -0,8187 -0,9440 -1,1883 -1,5168 -1,8727 -2,1974 -2,4418 -2,5679 -2,5492 -2,3821 -2,1061 -1,7970 -1,5223 -1,2989 -1,1031 -0,9141 -0,7340 -0,5692 -0,4154 -0,2687 -0,1408 -0,0550 -0,0256 -0,0431 -0,0831 -0,1296 -0,1890 -0,2799 -0,4105 -0,5669 -0,7229 -0,8668 -1,0093 -1,1618 -1,3134 -1,4338 -1,4907 -1,4671 -1,3686 -1,2146 -1,0291 -0,8443 -0,6940 -0,5879 -0,4988 -0,3857 -0,2268 -0,0300 0,1810 0,3767 0,5221 0,5808 0,5326 0,3923 0,2090 0,0397 -0,0765 -0,1228 -0,0992 -0,0202 0,0898 0,2113 0,3344 0,4470 0,5327 0,5866 0,6216 0,6529 0,6825 0,7080 0,7436 0,8114 0,9102 1,0068 1,0604 1,0464 0,9682 0,8596 0,7675 0,7237 0,7395 0,8253 0,9953 1,2532 1,5831 1,9498 2,3021 2,5902 2,7824 2,8655 2,8412 2,7297 2,5762 2,4365 2,3393 2,2656 2,1657 2,0005 1,7741 1,5336 1,3402 1,2400 1,2447 1,3300 1,4505 1,5631 1,6346 1,6407 1,5724 1,4456 1,2979 1,1686 1,0714 0,9825 0,8608 0,6796 0,4439 0,1876 -0,0475 -0,2374 -0,3865 -0,5174 -0,6480 -0,7735 -0,8676 -0,9005 -0,8544 -0,7300 -0,5439 -0,3148 -0,0528 0,2352 0,5409 0,8556 1,1674 1,4464 1,6454 1,7309 1,7072 1,6156 1,5176 1,4674 1,4805 1,5310 1,5803 1,6043 1,6011 1,5870 1,5858 1,6161 1,6797 1,7558 1,8060 1,7912 1,6921 1,5184 1,2994 1,0639 0,8337 0,6263 0,4535 0,3250 0,2556 0,2604 0,3381 0,4673 0,6218 0,7896 0,9803 1,2198 1,5197 1,8468 2,1303 2,3062 2,3627 2,3533 2,3645 2,4657 2,6807 2,9924 3,3605 3,7388 4,0866 4,3749 4,5864 4,7165 4,7743 4,7766 4,7359 4,6538 4,5280 4,3690 4,2053 4,0754 4,0161 4,0478 4,1655 4,3408 4,5250 4,6561 4,6796 4,5755 4,3668 4,1068 3,8628 3,6991 3,6531 3,7207 3,8629 4,0250 4,1628 4,2624 4,3340 4,3918 4,4374 4,4559 4,4272 4,3450 4,2304 4,1277 4,0836 4,1243 4,2492 4,4385 4,6574 4,8569 4,9894 5,0376 5,0262 5,0022 5,0054 5,0564 5,1578 5,2921 5,4252 5,5262 5,5808 5,5866 5,5471 5,4713 5,3692 5,2382 5,0605 4,8221 4,5371 4,2489 4,0136 3,8785 3,8550 3,9025 3,9492 3,9316 3,8188 3,6190 3,3702 3,1135 2,8793 2,6991 2,6107 2,6385 2,7732 2,9744 3,1972 3,4213 3,6604 3,9394 4,2665 4,6276 4,9981 5,3605 5,7134 6,0583 6,3793 6,6488 6,8521 6,9913 7,0674 7,0675 6,9698 6,7574 6,4234 5,9694 5,4058 4,7597 4,0756 3,4017 2,7768 2,2331 1,7947 1,4683 1,2419 1,0966 1,0234 1,0276 1,1202 1,3082 1,5907 1,9546 2,3752 2,8219 3,2624 3,6612 3,9754 4,1572 4,1697 4,0016 3,6851 3,3062 2,9797 2,7908 2,7512 2,8087 2,8997 2,9829 3,0239 2,9795 2,8214 2,5579 2,2190 1,8436 1,4794 1,1821 1,0079 0,9881 1,0919 1,2262 1,2928 1,2514 1,1257 0,9567 0,7710 0,5829 0,4018 0,2359 0,0966 -0,0033 -0,0588 -0,0730 -0,0534 -0,0072 0,0621 0,1515 0,2498 0,3443 0,4445 0,5806 0,7680 0,9838 1,1788 1,3007 1,3062 1,1648 0,8709
