Fp1   -0,9342 -0,6593 -0,5421 -0,5607 -0,7016 -0,9600 -1,3164 -1,7247 -2,1197 -2,4210 -2,5425 -2,4320 -2,1060 -1,6402 -1,1302 -0,6628 -0,3057 -0,1011 -0,0468 -0,0865 -0,1417 -0,1650 -0,1631 -0,1769 -0,2385 -0,3340 -0,3961 -0,3390 -0,1119 0,2691 0,7299 1,1730 1,5229 1,7574 1,8918 1,9382 1,9003 1,7982 1,6717 1,5608 1,4929 1,4645 1,4252 1,3093 1,1012 0,8545 0,6299 0,4296 0,2083 -0,0689 -0,3917 -0,7068 -0,9371 -1,0049 -0,8560 -0,4747 0,1199 0,8786 1,7151 2,5056 3,1259 3,5040 3,6353 3,5508 3,2792 2,8379 2,2595 1,6240 1,0544 0,6777 0,5742 0,7462 1,1302 1,6380 2,1885 2,7213 3,1976 3,5884 3,8675 4,0267 4,0912 4,1020 4,0754 3,9967 3,8587 3,6798 3,4825 3,2843 3,1165 3,0181 3,0029 3,0570 3,1632 3,3103 3,4879 3,6857 3,9007 4,1324 4,3576 4,5308 4,6253 4,6559 4,6567 4,6477 4,6227 4,5679 4,4898 4,4137 4,3514 4,2813 4,1622 3,9629 3,6691 3,2681 2,7428 2,0865 1,3193 0,4931 -0,3180 -1,0342 -1,5825 -1,9111 -2,0101 -1,9171 -1,6974 -1,4200 -1,1510 -0,9587 -0,9012 -0,9927 -1,1847 -1,3964 -1,5619 -1,6441 -1,6232 -1,4874 -1,2367 -0,8920 -0,4866 -0,0349 0,4867 1,1250 1,9122 2,8284 3,7983 4,7281 5,5506 6,2500 6,8568 7,4157 7,9553 8,4913 9,0365 9,5841 10,0866 10,4739 10,6971 10,7512 10,6604 10,4484 10,1353 9,7605 9,3782 9,0269 8,7241 8,4842 8,3294 8,2884 8,3974 8,6871 9,1501 9,7272 10,3354 10,8984 11,3634 11,7152 11,9697 12,1495 12,2656 12,3194 12,3148 12,2509 12,0991 11,8076 11,3468 10,7548 10,1392 9,6298 9,3252 9,2734 9,4783 9,9081 10,4962 11,1520 11,7885 12,3383 12,7537 13,0193 13,1682 13,2695 13,3961 13,6009 13,9063 14,2901 14,6767 14,9560 15,0251 14,8231 14,3501 13,6668 12,8810 12,1338 11,5777 11,3284 11,4247 11,8245 12,4246 13,0912 13,6989 14,1731 14,5025 14,7072 14,8069 14,8267 14,8093 14,7966 14,8096 14,8497 14,9023 14,9321 14,8893 14,7307 14,4460 14,0789 13,7120 13,4108 13,1749 12,9421 12,6523 12,3041 11,9538 11,6927 11,6128 11,7461 12,0310 12,3531 12,6122 12,7552 12,7649 12,6362 12,3732 12,0092 11,6143 11,2644 10,9979 10,8064 10,6642 10,5485 10,4303 10,2694 10,0378 9,7437 9,4221 9,1161 8,8672 8,7107 8,6804 8,8115 9,1180 9,5641 10,0595 10,4776 10,7031 10,6841 10,4382 10,0252 9,5290 9,0464 8,6631 8,4298 8,3582 8,4366 8,6508 8,9899 9,4261 9,9000 10,3390 10,6733 10,8239 10,7201 10,3665 9,8779 9,4232 9,1315 9,0511 9,1631 9,4093 9,7146 9,9956 10,1738 10,2096 10,1237 9,9854 9,8762 9,8412 9,8632 9,8915 9,8974 9,8956 9,9110 9,9381 9,9475 9,9168 9,8410 9,7268 9,5990 9,5127 9,5354 9,6970 9,9584 10,2307 10,4244 10,4934 10,4426 10,3044 10,1214 9,9446 9,8195 9,7691 9,8000 9,9095 10,0828 10,2945 10,5196 10,7442 10,9635 11,1615 11,2983 11,3311 11,2510 11,0980 10,9422 10,8512 10,8681 10,9978 11,1933 11,3591 11,3956 11,2595 10,9757 10,5958 10,1602 9,7039 9,2936 9,0407 9,0503 9,3487 9,8604 10,4460 10,9654 11,3266 11,5068 11,5431 11,4969 11,4214 11,3573 11,3352 11,3635 11,4216 11,4736 11,4823 11,4177 11,2747 11,0850 10,8985 10,7552 10,6744 10,6578 10,6963 10,7708 10,8454 10,8675 10,7846 10,5747 10,2734 9,9790 9,8179 9,8769 10,1676 10,6483 11,2457 11,8512 12,3427 12,6455 12,7595 12,7152 12,5274 12,2058 11,7928 11,3693 11,0205 10,7962 10,6999 10,7161 10,8344 11,0394 11,3007 11,5860 11,8723 12,1371 12,3429 12,4458 12,4339 12,3509 12,2728 12,2546 12,2905 12,3233 12,2913 12,1779 12,0222 11,8806 11,7816 11,7225 11,6981 11,7090 11,7437 11,7805 11,8100 11,8355 11,8540 11,8576 11,8476 11,8307 11,8013 11,7324 11,5960 11,3959 11,1707 10,9723 10,8366 10,7558 10,6897 10,6186 10,5801 10,6453 10,8548 11,1755 11,5122 11,7560 11,8359 11,7450 11,5378 11,3091 11,1655 11,1800 11,3532 11,6179 11,8840 12,0889 12,2225 12,3091 12,3676 12,3928 12,3604 12,2476 12,0628 11,8377 11,5785 11,2528 10,8391 10,3729 9,9440 9,6555 9,5797 9,7334 10,0703 10,4939 10,9057 11,2505 11,5124 11,6820 11,7462 11,7080 11,6154 11,5626 11,6326 11,8328 12,0970 12,3438 12,5227 12,6164 12,6150 12,4980 12,2432 11,8483 11,3322 10,7238 10,0578 9,3759 8,7267 8,1517 7,6568 7,2040 6,7449 6,2607 5,7862 5,4046 5,2104 5,2635 5,5616 6,0457 6,6423 7,3046 8,0044 8,6965 9,3099 9,7635 9,9854 9,9430 9,6689 9,2477 8,7787 8,3511 8,0325 7,8495 7,7780 7,7694 7,7961 7,8665 7,9974 8,1768 8,3628 8,5211 8,6487 8,7626 8,8795 9,0062 9,1265 9,2067 9,2221 9,1647 9,0327 8,8351 8,5899 8,3125 8,0161 7,7208 7,4542 7,2506 7,1516 7,1867 7,3463 7,5919 7,8953 8,2403 8,5943 8,9176 9,1975 9,4373 9,6155 9,6823 9,5959 9,3503 8,9714 8,5024 7,9966 7,5142 7,1221 6,8948 6,8892 7,0975 7,4316 7,7697 8,0214 8,1608 8,2169 8,2403 8,2674 8,2918 8,2617 8,1168 7,8357 7,4534 7,0366 6,6432 6,2971 5,9901 5,7016 5,4186 5,1538 4,9694 4,9681 5,2225 5,7062 6,3003 6,8613 7,2852 7,5315 7,6175
Fz    -0,2350 -0,2461 -0,2723 -0,3191 -0,3874 -0,4765 -0,5767 -0,6681 -0,7377 -0,7934 -0,8564 -0,9400 -1,0346 -1,1085 -1,1253 -1,0641 -0,9245 -0,7203 -0,4704 -0,1958 0,0815 0,3416 0,5664 0,7438 0,8739 0,9655 1,0205 1,0350 1,0167 0,9876 0,9628 0,9371 0,8945 0,8298 0,7580 0,7044 0,6876 0,7080 0,7434 0,7526 0,6930 0,5402 0,2982 -0,0048 -0,3236 -0,6022 -0,7881 -0,8515 -0,7914 -0,6284 -0,3965 -0,1307 0,1427 0,4000 0,6103 0,7418 0,7824 0,7510 0,6888 0,6433 0,6511 0,7245 0,8537 1,0185 1,1959 1,3613 1,4958 1,5947 1,6652 1,7132 1,7304 1,6980 1,6045 1,4575 1,2832 1,1185 0,9999 0,9475 0,9560 1,0038 1,0739 1,1651 1,2910 1,4723 1,7185 2,0115 2,3094 2,5708 2,7684 2,8850 2,9112 2,8566 2,7514 2,6312 2,5233 2,4420 2,3968 2,4027 2,4727 2,6016 2,7603 2,9075 3,0106 3,0589 3,0574 3,0080 2,8968 2,6960 2,3782 1,9342 1,3844 0,7750 0,1557 -0,4440 -1,0133 -1,5462 -2,0350 -2,4673 -2,8201 -3,0671 -3,1975 -3,2291 -3,2033 -3,1687 -3,1615 -3,1995 -3,2959 -3,4648 -3,7046 -3,9794 -4,2269 -4,3870 -4,4275 -4,3440 -4,1354 -3,7833 -3,2593 -2,5510 -1,6817 -0,7044 0,3254 1,3704 2,4087 3,4208 4,3855 5,2848 6,1059 6,8394 7,4775 8,0122 8,4364 8,7555 8,9971 9,1943 9,3674 9,5315 9,7086 9,9135 10,1354 10,3437 10,5151 10,6539 10,7847 10,9293 11,0934 11,2710 11,4553 11,6433 11,8360 12,0419 12,2745 12,5457 12,8545 13,1778 13,4822 13,7500 13,9786 14,1618 14,2857 14,3353 14,2974 14,1656 13,9511 13,6924 13,4562 13,3202 13,3354 13,4905 13,7084 13,8776 13,9034 13,7564 13,4874 13,1980 12,9911 12,9284 13,0132 13,2025 13,4340 13,6530 13,8349 13,9876 14,1381 14,3184 14,5561 14,8657 15,2416 15,6540 16,0504 16,3692 16,5619 16,6084 16,5150 16,3050 16,0186 15,7167 15,4670 15,3158 15,2714 15,3077 15,3772 15,4280 15,4227 15,3549 15,2546 15,1776 15,1773 15,2781 15,4686 15,7089 15,9414 16,1069 16,1651 16,1052 15,9506 15,7558 15,5825 15,4635 15,3922 15,3339 15,2406 15,0780 14,8578 14,6317 14,4539 14,3483 14,2968 14,2465 14,1341 13,9162 13,5904 13,1942 12,7854 12,4229 12,1528 11,9953 11,9313 11,9051 11,8545 11,7443 11,5781 11,3838 11,1928 11,0298 10,9100 10,8334 10,7852 10,7473 10,7087 10,6667 10,6119 10,5171 10,3593 10,1495 9,9245 9,7150 9,5323 9,3808 9,2751 9,2373 9,2812 9,4022 9,5791 9,7820 9,9831 10,1606 10,2956 10,3783 10,4192 10,4484 10,5008 10,6007 10,7486 10,9133 11,0498 11,1291 11,1482 11,1204 11,0652 11,0042 10,9600 10,9535 10,9996 11,1061 11,2717 11,4889 11,7515 12,0564 12,3964 12,7442 13,0493 13,2628 13,3659 13,3663 13,2806 13,1348 12,9688 12,8259 12,7284 12,6657 12,6072 12,5260 12,4132 12,2797 12,1493 12,0475 11,9965 12,0101 12,0852 12,2025 12,3385 12,4767 12,6115 12,7417 12,8607 12,9569 13,0205 13,0499 13,0552 13,0575 13,0781 13,1305 13,2168 13,3246 13,4304 13,5126 13,5640 13,5949 13,6240 13,6634 13,7107 13,7508 13,7613 13,7241 13,6434 13,5430 13,4445 13,3519 13,2559 13,1439 13,0069 12,8386 12,6340 12,3969 12,1494 11,9342 11,7990 11,7690 11,8328 11,9555 12,1001 12,2394 12,3661 12,5004 12,6735 12,8982 13,1564 13,4102 13,6231 13,7734 13,8507 13,8471 13,7646 13,6325 13,5027 13,4199 13,3960 13,4106 13,4349 13,4480 13,4314 13,3707 13,2768 13,1926 13,1701 13,2371 13,3775 13,5431 13,6821 13,7623 13,7786 13,7487 13,6987 13,6550 13,6370 13,6501 13,6872 13,7352 13,7748 13,7790 13,7230 13,6060 13,4582 13,3206 13,2197 13,1579 13,1173 13,0736 13,0171 12,9596 12,9147 12,8743 12,8194 12,7581 12,7384 12,8149 13,0048 13,2740 13,5583 13,7990 13,9668 14,0592 14,0830 14,0451 13,9478 13,7871 13,5573 13,2480 12,8485 12,3800 11,9112 11,5172 11,2299 11,0343 10,8998 10,8107 10,7690 10,7785 10,8357 10,9244 11,0116 11,0588 11,0434 10,9762 10,9039 10,8868 10,9559 11,0938 11,2567 11,4087 11,5365 11,6468 11,7573 11,8819 12,0132 12,1183 12,1623 12,1370 12,0564 11,9379 11,7976 11,6478 11,4868 11,3005 11,0861 10,8672 10,6790 10,5432 10,4621 10,4328 10,4523 10,5090 10,5804 10,6483 10,7155 10,8005 10,9086 11,0124 11,0674 11,0478 10,9665 10,8566 10,7381 10,6121 10,4758 10,3251 10,1458 9,9118 9,5931 9,1740 8,6705 8,1209 7,5581 7,0013 6,4697 5,9883 5,5816 5,2656 5,0355 4,8617 4,7089 4,5597 4,4162 4,2913 4,2076 4,1928 4,2654 4,4292 4,6790 5,0059 5,3905 5,7920 6,1497 6,4091 6,5521 6,6029 6,6086 6,6159 6,6622 6,7726 6,9507 7,1707 7,3899 7,5722 7,6999 7,7666 7,7693 7,7061 7,5789 7,3953 7,1688 6,9174 6,6673 6,4488 6,2739 6,1295 6,0067 5,9312 5,9551 6,1136 6,3928 6,7359 7,0715 7,3371 7,4909 7,5125 7,4075 7,2136 6,9926 6,8056 6,6885 6,6505 6,6889 6,7946 6,9452 7,1063 7,2396 7,3092 7,2871 7,1604 6,9359 6,6326 6,2727 5,8857 5,5180 5,2206 5,0156 4,8763 4,7497 4,5945 4,3976 4,1721 3,9505 3,7680 3,6421 3,5652 3,5123 3,4614 3,4168 3,4071 3,4576 3,5689 3,7176 3,8637 3,9621 3,9767 3,8935 3,7278 3,5209 3,3257
F3    -0,8067 -0,8502 -0,8052 -0,7096 -0,6111 -0,5408 -0,4958 -0,4514 -0,3893 -0,3177 -0,2723 -0,3008 -0,4335 -0,6573 -0,9160 -1,1347 -1,2494 -1,2221 -1,0434 -0,7344 -0,3481 0,0482 0,4029 0,6972 0,9396 1,1425 1,3011 1,3966 1,4154 1,3537 1,2141 1,0081 0,7643 0,5282 0,3460 0,2411 0,2105 0,2367 0,2926 0,3458 0,3718 0,3603 0,3083 0,2154 0,0904 -0,0455 -0,1661 -0,2484 -0,2707 -0,2104 -0,0568 0,1756 0,4490 0,7123 0,9099 0,9936 0,9410 0,7693 0,5378 0,3281 0,2065 0,1931 0,2706 0,4138 0,6044 0,8285 1,0723 1,3174 1,5405 1,7222 1,8563 1,9415 1,9633 1,8891 1,6922 1,3850 1,0292 0,7090 0,4877 0,3848 0,3893 0,4848 0,6630 0,9210 1,2484 1,6159 1,9767 2,2832 2,5053 2,6348 2,6782 2,6450 2,5422 2,3774 2,1694 1,9549 1,7823 1,6968 1,7222 1,8518 2,0532 2,2790 2,4758 2,5924 2,5889 2,4500 2,1909 1,8419 1,4215 0,9293 0,3699 -0,2258 -0,8114 -1,3495 -1,8171 -2,2007 -2,4985 -2,7218 -2,8811 -2,9795 -3,0282 -3,0586 -3,1066 -3,1833 -3,2724 -3,3595 -3,4566 -3,5926 -3,7820 -4,0056 -4,2152 -4,3564 -4,3928 -4,3087 -4,0917 -3,7217 -3,1807 -2,4716 -1,6266 -0,6962 0,2751 1,2593 2,2345 3,1704 4,0328 4,8025 5,4835 6,0876 6,6149 7,0545 7,3965 7,6421 7,8085 7,9238 8,0196 8,1284 8,2794 8,4854 8,7289 8,9661 9,1521 9,2716 9,3465 9,4151 9,5103 9,6552 9,8654 10,1436 10,4753 10,8355 11,2002 11,5516 11,8696 12,1239 12,2893 12,3653 12,3740 12,3444 12,3004 12,2503 12,1849 12,0914 11,9737 11,8622 11,7996 11,8157 11,9129 12,0605 12,1968 12,2473 12,1599 11,9293 11,5958 11,2288 10,9062 10,6914 10,6146 10,6728 10,8386 11,0632 11,2849 11,4595 11,5875 11,7112 11,8901 12,1742 12,5788 13,0739 13,5998 14,1006 14,5366 14,8671 15,0392 15,0067 14,7626 14,3550 13,8689 13,3934 12,9972 12,7217 12,5823 12,5649 12,6292 12,7274 12,8280 12,9232 13,0158 13,0989 13,1548 13,1668 13,1272 13,0389 12,9119 12,7594 12,5988 12,4597 12,3845 12,4044 12,5169 12,6797 12,8201 12,8632 12,7727 12,5667 12,2945 11,9991 11,6992 11,3943 11,0759 10,7366 10,3849 10,0467 9,7446 9,4832 9,2655 9,1089 9,0253 8,9930 8,9637 8,8968 8,7857 8,6557 8,5429 8,4688 8,4261 8,3817 8,2905 8,1156 7,8533 7,5480 7,2685 7,0625 6,9477 6,9338 7,0146 7,1435 7,2473 7,2728 7,2163 7,1106 6,9948 6,8963 6,8243 6,7751 6,7474 6,7454 6,7708 6,8264 6,9270 7,0959 7,3455 7,6615 8,0032 8,3129 8,5364 8,6442 8,6348 8,5276 8,3606 8,1932 8,0879 8,0754 8,1426 8,2533 8,3723 8,4864 8,6175 8,8046 9,0633 9,3599 9,6291 9,8214 9,9266 9,9583 9,9320 9,8621 9,7689 9,6806 9,6196 9,5850 9,5602 9,5394 9,5381 9,5743 9,6478 9,7399 9,8276 9,8927 9,9250 9,9256 9,9078 9,8966 9,9227 10,0063 10,1390 10,2879 10,4200 10,5184 10,5874 10,6512 10,7362 10,8475 10,9663 11,0644 11,1188 11,1237 11,1010 11,0951 11,1478 11,2725 11,4507 11,6466 11,8171 11,9169 11,9095 11,7814 11,5420 11,2165 10,8432 10,4740 10,1605 9,9302 9,7794 9,6863 9,6288 9,5973 9,5977 9,6401 9,7220 9,8251 9,9264 10,0120 10,0866 10,1720 10,2915 10,4516 10,6339 10,8013 10,9143 10,9550 10,9415 10,9210 10,9451 11,0437 11,2058 11,3817 11,5078 11,5400 11,4766 11,3520 11,2034 11,0513 10,9098 10,7985 10,7405 10,7565 10,8574 11,0341 11,2552 11,4779 11,6697 11,8208 11,9370 12,0257 12,0895 12,1294 12,1441 12,1231 12,0460 11,9002 11,7017 11,4971 11,3359 11,2355 11,1746 11,1208 11,0610 11,0049 10,9720 10,9821 11,0444 11,1430 11,2459 11,3396 11,4451 11,5920 11,7875 12,0086 12,2103 12,3482 12,4041 12,3898 12,3281 12,2364 12,1279 12,0146 11,8963 11,7433 11,5156 11,2137 10,8958 10,6280 10,4291 10,2669 10,0973 9,9051 9,7145 9,5740 9,5287 9,5900 9,7272 9,8915 10,0382 10,1377 10,1845 10,1911 10,1613 10,0815 9,9475 9,7852 9,6414 9,5623 9,5766 9,6867 9,8703 10,0911 10,3133 10,5112 10,6728 10,7968 10,8855 10,9343 10,9239 10,8271 10,6299 10,3443 9,9956 9,6085 9,2189 8,8899 8,6962 8,6833 8,8407 9,1044 9,3878 9,6227 9,7742 9,8234 9,7551 9,5737 9,3216 9,0646 8,8599 8,7411 8,7164 8,7579 8,7979 8,7559 8,5778 8,2575 7,8333 7,3640 6,8988 6,4633 6,0694 5,7288 5,4543 5,2425 5,0546 4,8309 4,5380 4,1973 3,8638 3,5893 3,4042 3,3171 3,3236 3,4188 3,6069 3,8997 4,3011 4,7899 5,3138 5,8032 6,1962 6,4596 6,5947 6,6330 6,6298 6,6497 6,7444 6,9350 7,2060 7,5060 7,7639 7,9169 7,9279 7,7851 7,5015 7,1176 6,6952 6,2957 5,9638 5,7239 5,5740 5,4888 5,4403 5,4242 5,4685 5,6098 5,8517 6,1450 6,4176 6,6163 6,7138 6,6966 6,5681 6,3658 6,1587 6,0174 5,9851 6,0759 6,2795 6,5584 6,8533 7,1080 7,2850 7,3545 7,2799 7,0311 6,6109 6,0616 5,4517 4,8616 4,3715 4,0382 3,8713 3,8312 3,8478 3,8462 3,7762 3,6337 3,4554 3,2861 3,1474 3,0331 2,9332 2,8583 2,8412 2,9180 3,1032 3,3778 3,6909 3,9689 4,1329 4,1257 3,9363 3,6041 3,2030 2,8186
F7    -0,5082 -0,2690 -0,0535 0,0647 0,0533 -0,0558 -0,2078 -0,3693 -0,5312 -0,6846 -0,8119 -0,9011 -0,9564 -0,9913 -1,0230 -1,0744 -1,1632 -1,2833 -1,3948 -1,4338 -1,3411 -1,0994 -0,7476 -0,3584 0,0091 0,3465 0,6911 1,0831 1,5179 1,9398 2,2724 2,4536 2,4677 2,3571 2,1851 1,9831 1,7493 1,4739 1,1417 0,7413 0,2969 -0,1297 -0,4825 -0,7433 -0,9201 -1,0265 -1,0746 -1,0778 -1,0597 -1,0544 -1,0898 -1,1684 -1,2530 -1,2630 -1,1017 -0,7181 -0,1475 0,5235 1,2168 1,8770 2,4611 2,9413 3,3018 3,5204 3,5658 3,4174 3,0826 2,5952 2,0033 1,3629 0,7382 0,1997 -0,1890 -0,3881 -0,3873 -0,2020 0,1268 0,5339 0,9442 1,2995 1,5836 1,8209 2,0467 2,2718 2,4711 2,6015 2,6266 2,5314 2,3290 2,0601 1,7993 1,6546 1,7212 2,0116 2,4401 2,8755 3,2106 3,3964 3,4237 3,2951 3,0336 2,7135 2,4455 2,3064 2,2845 2,3060 2,3065 2,2617 2,1543 1,9501 1,6212 1,1717 0,6296 0,0243 -0,6270 -1,3105 -1,9939 -2,6273 -3,1647 -3,5599 -3,7515 -3,6909 -3,3910 -2,9307 -2,4182 -1,9596 -1,6334 -1,4725 -1,4692 -1,5901 -1,7828 -1,9845 -2,1373 -2,1913 -2,1064 -1,8623 -1,4706 -0,9755 -0,4381 0,0866 0,5628 0,9802 1,3655 1,7788 2,2807 2,8891 3,5646 4,2409 4,8692 5,4371 5,9664 6,4952 7,0455 7,5981 8,0904 8,4416 8,6060 8,6135 8,5491 8,4897 8,4659 8,4723 8,4929 8,5072 8,4900 8,4247 8,3161 8,1843 8,0538 7,9584 7,9476 8,0765 8,3807 8,8542 9,4469 10,0791 10,6678 11,1449 11,4571 11,5755 11,5167 11,3400 11,1155 10,8975 10,7124 10,5582 10,4152 10,2547 10,0466 9,7832 9,5004 9,2656 9,1395 9,1456 9,2664 9,4552 9,6583 9,8477 10,0334 10,2312 10,4275 10,5954 10,7368 10,8856 11,0726 11,3042 11,5726 11,8642 12,1486 12,3710 12,4686 12,4101 12,2278 12,0039 11,8151 11,6902 11,6158 11,5574 11,4721 11,3177 11,0703 10,7413 10,3872 10,0976 9,9562 10,0019 10,2151 10,5312 10,8695 11,1673 11,3883 11,4934 11,4295 11,1717 10,7627 10,2989 9,8790 9,5608 9,3556 9,2491 9,2170 9,2306 9,2558 9,2523 9,1875 9,0591 8,8955 8,7248 8,5458 8,3366 8,0947 7,8572 7,6730 7,5539 7,4703 7,4062 7,3912 7,4569 7,5812 7,7015 7,7672 7,7572 7,6597 7,4639 7,1747 6,8275 6,4868 6,2212 6,0629 5,9863 5,9239 5,8010 5,5765 5,2764 4,9720 4,7157 4,5211 4,4014 4,3900 4,5108 4,7495 5,0666 5,4304 5,8177 6,1905 6,4950 6,6895 6,7607 6,7236 6,6232 6,5193 6,4445 6,3852 6,3116 6,2179 6,1255 6,0529 5,9879 5,8923 5,7405 5,5554 5,4042 5,3702 5,5099 5,8040 6,1518 6,4339 6,5908 6,6318 6,5829 6,4527 6,2495 5,9994 5,7344 5,4814 5,2745 5,1721 5,2461 5,5274 5,9458 6,3412 6,5576 6,5399 6,3458 6,0898 5,8853 5,8088 5,8785 6,0521 6,2522 6,4074 6,4838 6,4919 6,4732 6,4755 6,5241 6,6068 6,6882 6,7490 6,8170 6,9525 7,1981 7,5394 7,9068 8,2183 8,4202 8,4891 8,4187 8,2302 7,9845 7,7545 7,5757 7,4369 7,3222 7,2519 7,2670 7,3743 7,5233 7,6383 7,6677 7,6058 7,4763 7,3114 7,1442 6,9987 6,8791 6,7810 6,7078 6,6709 6,6806 6,7390 6,8292 6,9160 6,9691 6,9828 6,9738 6,9726 7,0038 7,0546 7,0731 7,0138 6,8812 6,7272 6,6057 6,5302 6,4750 6,4087 6,3242 6,2566 6,2789 6,4588 6,7989 7,2232 7,6330 7,9704 8,2334 8,4504 8,6438 8,8053 8,8992 8,8869 8,7525 8,5141 8,2163 7,9063 7,6144 7,3531 7,1276 6,9478 6,8354 6,8131 6,8876 7,0458 7,2559 7,4716 7,6479 7,7645 7,8341 7,8825 7,9270 7,9733 8,0268 8,0971 8,1943 8,3215 8,4612 8,5719 8,6033 8,5210 8,3262 8,0569 7,7599 7,4626 7,1735 6,9040 6,6735 6,5004 6,4005 6,3883 6,4720 6,6346 6,8242 6,9851 7,1050 7,2196 7,3686 7,5535 7,7300 7,8254 7,7725 7,5518 7,2090 6,8234 6,4723 6,2309 6,1719 6,3229 6,6249 6,9641 7,2532 7,4698 7,6280 7,7413 7,8110 7,8313 7,8003 7,7279 7,6276 7,5092 7,3842 7,2659 7,1591 7,0590 6,9635 6,8817 6,8312 6,8286 6,8802 6,9799 7,1143 7,2622 7,3892 7,4467 7,3880 7,2029 6,9366 6,6705 6,4824 6,4179 6,4878 6,6823 6,9676 7,2702 7,4937 7,5688 7,4820 7,2498 6,8894 6,4261 5,9045 5,3805 4,9081 4,5254 4,2391 4,0202 3,8228 3,6211 3,4338 3,3090 3,2773 3,3262 3,4245 3,5598 3,7461 4,0029 4,3389 4,7407 5,1661 5,5591 5,8824 6,1339 6,3237 6,4457 6,4827 6,4306 6,3030 6,1146 5,8770 5,6189 5,4047 5,3215 5,4315 5,7241 6,1066 6,4488 6,6577 6,7281 6,7135 6,6490 6,5200 6,2989 5,9929 5,6589 5,3766 5,1954 5,1082 5,0785 5,0727 5,0705 5,0704 5,0869 5,1268 5,1671 5,1688 5,1213 5,0617 5,0407 5,0805 5,1816 5,3524 5,6002 5,8975 6,1737 6,3431 6,3414 6,1541 5,8235 5,4244 5,0302 4,7013 4,4921 4,4386 4,5354 4,7302 4,9399 5,0789 5,0961 4,9818 4,7384 4,3629 3,8764 3,3564 2,9183 2,6619 2,6184 2,7281 2,8706 2,9327 2,8640 2,6897 2,4903 2,3660 2,3940 2,6014 2,9669 3,4327 3,9200 4,3556 4,6947 4,9187
