Fp1   1,3325 1,5676 1,7653 1,8848 1,8992 1,8291 1,7309 1,6522 1,6053 1,5706 1,5162 1,4157 1,2594 1,0598 0,8512 0,6748 0,5638 0,5346 0,5748 0,6458 0,7091 0,7466 0,7548 0,7339 0,6897 0,6307 0,5533 0,4384 0,2725 0,0679 -0,1391 -0,3096 -0,4272 -0,5078 -0,5877 -0,7018 -0,8708 -1,1005 -1,3773 -1,6640 -1,9126 -2,0908 -2,1964 -2,2540 -2,3039 -2,3825 -2,4992 -2,6344 -2,7526 -2,8186 -2,8079 -2,7115 -2,5372 -2,3170 -2,0990 -1,9196 -1,7840 -1,6740 -1,5688 -1,4563 -1,3273 -1,1641 -0,9467 -0,6815 -0,4093 -0,1728 0,0168 0,1784 0,3316 0,4800 0,6233 0,7678 0,9150 1,0548 1,1760 1,2766 1,3601 1,4232 1,4571 1,4692 1,4854 1,5175 1,5368 1,4907 1,3365 1,0569 0,6646 0,2025 -0,2764 -0,7307 -1,1305 -1,4554 -1,7006 -1,8774 -1,9976 -2,0651 -2,0890 -2,0975 -2,1211 -2,1660 -2,2149 -2,2507 -2,2708 -2,2793 -2,2758 -2,2558 -2,2133 -2,1391 -2,0261 -1,8809 -1,7247 -1,5834 -1,4742 -1,3977 -1,3387 -1,2822 -1,2295 -1,1967 -1,2046 -1,2632 -1,3454 -1,3851 -1,3270 -1,1769 -0,9939 -0,8346 -0,7103 -0,5956 -0,4697 -0,3334 -0,1966 -0,0604 0,0897 0,2803 0,5350 0,8534 1,2089 1,5693 1,9083 2,2009 2,4212 2,5474 2,5668 2,4790 2,2964 2,0388 1,7293 1,3969 1,0768 0,7974 0,5674 0,3778 0,2171 0,0834 -0,0177 -0,0843 -0,1148 -0,0888 0,0339 0,2816 0,6434 1,0706 1,5005 1,8878 2,2198 2,5019 2,7314 2,8888 2,9506 2,9003 2,7323 2,4515 2,0791 1,6614 1,2684 0,9646 0,7738 0,6794 0,6563 0,6850 0,7373 0,7772 0,7855 0,7727 0,7662 0,7940 0,8755 1,0130 1,1904 1,3815 1,5643 1,7296 1,8785 2,0157 2,1470 2,2829 2,4391 2,6309 2,8604 3,1112 3,3604 3,5916 3,7904 3,9445 4,0610 4,1655 4,2710 4,3593 4,3987 4,3734 4,2902 4,1700 4,0379 3,9149 3,8088 3,7070 3,5744 3,3720 3,0848 2,7268 2,3220 1,8924 1,4717 1,1071 0,8405 0,6969 0,6829 0,7780 0,9331 1,0904 1,2087 1,2766 1,3021 1,2952 1,2603 1,1964 1,1015 0,9777 0,8336 0,6730 0,4752 0,2009 -0,1764 -0,6464 -1,1572 -1,6339 -2,0077 -2,2367 -2,3167 -2,2780 -2,1618 -1,9883 -1,7570 -1,4816 -1,2162 -1,0366 -0,9987 -1,1143 -1,3604 -1,7008 -2,0935 -2,4839 -2,8180 -3,0719 -3,2620 -3,4211 -3,5722 -3,7259 -3,8903 -4,0753 -4,2832 -4,4935 -4,6706 -4,7870 -4,8338 -4,8163 -4,7452 -4,6399 -4,5429 -4,5136 -4,5899 -4,7597 -4,9726 -5,1693 -5,3068 -5,3665 -5,3421 -5,2243 -5,0106 -4,7302 -4,4439 -4,2096 -4,0489 -3,9490 -3,8943 -3,8820 -3,9055 -3,9433 -3,9695 -3,9672 -3,9232 -3,8213 -3,6592 -3,4691 -3,3011 -3,1870 -3,1283 -3,1106 -3,1185 -3,1500 -3,2157 -3,3166 -3,4358 -3,5541 -3,6623 -3,7632 -3,8709 -4,0004 -4,1515 -4,3071 -4,4530 -4,5909 -4,7271 -4,8530 -4,9442 -4,9667 -4,8857 -4,6875 -4,3938 -4,0438 -3,6763 -3,3362 -3,0667 -2,8799 -2,7442 -2,6039 -2,4182 -2,1875 -1,9428 -1,7229 -1,5674 -1,5089 -1,5588 -1,7070 -1,9345 -2,2103 -2,4828 -2,6943 -2,8079 -2,8179 -2,7363 -2,5816 -2,3809 -2,1667 -1,9671 -1,8024 -1,6834 -1,6039 -1,5369 -1,4455 -1,3047 -1,1211 -0,9295 -0,7681 -0,6522 -0,5620 -0,4571 -0,3076 -0,1044 0,1533 0,4649 0,8172 1,1667 1,4380 1,5480 1,4404 1,1046 0,5667 -0,1286 -0,9260 -1,7593 -2,5592 -3,2700 -3,8672 -4,3572 -4,7595 -5,0917 -5,3595 -5,5538 -5,6660 -5,7072 -5,7097 -5,7085 -5,7190 -5,7292 -5,7120 -5,6443 -5,5221 -5,3604 -5,1752 -4,9679 -4,7271 -4,4353 -4,0804 -3,6661 -3,2092 -2,7250 -2,2269 -1,7407 -1,3005 -0,9208 -0,5816 -0,2415 0,1404 0,5845 1,0773 1,5783 2,0433 2,4386 2,7372 2,9250 3,0178 3,0576 3,0896 3,1418 3,2149 3,2823 3,3139 3,2982 3,2337 3,1126 2,9320 2,7127 2,4885 2,2839 2,1135 1,9930 1,9373 1,9438 1,9803 1,9898 1,9149 1,7228 1,4133 1,0056 0,5250 0,0045 -0,5185 -1,0219 -1,5109 -1,9978 -2,4652 -2,8585 -3,1170 -3,2091 -3,1431 -2,9504 -2,6714 -2,3587 -2,0728 -1,8569 -1,7137 -1,6085 -1,4976 -1,3512 -1,1495 -0,8726 -0,5066 -0,0547 0,4645 1,0276 1,6117 2,1916 2,7396 3,2362 3,6760 4,0659 4,4194 4,7520 5,0843 5,4401 5,8266 6,2188 6,5720 6,8454 7,0051 7,0187 6,8651 6,5507 6,1144 5,6142 5,1036 4,6145 4,1634 3,7701 3,4664 3,2826 3,2193 3,2381 3,2862 3,3261 3,3422 3,3373 3,3382 3,3933 3,5364 3,7419 3,9271 4,0033 3,9268 3,7098 3,3947 3,0191 2,6008 2,1483 1,6716 1,1799 0,6817 0,1931 -0,2570 -0,6305 -0,8910 -1,0194 -1,0249 -0,9399 -0,8023 -0,6410 -0,4719 -0,2997 -0,1227 0,0635 0,2710 0,5234 0,8422 1,2242 1,6374 2,0407 2,4054 2,7250 3,0151 3,3030 3,6121 3,9426 4,2683 4,5560 4,7851 4,9499 5,0529 5,1054 5,1307 5,1558 5,2015 5,2818 5,3988 5,5311 5,6392 5,6915 5,6874 5,6625 5,6733 5,7658 5,9509 6,2066 6,4989 6,7954 7,0636 7,2712 7,4040 7,4702 7,4702 7,3713 7,1332 6,7594 6,3123 5,8751 5,5048 5,2143 4,9879 4,8062 4,6618 4,5573 4,4850 4,4119 4,2914 4,0891 3,8037 3,4637 3,1042 2,7530 2,4379 2,1885 2,0188 1,9145 1,8441 1,7815 1,7166 1,6494 1,5845 1,5338 1,5095
Fz    0,7787 0,9154 1,0630 1,1955 1,2860 1,3359 1,3718 1,4196 1,4865 1,5572 1,6041 1,6039 1,5458 1,4417 1,3305 1,2569 1,2443 1,2847 1,3428 1,3735 1,3505 1,2764 1,1659 1,0323 0,8901 0,7531 0,6177 0,4605 0,2586 0,0129 -0,2472 -0,4799 -0,6545 -0,7676 -0,8409 -0,9062 -0,9918 -1,1194 -1,3005 -1,5272 -1,7715 -2,0035 -2,2079 -2,3824 -2,5313 -2,6638 -2,7883 -2,9091 -3,0268 -3,1361 -3,2249 -3,2788 -3,2852 -3,2377 -3,1373 -2,9873 -2,7870 -2,5314 -2,2168 -1,8457 -1,4281 -0,9744 -0,4924 0,0043 0,4920 0,9434 1,3385 1,6704 1,9405 2,1496 2,2982 2,3914 2,4401 2,4623 2,4868 2,5440 2,6409 2,7485 2,8246 2,8473 2,8240 2,7697 2,6790 2,5249 2,2804 1,9408 1,5295 1,0875 0,6529 0,2491 -0,1114 -0,4238 -0,6876 -0,8959 -1,0295 -1,0739 -1,0474 -1,0033 -0,9958 -1,0458 -1,1404 -1,2537 -1,3620 -1,4431 -1,4745 -1,4399 -1,3316 -1,1503 -0,9088 -0,6347 -0,3645 -0,1313 0,0490 0,1866 0,3127 0,4523 0,5978 0,7126 0,7573 0,7148 0,6065 0,4849 0,3964 0,3503 0,3250 0,3019 0,2901 0,3161 0,3927 0,5062 0,6321 0,7553 0,8812 1,0385 1,2647 1,5756 1,9475 2,3253 2,6410 2,8333 2,8694 2,7515 2,5061 2,1683 1,7719 1,3460 0,9161 0,5099 0,1576 -0,1188 -0,3175 -0,4570 -0,5600 -0,6327 -0,6636 -0,6434 -0,5768 -0,4672 -0,3035 -0,0736 0,2199 0,5563 0,9060 1,2460 1,5656 1,8566 2,1039 2,2879 2,3906 2,3995 2,3115 2,1332 1,8788 1,5748 1,2631 0,9868 0,7734 0,6347 0,5764 0,5977 0,6839 0,8093 0,9536 1,1083 1,2685 1,4290 1,5850 1,7266 1,8359 1,8982 1,9172 1,9164 1,9263 1,9696 2,0605 2,2081 2,4134 2,6653 2,9433 3,2262 3,4989 3,7537 3,9837 4,1858 4,3734 4,5701 4,7808 4,9779 5,1192 5,1741 5,1397 5,0396 4,9054 4,7563 4,6016 4,4497 4,2969 4,1161 3,8677 3,5237 3,0803 2,5601 2,0072 1,4767 1,0225 0,6924 0,5219 0,5187 0,6540 0,8676 1,0883 1,2591 1,3542 1,3822 1,3725 1,3473 1,3031 1,2213 1,0944 0,9250 0,6997 0,3880 -0,0264 -0,5217 -1,0426 -1,5253 -1,9209 -2,2040 -2,3715 -2,4348 -2,4048 -2,2783 -2,0483 -1,7334 -1,3898 -1,0908 -0,8965 -0,8387 -0,9241 -1,1448 -1,4794 -1,8822 -2,2901 -2,6507 -2,9378 -3,1458 -3,2859 -3,3894 -3,4991 -3,6501 -3,8538 -4,0912 -4,3198 -4,4937 -4,5810 -4,5724 -4,4816 -4,3455 -4,2228 -4,1792 -4,2565 -4,4495 -4,7104 -4,9731 -5,1834 -5,3167 -5,3721 -5,3524 -5,2594 -5,1094 -4,9428 -4,8037 -4,7055 -4,6259 -4,5388 -4,4364 -4,3215 -4,1981 -4,0733 -3,9580 -3,8523 -3,7368 -3,5905 -3,4149 -3,2299 -3,0531 -2,8936 -2,7650 -2,6901 -2,6946 -2,7943 -2,9774 -3,2085 -3,4542 -3,7006 -3,9504 -4,2116 -4,4892 -4,7793 -5,0696 -5,3503 -5,6236 -5,8943 -6,1470 -6,3373 -6,4059 -6,3088 -6,0438 -5,6488 -5,1694 -4,6406 -4,1005 -3,5918 -3,1376 -2,7275 -2,3361 -1,9553 -1,6087 -1,3339 -1,1608 -1,1071 -1,1733 -1,3339 -1,5497 -1,7887 -2,0254 -2,2279 -2,3654 -2,4245 -2,4117 -2,3381 -2,2139 -2,0565 -1,8913 -1,7411 -1,6200 -1,5340 -1,4755 -1,4232 -1,3563 -1,2726 -1,1926 -1,1434 -1,1358 -1,1500 -1,1351 -1,0346 -0,8198 -0,4961 -0,0901 0,3579 0,7999 1,1852 1,4653 1,5975 1,5503 1,3095 0,8840 0,3060 -0,3755 -1,1035 -1,8200 -2,4809 -3,0712 -3,5997 -4,0820 -4,5304 -4,9488 -5,3268 -5,6497 -5,9139 -6,1256 -6,2850 -6,3745 -6,3667 -6,2414 -5,9977 -5,6557 -5,2495 -4,8100 -4,3522 -3,8728 -3,3558 -2,7883 -2,1754 -1,5379 -0,9013 -0,2955 0,2407 0,6719 0,9906 1,2267 1,4274 1,6339 1,8654 2,1177 2,3739 2,6183 2,8352 3,0037 3,1128 3,1800 3,2408 3,3242 3,4465 3,6097 3,7930 3,9622 4,0923 4,1741 4,2043 4,1885 4,1498 4,1238 4,1454 4,2417 4,4260 4,6887 4,9929 5,2816 5,4934 5,5775 5,5039 5,2695 4,8958 4,4206 3,8845 3,3149 2,7156 2,0739 1,3831 0,6653 -0,0258 -0,6234 -1,0743 -1,3550 -1,4690 -1,4446 -1,3350 -1,2044 -1,1029 -1,0540 -1,0538 -1,0764 -1,0791 -1,0080 -0,8155 -0,4827 -0,0276 0,5051 1,0659 1,6178 2,1345 2,5925 2,9784 3,2997 3,5813 3,8511 4,1307 4,4416 4,8070 5,2329 5,6921 6,1347 6,5117 6,7853 6,9275 6,9211 6,7664 6,4871 6,1279 5,7365 5,3465 4,9764 4,6471 4,3962 4,2661 4,2724 4,3917 4,5792 4,7897 4,9885 5,1605 5,3181 5,4941 5,7110 5,9499 6,1471 6,2261 6,1400 5,8846 5,4758 4,9261 4,2485 3,4747 2,6564 1,8472 1,0876 0,4058 -0,1766 -0,6472 -1,0038 -1,2486 -1,3862 -1,4231 -1,3665 -1,2266 -1,0229 -0,7835 -0,5373 -0,2990 -0,0581 0,2182 0,5630 0,9861 1,4664 1,9639 2,4359 2,8552 3,2223 3,5606 3,8949 4,2348 4,5747 4,9110 5,2481 5,5852 5,9085 6,2017 6,4611 6,6971 6,9289 7,1763 7,4453 7,7174 7,9609 8,1557 8,3024 8,4186 8,5345 8,6759 8,8437 9,0158 9,1734 9,3177 9,4587 9,5980 9,7299 9,8487 9,9325 9,9297 9,7838 9,4788 9,0578 8,6015 8,1888 7,8650 7,6323 7,4619 7,3137 7,1507 6,9410 6,6601 6,2988 5,8719 5,4138 4,9588 4,5187 4,0866 3,6593 3,2483 2,8700 2,5312 2,2284 1,9600 1,7371 1,5766 1,4851 1,4573 1,4819
F3    0,5613 0,8455 1,1047 1,2926 1,3784 1,3839 1,3758 1,4138 1,5115 1,6385 1,7464 1,7931 1,7565 1,6439 1,4937 1,3534 1,2562 1,2088 1,1848 1,1424 1,0591 0,9416 0,8044 0,6569 0,5110 0,3840 0,2759 0,1551 -0,0182 -0,2520 -0,5145 -0,7578 -0,9481 -1,0775 -1,1546 -1,1936 -1,2148 -1,2506 -1,3342 -1,4722 -1,6369 -1,7953 -1,9324 -2,0425 -2,1211 -2,1708 -2,2007 -2,2225 -2,2534 -2,3096 -2,3943 -2,4933 -2,5818 -2,6361 -2,6432 -2,6001 -2,5082 -2,3685 -2,1825 -1,9555 -1,6938 -1,3934 -1,0420 -0,6406 -0,2117 0,2136 0,6147 0,9857 1,3238 1,6171 1,8471 2,0004 2,0757 2,0895 2,0770 2,0781 2,1089 2,1495 2,1666 2,1455 2,0944 2,0173 1,8895 1,6662 1,3137 0,8356 0,2835 -0,2588 -0,7167 -1,0582 -1,2935 -1,4546 -1,5699 -1,6440 -1,6577 -1,5972 -1,4885 -1,3970 -1,3825 -1,4592 -1,5980 -1,7563 -1,8949 -1,9766 -1,9733 -1,8816 -1,7166 -1,4935 -1,2267 -0,9400 -0,6654 -0,4331 -0,2603 -0,1356 -0,0215 0,1080 0,2338 0,3052 0,2748 0,1261 -0,1040 -0,3333 -0,4871 -0,5463 -0,5410 -0,5084 -0,4587 -0,3797 -0,2649 -0,1269 0,0144 0,1535 0,3092 0,5168 0,8064 1,1831 1,6221 2,0755 2,4770 2,7535 2,8460 2,7283 2,4116 1,9353 1,3519 0,7163 0,0853 -0,4837 -0,9472 -1,2893 -1,5179 -1,6476 -1,6871 -1,6387 -1,5041 -1,2926 -1,0210 -0,6992 -0,3236 0,1017 0,5471 0,9663 1,3246 1,6178 1,8651 2,0847 2,2780 2,4293 2,5111 2,4945 2,3603 2,1041 1,7399 1,3103 0,8843 0,5273 0,2698 0,1090 0,0331 0,0281 0,0668 0,1140 0,1469 0,1636 0,1777 0,2154 0,3066 0,4609 0,6550 0,8507 1,0215 1,1627 1,2778 1,3657 1,4269 1,4787 1,5527 1,6740 1,8471 2,0566 2,2817 2,5083 2,7233 2,9175 3,0979 3,2790 3,4567 3,6046 3,6939 3,7105 3,6604 3,5669 3,4574 3,3479 3,2420 3,1340 3,0034 2,8161 2,5425 2,1741 1,7220 1,2095 0,6753 0,1756 -0,2284 -0,4849 -0,5598 -0,4492 -0,1934 0,1284 0,4287 0,6483 0,7683 0,8015 0,7745 0,7056 0,5955 0,4425 0,2610 0,0671 -0,1569 -0,4617 -0,8844 -1,4087 -1,9672 -2,4763 -2,8713 -3,1216 -3,2320 -3,2325 -3,1546 -3,0044 -2,7639 -2,4337 -2,0690 -1,7570 -1,5635 -1,5101 -1,5917 -1,7996 -2,1164 -2,4936 -2,8597 -3,1588 -3,3716 -3,5034 -3,5764 -3,6349 -3,7350 -3,9184 -4,1912 -4,5171 -4,8285 -5,0523 -5,1395 -5,0800 -4,8970 -4,6384 -4,3789 -4,2052 -4,1755 -4,2876 -4,4881 -4,7004 -4,8602 -4,9401 -4,9432 -4,8743 -4,7323 -4,5331 -4,3228 -4,1505 -4,0253 -3,9172 -3,8015 -3,6835 -3,5816 -3,5058 -3,4530 -3,4125 -3,3665 -3,2939 -3,1861 -3,0565 -2,9304 -2,8326 -2,7836 -2,7933 -2,8570 -2,9660 -3,1143 -3,2858 -3,4538 -3,6010 -3,7252 -3,8307 -3,9330 -4,0570 -4,2170 -4,4083 -4,6242 -4,8690 -5,1431 -5,4184 -5,6329 -5,7139 -5,6188 -5,3636 -5,0108 -4,6208 -4,2240 -3,8423 -3,5020 -3,2116 -2,9446 -2,6592 -2,3343 -1,9902 -1,6807 -1,4710 -1,4166 -1,5361 -1,7946 -2,1303 -2,4899 -2,8263 -3,0863 -3,2286 -3,2470 -3,1675 -3,0223 -2,8284 -2,5932 -2,3292 -2,0587 -1,8107 -1,6125 -1,4761 -1,3925 -1,3432 -1,3128 -1,2967 -1,3005 -1,3323 -1,3852 -1,4219 -1,3911 -1,2628 -1,0334 -0,7093 -0,3019 0,1693 0,6660 1,1167 1,4267 1,5161 1,3517 0,9457 0,3358 -0,4301 -1,2947 -2,1827 -3,0098 -3,7161 -4,2911 -4,7629 -5,1688 -5,5293 -5,8410 -6,0950 -6,2957 -6,4558 -6,5743 -6,6298 -6,5993 -6,4749 -6,2582 -5,9594 -5,6075 -5,2415 -4,8892 -4,5538 -4,2134 -3,8348 -3,3933 -2,8795 -2,2981 -1,6767 -1,0729 -0,5523 -0,1462 0,1661 0,4378 0,7261 1,0699 1,4783 1,9330 2,3938 2,8036 3,1062 3,2800 3,3550 3,3906 3,4417 3,5400 3,6847 3,8432 3,9741 4,0500 4,0537 3,9729 3,8153 3,6213 3,4464 3,3344 3,3128 3,3976 3,5851 3,8404 4,0996 4,2895 4,3528 4,2650 4,0380 3,7049 3,2976 2,8412 2,3576 1,8573 1,3329 0,7741 0,1937 -0,3639 -0,8426 -1,2060 -1,4492 -1,5806 -1,6093 -1,5541 -1,4521 -1,3497 -1,2845 -1,2715 -1,3020 -1,3471 -1,3585 -1,2765 -1,0541 -0,6848 -0,2063 0,3282 0,8774 1,4113 1,9048 2,3433 2,7284 3,0773 3,4165 3,7744 4,1800 4,6557 5,1925 5,7345 6,2031 6,5324 6,6849 6,6544 6,4629 6,1493 5,7575 5,3311 4,9094 4,5210 4,1862 3,9294 3,7844 3,7801 3,9143 4,1447 4,4068 4,6404 4,8095 4,9087 4,9580 4,9940 5,0498 5,1239 5,1687 5,1187 4,9341 4,6161 4,1840 3,6512 3,0260 2,3290 1,6013 0,8910 0,2319 -0,3652 -0,9006 -1,3666 -1,7410 -1,9965 -2,1213 -2,1251 -2,0258 -1,8397 -1,5878 -1,3033 -1,0257 -0,7810 -0,5630 -0,3332 -0,0476 0,3117 0,7297 1,1775 1,6301 2,0717 2,4949 2,8991 3,2873 3,6576 4,0029 4,3256 4,6444 4,9781 5,3299 5,6892 6,0446 6,3885 6,7167 7,0306 7,3288 7,5941 7,8003 7,9328 7,9974 8,0169 8,0257 8,0588 8,1387 8,2734 8,4633 8,7039 8,9788 9,2591 9,5202 9,7461 9,9014 9,9139 9,7148 9,2995 8,7359 8,1155 7,5103 6,9621 6,4871 6,0878 5,7607 5,4945 5,2650 5,0375 4,7813 4,4859 4,1680 3,8586 3,5756 3,3107 3,0457 2,7776 2,5179 2,2744 2,0432 1,8168 1,6021 1,4225 1,3002 1,2404 1,2295
F7    1,1666 1,2238 1,1909 1,0858 0,9372 0,7885 0,6956 0,6950 0,7737 0,8719 0,9249 0,9070 0,8247 0,6963 0,5676 0,5055 0,5375 0,6103 0,6345 0,5817 0,5106 0,4848 0,5109 0,5669 0,6380 0,6985 0,6838 0,5085 0,1275 -0,4068 -0,9469 -1,3301 -1,4721 -1,3950 -1,1811 -0,9171 -0,6785 -0,5307 -0,5167 -0,6370 -0,8482 -1,0851 -1,2887 -1,4130 -1,4256 -1,3302 -1,1661 -0,9716 -0,7785 -0,6297 -0,5571 -0,5523 -0,5856 -0,6391 -0,7044 -0,7662 -0,8036 -0,8080 -0,8050 -0,8501 -0,9633 -1,0703 -1,0566 -0,8735 -0,5722 -0,2493 0,0361 0,2985 0,5864 0,9105 1,2032 1,3513 1,2828 1,0250 0,6740 0,3226 0,0177 -0,2421 -0,4811 -0,7081 -0,8853 -0,9467 -0,8627 -0,6900 -0,5503 -0,5474 -0,6915 -0,9123 -1,1417 -1,3567 -1,5525 -1,7308 -1,9114 -2,1065 -2,2885 -2,4272 -2,5447 -2,6902 -2,8754 -3,0739 -3,2631 -3,4308 -3,5491 -3,5688 -3,4407 -3,1466 -2,7210 -2,2458 -1,8105 -1,4601 -1,1743 -0,9030 -0,6187 -0,3250 -0,0358 0,2232 0,4016 0,4441 0,3264 0,0646 -0,2985 -0,6959 -1,0431 -1,2682 -1,3458 -1,3094 -1,2284 -1,1558 -1,0979 -1,0337 -0,9439 -0,8100 -0,6021 -0,2823 0,1735 0,7446 1,3567 1,9079 2,3193 2,5699 2,6786 2,6514 2,4533 2,0373 1,4028 0,6303 -0,1412 -0,7827 -1,2338 -1,5045 -1,6238 -1,5945 -1,4120 -1,1151 -0,7858 -0,4963 -0,2677 -0,0691 0,1587 0,4642 0,8407 1,2120 1,4768 1,5788 1,5416 1,4473 1,3893 1,4227 1,5296 1,6352 1,6676 1,5847 1,3660 1,0303 0,6476 0,3022 0,0499 -0,0791 -0,0741 0,0197 0,0878 0,0130 -0,2415 -0,6176 -1,0187 -1,3634 -1,5919 -1,6696 -1,6031 -1,4317 -1,2002 -0,9477 -0,7181 -0,5665 -0,5254 -0,5560 -0,5668 -0,4978 -0,3693 -0,2499 -0,1837 -0,1596 -0,1550 -0,1670 -0,1765 -0,1278 0,0237 0,2740 0,5906 0,9348 1,2579 1,5078 1,6482 1,6748 1,6237 1,5515 1,4876 1,4072 1,2541 0,9782 0,5563 0,0091 -0,5994 -1,1963 -1,7243 -2,1312 -2,3549 -2,3383 -2,0778 -1,6459 -1,1596 -0,7399 -0,4744 -0,3781 -0,4062 -0,5243 -0,7550 -1,1409 -1,6582 -2,1948 -2,6430 -2,9872 -3,2771 -3,5384 -3,7364 -3,8240 -3,8089 -3,7589 -3,7526 -3,8433 -4,0512 -4,3420 -4,6184 -4,7865 -4,8309 -4,7816 -4,6468 -4,4326 -4,1988 -4,0620 -4,1375 -4,4628 -4,9778 -5,5735 -6,1384 -6,5772 -6,8383 -6,9441 -6,9786 -7,0233 -7,0997 -7,1804 -7,2373 -7,2594 -7,2435 -7,1787 -7,0399 -6,8173 -6,5669 -6,4008 -6,3947 -6,5192 -6,6751 -6,7654 -6,7259 -6,5430 -6,2679 -5,9816 -5,7197 -5,4520 -5,1434 -4,8133 -4,5178 -4,2949 -4,1539 -4,0974 -4,1347 -4,2675 -4,4562 -4,6041 -4,6013 -4,4029 -4,0589 -3,6771 -3,3848 -3,3080 -3,5312 -4,0323 -4,6642 -5,2381 -5,6244 -5,7732 -5,6865 -5,3934 -4,9399 -4,3992 -3,8712 -3,4538 -3,2170 -3,2063 -3,4552 -3,9653 -4,6689 -5,4301 -6,0877 -6,5041 -6,6133 -6,4360 -6,0465 -5,5481 -5,0607 -4,6759 -4,4147 -4,2423 -4,1074 -3,9670 -3,8059 -3,6463 -3,5200 -3,4219 -3,3235 -3,2413 -3,2334 -3,3362 -3,5578 -3,8920 -4,2917 -4,6547 -4,8626 -4,8457 -4,6241 -4,2758 -3,8633 -3,4066 -2,9168 -2,4169 -1,9383 -1,5336 -1,2836 -1,2483 -1,4036 -1,6649 -1,9645 -2,2729 -2,5734 -2,8330 -2,9943 -3,0191 -2,9213 -2,7336 -2,4744 -2,1545 -1,7866 -1,3932 -1,0254 -0,7664 -0,6989 -0,8761 -1,3018 -1,9140 -2,6143 -3,3213 -3,9875 -4,5865 -5,1016 -5,5059 -5,7650 -5,8895 -5,9554 -6,0429 -6,1901 -6,4069 -6,6831 -6,9796 -7,2479 -7,4532 -7,5727 -7,5927 -7,5108 -7,3429 -7,1202 -6,8608 -6,5552 -6,1964 -5,8036 -5,4005 -4,9680 -4,4333 -3,7252 -2,8426 -1,8737 -0,9428 -0,1360 0,5063 0,9504 1,1715 1,1809 1,0316 0,7972 0,5484 0,3535 0,2828 0,3785 0,6282 0,9783 1,3565 1,6865 1,9188 2,0484 2,0771 1,9786 1,7410 1,4152 1,0905 0,8529 0,7743 0,9090 1,2685 1,7663 2,2041 2,3608 2,1235 1,5584 0,8619 0,2132 -0,3341 -0,8205 -1,2851 -1,7258 -2,1227 -2,4721 -2,7932 -3,1014 -3,3891 -3,6294 -3,7799 -3,7859 -3,5972 -3,1908 -2,5950 -1,9110 -1,2867 -0,8420 -0,6244 -0,6284 -0,8246 -1,1469 -1,4712 -1,6606 -1,6229 -1,3136 -0,7352 0,0365 0,8578 1,5872 2,1529 2,5521 2,8179 3,0029 3,1850 3,4586 3,8730 4,3896 4,9153 5,3508 5,6144 5,6729 5,5688 5,3848 5,1774 4,9695 4,7758 4,5848 4,3422 3,9997 3,5768 3,1601 2,8467 2,6863 2,6661 2,7429 2,8837 3,0710 3,2819 3,4847 3,6457 3,7170 3,6349 3,3624 2,9346 2,4424 1,9739 1,5842 1,2958 1,0926 0,9117 0,6643 0,2871 -0,2205 -0,8026 -1,3864 -1,9084 -2,3045 -2,5100 -2,4918 -2,2742 -1,9295 -1,5446 -1,1896 -0,9025 -0,6845 -0,5093 -0,3499 -0,1937 -0,0330 0,1506 0,3772 0,6445 0,9315 1,2280 1,5557 1,9502 2,4058 2,8537 3,2220 3,4914 3,6745 3,7870 3,8692 3,9911 4,1967 4,4697 4,7633 5,0291 5,2153 5,2768 5,1980 4,9990 4,7302 4,4621 4,2561 4,1406 4,1177 4,1849 4,3551 4,6525 5,0802 5,5950 6,1082 6,4984 6,6421 6,4786 6,0545 5,4764 4,8359 4,1990 3,6257 3,1636 2,8304 2,6106 2,4635 2,3314 2,1557 1,9005 1,5534 1,1223 0,6648 0,2994 0,1393 0,2097 0,4305 0,6689 0,8110 0,7996 0,6270 0,3230 -0,0393 -0,3554 -0,5475 -0,6162
