Fp1   -1,0899 -1,0639 -1,0933 -1,2323 -1,4701 -1,7398 -1,9487 -1,9993 -1,8409 -1,5302 -1,2102 -1,0222 -1,0423 -1,2601 -1,5765 -1,8461 -1,9505 -1,8497 -1,5923 -1,2841 -1,0228 -0,8504 -0,7566 -0,6943 -0,5947 -0,3894 -0,0365 0,4542 1,0223 1,5905 2,0888 2,4483 2,5978 2,4900 2,1441 1,6445 1,0974 0,6128 0,3010 0,2342 0,3994 0,7060 1,0519 1,3756 1,6543 1,8796 2,0432 2,1257 2,0941 1,9316 1,6724 1,3986 1,2193 1,2439 1,5318 2,0461 2,6496 3,1623 3,4650 3,5363 3,3851 3,0242 2,5313 2,0592 1,7586 1,7190 1,9596 2,4325 3,0303 3,6032 3,9763 3,9827 3,5398 2,7180 1,7132 0,7452 -0,0069 -0,4287 -0,5100 -0,3508 -0,0820 0,2165 0,5342 0,9209 1,4453 2,1228 2,8920 3,6536 4,2950 4,7005 4,7973 4,6059 4,2295 3,7906 3,3724 3,0087 2,7004 2,4284 2,1665 1,8875 1,5581 1,1622 0,7348 0,3321 -0,0412 -0,4435 -0,9260 -1,4591 -1,9337 -2,2435 -2,3708 -2,3871 -2,3795 -2,3959 -2,4528 -2,5607 -2,7322 -2,9852 -3,3467 -3,8379 -4,4452 -5,1082 -5,7316 -6,2065 -6,4396 -6,3855 -6,0706 -5,5901 -5,0695 -4,6139 -4,2603 -3,9520 -3,5924 -3,1322 -2,5917 -2,0413 -1,5839 -1,2973 -1,1712 -1,1201 -1,0408 -0,8694 -0,6228 -0,3699 -0,1378 0,1352 0,5461 1,1336 1,8371 2,5583 3,2577 3,9789 4,7950 5,7435 6,7899 7,8398 8,7918 9,5764 10,1490 10,4781 10,5503 10,3907 10,0842 9,7617 9,5308 9,4157 9,3612 9,2880 9,1513 8,9529 8,7096 8,4404 8,1971 8,0651 8,1054 8,2992 8,5491 8,7418 8,8200 8,7980 8,7294 8,6673 8,6346 8,6160 8,5550 8,3653 7,9979 7,5075 7,0193 6,6491 6,4713 6,5328 6,8518 7,3852 8,0115 8,5603 8,8750 8,8840 8,6219 8,1761 7,6164 6,9774 6,3005 5,6761 5,2066 4,9239 4,7843 4,7270 4,6830 4,5527 4,2421 3,7409 3,1546 2,6512 2,3625 2,3163 2,4499 2,6753 2,9178 3,1048 3,1477 2,9598 2,5054 1,8301 1,0367 0,2548 -0,3652 -0,6987 -0,7264 -0,5328 -0,2460 0,0084 0,1626 0,2559 0,4070 0,7251 1,2327 1,8322 2,3314 2,5272 2,3036 1,6771 0,7797 -0,1926 -1,0428 -1,6298 -1,8975 -1,8731 -1,6353 -1,2650 -0,8425 -0,4891 -0,3584 -0,5557 -1,0641 -1,7502 -2,4517 -3,0608 -3,5452 -3,9259 -4,2185 -4,3723 -4,2910 -3,9161 -3,2805 -2,4922 -1,6692 -0,8997 -0,2689 0,1233 0,2188 0,0652 -0,1984 -0,4147 -0,4728 -0,3578 -0,1534 0,0371 0,1789 0,3039 0,4538 0,6499 0,8985 1,2077 1,5822 2,0061 2,4504 2,8931 3,3200 3,7083 4,0195 4,2098 4,2506 4,1519 3,9769 3,8153 3,7187 3,6705 3,6268 3,5715 3,5414 3,6243 3,9054 4,3671 4,8700 5,2710 5,5258 5,6641 5,7125 5,6725 5,5562 5,4058 5,2720 5,1990 5,2250 5,3638 5,5988 5,9102 6,2777 6,6560 6,9836 7,2150 7,3458 7,4160 7,5007 7,6831 7,9965 8,3941 8,8126 9,2444 9,7136 10,2175 10,7294 11,2388 11,7417 12,1915 12,5062 12,6380 12,6239 12,5649 12,5519 12,6117 12,7216 12,8437 12,9450 13,0059 13,0110 12,9398 12,7788 12,5346 12,2318 11,9039 11,5885 11,3326 11,1867 11,1696 11,2420 11,3437 11,4623 11,6380 11,9147 12,3070 12,7789 13,2367 13,5691 13,7107 13,6604 13,4454 13,0954 12,6708 12,2918 12,1069 12,2083 12,5574 12,9838 13,2713 13,2650 12,9262 12,3216 11,5713 10,7806 10,0196 9,3740 8,9507 8,7907 8,8202 8,9249 9,0357 9,1281 9,1902 9,2159 9,2057 9,1423 8,9693 8,6248 8,1105 7,5077 6,9254 6,4343 6,0344 5,6852 5,3684 5,1161 4,9843 5,0050 5,1555 5,3541 5,4852 5,4542 5,2445 4,9128 4,5310 4,1537 3,8198 3,5605 3,4148 3,4283 3,6058 3,8625 4,0635 4,1323 4,0979 4,0504 4,0744 4,1973 4,3924 4,6293 4,8942 5,1698 5,4365 5,6962 5,9677 6,2531 6,5125 6,6749 6,6815 6,5321 6,3011 6,1077 6,0582 6,2021 6,5264 6,9605 7,3735 7,6116 7,5854 7,3211 6,9196 6,4991 6,1640 5,9626 5,8660 5,8226 5,8144 5,8357 5,8614 5,8674 5,8606 5,8678 5,8959 5,9209 5,9257 5,9269 5,9366 5,9106 5,7548 5,3952 4,8460 4,2135 3,6381 3,2329 3,0546 3,1000 3,3070 3,5595 3,7386 3,7970 3,7604 3,6620 3,5041 3,2694 2,9358 2,4963 1,9958 1,5338 1,1884 0,9327 0,6315 0,1312 -0,6262 -1,5597 -2,5138 -3,3585 -4,0080 -4,3856 -4,4547 -4,2766 -3,9675 -3,5979 -3,1807 -2,7380 -2,3178 -1,9524 -1,6393 -1,3507 -1,0515 -0,7241 -0,3767 -0,0503 0,1637 0,1603 -0,0917 -0,5082 -0,9389 -1,2558 -1,4087 -1,4044 -1,2564 -0,9629 -0,5441 -0,0874 0,2891 0,5406 0,7387 1,0025 1,4004 1,9123 2,4620 2,9689 3,3777 3,6707 3,8744 4,0436 4,2180 4,3873 4,5019 4,5117 4,3918 4,1632 3,9088 3,7347 3,7119 3,8768 4,2370 4,7309 5,2263 5,5896 5,7357 5,6258 5,2666 4,7264 4,1252 3,5771 3,1350 2,8068 2,5967 2,5153 2,5822 2,7984 3,0899 3,3190 3,3765 3,2440 2,9739 2,6393 2,3049 2,0289 1,8663 1,8637 2,0592 2,4598 3,0006 3,5597 4,0125 4,2659 4,2704 4,0300 3,5962 3,0436 2,4436 1,8507 1,3105 0,8713 0,5861 0,4919 0,5661 0,7182 0,8664 1,0127 1,2140 1,4925 1,7888 1,9943 2,0312 1,9174 1,7603 1,6764 1,7146 1,8671 2,1330
Fz    -0,5076 -0,5818 -0,7092 -0,8947 -1,1109 -1,3181 -1,4795 -1,5579 -1,5314 -1,4276 -1,3210 -1,2917 -1,3887 -1,6049 -1,8654 -2,0598 -2,1058 -1,9862 -1,7454 -1,4623 -1,2096 -1,0273 -0,9222 -0,8703 -0,8178 -0,6934 -0,4387 -0,0406 0,4623 1,0063 1,5280 1,9657 2,2569 2,3619 2,2965 2,1257 1,9187 1,7230 1,5687 1,4735 1,4352 1,4296 1,4307 1,4260 1,4095 1,3746 1,3200 1,2481 1,1572 1,0516 0,9577 0,9177 0,9803 1,1935 1,5743 2,0763 2,5934 3,0049 3,2384 3,2898 3,1905 2,9856 2,7398 2,5269 2,4060 2,4178 2,5825 2,8841 3,2605 3,6085 3,8034 3,7451 3,4125 2,8757 2,2462 1,6261 1,1041 0,7541 0,6053 0,6269 0,7619 0,9715 1,2527 1,6330 2,1427 2,7664 3,4281 4,0257 4,4678 4,6923 4,6881 4,5047 4,2289 3,9399 3,6793 3,4528 3,2514 3,0658 2,8895 2,7102 2,4997 2,2357 1,9305 1,6176 1,3065 0,9714 0,5883 0,1703 -0,2292 -0,5463 -0,7530 -0,8789 -0,9814 -1,1037 -1,2592 -1,4376 -1,6167 -1,7848 -1,9643 -2,2045 -2,5360 -2,9386 -3,3479 -3,6889 -3,9073 -3,9857 -3,9461 -3,8376 -3,7073 -3,5796 -3,4447 -3,2578 -2,9731 -2,5879 -2,1385 -1,6701 -1,2246 -0,8358 -0,5181 -0,2583 -0,0183 0,2421 0,5356 0,8564 1,2182 1,6571 2,1978 2,8276 3,4981 4,1562 4,7884 5,4274 6,1109 6,8415 7,5831 8,2869 8,9208 9,4726 9,9308 10,2719 10,4743 10,5453 10,5393 10,5399 10,6099 10,7531 10,9210 11,0462 11,0737 10,9735 10,7439 10,4162 10,0603 9,7681 9,6088 9,5899 9,6500 9,6988 9,6802 9,6001 9,5020 9,4239 9,3703 9,3067 9,1700 8,9018 8,4953 8,0158 7,5656 7,2346 7,0833 7,1492 7,4446 7,9329 8,5117 9,0287 9,3405 9,3854 9,1969 8,8457 8,3814 7,8344 7,2552 6,7290 6,3357 6,0994 5,9872 5,9459 5,9134 5,8139 5,5831 5,2163 4,7856 4,4066 4,1783 4,1320 4,2282 4,4004 4,5886 4,7375 4,7856 4,6768 4,3894 3,9559 3,4518 2,9688 2,5948 2,3887 2,3566 2,4611 2,6459 2,8509 3,0374 3,2154 3,4334 3,7280 4,0784 4,3970 4,5606 4,4678 4,0878 3,4715 2,7275 1,9856 1,3615 0,9298 0,7121 0,6777 0,7612 0,8994 1,0500 1,1719 1,2108 1,1152 0,8696 0,5106 0,1032 -0,2949 -0,6438 -0,9208 -1,1099 -1,1832 -1,1027 -0,8459 -0,4267 0,1026 0,6713 1,2123 1,6617 1,9598 2,0750 2,0275 1,8842 1,7320 1,6447 1,6461 1,7014 1,7622 1,8150 1,8787 1,9776 2,1346 2,3749 2,7154 3,1420 3,6067 4,0584 4,4723 4,8459 5,1778 5,4497 5,6243 5,6681 5,5817 5,4096 5,2164 5,0497 4,9298 4,8634 4,8547 4,9114 5,0518 5,2915 5,6038 5,9147 6,1582 6,3199 6,4113 6,4270 6,3512 6,1952 6,0075 5,8488 5,7681 5,7886 5,9021 6,0805 6,3012 6,5563 6,8410 7,1419 7,4329 7,6875 7,9020 8,1126 8,3724 8,6995 9,0606 9,4140 9,7441 10,0456 10,3059 10,5207 10,7113 10,9032 11,0919 11,2450 11,3422 11,4025 11,4685 11,5658 11,6837 11,7953 11,8812 11,9319 11,9440 11,9198 11,8658 11,7902 11,7001 11,5977 11,4795 11,3466 11,2215 11,1425 11,1326 11,1802 11,2620 11,3778 11,5482 11,7865 12,0846 12,4098 12,7077 12,9195 13,0073 12,9657 12,8094 12,5654 12,2853 12,0519 11,9554 12,0425 12,2742 12,5345 12,6906 12,6636 12,4580 12,1373 11,7716 11,4035 11,0544 10,7547 10,5427 10,4249 10,3588 10,2929 10,1992 10,0628 9,8708 9,6263 9,3516 9,0678 8,7747 8,4588 8,1207 7,7871 7,4957 7,2691 7,0939 6,9311 6,7571 6,5897 6,4710 6,4264 6,4375 6,4441 6,3710 6,1734 5,8701 5,5290 5,2217 4,9910 4,8417 4,7508 4,6989 4,6884 4,7213 4,7696 4,7946 4,7911 4,7913 4,8303 4,9267 5,0799 5,2779 5,5050 5,7364 5,9349 6,0777 6,1847 6,3043 6,4646 6,6415 6,7771 6,8307 6,8134 6,7813 6,8029 6,9289 7,1739 7,5088 7,8648 8,1499 8,2845 8,2457 8,0743 7,8357 7,5876 7,3738 7,2168 7,1127 7,0442 6,9915 6,9304 6,8443 6,7457 6,6748 6,6658 6,7150 6,7866 6,8531 6,9151 6,9694 6,9682 6,8312 6,5103 6,0381 5,5097 5,0291 4,6748 4,4821 4,4375 4,4927 4,5819 4,6471 4,6681 4,6571 4,6263 4,5732 4,4837 4,3296 4,0812 3,7414 3,3596 2,9941 2,6580 2,2980 1,8326 1,2180 0,4783 -0,3193 -1,1031 -1,7993 -2,3221 -2,6090 -2,6703 -2,5748 -2,3847 -2,1300 -1,8335 -1,5233 -1,2139 -0,8952 -0,5424 -0,1403 0,2943 0,7183 1,0836 1,3435 1,4641 1,4462 1,3260 1,1594 1,0012 0,8851 0,8257 0,8403 0,9552 1,1829 1,4944 1,8304 2,1488 2,4584 2,8028 3,2161 3,6920 4,1845 4,6331 4,9882 5,2304 5,3816 5,4951 5,6233 5,7883 5,9754 6,1487 6,2735 6,3364 6,3539 6,3559 6,3670 6,4079 6,4857 6,5659 6,5838 6,4991 6,3179 6,0655 5,7638 5,4380 5,1256 4,8635 4,6716 4,5610 4,5449 4,6320 4,8170 5,0633 5,2902 5,4011 5,3414 5,1250 4,8121 4,4677 4,1391 3,8706 3,7183 3,7345 3,9413 4,3083 4,7519 5,1689 5,4741 5,6088 5,5440 5,2925 4,9045 4,4465 3,9826 3,5580 3,1930 2,8941 2,6715 2,5391 2,4956 2,5171 2,5786 2,6696 2,7802 2,8852 2,9474 2,9387 2,8668 2,7792 2,7354 2,7666 2,8640 3,0151 3,2429
F3    -1,2203 -1,1102 -1,0787 -1,1736 -1,3657 -1,5748 -1,7186 -1,7316 -1,5774 -1,2786 -0,9306 -0,6719 -0,6229 -0,8136 -1,1501 -1,4681 -1,6334 -1,5963 -1,3846 -1,0710 -0,7339 -0,4340 -0,2173 -0,1133 -0,1035 -0,1035 -0,0092 0,2226 0,5570 0,9316 1,2932 1,5950 1,7919 1,8504 1,7730 1,6058 1,4098 1,2324 1,1050 1,0447 1,0447 1,0751 1,1101 1,1420 1,1591 1,1354 1,0618 0,9702 0,9036 0,8722 0,8484 0,7944 0,7093 0,6551 0,7144 0,9135 1,1894 1,4370 1,5951 1,6667 1,6683 1,6131 1,5477 1,5525 1,6958 2,0058 2,4653 3,0007 3,4861 3,7771 3,7475 3,3288 2,5641 1,6194 0,7018 -0,0291 -0,4645 -0,5249 -0,2016 0,3921 1,0513 1,5678 1,8182 1,8203 1,7085 1,6328 1,6804 1,8581 2,1008 2,3087 2,4134 2,4078 2,3258 2,2131 2,1087 2,0386 2,0109 2,0065 1,9840 1,8974 1,7078 1,4107 1,0659 0,7618 0,5326 0,3386 0,1257 -0,1168 -0,3533 -0,5461 -0,7119 -0,9249 -1,2456 -1,6565 -2,0733 -2,4004 -2,5790 -2,6227 -2,6225 -2,7049 -2,9596 -3,3925 -3,9340 -4,4757 -4,9121 -5,1838 -5,2955 -5,2957 -5,2342 -5,1278 -4,9446 -4,6155 -4,0888 -3,3808 -2,5709 -1,7782 -1,1378 -0,7376 -0,5577 -0,4960 -0,4458 -0,3518 -0,2327 -0,1472 -0,1029 -0,0142 0,2323 0,6810 1,2830 1,9627 2,6998 3,5283 4,4668 5,4689 6,4322 7,2445 7,8353 8,1947 8,3523 8,3565 8,2737 8,1905 8,2059 8,3934 8,7456 9,1625 9,5019 9,6457 9,5445 9,2259 8,7617 8,2337 7,7404 7,4022 7,3109 7,4576 7,7170 7,9163 7,9404 7,7890 7,5535 7,3471 7,2355 7,2043 7,1738 7,0535 6,8158 6,5269 6,3007 6,2295 6,3484 6,6405 7,0522 7,4977 7,8640 8,0333 7,9368 7,6164 7,2107 6,8471 6,5509 6,2625 5,9281 5,5661 5,2483 5,0265 4,9049 4,8669 4,8763 4,8561 4,7179 4,4352 4,0795 3,7820 3,6525 3,7179 3,9257 4,1928 4,4374 4,5763 4,5259 4,2273 3,6806 2,9504 2,1348 1,3475 0,7252 0,3944 0,4008 0,6885 1,1293 1,5695 1,9059 2,1500 2,4056 2,7783 3,2951 3,8763 4,3609 4,5774 4,4247 3,9135 3,1503 2,2878 1,4796 0,8562 0,5035 0,4346 0,5848 0,8533 1,1440 1,3618 1,4031 1,1888 0,7256 0,1200 -0,4911 -1,0226 -1,4647 -1,8537 -2,2053 -2,4506 -2,4615 -2,1512 -1,5356 -0,7032 0,2511 1,2491 2,1949 2,9532 3,3923 3,4532 3,1810 2,7077 2,2001 1,7864 1,5052 1,3319 1,2408 1,2307 1,3165 1,5167 1,8359 2,2452 2,6767 3,0562 3,3605 3,6353 3,9417 4,2943 4,6460 4,9168 5,0376 4,9920 4,8338 4,6524 4,5037 4,3827 4,2701 4,1895 4,2111 4,4105 4,8135 5,3479 5,8568 6,1891 6,2769 6,1290 5,7864 5,3072 4,7751 4,2950 3,9684 3,8741 4,0501 4,4628 5,0047 5,5459 5,9938 6,3192 6,5470 6,7190 6,8561 6,9577 7,0340 7,1353 7,3328 7,6688 8,1386 8,7102 9,3415 9,9886 10,6242 11,2468 11,8477 12,3706 12,7322 12,8814 12,8263 12,6121 12,2829 11,8736 11,4348 11,0381 10,7421 10,5545 10,4334 10,3305 10,2347 10,1690 10,1567 10,2013 10,2935 10,4217 10,5655 10,6814 10,7162 10,6566 10,5598 10,5157 10,5873 10,7944 11,1210 11,5136 11,8880 12,1605 12,2752 12,1976 11,9163 11,4805 11,0308 10,7604 10,8138 11,1939 11,7483 12,2400 12,4575 12,3072 11,8422 11,2051 10,5308 9,9052 9,4005 9,0844 8,9623 8,9531 8,9561 8,9158 8,8118 8,6322 8,3797 8,0797 7,7601 7,4232 7,0551 6,6683 6,3137 6,0434 5,8726 5,7705 5,6874 5,5962 5,5131 5,4849 5,5524 5,7123 5,8979 5,9976 5,9179 5,6471 5,2480 4,7946 4,3428 3,9477 3,6710 3,5614 3,6302 3,8298 4,0474 4,1596 4,1203 3,9848 3,8615 3,8462 3,9740 4,2248 4,5712 4,9947 5,4580 5,9019 6,2780 6,5614 6,7322 6,7621 6,6283 6,3377 5,9438 5,5353 5,2081 5,0509 5,1310 5,4593 5,9634 6,5036 6,9313 7,1575 7,1874 7,0940 6,9666 6,8694 6,8093 6,7373 6,6022 6,3974 6,1589 5,9466 5,8336 5,8821 6,0978 6,3993 6,6485 6,7289 6,6007 6,2847 5,8105 5,2055 4,5338 3,9125 3,4582 3,2233 3,1929 3,3222 3,5623 3,8613 4,1543 4,3794 4,5117 4,5575 4,5160 4,3724 4,1188 3,7660 3,3523 2,9508 2,6449 2,4744 2,3955 2,2877 2,0111 1,4851 0,7313 -0,1565 -1,0794 -1,9399 -2,6094 -2,9786 -3,0539 -2,9460 -2,7621 -2,5531 -2,3427 -2,1398 -1,9210 -1,6452 -1,2868 -0,8473 -0,3501 0,1693 0,6626 1,0522 1,2556 1,2448 1,0632 0,7873 0,4870 0,2170 0,0284 -0,0222 0,1157 0,4459 0,8902 1,3279 1,6897 2,0063 2,3652 2,8242 3,3580 3,8737 4,2711 4,4979 4,5687 4,5508 4,5256 4,5529 4,6524 4,8035 4,9594 5,0727 5,1257 5,1499 5,2009 5,3173 5,5176 5,7960 6,0846 6,2606 6,2252 5,9492 5,4500 4,7748 4,0104 3,2802 2,7048 2,3591 2,2680 2,4260 2,8072 3,3682 4,0382 4,6918 5,1567 5,2833 5,0267 4,4773 3,8054 3,1663 2,6563 2,3302 2,2284 2,3794 2,7725 3,3300 3,9246 4,4259 4,7320 4,7874 4,5857 4,1558 3,5510 2,8464 2,1274 1,4735 0,9460 0,5834 0,4041 0,3973 0,5182 0,7193 0,9762 1,2707 1,5688 1,8193 1,9706 2,0005 1,9434 1,8762 1,8692 1,9514 2,1299 2,4271
F7    -1,2061 -1,5180 -1,5980 -1,4194 -1,0589 -0,6190 -0,1704 0,2228 0,4550 0,4032 0,0190 -0,6153 -1,3442 -2,0374 -2,5971 -2,9036 -2,8429 -2,4221 -1,8152 -1,2448 -0,8080 -0,4315 0,0236 0,6338 1,3608 2,0812 2,6535 2,9788 3,0337 2,8557 2,5004 2,0189 1,4522 0,8269 0,1638 -0,5214 -1,2062 -1,7990 -2,1120 -1,9727 -1,3739 -0,4927 0,4267 1,1980 1,7356 2,0218 2,0700 1,9261 1,6709 1,3973 1,1940 1,1451 1,3065 1,6554 2,0818 2,4538 2,6787 2,7183 2,5934 2,3749 2,1250 1,8534 1,5664 1,3294 1,2281 1,2837 1,4403 1,6201 1,7853 1,9731 2,2511 2,6088 2,9199 3,0333 2,8806 2,4861 1,9030 1,1704 0,3358 -0,4973 -1,1556 -1,4366 -1,1909 -0,4102 0,7192 1,8666 2,7417 3,2559 3,4801 3,4863 3,2939 2,9414 2,5349 2,2012 2,0007 1,8930 1,7903 1,6305 1,3978 1,0886 0,6858 0,1825 -0,3757 -0,9021 -1,3237 -1,6168 -1,7990 -1,9097 -2,0016 -2,1204 -2,2685 -2,3962 -2,4371 -2,3608 -2,2239 -2,1697 -2,3404 -2,7586 -3,2898 -3,7135 -3,8431 -3,6299 -3,1913 -2,7202 -2,3583 -2,1526 -2,0867 -2,1264 -2,2711 -2,5792 -3,1003 -3,7755 -4,4500 -4,9703 -5,2298 -5,1745 -4,8353 -4,3274 -3,7808 -3,2779 -2,8360 -2,4192 -1,9786 -1,4812 -0,9007 -0,2188 0,5487 1,3435 2,0895 2,7157 3,1692 3,4464 3,6337 3,8875 4,3445 5,0507 5,9536 6,9182 7,7575 8,2999 8,4456 8,1800 7,5743 6,7733 5,9516 5,2650 4,8159 4,6327 4,6803 4,8946 5,1978 5,4993 5,7167 5,8073 5,7797 5,6766 5,5472 5,4382 5,3854 5,3918 5,4371 5,5085 5,6020 5,7127 5,8138 5,8337 5,6949 5,3753 4,9044 4,3461 3,8102 3,4363 3,3319 3,5278 3,9920 4,6523 5,3798 5,9839 6,2838 6,2124 5,8486 5,3450 4,8464 4,4670 4,2753 4,2624 4,3533 4,4574 4,5012 4,4418 4,2827 4,0777 3,9078 3,8280 3,8147 3,7657 3,5757 3,2200 2,7707 2,3364 1,9854 1,7286 1,5590 1,4849 1,5303 1,7077 1,9873 2,2916 2,5329 2,6624 2,6740 2,5747 2,3801 2,1252 1,8423 1,5231 1,1200 0,5975 -0,0165 -0,6244 -1,0931 -1,3122 -1,2469 -0,9394 -0,4809 0,0006 0,3612 0,5052 0,4369 0,2354 -0,0133 -0,2597 -0,4906 -0,6957 -0,8480 -0,9271 -0,9480 -0,9346 -0,8760 -0,7350 -0,4917 -0,1726 0,1491 0,3744 0,4030 0,1633 -0,3435 -1,0206 -1,7193 -2,2980 -2,6302 -2,6151 -2,2419 -1,6100 -0,8494 -0,0592 0,6751 1,2738 1,6898 1,9116 1,9361 1,7540 1,3791 0,8909 0,4220 0,0917 -0,0429 0,0131 0,2191 0,5355 0,9471 1,4372 1,9322 2,3026 2,4510 2,3920 2,2323 2,0749 1,9464 1,7963 1,5543 1,2118 0,8623 0,6540 0,6984 1,0233 1,5804 2,2681 2,9650 3,5702 4,0189 4,2529 4,2033 3,8436 3,2543 2,6061 2,0904 1,8645 2,0001 2,4408 3,0365 3,6471 4,2089 4,7039 5,1055 5,3743 5,4737 5,3882 5,1683 4,9451 4,8561 4,9515 5,1834 5,4750 5,7785 6,0717 6,3381 6,5654 6,7529 6,9228 7,1216 7,3991 7,7761 8,2056 8,5707 8,7644 8,7747 8,6731 8,5408 8,4180 8,2929 8,1188 7,8627 7,5533 7,2825 7,1542 7,2138 7,4235 7,7121 8,0309 8,3499 8,6196 8,7610 8,6931 8,3678 7,7975 7,0700 6,3337 5,7518 5,4401 5,4152 5,5942 5,8518 6,0804 6,2164 6,2622 6,2941 6,3999 6,5903 6,7897 6,8977 6,8437 6,6296 6,3472 6,1141 5,9785 5,9046 5,8370 5,7693 5,7689 5,9191 6,2057 6,4697 6,4954 6,1610 5,5208 4,7586 4,0621 3,5192 3,1255 2,8707 2,7763 2,8405 2,9952 3,1429 3,2324 3,2945 3,3891 3,5240 3,6642 3,8048 3,9756 4,1653 4,2787 4,1974 3,8899 3,4515 3,0257 2,6934 2,4487 2,2565 2,1022 1,9858 1,9044 1,8471 1,7878 1,6909 1,5471 1,3947 1,2950 1,2774 1,3141 1,3700 1,4706 1,6815 2,0229 2,4521 2,9321 3,4690 4,0628 4,6653 5,2198 5,7034 6,0970 6,3582 6,4507 6,3656 6,1086 5,6959 5,1667 4,5819 4,0164 3,5623 3,3040 3,2456 3,2647 3,1617 2,7765 2,0926 1,2616 0,5446 0,2128 0,4531 1,2914 2,5509 3,8869 4,9248 5,4398 5,4417 5,0917 4,5486 3,9093 3,2557 2,6777 2,2262 1,8996 1,6852 1,5743 1,5429 1,5519 1,5638 1,5492 1,4810 1,3345 1,1037 0,8029 0,4318 -0,0393 -0,6145 -1,2132 -1,6853 -1,9020 -1,8374 -1,5696 -1,2235 -0,9260 -0,7772 -0,8011 -0,9060 -0,9490 -0,8770 -0,7695 -0,7462 -0,8675 -1,1032 -1,3580 -1,5311 -1,5639 -1,4524 -1,2487 -1,0522 -0,9578 -0,9885 -1,0825 -1,1405 -1,0824 -0,8838 -0,5795 -0,2543 -0,0249 0,0114 -0,1564 -0,4316 -0,6546 -0,6780 -0,4009 0,2376 1,2232 2,4098 3,5591 4,4760 5,0884 5,3955 5,3904 5,0726 4,5044 3,8006 3,0591 2,3308 1,6529 1,0723 0,6413 0,4187 0,4529 0,7402 1,2258 1,8490 2,5603 3,3042 4,0124 4,6142 5,0440 5,2265 5,0715 4,5260 3,6204 2,4642 1,2395 0,1745 -0,5275 -0,7372 -0,4220 0,3149 1,2388 2,0915 2,7302 3,1639 3,4391 3,5190 3,3163 2,8125 2,1062 1,3658 0,7484 0,3348 0,1236 0,0776 0,1591 0,3200 0,4931 0,6261 0,7198 0,8116 0,9313 1,0646 1,1311 1,0097 0,6349 0,0772 -0,4796 -0,8484 -0,9471 -0,8198 -0,5674 -0,2710 0,0383 0,3584 0,6565 0,8474 0,8698
