Fp1   0,7355 0,5336 0,3973 0,3330 0,3606 0,4984 0,7707 1,1932 1,7297 2,2798 2,7219 2,9662 2,9798 2,7884 2,4535 2,0287 1,5387 1,0080 0,4920 0,0590 -0,2643 -0,5128 -0,7277 -0,8977 -0,9711 -0,9080 -0,7016 -0,3781 -0,0043 0,3216 0,5175 0,5593 0,4801 0,3366 0,1635 -0,0592 -0,3931 -0,8831 -1,5076 -2,1823 -2,7945 -3,2300 -3,3970 -3,2641 -2,8756 -2,3141 -1,6514 -0,9235 -0,1316 0,7265 1,6074 2,3861 2,8746 2,9067 2,4310 1,5353 0,4109 -0,7050 -1,6024 -2,1733 -2,4356 -2,4922 -2,4773 -2,5151 -2,6814 -2,9903 -3,4177 -3,9298 -4,4965 -5,0939 -5,6963 -6,2728 -6,8006 -7,2772 -7,7040 -8,0454 -8,2082 -8,0828 -7,6161 -6,8596 -5,9600 -5,0892 -4,3594 -3,7891 -3,3318 -2,9323 -2,5637 -2,2291 -1,9597 -1,8167 -1,8654 -2,1233 -2,5255 -2,9427 -3,2459 -3,3654 -3,3072 -3,1361 -2,9389 -2,7886 -2,7349 -2,8128 -3,0424 -3,4112 -3,8674 -4,3549 -4,8599 -5,4012 -5,9745 -6,5243 -6,9707 -7,2602 -7,4017 -7,4596 -7,5011 -7,5315 -7,4798 -7,2506 -6,7985 -6,1699 -5,4859 -4,8849 -4,4750 -4,3166 -4,4085 -4,6832 -5,0281 -5,3077 -5,3897 -5,1959 -4,7416 -4,1083 -3,3786 -2,6092 -1,8473 -1,1409 -0,5277 -0,0205 0,3976 0,7557 1,0615 1,2965 1,4500 1,5376 1,5714 1,5293 1,3682 1,0693 0,6647 0,2292 -0,1462 -0,3874 -0,4622 -0,3700 -0,1198 0,2745 0,8005 1,4584 2,2376 3,0812 3,8923 4,5734 5,0589 5,3184 5,3477 5,1755 4,8747 4,5421 4,2491 4,0126 3,8155 3,6431 3,4911 3,3424 3,1567 2,8963 2,5404 2,0632 1,4278 0,6240 -0,2944 -1,2118 -1,9801 -2,4736 -2,6611 -2,6316 -2,5372 -2,5063 -2,5858 -2,7363 -2,8805 -2,9657 -2,9889 -2,9773 -2,9433 -2,8636 -2,7049 -2,4613 -2,1828 -1,9752 -1,9458 -2,1328 -2,4897 -2,9216 -3,3325 -3,6630 -3,9157 -4,1527 -4,4495 -4,8361 -5,2661 -5,6244 -5,7711 -5,6076 -5,1217 -4,3949 -3,5848 -2,8842 -2,4709 -2,4585 -2,8415 -3,4791 -4,1719 -4,7749 -5,2549 -5,6663 -6,0755 -6,4981 -6,8985 -7,2342 -7,4814 -7,6273 -7,6708 -7,6332 -7,5454 -7,4230 -7,2609 -7,0524 -6,8093 -6,5619 -6,3509 -6,2193 -6,1966 -6,2823 -6,4442 -6,6277 -6,7645 -6,7851 -6,6345 -6,2870 -5,7609 -5,1278 -4,4965 -3,9797 -3,6736 -3,6384 -3,8566 -4,2078 -4,5130 -4,6264 -4,5058 -4,2147 -3,8563 -3,4994 -3,1598 -2,8300 -2,5011 -2,1603 -1,7870 -1,3584 -0,8564 -0,2696 0,4009 1,1293 1,8562 2,4943 2,9521 3,1721 3,1606 2,9789 2,7003 2,3850 2,0846 1,8434 1,6831 1,5980 1,5638 1,5477 1,5117 1,4212 1,2632 1,0558 0,8275 0,5949 0,3730 0,1872 0,0596 -0,0115 -0,0462 -0,0517 -0,0032 0,1341 0,3680 0,6597 0,9387 1,1437 1,2543 1,2798 1,2287 1,1018 0,9013 0,6372 0,3364 0,0465 -0,1692 -0,2456 -0,1372 0,1626 0,6177 1,1550 1,6745 2,0649 2,2392 2,1737 1,9018 1,4727 0,9397 0,3810 -0,1010 -0,4172 -0,5334 -0,4876 -0,3670 -0,2552 -0,1871 -0,1366 -0,0354 0,1858 0,5553 1,0457 1,5817 2,0541 2,3471 2,3982 2,2474 2,0244 1,8907 1,9732 2,3047 2,8150 3,3801 3,8786 4,2213 4,3713 4,3556 4,2519 4,1509 4,1242 4,1980 4,3430 4,4981 4,6103 4,6573 4,6439 4,5753 4,4375 4,2125 3,9144 3,5948 3,3082 3,0711 2,8588 2,6394 2,4052 2,1704 1,9580 1,8029 1,7464 1,7974 1,9003 1,9621 1,9190 1,7747 1,5900 1,4442 1,3959 1,4575 1,5892 1,7244 1,8184 1,8730 1,9123 1,9478 1,9667 1,9316 1,7924 1,5191 1,1353 0,7213 0,3949 0,2822 0,4745 0,9694 1,6481 2,3309 2,8713 3,2156 3,3908 3,4464 3,4146 3,3110 3,1529 2,9703 2,8104 2,7373 2,8081 3,0292 3,3393 3,6400 3,8370 3,8683 3,7316 3,4931 3,2353 2,9860 2,7202 2,4337 2,1959 2,1180 2,2744 2,6616 3,2112 3,8190 4,3705 4,7646 4,9387 4,8918 4,6831 4,3980 4,1200 3,9242 3,8645 3,9585 4,1984 4,5688 5,0366 5,5338 5,9714 6,2727 6,3915 6,3122 6,0498 5,6483 5,1645 4,6467 4,1430 3,7371 3,5417 3,6285 3,9765 4,4899 5,0453 5,5302 5,8627 5,9995 5,9474 5,7615 5,5147 5,2671 5,0522 4,8564 4,6082 4,2237 3,6802 3,0258 2,3242 1,6179 0,9350 0,2991 -0,2698 -0,7587 -1,1639 -1,4847 -1,7202 -1,8785 -1,9799 -2,0370 -2,0382 -1,9712 -1,8565 -1,7440 -1,6805 -1,7003 -1,8388 -2,1244 -2,5399 -2,9896 -3,3221 -3,4039 -3,1847 -2,7219 -2,1738 -1,7543 -1,6537 -1,9637 -2,6324 -3,4828 -4,2935 -4,8852 -5,1710 -5,1705 -4,9806 -4,7116 -4,4331 -4,1651 -3,8989 -3,6160 -3,3039 -2,9633 -2,5930 -2,1827 -1,7371 -1,2913 -0,8816 -0,5097 -0,1463 0,2383 0,6486 1,0631 1,4592 1,8330 2,1835 2,4789 2,6611 2,6858 2,5333 2,1957 1,6937 1,1047 0,5297 0,0201 -0,4361 -0,8624 -1,2636 -1,6318 -1,9435 -2,1461 -2,1763 -2,0072 -1,6765 -1,2669 -0,8545 -0,4789 -0,1612 0,0744 0,2100 0,2498 0,2175 0,1481 0,0798 0,0391 0,0231 0,0030 -0,0421 -0,1066 -0,1913 -0,3298 -0,5588 -0,8729 -1,2111 -1,4846 -1,6256 -1,6229 -1,5183 -1,3720 -1,2244 -1,0764 -0,9032 -0,6815 -0,4020 -0,0714 0,2734 0,5648 0,7353 0,7431 0,5676 0,2006 -0,3409 -0,9956 -1,6657 -2,2457 -2,6443 -2,7966 -2,6935 -2,4101 -2,0784 -1,8087 -1,6350 -1,5285 -1,4423
Fz    3,0436 3,0055 2,9294 2,8092 2,6463 2,4514 2,2515 2,0854 1,9849 1,9588 1,9853 2,0149 1,9916 1,8904 1,7320 1,5557 1,3844 1,2184 1,0513 0,8776 0,6852 0,4521 0,1630 -0,1722 -0,5141 -0,8074 -1,0037 -1,0818 -1,0595 -0,9823 -0,8963 -0,8332 -0,8111 -0,8384 -0,9177 -1,0533 -1,2539 -1,5229 -1,8479 -2,2008 -2,5432 -2,8304 -3,0175 -3,0731 -2,9887 -2,7749 -2,4521 -2,0445 -1,5752 -1,0718 -0,5789 -0,1613 0,1132 0,2046 0,1179 -0,1049 -0,4043 -0,7187 -0,9961 -1,2086 -1,3591 -1,4767 -1,6057 -1,7887 -2,0526 -2,4081 -2,8557 -3,3823 -3,9511 -4,5130 -5,0256 -5,4599 -5,7996 -6,0410 -6,1872 -6,2354 -6,1708 -5,9778 -5,6562 -5,2312 -4,7502 -4,2702 -3,8364 -3,4681 -3,1632 -2,9123 -2,7120 -2,5669 -2,4827 -2,4595 -2,4927 -2,5720 -2,6746 -2,7620 -2,7945 -2,7524 -2,6470 -2,5154 -2,3984 -2,3190 -2,2847 -2,3049 -2,3953 -2,5614 -2,7851 -3,0342 -3,2890 -3,5505 -3,8202 -4,0862 -4,3294 -4,5434 -4,7470 -4,9785 -5,2622 -5,5718 -5,8297 -5,9496 -5,8818 -5,6300 -5,2387 -4,7680 -4,2784 -3,8240 -3,4389 -3,1273 -2,8687 -2,6268 -2,3563 -2,0190 -1,6049 -1,1351 -0,6427 -0,1534 0,3215 0,7845 1,2468 1,7209 2,2134 2,7191 3,2154 3,6641 4,0253 4,2684 4,3723 4,3273 4,1477 3,8786 3,5834 3,3277 3,1689 3,1472 3,2809 3,5752 4,0261 4,6093 5,2754 5,9701 6,6491 7,2736 7,8047 8,2106 8,4744 8,5925 8,5683 8,4192 8,1916 7,9520 7,7504 7,5914 7,4418 7,2620 7,0301 6,7394 6,3897 5,9866 5,5396 5,0511 4,5175 3,9486 3,3790 2,8579 2,4328 2,1335 1,9567 1,8652 1,8122 1,7715 1,7474 1,7617 1,8293 1,9416 2,0681 2,1657 2,1941 2,1318 1,9797 1,7527 1,4711 1,1571 0,8386 0,5495 0,3214 0,1683 0,0787 0,0233 -0,0300 -0,1046 -0,2083 -0,3280 -0,4321 -0,4797 -0,4380 -0,3007 -0,0918 0,1430 0,3438 0,4459 0,3949 0,1635 -0,2281 -0,7099 -1,1937 -1,6198 -1,9812 -2,3107 -2,6433 -2,9851 -3,3155 -3,6108 -3,8572 -4,0482 -4,1806 -4,2578 -4,2869 -4,2694 -4,1932 -4,0381 -3,7941 -3,4760 -3,1235 -2,7890 -2,5194 -2,3378 -2,2397 -2,2069 -2,2201 -2,2569 -2,2848 -2,2657 -2,1757 -2,0196 -1,8224 -1,6112 -1,4154 -1,2675 -1,1815 -1,1321 -1,0649 -0,9292 -0,7069 -0,4181 -0,0979 0,2286 0,5520 0,8743 1,2079 1,5705 1,9759 2,4269 2,9167 3,4300 3,9415 4,4130 4,7984 5,0538 5,1510 5,0916 4,9123 4,6734 4,4388 4,2610 4,1722 4,1758 4,2453 4,3366 4,4095 4,4433 4,4389 4,4093 4,3707 4,3365 4,3090 4,2794 4,2430 4,2102 4,1966 4,2040 4,2213 4,2446 4,2883 4,3699 4,4893 4,6198 4,7159 4,7361 4,6662 4,5185 4,3137 4,0705 3,8057 3,5377 3,2943 3,1128 3,0263 3,0526 3,1931 3,4324 3,7403 4,0734 4,3753 4,5779 4,6199 4,4817 4,1953 3,8209 3,4262 3,0797 2,8406 2,7394 2,7714 2,9045 3,0960 3,3065 3,5077 3,6890 3,8613 4,0469 4,2594 4,4949 4,7345 4,9436 5,0776 5,1059 5,0390 4,9292 4,8439 4,8334 4,9127 5,0697 5,2816 5,5196 5,7533 5,9601 6,1248 6,2321 6,2717 6,2537 6,2068 6,1595 6,1258 6,1015 6,0689 6,0073 5,8993 5,7288 5,4886 5,1935 4,8767 4,5640 4,2539 3,9269 3,5719 3,2010 2,8428 2,5300 2,2939 2,1602 2,1356 2,1952 2,2904 2,3725 2,4134 2,4064 2,3507 2,2426 2,0851 1,8887 1,6631 1,4216 1,1880 0,9876 0,8303 0,7061 0,5881 0,4446 0,2573 0,0324 -0,1990 -0,3848 -0,4608 -0,3751 -0,1183 0,2635 0,6906 1,0908 1,4284 1,7052 1,9402 2,1477 2,3279 2,4728 2,5752 2,6362 2,6656 2,6762 2,6757 2,6589 2,6116 2,5246 2,4030 2,2678 2,1457 2,0527 1,9809 1,9083 1,8223 1,7275 1,6347 1,5520 1,4895 1,4626 1,4800 1,5303 1,5877 1,6265 1,6324 1,6062 1,5618 1,5256 1,5307 1,6019 1,7427 1,9420 2,1876 2,4672 2,7589 3,0227 3,2101 3,2871 3,2496 3,1242 2,9551 2,7829 2,6303 2,5109 2,4522 2,4941 2,6567 2,9152 3,2045 3,4444 3,5685 3,5389 3,3438 3,0027 2,5735 2,1321 1,7385 1,4252 1,1986 1,0367 0,8987 0,7478 0,5610 0,3212 0,0180 -0,3459 -0,7571 -1,1979 -1,6512 -2,0993 -2,5197 -2,8863 -3,1807 -3,4002 -3,5493 -3,6302 -3,6477 -3,6190 -3,5681 -3,5129 -3,4703 -3,4746 -3,5729 -3,7887 -4,0900 -4,3979 -4,6270 -4,7226 -4,6784 -4,5434 -4,4055 -4,3526 -4,4358 -4,6517 -4,9473 -5,2490 -5,4938 -5,6454 -5,6939 -5,6486 -5,5272 -5,3438 -5,1063 -4,8227 -4,5042 -4,1631 -3,8088 -3,4426 -3,0579 -2,6521 -2,2376 -1,8379 -1,4699 -1,1347 -0,8202 -0,5106 -0,1965 0,1198 0,4284 0,7105 0,9325 1,0597 1,0807 1,0059 0,8448 0,6038 0,2992 -0,0444 -0,4127 -0,8020 -1,1979 -1,5712 -1,8959 -2,1572 -2,3438 -2,4438 -2,4509 -2,3745 -2,2462 -2,1127 -2,0166 -1,9810 -2,0056 -2,0676 -2,1280 -2,1519 -2,1272 -2,0658 -1,9893 -1,9195 -1,8775 -1,8817 -1,9434 -2,0688 -2,2577 -2,4948 -2,7428 -2,9502 -3,0697 -3,0817 -3,0041 -2,8805 -2,7556 -2,6505 -2,5601 -2,4720 -2,3858 -2,3179 -2,2962 -2,3517 -2,5006 -2,7287 -3,0041 -3,2991 -3,5958 -3,8773 -4,1195 -4,2923 -4,3684 -4,3297 -4,1702 -3,9075 -3,5932 -3,2936 -3,0527 -2,8728 -2,7287 -2,5948
F3    2,4067 2,2769 2,1237 1,9525 1,7762 1,6171 1,5068 1,4730 1,5235 1,6405 1,7872 1,9181 1,9956 2,0088 1,9742 1,9101 1,8140 1,6673 1,4579 1,1914 0,8797 0,5248 0,1236 -0,3132 -0,7483 -1,1235 -1,3782 -1,4793 -1,4438 -1,3280 -1,1893 -1,0632 -0,9718 -0,9330 -0,9583 -1,0502 -1,2039 -1,4065 -1,6358 -1,8623 -2,0557 -2,1911 -2,2523 -2,2347 -2,1406 -1,9696 -1,7173 -1,3830 -0,9789 -0,5380 -0,1204 0,1949 0,3371 0,2788 0,0534 -0,2623 -0,5862 -0,8595 -1,0602 -1,2025 -1,3189 -1,4387 -1,5802 -1,7531 -1,9598 -2,2042 -2,5029 -2,8786 -3,3380 -3,8620 -4,4077 -4,9190 -5,3454 -5,6603 -5,8604 -5,9473 -5,9131 -5,7472 -5,4563 -5,0752 -4,6621 -4,2765 -3,9527 -3,6874 -3,4503 -3,2089 -2,9528 -2,7016 -2,4940 -2,3692 -2,3530 -2,4480 -2,6251 -2,8236 -2,9754 -3,0374 -3,0093 -2,9264 -2,8358 -2,7697 -2,7434 -2,7716 -2,8703 -3,0420 -3,2652 -3,5074 -3,7519 -4,0059 -4,2793 -4,5652 -4,8433 -5,1013 -5,3514 -5,6258 -5,9439 -6,2762 -6,5453 -6,6678 -6,5967 -6,3376 -5,9379 -5,4591 -4,9597 -4,4872 -4,0723 -3,7242 -3,4316 -3,1620 -2,8662 -2,4959 -2,0306 -1,4900 -0,9209 -0,3709 0,1271 0,5558 0,9148 1,2236 1,5182 1,8327 2,1768 2,5247 2,8255 3,0241 3,0767 2,9642 2,7061 2,3595 1,9999 1,7028 1,5332 1,5344 1,7211 2,0870 2,6147 3,2702 3,9969 4,7312 5,4185 6,0127 6,4780 6,7989 6,9821 7,0424 6,9926 6,8546 6,6800 6,5392 6,4772 6,4795 6,4868 6,4376 6,2971 6,0560 5,7180 5,2971 4,8107 4,2637 3,6513 2,9877 2,3224 1,7247 1,2569 0,9491 0,7851 0,7116 0,6711 0,6299 0,5856 0,5584 0,5728 0,6398 0,7492 0,8692 0,9585 0,9878 0,9496 0,8503 0,6963 0,4919 0,2503 0,0020 -0,2170 -0,3849 -0,5032 -0,5910 -0,6740 -0,7726 -0,8868 -0,9874 -1,0274 -0,9629 -0,7740 -0,4746 -0,1062 0,2740 0,5994 0,7981 0,8023 0,5723 0,1318 -0,4248 -0,9758 -1,4366 -1,7943 -2,0956 -2,3963 -2,7139 -3,0239 -3,2903 -3,4914 -3,6240 -3,7001 -3,7418 -3,7727 -3,8035 -3,8186 -3,7789 -3,6471 -3,4139 -3,1040 -2,7668 -2,4576 -2,2152 -2,0538 -1,9721 -1,9634 -2,0108 -2,0803 -2,1252 -2,1054 -2,0043 -1,8264 -1,5881 -1,3263 -1,0969 -0,9363 -0,8264 -0,7034 -0,5012 -0,1941 0,1910 0,6028 1,0016 1,3731 1,7219 2,0623 2,4106 2,7808 3,1842 3,6256 4,0951 4,5634 4,9865 5,3179 5,5183 5,5640 5,4595 5,2472 4,9966 4,7773 4,6418 4,6185 4,7041 4,8607 5,0288 5,1518 5,1991 5,1768 5,1177 5,0578 5,0150 4,9814 4,9352 4,8679 4,8004 4,7678 4,7880 4,8505 4,9360 5,0329 5,1331 5,2230 5,2817 5,2848 5,2154 5,0731 4,8675 4,6071 4,3024 3,9711 3,6371 3,3329 3,0962 2,9561 2,9293 3,0239 3,2371 3,5470 3,9124 4,2761 4,5702 4,7340 4,7427 4,6132 4,3826 4,0945 3,8014 3,5543 3,3808 3,2787 3,2316 3,2250 3,2473 3,2876 3,3424 3,4286 3,5773 3,8071 4,1030 4,4210 4,7053 4,9076 5,0063 5,0156 4,9759 4,9322 4,9151 4,9342 4,9903 5,0873 5,2252 5,3920 5,5708 5,7445 5,8896 5,9812 6,0108 5,9909 5,9396 5,8716 5,7978 5,7228 5,6399 5,5282 5,3602 5,1228 4,8363 4,5477 4,3005 4,1061 3,9478 3,8097 3,6962 3,6252 3,6105 3,6557 3,7560 3,8925 4,0235 4,0945 4,0674 3,9410 3,7432 3,5016 3,2319 2,9458 2,6543 2,3645 2,0911 1,8675 1,7308 1,6958 1,7418 1,8181 1,8629 1,8296 1,7051 1,5124 1,3068 1,1651 1,1602 1,3229 1,6193 1,9697 2,2957 2,5593 2,7660 2,9380 3,0874 3,2070 3,2782 3,2881 3,2433 3,1691 3,0944 3,0407 3,0172 3,0233 3,0540 3,1040 3,1694 3,2415 3,2932 3,2784 3,1601 2,9421 2,6719 2,4112 2,2063 2,0776 2,0263 2,0373 2,0833 2,1363 2,1774 2,1973 2,1938 2,1733 2,1576 2,1814 2,2731 2,4345 2,6469 2,8909 3,1585 3,4453 3,7356 3,9983 4,1965 4,2997 4,2974 4,2061 4,0582 3,8850 3,7199 3,6144 3,6308 3,8004 4,0920 4,4210 4,6904 4,8317 4,8168 4,6477 4,3570 4,0129 3,6951 3,4529 3,2933 3,1930 3,1052 2,9730 2,7539 2,4291 1,9978 1,4800 0,9133 0,3347 -0,2365 -0,7938 -1,3278 -1,8116 -2,2026 -2,4645 -2,5900 -2,5972 -2,5122 -2,3629 -2,1812 -1,9962 -1,8253 -1,6820 -1,5947 -1,6076 -1,7547 -2,0301 -2,3846 -2,7468 -3,0473 -3,2402 -3,3289 -3,3711 -3,4466 -3,6137 -3,8782 -4,1913 -4,4792 -4,6822 -4,7730 -4,7515 -4,6285 -4,4117 -4,1046 -3,7152 -3,2640 -2,7790 -2,2872 -1,8103 -1,3626 -0,9492 -0,5729 -0,2440 0,0218 0,2193 0,3648 0,4916 0,6350 0,8124 1,0188 1,2382 1,4487 1,6184 1,7200 1,7552 1,7478 1,7078 1,6171 1,4500 1,1930 0,8435 0,4114 -0,0702 -0,5475 -0,9653 -1,2788 -1,4577 -1,4944 -1,4108 -1,2540 -1,0849 -0,9601 -0,9126 -0,9432 -1,0263 -1,1185 -1,1715 -1,1533 -1,0619 -0,9179 -0,7504 -0,5922 -0,4807 -0,4469 -0,5014 -0,6351 -0,8288 -1,0516 -1,2576 -1,3925 -1,4146 -1,3189 -1,1425 -0,9454 -0,7778 -0,6547 -0,5574 -0,4637 -0,3759 -0,3183 -0,3178 -0,3924 -0,5434 -0,7519 -0,9902 -1,2376 -1,4862 -1,7329 -1,9714 -2,1867 -2,3536 -2,4364 -2,3979 -2,2284 -1,9696 -1,7006 -1,4881 -1,3495 -1,2597 -1,1849
F7    0,6823 0,7681 0,7575 0,6769 0,5562 0,4176 0,2824 0,1786 0,1372 0,1767 0,2878 0,4330 0,5594 0,6212 0,5964 0,4849 0,2957 0,0446 -0,2400 -0,5221 -0,7714 -0,9701 -1,1094 -1,1837 -1,1870 -1,1148 -0,9685 -0,7617 -0,5273 -0,3077 -0,1306 0,0038 0,1132 0,2155 0,3141 0,3936 0,4307 0,4112 0,3355 0,2125 0,0562 -0,1098 -0,2500 -0,3254 -0,3123 -0,2163 -0,0698 0,0859 0,2212 0,3277 0,4081 0,4612 0,4775 0,4479 0,3714 0,2587 0,1329 0,0254 -0,0373 -0,0469 -0,0213 0,0022 -0,0114 -0,0747 -0,1745 -0,2927 -0,4307 -0,6049 -0,8230 -1,0757 -1,3467 -1,6182 -1,8808 -2,1387 -2,3930 -2,6171 -2,7585 -2,7716 -2,6457 -2,4130 -2,1395 -1,9003 -1,7439 -1,6757 -1,6737 -1,7080 -1,7507 -1,7841 -1,8054 -1,8238 -1,8578 -1,9241 -2,0150 -2,0886 -2,0952 -2,0183 -1,8862 -1,7519 -1,6615 -1,6346 -1,6722 -1,7788 -1,9639 -2,2204 -2,5144 -2,8001 -3,0468 -3,2502 -3,4184 -3,5584 -3,6792 -3,8015 -3,9615 -4,1989 -4,5216 -4,8747 -5,1584 -5,2818 -5,2051 -4,9500 -4,5821 -4,1708 -3,7615 -3,3765 -3,0229 -2,6965 -2,3855 -2,0717 -1,7339 -1,3592 -0,9591 -0,5743 -0,2580 -0,0491 0,0434 0,0450 0,0098 0,0051 0,0912 0,3049 0,6466 1,0753 1,5239 1,9209 2,1978 2,3004 2,2190 1,9979 1,7123 1,4429 1,2592 1,1989 1,2593 1,4123 1,6273 1,8810 2,1633 2,4887 2,8860 3,3668 3,9068 4,4538 4,9424 5,3069 5,4977 5,5041 5,3670 5,1550 4,9212 4,6843 4,4442 4,2007 3,9551 3,7042 3,4371 3,1410 2,8063 2,4244 1,9897 1,5132 1,0326 0,6075 0,2973 0,1278 0,0714 0,0601 0,0293 -0,0463 -0,1539 -0,2691 -0,3768 -0,4761 -0,5711 -0,6661 -0,7641 -0,8634 -0,9577 -1,0461 -1,1337 -1,2178 -1,2820 -1,3049 -1,2742 -1,1958 -1,0962 -1,0104 -0,9678 -0,9889 -1,0866 -1,2582 -1,4760 -1,6890 -1,8379 -1,8787 -1,7994 -1,6201 -1,3801 -1,1290 -0,9250 -0,8226 -0,8444 -0,9687 -1,1468 -1,3349 -1,5192 -1,7175 -1,9539 -2,2297 -2,5227 -2,8087 -3,0743 -3,3151 -3,5289 -3,7119 -3,8556 -3,9506 -3,9855 -3,9398 -3,7912 -3,5389 -3,2127 -2,8595 -2,5269 -2,2537 -2,0668 -1,9837 -2,0128 -2,1449 -2,3425 -2,5435 -2,6839 -2,7280 -2,6764 -2,5511 -2,3902 -2,2389 -2,1201 -2,0138 -1,8719 -1,6555 -1,3611 -1,0185 -0,6703 -0,3565 -0,1093 0,0526 0,1324 0,1534 0,1460 0,1381 0,1521 0,2032 0,3003 0,4408 0,5998 0,7366 0,8208 0,8471 0,8262 0,7705 0,6926 0,6107 0,5462 0,5131 0,5118 0,5327 0,5634 0,5949 0,6250 0,6539 0,6798 0,7014 0,7146 0,7119 0,6937 0,6756 0,6745 0,6913 0,7137 0,7363 0,7635 0,7954 0,8224 0,8287 0,7909 0,6879 0,5263 0,3428 0,1750 0,0370 -0,0805 -0,1960 -0,3182 -0,4355 -0,5244 -0,5600 -0,5212 -0,3973 -0,1981 0,0441 0,2773 0,4386 0,4802 0,3999 0,2414 0,0637 -0,0827 -0,1564 -0,1293 -0,0041 0,1814 0,3780 0,5480 0,6679 0,7240 0,7182 0,6732 0,6211 0,5819 0,5603 0,5591 0,5833 0,6318 0,6972 0,7737 0,8616 0,9667 1,0957 1,2538 1,4437 1,6617 1,8916 2,1081 2,2944 2,4474 2,5598 2,6120 2,5914 2,5092 2,3942 2,2775 2,1849 2,1330 2,1235 2,1438 2,1740 2,2026 2,2355 2,2846 2,3399 2,3599 2,3021 2,1631 1,9870 1,8352 1,7515 1,7521 1,8365 1,9892 2,1734 2,3417 2,4656 2,5547 2,6399 2,7324 2,8117 2,8512 2,8386 2,7758 2,6778 2,5691 2,4708 2,3906 2,3226 2,2470 2,1338 1,9514 1,6795 1,3243 0,9324 0,5847 0,3690 0,3385 0,4853 0,7505 1,0654 1,3854 1,6974 1,9996 2,2795 2,5129 2,6817 2,7885 2,8563 2,9148 2,9809 3,0504 3,1079 3,1401 3,1425 3,1239 3,1031 3,0929 3,0831 3,0475 2,9675 2,8453 2,6929 2,5182 2,3262 2,1280 1,9427 1,7851 1,6617 1,5823 1,5573 1,5804 1,6287 1,6807 1,7305 1,7878 1,8656 1,9717 2,1063 2,2614 2,4243 2,5784 2,6983 2,7577 2,7422 2,6552 2,5170 2,3573 2,2038 2,0787 2,0082 2,0349 2,2112 2,5624 3,0496 3,5706 4,0072 4,2838 4,3849 4,3311 4,1589 3,9185 3,6610 3,4185 3,2018 3,0061 2,8060 2,5585 2,2280 1,8113 1,3429 0,8764 0,4553 0,0994 -0,1912 -0,4286 -0,6307 -0,8084 -0,9566 -1,0643 -1,1298 -1,1566 -1,1446 -1,1019 -1,0550 -1,0372 -1,0749 -1,1902 -1,4011 -1,7080 -2,0801 -2,4586 -2,7763 -2,9862 -3,0729 -3,0496 -2,9582 -2,8607 -2,8101 -2,8256 -2,8865 -2,9467 -2,9607 -2,9066 -2,7921 -2,6436 -2,4865 -2,3293 -2,1641 -1,9821 -1,7860 -1,5851 -1,3820 -1,1661 -0,9229 -0,6490 -0,3546 -0,0570 0,2286 0,4991 0,7680 1,0556 1,3724 1,7050 2,0198 2,2812 2,4625 2,5484 2,5440 2,4794 2,3866 2,2732 2,1199 1,8990 1,5881 1,1765 0,6823 0,1705 -0,2650 -0,5466 -0,6410 -0,5549 -0,3239 -0,0052 0,3327 0,6255 0,8222 0,8899 0,8200 0,6341 0,3820 0,1296 -0,0631 -0,1634 -0,1721 -0,1154 -0,0304 0,0499 0,1051 0,1246 0,0978 0,0091 -0,1500 -0,3700 -0,6193 -0,8503 -1,0169 -1,0942 -1,0848 -1,0096 -0,8911 -0,7417 -0,5728 -0,4121 -0,3064 -0,3045 -0,4401 -0,7116 -1,0674 -1,4286 -1,7368 -1,9760 -2,1562 -2,2873 -2,3680 -2,3894 -2,3378 -2,1973 -1,9648 -1,6625 -1,3236 -0,9692 -0,6085 -0,2562 0,0540
