Fp1   0,3332 0,2210 0,5470 1,2541 2,1628 3,0830 3,8881 4,4944 4,8061 4,7098 4,1407 3,1548 1,9329 0,7096 -0,3248 -1,0838 -1,5713 -1,8328 -1,9150 -1,8300 -1,5374 -0,9651 -0,0620 1,1445 2,5094 3,7715 4,6177 4,7926 4,2063 2,9821 1,3976 -0,2370 -1,6768 -2,7898 -3,5598 -4,0385 -4,2910 -4,3789 -4,3646 -4,2891 -4,1340 -3,8357 -3,3593 -2,7423 -2,0699 -1,4315 -0,9060 -0,5636 -0,4580 -0,6109 -0,9905 -1,4963 -1,9839 -2,3298 -2,4878 -2,4887 -2,3811 -2,1703 -1,8234 -1,3386 -0,7945 -0,3192 -0,0162 0,0832 0,0288 -0,0808 -0,1702 -0,2492 -0,4016 -0,7156 -1,2292 -1,9201 -2,7127 -3,4867 -4,0993 -4,4203 -4,3775 -4,0013 -3,4291 -2,8608 -2,5008 -2,4916 -2,8522 -3,4845 -4,2424 -4,9738 -5,5354 -5,8388 -5,8829 -5,7198 -5,3982 -4,9525 -4,4399 -3,9571 -3,6134 -3,5048 -3,6975 -4,2128 -5,0182 -6,0200 -7,0735 -8,0411 -8,8470 -9,4644 -9,8678 -10,0334 -9,9933 -9,8464 -9,6953 -9,5900 -9,5198 -9,4313 -9,2736 -9,0470 -8,8096 -8,6384 -8,5824 -8,6313 -8,7002 -8,6286 -8,2178 -7,3260 -5,9571 -4,2549 -2,4264 -0,6808 0,8070 1,9270 2,6495 3,0184 3,1246 3,0749 2,9987 3,0660 3,4408 4,1968 5,2897 6,5947 7,9649 9,2687 10,3717 11,1097 11,3225 10,9295 9,9813 8,6683 7,2895 6,1588 5,4873 5,3382 5,6709 6,3981 7,4037 8,5420 9,6554 10,6056 11,2959 11,6760 11,7410 11,5314 11,1306 10,6615 10,2722 10,0942 10,1828 10,4662 10,7492 10,8033 10,4948 9,8566 9,0556 8,2893 7,6949 7,3209 7,1586 7,1901 7,4070 7,7872 8,2684 8,7484 9,1111 9,2765 9,2485 9,0990 8,8964 8,6618 8,3915 8,0981 7,8256 7,6231 7,5067 7,4538 7,4216 7,3555 7,2039 6,9438 6,5892 6,1750 5,7398 5,3184 4,9400 4,6301 4,4088 4,2764 4,2033 4,1572 4,1530 4,2800 4,6781 5,4579 6,5987 7,9175 9,1549 10,1034 10,6740 10,8824 10,8067 10,5463 10,1922 9,8201 9,5003 9,3026 9,2914 9,5117 9,9730 10,6325 11,3885 12,1069 12,6623 12,9580 12,9369 12,5950 11,9791 11,1592 10,1879 9,0914 7,9218 6,8116 5,9555 5,5314 5,6214 6,1722 7,0237 7,9921 8,9479 9,8418 10,6713 11,4243 12,0510 12,4747 12,6292 12,5103 12,2080 11,8759 11,6544 11,6050 11,6957 11,8212 11,8404 11,6443 11,2302 10,7057 10,2188 9,8785 9,7254 9,7567 9,9689 10,3695 10,9451 11,6276 12,2958 12,8152 13,0955 13,1309 12,9846 12,7424 12,4857 12,2847 12,1761 12,1601 12,2354 12,4103 12,6707 12,9632 13,2165 13,3827 13,4676 13,5103 13,5492 13,6277 13,8113 14,1624 14,6796 15,2753 15,8406 16,3212 16,7085 16,9984 17,1808 17,2371 17,1417 16,8898 16,5237 16,1172 15,7287 15,3738 15,0487 14,7752 14,6065 14,5898 14,7318 14,9873 15,2694 15,4859 15,5864 15,5889 15,5779 15,6678 15,9268 16,3188 16,7325 17,0610 17,2424 17,2511 17,0799 16,7416 16,2854 15,8135 15,4670 15,3670 15,5550 15,9759 16,5030 16,9856 17,2941 17,3460 17,1354 16,7567 16,3742 16,1357 16,1203 16,3613 16,8710 17,6178 18,5012 19,3652 20,0472 20,4345 20,4849 20,2138 19,6853 19,0059 18,3218 17,8190 17,6724 17,9473 18,5721 19,4139 20,3324 21,1691 21,7626 22,0050 21,8712 21,4189 20,7887 20,1730 19,7313 19,5147 19,4735 19,5242 19,5937 19,6128 19,5001 19,1879 18,7052 18,2259 17,9930 18,1826 18,8119 19,7304 20,6901 21,4511 21,8723 21,9578 21,8230 21,5936 21,3323 21,0352 20,6530 20,1220 19,4204 18,6207 17,8942 17,4516 17,4425 17,8782 18,6309 19,5114 20,3602 21,0802 21,6277 22,0190 22,3205 22,5805 22,7724 22,8239 22,6884 22,3852 21,9844 21,5550 21,1280 20,7101 20,3223 20,0139 19,8189 19,7066 19,6045 19,4734 19,3452 19,2993 19,4151 19,7255 20,1932 20,7173 21,1657 21,4129 21,3640 20,9593 20,1916 19,1464 18,0138 17,0213 16,3466 16,0866 16,2609 16,8113 17,6131 18,5158 19,3828 20,1115 20,6401 20,9548 21,0814 21,0524 20,8818 20,5882 20,2332 19,9218 19,7577 19,7954 20,0246 20,3910 20,8209 21,2247 21,5138 21,6465 21,6419 21,5185 21,2425 20,7587 20,0569 19,2020 18,3143 17,5305 16,9748 16,7428 16,8789 17,3485 18,0289 18,7331 19,2666 19,4860 19,3285 18,8230 18,0793 17,2388 16,4025 15,5988 14,8289 14,1304 13,5839 13,2542 13,1334 13,1419 13,1641 13,0923 12,8685 12,5087 12,1016 11,7732 11,6145 11,6202 11,7147 11,8425 12,0049 12,2027 12,3830 12,4563 12,3477 12,0350 11,5667 11,0617 10,6832 10,5755 10,7888 11,2499 11,8072 12,3119 12,6771 12,8957 13,0205 13,1215 13,2433 13,3967 13,5848 13,8273 14,1624 14,6259 15,2207 15,9003 16,5586 17,0324 17,1549 16,8505 16,1903 15,3508 14,5157 13,8075 13,2763 12,9068 12,6305 12,3483 11,9713 11,4843 10,9832 10,6199 10,4901 10,5803 10,8074 11,0843 11,3488 11,5424 11,5856 11,3928 10,9214 10,2087 9,3673 8,5471 7,8858 7,4665 7,2863 7,2509 7,2227 7,0994 6,8452 6,4625 5,9647 5,3814 4,7621 4,1522 3,5784 3,0719 2,6954 2,5273 2,6156 2,9438 3,4290 3,9521 4,3969 4,6702 4,7067 4,4843 4,0383 3,4326 2,7037 1,8541 0,9040 -0,0711 -0,9609 -1,6535 -2,0521 -2,1089 -1,8590 -1,4026 -0,8611 -0,3443 0,0808 0,3976 0,6089 0,7130 0,7125 0,6157 0,4215 0,1425 -0,1423 -0,2860 -0,1437 0,3503 1,1598 2,1768
Fz    0,9956 0,9061 1,0402 1,3754 1,8335 2,3228 2,7683 3,1120 3,3030 3,2922 3,0470 2,5801 1,9628 1,3011 0,6896 0,1836 -0,1934 -0,4369 -0,5563 -0,5622 -0,4542 -0,2202 0,1502 0,6449 1,2092 1,7393 2,1027 2,1816 1,9200 1,3498 0,5734 -0,2799 -1,0934 -1,7909 -2,3487 -2,7774 -3,0896 -3,2902 -3,3867 -3,3893 -3,2955 -3,0926 -2,7826 -2,3961 -1,9804 -1,5791 -1,2246 -0,9415 -0,7511 -0,6716 -0,7095 -0,8447 -1,0281 -1,2011 -1,3240 -1,3892 -1,4023 -1,3548 -1,2300 -1,0359 -0,8217 -0,6533 -0,5749 -0,5874 -0,6507 -0,7037 -0,7032 -0,6584 -0,6273 -0,6789 -0,8592 -1,1759 -1,5960 -2,0544 -2,4716 -2,7749 -2,9219 -2,9206 -2,8283 -2,7273 -2,6985 -2,7946 -3,0172 -3,3273 -3,6799 -4,0302 -4,3213 -4,4983 -4,5351 -4,4359 -4,2225 -3,9295 -3,6115 -3,3390 -3,1778 -3,1752 -3,3565 -3,7194 -4,2292 -4,8215 -5,4154 -5,9425 -6,3696 -6,6922 -6,9107 -7,0252 -7,0571 -7,0521 -7,0520 -7,0701 -7,0898 -7,0740 -6,9918 -6,8458 -6,6722 -6,5123 -6,3848 -6,2733 -6,1285 -5,8800 -5,4592 -4,8317 -4,0198 -3,0921 -2,1299 -1,2029 -0,3613 0,3665 0,9785 1,5015 1,9764 2,4385 2,9190 3,4582 4,0930 4,8301 5,6398 6,4705 7,2718 8,0034 8,6192 9,0495 9,2194 9,0906 8,6913 8,1220 7,5376 7,0991 6,9183 7,0331 7,4198 8,0168 8,7366 9,4753 10,1338 10,6411 10,9661 11,1147 11,1183 11,0171 10,8506 10,6643 10,5165 10,4602 10,5089 10,6146 10,6776 10,5925 10,3035 9,8336 9,2725 8,7315 8,2950 7,9991 7,8418 7,8104 7,8968 8,0879 8,3464 8,6063 8,7924 8,8546 8,7980 8,6742 8,5381 8,4210 8,3377 8,2984 8,3077 8,3519 8,3884 8,3591 8,2201 7,9584 7,5884 7,1425 6,6633 6,1961 5,7811 5,4470 5,2103 5,0742 5,0284 5,0503 5,1111 5,1942 5,3135 5,5134 5,8476 6,3474 6,9890 7,6889 8,3389 8,8523 9,1890 9,3560 9,3966 9,3674 9,3152 9,2721 9,2630 9,3102 9,4332 9,6465 9,9527 10,3321 10,7425 11,1336 11,4569 11,6647 11,7209 11,6224 11,3981 11,0854 10,7053 10,2606 9,7593 9,2414 8,7803 8,4585 8,3343 8,4148 8,6579 9,0031 9,4000 9,8210 10,2519 10,6707 11,0347 11,2910 11,4027 11,3768 11,2658 11,1406 11,0544 11,0221 11,0246 11,0214 10,9634 10,8154 10,5811 10,3038 10,0383 9,8275 9,6944 9,6500 9,7054 9,8707 10,1390 10,4726 10,8099 11,0891 11,2760 11,3742 11,4084 11,4028 11,3781 11,3550 11,3500 11,3742 11,4388 11,5465 11,6755 11,7876 11,8548 11,8769 11,8821 11,9086 11,9882 12,1456 12,3992 12,7510 13,1713 13,6027 13,9931 14,3216 14,5840 14,7703 14,8670 14,8662 14,7719 14,6054 14,4082 14,2308 14,1083 14,0430 14,0161 14,0157 14,0491 14,1254 14,2371 14,3567 14,4479 14,4865 14,4791 14,4668 14,5106 14,6677 14,9553 15,3309 15,7136 16,0269 16,2233 16,2865 16,2208 16,0440 15,7907 15,5222 15,3186 15,2483 15,3374 15,5613 15,8583 16,1536 16,3795 16,4916 16,4843 16,3972 16,2951 16,2288 16,2181 16,2677 16,3813 16,5533 16,7612 16,9680 17,1352 17,2388 17,2716 17,2331 17,1266 16,9635 16,7740 16,6229 16,5956 16,7478 17,0751 17,5283 18,0333 18,4987 18,8352 18,9871 18,9445 18,7377 18,4319 18,1150 17,8636 17,7079 17,6276 17,5787 17,5179 17,4086 17,2192 16,9364 16,5973 16,2982 16,1521 16,2301 16,5287 16,9718 17,4434 17,8323 18,0710 18,1555 18,1329 18,0610 17,9781 17,8993 17,8164 17,7019 17,5328 17,3178 17,1044 16,9555 16,9120 16,9707 17,0932 17,2359 17,3785 17,5239 17,6844 17,8792 18,1283 18,4281 18,7349 18,9840 19,1247 19,1416 19,0550 18,9040 18,7230 18,5374 18,3781 18,2833 18,2711 18,3156 18,3653 18,3882 18,3925 18,4124 18,4805 18,6076 18,7731 18,9279 19,0109 18,9721 18,7813 18,4201 17,8861 17,2149 16,4890 15,8127 15,2761 14,9403 14,8304 14,9340 15,2122 15,6162 16,0955 16,5975 17,0718 17,4801 17,8035 18,0354 18,1719 18,2181 18,2030 18,1775 18,1908 18,2633 18,3801 18,5102 18,6272 18,7049 18,7118 18,6292 18,4620 18,2154 17,8776 17,4370 16,9077 16,3346 15,7833 15,3258 15,0258 14,9227 15,0208 15,2864 15,6497 16,0164 16,2928 16,4067 16,3170 16,0250 15,5833 15,0792 14,5898 14,1483 13,7541 13,4072 13,1248 12,9245 12,7989 12,7098 12,6035 12,4360 12,1963 11,9111 11,6296 11,4014 11,2485 11,1498 11,0609 10,9611 10,8661 10,7943 10,7392 10,6761 10,5817 10,4453 10,2742 10,1009 9,9792 9,9599 10,0561 10,2346 10,4409 10,6339 10,8046 10,9733 11,1726 11,4284 11,7461 12,1069 12,4809 12,8437 13,1868 13,5139 13,8324 14,1456 14,4347 14,6434 14,6977 14,5553 14,2353 13,8046 13,3429 12,9178 12,5701 12,3070 12,1074 11,9356 11,7584 11,5672 11,3926 11,2850 11,2720 11,3378 11,4380 11,5286 11,5792 11,5669 11,4649 11,2467 10,9040 10,4635 9,9843 9,5388 9,1864 8,9576 8,8469 8,8114 8,7852 8,7095 8,5548 8,3190 8,0152 7,6648 7,2948 6,9285 6,5830 6,2756 6,0284 5,8627 5,7865 5,7841 5,8173 5,8428 5,8344 5,7861 5,6975 5,5659 5,3919 5,1738 4,8934 4,5221 4,0530 3,5241 3,0031 2,5595 2,2488 2,0988 2,0996 2,2130 2,3883 2,5778 2,7528 2,9086 3,0505 3,1826 3,3098 3,4346 3,5474 3,6381 3,7247 3,8575 4,0938 4,4654 4,9607 5,5281
F3    0,7235 0,8529 1,1215 1,5093 1,9623 2,4151 2,8069 3,0859 3,2094 3,1422 2,8652 2,3967 1,8070 1,1977 0,6549 0,2206 -0,0993 -0,3172 -0,4504 -0,5039 -0,4613 -0,2933 0,0195 0,4640 0,9797 1,4582 1,7689 1,8039 1,5201 0,9522 0,1914 -0,6498 -1,4639 -2,1684 -2,7202 -3,1076 -3,3319 -3,4025 -3,3415 -3,1768 -2,9251 -2,5896 -2,1790 -1,7239 -1,2734 -0,8814 -0,5956 -0,4479 -0,4465 -0,5788 -0,8159 -1,1130 -1,4114 -1,6543 -1,8118 -1,8945 -1,9282 -1,9174 -1,8426 -1,6955 -1,5027 -1,3141 -1,1707 -1,0856 -1,0402 -0,9989 -0,9380 -0,8693 -0,8344 -0,8791 -1,0336 -1,3026 -1,6598 -2,0492 -2,3958 -2,6251 -2,6919 -2,6064 -2,4341 -2,2670 -2,1907 -2,2576 -2,4717 -2,7993 -3,1951 -3,6040 -3,9541 -4,1817 -4,2630 -4,2143 -4,0715 -3,8787 -3,6893 -3,5586 -3,5251 -3,6060 -3,8066 -4,1226 -4,5327 -4,9963 -5,4614 -5,8840 -6,2425 -6,5333 -6,7536 -6,8977 -6,9742 -7,0120 -7,0385 -7,0597 -7,0596 -7,0106 -6,8939 -6,7188 -6,5208 -6,3395 -6,1949 -6,0742 -5,9344 -5,7153 -5,3597 -4,8417 -4,1840 -3,4450 -2,6883 -1,9624 -1,2991 -0,7179 -0,2244 0,1942 0,5644 0,9141 1,2741 1,6865 2,1896 2,7939 3,4777 4,1979 4,9084 5,5725 6,1509 6,5812 6,7872 6,7194 6,3935 5,9035 5,4009 5,0431 4,9364 5,1095 5,5255 6,1116 6,7810 7,4458 8,0315 8,4877 8,7894 8,9339 8,9373 8,8285 8,6437 8,4317 8,2531 8,1590 8,1602 8,2125 8,2320 8,1362 7,8867 7,5030 7,0479 6,5992 6,2194 5,9392 5,7664 5,7068 5,7697 5,9510 6,2158 6,4968 6,7113 6,7934 6,7227 6,5250 6,2456 5,9300 5,6255 5,3821 5,2426 5,2233 5,2991 5,4116 5,4995 5,5211 5,4568 5,3020 5,0642 4,7614 4,4205 4,0735 3,7532 3,4884 3,2999 3,1953 3,1642 3,1884 3,2635 3,4111 3,6708 4,0742 4,6122 5,2215 5,8069 6,2819 6,5981 6,7513 6,7681 6,6864 6,5425 6,3771 6,2388 6,1730 6,2057 6,3411 6,5678 6,8646 7,2053 7,5615 7,8910 8,1270 8,2018 8,0861 7,7998 7,3874 6,8900 6,3386 5,7707 5,2459 4,8375 4,6110 4,6031 4,8045 5,1601 5,5947 6,0452 6,4774 6,8761 7,2217 7,4774 7,5986 7,5583 7,3743 7,1129 6,8573 6,6695 6,5727 6,5556 6,5811 6,5932 6,5391 6,4008 6,2035 5,9952 5,8212 5,7127 5,6902 5,7706 5,9619 6,2482 6,5819 6,8964 7,1320 7,2575 7,2765 7,2158 7,1092 6,9938 6,9077 6,8795 6,9218 7,0360 7,2134 7,4279 7,6388 7,8049 7,9041 7,9439 7,9527 7,9669 8,0278 8,1744 8,4240 8,7507 9,0885 9,3684 9,5541 9,6396 9,6315 9,5420 9,3889 9,1945 8,9859 8,7955 8,6559 8,5805 8,5494 8,5276 8,5004 8,4842 8,5036 8,5673 8,6645 8,7771 8,8956 9,0288 9,1994 9,4302 9,7309 10,0827 10,4336 10,7182 10,8885 10,9291 10,8543 10,6955 10,4883 10,2664 10,0660 9,9311 9,9031 10,0008 10,2121 10,5010 10,8201 11,1219 11,3672 11,5344 11,6288 11,6798 11,7184 11,7610 11,8142 11,8807 11,9534 12,0140 12,0456 12,0459 12,0257 11,9940 11,9465 11,8726 11,7690 11,6568 11,5981 11,6795 11,9577 12,4252 13,0214 13,6520 14,2041 14,5757 14,7150 14,6323 14,3836 14,0499 13,7206 13,4687 13,3266 13,2827 13,2962 13,3135 13,2790 13,1472 12,9010 12,5769 12,2668 12,0822 12,1056 12,3585 12,7909 13,2994 13,7653 14,0964 14,2602 14,2848 14,2245 14,1215 13,9905 13,8187 13,5824 13,2734 12,9175 12,5712 12,3008 12,1536 12,1392 12,2317 12,3927 12,5962 12,8348 13,1139 13,4483 13,8461 14,2823 14,6922 14,9983 15,1429 15,1049 14,9020 14,5758 14,1743 13,7493 13,3657 13,1001 13,0101 13,0997 13,3230 13,6191 13,9398 14,2520 14,5298 14,7516 14,8987 14,9527 14,8989 14,7334 14,4577 14,0650 13,5486 12,9324 12,2829 11,6834 11,1988 10,8620 10,6782 10,6368 10,7267 10,9421 11,2707 11,6783 12,1101 12,5082 12,8307 13,0556 13,1770 13,2062 13,1766 13,1418 13,1576 13,2561 13,4328 13,6592 13,8989 14,1088 14,2420 14,2679 14,1778 13,9661 13,6193 13,1307 12,5229 11,8584 11,2297 10,7371 10,4629 10,4468 10,6721 11,0679 11,5290 11,9451 12,2252 12,3106 12,1776 11,8424 11,3681 10,8463 10,3548 9,9289 9,5722 9,2861 9,0828 8,9714 8,9360 8,9306 8,8948 8,7841 8,5966 8,3713 8,1619 8,0064 7,9066 7,8272 7,7256 7,5932 7,4623 7,3669 7,3086 7,2591 7,1889 7,0884 6,9722 6,8715 6,8221 6,8476 6,9456 7,0888 7,2431 7,3839 7,5001 7,5927 7,6725 7,7536 7,8407 7,9230 7,9867 8,0309 8,0716 8,1333 8,2399 8,4072 8,6278 8,8559 9,0237 9,0834 9,0337 8,9085 8,7521 8,6015 8,4733 8,3596 8,2400 8,0978 7,9260 7,7348 7,5585 7,4423 7,4128 7,4624 7,5556 7,6462 7,6923 7,6614 7,5295 7,2815 6,9204 6,4785 6,0172 5,6083 5,3087 5,1444 5,1045 5,1443 5,1992 5,2108 5,1432 4,9865 4,7511 4,4620 4,1479 3,8309 3,5248 3,2451 3,0174 2,8729 2,8305 2,8795 2,9799 3,0869 3,1742 3,2317 3,2490 3,2148 3,1275 2,9930 2,8068 2,5502 2,2119 1,8101 1,3894 1,0025 0,6978 0,5055 0,4283 0,4485 0,5396 0,6734 0,8273 0,9841 1,1233 1,2276 1,2996 1,3589 1,4217 1,4997 1,6178 1,8188 2,1475 2,6252 3,2318 3,9043
F7    0,5197 0,4048 0,3507 0,3740 0,4714 0,6200 0,7837 0,9256 1,0181 1,0328 0,9321 0,6898 0,3264 -0,0824 -0,4407 -0,6735 -0,7445 -0,6554 -0,4423 -0,1669 0,1002 0,3002 0,4070 0,4325 0,4096 0,3668 0,3184 0,2714 0,2338 0,2080 0,1764 0,1034 -0,0371 -0,2396 -0,4730 -0,6995 -0,8796 -0,9713 -0,9429 -0,7947 -0,5671 -0,3248 -0,1298 -0,0209 -0,0093 -0,0869 -0,2388 -0,4512 -0,7107 -0,9938 -1,2574 -1,4485 -1,5228 -1,4558 -1,2504 -0,9450 -0,6070 -0,3080 -0,1023 -0,0252 -0,0956 -0,3095 -0,6269 -0,9673 -1,2216 -1,2869 -1,1168 -0,7554 -0,3178 0,0610 0,2719 0,2594 0,0325 -0,3462 -0,7908 -1,2195 -1,5616 -1,7586 -1,7837 -1,6653 -1,4784 -1,3082 -1,2156 -1,2291 -1,3479 -1,5323 -1,7032 -1,7850 -1,7537 -1,6386 -1,4901 -1,3516 -1,2450 -1,1706 -1,1233 -1,1178 -1,1924 -1,3800 -1,6773 -2,0387 -2,3940 -2,6796 -2,8676 -2,9687 -3,0141 -3,0412 -3,0858 -3,1672 -3,2797 -3,4079 -3,5400 -3,6634 -3,7622 -3,8307 -3,8773 -3,9106 -3,9245 -3,9013 -3,8234 -3,6698 -3,3987 -2,9572 -2,3285 -1,5612 -0,7535 -0,0123 0,5781 0,9757 1,1902 1,2750 1,3012 1,3286 1,3956 1,5242 1,7287 2,0214 2,4081 2,8805 3,4189 3,9988 4,5813 5,1027 5,4937 5,7171 5,7873 5,7678 5,7507 5,8163 5,9997 6,2893 6,6517 7,0543 7,4712 7,8743 8,2266 8,4896 8,6418 8,6950 8,6906 8,6742 8,6702 8,6725 8,6549 8,5863 8,4385 8,1871 7,8161 7,3304 6,7607 6,1523 5,5562 5,0299 4,6280 4,3758 4,2586 4,2406 4,2860 4,3677 4,4643 4,5491 4,5861 4,5420 4,4050 4,1913 3,9402 3,7040 3,5401 3,4975 3,5989 3,8254 4,1191 4,4057 4,6228 4,7306 4,7075 4,5496 4,2794 3,9445 3,5959 3,2648 2,9581 2,6663 2,3747 2,0765 1,7842 1,5379 1,3989 1,4221 1,6229 1,9651 2,3801 2,8029 3,1910 3,5166 3,7545 3,8879 3,9177 3,8595 3,7300 3,5434 3,3194 3,0905 2,9001 2,7920 2,7953 2,9110 3,1084 3,3329 3,5163 3,5907 3,5190 3,3224 3,0700 2,8388 2,6790 2,6047 2,5989 2,6224 2,6332 2,6104 2,5622 2,5099 2,4697 2,4467 2,4389 2,4482 2,4898 2,5830 2,7309 2,9100 3,0837 3,2232 3,3133 3,3469 3,3189 3,2231 3,0546 2,8171 2,5267 2,2132 1,9168 1,6820 1,5480 1,5366 1,6436 1,8349 2,0575 2,2611 2,4150 2,5118 2,5600 2,5771 2,5919 2,6439 2,7653 2,9608 3,2077 3,4674 3,6972 3,8639 3,9556 3,9810 3,9620 3,9281 3,9056 3,9004 3,8886 3,8287 3,6955 3,5056 3,3096 3,1644 3,1105 3,1621 3,3112 3,5334 3,7853 4,0112 4,1607 4,2055 4,1505 4,0361 3,9243 3,8694 3,8904 3,9624 4,0380 4,0838 4,0988 4,1005 4,1006 4,0902 4,0417 3,9243 3,7285 3,4826 3,2497 3,1088 3,1253 3,3249 3,6801 4,1113 4,5121 4,7933 4,9199 4,9212 4,8695 4,8413 4,8861 5,0124 5,1921 5,3834 5,5563 5,6931 5,7720 5,7663 5,6626 5,4741 5,2360 4,9897 4,7741 4,6183 4,5260 4,4728 4,4260 4,3677 4,3055 4,2725 4,3059 4,4163 4,5750 4,7315 4,8466 4,9229 5,0001 5,1157 5,2758 5,4582 5,6242 5,7259 5,7221 5,6008 5,3849 5,1154 4,8315 4,5690 4,3689 4,2787 4,3341 4,5350 4,8336 5,1498 5,4036 5,5483 5,5872 5,5616 5,5211 5,5045 5,5336 5,6077 5,7034 5,7803 5,7961 5,7315 5,6069 5,4716 5,3745 5,3381 5,3448 5,3485 5,3112 5,2312 5,1366 5,0567 5,0004 4,9557 4,9018 4,8258 4,7310 4,6364 4,5767 4,5984 4,7414 5,0116 5,3667 5,7280 6,0104 6,1517 6,1301 5,9644 5,7018 5,4039 5,1418 4,9870 4,9860 5,1362 5,3909 5,6878 5,9745 6,2199 6,4122 6,5452 6,6041 6,5646 6,4093 6,1460 5,8038 5,4111 4,9851 4,5442 4,1189 3,7474 3,4618 3,2804 3,2045 3,2185 3,2976 3,4184 3,5656 3,7320 3,9146 4,1076 4,2991 4,4725 4,6089 4,6907 4,7155 4,7099 4,7221 4,7945 4,9426 5,1547 5,3969 5,6174 5,7642 5,8102 5,7530 5,5962 5,3458 5,0184 4,6436 4,2599 3,9095 3,6310 3,4469 3,3569 3,3454 3,3930 3,4793 3,5796 3,6597 3,6767 3,5887 3,3729 3,0460 2,6639 2,2961 1,9964 1,7948 1,7039 1,7224 1,8299 1,9804 2,1108 2,1637 2,1129 1,9766 1,8058 1,6563 1,5578 1,4953 1,4146 1,2580 1,0074 0,6930 0,3634 0,0512 -0,2349 -0,4955 -0,7188 -0,8776 -0,9488 -0,9329 -0,8520 -0,7307 -0,5752 -0,3700 -0,1003 0,2244 0,5700 0,8904 1,1397 1,2832 1,3045 1,2093 1,0273 0,8084 0,6114 0,4906 0,4782 0,5651 0,6968 0,8070 0,8633 0,8785 0,8878 0,9174 0,9697 1,0262 1,0648 1,0735 1,0511 1,0018 0,9348 0,8690 0,8284 0,8234 0,8409 0,8518 0,8302 0,7713 0,6909 0,6018 0,4897 0,3193 0,0644 -0,2710 -0,6515 -1,0193 -1,3109 -1,4821 -1,5274 -1,4815 -1,4025 -1,3481 -1,3564 -1,4368 -1,5752 -1,7506 -1,9465 -2,1457 -2,3187 -2,4274 -2,4433 -2,3674 -2,2383 -2,1177 -2,0591 -2,0803 -2,1607 -2,2602 -2,3409 -2,3815 -2,3805 -2,3482 -2,2956 -2,2306 -2,1583 -2,0853 -2,0273 -2,0031 -2,0196 -2,0637 -2,1074 -2,1234 -2,1000 -2,0407 -1,9595 -1,8778 -1,8127 -1,7637 -1,7149 -1,6515 -1,5656 -1,4498 -1,2931 -1,0821 -0,8112 -0,4956 -0,1735
