Fp1   -0,1257 0,0257 0,2146 0,3783 0,4586 0,4311 0,3204 0,1811 0,0622 -0,0145 -0,0596 -0,1050 -0,1817 -0,3052 -0,4742 -0,6558 -0,7762 -0,7554 -0,5610 -0,2307 0,1477 0,4767 0,6831 0,7311 0,6263 0,4175 0,1774 -0,0335 -0,1829 -0,2519 -0,2275 -0,1233 0,0064 0,0918 0,0878 -0,0146 -0,2097 -0,4919 -0,8370 -1,1823 -1,4394 -1,5189 -1,3500 -0,9069 -0,2391 0,5289 1,2441 1,7833 2,0764 2,1034 1,8918 1,5049 1,0214 0,5184 0,0590 -0,3157 -0,5857 -0,7559 -0,8536 -0,9105 -0,9473 -0,9768 -1,0176 -1,0978 -1,2388 -1,4275 -1,6111 -1,7208 -1,7022 -1,5332 -1,2326 -0,8614 -0,5041 -0,2331 -0,0892 -0,0903 -0,2376 -0,4978 -0,7906 -1,0174 -1,1166 -1,0970 -1,0244 -0,9789 -1,0195 -1,1670 -1,3938 -1,6303 -1,7972 -1,8473 -1,7785 -1,6198 -1,4084 -1,1747 -0,9500 -0,7740 -0,6770 -0,6648 -0,7364 -0,9068 -1,1921 -1,5755 -1,9967 -2,3697 -2,6113 -2,6556 -2,4580 -2,0143 -1,3802 -0,6596 0,0237 0,5478 0,8108 0,7623 0,4305 -0,0898 -0,6867 -1,2767 -1,8165 -2,2904 -2,7061 -3,0997 -3,5269 -4,0325 -4,6217 -5,2588 -5,8928 -6,4838 -7,0087 -7,4542 -7,8066 -8,0466 -8,1476 -8,0828 -7,8459 -7,4682 -7,0025 -6,4938 -5,9700 -5,4442 -4,9229 -4,4246 -3,9913 -3,6680 -3,4667 -3,3534 -3,2645 -3,1316 -2,9021 -2,5349 -1,9764 -1,1712 -0,1217 1,0827 2,3079 3,4315 4,3648 5,0485 5,4534 5,6019 5,5856 5,5358 5,5629 5,7192 6,0029 6,3806 6,8062 7,2315 7,6115 7,9188 8,1621 8,3704 8,5534 8,6887 8,7517 8,7496 8,7202 8,7017 8,7133 8,7673 8,8771 9,0385 9,2154 9,3547 9,4149 9,3850 9,2938 9,1976 9,1483 9,1691 9,2546 9,3804 9,5165 9,6396 9,7432 9,8384 9,9423 10,0616 10,1921 10,3262 10,4586 10,5885 10,7080 10,7894 10,7958 10,7026 10,5086 10,2373 9,9249 9,6044 9,3047 9,0601 8,9021 8,8423 8,8664 8,9358 8,9884 8,9601 8,8325 8,6622 8,5543 8,6061 8,8691 9,3453 9,9888 10,7020 11,3556 11,8394 12,0958 12,1145 11,9178 11,5567 11,0947 10,5820 10,0530 9,5408 9,0812 8,7029 8,4137 8,1978 8,0309 7,8985 7,8018 7,7522 7,7599 7,8283 7,9604 8,1626 8,4375 8,7650 9,0873 9,3189 9,3869 9,2728 9,0228 8,7136 8,4104 8,1458 7,9235 7,7379 7,5905 7,4823 7,3944 7,2836 7,1062 6,8503 6,5431 6,2283 5,9372 5,6820 5,4757 5,3480 5,3283 5,4178 5,5887 5,8033 6,0201 6,1910 6,2778 6,2915 6,3059 6,4172 6,6748 7,0439 7,4259 7,7046 7,7836 7,6177 7,2314 6,7106 6,1720 5,7252 5,4449 5,3639 5,4800 5,7560 6,1169 6,4685 6,7355 6,8885 6,9496 6,9726 7,0097 7,0926 7,2294 7,4040 7,5843 7,7398 7,8423 7,8605 7,7754 7,5988 7,3610 7,0849 6,7742 6,4234 6,0416 5,6650 5,3456 5,1271 5,0307 5,0651 5,2372 5,5418 5,9541 6,4344 6,9209 7,3299 7,5830 7,6436 7,5258 7,2690 6,9086 6,4823 6,0553 5,7178 5,5503 5,5886 5,8096 6,1441 6,5154 6,8759 7,2140 7,5344 7,8354 8,0905 8,2531 8,2851 8,1797 7,9618 7,6731 7,3534 7,0364 6,7588 6,5618 6,4807 6,5311 6,7026 6,9727 7,3261 7,7488 8,1988 8,5963 8,8587 8,9493 8,8802 8,6735 8,3401 7,8978 7,3911 6,8801 6,4099 5,9962 5,6416 5,3560 5,1532 5,0342 4,9822 4,9837 5,0510 5,2142 5,4873 5,8401 6,1997 6,4891 6,6701 6,7512 6,7626 6,7268 6,6493 6,5363 6,4170 6,3377 6,3336 6,4106 6,5509 6,7187 6,8638 6,9475 6,9765 6,9984 7,0552 7,1447 7,2277 7,2589 7,2123 7,0890 6,9054 6,6809 6,4389 6,2030 5,9901 5,8257 5,7565 5,8214 6,0033 6,2272 6,4156 6,5360 6,5901 6,5791 6,4920 6,3230 6,0920 5,8492 5,6625 5,5995 5,7028 5,9651 6,3201 6,6658 6,9112 7,0142 6,9947 6,9194 6,8593 6,8457 6,8575 6,8462 6,7765 6,6518 6,5030 6,3477 6,1660 5,9181 5,5874 5,2082 4,8597 4,6343 4,5988 4,7706 5,1225 5,6022 6,1399 6,6477 7,0334 7,2261 7,1905 6,9245 6,4508 5,8135 5,0758 4,3148 3,6096 3,0176 2,5619 2,2498 2,0856 2,0508 2,0903 2,1333 2,1409 2,1369 2,1905 2,3719 2,7176 3,2179 3,8203 4,4435 4,9968 5,4083 5,6489 5,7326 5,6890 5,5328 5,2585 4,8604 4,3587 3,8109 3,2950 2,8732 2,5596 2,3178 2,0926 1,8502 1,5840 1,2885 0,9475 0,5536 0,1259 -0,2953 -0,6666 -0,9608 -1,1824 -1,3641 -1,5375 -1,7111 -1,8782 -2,0281 -2,1445 -2,2084 -2,2123 -2,1604 -2,0485 -1,8654 -1,6161 -1,3251 -1,0299 -0,7827 -0,6329 -0,5931 -0,6260 -0,6650 -0,6526 -0,5643 -0,4038 -0,1897 0,0467 0,2613 0,4082 0,4665 0,4571 0,4186 0,3603 0,2588 0,1110 -0,0245 -0,0506 0,1123 0,4870 1,0363 1,6842 2,3411 2,9202 3,3534 3,6114 3,7061 3,6748 3,5721 3,4674 3,4213 3,4523 3,5298 3,5929 3,5796 3,4660 3,2932 3,1425 3,0760 3,1089 3,2255 3,3987 3,5874 3,7331 3,7760 3,6870 3,4857 3,2231 2,9429 2,6635 2,3948 2,1546 1,9555 1,7851 1,6096 1,3922 1,0985 0,6958 0,1696 -0,4508 -1,0889 -1,6436 -2,0191 -2,1543 -2,0381 -1,7014 -1,2032 -0,6226 -0,0490 0,4351 0,7744 0,9488 0,9669 0,8594 0,6801 0,4917 0,3269 0,1733 0,0027 -0,1905
Fz    0,4019 0,4607 0,4491 0,3622 0,2157 0,0426 -0,1172 -0,2333 -0,2935 -0,2991 -0,2579 -0,1795 -0,0740 0,0477 0,1722 0,2806 0,3505 0,3577 0,2854 0,1395 -0,0452 -0,2221 -0,3565 -0,4339 -0,4499 -0,4010 -0,2919 -0,1461 0,0021 0,1245 0,2066 0,2482 0,2631 0,2698 0,2778 0,2836 0,2771 0,2467 0,1878 0,1113 0,0385 -0,0135 -0,0381 -0,0399 -0,0390 -0,0717 -0,1770 -0,3703 -0,6315 -0,9206 -1,1982 -1,4335 -1,6070 -1,7151 -1,7680 -1,7790 -1,7611 -1,7338 -1,7184 -1,7197 -1,7244 -1,7184 -1,6995 -1,6800 -1,6770 -1,6960 -1,7294 -1,7730 -1,8326 -1,9113 -1,9971 -2,0678 -2,1029 -2,0898 -2,0253 -1,9208 -1,8052 -1,7104 -1,6534 -1,6374 -1,6710 -1,7742 -1,9603 -2,2139 -2,4928 -2,7496 -2,9521 -3,0873 -3,1553 -3,1591 -3,1021 -2,9964 -2,8695 -2,7543 -2,6786 -2,6611 -2,7065 -2,7992 -2,9112 -3,0165 -3,1003 -3,1607 -3,2027 -3,2276 -3,2331 -3,2197 -3,1906 -3,1498 -3,1028 -3,0558 -3,0117 -2,9692 -2,9318 -2,9119 -2,9225 -2,9716 -3,0699 -3,2365 -3,4942 -3,8629 -4,3548 -4,9674 -5,6724 -6,4153 -7,1330 -7,7704 -8,2860 -8,6618 -8,9155 -9,0936 -9,2480 -9,4181 -9,6240 -9,8523 -10,0499 -10,1497 -10,1062 -9,9049 -9,5470 -9,0372 -8,3859 -7,6124 -6,7452 -5,8193 -4,8687 -3,9233 -3,0134 -2,1697 -1,4231 -0,8021 -0,3177 0,0529 0,3610 0,6606 0,9904 1,3683 1,7961 2,2633 2,7513 3,2396 3,7152 4,1720 4,6040 5,0063 5,3834 5,7506 6,1213 6,4920 6,8404 7,1378 7,3687 7,5422 7,6846 7,8235 7,9772 8,1528 8,3532 8,5795 8,8263 9,0775 9,3128 9,5152 9,6739 9,7862 9,8641 9,9361 10,0330 10,1654 10,3103 10,4222 10,4560 10,3864 10,2189 9,9894 9,7496 9,5471 9,4120 9,3519 9,3519 9,3773 9,3939 9,3877 9,3605 9,3095 9,2239 9,0987 8,9503 8,8187 8,7463 8,7467 8,7950 8,8492 8,8801 8,8847 8,8809 8,8944 8,9453 9,0408 9,1786 9,3471 9,5186 9,6501 9,7012 9,6560 9,5266 9,3427 9,1415 8,9588 8,8143 8,7036 8,6062 8,5098 8,4258 8,3810 8,4006 8,4979 8,6675 8,8800 9,0862 9,2341 9,2895 9,2454 9,1180 8,9377 8,7401 8,5552 8,4014 8,2824 8,1914 8,1145 8,0336 7,9372 7,8324 7,7436 7,6935 7,6865 7,7089 7,7401 7,7600 7,7544 7,7191 7,6571 7,5714 7,4639 7,3434 7,2281 7,1375 7,0789 7,0401 6,9908 6,8949 6,7286 6,4943 6,2249 5,9798 5,8209 5,7774 5,8290 5,9271 6,0325 6,1327 6,2338 6,3435 6,4586 6,5673 6,6624 6,7412 6,7973 6,8206 6,8053 6,7563 6,6921 6,6415 6,6333 6,6876 6,8099 6,9893 7,2016 7,4235 7,6455 7,8655 8,0697 8,2268 8,3028 8,2783 8,1562 7,9595 7,7178 7,4528 7,1764 6,9033 6,6549 6,4470 6,2849 6,1757 6,1362 6,1795 6,2939 6,4399 6,5704 6,6533 6,6826 6,6716 6,6338 6,5756 6,5081 6,4553 6,4468 6,5006 6,6081 6,7382 6,8564 6,9414 6,9919 7,0255 7,0691 7,1427 7,2462 7,3591 7,4522 7,5019 7,4981 7,4424 7,3424 7,2136 7,0829 6,9819 6,9344 6,9466 7,0057 7,0873 7,1657 7,2275 7,2840 7,3607 7,4742 7,6211 7,7809 7,9226 8,0129 8,0220 7,9288 7,7334 7,4785 7,2461 7,1158 7,1142 7,2070 7,3346 7,4507 7,5364 7,5910 7,6190 7,6258 7,6179 7,5959 7,5509 7,4731 7,3630 7,2335 7,1026 6,9854 6,8898 6,8191 6,7748 6,7568 6,7585 6,7666 6,7656 6,7458 6,7104 6,6727 6,6433 6,6188 6,5889 6,5492 6,4962 6,4141 6,2808 6,0936 5,8817 5,6915 5,5602 5,5007 5,5042 5,5523 5,6305 5,7302 5,8415 5,9469 6,0196 6,0305 5,9641 5,8247 5,6246 5,3803 5,1218 4,8949 4,7447 4,6925 4,7285 4,8229 4,9397 5,0421 5,1040 5,1193 5,0965 5,0449 4,9704 4,8779 4,7741 4,6727 4,5905 4,5353 4,5056 4,4969 4,4957 4,4696 4,3775 4,1994 3,9534 3,6857 3,4457 3,2636 3,1448 3,0807 3,0629 3,0849 3,1341 3,1829 3,1941 3,1397 3,0112 2,8154 2,5706 2,3074 2,0635 1,8701 1,7360 1,6414 1,5465 1,4076 1,1942 0,8996 0,5459 0,1788 -0,1447 -0,3755 -0,4861 -0,4707 -0,3455 -0,1528 0,0433 0,1751 0,1964 0,1056 -0,0505 -0,2022 -0,2957 -0,3134 -0,2639 -0,1619 -0,0226 0,1344 0,2848 0,3994 0,4419 0,3774 0,1865 -0,1317 -0,5678 -1,1059 -1,7226 -2,3871 -3,0556 -3,6698 -4,1813 -4,5805 -4,8975 -5,1805 -5,4705 -5,7820 -6,0998 -6,3951 -6,6438 -6,8335 -6,9622 -7,0431 -7,1026 -7,1619 -7,2221 -7,2678 -7,2774 -7,2270 -7,1040 -6,9155 -6,6747 -6,3831 -6,0399 -5,6616 -5,2867 -4,9563 -4,6876 -4,4697 -4,2853 -4,1274 -3,9904 -3,8578 -3,7110 -3,5537 -3,4174 -3,3379 -3,3304 -3,3870 -3,4858 -3,5991 -3,6987 -3,7584 -3,7580 -3,6867 -3,5477 -3,3536 -3,1189 -2,8624 -2,6122 -2,3974 -2,2325 -2,1135 -2,0279 -1,9691 -1,9434 -1,9643 -2,0355 -2,1337 -2,2062 -2,1927 -2,0563 -1,8040 -1,4846 -1,1682 -0,9202 -0,7890 -0,8010 -0,9576 -1,2336 -1,5855 -1,9681 -2,3527 -2,7396 -3,1489 -3,5909 -4,0439 -4,4626 -4,8027 -5,0336 -5,1416 -5,1350 -5,0457 -4,9212 -4,8106 -4,7573 -4,7897 -4,9085 -5,0833 -5,2633 -5,3943 -5,4406 -5,4038 -5,3234 -5,2521 -5,2277 -5,2630 -5,3542 -5,4884 -5,6367 -5,7543 -5,8042 -5,7850 -5,7315 -5,6924
F3    0,6305 0,6118 0,5293 0,3971 0,2484 0,1213 0,0410 0,0110 0,0156 0,0328 0,0510 0,0776 0,1317 0,2304 0,3737 0,5315 0,6435 0,6434 0,4952 0,2163 -0,1291 -0,4653 -0,7406 -0,9344 -1,0406 -1,0546 -0,9761 -0,8170 -0,6060 -0,3847 -0,1919 -0,0425 0,0799 0,2054 0,3528 0,5238 0,7102 0,8964 1,0535 1,1434 1,1340 1,0071 0,7573 0,3926 -0,0590 -0,5506 -1,0317 -1,4594 -1,7954 -2,0103 -2,0958 -2,0650 -1,9424 -1,7606 -1,5582 -1,3723 -1,2339 -1,1651 -1,1694 -1,2234 -1,2906 -1,3436 -1,3712 -1,3763 -1,3698 -1,3591 -1,3458 -1,3406 -1,3744 -1,4821 -1,6727 -1,9185 -2,1732 -2,3923 -2,5348 -2,5628 -2,4616 -2,2572 -2,0093 -1,7880 -1,6566 -1,6572 -1,7917 -2,0111 -2,2350 -2,3915 -2,4474 -2,4164 -2,3422 -2,2675 -2,2112 -2,1759 -2,1669 -2,1930 -2,2547 -2,3459 -2,4591 -2,5845 -2,7067 -2,8043 -2,8530 -2,8370 -2,7578 -2,6341 -2,4945 -2,3732 -2,3020 -2,2951 -2,3421 -2,4202 -2,5066 -2,5781 -2,6157 -2,6202 -2,6164 -2,6379 -2,7096 -2,8412 -3,0363 -3,3050 -3,6632 -4,1147 -4,6353 -5,1767 -5,6923 -6,1562 -6,5555 -6,8797 -7,1322 -7,3398 -7,5423 -7,7751 -8,0549 -8,3646 -8,6521 -8,8549 -8,9320 -8,8712 -8,6761 -8,3538 -7,9073 -7,3288 -6,6045 -5,7320 -4,7322 -3,6515 -2,5530 -1,5002 -0,5467 0,2639 0,9025 1,3652 1,6767 1,8791 2,0187 2,1409 2,2935 2,5249 2,8692 3,3252 3,8500 4,3764 4,8462 5,2367 5,5658 5,8738 6,1934 6,5289 6,8539 7,1227 7,2966 7,3752 7,4043 7,4500 7,5626 7,7566 8,0160 8,3150 8,6295 8,9359 9,2113 9,4369 9,5971 9,6823 9,7022 9,6954 9,7135 9,7926 9,9311 10,0870 10,1961 10,2048 10,0993 9,9075 9,6777 9,4521 9,2539 9,0908 8,9621 8,8643 8,7966 8,7601 8,7471 8,7335 8,6927 8,6196 8,5408 8,4988 8,5232 8,6113 8,7291 8,8353 8,9090 8,9597 9,0123 9,0852 9,1868 9,3233 9,4938 9,6721 9,8016 9,8185 9,6825 9,3913 8,9750 8,4882 8,0005 7,5764 7,2572 7,0555 6,9584 6,9417 6,9878 7,0932 7,2630 7,5019 7,8054 8,1485 8,4848 8,7659 8,9581 9,0403 8,9969 8,8236 8,5351 8,1623 7,7445 7,3185 6,9117 6,5422 6,2255 5,9798 5,8250 5,7720 5,8124 5,9192 6,0571 6,1873 6,2725 6,2909 6,2452 6,1554 6,0474 5,9483 5,8779 5,8419 5,8364 5,8562 5,8925 5,9240 5,9123 5,8151 5,6144 5,3329 5,0247 4,7516 4,5629 4,4806 4,4939 4,5601 4,6192 4,6219 4,5544 4,4365 4,3046 4,2021 4,1703 4,2334 4,3933 4,6326 4,9141 5,1826 5,3855 5,4993 5,5396 5,5504 5,5812 5,6642 5,8106 6,0180 6,2672 6,5138 6,6990 6,7733 6,7143 6,5301 6,2534 5,9268 5,5885 5,2718 5,0081 4,8225 4,7241 4,7134 4,7975 4,9883 5,2805 5,6304 5,9615 6,1955 6,2890 6,2431 6,0850 5,8418 5,5367 5,2050 4,9030 4,6938 4,6228 4,6979 4,8894 5,1480 5,4292 5,7076 5,9795 6,2486 6,5072 6,7314 6,8963 6,9911 7,0164 6,9722 6,8574 6,6801 6,4655 6,2530 6,0867 6,0025 6,0127 6,1004 6,2272 6,3479 6,4258 6,4493 6,4313 6,3878 6,3264 6,2550 6,1851 6,1208 6,0553 5,9748 5,8721 5,7664 5,7074 5,7415 5,8744 6,0649 6,2518 6,3865 6,4509 6,4607 6,4538 6,4709 6,5351 6,6409 6,7608 6,8616 6,9152 6,8977 6,7915 6,5965 6,3428 6,0859 5,8811 5,7560 5,7033 5,6918 5,6878 5,6746 5,6579 5,6518 5,6571 5,6549 5,6233 5,5539 5,4504 5,3234 5,1884 5,0664 4,9792 4,9430 4,9602 5,0172 5,0923 5,1649 5,2260 5,2870 5,3731 5,5025 5,6686 5,8405 5,9793 6,0467 6,0052 5,8351 5,5651 5,2676 5,0154 4,8462 4,7675 4,7832 4,8975 5,0897 5,3044 5,4742 5,5443 5,4851 5,3044 5,0490 4,7860 4,5782 4,4603 4,4227 4,4276 4,4419 4,4445 4,4128 4,3267 4,1854 4,0096 3,8303 3,6800 3,5860 3,5638 3,6114 3,7076 3,8131 3,8794 3,8621 3,7297 3,4683 3,0918 2,6486 2,2115 1,8521 1,6158 1,5128 1,5215 1,5965 1,6833 1,7322 1,7025 1,5640 1,3106 0,9779 0,6391 0,3759 0,2479 0,2772 0,4472 0,7075 0,9859 1,2080 1,3175 1,2946 1,1607 0,9601 0,7362 0,5221 0,3461 0,2310 0,1878 0,2145 0,2948 0,3932 0,4553 0,4271 0,2770 0,0023 -0,3838 -0,8626 -1,4095 -1,9935 -2,5724 -3,0934 -3,5116 -3,8162 -4,0396 -4,2397 -4,4696 -4,7488 -5,0512 -5,3235 -5,5237 -5,6456 -5,7110 -5,7477 -5,7754 -5,8080 -5,8566 -5,9260 -6,0092 -6,0895 -6,1480 -6,1670 -6,1252 -5,9923 -5,7372 -5,3502 -4,8597 -4,3275 -3,8227 -3,3951 -3,0695 -2,8483 -2,7083 -2,6041 -2,4902 -2,3516 -2,2152 -2,1292 -2,1250 -2,1975 -2,3133 -2,4383 -2,5587 -2,6755 -2,7842 -2,8674 -2,9072 -2,8987 -2,8451 -2,7489 -2,6138 -2,4539 -2,2897 -2,1383 -2,0096 -1,9108 -1,8422 -1,7892 -1,7260 -1,6245 -1,4604 -1,2247 -0,9387 -0,6496 -0,4068 -0,2438 -0,1794 -0,2247 -0,3791 -0,6209 -0,9141 -1,2276 -1,5510 -1,8956 -2,2790 -2,7074 -3,1669 -3,6271 -4,0497 -4,3961 -4,6320 -4,7350 -4,7008 -4,5463 -4,3078 -4,0348 -3,7832 -3,6061 -3,5399 -3,5945 -3,7507 -3,9683 -4,2061 -4,4358 -4,6438 -4,8247 -4,9755 -5,0911 -5,1648 -5,1963 -5,1922 -5,1540 -5,0738 -4,9501 -4,8037 -4,6791
F7    0,4605 0,5323 0,5576 0,5032 0,3781 0,2158 0,0527 -0,0867 -0,2048 -0,3304 -0,4802 -0,6196 -0,6742 -0,5764 -0,3049 0,1014 0,5491 0,9115 1,0735 0,9934 0,7300 0,3970 0,0891 -0,1477 -0,3043 -0,3867 -0,4014 -0,3569 -0,2701 -0,1581 -0,0284 0,1121 0,2429 0,3298 0,3376 0,2465 0,0618 -0,1902 -0,4695 -0,7228 -0,8886 -0,9223 -0,8187 -0,6028 -0,3095 0,0107 0,2818 0,4269 0,4097 0,2504 0,0106 -0,2373 -0,4474 -0,6109 -0,7351 -0,8254 -0,8964 -0,9815 -1,1140 -1,2965 -1,4911 -1,6437 -1,7274 -1,7640 -1,7948 -1,8346 -1,8605 -1,8371 -1,7422 -1,5710 -1,3339 -1,0651 -0,8191 -0,6452 -0,5749 -0,6319 -0,8325 -1,1640 -1,5716 -1,9783 -2,3206 -2,5593 -2,6676 -2,6301 -2,4648 -2,2261 -1,9664 -1,6959 -1,3955 -1,0596 -0,7134 -0,4023 -0,1737 -0,0531 -0,0296 -0,0716 -0,1606 -0,3091 -0,5456 -0,8849 -1,3111 -1,7798 -2,2199 -2,5349 -2,6344 -2,4769 -2,0828 -1,5244 -0,9146 -0,3761 0,0003 0,1746 0,1492 -0,0495 -0,3841 -0,8151 -1,3063 -1,8246 -2,3480 -2,8791 -3,4376 -4,0249 -4,6012 -5,1061 -5,4977 -5,7668 -5,9226 -5,9845 -5,9910 -6,0011 -6,0665 -6,1984 -6,3640 -6,5099 -6,5938 -6,5993 -6,5230 -6,3499 -6,0471 -5,5857 -4,9668 -4,2268 -3,4251 -2,6251 -1,8875 -1,2765 -0,8470 -0,6097 -0,5187 -0,5038 -0,4942 -0,4126 -0,1778 0,2584 0,8755 1,5922 2,3134 2,9698 3,5272 3,9861 4,3782 4,7513 5,1375 5,5333 5,9101 6,2421 6,5213 6,7530 6,9512 7,1445 7,3809 7,7056 8,1181 8,5550 8,9317 9,2065 9,4081 9,6035 9,8344 10,0781 10,2644 10,3227 10,2198 9,9702 9,6274 9,2699 8,9890 8,8674 8,9424 9,1750 9,4634 9,7033 9,8471 9,9113 9,9358 9,9530 9,9928 10,0907 10,2699 10,5147 10,7747 11,0027 11,1791 11,3048 11,3874 11,4353 11,4542 11,4456 11,4008 11,2977 11,1088 10,8169 10,4329 10,0091 9,6300 9,3757 9,2835 9,3417 9,5172 9,7818 10,1146 10,4895 10,8665 11,1998 11,4516 11,5981 11,6346 11,5794 11,4628 11,3038 11,1022 10,8627 10,6182 10,4143 10,2743 10,1790 10,0696 9,8821 9,5963 9,2555 8,9413 8,7294 8,6531 8,6972 8,8213 8,9875 9,1698 9,3533 9,5239 9,6492 9,6756 9,5639 9,3277 9,0307 8,7442 8,5028 8,2972 8,1079 7,9378 7,8176 7,7886 7,8747 8,0572 8,2691 8,4143 8,3992 8,1708 7,7477 7,2221 6,7214 6,3510 6,1512 6,1002 6,1430 6,2150 6,2563 6,2300 6,1367 6,0121 5,9085 5,8696 5,9189 6,0608 6,2808 6,5477 6,8221 7,0576 7,1989 7,1911 7,0059 6,6714 6,2800 5,9579 5,8202 5,9407 6,3342 6,9443 7,6541 8,3360 8,9072 9,3340 9,5953 9,6659 9,5362 9,2313 8,8025 8,3006 7,7570 7,1904 6,6280 6,1169 5,7135 5,4642 5,3963 5,5096 5,7750 6,1498 6,5962 7,0773 7,5487 7,9599 8,2572 8,3913 8,3396 8,1316 7,8404 7,5356 7,2570 7,0402 6,9362 6,9830 7,1689 7,4346 7,7036 7,9091 8,0152 8,0296 7,9935 7,9574 7,9630 8,0270 8,1256 8,2019 8,2092 8,1512 8,0785 8,0506 8,1000 8,2162 8,3544 8,4606 8,4968 8,4458 8,3071 8,1020 7,8742 7,6678 7,5113 7,4406 7,5179 7,7934 8,2438 8,7623 9,2154 9,5064 9,5978 9,4962 9,2374 8,8769 8,4773 8,0892 7,7348 7,4061 7,0869 6,7773 6,4924 6,2489 6,0593 5,9289 5,8543 5,8271 5,8358 5,8721 5,9440 6,0744 6,2738 6,5166 6,7504 6,9364 7,0751 7,1890 7,2887 7,3685 7,4250 7,4582 7,4583 7,4054 7,2878 7,1242 6,9718 6,9038 6,9618 7,1183 7,2946 7,4222 7,4844 7,4998 7,4823 7,4332 7,3614 7,2929 7,2556 7,2584 7,2813 7,2823 7,2186 7,0677 6,8365 6,5566 6,2767 6,0574 5,9504 5,9701 6,0862 6,2418 6,3772 6,4507 6,4528 6,4045 6,3380 6,2824 6,2676 6,3144 6,4049 6,4828 6,4966 6,4389 6,3406 6,2388 6,1490 6,0600 5,9518 5,8171 5,6639 5,5084 5,3736 5,2865 5,2674 5,3153 5,4056 5,5040 5,5873 5,6607 5,7528 5,8824 6,0319 6,1545 6,2066 6,1690 6,0459 5,8525 5,6036 5,3072 4,9589 4,5385 4,0309 3,4672 2,9322 2,5212 2,2904 2,2460 2,3611 2,5917 2,8904 3,2221 3,5688 3,9206 4,2698 4,6057 4,8997 5,1035 5,1718 5,0817 4,8357 4,4586 3,9897 3,4662 2,9166 2,3741 1,8885 1,5210 1,3212 1,3011 1,4264 1,6305 1,8354 1,9605 1,9294 1,6949 1,2649 0,7035 0,1121 -0,4052 -0,7858 -1,0243 -1,1473 -1,1859 -1,1716 -1,1300 -1,0702 -0,9883 -0,8825 -0,7541 -0,5945 -0,3932 -0,1632 0,0567 0,2324 0,3621 0,4712 0,5878 0,7289 0,9022 1,1063 1,3238 1,5256 1,6887 1,8014 1,8521 1,8290 1,7345 1,5989 1,4755 1,4189 1,4634 1,6151 1,8555 2,1519 2,4669 2,7667 3,0290 3,2484 3,4342 3,6008 3,7487 3,8471 3,8488 3,7267 3,4912 3,1874 2,8863 2,6594 2,5454 2,5455 2,6490 2,8468 3,1191 3,4178 3,6732 3,8252 3,8559 3,8003 3,7252 3,6847 3,6807 3,6604 3,5574 3,3396 3,0204 2,6370 2,2369 1,8746 1,5943 1,4117 1,3169 1,2839 1,2727 1,2391 1,1598 1,0478 0,9337 0,8323 0,7325 0,6222 0,5137 0,4397 0,4216 0,4373 0,4236 0,3208 0,1256 -0,0938 -0,2323 -0,2090 -0,0123 0,3018 0,6484 0,9517 1,1602 1,2450
