Fp1   2,5465 2,1446 1,7710 1,4236 1,0497 0,5849 0,0066 -0,5871 -0,9901 -1,0268 -0,6481 0,1082 1,1774 2,4365 3,6286 4,3875 4,4023 3,5947 2,1682 0,5092 -0,9857 -2,0573 -2,6242 -2,7351 -2,5291 -2,2213 -2,0305 -2,0480 -2,1746 -2,2112 -2,0192 -1,5995 -1,0508 -0,4840 0,0181 0,3973 0,6236 0,6996 0,6367 0,4530 0,2017 -0,0432 -0,2376 -0,3685 -0,4363 -0,4822 -0,5884 -0,7862 -0,9835 -1,0211 -0,7980 -0,3468 0,1890 0,6380 0,8964 1,0047 1,1350 1,4670 2,0628 2,8251 3,5391 3,9722 4,0005 3,6798 3,1810 2,6359 2,0660 1,4607 0,8717 0,4019 0,1205 0,0082 -0,0195 -0,0580 -0,1853 -0,4441 -0,8157 -1,2331 -1,6483 -2,0607 -2,4556 -2,7536 -2,8671 -2,8047 -2,6823 -2,6211 -2,6547 -2,7208 -2,7191 -2,6070 -2,4691 -2,4698 -2,7318 -3,3003 -4,2074 -5,4835 -7,0753 -8,8116 -10,4833 -11,9339 -13,0741 -13,8605 -14,3031 -14,4764 -14,4900 -14,4364 -14,3522 -14,2166 -13,9829 -13,6154 -13,1135 -12,5100 -11,8415 -11,1354 -10,4267 -9,7606 -9,1566 -8,5857 -7,9977 -7,3451 -6,5781 -5,6575 -4,5868 -3,4300 -2,3179 -1,4167 -0,8378 -0,5797 -0,5658 -0,6893 -0,8119 -0,7967 -0,6064 -0,3551 -0,2288 -0,3292 -0,5664 -0,6868 -0,4351 0,2664 1,2597 2,2173 2,7567 2,5721 1,5569 -0,1553 -2,2512 -4,3413 -6,0753 -7,2482 -7,8388 -7,9756 -7,8699 -7,7350 -7,7118 -7,8283 -7,9928 -8,0309 -7,7635 -7,0947 -6,0776 -4,9311 -3,9623 -3,3960 -3,2277 -3,2496 -3,2282 -3,0267 -2,5899 -1,9312 -1,1849 -0,5924 -0,3614 -0,5275 -0,9391 -1,3454 -1,5476 -1,5548 -1,5937 -1,9199 -2,6151 -3,5635 -4,5970 -5,6370 -6,7043 -7,8149 -8,8850 -9,7426 -10,2317 -10,3018 -9,9963 -9,3955 -8,6083 -7,7776 -7,0382 -6,4800 -6,1722 -6,1776 -6,5070 -7,0949 -7,8491 -8,7081 -9,6121 -10,4097 -10,8471 -10,7115 -9,9804 -8,8274 -7,5280 -6,3526 -5,4621 -4,8475 -4,3884 -3,9839 -3,6081 -3,2647 -2,9399 -2,6046 -2,2552 -1,9547 -1,8287 -2,0437 -2,7724 -4,0760 -5,7675 -7,4425 -8,6844 -9,2685 -9,2287 -8,7799 -8,1739 -7,5779 -7,0379 -6,5310 -6,0523 -5,6470 -5,3483 -5,1090 -4,8288 -4,4254 -3,8653 -3,1869 -2,5318 -2,1145 -2,1165 -2,5982 -3,4938 -4,6593 -5,9296 -7,1626 -8,2517 -9,1063 -9,6312 -9,7647 -9,5574 -9,1735 -8,7737 -8,4016 -7,9892 -7,4575 -6,8015 -6,0822 -5,3591 -4,6769 -4,1198 -3,8201 -3,8689 -4,2144 -4,6598 -4,9768 -5,0436 -4,8956 -4,6529 -4,4104 -4,2084 -4,0728 -4,0394 -4,1153 -4,2090 -4,1269 -3,6920 -2,8914 -1,9055 -0,9983 -0,3912 -0,2180 -0,5442 -1,3588 -2,5014 -3,6552 -4,5081 -4,9310 -4,9735 -4,7301 -4,2520 -3,5557 -2,6673 -1,6476 -0,5962 0,3424 0,9910 1,1894 0,8565 0,0363 -1,0773 -2,1684 -2,9037 -3,0811 -2,7374 -2,1309 -1,5752 -1,2522 -1,1685 -1,2465 -1,4107 -1,6054 -1,7852 -1,9212 -2,0081 -2,0486 -2,0380 -1,9756 -1,8904 -1,8361 -1,8394 -1,8497 -1,7750 -1,5882 -1,3631 -1,1872 -1,0732 -0,9645 -0,8011 -0,5762 -0,3342 -0,1119 0,1159 0,4164 0,8123 1,2129 1,4418 1,3554 0,9509 0,3710 -0,1762 -0,5092 -0,5354 -0,2657 0,2409 0,9530 1,8567 2,8458 3,6734 4,0926 4,0500 3,7042 3,2887 2,9933 2,9114 3,0235 3,2297 3,4296 3,5755 3,6347 3,5306 3,1989 2,7096 2,2569 1,9953 1,9205 1,9182 1,8794 1,7457 1,5006 1,1749 0,8441 0,5813 0,4101 0,3247 0,3602 0,6048 1,1148 1,8266 2,5439 3,0205 3,1209 2,9334 2,6948 2,5946 2,6524 2,7351 2,6569 2,3095 1,7390 1,1042 0,5715 0,2492 0,1890 0,4125 0,9331 1,7725 2,9335 4,3055 5,6043 6,4637 6,6255 6,0713 5,0128 3,7731 2,6521 1,8441 1,4021 1,2528 1,2993 1,5171 1,9240 2,5132 3,2569 4,1356 5,1373 6,2419 7,3992 8,5070 9,4283 10,0512 10,3262 10,2399 9,7776 8,9370 7,7825 6,4724 5,2244 4,2565 3,7341 3,7035 4,0373 4,4785 4,7665 4,7152 4,2110 3,2314 1,9082 0,5321 -0,5388 -1,0012 -0,7155 0,2288 1,5697 3,0257 4,3849 5,4884 6,2123 6,5099 6,4740 6,3494 6,4231 6,8250 7,4185 7,9026 8,0290 7,7348 7,0907 6,1571 4,9158 3,3355 1,4799 -0,4523 -2,1787 -3,4261 -4,0031 -3,8432 -3,0262 -1,7449 -0,2138 1,3841 2,8593 3,9927 4,6140 4,7022 4,3808 3,8119 3,1087 2,3224 1,4576 0,4956 -0,5540 -1,6045 -2,5119 -3,1380 -3,3688 -3,1220 -2,4200 -1,4550 -0,5191 0,1507 0,4593 0,4476 0,2484 0,0070 -0,2008 -0,3682 -0,4753 -0,4366 -0,1382 0,4806 1,3719 2,3921 3,3721 4,1984 4,8426 5,3099 5,5666 5,5439 5,2159 4,6669 4,0932 3,7275 3,7136 4,0249 4,4996 4,9446 5,2255 5,2912 5,1432 4,8089 4,3618 3,9236 3,5907 3,3809 3,3020 3,4212 3,7963 4,3540 4,8787 5,1360 5,0283 4,6641 4,2928 4,1776 4,5065 5,3417 6,5776 7,9521 9,1412 9,8842 10,0671 9,7600 9,1976 8,6732 8,3981 8,4187 8,6067 8,7143 8,5112 7,9345 7,1335 6,3933 6,0030 6,1190 6,6750 7,4096 7,9918 8,1496 7,7667 6,9510 6,0132 5,3222 5,1128 5,3571 5,7731 5,9680 5,6466 4,7630 3,5219 2,2477 1,2260 0,6152 0,4550 0,7050 1,2583 1,9628 2,6796 3,3309 3,8914 4,3454 4,6662 4,8496 4,9631 5,1177 5,3550 5,5783 5,6386 5,4882 5,2288 5,0083 4,9067 4,9209 4,9888 4,9945 4,7980
Fz    0,0849 -0,0412 -0,1192 -0,1565 -0,1602 -0,1426 -0,1229 -0,1078 -0,0745 0,0158 0,1944 0,4710 0,8221 1,1790 1,4331 1,4750 1,2518 0,7973 0,2217 -0,3323 -0,7477 -0,9848 -1,0843 -1,1126 -1,1132 -1,1088 -1,1097 -1,0966 -1,0164 -0,8231 -0,5252 -0,1906 0,0946 0,2789 0,3645 0,3848 0,3706 0,3321 0,2622 0,1541 0,0204 -0,1085 -0,1937 -0,1907 -0,0666 0,1592 0,4061 0,5875 0,6737 0,6951 0,6967 0,7037 0,7232 0,7600 0,8255 0,9426 1,1361 1,4026 1,6883 1,9015 1,9513 1,7878 1,4285 0,9650 0,5299 0,2259 0,0703 0,0102 -0,0194 -0,0628 -0,1552 -0,3340 -0,6215 -0,9971 -1,3911 -1,7172 -1,9194 -2,0041 -2,0414 -2,1196 -2,2760 -2,4703 -2,6295 -2,7199 -2,7652 -2,7995 -2,8265 -2,8306 -2,8100 -2,7937 -2,8377 -2,9972 -3,2951 -3,7208 -4,2499 -4,8385 -5,4155 -5,9171 -6,3300 -6,6945 -7,0702 -7,5019 -8,0102 -8,5915 -9,2091 -9,7856 -10,2137 -10,3826 -10,2115 -9,6802 -8,8456 -7,8217 -6,7356 -5,7002 -4,8026 -4,0852 -3,5372 -3,1133 -2,7685 -2,4813 -2,2582 -2,1232 -2,0971 -2,1832 -2,3683 -2,6261 -2,9084 -3,1433 -3,2541 -3,1802 -2,8904 -2,3999 -1,7803 -1,1393 -0,5784 -0,1542 0,1358 0,3418 0,5266 0,7279 0,9479 1,1655 1,3554 1,5028 1,6070 1,6737 1,7084 1,7203 1,7253 1,7423 1,7891 1,8747 1,9868 2,1001 2,2032 2,3133 2,4696 2,7142 3,0668 3,5086 3,9861 4,4287 4,7659 4,9548 5,0133 5,0118 5,0166 5,0543 5,1329 5,2524 5,3757 5,4152 5,2718 4,8990 4,3353 3,6687 2,9617 2,2080 1,3601 0,3968 -0,6426 -1,6779 -2,6336 -3,4672 -4,1632 -4,7158 -5,1266 -5,4146 -5,6210 -5,7982 -5,9792 -6,1570 -6,3042 -6,4111 -6,4955 -6,5815 -6,6803 -6,7874 -6,8862 -6,9608 -7,0147 -7,0675 -7,1133 -7,0821 -6,8674 -6,4138 -5,7725 -5,0718 -4,4496 -4,0027 -3,7546 -3,6467 -3,5812 -3,4981 -3,4064 -3,3392 -3,2924 -3,2134 -3,0466 -2,7805 -2,4512 -2,1194 -1,8458 -1,6523 -1,4930 -1,2834 -0,9732 -0,5924 -0,2312 0,0265 0,1625 0,2360 0,3359 0,5134 0,7511 0,9890 1,1749 1,2819 1,2808 1,1230 0,7728 0,2401 -0,4319 -1,1944 -1,9956 -2,7755 -3,4801 -4,0763 -4,5545 -4,9298 -5,2333 -5,4819 -5,6557 -5,7225 -5,6837 -5,5819 -5,4637 -5,3437 -5,2074 -5,0407 -4,8510 -4,6548 -4,4483 -4,2052 -3,9120 -3,5973 -3,3211 -3,1304 -3,0236 -2,9536 -2,8664 -2,7402 -2,5904 -2,4395 -2,2900 -2,1256 -1,9303 -1,6941 -1,4002 -1,0230 -0,5515 -0,0098 0,5512 1,0776 1,5324 1,8980 2,1632 2,3195 2,3723 2,3423 2,2438 2,0773 1,8525 1,6041 1,3757 1,2004 1,0963 1,0622 1,0780 1,1115 1,1277 1,0955 0,9907 0,8024 0,5524 0,3050 0,1431 0,1238 0,2435 0,4369 0,6158 0,7162 0,7110 0,5899 0,3485 0,0007 -0,4109 -0,8220 -1,1613 -1,3648 -1,3927 -1,2440 -0,9616 -0,6208 -0,3059 -0,0805 0,0305 0,0338 -0,0497 -0,1916 -0,3528 -0,4859 -0,5511 -0,5395 -0,4783 -0,4009 -0,3059 -0,1477 0,1280 0,5325 1,0135 1,4876 1,8883 2,1819 2,3562 2,4093 2,3456 2,1835 1,9682 1,7723 1,6616 1,6459 1,6715 1,6793 1,6667 1,6834 1,7813 1,9807 2,2703 2,6187 2,9884 3,3489 3,6815 3,9691 4,1798 4,2738 4,2359 4,0958 3,9052 3,6989 3,4937 3,3186 3,2188 3,2261 3,3406 3,5298 3,7297 3,8603 3,8651 3,7462 3,5599 3,3756 3,2362 3,1408 3,0532 2,9381 2,7978 2,6645 2,5619 2,4874 2,4217 2,3467 2,2670 2,2173 2,2362 2,3293 2,4710 2,6415 2,8494 3,1157 3,4475 3,8234 4,1874 4,4605 4,5838 4,5573 4,4290 4,2499 4,0413 3,7924 3,4821 3,1117 2,7212 2,3871 2,1949 2,1977 2,3972 2,7551 3,2112 3,6982 4,1563 4,5443 4,8360 5,0141 5,0814 5,0674 5,0069 4,9132 4,7812 4,6093 4,4135 4,2258 4,0787 3,9883 3,9451 3,9167 3,8603 3,7364 3,5118 3,1625 2,6930 2,1619 1,6772 1,3535 1,2616 1,4000 1,6995 2,0628 2,4144 2,7175 2,9557 3,1178 3,2056 3,2534 3,3392 3,5559 3,9448 4,4491 4,9378 5,2728 5,3641 5,1836 4,7483 4,1046 3,3265 2,5048 1,7287 1,0699 0,5716 0,2458 0,0773 0,0327 0,0783 0,1891 0,3345 0,4557 0,4769 0,3528 0,1067 -0,1830 -0,4364 -0,6139 -0,7249 -0,8173 -0,9561 -1,1883 -1,5125 -1,8822 -2,2355 -2,5173 -2,6927 -2,7710 -2,8205 -2,9328 -3,1555 -3,4651 -3,7978 -4,0922 -4,3160 -4,4714 -4,5779 -4,6406 -4,6290 -4,4929 -4,2020 -3,7774 -3,2855 -2,8035 -2,3822 -2,0364 -1,7646 -1,5707 -1,4575 -1,4097 -1,3953 -1,3794 -1,3286 -1,2084 -0,9886 -0,6604 -0,2511 0,1856 0,5965 0,9522 1,2553 1,5369 1,8380 2,1761 2,5281 2,8557 3,1351 3,3454 3,4472 3,3983 3,1887 2,8583 2,4814 2,1301 1,8454 1,6358 1,4897 1,3794 1,2615 1,0889 0,8326 0,4990 0,1337 -0,1948 -0,4307 -0,5617 -0,6186 -0,6548 -0,7272 -0,8782 -1,1172 -1,4173 -1,7285 -1,9985 -2,1949 -2,3235 -2,4266 -2,5573 -2,7524 -3,0180 -3,3144 -3,5577 -3,6602 -3,5851 -3,3746 -3,1372 -3,0040 -3,0676 -3,3350 -3,7277 -4,1302 -4,4516 -4,6633 -4,7931 -4,8902 -4,9907 -5,1016 -5,2008 -5,2450 -5,1875 -5,0071 -4,7265 -4,3989 -4,0809 -3,8247 -3,6892 -3,7351 -3,9816 -4,3656 -4,7590 -5,0360 -5,1286 -5,0338 -4,7980 -4,5007 -4,2357
F3    -0,8926 -0,8386 -0,7907 -0,7003 -0,5233 -0,2722 -0,0053 0,2212 0,3859 0,5099 0,6447 0,8408 1,0996 1,3513 1,4881 1,4218 1,1189 0,6127 0,0030 -0,5599 -0,9231 -1,0051 -0,8495 -0,5902 -0,3535 -0,1935 -0,0934 -0,0109 0,0677 0,1120 0,0768 -0,0620 -0,2831 -0,5156 -0,6725 -0,7125 -0,6621 -0,5596 -0,3966 -0,1425 0,1912 0,5327 0,7912 0,9013 0,8370 0,6064 0,2448 -0,1765 -0,5432 -0,7307 -0,6592 -0,3150 0,2618 0,9832 1,7168 2,3159 2,6600 2,6715 2,3159 1,6254 0,7305 -0,1723 -0,9225 -1,4613 -1,8001 -1,9613 -1,9629 -1,8096 -1,4805 -0,9640 -0,3200 0,3258 0,8551 1,2017 1,3323 1,2163 0,8323 0,2053 -0,5635 -1,3221 -1,9492 -2,4126 -2,7532 -3,0455 -3,3765 -3,8093 -4,3322 -4,8547 -5,2693 -5,5086 -5,5506 -5,4058 -5,1206 -4,7766 -4,4553 -4,1945 -3,9930 -3,8586 -3,8250 -3,9123 -4,1067 -4,4124 -4,9029 -5,6600 -6,6506 -7,7064 -8,6305 -9,2915 -9,6299 -9,6301 -9,3242 -8,8034 -8,1908 -7,5820 -7,0063 -6,4316 -5,8061 -5,1040 -4,3342 -3,5247 -2,7263 -2,0230 -1,5190 -1,3115 -1,4628 -1,9522 -2,6439 -3,3242 -3,7872 -3,9106 -3,6915 -3,2283 -2,6596 -2,0942 -1,5854 -1,1697 -0,9004 -0,8136 -0,8697 -0,9600 -0,9781 -0,8740 -0,6370 -0,2591 0,2549 0,8590 1,4742 2,0109 2,3762 2,4921 2,3345 1,9552 1,4767 1,0598 0,8388 0,8666 1,1159 1,5178 1,9934 2,4706 2,9099 3,3273 3,7683 4,2538 4,7622 5,2446 5,6385 5,8856 5,9472 5,8025 5,4576 4,9522 4,3230 3,5820 2,7548 1,8909 1,0098 0,0772 -0,9478 -2,0543 -3,1769 -4,2332 -5,1538 -5,8871 -6,4084 -6,7457 -6,9780 -7,1752 -7,3433 -7,4464 -7,4593 -7,3930 -7,2917 -7,2192 -7,2384 -7,3707 -7,5712 -7,7712 -7,9221 -7,9765 -7,8786 -7,6091 -7,2082 -6,7467 -6,2865 -5,8680 -5,5253 -5,2987 -5,2194 -5,2835 -5,4537 -5,6779 -5,9029 -6,0803 -6,1727 -6,1614 -6,0447 -5,8341 -5,5510 -5,2109 -4,8071 -4,3072 -3,6470 -2,7541 -1,6226 -0,3807 0,7256 1,4386 1,6187 1,3071 0,6843 -0,0275 -0,6430 -1,0455 -1,1873 -1,0883 -0,8339 -0,5636 -0,4368 -0,5738 -1,0084 -1,6898 -2,5170 -3,3774 -4,1827 -4,8868 -5,4735 -5,9292 -6,2296 -6,3646 -6,3815 -6,3754 -6,4271 -6,5577 -6,7414 -6,9388 -7,0972 -7,1366 -6,9798 -6,6191 -6,1519 -5,7352 -5,4948 -5,4579 -5,5512 -5,6464 -5,6220 -5,4178 -5,0627 -4,6496 -4,2755 -4,0043 -3,8555 -3,7991 -3,7706 -3,7021 -3,5461 -3,2944 -2,9854 -2,6739 -2,3940 -2,1553 -1,9510 -1,7481 -1,4896 -1,1271 -0,6460 -0,0490 0,6564 1,4214 2,1276 2,6201 2,7682 2,5128 1,8960 1,0570 0,1786 -0,5831 -1,1335 -1,4335 -1,4873 -1,3404 -1,0768 -0,8073 -0,6380 -0,6252 -0,7541 -0,9666 -1,1977 -1,3752 -1,4221 -1,3027 -1,0677 -0,8399 -0,7449 -0,8392 -1,0832 -1,3612 -1,5363 -1,5207 -1,3185 -1,0205 -0,7656 -0,6825 -0,8380 -1,2143 -1,7194 -2,2090 -2,5180 -2,5315 -2,2647 -1,8651 -1,5250 -1,3735 -1,4195 -1,5682 -1,6764 -1,6062 -1,2700 -0,6780 0,0546 0,7838 1,4360 2,0162 2,5303 2,9279 3,1248 3,0686 2,7906 2,3963 1,9982 1,6488 1,3373 1,0273 0,6811 0,2945 -0,0567 -0,2330 -0,1244 0,2726 0,8524 1,4604 1,9692 2,3211 2,5149 2,5726 2,5326 2,4715 2,4910 2,6501 2,9286 3,2664 3,6064 3,8881 4,0349 3,9748 3,6762 3,1686 2,5369 1,8957 1,3560 0,9756 0,7196 0,4774 0,1434 -0,2977 -0,7624 -1,1437 -1,3760 -1,4306 -1,2916 -0,9641 -0,4858 0,0975 0,7567 1,4667 2,1881 2,8736 3,4811 3,9634 4,2511 4,2701 3,9927 3,4746 2,8542 2,3113 1,9909 1,9278 2,0236 2,1008 2,0059 1,7045 1,3019 0,9589 0,7723 0,7454 0,8511 1,0806 1,4266 1,8479 2,2809 2,6900 3,0757 3,4313 3,7175 3,8903 3,9272 3,8197 3,5712 3,2205 2,8495 2,5498 2,3611 2,2336 2,0751 1,8601 1,6727 1,6148 1,6928 1,8207 1,9110 1,9352 1,9070 1,8284 1,6711 1,4167 1,0979 0,7957 0,6133 0,6468 0,9382 1,4265 1,9555 2,3560 2,5448 2,5455 2,4268 2,2476 2,0633 1,9394 1,9295 2,0416 2,2359 2,4572 2,6588 2,7999 2,8419 2,7504 2,4942 2,0535 1,4300 0,6562 -0,1908 -0,9946 -1,6424 -2,0752 -2,3135 -2,4474 -2,5948 -2,8436 -3,2113 -3,6324 -3,9859 -4,1673 -4,1606 -4,0299 -3,8400 -3,5987 -3,2781 -2,8846 -2,5008 -2,2634 -2,2969 -2,6443 -3,2307 -3,8947 -4,4704 -4,8577 -5,0580 -5,1537 -5,2298 -5,3135 -5,3826 -5,4064 -5,3844 -5,3669 -5,4207 -5,5702 -5,7870 -6,0324 -6,2701 -6,4168 -6,3235 -5,8534 -4,9850 -3,8478 -2,6749 -1,7007 -1,0627 -0,7525 -0,6448 -0,5887 -0,4882 -0,3102 -0,0510 0,2736 0,6202 0,9375 1,2029 1,4216 1,5893 1,6706 1,6232 1,4421 1,1769 0,8978 0,6436 0,3996 0,1045 -0,3287 -0,9661 -1,7991 -2,7307 -3,6158 -4,3092 -4,6934 -4,7188 -4,4553 -4,0779 -3,7726 -3,6349 -3,6234 -3,5979 -3,4292 -3,1047 -2,7387 -2,4842 -2,4411 -2,6287 -3,0117 -3,5382 -4,1537 -4,7807 -5,3070 -5,6344 -5,7498 -5,7356 -5,7134 -5,7826 -5,9879 -6,3014 -6,6261 -6,8383 -6,8452 -6,6145 -6,1711 -5,6006 -5,0503 -4,6891 -4,6365 -4,9151 -5,4510 -6,1045 -6,7007 -7,0717 -7,1206 -6,8784 -6,5109 -6,2429 -6,2339 -6,5033 -6,9473 -7,4035 -7,7117 -7,7576 -7,5098 -7,0316 -6,4364 -5,8160 -5,2082
F7    -1,3008 -0,9971 -0,6414 -0,3040 -0,0420 0,1257 0,2105 0,2385 0,2443 0,2654 0,3283 0,4343 0,5561 0,6567 0,7126 0,7151 0,6551 0,5190 0,3027 0,0260 -0,2701 -0,5449 -0,7719 -0,9154 -0,9216 -0,7641 -0,4839 -0,1642 0,1235 0,3467 0,5109 0,6390 0,7394 0,7964 0,7866 0,6927 0,5079 0,2422 -0,0733 -0,3913 -0,6630 -0,8535 -0,9400 -0,8997 -0,7161 -0,4059 -0,0278 0,3376 0,6169 0,7618 0,7586 0,6345 0,4520 0,2875 0,2024 0,2224 0,3342 0,5092 0,7318 0,9962 1,2757 1,5089 1,6212 1,5639 1,3337 0,9650 0,5098 0,0179 -0,4779 -0,9572 -1,3910 -1,7310 -1,9228 -1,9286 -1,7490 -1,4329 -1,0607 -0,7116 -0,4462 -0,3001 -0,2744 -0,3325 -0,4236 -0,5220 -0,6361 -0,7762 -0,9310 -1,0826 -1,2297 -1,3900 -1,5926 -1,8696 -2,2394 -2,6916 -3,1878 -3,6700 -4,0835 -4,4147 -4,7041 -5,0137 -5,3786 -5,7806 -6,1593 -6,4401 -6,5606 -6,4914 -6,2490 -5,8883 -5,4692 -5,0256 -4,5668 -4,0909 -3,5940 -3,0869 -2,6006 -2,1577 -1,7459 -1,3290 -0,8889 -0,4604 -0,1281 0,0205 -0,0478 -0,2846 -0,5851 -0,8478 -1,0241 -1,1205 -1,1679 -1,1958 -1,2290 -1,2773 -1,3191 -1,3114 -1,2236 -1,0507 -0,7981 -0,4729 -0,0919 0,3145 0,7127 1,0736 1,3734 1,6000 1,7616 1,8900 2,0296 2,2141 2,4518 2,7298 3,0259 3,3180 3,5840 3,8016 3,9539 4,0311 4,0367 3,9908 3,9167 3,8284 3,7365 3,6470 3,5479 3,4155 3,2474 3,0778 2,9492 2,8829 2,8834 2,9369 2,9913 2,9690 2,8184 2,5459 2,1946 1,7940 1,3323 0,7867 0,1728 -0,4557 -1,0582 -1,6366 -2,2120 -2,7858 -3,3235 -3,7642 -4,0615 -4,2322 -4,3607 -4,5444 -4,8253 -5,1635 -5,4746 -5,6948 -5,8179 -5,8827 -5,9379 -6,0127 -6,1050 -6,1987 -6,2935 -6,4109 -6,5645 -6,7300 -6,8531 -6,8926 -6,8451 -6,7197 -6,5094 -6,1995 -5,7913 -5,3132 -4,8225 -4,3955 -4,0952 -3,9381 -3,8937 -3,9097 -3,9398 -3,9560 -3,9485 -3,9284 -3,9217 -3,9407 -3,9673 -3,9714 -3,9361 -3,8555 -3,7218 -3,5326 -3,3054 -3,0751 -2,8817 -2,7525 -2,6902 -2,6768 -2,6830 -2,6788 -2,6598 -2,6604 -2,7311 -2,9099 -3,2109 -3,6264 -4,1228 -4,6416 -5,1218 -5,5301 -5,8670 -6,1580 -6,4496 -6,7856 -7,1717 -7,5633 -7,8909 -8,0966 -8,1583 -8,0983 -7,9784 -7,8734 -7,8260 -7,8157 -7,7718 -7,6236 -7,3468 -6,9738 -6,5742 -6,2230 -5,9652 -5,7938 -5,6631 -5,5337 -5,4044 -5,2970 -5,2209 -5,1597 -5,0829 -4,9600 -4,7699 -4,5128 -4,2170 -3,9210 -3,6479 -3,4038 -3,1895 -3,0013 -2,8303 -2,6807 -2,5807 -2,5668 -2,6577 -2,8436 -3,0858 -3,3256 -3,5064 -3,5981 -3,6103 -3,5945 -3,6282 -3,7840 -4,0996 -4,5548 -5,0671 -5,5230 -5,8294 -5,9471 -5,8969 -5,7477 -5,5913 -5,5128 -5,5654 -5,7520 -6,0225 -6,2990 -6,5177 -6,6513 -6,6981 -6,6595 -6,5365 -6,3457 -6,1229 -5,9055 -5,7172 -5,5788 -5,5322 -5,6331 -5,9022 -6,2878 -6,6800 -6,9644 -7,0743 -7,0129 -6,8320 -6,5972 -6,3639 -6,1610 -5,9805 -5,7932 -5,5833 -5,3647 -5,1635 -4,9944 -4,8560 -4,7446 -4,6649 -4,6236 -4,6132 -4,6086 -4,5766 -4,4895 -4,3365 -4,1231 -3,8534 -3,5166 -3,1008 -2,6264 -2,1568 -1,7678 -1,5144 -1,4230 -1,4929 -1,6888 -1,9457 -2,1960 -2,3917 -2,5098 -2,5510 -2,5324 -2,4773 -2,4103 -2,3542 -2,3226 -2,3177 -2,3339 -2,3604 -2,3843 -2,4079 -2,4638 -2,6042 -2,8724 -3,2813 -3,8073 -4,3840 -4,9059 -5,2615 -5,3797 -5,2547 -4,9508 -4,5882 -4,2916 -4,1348 -4,1257 -4,2208 -4,3489 -4,4480 -4,5029 -4,5402 -4,5835 -4,6250 -4,6384 -4,6084 -4,5401 -4,4470 -4,3331 -4,1808 -3,9567 -3,6418 -3,2571 -2,8584 -2,5119 -2,2717 -2,1648 -2,1909 -2,3212 -2,4985 -2,6539 -2,7363 -2,7339 -2,6721 -2,5922 -2,5302 -2,5081 -2,5318 -2,6010 -2,7131 -2,8488 -2,9561 -2,9628 -2,8111 -2,4983 -2,0945 -1,7122 -1,4462 -1,3301 -1,3406 -1,4339 -1,5839 -1,7979 -2,0980 -2,4850 -2,9203 -3,3360 -3,6636 -3,8635 -3,9439 -3,9567 -3,9676 -4,0247 -4,1455 -4,3182 -4,5008 -4,6213 -4,5991 -4,3844 -3,9862 -3,4670 -2,9176 -2,4294 -2,0719 -1,8763 -1,8343 -1,9137 -2,0700 -2,2473 -2,3939 -2,4946 -2,5783 -2,6845 -2,8313 -3,0165 -3,2409 -3,5139 -3,8319 -4,1670 -4,4861 -4,7627 -4,9660 -5,0631 -5,0460 -4,9507 -4,8492 -4,8229 -4,9349 -5,2078 -5,6136 -6,0763 -6,4973 -6,8079 -7,0085 -7,1484 -7,2681 -7,3771 -7,4755 -7,5671 -7,6470 -7,7028 -7,7413 -7,7953 -7,8941 -8,0392 -8,2051 -8,3461 -8,4062 -8,3435 -8,1518 -7,8548 -7,4864 -7,0886 -6,7082 -6,3783 -6,1163 -5,9433 -5,8800 -5,9148 -5,9946 -6,0543 -6,0453 -5,9343 -5,6959 -5,3256 -4,8532 -4,3318 -3,8121 -3,3267 -2,8925 -2,5217 -2,2221 -1,9890 -1,8127 -1,6991 -1,6748 -1,7680 -1,9831 -2,2885 -2,6350 -2,9881 -3,3420 -3,7040 -4,0633 -4,3742 -4,5837 -4,6737 -4,6702 -4,6204 -4,5820 -4,6195 -4,7776 -5,0434 -5,3445 -5,5951 -5,7488 -5,8204 -5,8662 -5,9359 -6,0390 -6,1512 -6,2436 -6,3148 -6,4011 -6,5545 -6,8064 -7,1523 -7,5611 -7,9916 -8,3949 -8,7100 -8,8710 -8,8329 -8,6002 -8,2382 -7,8536 -7,5552 -7,4104 -7,4254 -7,5659 -7,7962 -8,0920 -8,4217 -8,7293 -8,9470 -9,0214 -8,9325 -8,7082 -8,4257 -8,1797 -8,0266 -7,9526 -7,8920 -7,7745 -7,5644 -7,2670 -6,9080 -6,5205 -6,1455 -5,8243 -5,5839 -5,4328 -5,3669 -5,3772 -5,4524
