Fp1   3,1393 3,0243 2,8492 2,6077 2,3194 1,9993 1,6528 1,2990 0,9761 0,7148 0,5082 0,3126 0,0841 -0,1800 -0,4439 -0,6697 -0,8366 -0,9388 -0,9832 -0,9876 -0,9736 -0,9563 -0,9323 -0,8730 -0,7398 -0,5117 -0,1952 0,1761 0,5369 0,7981 0,8829 0,7733 0,5143 0,1780 -0,1709 -0,4846 -0,7329 -0,9044 -1,0018 -1,0404 -1,0484 -1,0575 -1,0804 -1,1025 -1,1094 -1,1139 -1,1329 -1,1449 -1,0889 -0,9109 -0,6100 -0,2564 0,0259 0,1159 -0,0397 -0,4081 -0,9048 -1,4369 -1,9285 -2,3424 -2,6800 -2,9407 -3,0882 -3,0687 -2,8577 -2,4858 -2,0258 -1,5642 -1,1815 -0,9414 -0,8759 -0,9787 -1,2151 -1,5385 -1,9077 -2,2947 -2,6716 -3,0000 -3,2479 -3,4057 -3,4799 -3,4958 -3,5066 -3,5762 -3,7446 -3,9999 -4,2794 -4,5142 -4,6809 -4,7998 -4,8994 -5,0065 -5,1496 -5,3355 -5,5292 -5,6747 -5,7288 -5,6642 -5,4645 -5,1406 -4,7517 -4,3892 -4,1224 -3,9518 -3,8251 -3,7029 -3,5925 -3,5101 -3,4388 -3,3407 -3,1928 -3,0071 -2,8242 -2,6820 -2,5852 -2,5014 -2,3814 -2,1937 -1,9487 -1,6812 -1,4199 -1,1934 -1,0382 -0,9749 -0,9996 -1,0953 -1,2331 -1,3722 -1,4651 -1,4701 -1,3849 -1,2668 -1,1948 -1,1978 -1,2245 -1,1863 -1,0278 -0,7646 -0,4817 -0,3022 -0,3387 -0,6542 -1,2363 -1,9917 -2,7818 -3,4789 -4,0048 -4,3397 -4,5045 -4,5272 -4,4186 -4,1786 -3,8216 -3,3878 -2,9335 -2,5115 -2,1505 -1,8539 -1,6214 -1,4536 -1,3341 -1,2305 -1,1094 -0,9439 -0,7241 -0,4637 -0,1883 0,0803 0,3374 0,5966 0,8707 1,1586 1,4617 1,8018 2,1971 2,6144 2,9623 3,1438 3,1173 2,9274 2,6860 2,5001 2,4077 2,3862 2,3981 2,4241 2,4729 2,5566 2,6527 2,7122 2,7004 2,6069 2,4342 2,2025 1,9578 1,7511 1,5969 1,4665 1,3282 1,1738 1,0069 0,8380 0,6972 0,6218 0,6219 0,6824 0,7877 0,9171 1,0362 1,1263 1,2038 1,2882 1,3680 1,3967 1,3060 1,0365 0,5798 -0,0035 -0,6011 -1,0836 -1,3439 -1,3340 -1,0854 -0,7033 -0,3248 -0,0639 0,0172 -0,0881 -0,3362 -0,6528 -0,9640 -1,2264 -1,4400 -1,6347 -1,8436 -2,0848 -2,3515 -2,6193 -2,8569 -3,0273 -3,0965 -3,0575 -2,9403 -2,7968 -2,6781 -2,6180 -2,6276 -2,6930 -2,7662 -2,7813 -2,7115 -2,6111 -2,5950 -2,7713 -3,1670 -3,6969 -4,1945 -4,4867 -4,4767 -4,1884 -3,7389 -3,2723 -2,9031 -2,6856 -2,6064 -2,5981 -2,5741 -2,4698 -2,2753 -2,0468 -1,8781 -1,8407 -1,9356 -2,0916 -2,2179 -2,2662 -2,2542 -2,2465 -2,3128 -2,4720 -2,6567 -2,7440 -2,6376 -2,3213 -1,8471 -1,2950 -0,7313 -0,1932 0,2938 0,7027 1,0231 1,2686 1,4598 1,6101 1,7132 1,7299 1,6071 1,3221 0,9028 0,4123 -0,0753 -0,4940 -0,7959 -0,9567 -0,9799 -0,8977 -0,7730 -0,6761 -0,6353 -0,6209 -0,5864 -0,5006 -0,3525 -0,1598 0,0407 0,2332 0,4342 0,6444 0,8200 0,9109 0,9118 0,8563 0,7775 0,6909 0,6019 0,5233 0,4847 0,5214 0,6549 0,8754 1,1348 1,3673 1,5244 1,5912 1,5730 1,4794 1,3249 1,1303 0,9128 0,6831 0,4506 0,2219 0,0011 -0,1967 -0,3331 -0,3581 -0,2325 0,0510 0,4558 0,9105 1,3350 1,6608 1,8370 1,8399 1,6886 1,4397 1,1609 0,9166 0,7651 0,7463 0,8674 1,1015 1,3998 1,7147 2,0124 2,2664 2,4576 2,5768 2,6281 2,6451 2,6928 2,8232 3,0295 3,2579 3,4552 3,5913 3,6599 3,6757 3,6622 3,6431 3,6509 3,7189 3,8458 3,9811 4,0464 3,9740 3,7519 3,4604 3,2343 3,1559 3,2039 3,3031 3,3917 3,4445 3,4737 3,5276 3,6639 3,8994 4,1845 4,4327 4,5696 4,5543 4,3788 4,0761 3,7265 3,4303 3,2648 3,2656 3,4312 3,7293 4,0947 4,4388 4,6860 4,8205 4,8859 4,9245 4,9322 4,8788 4,7522 4,5695 4,3627 4,1673 4,0229 3,9663 4,0122 4,1276 4,2311 4,2440 4,1501 3,9981 3,8542 3,7685 3,7691 3,8560 3,9909 4,1131 4,1809 4,2024 4,2128 4,2157 4,1624 3,9981 3,7092 3,3319 2,9413 2,6312 2,4715 2,4780 2,6227 2,8634 3,1576 3,4579 3,7085 3,8510 3,8373 3,6491 3,3108 2,8869 2,4717 2,1616 2,0064 1,9824 2,0160 2,0327 1,9923 1,8846 1,7063 1,4579 1,1630 0,8748 0,6576 0,5602 0,5997 0,7564 0,9748 1,1846 1,3423 1,4440 1,5062 1,5634 1,6689 1,8665 2,1649 2,5411 2,9562 3,3609 3,6963 3,9138 3,9972 3,9675 3,8703 3,7400 3,5733 3,3409 3,0200 2,6157 2,1597 1,6936 1,2632 0,9239 0,7331 0,7337 0,9362 1,2935 1,6980 2,0248 2,1791 2,1056 1,7866 1,2659 0,6531 0,0722 -0,3998 -0,7418 -0,9591 -1,0577 -1,0408 -0,9210 -0,7345 -0,5427 -0,4025 -0,3317 -0,3096 -0,2964 -0,2443 -0,1126 0,1021 0,3473 0,5348 0,5899 0,4918 0,2744 -0,0022 -0,2798 -0,5042 -0,6183 -0,5755 -0,3671 -0,0298 0,3734 0,7748 1,1178 1,3631 1,4871 1,4844 1,3736 1,1895 0,9645 0,7207 0,4908 0,3383 0,3387 0,5332 0,8939 1,3293 1,7329 2,0385 2,2364 2,3523 2,4236 2,4896 2,5792 2,6955 2,8213 2,9301 2,9815 2,9282 2,7482 2,4636 2,1237 1,7805 1,4724 1,2224 1,0548 1,0075 1,1052 1,3138 1,5438 1,7137 1,8091 1,8827 2,0071 2,2203 2,4966 2,7620 2,9380 2,9778 2,8752 2,6527 2,3593 2,0681 1,8440 1,7128 1,6698 1,6948 1,7622 1,8697 2,0480 2,3290 2,7150
Fz    2,3934 2,2361 2,0449 1,8068 1,5298 1,2214 0,8764 0,4942 0,1016 -0,2654 -0,5972 -0,9123 -1,2198 -1,4958 -1,7058 -1,8369 -1,8989 -1,9078 -1,8807 -1,8379 -1,7975 -1,7681 -1,7434 -1,6973 -1,5879 -1,3761 -1,0485 -0,6300 -0,1830 0,2084 0,4711 0,5775 0,5544 0,4651 0,3838 0,3700 0,4461 0,5933 0,7691 0,9265 1,0265 1,0540 1,0276 0,9830 0,9384 0,8838 0,8080 0,7310 0,7014 0,7669 0,9440 1,1982 1,4499 1,6134 1,6379 1,5204 1,2934 1,0062 0,7068 0,4206 0,1451 -0,1234 -0,3604 -0,5161 -0,5417 -0,4146 -0,1512 0,1957 0,5464 0,8112 0,9178 0,8401 0,6015 0,2462 -0,1951 -0,7084 -1,2665 -1,8108 -2,2719 -2,6009 -2,7850 -2,8495 -2,8533 -2,8692 -2,9514 -3,1058 -3,2861 -3,4318 -3,5181 -3,5625 -3,5931 -3,6235 -3,6505 -3,6524 -3,5930 -3,4459 -3,2155 -2,9290 -2,6191 -2,3169 -2,0560 -1,8714 -1,7866 -1,7989 -1,8874 -2,0361 -2,2347 -2,4525 -2,6304 -2,7076 -2,6505 -2,4715 -2,2272 -1,9867 -1,7922 -1,6400 -1,4894 -1,2989 -1,0598 -0,7944 -0,5402 -0,3458 -0,2529 -0,2658 -0,3432 -0,4204 -0,4413 -0,3786 -0,2316 -0,0149 0,2447 0,5108 0,7582 0,9977 1,2711 1,6183 2,0483 2,5259 2,9679 3,2623 3,3141 3,0821 2,5912 1,9320 1,2364 0,6253 0,1648 -0,1412 -0,3275 -0,4304 -0,4634 -0,4258 -0,3262 -0,1861 -0,0224 0,1694 0,4170 0,7531 1,1928 1,7206 2,2961 2,8655 3,3801 3,8114 4,1514 4,4050 4,5893 4,7366 4,8897 5,0796 5,3041 5,5336 5,7420 5,9270 6,0990 6,2520 6,3546 6,3736 6,2995 6,1576 5,9984 5,8650 5,7628 5,6731 5,5862 5,5101 5,4595 5,4374 5,4185 5,3609 5,2353 5,0366 4,7790 4,4893 4,1925 3,8995 3,6048 3,3021 3,0087 2,7634 2,5931 2,4915 2,4349 2,3997 2,3667 2,3254 2,2818 2,2490 2,2298 2,2190 2,2148 2,2161 2,2109 2,1728 2,0667 1,8608 1,5424 1,1325 0,6903 0,3010 0,0499 -0,0078 0,1320 0,4148 0,7462 1,0282 1,1826 1,1613 0,9617 0,6332 0,2519 -0,1258 -0,4915 -0,8673 -1,2749 -1,7128 -2,1434 -2,5041 -2,7385 -2,8205 -2,7675 -2,6451 -2,5410 -2,5191 -2,5913 -2,7311 -2,9064 -3,0881 -3,2328 -3,2902 -3,2512 -3,1764 -3,1612 -3,2714 -3,5021 -3,7806 -4,0025 -4,0769 -3,9661 -3,7008 -3,3568 -3,0136 -2,7249 -2,5047 -2,3301 -2,1594 -1,9581 -1,7198 -1,4689 -1,2447 -1,0790 -0,9750 -0,8944 -0,7715 -0,5588 -0,2660 0,0455 0,2949 0,4216 0,4201 0,3495 0,2995 0,3320 0,4521 0,6284 0,8303 1,0417 1,2524 1,4548 1,6579 1,8938 2,1878 2,5209 2,8356 3,0689 3,1705 3,1153 2,9215 2,6527 2,3910 2,2031 2,1206 2,1407 2,2326 2,3439 2,4136 2,3896 2,2487 2,0107 1,7307 1,4698 1,2780 1,1926 1,2239 1,3470 1,5286 1,7540 2,0094 2,2538 2,4309 2,5088 2,5008 2,4506 2,3976 2,3560 2,3283 2,3279 2,3776 2,4896 2,6554 2,8496 3,0404 3,1976 3,2975 3,3314 3,3073 3,2395 3,1346 2,9901 2,8061 2,5955 2,3799 2,1757 1,9910 1,8355 1,7278 1,6891 1,7299 1,8445 2,0152 2,2151 2,4040 2,5346 2,5725 2,5103 2,3644 2,1702 1,9775 1,8351 1,7723 1,7965 1,9036 2,0869 2,3322 2,6044 2,8540 3,0430 3,1593 3,2147 3,2456 3,3033 3,4237 3,6036 3,8100 4,0078 4,1766 4,3134 4,4307 4,5491 4,6890 4,8741 5,1292 5,4570 5,8124 6,1091 6,2597 6,2284 6,0617 5,8597 5,7084 5,6362 5,6170 5,5967 5,5300 5,4143 5,3000 5,2622 5,3459 5,5289 5,7392 5,9066 5,9927 5,9866 5,8948 5,7370 5,5371 5,3186 5,1112 4,9521 4,8712 4,8689 4,9070 4,9337 4,9298 4,9179 4,9204 4,9290 4,9158 4,8544 4,7330 4,5654 4,3934 4,2702 4,2250 4,2413 4,2617 4,2192 4,0845 3,8906 3,7052 3,5775 3,5130 3,4860 3,4634 3,4213 3,3554 3,2865 3,2559 3,2933 3,3771 3,4342 3,3892 3,2072 2,9017 2,5280 2,1685 1,9003 1,7609 1,7423 1,8114 1,9339 2,0791 2,2085 2,2749 2,2392 2,0907 1,8583 1,6040 1,3985 1,2872 1,2639 1,2753 1,2537 1,1550 0,9775 0,7503 0,5048 0,2595 0,0281 -0,1691 -0,3109 -0,3882 -0,4062 -0,3763 -0,3135 -0,2392 -0,1693 -0,1073 -0,0519 0,0019 0,0668 0,1567 0,2800 0,4419 0,6421 0,8623 1,0673 1,2243 1,3179 1,3576 1,3751 1,3977 1,4234 1,4204 1,3486 1,1869 0,9532 0,6959 0,4670 0,3074 0,2482 0,3141 0,5155 0,8285 1,1865 1,5080 1,7334 1,8318 1,7893 1,6165 1,3633 1,1008 0,8838 0,7346 0,6523 0,6288 0,6580 0,7326 0,8358 0,9439 1,0411 1,1215 1,1755 1,1930 1,1880 1,2008 1,2661 1,3791 1,4961 1,5693 1,5787 1,5276 1,4230 1,2722 1,0982 0,9461 0,8622 0,8675 0,9578 1,1218 1,3458 1,6081 1,8737 2,0920 2,2060 2,1786 2,0095 1,7294 1,3854 1,0389 0,7596 0,6027 0,5869 0,6874 0,8434 0,9890 1,0864 1,1286 1,1193 1,0663 0,9891 0,9144 0,8598 0,8270 0,8038 0,7604 0,6534 0,4512 0,1666 -0,1348 -0,3694 -0,4853 -0,4826 -0,3899 -0,2288 -0,0107 0,2391 0,4689 0,6271 0,7008 0,7317 0,7903 0,9271 1,1370 1,3623 1,5270 1,5787 1,5076 1,3382 1,1177 0,9079 0,7584 0,6771 0,6318 0,5752 0,4825 0,3822 0,3430 0,4195 0,6130
F3    1,6467 1,5208 1,4954 1,5265 1,5618 1,5465 1,4330 1,1994 0,8620 0,4609 0,0309 -0,4134 -0,8592 -1,2653 -1,5775 -1,7697 -1,8470 -1,8241 -1,7287 -1,6080 -1,5082 -1,4525 -1,4337 -1,4150 -1,3395 -1,1545 -0,8391 -0,4204 0,0283 0,4061 0,6250 0,6570 0,5444 0,3651 0,1996 0,1116 0,1264 0,2221 0,3478 0,4512 0,5014 0,5050 0,5003 0,5237 0,5730 0,6013 0,5643 0,4759 0,4070 0,4354 0,5981 0,8644 1,1403 1,3121 1,3035 1,1056 0,7662 0,3561 -0,0633 -0,4650 -0,8482 -1,1966 -1,4539 -1,5437 -1,4085 -1,0429 -0,5069 0,0949 0,6553 1,0913 1,3451 1,3805 1,1985 0,8421 0,3620 -0,2124 -0,8536 -1,5056 -2,0932 -2,5516 -2,8485 -2,9982 -3,0615 -3,1194 -3,2318 -3,4048 -3,5853 -3,6990 -3,7033 -3,6045 -3,4427 -3,2738 -3,1499 -3,0953 -3,1017 -3,1508 -3,2245 -3,2863 -3,2799 -3,1679 -2,9678 -2,7398 -2,5421 -2,4068 -2,3582 -2,4375 -2,6856 -3,0837 -3,5257 -3,8689 -4,0136 -3,9450 -3,7177 -3,4024 -3,0423 -2,6523 -2,2440 -1,8439 -1,4926 -1,2191 -1,0256 -0,9093 -0,8761 -0,9207 -1,0104 -1,0951 -1,1289 -1,0879 -0,9687 -0,7726 -0,5045 -0,1873 0,1398 0,4447 0,7208 0,9825 1,2479 1,5179 1,7544 1,8809 1,8176 1,5252 1,0337 0,4425 -0,1171 -0,5379 -0,7712 -0,8316 -0,7773 -0,6822 -0,6086 -0,5956 -0,6562 -0,7701 -0,8799 -0,9045 -0,7660 -0,4243 0,0984 0,7331 1,4042 2,0537 2,6466 3,1658 3,6022 3,9473 4,1958 4,3512 4,4362 4,4926 4,5598 4,6594 4,8038 4,9976 5,2239 5,4388 5,5844 5,6136 5,5101 5,3044 5,0755 4,9082 4,8326 4,8166 4,8081 4,7762 4,7264 4,6814 4,6408 4,5687 4,4231 4,1856 3,8660 3,4938 3,1075 2,7419 2,4169 2,1420 1,9288 1,7874 1,7149 1,6916 1,6880 1,6749 1,6312 1,5527 1,4529 1,3501 1,2598 1,1970 1,1622 1,1324 1,0801 0,9901 0,8493 0,6382 0,3460 -0,0096 -0,3763 -0,6820 -0,8592 -0,8684 -0,7156 -0,4613 -0,1963 0,0028 0,0951 0,0722 -0,0482 -0,2362 -0,4679 -0,7342 -1,0365 -1,3724 -1,7343 -2,1127 -2,4824 -2,7940 -2,9945 -3,0556 -2,9912 -2,8604 -2,7436 -2,7041 -2,7712 -2,9513 -3,2339 -3,5727 -3,8712 -4,0245 -4,0082 -3,9128 -3,8778 -3,9943 -4,2550 -4,5689 -4,8047 -4,8438 -4,6408 -4,2564 -3,8160 -3,4286 -3,1393 -2,9306 -2,7471 -2,5249 -2,2248 -1,8532 -1,4588 -1,1131 -0,8793 -0,7799 -0,7783 -0,7970 -0,7716 -0,6933 -0,5990 -0,5363 -0,5380 -0,6038 -0,6905 -0,7304 -0,6718 -0,5035 -0,2500 0,0510 0,3659 0,6704 0,9440 1,1735 1,3680 1,5502 1,7255 1,8726 1,9581 1,9494 1,8305 1,6201 1,3633 1,1045 0,8782 0,7179 0,6509 0,6822 0,7914 0,9374 1,0616 1,1103 1,0740 0,9948 0,9316 0,9250 0,9808 1,0667 1,1387 1,1893 1,2558 1,3717 1,5257 1,6718 1,7658 1,7914 1,7616 1,7026 1,6346 1,5693 1,5218 1,5154 1,5718 1,6959 1,8706 2,0670 2,2548 2,4070 2,4987 2,5139 2,4545 2,3335 2,1616 1,9472 1,6997 1,4294 1,1539 0,9070 0,7369 0,6926 0,8032 1,0596 1,4085 1,7738 2,0866 2,2989 2,3852 2,3516 2,2389 2,1018 1,9894 1,9377 1,9629 2,0560 2,1926 2,3482 2,5095 2,6720 2,8183 2,9110 2,9192 2,8454 2,7286 2,6357 2,6382 2,7743 3,0238 3,3232 3,6095 3,8533 4,0570 4,2368 4,4007 4,5470 4,6855 4,8451 5,0449 5,2656 5,4484 5,5241 5,4630 5,3112 5,1555 5,0461 4,9659 4,8601 4,6839 4,4341 4,1583 3,9441 3,8761 3,9773 4,1941 4,4361 4,6250 4,7197 4,7155 4,6330 4,5044 4,3603 4,2272 4,1325 4,0968 4,1179 4,1624 4,1726 4,1027 3,9689 3,8388 3,7593 3,7197 3,6826 3,6175 3,5096 3,3627 3,2048 3,0881 3,0682 3,1699 3,3553 3,5323 3,6167 3,5894 3,4892 3,3648 3,2452 3,1370 3,0233 2,8706 2,6605 2,4285 2,2602 2,2296 2,3298 2,4702 2,5466 2,5072 2,3627 2,1617 1,9618 1,8056 1,7153 1,7008 1,7583 1,8658 1,9821 2,0466 1,9904 1,7656 1,3783 0,8996 0,4387 0,0940 -0,0839 -0,1019 -0,0123 0,1149 0,2245 0,2895 0,2949 0,2204 0,0587 -0,1552 -0,3590 -0,5065 -0,5889 -0,6179 -0,6054 -0,5640 -0,5117 -0,4594 -0,4050 -0,3470 -0,2876 -0,2227 -0,1404 -0,0209 0,1658 0,4412 0,7847 1,1325 1,4144 1,5875 1,6514 1,6399 1,5854 1,4908 1,3370 1,1057 0,7999 0,4550 0,1236 -0,1511 -0,3397 -0,4159 -0,3564 -0,1528 0,1719 0,5548 0,9102 1,1646 1,2695 1,1935 0,9374 0,5610 0,1610 -0,1869 -0,4532 -0,6350 -0,7316 -0,7393 -0,6631 -0,5297 -0,3737 -0,2066 -0,0188 0,1834 0,3674 0,5057 0,6028 0,6836 0,7570 0,7944 0,7557 0,6289 0,4336 0,1952 -0,0618 -0,2992 -0,4697 -0,5441 -0,5203 -0,4016 -0,1886 0,1075 0,4595 0,8268 1,1438 1,3248 1,3071 1,0904 0,7337 0,3258 -0,0394 -0,2804 -0,3448 -0,2253 0,0313 0,3333 0,5851 0,7361 0,7950 0,8023 0,7978 0,8065 0,8381 0,8890 0,9473 0,9940 0,9910 0,8802 0,6180 0,2193 -0,2350 -0,6390 -0,9109 -1,0131 -0,9459 -0,7357 -0,4329 -0,1162 0,1258 0,2393 0,2345 0,1764 0,1524 0,2304 0,4281 0,7154 1,0450 1,3697 1,6412 1,8155 1,8764 1,8421 1,7331 1,5431 1,2560 0,8732 0,4262 -0,0143 -0,3591 -0,5478 -0,5693
F7    2,4006 2,0958 1,6508 1,1035 0,5175 -0,0363 -0,5022 -0,8418 -1,0241 -1,0353 -0,9063 -0,7121 -0,5323 -0,4143 -0,3668 -0,3690 -0,3873 -0,4008 -0,4149 -0,4476 -0,5049 -0,5680 -0,6033 -0,5792 -0,4720 -0,2704 0,0125 0,3290 0,6047 0,7640 0,7640 0,6079 0,3397 0,0307 -0,2425 -0,4204 -0,4705 -0,3911 -0,2146 0,0017 0,1964 0,3294 0,3925 0,3959 0,3451 0,2449 0,1187 0,0049 -0,0616 -0,0608 -0,0002 0,0770 0,1190 0,1031 0,0332 -0,0819 -0,2242 -0,3591 -0,4507 -0,4768 -0,4347 -0,3443 -0,2383 -0,1445 -0,0814 -0,0544 -0,0465 -0,0306 -0,0026 0,0127 -0,0137 -0,0994 -0,2547 -0,4822 -0,7699 -1,0917 -1,4152 -1,7053 -1,9266 -2,0543 -2,0906 -2,0681 -2,0331 -2,0203 -2,0355 -2,0606 -2,0828 -2,1081 -2,1447 -2,1906 -2,2427 -2,3076 -2,3917 -2,4775 -2,5146 -2,4417 -2,2246 -1,8852 -1,4955 -1,1426 -0,8916 -0,7724 -0,7775 -0,8563 -0,9292 -0,9244 -0,8053 -0,5810 -0,3112 -0,0785 0,0635 0,1090 0,0723 -0,0381 -0,2175 -0,4494 -0,6950 -0,9050 -1,0478 -1,1249 -1,1615 -1,1883 -1,2291 -1,2898 -1,3486 -1,3565 -1,2560 -1,0128 -0,6415 -0,2066 0,2095 0,5497 0,8015 0,9852 1,1440 1,3319 1,5755 1,8392 2,0392 2,0912 1,9532 1,6428 1,2226 0,7643 0,3278 -0,0325 -0,2696 -0,3681 -0,3544 -0,2751 -0,1716 -0,0676 0,0301 0,1247 0,2250 0,3458 0,5043 0,7126 0,9743 1,2838 1,6213 1,9513 2,2396 2,4741 2,6696 2,8564 3,0669 3,3253 3,6410 4,0077 4,4066 4,8025 5,1513 5,4273 5,6326 5,7748 5,8495 5,8526 5,8023 5,7318 5,6565 5,5606 5,4227 5,2505 5,0857 4,9716 4,9228 4,9222 4,9319 4,9074 4,8220 4,6804 4,5133 4,3542 4,2062 4,0333 3,7968 3,4974 3,1806 2,9025 2,6873 2,5244 2,4065 2,3440 2,3442 2,3944 2,4724 2,5657 2,6686 2,7568 2,7850 2,7192 2,5554 2,3049 1,9782 1,5952 1,1971 0,8344 0,5519 0,3922 0,3958 0,5816 0,9233 1,3470 1,7496 2,0328 2,1365 2,0527 1,8126 1,4600 1,0394 0,6037 0,2102 -0,1013 -0,3293 -0,5018 -0,6422 -0,7489 -0,8076 -0,8080 -0,7484 -0,6436 -0,5226 -0,4085 -0,3074 -0,2160 -0,1374 -0,0848 -0,0691 -0,0770 -0,0678 -0,0004 0,1305 0,2809 0,3801 0,3782 0,2833 0,1490 0,0314 -0,0348 -0,0320 0,0417 0,1634 0,2977 0,4255 0,5459 0,6509 0,7168 0,7214 0,6704 0,6105 0,6232 0,7902 1,1443 1,6416 2,1764 2,6228 2,8844 2,9301 2,7957 2,5608 2,3202 2,1449 2,0500 2,0059 1,9763 1,9463 1,9279 1,9568 2,0802 2,3291 2,6899 3,1073 3,5150 3,8588 4,0984 4,2039 4,1599 3,9733 3,6757 3,3105 2,9259 2,5816 2,3400 2,2289 2,2191 2,2531 2,2850 2,2898 2,2579 2,1983 2,1432 2,1370 2,2127 2,3699 2,5695 2,7488 2,8491 2,8419 2,7458 2,6186 2,5221 2,4841 2,4894 2,5011 2,4899 2,4635 2,4684 2,5566 2,7493 3,0242 3,3272 3,5944 3,7707 3,8227 3,7444 3,5510 3,2699 2,9404 2,6177 2,3642 2,2198 2,1752 2,1804 2,1883 2,1880 2,1929 2,2087 2,2240 2,2230 2,2001 2,1680 2,1593 2,2106 2,3357 2,5121 2,6930 2,8264 2,8666 2,7819 2,5690 2,2685 1,9610 1,7352 1,6460 1,6918 1,8245 1,9798 2,1133 2,2277 2,3652 2,5607 2,8055 3,0569 3,2684 3,4088 3,4727 3,4774 3,4377 3,3578 3,2532 3,1537 3,0775 3,0186 2,9535 2,8549 2,7105 2,5257 2,3179 2,1156 1,9484 1,8291 1,7511 1,7063 1,6979 1,7316 1,8017 1,8911 1,9750 2,0257 2,0317 2,0068 1,9689 1,9191 1,8460 1,7413 1,6034 1,4408 1,2799 1,1575 1,0988 1,1131 1,2073 1,3883 1,6435 1,9293 2,1862 2,3701 2,4692 2,4933 2,4509 2,3438 2,1837 1,9962 1,8032 1,6114 1,4256 1,2600 1,1326 1,0617 1,0680 1,1650 1,3431 1,5637 1,7718 1,9239 2,0048 2,0220 1,9955 1,9482 1,8924 1,8243 1,7295 1,5949 1,4296 1,2752 1,1821 1,1778 1,2613 1,4204 1,6250 1,8040 1,8683 1,7716 1,5400 1,2521 0,9958 0,8325 0,7849 0,8366 0,9358 1,0165 1,0226 0,9232 0,7267 0,4851 0,2723 0,1425 0,0901 0,0489 -0,0611 -0,2764 -0,5666 -0,8625 -1,1105 -1,2942 -1,4093 -1,4409 -1,3773 -1,2406 -1,0869 -0,9581 -0,8434 -0,7045 -0,5195 -0,2971 -0,0690 0,1261 0,2631 0,3417 0,3773 0,3836 0,3612 0,2969 0,1756 -0,0088 -0,2517 -0,5405 -0,8562 -1,1702 -1,4437 -1,6315 -1,6919 -1,6132 -1,4339 -1,2272 -1,0623 -0,9744 -0,9522 -0,9539 -0,9414 -0,8965 -0,8086 -0,6622 -0,4374 -0,1281 0,2370 0,5947 0,8716 1,0087 0,9745 0,7719 0,4465 0,0879 -0,1888 -0,2897 -0,1942 0,0401 0,3264 0,6005 0,8288 0,9864 1,0419 0,9665 0,7598 0,4668 0,1682 -0,0548 -0,1551 -0,1323 -0,0188 0,1428 0,3178 0,4882 0,6479 0,7836 0,8648 0,8613 0,7686 0,6126 0,4356 0,2770 0,1611 0,0993 0,0934 0,1268 0,1536 0,1099 -0,0485 -0,3071 -0,5944 -0,8275 -0,9584 -0,9815 -0,9275 -0,8581 -0,8388 -0,8992 -1,0211 -1,1602 -1,2724 -1,3361 -1,3573 -1,3445 -1,2836 -1,1559 -0,9752 -0,7895 -0,6534 -0,6020 -0,6351 -0,7198 -0,8196 -0,9233 -1,0462 -1,2103 -1,4216 -1,6627 -1,9060 -2,1187 -2,2622 -2,3070 -2,2445 -2,0837 -1,8502 -1,5813 -1,3094 -1,0492 -0,7946 -0,5254
