Fp1   0,2995 0,0515 -0,2327 -0,5953 -0,9852 -1,2949 -1,4336 -1,3585 -1,0762 -0,6548 -0,2079 0,1639 0,3959 0,4238 0,1826 -0,3288 -1,0160 -1,7411 -2,3741 -2,7940 -2,8921 -2,6117 -1,9867 -1,1350 -0,2030 0,6859 1,4362 1,9746 2,2777 2,3888 2,3779 2,2810 2,0960 1,8345 1,5645 1,3974 1,4237 1,6473 1,9695 2,2236 2,2438 1,9475 1,3689 0,6109 -0,2241 -1,0497 -1,7672 -2,2682 -2,5019 -2,5344 -2,5106 -2,5535 -2,7005 -2,9042 -3,0731 -3,1257 -3,0421 -2,8816 -2,7487 -2,7390 -2,9089 -3,2586 -3,7139 -4,1426 -4,4145 -4,4648 -4,3128 -4,0343 -3,7169 -3,4255 -3,1803 -2,9563 -2,7210 -2,4758 -2,2581 -2,1284 -2,1598 -2,4070 -2,8728 -3,5084 -4,2383 -4,9679 -5,5832 -5,9779 -6,0937 -5,9279 -5,5063 -4,8595 -4,0300 -3,0996 -2,1883 -1,4008 -0,7712 -0,2723 0,1299 0,4412 0,6448 0,7131 0,6184 0,3572 -0,0187 -0,4117 -0,7442 -1,0033 -1,2007 -1,3099 -1,2832 -1,1395 -1,0004 -1,0209 -1,3036 -1,8674 -2,6486 -3,5134 -4,2998 -4,8881 -5,2605 -5,4979 -5,7078 -5,9422 -6,1823 -6,3888 -6,5494 -6,6739 -6,7558 -6,7557 -6,6303 -6,3710 -6,0159 -5,6289 -5,2701 -4,9865 -4,8259 -4,8297 -4,9835 -5,1905 -5,3131 -5,2471 -4,9598 -4,4838 -3,8882 -3,2442 -2,5937 -1,9441 -1,2958 -0,6667 -0,0772 0,4652 0,9361 1,2706 1,4056 1,3424 1,1506 0,9270 0,7771 0,8117 1,1071 1,6477 2,3131 2,9231 3,3204 3,4449 3,3364 3,0671 2,6856 2,2277 1,7365 1,2406 0,7288 0,1617 -0,4966 -1,2591 -2,1061 -2,9830 -3,8079 -4,4736 -4,8608 -4,8857 -4,5579 -3,9969 -3,3768 -2,8371 -2,4448 -2,2107 -2,1056 -2,0756 -2,0846 -2,1419 -2,2789 -2,5036 -2,7891 -3,0970 -3,3973 -3,6680 -3,8903 -4,0589 -4,1963 -4,3508 -4,5698 -4,8642 -5,1906 -5,4773 -5,6716 -5,7580 -5,7441 -5,6506 -5,5108 -5,3625 -5,2253 -5,0739 -4,8504 -4,5222 -4,1179 -3,6999 -3,3188 -2,9974 -2,7435 -2,5644 -2,4754 -2,5025 -2,6768 -3,0227 -3,5457 -4,2321 -5,0473 -5,9321 -6,8154 -7,6396 -8,3708 -8,9856 -9,4417 -9,6695 -9,6109 -9,2682 -8,7158 -8,0644 -7,4037 -6,7759 -6,2007 -5,7180 -5,4098 -5,3746 -5,6608 -6,2158 -6,8999 -7,5531 -8,0672 -8,4114 -8,5921 -8,6005 -8,4212 -8,1007 -7,7776 -7,6072 -7,6501 -7,8431 -8,0634 -8,2044 -8,2170 -8,1190 -7,9793 -7,8901 -7,9284 -8,1094 -8,3616 -8,5530 -8,5583 -8,3138 -7,8322 -7,1992 -6,5560 -6,0436 -5,7232 -5,5482 -5,4225 -5,2764 -5,0878 -4,8582 -4,5872 -4,2609 -3,8600 -3,3857 -2,8757 -2,3967 -2,0224 -1,7986 -1,7186 -1,7498 -1,8829 -2,1353 -2,5006 -2,9135 -3,2708 -3,4790 -3,4956 -3,3450 -3,0979 -2,8309 -2,5956 -2,4101 -2,2700 -2,1658 -2,1026 -2,1078 -2,1965 -2,3323 -2,4434 -2,4714 -2,3951 -2,2197 -1,9524 -1,5886 -1,1246 -0,5822 -0,0105 0,5377 1,0182 1,3859 1,5870 1,5577 1,2319 0,5738 -0,3873 -1,5540 -2,7776 -3,8882 -4,7374 -5,2336 -5,3567 -5,1639 -4,7779 -4,3446 -3,9721 -3,6949 -3,4829 -3,2781 -3,0227 -2,6744 -2,2290 -1,7504 -1,3615 -1,1849 -1,2846 -1,6451 -2,1757 -2,7460 -3,2462 -3,6297 -3,9166 -4,1736 -4,4765 -4,8680 -5,3276 -5,7689 -6,0772 -6,1788 -6,0837 -5,8644 -5,6133 -5,4215 -5,3631 -5,4803 -5,7778 -6,2102 -6,6742 -7,0356 -7,1811 -7,0635 -6,7177 -6,2357 -5,7151 -5,2163 -4,7533 -4,3121 -3,8768 -3,4424 -3,0220 -2,6582 -2,4167 -2,3499 -2,4581 -2,6905 -2,9908 -3,3355 -3,7087 -4,0566 -4,2895 -4,3291 -4,1512 -3,8063 -3,4189 -3,1454 -3,0992 -3,2984 -3,6657 -4,0686 -4,3917 -4,6031 -4,7451 -4,8649 -4,9650 -5,0190 -5,0269 -5,0483 -5,1637 -5,3928 -5,6480 -5,7695 -5,6293 -5,2355 -4,7422 -4,3435 -4,1399 -4,0889 -4,0666 -3,9780 -3,8084 -3,5832 -3,3115 -2,9919 -2,6493 -2,3400 -2,1213 -2,0261 -2,0611 -2,2114 -2,4355 -2,6704 -2,8536 -2,9464 -2,9485 -2,9005 -2,8699 -2,9112 -3,0188 -3,1261 -3,1497 -3,0297 -2,7504 -2,3533 -1,9258 -1,5688 -1,3612 -1,3323 -1,4547 -1,6679 -1,9115 -2,1351 -2,2982 -2,3867 -2,4278 -2,4686 -2,5325 -2,5906 -2,5817 -2,4703 -2,2793 -2,0597 -1,8457 -1,6635 -1,5712 -1,6549 -1,9736 -2,5118 -3,1793 -3,8442 -4,3806 -4,7109 -4,8225 -4,7590 -4,5910 -4,3711 -4,1080 -3,7741 -3,3470 -2,8596 -2,4006 -2,0572 -1,8773 -1,8803 -2,0749 -2,4610 -3,0304 -3,7663 -4,6296 -5,5410 -6,3842 -7,0517 -7,4936 -7,7224 -7,7901 -7,7679 -7,7170 -7,6552 -7,5547 -7,3759 -7,0919 -6,6887 -6,1771 -5,6099 -5,0664 -4,6186 -4,3077 -4,1307 -4,0441 -4,0041 -4,0029 -4,0604 -4,1923 -4,3837 -4,5671 -4,6249 -4,4488 -4,0241 -3,4618 -2,9409 -2,6028 -2,4775 -2,4926 -2,5443 -2,5644 -2,5458 -2,5315 -2,5778 -2,7022 -2,8643 -2,9936 -3,0247 -2,9190 -2,6874 -2,3954 -2,1365 -1,9916 -1,9840 -2,0550 -2,1012 -2,0472 -1,8889 -1,6870 -1,5298 -1,4990 -1,6683 -2,1098 -2,8679 -3,9242 -5,1994 -6,5820 -7,9458 -9,1626 -10,1227 -10,7548 -11,0508 -11,0913 -11,0173 -10,9430 -10,8984 -10,8504 -10,7640 -10,6408 -10,5159 -10,4264 -10,3900 -10,4093 -10,4781 -10,5842 -10,7153 -10,8554 -10,9706 -11,0108 -10,9386 -10,7498 -10,4676 -10,1436 -9,8551 -9,6705 -9,6165 -9,6709 -9,7697 -9,8423 -9,8576 -9,8106 -9,6666 -9,3574 -8,8524 -8,2245 -7,6427 -7,2953 -7,2970 -7,6435 -8,2405 -8,9715 -9,7333 -10,4198 -10,9180 -11,1534 -11,1214 -10,8568 -10,4012 -9,8056 -9,1402
Fz    0,2261 0,0008 -0,2024 -0,3980 -0,5822 -0,7314 -0,8173 -0,8195 -0,7335 -0,5792 -0,3983 -0,2400 -0,1503 -0,1704 -0,3275 -0,6093 -0,9560 -1,2917 -1,5603 -1,7346 -1,8014 -1,7512 -1,5808 -1,2984 -0,9217 -0,4744 0,0126 0,5044 0,9720 1,3980 1,7660 2,0453 2,1968 2,2040 2,1001 1,9584 1,8494 1,8032 1,8018 1,7910 1,7031 1,4878 1,1307 0,6494 0,0794 -0,5303 -1,1174 -1,6198 -2,0036 -2,2793 -2,4837 -2,6558 -2,8314 -3,0393 -3,2819 -3,5224 -3,7061 -3,7950 -3,7838 -3,6923 -3,5535 -3,3991 -3,2458 -3,0960 -2,9520 -2,8190 -2,6985 -2,5881 -2,4855 -2,3907 -2,3060 -2,2378 -2,2001 -2,2152 -2,3016 -2,4654 -2,7044 -3,0133 -3,3828 -3,7982 -4,2414 -4,6898 -5,1095 -5,4564 -5,6887 -5,7760 -5,6972 -5,4355 -4,9865 -4,3780 -3,6745 -2,9532 -2,2732 -1,6675 -1,1527 -0,7331 -0,3925 -0,0969 0,1829 0,4487 0,6720 0,8067 0,8046 0,6368 0,3190 -0,0828 -0,4868 -0,8480 -1,1774 -1,5130 -1,8840 -2,2985 -2,7469 -3,2019 -3,6242 -3,9804 -4,2620 -4,4884 -4,6901 -4,8858 -5,0760 -5,2595 -5,4426 -5,6223 -5,7693 -5,8362 -5,7878 -5,6212 -5,3644 -5,0632 -4,7625 -4,4889 -4,2468 -4,0233 -3,7889 -3,5026 -3,1290 -2,6579 -2,1157 -1,5628 -1,0682 -0,6759 -0,3850 -0,1571 0,0578 0,2977 0,5827 0,9173 1,2880 1,6638 2,0105 2,3114 2,5720 2,8105 3,0479 3,3076 3,6093 3,9522 4,3029 4,6007 4,7819 4,8104 4,6889 4,4449 4,1152 3,7374 3,3404 2,9302 2,4923 2,0093 1,4792 0,9212 0,3699 -0,1386 -0,5789 -0,9351 -1,1901 -1,3268 -1,3442 -1,2760 -1,1870 -1,1432 -1,1855 -1,3190 -1,5145 -1,7257 -1,9198 -2,0926 -2,2529 -2,4013 -2,5262 -2,6136 -2,6592 -2,6724 -2,6739 -2,6888 -2,7382 -2,8344 -2,9802 -3,1686 -3,3835 -3,6036 -3,8107 -3,9995 -4,1813 -4,3661 -4,5363 -4,6457 -4,6469 -4,5159 -4,2590 -3,9138 -3,5426 -3,2138 -2,9782 -2,8515 -2,8198 -2,8662 -2,9863 -3,1821 -3,4543 -3,8034 -4,2233 -4,6944 -5,1830 -5,6447 -6,0338 -6,3183 -6,4949 -6,5858 -6,6193 -6,6109 -6,5661 -6,4961 -6,4216 -6,3542 -6,2793 -6,1661 -5,9976 -5,7899 -5,5895 -5,4513 -5,4136 -5,4822 -5,6282 -5,7993 -5,9422 -6,0225 -6,0285 -5,9639 -5,8469 -5,7168 -5,6337 -5,6555 -5,8013 -6,0369 -6,2953 -6,5138 -6,6635 -6,7534 -6,8148 -6,8822 -6,9794 -7,1064 -7,2303 -7,2924 -7,2328 -7,0187 -6,6598 -6,2096 -5,7504 -5,3597 -5,0725 -4,8696 -4,6981 -4,5001 -4,2320 -3,8770 -3,4510 -2,9909 -2,5401 -2,1447 -1,8473 -1,6760 -1,6405 -1,7285 -1,9080 -2,1431 -2,4139 -2,7171 -3,0452 -3,3675 -3,6355 -3,8017 -3,8398 -3,7548 -3,5755 -3,3354 -3,0601 -2,7712 -2,4977 -2,2758 -2,1357 -2,0880 -2,1119 -2,1542 -2,1536 -2,0735 -1,9161 -1,7167 -1,5248 -1,3842 -1,3206 -1,3326 -1,3882 -1,4381 -1,4432 -1,3989 -1,3391 -1,3226 -1,4073 -1,6209 -1,9475 -2,3391 -2,7363 -3,0846 -3,3457 -3,5029 -3,5655 -3,5708 -3,5771 -3,6401 -3,7822 -3,9812 -4,1895 -4,3636 -4,4797 -4,5305 -4,5160 -4,4411 -4,3173 -4,1625 -3,9995 -3,8508 -3,7293 -3,6387 -3,5876 -3,5961 -3,6898 -3,8888 -4,2018 -4,6233 -5,1279 -5,6660 -6,1722 -6,5905 -6,8928 -7,0756 -7,1500 -7,1377 -7,0719 -6,9955 -6,9516 -6,9619 -7,0143 -7,0721 -7,0963 -7,0628 -6,9673 -6,8194 -6,6323 -6,4157 -6,1776 -5,9335 -5,7066 -5,5166 -5,3688 -5,2600 -5,1886 -5,1547 -5,1532 -5,1729 -5,2014 -5,2291 -5,2468 -5,2431 -5,2135 -5,1650 -5,1071 -5,0468 -5,0021 -5,0075 -5,0957 -5,2756 -5,5241 -5,7913 -6,0192 -6,1648 -6,2092 -6,1529 -6,0102 -5,8026 -5,5565 -5,3016 -5,0624 -4,8465 -4,6410 -4,4254 -4,1995 -4,0052 -3,9154 -3,9905 -4,2355 -4,5876 -4,9432 -5,2095 -5,3383 -5,3222 -5,1777 -4,9384 -4,6536 -4,3793 -4,1645 -4,0397 -4,0124 -4,0684 -4,1706 -4,2656 -4,3036 -4,2568 -4,1262 -3,9366 -3,7266 -3,5324 -3,3686 -3,2240 -3,0758 -2,9106 -2,7374 -2,5849 -2,4854 -2,4590 -2,5079 -2,6191 -2,7686 -2,9257 -3,0554 -3,1226 -3,1028 -2,9984 -2,8467 -2,7042 -2,6176 -2,6032 -2,6470 -2,7261 -2,8246 -2,9310 -3,0309 -3,1125 -3,1794 -3,2542 -3,3647 -3,5234 -3,7165 -3,9059 -4,0431 -4,0903 -4,0357 -3,8972 -3,7142 -3,5267 -3,3585 -3,2141 -3,0934 -3,0024 -2,9447 -2,9109 -2,8878 -2,8790 -2,9102 -3,0138 -3,2074 -3,4831 -3,8126 -4,1598 -4,4933 -4,7978 -5,0763 -5,3383 -5,5889 -5,8267 -6,0405 -6,2080 -6,3017 -6,2989 -6,1824 -5,9396 -5,5754 -5,1280 -4,6625 -4,2478 -3,9355 -3,7461 -3,6649 -3,6563 -3,6871 -3,7360 -3,7941 -3,8628 -3,9430 -4,0169 -4,0472 -4,0018 -3,8758 -3,6900 -3,4680 -3,2156 -2,9230 -2,5869 -2,2253 -1,8724 -1,5689 -1,3482 -1,2147 -1,1349 -1,0534 -0,9213 -0,7181 -0,4632 -0,2082 -0,0139 0,0734 0,0395 -0,0920 -0,2698 -0,4376 -0,5600 -0,6385 -0,7077 -0,8195 -1,0332 -1,4073 -1,9794 -2,7431 -3,6464 -4,6102 -5,5519 -6,4088 -7,1556 -7,7997 -8,3649 -8,8794 -9,3618 -9,7998 -10,1504 -10,3718 -10,4583 -10,4496 -10,4144 -10,4223 -10,5189 -10,7154 -10,9901 -11,3022 -11,6065 -11,8547 -11,9916 -11,9663 -11,7570 -11,3883 -10,9232 -10,4412 -10,0111 -9,6690 -9,4178 -9,2382 -9,0977 -8,9648 -8,8314 -8,7119 -8,6167 -8,5373 -8,4631 -8,4004 -8,3693 -8,3855 -8,4462 -8,5322 -8,6232 -8,7111 -8,7993 -8,8874 -8,9574 -8,9787 -8,9270 -8,7954 -8,5943 -8,3451 -8,0703
F3    1,0206 0,8172 0,6292 0,4595 0,3287 0,2599 0,2562 0,3027 0,3789 0,4575 0,5037 0,4857 0,3800 0,1662 -0,1650 -0,5856 -1,0281 -1,4198 -1,7145 -1,8922 -1,9441 -1,8649 -1,6564 -1,3325 -0,9189 -0,4486 0,0422 0,5178 0,9490 1,3136 1,5880 1,7420 1,7523 1,6295 1,4310 1,2420 1,1320 1,1197 1,1686 1,2037 1,1396 0,9187 0,5337 0,0145 -0,5926 -1,2262 -1,8031 -2,2370 -2,4847 -2,5698 -2,5585 -2,5253 -2,5374 -2,6444 -2,8577 -3,1433 -3,4430 -3,7037 -3,8906 -3,9889 -4,0006 -3,9346 -3,7992 -3,6110 -3,4038 -3,2147 -3,0584 -2,9227 -2,7838 -2,6255 -2,4486 -2,2685 -2,1095 -2,0009 -1,9659 -2,0133 -2,1421 -2,3502 -2,6335 -2,9826 -3,3821 -3,8066 -4,2145 -4,5547 -4,7853 -4,8864 -4,8529 -4,6799 -4,3612 -3,9065 -3,3546 -2,7634 -2,1866 -1,6635 -1,2197 -0,8584 -0,5545 -0,2711 0,0095 0,2692 0,4612 0,5333 0,4490 0,2001 -0,1836 -0,6360 -1,0877 -1,5118 -1,9318 -2,3825 -2,8710 -3,3727 -3,8476 -4,2533 -4,5596 -4,7632 -4,8908 -4,9896 -5,1070 -5,2673 -5,4642 -5,6805 -5,9050 -6,1212 -6,2947 -6,3862 -6,3767 -6,2794 -6,1299 -5,9647 -5,7991 -5,6200 -5,4012 -5,1241 -4,7806 -4,3686 -3,8981 -3,3978 -2,9134 -2,4928 -2,1679 -1,9384 -1,7687 -1,5995 -1,3763 -1,0789 -0,7245 -0,3495 0,0081 0,3237 0,5985 0,8589 1,1435 1,4844 1,8991 2,3868 2,9251 3,4635 3,9265 4,2309 4,3172 4,1795 3,8676 3,4549 3,0068 2,5705 2,1738 1,8178 1,4780 1,1195 0,7190 0,2779 -0,1796 -0,6170 -0,9982 -1,2936 -1,4801 -1,5428 -1,4861 -1,3487 -1,2001 -1,1135 -1,1379 -1,2797 -1,4983 -1,7321 -1,9399 -2,1174 -2,2749 -2,4087 -2,4931 -2,4910 -2,3772 -2,1550 -1,8563 -1,5322 -1,2428 -1,0459 -0,9815 -1,0560 -1,2391 -1,4799 -1,7351 -1,9908 -2,2639 -2,5761 -2,9180 -3,2359 -3,4544 -3,5089 -3,3729 -3,0700 -2,6651 -2,2413 -1,8728 -1,6051 -1,4604 -1,4573 -1,6096 -1,9072 -2,3205 -2,8220 -3,3931 -4,0130 -4,6486 -5,2512 -5,7658 -6,1516 -6,3949 -6,5051 -6,4965 -6,3791 -6,1722 -5,9198 -5,6818 -5,5045 -5,3966 -5,3357 -5,2961 -5,2664 -5,2457 -5,2361 -5,2423 -5,2708 -5,3212 -5,3807 -5,4347 -5,4792 -5,5171 -5,5491 -5,5764 -5,6154 -5,7039 -5,8822 -6,1570 -6,4859 -6,7973 -7,0267 -7,1434 -7,1554 -7,0984 -7,0226 -6,9784 -6,9960 -7,0693 -7,1551 -7,1938 -7,1366 -6,9638 -6,6970 -6,3981 -6,1388 -5,9536 -5,8218 -5,6907 -5,5051 -5,2207 -4,8138 -4,2905 -3,6837 -3,0488 -2,4612 -1,9995 -1,7224 -1,6542 -1,7796 -2,0513 -2,4120 -2,8192 -3,2487 -3,6755 -4,0594 -4,3526 -4,5171 -4,5386 -4,4314 -4,2296 -3,9685 -3,6719 -3,3539 -3,0291 -2,7170 -2,4418 -2,2277 -2,0844 -1,9948 -1,9235 -1,8396 -1,7378 -1,6433 -1,5969 -1,6303 -1,7481 -1,9221 -2,0946 -2,1985 -2,1910 -2,0817 -1,9305 -1,8197 -1,8134 -1,9259 -2,1231 -2,3553 -2,5801 -2,7649 -2,8854 -2,9314 -2,9188 -2,8971 -2,9423 -3,1226 -3,4529 -3,8829 -4,3295 -4,7205 -5,0130 -5,1852 -5,2257 -5,1339 -4,9211 -4,6098 -4,2345 -3,8395 -3,4691 -3,1645 -2,9701 -2,9320 -3,0823 -3,4242 -3,9306 -4,5522 -5,2243 -5,8692 -6,4092 -6,7935 -7,0146 -7,0984 -7,0792 -6,9856 -6,8424 -6,6786 -6,5292 -6,4231 -6,3692 -6,3576 -6,3722 -6,3931 -6,3917 -6,3349 -6,1986 -5,9792 -5,7012 -5,4136 -5,1707 -5,0065 -4,9245 -4,9120 -4,9566 -5,0434 -5,1506 -5,2549 -5,3403 -5,3980 -5,4178 -5,3858 -5,2965 -5,1594 -4,9910 -4,8131 -4,6610 -4,5774 -4,5934 -4,7184 -4,9435 -5,2425 -5,5735 -5,8886 -6,1395 -6,2844 -6,2978 -6,1793 -5,9556 -5,6732 -5,3793 -5,1035 -4,8508 -4,6072 -4,3670 -4,1609 -4,0491 -4,0801 -4,2544 -4,5178 -4,7866 -4,9886 -5,0887 -5,0836 -4,9894 -4,8396 -4,6783 -4,5412 -4,4481 -4,4108 -4,4406 -4,5342 -4,6560 -4,7473 -4,7575 -4,6675 -4,4910 -4,2653 -4,0389 -3,8538 -3,7276 -3,6478 -3,5818 -3,4940 -3,3658 -3,2085 -3,0558 -2,9459 -2,9064 -2,9464 -3,0513 -3,1864 -3,3087 -3,3759 -3,3547 -3,2361 -3,0471 -2,8400 -2,6651 -2,5505 -2,5012 -2,5117 -2,5729 -2,6679 -2,7680 -2,8427 -2,8816 -2,9064 -2,9599 -3,0818 -3,2911 -3,5773 -3,9044 -4,2257 -4,4997 -4,6988 -4,8107 -4,8298 -4,7518 -4,5790 -4,3359 -4,0738 -3,8461 -3,6802 -3,5779 -3,5379 -3,5696 -3,6887 -3,9033 -4,2073 -4,5849 -5,0136 -5,4643 -5,9061 -6,3138 -6,6677 -6,9493 -7,1406 -7,2256 -7,1960 -7,0582 -6,8313 -6,5329 -6,1711 -5,7577 -5,3276 -4,9393 -4,6532 -4,5065 -4,4948 -4,5709 -4,6702 -4,7434 -4,7697 -4,7560 -4,7303 -4,7219 -4,7308 -4,7212 -4,6544 -4,5218 -4,3476 -4,1640 -3,9849 -3,7984 -3,5872 -3,3493 -3,1018 -2,8738 -2,6949 -2,5748 -2,4951 -2,4203 -2,3129 -2,1482 -1,9302 -1,6928 -1,4783 -1,3164 -1,2145 -1,1572 -1,1168 -1,0725 -1,0263 -1,0015 -1,0293 -1,1356 -1,3415 -1,6721 -2,1542 -2,7971 -3,5784 -4,4466 -5,3362 -6,1876 -6,9657 -7,6617 -8,2860 -8,8600 -9,3939 -9,8618 -10,2079 -10,3877 -10,4055 -10,3147 -10,1948 -10,1218 -10,1499 -10,3036 -10,5760 -10,9322 -11,3176 -11,6633 -11,8937 -11,9471 -11,8017 -11,4816 -11,0445 -10,5686 -10,1350 -9,8002 -9,5782 -9,4460 -9,3574 -9,2668 -9,1557 -9,0332 -8,9088 -8,7773 -8,6366 -8,5106 -8,4490 -8,5008 -8,6799 -8,9495 -9,2422 -9,4990 -9,6913 -9,8088 -9,8364 -9,7582 -9,5754 -9,3093 -8,9937 -8,6681 -8,3655
