Fp1   -0,1862 -0,4336 -0,7066 -0,9376 -1,0667 -1,0708 -0,9743 -0,8314 -0,6929 -0,5864 -0,5183 -0,4792 -0,4474 -0,3955 -0,3016 -0,1590 0,0211 0,2152 0,3964 0,5433 0,6458 0,7062 0,7340 0,7413 0,7436 0,7536 0,7702 0,7759 0,7440 0,6485 0,4796 0,2514 -0,0071 -0,2606 -0,4709 -0,6042 -0,6427 -0,5918 -0,4748 -0,3234 -0,1680 -0,0334 0,0672 0,1422 0,2236 0,3491 0,5338 0,7595 0,9801 1,1387 1,1991 1,1717 1,1035 1,0410 1,0048 0,9890 0,9738 0,9352 0,8541 0,7233 0,5549 0,3788 0,2314 0,1444 0,1400 0,2267 0,3985 0,6392 0,9217 1,2043 1,4432 1,6207 1,7592 1,9078 2,1148 2,3991 2,7417 3,1032 3,4440 3,7278 3,9213 4,0086 4,0064 3,9542 3,8875 3,8201 3,7453 3,6450 3,4929 3,2584 2,9185 2,4766 1,9682 1,4406 0,9275 0,4364 -0,0451 -0,5328 -1,0312 -1,5293 -2,0060 -2,4321 -2,7754 -3,0147 -3,1483 -3,1931 -3,1780 -3,1357 -3,0878 -3,0365 -2,9683 -2,8634 -2,7003 -2,4572 -2,1163 -1,6763 -1,1616 -0,6130 -0,0721 0,4277 0,8686 1,2570 1,6177 1,9760 2,3443 2,7202 3,0880 3,4241 3,7030 3,9020 4,0080 4,0252 3,9804 3,9140 3,8564 3,8092 3,7460 3,6282 3,4235 3,1204 2,7366 2,3135 1,9032 1,5586 1,3228 1,2150 1,2203 1,2964 1,3917 1,4581 1,4606 1,3907 1,2750 1,1692 1,1322 1,1953 1,3516 1,5657 1,7856 1,9570 2,0414 2,0289 1,9373 1,8007 1,6562 1,5325 1,4400 1,3714 1,3113 1,2445 1,1571 1,0327 0,8540 0,6158 0,3376 0,0554 -0,2014 -0,4209 -0,5986 -0,7311 -0,8219 -0,8865 -0,9389 -0,9748 -0,9718 -0,9119 -0,7981 -0,6510 -0,4987 -0,3719 -0,2955 -0,2802 -0,3238 -0,4184 -0,5565 -0,7326 -0,9454 -1,1998 -1,5024 -1,8532 -2,2359 -2,6165 -2,9542 -3,2195 -3,4058 -3,5291 -3,6154 -3,6835 -3,7396 -3,7847 -3,8199 -3,8444 -3,8554 -3,8459 -3,8076 -3,7451 -3,6811 -3,6393 -3,6322 -3,6658 -3,7450 -3,8734 -4,0460 -4,2466 -4,4514 -4,6356 -4,7804 -4,8834 -4,9609 -5,0375 -5,1344 -5,2635 -5,4193 -5,5779 -5,7059 -5,7710 -5,7582 -5,6834 -5,5872 -5,5121 -5,4806 -5,4935 -5,5403 -5,6055 -5,6667 -5,6959 -5,6663 -5,5572 -5,3597 -5,0838 -4,7563 -4,4122 -4,0847 -3,7894 -3,5168 -3,2532 -3,0060 -2,8034 -2,6756 -2,6416 -2,7012 -2,8334 -2,9983 -3,1500 -3,2596 -3,3285 -3,3735 -3,4024 -3,4114 -3,3989 -3,3707 -3,3327 -3,2862 -3,2240 -3,1308 -2,9970 -2,8353 -2,6765 -2,5522 -2,4837 -2,4755 -2,5106 -2,5561 -2,5789 -2,5630 -2,5154 -2,4561 -2,4013 -2,3616 -2,3520 -2,3882 -2,4749 -2,6047 -2,7610 -2,9213 -3,0691 -3,2010 -3,3218 -3,4418 -3,5756 -3,7349 -3,9159 -4,0898 -4,2067 -4,2205 -4,1150 -3,9044 -3,6180 -3,2902 -2,9526 -2,6286 -2,3352 -2,0817 -1,8575 -1,6323 -1,3738 -1,0670 -0,7243 -0,3818 -0,0815 0,1474 0,2968 0,3758 0,4019 0,3986 0,3918 0,3984 0,4184 0,4427 0,4664 0,4932 0,5352 0,6090 0,7319 0,9172 1,1635 1,4526 1,7561 2,0442 2,2970 2,5102 2,6894 2,8391 2,9637 3,0710 3,1698 3,2584 3,3197 3,3297 3,2756 3,1692 3,0495 2,9711 2,9816 3,0987 3,3055 3,5606 3,8134 4,0183 4,1514 4,2173 4,2395 4,2500 4,2811 4,3559 4,4797 4,6388 4,7983 4,9045 4,9009 4,7566 4,4819 4,1159 3,7038 3,2849 2,8927 2,5568 2,2973 2,1119 1,9719 1,8437 1,7105 1,5732 1,4365 1,3061 1,1910 1,0970 1,0162 0,9265 0,8057 0,6488 0,4767 0,3295 0,2487 0,2590 0,3570 0,5181 0,7106 0,9024 1,0624 1,1722 1,2440 1,3155 1,4248 1,5922 1,8159 2,0762 2,3493 2,6194 2,8799 3,1304 3,3710 3,5960 3,7926 3,9493 4,0641 4,1377 4,1613 4,1136 3,9743 3,7432 3,4493 3,1390 2,8588 2,6467 2,5255 2,5017 2,5688 2,7078 2,8885 3,0831 3,2784 3,4729 3,6684 3,8638 4,0484 4,2043 4,3156 4,3744 4,3796 4,3359 4,2570 4,1694 4,1078 4,0911 4,1036 4,1043 4,0499 3,9062 3,6563 3,3114 2,9118 2,5141 2,1712 1,9128 1,7366 1,6185 1,5276 1,4386 1,3407 1,2385 1,1453 1,0774 1,0494 1,0619 1,0998 1,1509 1,2145 1,2798 1,3155 1,2893 1,1926 1,0492 0,9074 0,8146 0,7950 0,8510 0,9733 1,1450 1,3404 1,5305 1,6930 1,8157 1,8954 1,9383 1,9586 1,9723 1,9917 2,0175 2,0317 2,0058 1,9230 1,7929 1,6507 1,5446 1,5217 1,6139 1,8280 2,1428 2,5236 2,9397 3,3685 3,7921 4,2042 4,6117 5,0220 5,4289 5,8105 6,1341 6,3696 6,4992 6,5205 6,4487 6,3174 6,1625 5,9921 5,7761 5,4715 5,0590 4,5559 4,0025 3,4369 2,8807 2,3470 1,8503 1,4021 1,0077 0,6665 0,3683 0,0950 -0,1655 -0,4116 -0,6330 -0,8209 -0,9742 -1,1004 -1,2096 -1,3100 -1,4103 -1,5186 -1,6367 -1,7608 -1,8821 -1,9845 -2,0484 -2,0608 -2,0239 -1,9566 -1,8971 -1,8955 -1,9918 -2,1954 -2,4800 -2,7995 -3,1117 -3,3906 -3,6247 -3,8195 -3,9993 -4,1932 -4,4130 -4,6501 -4,8872 -5,1046 -5,2856 -5,4281 -5,5532 -5,6990 -5,8994 -6,1694 -6,5077 -6,9025 -7,3291 -7,7524 -8,1354 -8,4449 -8,6599 -8,7836 -8,8393 -8,8531 -8,8469 -8,8421 -8,8537 -8,8778 -8,8895 -8,8536 -8,7404 -8,5429 -8,2806 -7,9829 -7,6728 -7,3657 -7,0778 -6,8231 -6,6060 -6,4227 -6,2704 -6,1507 -6,0671 -6,0215
Fz    0,4729 0,2571 0,0300 -0,1609 -0,2745 -0,3011 -0,2682 -0,2237 -0,2048 -0,2248 -0,2805 -0,3606 -0,4468 -0,5147 -0,5409 -0,5122 -0,4286 -0,3010 -0,1450 0,0227 0,1852 0,3257 0,4281 0,4828 0,4953 0,4829 0,4618 0,4356 0,3939 0,3197 0,2052 0,0592 -0,1013 -0,2590 -0,3949 -0,4881 -0,5212 -0,4887 -0,4001 -0,2783 -0,1518 -0,0450 0,0295 0,0789 0,1327 0,2276 0,3835 0,5911 0,8136 1,0015 1,1207 1,1761 1,2027 1,2343 1,2803 1,3279 1,3551 1,3418 1,2775 1,1651 1,0205 0,8669 0,7274 0,6240 0,5769 0,5989 0,6912 0,8480 1,0557 1,2879 1,5123 1,7118 1,8951 2,0868 2,3106 2,5730 2,8609 3,1530 3,4291 3,6682 3,8468 3,9513 3,9917 3,9967 3,9939 3,9951 3,9948 3,9757 3,9117 3,7710 3,5260 3,1718 2,7339 2,2526 1,7591 1,2643 0,7645 0,2549 -0,2586 -0,7587 -1,2232 -1,6289 -1,9567 -2,2016 -2,3781 -2,5121 -2,6296 -2,7497 -2,8783 -3,0059 -3,1130 -3,1792 -3,1869 -3,1208 -2,9678 -2,7255 -2,4072 -2,0317 -1,6133 -1,1637 -0,6960 -0,2161 0,2793 0,7943 1,3245 1,8550 2,3648 2,8337 3,2480 3,5997 3,8844 4,1037 4,2730 4,4193 4,5634 4,7029 4,8125 4,8589 4,8173 4,6824 4,4715 4,2184 3,9615 3,7375 3,5776 3,4987 3,4965 3,5473 3,6187 3,6770 3,6953 3,6641 3,5992 3,5402 3,5315 3,5980 3,7361 3,9187 4,1037 4,2450 4,3074 4,2784 4,1687 4,0051 3,8201 3,6415 3,4838 3,3503 3,2387 3,1421 3,0448 2,9218 2,7458 2,5016 2,2015 1,8791 1,5665 1,2798 1,0245 0,8048 0,6230 0,4743 0,3550 0,2734 0,2478 0,2890 0,3879 0,5194 0,6501 0,7433 0,7690 0,7146 0,5852 0,3945 0,1583 -0,1074 -0,3890 -0,6824 -0,9932 -1,3314 -1,6985 -2,0785 -2,4402 -2,7526 -2,9991 -3,1800 -3,3024 -3,3706 -3,3872 -3,3611 -3,3057 -3,2331 -3,1505 -3,0568 -2,9437 -2,8083 -2,6625 -2,5228 -2,4022 -2,3145 -2,2799 -2,3182 -2,4358 -2,6187 -2,8376 -3,0583 -3,2537 -3,4132 -3,5408 -3,6453 -3,7369 -3,8286 -3,9269 -4,0235 -4,0957 -4,1143 -4,0584 -3,9340 -3,7727 -3,6131 -3,4822 -3,3930 -3,3511 -3,3563 -3,3970 -3,4472 -3,4736 -3,4465 -3,3490 -3,1837 -2,9706 -2,7405 -2,5248 -2,3392 -2,1776 -2,0291 -1,8989 -1,8067 -1,7699 -1,7933 -1,8663 -1,9643 -2,0527 -2,0989 -2,0913 -2,0474 -1,9967 -1,9558 -1,9276 -1,9164 -1,9307 -1,9763 -2,0505 -2,1397 -2,2212 -2,2745 -2,2924 -2,2814 -2,2535 -2,2229 -2,2002 -2,1850 -2,1657 -2,1291 -2,0706 -1,9993 -1,9302 -1,8703 -1,8181 -1,7767 -1,7548 -1,7586 -1,7916 -1,8539 -1,9361 -2,0226 -2,0985 -2,1526 -2,1804 -2,1878 -2,1901 -2,2038 -2,2299 -2,2441 -2,2116 -2,1100 -1,9346 -1,6931 -1,4024 -1,0833 -0,7558 -0,4402 -0,1546 0,0979 0,3347 0,5820 0,8577 1,1606 1,4712 1,7627 2,0109 2,2003 2,3265 2,3939 2,4145 2,4060 2,3848 2,3609 2,3408 2,3317 2,3409 2,3752 2,4425 2,5523 2,7128 2,9224 3,1679 3,4307 3,6921 3,9390 4,1654 4,3698 4,5514 4,7109 4,8525 4,9813 5,0961 5,1853 5,2327 5,2318 5,1933 5,1442 5,1212 5,1600 5,2795 5,4741 5,7173 5,9719 6,2016 6,3849 6,5195 6,6155 6,6875 6,7504 6,8115 6,8690 6,9147 6,9319 6,8911 6,7596 6,5231 6,1963 5,8120 5,4016 4,9892 4,5977 4,2544 3,9829 3,7849 3,6347 3,4969 3,3487 3,1830 2,9993 2,8013 2,5995 2,4082 2,2355 2,0779 1,9274 1,7852 1,6704 1,6127 1,6364 1,7462 1,9242 2,1392 2,3587 2,5524 2,6929 2,7668 2,7891 2,7991 2,8378 2,9318 3,0898 3,3042 3,5603 3,8473 4,1603 4,4953 4,8423 5,1810 5,4827 5,7193 5,8730 5,9366 5,9062 5,7796 5,5612 5,2710 4,9471 4,6339 4,3674 4,1699 4,0491 4,0032 4,0275 4,1149 4,2516 4,4212 4,6108 4,8094 5,0056 5,1871 5,3404 5,4528 5,5176 5,5354 5,5098 5,4459 5,3525 5,2482 5,1616 5,1121 5,0899 5,0612 4,9890 4,8473 4,6271 4,3408 4,0180 3,6981 3,4196 3,2085 3,0709 2,9960 2,9617 2,9449 2,9306 2,9150 2,8997 2,8908 2,8976 2,9219 2,9563 2,9992 3,0591 3,1340 3,1985 3,2214 3,1883 3,1127 3,0287 2,9683 2,9457 2,9602 3,0064 3,0757 3,1521 3,2144 3,2472 3,2450 3,2094 3,1479 3,0731 2,9998 2,9429 2,9123 2,9059 2,9103 2,9142 2,9190 2,9408 3,0043 3,1340 3,3428 3,6256 3,9612 4,3249 4,7012 5,0812 5,4565 5,8229 6,1838 6,5432 6,8979 7,2358 7,5386 7,7878 7,9687 8,0725 8,1029 8,0821 8,0397 7,9865 7,9008 7,7494 7,5198 7,2292 6,9033 6,5540 6,1760 5,7619 5,3141 4,8412 4,3549 3,8712 3,4039 2,9601 2,5469 2,1788 1,8766 1,6592 1,5329 1,4866 1,4993 1,5496 1,6175 1,6845 1,7349 1,7582 1,7509 1,7200 1,6791 1,6382 1,5975 1,5465 1,4629 1,3170 1,0874 0,7759 0,4089 0,0267 -0,3332 -0,6442 -0,8912 -1,0742 -1,2115 -1,3309 -1,4511 -1,5787 -1,7169 -1,8669 -2,0270 -2,2005 -2,4021 -2,6503 -2,9527 -3,3021 -3,6898 -4,1114 -4,5574 -5,0057 -5,4247 -5,7787 -6,0408 -6,2090 -6,3051 -6,3574 -6,3933 -6,4391 -6,5101 -6,5991 -6,6777 -6,7074 -6,6553 -6,5108 -6,2896 -6,0208 -5,7330 -5,4538 -5,2119 -5,0292 -4,9094 -4,8394 -4,8022 -4,7841 -4,7745 -4,7646
F3    0,0709 -0,0747 -0,2452 -0,3926 -0,4720 -0,4692 -0,4114 -0,3483 -0,3145 -0,3116 -0,3196 -0,3160 -0,2836 -0,2128 -0,1041 0,0289 0,1647 0,2856 0,3852 0,4657 0,5323 0,5878 0,6298 0,6544 0,6636 0,6634 0,6533 0,6202 0,5433 0,4067 0,2146 -0,0068 -0,2232 -0,4054 -0,5317 -0,5870 -0,5688 -0,4933 -0,3908 -0,2915 -0,2133 -0,1627 -0,1380 -0,1269 -0,1063 -0,0524 0,0453 0,1796 0,3264 0,4518 0,5305 0,5638 0,5762 0,5954 0,6354 0,6954 0,7632 0,8173 0,8296 0,7780 0,6627 0,5084 0,3498 0,2168 0,1288 0,0945 0,1135 0,1829 0,3000 0,4537 0,6249 0,8048 1,0064 1,2549 1,5663 1,9293 2,3040 2,6441 2,9189 3,1145 3,2246 3,2555 3,2324 3,1903 3,1560 3,1397 3,1330 3,1126 3,0447 2,8932 2,6349 2,2765 1,8553 1,4154 0,9794 0,5410 0,0795 -0,4174 -0,9408 -1,4643 -1,9555 -2,3815 -2,7143 -2,9425 -3,0781 -3,1523 -3,2025 -3,2612 -3,3422 -3,4377 -3,5252 -3,5769 -3,5642 -3,4612 -3,2518 -2,9400 -2,5512 -2,1166 -1,6590 -1,1930 -0,7283 -0,2640 0,2121 0,7142 1,2478 1,8014 2,3459 2,8448 3,2679 3,5988 3,8369 3,9963 4,1051 4,1970 4,2951 4,3979 4,4789 4,4996 4,4259 4,2430 3,9653 3,6327 3,2948 2,9980 2,7792 2,6564 2,6208 2,6391 2,6715 2,6904 2,6871 2,6698 2,6613 2,6961 2,8063 2,9998 3,2533 3,5226 3,7566 3,9073 3,9436 3,8614 3,6843 3,4520 3,2082 2,9890 2,8124 2,6777 2,5753 2,4931 2,4177 2,3321 2,2157 2,0519 1,8406 1,5978 1,3419 1,0853 0,8372 0,6072 0,4014 0,2168 0,0484 -0,1001 -0,2159 -0,2904 -0,3263 -0,3324 -0,3165 -0,2846 -0,2440 -0,2058 -0,1870 -0,2083 -0,2880 -0,4359 -0,6534 -0,9348 -1,2687 -1,6370 -2,0128 -2,3620 -2,6551 -2,8784 -3,0361 -3,1457 -3,2282 -3,2986 -3,3649 -3,4316 -3,4963 -3,5463 -3,5673 -3,5496 -3,4891 -3,3924 -3,2792 -3,1712 -3,0839 -3,0298 -3,0219 -3,0694 -3,1724 -3,3229 -3,5086 -3,7129 -3,9142 -4,0940 -4,2466 -4,3792 -4,5071 -4,6466 -4,8033 -4,9652 -5,1074 -5,2013 -5,2290 -5,1976 -5,1366 -5,0790 -5,0447 -5,0389 -5,0585 -5,0915 -5,1135 -5,0934 -5,0059 -4,8413 -4,6055 -4,3169 -4,0006 -3,6828 -3,3865 -3,1248 -2,8968 -2,6998 -2,5420 -2,4400 -2,4079 -2,4478 -2,5472 -2,6790 -2,8061 -2,8940 -2,9341 -2,9510 -2,9762 -3,0180 -3,0611 -3,0890 -3,0945 -3,0769 -3,0382 -2,9783 -2,8913 -2,7727 -2,6333 -2,4996 -2,3990 -2,3493 -2,3563 -2,4090 -2,4806 -2,5404 -2,5709 -2,5775 -2,5796 -2,5922 -2,6218 -2,6736 -2,7514 -2,8525 -2,9688 -3,0857 -3,1826 -3,2422 -3,2570 -3,2267 -3,1582 -3,0688 -2,9840 -2,9276 -2,9025 -2,8806 -2,8199 -2,6933 -2,4999 -2,2596 -1,9996 -1,7410 -1,4946 -1,2673 -1,0642 -0,8826 -0,7080 -0,5224 -0,3152 -0,0919 0,1301 0,3345 0,5158 0,6788 0,8335 0,9887 1,1516 1,3267 1,5074 1,6715 1,7939 1,8657 1,9008 1,9281 1,9771 2,0677 2,2039 2,3682 2,5300 2,6649 2,7658 2,8412 2,9063 2,9728 3,0460 3,1288 3,2270 3,3476 3,4884 3,6306 3,7444 3,8057 3,8133 3,7937 3,7921 3,8506 3,9889 4,2000 4,4564 4,7203 4,9556 5,1438 5,2881 5,4002 5,4898 5,5638 5,6292 5,6915 5,7513 5,7952 5,7893 5,6906 5,4736 5,1485 4,7532 4,3306 3,9153 3,5347 3,2120 2,9611 2,7755 2,6270 2,4852 2,3388 2,1960 2,0687 1,9632 1,8820 1,8234 1,7766 1,7220 1,6466 1,5594 1,4890 1,4690 1,5214 1,6455 1,8174 2,0033 2,1751 2,3114 2,3945 2,4195 2,4079 2,4051 2,4600 2,6034 2,8394 3,1516 3,5164 3,9096 4,3053 4,6772 5,0026 5,2644 5,4510 5,5590 5,5947 5,5676 5,4787 5,3204 5,0853 4,7810 4,4374 4,0979 3,8022 3,5768 3,4331 3,3700 3,3786 3,4446 3,5524 3,6927 3,8659 4,0725 4,3029 4,5370 4,7498 4,9180 5,0268 5,0716 5,0555 4,9880 4,8842 4,7666 4,6621 4,5870 4,5322 4,4679 4,3579 4,1716 3,8957 3,5446 3,1604 2,7993 2,5103 2,3142 2,1996 2,1371 2,0955 2,0520 2,0005 1,9502 1,9172 1,9173 1,9614 2,0465 2,1544 2,2656 2,3678 2,4445 2,4674 2,4115 2,2771 2,0979 1,9287 1,8180 1,7889 1,8410 1,9614 2,1299 2,3203 2,5047 2,6623 2,7798 2,8465 2,8550 2,8100 2,7304 2,6392 2,5483 2,4525 2,3412 2,2173 2,1000 2,0150 1,9882 2,0434 2,1964 2,4450 2,7677 3,1357 3,5280 3,9324 4,3424 4,7611 5,1994 5,6622 6,1338 6,5770 6,9449 7,1994 7,3246 7,3302 7,2475 7,1208 6,9881 6,8555 6,6927 6,4608 6,1464 5,7665 5,3513 4,9222 4,4837 4,0319 3,5672 3,0982 2,6405 2,2145 1,8354 1,5071 1,2315 1,0149 0,8630 0,7728 0,7275 0,7003 0,6671 0,6155 0,5418 0,4460 0,3313 0,2035 0,0723 -0,0483 -0,1453 -0,2145 -0,2604 -0,2924 -0,3267 -0,3894 -0,5068 -0,6903 -0,9293 -1,1998 -1,4784 -1,7477 -1,9929 -2,2051 -2,3884 -2,5568 -2,7240 -2,8990 -3,0862 -3,2823 -3,4797 -3,6773 -3,8866 -4,1279 -4,4179 -4,7613 -5,1537 -5,5846 -6,0326 -6,4670 -6,8536 -7,1606 -7,3710 -7,4964 -7,5688 -7,6184 -7,6629 -7,7129 -7,7709 -7,8288 -7,8659 -7,8502 -7,7471 -7,5396 -7,2405 -6,8839 -6,5121 -6,1684 -5,8938 -5,7146 -5,6293 -5,6118 -5,6310 -5,6652 -5,7013 -5,7334
F7    -0,4829 -0,6357 -0,7895 -0,8976 -0,9304 -0,8925 -0,8197 -0,7583 -0,7342 -0,7413 -0,7547 -0,7475 -0,6948 -0,5732 -0,3706 -0,0999 0,1988 0,4737 0,6823 0,8045 0,8476 0,8397 0,8102 0,7754 0,7417 0,7140 0,6948 0,6799 0,6585 0,6140 0,5294 0,3933 0,2062 -0,0100 -0,2105 -0,3468 -0,3923 -0,3551 -0,2678 -0,1678 -0,0832 -0,0280 -0,0006 0,0155 0,0477 0,1223 0,2490 0,4128 0,5765 0,6969 0,7514 0,7591 0,7663 0,8097 0,8942 0,9995 1,0991 1,1716 1,1979 1,1631 1,0685 0,9345 0,7904 0,6632 0,5751 0,5416 0,5713 0,6665 0,8169 0,9940 1,1626 1,3049 1,4314 1,5734 1,7642 2,0178 2,3204 2,6433 2,9570 3,2316 3,4387 3,5661 3,6293 3,6573 3,6720 3,6796 3,6743 3,6429 3,5676 3,4289 3,2123 2,9213 2,5825 2,2315 1,8896 1,5516 1,1982 0,8158 0,4064 -0,0170 -0,4349 -0,8179 -1,1304 -1,3460 -1,4631 -1,5088 -1,5255 -1,5505 -1,5964 -1,6487 -1,6822 -1,6730 -1,5984 -1,4390 -1,1911 -0,8778 -0,5394 -0,2045 0,1227 0,4490 0,7798 1,1227 1,4863 1,8709 2,2667 2,6584 3,0274 3,3537 3,6213 3,8185 3,9372 3,9745 3,9430 3,8742 3,8029 3,7448 3,6871 3,5971 3,4430 3,2106 2,9098 2,5734 2,2519 2,0004 1,8580 1,8319 1,8966 2,0064 2,1144 2,1845 2,1948 2,1421 2,0488 1,9664 1,9569 2,0609 2,2776 2,5655 2,8548 3,0702 3,1617 3,1234 2,9889 2,8099 2,6348 2,4959 2,4022 2,3418 2,2947 2,2422 2,1689 2,0589 1,8960 1,6731 1,4059 1,1302 0,8825 0,6852 0,5475 0,4670 0,4282 0,4062 0,3780 0,3346 0,2842 0,2395 0,2054 0,1802 0,1641 0,1619 0,1782 0,2099 0,2442 0,2639 0,2540 0,2077 0,1272 0,0189 -0,1126 -0,2663 -0,4387 -0,6182 -0,7908 -0,9503 -1,1020 -1,2601 -1,4391 -1,6410 -1,8522 -2,0529 -2,2252 -2,3582 -2,4540 -2,5209 -2,5619 -2,5791 -2,5839 -2,5889 -2,5983 -2,6136 -2,6416 -2,6922 -2,7693 -2,8696 -2,9876 -3,1142 -3,2354 -3,3395 -3,4261 -3,5019 -3,5754 -3,6563 -3,7542 -3,8742 -4,0132 -4,1554 -4,2815 -4,3896 -4,4980 -4,6265 -4,7767 -4,9343 -5,0831 -5,2113 -5,3068 -5,3564 -5,3507 -5,2856 -5,1621 -4,9845 -4,7577 -4,4907 -4,2011 -3,9061 -3,6101 -3,3146 -3,0374 -2,8129 -2,6746 -2,6385 -2,6944 -2,8068 -2,9247 -3,0032 -3,0279 -3,0181 -3,0023 -2,9920 -2,9853 -2,9839 -2,9958 -3,0246 -3,0647 -3,1001 -3,1061 -3,0613 -2,9645 -2,8339 -2,6950 -2,5709 -2,4768 -2,4135 -2,3698 -2,3296 -2,2822 -2,2299 -2,1875 -2,1709 -2,1917 -2,2579 -2,3685 -2,5112 -2,6714 -2,8390 -3,0037 -3,1544 -3,2834 -3,3891 -3,4772 -3,5599 -3,6504 -3,7542 -3,8568 -3,9189 -3,8996 -3,7845 -3,5908 -3,3516 -3,0986 -2,8536 -2,6285 -2,4329 -2,2750 -2,1525 -2,0485 -1,9396 -1,8090 -1,6545 -1,4870 -1,3183 -1,1553 -1,0035 -0,8704 -0,7615 -0,6723 -0,5899 -0,5049 -0,4221 -0,3552 -0,3134 -0,2933 -0,2806 -0,2575 -0,2067 -0,1149 0,0195 0,1824 0,3518 0,5068 0,6357 0,7396 0,8270 0,9079 0,9921 1,0875 1,1960 1,3130 1,4297 1,5350 1,6175 1,6736 1,7151 1,7668 1,8515 1,9767 2,1325 2,2994 2,4554 2,5817 2,6685 2,7147 2,7256 2,7194 2,7271 2,7784 2,8894 3,0557 3,2453 3,4051 3,4843 3,4592 3,3350 3,1288 2,8559 2,5313 2,1790 1,8334 1,5295 1,2832 1,0832 0,9089 0,7538 0,6249 0,5267 0,4562 0,4101 0,3845 0,3679 0,3403 0,2852 0,2012 0,1050 0,0254 -0,0058 0,0318 0,1360 0,2882 0,4671 0,6518 0,8211 0,9612 1,0789 1,1965 1,3340 1,4963 1,6741 1,8537 2,0296 2,2089 2,4030 2,6168 2,8406 3,0524 3,2264 3,3458 3,4127 3,4385 3,4247 3,3590 3,2258 3,0227 2,7693 2,5028 2,2648 2,0914 2,0047 2,0077 2,0888 2,2281 2,4022 2,5944 2,8019 3,0293 3,2758 3,5277 3,7577 3,9335 4,0333 4,0548 4,0127 3,9317 3,8392 3,7628 3,7290 3,7508 3,8109 3,8641 3,8587 3,7561 3,5434 3,2380 2,8810 2,5251 2,2174 1,9817 1,8138 1,6943 1,6008 1,5138 1,4226 1,3306 1,2515 1,2011 1,1878 1,2078 1,2512 1,3175 1,4165 1,5449 1,6716 1,7528 1,7594 1,6956 1,5961 1,5022 1,4380 1,4079 1,4079 1,4361 1,4908 1,5636 1,6389 1,6981 1,7245 1,7104 1,6626 1,6009 1,5484 1,5202 1,5142 1,5134 1,5018 1,4743 1,4375 1,4077 1,4059 1,4523 1,5599 1,7287 1,9488 2,2101 2,5049 2,8283 3,1838 3,5801 4,0132 4,4521 4,8487 5,1589 5,3602 5,4528 5,4521 5,3841 5,2806 5,1681 5,0495 4,8990 4,6827 4,3872 4,0240 3,6166 3,1847 2,7381 2,2837 1,8333 1,3985 0,9848 0,5944 0,2288 -0,1106 -0,4140 -0,6607 -0,8314 -0,9214 -0,9446 -0,9297 -0,9078 -0,9027 -0,9314 -1,0064 -1,1337 -1,3119 -1,5330 -1,7829 -2,0407 -2,2790 -2,4668 -2,5797 -2,6197 -2,6246 -2,6482 -2,7293 -2,8774 -3,0808 -3,3224 -3,5848 -3,8491 -4,1010 -4,3400 -4,5722 -4,7959 -5,0005 -5,1742 -5,3062 -5,3934 -5,4522 -5,5182 -5,6274 -5,7951 -6,0139 -6,2697 -6,5488 -6,8335 -7,1016 -7,3308 -7,5009 -7,6050 -7,6609 -7,6982 -7,7361 -7,7779 -7,8221 -7,8679 -7,9139 -7,9543 -7,9733 -7,9490 -7,8680 -7,7341 -7,5624 -7,3667 -7,1558 -6,9387 -6,7274 -6,5288 -6,3439 -6,1766 -6,0381 -5,9403 -5,8889
