Fp1   0,1421 -0,4268 -0,9494 -1,2132 -1,0838 -0,5641 0,2016 0,9903 1,5868 1,8426 1,7033 1,2160 0,5128 -0,2466 -0,9491 -1,5481 -2,0155 -2,2881 -2,2577 -1,8278 -1,0017 0,0828 1,2180 2,2239 2,9870 3,4359 3,5253 3,2562 2,7032 2,0093 1,3352 0,7857 0,3567 -0,0550 -0,5747 -1,2424 -1,9518 -2,4977 -2,6965 -2,4768 -1,9002 -1,1280 -0,3574 0,2414 0,5702 0,6018 0,3426 -0,1754 -0,8626 -1,5800 -2,2062 -2,6822 -2,9887 -3,1072 -3,0128 -2,6994 -2,2093 -1,6282 -1,0364 -0,4803 -0,0106 0,2937 0,3732 0,2229 -0,1275 -0,6183 -1,1512 -1,6339 -2,0474 -2,4420 -2,8667 -3,3116 -3,7137 -4,0263 -4,2830 -4,5748 -4,9554 -5,3854 -5,7661 -5,9990 -6,0217 -5,8302 -5,4799 -5,0569 -4,6425 -4,2817 -3,9781 -3,7459 -3,6427 -3,6990 -3,8263 -3,8568 -3,6928 -3,3848 -3,0640 -2,8464 -2,8011 -2,9486 -3,2544 -3,6362 -4,0061 -4,3215 -4,5947 -4,8508 -5,0843 -5,2589 -5,3452 -5,3622 -5,3834 -5,4973 -5,7573 -6,1602 -6,6489 -7,1290 -7,4918 -7,6348 -7,4970 -7,1200 -6,6677 -6,3379 -6,2241 -6,2511 -6,2515 -6,1075 -5,8037 -5,3832 -4,9078 -4,4308 -3,9620 -3,4831 -3,0089 -2,6058 -2,3373 -2,2146 -2,2109 -2,3142 -2,5316 -2,8253 -3,0771 -3,1351 -2,8951 -2,3537 -1,5972 -0,7527 0,0346 0,6072 0,8361 0,6876 0,2510 -0,3092 -0,8322 -1,2118 -1,4148 -1,4670 -1,4069 -1,2376 -0,9131 -0,3778 0,3804 1,3346 2,4574 3,7123 5,0020 6,1550 6,9898 7,3867 7,2983 6,7306 5,7555 4,5241 3,2192 1,9692 0,8165 -0,2307 -1,1504 -1,9220 -2,5387 -2,9704 -3,1503 -3,0402 -2,6910 -2,2031 -1,6446 -1,0575 -0,5256 -0,1774 -0,1083 -0,3221 -0,7351 -1,2190 -1,6661 -2,0317 -2,3208 -2,5545 -2,7590 -2,9626 -3,1840 -3,4298 -3,7074 -4,0148 -4,3082 -4,5038 -4,5209 -4,3303 -3,9888 -3,6131 -3,2857 -2,9883 -2,6472 -2,2299 -1,7758 -1,3545 -1,0414 -0,9277 -1,1106 -1,6574 -2,5707 -3,7751 -5,1326 -6,4719 -7,6134 -8,4093 -8,7970 -8,8360 -8,7033 -8,6104 -8,6623 -8,8019 -8,9045 -8,8885 -8,7362 -8,4757 -8,1685 -7,8882 -7,7059 -7,6891 -7,8683 -8,1744 -8,4343 -8,4613 -8,1711 -7,6249 -6,9653 -6,3034 -5,6676 -5,0493 -4,4607 -3,9357 -3,5044 -3,1877 -3,0018 -2,9483 -2,9932 -3,0530 -3,0112 -2,7728 -2,3192 -1,7203 -1,0843 -0,4917 0,0198 0,4398 0,7785 1,0306 1,1083 0,8468 0,1102 -1,1048 -2,6558 -4,3106 -5,8136 -6,9344 -7,5101 -7,5081 -7,0718 -6,4555 -5,8733 -5,3972 -4,9676 -4,4796 -3,8848 -3,2407 -2,6813 -2,3434 -2,3087 -2,5807 -3,0850 -3,6974 -4,2923 -4,7576 -4,9824 -4,8801 -4,4402 -3,7388 -2,8971 -2,0396 -1,2793 -0,7070 -0,3794 -0,3198 -0,5036 -0,8363 -1,1836 -1,4512 -1,6396 -1,8161 -2,0286 -2,2585 -2,4526 -2,5801 -2,6527 -2,7007 -2,7370 -2,7435 -2,6920 -2,5675 -2,3651 -2,0740 -1,6791 -1,1874 -0,6369 -0,0502 0,6077 1,3817 2,2338 3,0372 3,6625 4,0368 4,1277 3,9093 3,3670 2,5467 1,5933 0,7082 0,0601 -0,2598 -0,2479 0,0077 0,3711 0,7529 1,1549 1,6142 2,1201 2,5872 2,9037 3,0179 2,9874 2,9467 3,0322 3,3327 3,8800 4,6630 5,6439 6,7523 7,8535 8,7665 9,3575 9,6016 9,5498 9,2777 8,8808 8,4763 8,1547 7,9274 7,7364 7,5062 7,1875 6,7842 6,3490 5,9460 5,6185 5,3807 5,2169 5,0922 4,9994 4,9986 5,1738 5,5402 6,0236 6,5142 6,8996 7,0734 6,9794 6,6531 6,1984 5,7225 5,2885 4,9034 4,5443 4,2092 3,9275 3,7216 3,5950 3,5595 3,6316 3,8076 4,0626 4,3660 4,7091 5,1234 5,6375 6,2222 6,8111 7,3434 7,7678 8,0529 8,2139 8,3056 8,3866 8,4850 8,5889 8,6740 8,7248 8,7253 8,6601 8,5599 8,5409 8,7531 9,2424 9,8712 10,3931 10,6053 10,4545 10,0485 9,5757 9,1687 8,8280 8,4821 8,0825 7,6240 7,1322 6,6713 6,3488 6,2741 6,4707 6,8183 7,1022 7,1426 6,8905 6,4223 5,8646 5,3337 4,9289 4,7388 4,8145 5,1405 5,6389 6,1892 6,6597 6,9552 7,0398 6,9280 6,6733 6,3773 6,1901 6,2551 6,6290 7,2552 8,0012 8,7329 9,4012 10,0798 10,8900 11,8636 12,8823 13,7453 14,2712 14,3543 13,9967 13,3241 12,5426 11,8535 11,3918 11,1976 11,2384 11,4727 11,8751 12,3867 12,8799 13,2123 13,3057 13,1602 12,8213 12,3511 11,8184 11,2883 10,7871 10,2926 9,7926 9,3254 8,9418 8,6571 8,4476 8,2867 8,1953 8,2479 8,4979 8,9049 9,3542 9,7463 10,0645 10,3451 10,5826 10,7039 10,6449 10,4273 10,1594 9,9687 9,9287 10,0261 10,1723 10,2397 10,1234 9,8075 9,3865 9,0197 8,8500 8,9256 9,1757 9,4690 9,7032 9,8535 9,9489 10,0114 10,0414 10,0502 10,0512 10,0078 9,8225 9,3907 8,6881 7,8453 7,1285 6,7966 6,9502 7,5087 8,3078 9,2029 10,0959 10,9208 11,6454 12,2652 12,7753 13,1552 13,3646 13,3365 13,0047 12,3478 11,3925 10,1968 8,8646 7,5545 6,4493 5,6956 5,3340 5,2723 5,3356 5,3381 5,1219 4,5947 3,7913 2,8943 2,1634 1,8185 1,9473 2,4828 3,2606 4,1180 4,9830 5,8989 6,9434 8,0955 9,1865 9,9986 10,4156 10,4969 10,4153 10,3082 10,1910 10,0087 9,7298 9,3735 8,9734 8,5229 7,9664 7,2724 6,5088 5,8111 5,2917 5,0012 4,9327 5,0417 5,2937 5,6800 6,1484 6,5697 6,8281 6,9199 6,9304 6,9262
Fz    -0,6671 -0,9060 -1,1187 -1,2081 -1,1102 -0,8282 -0,4372 -0,0517 0,2195 0,3093 0,2115 -0,0210 -0,2966 -0,5186 -0,6227 -0,5930 -0,4452 -0,1949 0,1580 0,6140 1,1399 1,6573 2,0757 2,3393 2,4404 2,3964 2,2254 1,9457 1,5901 1,2132 0,8745 0,6019 0,3692 0,1088 -0,2428 -0,6985 -1,1996 -1,6357 -1,8967 -1,9234 -1,7278 -1,3769 -0,9608 -0,5667 -0,2585 -0,0703 -0,0156 -0,0932 -0,2786 -0,5256 -0,7872 -1,0312 -1,2336 -1,3651 -1,3935 -1,2997 -1,0937 -0,8132 -0,5022 -0,1973 0,0555 0,1921 0,1636 -0,0325 -0,3629 -0,7814 -1,2360 -1,6810 -2,1005 -2,5104 -2,9354 -3,3853 -3,8441 -4,2825 -4,6857 -5,0625 -5,4214 -5,7482 -6,0093 -6,1679 -6,2028 -6,1260 -5,9839 -5,8334 -5,7136 -5,6311 -5,5709 -5,5338 -5,5524 -5,6497 -5,7871 -5,8783 -5,8611 -5,7430 -5,5819 -5,4456 -5,3876 -5,4369 -5,5906 -5,8147 -6,0592 -6,2803 -6,4558 -6,5855 -6,6765 -6,7317 -6,7547 -6,7627 -6,7856 -6,8437 -6,9338 -7,0353 -7,1181 -7,1419 -7,0610 -6,8350 -6,4457 -5,9211 -5,3441 -4,8155 -4,3932 -4,0618 -3,7592 -3,4314 -3,0608 -2,6613 -2,2729 -1,9466 -1,7168 -1,5930 -1,5759 -1,6660 -1,8534 -2,1098 -2,4024 -2,7182 -3,0614 -3,4180 -3,7340 -3,9363 -3,9702 -3,8271 -3,5415 -3,1718 -2,7905 -2,4792 -2,3045 -2,2787 -2,3463 -2,4154 -2,4064 -2,2789 -2,0340 -1,7030 -1,3264 -0,9301 -0,5180 -0,0867 0,3610 0,8206 1,2913 1,7591 2,1723 2,4448 2,4942 2,2805 1,8109 1,1216 0,2682 -0,6739 -1,6274 -2,5411 -3,3923 -4,1610 -4,8195 -5,3442 -5,7224 -5,9372 -5,9615 -5,7800 -5,4163 -4,9282 -4,3800 -3,8335 -3,3602 -3,0329 -2,8937 -2,9355 -3,1128 -3,3654 -3,6444 -3,9281 -4,2146 -4,5081 -4,8108 -5,1202 -5,4235 -5,6990 -5,9299 -6,1109 -6,2380 -6,2982 -6,2720 -6,1483 -5,9437 -5,7045 -5,4768 -5,2766 -5,0942 -4,9213 -4,7627 -4,6294 -4,5369 -4,5164 -4,6167 -4,8874 -5,3519 -5,9873 -6,7233 -7,4572 -8,0796 -8,5110 -8,7342 -8,7997 -8,8043 -8,8461 -8,9645 -9,1183 -9,2309 -9,2485 -9,1539 -8,9540 -8,6727 -8,3516 -8,0487 -7,8315 -7,7510 -7,8074 -7,9386 -8,0488 -8,0561 -7,9279 -7,6837 -7,3693 -7,0321 -6,7140 -6,4521 -6,2721 -6,1809 -6,1672 -6,2100 -6,2850 -6,3616 -6,4010 -6,3663 -6,2385 -6,0301 -5,7869 -5,5722 -5,4376 -5,4013 -5,4444 -5,5251 -5,6159 -5,7409 -5,9700 -6,3703 -6,9598 -7,6965 -8,4868 -9,2040 -9,7208 -9,9464 -9,8606 -9,5285 -9,0728 -8,6089 -8,1938 -7,8229 -7,4632 -7,0894 -6,7035 -6,3392 -6,0492 -5,8797 -5,8434 -5,9089 -6,0160 -6,1057 -6,1349 -6,0712 -5,8903 -5,5893 -5,1969 -4,7640 -4,3432 -3,9759 -3,6860 -3,4813 -3,3644 -3,3340 -3,3684 -3,4246 -3,4667 -3,4936 -3,5322 -3,6048 -3,7096 -3,8303 -3,9527 -4,0644 -4,1468 -4,1711 -4,1054 -3,9267 -3,6254 -3,2023 -2,6669 -2,0435 -1,3770 -0,7164 -0,0802 0,5517 1,1974 1,8307 2,3891 2,8157 3,0786 3,1580 3,0360 2,7065 2,2025 1,6082 1,0293 0,5454 0,1899 -0,0460 -0,2039 -0,3315 -0,4464 -0,5269 -0,5456 -0,5039 -0,4373 -0,3905 -0,3801 -0,3775 -0,3289 -0,1901 0,0571 0,4119 0,8670 1,4107 2,0143 2,6145 3,1260 3,4883 3,6932 3,7643 3,7304 3,6246 3,4893 3,3565 3,2229 3,0473 2,7732 2,3653 1,8445 1,2849 0,7734 0,3682 0,0856 -0,0950 -0,2148 -0,3052 -0,3612 -0,3499 -0,2515 -0,0863 0,0955 0,2382 0,2969 0,2520 0,1147 -0,0861 -0,3211 -0,5673 -0,8107 -1,0418 -1,2430 -1,3865 -1,4534 -1,4461 -1,3777 -1,2579 -1,0862 -0,8546 -0,5610 -0,2119 0,1908 0,6443 1,1284 1,6128 2,0735 2,4940 2,8634 3,1791 3,4428 3,6546 3,8093 3,8942 3,8963 3,8112 3,6445 3,4079 3,1224 2,8340 2,6090 2,4907 2,4621 2,4623 2,4343 2,3572 2,2527 2,1659 2,1230 2,0993 2,0396 1,9045 1,6889 1,4134 1,1204 0,8709 0,7313 0,7391 0,8725 1,0557 1,2038 1,2660 1,2342 1,1233 0,9568 0,7675 0,5962 0,4760 0,4172 0,4122 0,4417 0,4768 0,4879 0,4613 0,4084 0,3614 0,3604 0,4432 0,6344 0,9342 1,3161 1,7313 2,1211 2,4443 2,7031 2,9322 3,1538 3,3427 3,4324 3,3505 3,0580 2,5767 1,9907 1,4117 0,9390 0,6368 0,5234 0,5770 0,7609 1,0360 1,3491 1,6299 1,8160 1,8790 1,8275 1,6920 1,5050 1,2874 1,0481 0,7869 0,4995 0,1996 -0,0679 -0,2478 -0,3093 -0,2574 -0,1134 0,1160 0,4466 0,8858 1,4010 1,9250 2,3872 2,7460 2,9969 3,1549 3,2359 3,2545 3,2278 3,1735 3,1010 3,0036 2,8639 2,6647 2,3975 2,0681 1,7001 1,3296 0,9945 0,7228 0,5198 0,3588 0,1975 0,0083 -0,2029 -0,4035 -0,5605 -0,6597 -0,7095 -0,7441 -0,8252 -1,0262 -1,4035 -1,9580 -2,6072 -3,2053 -3,6192 -3,7930 -3,7506 -3,5513 -3,2490 -2,8808 -2,4748 -2,0560 -1,6472 -1,2701 -0,9453 -0,6976 -0,5637 -0,5777 -0,7472 -1,0537 -1,4643 -1,9323 -2,3986 -2,8029 -3,0997 -3,2771 -3,3658 -3,4232 -3,5090 -3,6767 -3,9608 -4,3497 -4,7687 -5,1001 -5,2325 -5,1135 -4,7756 -4,3123 -3,8256 -3,3759 -2,9656 -2,5687 -2,1884 -1,8807 -1,7159 -1,7193 -1,8491 -2,0302 -2,2168 -2,4231 -2,6909 -3,0374 -3,4357 -3,8333 -4,1843 -4,4702 -4,6888 -4,8295 -4,8728 -4,8084 -4,6400 -4,3808 -4,0518 -3,6731 -3,2645 -2,8703 -2,5641 -2,4004 -2,3665 -2,3977 -2,4341
F3    -0,2578 -0,5171 -0,7226 -0,7699 -0,6010 -0,2338 0,2423 0,7036 1,0349 1,1614 1,0668 0,7966 0,4396 0,0943 -0,1643 -0,2987 -0,3011 -0,1747 0,0845 0,4798 0,9761 1,4831 1,8935 2,1408 2,2158 2,1391 1,9355 1,6284 1,2474 0,8354 0,4403 0,0917 -0,2165 -0,5250 -0,8851 -1,3173 -1,7762 -2,1586 -2,3559 -2,3137 -2,0551 -1,6581 -1,2132 -0,7985 -0,4676 -0,2472 -0,1480 -0,1718 -0,2988 -0,4831 -0,6763 -0,8476 -0,9744 -1,0301 -0,9901 -0,8470 -0,6183 -0,3414 -0,0567 0,2012 0,3875 0,4410 0,3199 0,0319 -0,3790 -0,8540 -1,3271 -1,7442 -2,0930 -2,4020 -2,7092 -3,0336 -3,3691 -3,7017 -4,0343 -4,3862 -4,7621 -5,1299 -5,4337 -5,6197 -5,6565 -5,5522 -5,3555 -5,1307 -4,9253 -4,7545 -4,6153 -4,5249 -4,5338 -4,6759 -4,9075 -5,1196 -5,2244 -5,2144 -5,1424 -5,0724 -5,0536 -5,1150 -5,2573 -5,4485 -5,6425 -5,8105 -5,9576 -6,1054 -6,2608 -6,4016 -6,4945 -6,5244 -6,5060 -6,4632 -6,4071 -6,3338 -6,2299 -6,0723 -5,8295 -5,4668 -4,9613 -4,3347 -3,6688 -3,0669 -2,5899 -2,2294 -1,9365 -1,6727 -1,4280 -1,2124 -1,0499 -0,9660 -0,9635 -1,0221 -1,1250 -1,2735 -1,4740 -1,7188 -1,9869 -2,2604 -2,5281 -2,7643 -2,9188 -2,9375 -2,7927 -2,4997 -2,1083 -1,6826 -1,2932 -1,0140 -0,8995 -0,9503 -1,1072 -1,2804 -1,3901 -1,3915 -1,2861 -1,1118 -0,9107 -0,6977 -0,4544 -0,1556 0,2041 0,6166 1,0764 1,5702 2,0487 2,4260 2,6177 2,5802 2,3147 1,8491 1,2299 0,5224 -0,2047 -0,9055 -1,5584 -2,1436 -2,6355 -3,0182 -3,2913 -3,4532 -3,4891 -3,3870 -3,1629 -2,8578 -2,5142 -2,1691 -1,8682 -1,6652 -1,5972 -1,6655 -1,8363 -2,0559 -2,2806 -2,5008 -2,7342 -2,9997 -3,3056 -3,6485 -4,0117 -4,3651 -4,6792 -4,9372 -5,1291 -5,2414 -5,2566 -5,1646 -4,9815 -4,7499 -4,5082 -4,2640 -4,0050 -3,7329 -3,4767 -3,2718 -3,1438 -3,1152 -3,2135 -3,4645 -3,8811 -4,4546 -5,1445 -5,8697 -6,5177 -6,9884 -7,2440 -7,3237 -7,3213 -7,3340 -7,3988 -7,4745 -7,4931 -7,4133 -7,2274 -6,9469 -6,6004 -6,2346 -5,9103 -5,6919 -5,6220 -5,6927 -5,8403 -5,9743 -6,0216 -5,9551 -5,7928 -5,5773 -5,3562 -5,1734 -5,0628 -5,0386 -5,0898 -5,1905 -5,3171 -5,4549 -5,5895 -5,6943 -5,7327 -5,6755 -5,5232 -5,3186 -5,1301 -5,0149 -4,9938 -5,0507 -5,1474 -5,2557 -5,3926 -5,6197 -5,9978 -6,5426 -7,2141 -7,9256 -8,5596 -8,9962 -9,1496 -9,0006 -8,6102 -8,0932 -7,5600 -7,0694 -6,6262 -6,2115 -5,8157 -5,4517 -5,1508 -4,9530 -4,8913 -4,9699 -5,1498 -5,3613 -5,5385 -5,6383 -5,6357 -5,5179 -5,2883 -4,9705 -4,6031 -4,2276 -3,8764 -3,5680 -3,3144 -3,1342 -3,0450 -3,0405 -3,0896 -3,1665 -3,2698 -3,4067 -3,5653 -3,7132 -3,8208 -3,8783 -3,8908 -3,8618 -3,7790 -3,6161 -3,3508 -2,9789 -2,5088 -1,9543 -1,3393 -0,7047 -0,0963 0,4693 1,0159 1,5722 2,1268 2,6304 3,0336 3,3057 3,4238 3,3645 3,1176 2,7139 2,2392 1,8033 1,4878 1,3192 1,2708 1,2796 1,2823 1,2570 1,2289 1,2356 1,2873 1,3528 1,3770 1,3237 1,2104 1,1015 1,0722 1,1764 1,4365 1,8457 2,3731 2,9614 3,5229 3,9627 4,2296 4,3393 4,3448 4,2987 4,2426 4,2059 4,1896 4,1537 4,0345 3,7751 3,3558 2,8170 2,2514 1,7583 1,3985 1,1801 1,0693 1,0166 0,9929 1,0126 1,1150 1,3160 1,5828 1,8554 2,0783 2,2130 2,2413 2,1722 2,0374 1,8749 1,7117 1,5573 1,4107 1,2769 1,1687 1,0885 1,0253 0,9708 0,9271 0,9047 0,9255 1,0160 1,1958 1,4751 1,8449 2,2681 2,6984 3,1015 3,4545 3,7430 3,9659 4,1328 4,2549 4,3349 4,3628 4,3228 4,2068 4,0196 3,7751 3,5001 3,2473 3,0831 3,0368 3,0665 3,0883 3,0324 2,8762 2,6526 2,4339 2,2790 2,1885 2,1198 2,0361 1,9281 1,8066 1,6951 1,6261 1,6326 1,7277 1,8839 2,0398 2,1336 2,1337 2,0398 1,8633 1,6148 1,3149 1,0033 0,7252 0,5136 0,3867 0,3415 0,3459 0,3530 0,3302 0,2730 0,1982 0,1339 0,1155 0,1721 0,3114 0,5160 0,7506 0,9757 1,1719 1,3591 1,5794 1,8507 2,1355 2,3536 2,4240 2,3043 2,0149 1,6389 1,2877 1,0544 0,9880 1,0878 1,3151 1,6237 1,9773 2,3387 2,6598 2,8966 3,0302 3,0699 3,0406 2,9671 2,8645 2,7355 2,5687 2,3489 2,0863 1,8297 1,6390 1,5490 1,5586 1,6498 1,8171 2,0736 2,4246 2,8381 3,2474 3,5801 3,7903 3,8686 3,8251 3,6725 3,4313 3,1402 2,8474 2,5835 2,3424 2,0900 1,7881 1,4154 0,9807 0,5249 0,1074 -0,2121 -0,3953 -0,4431 -0,3976 -0,3200 -0,2565 -0,2158 -0,1731 -0,1022 0,0039 0,1355 0,2642 0,3375 0,2905 0,0704 -0,3318 -0,8489 -1,3468 -1,6921 -1,8214 -1,7486 -1,5245 -1,1985 -0,8097 -0,3965 0,0004 0,3469 0,6237 0,8270 0,9541 0,9855 0,8918 0,6587 0,2960 -0,1663 -0,6793 -1,1860 -1,6376 -1,9987 -2,2538 -2,4195 -2,5447 -2,6953 -2,9403 -3,3304 -3,8622 -4,4562 -4,9778 -5,2978 -5,3552 -5,1786 -4,8532 -4,4670 -4,0701 -3,6657 -3,2419 -2,8242 -2,4909 -2,3254 -2,3528 -2,5166 -2,7179 -2,8853 -3,0161 -3,1519 -3,3267 -3,5395 -3,7605 -3,9566 -4,1152 -4,2388 -4,3190 -4,3322 -4,2584 -4,0892 -3,8297 -3,5047 -3,1499 -2,8028 -2,5129 -2,3382 -2,3000 -2,3487 -2,3935 -2,3725
F7    0,0245 0,0307 0,0605 0,1663 0,3860 0,7160 1,1056 1,4746 1,7386 1,8330 1,7357 1,4790 1,1403 0,8106 0,5548 0,3958 0,3305 0,3570 0,4866 0,7266 1,0472 1,3714 1,6134 1,7235 1,6931 1,5339 1,2653 0,9133 0,5157 0,1250 -0,2088 -0,4670 -0,6730 -0,8812 -1,1523 -1,5120 -1,9124 -2,2417 -2,3885 -2,3113 -2,0562 -1,7211 -1,4071 -1,1881 -1,0908 -1,0939 -1,1556 -1,2400 -1,3134 -1,3400 -1,2960 -1,1833 -1,0220 -0,8364 -0,6454 -0,4578 -0,2743 -0,0926 0,0928 0,2844 0,4566 0,5450 0,4884 0,2785 -0,0406 -0,4078 -0,7706 -1,0956 -1,3721 -1,6055 -1,8093 -2,0019 -2,1996 -2,4085 -2,6315 -2,8736 -3,1248 -3,3495 -3,5031 -3,5553 -3,5018 -3,3760 -3,2446 -3,1718 -3,1786 -3,2391 -3,3189 -3,4185 -3,5709 -3,7931 -4,0434 -4,2391 -4,3203 -4,2873 -4,1803 -4,0472 -3,9322 -3,8722 -3,8808 -3,9371 -4,0029 -4,0546 -4,0977 -4,1528 -4,2280 -4,3060 -4,3566 -4,3603 -4,3158 -4,2277 -4,0987 -3,9342 -3,7414 -3,5172 -3,2431 -2,8916 -2,4436 -1,9175 -1,3798 -0,9050 -0,5190 -0,1863 0,1453 0,4909 0,8224 1,0999 1,2921 1,3849 1,3915 1,3465 1,2745 1,1673 0,9994 0,7600 0,4626 0,1289 -0,2224 -0,5667 -0,8660 -1,0782 -1,1769 -1,1656 -1,0758 -0,9516 -0,8398 -0,7847 -0,8150 -0,9263 -1,0752 -1,1990 -1,2488 -1,2148 -1,1283 -1,0424 -0,9974 -0,9914 -0,9802 -0,9118 -0,7568 -0,5095 -0,1770 0,2144 0,6022 0,9000 1,0403 1,0083 0,8380 0,5844 0,3023 0,0409 -0,1678 -0,3288 -0,4790 -0,6537 -0,8612 -1,0844 -1,2924 -1,4441 -1,4949 -1,4180 -1,2265 -0,9681 -0,6988 -0,4671 -0,3175 -0,2913 -0,4115 -0,6658 -1,0020 -1,3463 -1,6478 -1,9106 -2,1744 -2,4669 -2,7875 -3,1248 -3,4724 -3,8253 -4,1746 -4,5055 -4,7955 -5,0185 -5,1558 -5,2047 -5,1812 -5,1094 -5,0001 -4,8425 -4,6248 -4,3623 -4,1002 -3,8894 -3,7680 -3,7604 -3,8824 -4,1414 -4,5360 -5,0522 -5,6537 -6,2652 -6,7732 -7,0782 -7,1572 -7,0725 -6,9316 -6,8363 -6,8356 -6,9099 -7,0006 -7,0463 -7,0022 -6,8530 -6,6205 -6,3585 -6,1384 -6,0279 -6,0602 -6,2068 -6,3852 -6,5027 -6,5076 -6,4054 -6,2366 -6,0464 -5,8701 -5,7351 -5,6642 -5,6718 -5,7593 -5,9121 -6,1044 -6,3065 -6,4895 -6,6269 -6,6918 -6,6603 -6,5306 -6,3396 -6,1481 -6,0042 -5,9229 -5,8911 -5,8808 -5,8695 -5,8660 -5,9164 -6,0720 -6,3481 -6,7086 -7,0767 -7,3587 -7,4757 -7,3904 -7,1173 -6,7202 -6,2924 -5,9179 -5,6316 -5,4083 -5,1946 -4,9532 -4,6878 -4,4401 -4,2713 -4,2379 -4,3645 -4,6218 -4,9305 -5,1965 -5,3528 -5,3787 -5,2940 -5,1411 -4,9685 -4,8137 -4,6905 -4,5943 -4,5196 -4,4739 -4,4756 -4,5358 -4,6363 -4,7374 -4,8102 -4,8574 -4,8977 -4,9333 -4,9457 -4,9254 -4,8908 -4,8688 -4,8613 -4,8315 -4,7199 -4,4737 -4,0654 -3,4955 -2,7881 -1,9916 -1,1805 -0,4341 0,2030 0,7374 1,1994 1,6037 1,9392 2,1855 2,3252 2,3413 2,2117 1,9208 1,4920 1,0019 0,5475 0,1991 -0,0212 -0,1373 -0,2076 -0,2964 -0,4344 -0,5981 -0,7293 -0,7822 -0,7669 -0,7485 -0,7946 -0,9180 -1,0667 -1,1603 -1,1299 -0,9390 -0,5919 -0,1334 0,3577 0,7824 1,0546 1,1487 1,1137 1,0395 1,0093 1,0722 1,2346 1,4589 1,6718 1,7896 1,7503 1,5483 1,2509 0,9663 0,7774 0,7008 0,6974 0,7095 0,6956 0,6533 0,6223 0,6592 0,7940 1,0072 1,2470 1,4576 1,5876 1,6000 1,4902 1,2903 1,0519 0,8257 0,6483 0,5381 0,4957 0,4969 0,4884 0,4157 0,2595 0,0395 -0,2050 -0,4295 -0,5992 -0,6913 -0,6881 -0,5876 -0,4186 -0,2233 -0,0298 0,1519 0,3196 0,4735 0,6172 0,7600 0,9088 1,0508 1,1557 1,1957 1,1595 1,0549 0,9147 0,8053 0,8060 0,9514 1,1985 1,4579 1,6485 1,7301 1,7154 1,6621 1,6284 1,6292 1,6438 1,6531 1,6557 1,6576 1,6609 1,6650 1,6735 1,6921 1,7180 1,7370 1,7302 1,6816 1,5759 1,3948 1,1249 0,7739 0,3782 -0,0091 -0,3408 -0,5919 -0,7764 -0,9508 -1,1830 -1,5037 -1,8850 -2,2623 -2,5702 -2,7659 -2,8371 -2,8002 -2,6908 -2,5524 -2,4280 -2,3404 -2,2746 -2,1949 -2,0847 -1,9709 -1,9135 -1,9717 -2,1681 -2,4627 -2,7581 -2,9458 -2,9601 -2,7939 -2,4845 -2,0861 -1,6431 -1,1826 -0,7255 -0,2931 0,0945 0,4228 0,6865 0,8943 1,0644 1,2082 1,3223 1,3919 1,4013 1,3489 1,2564 1,1559 1,0688 1,0019 0,9601 0,9570 1,0099 1,1190 1,2501 1,3456 1,3544 1,2564 1,0607 0,7901 0,4705 0,1282 -0,2090 -0,5159 -0,7857 -1,0402 -1,3182 -1,6537 -2,0590 -2,5158 -2,9743 -3,3679 -3,6369 -3,7486 -3,7082 -3,5578 -3,3626 -3,1826 -3,0429 -2,9294 -2,8161 -2,6901 -2,5505 -2,4078 -2,2878 -2,2276 -2,2613 -2,3963 -2,5852 -2,7268 -2,7166 -2,5043 -2,1069 -1,5791 -0,9764 -0,3419 0,2801 0,8357 1,2711 1,5503 1,6675 1,6385 1,4751 1,1784 0,7549 0,2253 -0,3797 -1,0249 -1,6786 -2,3187 -2,9250 -3,4760 -3,9614 -4,3937 -4,8081 -5,2522 -5,7652 -6,3486 -6,9503 -7,4826 -7,8647 -8,0589 -8,0803 -7,9791 -7,8117 -7,6171 -7,4059 -7,1757 -6,9436 -6,7586 -6,6761 -6,7139 -6,8311 -6,9547 -7,0364 -7,0834 -7,1332 -7,2103 -7,3082 -7,3984 -7,4465 -7,4293 -7,3396 -7,1780 -6,9483 -6,6611 -6,3284 -5,9575 -5,5581 -5,1481 -4,7569 -4,4300 -4,2149 -4,1205 -4,0942 -4,0545 -3,9487
