Fp1   -2,9945 -3,6953 -4,4983 -5,0567 -5,1436 -4,7576 -4,0951 -3,4331 -2,9938 -2,8538 -2,9396 -3,1084 -3,2474 -3,3045 -3,2602 -3,0953 -2,7572 -2,1486 -1,1710 0,1889 1,7633 3,1770 3,9601 3,7501 2,4591 0,3174 -2,2254 -4,6490 -6,4598 -7,2560 -6,8175 -5,1774 -2,6132 0,4263 3,4377 5,9910 7,7966 8,7245 8,8270 8,3259 7,5248 6,6938 5,9799 5,3726 4,7569 4,0204 3,1133 2,0589 0,9798 0,1066 -0,3092 -0,1465 0,5017 1,3865 2,2378 2,8617 3,1465 3,0334 2,5378 1,7826 0,9616 0,2665 -0,1545 -0,2110 0,1259 0,8502 1,9502 3,3709 4,9474 6,4200 7,5325 8,1382 8,2552 8,0236 7,5899 7,0334 6,3858 5,6871 5,0012 4,3521 3,6612 2,8109 1,7820 0,6939 -0,2819 -1,0058 -1,3964 -1,4441 -1,2197 -0,8403 -0,3998 0,0777 0,6222 1,2657 2,0011 2,7696 3,4690 3,9650 4,1083 3,7832 2,9673 1,7520 0,3157 -1,1211 -2,3265 -3,1057 -3,3856 -3,2554 -2,9221 -2,6243 -2,5266 -2,6310 -2,7834 -2,7831 -2,4997 -1,9385 -1,2401 -0,6004 -0,1736 -0,0344 -0,1862 -0,5897 -1,1925 -1,9263 -2,6750 -3,2718 -3,5736 -3,5752 -3,4476 -3,4419 -3,7185 -4,2235 -4,6852 -4,7105 -3,9605 -2,3735 -0,2842 1,7122 3,0875 3,6326 3,4649 2,8781 2,1768 1,5454 1,0014 0,4594 -0,1702 -0,9296 -1,8094 -2,7502 -3,6270 -4,2511 -4,4362 -4,0913 -3,2677 -2,1405 -0,9512 0,0740 0,7968 1,1921 1,3343 1,3398 1,2761 1,1147 0,7678 0,1830 -0,5628 -1,2698 -1,7591 -2,0338 -2,3295 -2,9959 -4,2364 -5,8836 -7,4315 -8,3116 -8,1911 -7,1211 -5,4854 -3,7917 -2,4541 -1,7018 -1,6106 -2,1595 -3,2652 -4,7814 -6,4502 -7,8855 -8,7010 -8,7266 -8,1207 -7,2788 -6,6130 -6,3646 -6,5341 -6,9342 -7,3344 -7,5925 -7,6932 -7,7414 -7,9176 -8,3522 -9,0210 -9,7633 -10,3676 -10,6492 -10,4996 -9,9131 -9,0180 -8,0867 -7,4388 -7,2577 -7,4960 -7,9374 -8,3193 -8,4406 -8,2302 -7,7558 -7,1846 -6,6828 -6,2730 -5,8055 -5,1199 -4,2393 -3,4157 -2,9910 -3,1947 -4,0459 -5,4000 -7,0424 -8,7340 -10,1952 -11,0930 -11,1156 -10,1241 -8,2682 -5,9651 -3,7349 -1,9981 -0,9748 -0,6920 -0,9975 -1,5836 -2,0962 -2,2941 -2,1369 -1,7577 -1,3689 -1,1402 -1,0863 -1,0713 -0,9648 -0,8088 -0,8357 -1,3222 -2,4024 -3,9660 -5,6821 -7,1006 -7,7903 -7,4739 -6,1152 -3,9382 -1,3703 1,0924 3,0364 4,2084 4,5032 3,9434 2,6972 1,0830 -0,5240 -1,8655 -2,9288 -3,9250 -5,1052 -6,5276 -7,9500 -8,9328 -9,0873 -8,3011 -6,7646 -4,7869 -2,6148 -0,4324 1,5448 3,0720 3,9900 4,2951 4,0822 3,4524 2,5087 1,4110 0,3649 -0,4503 -0,9225 -0,9997 -0,6892 -0,0905 0,5930 1,1174 1,2991 1,0592 0,3934 -0,6414 -1,8812 -3,0528 -3,8748 -4,1856 -4,0096 -3,5331 -3,0002 -2,5752 -2,2594 -1,9358 -1,4946 -0,8997 -0,1571 0,7196 1,6578 2,4554 2,8312 2,5912 1,7660 0,6162 -0,4947 -1,2913 -1,7303 -1,9759 -2,2006 -2,4248 -2,5597 -2,5386 -2,3442 -1,9584 -1,3797 -0,6996 -0,0993 0,2428 0,2343 -0,0916 -0,5809 -1,0189 -1,2208 -1,1015 -0,6810 -0,0174 0,8566 1,9004 2,9654 3,7768 4,0695 3,7456 2,9012 1,7412 0,4846 -0,6978 -1,7079 -2,5017 -3,0643 -3,4154 -3,6286 -3,7983 -3,9363 -3,9143 -3,5503 -2,7645 -1,6829 -0,6161 0,0930 0,2543 -0,1101 -0,8396 -1,7243 -2,5576 -3,1849 -3,5483 -3,6699 -3,5582 -3,1550 -2,4280 -1,5041 -0,6656 -0,2104 -0,3129 -0,9614 -1,9598 -2,9980 -3,8124 -4,3287 -4,6171 -4,7330 -4,6637 -4,3988 -3,9890 -3,5320 -3,1113 -2,7561 -2,4775 -2,3046 -2,2474 -2,2803 -2,4039 -2,6642 -3,0676 -3,5171 -3,8555 -3,9479 -3,7241 -3,1842 -2,3887 -1,4409 -0,4743 0,3728 0,9864 1,2681 1,1266 0,5484 -0,3009 -1,0838 -1,4387 -1,1780 -0,4113 0,5153 1,2366 1,5603 1,4855 1,0595 0,2529 -0,9813 -2,5513 -4,1739 -5,4541 -6,0130 -5,6326 -4,3754 -2,5734 -0,6613 1,0013 2,1800 2,7531 2,7402 2,3087 1,6644 0,9083 0,0199 -1,0420 -2,2658 -3,5567 -4,6805 -5,2434 -4,8405 -3,3241 -0,9385 1,8195 4,4538 6,6104 8,0570 8,6219 8,2113 6,8882 4,9071 2,6537 0,5358 -1,1147 -2,1203 -2,4939 -2,4013 -2,0659 -1,6407 -1,1066 -0,3221 0,7833 2,0795 3,3223 4,3565 5,1960 5,8975 6,4002 6,5214 6,0781 5,0009 3,3780 1,4129 -0,6679 -2,6508 -4,2964 -5,3634 -5,7434 -5,5426 -4,9981 -4,3432 -3,7415 -3,2706 -2,9469 -2,7846 -2,8245 -3,1031 -3,5987 -4,1975 -4,7173 -4,9967 -4,9747 -4,6998 -4,2792 -3,7972 -3,2515 -2,5689 -1,6861 -0,6072 0,6053 1,8543 3,0082 3,9355 4,5950 5,0846 5,5566 6,0737 6,5602 6,8834 6,9478 6,7169 6,1798 5,3167 4,0931 2,5107 0,6798 -1,1664 -2,7345 -3,7570 -4,0702 -3,6504 -2,5863 -1,0613 0,6145 2,0328 2,8291 2,8344 2,1099 0,8361 -0,8106 -2,6572 -4,4777 -6,0255 -7,1511 -7,8595 -8,2397 -8,3706 -8,3019 -8,0768 -7,7476 -7,3722 -7,0073 -6,7231 -6,6135 -6,7514 -7,1196 -7,6140 -8,1126 -8,5246 -8,7972 -8,9258 -8,9605 -8,9662 -8,9513 -8,8546 -8,6246 -8,2989 -7,9845 -7,7620 -7,6180 -7,4581 -7,1779 -6,7533 -6,3126 -6,1359 -6,5434 -7,7158 -9,5684 -11,7441 -13,7095 -14,9230 -15,0323 -14,0256 -12,2561 -10,2812 -8,5647 -7,2496 -6,2004 -5,2405 -4,3444 -3,6583 -3,3878 -3,6556 -4,4063 -5,4149 -6,4086 -7,2134 -7,8003 -8,2130
Fz    -1,4145 -1,4377 -1,4916 -1,5780 -1,6788 -1,7754 -1,8733 -1,9957 -2,1562 -2,3427 -2,5253 -2,6760 -2,7820 -2,8416 -2,8605 -2,8496 -2,8193 -2,7862 -2,7836 -2,8330 -2,9004 -2,9022 -2,7594 -2,4508 -2,0123 -1,4924 -0,9291 -0,3771 0,0918 0,4494 0,7471 1,0656 1,4385 1,8270 2,1566 2,3776 2,4990 2,5816 2,7069 2,9405 3,2905 3,6848 4,0072 4,1776 4,2045 4,1658 4,1451 4,1783 4,2516 4,3373 4,4139 4,4641 4,4732 4,4317 4,3396 4,2208 4,1229 4,0744 4,0348 3,9077 3,6253 3,2174 2,8013 2,5133 2,4350 2,5656 2,8588 3,2698 3,7554 4,2592 4,7172 5,0752 5,3089 5,4255 5,4442 5,3806 5,2361 5,0078 4,7354 4,5141 4,4346 4,5122 4,6694 4,7698 4,6796 4,3280 3,7467 3,0689 2,4833 2,1602 2,1815 2,5032 2,9704 3,3820 3,5710 3,4530 3,0307 2,3703 1,5763 0,7896 0,1765 -0,1301 -0,1000 0,1770 0,5333 0,7920 0,8316 0,6195 0,2087 -0,2960 -0,7958 -1,2353 -1,5785 -1,7827 -1,8270 -1,7485 -1,6341 -1,5786 -1,6355 -1,7959 -2,0107 -2,2198 -2,3618 -2,3748 -2,2194 -1,9243 -1,5855 -1,2904 -1,0621 -0,8863 -0,7480 -0,6243 -0,4757 -0,2737 -0,0324 0,2028 0,3825 0,4674 0,4580 0,4026 0,3350 0,2341 0,0707 -0,1368 -0,3186 -0,3928 -0,3237 -0,1367 0,1414 0,5418 1,1152 1,8325 2,5617 3,1469 3,4875 3,5611 3,3900 2,9952 2,4021 1,6844 0,9568 0,3164 -0,1914 -0,5579 -0,7950 -0,9320 -0,9925 -0,9659 -0,8173 -0,5109 -0,0298 0,5910 1,2710 1,9339 2,5141 2,9371 3,1510 3,1568 2,9890 2,6826 2,2600 1,7458 1,1921 0,6770 0,2774 0,0365 -0,0701 -0,1484 -0,3377 -0,7011 -1,1481 -1,4860 -1,5601 -1,3582 -1,0076 -0,6957 -0,5793 -0,7269 -1,1272 -1,7335 -2,4828 -3,2925 -4,0631 -4,6862 -5,0683 -5,1600 -4,9792 -4,6198 -4,2212 -3,8999 -3,7068 -3,6400 -3,6792 -3,8041 -3,9970 -4,2318 -4,4568 -4,6041 -4,6307 -4,5338 -4,3230 -4,0076 -3,6124 -3,1912 -2,8091 -2,4908 -2,2009 -1,9053 -1,6220 -1,3826 -1,1808 -0,9862 -0,7770 -0,5461 -0,3006 -0,0652 0,1291 0,2638 0,3368 0,3549 0,3323 0,2970 0,2882 0,3345 0,4294 0,5352 0,6117 0,6415 0,6414 0,6632 0,7682 0,9867 1,3016 1,6566 1,9706 2,1659 2,2012 2,0839 1,8564 1,5749 1,2939 1,0609 0,9141 0,8733 0,9349 1,0759 1,2616 1,4553 1,6275 1,7596 1,8430 1,8793 1,8849 1,8926 1,9453 2,0759 2,2771 2,4883 2,6181 2,5839 2,3500 1,9565 1,5157 1,1600 0,9805 1,0034 1,1956 1,4789 1,7624 1,9838 2,1278 2,2173 2,2918 2,3785 2,4725 2,5384 2,5209 2,3702 2,0821 1,7081 1,3128 0,9391 0,6275 0,4431 0,4486 0,6510 0,9858 1,3462 1,6258 1,7557 1,7309 1,6140 1,4974 1,4377 1,4129 1,3417 1,1500 0,8298 0,4448 0,0844 -0,1874 -0,3426 -0,3718 -0,2699 -0,0366 0,3122 0,7363 1,1816 1,5988 1,9505 2,2138 2,3940 2,5308 2,6773 2,8606 3,0433 3,1111 2,9326 2,4654 1,8026 1,1197 0,5823 0,2833 0,2330 0,3856 0,6672 0,9931 1,2907 1,5261 1,7097 1,8765 2,0611 2,2750 2,4926 2,6688 2,7800 2,8401 2,8718 2,8629 2,7578 2,5015 2,0920 1,5980 1,1394 0,8433 0,7826 0,9305 1,1720 1,3688 1,4365 1,3860 1,2962 1,2452 1,2664 1,3530 1,4666 1,5334 1,4629 1,2010 0,7697 0,2526 -0,2538 -0,6634 -0,8994 -0,9132 -0,7149 -0,3691 0,0422 0,4507 0,8091 1,0865 1,2707 1,3643 1,3650 1,2567 1,0315 0,7221 0,4043 0,1623 0,0502 0,0750 0,2021 0,3775 0,5625 0,7534 0,9684 1,2189 1,4987 1,7919 2,0817 2,3489 2,5649 2,7027 2,7670 2,8075 2,8864 3,0433 3,2916 3,6196 3,9761 4,2745 4,4303 4,4077 4,2480 4,0501 3,8988 3,8077 3,7300 3,6087 3,4145 3,1632 2,9097 2,7194 2,6310 2,6287 2,6524 2,6470 2,6157 2,6332 2,7933 3,1255 3,5567 3,9555 4,2138 4,2909 4,2055 4,0096 3,7682 3,5504 3,4150 3,3880 3,4627 3,6258 3,8796 4,2365 4,6869 5,1759 5,6214 5,9526 6,1365 6,1840 6,1440 6,0910 6,1013 6,2198 6,4347 6,6874 6,9124 7,0735 7,1703 7,2119 7,1809 7,0297 6,7160 6,2383 5,6516 5,0538 4,5365 4,1400 3,8532 3,6355 3,4430 3,2578 3,0992 3,0016 2,9757 2,9799 2,9320 2,7659 2,4827 2,1471 1,8392 1,6166 1,5072 1,5094 1,5908 1,6982 1,7791 1,8060 1,7913 1,7785 1,8175 1,9496 2,2074 2,6111 3,1567 3,8007 4,4593 5,0349 5,4549 5,6948 5,7856 5,7996 5,8123 5,8635 5,9476 6,0301 6,0709 6,0427 5,9412 5,7925 5,6524 5,5922 5,6632 5,8626 6,1307 6,3792 6,5191 6,4836 6,2571 5,8951 5,5034 5,1819 4,9620 4,7896 4,5782 4,2749 3,8785 3,4205 2,9381 2,4628 2,0253 1,6485 1,3210 0,9983 0,6432 0,2616 -0,1041 -0,4095 -0,6409 -0,8291 -1,0279 -1,2612 -1,4973 -1,6823 -1,7870 -1,8135 -1,7730 -1,6661 -1,4780 -1,1877 -0,8033 -0,4058 -0,1389 -0,1288 -0,4089 -0,9128 -1,5134 -2,0736 -2,4886 -2,7146 -2,7839 -2,8014 -2,8936 -3,1291 -3,4732 -3,8148 -4,0297 -4,0301 -3,7859 -3,3343 -2,7812 -2,2783 -1,9766 -1,9723 -2,2739 -2,8014 -3,4134 -3,9540 -4,2961 -4,3612 -4,1267 -3,6320 -2,9686 -2,2477 -1,5623 -0,9744 -0,5272 -0,2561 -0,1797
F3    -0,8101 -0,5107 -0,2956 -0,2726 -0,4620 -0,8147 -1,2463 -1,6532 -1,9398 -2,0567 -2,0113 -1,8540 -1,6708 -1,5658 -1,6227 -1,8891 -2,3966 -3,1655 -4,1657 -5,2660 -6,2275 -6,7639 -6,6471 -5,8037 -4,3332 -2,4464 -0,4088 1,4852 2,9734 3,9185 4,3382 4,3397 4,0272 3,4600 2,6932 1,8417 1,0775 0,5608 0,3836 0,5592 1,0246 1,6485 2,2907 2,8900 3,4807 4,1075 4,7362 5,2586 5,5721 5,6324 5,4366 5,0042 4,3912 3,7032 3,0786 2,6528 2,5108 2,6450 2,9513 3,2739 3,4792 3,5336 3,5341 3,6344 3,9003 4,2419 4,4946 4,5513 4,4237 4,2070 3,9951 3,8385 3,7848 3,9003 4,2089 4,6192 4,9357 4,9753 4,7052 4,2729 3,8985 3,7308 3,7750 3,9228 4,0457 4,0809 4,0487 4,0035 3,9798 3,9658 3,8995 3,7011 3,3379 2,8529 2,3215 1,7914 1,2825 0,8293 0,4897 0,3215 0,3623 0,6003 0,9476 1,2538 1,3603 1,1637 0,6580 -0,0694 -0,8838 -1,6703 -2,3722 -2,9427 -3,2825 -3,3004 -3,0315 -2,6440 -2,3312 -2,2124 -2,3007 -2,5236 -2,7472 -2,7962 -2,5072 -1,8025 -0,7472 0,4478 1,5067 2,2167 2,5193 2,5149 2,3841 2,2660 2,1721 1,9839 1,5268 0,6866 -0,4917 -1,7902 -2,8900 -3,5095 -3,5472 -3,1096 -2,4046 -1,6079 -0,8057 -0,0319 0,6991 1,4160 2,1810 3,0144 3,8548 4,5918 5,1050 5,2834 5,0627 4,4718 3,6106 2,5709 1,3981 0,1369 -1,1178 -2,2543 -3,1985 -3,8887 -4,2335 -4,1423 -3,5828 -2,6109 -1,3665 -0,0293 1,2381 2,3289 3,2081 3,8776 4,2945 4,3572 3,9945 3,2331 2,2005 1,1046 0,1693 -0,4534 -0,7019 -0,5730 -0,1184 0,5205 1,0936 1,3100 1,0086 0,3042 -0,4568 -0,9022 -0,8239 -0,2563 0,5444 1,2029 1,3800 0,9136 -0,1264 -1,4848 -2,8282 -3,8619 -4,4116 -4,4585 -4,1448 -3,7323 -3,5042 -3,6478 -4,1563 -4,8200 -5,3622 -5,6237 -5,6382 -5,5610 -5,5475 -5,6696 -5,8795 -6,0441 -6,0566 -5,9380 -5,8280 -5,8779 -6,1383 -6,5180 -6,8195 -6,8153 -6,3563 -5,4562 -4,2563 -2,9006 -1,4871 -0,1291 1,0053 1,7414 1,9696 1,6872 1,0037 0,1171 -0,7283 -1,3111 -1,5094 -1,3312 -0,8847 -0,3258 0,2024 0,6206 0,9093 1,0646 1,0826 0,9817 0,8062 0,6138 0,4900 0,5589 0,9363 1,6461 2,5627 3,4325 3,9738 3,9809 3,3776 2,2298 0,7415 -0,7859 -2,0547 -2,8862 -3,2583 -3,2476 -2,9514 -2,4439 -1,7718 -0,9702 -0,0655 0,9551 2,1623 3,6156 5,2281 6,7050 7,6420 7,7040 6,7687 4,9849 2,7148 0,3897 -1,6203 -3,0681 -3,8442 -3,9617 -3,5167 -2,6454 -1,4969 -0,2201 1,0306 2,0802 2,7466 2,9049 2,5631 1,8855 1,1329 0,5372 0,1936 0,0580 0,0487 0,1425 0,3610 0,6837 1,0214 1,2770 1,4081 1,4475 1,4982 1,6908 2,0915 2,6207 3,0670 3,1821 2,7888 1,8605 0,5401 -0,9015 -2,1363 -2,8702 -2,9505 -2,4351 -1,5584 -0,6072 0,2136 0,8503 1,3715 1,8722 2,3955 2,9267 3,4293 3,8621 4,1559 4,1919 3,8475 3,1080 2,1396 1,2187 0,5536 0,1611 -0,0942 -0,3662 -0,7337 -1,1915 -1,6733 -2,0764 -2,2943 -2,2444 -1,8765 -1,1855 -0,2448 0,7834 1,7091 2,4062 2,8569 3,1142 3,2101 3,1032 2,7334 2,1220 1,4008 0,7493 0,3042 0,0962 0,0412 0,0062 -0,1036 -0,3065 -0,5416 -0,6780 -0,5699 -0,1443 0,5507 1,3517 2,0180 2,3028 2,0426 1,2276 0,0165 -1,3230 -2,5170 -3,3662 -3,7755 -3,7469 -3,3516 -2,6977 -1,9052 -1,0908 -0,3574 0,2137 0,5597 0,6294 0,3907 -0,1467 -0,9098 -1,7601 -2,5200 -3,0123 -3,1078 -2,7693 -2,0582 -1,0927 -0,0046 1,0738 2,0140 2,7068 3,0831 3,1367 2,9306 2,5520 2,0520 1,4546 0,8285 0,3254 0,1277 0,3534 0,9833 1,8442 2,6694 3,2201 3,3962 3,2606 2,9592 2,6109 2,2717 1,9838 1,8143 1,8374 2,0916 2,5358 3,0164 3,2960 3,1631 2,5439 1,5362 0,3610 -0,7189 -1,4784 -1,8001 -1,7197 -1,3862 -0,9305 -0,3709 0,3549 1,2923 2,4108 3,6035 4,6958 5,4497 5,6251 5,1176 4,0583 2,7598 1,5560 0,6852 0,2730 0,3483 0,8492 1,6433 2,5796 3,5362 4,4175 5,1330 5,6194 5,9027 6,1088 6,3746 6,7290 7,0443 7,1030 6,7371 5,9301 4,7999 3,5139 2,2302 1,0769 0,1415 -0,5299 -0,9248 -1,0613 -0,9790 -0,7151 -0,2905 0,2584 0,8245 1,2349 1,3438 1,1233 0,6626 0,0987 -0,4425 -0,8651 -1,1099 -1,1618 -1,0452 -0,8029 -0,4860 -0,1631 0,0850 0,2141 0,2691 0,3825 0,7003 1,2808 2,0333 2,7375 3,1505 3,1435 2,7630 2,1895 1,6482 1,3162 1,2590 1,4337 1,7474 2,1088 2,4338 2,6448 2,7049 2,6597 2,6326 2,7597 3,1089 3,6440 4,2401 4,7226 4,9224 4,7447 4,2054 3,4023 2,4581 1,4883 0,5902 -0,1659 -0,7403 -1,1122 -1,2662 -1,1966 -0,9227 -0,4980 -0,0262 0,3297 0,3977 0,0923 -0,5427 -1,3824 -2,3011 -3,2251 -4,1464 -5,0819 -5,9897 -6,7314 -7,1351 -7,0960 -6,6232 -5,8134 -4,7944 -3,6898 -2,6119 -1,6640 -0,9513 -0,5855 -0,6623 -1,2221 -2,2062 -3,4388 -4,6692 -5,6614 -6,2809 -6,5503 -6,6420 -6,7703 -7,0215 -7,2677 -7,2530 -6,7710 -5,7925 -4,4966 -3,2320 -2,4104 -2,3438 -3,1032 -4,4910 -6,1477 -7,7250 -9,0005 -9,8840 -10,3616 -10,4332 -10,0805 -9,2889 -8,0991 -6,6292 -5,0510 -3,5541 -2,3174 -1,4771 -1,0979
F7    -1,3764 -1,6106 -1,8317 -1,9605 -1,9778 -1,9186 -1,8441 -1,8139 -1,8596 -1,9688 -2,0947 -2,1922 -2,2459 -2,2670 -2,2735 -2,2637 -2,1992 -2,0251 -1,7203 -1,3200 -0,8942 -0,5166 -0,2498 -0,1399 -0,2060 -0,4223 -0,7196 -1,0158 -1,2354 -1,2964 -1,1108 -0,6302 0,1068 0,9801 1,8367 2,5459 3,0317 3,2841 3,3554 3,3342 3,3028 3,2969 3,2923 3,2347 3,0909 2,8756 2,6398 2,4382 2,3050 2,2496 2,2633 2,3219 2,3995 2,4785 2,5422 2,5758 2,5772 2,5420 2,4344 2,2047 1,8501 1,4411 1,0839 0,8674 0,8380 1,0058 1,3726 1,9338 2,6340 3,3520 3,9527 4,3473 4,5179 4,5023 4,3586 4,1461 3,9120 3,6769 3,4427 3,2125 2,9954 2,8025 2,6394 2,4983 2,3576 2,1859 1,9539 1,6632 1,3676 1,1599 1,1253 1,2872 1,5845 1,9003 2,1208 2,1759 2,0431 1,7294 1,2616 0,6991 0,1450 -0,2671 -0,4232 -0,2887 0,0609 0,4629 0,7392 0,7722 0,5379 0,0959 -0,4558 -1,0386 -1,6058 -2,1134 -2,5077 -2,7479 -2,8329 -2,8067 -2,7334 -2,6638 -2,6307 -2,6631 -2,7754 -2,9318 -3,0383 -2,9993 -2,7888 -2,4505 -2,0515 -1,6585 -1,3248 -1,0630 -0,8359 -0,5786 -0,2302 0,2383 0,7957 1,3436 1,7629 1,9852 2,0180 1,9211 1,7749 1,6440 1,5536 1,4991 1,4584 1,3937 1,2889 1,2006 1,2310 1,4284 1,7416 2,0728 2,3406 2,4970 2,5167 2,3970 2,1753 1,9291 1,7350 1,6326 1,6236 1,6799 1,7440 1,7388 1,6046 1,3440 1,0224 0,7273 0,5230 0,4228 0,4088 0,4802 0,6470 0,8924 1,1809 1,4854 1,7812 2,0320 2,1960 2,2395 2,1377 1,8722 1,4585 0,9723 0,5211 0,1730 -0,0848 -0,3059 -0,5080 -0,6516 -0,6921 -0,6372 -0,5534 -0,5264 -0,6219 -0,8744 -1,2965 -1,8925 -2,6477 -3,4976 -4,3195 -4,9678 -5,3244 -5,3298 -4,9959 -4,4185 -3,7732 -3,2615 -3,0193 -3,0566 -3,2754 -3,5394 -3,7437 -3,8513 -3,8808 -3,8665 -3,8313 -3,7733 -3,6572 -3,4380 -3,1066 -2,7161 -2,3654 -2,1348 -2,0292 -2,0083 -2,0612 -2,2082 -2,4368 -2,6684 -2,7858 -2,6904 -2,3522 -1,8249 -1,2136 -0,6230 -0,1277 0,2271 0,4203 0,4643 0,4105 0,3254 0,2488 0,1759 0,0819 -0,0406 -0,1611 -0,2177 -0,1557 0,0277 0,2783 0,5132 0,6526 0,6446 0,4824 0,2041 -0,1161 -0,3750 -0,4606 -0,2955 0,1160 0,6805 1,2603 1,7345 2,0318 2,1238 2,0117 1,7289 1,3465 0,9569 0,6381 0,4203 0,2811 0,1797 0,0988 0,0556 0,0798 0,1856 0,3585 0,5685 0,7998 1,0565 1,3379 1,6224 1,8798 2,0824 2,2054 2,2294 2,1488 1,9842 1,7861 1,6172 1,5290 1,5396 1,6223 1,7160 1,7582 1,7059 1,5367 1,2524 0,8927 0,5277 0,2272 0,0436 0,0103 0,1312 0,3612 0,6097 0,7811 0,8303 0,7891 0,7376 0,7434 0,8194 0,9305 1,0378 1,1300 1,2105 1,2644 1,2591 1,1786 1,0493 0,9284 0,8658 0,8731 0,9212 0,9671 0,9885 1,0021 1,0511 1,1733 1,3774 1,6470 1,9431 2,1952 2,3138 2,2433 2,0042 1,6899 1,4214 1,2922 1,3362 1,5242 1,7847 2,0396 2,2420 2,3831 2,4645 2,4780 2,4200 2,3035 2,1487 1,9787 1,8244 1,7180 1,6727 1,6712 1,6708 1,6223 1,4933 1,2886 1,0596 0,8905 0,8623 1,0087 1,2903 1,6139 1,8851 2,0522 2,1048 2,0506 1,9081 1,7143 1,5163 1,3468 1,2124 1,1113 1,0516 1,0407 1,0594 1,0652 1,0254 0,9372 0,8196 0,7005 0,6114 0,5794 0,6099 0,6820 0,7681 0,8506 0,9201 0,9692 0,9915 0,9895 0,9807 0,9833 0,9928 0,9788 0,9029 0,7421 0,5090 0,2565 0,0605 -0,0093 0,0898 0,3702 0,8107 1,3497 1,8933 2,3492 2,6640 2,8316 2,8724 2,8186 2,7191 2,6362 2,6203 2,6903 2,8309 3,0012 3,1564 3,2686 3,3239 3,3051 3,1822 2,9191 2,5028 1,9774 1,4459 1,0337 0,8376 0,8823 1,1148 1,4445 1,8033 2,1803 2,5929 3,0285 3,4303 3,7330 3,8870 3,8559 3,6229 3,2133 2,6987 2,1778 1,7571 1,5360 1,5818 1,8986 2,4252 3,0728 3,7581 4,4091 4,9573 5,3373 5,5016 5,4386 5,1830 4,8136 4,4351 4,1461 3,9984 3,9729 3,9998 4,0090 3,9752 3,9262 3,9053 3,9272 3,9751 4,0316 4,1044 4,2175 4,3763 4,5432 4,6451 4,6030 4,3672 3,9479 3,4119 2,8464 2,3192 1,8640 1,4878 1,1884 0,9644 0,8142 0,7277 0,6887 0,6825 0,6978 0,7149 0,7031 0,6365 0,5132 0,3665 0,2556 0,2389 0,3450 0,5632 0,8575 1,1990 1,5871 2,0402 2,5668 3,1500 3,7560 4,3531 4,9193 5,4337 5,8708 6,2090 6,4394 6,5621 6,5803 6,5053 6,3616 6,1837 6,0041 5,8390 5,6781 5,4958 5,2795 5,0426 4,8119 4,6110 4,4513 4,3326 4,2494 4,1872 4,1080 3,9579 3,6948 3,3047 2,7982 2,1987 1,5385 0,8712 0,2687 -0,2084 -0,5430 -0,7668 -0,9353 -1,0905 -1,2374 -1,3545 -1,4255 -1,4585 -1,4779 -1,5124 -1,5900 -1,7301 -1,9285 -2,1536 -2,3611 -2,5052 -2,5402 -2,4394 -2,2294 -1,9899 -1,8062 -1,7246 -1,7459 -1,8428 -1,9791 -2,1186 -2,2284 -2,2882 -2,3036 -2,3073 -2,3474 -2,4714 -2,7043 -3,0296 -3,3912 -3,7078 -3,8967 -3,9054 -3,7384 -3,4608 -3,1815 -3,0133 -3,0125 -3,1365 -3,2734 -3,3184 -3,2266 -3,0139 -2,7328 -2,4492 -2,2220 -2,0845 -2,0355 -2,0529 -2,1146 -2,2077
