Fp1   0,8372 -0,3350 -1,5025 -2,5932 -3,5593 -4,3099 -4,6857 -4,5225 -3,7587 -2,4717 -0,8286 0,9451 2,5674 3,7543 4,3211 4,2511 3,6838 2,8122 1,7459 0,4773 -0,9972 -2,5627 -4,0162 -5,1552 -5,8126 -5,8364 -5,0600 -3,3517 -0,7854 2,2237 5,0415 7,1663 8,4980 9,2550 9,6586 9,7407 9,3992 8,5122 6,9543 4,6112 1,5092 -2,0372 -5,4232 -7,9401 -9,0615 -8,6506 -6,9733 -4,5308 -1,8474 0,6434 2,6142 3,8572 4,2949 3,9712 3,0681 1,9075 0,8405 0,0849 -0,3384 -0,5354 -0,6302 -0,7007 -0,7708 -0,8415 -0,9428 -1,1491 -1,5126 -1,9670 -2,3101 -2,2878 -1,7280 -0,6668 0,6105 1,6756 2,1701 2,0035 1,4254 0,8980 0,8028 1,1892 1,7709 2,1658 2,1603 1,7994 1,2970 0,8913 0,7245 0,7503 0,7384 0,4487 -0,1671 -0,9582 -1,7047 -2,1870 -2,2108 -1,7138 -0,8851 -0,1225 0,1886 -0,1039 -0,8760 -1,8399 -2,6669 -3,0841 -2,9674 -2,3825 -1,5379 -0,6857 -0,0122 0,4215 0,6416 0,6877 0,5999 0,4475 0,3046 0,1808 0,0076 -0,2922 -0,7261 -1,2235 -1,7080 -2,1577 -2,5589 -2,7978 -2,6332 -1,8403 -0,4198 1,3278 2,9146 3,8749 3,9614 3,2508 2,1172 1,0660 0,4983 0,5606 1,1427 1,9648 2,6911 3,0559 2,9875 2,6382 2,2476 1,9582 1,8015 1,8516 2,3278 3,5113 5,5435 8,2625 11,1910 13,6682 15,0629 15,0076 13,5664 11,2178 8,6336 6,3891 4,7771 3,7977 3,2657 2,9497 2,6956 2,5044 2,5435 3,0689 4,2973 6,2988 8,9200 11,7728 14,3682 16,3229 17,4432 17,6591 16,9831 15,5374 13,5162 11,1050 8,5142 6,0730 4,1732 3,0671 2,7517 3,0487 3,7478 4,6902 5,7918 7,0112 8,2568 9,3238 9,9602 9,9988 9,4144 8,2909 6,7901 5,1616 3,7045 2,6629 2,1756 2,3118 3,0860 4,4324 6,2306 8,3764 10,7700 13,1844 15,1639 16,1279 15,6442 13,6455 10,4508 6,6587 2,9870 0,0595 -1,7944 -2,5849 -2,5247 -1,8688 -0,8625 0,2712 1,3974 2,5217 3,7228 5,0150 6,2701 7,2399 7,6873 7,5701 7,0833 6,4929 5,9690 5,5721 5,3221 5,2314 5,2697 5,3063 5,1283 4,5672 3,6169 2,4011 1,0495 -0,3324 -1,5770 -2,4270 -2,6510 -2,1851 -1,1636 0,1707 1,5980 3,0060 4,3824 5,7409 7,0412 8,1360 8,7660 8,6525 7,6984 6,1415 4,4872 3,2747 2,8611 3,3120 4,4299 5,9069 7,4697 8,9024 10,0091 10,6217 10,6479 10,0985 9,0835 7,7980 6,4941 5,3868 4,5267 3,8086 3,1477 2,5906 2,2297 2,0867 2,1336 2,3715 2,8109 3,3846 3,9410 4,3039 4,2971 3,7791 2,7392 1,3455 -0,1265 -1,4183 -2,3854 -3,0258 -3,4265 -3,6789 -3,8529 -4,0052 -4,1356 -4,1086 -3,6511 -2,5078 -0,6877 1,4251 3,2348 4,2561 4,3511 3,7176 2,6818 1,4876 0,2174 -1,1365 -2,5157 -3,6982 -4,3447 -4,1469 -3,0050 -1,1279 1,0443 3,0451 4,5719 5,5735 6,1862 6,5714 6,8234 7,0194 7,2935 7,8064 8,6202 9,5913 10,3958 10,7028 10,3775 9,5724 8,6472 7,9617 7,6633 7,5905 7,3625 6,6305 5,3461 3,8352 2,5903 1,9403 1,8794 2,1711 2,5755 2,9841 3,4027 3,8686 4,4110 5,0671 5,9041 7,0043 8,3766 9,8346 10,9905 11,4570 11,1162 10,2136 9,1999 8,4264 7,8915 7,2646 6,1995 4,6450 2,9012 1,4542 0,7477 0,9989 2,1233 3,7903 5,5768 7,1525 8,4068 9,4327 10,3844 11,3230 12,1619 12,7253 12,8564 12,5030 11,7390 10,7270 9,6350 8,5534 7,4814 6,3776 5,2092 3,9911 2,8413 2,0293 1,9086 2,6884 4,2400 6,1475 7,9541 9,3714 10,3073 10,7751 10,8122 10,4643 9,8173 9,0097 8,1625 7,2894 6,3084 5,1873 4,1026 3,4267 3,5219 4,5192 6,2068 8,0786 9,5749 10,3771 10,5189 10,2611 9,9039 9,6760 9,6800 9,8697 10,0843 10,1392 9,9199 9,4249 8,7496 8,0483 7,4942 7,2241 7,2970 7,6989 8,3530 9,1111 9,8002 10,3317 10,7453 11,1257 11,4968 11,8024 11,9635 11,9644 11,9028 11,9338 12,1355 12,4179 12,5651 12,3710 11,7411 10,7076 9,4229 8,1481 7,1816 6,7179 6,7245 6,9464 7,0819 7,0137 6,8799 6,9301 7,3302 8,0574 8,8935 9,5128 9,6802 9,4548 9,1985 9,3736 10,3081 12,0373 14,2189 16,1850 17,2131 16,8901 15,3175 13,0432 10,7794 9,0641 8,0630 7,6360 7,5759 7,7961 8,3550 9,3792 10,9500 12,9918 15,2594 17,4654 19,4136 20,9900 22,0759 22,5320 22,2704 21,3376 19,9345 18,2982 16,4945 14,3668 11,7974 9,0377 6,7083 5,4474 5,5710 6,9891 9,3142 12,0179 14,5437 16,3960 17,2918 17,2834 16,6718 15,7977 14,9196 14,1949 13,6772 13,3038 12,9247 12,3899 11,6339 10,7177 9,8321 9,2319 9,1025 9,4668 10,2158 11,1980 12,2565 13,2094 13,8412 13,9690 13,5631 12,8009 11,9967 11,4673 11,4017 11,8076 12,5822 13,6225 14,8444 16,1273 17,2874 18,1139 18,4334 18,1757 17,4159 16,3419 15,1414 13,9012 12,6117 11,2458 9,8366 8,5261 7,5464 7,0980 7,2053 7,6864 8,2729 8,7616 9,0872 9,3167 9,6007 10,0576 10,6299 11,0426 10,9158 9,9727 8,2408 6,0945 4,0794 2,6579 2,0378 2,1363 2,6624 3,2702 3,7061 3,8944 3,9505 4,1058 4,5515 5,3077 6,2502 7,2351 8,1317 8,7754 9,0206 8,8872 8,5822 8,3132 8,0948 7,7553 7,1033 6,0753 4,7934 3,5499 2,6885 2,4127 2,6886 3,3245 4,1040 4,8450
Fz    -0,9542 -1,5615 -1,9946 -2,2699 -2,4572 -2,6274 -2,7957 -2,9145 -2,9058 -2,6768 -2,1300 -1,2208 -0,0289 1,2448 2,3633 3,1648 3,6236 3,8131 3,8074 3,6226 3,2422 2,6531 1,8477 0,8530 -0,1958 -1,0356 -1,3624 -0,9763 0,0999 1,6092 3,1744 4,4693 5,3409 5,8029 5,9233 5,7159 5,1303 4,1163 2,6745 0,8683 -1,1636 -3,1916 -4,9268 -6,1082 -6,5953 -6,4112 -5,7147 -4,7202 -3,6246 -2,5972 -1,7973 -1,3419 -1,2523 -1,4528 -1,8060 -2,1464 -2,3377 -2,3314 -2,1595 -1,8787 -1,5422 -1,2079 -0,9437 -0,8165 -0,8843 -1,1825 -1,6857 -2,2740 -2,7607 -2,9760 -2,8459 -2,4261 -1,8792 -1,4030 -1,1513 -1,1743 -1,3945 -1,6505 -1,8001 -1,8117 -1,7684 -1,7805 -1,8784 -1,9729 -1,9141 -1,5962 -1,0335 -0,3784 0,1323 0,3046 0,0870 -0,4506 -1,1981 -2,0360 -2,8228 -3,4205 -3,7713 -3,9444 -4,0842 -4,3073 -4,6394 -5,0047 -5,2456 -5,1953 -4,7756 -4,0359 -3,1213 -2,2269 -1,5472 -1,2209 -1,2946 -1,7173 -2,3499 -3,0007 -3,5119 -3,8485 -4,0953 -4,3540 -4,6364 -4,8503 -4,8892 -4,7348 -4,4663 -4,1794 -3,9064 -3,6103 -3,2507 -2,8584 -2,5452 -2,4409 -2,6159 -3,0318 -3,5260 -3,8537 -3,7845 -3,1918 -2,0988 -0,6819 0,7817 2,0241 2,8997 3,4225 3,6899 3,7763 3,7160 3,5670 3,4498 3,5159 3,8944 4,6466 5,7174 6,9022 7,8891 8,3908 8,2878 7,6914 6,8795 6,1511 5,7117 5,6408 5,9007 6,3645 6,8796 7,3428 7,7314 8,0800 8,4431 8,8578 9,3037 9,7091 10,0313 10,3086 10,6014 10,8999 11,1172 11,1506 10,9150 10,3512 9,4747 8,4296 7,4507 6,7422 6,3879 6,3574 6,5624 6,8993 7,2793 7,6407 7,9206 8,0324 7,9094 7,5626 7,0615 6,4615 5,7800 5,0500 4,3675 3,8655 3,6589 3,8034 4,2708 4,9592 5,7573 6,6076 7,5042 8,4264 9,2689 9,8415 9,9480 9,4729 8,4158 6,8920 5,1117 3,3108 1,6650 0,2744 -0,7901 -1,4692 -1,7446 -1,6504 -1,2419 -0,5617 0,3680 1,5202 2,8234 4,1338 5,2606 6,0515 6,4689 6,5914 6,5531 6,4777 6,4433 6,4787 6,5524 6,5523 6,3239 5,7775 4,9542 3,9703 2,9215 1,8736 0,9196 0,1938 -0,1760 -0,1200 0,3580 1,1895 2,2637 3,4550 4,6458 5,7382 6,6596 7,3473 7,7183 7,6736 7,1655 6,2691 5,1894 4,2020 3,5540 3,3683 3,6151 4,1770 4,9279 5,7366 6,4333 6,8318 6,8080 6,3585 5,6087 4,7850 4,1471 3,8739 3,9816 4,3639 4,8921 5,4503 5,9068 6,1216 6,0181 5,6315 5,0655 4,4072 3,6946 2,9426 2,1655 1,3917 0,6889 0,1673 -0,0658 0,0293 0,3952 0,9019 1,4014 1,7792 1,9767 1,9973 1,9179 1,8866 2,0754 2,5941 3,4069 4,3138 5,0351 5,3398 5,1220 4,4100 3,3454 2,1372 0,9965 0,0897 -0,4679 -0,5986 -0,2552 0,5668 1,7856 3,2034 4,5586 5,6227 6,2623 6,4498 6,2515 5,8032 5,2901 4,9321 4,9490 5,4916 6,5707 8,0253 9,5534 10,8037 11,4972 11,5211 10,9538 10,0151 8,9567 7,9409 6,9887 6,0433 5,0814 4,1644 3,4014 2,8703 2,5718 2,4588 2,5032 2,7213 3,1483 3,8061 4,6820 5,7212 6,8427 7,9733 9,0578 10,0232 10,7484 11,1050 11,0478 10,6721 10,1810 9,7722 9,5121 9,3047 8,9869 8,4637 7,7819 7,1044 6,6161 6,4299 6,5477 6,8871 7,3492 7,8731 8,4391 9,0337 9,6154 10,1082 10,4166 10,4427 10,1098 9,4021 8,3933 7,2345 6,1030 5,1366 4,3916 3,8574 3,5040 3,3029 3,2276 3,2772 3,4907 3,8968 4,4494 5,0339 5,5363 5,9011 6,1404 6,3080 6,4599 6,6129 6,7402 6,8092 6,8050 6,7205 6,5510 6,3231 6,1165 6,0210 6,0752 6,2512 6,4538 6,5254 6,3193 5,8304 5,2412 4,8139 4,7322 5,0210 5,5598 6,1418 6,5446 6,5925 6,2066 5,4259 4,3877 3,2883 2,3455 1,7588 1,6652 2,1111 3,0411 4,3006 5,6632 6,8914 7,8062 8,3172 8,4063 8,1114 7,5235 6,7735 6,0034 5,3296 4,8041 4,3940 4,0130 3,5850 3,0787 2,5115 1,9576 1,5561 1,4833 1,8820 2,7688 3,9799 5,2167 6,1821 6,7019 6,7460 6,3817 5,7246 4,8814 3,8978 2,7855 1,6168 0,5653 -0,1601 -0,4022 -0,1093 0,6324 1,6050 2,5402 3,2369 3,6287 3,7783 3,8237 3,8936 4,0326 4,1962 4,3155 4,3568 4,3343 4,2930 4,2742 4,2814 4,2955 4,3292 4,4478 4,7129 5,1158 5,5743 5,9809 6,2505 6,3440 6,2495 5,9254 5,2798 4,2496 2,9092 1,4706 0,1656 -0,8524 -1,5117 -1,7789 -1,6453 -1,1570 -0,4220 0,4552 1,4341 2,4974 3,5643 4,4735 5,0569 5,2256 5,0024 4,4940 3,8347 3,1338 2,4547 1,8337 1,3087 0,9256 0,7296 0,7673 1,0869 1,7062 2,5608 3,4893 4,2952 4,8410 5,1038 5,1700 5,1944 5,3384 5,7082 6,3246 7,1092 7,8866 8,4543 8,7059 8,6814 8,4858 8,1819 7,7657 7,2119 6,5193 5,7291 4,9137 4,1493 3,4995 3,0252 2,7826 2,7825 2,9564 3,1758 3,3241 3,3690 3,3710 3,4303 3,6122 3,8862 4,1165 4,1180 3,7385 2,9205 1,7255 0,3173 -1,0829 -2,2518 -3,0302 -3,3800 -3,3784 -3,1550 -2,8241 -2,4435 -2,0064 -1,4724 -0,8248 -0,1016 0,6380 1,3670 2,0799 2,7369 3,2655 3,6346 3,8922 4,0958 4,2138 4,1326 3,7639 3,1160 2,2728 1,3613 0,5381 -0,0552 -0,3457 -0,3221 0,0033 0,5828
F3    -0,1474 -0,6707 -1,1792 -1,6477 -2,0710 -2,4410 -2,7353 -2,9350 -3,0382 -3,0220 -2,8039 -2,2926 -1,4882 -0,5116 0,4740 1,3791 2,2294 3,0792 3,8803 4,4580 4,6164 4,2434 3,3421 2,0408 0,6031 -0,6147 -1,2651 -1,1261 -0,1924 1,3105 3,0087 4,5150 5,5591 6,0512 6,0409 5,6196 4,8553 3,7890 2,4473 0,8558 -0,9167 -2,7137 -4,3135 -5,5066 -6,1580 -6,2355 -5,8196 -5,0741 -4,1794 -3,2989 -2,5795 -2,1189 -1,9241 -1,9277 -2,0279 -2,1122 -2,0889 -1,9290 -1,6730 -1,3923 -1,1528 -1,0035 -0,9698 -1,0540 -1,2641 -1,6265 -2,1317 -2,6720 -3,0700 -3,1737 -2,9282 -2,3973 -1,7366 -1,1288 -0,7208 -0,5846 -0,6954 -0,9489 -1,2317 -1,4981 -1,7727 -2,0707 -2,3180 -2,3513 -2,0084 -1,2504 -0,2242 0,7766 1,4263 1,5099 1,0046 0,0378 -1,2051 -2,5162 -3,6624 -4,4361 -4,7618 -4,7460 -4,5950 -4,4795 -4,4612 -4,4983 -4,4810 -4,2932 -3,8841 -3,2963 -2,6407 -2,0597 -1,6939 -1,6439 -1,9441 -2,5614 -3,3832 -4,2097 -4,8163 -5,0755 -5,0121 -4,7302 -4,2905 -3,6770 -2,9008 -2,1100 -1,5436 -1,3582 -1,5107 -1,8098 -2,0650 -2,2055 -2,3014 -2,4904 -2,8761 -3,4501 -4,0619 -4,4718 -4,4708 -3,9758 -3,0486 -1,8651 -0,6554 0,3863 1,1895 1,8277 2,4347 3,0790 3,7203 4,2784 4,7211 5,0897 5,4694 5,9335 6,4818 7,0094 7,3376 7,2975 6,8221 6,0052 5,0774 4,2965 3,8367 3,7458 3,9418 4,2380 4,4348 4,4494 4,3767 4,4256 4,7902 5,5382 6,5584 7,6282 8,5780 9,3784 10,0597 10,5940 10,8802 10,8143 10,3407 9,4644 8,2763 6,9762 5,8153 4,9714 4,4846 4,3072 4,3656 4,5711 4,8373 5,1245 5,4300 5,7254 5,9382 5,9946 5,8445 5,4460 4,7796 3,9250 3,0959 2,5490 2,4524 2,8209 3,5318 4,4012 5,2870 6,1441 6,9812 7,7612 8,3440 8,5295 8,1651 7,2271 5,8235 4,1572 2,4848 1,0332 -0,0959 -0,9228 -1,4841 -1,7607 -1,7003 -1,2726 -0,4977 0,5520 1,7671 3,0162 4,1525 5,0161 5,4658 5,4492 5,0534 4,4798 3,9679 3,7101 3,7795 4,1049 4,5059 4,7573 4,6653 4,1555 3,3120 2,3040 1,2777 0,3425 -0,3728 -0,7246 -0,6368 -0,1507 0,6148 1,5429 2,5614 3,6254 4,6789 5,6526 6,4834 7,1051 7,4171 7,2982 6,6874 5,6615 4,4352 3,2877 2,4634 2,0856 2,1307 2,4857 3,0349 3,6866 4,3417 4,8912 5,2568 5,4133 5,3836 5,2474 5,1418 5,1876 5,3962 5,6754 5,9084 5,9890 5,8121 5,2983 4,4581 3,4134 2,3312 1,3349 0,4814 -0,2071 -0,7255 -1,0748 -1,2312 -1,1453 -0,7943 -0,2328 0,4201 1,0374 1,5202 1,8029 1,8500 1,6680 1,3486 1,0921 1,1466 1,6745 2,6289 3,7361 4,6254 5,0108 4,7782 3,9593 2,6903 1,1990 -0,2310 -1,3357 -1,9388 -1,9787 -1,4880 -0,5599 0,6482 1,9049 2,9642 3,6691 4,0077 4,0864 4,0561 4,0386 4,1010 4,2958 4,7151 5,4747 6,6193 8,0341 9,4463 10,5176 10,9679 10,6659 9,6653 8,1781 6,4880 4,8488 3,4344 2,3537 1,6663 1,3675 1,3748 1,5449 1,7282 1,8454 1,9222 2,0457 2,3023 2,7510 3,4145 4,2643 5,2231 6,2092 7,1739 8,0634 8,7695 9,1639 9,1862 8,8953 8,4569 8,0607 7,7966 7,5969 7,3081 6,8214 6,1610 5,4826 4,9912 4,8301 5,0047 5,3974 5,8604 6,3023 6,7058 7,0979 7,5172 7,9905 8,4984 8,9360 9,1277 8,9234 8,2999 7,3710 6,3064 5,2406 4,2422 3,3493 2,6055 2,0499 1,7024 1,6005 1,8240 2,4316 3,3624 4,4218 5,3752 6,0616 6,4427 6,5812 6,5799 6,5176 6,4275 6,3182 6,1916 6,0291 5,7916 5,4696 5,1362 4,9205 4,9256 5,1682 5,5491 5,8662 5,9205 5,6630 5,2406 4,8979 4,8378 5,1352 5,7109 6,3581 6,8158 6,8703 6,4459 5,6335 4,6318 3,6500 2,8517 2,3434 2,1690 2,3187 2,7566 3,4301 4,2589 5,1373 5,9650 6,6657 7,1763 7,4414 7,4322 7,1660 6,7117 6,1677 5,6045 5,0153 4,3440 3,5657 2,7207 1,9022 1,2434 0,8815 0,9007 1,3081 2,0382 2,9578 3,8875 4,6617 5,1801 5,3999 5,2966 4,8504 4,0563 2,9333 1,5685 0,1829 -0,8944 -1,3671 -1,1038 -0,1779 1,1590 2,5531 3,6720 4,3145 4,4521 4,2041 3,7738 3,3652 3,1058 3,0188 3,0568 3,1549 3,2719 3,4064 3,5754 3,7670 3,9387 4,0718 4,2058 4,4020 4,6894 5,0506 5,4382 5,7910 6,0449 6,1211 5,8950 5,2200 4,0453 2,5288 0,9967 -0,2435 -1,0638 -1,5173 -1,6984 -1,6137 -1,1930 -0,3936 0,7520 2,1544 3,6642 5,0490 6,0314 6,3924 6,0722 5,2011 4,0414 2,8737 1,8952 1,1840 0,7388 0,5452 0,6017 0,8948 1,3781 1,9817 2,6273 3,2286 3,6871 3,9121 3,8762 3,6516 3,3809 3,2211 3,3114 3,7601 4,6158 5,7991 7,0575 8,0533 8,5683 8,6401 8,4832 8,2825 8,0583 7,6856 7,0050 5,9318 4,5128 2,9092 1,3444 0,0632 -0,7169 -0,8835 -0,4836 0,3010 1,2436 2,1629 2,9612 3,6157 4,1484 4,5723 4,8378 4,8263 4,3999 3,4822 2,1283 0,5261 -1,0824 -2,4953 -3,6026 -4,3821 -4,8564 -5,0472 -4,9553 -4,5598 -3,8408 -2,8345 -1,6694 -0,5337 0,4138 1,1131 1,5894 1,8815 2,0167 2,0577 2,1251 2,3194 2,6073 2,8016 2,6716 2,0882 1,0972 -0,0918 -1,1873 -1,9489 -2,2739 -2,1638 -1,6566 -0,8258
F7    -3,6260 -3,6875 -3,5564 -3,3203 -3,0893 -2,9483 -2,9210 -2,9644 -2,9911 -2,8835 -2,5091 -1,7856 -0,7653 0,3518 1,3121 1,9446 2,2299 2,2580 2,1358 1,9297 1,6711 1,3615 0,9584 0,4201 -0,1909 -0,6669 -0,7416 -0,2342 0,8491 2,3090 3,8379 5,1471 6,0750 6,6054 6,7768 6,5696 5,8919 4,6767 2,9802 0,9905 -1,0273 -2,7906 -4,0574 -4,6937 -4,7167 -4,2661 -3,5247 -2,6493 -1,7505 -0,9245 -0,2863 0,0594 0,0775 -0,1786 -0,5843 -0,9733 -1,1984 -1,1985 -1,0003 -0,6681 -0,2745 0,0979 0,3644 0,4567 0,3329 -0,0185 -0,5578 -1,1722 -1,7025 -2,0157 -2,0635 -1,8936 -1,6121 -1,3146 -1,0436 -0,7905 -0,5144 -0,1638 0,2843 0,7787 1,1933 1,4001 1,3662 1,1850 1,0172 0,9932 1,1473 1,4001 1,5914 1,5752 1,3023 0,8055 0,1456 -0,5946 -1,2957 -1,8327 -2,1483 -2,2986 -2,4152 -2,6192 -2,9613 -3,3897 -3,7437 -3,8269 -3,5286 -2,8742 -1,9964 -1,0951 -0,3908 -0,0559 -0,1604 -0,6576 -1,3905 -2,1321 -2,6805 -2,9525 -2,9884 -2,8754 -2,6665 -2,3577 -1,9393 -1,4650 -1,0525 -0,8051 -0,7348 -0,7672 -0,8212 -0,8934 -1,0684 -1,4494 -2,0655 -2,8183 -3,4928 -3,8343 -3,6483 -2,8610 -1,5498 0,0561 1,6542 3,0003 3,9952 4,6701 5,0945 5,2966 5,2725 5,0593 4,7680 4,5473 4,5311 4,7995 5,3315 5,9763 6,4976 6,6838 6,4634 5,9596 5,4309 5,1217 5,1521 5,5098 6,0829 6,6885 7,1317 7,2959 7,1994 6,9659 6,7545 6,6941 6,8207 7,0767 7,4015 7,7888 8,2296 8,6447 8,9126 8,9441 8,7025 8,1828 7,4375 6,6340 6,0222 5,8010 6,0133 6,5626 7,2925 8,0396 8,6606 9,0601 9,1872 8,9994 8,4700 7,6391 6,6227 5,5599 4,5695 3,7588 3,2390 3,1016 3,3777 4,0151 4,8873 5,8442 6,7803 7,6622 8,4892 9,2220 9,7448 9,9017 9,5799 8,7647 7,5235 5,9731 4,2721 2,5952 1,0760 -0,2132 -1,2286 -1,9341 -2,3075 -2,3436 -2,0452 -1,4244 -0,5203 0,5839 1,7593 2,8374 3,6391 4,0578 4,1370 4,0457 3,9640 3,9784 4,0657 4,1462 4,1216 3,8736 3,3002 2,4124 1,3708 0,3867 -0,4070 -0,9749 -1,3154 -1,4225 -1,2922 -0,9238 -0,3118 0,5468 1,6281 2,8599 4,1207 5,2637 6,1528 6,6740 6,7236 6,2306 5,2217 3,8539 2,3768 1,0628 0,1309 -0,3197 -0,3130 0,0710 0,7513 1,6212 2,5013 3,1639 3,4280 3,2445 2,7212 2,0848 1,5858 1,3753 1,4421 1,6738 1,9500 2,1559 2,1599 1,8541 1,2381 0,4375 -0,3777 -1,0835 -1,6164 -1,9431 -2,0657 -2,0360 -1,9241 -1,7691 -1,5742 -1,3447 -1,1219 -0,9752 -0,9650 -1,1164 -1,4158 -1,8020 -2,1460 -2,2682 -2,0102 -1,3174 -0,2964 0,7926 1,6350 1,9972 1,8008 1,1118 0,0890 -1,0686 -2,1663 -3,0481 -3,6151 -3,8256 -3,6749 -3,1774 -2,3819 -1,3929 -0,3472 0,6338 1,4610 2,0594 2,3670 2,3685 2,1351 1,8330 1,6732 1,8180 2,3032 3,0190 3,7535 4,2831 4,4619 4,2627 3,7635 3,1096 2,4604 1,9183 1,4775 1,0582 0,6008 0,1242 -0,2962 -0,5996 -0,7970 -0,9530 -1,1125 -1,2502 -1,2854 -1,1369 -0,7691 -0,2037 0,5028 1,2985 2,1485 2,9922 3,7048 4,1360 4,2073 3,9834 3,6535 3,4183 3,3511 3,3452 3,2017 2,7892 2,1418 1,4352 0,8796 0,6209 0,7057 1,1099 1,7820 2,6566 3,6349 4,5802 5,3512 5,8451 6,0115 5,8324 5,3121 4,4916 3,4585 2,3282 1,2126 0,1972 -0,6564 -1,2920 -1,6576 -1,7426 -1,5983 -1,2903 -0,8452 -0,2785 0,3491 0,9346 1,3885 1,6768 1,8266 1,9153 2,0424 2,2749 2,6070 2,9701 3,2726 3,4309 3,3872 3,1404 2,7691 2,3917 2,1005 1,9361 1,8762 1,8215 1,6506 1,3414 1,0202 0,8709 1,0028 1,3893 1,8867 2,3021 2,4711 2,3084 1,8177 1,0738 0,2016 -0,6330 -1,2425 -1,4625 -1,1971 -0,4368 0,7412 2,1759 3,6268 4,8093 5,4900 5,5701 5,0803 4,1343 2,9062 1,6126 0,4697 -0,3669 -0,8552 -1,0758 -1,1754 -1,2816 -1,4638 -1,7415 -2,0770 -2,3457 -2,3464 -1,8868 -0,9037 0,4629 1,9085 3,0991 3,7989 3,9119 3,4723 2,6165 1,5101 0,2591 -1,0830 -2,4139 -3,5359 -4,2289 -4,3432 -3,8424 -2,8290 -1,5478 -0,3028 0,6787 1,3249 1,7051 1,9638 2,2273 2,5191 2,7546 2,8300 2,7084 2,4362 2,1132 1,8449 1,6934 1,6761 1,8153 2,1577 2,7210 3,4389 4,1770 4,7950 5,1991 5,3588 5,2794 4,9397 4,2730 3,2436 1,9442 0,5859 -0,6079 -1,4879 -1,9853 -2,0764 -1,7719 -1,1430 -0,3129 0,6215 1,6401 2,7347 3,8133 4,6977 5,2073 5,2375 4,7916 3,9789 2,9827 1,9850 1,0971 0,3521 -0,2495 -0,6999 -0,9701 -1,0112 -0,7750 -0,2592 0,4569 1,2211 1,8625 2,2645 2,4172 2,4230 2,4569 2,6873 3,1953 3,9508 4,8275 5,6304 6,1691 6,3669 6,2889 6,0502 5,7104 5,2490 4,6100 3,7654 2,7629 1,7345 0,8486 0,2423 -0,0115 0,0912 0,4771 0,9991 1,4774 1,7729 1,8538 1,8053 1,7728 1,8775 2,1369 2,4371 2,5895 2,4266 1,8691 0,9462 -0,2143 -1,4126 -2,4348 -3,1392 -3,5103 -3,6287 -3,5955 -3,4811 -3,3113 -3,0638 -2,6825 -2,1301 -1,4393 -0,7004 -0,0063 0,5705 0,9637 1,1331 1,1198 1,0480 1,0261 1,0354 0,9421 0,6282 0,0910 -0,5767 -1,2483 -1,7962 -2,1230 -2,1856 -1,9754 -1,4966 -0,8005
