Fp1   0,6744 0,4701 0,3565 0,3753 0,5470 0,8405 1,1734 1,4746 1,7543 2,0765 2,4666 2,8805 3,2436 3,4809 3,5261 3,3352 2,9181 2,3667 1,8232 1,4048 1,1684 1,1115 1,1647 1,2127 1,1439 0,8780 0,3910 -0,2510 -0,9028 -1,4086 -1,6732 -1,6939 -1,5606 -1,4232 -1,4132 -1,5706 -1,8481 -2,1707 -2,4760 -2,7160 -2,8489 -2,8542 -2,7514 -2,5803 -2,3767 -2,1755 -2,0119 -1,9055 -1,8464 -1,7995 -1,7211 -1,5649 -1,2987 -0,9391 -0,5664 -0,3031 -0,2570 -0,4619 -0,8803 -1,4412 -2,0508 -2,6120 -3,0724 -3,4301 -3,6848 -3,8276 -3,8795 -3,8792 -3,8270 -3,6869 -3,4289 -3,0430 -2,5361 -1,9368 -1,2932 -0,6743 -0,1887 0,0304 -0,0915 -0,5011 -1,0425 -1,5422 -1,8711 -1,9512 -1,7393 -1,2454 -0,5581 0,1912 0,9037 1,5585 2,2032 2,8863 3,5859 4,2166 4,7048 5,0232 5,1610 5,1163 4,9339 4,7013 4,4943 4,3365 4,1894 3,9820 3,6587 3,1863 2,5375 1,7213 0,8345 0,0411 -0,5171 -0,7752 -0,7151 -0,3292 0,3586 1,2542 2,2013 3,0438 3,6981 4,1846 4,5856 4,9495 5,2324 5,3512 5,2820 5,0814 4,8350 4,6202 4,4987 4,5014 4,6288 4,8765 5,2403 5,7034 6,2462 6,8591 7,5328 8,2306 8,8682 9,3339 9,5297 9,3976 8,9568 8,3324 7,7114 7,2520 7,0150 6,9431 6,9073 6,8130 6,6768 6,6015 6,6965 7,0251 7,5816 8,2685 8,9131 9,3556 9,5461 9,5575 9,5000 9,4264 9,3195 9,1506 8,9285 8,6742 8,3698 7,9773 7,5111 7,0709 6,7883 6,7224 6,8153 6,9529 7,0427 7,0184 6,7988 6,3004 5,5150 4,5331 3,4632 2,3702 1,2977 0,3101 -0,5058 -1,0922 -1,4731 -1,7419 -1,9999 -2,3155 -2,7252 -3,2427 -3,8530 -4,5245 -5,2401 -5,9934 -6,7554 -7,4770 -8,1120 -8,5888 -8,7675 -8,4728 -7,6105 -6,2681 -4,7093 -3,2727 -2,2519 -1,8141 -1,9551 -2,4872 -3,1160 -3,6050 -3,8710 -3,9395 -3,8818 -3,8039 -3,8160 -3,9744 -4,2481 -4,5425 -4,7644 -4,8850 -4,9580 -5,0825 -5,3329 -5,7184 -6,1842 -6,6350 -6,9743 -7,1544 -7,2104 -7,2345 -7,3057 -7,4396 -7,5847 -7,6665 -7,6559 -7,5840 -7,4956 -7,4210 -7,3878 -7,4149 -7,4987 -7,6245 -7,7841 -7,9781 -8,2056 -8,4327 -8,5629 -8,4654 -8,0777 -7,4965 -6,9368 -6,6026 -6,6078 -6,9552 -7,5304 -8,1419 -8,6087 -8,8294 -8,7795 -8,4715 -7,9396 -7,2541 -6,5200 -5,8334 -5,2356 -4,7156 -4,2509 -3,8161 -3,3563 -2,8106 -2,1806 -1,5394 -0,9741 -0,5559 -0,3484 -0,3871 -0,6299 -0,9602 -1,2716 -1,5522 -1,8642 -2,2443 -2,6397 -2,9302 -3,0217 -2,9396 -2,8221 -2,8206 -3,0078 -3,3353 -3,6630 -3,8630 -3,9142 -3,8881 -3,8452 -3,7668 -3,5862 -3,2507 -2,7466 -2,0978 -1,3598 -0,6149 0,0272 0,4419 0,5309 0,2597 -0,3395 -1,1796 -2,1261 -3,0267 -3,7734 -4,3410 -4,7465 -4,9906 -5,0615 -4,9621 -4,6952 -4,2418 -3,5864 -2,7674 -1,8914 -1,0962 -0,4992 -0,1642 -0,1119 -0,3563 -0,8925 -1,6364 -2,4092 -3,0055 -3,2930 -3,2677 -3,0379 -2,7605 -2,5525 -2,4184 -2,2598 -1,9561 -1,4368 -0,7240 0,0663 0,8013 1,4178 1,9165 2,3005 2,5575 2,6804 2,6813 2,5872 2,4240 2,1989 1,8934 1,4802 0,9612 0,4087 -0,0403 -0,2576 -0,2076 0,0329 0,3215 0,5185 0,5418 0,3950 0,1716 0,0226 0,0768 0,3658 0,8218 1,3295 1,7706 2,0490 2,1209 2,0092 1,7782 1,4960 1,2210 1,0144 0,9417 1,0317 1,2271 1,4055 1,4637 1,3862 1,2530 1,1804 1,2289 1,3757 1,5560 1,6923 1,7187 1,6142 1,3960 1,0913 0,7286 0,3442 -0,0079 -0,2614 -0,3736 -0,3390 -0,1625 0,1410 0,5235 0,9185 1,2690 1,5469 1,7818 2,0595 2,4525 2,9415 3,4184 3,7619 3,9117 3,8975 3,8162 3,7726 3,8283 4,0005 4,2856 4,6666 5,1214 5,6298 6,1442 6,5586 6,7404 6,6000 6,1241 5,3722 4,4662 3,5556 2,7608 2,1340 1,6702 1,3373 1,0851 0,8714 0,7075 0,6541 0,7636 1,0402 1,4509 1,9560 2,5195 3,1038 3,6731 4,2024 4,6795 5,1056 5,5047 5,9088 6,3156 6,6881 7,0086 7,2944 7,5537 7,7715 7,9237 7,9680 7,8495 7,5384 7,0414 6,3949 5,6769 4,9898 4,3972 3,9038 3,5049 3,2174 3,0526 2,9887 2,9736 2,9534 2,9109 2,8579 2,7658 2,5369 2,0845 1,4358 0,7461 0,1955 -0,1336 -0,2594 -0,2063 0,0346 0,4596 1,0165 1,6092 2,1096 2,3915 2,3903 2,1323 1,7091 1,2384 0,8491 0,6697 0,7798 1,1422 1,6143 2,0433 2,3457 2,5289 2,6571 2,7794 2,8735 2,8356 2,5352 1,9193 1,0843 0,2437 -0,3700 -0,5905 -0,3563 0,2928 1,2540 2,4201 3,7106 5,0516 6,3349 7,4107 8,1398 8,4560 8,3798 7,9971 7,4460 6,9107 6,5774 6,5411 6,7509 7,0752 7,3977 7,6269 7,6756 7,4942 7,0978 6,5350 5,8572 5,1343 4,4633 3,8935 3,3588 2,7395 1,9842 1,1527 0,3566 -0,3343 -0,9284 -1,4746 -2,0165 -2,5799 -3,1794 -3,8144 -4,4618 -5,1030 -5,7585 -6,4662 -7,2207 -7,9612 -8,6257 -9,2005 -9,6990 -10,1019 -10,3609 -10,4688 -10,4940 -10,5333 -10,6291 -10,7155 -10,6603 -10,3759 -9,8696 -9,2120 -8,4989 -7,8182 -7,2044 -6,6207 -6,0069 -5,3488 -4,6746 -3,9945 -3,2987 -2,6239 -2,0632 -1,6954 -1,5432 -1,5850 -1,7453 -1,9009 -1,9484 -1,8580 -1,6624 -1,4190 -1,1665 -0,8985 -0,6123 -0,3743 -0,2869 -0,4004 -0,6875 -1,0577
Fz    1,0924 0,7148 0,3337 -0,0158 -0,2998 -0,5019 -0,6246 -0,6706 -0,6300 -0,4916 -0,2628 0,0256 0,3263 0,5849 0,7494 0,7853 0,6894 0,4979 0,2766 0,0922 -0,0095 -0,0129 0,0674 0,1957 0,3258 0,4066 0,3976 0,2930 0,1292 -0,0370 -0,1561 -0,2021 -0,1845 -0,1481 -0,1447 -0,1963 -0,2832 -0,3650 -0,4111 -0,4186 -0,4030 -0,3812 -0,3615 -0,3383 -0,2986 -0,2347 -0,1482 -0,0426 0,0786 0,2121 0,3581 0,5282 0,7393 0,9904 1,2476 1,4575 1,5797 1,6085 1,5651 1,4744 1,3510 1,1962 0,9987 0,7519 0,4739 0,1969 -0,0600 -0,2902 -0,4747 -0,5844 -0,6062 -0,5540 -0,4530 -0,3244 -0,1847 -0,0520 0,0522 0,1135 0,1442 0,1872 0,2994 0,5300 0,9027 1,4037 1,9849 2,5860 3,1580 3,6740 4,1306 4,5424 4,9293 5,2957 5,6151 5,8407 5,9457 5,9484 5,8926 5,8164 5,7457 5,6937 5,6580 5,6180 5,5373 5,3803 5,1368 4,8233 4,4646 4,0897 3,7430 3,4815 3,3525 3,3775 3,5575 3,8774 4,2993 4,7650 5,2187 5,6296 5,9975 6,3394 6,6701 6,9846 7,2538 7,4440 7,5426 7,5718 7,5835 7,6426 7,8013 8,0764 8,4533 8,9098 9,4266 9,9784 10,5283 11,0364 11,4699 11,8049 12,0240 12,1182 12,0888 11,9412 11,6893 11,3773 11,0855 10,8968 10,8570 10,9604 11,1656 11,4310 11,7419 12,1073 12,5380 13,0291 13,5484 14,0331 14,4076 14,6219 14,6845 14,6663 14,6601 14,7227 14,8533 15,0163 15,1724 15,2875 15,3319 15,2906 15,1755 15,0197 14,8482 14,6456 14,3582 13,9353 13,3693 12,6937 11,9502 11,1667 10,3659 9,5711 8,7945 8,0323 7,2731 6,5128 5,7677 5,0680 4,4289 3,8338 3,2488 2,6498 2,0339 1,4104 0,7924 0,1940 -0,3692 -0,8718 -1,2710 -1,5243 -1,6142 -1,5377 -1,2778 -0,8030 -0,1083 0,7444 1,6315 2,4152 2,9937 3,3260 3,4360 3,4061 3,3450 3,3307 3,3859 3,5102 3,7092 3,9812 4,2997 4,6196 4,9007 5,1283 5,3104 5,4512 5,5298 5,5058 5,3496 5,0662 4,6961 4,2992 3,9324 3,6267 3,3725 3,1290 2,8512 2,5159 2,1341 1,7408 1,3686 1,0336 0,7470 0,5243 0,3758 0,2955 0,2633 0,2567 0,2648 0,2952 0,3660 0,4951 0,7006 0,9968 1,3775 1,7957 2,1682 2,4032 2,4325 2,2387 1,8701 1,4246 1,0130 0,7255 0,6127 0,6814 0,9003 1,2105 1,5414 1,8329 2,0564 2,2190 2,3521 2,4998 2,7102 3,0147 3,4014 3,8149 4,1844 4,4497 4,5719 4,5419 4,3918 4,1883 4,0000 3,8604 3,7600 3,6719 3,5827 3,5008 3,4400 3,3896 3,3131 3,1793 2,9906 2,7804 2,5860 2,4191 2,2625 2,0926 1,9095 1,7453 1,6427 1,6286 1,7039 1,8474 2,0272 2,2186 2,4060 2,5680 2,6752 2,7035 2,6433 2,5029 2,3123 2,1174 1,9580 1,8516 1,8021 1,8176 1,9035 2,0469 2,2236 2,4190 2,6247 2,8179 2,9612 3,0276 3,0174 2,9518 2,8564 2,7478 2,6348 2,5390 2,5015 2,5600 2,7177 2,9362 3,1576 3,3318 3,4328 3,4644 3,4547 3,4376 3,4346 3,4405 3,4286 3,3786 3,3000 3,2268 3,1925 3,2119 3,2853 3,4120 3,5941 3,8253 4,0745 4,2861 4,4019 4,3957 4,3015 4,2107 4,2253 4,3980 4,7096 5,0901 5,4503 5,7099 5,8293 5,8340 5,8056 5,8361 5,9819 6,2477 6,5924 6,9412 7,2117 7,3500 7,3395 7,1920 6,9466 6,6676 6,4265 6,2821 6,2635 6,3585 6,5180 6,6835 6,8258 6,9589 7,1113 7,2908 7,4808 7,6495 7,7518 7,7443 7,6090 7,3555 7,0090 6,6098 6,2208 5,9219 5,7837 5,8348 6,0525 6,3823 6,7588 7,1176 7,4116 7,6246 7,7728 7,8960 8,0388 8,2270 8,4560 8,7000 8,9310 9,1345 9,3122 9,4730 9,6165 9,7249 9,7780 9,7785 9,7523 9,7285 9,7197 9,7136 9,6798 9,5911 9,4333 9,2003 8,8887 8,5029 8,0613 7,5938 7,1300 6,6933 6,2985 5,9476 5,6379 5,3796 5,1998 5,1286 5,1865 5,3825 5,7089 6,1297 6,5873 7,0318 7,4406 7,8144 8,1659 8,5153 8,8824 9,2704 9,6597 10,0178 10,3087 10,4993 10,5741 10,5424 10,4242 10,2382 9,9996 9,7152 9,3804 8,9952 8,5753 8,1443 7,7268 7,3471 7,0243 6,7635 6,5527 6,3635 6,1591 5,9098 5,6026 5,2339 4,8040 4,3278 3,8477 3,4275 3,1223 2,9489 2,8913 2,9338 3,0768 3,3209 3,6472 4,0107 4,3447 4,5787 4,6657 4,5970 4,3970 4,1154 3,8176 3,5660 3,4001 3,3258 3,3215 3,3570 3,4111 3,4851 3,5997 3,7637 3,9465 4,0859 4,1258 4,0528 3,9083 3,7669 3,7097 3,8077 4,1116 4,6381 5,3673 6,2518 7,2312 8,2396 9,2082 10,0699 10,7711 11,2835 11,6088 11,7808 11,8664 11,9555 12,1309 12,4277 12,8208 13,2556 13,6785 14,0372 14,2810 14,3759 14,3133 14,0994 13,7439 13,2624 12,6877 12,0555 11,3739 10,6316 9,8368 9,0338 8,2810 7,6121 7,0142 6,4366 5,8209 5,1223 4,3194 3,4224 2,4750 1,5397 0,6677 -0,1175 -0,8134 -1,4318 -2,0019 -2,5639 -3,1408 -3,7183 -4,2598 -4,7388 -5,1502 -5,4997 -5,7877 -5,9991 -6,1074 -6,0907 -5,9384 -5,6477 -5,2257 -4,6953 -4,0899 -3,4409 -2,7735 -2,1181 -1,5053 -0,9403 -0,4023 0,1196 0,6031 1,0110 1,3217 1,5429 1,7145 1,8907 2,1080 2,3698 2,6521 2,9151 3,1201 3,2459 3,2837 3,2198 3,0376 2,7368 2,3432 1,9069
F3    0,6745 0,3884 0,1335 -0,0515 -0,1389 -0,1347 -0,0765 0,0027 0,1032 0,2424 0,4210 0,6186 0,8092 0,9631 1,0420 1,0073 0,8474 0,6036 0,3605 0,2001 0,1661 0,2545 0,4167 0,5788 0,6705 0,6449 0,4949 0,2610 0,0160 -0,1675 -0,2436 -0,2045 -0,0855 0,0374 0,0779 -0,0093 -0,2029 -0,4346 -0,6336 -0,7615 -0,8155 -0,8164 -0,7979 -0,7929 -0,8217 -0,8857 -0,9642 -1,0206 -1,0223 -0,9542 -0,8164 -0,6138 -0,3600 -0,0916 0,1334 0,2574 0,2507 0,1258 -0,0779 -0,3180 -0,5567 -0,7706 -0,9640 -1,1561 -1,3492 -1,5336 -1,7147 -1,8962 -2,0395 -2,0763 -1,9658 -1,7221 -1,3948 -1,0400 -0,7119 -0,4608 -0,3234 -0,3035 -0,3630 -0,4365 -0,4589 -0,3800 -0,1676 0,1886 0,6725 1,2437 1,8518 2,4585 3,0487 3,6227 4,1832 4,7166 5,1718 5,4741 5,5808 5,5142 5,3352 5,1077 4,8885 4,7167 4,6006 4,5192 4,4336 4,3053 4,1157 3,8617 3,5374 3,1448 2,7250 2,3582 2,1200 2,0498 2,1584 2,4381 2,8509 3,3216 3,7618 4,1134 4,3759 4,5977 4,8363 5,1094 5,3771 5,5753 5,6659 5,6562 5,5857 5,5100 5,4825 5,5353 5,6814 5,9317 6,2947 6,7587 7,2866 7,8299 8,3430 8,7901 9,1417 9,3745 9,4683 9,4004 9,1660 8,8168 8,4612 8,2115 8,1280 8,2007 8,3716 8,5841 8,8235 9,1150 9,4896 9,9533 10,4704 10,9602 11,3242 11,5034 11,5211 11,4709 11,4494 11,4910 11,5619 11,6024 11,5692 11,4443 11,2278 10,9404 10,6284 10,3512 10,1454 9,9904 9,8175 9,5652 9,2195 8,8033 8,3348 7,8112 7,2323 6,6164 5,9765 5,3053 4,5937 3,8556 3,1311 2,4646 1,8754 1,3524 0,8745 0,4274 0,0008 -0,4192 -0,8427 -1,2708 -1,7002 -2,1173 -2,4888 -2,7792 -2,9791 -3,0893 -3,0742 -2,8539 -2,3679 -1,6498 -0,8348 -0,0958 0,4301 0,6825 0,6862 0,5436 0,3893 0,3126 0,3206 0,3775 0,4469 0,4935 0,4799 0,3844 0,2216 0,0454 -0,0772 -0,1107 -0,0804 -0,0556 -0,1005 -0,2377 -0,4428 -0,6588 -0,8230 -0,9034 -0,9248 -0,9554 -1,0620 -1,2717 -1,5629 -1,8840 -2,1858 -2,4382 -2,6208 -2,7212 -2,7481 -2,7309 -2,7014 -2,6819 -2,6818 -2,6974 -2,7126 -2,6950 -2,5911 -2,3452 -1,9471 -1,4654 -1,0216 -0,7326 -0,6765 -0,8697 -1,2499 -1,6968 -2,0872 -2,3341 -2,3949 -2,2624 -1,9593 -1,5375 -1,0687 -0,6183 -0,2147 0,1499 0,4960 0,8420 1,2105 1,6151 2,0321 2,4019 2,6621 2,7746 2,7330 2,5643 2,3265 2,0892 1,8968 1,7439 1,5912 1,4101 1,2093 1,0260 0,8890 0,7832 0,6602 0,4842 0,2623 0,0420 -0,1202 -0,2031 -0,2398 -0,2849 -0,3575 -0,4165 -0,3901 -0,2282 0,0688 0,4514 0,8463 1,1863 1,4220 1,5180 1,4611 1,2706 0,9911 0,6731 0,3644 0,1039 -0,0896 -0,2215 -0,3019 -0,3269 -0,2866 -0,1865 -0,0448 0,1286 0,3337 0,5549 0,7527 0,8906 0,9602 0,9758 0,9506 0,8794 0,7564 0,6128 0,5181 0,5347 0,6735 0,8898 1,1153 1,2921 1,3971 1,4521 1,5076 1,6092 1,7756 1,9905 2,2137 2,4148 2,5952 2,7687 2,9314 3,0668 3,1726 3,2733 3,4063 3,5916 3,8088 3,9993 4,0931 4,0499 3,8937 3,7112 3,6003 3,6086 3,7102 3,8236 3,8512 3,7307 3,4745 3,1732 2,9540 2,9186 3,0982 3,4510 3,8880 4,3027 4,6020 4,7403 4,7261 4,6000 4,4161 4,2350 4,1130 4,0858 4,1551 4,2818 4,3928 4,4099 4,2939 4,0717 3,8154 3,5944 3,4535 3,4073 3,4289 3,4635 3,4646 3,4069 3,2836 3,1078 2,9155 2,7613 2,7038 2,7780 2,9809 3,2839 3,6408 3,9900 4,2777 4,4842 4,6271 4,7481 4,8902 5,0723 5,2777 5,4714 5,6317 5,7676 5,9102 6,0918 6,3232 6,5829 6,8337 7,0515 7,2340 7,3928 7,5393 7,6613 7,7144 7,6488 7,4413 7,1007 6,6573 6,1536 5,6367 5,1454 4,6985 4,2991 3,9460 3,6375 3,3791 3,1959 3,1231 3,1798 3,3555 3,6201 3,9364 4,2601 4,5441 4,7591 4,9110 5,0357 5,1785 5,3808 5,6717 6,0482 6,4687 6,8810 7,2484 7,5483 7,7701 7,9166 7,9930 7,9991 7,9333 7,7879 7,5474 7,2069 6,7827 6,2977 5,7770 5,2625 4,8078 4,4499 4,1891 3,9924 3,8145 3,6248 3,4136 3,1735 2,8883 2,5519 2,1938 1,8807 1,6784 1,6055 1,6354 1,7387 1,9061 2,1356 2,4157 2,7167 2,9874 3,1689 3,2226 3,1471 2,9720 2,7456 2,5235 2,3602 2,2938 2,3269 2,4271 2,5512 2,6676 2,7715 2,8827 3,0132 3,1379 3,2027 3,1637 3,0260 2,8492 2,7171 2,7025 2,8493 3,1682 3,6393 4,2263 4,8979 5,6337 6,4095 7,1846 7,9068 8,5297 9,0225 9,3681 9,5627 9,6317 9,6439 9,6890 9,8201 10,0279 10,2721 10,5132 10,7021 10,7780 10,6990 10,4606 10,0812 9,5889 9,0295 8,4701 7,9580 7,4721 6,9403 6,3063 5,5716 4,7840 3,9927 3,2184 2,4602 1,7135 0,9731 0,2275 -0,5350 -1,3123 -2,0910 -2,8625 -3,6211 -4,3436 -4,9934 -5,5522 -6,0401 -6,4939 -6,9316 -7,3490 -7,7425 -8,1140 -8,4585 -8,7550 -8,9596 -9,0203 -8,9110 -8,6444 -8,2501 -7,7598 -7,2040 -6,6075 -5,9867 -5,3601 -4,7591 -4,2068 -3,6847 -3,1511 -2,5965 -2,0617 -1,6008 -1,2481 -1,0102 -0,8586 -0,7368 -0,5973 -0,4287 -0,2550 -0,1188 -0,0510 -0,0475 -0,0897 -0,1793 -0,3345 -0,5569 -0,8192 -1,0735
F7    0,7281 0,6047 0,5367 0,5711 0,7290 0,9857 1,2762 1,5392 1,7667 1,9924 2,2348 2,4767 2,6848 2,8253 2,8662 2,7784 2,5498 2,2114 1,8344 1,4938 1,2429 1,0993 1,0275 0,9520 0,7970 0,5125 0,0916 -0,4129 -0,9013 -1,2726 -1,4731 -1,5138 -1,4572 -1,3879 -1,3733 -1,4341 -1,5560 -1,7235 -1,9266 -2,1405 -2,3190 -2,4213 -2,4382 -2,3872 -2,2955 -2,1875 -2,0805 -1,9845 -1,9012 -1,8208 -1,7232 -1,5805 -1,3685 -1,0900 -0,7910 -0,5528 -0,4551 -0,5360 -0,7891 -1,1757 -1,6270 -2,0652 -2,4389 -2,7272 -2,9168 -3,0032 -3,0101 -2,9720 -2,8960 -2,7612 -2,5459 -2,2434 -1,8662 -1,4423 -1,0055 -0,5913 -0,2530 -0,0595 -0,0512 -0,1990 -0,4197 -0,6250 -0,7560 -0,7794 -0,6691 -0,4173 -0,0604 0,3341 0,7071 1,0338 1,3282 1,6206 1,9198 2,2049 2,4490 2,6294 2,7169 2,6888 2,5648 2,4008 2,2469 2,1190 1,9981 1,8485 1,6437 1,3693 1,0103 0,5580 0,0403 -0,4743 -0,9112 -1,2158 -1,3424 -1,2470 -0,9160 -0,4009 0,1864 0,7248 1,1467 1,4638 1,7343 1,9949 2,2225 2,3675 2,4112 2,3755 2,2928 2,1905 2,0937 2,0200 1,9785 1,9832 2,0565 2,2168 2,4755 2,8382 3,2983 3,8201 4,3291 4,7347 4,9658 4,9897 4,8279 4,5596 4,2917 4,1148 4,0669 4,1137 4,1706 4,1721 4,1242 4,0945 4,1638 4,3844 4,7576 5,2221 5,6672 5,9820 6,1118 6,0756 5,9333 5,7378 5,5168 5,2886 5,0751 4,8832 4,6855 4,4425 4,1507 3,8620 3,6508 3,5542 3,5483 3,5786 3,5934 3,5431 3,3638 2,9889 2,4024 1,6626 0,8564 0,0562 -0,6767 -1,2839 -1,7222 -1,9910 -2,1423 -2,2540 -2,3900 -2,5833 -2,8456 -3,1764 -3,5632 -3,9884 -4,4466 -4,9456 -5,4848 -6,0447 -6,5931 -7,0742 -7,3888 -7,4121 -7,0624 -6,3708 -5,4882 -4,6275 -3,9857 -3,6843 -3,7378 -4,0514 -4,4636 -4,8320 -5,0893 -5,2309 -5,2869 -5,3133 -5,3703 -5,4858 -5,6443 -5,8082 -5,9485 -6,0621 -6,1722 -6,3086 -6,4771 -6,6548 -6,8079 -6,9029 -6,9101 -6,8172 -6,6507 -6,4685 -6,3232 -6,2341 -6,1830 -6,1317 -6,0570 -5,9663 -5,8770 -5,8048 -5,7722 -5,8003 -5,8929 -6,0382 -6,2191 -6,4181 -6,6158 -6,7812 -6,8592 -6,7824 -6,5251 -6,1544 -5,8035 -5,5924 -5,5804 -5,7629 -6,0794 -6,4363 -6,7450 -6,9503 -7,0320 -6,9869 -6,8124 -6,5133 -6,1177 -5,6675 -5,1911 -4,6989 -4,2032 -3,7174 -3,2376 -2,7491 -2,2567 -1,7907 -1,3878 -1,0819 -0,9050 -0,8733 -0,9646 -1,1232 -1,3010 -1,4948 -1,7318 -2,0149 -2,2906 -2,4679 -2,4816 -2,3524 -2,1774 -2,0664 -2,0843 -2,2187 -2,3799 -2,4637 -2,4344 -2,3350 -2,2151 -2,0737 -1,8766 -1,6019 -1,2578 -0,8713 -0,4720 -0,0910 0,2277 0,4244 0,4421 0,2494 -0,1469 -0,7040 -1,3501 -1,9965 -2,5660 -3,0180 -3,3411 -3,5344 -3,6076 -3,5809 -3,4646 -3,2455 -2,9075 -2,4649 -1,9681 -1,4815 -1,0621 -0,7546 -0,5989 -0,6347 -0,8769 -1,2826 -1,7495 -2,1572 -2,4186 -2,5089 -2,4647 -2,3602 -2,2637 -2,1910 -2,1025 -1,9383 -1,6535 -1,2467 -0,7719 -0,3031 0,1146 0,4633 0,7223 0,8691 0,9037 0,8610 0,7956 0,7518 0,7369 0,7190 0,6513 0,5051 0,2955 0,0799 -0,0772 -0,1461 -0,1476 -0,1322 -0,1482 -0,2189 -0,3352 -0,4555 -0,5168 -0,4690 -0,3098 -0,0877 0,1289 0,2831 0,3443 0,3144 0,2239 0,1076 -0,0160 -0,1407 -0,2538 -0,3317 -0,3630 -0,3753 -0,4239 -0,5487 -0,7440 -0,9557 -1,1108 -1,1682 -1,1417 -1,0781 -1,0311 -1,0380 -1,0997 -1,1884 -1,2692 -1,3165 -1,3246 -1,3052 -1,2737 -1,2423 -1,2139 -1,1697 -1,0819 -0,9383 -0,7448 -0,5222 -0,2995 -0,0870 0,1415 0,4148 0,7230 1,0222 1,2673 1,4335 1,5258 1,5780 1,6320 1,7141 1,8353 1,9997 2,2005 2,4228 2,6541 2,8726 3,0282 3,0563 2,9144 2,5950 2,1175 1,5286 0,9015 0,3076 -0,2137 -0,6527 -1,0105 -1,2970 -1,5255 -1,6890 -1,7588 -1,7152 -1,5690 -1,3487 -1,0745 -0,7535 -0,3925 -0,0037 0,3977 0,7944 1,1680 1,5124 1,8315 2,1132 2,3311 2,4842 2,6065 2,7267 2,8487 2,9634 3,0479 3,0639 2,9795 2,7819 2,4818 2,1257 1,7849 1,5114 1,3184 1,2066 1,1789 1,2241 1,3049 1,3675 1,3678 1,3034 1,2062 1,0844 0,8891 0,5603 0,0968 -0,4278 -0,9170 -1,3116 -1,5885 -1,7169 -1,6580 -1,4103 -1,0300 -0,6109 -0,2544 -0,0391 0,0068 -0,0913 -0,2766 -0,4828 -0,6363 -0,6579 -0,4993 -0,1914 0,1670 0,4801 0,7065 0,8598 0,9800 1,0959 1,1937 1,2081 1,0545 0,6969 0,1923 -0,3303 -0,7307 -0,9097 -0,8301 -0,5102 0,0050 0,6723 1,4568 2,3148 3,1735 3,9321 4,4983 4,8268 4,9273 4,8481 4,6651 4,4778 4,3882 4,4502 4,6337 4,8572 5,0469 5,1531 5,1420 5,0087 4,7819 4,4993 4,1872 3,8724 3,5904 3,3501 3,1010 2,7668 2,3124 1,7732 1,2255 0,7263 0,2823 -0,1328 -0,5476 -0,9783 -1,4320 -1,9147 -2,4335 -3,0016 -3,6403 -4,3554 -5,1061 -5,8133 -6,4084 -6,8729 -7,2273 -7,4864 -7,6472 -7,7182 -7,7384 -7,7593 -7,8079 -7,8564 -7,8422 -7,7276 -7,5237 -7,2631 -6,9776 -6,6890 -6,3910 -6,0433 -5,6076 -5,0930 -4,5486 -4,0150 -3,5151 -3,0852 -2,7765 -2,6110 -2,5676 -2,6062 -2,6757 -2,7160 -2,6868 -2,5878 -2,4439 -2,2814 -2,1117 -1,9276 -1,7284 -1,5511 -1,4539 -1,4684 -1,5793 -1,7314
