Fp1   -0,1243 -0,2948 -0,4691 -0,6063 -0,6656 -0,6220 -0,4689 -0,2195 0,0849 0,3703 0,5524 0,5887 0,5143 0,4183 0,3818 0,4333 0,5455 0,6620 0,7367 0,7508 0,6989 0,5764 0,3773 0,0986 -0,2333 -0,5465 -0,7627 -0,8535 -0,8457 -0,7853 -0,7089 -0,6382 -0,5824 -0,5438 -0,5149 -0,4662 -0,3434 -0,1088 0,2040 0,4956 0,6671 0,6804 0,5689 0,4030 0,2452 0,1297 0,0687 0,0542 0,0568 0,0403 -0,0246 -0,1670 -0,4187 -0,7912 -1,2527 -1,7296 -2,1244 -2,3484 -2,3586 -2,1670 -1,8234 -1,3961 -0,9602 -0,5819 -0,3001 -0,1194 -0,0163 0,0476 0,1024 0,1496 0,1621 0,1069 -0,0312 -0,2352 -0,4589 -0,6396 -0,7192 -0,6766 -0,5547 -0,4415 -0,4189 -0,5384 -0,8191 -1,2395 -1,7327 -2,1950 -2,5080 -2,5870 -2,4297 -2,1104 -1,7234 -1,3302 -0,9547 -0,6109 -0,3223 -0,1114 0,0180 0,0852 0,1259 0,1855 0,2965 0,4379 0,5287 0,4867 0,2894 -0,0230 -0,3797 -0,6972 -0,8882 -0,8890 -0,6908 -0,3436 0,0672 0,4534 0,7391 0,8559 0,7415 0,3551 -0,2950 -1,1364 -2,0478 -2,9019 -3,6075 -4,1269 -4,4723 -4,6849 -4,8140 -4,9154 -5,0623 -5,3255 -5,7191 -6,1671 -6,5331 -6,6889 -6,5638 -6,1552 -5,5218 -4,7755 -4,0563 -3,4832 -3,1151 -2,9488 -2,9367 -2,9981 -3,0410 -3,0018 -2,8714 -2,6794 -2,4431 -2,1279 -1,6726 -1,0606 -0,3560 0,3365 0,9471 1,4775 1,9665 2,4354 2,8757 3,2719 3,6068 3,8524 3,9734 3,9414 3,7524 3,4374 3,0463 2,6223 2,2078 1,8710 1,7123 1,8300 2,2700 3,0053 3,9563 5,0217 6,0961 7,0766 7,8721 8,4198 8,6944 8,6991 8,4601 8,0413 7,5499 7,1063 6,7889 6,6050 6,5073 6,4290 6,3146 6,1431 5,9328 5,7275 5,5738 5,4971 5,4901 5,5283 5,5898 5,6543 5,6935 5,6798 5,6089 5,5137 5,4465 5,4392 5,4858 5,5613 5,6552 5,7864 5,9862 6,2565 6,5380 6,7186 6,6841 6,3784 5,8394 5,1990 4,6344 4,2944 4,2380 4,4113 4,6732 4,8674 4,8973 4,7578 4,5122 4,2423 4,0119 3,8561 3,7876 3,8071 3,9053 4,0578 4,2246 4,3630 4,4425 4,4501 4,3856 4,2533 4,0564 3,8026 3,5109 3,2104 2,9263 2,6734 2,4653 2,3204 2,2504 2,2461 2,2770 2,3141 2,3588 2,4358 2,5584 2,7138 2,8751 3,0049 3,0589 3,0086 2,8623 2,6561 2,4262 2,1889 1,9403 1,6804 1,4534 1,3484 1,4416 1,7354 2,1538 2,5806 2,9008 3,0284 2,9215 2,5914 2,1077 1,5851 1,1415 0,8437 0,6694 0,5228 0,3091 0,0031 -0,3462 -0,6518 -0,8141 -0,7476 -0,4316 0,0581 0,5920 1,0527 1,3616 1,4707 1,3635 1,0753 0,6946 0,3220 0,0264 -0,1647 -0,2533 -0,2610 -0,2241 -0,1877 -0,1971 -0,2896 -0,4800 -0,7405 -0,9996 -1,1820 -1,2628 -1,2861 -1,3396 -1,4940 -1,7410 -1,9992 -2,1881 -2,2846 -2,3060 -2,2648 -2,1544 -1,9697 -1,7299 -1,4793 -1,2626 -1,1071 -1,0255 -1,0207 -1,0778 -1,1591 -1,2127 -1,1919 -1,0802 -0,9092 -0,7525 -0,6938 -0,7839 -1,0103 -1,2979 -1,5448 -1,6700 -1,6509 -1,5364 -1,4184 -1,3770 -1,4365 -1,5483 -1,6199 -1,5863 -1,4600 -1,3082 -1,1917 -1,1357 -1,1396 -1,1972 -1,3029 -1,4442 -1,5976 -1,7366 -1,8481 -1,9373 -2,0133 -2,0736 -2,0985 -2,0554 -1,9194 -1,7014 -1,4431 -1,1785 -0,9188 -0,6809 -0,5038 -0,4254 -0,4607 -0,6056 -0,8370 -1,0981 -1,3029 -1,3836 -1,3385 -1,2202 -1,0817 -0,9519 -0,8528 -0,8159 -0,8749 -1,0523 -1,3438 -1,7065 -2,0653 -2,3460 -2,5074 -2,5470 -2,4776 -2,2971 -1,9917 -1,5750 -1,1210 -0,7449 -0,5420 -0,5349 -0,6669 -0,8322 -0,9302 -0,9214 -0,8421 -0,7655 -0,7491 -0,8095 -0,9268 -1,0719 -1,2308 -1,3978 -1,5498 -1,6425 -1,6303 -1,4861 -1,2162 -0,8606 -0,4754 -0,1176 0,1556 0,3004 0,3066 0,2081 0,0744 -0,0168 -0,0135 0,0893 0,2444 0,3627 0,3539 0,1745 -0,1611 -0,5935 -1,0286 -1,3636 -1,5384 -1,5630 -1,4880 -1,3603 -1,2116 -1,0747 -0,9872 -0,9758 -1,0384 -1,1495 -1,2815 -1,4170 -1,5411 -1,6337 -1,6703 -1,6204 -1,4488 -1,1334 -0,6900 -0,1800 0,3032 0,6635 0,8365 0,8171 0,6662 0,4787 0,3285 0,2410 0,2132 0,2365 0,2917 0,3444 0,3620 0,3337 0,2763 0,2253 0,2237 0,3142 0,5209 0,8152 1,1021 1,2637 1,2314 1,0167 0,6834 0,3094 -0,0355 -0,3129 -0,5342 -0,7512 -1,0214 -1,3735 -1,7916 -2,2130 -2,5451 -2,7101 -2,6935 -2,5609 -2,4274 -2,3992 -2,5209 -2,7662 -3,0758 -3,4037 -3,7277 -4,0396 -4,3415 -4,6437 -4,9581 -5,2875 -5,6051 -5,8522 -5,9821 -6,0032 -5,9695 -5,9366 -5,9172 -5,8519 -5,6306 -5,1688 -4,4768 -3,6627 -2,8720 -2,2163 -1,7362 -1,4052 -1,1620 -0,9502 -0,7453 -0,5549 -0,4016 -0,3107 -0,3126 -0,4397 -0,7112 -1,1124 -1,5819 -2,0228 -2,3342 -2,4348 -2,2758 -1,8604 -1,2546 -0,5630 0,1123 0,6923 1,1199 1,3617 1,4225 1,3524 1,2294 1,1176 1,0259 0,9091 0,7213 0,4701 0,2223 0,0550 -0,0088 -0,0226 -0,0739 -0,2133 -0,4151 -0,5949 -0,6649 -0,5853 -0,3851 -0,1515 0,0033 -0,0134 -0,2332 -0,6168 -1,0827 -1,5456 -1,9390 -2,2267 -2,4064 -2,5033 -2,5634 -2,6352 -2,7339 -2,8278 -2,8721 -2,8599 -2,8307 -2,8362 -2,9030 -3,0138 -3,1108 -3,1276 -3,0333 -2,8529 -2,6550 -2,5245 -2,5306 -2,6982 -2,9998 -3,3756 -3,7582 -4,0851 -4,3113 -4,4263 -4,4547
Fz    0,5917 0,6909 0,7829 0,8450 0,8646 0,8356 0,7669 0,6860 0,6260 0,6028 0,6013 0,5819 0,5035 0,3431 0,1032 -0,1888 -0,4810 -0,7110 -0,8338 -0,8456 -0,7823 -0,6867 -0,5817 -0,4708 -0,3499 -0,2157 -0,0732 0,0660 0,1982 0,3356 0,4856 0,6313 0,7366 0,7653 0,6949 0,5285 0,2992 0,0567 -0,1534 -0,3032 -0,3928 -0,4537 -0,5306 -0,6489 -0,7959 -0,9295 -1,0068 -1,0093 -0,9458 -0,8328 -0,6847 -0,5267 -0,3988 -0,3366 -0,3534 -0,4427 -0,5840 -0,7427 -0,8719 -0,9284 -0,8987 -0,8107 -0,7193 -0,6824 -0,7393 -0,8962 -1,1286 -1,3945 -1,6471 -1,8462 -1,9687 -2,0132 -1,9952 -1,9397 -1,8769 -1,8323 -1,8143 -1,8137 -1,8209 -1,8326 -1,8445 -1,8561 -1,8827 -1,9486 -2,0671 -2,2275 -2,3960 -2,5332 -2,6119 -2,6219 -2,5668 -2,4554 -2,2968 -2,1022 -1,8887 -1,6782 -1,4929 -1,3450 -1,2265 -1,1107 -0,9662 -0,7772 -0,5611 -0,3651 -0,2394 -0,2143 -0,2919 -0,4455 -0,6294 -0,7991 -0,9275 -1,0187 -1,1134 -1,2717 -1,5350 -1,9042 -2,3501 -2,8316 -3,3030 -3,7189 -4,0578 -4,3419 -4,6258 -4,9639 -5,3875 -5,8927 -6,4380 -6,9591 -7,3934 -7,6981 -7,8589 -7,8931 -7,8439 -7,7612 -7,6792 -7,6027 -7,5083 -7,3584 -7,1188 -6,7674 -6,2985 -5,7321 -5,1194 -4,5215 -3,9749 -3,4801 -3,0182 -2,5691 -2,1119 -1,6241 -1,0967 -0,5518 -0,0419 0,3712 0,6464 0,7813 0,8119 0,8004 0,8191 0,9289 1,1596 1,4993 1,9066 2,3334 2,7426 3,1115 3,4241 3,6651 3,8329 3,9521 4,0668 4,2143 4,4047 4,6239 4,8592 5,1210 5,4405 5,8408 6,3054 6,7757 7,1800 7,4615 7,5867 7,5529 7,3969 7,1824 6,9647 6,7703 6,6074 6,4810 6,3976 6,3612 6,3609 6,3591 6,3047 6,1681 5,9607 5,7250 5,5067 5,3304 5,1926 5,0780 4,9858 4,9389 4,9629 5,0503 5,1511 5,2086 5,1988 5,1406 5,0759 5,0392 5,0328 5,0242 4,9615 4,7966 4,5057 4,1001 3,6236 3,1408 2,7185 2,4038 2,2124 2,1337 2,1465 2,2266 2,3470 2,4829 2,6176 2,7426 2,8510 2,9299 2,9595 2,9212 2,8102 2,6435 2,4595 2,3054 2,2179 2,2090 2,2634 2,3416 2,3938 2,3828 2,2978 2,1492 1,9628 1,7752 1,6233 1,5287 1,4872 1,4767 1,4746 1,4633 1,4237 1,3367 1,1983 1,0284 0,8635 0,7451 0,7104 0,7817 0,9576 1,2058 1,4605 1,6444 1,7088 1,6524 1,5040 1,2920 1,0313 0,7338 0,4218 0,1217 -0,1506 -0,3897 -0,5861 -0,7217 -0,7833 -0,7807 -0,7507 -0,7393 -0,7753 -0,8645 -1,0095 -1,2233 -1,5136 -1,8597 -2,2174 -2,5449 -2,8147 -3,0115 -3,1350 -3,2007 -3,2303 -3,2373 -3,2172 -3,1566 -3,0578 -2,9508 -2,8729 -2,8392 -2,8397 -2,8525 -2,8566 -2,8416 -2,8095 -2,7636 -2,7032 -2,6303 -2,5570 -2,5055 -2,5063 -2,5823 -2,7298 -2,9196 -3,1165 -3,2954 -3,4442 -3,5579 -3,6351 -3,6844 -3,7237 -3,7641 -3,7953 -3,7976 -3,7630 -3,6977 -3,6113 -3,5108 -3,4013 -3,2864 -3,1719 -3,0660 -2,9793 -2,9256 -2,9192 -2,9704 -3,0814 -3,2363 -3,3936 -3,5028 -3,5378 -3,5122 -3,4607 -3,4063 -3,3439 -3,2547 -3,1300 -2,9829 -2,8407 -2,7327 -2,6766 -2,6738 -2,7187 -2,8072 -2,9353 -3,0904 -3,2482 -3,3807 -3,4703 -3,5131 -3,5162 -3,4947 -3,4665 -3,4422 -3,4211 -3,3993 -3,3760 -3,3546 -3,3460 -3,3672 -3,4309 -3,5358 -3,6729 -3,8317 -3,9955 -4,1343 -4,2147 -4,2257 -4,1898 -4,1432 -4,1092 -4,0941 -4,0994 -4,1280 -4,1866 -4,2865 -4,4333 -4,6134 -4,7967 -4,9530 -5,0703 -5,1580 -5,2288 -5,2820 -5,3047 -5,2832 -5,2111 -5,0917 -4,9342 -4,7508 -4,5609 -4,3944 -4,2850 -4,2586 -4,3189 -4,4402 -4,5759 -4,6775 -4,7152 -4,6918 -4,6395 -4,5999 -4,6056 -4,6735 -4,8001 -4,9547 -5,0823 -5,1266 -5,0598 -4,8951 -4,6787 -4,4749 -4,3419 -4,3067 -4,3601 -4,4731 -4,6185 -4,7857 -4,9774 -5,1944 -5,4247 -5,6463 -5,8333 -5,9624 -6,0224 -6,0138 -5,9405 -5,8083 -5,6338 -5,4488 -5,2894 -5,1797 -5,1311 -5,1492 -5,2311 -5,3602 -5,5091 -5,6458 -5,7416 -5,7804 -5,7610 -5,6919 -5,5848 -5,4528 -5,3060 -5,1479 -4,9774 -4,7932 -4,5902 -4,3533 -4,0677 -3,7408 -3,4097 -3,1268 -2,9456 -2,9108 -3,0401 -3,3076 -3,6529 -4,0131 -4,3518 -4,6595 -4,9316 -5,1544 -5,3107 -5,3889 -5,3928 -5,3473 -5,2977 -5,2984 -5,3919 -5,5871 -5,8616 -6,1815 -6,5146 -6,8254 -7,0704 -7,2093 -7,2234 -7,1297 -6,9780 -6,8362 -6,7676 -6,8087 -6,9590 -7,1937 -7,4881 -7,8267 -8,1980 -8,5889 -8,9857 -9,3783 -9,7621 -10,1283 -10,4491 -10,6762 -10,7605 -10,6775 -10,4370 -10,0761 -9,6484 -9,2101 -8,7991 -8,4231 -8,0654 -7,6995 -7,2994 -6,8428 -6,3180 -5,7383 -5,1480 -4,6043 -4,1566 -3,8338 -3,6378 -3,5438 -3,5103 -3,4934 -3,4580 -3,3887 -3,2943 -3,1981 -3,1285 -3,1169 -3,1864 -3,3299 -3,5033 -3,6428 -3,6949 -3,6404 -3,4969 -3,3061 -3,1185 -2,9778 -2,9032 -2,8775 -2,8590 -2,8114 -2,7242 -2,6086 -2,4841 -2,3714 -2,2956 -2,2920 -2,4016 -2,6469 -3,0049 -3,4053 -3,7715 -4,0743 -4,3436 -4,6330 -4,9799 -5,3966 -5,8737 -6,3712 -6,8187 -7,1451 -7,3155 -7,3467 -7,2980 -7,2368 -7,2040 -7,2082 -7,2438 -7,3071 -7,4001 -7,5289 -7,6964 -7,8849 -8,0513 -8,1523 -8,1763 -8,1501 -8,1189 -8,1215 -8,1721 -8,2545 -8,3351 -8,3871 -8,4024 -8,3859 -8,3510 -8,3170 -8,2978 -8,2906 -8,2859 -8,2897
F3    -0,1418 0,0438 0,2625 0,4723 0,6407 0,7501 0,8000 0,7997 0,7610 0,6949 0,6088 0,4956 0,3301 0,0875 -0,2280 -0,5726 -0,8780 -1,0787 -1,1378 -1,0634 -0,9009 -0,7031 -0,5030 -0,3094 -0,1178 0,0749 0,2612 0,4284 0,5723 0,7029 0,8290 0,9413 1,0193 1,0469 1,0139 0,9101 0,7293 0,4802 0,1889 -0,1089 -0,3825 -0,6155 -0,7998 -0,9253 -0,9847 -0,9848 -0,9466 -0,8965 -0,8530 -0,8135 -0,7565 -0,6637 -0,5388 -0,4022 -0,2769 -0,1869 -0,1612 -0,2193 -0,3457 -0,4898 -0,6059 -0,6886 -0,7686 -0,8849 -1,0599 -1,2924 -1,5704 -1,8800 -2,1989 -2,4900 -2,7100 -2,8235 -2,8152 -2,7002 -2,5251 -2,3530 -2,2315 -2,1701 -2,1502 -2,1447 -2,1242 -2,0683 -1,9786 -1,8719 -1,7626 -1,6602 -1,5788 -1,5394 -1,5570 -1,6262 -1,7227 -1,8191 -1,8949 -1,9335 -1,9203 -1,8468 -1,7168 -1,5448 -1,3528 -1,1650 -0,9926 -0,8256 -0,6557 -0,4988 -0,3852 -0,3382 -0,3662 -0,4648 -0,6218 -0,8164 -1,0157 -1,1903 -1,3396 -1,4931 -1,6823 -1,9171 -2,1866 -2,4732 -2,7590 -3,0334 -3,3052 -3,6013 -3,9482 -4,3583 -4,8299 -5,3493 -5,8859 -6,3864 -6,7797 -7,0036 -7,0400 -6,9331 -6,7751 -6,6633 -6,6552 -6,7508 -6,9028 -7,0337 -7,0516 -6,8717 -6,4461 -5,7884 -4,9717 -4,0957 -3,2435 -2,4589 -1,7510 -1,1123 -0,5395 -0,0456 0,3433 0,6115 0,7723 0,8624 0,9146 0,9411 0,9435 0,9375 0,9593 1,0518 1,2449 1,5445 1,9359 2,3962 2,8991 3,4122 3,8950 4,3097 4,6416 4,9033 5,1153 5,2868 5,4133 5,4846 5,4999 5,4816 5,4717 5,5112 5,6156 5,7694 5,9422 6,1044 6,2319 6,3113 6,3470 6,3540 6,3384 6,2929 6,2126 6,1076 5,9983 5,9048 5,8325 5,7602 5,6534 5,4937 5,2948 5,0916 4,9200 4,8004 4,7329 4,7102 4,7333 4,8079 4,9220 5,0330 5,0812 5,0229 4,8541 4,6109 4,3494 4,1174 3,9356 3,8009 3,6973 3,6016 3,4887 3,3393 3,1424 2,8966 2,6163 2,3358 2,0958 1,9261 1,8420 1,8462 1,9253 2,0513 2,1894 2,3084 2,3887 2,4197 2,3920 2,2996 2,1501 1,9691 1,7957 1,6741 1,6364 1,6846 1,7881 1,8983 1,9744 1,9999 1,9741 1,8998 1,7850 1,6473 1,5093 1,3913 1,3022 1,2351 1,1745 1,1043 1,0086 0,8762 0,7099 0,5314 0,3775 0,2910 0,3078 0,4452 0,6930 1,0061 1,3093 1,5250 1,6027 1,5233 1,2907 0,9276 0,4739 -0,0124 -0,4572 -0,7864 -0,9544 -0,9598 -0,8433 -0,6716 -0,5122 -0,4111 -0,3843 -0,4233 -0,5042 -0,6023 -0,7122 -0,8609 -1,0920 -1,4325 -1,8728 -2,3700 -2,8610 -3,2853 -3,6024 -3,7945 -3,8645 -3,8328 -3,7279 -3,5736 -3,3946 -3,2283 -3,1146 -3,0702 -3,0799 -3,1092 -3,1212 -3,0900 -3,0086 -2,8917 -2,7731 -2,6902 -2,6606 -2,6737 -2,7055 -2,7371 -2,7662 -2,8123 -2,9032 -3,0532 -3,2555 -3,4871 -3,7139 -3,9014 -4,0244 -4,0618 -3,9926 -3,8127 -3,5513 -3,2600 -2,9881 -2,7696 -2,6229 -2,5513 -2,5437 -2,5725 -2,6017 -2,6082 -2,5965 -2,5961 -2,6474 -2,7724 -2,9482 -3,1169 -3,2265 -3,2623 -3,2450 -3,2038 -3,1556 -3,1098 -3,0766 -3,0658 -3,0845 -3,1342 -3,2003 -3,2514 -3,2614 -3,2289 -3,1690 -3,0907 -2,9877 -2,8530 -2,6965 -2,5423 -2,4170 -2,3459 -2,3476 -2,4201 -2,5376 -2,6700 -2,8053 -2,9520 -3,1233 -3,3164 -3,5026 -3,6381 -3,6896 -3,6575 -3,5748 -3,4853 -3,4259 -3,4249 -3,4978 -3,6347 -3,7957 -3,9312 -4,0107 -4,0320 -4,0117 -3,9781 -3,9625 -3,9850 -4,0455 -4,1241 -4,1916 -4,2278 -4,2338 -4,2340 -4,2623 -4,3306 -4,4103 -4,4527 -4,4227 -4,3191 -4,1754 -4,0416 -3,9531 -3,9142 -3,9066 -3,9066 -3,8929 -3,8460 -3,7515 -3,6128 -3,4580 -3,3303 -3,2703 -3,3067 -3,4528 -3,6919 -3,9662 -4,1974 -4,3250 -4,3294 -4,2343 -4,0950 -3,9743 -3,9134 -3,9183 -3,9717 -4,0521 -4,1438 -4,2315 -4,2989 -4,3341 -4,3346 -4,3066 -4,2661 -4,2369 -4,2347 -4,2552 -4,2844 -4,3146 -4,3507 -4,4028 -4,4764 -4,5726 -4,6891 -4,8092 -4,8965 -4,9141 -4,8501 -4,7253 -4,5796 -4,4500 -4,3524 -4,2792 -4,2085 -4,1107 -3,9549 -3,7218 -3,4116 -3,0397 -2,6268 -2,1964 -1,7850 -1,4473 -1,2415 -1,2067 -1,3509 -1,6474 -2,0395 -2,4619 -2,8715 -3,2633 -3,6538 -4,0484 -4,4262 -4,7487 -4,9762 -5,0837 -5,0758 -4,9910 -4,8889 -4,8265 -4,8394 -4,9353 -5,0973 -5,2968 -5,5018 -5,6726 -5,7625 -5,7404 -5,6202 -5,4645 -5,3539 -5,3461 -5,4531 -5,6481 -5,8991 -6,1961 -6,5427 -6,9305 -7,3345 -7,7291 -8,0991 -8,4374 -8,7356 -8,9772 -9,1378 -9,1908 -9,1123 -8,8844 -8,5087 -8,0236 -7,5000 -7,0117 -6,6056 -6,2896 -6,0380 -5,8024 -5,5239 -5,1531 -4,6806 -4,1539 -3,6571 -3,2645 -3,0061 -2,8646 -2,7976 -2,7605 -2,7183 -2,6428 -2,5181 -2,3516 -2,1721 -2,0182 -1,9298 -1,9394 -2,0621 -2,2842 -2,5562 -2,8132 -3,0117 -3,1448 -3,2251 -3,2638 -3,2633 -3,2186 -3,1189 -2,9520 -2,7162 -2,4279 -2,1166 -1,8197 -1,5806 -1,4401 -1,4239 -1,5363 -1,7599 -2,0578 -2,3861 -2,7174 -3,0578 -3,4337 -3,8601 -4,3210 -4,7800 -5,1992 -5,5464 -5,7988 -5,9509 -6,0235 -6,0632 -6,1224 -6,2235 -6,3410 -6,4263 -6,4531 -6,4458 -6,4683 -6,5822 -6,7990 -7,0639 -7,2885 -7,4057 -7,4051 -7,3248 -7,2187 -7,1281 -7,0709 -7,0420 -7,0219 -6,9908 -6,9411 -6,8789 -6,8127 -6,7480 -6,6926 -6,6555 -6,6423 -6,6568
F7    -0,3236 -0,1887 -0,0820 -0,0121 0,0434 0,1136 0,2003 0,2746 0,3152 0,3438 0,4080 0,5266 0,6565 0,7066 0,5851 0,2560 -0,2217 -0,7091 -1,0573 -1,1833 -1,0973 -0,8783 -0,6281 -0,4214 -0,2684 -0,1216 0,0716 0,3169 0,5809 0,8343 1,0648 1,2511 1,3531 1,3360 1,1965 0,9621 0,6656 0,3246 -0,0489 -0,4289 -0,7728 -1,0351 -1,1791 -1,1862 -1,0658 -0,8516 -0,5802 -0,2828 0,0029 0,2341 0,3834 0,4479 0,4346 0,3449 0,1733 -0,0824 -0,4021 -0,7270 -0,9704 -1,0674 -1,0224 -0,9010 -0,7871 -0,7519 -0,8285 -0,9920 -1,1783 -1,3270 -1,4067 -1,4188 -1,3883 -1,3450 -1,3015 -1,2524 -1,1919 -1,1232 -1,0498 -0,9733 -0,9180 -0,9446 -1,1149 -1,4452 -1,8968 -2,3927 -2,8423 -3,1601 -3,2804 -3,1789 -2,8874 -2,4800 -2,0396 -1,6272 -1,2691 -0,9680 -0,7225 -0,5329 -0,4016 -0,3365 -0,3479 -0,4330 -0,5694 -0,7261 -0,8846 -1,0461 -1,2146 -1,3846 -1,5470 -1,6902 -1,7914 -1,8134 -1,7199 -1,5152 -1,2773 -1,1363 -1,1942 -1,4555 -1,8393 -2,2561 -2,6608 -3,0438 -3,4050 -3,7424 -4,0539 -4,3460 -4,6370 -4,9372 -5,2304 -5,4838 -5,6662 -5,7530 -5,7260 -5,5818 -5,3428 -5,0530 -4,7568 -4,4801 -4,2275 -3,9926 -3,7633 -3,5241 -3,2629 -2,9786 -2,6838 -2,4004 -2,1471 -1,9279 -1,7253 -1,4991 -1,1975 -0,7878 -0,2840 0,2530 0,7424 1,1174 1,3467 1,4366 1,4262 1,3852 1,4025 1,5479 1,8331 2,2087 2,5946 2,9104 3,0916 3,0973 2,9206 2,6049 2,2455 1,9659 1,8738 2,0222 2,4056 2,9830 3,7026 4,5175 5,3902 6,2735 7,0845 7,7148 8,0778 8,1446 7,9422 7,5405 7,0416 6,5622 6,2051 6,0304 6,0323 6,1439 6,2810 6,3908 6,4569 6,4719 6,4259 6,3169 6,1544 5,9480 5,6971 5,3999 5,0762 4,7708 4,5360 4,4212 4,4644 4,6725 5,0161 5,4424 5,8830 6,2630 6,5205 6,6215 6,5581 6,3464 6,0220 5,6265 5,1941 4,7475 4,3116 3,9299 3,6580 3,5360 3,5643 3,6988 3,8684 4,0052 4,0705 4,0682 4,0374 4,0260 4,0618 4,1398 4,2298 4,2836 4,2502 4,1104 3,8994 3,6946 3,5832 3,6174 3,7766 3,9797 4,1442 4,2269 4,2244 4,1568 4,0542 3,9443 3,8394 3,7281 3,5831 3,3822 3,1281 2,8504 2,5929 2,3926 2,2633 2,1945 2,1662 2,1640 2,1818 2,2202 2,2821 2,3617 2,4307 2,4433 2,3637 2,1923 1,9671 1,7451 1,5831 1,5166 1,5369 1,5872 1,5944 1,5154 1,3594 1,1782 1,0452 1,0186 1,1000 1,2323 1,3477 1,4064 1,3972 1,3260 1,2147 1,1064 1,0571 1,1026 1,2280 1,3730 1,4679 1,4662 1,3537 1,1430 0,8682 0,5822 0,3399 0,1693 0,0572 -0,0324 -0,1219 -0,2013 -0,2377 -0,2002 -0,0777 0,1113 0,3191 0,4886 0,5803 0,5821 0,5065 0,3891 0,2861 0,2539 0,3216 0,4743 0,6525 0,7781 0,7975 0,7066 0,5505 0,4068 0,3523 0,4217 0,5937 0,8169 1,0464 1,2554 1,4227 1,5255 1,5432 1,4666 1,3007 1,0605 0,7652 0,4441 0,1379 -0,1113 -0,2724 -0,3323 -0,2922 -0,1499 0,1037 0,4584 0,8618 1,2329 1,4979 1,6133 1,5680 1,3760 1,0729 0,7131 0,3581 0,0626 -0,1342 -0,2101 -0,1612 -0,0080 0,2044 0,4210 0,5972 0,7131 0,7841 0,8529 0,9498 1,0643 1,1657 1,2349 1,2660 1,2589 1,2236 1,1787 1,1319 1,0646 0,9466 0,7653 0,5346 0,2820 0,0449 -0,1223 -0,1643 -0,0689 0,1149 0,3152 0,4777 0,5713 0,5872 0,5454 0,4817 0,4233 0,3733 0,3109 0,2152 0,1017 0,0318 0,0814 0,2924 0,6447 1,0649 1,4527 1,7094 1,7659 1,6038 1,2624 0,8252 0,3898 0,0399 -0,1635 -0,1849 -0,0225 0,2849 0,6730 1,0785 1,4505 1,7474 1,9464 2,0566 2,1126 2,1559 2,2208 2,3247 2,4627 2,6173 2,7687 2,8888 2,9304 2,8387 2,5794 2,1595 1,6258 1,0426 0,4732 -0,0143 -0,3412 -0,4455 -0,3212 -0,0265 0,3478 0,7248 1,0652 1,3570 1,5886 1,7354 1,7708 1,6872 1,5077 1,2813 1,0607 0,8784 0,7455 0,6682 0,6570 0,7209 0,8638 1,0943 1,4280 1,8659 2,3724 2,8803 3,3245 3,6695 3,9047 4,0275 4,0422 3,9636 3,8062 3,5713 3,2509 2,8367 2,3284 1,7526 1,1797 0,7071 0,4080 0,2957 0,3350 0,4775 0,6868 0,9457 1,2467 1,5735 1,8887 2,1446 2,3041 2,3514 2,2884 2,1353 1,9315 1,7266 1,5571 1,4295 1,3229 1,1963 1,0007 0,7015 0,2968 -0,1862 -0,7025 -1,2000 -1,6329 -1,9737 -2,2174 -2,3766 -2,4691 -2,5055 -2,4884 -2,4240 -2,3320 -2,2297 -2,1087 -1,9359 -1,6779 -1,3191 -0,8659 -0,3517 0,1628 0,6140 0,9705 1,2416 1,4605 1,6617 1,8609 2,0454 2,1856 2,2536 2,2380 2,1539 2,0454 1,9653 1,9399 1,9543 1,9822 2,0212 2,0901 2,2068 2,3780 2,6011 2,8651 3,1534 3,4470 3,7209 3,9407 4,0709 4,0935 4,0212 3,8897 3,7302 3,5488 3,3391 3,1166 2,9340 2,8609 2,9401 3,1561 3,4435 3,7217 3,9222 4,0026 3,9492 3,7705 3,4935 3,1610 2,8214 2,5122 2,2463 2,0131 1,7947 1,5827 1,3840 1,2089 1,0582 0,9255 0,8021 0,6725 0,5235 0,3607 0,1995 0,0375 -0,1471 -0,3732 -0,6342 -0,8832 -1,0394 -1,0282 -0,8266 -0,4747 -0,0492 0,3760 0,7564 1,0681 1,2849 1,3734 1,3145 1,1227 0,8445 0,5399 0,2602 0,0306
