Fp1   1,7819 1,9730 2,1308 2,2011 2,1088 1,8263 1,4091 0,9722 0,6278 0,4312 0,3803 0,4390 0,5495 0,6443 0,6675 0,5789 0,3516 -0,0120 -0,4655 -0,9318 -1,3371 -1,6436 -1,8448 -1,9376 -1,9208 -1,8044 -1,6105 -1,3786 -1,1611 -0,9966 -0,8969 -0,8609 -0,8716 -0,8795 -0,8207 -0,6599 -0,3997 -0,0665 0,2909 0,6162 0,8724 1,0364 1,0683 0,9212 0,5985 0,1827 -0,2114 -0,5014 -0,6722 -0,7743 -0,8840 -1,0537 -1,2935 -1,5792 -1,8705 -2,1232 -2,2895 -2,3205 -2,1816 -1,8673 -1,3992 -0,8282 -0,2486 0,2179 0,4819 0,5239 0,3735 0,0691 -0,3538 -0,8449 -1,3356 -1,7598 -2,0785 -2,2819 -2,3744 -2,3706 -2,3012 -2,2072 -2,1285 -2,0971 -2,1228 -2,1803 -2,2242 -2,2216 -2,1605 -2,0411 -1,8838 -1,7339 -1,6291 -1,5670 -1,5203 -1,4762 -1,4518 -1,4752 -1,5575 -1,6815 -1,8209 -1,9681 -2,1315 -2,3063 -2,4544 -2,5129 -2,4278 -2,1841 -1,8038 -1,3236 -0,7799 -0,2045 0,3695 0,8900 1,2770 1,4544 1,4075 1,2059 0,9695 0,8096 0,7806 0,8678 1,0206 1,1890 1,3211 1,3618 1,2896 1,1354 0,9406 0,7152 0,4476 0,1321 -0,2193 -0,5792 -0,9123 -1,1823 -1,3638 -1,4580 -1,4941 -1,5071 -1,5046 -1,4604 -1,3528 -1,2001 -1,0395 -0,8924 -0,7679 -0,6831 -0,6603 -0,7136 -0,8415 -1,0265 -1,2479 -1,4920 -1,7330 -1,9057 -1,9180 -1,7082 -1,2926 -0,7370 -0,0904 0,6232 1,3622 2,0495 2,5971 2,9447 3,0857 3,0648 2,9455 2,7787 2,6089 2,4838 2,4301 2,4297 2,4482 2,4845 2,5777 2,7662 3,0484 3,3774 3,6931 3,9572 4,1537 4,2636 4,2507 4,0874 3,7919 3,4225 3,0388 2,6906 2,4277 2,2897 2,2870 2,3985 2,5932 2,8555 3,1843 3,5632 3,9336 4,2036 4,3044 4,2423 4,0924 3,9546 3,9003 3,9307 3,9801 3,9654 3,8397 3,6168 3,3535 3,1144 2,9452 2,8614 2,8539 2,8989 2,9628 3,0175 3,0677 3,1519 3,2962 3,4635 3,5510 3,4459 3,1089 2,6233 2,1495 1,8249 1,6963 1,7241 1,8193 1,8778 1,8108 1,5812 1,2203 0,8070 0,4232 0,1179 -0,1044 -0,2671 -0,3844 -0,4355 -0,3787 -0,1907 0,1092 0,4597 0,7700 0,9442 0,9208 0,7029 0,3454 -0,0803 -0,5044 -0,8681 -1,1329 -1,2797 -1,3067 -1,2303 -1,0800 -0,8887 -0,6889 -0,5202 -0,4280 -0,4349 -0,5099 -0,5792 -0,5800 -0,5076 -0,4124 -0,3646 -0,4229 -0,6135 -0,9195 -1,2878 -1,6539 -1,9660 -2,1860 -2,2829 -2,2543 -2,1523 -2,0553 -2,0091 -2,0079 -2,0268 -2,0497 -2,0706 -2,0866 -2,0987 -2,1160 -2,1471 -2,1773 -2,1600 -2,0494 -1,8365 -1,5487 -1,2376 -0,9705 -0,8025 -0,7435 -0,7519 -0,7627 -0,7358 -0,6911 -0,7000 -0,8348 -1,1191 -1,5065 -1,8976 -2,1940 -2,3474 -2,3719 -2,3352 -2,3264 -2,3941 -2,5124 -2,6170 -2,6580 -2,6121 -2,4709 -2,2366 -1,9241 -1,5594 -1,1833 -0,8527 -0,6255 -0,5295 -0,5386 -0,5832 -0,5912 -0,5211 -0,3722 -0,1806 0,0016 0,1364 0,2161 0,2532 0,2597 0,2488 0,2506 0,3089 0,4453 0,6238 0,7575 0,7592 0,5893 0,2648 -0,1536 -0,5838 -0,9496 -1,1960 -1,2868 -1,2138 -1,0080 -0,7266 -0,4211 -0,1177 0,1760 0,4562 0,7178 0,9673 1,2322 1,5451 1,9222 2,3483 2,7718 3,1230 3,3458 3,4149 3,3333 3,1211 2,8057 2,4309 2,0680 1,7943 1,6549 1,6519 1,7668 1,9772 2,2467 2,5170 2,7226 2,8220 2,8243 2,7857 2,7685 2,8042 2,8843 2,9722 3,0306 3,0504 3,0524 3,0759 3,1767 3,4094 3,7869 4,2583 4,7253 5,0756 5,2196 5,1354 4,8971 4,6487 4,5300 4,6045 4,8438 5,1695 5,5013 5,7853 6,0093 6,1989 6,3913 6,5996 6,7902 6,8925 6,8453 6,6469 6,3631 6,0838 5,8750 5,7613 5,7292 5,7341 5,7130 5,6211 5,4759 5,3592 5,3604 5,5186 5,8180 6,2179 6,6714 7,1189 7,4899 7,7335 7,8413 7,8331 7,7412 7,6019 7,4240 7,1630 6,7615 6,2147 5,5725 4,9036 4,2790 3,7707 3,4462 3,3543 3,5035 3,8501 4,3194 4,8439 5,3793 5,8924 6,3590 6,7793 7,1684 7,5252 7,8191 8,0093 8,0676 7,9879 7,7811 7,4613 7,0351 6,5119 5,9234 5,3278 4,7972 4,4056 4,2154 4,2547 4,4982 4,8755 5,3032 5,7174 6,0879 6,4019 6,6356 6,7594 6,7642 6,6742 6,5488 6,4731 6,5333 6,7882 7,2405 7,8315 8,4716 9,0696 9,5428 9,8273 9,8980 9,7749 9,5107 9,1727 8,8250 8,5206 8,3017 8,1966 8,2104 8,3160 8,4511 8,5397 8,5230 8,3718 8,0923 7,7351 7,3730 7,0507 6,7615 6,4690 6,1370 5,7506 5,3329 4,9443 4,6549 4,5162 4,5522 4,7580 5,0984 5,5173 5,9526 6,3472 6,6653 6,9070 7,0949 7,2477 7,3677 7,4471 7,4838 7,4902 7,4818 7,4664 7,4463 7,4209 7,3824 7,3101 7,1727 6,9375 6,5877 6,1366 5,6272 5,1228 4,7060 4,4637 4,4454 4,6399 5,0026 5,4847 6,0277 6,5526 6,9842 7,2980 7,5264 7,7036 7,8232 7,8602 7,8122 7,7041 7,5668 7,4313 7,3223 7,2277 7,0916 6,8669 6,5559 6,1966 5,8402 5,5438 5,3554 5,3029 5,4020 5,6572 6,0382 6,4690 6,8643 7,1840 7,4441 7,6754 7,8784 8,0237 8,0983 8,1325 8,1682 8,2215 8,2868 8,3540 8,4008 8,3843 8,2613 8,0169 7,6655 7,2400 6,7933 6,3960 6,1085 5,9550 5,9378 6,0614 6,3298 6,7284 7,2117 7,7046
Fz    0,2942 0,2223 0,2188 0,2450 0,2406 0,1628 0,0068 -0,2002 -0,4149 -0,5867 -0,6634 -0,6136 -0,4579 -0,2682 -0,1272 -0,0935 -0,1967 -0,4391 -0,7885 -1,1767 -1,5184 -1,7506 -1,8568 -1,8543 -1,7688 -1,6220 -1,4317 -1,2188 -1,0087 -0,8205 -0,6590 -0,5156 -0,3653 -0,1643 0,1308 0,5351 1,0231 1,5294 1,9654 2,2594 2,3884 2,3659 2,2071 1,9254 1,5552 1,1579 0,8034 0,5469 0,4125 0,3853 0,4228 0,4817 0,5399 0,6030 0,6959 0,8423 1,0424 1,2695 1,4928 1,6955 1,8710 2,0027 2,0535 1,9838 1,7862 1,4965 1,1650 0,8238 0,4864 0,1601 -0,1553 -0,4719 -0,8068 -1,1677 -1,5455 -1,9186 -2,2612 -2,5449 -2,7446 -2,8503 -2,8684 -2,8115 -2,6974 -2,5528 -2,4023 -2,2546 -2,1106 -1,9788 -1,8622 -1,7432 -1,5990 -1,4290 -1,2592 -1,1200 -1,0201 -0,9425 -0,8694 -0,8096 -0,7931 -0,8332 -0,8964 -0,9196 -0,8539 -0,6870 -0,4362 -0,1390 0,1533 0,3921 0,5509 0,6230 0,6026 0,4855 0,2928 0,0825 -0,0732 -0,1246 -0,0659 0,0736 0,2561 0,4554 0,6544 0,8354 0,9836 1,0925 1,1617 1,1919 1,1837 1,1478 1,1145 1,1231 1,1993 1,3491 1,5664 1,8391 2,1544 2,5065 2,9005 3,3383 3,7900 4,1949 4,5013 4,6882 4,7461 4,6669 4,4645 4,1852 3,8834 3,5968 3,3392 3,1090 2,9087 2,7580 2,6900 2,7287 2,8736 3,1097 3,4315 3,8444 4,3396 4,8710 5,3584 5,7191 5,9091 5,9467 5,8960 5,8265 5,7922 5,8295 5,9380 6,0631 6,1349 6,1336 6,1033 6,1078 6,1833 6,3230 6,4905 6,6457 6,7623 6,8246 6,8138 6,7108 6,5184 6,2630 5,9719 5,6650 5,3676 5,1152 4,9349 4,8222 4,7560 4,7373 4,7888 4,9092 5,0440 5,1114 5,0550 4,8758 4,6213 4,3541 4,1258 3,9584 3,8373 3,7225 3,5787 3,4021 3,2122 3,0247 2,8411 2,6609 2,4933 2,3539 2,2597 2,2295 2,2843 2,4372 2,6751 2,9423 3,1406 3,1637 2,9637 2,5930 2,1747 1,8287 1,6171 1,5301 1,5021 1,4453 1,2962 1,0443 0,7239 0,3829 0,0620 -0,2102 -0,4210 -0,5774 -0,6842 -0,7166 -0,6312 -0,4030 -0,0465 0,3727 0,7404 0,9367 0,9002 0,6536 0,2752 -0,1431 -0,5199 -0,7989 -0,9572 -0,9966 -0,9300 -0,7790 -0,5742 -0,3462 -0,1145 0,1075 0,2986 0,4349 0,5141 0,5680 0,6364 0,7292 0,8198 0,8735 0,8657 0,7826 0,6226 0,4015 0,1501 -0,0977 -0,3112 -0,4696 -0,5781 -0,6700 -0,7774 -0,8974 -0,9942 -1,0260 -0,9675 -0,8212 -0,6190 -0,4122 -0,2509 -0,1636 -0,1418 -0,1409 -0,1116 -0,0324 0,0936 0,2518 0,4131 0,5321 0,5652 0,4962 0,3451 0,1495 -0,0645 -0,2948 -0,5501 -0,8246 -1,0847 -1,2811 -1,3831 -1,4001 -1,3750 -1,3612 -1,3946 -1,4674 -1,5358 -1,5584 -1,5185 -1,4159 -1,2556 -1,0444 -0,7840 -0,4704 -0,1132 0,2422 0,5268 0,6940 0,7527 0,7570 0,7663 0,8169 0,9144 1,0393 1,1592 1,2437 1,2792 1,2773 1,2711 1,3031 1,4112 1,6171 1,9158 2,2636 2,5793 2,7797 2,8244 2,7258 2,5258 2,2718 2,0066 1,7753 1,6290 1,6062 1,7124 1,9225 2,2027 2,5262 2,8725 3,2244 3,5674 3,8871 4,1686 4,4036 4,5997 4,7758 4,9428 5,0887 5,1822 5,1910 5,1020 4,9248 4,6772 4,3823 4,0798 3,8224 3,6525 3,5894 3,6393 3,8052 4,0786 4,4256 4,7804 5,0671 5,2443 5,3245 5,3453 5,3293 5,2732 5,1654 5,0123 4,8471 4,7083 4,6190 4,5934 4,6522 4,8217 5,1134 5,5011 5,9145 6,2649 6,4878 6,5773 6,5891 6,6037 6,6696 6,7769 6,8801 6,9369 6,9348 6,8955 6,8612 6,8719 6,9430 7,0499 7,1365 7,1544 7,1012 7,0169 6,9420 6,8900 6,8604 6,8558 6,8718 6,8827 6,8591 6,8036 6,7609 6,7883 6,9187 7,1475 7,4371 7,7310 7,9736 8,1342 8,2202 8,2648 8,2963 8,3193 8,3210 8,2790 8,1614 7,9381 7,5960 7,1410 6,5988 6,0261 5,5098 5,1432 4,9878 5,0430 5,2458 5,5062 5,7553 5,9690 6,1578 6,3492 6,5731 6,8404 7,1316 7,4106 7,6432 7,8061 7,8913 7,9008 7,8306 7,6627 7,3803 6,9931 6,5490 6,1215 5,7868 5,6041 5,5974 5,7451 5,9885 6,2597 6,5155 6,7536 6,9910 7,2270 7,4367 7,5929 7,6856 7,7293 7,7554 7,8019 7,9073 8,0967 8,3664 8,6875 9,0161 9,2993 9,4875 9,5561 9,5141 9,3970 9,2499 9,1066 8,9824 8,8839 8,8170 8,7831 8,7689 8,7393 8,6500 8,4711 8,1998 7,8626 7,5088 7,1930 6,9531 6,7970 6,7007 6,6168 6,4959 6,3178 6,1114 5,9398 5,8615 5,9009 6,0440 6,2565 6,5080 6,7750 7,0290 7,2419 7,4018 7,5082 7,5528 7,5123 7,3636 7,1139 6,8062 6,4876 6,1814 5,8958 5,6405 5,4269 5,2535 5,0952 4,9116 4,6755 4,3957 4,1130 3,8788 3,7399 3,7289 3,8499 4,0751 4,3630 4,6819 5,0115 5,3292 5,6073 5,8319 6,0028 6,1041 6,0941 5,9420 5,6598 5,2941 4,8988 4,5229 4,1978 3,9198 3,6555 3,3791 3,0906 2,8021 2,5288 2,2927 2,1263 2,0697 2,1593 2,4026 2,7568 3,1363 3,4553 3,6729 3,7989 3,8614 3,8733 3,8302 3,7378 3,6229 3,5189 3,4511 3,4359 3,4779 3,5638 3,6646 3,7511 3,8065 3,8267 3,8124 3,7696 3,7124 3,6530 3,5944 3,5438 3,5265 3,5791 3,7275 3,9671 4,2578
F3    1,0870 0,8503 0,6071 0,4054 0,2692 0,2005 0,1755 0,1509 0,0824 -0,0377 -0,1570 -0,2036 -0,1545 -0,0532 0,0241 -0,0007 -0,1887 -0,5495 -1,0131 -1,4595 -1,7933 -1,9956 -2,1053 -2,1594 -2,1653 -2,1160 -2,0110 -1,8634 -1,6898 -1,4960 -1,2781 -1,0331 -0,7499 -0,3927 0,0857 0,7020 1,4112 2,1089 2,6680 3,0039 3,1161 3,0500 2,8195 2,3953 1,7727 1,0273 0,2997 -0,2712 -0,6156 -0,7596 -0,7955 -0,8179 -0,8683 -0,9174 -0,8933 -0,7299 -0,4114 0,0108 0,4457 0,8179 1,1050 1,3178 1,4544 1,4945 1,4357 1,3085 1,1485 0,9635 0,7333 0,4283 0,0199 -0,5005 -1,0985 -1,7040 -2,2502 -2,7064 -3,0725 -3,3449 -3,4999 -3,5187 -3,4134 -3,2216 -2,9935 -2,7794 -2,6058 -2,4651 -2,3363 -2,2103 -2,0793 -1,9172 -1,6938 -1,4080 -1,0979 -0,8192 -0,6173 -0,5081 -0,4835 -0,5331 -0,6493 -0,8082 -0,9570 -1,0300 -0,9803 -0,7998 -0,5141 -0,1685 0,1793 0,4717 0,6739 0,7692 0,7311 0,5277 0,1644 -0,2816 -0,6757 -0,8879 -0,8623 -0,6391 -0,3128 0,0239 0,2961 0,4530 0,4930 0,4611 0,4104 0,3794 0,3986 0,4978 0,7041 1,0176 1,3861 1,7169 1,9227 1,9699 1,9002 1,8092 1,8023 1,9493 2,2470 2,6249 2,9972 3,3061 3,5210 3,6205 3,5924 3,4494 3,2303 2,9805 2,7226 2,4507 2,1596 1,8754 1,6557 1,5667 1,6467 1,8890 2,2641 2,7488 3,3236 3,9487 4,5534 5,0555 5,3992 5,5845 5,6600 5,6799 5,6787 5,6748 5,6650 5,6210 5,5230 5,4057 5,3507 5,4269 5,6397 5,9390 6,2627 6,5644 6,8043 6,9279 6,8727 6,6133 6,1947 5,6996 5,1892 4,6908 4,2297 3,8569 3,6323 3,5800 3,6827 3,9151 4,2471 4,6211 4,9539 5,1625 5,1955 5,0522 4,7835 4,4736 4,1992 3,9870 3,8156 3,6501 3,4651 3,2484 2,9973 2,7190 2,4363 2,1925 2,0400 2,0110 2,0997 2,2764 2,5107 2,7837 3,0817 3,3634 3,5279 3,4487 3,0782 2,5137 1,9464 1,5476 1,3912 1,4426 1,5903 1,6943 1,6435 1,3983 0,9890 0,4876 -0,0216 -0,4636 -0,7896 -0,9851 -1,0557 -0,9995 -0,8081 -0,4910 -0,0844 0,3450 0,6999 0,8848 0,8564 0,6433 0,3218 -0,0249 -0,3344 -0,5783 -0,7604 -0,8992 -1,0121 -1,1062 -1,1683 -1,1583 -1,0269 -0,7592 -0,4071 -0,0673 0,1850 0,3414 0,4389 0,5068 0,5448 0,5325 0,4427 0,2577 -0,0135 -0,3388 -0,6842 -1,0249 -1,3284 -1,5408 -1,6221 -1,5928 -1,5218 -1,4623 -1,4110 -1,3236 -1,1585 -0,9169 -0,6566 -0,4647 -0,4083 -0,5006 -0,6895 -0,8750 -0,9664 -0,9324 -0,7987 -0,6231 -0,4788 -0,4331 -0,5134 -0,6824 -0,8619 -0,9970 -1,0983 -1,2215 -1,4120 -1,6615 -1,9056 -2,0617 -2,0861 -2,0072 -1,9053 -1,8637 -1,9229 -2,0611 -2,2137 -2,3182 -2,3393 -2,2667 -2,1074 -1,8863 -1,6329 -1,3562 -1,0512 -0,7351 -0,4548 -0,2516 -0,1298 -0,0622 -0,0181 0,0173 0,0428 0,0576 0,0761 0,1187 0,1900 0,2750 0,3550 0,4296 0,5223 0,6590 0,8384 1,0279 1,1903 1,3125 1,4034 1,4691 1,5040 1,5005 1,4554 1,3775 1,2943 1,2444 1,2601 1,3570 1,5395 1,8019 2,1234 2,4720 2,8197 3,1507 3,4607 3,7531 4,0327 4,2978 4,5335 4,7103 4,7911 4,7440 4,5621 4,2768 3,9457 3,6341 3,4081 3,3179 3,3711 3,5314 3,7516 4,0026 4,2710 4,5376 4,7610 4,8942 4,9282 4,9038 4,8717 4,8467 4,8018 4,7029 4,5507 4,3815 4,2275 4,0941 3,9830 3,9190 3,9440 4,0900 4,3538 4,6844 4,9966 5,2193 5,3440 5,4301 5,5583 5,7703 6,0413 6,2985 6,4592 6,4778 6,3773 6,2344 6,1294 6,0983 6,1105 6,0909 5,9769 5,7698 5,5329 5,3347 5,2063 5,1475 5,1438 5,1648 5,1626 5,0984 4,9906 4,9223 4,9836 5,2097 5,5705 6,0009 6,4312 6,8011 7,0703 7,2358 7,3341 7,4134 7,5011 7,5905 7,6389 7,5792 7,3573 6,9660 6,4393 5,8311 5,2098 4,6577 4,2582 4,0694 4,0958 4,2847 4,5605 4,8653 5,1636 5,4266 5,6378 5,8036 5,9399 6,0600 6,1783 6,3033 6,4288 6,5397 6,6176 6,6352 6,5573 6,3574 6,0362 5,6287 5,2024 4,8499 4,6595 4,6685 4,8441 5,1058 5,3635 5,5618 5,7092 5,8509 6,0114 6,1758 6,3111 6,3901 6,4107 6,3983 6,3933 6,4436 6,5906 6,8440 7,1765 7,5396 7,8752 8,1227 8,2374 8,2138 8,0950 7,9490 7,8223 7,7180 7,6180 7,5108 7,3928 7,2495 7,0466 6,7488 6,3532 5,9009 5,4606 5,1027 4,8733 4,7795 4,7914 4,8528 4,8910 4,8390 4,6723 4,4306 4,1998 4,0644 4,0641 4,1840 4,3791 4,6114 4,8606 5,1098 5,3443 5,5643 5,7743 5,9550 6,0578 6,0302 5,8555 5,5694 5,2344 4,8991 4,5856 4,3101 4,0958 3,9555 3,8627 3,7583 3,5978 3,3853 3,1635 2,9870 2,9066 2,9557 3,1339 3,4077 3,7307 4,0649 4,3847 4,6621 4,8649 4,9840 5,0413 5,0488 4,9837 4,8191 4,5664 4,2746 4,0021 3,7953 3,6713 3,5968 3,5073 3,3651 3,1771 2,9601 2,7262 2,4960 2,3046 2,1980 2,2219 2,3987 2,6998 3,0439 3,3426 3,5554 3,6968 3,7965 3,8555 3,8511 3,7773 3,6614 3,5398 3,4418 3,3931 3,4103 3,4808 3,5615 3,6051 3,5834 3,4877 3,3262 3,1313 2,9510 2,8177 2,7344 2,7042 2,7548 2,9187 3,1960 3,5393 3,8746
F7    0,3627 0,3837 0,4390 0,4677 0,4055 0,2272 -0,0294 -0,2900 -0,4849 -0,5728 -0,5511 -0,4479 -0,2997 -0,1352 0,0222 0,1549 0,2583 0,3172 0,2771 0,0834 -0,2525 -0,6496 -1,0144 -1,2909 -1,4596 -1,5080 -1,4217 -1,2049 -0,8942 -0,5481 -0,2314 0,0039 0,1421 0,2054 0,2234 0,2123 0,1890 0,1830 0,2264 0,3354 0,4986 0,6782 0,8306 0,9295 0,9727 0,9742 0,9486 0,8963 0,8004 0,6375 0,4002 0,1140 -0,1654 -0,3736 -0,4692 -0,4565 -0,3716 -0,2441 -0,0771 0,1315 0,3540 0,5281 0,5889 0,5076 0,3041 0,0269 -0,2791 -0,5877 -0,8861 -1,1628 -1,3994 -1,5781 -1,6958 -1,7704 -1,8379 -1,9340 -2,0661 -2,2085 -2,3233 -2,3726 -2,3282 -2,1908 -1,9954 -1,7836 -1,5793 -1,3913 -1,2236 -1,0778 -0,9549 -0,8581 -0,7923 -0,7612 -0,7602 -0,7611 -0,7173 -0,6016 -0,4376 -0,2861 -0,2005 -0,1904 -0,2157 -0,2090 -0,1116 0,0923 0,3677 0,6530 0,9012 1,0967 1,2403 1,3386 1,4131 1,4956 1,6015 1,7136 1,8001 1,8452 1,8640 1,8886 1,9440 2,0328 2,1318 2,1952 2,1776 2,0651 1,8732 1,6106 1,2600 0,8084 0,2847 -0,2386 -0,6707 -0,9305 -0,9659 -0,7686 -0,3810 0,1159 0,6301 1,0884 1,4546 1,7230 1,9033 2,0156 2,0860 2,1312 2,1503 2,1346 2,0772 1,9702 1,8112 1,6215 1,4525 1,3690 1,4135 1,5765 1,8119 2,0844 2,3956 2,7612 3,1694 3,5627 3,8589 3,9922 3,9453 3,7540 3,4917 3,2504 3,1171 3,1441 3,3227 3,5815 3,8214 3,9644 3,9862 3,9214 3,8334 3,7721 3,7609 3,8144 3,9476 4,1629 4,4263 4,6636 4,8011 4,8198 4,7728 4,7540 4,8360 5,0190 5,2407 5,4327 5,5550 5,5953 5,5669 5,4981 5,3979 5,2381 4,9909 4,6827 4,3936 4,2045 4,1449 4,1795 4,2345 4,2385 4,1492 3,9578 3,6778 3,3350 2,9722 2,6444 2,3937 2,2373 2,1736 2,1832 2,2350 2,3036 2,3742 2,4392 2,5015 2,5669 2,6288 2,6742 2,7024 2,7348 2,8012 2,8986 2,9693 2,9380 2,7648 2,4653 2,0975 1,7333 1,4291 1,2070 1,0577 0,9595 0,8955 0,8666 0,9053 1,0645 1,3725 1,7970 2,2471 2,5989 2,7344 2,5959 2,2249 1,7487 1,3207 1,0588 1,0119 1,1596 1,4350 1,7607 2,0772 2,3462 2,5448 2,6662 2,7210 2,7308 2,7156 2,6883 2,6658 2,6699 2,7060 2,7605 2,8163 2,8476 2,8166 2,7058 2,5481 2,4074 2,3244 2,2872 2,2525 2,1845 2,0765 1,9522 1,8440 1,7612 1,6869 1,6112 1,5555 1,5585 1,6454 1,8144 2,0420 2,2959 2,5422 2,7511 2,9009 2,9779 2,9750 2,8969 2,7645 2,6078 2,4557 2,3278 2,2274 2,1388 2,0392 1,9164 1,7819 1,6672 1,6021 1,5880 1,5909 1,5633 1,4782 1,3534 1,2420 1,1901 1,2045 1,2615 1,3373 1,4254 1,5300 1,6451 1,7456 1,7962 1,7727 1,6771 1,5349 1,3886 1,2957 1,3202 1,5065 1,8466 2,2633 2,6400 2,8855 2,9802 2,9662 2,9035 2,8377 2,7976 2,8077 2,8787 2,9721 2,9989 2,8813 2,6064 2,2148 1,7599 1,2860 0,8413 0,4919 0,3032 0,3040 0,4658 0,7081 0,9454 1,1432 1,3201 1,5032 1,6948 1,8781 2,0437 2,2030 2,3700 2,5369 2,6766 2,7617 2,7764 2,7204 2,6075 2,4535 2,2670 2,0492 1,7968 1,5107 1,2083 0,9243 0,7016 0,5838 0,6091 0,7923 1,1079 1,4976 1,8910 2,2280 2,4822 2,6634 2,7903 2,8716 2,9197 2,9576 2,9995 3,0349 3,0447 3,0270 2,9948 2,9513 2,8842 2,7816 2,6484 2,5196 2,4524 2,4772 2,5561 2,6120 2,6083 2,5891 2,6378 2,8107 3,1053 3,4633 3,7982 4,0358 4,1405 4,1204 4,0177 3,8845 3,7553 3,6365 3,5148 3,3751 3,2087 3,0161 2,8120 2,6272 2,5022 2,4736 2,5576 2,7416 2,9883 3,2412 3,4356 3,5286 3,5270 3,4827 3,4551 3,4697 3,5053 3,5074 3,4114 3,1729 2,7943 2,3269 1,8498 1,4375 1,1333 0,9429 0,8490 0,8298 0,8678 0,9422 1,0273 1,1115 1,2110 1,3496 1,5296 1,7264 1,9049 2,0416 2,1367 2,2056 2,2631 2,3099 2,3203 2,2412 2,0153 1,6151 1,0662 0,4454 -0,1440 -0,5982 -0,8326 -0,8072 -0,5405 -0,0906 0,4788 1,1103 1,7411 2,3049 2,7583 3,0907 3,3016 3,3899 3,3684 3,2647 3,1121 2,9509 2,8247 2,7608 2,7545 2,7737 2,7817 2,7628 2,7223 2,6597 2,5609 2,4275 2,2948 2,2071 2,1829 2,2080 2,2560 2,3056 2,3384 2,3304 2,2508 2,0773 1,8182 1,5144 1,2162 0,9525 0,7191 0,5033 0,3224 0,2192 0,2181 0,3027 0,4257 0,5384 0,6262 0,7204 0,8677 1,0853 1,3400 1,5638 1,6962 1,7230 1,6814 1,6253 1,5800 1,5295 1,4388 1,2871 1,0854 0,8691 0,6727 0,5065 0,3541 0,1917 0,0089 -0,1813 -0,3495 -0,4705 -0,5468 -0,5953 -0,6108 -0,5707 -0,4714 -0,3256 -0,1361 0,0990 0,3677 0,6451 0,8976 1,0781 1,1347 1,0380 0,7971 0,4493 0,0485 -0,3431 -0,6756 -0,9326 -1,1259 -1,2755 -1,4022 -1,5252 -1,6499 -1,7548 -1,8002 -1,7569 -1,6257 -1,4242 -1,1659 -0,8682 -0,5702 -0,3229 -0,1650 -0,1117 -0,1568 -0,2748 -0,4286 -0,5837 -0,7113 -0,7883 -0,8126 -0,8079 -0,7980 -0,7820 -0,7444 -0,6779 -0,5900 -0,4908 -0,3871 -0,2894 -0,2169 -0,1889 -0,2160 -0,2983 -0,4266 -0,5724 -0,6866 -0,7229 -0,6721
