Fp1   7,0748 6,7091 6,1399 5,3359 4,3356 3,2329 2,1383 1,1471 0,3107 -0,3838 -0,9939 -1,5739 -2,1459 -2,6963 -3,1799 -3,5352 -3,7111 -3,6802 -3,4386 -3,0095 -2,4469 -1,8302 -1,2461 -0,7613 -0,4061 -0,1683 0,0013 0,1537 0,3086 0,4589 0,5885 0,6744 0,6912 0,6271 0,4986 0,3579 0,2719 0,2810 0,3703 0,4781 0,5339 0,4901 0,3262 0,0442 -0,3299 -0,7578 -1,2084 -1,6539 -2,0552 -2,3679 -2,5713 -2,6838 -2,7514 -2,8297 -2,9668 -3,1815 -3,4689 -3,8262 -4,2448 -4,6734 -5,0183 -5,1889 -5,1504 -4,9383 -4,6217 -4,2573 -3,8742 -3,4866 -3,1169 -2,8077 -2,5959 -2,4718 -2,3758 -2,2437 -2,0478 -1,8096 -1,5840 -1,4099 -1,2670 -1,0919 -0,8302 -0,4758 -0,0734 0,3089 0,6159 0,8212 0,9208 0,9185 0,8179 0,6329 0,4060 0,1977 0,0515 -0,0293 -0,0662 -0,0839 -0,1133 -0,1895 -0,3311 -0,5445 -0,8372 -1,2028 -1,6143 -2,0543 -2,5273 -3,0217 -3,4789 -3,8213 -4,0007 -4,0195 -3,9175 -3,7409 -3,5267 -3,3196 -3,1806 -3,1667 -3,3026 -3,5626 -3,8766 -4,1637 -4,3603 -4,4372 -4,4302 -4,4469 -4,6032 -4,9460 -5,4344 -5,9697 -6,4443 -6,7998 -7,0567 -7,2768 -7,4967 -7,7066 -7,8735 -7,9559 -7,9062 -7,6799 -7,2437 -6,5763 -5,6772 -4,5763 -3,3290 -2,0049 -0,6828 0,5668 1,7087 2,7591 3,7769 4,8190 5,8932 6,9598 7,9747 8,9072 9,7334 10,4439 11,0585 11,6177 12,1652 12,7295 13,2913 13,7718 14,0656 14,0890 13,8115 13,2666 12,5412 11,7496 10,9899 10,3030 9,6710 9,0597 8,4573 7,8715 7,3188 6,8283 6,4331 6,1309 5,8684 5,5851 5,2585 4,8946 4,5061 4,1114 3,7344 3,4033 3,1540 3,0157 2,9809 3,0036 3,0217 2,9681 2,7722 2,3835 1,8025 1,0825 0,3010 -0,4721 -1,1866 -1,8059 -2,3169 -2,7546 -3,1919 -3,6813 -4,2143 -4,7407 -5,1972 -5,5233 -5,6853 -5,6987 -5,6217 -5,5243 -5,4554 -5,4383 -5,4874 -5,6018 -5,7355 -5,8060 -5,7505 -5,5604 -5,2679 -4,9143 -4,5254 -4,1073 -3,6721 -3,2523 -2,8751 -2,5481 -2,2802 -2,0843 -1,9543 -1,8519 -1,7245 -1,5482 -1,3538 -1,2108 -1,1875 -1,3124 -1,5476 -1,8052 -2,0078 -2,1430 -2,2675 -2,4571 -2,7389 -3,0720 -3,3916 -3,6581 -3,8773 -4,0978 -4,3784 -4,7413 -5,1566 -5,5655 -5,9103 -6,1448 -6,2364 -6,1702 -5,9507 -5,6056 -5,1975 -4,8184 -4,5567 -4,4759 -4,5957 -4,8686 -5,1927 -5,4685 -5,6349 -5,6631 -5,5410 -5,2603 -4,8032 -4,1519 -3,3307 -2,4371 -1,6097 -0,9556 -0,5033 -0,1991 0,0630 0,3833 0,8111 1,3373 1,9033 2,4219 2,8205 3,0774 3,2201 3,2933 3,3214 3,2943 3,1902 3,0114 2,7992 2,6248 2,5593 2,6298 2,7923 2,9477 2,9940 2,8709 2,5843 2,1998 1,8084 1,4986 1,3486 1,4115 1,6934 2,1361 2,6145 2,9691 3,0671 2,8455 2,3148 1,5508 0,6908 -0,0971 -0,6768 -1,0011 -1,1252 -1,1697 -1,2482 -1,4184 -1,6901 -2,0559 -2,4978 -2,9738 -3,4182 -3,7789 -4,0596 -4,3222 -4,6397 -5,0408 -5,4863 -5,8859 -6,1398 -6,1843 -6,0104 -5,6553 -5,1984 -4,7492 -4,3969 -4,1659 -4,0306 -3,9524 -3,8905 -3,7970 -3,6273 -3,3717 -3,0768 -2,8185 -2,6465 -2,5597 -2,5212 -2,4832 -2,4044 -2,2605 -2,0489 -1,7787 -1,4496 -1,0581 -0,6362 -0,2587 0,0145 0,1847 0,2915 0,3752 0,4743 0,6174 0,7823 0,8828 0,8370 0,6540 0,4376 0,3016 0,2862 0,3487 0,4139 0,4219 0,3408 0,1546 -0,1492 -0,5661 -1,0483 -1,5241 -1,9432 -2,2862 -2,5528 -2,7647 -2,9605 -3,1778 -3,4477 -3,7984 -4,2446 -4,7675 -5,3195 -5,8530 -6,3419 -6,7810 -7,1818 -7,5651 -7,9449 -8,3163 -8,6606 -8,9541 -9,1686 -9,2790 -9,2869 -9,2211 -9,0989 -8,9092 -8,6449 -8,3266 -7,9838 -7,6401 -7,3174 -7,0349 -6,8067 -6,6431 -6,5405 -6,4772 -6,4283 -6,3722 -6,2744 -6,0897 -5,7936 -5,4058 -4,9769 -4,5617 -4,2035 -3,9339 -3,7782 -3,7541 -3,8553 -4,0354 -4,2212 -4,3410 -4,3386 -4,1875 -3,9157 -3,6012 -3,3256 -3,1344 -3,0328 -3,0045 -3,0260 -3,0584 -3,0343 -2,8768 -2,5554 -2,1235 -1,6898 -1,3504 -1,1381 -1,0264 -0,9689 -0,9322 -0,9091 -0,9148 -0,9717 -1,0941 -1,2826 -1,5203 -1,7644 -1,9517 -2,0358 -2,0234 -1,9690 -1,9359 -1,9570 -2,0374 -2,1803 -2,3820 -2,6043 -2,7779 -2,8432 -2,7825 -2,6113 -2,3567 -2,0553 -1,7511 -1,4844 -1,2978 -1,2492 -1,3976 -1,7563 -2,2611 -2,8006 -3,2803 -3,6649 -3,9849 -4,3131 -4,7235 -5,2618 -5,9439 -6,7530 -7,6239 -8,4485 -9,1179 -9,5620 -9,7678 -9,7801 -9,6733 -9,5026 -9,2822 -9,0111 -8,6981 -8,3440 -7,9186 -7,3777 -6,7068 -5,9479 -5,1764 -4,4518 -3,7906 -3,1738 -2,5657 -1,9353 -1,2799 -0,6326 -0,0415 0,4527 0,8392 1,1587 1,4779 1,8325 2,2082 2,5691 2,8927 3,1725 3,3905 3,5054 3,4708 3,2505 2,8344 2,2650 1,6284 0,9943 0,3802 -0,2193 -0,7983 -1,3489 -1,8914 -2,4732 -3,1300 -3,8447 -4,5475 -5,1721 -5,7076 -6,1838 -6,6241 -7,0403 -7,4539 -7,8913 -8,3647 -8,8720 -9,4038 -9,9375 -10,4294 -10,8308 -11,1177 -11,3010 -11,4080 -11,4636 -11,4886 -11,5021 -11,5098 -11,4929 -11,4127 -11,2276 -10,9189 -10,5067 -10,0352 -9,5441 -9,0561 -8,5836 -8,1364 -7,7207 -7,3498 -7,0525 -6,8347 -6,6375 -6,3783 -6,0384 -5,6811 -5,3799 -5,1578 -4,9957 -4,8630 -4,7285 -4,5633 -4,3572 -4,1277 -3,9045 -3,7042 -3,5181 -3,3041 -2,9842 -2,4894
Fz    7,3249 6,8569 6,2812 5,5785 4,7572 3,8584 2,9333 2,0238 1,1557 0,3377 -0,4358 -1,1739 -1,8807 -2,5477 -3,1374 -3,5827 -3,8176 -3,8105 -3,5724 -3,1497 -2,6149 -2,0552 -1,5487 -1,1375 -0,8181 -0,5528 -0,2938 -0,0146 0,2758 0,5512 0,7856 0,9513 1,0204 0,9713 0,8010 0,5440 0,2683 0,0370 -0,1285 -0,2480 -0,3508 -0,4552 -0,5737 -0,7137 -0,8738 -1,0550 -1,2708 -1,5319 -1,8278 -2,1404 -2,4731 -2,8471 -3,2739 -3,7495 -4,2630 -4,7914 -5,3023 -5,7706 -6,1747 -6,4789 -6,6409 -6,6410 -6,4935 -6,2308 -5,8818 -5,4609 -4,9672 -4,3928 -3,7483 -3,0838 -2,4708 -1,9541 -1,5282 -1,1569 -0,8041 -0,4559 -0,1217 0,1851 0,4660 0,7332 0,9921 1,2336 1,4417 1,6075 1,7369 1,8439 1,9441 2,0555 2,1892 2,3356 2,4704 2,5738 2,6329 2,6298 2,5539 2,4201 2,2522 2,0548 1,8119 1,4894 1,0422 0,4437 -0,2909 -1,1169 -1,9720 -2,7703 -3,4166 -3,8493 -4,0636 -4,0966 -4,0087 -3,8768 -3,7773 -3,7601 -3,8370 -3,9929 -4,2025 -4,4394 -4,6783 -4,8999 -5,0928 -5,2598 -5,4327 -5,6703 -6,0219 -6,4888 -7,0186 -7,5293 -7,9492 -8,2576 -8,4858 -8,6763 -8,8426 -8,9645 -9,0052 -8,9283 -8,7095 -8,3372 -7,8052 -7,1104 -6,2613 -5,2790 -4,1918 -3,0315 -1,8276 -0,5944 0,6723 1,9823 3,3368 4,7253 6,1218 7,4823 8,7564 9,9002 10,8827 11,7041 12,4074 13,0517 13,6781 14,2926 14,8519 15,2632 15,4276 15,2976 14,8965 14,2973 13,5894 12,8605 12,1805 11,5788 11,0392 10,5236 10,0015 9,4626 8,9262 8,4443 8,0759 7,8420 7,7065 7,6004 7,4580 7,2357 6,9215 6,5340 6,1092 5,6895 5,3224 5,0465 4,8640 4,7358 4,5977 4,3768 4,0111 3,4792 2,8174 2,1007 1,4036 0,7742 0,2243 -0,2616 -0,7042 -1,1191 -1,5232 -1,9322 -2,3471 -2,7496 -3,1012 -3,3551 -3,4911 -3,5366 -3,5465 -3,5733 -3,6526 -3,8008 -4,0145 -4,2639 -4,4892 -4,6236 -4,6298 -4,5128 -4,3074 -4,0636 -3,8266 -3,6138 -3,4110 -3,1884 -2,9187 -2,5964 -2,2530 -1,9456 -1,7230 -1,5996 -1,5545 -1,5551 -1,5807 -1,6268 -1,6990 -1,8072 -1,9503 -2,1100 -2,2712 -2,4381 -2,6275 -2,8550 -3,1255 -3,4335 -3,7722 -4,1296 -4,4785 -4,7875 -5,0370 -5,2216 -5,3498 -5,4400 -5,5004 -5,5142 -5,4559 -5,3145 -5,0925 -4,7943 -4,4399 -4,0787 -3,7780 -3,5971 -3,5503 -3,5825 -3,6008 -3,5354 -3,3624 -3,0910 -2,7495 -2,3686 -1,9591 -1,5057 -0,9964 -0,4538 0,0778 0,5698 1,0256 1,4702 1,9205 2,3631 2,7680 3,1148 3,3945 3,6034 3,7471 3,8342 3,8660 3,8391 3,7480 3,5782 3,3136 2,9629 2,5751 2,2264 1,9925 1,9160 1,9751 2,0973 2,2163 2,3039 2,3498 2,3451 2,2972 2,2515 2,2809 2,4395 2,7255 3,0768 3,3939 3,5774 3,5609 3,3205 2,8776 2,3092 1,7364 1,2766 0,9918 0,8669 0,8230 0,7631 0,6283 0,4158 0,1509 -0,1490 -0,4813 -0,8456 -1,2357 -1,6534 -2,1184 -2,6549 -3,2694 -3,9423 -4,6346 -5,2967 -5,8689 -6,2909 -6,5141 -6,5082 -6,2771 -5,8752 -5,3875 -4,8917 -4,4407 -4,0569 -3,7281 -3,4187 -3,0963 -2,7537 -2,4127 -2,1109 -1,8774 -1,7158 -1,6029 -1,4981 -1,3602 -1,1619 -0,8900 -0,5382 -0,1078 0,3832 0,8910 1,3596 1,7537 2,0670 2,2991 2,4507 2,5384 2,5807 2,5642 2,4472 2,2102 1,8944 1,5869 1,3701 1,2821 1,3110 1,4088 1,5038 1,5156 1,3776 1,0569 0,5641 -0,0436 -0,6844 -1,2876 -1,8015 -2,1860 -2,4216 -2,5233 -2,5441 -2,5632 -2,6604 -2,8915 -3,2742 -3,7868 -4,3797 -4,9923 -5,5685 -6,0702 -6,4825 -6,8098 -7,0610 -7,2343 -7,3138 -7,2827 -7,1467 -6,9453 -6,7303 -6,5317 -6,3518 -6,1902 -6,0512 -5,9292 -5,8093 -5,6782 -5,5253 -5,3489 -5,1650 -4,9994 -4,8741 -4,8015 -4,7712 -4,7379 -4,6439 -4,4587 -4,1868 -3,8466 -3,4594 -3,0594 -2,6948 -2,4121 -2,2477 -2,2247 -2,3316 -2,5092 -2,6761 -2,7647 -2,7436 -2,6235 -2,4417 -2,2326 -2,0146 -1,7930 -1,5600 -1,2960 -0,9805 -0,6063 -0,1839 0,2598 0,6849 1,0458 1,3095 1,4740 1,5645 1,6132 1,6419 1,6506 1,6118 1,4876 1,2587 0,9362 0,5492 0,1349 -0,2664 -0,6238 -0,9258 -1,1793 -1,3985 -1,5894 -1,7535 -1,9094 -2,0837 -2,2737 -2,4381 -2,5301 -2,5333 -2,4606 -2,3310 -2,1585 -1,9545 -1,7426 -1,5743 -1,5198 -1,6310 -1,9100 -2,3119 -2,7799 -3,2745 -3,7767 -4,2860 -4,8177 -5,3886 -6,0089 -6,6842 -7,4042 -8,1189 -8,7493 -9,2357 -9,5678 -9,7701 -9,8715 -9,8914 -9,8367 -9,7027 -9,4796 -9,1549 -8,7087 -8,1229 -7,4077 -6,6113 -5,7956 -5,0034 -4,2476 -3,5278 -2,8422 -2,1849 -1,5501 -0,9443 -0,3816 0,1309 0,5942 1,0205 1,4450 1,9054 2,4068 2,9203 3,4058 3,8316 4,1744 4,4019 4,4729 4,3607 4,0662 3,6178 3,0705 2,4959 1,9485 1,4334 0,9137 0,3496 -0,2783 -0,9728 -1,7295 -2,5395 -3,3835 -4,2242 -5,0166 -5,7268 -6,3408 -6,8655 -7,3271 -7,7563 -8,1688 -8,5669 -8,9562 -9,3461 -9,7358 -10,1102 -10,4535 -10,7622 -11,0390 -11,2827 -11,4942 -11,6884 -11,8861 -12,0891 -12,2672 -12,3657 -12,3273 -12,1314 -11,8136 -11,4351 -11,0357 -10,6221 -10,1881 -9,7382 -9,2908 -8,8654 -8,4746 -8,1158 -7,7700 -7,4258 -7,1031 -6,8316 -6,6131 -6,4252 -6,2486 -6,0710 -5,8690 -5,6087 -5,2722 -4,8765 -4,4606 -4,0600 -3,6959 -3,3736 -3,0716 -2,7529
F3    8,2073 7,8002 7,1739 6,2979 5,2099 4,0078 2,8074 1,7059 0,7553 -0,0497 -0,7540 -1,4044 -2,0225 -2,5955 -3,0759 -3,4026 -3,5339 -3,4595 -3,1939 -2,7712 -2,2431 -1,6749 -1,1263 -0,6260 -0,1748 0,2355 0,6150 0,9625 1,2495 1,4299 1,4642 1,3357 1,0567 0,6660 0,2213 -0,2041 -0,5335 -0,7195 -0,7765 -0,7779 -0,8102 -0,9264 -1,1338 -1,4047 -1,6907 -1,9522 -2,1859 -2,4165 -2,6589 -2,9028 -3,1347 -3,3628 -3,6160 -3,9258 -4,3071 -4,7454 -5,2080 -5,6697 -6,1140 -6,5071 -6,7929 -6,9171 -6,8599 -6,6502 -6,3418 -5,9768 -5,5750 -5,1488 -4,7216 -4,3348 -4,0274 -3,8015 -3,6230 -3,4530 -3,2721 -3,0876 -2,9234 -2,7826 -2,6214 -2,3771 -2,0198 -1,5727 -1,1010 -0,6823 -0,3693 -0,1697 -0,0546 0,0147 0,0609 0,0888 0,1095 0,1506 0,2265 0,3078 0,3412 0,2929 0,1578 -0,0557 -0,3338 -0,6647 -1,0484 -1,4893 -1,9877 -2,5434 -3,1501 -3,7674 -4,3065 -4,6670 -4,7942 -4,7096 -4,4949 -4,2463 -4,0342 -3,8948 -3,8460 -3,9033 -4,0790 -4,3632 -4,7111 -5,0612 -5,3632 -5,5925 -5,7632 -5,9299 -6,1531 -6,4523 -6,7993 -7,1453 -7,4475 -7,6936 -7,9120 -8,1468 -8,4149 -8,6954 -8,9468 -9,1142 -9,1297 -8,9279 -8,4693 -7,7401 -6,7433 -5,5032 -4,0765 -2,5566 -1,0583 0,3215 1,5393 2,6156 3,6210 4,6348 5,6915 6,7705 7,8337 8,8505 9,7914 10,6328 11,3743 12,0347 12,6328 13,1726 13,6281 13,9422 14,0500 13,9107 13,5267 12,9404 12,2201 11,4389 10,6527 9,8896 9,1601 8,4769 7,8655 7,3522 6,9509 6,6685 6,5005 6,4013 6,2783 6,0483 5,6986 5,2816 4,8654 4,4960 4,1864 3,9240 3,6910 3,4821 3,3044 3,1655 3,0529 2,9255 2,7282 2,4165 1,9723 1,4031 0,7306 -0,0221 -0,8317 -1,6622 -2,4683 -3,2265 -3,9456 -4,6334 -5,2623 -5,7818 -6,1500 -6,3492 -6,3891 -6,3052 -6,1474 -5,9654 -5,7999 -5,6869 -5,6642 -5,7528 -5,9177 -6,0674 -6,1041 -5,9748 -5,6913 -5,3139 -4,9062 -4,4986 -4,0994 -3,7234 -3,3911 -3,1199 -2,9295 -2,8372 -2,8391 -2,8947 -2,9373 -2,9152 -2,8220 -2,6893 -2,5598 -2,4707 -2,4400 -2,4545 -2,4873 -2,5381 -2,6518 -2,8829 -3,2315 -3,6286 -3,9899 -4,2713 -4,4810 -4,6690 -4,8973 -5,1932 -5,5239 -5,8223 -6,0338 -6,1324 -6,1102 -5,9732 -5,7414 -5,4435 -5,1221 -4,8364 -4,6459 -4,5936 -4,6890 -4,8891 -5,1111 -5,2745 -5,3274 -5,2445 -5,0241 -4,6816 -4,2250 -3,6467 -2,9605 -2,2377 -1,5839 -1,0762 -0,7237 -0,4658 -0,2071 0,1258 0,5491 1,0268 1,4885 1,8541 2,0749 2,1603 2,1649 2,1527 2,1614 2,1793 2,1576 2,0585 1,8986 1,7482 1,6886 1,7618 1,9451 2,1654 2,3350 2,3877 2,3056 2,1257 1,9162 1,7498 1,6910 1,7840 2,0381 2,4143 2,8214 3,1378 3,2531 3,1030 2,6828 2,0477 1,3060 0,5940 0,0300 -0,3355 -0,5379 -0,6678 -0,8147 -1,0266 -1,3119 -1,6647 -2,0753 -2,5199 -2,9520 -3,3212 -3,6122 -3,8622 -4,1298 -4,4436 -4,7782 -5,0712 -5,2608 -5,3138 -5,2259 -5,0189 -4,7560 -4,5307 -4,4013 -4,3470 -4,3097 -4,2528 -4,1630 -4,0247 -3,8163 -3,5342 -3,2210 -2,9581 -2,8124 -2,7831 -2,7985 -2,7623 -2,6083 -2,3224 -1,9305 -1,4700 -0,9704 -0,4606 0,0075 0,3647 0,5680 0,6294 0,6035 0,5580 0,5563 0,6417 0,8027 0,9610 1,0283 0,9875 0,9081 0,8799 0,9351 1,0306 1,0894 1,0483 0,8771 0,5746 0,1553 -0,3490 -0,8774 -1,3565 -1,7382 -2,0121 -2,1960 -2,3341 -2,4844 -2,6920 -2,9802 -3,3621 -3,8398 -4,3947 -4,9965 -5,6187 -6,2358 -6,8144 -7,3241 -7,7533 -8,1122 -8,4248 -8,7120 -8,9698 -9,1628 -9,2512 -9,2243 -9,1024 -8,9065 -8,6406 -8,3089 -7,9293 -7,5244 -7,1177 -6,7404 -6,4295 -6,2177 -6,1189 -6,1122 -6,1434 -6,1515 -6,0863 -5,9048 -5,5789 -5,1198 -4,5897 -4,0818 -3,6831 -3,4427 -3,3669 -3,4375 -3,6317 -3,9175 -4,2383 -4,5185 -4,6877 -4,6968 -4,5326 -4,2333 -3,8748 -3,5240 -3,2065 -2,9150 -2,6400 -2,3884 -2,1654 -1,9416 -1,6572 -1,2773 -0,8388 -0,4295 -0,1256 0,0528 0,1327 0,1506 0,1256 0,0578 -0,0557 -0,2107 -0,4031 -0,6390 -0,9254 -1,2459 -1,5487 -1,7713 -1,8811 -1,8981 -1,8783 -1,8659 -1,8693 -1,8839 -1,9090 -1,9303 -1,9090 -1,8062 -1,6167 -1,3684 -1,1000 -0,8503 -0,6489 -0,5075 -0,4318 -0,4438 -0,5815 -0,8693 -1,2921 -1,8010 -2,3386 -2,8663 -3,3850 -3,9318 -4,5429 -5,2207 -5,9392 -6,6643 -7,3515 -7,9445 -8,3967 -8,6896 -8,8341 -8,8678 -8,8401 -8,7790 -8,6776 -8,5151 -8,2781 -7,9548 -7,5217 -6,9583 -6,2769 -5,5316 -4,7877 -4,0849 -3,4312 -2,8194 -2,2330 -1,6450 -1,0362 -0,4204 0,1613 0,6682 1,0884 1,4539 1,8180 2,2074 2,6028 2,9656 3,2783 3,5505 3,7818 3,9365 3,9595 3,8067 3,4737 3,0143 2,5165 2,0412 1,5933 1,1515 0,7026 0,2367 -0,2720 -0,8637 -1,5621 -2,3415 -3,1258 -3,8369 -4,4488 -4,9827 -5,4665 -5,9242 -6,3889 -6,8897 -7,4258 -7,9734 -8,5152 -9,0445 -9,5453 -9,9957 -10,3926 -10,7524 -11,0845 -11,3776 -11,6166 -11,7996 -11,9330 -12,0131 -12,0136 -11,8905 -11,6146 -11,1998 -10,6954 -10,1568 -9,6253 -9,1243 -8,6661 -8,2551 -7,8961 -7,6084 -7,4082 -7,2604 -7,0849 -6,8315 -6,5199 -6,2008 -5,9038 -5,6276 -5,3572 -5,0764 -4,7722 -4,4413 -4,0953 -3,7515 -3,4156 -3,0783 -2,7175 -2,2961 -1,7839
F7    5,5741 5,2294 4,8098 4,3433 3,8602 3,3781 2,8976 2,4159 1,9327 1,4366 0,9031 0,3166 -0,3123 -0,9485 -1,5395 -2,0243 -2,3496 -2,4920 -2,4707 -2,3341 -2,1370 -1,9289 -1,7432 -1,5802 -1,4147 -1,2295 -1,0323 -0,8452 -0,6843 -0,5530 -0,4500 -0,3731 -0,3122 -0,2498 -0,1798 -0,1196 -0,0939 -0,1126 -0,1695 -0,2539 -0,3490 -0,4308 -0,4853 -0,5240 -0,5683 -0,6321 -0,7298 -0,8839 -1,1175 -1,4427 -1,8487 -2,2967 -2,7341 -3,1183 -3,4304 -3,6742 -3,8640 -4,0086 -4,1017 -4,1282 -4,0779 -3,9537 -3,7726 -3,5638 -3,3558 -3,1596 -2,9611 -2,7278 -2,4280 -2,0522 -1,6203 -1,1715 -0,7526 -0,4111 -0,1866 -0,1083 -0,1947 -0,4380 -0,7841 -1,1395 -1,4101 -1,5379 -1,5106 -1,3468 -1,0796 -0,7537 -0,4143 -0,0788 0,2667 0,6278 0,9729 1,2519 1,4234 1,4673 1,3964 1,2535 1,0808 0,8945 0,6903 0,4609 0,1995 -0,1121 -0,5075 -1,0180 -1,6490 -2,3717 -3,1242 -3,8241 -4,4007 -4,8278 -5,1264 -5,3412 -5,5123 -5,6615 -5,7915 -5,8880 -5,9265 -5,8867 -5,7738 -5,6300 -5,5143 -5,4664 -5,4913 -5,5738 -5,6996 -5,8550 -6,0182 -6,1665 -6,2900 -6,3933 -6,4834 -6,5595 -6,6162 -6,6469 -6,6386 -6,5662 -6,3943 -6,0936 -5,6609 -5,1192 -4,4957 -3,8002 -3,0245 -2,1642 -1,2372 -0,2744 0,7022 1,6827 2,6569 3,6137 4,5486 5,4612 6,3438 7,1769 7,9380 8,6198 9,2389 9,8209 10,3708 10,8548 11,2083 11,3673 11,3064 11,0589 10,7050 10,3323 9,9998 9,7252 9,4938 9,2784 9,0576 8,8199 8,5587 8,2744 7,9821 7,7112 7,4884 7,3124 7,1491 6,9548 6,7032 6,3876 6,0070 5,5683 5,1028 4,6510 4,2235 3,8010 3,3770 2,9715 2,5947 2,2228 1,8249 1,3924 0,9329 0,4588 -0,0127 -0,4697 -0,9223 -1,3936 -1,8850 -2,3612 -2,7804 -3,1267 -3,4046 -3,6153 -3,7568 -3,8404 -3,8902 -3,9341 -3,9994 -4,1107 -4,2784 -4,4897 -4,7173 -4,9311 -5,0993 -5,1938 -5,1986 -5,1105 -4,9395 -4,7104 -4,4505 -4,1681 -3,8515 -3,4858 -3,0666 -2,6161 -2,1849 -1,8241 -1,5541 -1,3610 -1,2216 -1,1344 -1,1219 -1,1970 -1,3328 -1,4800 -1,6043 -1,6976 -1,7674 -1,8379 -1,9541 -2,1650 -2,4897 -2,8997 -3,3355 -3,7341 -4,0485 -4,2565 -4,3558 -4,3570 -4,2839 -4,1754 -4,0800 -4,0419 -4,0797 -4,1792 -4,3060 -4,4278 -4,5372 -4,6495 -4,7758 -4,9046 -5,0068 -5,0496 -5,0152 -4,9128 -4,7613 -4,5703 -4,3483 -4,1168 -3,8980 -3,6865 -3,4473 -3,1448 -2,7670 -2,3281 -1,8589 -1,3975 -0,9875 -0,6715 -0,4625 -0,3247 -0,2004 -0,0553 0,1061 0,2652 0,4088 0,5281 0,6140 0,6481 0,6006 0,4513 0,2187 -0,0416 -0,2696 -0,4286 -0,5054 -0,4971 -0,4091 -0,2667 -0,1140 0,0042 0,0639 0,0740 0,0673 0,0790 0,1368 0,2597 0,4434 0,6421 0,7760 0,7745 0,6260 0,3867 0,1339 -0,0951 -0,3198 -0,5793 -0,8883 -1,2326 -1,5985 -1,9800 -2,3604 -2,7097 -3,0032 -3,2343 -3,4104 -3,5452 -3,6546 -3,7481 -3,8219 -3,8741 -3,9236 -4,0066 -4,1546 -4,3666 -4,5924 -4,7560 -4,8072 -4,7490 -4,6131 -4,4296 -4,2278 -4,0374 -3,8741 -3,7376 -3,6240 -3,5251 -3,4302 -3,3380 -3,2537 -3,1739 -3,0796 -2,9460 -2,7579 -2,5185 -2,2487 -1,9788 -1,7354 -1,5294 -1,3519 -1,1775 -0,9831 -0,7645 -0,5306 -0,2872 -0,0349 0,2232 0,4728 0,6939 0,8773 1,0272 1,1539 1,2817 1,4439 1,6500 1,8567 1,9772 1,9315 1,7009 1,3315 0,8893 0,4197 -0,0587 -0,5370 -0,9973 -1,4130 -1,7745 -2,0955 -2,3871 -2,6475 -2,8864 -3,1416 -3,4591 -3,8601 -4,3206 -4,7790 -5,1745 -5,4834 -5,7195 -5,9064 -6,0482 -6,1261 -6,1243 -6,0532 -5,9436 -5,8253 -5,7144 -5,6178 -5,5404 -5,4825 -5,4298 -5,3532 -5,2299 -5,0661 -4,8922 -4,7357 -4,6016 -4,4724 -4,3177 -4,1072 -3,8251 -3,4816 -3,1123 -2,7591 -2,4507 -2,1967 -1,9957 -1,8416 -1,7274 -1,6563 -1,6542 -1,7488 -1,9287 -2,1452 -2,3538 -2,5334 -2,6762 -2,7854 -2,8689 -2,9196 -2,9085 -2,8033 -2,5933 -2,2998 -1,9676 -1,6398 -1,3365 -1,0616 -0,8231 -0,6357 -0,5070 -0,4341 -0,4052 -0,3993 -0,3896 -0,3572 -0,3007 -0,2319 -0,1655 -0,1137 -0,0847 -0,0922 -0,1589 -0,2975 -0,4866 -0,6791 -0,8302 -0,9127 -0,9261 -0,9032 -0,8907 -0,9144 -0,9715 -1,0467 -1,1258 -1,2001 -1,2717 -1,3505 -1,4404 -1,5318 -1,6145 -1,6934 -1,7853 -1,9135 -2,1123 -2,4163 -2,8314 -3,3261 -3,8634 -4,4283 -5,0195 -5,6211 -6,1922 -6,6809 -7,0388 -7,2302 -7,2497 -7,1293 -6,9212 -6,6797 -6,4549 -6,2800 -6,1502 -6,0220 -5,8430 -5,5916 -5,2854 -4,9507 -4,5903 -4,1785 -3,6861 -3,1115 -2,4949 -1,9031 -1,3932 -0,9783 -0,6288 -0,3075 0,0040 0,3142 0,6363 0,9820 1,3469 1,7106 2,0546 2,3728 2,6711 2,9545 3,2076 3,3885 3,4505 3,3712 3,1587 2,8433 2,4643 2,0442 1,5723 1,0293 0,4267 -0,1917 -0,7752 -1,2910 -1,7414 -2,1674 -2,6220 -3,1353 -3,7027 -4,2904 -4,8467 -5,3297 -5,7329 -6,0789 -6,3978 -6,7241 -7,0999 -7,5526 -8,0625 -8,5631 -8,9772 -9,2583 -9,4109 -9,4797 -9,5155 -9,5466 -9,5771 -9,6007 -9,6054 -9,5699 -9,4723 -9,3078 -9,0917 -8,8482 -8,5980 -8,3555 -8,1273 -7,8988 -7,6266 -7,2707 -6,8454 -6,4246 -6,0911 -5,8832 -5,7837 -5,7417 -5,6956 -5,5877 -5,3727 -5,0309 -4,5844 -4,1019 -3,6780 -3,3865 -3,2407 -3,1942 -3,1726 -3,1068 -2,9617
