"","participant_home_ID","session1_digit_span","session1_Stroop","session1_ASRT"
"1","ahsw7",27,76.4371939643104,192.971212113038
"2","bder6",15,170.221969939156,755.232484615065
"3","chkk1",31,-41.7227408080573,NA
"4","crar9",22,62.2716270016614,NA
"5","dbrb5",30,142.799270557009,659.469502164903
"6","exdq7",24,103.511135149622,NA
"7","ezje7",36,36.424432523915,NA
"8","finc3",37,277.256798959216,NA
"9","fqrf6",18,184.582826233942,818.493919124354
"10","fwma9",38,62.3409748442892,NA
"11","gjop6",35,87.138703700293,NA
"12","gxac7",23,84.1406779663248,860.366569200642
"13","hcqa8",30,69.0861965995954,NA
"14","hymj4",21,101.629496865153,392.350592322199
"15","idyh6",25,164.701855343861,NA
"16","jpxp4",23,-47.9021426287177,864.407621761197
"17","ksjo8",26,209.332638198041,NA
"18","ltsl3",16,NA,938.616414244508
"19","mrbf1",18,212.939924674407,NA
"20","noyy6",34,187.752718830516,NA
"21","plco6",19,85.6240115719296,766.742686261003
"22","qdvg4",27,110.417963007644,764.541010452931
"23","qgsl9",34,126.218148147177,758.724169787306
"24","qlhb2",32,118.358426595214,740.31525701684
"25","rlgy8",26,197.988559320467,NA
"26","rqed8",31,121.567380394673,-25.8231797249086
"27","rvax5",29,91.9595103537371,NA
"28","ugqo0",24,28.1227374475498,743.885935114143
"29","uicn9",20,127.235220118476,NA
"30","usjs8",27,46.7449312439632,NA
"31","uyxx3",28,74.5569366111145,NA
"32","wbij5",38,298.577149758409,751.864629630025
"33","wjob1",43,43.7966666007653,NA
"34","xqls8",32,86.7091246599794,NA
"35","yozx4",20,95.2830497987391,711.326206242882
"36","zhao8",34,59.958518514589,NA
"37","zllv8",23,18.6466861460176,636.379706662208
"38","ztwr3",24,170.829595827921,NA
"39","zuff1",27,92.7038920276085,NA
"40","zuwa4",39,154.449591203606,NA
