Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1710252305337,12/03/2024 14:05:05,1710255905337,1,12/03/2024 16:05:05,143587,32,questionnaire-qeou,,36013546,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,WELCOME,5,ASRT,,,,,5,,BEGIN,,,,,
2,1710252320294,12/03/2024 14:05:20,1710255920294,1,12/03/2024 16:05:20,143587,32,questionnaire-qeou,,36013546,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,WELCOME,5,ASRT,Page 1,h7jt8s,1,,continue,,,,,screen,0,screen
3,1710252320296,12/03/2024 14:05:20,1710255920296,1,12/03/2024 16:05:20,143587,32,questionnaire-qeou,,36013546,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,WELCOME,5,ASRT,,,,,5,,END,,,,,
1,1711049341393,21/03/2024 19:29:01,1711052941393,1,21/03/2024 21:29:01,143587,32,questionnaire-qeou,,36321763,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,WELCOME,5,Stroop ,,,,,5,,BEGIN,,,,,
2,1711049432701,21/03/2024 19:30:32,1711053032701,1,21/03/2024 21:30:32,143587,32,questionnaire-qeou,,36321763,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,WELCOME,5,Stroop ,Page 1,h7jt8s,1,,continue,,,,,screen,0,screen
3,1711049432706,21/03/2024 19:30:32,1711053032706,1,21/03/2024 21:30:32,143587,32,questionnaire-qeou,,36321763,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,WELCOME,5,Stroop ,,,,,5,,END,,,,,
1,1711280967388,24/03/2024 11:49:27,1711284567388,1,24/03/2024 13:49:27,143587,32,questionnaire-qeou,,36386824,uyxx3,9856555,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,WELCOME,5,DGS,,,,,5,,BEGIN,,,,,
2,1711280994637,24/03/2024 11:49:54,1711284594637,1,24/03/2024 13:49:54,143587,32,questionnaire-qeou,,36386824,uyxx3,9856555,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,WELCOME,5,DGS,Page 1,h7jt8s,1,,continue,,,,,screen,0,screen
3,1711280994639,24/03/2024 11:49:54,1711284594639,1,24/03/2024 13:49:54,143587,32,questionnaire-qeou,,36386824,uyxx3,9856555,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,WELCOME,5,DGS,,,,,5,,END,,,,,
1,1711296419899,24/03/2024 16:06:59,1711300019899,1,24/03/2024 18:06:59,143587,32,questionnaire-qeou,,36393511,crar9,9856432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x800,1280x665,,,0,WELCOME,5,ASRT,,,,,5,,BEGIN,,,,,
