Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,d1,answer,TimedSection,listLength,,ItemNo
1,1708880140374,25/02/2024 16:55:40,1708880140227,1,25/02/2024 17:55:40,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1708880149663,25/02/2024 16:55:49,1708880149547,1,25/02/2024 17:55:49,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,1,1,1,Screen 1,button,continue_button,9298.400000095367,,,,,0,1,0,,,,,,Instructions,,,,,,
3,1708880175866,25/02/2024 16:56:15,1708880175762,1,25/02/2024 17:56:15,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,2,1,1,Screen 4,advancementZone,continue_button,26204.800000190735,,,,,0,1,0,,,,,,Instructions Digit Forwards,,,,,,
4,1708880176144,25/02/2024 16:56:16,1708880176056,1,25/02/2024 17:56:16,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,3,1,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;""> 5</p>",,,3,,
5,1708880177143,25/02/2024 16:56:17,1708880177057,1,25/02/2024 17:56:17,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,3,1,2,Screen 2,Zone2,timelimit_screen,999.9000000000015,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;""> 5</p>",,,3,,
6,1708880177458,25/02/2024 16:56:17,1708880177358,1,25/02/2024 17:56:17,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,4,2,1,Screen 1,fixation,fixation,299.90000000000146,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
7,1708880178444,25/02/2024 16:56:18,1708880178358,1,25/02/2024 17:56:18,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,4,2,2,Screen 2,Zone2,timelimit_screen,1000.0999999999985,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
8,1708880178739,25/02/2024 16:56:18,1708880178656,1,25/02/2024 17:56:18,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,5,3,1,Screen 1,fixation,fixation,299.90000000000146,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
9,1708880179751,25/02/2024 16:56:19,1708880179658,1,25/02/2024 17:56:19,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,5,3,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">9</p>",,,3,,
10,1708880183435,25/02/2024 16:56:23,1708880183351,1,25/02/2024 17:56:23,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,6,1,1,Screen 1,Zone2,response_text_entry,1479.9000000953674,,Enter Key,579,1,1,0,0,,,,,,Test_Forwards,,579,8000,3,,F3_1
11,1708880183728,25/02/2024 16:56:23,1708880183641,1,25/02/2024 17:56:23,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,7,4,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
12,1708880184741,25/02/2024 16:56:24,1708880184642,1,25/02/2024 17:56:24,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,7,4,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">7</p>",,,3,,
13,1708880185029,25/02/2024 16:56:25,1708880184941,1,25/02/2024 17:56:24,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,8,5,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">1</p>",,,3,,
14,1708880186033,25/02/2024 16:56:26,1708880185943,1,25/02/2024 17:56:25,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,8,5,2,Screen 2,Zone2,timelimit_screen,999.9000000000015,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">1</p>",,,3,,
15,1708880186340,25/02/2024 16:56:26,1708880186241,1,25/02/2024 17:56:26,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,9,6,1,Screen 1,fixation,fixation,300,,,,,0,1,0,,,,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
16,1708880187328,25/02/2024 16:56:27,1708880187243,1,25/02/2024 17:56:27,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,9,6,2,Screen 2,Zone2,timelimit_screen,1000,,,,,0,1,0,,,1,,,Task,"<p style=""font-size: 700%;"">6</p>",,,3,,
17,1708880192257,25/02/2024 16:56:32,1708880192172,1,25/02/2024 17:56:32,143587,31,task-incd,,35489590,qdvg4,9856429,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,"1. Digit Span task (forward, backward)",7,DGS,ListA,ListA,10,2,1,Screen 1,Zone2,response_text_entry,1236.1000003814697,,Enter Key,716,1,1,0,0,,,,,,Test_Forwards,,716,8000,3,,F3_2
