Fp1   1,0276 0,8414 0,6593 0,5493 0,5751 0,7323 0,9649 1,2178 1,4515 1,6444 1,7969 1,9184 2,0106 2,0525 1,9888 1,7773 1,4587 1,1382 0,8942 0,7393 0,6493 0,5771 0,4602 0,2517 -0,0720 -0,5250 -1,0820 -1,6483 -2,0998 -2,3439 -2,3422 -2,1150 -1,7271 -1,2556 -0,7733 -0,3450 -0,0111 0,2250 0,3946 0,5388 0,6559 0,6837 0,5486 0,2053 -0,3658 -1,1441 -2,0415 -2,9187 -3,6469 -4,1713 -4,5234 -4,7786 -5,0062 -5,2378 -5,4531 -5,5982 -5,6370 -5,5822 -5,4647 -5,2948 -5,0701 -4,7880 -4,4256 -3,9429 -3,3347 -2,6605 -2,0124 -1,4662 -1,0658 -0,8284 -0,7321 -0,7232 -0,7542 -0,8088 -0,9071 -1,1025 -1,4607 -2,0239 -2,7586 -3,5414 -4,2500 -4,8596 -5,4143 -5,9303 -6,3555 -6,6132 -6,6564 -6,4776 -6,1076 -5,6295 -5,1729 -4,8599 -4,7396 -4,7712 -4,8733 -4,9870 -5,0919 -5,1893 -5,2818 -5,3619 -5,4177 -5,4545 -5,4995 -5,5819 -5,7231 -5,9531 -6,3270 -6,9074 -7,7141 -8,6859 -9,6964 -10,6078 -11,3293 -11,8617 -12,3014 -12,7628 -13,2793 -13,7867 -14,1865 -14,4130 -14,4547 -14,3182 -13,9815 -13,4100 -12,6128 -11,6428 -10,5546 -9,4099 -8,3136 -7,3998 -6,7493 -6,3340 -6,0704 -5,9035 -5,8154 -5,7838 -5,7554 -5,6431 -5,3632 -4,9090 -4,3750 -3,8873 -3,5246 -3,3002 -3,1885 -3,1520 -3,1544 -3,1667 -3,1602 -3,0978 -2,9479 -2,7108 -2,4167 -2,0932 -1,7541 -1,4296 -1,1908 -1,1243 -1,2760 -1,6151 -2,0458 -2,4662 -2,8363 -3,1816 -3,5196 -3,8230 -4,0671 -4,2598 -4,4083 -4,4860 -4,4463 -4,2625 -3,9454 -3,5327 -3,0714 -2,6064 -2,1888 -1,8691 -1,6589 -1,5127 -1,3629 -1,1736 -0,9617 -0,7666 -0,6143 -0,5187 -0,4973 -0,5552 -0,6495 -0,6880 -0,5703 -0,2529 0,1993 0,6351 0,9253 1,0578 1,1119 1,1584 1,2129 1,2623 1,2831 1,2338 1,0773 0,8281 0,5617 0,3676 0,3031 0,3782 0,5667 0,8342 1,1664 1,5702 2,0402 2,5263 2,9492 3,2558 3,4448 3,5344 3,5304 3,4438 3,3004 3,1139 2,8889 2,6581 2,4699 2,3402 2,2470 2,1707 2,1211 2,1162 2,1496 2,1973 2,2499 2,3206 2,4185 2,5338 2,6463 2,7308 2,7522 2,6729 2,4853 2,2289 1,9577 1,6961 1,4334 1,1582 0,8973 0,7157 0,6583 0,7001 0,7807 0,8748 0,9896 1,1225 1,2504 1,3248 1,2653 1,0036 0,5501 0,0013 -0,5113 -0,8807 -1,0660 -1,1152 -1,1363 -1,2118 -1,3344 -1,4357 -1,4668 -1,4453 -1,4326 -1,4707 -1,5515 -1,6481 -1,7520 -1,8554 -1,9177 -1,8798 -1,7114 -1,4389 -1,1365 -0,8923 -0,7742 -0,8010 -0,9179 -1,0121 -0,9749 -0,7583 -0,3774 0,1224 0,6833 1,2389 1,7281 2,1163 2,4108 2,6587 2,9212 3,2374 3,6127 4,0281 4,4552 4,8763 5,2843 5,6580 5,9462 6,0895 6,0673 5,9108 5,6671 5,3789 5,0953 4,8498 4,6319 4,4126 4,1692 3,8789 3,5338 3,1580 2,7857 2,4445 2,1727 2,0257 2,0485 2,2377 2,5372 2,8791 3,2326 3,6102 4,0215 4,4375 4,8113 5,1172 5,3520 5,5119 5,5705 5,4916 5,2886 5,0507 4,8865 4,8518 4,9301 5,0709 5,2434 5,4330 5,6004 5,6995 5,7417 5,8046 5,9685 6,2470 6,5738 6,8438 6,9720 6,9451 6,8362 6,7506 6,7467 6,8168 6,9290 7,0532 7,1644 7,2520 7,3216 7,3869 7,4711 7,6044 7,7894 7,9715 8,0737 8,0644 7,9754 7,8668 7,7993 7,8115 7,8949 8,0132 8,1413 8,2595 8,3344 8,3350 8,2611 8,1358 7,9765 7,7954 7,6051 7,3995 7,1593 6,8977 6,6732 6,5576 6,6000 6,7940 7,0816 7,4025 7,7278 8,0376 8,2943 8,4551 8,5096 8,4913 8,4461 8,4006 8,3672 8,3604 8,4019 8,5231 8,7583 9,1195 9,5778 10,0728 10,5429 10,9497 11,2817 11,5416 11,7277 11,8203 11,7966 11,6659 11,4682 11,2433 11,0338 10,8909 10,8376 10,8535 10,9138 11,0249 11,2153 11,4947 11,8251 12,1331 12,3466 12,4179 12,3351 12,1217 11,8251 11,4959 11,1640 10,8348 10,5163 10,2363 10,0188 9,8606 9,7390 9,6174 9,4483 9,1976 8,8670 8,5092 8,2288 8,1353 8,2755 8,6084 9,0248 9,3884 9,5879 9,5773 9,3887 9,1153 8,8582 8,6736 8,5694 8,5312 8,5288 8,5170 8,4632 8,3662 8,2431 8,1179 8,0192 7,9601 7,9116 7,8116 7,6043 7,2731 6,8743 6,5437 6,4288 6,5876 6,9393 7,3142 7,5601 7,6036 7,4407 7,1129 6,6786 6,1815 5,6619 5,1885 4,8227 4,5546 4,3308 4,1350 4,0129 4,0400 4,2659 4,6663 5,1520 5,6251 6,0323 6,3646 6,6107 6,7427 6,7438 6,6230 6,4142 6,1731 5,9585 5,8143 5,7618 5,7895 5,8529 5,8904 5,8409 5,6628 5,3453 4,9061 4,3902 3,8742 3,4496 3,1709 3,0195 2,9369 2,8777 2,8135 2,7215 2,5945 2,4479 2,3078 2,2060 2,1778 2,2334 2,3248 2,3622 2,2862 2,1296 1,9888 1,9235 1,9106 1,8894 1,8120 1,6688 1,4971 1,3445 1,2304 1,1679 1,1959 1,3512 1,6125 1,8867 2,0681 2,1181 2,0822 2,0406 2,0607 2,1839 2,4287 2,7921 3,2370 3,6777 4,0104 4,1790 4,1939 4,0984 3,9527 3,8306 3,8031 3,9175 4,1641 4,4482 4,6454 4,7141 4,7214 4,7553 4,8449 4,9608 5,0513 5,0744 5,0215 4,9091 4,7525 4,5589 4,3488 4,1689 4,0628 4,0413 4,1121 4,3085 4,6425 5,0547 5,4491 5,7596 5,9663 6,0772 6,1012 6,0243 5,8305 5,5507 5,2530 4,9827 4,7412
Fz    1,3360 1,1532 0,9302 0,7276 0,6214 0,6402 0,7576 0,9314 1,1322 1,3428 1,5417 1,6925 1,7593 1,7229 1,5691 1,2981 0,9625 0,6553 0,4424 0,3285 0,2759 0,2276 0,1334 -0,0293 -0,2672 -0,5882 -0,9798 -1,3743 -1,6723 -1,8024 -1,7473 -1,5347 -1,2265 -0,8986 -0,6092 -0,3821 -0,2144 -0,0856 0,0391 0,1900 0,3592 0,4953 0,5291 0,3904 0,0226 -0,5829 -1,3625 -2,2019 -2,9897 -3,6585 -4,1796 -4,5410 -4,7452 -4,8109 -4,7598 -4,6158 -4,4178 -4,2092 -4,0135 -3,8306 -3,6457 -3,4330 -3,1567 -2,7841 -2,3104 -1,7697 -1,2300 -0,7780 -0,4783 -0,3304 -0,2708 -0,2195 -0,1272 0,0061 0,1301 0,1574 -0,0020 -0,3939 -0,9755 -1,6235 -2,2203 -2,7240 -3,1443 -3,4818 -3,7105 -3,8098 -3,7922 -3,6837 -3,5021 -3,2772 -3,0649 -2,9156 -2,8362 -2,7933 -2,7596 -2,7475 -2,7919 -2,9054 -3,0521 -3,1637 -3,1839 -3,1076 -2,9864 -2,9007 -2,9200 -3,0871 -3,4346 -3,9883 -4,7285 -5,5668 -6,3831 -7,0799 -7,6068 -7,9642 -8,1985 -8,3718 -8,5203 -8,6446 -8,7309 -8,7729 -8,7811 -8,7625 -8,6831 -8,4780 -8,1102 -7,5933 -6,9629 -6,2531 -5,5064 -4,7860 -4,1476 -3,6052 -3,1556 -2,8161 -2,6090 -2,5288 -2,5353 -2,5565 -2,5138 -2,3757 -2,1799 -1,9921 -1,8563 -1,7820 -1,7584 -1,7650 -1,7741 -1,7573 -1,6908 -1,5616 -1,3776 -1,1701 -0,9711 -0,7909 -0,6292 -0,5084 -0,4849 -0,6185 -0,9284 -1,3784 -1,9031 -2,4452 -2,9707 -3,4534 -3,8505 -4,1075 -4,1982 -4,1462 -3,9961 -3,7713 -3,4693 -3,0898 -2,6567 -2,2184 -1,8257 -1,4994 -1,2376 -1,0458 -0,9306 -0,8806 -0,8732 -0,8906 -0,9169 -0,9292 -0,9064 -0,8494 -0,7850 -0,7345 -0,6911 -0,6388 -0,5790 -0,5333 -0,5226 -0,5418 -0,5583 -0,5334 -0,4488 -0,3232 -0,2015 -0,1232 -0,1074 -0,1612 -0,2780 -0,4249 -0,5569 -0,6532 -0,7213 -0,7713 -0,8000 -0,7829 -0,6689 -0,3978 0,0527 0,6294 1,2252 1,7392 2,1100 2,3096 2,3425 2,2488 2,0807 1,8737 1,6628 1,5068 1,4603 1,5318 1,6803 1,8476 1,9835 2,0470 2,0117 1,8914 1,7404 1,6109 1,5236 1,4797 1,4756 1,4993 1,5297 1,5390 1,5056 1,4287 1,3182 1,1740 0,9910 0,7829 0,5988 0,5057 0,5349 0,6536 0,8021 0,9389 1,0330 1,0495 0,9671 0,7835 0,4998 0,1311 -0,2708 -0,6265 -0,8655 -0,9605 -0,9443 -0,8996 -0,9138 -1,0173 -1,1605 -1,2565 -1,2524 -1,1680 -1,0714 -1,0218 -1,0404 -1,1296 -1,2938 -1,5166 -1,7379 -1,8799 -1,8956 -1,7828 -1,5706 -1,3055 -1,0451 -0,8436 -0,7211 -0,6522 -0,5889 -0,4940 -0,3487 -0,1392 0,1438 0,4829 0,8255 1,1069 1,2902 1,3940 1,4799 1,6029 1,7822 2,0102 2,2711 2,5490 2,8272 3,0854 3,2974 3,4359 3,4865 3,4485 3,3157 3,0762 2,7450 2,3708 2,0023 1,6672 1,3719 1,1061 0,8624 0,6535 0,5028 0,4286 0,4410 0,5459 0,7444 1,0234 1,3522 1,7005 2,0560 2,4205 2,7873 3,1254 3,3986 3,5945 3,7259 3,8083 3,8385 3,7980 3,6814 3,5162 3,3425 3,1801 3,0282 2,8846 2,7503 2,6183 2,4776 2,3418 2,2670 2,3285 2,5688 2,9539 3,3832 3,7464 3,9798 4,0945 4,1685 4,2922 4,4952 4,7236 4,8780 4,8761 4,7094 4,4547 4,2213 4,0921 4,1057 4,2643 4,5370 4,8614 5,1588 5,3646 5,4466 5,4044 5,2697 5,0983 4,9442 4,8453 4,8184 4,8447 4,8751 4,8654 4,8072 4,7169 4,6050 4,4720 4,3201 4,1543 3,9833 3,8309 3,7352 3,7306 3,8334 4,0314 4,2890 4,5692 4,8431 5,0732 5,2093 5,2212 5,1402 5,0511 5,0321 5,1015 5,2240 5,3506 5,4466 5,5050 5,5515 5,6290 5,7673 5,9533 6,1375 6,2790 6,3810 6,4782 6,6008 6,7479 6,8914 7,0035 7,0673 7,0619 6,9664 6,7871 6,5615 6,3426 6,1856 6,1385 6,2249 6,4312 6,7105 7,0029 7,2562 7,4343 7,5240 7,5371 7,4955 7,4130 7,2903 7,1216 6,9090 6,6708 6,4338 6,2226 6,0546 5,9229 5,7890 5,6068 5,3526 5,0479 4,7647 4,5953 4,5986 4,7657 5,0189 5,2422 5,3353 5,2589 5,0436 4,7634 4,4912 4,2612 4,0707 3,9070 3,7609 3,6315 3,5323 3,4774 3,4635 3,4766 3,5084 3,5572 3,6154 3,6662 3,6954 3,7052 3,7280 3,8195 4,0125 4,2614 4,4474 4,4677 4,3263 4,1126 3,9038 3,7227 3,5546 3,3590 3,0949 2,7718 2,4424 2,1391 1,8572 1,5925 1,3663 1,2232 1,2033 1,3047 1,4686 1,6149 1,7042 1,7526 1,7807 1,7728 1,6939 1,5319 1,3226 1,1335 1,0238 1,0195 1,1079 1,2460 1,3825 1,4789 1,5150 1,4817 1,3772 1,2105 1,0098 0,8236 0,7043 0,6733 0,7038 0,7458 0,7551 0,6867 0,4988 0,1929 -0,1666 -0,4957 -0,7368 -0,8611 -0,8683 -0,8026 -0,7431 -0,7509 -0,8164 -0,8627 -0,8178 -0,6809 -0,5252 -0,4576 -0,5607 -0,8389 -1,2196 -1,6050 -1,9104 -2,0720 -2,0618 -1,9123 -1,7077 -1,5311 -1,4135 -1,3305 -1,2410 -1,1214 -0,9736 -0,8095 -0,6251 -0,4152 -0,2173 -0,0913 -0,0492 -0,0508 -0,0555 -0,0354 0,0386 0,1962 0,4545 0,7926 1,1345 1,3805 1,4767 1,4388 1,3069 1,1069 0,8642 0,6254 0,4466 0,3617 0,3621 0,4006 0,4230 0,4114 0,3990 0,4306 0,5292 0,7134 1,0056 1,3917 1,8009 2,1513 2,4007 2,5457 2,5974 2,5646 2,4385 2,2024 1,8768 1,5243 1,1957 0,9049
F3    1,7405 1,5808 1,2955 0,9705 0,7253 0,6247 0,6587 0,7861 0,9702 1,1817 1,3844 1,5316 1,5939 1,5679 1,4447 1,2107 0,9027 0,6098 0,4006 0,2898 0,2648 0,2867 0,2938 0,2370 0,0758 -0,2499 -0,7524 -1,3076 -1,7239 -1,8898 -1,8093 -1,5481 -1,1913 -0,8245 -0,5205 -0,3212 -0,2207 -0,1711 -0,1039 0,0323 0,2280 0,4135 0,4982 0,3860 -0,0018 -0,6651 -1,5001 -2,3637 -3,1593 -3,8622 -4,4796 -5,0095 -5,4350 -5,7339 -5,8814 -5,8615 -5,6865 -5,3981 -5,0465 -4,6709 -4,2983 -3,9380 -3,5675 -3,1462 -2,6573 -2,1237 -1,6025 -1,1710 -0,8880 -0,7457 -0,6651 -0,5479 -0,3355 -0,0287 0,3104 0,5618 0,5799 0,2653 -0,3503 -1,1022 -1,8258 -2,4655 -3,0314 -3,5084 -3,8394 -3,9811 -3,9458 -3,7772 -3,5193 -3,2344 -3,0084 -2,8995 -2,8926 -2,9164 -2,9109 -2,8733 -2,8422 -2,8572 -2,9327 -3,0444 -3,1463 -3,2265 -3,3235 -3,4710 -3,6646 -3,9001 -4,2192 -4,6929 -5,3523 -6,1383 -6,9321 -7,6244 -8,1494 -8,4905 -8,6829 -8,7864 -8,8324 -8,8142 -8,7239 -8,5838 -8,4428 -8,3307 -8,2102 -8,0005 -7,6475 -7,1416 -6,4894 -5,7136 -4,8821 -4,1078 -3,4924 -3,0645 -2,7980 -2,6739 -2,6918 -2,8389 -3,0678 -3,2853 -3,3841 -3,3159 -3,1198 -2,8738 -2,6375 -2,4416 -2,3026 -2,2259 -2,1930 -2,1603 -2,0775 -1,9123 -1,6705 -1,3956 -1,1378 -0,9160 -0,7196 -0,5509 -0,4583 -0,5203 -0,7837 -1,2213 -1,7578 -2,3262 -2,8944 -3,4445 -3,9311 -4,2833 -4,4586 -4,4725 -4,3648 -4,1555 -3,8400 -3,4198 -2,9252 -2,4136 -1,9460 -1,5576 -1,2580 -1,0536 -0,9501 -0,9454 -1,0318 -1,1849 -1,3528 -1,4761 -1,5179 -1,4857 -1,4271 -1,3875 -1,3738 -1,3637 -1,3364 -1,2926 -1,2490 -1,2172 -1,1913 -1,1523 -1,0847 -0,9968 -0,9174 -0,8683 -0,8555 -0,8836 -0,9533 -1,0389 -1,0917 -1,0721 -0,9687 -0,7935 -0,5745 -0,3336 -0,0614 0,2754 0,6875 1,1234 1,4858 1,7038 1,7785 1,7503 1,6541 1,5199 1,3810 1,2659 1,1999 1,2105 1,3094 1,4764 1,6712 1,8590 2,0209 2,1362 2,1724 2,1146 1,9953 1,8762 1,8036 1,7881 1,8161 1,8683 1,9319 1,9973 2,0516 2,0828 2,0805 2,0289 1,9118 1,7334 1,5367 1,3899 1,3339 1,3451 1,3683 1,3741 1,3611 1,3231 1,2439 1,1009 0,8659 0,5315 0,1430 -0,2113 -0,4455 -0,5199 -0,4632 -0,3679 -0,3401 -0,4229 -0,5677 -0,6813 -0,6998 -0,6273 -0,5175 -0,4249 -0,3779 -0,3957 -0,4998 -0,6826 -0,8865 -1,0393 -1,0987 -1,0624 -0,9519 -0,7988 -0,6404 -0,5144 -0,4375 -0,3856 -0,3064 -0,1528 0,0936 0,4269 0,8257 1,2514 1,6517 1,9791 2,2099 2,3562 2,4571 2,5476 2,6398 2,7321 2,8278 2,9430 3,0927 3,2685 3,4397 3,5802 3,6908 3,7758 3,8008 3,7121 3,5051 3,2272 2,9217 2,6159 2,3305 2,0656 1,8088 1,5597 1,3331 1,1520 1,0452 1,0366 1,1332 1,3228 1,5816 1,8878 2,2340 2,6197 3,0256 3,4044 3,7116 3,9394 4,1119 4,2553 4,3705 4,4321 4,4188 4,3391 4,2164 4,0651 3,8927 3,7175 3,5648 3,4356 3,3009 3,1510 3,0324 3,0192 3,1549 3,4152 3,7200 3,9813 4,1498 4,2422 4,3317 4,4922 4,7359 5,0051 5,2140 5,3001 5,2598 5,1506 5,0518 5,0222 5,0883 5,2556 5,5067 5,7837 5,9950 6,0643 5,9684 5,7403 5,4580 5,2134 5,0699 5,0515 5,1489 5,3116 5,4545 5,5035 5,4449 5,3153 5,1517 4,9715 4,7856 4,6019 4,4273 4,2792 4,1866 4,1790 4,2750 4,4705 4,7379 5,0463 5,3676 5,6628 5,8822 5,9959 6,0263 6,0369 6,0767 6,1429 6,2012 6,2236 6,2038 6,1635 6,1564 6,2474 6,4640 6,7628 7,0568 7,2821 7,4406 7,5868 7,7768 8,0221 8,2841 8,5068 8,6349 8,6077 8,3976 8,0542 7,6721 7,3317 7,0840 6,9652 6,9971 7,1714 7,4414 7,7367 7,9896 8,1586 8,2398 8,2549 8,2266 8,1665 8,0732 7,9354 7,7464 7,5224 7,2978 7,1020 6,9459 6,8119 6,6630 6,4727 6,2425 6,0081 5,8409 5,8211 5,9900 6,3167 6,6901 6,9526 6,9759 6,7280 6,2830 5,7737 5,3182 4,9738 4,7519 4,6481 4,6438 4,7043 4,7969 4,8993 4,9959 5,0822 5,1672 5,2581 5,3434 5,3988 5,4031 5,3494 5,2693 5,2366 5,3130 5,4784 5,6303 5,6681 5,5840 5,4488 5,3229 5,2127 5,0857 4,8862 4,5693 4,1637 3,7581 3,4090 3,1119 2,8517 2,6336 2,4877 2,4572 2,5519 2,7168 2,8647 2,9496 2,9894 3,0084 2,9928 2,9145 2,7669 2,5726 2,3708 2,1967 2,0762 2,0244 2,0355 2,0886 2,1591 2,2187 2,2390 2,2027 2,1115 1,9878 1,8705 1,7948 1,7585 1,7176 1,6411 1,5460 1,4518 1,3392 1,1810 0,9793 0,7559 0,5421 0,3843 0,3200 0,3399 0,3958 0,4521 0,5272 0,6739 0,9109 1,1817 1,3757 1,3776 1,1306 0,6836 0,1611 -0,3154 -0,6629 -0,8304 -0,8021 -0,6200 -0,3837 -0,1955 -0,0982 -0,0689 -0,0536 0,0009 0,1259 0,3298 0,6112 0,9426 1,2457 1,4358 1,5010 1,4998 1,4948 1,5207 1,5939 1,7308 1,9560 2,2705 2,6080 2,8648 2,9937 3,0276 3,0054 2,9341 2,8331 2,7604 2,7761 2,9024 3,1091 3,3267 3,4808 3,5288 3,4779 3,3702 3,2556 3,1829 3,1922 3,2795 3,3902 3,4704 3,5076 3,5182 3,5280 3,5560 3,5852 3,5702 3,4925 3,3751 3,2364 3,0815
F7    0,3802 0,3843 0,5761 0,8789 1,1753 1,3785 1,4660 1,4650 1,3980 1,2596 1,0588 0,8448 0,6647 0,5116 0,3260 0,0591 -0,2644 -0,5490 -0,6932 -0,6674 -0,5221 -0,3312 -0,1680 -0,1048 -0,1422 -0,1655 -0,0919 -0,0077 -0,0438 -0,2069 -0,4226 -0,6382 -0,8149 -0,8904 -0,8117 -0,5954 -0,3288 -0,1103 -0,0028 -0,0169 -0,1200 -0,2669 -0,3937 -0,4197 -0,3378 -0,2744 -0,3845 -0,6888 -1,0484 -1,3028 -1,4060 -1,4322 -1,4838 -1,6111 -1,7822 -1,9297 -2,0493 -2,2162 -2,4693 -2,7403 -2,9288 -2,9890 -2,9273 -2,7708 -2,5659 -2,3638 -2,1611 -1,8799 -1,4688 -0,9975 -0,6098 -0,4181 -0,4614 -0,7096 -1,0678 -1,3882 -1,5230 -1,4367 -1,2621 -1,1868 -1,2906 -1,5147 -1,7597 -1,9879 -2,2244 -2,4696 -2,6587 -2,7282 -2,6721 -2,5217 -2,3229 -2,1388 -2,0389 -2,0731 -2,2532 -2,5433 -2,8608 -3,0958 -3,1481 -2,9870 -2,6718 -2,2859 -1,8937 -1,5814 -1,4574 -1,5685 -1,8520 -2,1970 -2,5456 -2,9168 -3,3337 -3,7629 -4,1438 -4,4643 -4,7916 -5,2174 -5,7695 -6,3803 -6,9331 -7,3272 -7,5043 -7,4410 -7,1418 -6,6458 -6,0310 -5,3907 -4,7893 -4,2449 -3,7622 -3,3600 -3,0598 -2,8762 -2,8202 -2,8859 -3,0357 -3,2072 -3,3363 -3,3755 -3,2990 -3,1185 -2,8930 -2,6965 -2,5656 -2,4867 -2,4326 -2,4039 -2,4378 -2,5707 -2,7820 -2,9773 -3,0366 -2,8885 -2,5552 -2,1252 -1,6824 -1,2786 -0,9552 -0,7595 -0,7414 -0,9308 -1,2984 -1,7410 -2,1265 -2,3679 -2,4649 -2,4766 -2,4751 -2,5240 -2,6517 -2,8071 -2,8684 -2,7248 -2,3502 -1,8100 -1,2216 -0,7124 -0,3878 -0,2928 -0,3743 -0,4964 -0,5263 -0,4346 -0,3060 -0,2468 -0,3022 -0,4540 -0,6607 -0,8795 -1,0589 -1,1326 -1,0411 -0,7764 -0,4221 -0,1414 -0,0721 -0,2115 -0,4290 -0,5704 -0,5286 -0,2758 0,1031 0,4302 0,5421 0,3968 0,0738 -0,3102 -0,6673 -0,9592 -1,1953 -1,4030 -1,5764 -1,6453 -1,5047 -1,0756 -0,3411 0,6271 1,6550 2,5264 3,0902 3,3195 3,2861 3,0887 2,8115 2,5190 2,2400 1,9525 1,6125 1,2102 0,8057 0,5093 0,4266 0,6065 1,0096 1,5185 1,9958 2,3489 2,5454 2,5843 2,4742 2,2462 1,9717 1,7392 1,5947 1,5224 1,4924 1,4961 1,5355 1,6069 1,6914 1,7529 1,7620 1,7138 1,6185 1,4921 1,3546 1,2063 1,0064 0,7034 0,2910 -0,1710 -0,5800 -0,8282 -0,8515 -0,6788 -0,4226 -0,1977 -0,0510 0,0340 0,0805 0,0735 -0,0298 -0,2470 -0,5435 -0,8681 -1,1898 -1,4765 -1,6604 -1,6566 -1,4252 -1,0210 -0,5735 -0,2123 -0,0156 -0,0042 -0,1485 -0,3686 -0,5582 -0,6293 -0,5374 -0,2796 0,1013 0,5185 0,8761 1,1163 1,2435 1,3129 1,3928 1,5308 1,7391 1,9910 2,2370 2,4383 2,5802 2,6534 2,6369 2,5106 2,2885 2,0431 1,8865 1,9113 2,1377 2,5104 2,9314 3,2976 3,5296 3,5914 3,5000 3,3113 3,0857 2,8678 2,6969 2,6104 2,6268 2,7262 2,8532 2,9515 3,0073 3,0572 3,1473 3,2875 3,4567 3,6312 3,7893 3,9041 3,9411 3,8769 3,7379 3,6006 3,5284 3,5237 3,5457 3,5643 3,5977 3,6812 3,7970 3,8744 3,8688 3,8084 3,7535 3,7403 3,7700 3,8215 3,8556 3,8288 3,7326 3,6082 3,5096 3,4673 3,4964 3,6159 3,8303 4,0954 4,3338 4,4908 4,5636 4,5771 4,5418 4,4420 4,2671 4,0498 3,8683 3,8048 3,9000 4,1364 4,4470 4,7590 5,0401 5,2968 5,5442 5,7855 6,0000 6,1447 6,1773 6,0844 5,8911 5,6457 5,3994 5,1986 5,0752 5,0373 5,0768 5,1750 5,3027 5,4320 5,5479 5,6438 5,7063 5,7121 5,6508 5,5446 5,4350 5,3602 5,3526 5,4438 5,6557 5,9865 6,4016 6,8353 7,2175 7,5144 7,7347 7,8918 7,9680 7,9215 7,7202 7,3708 6,9283 6,4839 6,1545 6,0728 6,3348 6,9172 7,6603 8,3496 8,8232 9,0324 9,0352 8,9366 8,8204 8,7294 8,6843 8,6819 8,6802 8,6299 8,5190 8,3601 8,1533 7,8969 7,6227 7,3856 7,2191 7,1184 7,0518 6,9679 6,8076 6,5423 6,2021 5,8629 5,6077 5,4857 5,4952 5,5955 5,7451 5,9353 6,1753 6,4454 6,6898 6,8657 6,9842 7,0852 7,1887 7,2941 7,4000 7,5060 7,6033 7,6742 7,7063 7,7034 7,6721 7,5956 7,4305 7,1396 6,7225 6,2128 5,6696 5,1831 4,8648 4,8023 5,0058 5,3850 5,7654 5,9551 5,8513 5,5092 5,1085 4,8427 4,8028 4,9191 5,0132 4,9405 4,6974 4,4063 4,2239 4,2490 4,4728 4,8031 5,1489 5,4792 5,7922 6,0528 6,2076 6,2385 6,1644 6,0286 5,9028 5,8607 5,9205 6,0287 6,1147 6,1526 6,1628 6,1667 6,1519 6,0719 5,8574 5,4393 4,7945 3,9860 3,1592 2,4959 2,1294 2,0620 2,1764 2,3484 2,5233 2,6865 2,8268 2,9611 3,1424 3,4038 3,7110 3,9772 4,1110 4,0571 3,8259 3,4830 3,0952 2,7123 2,4053 2,2770 2,3921 2,6965 3,0328 3,2497 3,2921 3,2038 3,0816 3,0198 3,0743 3,2486 3,4889 3,7047 3,8193 3,8034 3,6685 3,4603 3,2707 3,2198 3,3843 3,7364 4,1690 4,5810 4,9234 5,1823 5,3527 5,4313 5,4290 5,3746 5,2909 5,1788 5,0386 4,9146 4,9230 5,1833 5,6911 6,2852 6,7501 6,9437 6,8579 6,5933 6,2853 6,0371 5,8752 5,7477 5,5950 5,4428 5,4071 5,5931 5,9913 6,4707 6,8691 7,0860 7,1052 6,9524 6,6568 6,2572 5,8270 5,4667 5,2616 5,2218
