Fp1   1,3354 1,6979 2,0537 2,3999 2,7670 3,1856 3,6332 4,0366 4,3193 4,4387 4,3926 4,2064 3,9082 3,5272 3,1140 2,7315 2,4293 2,2415 2,1667 2,1313 2,0122 1,7169 1,2447 0,6765 0,1184 -0,3449 -0,6773 -0,8998 -1,0630 -1,2062 -1,3423 -1,4704 -1,5888 -1,6956 -1,7871 -1,8629 -1,9298 -2,0004 -2,0965 -2,2609 -2,5504 -3,0032 -3,6062 -4,2778 -4,8859 -5,3108 -5,4921 -5,4195 -5,1095 -4,6035 -3,9853 -3,3724 -2,8673 -2,5192 -2,3263 -2,2455 -2,1961 -2,0931 -1,8949 -1,6161 -1,2946 -0,9627 -0,6544 -0,4319 -0,3833 -0,5697 -0,9721 -1,5027 -2,0691 -2,6139 -3,1051 -3,5131 -3,8039 -3,9486 -3,9352 -3,7764 -3,5125 -3,2025 -2,8936 -2,5915 -2,2661 -1,9019 -1,5417 -1,2585 -1,0949 -1,0486 -1,1052 -1,2726 -1,5681 -1,9619 -2,3673 -2,7004 -2,9163 -2,9867 -2,8836 -2,6050 -2,1951 -1,7239 -1,2566 -0,8416 -0,5158 -0,3060 -0,2166 -0,2397 -0,3925 -0,7124 -1,2141 -1,8788 -2,6813 -3,5976 -4,5776 -5,5493 -6,4595 -7,2854 -8,0123 -8,6210 -9,0943 -9,4097 -9,5258 -9,4184 -9,1216 -8,6845 -8,1219 -7,4474 -6,7101 -5,9742 -5,2898 -4,6790 -4,1241 -3,5714 -2,9599 -2,2613 -1,5007 -0,7374 -0,0414 0,5070 0,8273 0,8829 0,6993 0,3330 -0,1471 -0,6405 -1,0313 -1,2588 -1,3514 -1,3722 -1,3663 -1,3699 -1,4206 -1,5330 -1,6726 -1,7562 -1,6824 -1,3799 -0,8348 -0,0866 0,7765 1,6266 2,3419 2,8621 3,2009 3,4141 3,5595 3,6777 3,7858 3,8615 3,8491 3,7044 3,4225 3,0236 2,5387 1,9913 1,3677 0,6303 -0,2275 -1,1701 -2,1730 -3,2517 -4,3989 -5,5253 -6,5183 -7,3265 -7,9431 -8,3463 -8,4870 -8,3205 -7,8568 -7,1893 -6,4521 -5,7375 -5,0710 -4,4561 -3,9328 -3,5908 -3,5002 -3,6217 -3,8209 -3,9638 -3,9693 -3,8094 -3,4984 -3,0809 -2,6285 -2,2353 -1,9757 -1,8493 -1,7861 -1,7143 -1,6153 -1,5290 -1,5086 -1,5633 -1,6618 -1,7829 -1,9242 -2,0623 -2,1435 -2,1313 -2,0402 -1,9163 -1,8163 -1,8113 -1,9586 -2,2468 -2,5976 -2,9249 -3,1743 -3,3138 -3,3123 -3,1400 -2,7872 -2,2768 -1,6551 -0,9771 -0,3067 0,2847 0,7355 1,0100 1,0991 1,0270 0,8621 0,6906 0,5579 0,4477 0,3172 0,1459 -0,0530 -0,2596 -0,4674 -0,6782 -0,9029 -1,1535 -1,4217 -1,6809 -1,9210 -2,1726 -2,4901 -2,9138 -3,4595 -4,1157 -4,8278 -5,5054 -6,0661 -6,4823 -6,7863 -7,0294 -7,2497 -7,4595 -7,6270 -7,6932 -7,6425 -7,5380 -7,4621 -7,4378 -7,4177 -7,3362 -7,1621 -6,9152 -6,6429 -6,3753 -6,0978 -5,7591 -5,3049 -4,7186 -4,0363 -3,3207 -2,6361 -2,0599 -1,6800 -1,5597 -1,7124 -2,0851 -2,5478 -2,9399 -3,1648 -3,2210 -3,1580 -3,0478 -2,9686 -2,9729 -3,0739 -3,2675 -3,5489 -3,8920 -4,2307 -4,4858 -4,6122 -4,6162 -4,5347 -4,4063 -4,2667 -4,1455 -4,0454 -3,9550 -3,8869 -3,8775 -3,9590 -4,1445 -4,3924 -4,5796 -4,5662 -4,2995 -3,8442 -3,3375 -2,9150 -2,6513 -2,5567 -2,6126 -2,7882 -3,0442 -3,3435 -3,6477 -3,9146 -4,1126 -4,2320 -4,2930 -4,3439 -4,4343 -4,5851 -4,7801 -4,9819 -5,1536 -5,2661 -5,3037 -5,2833 -5,2589 -5,2951 -5,4250 -5,6171 -5,7883 -5,8651 -5,8177 -5,6405 -5,3423 -4,9591 -4,5498 -4,1712 -3,8546 -3,6047 -3,4279 -3,3482 -3,3851 -3,5209 -3,6982 -3,8583 -3,9815 -4,0725 -4,1107 -4,0412 -3,8108 -3,4032 -2,8590 -2,2582 -1,6668 -1,1175 -0,6409 -0,2827 -0,0851 -0,0513 -0,1285 -0,2424 -0,3519 -0,4583 -0,5885 -0,7835 -1,0699 -1,4280 -1,8046 -2,1451 -2,4201 -2,6361 -2,8162 -2,9556 -2,9985 -2,8734 -2,5618 -2,1311 -1,7059 -1,3986 -1,2429 -1,1825 -1,1235 -0,9984 -0,8045 -0,5895 -0,4010 -0,2653 -0,2140 -0,2751 -0,4205 -0,5829 -0,7333 -0,8868 -1,0458 -1,1878 -1,3002 -1,4069 -1,5464 -1,7222 -1,8927 -2,0175 -2,0881 -2,1074 -2,0796 -2,0366 -2,0371 -2,1253 -2,3074 -2,5701 -2,9099 -3,3330 -3,8184 -4,3163 -4,7990 -5,2742 -5,7437 -6,1835 -6,5598 -6,8371 -6,9780 -6,9574 -6,7867 -6,5237 -6,2463 -6,0037 -5,7976 -5,6152 -5,4760 -5,4313 -5,4971 -5,5967 -5,5996 -5,4144 -5,0468 -4,5915 -4,1795 -3,9203 -3,8700 -4,0242 -4,3277 -4,7007 -5,0782 -5,4359 -5,7746 -6,0807 -6,3094 -6,4075 -6,3403 -6,0937 -5,6637 -5,0581 -4,3160 -3,5228 -2,8031 -2,2942 -2,1012 -2,2410 -2,6131 -3,0321 -3,3006 -3,2828 -2,9712 -2,5144 -2,1497 -2,0889 -2,4558 -3,2787 -4,4729 -5,8270 -7,0637 -7,9645 -8,4590 -8,6201 -8,5898 -8,4882 -8,3516 -8,1509 -7,8617 -7,4823 -7,0003 -6,4108 -5,7671 -5,1554 -4,6242 -4,1803 -3,8346 -3,6142 -3,5397 -3,5821 -3,6308 -3,5378 -3,2035 -2,6198 -1,8655 -1,0846 -0,4401 -0,0550 0,0237 -0,1779 -0,5804 -1,0729 -1,5452 -1,9182 -2,1568 -2,2684 -2,2911 -2,2793 -2,2955 -2,3924 -2,5850 -2,8425 -3,1029 -3,2963 -3,3706 -3,3216 -3,2062 -3,1081 -3,0848 -3,1606 -3,3477 -3,6440 -4,0164 -4,4048 -4,7639 -5,1027 -5,4549 -5,8204 -6,1642 -6,4534 -6,6750 -6,8343 -6,9243 -6,9020 -6,7286 -6,4148 -5,9963 -5,4907 -4,8987 -4,2343 -3,5546 -2,9563 -2,5172 -2,2474 -2,1005 -2,0149 -1,9423 -1,8609 -1,7682 -1,6601 -1,5249 -1,3589 -1,1753 -0,9876 -0,8020 -0,6494 -0,6004 -0,7125 -0,9703 -1,2927 -1,5885 -1,7874 -1,8378 -1,7123 -1,4302 -1,0862 -0,8369 -0,8198 -1,0735 -1,5319 -2,0769 -2,6025 -3,0463 -3,3843 -3,6140 -3,7375 -3,7643 -3,7398 -3,7442 -3,8368 -4,0186
Fz    0,7368 0,9713 1,2602 1,5887 1,9414 2,2968 2,6157 2,8487 2,9595 2,9425 2,8195 2,6214 2,3756 2,1061 1,8399 1,6062 1,4291 1,3205 1,2665 1,2179 1,1074 0,8946 0,5988 0,2872 0,0317 -0,1285 -0,2050 -0,2488 -0,3120 -0,4141 -0,5425 -0,6798 -0,8216 -0,9737 -1,1419 -1,3259 -1,5176 -1,7046 -1,8791 -2,0493 -2,2367 -2,4550 -2,6965 -2,9340 -3,1260 -3,2248 -3,1903 -3,0016 -2,6638 -2,2110 -1,7056 -1,2252 -0,8354 -0,5700 -0,4299 -0,3845 -0,3818 -0,3698 -0,3151 -0,2054 -0,0473 0,1358 0,3062 0,4155 0,4196 0,3017 0,0825 -0,1941 -0,4836 -0,7495 -0,9558 -1,0649 -1,0554 -0,9410 -0,7630 -0,5667 -0,3883 -0,2514 -0,1588 -0,0886 -0,0113 0,0854 0,1874 0,2694 0,3167 0,3299 0,3174 0,2878 0,2488 0,2117 0,1927 0,2092 0,2769 0,4015 0,5709 0,7601 0,9423 1,0953 1,2083 1,2821 1,3190 1,3155 1,2691 1,1836 1,0582 0,8749 0,6059 0,2296 -0,2552 -0,8244 -1,4399 -2,0787 -2,7473 -3,4556 -4,1851 -4,8855 -5,4994 -5,9847 -6,3187 -6,5018 -6,5593 -6,5176 -6,3832 -6,1601 -5,8732 -5,5565 -5,2263 -4,8768 -4,4957 -4,0785 -3,6318 -3,1744 -2,7364 -2,3511 -2,0516 -1,8699 -1,8180 -1,8658 -1,9606 -2,0722 -2,1986 -2,3329 -2,4439 -2,4930 -2,4584 -2,3389 -2,1469 -1,9042 -1,6307 -1,3298 -0,9871 -0,5848 -0,1209 0,3849 0,9058 1,4207 1,9082 2,3399 2,6931 2,9714 3,2079 3,4459 3,7121 4,0083 4,3219 4,6358 4,9343 5,2060 5,4392 5,6165 5,7190 5,7263 5,6092 5,3389 4,9095 4,3471 3,6879 2,9546 2,1681 1,3712 0,6169 -0,0545 -0,6105 -1,0166 -1,2405 -1,2621 -1,0932 -0,7916 -0,4364 -0,0823 0,2518 0,5595 0,8263 1,0250 1,1263 1,1216 1,0307 0,8830 0,7050 0,5281 0,3910 0,3250 0,3329 0,3848 0,4379 0,4686 0,4880 0,5267 0,6001 0,6899 0,7636 0,8112 0,8453 0,8695 0,8682 0,8316 0,7709 0,7080 0,6677 0,6795 0,7684 0,9310 1,1321 1,3320 1,5053 1,6353 1,7071 1,7203 1,7033 1,6984 1,7304 1,7975 1,8881 1,9930 2,1010 2,1951 2,2526 2,2488 2,1670 2,0102 1,8064 1,5999 1,4304 1,3097 1,2191 1,1339 1,0505 0,9863 0,9571 0,9573 0,9541 0,9091 0,8123 0,6901 0,5782 0,4924 0,4235 0,3485 0,2398 0,0767 -0,1399 -0,3823 -0,6075 -0,7806 -0,8936 -0,9625 -1,0131 -1,0658 -1,1210 -1,1610 -1,1723 -1,1584 -1,1254 -1,0624 -0,9392 -0,7271 -0,4221 -0,0483 0,3551 0,7541 1,1390 1,5291 1,9556 2,4327 2,9390 3,4281 3,8512 4,1659 4,3421 4,3768 4,3009 4,1706 4,0551 4,0148 4,0667 4,1746 4,2811 4,3358 4,3038 4,1742 3,9637 3,7027 3,4170 3,1324 2,8883 2,7307 2,6925 2,7799 2,9708 3,2189 3,4625 3,6441 3,7324 3,7235 3,6230 3,4392 3,1886 2,9032 2,6362 2,4536 2,4034 2,4877 2,6620 2,8571 3,0106 3,0832 3,0489 2,8877 2,6027 2,2253 1,7918 1,3300 0,8669 0,4287 0,0308 -0,3256 -0,6485 -0,9421 -1,1967 -1,3911 -1,5077 -1,5417 -1,4970 -1,3802 -1,2024 -0,9812 -0,7388 -0,4924 -0,2441 0,0142 0,2860 0,5733 0,8854 1,2234 1,5633 1,8665 2,1033 2,2630 2,3562 2,4083 2,4434 2,4719 2,4958 2,5217 2,5625 2,6250 2,7051 2,7986 2,9107 3,0535 3,2385 3,4655 3,7216 3,9952 4,2809 4,5627 4,8018 4,9507 4,9836 4,9139 4,7816 4,6215 4,4468 4,2528 4,0299 3,7793 3,5201 3,2790 3,0727 2,9018 2,7587 2,6462 2,5887 2,6252 2,7846 3,0601 3,4041 3,7476 4,0335 4,2449 4,4037 4,5378 4,6512 4,7259 4,7467 4,7233 4,6893 4,6746 4,6837 4,7071 4,7346 4,7492 4,7290 4,6685 4,5856 4,5003 4,4103 4,2886 4,1074 3,8614 3,5666 3,2471 2,9242 2,6076 2,2920 1,9723 1,6606 1,3835 1,1613 0,9924 0,8573 0,7433 0,6525 0,5801 0,4990 0,3743 0,1845 -0,0721 -0,3824 -0,7182 -1,0363 -1,2913 -1,4566 -1,5307 -1,5256 -1,4580 -1,3570 -1,2748 -1,2713 -1,3693 -1,5242 -1,6546 -1,7032 -1,6670 -1,5831 -1,4976 -1,4439 -1,4355 -1,4690 -1,5302 -1,5958 -1,6416 -1,6530 -1,6245 -1,5490 -1,4104 -1,1964 -0,9176 -0,6075 -0,2993 -0,0075 0,2646 0,5095 0,7131 0,8608 0,9459 0,9801 1,0003 1,0593 1,2022 1,4422 1,7461 2,0402 2,2384 2,2731 2,1081 1,7452 1,2344 0,6714 0,1582 -0,2464 -0,5414 -0,7632 -0,9548 -1,1383 -1,3047 -1,4292 -1,4975 -1,5080 -1,4579 -1,3476 -1,1966 -1,0390 -0,9044 -0,8079 -0,7487 -0,7196 -0,7248 -0,7757 -0,8544 -0,9027 -0,8625 -0,7179 -0,5024 -0,2829 -0,1324 -0,0969 -0,1781 -0,3467 -0,5623 -0,7836 -0,9749 -1,1081 -1,1643 -1,1388 -1,0463 -0,9179 -0,7911 -0,6956 -0,6415 -0,6170 -0,5959 -0,5501 -0,4637 -0,3402 -0,1995 -0,0694 0,0213 0,0509 0,0137 -0,0766 -0,1946 -0,3170 -0,4378 -0,5723 -0,7355 -0,9195 -1,1018 -1,2610 -1,3778 -1,4398 -1,4497 -1,4226 -1,3789 -1,3343 -1,2869 -1,2140 -1,0878 -0,8973 -0,6641 -0,4311 -0,2296 -0,0563 0,1146 0,3030 0,5045 0,6963 0,8547 0,9649 1,0204 1,0171 0,9556 0,8480 0,7063 0,5187 0,2549 -0,0908 -0,4779 -0,8497 -1,1665 -1,4022 -1,5364 -1,5671 -1,5190 -1,4386 -1,3854 -1,4113 -1,5374 -1,7483 -2,0038 -2,2563 -2,4690 -2,6289 -2,7486 -2,8512 -2,9507 -3,0516 -3,1531 -3,2405 -3,2854
F3    0,6401 0,8295 1,0629 1,3387 1,6516 1,9853 2,2967 2,5269 2,6282 2,5838 2,4095 2,1429 1,8280 1,5054 1,2128 0,9806 0,8268 0,7599 0,7684 0,8019 0,7840 0,6592 0,4312 0,1575 -0,0885 -0,2587 -0,3512 -0,3987 -0,4342 -0,4673 -0,4887 -0,4909 -0,4808 -0,4733 -0,4810 -0,5123 -0,5738 -0,6707 -0,8059 -0,9894 -1,2421 -1,5801 -1,9950 -2,4423 -2,8462 -3,1263 -3,2260 -3,1262 -2,8426 -2,4197 -1,9272 -1,4507 -1,0638 -0,8020 -0,6586 -0,5922 -0,5401 -0,4441 -0,2769 -0,0488 0,2007 0,4214 0,5679 0,6022 0,4941 0,2386 -0,1260 -0,5344 -0,9316 -1,2864 -1,5726 -1,7577 -1,8203 -1,7716 -1,6533 -1,5168 -1,4091 -1,3619 -1,3713 -1,3914 -1,3607 -1,2480 -1,0746 -0,8890 -0,7290 -0,6124 -0,5485 -0,5471 -0,6130 -0,7295 -0,8600 -0,9683 -1,0295 -1,0284 -0,9608 -0,8361 -0,6753 -0,5050 -0,3486 -0,2191 -0,1196 -0,0517 -0,0185 -0,0277 -0,0997 -0,2677 -0,5623 -0,9951 -1,5560 -2,2167 -2,9370 -3,6844 -4,4484 -5,2245 -5,9888 -6,6948 -7,2942 -7,7572 -8,0729 -8,2465 -8,2965 -8,2348 -8,0557 -7,7621 -7,3875 -6,9782 -6,5636 -6,1465 -5,7084 -5,2222 -4,6709 -4,0607 -3,4200 -2,7860 -2,2008 -1,7145 -1,3725 -1,1858 -1,1264 -1,1586 -1,2553 -1,3831 -1,4961 -1,5633 -1,5851 -1,5717 -1,5258 -1,4537 -1,3704 -1,2799 -1,1607 -0,9756 -0,6996 -0,3325 0,1114 0,6110 1,1251 1,5906 1,9541 2,2076 2,3898 2,5568 2,7487 2,9772 3,2311 3,4803 3,6875 3,8309 3,9096 3,9256 3,8726 3,7336 3,4821 3,0993 2,5970 2,0159 1,3944 0,7392 0,0437 -0,6708 -1,3530 -1,9530 -2,4303 -2,7456 -2,8656 -2,7767 -2,5041 -2,1217 -1,7206 -1,3554 -1,0330 -0,7461 -0,5033 -0,3350 -0,2713 -0,3070 -0,4010 -0,5116 -0,6152 -0,6945 -0,7300 -0,7121 -0,6567 -0,6001 -0,5725 -0,5744 -0,5756 -0,5419 -0,4694 -0,3936 -0,3581 -0,3756 -0,4317 -0,5173 -0,6340 -0,7689 -0,8889 -0,9661 -0,9940 -0,9791 -0,9370 -0,9009 -0,9086 -0,9689 -1,0568 -1,1421 -1,2086 -1,2463 -1,2372 -1,1611 -1,0140 -0,8130 -0,5808 -0,3352 -0,0920 0,1291 0,3060 0,4139 0,4296 0,3448 0,1821 -0,0101 -0,1884 -0,3388 -0,4741 -0,6089 -0,7406 -0,8553 -0,9413 -0,9996 -1,0505 -1,1202 -1,2119 -1,3025 -1,3704 -1,4188 -1,4732 -1,5649 -1,7231 -1,9666 -2,2858 -2,6342 -2,9485 -3,1886 -3,3569 -3,4800 -3,5830 -3,6774 -3,7522 -3,7799 -3,7423 -3,6495 -3,5256 -3,3774 -3,1838 -2,9232 -2,6027 -2,2585 -1,9335 -1,6546 -1,4187 -1,1921 -0,9269 -0,5918 -0,1986 0,2097 0,5858 0,8841 1,0586 1,0816 0,9638 0,7563 0,5405 0,3971 0,3587 0,3971 0,4602 0,5011 0,4841 0,3900 0,2225 -0,0007 -0,2587 -0,5250 -0,7619 -0,9318 -1,0080 -0,9785 -0,8490 -0,6487 -0,4293 -0,2454 -0,1265 -0,0741 -0,0816 -0,1430 -0,2482 -0,3756 -0,4810 -0,4993 -0,3798 -0,1264 0,2005 0,5164 0,7527 0,8746 0,8641 0,7088 0,4180 0,0283 -0,4183 -0,8858 -1,3393 -1,7477 -2,0929 -2,3736 -2,6017 -2,7922 -2,9512 -3,0709 -3,1361 -3,1332 -3,0545 -2,9026 -2,6955 -2,4645 -2,2480 -2,0775 -1,9621 -1,8882 -1,8390 -1,8002 -1,7514 -1,6741 -1,5678 -1,4441 -1,3134 -1,1829 -1,0577 -0,9419 -0,8446 -0,7804 -0,7587 -0,7726 -0,7968 -0,8015 -0,7641 -0,6681 -0,5000 -0,2526 0,0679 0,4347 0,8057 1,1511 1,4654 1,7438 1,9586 2,0715 2,0639 1,9553 1,7884 1,5970 1,3911 1,1652 0,9128 0,6422 0,3804 0,1544 -0,0277 -0,1774 -0,3084 -0,4182 -0,4811 -0,4584 -0,3226 -0,0839 0,2080 0,4854 0,6913 0,8057 0,8494 0,8569 0,8465 0,8164 0,7624 0,6939 0,6326 0,5937 0,5766 0,5808 0,6110 0,6597 0,7069 0,7421 0,7723 0,8072 0,8410 0,8519 0,8227 0,7561 0,6659 0,5612 0,4434 0,3052 0,1314 -0,0874 -0,3358 -0,5788 -0,7872 -0,9558 -1,0965 -1,2145 -1,3033 -1,3709 -1,4511 -1,5810 -1,7780 -2,0325 -2,3107 -2,5652 -2,7498 -2,8353 -2,8188 -2,7173 -2,5498 -2,3303 -2,0816 -1,8529 -1,7096 -1,6843 -1,7414 -1,8041 -1,8156 -1,7703 -1,7035 -1,6658 -1,7000 -1,8310 -2,0621 -2,3742 -2,7282 -3,0808 -3,4005 -3,6677 -3,8634 -3,9639 -3,9527 -3,8337 -3,6265 -3,3502 -3,0157 -2,6376 -2,2460 -1,8846 -1,6009 -1,4296 -1,3700 -1,3780 -1,3859 -1,3368 -1,2107 -1,0404 -0,9078 -0,9074 -1,1063 -1,5326 -2,1760 -2,9757 -3,8163 -4,5687 -5,1531 -5,5645 -5,8471 -6,0479 -6,1855 -6,2482 -6,2180 -6,0948 -5,8880 -5,5970 -5,2229 -4,7932 -4,3590 -3,9719 -3,6648 -3,4471 -3,3115 -3,2508 -3,2564 -3,2915 -3,2883 -3,1890 -2,9813 -2,7001 -2,4128 -2,1940 -2,0915 -2,1043 -2,1918 -2,2975 -2,3678 -2,3648 -2,2736 -2,1026 -1,8805 -1,6472 -1,4417 -1,2931 -1,2123 -1,1840 -1,1736 -1,1471 -1,0849 -0,9868 -0,8675 -0,7486 -0,6496 -0,5828 -0,5560 -0,5746 -0,6366 -0,7301 -0,8395 -0,9592 -1,1031 -1,2870 -1,5029 -1,7216 -1,9093 -2,0331 -2,0707 -2,0227 -1,9071 -1,7505 -1,5801 -1,4105 -1,2370 -1,0459 -0,8357 -0,6321 -0,4780 -0,4020 -0,3977 -0,4333 -0,4802 -0,5296 -0,5856 -0,6489 -0,7119 -0,7689 -0,8274 -0,9034 -1,0051 -1,1332 -1,3061 -1,5624 -1,9189 -2,3381 -2,7506 -3,0969 -3,3374 -3,4500 -3,4348 -3,3164 -3,1406 -2,9744 -2,8864 -2,9115 -3,0372 -3,2195 -3,4063 -3,5543 -3,6384 -3,6548 -3,6153 -3,5401 -3,4568 -3,3945 -3,3654 -3,3578
F7    0,2820 0,3986 0,5679 0,7632 0,9565 1,1202 1,2224 1,2375 1,1607 1,0135 0,8372 0,6738 0,5506 0,4754 0,4383 0,4238 0,4256 0,4430 0,4698 0,4936 0,5022 0,4856 0,4398 0,3748 0,3179 0,2999 0,3294 0,3808 0,4096 0,3754 0,2545 0,0447 -0,2320 -0,5361 -0,8264 -1,0680 -1,2357 -1,3241 -1,3496 -1,3351 -1,2937 -1,2268 -1,1390 -1,0511 -0,9898 -0,9624 -0,9512 -0,9321 -0,8897 -0,8255 -0,7546 -0,6935 -0,6570 -0,6582 -0,6988 -0,7642 -0,8358 -0,8995 -0,9380 -0,9260 -0,8481 -0,7225 -0,5937 -0,4977 -0,4416 -0,4128 -0,3976 -0,3924 -0,3987 -0,4114 -0,4218 -0,4315 -0,4556 -0,5126 -0,6159 -0,7689 -0,9578 -1,1496 -1,3026 -1,3829 -1,3813 -1,3193 -1,2316 -1,1374 -1,0331 -0,9141 -0,7977 -0,7136 -0,6744 -0,6698 -0,6823 -0,6952 -0,6908 -0,6593 -0,6131 -0,5787 -0,5709 -0,5838 -0,6017 -0,6124 -0,6143 -0,6151 -0,6224 -0,6343 -0,6470 -0,6753 -0,7600 -0,9455 -1,2484 -1,6484 -2,1160 -2,6427 -3,2400 -3,9124 -4,6273 -5,3130 -5,8960 -6,3405 -6,6560 -6,8704 -6,9990 -7,0392 -6,9875 -6,8495 -6,6399 -6,3743 -6,0575 -5,6829 -5,2459 -4,7518 -4,2125 -3,6447 -3,0722 -2,5208 -2,0051 -1,5264 -1,0873 -0,6962 -0,3599 -0,0819 0,1335 0,2764 0,3352 0,3103 0,2223 0,1015 -0,0268 -0,1416 -0,2196 -0,2337 -0,1593 0,0097 0,2519 0,5301 0,8116 1,0810 1,3442 1,6265 1,9519 2,3213 2,7139 3,1046 3,4763 3,8216 4,1414 4,4393 4,7105 4,9293 5,0539 5,0477 4,8960 4,6028 4,1806 3,6522 3,0581 2,4453 1,8475 1,2802 0,7487 0,2562 -0,1915 -0,5831 -0,9021 -1,1318 -1,2672 -1,3190 -1,3066 -1,2535 -1,1810 -1,0959 -0,9936 -0,8677 -0,7068 -0,4917 -0,2125 0,1095 0,4243 0,6759 0,8323 0,9083 0,9575 1,0308 1,1372 1,2412 1,2933 1,2670 1,1737 1,0438 0,8950 0,7189 0,5011 0,2488 -0,0106 -0,2555 -0,4853 -0,7102 -0,9366 -1,1645 -1,3920 -1,6155 -1,8258 -2,0079 -2,1483 -2,2467 -2,3208 -2,4047 -2,5312 -2,6987 -2,8619 -2,9624 -2,9723 -2,9054 -2,7923 -2,6583 -2,5173 -2,3719 -2,2241 -2,0908 -1,9963 -1,9507 -1,9403 -1,9370 -1,9222 -1,9073 -1,9263 -2,0049 -2,1398 -2,3027 -2,4576 -2,5863 -2,7031 -2,8390 -3,0093 -3,2048 -3,4132 -3,6351 -3,8722 -4,1203 -4,3851 -4,6852 -5,0284 -5,3959 -5,7498 -6,0508 -6,2737 -6,4127 -6,4859 -6,5338 -6,5929 -6,6604 -6,6945 -6,6547 -6,5352 -6,3575 -6,1456 -5,9166 -5,6823 -5,4533 -5,2411 -5,0542 -4,8902 -4,7347 -4,5717 -4,4012 -4,2431 -4,1204 -4,0481 -4,0353 -4,0837 -4,1773 -4,2824 -4,3688 -4,4299 -4,4830 -4,5537 -4,6596 -4,7999 -4,9548 -5,0955 -5,2021 -5,2762 -5,3319 -5,3752 -5,3997 -5,3967 -5,3647 -5,3075 -5,2310 -5,1457 -5,0690 -5,0215 -5,0162 -5,0561 -5,1383 -5,2521 -5,3717 -5,4606 -5,4874 -5,4388 -5,3140 -5,1074 -4,8099 -4,4313 -4,0109 -3,6062 -3,2722 -3,0477 -2,9502 -2,9719 -3,0798 -3,2286 -3,3842 -3,5332 -3,6754 -3,8161 -3,9689 -4,1539 -4,3841 -4,6478 -4,9112 -5,1398 -5,3124 -5,4246 -5,4861 -5,5125 -5,5100 -5,4725 -5,3957 -5,2916 -5,1867 -5,1094 -5,0689 -5,0434 -5,0031 -4,9433 -4,8847 -4,8458 -4,8254 -4,8106 -4,7864 -4,7372 -4,6549 -4,5468 -4,4244 -4,2920 -4,1604 -4,0559 -4,0004 -3,9874 -3,9833 -3,9417 -3,8159 -3,5771 -3,2305 -2,8206 -2,4180 -2,0917 -1,8802 -1,7900 -1,8080 -1,9041 -2,0429 -2,2021 -2,3730 -2,5502 -2,7294 -2,9100 -3,0892 -3,2561 -3,3920 -3,4782 -3,5043 -3,4741 -3,4066 -3,3281 -3,2625 -3,2289 -3,2372 -3,2754 -3,3116 -3,3146 -3,2716 -3,1980 -3,1343 -3,1199 -3,1615 -3,2258 -3,2620 -3,2330 -3,1307 -2,9685 -2,7665 -2,5500 -2,3522 -2,2065 -2,1311 -2,1237 -2,1694 -2,2525 -2,3552 -2,4554 -2,5310 -2,5716 -2,5902 -2,6157 -2,6666 -2,7369 -2,8074 -2,8624 -2,8956 -2,9102 -2,9121 -2,8978 -2,8532 -2,7741 -2,6894 -2,6515 -2,7001 -2,8370 -3,0281 -3,2188 -3,3582 -3,4220 -3,4146 -3,3542 -3,2600 -3,1527 -3,0606 -3,0108 -3,0109 -3,0411 -3,0671 -3,0614 -3,0176 -2,9526 -2,8918 -2,8479 -2,8168 -2,7929 -2,7808 -2,7928 -2,8408 -2,9323 -3,0667 -3,2285 -3,3883 -3,5179 -3,6030 -3,6418 -3,6354 -3,5788 -3,4673 -3,3119 -3,1446 -3,0080 -2,9319 -2,9155 -2,9376 -2,9805 -3,0332 -3,0878 -3,1492 -3,2381 -3,3772 -3,5800 -3,8532 -4,1948 -4,5786 -4,9528 -5,2663 -5,5000 -5,6714 -5,8137 -5,9449 -6,0495 -6,0910 -6,0418 -5,9020 -5,6872 -5,4077 -5,0704 -4,6917 -4,3017 -3,9357 -3,6145 -3,3296 -3,0610 -2,8116 -2,6039 -2,4430 -2,2973 -2,1195 -1,8874 -1,6270 -1,3947 -1,2374 -1,1630 -1,1413 -1,1259 -1,0744 -0,9607 -0,7851 -0,5708 -0,3478 -0,1410 0,0323 0,1578 0,2163 0,1885 0,0742 -0,1001 -0,2957 -0,4733 -0,6007 -0,6599 -0,6443 -0,5532 -0,4019 -0,2315 -0,0892 -0,0033 0,0197 -0,0139 -0,0925 -0,2043 -0,3355 -0,4698 -0,5933 -0,6948 -0,7577 -0,7676 -0,7230 -0,6326 -0,5098 -0,3739 -0,2444 -0,1346 -0,0525 0,0007 0,0305 0,0469 0,0663 0,1114 0,1901 0,2780 0,3348 0,3372 0,2883 0,2046 0,1011 -0,0126 -0,1240 -0,2096 -0,2547 -0,2833 -0,3470 -0,4821 -0,6875 -0,9394 -1,2090 -1,4651 -1,6803 -1,8500 -1,9934 -2,1330 -2,2722 -2,3899 -2,4524 -2,4371 -2,3470 -2,2037 -2,0320 -1,8522 -1,6788 -1,5290 -1,4271 -1,3862 -1,3890 -1,3975 -1,3818
