Fp1   0,3561 0,7066 1,0328 1,2933 1,4612 1,5268 1,4807 1,2840 0,8973 0,3497 -0,2564 -0,8037 -1,1945 -1,3509 -1,2271 -0,8394 -0,2756 0,3334 0,8569 1,2000 1,3311 1,2750 1,0770 0,7889 0,4809 0,2279 0,0672 -0,0193 -0,0786 -0,1453 -0,2237 -0,3019 -0,3765 -0,4595 -0,5669 -0,7117 -0,9042 -1,1391 -1,3678 -1,4949 -1,4299 -1,1625 -0,7803 -0,4130 -0,1622 -0,0649 -0,0854 -0,1321 -0,1050 0,0454 0,2852 0,5175 0,6521 0,6728 0,6420 0,6321 0,6538 0,6681 0,6589 0,6755 0,8106 1,1275 1,5878 2,0478 2,3358 2,3440 2,0712 1,6122 1,1147 0,7220 0,5271 0,5401 0,6877 0,8678 1,0198 1,1349 1,2228 1,2996 1,3913 1,5226 1,7018 1,9061 2,0688 2,1024 1,9547 1,6427 1,2297 0,7806 0,3387 -0,0724 -0,4454 -0,7903 -1,1231 -1,4512 -1,7709 -2,0582 -2,2612 -2,3221 -2,2159 -1,9597 -1,6001 -1,2088 -0,8772 -0,6931 -0,7130 -0,9503 -1,3843 -1,9716 -2,6299 -3,2199 -3,5851 -3,6230 -3,3161 -2,7065 -1,8648 -0,8694 0,2110 1,3245 2,4231 3,4644 4,4464 5,4163 6,4224 7,4678 8,5093 9,4777 10,2951 10,8933 11,2401 11,3702 11,3784 11,3653 11,3846 11,4356 11,5027 11,5991 11,7616 11,9961 12,2435 12,4179 12,4711 12,4211 12,3305 12,2657 12,2660 12,3338 12,4457 12,5755 12,7091 12,8450 12,9847 13,1184 13,2186 13,2622 13,2714 13,3246 13,5151 13,9028 14,4986 15,2602 16,0975 16,9088 17,6256 18,2218 18,6851 18,9945 19,1360 19,1258 18,9842 18,6908 18,1927 17,4438 16,4344 15,2183 13,9191 12,6825 11,6025 10,6958 9,9480 9,3598 8,9330 8,6402 8,4325 8,2633 8,0861 7,8432 7,4911 7,0440 6,5707 6,1329 5,7497 5,4309 5,2176 5,1808 5,3837 5,8374 6,4800 7,1931 7,8441 8,3332 8,6241 8,7378 8,7222 8,6372 8,5597 8,5778 8,7515 9,0614 9,4037 9,6570 9,7560 9,7022 9,5279 9,2581 8,8966 8,4427 7,9176 7,3817 6,9276 6,6401 6,5497 6,6241 6,7945 6,9810 7,1070 7,1175 6,9914 6,7460 6,4222 6,0390 5,5773 5,0271 4,4272 3,8409 3,3075 2,8298 2,3943 1,9817 1,5670 1,1311 0,6743 0,2083 -0,2506 -0,6748 -1,0278 -1,2739 -1,3807 -1,3410 -1,2092 -1,0906 -1,0755 -1,1899 -1,3983 -1,6251 -1,7576 -1,6651 -1,2777 -0,6549 0,0570 0,7398 1,3521 1,8736 2,2533 2,4310 2,3751 2,0948 1,6426 1,1099 0,6208 0,3187 0,3295 0,7131 1,4320 2,3652 3,3624 4,2928 5,0620 5,6059 5,8782 5,8566 5,5779 5,1598 4,7676 4,5378 4,5212 4,6844 4,9504 5,2418 5,5005 5,6887 5,7854 5,7826 5,6946 5,5685 5,4665 5,4513 5,5873 5,9186 6,4214 6,9937 7,5091 7,8798 8,0799 8,1424 8,1367 8,1343 8,1818 8,2908 8,4388 8,5856 8,7066 8,8056 8,8928 8,9611 8,9729 8,8608 8,5570 8,0411 7,3549 6,5688 5,7485 4,9592 4,2739 3,7469 3,3835 3,1429 2,9736 2,8436 2,7490 2,7019 2,7062 2,7474 2,8129 2,8983 2,9826 3,0250 3,0012 2,9187 2,8035 2,6954 2,6374 2,6361 2,6504 2,6430 2,6210 2,6100 2,6121 2,6105 2,5932 2,5559 2,5026 2,4415 2,3651 2,2524 2,0973 1,9250 1,7720 1,6579 1,5857 1,5527 1,5498 1,5589 1,5654 1,5745 1,6040 1,6638 1,7587 1,9024 2,1112 2,3888 2,7274 3,1216 3,5827 4,1281 4,7320 5,2940 5,6902 5,8602 5,8338 5,6928 5,5334 5,4454 5,4791 5,6272 5,8475 6,0962 6,3390 6,5359 6,6230 6,5299 6,2283 5,7501 5,1633 4,5508 3,9982 3,5714 3,3003 3,1823 3,1852 3,2464 3,2906 3,2618 3,1468 2,9785 2,8159 2,7135 2,7027 2,7936 2,9720 3,1864 3,3530 3,3891 3,2492 2,9494 2,5818 2,2909 2,1978 2,3388 2,6834 3,1804 3,7709 4,3931 4,9978 5,5539 6,0408 6,4348 6,7034 6,8157 6,7566 6,5411 6,2181 5,8532 5,5096 5,2509 5,1458 5,2535 5,6055 6,1922 6,9520 7,7752 8,5289 9,0968 9,4207 9,5132 9,4257 9,2071 8,8811 8,4455 7,9045 7,3128 6,7728 6,3864 6,2167 6,2843 6,5789 7,0619 7,6711 8,3502 9,0574 9,7370 10,3150 10,7305 10,9536 10,9821 10,8371 10,5552 10,1745 9,7271 9,2430 8,7480 8,2418 7,6874 7,0485 6,3348 5,6013 4,9141 4,3251 3,8708 3,5708 3,3993 3,2796 3,1477 3,0123 2,9307 2,9399 3,0231 3,1220 3,1622 3,0858 2,8861 2,6205 2,3884 2,2833 2,3570 2,6193 3,0386 3,5285 3,9764 4,3153 4,5653 4,8089 5,1281 5,5536 6,0609 6,5925 7,0717 7,4131 7,5570 7,5088 7,3306 7,0888 6,8190 6,5372 6,2651 6,0489 5,9648 6,0855 6,4240 6,9127 7,4348 7,8745 8,1653 8,3115 8,3659 8,3913 8,4349 8,5084 8,5826 8,6131 8,5785 8,4949 8,4029 8,3492 8,3790 8,5327 8,8279 9,2326 9,6646 10,0249 10,2144 10,1353 9,7139 8,9397 7,8829 6,6830 5,5177 4,5589 3,9216 3,6304 3,6267 3,8066 4,0516 4,2416 4,2882 4,1738 3,9367 3,6203 3,2499 2,8355 2,3731 1,8537 1,2870 0,7129 0,1848 -0,2539 -0,5821 -0,8181 -1,0215 -1,2443 -1,4876 -1,7166 -1,8909 -1,9727 -1,9206 -1,6852 -1,2398 -0,6218 0,0834 0,8016 1,5007 2,1716 2,7866 3,2835 3,5950 3,6932 3,6094 3,4277 3,2507 3,1470 3,1212 3,1379 3,1678 3,2041 3,2478 3,2972 3,3478 3,3963 3,4473 3,4965 3,5098
Fz    0,1172 0,0768 0,0301 -0,0071 -0,0297 -0,0435 -0,0640 -0,1143 -0,2058 -0,3162 -0,3948 -0,3987 -0,3204 -0,1825 -0,0178 0,1408 0,2606 0,3104 0,2713 0,1492 -0,0233 -0,1975 -0,3268 -0,3807 -0,3526 -0,2597 -0,1342 -0,0104 0,0860 0,1454 0,1766 0,1983 0,2220 0,2425 0,2442 0,2118 0,1393 0,0376 -0,0638 -0,1271 -0,1291 -0,0814 -0,0252 0,0006 -0,0097 -0,0222 0,0157 0,1426 0,3644 0,6552 0,9670 1,2449 1,4478 1,5670 1,6255 1,6577 1,6870 1,7244 1,7782 1,8576 1,9702 2,1172 2,2822 2,4272 2,5084 2,4987 2,3980 2,2318 2,0393 1,8598 1,7221 1,6396 1,6088 1,6225 1,6845 1,8042 1,9775 2,1807 2,3812 2,5544 2,6898 2,7841 2,8295 2,8154 2,7427 2,6317 2,5101 2,3971 2,3007 2,2213 2,1490 2,0602 1,9268 1,7342 1,4939 1,2416 1,0233 0,8767 0,8195 0,8495 0,9462 1,0731 1,1885 1,2652 1,2974 1,2877 1,2327 1,1263 0,9762 0,8117 0,6675 0,5638 0,5042 0,4893 0,5263 0,6227 0,7744 0,9656 1,1800 1,4130 1,6763 1,9985 2,4132 2,9401 3,5709 4,2676 4,9725 5,6274 6,1911 6,6461 6,9952 7,2549 7,4494 7,6043 7,7413 7,8776 8,0221 8,1642 8,2726 8,3134 8,2725 8,1590 7,9953 7,8091 7,6343 7,5107 7,4681 7,5094 7,6119 7,7428 7,8731 7,9862 8,0821 8,1810 8,3233 8,5547 8,8988 9,3405 9,8345 10,3215 10,7454 11,0723 11,3037 11,4686 11,5986 11,7059 11,7812 11,8012 11,7358 11,5598 11,2646 10,8539 10,3397 9,7475 9,1170 8,4879 7,8815 7,2948 6,7156 6,1427 5,5851 5,0437 4,5084 3,9755 3,4578 2,9775 2,5613 2,2383 2,0263 1,9160 1,8796 1,8940 1,9534 2,0594 2,2070 2,3768 2,5319 2,6280 2,6338 2,5490 2,4061 2,2546 2,1419 2,1038 2,1622 2,3234 2,5753 2,8834 3,1928 3,4475 3,6157 3,6949 3,6975 3,6401 3,5424 3,4298 3,3357 3,3036 3,3783 3,5780 3,8716 4,1896 4,4604 4,6363 4,6947 4,6323 4,4643 4,2268 3,9677 3,7173 3,4721 3,2192 2,9640 2,7261 2,5184 2,3382 2,1703 1,9928 1,7852 1,5403 1,2659 0,9743 0,6756 0,3788 0,0938 -0,1663 -0,3855 -0,5571 -0,6961 -0,8362 -1,0024 -1,1848 -1,3404 -1,4220 -1,4035 -1,2840 -1,0816 -0,8297 -0,5646 -0,3054 -0,0475 0,2208 0,4988 0,7727 1,0262 1,2512 1,4545 1,6576 1,8918 2,1897 2,5709 3,0285 3,5241 4,0028 4,4200 4,7556 5,0069 5,1742 5,2571 5,2581 5,1904 5,0838 4,9780 4,9028 4,8621 4,8365 4,7976 4,7248 4,6108 4,4566 4,2673 4,0526 3,8309 3,6282 3,4698 3,3750 3,3549 3,4084 3,5155 3,6449 3,7746 3,9023 4,0357 4,1795 4,3298 4,4755 4,6038 4,7013 4,7527 4,7497 4,7040 4,6462 4,6075 4,5990 4,6029 4,5807 4,4969 4,3438 4,1398 3,9065 3,6515 3,3808 3,1180 2,9022 2,7647 2,7074 2,7026 2,7139 2,7186 2,7109 2,6922 2,6660 2,6441 2,6466 2,6901 2,7771 2,8991 3,0367 3,1578 3,2283 3,2307 3,1695 3,0613 2,9204 2,7527 2,5615 2,3556 2,1478 1,9479 1,7593 1,5842 1,4304 1,3054 1,2058 1,1197 1,0380 0,9587 0,8835 0,8164 0,7658 0,7428 0,7591 0,8271 0,9563 1,1454 1,3799 1,6401 1,9065 2,1618 2,3944 2,6025 2,7943 2,9825 3,1771 3,3797 3,5797 3,7615 3,9189 4,0606 4,1986 4,3376 4,4751 4,6037 4,7133 4,7948 4,8424 4,8540 4,8296 4,7703 4,6805 4,5681 4,4338 4,2627 4,0341 3,7428 3,4090 3,0695 2,7605 2,5015 2,2867 2,0907 1,8874 1,6691 1,4515 1,2634 1,1338 1,0822 1,1114 1,2064 1,3399 1,4831 1,6132 1,7149 1,7842 1,8328 1,8834 1,9570 2,0641 2,2096 2,3997 2,6372 2,9157 3,2223 3,5438 3,8665 4,1697 4,4256 4,6155 4,7420 4,8257 4,8954 4,9752 5,0720 5,1770 5,2800 5,3869 5,5256 5,7326 6,0245 6,3797 6,7457 7,0664 7,3076 7,4630 7,5421 7,5535 7,4920 7,3409 7,0956 6,7908 6,4950 6,2751 6,1618 6,1401 6,1686 6,2090 6,2409 6,2608 6,2767 6,2971 6,3262 6,3670 6,4211 6,4812 6,5277 6,5323 6,4711 6,3359 6,1347 5,8845 5,6019 5,2977 4,9817 4,6684 4,3706 4,0927 3,8326 3,5869 3,3573 3,1486 2,9639 2,8099 2,7019 2,6497 2,6411 2,6519 2,6694 2,6963 2,7331 2,7715 2,8072 2,8514 2,9222 3,0333 3,1933 3,4080 3,6742 3,9781 4,3019 4,6310 4,9564 5,2723 5,5735 5,8555 6,1122 6,3318 6,4946 6,5847 6,6108 6,6107 6,6326 6,7104 6,8502 7,0342 7,2333 7,4186 7,5630 7,6414 7,6351 7,5379 7,3604 7,1336 6,9057 6,7261 6,6296 6,6333 6,7358 6,9197 7,1569 7,4108 7,6363 7,7892 7,8424 7,7969 7,6790 7,5261 7,3701 7,2286 7,1062 6,9968 6,8867 6,7597 6,6056 6,4255 6,2300 6,0309 5,8357 5,6490 5,4749 5,3185 5,1886 5,0922 5,0211 4,9505 4,8555 4,7279 4,5766 4,4169 4,2595 4,1018 3,9280 3,7191 3,4643 3,1636 2,8240 2,4593 2,0881 1,7316 1,4123 1,1482 0,9465 0,8094 0,7423 0,7518 0,8418 1,0055 1,2205 1,4610 1,7117 1,9684 2,2315 2,5010 2,7748 3,0465 3,3057 3,5467 3,7794 4,0265 4,3031 4,5986 4,8804 5,1134 5,2771 5,3673 5,3892 5,3534 5,2802 5,2045 5,1633 5,1732
F3    0,2362 0,2068 0,2035 0,2402 0,3148 0,4173 0,5242 0,5896 0,5708 0,4721 0,3448 0,2438 0,1977 0,2138 0,2902 0,4134 0,5532 0,6654 0,7074 0,6568 0,5190 0,3199 0,0949 -0,1170 -0,2798 -0,3708 -0,3850 -0,3349 -0,2490 -0,1581 -0,0790 -0,0197 0,0072 -0,0111 -0,0781 -0,1942 -0,3610 -0,5624 -0,7451 -0,8344 -0,7838 -0,6139 -0,4018 -0,2333 -0,1626 -0,1989 -0,3118 -0,4444 -0,5337 -0,5390 -0,4656 -0,3610 -0,2777 -0,2326 -0,2001 -0,1433 -0,0444 0,1000 0,2953 0,5430 0,8330 1,1428 1,4323 1,6444 1,7295 1,6704 1,4868 1,2245 0,9396 0,6811 0,4836 0,3654 0,3290 0,3717 0,4983 0,7129 1,0006 1,3284 1,6586 1,9609 2,2168 2,4152 2,5384 2,5655 2,4987 2,3761 2,2505 2,1594 2,1169 2,1175 2,1319 2,1069 1,9895 1,7593 1,4374 1,0746 0,7308 0,4557 0,2761 0,1929 0,1829 0,2053 0,2200 0,2046 0,1570 0,0779 -0,0453 -0,2296 -0,4630 -0,6892 -0,8379 -0,8666 -0,7656 -0,5392 -0,1975 0,2367 0,7230 1,2114 1,6590 2,0476 2,3963 2,7552 3,1731 3,6660 4,2081 4,7466 5,2246 5,6042 5,8806 6,0781 6,2351 6,3899 6,5729 6,8018 7,0809 7,4043 7,7511 8,0749 8,3150 8,4317 8,4263 8,3279 8,1715 7,9921 7,8321 7,7404 7,7519 7,8641 8,0338 8,1965 8,2965 8,3157 8,2815 8,2528 8,3003 8,4824 8,8223 9,2998 9,8643 10,4475 10,9793 11,4127 11,7398 11,9835 12,1728 12,3198 12,4112 12,4139 12,2882 12,0057 11,5583 10,9539 10,2143 9,3837 8,5317 7,7339 7,0361 6,4389 5,9227 5,4824 5,1231 4,8310 4,5654 4,2795 3,9369 3,5162 3,0242 2,5031 2,0077 1,5746 1,2250 0,9854 0,8921 0,9706 1,2137 1,5701 1,9512 2,2614 2,4376 2,4697 2,3920 2,2549 2,1009 1,9598 1,8553 1,8051 1,8165 1,8813 1,9778 2,0797 2,1659 2,2238 2,2480 2,2427 2,2243 2,2139 2,2269 2,2747 2,3698 2,5170 2,6970 2,8656 2,9745 2,9931 2,9132 2,7424 2,4997 2,2216 1,9588 1,7394 1,5435 1,3361 1,1109 0,8904 0,6986 0,5462 0,4320 0,3443 0,2650 0,1814 0,0927 0,0013 -0,0946 -0,1954 -0,2923 -0,3693 -0,4135 -0,4309 -0,4600 -0,5624 -0,7791 -1,0876 -1,4066 -1,6424 -1,7256 -1,6223 -1,3413 -0,9371 -0,4873 -0,0528 0,3423 0,6928 0,9870 1,2082 1,3480 1,4121 1,4210 1,4129 1,4467 1,5949 1,9162 2,4194 3,0490 3,7114 4,3221 4,8299 5,2051 5,4250 5,4765 5,3656 5,1253 4,8175 4,5224 4,3087 4,2008 4,1730 4,1742 4,1591 4,1039 4,0020 3,8547 3,6644 3,4375 3,1963 2,9806 2,8360 2,7981 2,8743 3,0361 3,2423 3,4691 3,7125 3,9673 4,2207 4,4587 4,6670 4,8319 4,9411 4,9837 4,9569 4,8754 4,7737 4,6924 4,6597 4,6747 4,7009 4,6860 4,5956 4,4279 4,1959 3,9071 3,5673 3,2012 2,8549 2,5723 2,3671 2,2251 2,1288 2,0739 2,0636 2,0956 2,1610 2,2550 2,3798 2,5321 2,6944 2,8443 2,9680 3,0568 3,1038 3,1061 3,0627 2,9694 2,8186 2,6051 2,3307 2,0073 1,6626 1,3343 1,0540 0,8398 0,6987 0,6205 0,5739 0,5200 0,4338 0,3112 0,1584 -0,0151 -0,1919 -0,3395 -0,4142 -0,3783 -0,2160 0,0611 0,4197 0,8225 1,2359 1,6275 1,9703 2,2543 2,4905 2,7016 2,9083 3,1159 3,3079 3,4596 3,5653 3,6437 3,7181 3,7990 3,8859 3,9759 4,0674 4,1561 4,2301 4,2722 4,2699 4,2235 4,1472 4,0605 3,9689 3,8536 3,6861 3,4551 3,1830 2,9149 2,6865 2,4996 2,3246 2,1253 1,8844 1,6140 1,3455 1,1134 0,9452 0,8593 0,8638 0,9516 1,1000 1,2778 1,4533 1,6015 1,7102 1,7860 1,8542 1,9438 2,0698 2,2354 2,4460 2,7088 3,0236 3,3806 3,7627 4,1456 4,4920 4,7574 4,9134 4,9649 4,9447 4,9033 4,8913 4,9360 5,0297 5,1457 5,2678 5,4107 5,6057 5,8627 6,1481 6,4034 6,5798 6,6614 6,6615 6,6006 6,4878 6,3113 6,0485 5,6978 5,3051 4,9493 4,6999 4,5814 4,5644 4,5885 4,6062 4,6080 4,6164 4,6643 4,7725 4,9390 5,1418 5,3482 5,5247 5,6443 5,6884 5,6482 5,5302 5,3574 5,1619 4,9647 4,7582 4,5162 4,2203 3,8709 3,4816 3,0748 2,6833 2,3458 2,0886 1,9142 1,8148 1,7871 1,8261 1,9140 2,0255 2,1433 2,2625 2,3797 2,4882 2,5876 2,6903 2,8118 2,9562 3,1170 3,2859 3,4563 3,6245 3,7919 3,9648 4,1541 4,3678 4,6064 4,8670 5,1443 5,4216 5,6656 5,8435 5,9503 6,0140 6,0697 6,1345 6,2040 6,2663 6,3126 6,3369 6,3313 6,2830 6,1803 6,0227 5,8252 5,6194 5,4500 5,3608 5,3810 5,5190 5,7562 6,0444 6,3230 6,5428 6,6742 6,7081 6,6603 6,5700 6,4834 6,4364 6,4404 6,4795 6,5275 6,5647 6,5788 6,5574 6,4836 6,3361 6,0953 5,7557 5,3377 4,8869 4,4584 4,0989 3,8341 3,6568 3,5237 3,3805 3,2002 2,9928 2,7836 2,5864 2,3935 2,1800 1,9174 1,5909 1,2093 0,7956 0,3714 -0,0493 -0,4588 -0,8485 -1,1963 -1,4690 -1,6434 -1,7119 -1,6709 -1,5148 -1,2467 -0,8975 -0,5247 -0,1818 0,1113 0,3674 0,6086 0,8417 1,0528 1,2186 1,3223 1,3670 1,3854 1,4267 1,5239 1,6738 1,8504 2,0337 2,2203 2,4056 2,5627 2,6475 2,6343 2,5486 2,4514 2,3865
F7    1,3350 1,6104 1,8080 1,9141 1,9368 1,8999 1,8243 1,7015 1,5064 1,2440 0,9574 0,6890 0,4549 0,2558 0,0977 -0,0006 -0,0117 0,0846 0,2746 0,5048 0,7125 0,8573 0,9195 0,8932 0,7874 0,6223 0,4222 0,2118 0,0074 -0,1909 -0,3880 -0,5795 -0,7573 -0,9216 -1,0738 -1,2053 -1,3061 -1,3777 -1,4279 -1,4598 -1,4748 -1,4851 -1,5093 -1,5547 -1,6067 -1,6339 -1,6033 -1,4983 -1,3314 -1,1352 -0,9436 -0,7838 -0,6741 -0,6140 -0,5807 -0,5462 -0,5005 -0,4452 -0,3678 -0,2393 -0,0340 0,2505 0,5842 0,9061 1,1424 1,2403 1,1962 1,0601 0,9108 0,8145 0,7960 0,8389 0,9015 0,9437 0,9554 0,9553 0,9625 0,9795 1,0049 1,0495 1,1309 1,2503 1,3816 1,4842 1,5282 1,5153 1,4728 1,4229 1,3605 1,2661 1,1291 0,9457 0,7062 0,3951 0,0087 -0,4201 -0,8123 -1,0795 -1,1801 -1,1378 -1,0102 -0,8599 -0,7458 -0,7165 -0,7982 -0,9904 -1,2733 -1,6146 -1,9689 -2,2788 -2,4899 -2,5711 -2,5146 -2,3135 -1,9607 -1,4768 -0,9161 -0,3373 0,2206 0,7477 1,2637 1,8037 2,3922 3,0337 3,7143 4,4003 5,0449 5,6011 6,0323 6,3283 6,5191 6,6579 6,7835 6,9018 7,0034 7,0890 7,1726 7,2664 7,3658 7,4535 7,5152 7,5464 7,5457 7,5196 7,4929 7,4978 7,5550 7,6764 7,8689 8,1255 8,4201 8,7145 8,9675 9,1516 9,2703 9,3561 9,4458 9,5601 9,7022 9,8606 10,0103 10,1254 10,1962 10,2284 10,2284 10,1988 10,1521 10,1157 10,1019 10,0791 9,9910 9,7998 9,5024 9,1225 8,6943 8,2407 7,7592 7,2330 6,6557 6,0417 5,4094 4,7727 4,1599 3,6255 3,2218 2,9550 2,7855 2,6775 2,6311 2,6562 2,7379 2,8388 2,9282 3,0015 3,0706 3,1429 3,2074 3,2368 3,2033 3,0967 2,9364 2,7648 2,6275 2,5561 2,5678 2,6757 2,8895 3,1930 3,5284 3,8221 4,0181 4,0841 4,0069 3,7896 3,4476 3,0086 2,5184 2,0403 1,6438 1,3826 1,2787 1,3270 1,5052 1,7647 2,0232 2,1965 2,2473 2,2023 2,1147 2,0094 1,8715 1,6801 1,4401 1,1831 0,9410 0,7202 0,5002 0,2535 -0,0334 -0,3474 -0,6510 -0,9033 -1,0822 -1,1967 -1,2899 -1,4184 -1,6060 -1,8192 -1,9942 -2,0816 -2,0646 -1,9557 -1,7941 -1,6403 -1,5469 -1,5306 -1,5831 -1,6981 -1,8610 -2,0197 -2,0929 -2,0280 -1,8361 -1,5640 -1,2594 -0,9658 -0,7241 -0,5581 -0,4586 -0,3854 -0,2882 -0,1322 0,0868 0,3453 0,6127 0,8625 1,0740 1,2358 1,3408 1,3788 1,3454 1,2594 1,1596 1,0835 1,0515 1,0614 1,0944 1,1316 1,1658 1,1992 1,2280 1,2329 1,1929 1,1127 1,0307 1,0092 1,1134 1,3814 1,7898 2,2485 2,6456 2,9106 3,0398 3,0740 3,0640 3,0522 3,0694 3,1290 3,2197 3,3105 3,3721 3,3921 3,3739 3,3238 3,2399 3,1129 2,9404 2,7404 2,5432 2,3691 2,2228 2,1109 2,0439 2,0184 2,0129 2,0054 1,9868 1,9625 1,9452 1,9488 1,9847 2,0599 2,1751 2,3235 2,4900 2,6574 2,8180 2,9678 3,0884 3,1487 3,1234 2,9962 2,7631 2,4573 2,1581 1,9440 1,8351 1,7966 1,7823 1,7593 1,7157 1,6577 1,5933 1,5200 1,4347 1,3474 1,2746 1,2225 1,1826 1,1372 1,0669 0,9634 0,8421 0,7409 0,7007 0,7451 0,8770 1,0824 1,3326 1,5935 1,8423 2,0742 2,3052 2,5665 2,8747 3,1992 3,4693 3,6211 3,6361 3,5404 3,3847 3,2238 3,0933 2,9997 2,9287 2,8656 2,8139 2,7900 2,7945 2,7988 2,7627 2,6580 2,4823 2,2661 2,0574 1,8907 1,7762 1,7128 1,6914 1,6881 1,6778 1,6528 1,6220 1,5973 1,5888 1,6057 1,6516 1,7233 1,8127 1,9059 1,9807 2,0112 1,9745 1,8634 1,7049 1,5594 1,4899 1,5231 1,6472 1,8379 2,0692 2,3136 2,5535 2,7953 3,0566 3,3372 3,6117 3,8478 4,0216 4,1175 4,1341 4,0884 4,0123 3,9551 3,9838 4,1540 4,4742 4,9112 5,4193 5,9493 6,4380 6,8134 7,0206 7,0461 6,9179 6,6805 6,3630 5,9668 5,4874 4,9472 4,4028 3,9282 3,5977 3,4732 3,5830 3,8938 4,3125 4,7326 5,0791 5,3181 5,4515 5,5086 5,5281 5,5383 5,5516 5,5685 5,5759 5,5472 5,4588 5,3102 5,1147 4,8686 4,5497 4,1489 3,6924 3,2302 2,8062 2,4438 2,1521 1,9239 1,7336 1,5628 1,4241 1,3424 1,3182 1,3180 1,2995 1,2399 1,1421 1,0265 0,9282 0,8965 0,9777 1,1903 1,5221 1,9395 2,3910 2,8292 3,2392 3,6351 4,0304 4,4212 4,7866 5,0980 5,3284 5,4577 5,4767 5,3977 5,2584 5,1101 4,9957 4,9391 4,9453 5,0023 5,0883 5,1893 5,3033 5,4267 5,5446 5,6384 5,7018 5,7480 5,7970 5,8598 5,9396 6,0430 6,1706 6,3010 6,3985 6,4432 6,4470 6,4297 6,3889 6,3145 6,2263 6,1721 6,1839 6,2513 6,3397 6,4151 6,4478 6,4098 6,2816 6,0576 5,7428 5,3508 4,9120 4,4717 4,0772 3,7679 3,5663 3,4634 3,4127 3,3508 3,2294 3,0296 2,7528 2,4122 2,0270 1,6126 1,1758 0,7234 0,2684 -0,1716 -0,5746 -0,9212 -1,2135 -1,4740 -1,7150 -1,9236 -2,0764 -2,1535 -2,1487 -2,0713 -1,9324 -1,7406 -1,5144 -1,2827 -1,0702 -0,8813 -0,6965 -0,4915 -0,2578 -0,0077 0,2296 0,4196 0,5462 0,6200 0,6524 0,6362 0,5604 0,4330 0,2850 0,1585 0,0954 0,1183 0,2150 0,3496 0,4872 0,6046
