Fp1   1,6371 1,4875 1,1093 0,6158 0,1154 -0,3143 -0,6208 -0,7653 -0,7305 -0,5416 -0,2729 -0,0311 0,0794 -0,0009 -0,2502 -0,5693 -0,8349 -0,9601 -0,9149 -0,7105 -0,3871 -0,0057 0,3674 0,6728 0,8702 0,9510 0,9342 0,8406 0,6720 0,4127 0,0601 -0,3373 -0,6815 -0,8797 -0,8970 -0,7554 -0,4926 -0,1428 0,2427 0,5795 0,7786 0,7912 0,6291 0,3505 0,0324 -0,2532 -0,4519 -0,5360 -0,5073 -0,3847 -0,1803 0,1052 0,4600 0,8418 1,1906 1,4575 1,6160 1,6582 1,5906 1,4306 1,2079 0,9658 0,7492 0,5859 0,4769 0,4049 0,3489 0,2973 0,2540 0,2302 0,2258 0,2256 0,2089 0,1600 0,0790 -0,0087 -0,0651 -0,0747 -0,0665 -0,0960 -0,2076 -0,4146 -0,6996 -1,0210 -1,3199 -1,5299 -1,5917 -1,4712 -1,1681 -0,7154 -0,1730 0,3846 0,8898 1,3007 1,6056 1,8074 1,9004 1,8657 1,7010 1,4513 1,1948 0,9856 0,8022 0,5613 0,1934 -0,2911 -0,8073 -1,2498 -1,5384 -1,6326 -1,5295 -1,2589 -0,8760 -0,4394 0,0085 0,4398 0,8278 1,1433 1,3639 1,4893 1,5543 1,6262 1,7824 2,0742 2,5036 3,0316 3,6026 4,1699 4,7098 5,2049 5,6226 5,9318 6,1355 6,2703 6,3759 6,4647 6,5193 6,5213 6,4787 6,4199 6,3630 6,3075 6,2527 6,2116 6,2023 6,2288 6,2709 6,2973 6,2921 6,2686 6,2555 6,2724 6,3201 6,3833 6,4422 6,4960 6,5743 6,7122 6,9228 7,1983 7,5154 7,8277 8,0740 8,2037 8,1921 8,0428 7,7861 7,4698 7,1424 6,8339 6,5322 6,1765 5,6944 5,0663 4,3576 3,6861 3,1576 2,8253 2,6909 2,7221 2,8721 3,0981 3,3726 3,6844 4,0277 4,3823 4,7010 4,9248 5,0115 4,9564 4,7995 4,6127 4,4584 4,3556 4,2887 4,2386 4,1963 4,1526 4,0834 3,9617 3,7961 3,6416 3,5569 3,5609 3,6350 3,7489 3,8702 3,9620 3,9991 3,9932 3,9972 4,0740 4,2554 4,5220 4,8147 5,0693 5,2512 5,3649 5,4412 5,5207 5,6332 5,7801 5,9378 6,0740 6,1583 6,1731 6,1287 6,0609 6,0081 5,9960 6,0395 6,1472 6,3125 6,5028 6,6710 6,7858 6,8419 6,8337 6,7459 6,5840 6,3929 6,2323 6,1432 6,1273 6,1517 6,1830 6,2082 6,2272 6,2416 6,2484 6,2316 6,1670 6,0425 5,8640 5,6387 5,3591 5,0173 4,6394 4,2893 4,0265 3,8665 3,7885 3,7616 3,7580 3,7618 3,7744 3,8098 3,8851 4,0099 4,1768 4,3678 4,5710 4,7872 5,0202 5,2659 5,5103 5,7334 5,9063 5,9846 5,9178 5,6747 5,2691 4,7628 4,2465 3,8190 3,5642 3,5172 3,6358 3,8188 3,9702 4,0497 4,0640 4,0295 3,9649 3,9085 3,9097 3,9912 4,1343 4,3009 4,4644 4,6205 4,7848 4,9840 5,2324 5,5116 5,7813 6,0091 6,1908 6,3455 6,4824 6,5768 6,5951 6,5346 6,4279 6,3179 6,2356 6,1878 6,1547 6,1058 6,0255 5,9276 5,8391 5,7700 5,6992 5,5877 5,4155 5,2234 5,1158 5,2020 5,5177 5,9970 6,5160 6,9620 7,2660 7,4010 7,3799 7,2490 7,0629 6,8602 6,6584 6,4638 6,2769 6,0914 5,9039 5,7298 5,6062 5,5801 5,6892 5,9398 6,2949 6,6889 7,0585 7,3608 7,5687 7,6659 7,6511 7,5380 7,3554 7,1453 6,9503 6,7963 6,6824 6,5819 6,4527 6,2602 5,9981 5,6848 5,3399 4,9875 4,6741 4,4497 4,3340 4,3159 4,3738 4,4884 4,6433 4,8215 5,0081 5,1931 5,3678 5,5246 5,6567 5,7511 5,7930 5,7878 5,7660 5,7556 5,7508 5,7087 5,5728 5,3192 4,9928 4,6854 4,4714 4,3622 4,3140 4,2677 4,1917 4,0960 4,0182 4,0044 4,0907 4,2868 4,5747 4,9214 5,2921 5,6578 5,9947 6,2812 6,4999 6,6364 6,6710 6,5844 6,3843 6,1251 5,8929 5,7645 5,7676 5,8653 5,9758 6,0192 5,9531 5,7773 5,5287 5,2748 5,0936 5,0465 5,1541 5,3857 5,6712 5,9236 6,0591 6,0232 5,8244 5,5367 5,2526 5,0332 4,9027 4,8752 4,9703 5,2009 5,5476 5,9495 6,3169 6,5539 6,5902 6,4057 6,0263 5,5083 4,9451 4,4554 4,1180 3,9224 3,8068 3,7352 3,7217 3,7982 3,9806 4,2532 4,5723 4,8887 5,1739 5,4303 5,6772 5,9176 6,1234 6,2571 6,2901 6,1983 5,9616 5,5773 5,0722 4,5069 3,9649 3,5153 3,1797 2,9524 2,8428 2,8611 2,9699 3,0877 3,1354 3,0667 2,8823 2,6352 2,4110 2,2890 2,3084 2,4566 2,6841 2,9304 3,1495 3,3284 3,4894 3,6628 3,8539 4,0379 4,1731 4,2208 4,1660 4,0220 3,8167 3,5759 3,3121 3,0249 2,7123 2,3896 2,1038 1,9234 1,9036 2,0529 2,3301 2,6825 3,0896 3,5629 4,1028 4,6613 5,1491 5,4845 5,6400 5,6414 5,5371 5,3830 5,2301 5,1087 5,0352 5,0264 5,0907 5,2171 5,3843 5,5688 5,7339 5,8290 5,8066 5,6301 5,2747 4,7448 4,0944 3,4159 2,7993 2,3029 1,9534 1,7566 1,6965 1,7367 1,8303 1,9231 1,9477 1,8425 1,5926 1,2389 0,8412 0,4466 0,0901 -0,1948 -0,3805 -0,4546 -0,4205 -0,2950 -0,1069 0,1097 0,3217 0,5032 0,6397 0,7192 0,7239 0,6439 0,4977 0,3371 0,2358 0,2557 0,4056 0,6336 0,8681 1,0615 1,1967 1,2649 1,2490 1,1309 0,9068 0,5981 0,2628 -0,0094 -0,1395 -0,1156 -0,0033 0,1085 0,1643 0,1560 0,1109 0,0709 0,0678 0,1111 0,1969 0,3126 0,4345 0,5358 0,6012 0,6303 0,6310
Fz    1,2678 1,2054 0,9390 0,5166 0,0091 -0,5057 -0,9475 -1,2402 -1,3308 -1,2099 -0,9151 -0,5165 -0,0999 0,2499 0,4759 0,5699 0,5642 0,5027 0,4251 0,3660 0,3475 0,3673 0,4015 0,4198 0,4030 0,3565 0,3068 0,2757 0,2600 0,2347 0,1707 0,0559 -0,0925 -0,2355 -0,3323 -0,3569 -0,3045 -0,1938 -0,0671 0,0237 0,0454 0,0006 -0,0825 -0,1718 -0,2469 -0,3033 -0,3467 -0,3836 -0,4191 -0,4586 -0,4937 -0,4878 -0,3897 -0,1714 0,1501 0,5185 0,8580 1,0998 1,2076 1,1821 1,0502 0,8540 0,6390 0,4347 0,2426 0,0463 -0,1667 -0,3904 -0,6020 -0,7761 -0,9012 -0,9785 -1,0115 -1,0036 -0,9572 -0,8691 -0,7361 -0,5719 -0,4133 -0,3020 -0,2641 -0,3027 -0,3981 -0,5148 -0,6130 -0,6574 -0,6253 -0,5131 -0,3339 -0,1114 0,1204 0,3211 0,4608 0,5342 0,5597 0,5657 0,5697 0,5663 0,5415 0,4902 0,4119 0,2938 0,1049 -0,1877 -0,5865 -1,0402 -1,4574 -1,7518 -1,8764 -1,8264 -1,6258 -1,3132 -0,9313 -0,5156 -0,0908 0,3262 0,7229 1,0913 1,4272 1,7309 2,0125 2,2916 2,5858 2,8925 3,1863 3,4420 3,6540 3,8356 4,0114 4,2060 4,4284 4,6693 4,9171 5,1710 5,4382 5,7200 6,0100 6,3046 6,6062 6,9098 7,1951 7,4402 7,6415 7,8165 7,9894 8,1745 8,3675 8,5438 8,6676 8,7167 8,6989 8,6351 8,5345 8,3901 8,1952 7,9682 7,7626 7,6430 7,6509 7,7914 8,0324 8,3092 8,5460 8,6850 8,6980 8,5812 8,3518 8,0462 7,7122 7,3928 7,0987 6,7934 6,4143 5,9227 5,3385 4,7284 4,1679 3,7129 3,3915 3,2061 3,1443 3,1901 3,3299 3,5520 3,8410 4,1682 4,4890 4,7573 4,9447 5,0480 5,0854 5,0906 5,0967 5,1193 5,1502 5,1681 5,1588 5,1205 5,0484 4,9368 4,8076 4,7163 4,7139 4,8092 4,9711 5,1522 5,3031 5,3769 5,3424 5,2069 5,0261 4,8852 4,8565 4,9628 5,1743 5,4375 5,7125 5,9846 6,2474 6,4883 6,6924 6,8563 6,9920 7,1119 7,2167 7,3022 7,3697 7,4246 7,4678 7,4990 7,5260 7,5654 7,6291 7,7075 7,7689 7,7863 7,7616 7,7133 7,6551 7,6026 7,5837 7,6246 7,7267 7,8561 7,9578 7,9849 7,9214 7,7803 7,5890 7,3702 7,1316 6,8713 6,5899 6,2928 5,9865 5,6772 5,3743 5,1009 4,8908 4,7615 4,6967 4,6595 4,6161 4,5484 4,4609 4,3790 4,3323 4,3390 4,4039 4,5241 4,6943 4,9078 5,1517 5,4035 5,6373 5,8383 6,0070 6,1422 6,2219 6,2078 6,0704 5,8159 5,4899 5,1531 4,8569 4,6349 4,4987 4,4312 4,3962 4,3647 4,3344 4,3172 4,3077 4,2785 4,2085 4,1090 4,0135 3,9551 3,9589 4,0491 4,2467 4,5583 4,9668 5,4271 5,8672 6,2140 6,4293 6,5227 6,5340 6,5017 6,4427 6,3626 6,2730 6,1874 6,1078 6,0282 5,9476 5,8739 5,8179 5,7895 5,7987 5,8474 5,9153 5,9547 5,9086 5,7492 5,5123 5,2915 5,1872 5,2551 5,4915 5,8487 6,2575 6,6426 6,9338 7,0890 7,1157 7,0591 6,9645 6,8517 6,7183 6,5529 6,3482 6,1153 5,8919 5,7346 5,6976 5,8107 6,0641 6,4101 6,7811 7,1118 7,3550 7,4862 7,5022 7,4174 7,2585 7,0606 6,8670 6,7216 6,6474 6,6295 6,6184 6,5484 6,3671 6,0648 5,6806 5,2782 4,9232 4,6762 4,5767 4,6293 4,8084 5,0736 5,3835 5,7052 6,0117 6,2774 6,4802 6,6116 6,6838 6,7178 6,7182 6,6713 6,5694 6,4246 6,2556 6,0723 5,8712 5,6454 5,4054 5,1885 5,0384 4,9747 4,9841 5,0333 5,0896 5,1346 5,1679 5,2060 5,2762 5,4008 5,5787 5,7882 6,0027 6,2004 6,3661 6,4908 6,5726 6,6143 6,6177 6,5800 6,4995 6,3868 6,2709 6,1958 6,2043 6,3093 6,4718 6,6147 6,6649 6,5859 6,3833 6,0933 5,7684 5,4653 5,2385 5,1285 5,1424 5,2479 5,3839 5,4791 5,4803 5,3837 5,2356 5,0922 4,9846 4,9240 4,9208 4,9883 5,1316 5,3382 5,5779 5,8065 5,9739 6,0402 5,9901 5,8267 5,5665 5,2539 4,9620 4,7528 4,6397 4,5977 4,6021 4,6466 4,7323 4,8515 4,9824 5,0997 5,1951 5,2867 5,4113 5,6039 5,8642 6,1457 6,3832 6,5192 6,5043 6,2994 5,8941 5,3242 4,6737 4,0536 3,5643 3,2642 3,1727 3,2839 3,5611 3,9259 4,2754 4,5153 4,5841 4,4695 4,2131 3,8957 3,6093 3,4278 3,3827 3,4575 3,6010 3,7502 3,8587 3,9151 3,9332 3,9296 3,9162 3,8965 3,8650 3,8170 3,7518 3,6648 3,5457 3,3819 3,1638 2,8923 2,5903 2,3066 2,1045 2,0391 2,1322 2,3627 2,6879 3,0759 3,5120 3,9765 4,4293 4,8180 5,1014 5,2724 5,3510 5,3584 5,3140 5,2439 5,1787 5,1517 5,1940 5,3175 5,5058 5,7277 5,9487 6,1296 6,2277 6,2067 6,0419 5,7200 5,2465 4,6595 4,0286 3,4302 2,9243 2,5525 2,3387 2,2828 2,3633 2,5454 2,7759 2,9740 3,0563 2,9843 2,7748 2,4692 2,1176 1,7807 1,5165 1,3557 1,2995 1,3341 1,4332 1,5587 1,6727 1,7468 1,7623 1,7118 1,5975 1,4281 1,2233 1,0205 0,8720 0,8290 0,9159 1,1100 1,3474 1,5560 1,6891 1,7319 1,6868 1,5654 1,3924 1,2006 1,0189 0,8767 0,8095 0,8384 0,9357 1,0261 1,0329 0,9218 0,7090 0,4461 0,1963 0,0123 -0,0706 -0,0308 0,1361 0,4110 0,7589 1,1409 1,5198 1,8634
F3    1,1519 1,1783 1,0304 0,7411 0,3654 -0,0325 -0,3825 -0,6159 -0,6845 -0,5819 -0,3484 -0,0550 0,2198 0,4135 0,5000 0,4928 0,4271 0,3405 0,2678 0,2405 0,2782 0,3784 0,5154 0,6476 0,7296 0,7284 0,6329 0,4464 0,1761 -0,1677 -0,5612 -0,9531 -1,2699 -1,4453 -1,4456 -1,2734 -0,9603 -0,5630 -0,1605 0,1619 0,3463 0,3864 0,3168 0,1826 0,0193 -0,1486 -0,2990 -0,4111 -0,4729 -0,4831 -0,4361 -0,3143 -0,1042 0,1808 0,4981 0,7920 1,0098 1,1136 1,0906 0,9532 0,7317 0,4681 0,2097 -0,0087 -0,1778 -0,3076 -0,4099 -0,4867 -0,5334 -0,5503 -0,5494 -0,5451 -0,5396 -0,5217 -0,4760 -0,3959 -0,2958 -0,2165 -0,2105 -0,3135 -0,5240 -0,8022 -1,0822 -1,2914 -1,3699 -1,2832 -1,0310 -0,6499 -0,1994 0,2547 0,6463 0,9161 1,0303 0,9975 0,8674 0,7067 0,5610 0,4341 0,3047 0,1547 -0,0227 -0,2324 -0,4855 -0,7952 -1,1604 -1,5448 -1,8829 -2,1150 -2,2157 -2,1890 -2,0511 -1,8253 -1,5431 -1,2344 -0,9163 -0,5952 -0,2746 0,0414 0,3488 0,6474 0,9476 1,2720 1,6457 2,0739 2,5322 2,9834 3,3962 3,7523 4,0500 4,2981 4,5018 4,6586 4,7715 4,8571 4,9355 5,0128 5,0808 5,1341 5,1812 5,2359 5,3076 5,4056 5,5437 5,7293 5,9500 6,1734 6,3585 6,4703 6,4942 6,4443 6,3563 6,2634 6,1759 6,0781 5,9423 5,7615 5,5740 5,4522 5,4644 5,6453 5,9804 6,4015 6,8054 7,0939 7,2065 7,1306 6,8914 6,5368 6,1226 5,6947 5,2683 4,8203 4,3151 3,7448 3,1477 2,5899 2,1316 1,8084 1,6300 1,5882 1,6681 1,8552 2,1309 2,4656 2,8183 3,1417 3,3907 3,5360 3,5757 3,5325 3,4428 3,3485 3,2823 3,2528 3,2457 3,2413 3,2290 3,2073 3,1707 3,1107 3,0410 3,0049 3,0422 3,1544 3,3063 3,4499 3,5391 3,5348 3,4225 3,2329 3,0417 2,9316 2,9418 3,0447 3,1704 3,2565 3,2847 3,2806 3,2863 3,3348 3,4415 3,6085 3,8279 4,0812 4,3375 4,5664 4,7530 4,8984 5,0101 5,0999 5,1872 5,2926 5,4244 5,5631 5,6645 5,6926 5,6454 5,5397 5,3873 5,2042 5,0224 4,8757 4,7787 4,7220 4,6824 4,6389 4,5767 4,4837 4,3551 4,1987 4,0309 3,8704 3,7335 3,6236 3,5244 3,4058 3,2416 3,0318 2,8042 2,5877 2,3890 2,1974 2,0020 1,8041 1,6216 1,4862 1,4317 1,4788 1,6262 1,8518 2,1216 2,4002 2,6551 2,8624 3,0110 3,1058 3,1615 3,1848 3,1602 3,0571 2,8532 2,5532 2,1905 1,8096 1,4538 1,1601 0,9464 0,8007 0,6923 0,5975 0,5171 0,4700 0,4683 0,5036 0,5636 0,6537 0,7918 0,9869 1,2327 1,5173 1,8303 2,1622 2,5019 2,8290 3,1057 3,2881 3,3544 3,3221 3,2368 3,1381 3,0349 2,9175 2,7799 2,6241 2,4539 2,2799 2,1232 2,0083 1,9500 1,9505 2,0074 2,1156 2,2572 2,3948 2,4804 2,4858 2,4369 2,4097 2,4792 2,6693 2,9451 3,2365 3,4720 3,6051 3,6229 3,5444 3,4139 3,2812 3,1729 3,0816 2,9836 2,8613 2,7137 2,5592 2,4336 2,3815 2,4402 2,6236 2,9078 3,2332 3,5275 3,7353 3,8322 3,8200 3,7164 3,5483 3,3456 3,1406 2,9720 2,8797 2,8863 2,9792 3,1089 3,2036 3,1999 3,0742 2,8479 2,5636 2,2663 2,0019 1,8101 1,7113 1,7044 1,7714 1,8876 2,0308 2,1801 2,3138 2,4149 2,4806 2,5277 2,5829 2,6583 2,7443 2,8301 2,9170 3,0019 3,0595 3,0436 2,9125 2,6653 2,3563 2,0632 1,8394 1,6931 1,6003 1,5300 1,4677 1,4253 1,4344 1,5290 1,7255 2,0115 2,3552 2,7197 3,0686 3,3681 3,5924 3,7283 3,7687 3,7066 3,5420 3,2963 3,0152 2,7569 2,5769 2,5172 2,5892 2,7576 2,9482 3,0816 3,1068 3,0127 2,8249 2,5940 2,3830 2,2553 2,2562 2,3941 2,6358 2,9136 3,1358 3,2202 3,1411 2,9415 2,6894 2,4328 2,1991 2,0159 1,9163 1,9247 2,0367 2,2128 2,3873 2,4934 2,4919 2,3834 2,1937 1,9591 1,7323 1,5780 1,5346 1,5859 1,6806 1,7740 1,8472 1,9017 1,9472 1,9887 2,0215 2,0416 2,0582 2,0993 2,1985 2,3594 2,5384 2,6683 2,6881 2,5549 2,2532 1,8071 1,2813 0,7651 0,3459 0,0778 -0,0304 0,0045 0,1635 0,4178 0,7123 0,9713 1,1199 1,0999 0,8918 0,5318 0,1069 -0,2737 -0,5157 -0,5674 -0,4273 -0,1364 0,2372 0,6214 0,9626 1,2289 1,4056 1,4934 1,5004 1,4319 1,2910 1,0832 0,8180 0,5105 0,1795 -0,1551 -0,4713 -0,7445 -0,9458 -1,0444 -1,0168 -0,8596 -0,5935 -0,2487 0,1562 0,6150 1,1128 1,6062 2,0312 2,3349 2,5038 2,5616 2,5460 2,4966 2,4475 2,4234 2,4480 2,5465 2,7250 2,9541 3,1794 3,3451 3,4075 3,3416 3,1387 2,7936 2,2999 1,6669 0,9418 0,2110 -0,4294 -0,9104 -1,2022 -1,3052 -1,2414 -1,0452 -0,7577 -0,4353 -0,1600 -0,0164 -0,0486 -0,2492 -0,5832 -1,0018 -1,4405 -1,8305 -2,1208 -2,2839 -2,3112 -2,2164 -2,0335 -1,7998 -1,5457 -1,2986 -1,0869 -0,9405 -0,8844 -0,9253 -1,0416 -1,1842 -1,2918 -1,3197 -1,2656 -1,1702 -1,0905 -1,0715 -1,1354 -1,2877 -1,5196 -1,8006 -2,0827 -2,3146 -2,4522 -2,4657 -2,3539 -2,1551 -1,9334 -1,7461 -1,6236 -1,5701 -1,5685 -1,5892 -1,6034 -1,5925 -1,5519 -1,4927 -1,4331 -1,3817 -1,3300 -1,2627 -1,1717
F7    0,3122 0,2155 -0,0139 -0,3406 -0,7117 -1,0662 -1,3424 -1,4867 -1,4682 -1,2868 -0,9688 -0,5613 -0,1301 0,2531 0,5374 0,7086 0,7797 0,7794 0,7494 0,7361 0,7669 0,8356 0,9134 0,9668 0,9672 0,8997 0,7667 0,5778 0,3412 0,0675 -0,2212 -0,4838 -0,6681 -0,7369 -0,6846 -0,5294 -0,3015 -0,0430 0,1885 0,3308 0,3483 0,2566 0,1139 -0,0185 -0,1078 -0,1484 -0,1421 -0,0883 0,0079 0,1300 0,2589 0,3838 0,5046 0,6275 0,7588 0,8949 1,0148 1,0842 1,0778 0,9967 0,8678 0,7292 0,6133 0,5323 0,4756 0,4199 0,3427 0,2303 0,0761 -0,1229 -0,3638 -0,6288 -0,8856 -1,0972 -1,2308 -1,2634 -1,1938 -1,0512 -0,8906 -0,7725 -0,7375 -0,7862 -0,8776 -0,9483 -0,9371 -0,8032 -0,5384 -0,1746 0,2281 0,6027 0,8880 1,0322 1,0062 0,8241 0,5485 0,2649 0,0388 -0,1121 -0,2126 -0,3083 -0,4472 -0,6669 -0,9867 -1,4025 -1,8801 -2,3504 -2,7272 -2,9489 -3,0070 -2,9340 -2,7747 -2,5705 -2,3560 -2,1531 -1,9699 -1,8074 -1,6597 -1,5078 -1,3238 -1,0868 -0,7927 -0,4468 -0,0565 0,3624 0,7797 1,1636 1,4980 1,7870 2,0496 2,3064 2,5664 2,8238 3,0671 3,2868 3,4759 3,6310 3,7608 3,8887 4,0406 4,2243 4,4202 4,5962 4,7325 4,8304 4,9032 4,9643 5,0217 5,0754 5,1185 5,1429 5,1456 5,1265 5,0840 5,0112 4,8983 4,7481 4,5960 4,5057 4,5404 4,7295 5,0527 5,4454 5,8212 6,0994 6,2220 6,1591 5,9097 5,5030 4,9953 4,4558 3,9383 3,4624 3,0194 2,5984 2,2071 1,8666 1,5931 1,3940 1,2760 1,2463 1,3037 1,4328 1,6087 1,8049 1,9974 2,1627 2,2804 2,3439 2,3649 2,3622 2,3539 2,3607 2,3998 2,4664 2,5300 2,5548 2,5277 2,4642 2,3862 2,3073 2,2456 2,2306 2,2796 2,3758 2,4784 2,5457 2,5417 2,4358 2,2173 1,9177 1,6087 1,3685 1,2364 1,1955 1,2002 1,2154 1,2361 1,2818 1,3755 1,5243 1,7149 1,9259 2,1394 2,3422 2,5239 2,6818 2,8243 2,9623 3,0999 3,2374 3,3787 3,5303 3,6894 3,8334 3,9266 3,9490 3,9094 3,8231 3,6926 3,5247 3,3489 3,2033 3,1065 3,0487 3,0055 2,9557 2,8849 2,7812 2,6409 2,4744 2,2965 2,1155 1,9344 1,7552 1,5807 1,4122 1,2497 1,1008 0,9814 0,8964 0,8305 0,7652 0,6944 0,6200 0,5467 0,4869 0,4619 0,4906 0,5797 0,7168 0,8729 1,0134 1,1102 1,1530 1,1559 1,1541 1,1865 1,2671 1,3690 1,4379 1,4266 1,3180 1,1246 0,8730 0,5952 0,3208 0,0617 -0,1874 -0,4250 -0,6274 -0,7601 -0,7994 -0,7517 -0,6539 -0,5485 -0,4557 -0,3703 -0,2735 -0,1392 0,0574 0,3272 0,6675 1,0645 1,4837 1,8626 2,1323 2,2565 2,2502 2,1631 2,0417 1,9033 1,7477 1,5766 1,3954 1,2131 1,0476 0,9221 0,8518 0,8425 0,8976 1,0203 1,2039 1,4215 1,6257 1,7627 1,7980 1,7439 1,6590 1,6104 1,6327 1,7180 1,8314 1,9347 2,0040 2,0358 2,0440 2,0535 2,0835 2,1290 2,1586 2,1367 2,0511 1,9219 1,7938 1,7194 1,7401 1,8762 2,1272 2,4688 2,8516 3,2122 3,4951 3,6689 3,7229 3,6586 3,4910 3,2514 2,9825 2,7327 2,5485 2,4597 2,4624 2,5126 2,5387 2,4735 2,2881 1,9997 1,6518 1,3003 1,0077 0,8267 0,7832 0,8763 1,0850 1,3722 1,6918 1,9953 2,2390 2,3933 2,4550 2,4500 2,4167 2,3747 2,3154 2,2270 2,1152 1,9966 1,8844 1,7833 1,6895 1,5979 1,5108 1,4349 1,3681 1,2964 1,2056 1,0934 0,9732 0,8712 0,8191 0,8447 0,9640 1,1772 1,4693 1,8153 2,1861 2,5474 2,8587 3,0822 3,1901 3,1657 3,0109 2,7583 2,4656 2,1957 2,0001 1,9123 1,9417 2,0677 2,2415 2,4020 2,4988 2,5080 2,4349 2,3043 2,1487 2,0045 1,9108 1,8964 1,9639 2,0815 2,1912 2,2384 2,2066 2,1201 2,0098 1,8820 1,7294 1,5637 1,4272 1,3720 1,4267 1,5735 1,7535 1,8970 1,9583 1,9285 1,8243 1,6749 1,5198 1,4051 1,3628 1,3925 1,4674 1,5543 1,6251 1,6624 1,6646 1,6405 1,6019 1,5623 1,5398 1,5580 1,6358 1,7686 1,9235 2,0522 2,1042 2,0342 1,8131 1,4383 0,9411 0,3881 -0,1318 -0,5392 -0,7907 -0,8771 -0,8122 -0,6342 -0,4083 -0,2111 -0,1089 -0,1455 -0,3336 -0,6485 -1,0263 -1,3748 -1,6059 -1,6728 -1,5862 -1,3987 -1,1737 -0,9555 -0,7608 -0,5941 -0,4612 -0,3639 -0,2965 -0,2547 -0,2435 -0,2759 -0,3636 -0,5065 -0,6910 -0,8953 -1,0965 -1,2715 -1,3937 -1,4335 -1,3702 -1,2060 -0,9680 -0,6874 -0,3782 -0,0411 0,3129 0,6476 0,9137 1,0829 1,1711 1,2235 1,2817 1,3731 1,5115 1,6970 1,9250 2,1919 2,4835 2,7626 2,9789 3,0873 3,0571 2,8790 2,5660 2,1371 1,6046 0,9846 0,3197 -0,3183 -0,8561 -1,2497 -1,4870 -1,5730 -1,5185 -1,3369 -1,0530 -0,7207 -0,4275 -0,2618 -0,2677 -0,4286 -0,6929 -1,0073 -1,3331 -1,6419 -1,9079 -2,1067 -2,2226 -2,2613 -2,2487 -2,2124 -2,1661 -2,1125 -2,0522 -1,9874 -1,9185 -1,8394 -1,7363 -1,5926 -1,3996 -1,1706 -0,9486 -0,7962 -0,7692 -0,8912 -1,1448 -1,4841 -1,8528 -2,1928 -2,4517 -2,5968 -2,6227 -2,5508 -2,4274 -2,3154 -2,2692 -2,3040 -2,3894 -2,4701 -2,4953 -2,4344 -2,2801 -2,0457 -1,7664 -1,4961 -1,2896 -1,1771 -1,1552 -1,1969 -1,2692
