Fp1   2,6565 2,4975 2,3661 2,2855 2,2263 2,1333 1,9403 1,5799 1,0076 0,2299 -0,6740 -1,5529 -2,2374 -2,6300 -2,7548 -2,7176 -2,6180 -2,4842 -2,2720 -1,9281 -1,4576 -0,9309 -0,4327 -0,0174 0,2928 0,4908 0,5725 0,5437 0,4378 0,3093 0,1883 0,0515 -0,1505 -0,4376 -0,7703 -1,0679 -1,2591 -1,3152 -1,2346 -1,0133 -0,6393 -0,1128 0,5230 1,1673 1,6835 1,9515 1,9199 1,6367 1,2224 0,7944 0,4236 0,1508 -0,0127 -0,1063 -0,1913 -0,2895 -0,3706 -0,3884 -0,3128 -0,1331 0,1479 0,5020 0,8611 1,1279 1,2113 1,0746 0,7759 0,4687 0,3426 0,5240 1,0029 1,6353 2,2093 2,5444 2,5834 2,4079 2,1680 1,9922 1,9414 2,0149 2,1737 2,3427 2,4052 2,2436 1,8211 1,2182 0,5723 -0,0173 -0,5170 -0,9178 -1,2047 -1,3686 -1,4211 -1,3970 -1,3479 -1,3340 -1,4111 -1,6196 -1,9914 -2,5537 -3,2973 -4,1489 -4,9950 -5,7263 -6,2546 -6,5226 -6,5098 -6,2164 -5,6571 -4,8885 -4,0217 -3,1815 -2,4519 -1,8527 -1,3401 -0,8241 -0,2251 0,4556 1,1366 1,7317 2,1951 2,5065 2,6665 2,7239 2,7720 2,8902 3,0930 3,3400 3,5943 3,8667 4,1989 4,6109 5,0750 5,5345 5,9265 6,1860 6,2402 6,0026 5,3841 4,3371 2,9156 1,3029 -0,2278 -1,4118 -2,0976 -2,2893 -2,1136 -1,7585 -1,4128 -1,2080 -1,1792 -1,2685 -1,3683 -1,3762 -1,2394 -0,9612 -0,5674 -0,0785 0,4784 1,0524 1,5894 2,0755 2,5411 3,0147 3,4856 3,9125 4,2566 4,5071 4,6905 4,8626 5,0792 5,3638 5,7038 6,0721 6,4271 6,6819 6,6981 6,3462 5,6038 4,6109 3,6093 2,8111 2,3086 2,0797 2,0354 2,0481 1,9839 1,7641 1,4156 1,0479 0,7802 0,6819 0,7496 0,9184 1,1042 1,2327 1,2330 1,0377 0,6170 0,0124 -0,6741 -1,3272 -1,8584 -2,2157 -2,3815 -2,3729 -2,2274 -1,9728 -1,6065 -1,1098 -0,4893 0,1970 0,8650 1,4496 1,9212 2,2733 2,5012 2,5968 2,5662 2,4359 2,2222 1,9183 1,5367 1,1483 0,8487 0,6981 0,7026 0,8330 1,0464 1,3048 1,5797 1,8473 2,0867 2,2815 2,4172 2,4805 2,4865 2,5031 2,6091 2,8063 2,9792 2,9455 2,5613 1,8141 0,8395 -0,1432 -0,9233 -1,3680 -1,4513 -1,2311 -0,7938 -0,2237 0,3902 0,9513 1,3720 1,5848 1,5414 1,2308 0,7167 0,1404 -0,3359 -0,6004 -0,6237 -0,4323 -0,0643 0,4391 1,0045 1,5185 1,8657 1,9890 1,9312 1,8161 1,7726 1,8668 2,0913 2,3930 2,6930 2,9005 2,9456 2,8067 2,5002 2,0688 1,6082 1,2708 1,1782 1,3243 1,5897 1,8378 1,9742 1,9564 1,8085 1,6364 1,5967 1,8275 2,3833 3,1966 4,0969 4,8874 5,4159 5,5953 5,4033 4,8896 4,1691 3,3951 2,7258 2,2746 2,0642 2,0416 2,1479 2,3647 2,6966 3,1313 3,6195 4,0714 4,3768 4,4583 4,3099 3,9757 3,5145 2,9938 2,4882 2,0564 1,7164 1,4432 1,2010 0,9950 0,8929 0,9940 1,3606 1,9595 2,6657 3,3170 3,7642 3,8961 3,6721 3,1651 2,5619 2,0898 1,9123 2,0559 2,4142 2,8294 3,1807 3,4140 3,5353 3,5985 3,6751 3,8113 4,0222 4,3149 4,6842 5,1029 5,5551 6,0643 6,6551 7,3002 7,9203 8,4188 8,7069 8,7189 8,4367 7,9187 7,2966 6,7239 6,3029 6,0454 5,8930 5,7713 5,6280 5,4340 5,1828 4,9109 4,7065 4,6609 4,7947 5,0315 5,2470 5,3518 5,3396 5,2673 5,1956 5,1555 5,1577 5,2086 5,3075 5,4399 5,5855 5,7323 5,8767 6,0028 6,0744 6,0522 5,9073 5,6319 5,2649 4,9018 4,6578 4,6096 4,7616 5,0466 5,3614 5,6130 5,7491 5,7656 5,7060 5,6504 5,6808 5,8392 6,1079 6,4242 6,7224 6,9654 7,1442 7,2562 7,2939 7,2557 7,1644 7,0733 7,0568 7,1879 7,4993 7,9413 8,3726 8,6067 8,5027 8,0482 7,3821 6,7404 6,3520 6,3320 6,6303 7,0668 7,4332 7,6056 7,5866 7,4499 7,2669 7,0775 6,8814 6,6463 6,3455 5,9867 5,5998 5,2037 4,7970 4,3981 4,1001 4,0584 4,3897 5,0792 5,9956 6,9770 7,8882 8,6174 9,0586 9,1320 8,8451 8,3205 7,7382 7,2471 6,9169 6,7355 6,6452 6,6023 6,6084 6,6837 6,8304 7,0296 7,2463 7,4292 7,5356 7,5699 7,5812 7,5941 7,5432 7,3003 6,7829 6,0334 5,1978 4,4391 3,8576 3,4661 3,2263 3,1087 3,1179 3,2638 3,5225 3,8322 4,1250 4,3672 4,5671 4,7262 4,7826 4,6255 4,1818 3,4914 2,7122 2,0586 1,7072 1,7205 2,0306 2,4904 2,9398 3,2516 3,3764 3,3840 3,4341 3,6666 4,1159 4,7112 5,3216 5,8037 6,0553 6,0726 5,9491 5,7831 5,5931 5,3422 5,0205 4,6634 4,3047 3,9591 3,6573 3,4569 3,4032 3,5058 3,7563 4,1359 4,5943 5,0352 5,3318 5,3766 5,1426 4,7016 4,1764 3,6699 3,2305 2,8608 2,5428 2,2489 1,9464 1,6236 1,3129 1,0599 0,8715 0,7221 0,5972 0,5055 0,4642 0,4972 0,6307 0,8647 1,1530 1,4325 1,6838 1,9538 2,3057 2,7456 3,1955 3,5285 3,6387 3,4956 3,1507 2,7069 2,2826 1,9860 1,8960 2,0380 2,3568 2,7230 2,9937 3,0888 3,0092 2,7884 2,4573 2,0684 1,7150 1,4881 1,4150 1,4586 1,5815 1,7817 2,0360 2,2380 2,2483 2,0169 1,6398 1,2940 1,1211 1,1688 1,4056 1,7501 2,0934 2,3236 2,3432 2,0898 1,5799 0,9317 0,3148 -0,1367
Fz    1,2617 1,0916 0,9416 0,8196 0,7322 0,6977 0,7192 0,7581 0,7486 0,6374 0,4147 0,1209 -0,1743 -0,4064 -0,5424 -0,5865 -0,5658 -0,5088 -0,4327 -0,3416 -0,2314 -0,0977 0,0530 0,1966 0,2970 0,3208 0,2486 0,0824 -0,1492 -0,3996 -0,6342 -0,8522 -1,0709 -1,2871 -1,4567 -1,5116 -1,4033 -1,1377 -0,7747 -0,3936 -0,0516 0,2345 0,4702 0,6515 0,7576 0,7714 0,7008 0,5775 0,4325 0,2723 0,0857 -0,1295 -0,3641 -0,6154 -0,8789 -1,1241 -1,2982 -1,3567 -1,2822 -1,0755 -0,7459 -0,3167 0,1648 0,6261 0,9824 1,1618 1,1352 0,9360 0,6540 0,4015 0,2652 0,2683 0,3620 0,4599 0,4938 0,4449 0,3387 0,2200 0,1353 0,1303 0,2440 0,4787 0,7729 1,0284 1,1824 1,2508 1,3009 1,3873 1,5154 1,6472 1,7274 1,7127 1,5885 1,3561 1,0055 0,5108 -0,1465 -0,9574 -1,8881 -2,8918 -3,9110 -4,8793 -5,7348 -6,4273 -6,9153 -7,1693 -7,1846 -6,9765 -6,5647 -5,9712 -5,2340 -4,4117 -3,5703 -2,7617 -2,0115 -1,3226 -0,6921 -0,1296 0,3387 0,6786 0,8545 0,8349 0,6119 0,2257 -0,2398 -0,6925 -1,0684 -1,3395 -1,4911 -1,5032 -1,3622 -1,0786 -0,6870 -0,2348 0,2280 0,6550 0,9950 1,1795 1,1389 0,8459 0,3455 -0,2499 -0,7843 -1,1026 -1,1082 -0,8076 -0,3085 0,2371 0,7099 1,0623 1,2994 1,4444 1,5231 1,5582 1,5670 1,5627 1,5596 1,5718 1,6118 1,6941 1,8446 2,1032 2,5064 3,0513 3,6769 4,2758 4,7340 4,9808 5,0144 4,8847 4,6574 4,3895 4,1280 3,9085 3,7337 3,5479 3,2406 2,6952 1,8650 0,8192 -0,2926 -1,3190 -2,1587 -2,7708 -3,1752 -3,4431 -3,6648 -3,8996 -4,1427 -4,3357 -4,4089 -4,3218 -4,0861 -3,7633 -3,4378 -3,1944 -3,1128 -3,2594 -3,6571 -4,2528 -4,9255 -5,5354 -5,9730 -6,1842 -6,1749 -5,9927 -5,6930 -5,3150 -4,8809 -4,4021 -3,8836 -3,3319 -2,7621 -2,1982 -1,6664 -1,1903 -0,7927 -0,4943 -0,3047 -0,2172 -0,2173 -0,2952 -0,4446 -0,6498 -0,8814 -1,1011 -1,2604 -1,3062 -1,2071 -0,9796 -0,6846 -0,3986 -0,1837 -0,0717 -0,0681 -0,1608 -0,3161 -0,4735 -0,5704 -0,5902 -0,5930 -0,6876 -0,9580 -1,4028 -1,9397 -2,4656 -2,9124 -3,2510 -3,4692 -3,5627 -3,5358 -3,4025 -3,1924 -2,9574 -2,7655 -2,6833 -2,7579 -3,0021 -3,3858 -3,8386 -4,2642 -4,5682 -4,6924 -4,6289 -4,4096 -4,0970 -3,7813 -3,5539 -3,4613 -3,4810 -3,5332 -3,5170 -3,3532 -3,0122 -2,5170 -1,9346 -1,3617 -0,8974 -0,6130 -0,5391 -0,6745 -0,9874 -1,4018 -1,8049 -2,0912 -2,2118 -2,1810 -2,0462 -1,8547 -1,6345 -1,3851 -1,0729 -0,6405 -0,0443 0,6986 1,4977 2,2233 2,7587 3,0283 3,0068 2,7268 2,2704 1,7320 1,1864 0,6875 0,2678 -0,0729 -0,3539 -0,5768 -0,7164 -0,7508 -0,6809 -0,5236 -0,3080 -0,0833 0,0885 0,1528 0,0811 -0,1107 -0,3561 -0,5713 -0,7051 -0,7544 -0,7440 -0,7043 -0,6607 -0,6308 -0,6181 -0,6106 -0,5915 -0,5541 -0,5101 -0,4933 -0,5498 -0,7044 -0,9208 -1,0997 -1,1313 -0,9655 -0,6441 -0,2652 0,0912 0,4074 0,7084 1,0208 1,3484 1,6633 1,9148 2,0632 2,1186 2,1433 2,2191 2,4120 2,7500 3,2076 3,7076 4,1534 4,4687 4,6103 4,5564 4,3055 3,8939 3,4088 2,9681 2,6731 2,5647 2,6161 2,7611 2,9265 3,0500 3,0861 3,0152 2,8566 2,6686 2,5115 2,4007 2,3036 2,1842 2,0391 1,8898 1,7487 1,6052 1,4423 1,2631 1,1014 1,0043 0,9988 1,0741 1,1957 1,3226 1,4144 1,4427 1,4096 1,3458 1,2878 1,2640 1,3013 1,4261 1,6350 1,8653 2,0112 1,9883 1,7952 1,5163 1,2715 1,1564 1,2073 1,4010 1,6824 1,9978 2,3094 2,5948 2,8460 3,0642 3,2501 3,4004 3,5146 3,6020 3,6801 3,7627 3,8431 3,8824 3,8179 3,5981 3,2178 2,7272 2,2203 1,8173 1,6308 1,7111 2,0103 2,4084 2,7733 3,0120 3,0894 3,0163 2,8347 2,6042 2,3747 2,1635 1,9636 1,7725 1,6023 1,4615 1,3353 1,1987 1,0568 0,9584 0,9579 1,0727 1,2803 1,5464 1,8401 2,1222 2,3371 2,4367 2,4233 2,3600 2,3255 2,3649 2,4774 2,6234 2,7421 2,7828 2,7329 2,6145 2,4634 2,3175 2,2172 2,1983 2,2711 2,4098 2,5624 2,6581 2,6095 2,3388 1,8190 1,0943 0,2689 -0,5313 -1,2054 -1,7096 -2,0486 -2,2343 -2,2595 -2,1161 -1,8271 -1,4509 -1,0612 -0,7221 -0,4744 -0,3353 -0,3138 -0,4244 -0,6811 -1,0778 -1,5715 -2,0854 -2,5347 -2,8522 -3,0008 -2,9795 -2,8303 -2,6375 -2,4937 -2,4364 -2,4180 -2,3503 -2,1737 -1,8869 -1,5418 -1,2252 -1,0182 -0,9398 -0,9243 -0,8751 -0,7447 -0,5602 -0,3843 -0,2713 -0,2484 -0,3040 -0,3842 -0,4190 -0,3660 -0,2212 0,0022 0,2845 0,5908 0,8667 1,0475 1,0839 0,9738 0,7639 0,5148 0,2644 0,0151 -0,2577 -0,5848 -0,9851 -1,4530 -1,9425 -2,3718 -2,6712 -2,8299 -2,8864 -2,8846 -2,8453 -2,7622 -2,6181 -2,4119 -2,1760 -1,9719 -1,8648 -1,8875 -2,0205 -2,2085 -2,3919 -2,5309 -2,6163 -2,6576 -2,6636 -2,6461 -2,6389 -2,6958 -2,8544 -3,0949 -3,3423 -3,5182 -3,5948 -3,6017 -3,5835 -3,5629 -3,5487 -3,5542 -3,5836 -3,6137 -3,6107 -3,5637 -3,4939 -3,4372 -3,4220 -3,4625 -3,5646 -3,7303 -3,9478 -4,1772 -4,3598 -4,4476 -4,4264 -4,3122 -4,1403 -3,9556 -3,8079 -3,7531 -3,8436 -4,0907 -4,4349 -4,7727 -5,0188
F3    1,5418 2,2124 2,8969 3,4760 3,8003 3,7663 3,3612 2,6577 1,7778 0,8400 -0,0698 -0,8839 -1,5369 -1,9934 -2,2712 -2,4205 -2,4927 -2,5290 -2,5462 -2,5248 -2,4267 -2,2242 -1,9065 -1,4791 -0,9867 -0,5258 -0,1971 -0,0287 0,0422 0,1102 0,2213 0,3451 0,4160 0,3832 0,2279 -0,0435 -0,4021 -0,7800 -1,0560 -1,0928 -0,8168 -0,2709 0,3996 1,0046 1,3744 1,4115 1,1191 0,5997 0,0115 -0,4918 -0,7965 -0,8441 -0,6553 -0,3315 -0,0020 0,2423 0,3750 0,4237 0,4382 0,4508 0,4648 0,4787 0,4985 0,5224 0,5303 0,4953 0,4161 0,3487 0,3887 0,5924 0,9111 1,2066 1,3299 1,2101 0,9035 0,5720 0,4021 0,5092 0,8781 1,3874 1,8951 2,3035 2,5691 2,6957 2,7284 2,7229 2,7060 2,6682 2,5927 2,4704 2,2858 2,0098 1,6093 1,0606 0,3728 -0,4006 -1,1925 -1,9625 -2,7021 -3,3979 -3,9974 -4,4281 -4,6566 -4,7177 -4,6808 -4,5939 -4,4574 -4,2346 -3,8911 -3,4383 -2,9382 -2,4612 -2,0424 -1,6708 -1,3120 -0,9433 -0,5779 -0,2646 -0,0641 -0,0244 -0,1775 -0,5353 -1,0574 -1,6227 -2,0626 -2,2425 -2,1185 -1,7407 -1,2232 -0,6897 -0,2146 0,1970 0,5742 0,9293 1,2348 1,4484 1,5538 1,5590 1,4572 1,2155 0,8152 0,2946 -0,2540 -0,7286 -1,0571 -1,2142 -1,2207 -1,1240 -0,9722 -0,8017 -0,6188 -0,3779 -0,0024 0,5492 1,2336 1,9428 2,5760 3,0821 3,4356 3,6050 3,5762 3,4001 3,1842 3,0206 2,9281 2,8631 2,7755 2,6528 2,5196 2,4181 2,3884 2,4352 2,5058 2,5225 2,4372 2,2365 1,9023 1,3959 0,6990 -0,1353 -0,9828 -1,7131 -2,2688 -2,6910 -3,0717 -3,4870 -3,9654 -4,4885 -5,0124 -5,5038 -5,9551 -6,3607 -6,7003 -6,9507 -7,0935 -7,1244 -7,0829 -7,0526 -7,0935 -7,1813 -7,2386 -7,2250 -7,1776 -7,1686 -7,2454 -7,4007 -7,5709 -7,6494 -7,5080 -7,0384 -6,2137 -5,1252 -3,9413 -2,8302 -1,9099 -1,2372 -0,8247 -0,6712 -0,7753 -1,1240 -1,6816 -2,3913 -3,1677 -3,8988 -4,4881 -4,8994 -5,1450 -5,2399 -5,1805 -4,9590 -4,5877 -4,1107 -3,5887 -3,0643 -2,5507 -2,0697 -1,6811 -1,4474 -1,3938 -1,5287 -1,8809 -2,4805 -3,3018 -4,2392 -5,1471 -5,8956 -6,3994 -6,6355 -6,6612 -6,5914 -6,5347 -6,5457 -6,6210 -6,7218 -6,7999 -6,8195 -6,7764 -6,7027 -6,6423 -6,6179 -6,6142 -6,5831 -6,4674 -6,2191 -5,8134 -5,2757 -4,6935 -4,1886 -3,8664 -3,7734 -3,8813 -4,1075 -4,3534 -4,5496 -4,6895 -4,8178 -4,9824 -5,1945 -5,4140 -5,5637 -5,5714 -5,4185 -5,1468 -4,8205 -4,4862 -4,1688 -3,8793 -3,6081 -3,3271 -3,0156 -2,6687 -2,2876 -1,8826 -1,4696 -1,0596 -0,6720 -0,3535 -0,1738 -0,2129 -0,5401 -1,1704 -2,0295 -2,9665 -3,8024 -4,3873 -4,6542 -4,6435 -4,4670 -4,2369 -4,0223 -3,8555 -3,7485 -3,7056 -3,7471 -3,9179 -4,2460 -4,6972 -5,1925 -5,6626 -6,0682 -6,3816 -6,5697 -6,6006 -6,4658 -6,2015 -5,8839 -5,5894 -5,3518 -5,1620 -5,0007 -4,8507 -4,6915 -4,5193 -4,3748 -4,3283 -4,4217 -4,6213 -4,8266 -4,9277 -4,8678 -4,6697 -4,4077 -4,1548 -3,9433 -3,7578 -3,5486 -3,2476 -2,7964 -2,1904 -1,5011 -0,8472 -0,3358 -0,0104 0,1595 0,2401 0,2917 0,3500 0,4235 0,5019 0,5723 0,6237 0,6371 0,5799 0,4217 0,1585 -0,1941 -0,6214 -1,0978 -1,5694 -1,9695 -2,2448 -2,3605 -2,3014 -2,0875 -1,7877 -1,5107 -1,3646 -1,4014 -1,5990 -1,8970 -2,2351 -2,5613 -2,8308 -3,0220 -3,1550 -3,2792 -3,4318 -3,6040 -3,7373 -3,7534 -3,6022 -3,3008 -2,9411 -2,6567 -2,5463 -2,6036 -2,7257 -2,7841 -2,6967 -2,4647 -2,1603 -1,8781 -1,6913 -1,6336 -1,6975 -1,8381 -1,9868 -2,0784 -2,0761 -1,9761 -1,7909 -1,5358 -1,2394 -0,9603 -0,7801 -0,7660 -0,9234 -1,1749 -1,3932 -1,4601 -1,3108 -0,9598 -0,5087 -0,1077 0,1261 0,1690 0,0799 -0,0512 -0,1506 -0,1901 -0,1862 -0,1725 -0,1779 -0,2214 -0,3054 -0,4143 -0,5326 -0,6840 -0,9518 -1,4356 -2,1641 -3,0546 -3,9613 -4,7480 -5,3178 -5,6140 -5,6137 -5,3166 -4,7521 -3,9950 -3,1431 -2,2732 -1,4321 -0,6767 -0,1067 0,1685 0,1056 -0,2317 -0,7136 -1,2230 -1,6861 -2,0416 -2,2291 -2,2319 -2,1049 -1,9401 -1,8033 -1,7060 -1,6342 -1,5865 -1,5684 -1,5704 -1,5784 -1,6014 -1,6681 -1,7995 -1,9983 -2,2589 -2,5667 -2,8886 -3,1804 -3,4136 -3,5856 -3,7012 -3,7540 -3,7384 -3,6713 -3,5940 -3,5517 -3,5643 -3,6104 -3,6454 -3,6409 -3,6070 -3,5771 -3,5749 -3,5901 -3,5835 -3,5257 -3,4407 -3,3968 -3,4521 -3,6149 -3,8486 -4,0972 -4,3129 -4,4674 -4,5391 -4,5053 -4,3614 -4,1422 -3,9061 -3,6902 -3,4801 -3,2214 -2,8711 -2,4469 -2,0198 -1,6680 -1,4463 -1,3799 -1,4648 -1,6767 -1,9863 -2,3577 -2,7310 -3,0269 -3,1838 -3,1940 -3,1032 -2,9786 -2,8694 -2,7813 -2,6895 -2,5871 -2,5120 -2,5219 -2,6587 -2,9348 -3,3349 -3,8219 -4,3356 -4,7990 -5,1607 -5,4352 -5,6793 -5,9307 -6,1830 -6,3985 -6,5205 -6,4894 -6,2777 -5,9047 -5,4134 -4,8583 -4,3109 -3,8449 -3,5182 -3,3862 -3,5109 -3,9247 -4,5833 -5,3610 -6,0874 -6,6017 -6,8183 -6,7615 -6,5286 -6,2224 -5,9239 -5,7001 -5,6077 -5,6837 -5,9331 -6,3128 -6,7334 -7,1049 -7,3821 -7,5589 -7,6375 -7,6114 -7,4599 -7,1602 -6,7213 -6,1989 -5,6806 -5,2643 -5,0415 -5,0705 -5,3532 -5,8387 -6,4459 -7,0908 -7,7086 -8,2576 -8,7024 -9,0016 -9,1281 -9,1047 -9,0039
F7    0,6150 0,3355 0,1878 0,1687 0,2595 0,4308 0,6338 0,8080 0,9123 0,9484 0,9513 0,9615 1,0003 1,0574 1,1017 1,1127 1,0986 1,0815 1,0730 1,0701 1,0594 1,0178 0,9160 0,7290 0,4428 0,0588 -0,3996 -0,8845 -1,3268 -1,6540 -1,8251 -1,8519 -1,7842 -1,6764 -1,5597 -1,4318 -1,2754 -1,0869 -0,8876 -0,7064 -0,5575 -0,4329 -0,3167 -0,2038 -0,1049 -0,0339 0,0042 0,0138 -0,0025 -0,0470 -0,1120 -0,1665 -0,1714 -0,1026 0,0470 0,2748 0,5666 0,8949 1,2227 1,5122 1,7337 1,8742 1,9405 1,9504 1,9197 1,8569 1,7690 1,6647 1,5533 1,4450 1,3514 1,2797 1,2322 1,2175 1,2542 1,3570 1,5210 1,7209 1,9224 2,1037 2,2734 2,4582 2,6722 2,9052 3,1416 3,3727 3,5846 3,7516 3,8566 3,9108 3,9394 3,9472 3,9025 3,7524 3,4520 2,9873 2,3830 1,6956 0,9899 0,3099 -0,3276 -0,9226 -1,4820 -2,0142 -2,5165 -2,9647 -3,3114 -3,4957 -3,4622 -3,1822 -2,6672 -1,9747 -1,1976 -0,4348 0,2469 0,8307 1,3332 1,7747 2,1660 2,5044 2,7660 2,9050 2,8752 2,6639 2,3037 1,8547 1,3842 0,9561 0,6218 0,4031 0,2853 0,2364 0,2353 0,2788 0,3707 0,5141 0,7052 0,9253 1,1412 1,3232 1,4635 1,5861 1,7412 1,9790 2,3174 2,7283 3,1478 3,5053 3,7516 3,8678 3,8593 3,7542 3,6013 3,4544 3,3490 3,2927 3,2749 3,2849 3,3198 3,3762 3,4468 3,5303 3,6365 3,7715 3,9254 4,0777 4,2057 4,2873 4,3043 4,2492 4,1291 3,9621 3,7734 3,5900 3,4256 3,2615 3,0430 2,7038 2,2074 1,5722 0,8527 0,1047 -0,6279 -1,3060 -1,8930 -2,3630 -2,7088 -2,9385 -3,0656 -3,1080 -3,0895 -3,0331 -2,9631 -2,9133 -2,9197 -3,0109 -3,2127 -3,5459 -4,0051 -4,5456 -5,0973 -5,5910 -5,9710 -6,1944 -6,2371 -6,1090 -5,8567 -5,5421 -5,2127 -4,8857 -4,5559 -4,2278 -3,9363 -3,7319 -3,6512 -3,6961 -3,8282 -3,9771 -4,0666 -4,0487 -3,9208 -3,7181 -3,4952 -3,3072 -3,1908 -3,1518 -3,1669 -3,1975 -3,2104 -3,1961 -3,1755 -3,1892 -3,2743 -3,4471 -3,7033 -4,0299 -4,4050 -4,7933 -5,1590 -5,4892 -5,7974 -6,1026 -6,4009 -6,6561 -6,8261 -6,9016 -6,9091 -6,8779 -6,8233 -6,7534 -6,6759 -6,6026 -6,5556 -6,5597 -6,6227 -6,7271 -6,8461 -6,9635 -7,0767 -7,1865 -7,2886 -7,3702 -7,4188 -7,4342 -7,4293 -7,4272 -7,4551 -7,5225 -7,5986 -7,6228 -7,5407 -7,3317 -7,0074 -6,5977 -6,1383 -5,6695 -5,2420 -4,9118 -4,7164 -4,6625 -4,7403 -4,9311 -5,1943 -5,4590 -5,6530 -5,7468 -5,7669 -5,7653 -5,7789 -5,8082 -5,8214 -5,7820 -5,6783 -5,5360 -5,4088 -5,3577 -5,4214 -5,5989 -5,8622 -6,1807 -6,5262 -6,8659 -7,1702 -7,4221 -7,6187 -7,7737 -7,9166 -8,0724 -8,2388 -8,3948 -8,5299 -8,6548 -8,7899 -8,9558 -9,1739 -9,4580 -9,8029 -10,1824 -10,5565 -10,8817 -11,1303 -11,3029 -11,4127 -11,4610 -11,4336 -11,3190 -11,1272 -10,8899 -10,6460 -10,4284 -10,2513 -10,1001 -9,9436 -9,7669 -9,5812 -9,3922 -9,1744 -8,8883 -8,5175 -8,0874 -7,6491 -7,2431 -6,8815 -6,5588 -6,2662 -5,9906 -5,7166 -5,4373 -5,1578 -4,8915 -4,6618 -4,4956 -4,3966 -4,3288 -4,2398 -4,1030 -3,9351 -3,7818 -3,6949 -3,7128 -3,8447 -4,0600 -4,2915 -4,4617 -4,5203 -4,4686 -4,3518 -4,2288 -4,1484 -4,1424 -4,2309 -4,4304 -4,7472 -5,1634 -5,6423 -6,1460 -6,6365 -7,0693 -7,4038 -7,6265 -7,7617 -7,8559 -7,9481 -8,0526 -8,1606 -8,2565 -8,3353 -8,4025 -8,4514 -8,4537 -8,3793 -8,2175 -7,9756 -7,6750 -7,3543 -7,0673 -6,8668 -6,7871 -6,8335 -6,9799 -7,1720 -7,3332 -7,3740 -7,2165 -6,8345 -6,2798 -5,6672 -5,1261 -4,7490 -4,5674 -4,5577 -4,6581 -4,7853 -4,8562 -4,8174 -4,6665 -4,4500 -4,2426 -4,1148 -4,1005 -4,1862 -4,3337 -4,5105 -4,6994 -4,8871 -5,0480 -5,1397 -5,1134 -4,9331 -4,6050 -4,1902 -3,7823 -3,4691 -3,3045 -3,3019 -3,4449 -3,6992 -4,0251 -4,3942 -4,7896 -5,1822 -5,5197 -5,7481 -5,8488 -5,8597 -5,8567 -5,9077 -6,0409 -6,2446 -6,4805 -6,6955 -6,8353 -6,8653 -6,7822 -6,6023 -6,3413 -6,0002 -5,5616 -5,0067 -4,3468 -3,6376 -2,9629 -2,4042 -2,0204 -1,8376 -1,8443 -1,9974 -2,2386 -2,5087 -2,7593 -2,9701 -3,1543 -3,3419 -3,5630 -3,8422 -4,1826 -4,5548 -4,9123 -5,2161 -5,4415 -5,5797 -5,6385 -5,6354 -5,5850 -5,4917 -5,3509 -5,1544 -4,9003 -4,6065 -4,3110 -4,0605 -3,9000 -3,8703 -4,0019 -4,2948 -4,7032 -5,1413 -5,5176 -5,7755 -5,9075 -5,9373 -5,8990 -5,8308 -5,7691 -5,7350 -5,7222 -5,7089 -5,6788 -5,6205 -5,5136 -5,3350 -5,0809 -4,7721 -4,4327 -4,0720 -3,6947 -3,3257 -3,0118 -2,7960 -2,6980 -2,7116 -2,8086 -2,9420 -3,0619 -3,1382 -3,1621 -3,1306 -3,0448 -2,9243 -2,8065 -2,7283 -2,7087 -2,7435 -2,8157 -2,9097 -3,0171 -3,1397 -3,2953 -3,5124 -3,8103 -4,1715 -4,5260 -4,7770 -4,8627 -4,7940 -4,6262 -4,4100 -4,1784 -3,9533 -3,7440 -3,5512 -3,3838 -3,2688 -3,2466 -3,3499 -3,5777 -3,8844 -4,1968 -4,4513 -4,6231 -4,7206 -4,7601 -4,7603 -4,7554 -4,7959 -4,9306 -5,1825 -5,5373 -5,9458 -6,3351 -6,6271 -6,7595 -6,7145 -6,5415 -6,3390 -6,1973 -6,1542 -6,2006 -6,3041 -6,4219 -6,5076 -6,5269 -6,4701 -6,3452 -6,1641 -5,9433 -5,7095 -5,4862 -5,2737 -5,0490 -4,7922 -4,5122 -4,2516 -4,0685 -4,0166 -4,1244 -4,3740 -4,6998 -5,0228 -5,2922
