Fp1   -1,8344 -2,1774 -2,5129 -2,8802 -3,2723 -3,6036 -3,7670 -3,7031 -3,4076 -2,9070 -2,2443 -1,4630 -0,5942 0,3298 1,2561 2,1012 2,7490 3,0909 3,0992 2,8625 2,5287 2,2055 1,9240 1,6795 1,4791 1,3482 1,3019 1,3328 1,4117 1,4824 1,4849 1,4020 1,2542 1,0551 0,8060 0,5210 0,2220 -0,0826 -0,3950 -0,6977 -0,9323 -1,0225 -0,9227 -0,6463 -0,2677 0,0879 0,2867 0,2625 0,0494 -0,2809 -0,6853 -1,1293 -1,5410 -1,8279 -1,9366 -1,8787 -1,6924 -1,4008 -1,0234 -0,6184 -0,2915 -0,1493 -0,2424 -0,5486 -0,9890 -1,4311 -1,7099 -1,7275 -1,5550 -1,4015 -1,4665 -1,8167 -2,3647 -2,9378 -3,3791 -3,5983 -3,5521 -3,2307 -2,6730 -1,9581 -1,1830 -0,4550 0,1262 0,5057 0,6854 0,6995 0,5950 0,4289 0,2416 0,0289 -0,2206 -0,4639 -0,6110 -0,6023 -0,4665 -0,3139 -0,2745 -0,4228 -0,7582 -1,2383 -1,7834 -2,2596 -2,5099 -2,4257 -2,0025 -1,3273 -0,4973 0,4306 1,3984 2,3054 3,0251 3,4294 3,4020 2,8905 1,9811 0,9006 -0,0763 -0,7287 -0,9445 -0,7386 -0,2304 0,4161 1,0454 1,5346 1,8151 1,9074 1,9092 1,9194 1,9950 2,1807 2,5370 3,1166 3,9189 4,8804 5,9014 6,8869 7,7699 8,5020 9,0513 9,4199 9,6514 9,8235 10,0278 10,3190 10,6727 11,0043 11,2244 11,2725 11,1242 10,8057 10,4147 10,1064 10,0241 10,2157 10,6062 11,0560 11,4558 11,7793 12,0634 12,3490 12,6545 13,0038 13,4321 13,9461 14,5008 15,0091 15,3810 15,5876 15,6700 15,6575 15,5203 15,2262 14,7952 14,2822 13,7485 13,2688 12,9249 12,7670 12,7910 12,9307 13,0713 13,1083 12,9922 12,7055 12,2367 11,5992 10,8439 10,0356 9,2151 8,3795 7,5014 6,5667 5,5870 4,5848 3,5858 2,6305 1,7749 1,0611 0,4816 -0,0135 -0,4651 -0,8691 -1,1815 -1,3512 -1,3715 -1,3108 -1,2625 -1,2539 -1,2438 -1,2123 -1,2085 -1,3094 -1,5554 -1,9005 -2,2066 -2,3064 -2,0947 -1,5816 -0,8820 -0,1609 0,4375 0,8510 1,1148 1,3104 1,4872 1,6311 1,6989 1,6815 1,6357 1,6542 1,8080 2,0982 2,4340 2,6692 2,6814 2,4263 1,9377 1,3069 0,6782 0,2471 0,1854 0,5227 1,1441 1,9025 2,6783 3,3722 3,9221 4,3188 4,5947 4,8068 5,0109 5,2514 5,5750 6,0174 6,5665 7,1651 7,7548 8,3006 8,7890 9,2184 9,5793 9,8292 9,9040 9,7786 9,5086 9,1800 8,8178 8,3802 7,8500 7,3129 6,9348 6,8398 7,0010 7,2677 7,4797 7,5330 7,3735 6,9686 6,2909 5,3380 4,1497 2,7886 1,3337 -0,0873 -1,2913 -2,0966 -2,4008 -2,2329 -1,7610 -1,2525 -0,9815 -1,1090 -1,6090 -2,3025 -2,9918 -3,5810 -4,0600 -4,4239 -4,6561 -4,7483 -4,7025 -4,5318 -4,2555 -3,8795 -3,3871 -2,7528 -1,9667 -1,0435 -0,0205 1,0331 2,0238 2,8646 3,4969 3,9067 4,1460 4,3147 4,4964 4,7242 5,0203 5,4383 6,0273 6,7731 7,5925 8,3640 8,9633 9,3043 9,3703 9,2234 8,9809 8,7594 8,6372 8,6662 8,8992 9,3827 10,0984 10,9119 11,6210 12,0676 12,1854 11,9726 11,4655 10,7355 9,8916 9,0673 8,3733 7,8580 7,5274 7,3767 7,3899 7,5416 7,8068 8,1449 8,4738 8,6877 8,6987 8,4553 7,9407 7,1724 6,2171 5,2009 4,2845 3,5987 3,1881 3,0243 3,0664 3,2874 3,6501 4,0712 4,4104 4,5247 4,3543 3,9554 3,4628 3,0188 2,7054 2,5219 2,4248 2,3731 2,3385 2,3175 2,3405 2,4286 2,5545 2,6709 2,7454 2,7452 2,6287 2,3932 2,1203 1,9311 1,8742 1,8724 1,7930 1,5517 1,1511 0,6813 0,3193 0,2741 0,6796 1,5282 2,6883 3,9769 5,2370 6,3696 7,3029 7,9693 8,3533 8,5316 8,6224 8,7148 8,8421 8,9669 8,9969 8,8410 8,4362 7,7504 6,8176 5,7667 4,7862 4,0518 3,6793 3,7179 4,1555 4,9043 5,7991 6,6532 7,3341 7,7874 8,0073 8,0054 7,8031 7,4292 6,9224 6,3491 5,8080 5,3999 5,1830 5,1570 5,2787 5,4773 5,6771 5,8346 5,9676 6,1555 6,4827 6,9511 7,4814 8,0142 8,5497 9,0780 9,5288 9,8105 9,8714 9,7128 9,3651 8,8702 8,2753 7,6177 6,9106 6,1507 5,3538 4,6064 4,0723 3,9035 4,1306 4,6509 5,3114 5,9842 6,5718 6,9802 7,1338 7,0228 6,7195 6,3426 6,0017 5,7487 5,5733 5,4560 5,4022 5,4151 5,4826 5,6059 5,8191 6,1681 6,6697 7,2754 7,8772 8,3517 8,5964 8,5538 8,2430 7,7681 7,2677 6,8431 6,5263 6,2978 6,1266 6,0009 5,9170 5,8573 5,7974 5,7288 5,6767 5,7025 5,8759 6,2359 6,7839 7,4946 8,3047 9,1110 9,7997 10,2749 10,4912 10,4790 10,3102 10,0311 9,6337 9,0964 8,4579 7,8356 7,3537 7,0734 7,0048 7,1393 7,4451 7,8589 8,2887 8,6350 8,8322 8,8674 8,7743 8,6350 8,5530 8,5939 8,7620 9,0270 9,3387 9,6235 9,8106 9,8788 9,8628 9,8223 9,8317 9,9780 10,3099 10,7676 11,1912 11,4268 11,4218 11,2251 10,9328 10,6386 10,3891 10,1741 9,9761 9,8148 9,7344 9,7673 9,9190 10,1732 10,4902 10,7943 10,9664 10,8715 10,4341 9,6941 8,7852 7,8608 7,0282 6,3160 5,6868 5,0908 4,5140 3,9825 3,5408 3,2174 2,9894 2,7887 2,5685 2,3580 2,2262 2,2025 2,2691 2,4113 2,6368 2,9462 3,3140 3,7096 4,1166 4,5088 4,8191 4,9518 4,8366 4,4866 4,0078 3,5207 3,0669 2,6140 2,1332 1,6595
Fz    0,2640 0,0389 -0,2309 -0,5864 -1,0236 -1,4788 -1,8627 -2,1070 -2,1791 -2,0728 -1,8012 -1,3869 -0,8511 -0,2217 0,4485 1,0765 1,5624 1,8226 1,8294 1,6333 1,3403 1,0566 0,8482 0,7412 0,7411 0,8440 1,0321 1,2720 1,5183 1,7129 1,7931 1,7146 1,4659 1,0723 0,5939 0,1103 -0,3165 -0,6653 -0,9423 -1,1502 -1,2738 -1,2900 -1,1882 -0,9836 -0,7193 -0,4636 -0,2963 -0,2795 -0,4319 -0,7295 -1,1237 -1,5535 -1,9484 -2,2424 -2,4023 -2,4357 -2,3637 -2,1960 -1,9397 -1,6267 -1,3198 -1,0803 -0,9342 -0,8754 -0,8890 -0,9544 -1,0331 -1,0879 -1,1271 -1,2074 -1,3868 -1,6774 -2,0316 -2,3707 -2,6289 -2,7713 -2,7803 -2,6513 -2,3980 -2,0481 -1,6425 -1,2349 -0,8744 -0,5834 -0,3531 -0,1570 0,0356 0,2528 0,5145 0,8238 1,1692 1,5414 1,9405 2,3579 2,7533 3,0543 3,1864 3,1207 2,8906 2,5644 2,2224 1,9531 1,8363 1,9042 2,1176 2,3930 2,6616 2,8953 3,0830 3,2044 3,2255 3,1038 2,7979 2,2952 1,6415 0,9399 0,3096 -0,1567 -0,4099 -0,4462 -0,3001 -0,0272 0,3148 0,6794 1,0389 1,3895 1,7404 2,0922 2,4368 2,7725 3,1071 3,4464 3,7817 4,0871 4,3265 4,4654 4,4804 4,3642 4,1275 3,7975 3,4083 2,9961 2,6059 2,2892 2,0842 2,0030 2,0362 2,1613 2,3492 2,5744 2,8316 3,1416 3,5314 4,0022 4,5183 5,0295 5,5086 5,9660 6,4316 6,9268 7,4572 8,0242 8,6251 9,2349 9,8022 10,2702 10,6067 10,8271 10,9793 11,0935 11,1578 11,1435 11,0350 10,8382 10,5828 10,3233 10,1242 10,0354 10,0754 10,2238 10,4272 10,6235 10,7600 10,7910 10,6829 10,4348 10,0821 9,6713 9,2303 8,7533 8,2079 7,5574 6,7830 5,8989 4,9512 4,0036 3,1204 2,3518 1,7251 1,2460 0,9070 0,6914 0,5756 0,5296 0,5084 0,4506 0,3085 0,0816 -0,1898 -0,4625 -0,7175 -0,9599 -1,2023 -1,4428 -1,6557 -1,8064 -1,8754 -1,8749 -1,8526 -1,8768 -1,9989 -2,2151 -2,4673 -2,6901 -2,8570 -2,9865 -3,1147 -3,2613 -3,4104 -3,5176 -3,5389 -3,4601 -3,3083 -3,1365 -2,9981 -2,9285 -2,9362 -2,9996 -3,0617 -3,0317 -2,8236 -2,4166 -1,8647 -1,2463 -0,6315 -0,0774 0,3846 0,7595 1,0779 1,3783 1,6925 2,0418 2,4362 2,8688 3,3127 3,7353 4,1174 4,4563 4,7578 5,0268 5,2599 5,4383 5,5329 5,5262 5,4322 5,2856 5,1125 4,9221 4,7222 4,5339 4,3860 4,2852 4,1986 4,0777 3,8948 3,6459 3,3328 2,9493 2,4849 1,9407 1,3370 0,7051 0,0784 -0,5085 -1,0205 -1,4254 -1,6980 -1,8243 -1,8132 -1,7120 -1,6014 -1,5590 -1,6179 -1,7579 -1,9404 -2,1508 -2,3897 -2,6381 -2,8621 -3,0409 -3,1724 -3,2693 -3,3568 -3,4549 -3,5580 -3,6370 -3,6633 -3,6259 -3,5271 -3,3737 -3,1738 -2,9384 -2,6787 -2,3994 -2,0940 -1,7504 -1,3677 -0,9603 -0,5404 -0,0967 0,3937 0,9303 1,4739 1,9577 2,3165 2,5251 2,6210 2,6879 2,8112 3,0449 3,4060 3,8895 4,4806 5,1548 5,8684 6,5530 7,1367 7,5768 7,8674 8,0199 8,0522 7,9914 7,8712 7,7293 7,5969 7,4898 7,4159 7,3854 7,4067 7,4783 7,5886 7,7151 7,8238 7,8806 7,8609 7,7470 7,5275 7,2078 6,8208 6,4168 6,0407 5,7173 5,4487 5,2244 5,0434 4,9191 4,8626 4,8636 4,8891 4,9013 4,8778 4,8165 4,7332 4,6531 4,5929 4,5480 4,5033 4,4487 4,3791 4,2952 4,2060 4,1181 4,0322 3,9574 3,9076 3,8715 3,8006 3,6466 3,4105 3,1499 2,9316 2,7776 2,6617 2,5443 2,4018 2,2491 2,1468 2,1699 2,3596 2,7030 3,1472 3,6237 4,0671 4,4217 4,6397 4,6889 4,5775 4,3639 4,1296 3,9467 3,8620 3,8871 3,9955 4,1331 4,2332 4,2397 4,1388 3,9708 3,8059 3,7092 3,7219 3,8616 4,1248 4,4793 4,8621 5,2051 5,4723 5,6664 5,8065 5,9056 5,9673 5,9904 5,9706 5,9097 5,8243 5,7400 5,6779 5,6486 5,6532 5,6817 5,7172 5,7518 5,7964 5,8751 6,0032 6,1653 6,3339 6,5080 6,7119 6,9575 7,2224 7,4566 7,6077 7,6443 7,5652 7,3945 7,1656 6,9012 6,6047 6,2653 5,8652 5,3982 4,8903 4,3943 3,9585 3,6059 3,3438 3,1828 3,1283 3,1562 3,2126 3,2455 3,2359 3,2012 3,1716 3,1566 3,1369 3,0906 3,0157 2,9292 2,8603 2,8387 2,8801 2,9886 3,1642 3,3981 3,6668 3,9415 4,1942 4,3920 4,5014 4,5054 4,4093 4,2285 3,9769 3,6695 3,3318 3,0013 2,7090 2,4594 2,2369 2,0328 1,8614 1,7529 1,7351 1,8252 2,0372 2,3791 2,8335 3,3559 3,8977 4,4190 4,8909 5,3052 5,6696 5,9849 6,2350 6,4095 6,5337 6,6619 6,8300 7,0263 7,2132 7,3580 7,4339 7,4133 7,2709 6,9920 6,5830 6,0761 5,5301 5,0205 4,6102 4,3171 4,1126 3,9512 3,7954 3,6237 3,4373 3,2605 3,1211 3,0365 3,0220 3,0966 3,2581 3,4540 3,5910 3,5919 3,4434 3,1855 2,8701 2,5292 2,1617 1,7466 1,2812 0,8109 0,4163 0,1662 0,0809 0,1326 0,2701 0,4310 0,5422 0,5336 0,3769 0,1123 -0,1716 -0,3859 -0,4717 -0,4065 -0,2000 0,1179 0,5081 0,9257 1,3259 1,6685 1,9111 2,0164 1,9811 1,8548 1,7108 1,5966 1,5274 1,5129 1,5625 1,6668 1,7938 1,9148 2,0258 2,1408 2,2729 2,4234 2,5808 2,7285 2,8596 2,9758 3,0640 3,0898 3,0241 2,8744
F3    0,4664 0,3949 0,3046 0,1534 -0,0623 -0,2929 -0,4666 -0,5344 -0,4834 -0,3208 -0,0657 0,2549 0,6174 1,0026 1,3843 1,7160 1,9322 1,9710 1,8125 1,5039 1,1422 0,8225 0,6041 0,5116 0,5498 0,7083 0,9529 1,2286 1,4741 1,6268 1,6246 1,4219 1,0091 0,4207 -0,2642 -0,9428 -1,5302 -1,9889 -2,3181 -2,5247 -2,6060 -2,5524 -2,3610 -2,0481 -1,6574 -1,2597 -0,9387 -0,7617 -0,7505 -0,8808 -1,1064 -1,3805 -1,6546 -1,8801 -2,0280 -2,0975 -2,0946 -2,0140 -1,8519 -1,6352 -1,4262 -1,2905 -1,2606 -1,3331 -1,4888 -1,6929 -1,8806 -1,9828 -1,9864 -1,9470 -1,9374 -1,9951 -2,1104 -2,2473 -2,3735 -2,4675 -2,5058 -2,4664 -2,3418 -2,1362 -1,8624 -1,5476 -1,2277 -0,9267 -0,6459 -0,3772 -0,1166 0,1420 0,4115 0,7004 1,0073 1,3322 1,6813 2,0461 2,3777 2,5900 2,5992 2,3777 1,9708 1,4658 0,9662 0,5837 0,4129 0,4868 0,7514 1,0960 1,4220 1,6797 1,8504 1,9220 1,8815 1,7091 1,3780 0,8769 0,2437 -0,4303 -1,0339 -1,4753 -1,7062 -1,7304 -1,5959 -1,3717 -1,1227 -0,8939 -0,7040 -0,5413 -0,3768 -0,1879 0,0364 0,3078 0,6384 1,0257 1,4410 1,8378 2,1743 2,4309 2,6079 2,7158 2,7695 2,7832 2,7655 2,7232 2,6762 2,6584 2,7015 2,8227 3,0218 3,2795 3,5614 3,8348 4,0916 4,3574 4,6704 5,0450 5,4538 5,8496 6,2051 6,5302 6,8553 7,2067 7,6011 8,0573 8,5913 9,1918 9,8118 10,3853 10,8602 11,2294 11,5216 11,7556 11,9170 11,9819 11,9402 11,7954 11,5662 11,2936 11,0327 10,8302 10,7105 10,6692 10,6749 10,6880 10,6748 10,5997 10,4286 10,1508 9,7881 9,3776 8,9472 8,4984 8,0096 7,4523 6,8051 6,0618 5,2347 4,3545 3,4686 2,6304 1,8817 1,2452 0,7272 0,3193 0,0045 -0,2366 -0,4347 -0,6393 -0,8932 -1,1970 -1,5138 -1,8089 -2,0741 -2,3208 -2,5590 -2,7741 -2,9203 -2,9427 -2,8102 -2,5370 -2,1864 -1,8496 -1,6002 -1,4509 -1,3590 -1,2791 -1,2076 -1,1762 -1,2126 -1,3079 -1,4128 -1,4607 -1,3986 -1,2148 -0,9497 -0,6758 -0,4622 -0,3493 -0,3402 -0,4035 -0,4743 -0,4592 -0,2716 0,1100 0,6323 1,2180 1,8010 2,3266 2,7607 3,1026 3,3776 3,6209 3,8638 4,1286 4,4283 4,7598 5,0968 5,4025 5,6525 5,8449 5,9934 6,1127 6,2059 6,2575 6,2414 6,1435 5,9816 5,7939 5,6077 5,4295 5,2633 5,1295 5,0566 5,0502 5,0773 5,0916 5,0642 4,9772 4,8011 4,4915 4,0101 3,3523 2,5539 1,6747 0,7809 -0,0628 -0,7936 -1,3521 -1,6949 -1,8150 -1,7556 -1,6095 -1,4897 -1,4752 -1,5730 -1,7263 -1,8700 -1,9907 -2,1205 -2,2842 -2,4787 -2,6865 -2,8824 -3,0414 -3,1541 -3,2230 -3,2452 -3,2090 -3,1094 -2,9553 -2,7614 -2,5394 -2,2968 -2,0376 -1,7652 -1,4777 -1,1622 -0,8026 -0,4021 0,0169 0,4450 0,9099 1,4505 2,0699 2,7171 3,3062 3,7545 4,0245 4,1417 4,1753 4,1978 4,2614 4,3966 4,6237 4,9571 5,3958 5,9077 6,4273 6,8797 7,2176 7,4324 7,5395 7,5650 7,5370 7,4799 7,4171 7,3670 7,3321 7,3075 7,3005 7,3299 7,4121 7,5512 7,7321 7,9180 8,0625 8,1230 8,0659 7,8714 7,5446 7,1232 6,6700 6,2497 5,9083 5,6606 5,4969 5,4100 5,4046 5,4756 5,5847 5,6661 5,6608 5,5483 5,3475 5,1000 4,8537 4,6430 4,4774 4,3523 4,2635 4,2072 4,1810 4,1821 4,1956 4,1991 4,1902 4,1874 4,1950 4,1816 4,1063 3,9638 3,7953 3,6461 3,5187 3,3807 3,2030 2,9822 2,7521 2,5851 2,5605 2,7234 3,0723 3,5705 4,1599 4,7758 5,3547 5,8315 6,1495 6,2939 6,3074 6,2620 6,2209 6,2203 6,2615 6,3135 6,3295 6,2579 6,0554 5,7150 5,2826 4,8421 4,4827 4,2730 4,2546 4,4395 4,8018 5,2742 5,7714 6,2275 6,6095 6,9039 7,1055 7,2203 7,2632 7,2472 7,1830 7,0862 6,9776 6,8766 6,7975 6,7493 6,7315 6,7369 6,7616 6,8122 6,9057 7,0525 7,2324 7,4101 7,5798 7,7657 7,9781 8,1901 8,3517 8,4184 8,3704 8,2152 7,9809 7,7033 7,4065 7,0921 6,7435 6,3380 5,8696 5,3716 4,9086 4,5367 4,2720 4,1027 4,0195 4,0172 4,0706 4,1307 4,1541 4,1323 4,0906 4,0595 4,0413 4,0065 3,9277 3,8051 3,6619 3,5348 3,4659 3,4886 3,6213 3,8668 4,2033 4,5845 4,9570 5,2700 5,4736 5,5304 5,4361 5,2197 4,9216 4,5787 4,2280 3,9131 3,6764 3,5391 3,4854 3,4749 3,4746 3,4795 3,5068 3,5748 3,6934 3,8734 4,1273 4,4498 4,8100 5,1661 5,4785 5,7242 5,9137 6,0818 6,2521 6,4160 6,5535 6,6745 6,8224 7,0284 7,2787 7,5376 7,7745 7,9587 8,0513 8,0162 7,8322 7,4968 7,0284 6,4760 5,9234 5,4604 5,1352 4,9386 4,8313 4,7751 4,7410 4,7141 4,6956 4,6895 4,6931 4,7117 4,7688 4,8802 5,0137 5,0957 5,0698 4,9416 4,7626 4,5858 4,4374 4,3042 4,1471 3,9434 3,7226 3,5566 3,5132 3,6146 3,8301 4,0990 4,3518 4,5151 4,5225 4,3476 4,0287 3,6490 3,2876 2,9905 2,7676 2,6027 2,4778 2,3903 2,3464 2,3496 2,3934 2,4474 2,4582 2,3864 2,2412 2,0614 1,8723 1,6792 1,4930 1,3344 1,2100 1,1036 0,9963 0,8885 0,7990 0,7486 0,7441 0,7706 0,8039 0,8373 0,8802 0,9262 0,9426 0,8991 0,8008
F7    1,2592 1,0576 0,7990 0,4384 -0,0078 -0,4426 -0,7399 -0,8191 -0,6736 -0,3555 0,0506 0,4620 0,8308 1,1435 1,3940 1,5585 1,5936 1,4675 1,2046 0,8965 0,6516 0,5321 0,5432 0,6631 0,8655 1,1249 1,4085 1,6703 1,8525 1,8903 1,7272 1,3370 0,7370 -0,0114 -0,8076 -1,5335 -2,0971 -2,4653 -2,6555 -2,7030 -2,6381 -2,4804 -2,2418 -1,9308 -1,5619 -1,1676 -0,7985 -0,5043 -0,3104 -0,2130 -0,1926 -0,2266 -0,2914 -0,3709 -0,4703 -0,6027 -0,7553 -0,8817 -0,9391 -0,9353 -0,9361 -1,0168 -1,2093 -1,4985 -1,8510 -2,2198 -2,5233 -2,6682 -2,6226 -2,4459 -2,2349 -2,0603 -1,9461 -1,8814 -1,8410 -1,7963 -1,7174 -1,5805 -1,3742 -1,0992 -0,7768 -0,4608 -0,2206 -0,1029 -0,1093 -0,2035 -0,3314 -0,4331 -0,4554 -0,3721 -0,1893 0,0786 0,4273 0,8406 1,2561 1,5670 1,6718 1,5365 1,2057 0,7616 0,2995 -0,0722 -0,2565 -0,2169 -0,0041 0,2742 0,5186 0,6769 0,7346 0,6980 0,5859 0,4101 0,1549 -0,2075 -0,6705 -1,1706 -1,6145 -1,9210 -2,0492 -2,0104 -1,8601 -1,6760 -1,5332 -1,4841 -1,5389 -1,6541 -1,7537 -1,7717 -1,6700 -1,4333 -1,0666 -0,5955 -0,0604 0,4962 1,0427 1,5617 2,0431 2,4800 2,8705 3,2176 3,5206 3,7736 3,9803 4,1627 4,3497 4,5636 4,8179 5,1094 5,4110 5,6864 5,9204 6,1320 6,3593 6,6295 6,9360 7,2475 7,5430 7,8302 8,1334 8,4757 8,8780 9,3667 9,9594 10,6363 11,3350 11,9704 12,4737 12,8331 13,0918 13,2866 13,4086 13,4264 13,3172 13,0709 12,6981 12,2513 11,8199 11,4934 11,3235 11,3094 11,4126 11,5864 11,7781 11,9099 11,8880 11,6477 11,1849 10,5488 9,8043 8,9966 8,1471 7,2697 6,3753 5,4707 4,5643 3,6765 2,8402 2,0811 1,4011 0,7946 0,2773 -0,1208 -0,3871 -0,5378 -0,6163 -0,6854 -0,7961 -0,9530 -1,1250 -1,2856 -1,4335 -1,5831 -1,7431 -1,8943 -1,9800 -1,9284 -1,6944 -1,2936 -0,8080 -0,3545 -0,0180 0,2050 0,3924 0,6193 0,8967 1,1763 1,3950 1,5198 1,5721 1,6161 1,7200 1,9097 2,1446 2,3413 2,4247 2,3645 2,1831 1,9442 1,7378 1,6683 1,8205 2,2045 2,7523 3,3758 4,0036 4,5784 5,0633 5,4528 5,7655 6,0241 6,2385 6,4073 6,5360 6,6443 6,7594 6,9081 7,1136 7,3888 7,7290 8,1094 8,4892 8,8151 9,0294 9,0974 9,0342 8,8844 8,6752 8,4086 8,1024 7,8167 7,6267 7,5656 7,6010 7,6705 7,7215 7,7087 7,5719 7,2365 6,6425 5,7823 4,7152 3,5446 2,3883 1,3567 0,5392 -0,0078 -0,2709 -0,2846 -0,1279 0,0864 0,2363 0,2312 0,0442 -0,2840 -0,6865 -1,1268 -1,5957 -2,0634 -2,4766 -2,7883 -2,9668 -3,0009 -2,9117 -2,7382 -2,5081 -2,2337 -1,9296 -1,6151 -1,2978 -0,9663 -0,5982 -0,1801 0,2747 0,7276 1,1399 1,4905 1,7693 1,9758 2,1440 2,3582 2,7103 3,2323 3,8694 4,5061 5,0177 5,3233 5,4129 5,3328 5,1540 4,9494 4,7829 4,7088 4,7718 4,9932 5,3485 5,7608 6,1383 6,4275 6,6243 6,7417 6,7879 6,7677 6,6916 6,5863 6,4871 6,4198 6,4060 6,4719 6,6353 6,8855 7,1873 7,4956 7,7659 7,9602 8,0475 7,9951 7,7678 7,3465 6,7541 6,0625 5,3726 4,7800 4,3445 4,0886 4,0259 4,1688 4,4996 4,9463 5,3951 5,7338 5,8945 5,8647 5,6750 5,3792 5,0320 4,6734 4,3362 4,0507 3,8310 3,6705 3,5534 3,4616 3,3830 3,3301 3,3312 3,3934 3,4800 3,5326 3,5143 3,4295 3,2949 3,1037 2,8392 2,5107 2,1582 1,8457 1,6621 1,6981 2,0023 2,5567 3,2932 4,1282 4,9873 5,8049 6,5064 7,0176 7,3106 7,4303 7,4628 7,4878 7,5493 7,6393 7,7040 7,6691 7,4625 7,0376 6,4036 5,6364 4,8589 4,2031 3,7741 3,6275 3,7619 4,1255 4,6303 5,1780 5,6895 6,1187 6,4486 6,6856 6,8555 6,9847 7,0764 7,1138 7,0845 6,9956 6,8705 6,7408 6,6365 6,5758 6,5644 6,6058 6,7118 6,9017 7,1789 7,5021 7,8108 8,0823 8,3359 8,5855 8,8117 8,9749 9,0387 8,9827 8,8056 8,5292 8,1971 7,8514 7,5063 7,1444 6,7354 6,2658 5,7645 5,2979 4,9279 4,6759 4,5367 4,5177 4,6344 4,8665 5,1390 5,3630 5,4957 5,5594 5,6040 5,6503 5,6716 5,6282 5,5061 5,3275 5,1436 5,0152 4,9813 5,0516 5,2209 5,4740 5,7784 6,0860 6,3421 6,4945 6,5070 6,3722 6,1071 5,7421 5,3191 4,8917 4,5155 4,2354 4,0693 3,9954 3,9621 3,9207 3,8552 3,7897 3,7732 3,8521 4,0519 4,3705 4,7741 5,2058 5,6059 5,9230 6,1252 6,2171 6,2320 6,1940 6,0966 5,9316 5,7328 5,5693 5,4897 5,4925 5,5576 5,6774 5,8468 6,0500 6,2602 6,4407 6,5472 6,5375 6,3996 6,1781 5,9544 5,7844 5,6655 5,5624 5,4455 5,3035 5,1510 5,0310 4,9931 5,0688 5,2703 5,6012 6,0424 6,5233 6,9348 7,1950 7,3030 7,3218 7,3234 7,3412 7,3458 7,2651 7,0522 6,7398 6,4331 6,2491 6,2499 6,4182 6,6807 6,9412 7,0951 7,0494 6,7649 6,2858 5,7135 5,1416 4,6230 4,1765 3,7999 3,4815 3,2118 2,9885 2,8197 2,7145 2,6560 2,5929 2,4760 2,2984 2,0875 1,8691 1,6598 1,4810 1,3506 1,2595 1,1743 1,0717 0,9620 0,8754 0,8337 0,8355 0,8614 0,8895 0,9118 0,9311 0,9388 0,9076 0,8145 0,6688
