Fp1   1,1610 1,1235 1,0803 1,0248 0,9611 0,8929 0,8181 0,7343 0,6511 0,5947 0,5921 0,6461 0,7271 0,7900 0,7934 0,7091 0,5252 0,2513 -0,0798 -0,4239 -0,7427 -1,0123 -1,2208 -1,3617 -1,4313 -1,4334 -1,3779 -1,2718 -1,1176 -0,9180 -0,6822 -0,4301 -0,1918 -0,0027 0,1091 0,1393 0,1107 0,0514 -0,0238 -0,1088 -0,1930 -0,2608 -0,2983 -0,2959 -0,2492 -0,1609 -0,0404 0,1035 0,2703 0,4690 0,7119 1,0014 1,3195 1,6284 1,8817 2,0412 2,0892 2,0308 1,8874 1,6865 1,4532 1,2042 0,9485 0,6924 0,4451 0,2177 0,0153 -0,1720 -0,3695 -0,6016 -0,8715 -1,1590 -1,4366 -1,6865 -1,9057 -2,1009 -2,2754 -2,4220 -2,5308 -2,5981 -2,6284 -2,6337 -2,6350 -2,6609 -2,7362 -2,8651 -3,0248 -3,1758 -3,2758 -3,2976 -3,2420 -3,1328 -2,9967 -2,8502 -2,7035 -2,5695 -2,4651 -2,4027 -2,3837 -2,3998 -2,4420 -2,5060 -2,5906 -2,6944 -2,8165 -2,9591 -3,1285 -3,3290 -3,5537 -3,7804 -3,9787 -4,1303 -4,2428 -4,3404 -4,4445 -4,5591 -4,6701 -4,7557 -4,7993 -4,7984 -4,7634 -4,7109 -4,6566 -4,6105 -4,5692 -4,5169 -4,4411 -4,3472 -4,2487 -4,1456 -4,0236 -3,8724 -3,6930 -3,4887 -3,2572 -2,9929 -2,6954 -2,3739 -2,0434 -1,7164 -1,3990 -1,0974 -0,8205 -0,5723 -0,3509 -0,1562 0,0090 0,1440 0,2484 0,3179 0,3441 0,3182 0,2339 0,0919 -0,1046 -0,3512 -0,6359 -0,9308 -1,1913 -1,3690 -1,4342 -1,3883 -1,2593 -1,0905 -0,9279 -0,8083 -0,7484 -0,7380 -0,7452 -0,7356 -0,6920 -0,6195 -0,5381 -0,4709 -0,4388 -0,4578 -0,5365 -0,6696 -0,8363 -1,0062 -1,1494 -1,2440 -1,2829 -1,2814 -1,2715 -1,2816 -1,3181 -1,3643 -1,3985 -1,4129 -1,4142 -1,4118 -1,4124 -1,4214 -1,4432 -1,4781 -1,5176 -1,5448 -1,5415 -1,4941 -1,3977 -1,2648 -1,1261 -1,0174 -0,9639 -0,9766 -1,0489 -1,1544 -1,2527 -1,3042 -1,2853 -1,1995 -1,0730 -0,9347 -0,8052 -0,7032 -0,6510 -0,6660 -0,7477 -0,8711 -0,9959 -1,0827 -1,1055 -1,0562 -0,9421 -0,7807 -0,5938 -0,4009 -0,2144 -0,0421 0,1023 0,1995 0,2386 0,2274 0,1861 0,1350 0,0858 0,0364 -0,0274 -0,1193 -0,2416 -0,3824 -0,5211 -0,6404 -0,7391 -0,8360 -0,9572 -1,1179 -1,3162 -1,5358 -1,7491 -1,9256 -2,0428 -2,0898 -2,0673 -1,9858 -1,8603 -1,7045 -1,5270 -1,3271 -1,0980 -0,8339 -0,5386 -0,2324 0,0485 0,2676 0,4058 0,4665 0,4663 0,4279 0,3749 0,3208 0,2630 0,1951 0,1166 0,0296 -0,0656 -0,1623 -0,2410 -0,2805 -0,2774 -0,2521 -0,2326 -0,2376 -0,2781 -0,3678 -0,5153 -0,7056 -0,8994 -1,0523 -1,1325 -1,1309 -1,0602 -0,9448 -0,8081 -0,6713 -0,5575 -0,4852 -0,4569 -0,4600 -0,4792 -0,5075 -0,5496 -0,6172 -0,7204 -0,8620 -1,0396 -1,2481 -1,4742 -1,6956 -1,8904 -2,0498 -2,1777 -2,2813 -2,3639 -2,4289 -2,4901 -2,5682 -2,6721 -2,7864 -2,8771 -2,9076 -2,8549 -2,7206 -2,5297 -2,3199 -2,1253 -1,9608 -1,8147 -1,6565 -1,4562 -1,2066 -0,9288 -0,6561 -0,4151 -0,2155 -0,0516 0,0855 0,1965 0,2713 0,2989 0,2811 0,2337 0,1784 0,1344 0,1167 0,1364 0,1936 0,2727 0,3472 0,3933 0,3964 0,3510 0,2626 0,1497 0,0357 -0,0617 -0,1349 -0,1852 -0,2205 -0,2496 -0,2807 -0,3215 -0,3795 -0,4621 -0,5728 -0,7064 -0,8460 -0,9671 -1,0428 -1,0520 -0,9924 -0,8823 -0,7483 -0,6149 -0,5017 -0,4197 -0,3624 -0,3061 -0,2254 -0,1082 0,0392 0,1978 0,3486 0,4794 0,5780 0,6315 0,6418 0,6337 0,6406 0,6835 0,7588 0,8380 0,8821 0,8605 0,7628 0,6000 0,3960 0,1782 -0,0268 -0,1961 -0,3211 -0,4119 -0,4886 -0,5686 -0,6588 -0,7521 -0,8318 -0,8863 -0,9210 -0,9581 -1,0259 -1,1476 -1,3338 -1,5794 -1,8655 -2,1637 -2,4385 -2,6564 -2,8000 -2,8742 -2,8971 -2,8848 -2,8428 -2,7668 -2,6551 -2,5205 -2,3898 -2,2896 -2,2322 -2,2080 -2,1873 -2,1346 -2,0264 -1,8616 -1,6605 -1,4526 -1,2612 -1,0914 -0,9307 -0,7657 -0,5973 -0,4434 -0,3343 -0,2966 -0,3341 -0,4250 -0,5358 -0,6361 -0,7048 -0,7325 -0,7246 -0,6996 -0,6798 -0,6830 -0,7178 -0,7805 -0,8591 -0,9458 -1,0397 -1,1408 -1,2517 -1,3792 -1,5273 -1,6923 -1,8628 -2,0212 -2,1464 -2,2157 -2,2112 -2,1310 -1,9917 -1,8234 -1,6655 -1,5611 -1,5427 -1,6207 -1,7852 -2,0141 -2,2792 -2,5491 -2,7947 -2,9974 -3,1553 -3,2792 -3,3823 -3,4759 -3,5682 -3,6647 -3,7662 -3,8675 -3,9627 -4,0536 -4,1488 -4,2537 -4,3622 -4,4598 -4,5298 -4,5571 -4,5277 -4,4306 -4,2661 -4,0468 -3,7888 -3,5047 -3,2009 -2,8818 -2,5590 -2,2556 -1,9929 -1,7732 -1,5766 -1,3763 -1,1533 -0,9052 -0,6463 -0,3982 -0,1804 -0,0069 0,1171 0,1970 0,2407 0,2465 0,2023 0,1009 -0,0435 -0,1996 -0,3452 -0,4835 -0,6356 -0,8214 -1,0472 -1,3092 -1,6009 -1,9140 -2,2376 -2,5608 -2,8767 -3,1844 -3,4828 -3,7619 -4,0002 -4,1744 -4,2770 -4,3219 -4,3355 -4,3425 -4,3547 -4,3672 -4,3672 -4,3467 -4,3101 -4,2713 -4,2460 -4,2463 -4,2795 -4,3431 -4,4227 -4,4991 -4,5594 -4,5992 -4,6230 -4,6462 -4,6899 -4,7686 -4,8854 -5,0346 -5,2020 -5,3666 -5,5082 -5,6136 -5,6729 -5,6781 -5,6301 -5,5460 -5,4524 -5,3663 -5,2877 -5,2134 -5,1471 -5,0964 -5,0677 -5,0605 -5,0647 -5,0626 -5,0359 -4,9716 -4,8667 -4,7278 -4,5663 -4,3973 -4,2410 -4,1188 -4,0496 -4,0467 -4,1140 -4,2416 -4,4012 -4,5519 -4,6593
Fz    0,3964 0,4253 0,4513 0,4648 0,4618 0,4376 0,3867 0,3081 0,2134 0,1318 0,0993 0,1365 0,2354 0,3603 0,4589 0,4789 0,3888 0,1933 -0,0702 -0,3507 -0,6012 -0,7891 -0,9035 -0,9526 -0,9549 -0,9308 -0,8930 -0,8387 -0,7522 -0,6151 -0,4203 -0,1845 0,0522 0,2401 0,3432 0,3575 0,3109 0,2402 0,1687 0,1016 0,0374 -0,0216 -0,0660 -0,0833 -0,0624 0,0022 0,1126 0,2708 0,4798 0,7446 1,0668 1,4343 1,8125 2,1501 2,3953 2,5128 2,4934 2,3583 2,1494 1,9109 1,6772 1,4670 1,2844 1,1253 0,9854 0,8609 0,7404 0,6000 0,4088 0,1449 -0,1860 -0,5516 -0,9168 -1,2645 -1,5955 -1,9150 -2,2191 -2,4881 -2,6958 -2,8250 -2,8781 -2,8789 -2,8676 -2,8874 -2,9657 -3,1039 -3,2817 -3,4658 -3,6181 -3,7079 -3,7246 -3,6795 -3,5931 -3,4847 -3,3694 -3,2608 -3,1721 -3,1099 -3,0667 -3,0254 -2,9751 -2,9220 -2,8825 -2,8706 -2,8937 -2,9540 -3,0478 -3,1667 -3,2971 -3,4180 -3,5054 -3,5480 -3,5580 -3,5701 -3,6250 -3,7457 -3,9235 -4,1257 -4,3154 -4,4685 -4,5803 -4,6630 -4,7357 -4,8125 -4,8942 -4,9694 -5,0243 -5,0530 -5,0540 -5,0195 -4,9405 -4,8193 -4,6693 -4,5064 -4,3424 -4,1807 -4,0160 -3,8408 -3,6502 -3,4363 -3,1839 -2,8805 -2,5287 -2,1444 -1,7514 -1,3796 -1,0580 -0,8009 -0,6047 -0,4567 -0,3442 -0,2594 -0,2021 -0,1797 -0,2025 -0,2740 -0,3832 -0,5035 -0,5979 -0,6290 -0,5757 -0,4429 -0,2575 -0,0552 0,1337 0,2905 0,4084 0,4944 0,5681 0,6511 0,7525 0,8627 0,9576 1,0104 1,0017 0,9216 0,7687 0,5543 0,3051 0,0573 -0,1547 -0,3082 -0,3995 -0,4457 -0,4727 -0,4988 -0,5267 -0,5475 -0,5546 -0,5530 -0,5522 -0,5566 -0,5661 -0,5813 -0,6046 -0,6381 -0,6785 -0,7124 -0,7188 -0,6813 -0,6005 -0,4968 -0,4014 -0,3421 -0,3351 -0,3832 -0,4751 -0,5846 -0,6770 -0,7203 -0,6985 -0,6225 -0,5257 -0,4431 -0,3947 -0,3867 -0,4196 -0,4885 -0,5784 -0,6648 -0,7209 -0,7263 -0,6694 -0,5489 -0,3757 -0,1740 0,0271 0,2038 0,3432 0,4397 0,4864 0,4720 0,3892 0,2417 0,0407 -0,1990 -0,4598 -0,7282 -1,0025 -1,2847 -1,5676 -1,8320 -2,0532 -2,2100 -2,2980 -2,3372 -2,3625 -2,4043 -2,4756 -2,5648 -2,6415 -2,6784 -2,6692 -2,6255 -2,5650 -2,5011 -2,4364 -2,3634 -2,2679 -2,1300 -1,9309 -1,6670 -1,3577 -1,0397 -0,7540 -0,5305 -0,3782 -0,2872 -0,2387 -0,2126 -0,1898 -0,1614 -0,1346 -0,1222 -0,1289 -0,1511 -0,1839 -0,2171 -0,2347 -0,2267 -0,2021 -0,1854 -0,2010 -0,2572 -0,3456 -0,4547 -0,5745 -0,6869 -0,7645 -0,7837 -0,7338 -0,6194 -0,4578 -0,2742 -0,0970 0,0470 0,1359 0,1605 0,1319 0,0778 0,0256 -0,0120 -0,0412 -0,0819 -0,1548 -0,2722 -0,4339 -0,6261 -0,8240 -0,9995 -1,1339 -1,2282 -1,3014 -1,3734 -1,4529 -1,5397 -1,6318 -1,7251 -1,8073 -1,8575 -1,8535 -1,7833 -1,6511 -1,4775 -1,2923 -1,1236 -0,9839 -0,8641 -0,7372 -0,5721 -0,3483 -0,0656 0,2564 0,5889 0,9042 1,1828 1,4156 1,6019 1,7458 1,8500 1,9132 1,9357 1,9251 1,8975 1,8743 1,8763 1,9142 1,9815 2,0583 2,1221 2,1584 2,1605 2,1235 2,0430 1,9192 1,7619 1,5901 1,4251 1,2806 1,1616 1,0693 0,9990 0,9331 0,8448 0,7112 0,5266 0,3083 0,0925 -0,0780 -0,1689 -0,1671 -0,0861 0,0431 0,1886 0,3255 0,4341 0,5010 0,5290 0,5365 0,5465 0,5771 0,6378 0,7271 0,8342 0,9415 1,0242 1,0570 1,0321 0,9679 0,8978 0,8484 0,8207 0,7846 0,6949 0,5167 0,2406 -0,1143 -0,5073 -0,8916 -1,2248 -1,4796 -1,6557 -1,7775 -1,8739 -1,9625 -2,0492 -2,1294 -2,1887 -2,2087 -2,1797 -2,1069 -2,0083 -1,9113 -1,8534 -1,8754 -2,0028 -2,2275 -2,5078 -2,7914 -3,0452 -3,2637 -3,4514 -3,6068 -3,7233 -3,7949 -3,8204 -3,8056 -3,7652 -3,7159 -3,6676 -3,6174 -3,5528 -3,4606 -3,3370 -3,1902 -3,0330 -2,8768 -2,7268 -2,5767 -2,4107 -2,2160 -1,9917 -1,7500 -1,5143 -1,3114 -1,1574 -1,0493 -0,9726 -0,9152 -0,8704 -0,8339 -0,8027 -0,7729 -0,7403 -0,7058 -0,6792 -0,6753 -0,7089 -0,7916 -0,9267 -1,1082 -1,3249 -1,5640 -1,8117 -2,0576 -2,2960 -2,5200 -2,7151 -2,8580 -2,9232 -2,8994 -2,8001 -2,6613 -2,5305 -2,4536 -2,4584 -2,5454 -2,6937 -2,8762 -3,0704 -3,2583 -3,4259 -3,5690 -3,6974 -3,8303 -3,9867 -4,1747 -4,3869 -4,6057 -4,8109 -4,9819 -5,1023 -5,1701 -5,2015 -5,2208 -5,2475 -5,2882 -5,3352 -5,3706 -5,3693 -5,3071 -5,1744 -4,9808 -4,7458 -4,4895 -4,2280 -3,9708 -3,7234 -3,4936 -3,2874 -3,0990 -2,9099 -2,6999 -2,4570 -2,1851 -1,9061 -1,6497 -1,4383 -1,2802 -1,1684 -1,0841 -1,0084 -0,9358 -0,8770 -0,8490 -0,8562 -0,8857 -0,9230 -0,9656 -1,0210 -1,0959 -1,1933 -1,3170 -1,4724 -1,6605 -1,8760 -2,1099 -2,3552 -2,6068 -2,8568 -3,0881 -3,2772 -3,4048 -3,4682 -3,4832 -3,4775 -3,4798 -3,5066 -3,5545 -3,6032 -3,6288 -3,6168 -3,5719 -3,5181 -3,4887 -3,5100 -3,5867 -3,6968 -3,8020 -3,8681 -3,8839 -3,8692 -3,8653 -3,9140 -4,0381 -4,2369 -4,4927 -4,7770 -5,0557 -5,2991 -5,4887 -5,6172 -5,6875 -5,7127 -5,7131 -5,7062 -5,6983 -5,6867 -5,6717 -5,6605 -5,6576 -5,6576 -5,6490 -5,6202 -5,5648 -5,4817 -5,3707 -5,2351 -5,0854 -4,9344 -4,7921 -4,6660 -4,5630 -4,4896 -4,4505 -4,4463 -4,4740 -4,5256 -4,5889 -4,6508
F3    0,1271 0,1727 0,2258 0,2695 0,2893 0,2758 0,2299 0,1648 0,1041 0,0787 0,1157 0,2214 0,3733 0,5275 0,6357 0,6610 0,5871 0,4204 0,1885 -0,0670 -0,3028 -0,4862 -0,6043 -0,6651 -0,6894 -0,6998 -0,7111 -0,7252 -0,7293 -0,7014 -0,6224 -0,4922 -0,3350 -0,1907 -0,0934 -0,0527 -0,0530 -0,0684 -0,0806 -0,0823 -0,0714 -0,0448 0,0005 0,0653 0,1483 0,2476 0,3638 0,5031 0,6762 0,8955 1,1678 1,4847 1,8154 2,1114 2,3221 2,4086 2,3556 2,1810 1,9318 1,6619 1,4107 1,1961 1,0189 0,8726 0,7514 0,6528 0,5724 0,4974 0,4031 0,2614 0,0560 -0,2119 -0,5333 -0,8967 -1,2853 -1,6763 -2,0423 -2,3505 -2,5704 -2,6865 -2,7047 -2,6513 -2,5664 -2,4970 -2,4843 -2,5487 -2,6829 -2,8590 -3,0400 -3,1907 -3,2868 -3,3188 -3,2886 -3,2077 -3,0945 -2,9717 -2,8626 -2,7839 -2,7373 -2,7107 -2,6925 -2,6805 -2,6783 -2,6892 -2,7161 -2,7613 -2,8254 -2,9085 -3,0065 -3,1073 -3,1955 -3,2671 -3,3354 -3,4249 -3,5587 -3,7460 -3,9744 -4,2159 -4,4404 -4,6285 -4,7742 -4,8800 -4,9489 -4,9829 -4,9833 -4,9496 -4,8821 -4,7906 -4,6924 -4,5985 -4,5081 -4,4157 -4,3150 -4,2011 -4,0715 -3,9259 -3,7638 -3,5867 -3,3998 -3,2068 -3,0037 -2,7846 -2,5506 -2,3090 -2,0691 -1,8410 -1,6362 -1,4636 -1,3262 -1,2224 -1,1473 -1,0942 -1,0592 -1,0476 -1,0706 -1,1326 -1,2204 -1,3042 -1,3478 -1,3196 -1,2068 -1,0211 -0,7927 -0,5597 -0,3567 -0,2040 -0,1043 -0,0432 0,0043 0,0630 0,1455 0,2495 0,3595 0,4524 0,5046 0,4961 0,4154 0,2668 0,0726 -0,1360 -0,3286 -0,4836 -0,5954 -0,6766 -0,7469 -0,8166 -0,8812 -0,9292 -0,9549 -0,9649 -0,9714 -0,9812 -0,9938 -1,0079 -1,0252 -1,0482 -1,0731 -1,0877 -1,0765 -1,0328 -0,9665 -0,9010 -0,8610 -0,8626 -0,9108 -1,0029 -1,1283 -1,2655 -1,3875 -1,4725 -1,5117 -1,5151 -1,5066 -1,5084 -1,5283 -1,5619 -1,6015 -1,6418 -1,6812 -1,7169 -1,7395 -1,7338 -1,6866 -1,5958 -1,4754 -1,3482 -1,2310 -1,1275 -1,0351 -0,9549 -0,8984 -0,8856 -0,9323 -1,0390 -1,1915 -1,3675 -1,5424 -1,7011 -1,8460 -1,9927 -2,1556 -2,3397 -2,5381 -2,7332 -2,9059 -3,0476 -3,1630 -3,2666 -3,3752 -3,4924 -3,6004 -3,6707 -3,6832 -3,6370 -3,5478 -3,4371 -3,3189 -3,1965 -3,0643 -2,9087 -2,7136 -2,4754 -2,2128 -1,9595 -1,7467 -1,5879 -1,4744 -1,3852 -1,3013 -1,2124 -1,1157 -1,0172 -0,9344 -0,8871 -0,8841 -0,9196 -0,9767 -1,0316 -1,0636 -1,0682 -1,0619 -1,0729 -1,1238 -1,2180 -1,3415 -1,4770 -1,6095 -1,7170 -1,7704 -1,7466 -1,6425 -1,4766 -1,2785 -1,0761 -0,8917 -0,7457 -0,6566 -0,6343 -0,6711 -0,7440 -0,8275 -0,9041 -0,9693 -1,0299 -1,0975 -1,1822 -1,2897 -1,4171 -1,5522 -1,6761 -1,7707 -1,8263 -1,8450 -1,8367 -1,8119 -1,7811 -1,7573 -1,7520 -1,7640 -1,7737 -1,7541 -1,6875 -1,5750 -1,4323 -1,2818 -1,1416 -1,0163 -0,8971 -0,7716 -0,6316 -0,4737 -0,2972 -0,1012 0,1133 0,3377 0,5563 0,7525 0,9149 1,0394 1,1252 1,1724 1,1835 1,1665 1,1331 1,0945 1,0591 1,0312 1,0094 0,9876 0,9601 0,9246 0,8797 0,8226 0,7488 0,6554 0,5451 0,4295 0,3271 0,2538 0,2163 0,2106 0,2222 0,2272 0,1984 0,1159 -0,0226 -0,2000 -0,3867 -0,5511 -0,6656 -0,7108 -0,6787 -0,5764 -0,4227 -0,2436 -0,0691 0,0724 0,1659 0,2148 0,2350 0,2482 0,2776 0,3383 0,4289 0,5310 0,6136 0,6478 0,6261 0,5661 0,4946 0,4286 0,3631 0,2725 0,1265 -0,0898 -0,3656 -0,6687 -0,9585 -1,2016 -1,3790 -1,4882 -1,5465 -1,5851 -1,6340 -1,7113 -1,8200 -1,9446 -2,0533 -2,1108 -2,0972 -2,0175 -1,8983 -1,7799 -1,7104 -1,7350 -1,8783 -2,1311 -2,4537 -2,7937 -3,1067 -3,3695 -3,5777 -3,7364 -3,8524 -3,9303 -3,9698 -3,9688 -3,9291 -3,8597 -3,7748 -3,6863 -3,5973 -3,5026 -3,3979 -3,2863 -3,1793 -3,0899 -3,0200 -2,9524 -2,8593 -2,7246 -2,5552 -2,3757 -2,2170 -2,1049 -2,0487 -2,0363 -2,0426 -2,0468 -2,0397 -2,0207 -1,9918 -1,9531 -1,9032 -1,8450 -1,7887 -1,7475 -1,7328 -1,7504 -1,7974 -1,8631 -1,9365 -2,0118 -2,0908 -2,1820 -2,2955 -2,4348 -2,5896 -2,7313 -2,8218 -2,8352 -2,7730 -2,6636 -2,5543 -2,4978 -2,5340 -2,6743 -2,8989 -3,1704 -3,4504 -3,7099 -3,9324 -4,1155 -4,2697 -4,4118 -4,5567 -4,7114 -4,8740 -5,0396 -5,2014 -5,3474 -5,4632 -5,5414 -5,5873 -5,6140 -5,6355 -5,6614 -5,6929 -5,7217 -5,7310 -5,7008 -5,6169 -5,4774 -5,2907 -5,0715 -4,8357 -4,5941 -4,3521 -4,1140 -3,8819 -3,6514 -3,4142 -3,1665 -2,9120 -2,6621 -2,4335 -2,2416 -2,0914 -1,9736 -1,8698 -1,7621 -1,6431 -1,5184 -1,4042 -1,3183 -1,2708 -1,2634 -1,2991 -1,3857 -1,5252 -1,7076 -1,9165 -2,1379 -2,3615 -2,5785 -2,7833 -2,9749 -3,1561 -3,3282 -3,4845 -3,6077 -3,6787 -3,6911 -3,6579 -3,6047 -3,5592 -3,5471 -3,5866 -3,6778 -3,8000 -3,9247 -4,0292 -4,1009 -4,1381 -4,1491 -4,1491 -4,1504 -4,1539 -4,1509 -4,1336 -4,1077 -4,0975 -4,1379 -4,2559 -4,4564 -4,7247 -5,0378 -5,3672 -5,6781 -5,9386 -6,1303 -6,2496 -6,3042 -6,3091 -6,2834 -6,2431 -6,1943 -6,1349 -6,0650 -5,9907 -5,9171 -5,8426 -5,7615 -5,6699 -5,5695 -5,4658 -5,3621 -5,2584 -5,1533 -5,0458 -4,9391 -4,8437 -4,7757 -4,7497 -4,7683 -4,8197 -4,8841 -4,9416 -4,9750 -4,9726
