Fp1   0,1005 -0,1294 -0,5748 -1,0702 -1,4452 -1,6165 -1,6040 -1,4843 -1,3301 -1,1735 -1,0075 -0,8139 -0,5916 -0,3629 -0,1577 0,0119 0,1614 0,3174 0,4893 0,6570 0,7932 0,8866 0,9263 0,8812 0,7187 0,4453 0,1171 -0,1905 -0,4189 -0,5431 -0,5710 -0,5271 -0,4323 -0,2981 -0,1355 0,0398 0,2090 0,3564 0,4794 0,5922 0,7167 0,8656 1,0283 1,1669 1,2261 1,1576 0,9500 0,6490 0,3542 0,1811 0,2004 0,3961 0,6808 0,9516 1,1430 1,2367 1,2352 1,1449 0,9989 0,8678 0,8149 0,8449 0,9032 0,9178 0,8420 0,6641 0,3841 0,0006 -0,4698 -0,9729 -1,4231 -1,7268 -1,8220 -1,7147 -1,4741 -1,1929 -0,9553 -0,8137 -0,7753 -0,8147 -0,9026 -1,0147 -1,1210 -1,1774 -1,1424 -1,0168 -0,8609 -0,7607 -0,7763 -0,9155 -1,1372 -1,3798 -1,5939 -1,7595 -1,8844 -1,9930 -2,1087 -2,2481 -2,4198 -2,6193 -2,8312 -3,0354 -3,2084 -3,3338 -3,4202 -3,4975 -3,5901 -3,7022 -3,8328 -3,9876 -4,1666 -4,3485 -4,4941 -4,5679 -4,5563 -4,4627 -4,2874 -4,0284 -3,7070 -3,3815 -3,1271 -2,9933 -2,9727 -3,0100 -3,0523 -3,0894 -3,1533 -3,2907 -3,5202 -3,7947 -4,0159 -4,0994 -4,0208 -3,8116 -3,5246 -3,2054 -2,8883 -2,5964 -2,3296 -2,0675 -1,7930 -1,5121 -1,2541 -1,0648 -0,9872 -1,0275 -1,1282 -1,1840 -1,0934 -0,8089 -0,3557 0,1846 0,7135 1,1549 1,4724 1,6662 1,7568 1,7691 1,7329 1,6898 1,6814 1,7211 1,7838 1,8325 1,8595 1,8886 1,9338 1,9788 2,0118 2,0626 2,1877 2,4247 2,7679 3,1733 3,5703 3,8762 4,0249 3,9954 3,8208 3,5741 3,3458 3,2221 3,2640 3,4833 3,8221 4,1791 4,4750 4,6864 4,8247 4,8995 4,9063 4,8541 4,7911 4,7826 4,8557 4,9748 5,0739 5,0993 5,0239 4,8384 4,5354 4,1011 3,5307 2,8471 2,0961 1,3419 0,6658 0,1481 -0,1517 -0,2034 -0,0263 0,2925 0,6248 0,8670 0,9844 1,0044 0,9758 0,9259 0,8448 0,7044 0,4932 0,2265 -0,0738 -0,3959 -0,7366 -1,0911 -1,4425 -1,7546 -1,9752 -2,0498 -1,9401 -1,6444 -1,2104 -0,7249 -0,2695 0,1309 0,5094 0,9037 1,3086 1,6755 1,9425 2,0682 2,0543 1,9374 1,7598 1,5601 1,3868 1,3007 1,3596 1,6008 2,0177 2,5396 3,0442 3,4131 3,5984 3,6373 3,5990 3,5155 3,3606 3,0909 2,7047 2,2523 1,7964 1,3817 1,0381 0,7879 0,6449 0,6234 0,7433 1,0061 1,3643 1,7314 2,0285 2,2178 2,2990 2,2868 2,1951 2,0449 1,8783 1,7457 1,6729 1,6465 1,6320 1,6014 1,5387 1,4350 1,2942 1,1422 1,0162 0,9404 0,9116 0,9119 0,9353 0,9884 1,0763 1,2028 1,3742 1,5794 1,7751 1,9163 1,9961 2,0441 2,0879 2,1152 2,0688 1,8822 1,5337 1,0772 0,6184 0,2523 0,0212 -0,0835 -0,1034 -0,0916 -0,0877 -0,1046 -0,1463 -0,2272 -0,3608 -0,5292 -0,6867 -0,8006 -0,8707 -0,9017 -0,8721 -0,7455 -0,5089 -0,1922 0,1513 0,4720 0,7370 0,9339 1,0741 1,1862 1,3038 1,4562 1,6653 1,9431 2,2868 2,6734 3,0649 3,4188 3,6891 3,8287 3,8071 3,6279 3,3402 3,0329 2,7995 2,6888 2,6731 2,6637 2,5700 2,3608 2,0824 1,8333 1,7132 1,7639 1,9399 2,1247 2,1750 1,9787 1,5050 0,8174 0,0483 -0,6427 -1,1117 -1,2645 -1,0744 -0,5816 0,1255 0,9321 1,7162 2,3780 2,8631 3,1500 3,2221 3,0666 2,6997 2,1799 1,5892 1,0060 0,5041 0,1549 0,0088 0,0895 0,4115 0,9793 1,7534 2,6280 3,4596 4,1178 4,5152 4,6167 4,4440 4,0651 3,5733 3,0730 2,6665 2,4192 2,3371 2,3808 2,4944 2,6306 2,7709 2,9328 3,1548 3,4597 3,8241 4,1801 4,4388 4,5220 4,3910 4,0610 3,6038 3,1375 2,7922 2,6610 2,7695 3,0765 3,4956 3,9333 4,3106 4,5496 4,5801 4,3867 4,0330 3,6223 3,2299 2,8747 2,5443 2,2384 1,9884 1,8405 1,8234 1,9289 2,1194 2,3471 2,5786 2,8062 3,0348 3,2601 3,4563 3,5825 3,6070 3,5289 3,3783 3,2069 3,0673 2,9837 2,9467 2,9380 2,9598 3,0374 3,1971 3,4414 3,7439 4,0694 4,3945 4,7012 4,9592 5,1255 5,1595 5,0400 4,7704 4,3735 3,8852 3,3440 2,7895 2,2698 1,8433 1,5672 1,4696 1,5195 1,6347 1,7216 1,6997 1,5050 1,1068 0,5277 -0,1486 -0,7879 -1,2464 -1,4293 -1,3283 -1,0159 -0,6002 -0,1619 0,2775 0,7321 1,2032 1,6543 2,0274 2,2838 2,4329 2,5218 2,5987 2,6831 2,7658 2,8261 2,8494 2,8382 2,8047 2,7383 2,5880 2,2925 1,8249 1,2055 0,4893 -0,2396 -0,8736 -1,3167 -1,5353 -1,5657 -1,4673 -1,2774 -1,0065 -0,6493 -0,1916 0,3707 1,0017 1,6224 2,1494 2,5402 2,8094 3,0135 3,2192 3,4673 3,7484 4,0091 4,1871 4,2467 4,1925 4,0618 3,9090 3,7885 3,7361 3,7556 3,8215 3,9057 3,9999 4,1076 4,2269 4,3528 4,4910 4,6531 4,8292 4,9725 5,0201 4,9319 4,7182 4,4289 4,1158 3,8107 3,5348 3,3070 3,1374 3,0296 2,9906 3,0285 3,1470 3,3423 3,5918 3,8475 4,0533 4,1562 4,1038 3,8589 3,4374 2,9273 2,4587 2,1435 2,0289 2,0866 2,2270 2,3374 2,3362 2,2055 1,9808 1,7169 1,4602 1,2388 1,0708 0,9721 0,9497 0,9946 1,0854 1,1969 1,3165 1,4560 1,6384 1,8739 2,1448 2,4063 2,5936 2,6360 2,4938 2,2008 1,8555 1,5633
Fz    -1,3985 -1,3831 -1,4983 -1,6733 -1,8323 -1,9240 -1,9348 -1,8780 -1,7759 -1,6548 -1,5416 -1,4521 -1,3842 -1,3258 -1,2622 -1,1772 -1,0597 -0,9141 -0,7587 -0,6091 -0,4650 -0,3196 -0,1816 -0,0768 -0,0284 -0,0431 -0,1115 -0,2116 -0,3088 -0,3639 -0,3491 -0,2545 -0,0831 0,1531 0,4355 0,7458 1,0694 1,3928 1,6961 1,9505 2,1306 2,2355 2,2959 2,3522 2,4270 2,5118 2,5704 2,5571 2,4478 2,2629 2,0575 1,8828 1,7544 1,6564 1,5677 1,4845 1,4156 1,3619 1,3106 1,2526 1,1953 1,1517 1,1200 1,0795 1,0057 0,8895 0,7437 0,5936 0,4601 0,3566 0,2951 0,2844 0,3237 0,4056 0,5228 0,6658 0,8185 0,9574 1,0602 1,1149 1,1176 1,0676 0,9779 0,8834 0,8268 0,8298 0,8794 0,9365 0,9601 0,9294 0,8493 0,7388 0,6175 0,4965 0,3772 0,2552 0,1212 -0,0447 -0,2713 -0,5837 -0,9866 -1,4523 -1,9217 -2,3213 -2,5898 -2,7036 -2,6874 -2,6065 -2,5387 -2,5418 -2,6349 -2,7986 -2,9942 -3,1896 -3,3673 -3,5126 -3,6049 -3,6193 -3,5390 -3,3738 -3,1590 -2,9364 -2,7417 -2,6076 -2,5613 -2,6093 -2,7256 -2,8568 -2,9398 -2,9216 -2,7755 -2,5102 -2,1652 -1,7936 -1,4459 -1,1534 -0,9142 -0,6993 -0,4730 -0,2103 0,1008 0,4584 0,8445 1,2272 1,5721 1,8573 2,0804 2,2545 2,4012 2,5405 2,6802 2,8123 2,9192 2,9877 3,0200 3,0316 3,0364 3,0356 3,0289 3,0344 3,0838 3,1955 3,3562 3,5308 3,6916 3,8332 3,9572 4,0526 4,0981 4,0822 4,0175 3,9385 3,8883 3,9043 4,0036 4,1681 4,3484 4,4965 4,5968 4,6686 4,7481 4,8716 5,0601 5,3020 5,5512 5,7490 5,8550 5,8595 5,7754 5,6206 5,4058 5,1442 4,8721 4,6454 4,5051 4,4502 4,4409 4,4192 4,3267 4,1208 3,7896 3,3547 2,8581 2,3427 1,8408 1,3760 0,9672 0,6238 0,3438 0,1214 -0,0485 -0,1794 -0,2990 -0,4359 -0,5907 -0,7236 -0,7781 -0,7277 -0,6047 -0,4834 -0,4332 -0,4844 -0,6283 -0,8377 -1,0815 -1,3257 -1,5312 -1,6569 -1,6665 -1,5383 -1,2741 -0,9034 -0,4802 -0,0699 0,2677 0,4920 0,5916 0,5906 0,5340 0,4582 0,3699 0,2566 0,1139 -0,0410 -0,1810 -0,2834 -0,3320 -0,3165 -0,2353 -0,0966 0,0819 0,2749 0,4548 0,6036 0,7230 0,8287 0,9280 1,0036 1,0237 0,9712 0,8604 0,7266 0,6008 0,4951 0,4073 0,3304 0,2587 0,1932 0,1457 0,1309 0,1492 0,1736 0,1578 0,0617 -0,1224 -0,3655 -0,6191 -0,8417 -1,0126 -1,1281 -1,1900 -1,2023 -1,1729 -1,1160 -1,0541 -1,0156 -1,0225 -1,0774 -1,1625 -1,2490 -1,3083 -1,3200 -1,2807 -1,2115 -1,1512 -1,1334 -1,1750 -1,2797 -1,4386 -1,6239 -1,7923 -1,9030 -1,9370 -1,9016 -1,8173 -1,7039 -1,5777 -1,4502 -1,3230 -1,1929 -1,0648 -0,9576 -0,8941 -0,8853 -0,9173 -0,9546 -0,9629 -0,9354 -0,8964 -0,8832 -0,9238 -1,0260 -1,1787 -1,3540 -1,5102 -1,6038 -1,6084 -1,5202 -1,3485 -1,1047 -0,7988 -0,4423 -0,0537 0,3404 0,7141 1,0529 1,3538 1,6217 1,8598 2,0598 2,1974 2,2427 2,1761 2,0005 1,7461 1,4707 1,2472 1,1363 1,1606 1,3006 1,5060 1,7139 1,8723 1,9626 2,0050 2,0456 2,1312 2,2813 2,4733 2,6508 2,7481 2,7219 2,5729 2,3477 2,1243 1,9836 1,9760 2,1050 2,3383 2,6213 2,8788 3,0309 3,0248 2,8573 2,5707 2,2307 1,8989 1,6182 1,4097 1,2724 1,1869 1,1257 1,0680 1,0076 0,9530 0,9271 0,9666 1,1093 1,3703 1,7316 2,1544 2,5990 3,0344 3,4373 3,7885 4,0710 4,2728 4,3948 4,4513 4,4572 4,4120 4,2977 4,0950 3,8064 3,4610 3,0970 2,7500 2,4546 2,2403 2,1214 2,0957 2,1487 2,2510 2,3606 2,4430 2,4964 2,5558 2,6639 2,8282 3,0050 3,1168 3,0832 2,8549 2,4390 1,9058 1,3722 0,9619 0,7549 0,7505 0,8781 1,0518 1,2199 1,3729 1,5233 1,6785 1,8290 1,9531 2,0281 2,0368 1,9724 1,8483 1,7031 1,5841 1,5185 1,4982 1,4954 1,4944 1,5042 1,5377 1,5912 1,6530 1,7256 1,8341 2,0096 2,2689 2,6108 3,0202 3,4639 3,8903 4,2411 4,4694 4,5498 4,4798 4,2802 3,9957 3,6895 3,4232 3,2313 3,1122 3,0370 2,9642 2,8511 2,6634 2,3878 2,0395 1,6539 1,2716 0,9273 0,6421 0,4149 0,2204 0,0198 -0,2081 -0,4356 -0,5909 -0,6063 -0,4667 -0,2121 0,0953 0,3994 0,6523 0,8128 0,8558 0,7862 0,6425 0,4837 0,3612 0,2930 0,2621 0,2348 0,1836 0,0988 -0,0166 -0,1544 -0,2995 -0,4291 -0,5192 -0,5488 -0,4947 -0,3343 -0,0589 0,3081 0,7104 1,0833 1,3826 1,5913 1,7118 1,7641 1,7887 1,8378 1,9493 2,1257 2,3416 2,5681 2,7893 3,0070 3,2370 3,4935 3,7730 4,0546 4,3122 4,5264 4,6920 4,8217 4,9416 5,0707 5,1999 5,2992 5,3413 5,3174 5,2307 5,0811 4,8638 4,5911 4,3025 4,0474 3,8559 3,7216 3,5964 3,4102 3,1186 2,7377 2,3279 1,9498 1,6363 1,3862 1,1721 0,9624 0,7419 0,5127 0,2832 0,0673 -0,1082 -0,2039 -0,1915 -0,0872 0,0383 0,0833 -0,0458 -0,3955 -0,9406 -1,5927 -2,2406 -2,7918 -3,1932 -3,4305 -3,5129 -3,4617 -3,3145 -3,1260 -2,9529 -2,8351 -2,7844 -2,7803 -2,7824 -2,7536 -2,6724 -2,5306 -2,3333 -2,1028 -1,8819 -1,7239 -1,6690 -1,7283 -1,8873 -2,1146 -2,3669 -2,5960 -2,7657 -2,8654
F3    -3,1674 -2,8298 -2,4670 -2,0971 -1,7534 -1,4678 -1,2568 -1,1192 -1,0423 -1,0073 -0,9841 -0,9357 -0,8447 -0,7274 -0,6175 -0,5419 -0,5136 -0,5392 -0,6203 -0,7413 -0,8674 -0,9596 -0,9829 -0,9062 -0,7113 -0,4107 -0,0574 0,2704 0,5014 0,5998 0,5769 0,4910 0,4285 0,4678 0,6448 0,9423 1,3055 1,6677 1,9612 2,1251 2,1284 1,9933 1,7920 1,6181 1,5449 1,5944 1,7297 1,8743 1,9569 1,9548 1,8915 1,8057 1,7311 1,6908 1,6957 1,7409 1,7974 1,8088 1,7122 1,4823 1,1578 0,8188 0,5443 0,3831 0,3378 0,3698 0,4363 0,5320 0,6851 0,9139 1,1922 1,4501 1,6126 1,6547 1,6166 1,5618 1,5272 1,5096 1,4851 1,4281 1,3160 1,1386 0,9144 0,6907 0,5234 0,4500 0,4724 0,5563 0,6416 0,6606 0,5612 0,3320 0,0139 -0,3141 -0,5646 -0,6751 -0,6332 -0,4831 -0,3117 -0,2179 -0,2695 -0,4689 -0,7571 -1,0591 -1,3276 -1,5549 -1,7613 -1,9727 -2,1983 -2,4262 -2,6330 -2,7846 -2,8365 -2,7533 -2,5346 -2,2290 -1,9213 -1,6928 -1,5825 -1,5818 -1,6523 -1,7414 -1,7954 -1,7757 -1,6757 -1,5262 -1,3798 -1,2774 -1,2262 -1,2025 -1,1703 -1,1008 -0,9791 -0,8028 -0,5877 -0,3679 -0,1729 -0,0112 0,1192 0,2275 0,3504 0,5550 0,9022 1,4122 2,0577 2,7726 3,4660 4,0552 4,5068 4,8481 5,1317 5,3774 5,5429 5,5541 5,3692 5,0162 4,5728 4,1217 3,7291 3,4424 3,2871 3,2627 3,3481 3,5150 3,7392 4,0025 4,2851 4,5604 4,7989 4,9741 5,0735 5,1090 5,1128 5,1079 5,0813 4,9979 4,8498 4,6857 4,5851 4,6045 4,7434 4,9602 5,2127 5,4769 5,7359 5,9630 6,1209 6,1756 6,1186 5,9727 5,7776 5,5774 5,4116 5,2971 5,2146 5,1165 4,9497 4,6835 4,3314 3,9531 3,6266 3,4031 3,2794 3,2162 3,1680 3,0883 2,9259 2,6412 2,2311 1,7356 1,2141 0,7155 0,2667 -0,1217 -0,4452 -0,6986 -0,8687 -0,9379 -0,8973 -0,7600 -0,5643 -0,3583 -0,1728 -0,0072 0,1626 0,3677 0,6345 0,9760 1,3799 1,8041 2,1919 2,4928 2,6749 2,7329 2,6890 2,5824 2,4549 2,3439 2,2734 2,2361 2,1876 2,0760 1,8843 1,6488 1,4388 1,3199 1,3257 1,4461 1,6326 1,8264 1,9913 2,1185 2,2047 2,2409 2,2221 2,1510 2,0317 1,8698 1,6851 1,5277 1,4749 1,5964 1,9098 2,3685 2,8886 3,3810 3,7628 3,9564 3,8942 3,5387 2,9170 2,1304 1,3177 0,6033 0,0703 -0,2397 -0,3265 -0,2447 -0,0960 0,0279 0,1017 0,1614 0,2527 0,3948 0,5843 0,8119 1,0648 1,3236 1,5656 1,7702 1,9186 1,9917 1,9666 1,8264 1,5851 1,2869 0,9699 0,6441 0,3102 -0,0188 -0,3239 -0,5931 -0,8187 -0,9878 -1,0770 -1,0577 -0,9149 -0,6643 -0,3355 0,0547 0,4966 0,9592 1,3828 1,6994 1,8553 1,8336 1,6715 1,4514 1,2684 1,1941 1,2545 1,4336 1,6891 1,9561 2,1484 2,1927 2,0716 1,8245 1,5103 1,1855 0,9088 0,7369 0,6996 0,7923 0,9941 1,2823 1,6269 1,9851 2,3083 2,5519 2,6832 2,6884 2,5746 2,3652 2,0962 1,8249 1,6231 1,5417 1,5830 1,7208 1,9369 2,2226 2,5492 2,8611 3,1097 3,2806 3,3857 3,4480 3,4940 3,5425 3,5928 3,6294 3,6358 3,6068 3,5527 3,4847 3,3831 3,1946 2,8759 2,4234 1,8598 1,2177 0,5388 -0,1294 -0,7404 -1,2477 -1,6001 -1,7494 -1,6636 -1,3351 -0,7950 -0,1222 0,5741 1,1857 1,6362 1,8982 1,9994 2,0081 1,9930 1,9835 1,9677 1,9274 1,8707 1,8337 1,8575 1,9661 2,1604 2,4150 2,6747 2,8636 2,9140 2,7936 2,5157 2,1293 1,6921 1,2452 0,8167 0,4444 0,1803 0,0645 0,1002 0,2469 0,4315 0,5748 0,6311 0,6174 0,6054 0,6708 0,8355 1,0580 1,2613 1,3597 1,2877 1,0401 0,6820 0,3133 0,0245 -0,1292 -0,1408 -0,0474 0,0959 0,2493 0,4009 0,5472 0,6664 0,7223 0,6901 0,5710 0,3857 0,1638 -0,0569 -0,2306 -0,3127 -0,2758 -0,1199 0,1299 0,4407 0,7878 1,1497 1,4972 1,8047 2,0637 2,2736 2,4234 2,4964 2,4923 2,4309 2,3292 2,1840 1,9852 1,7415 1,4902 1,2801 1,1417 1,0740 1,0563 1,0692 1,1020 1,1496 1,2086 1,2744 1,3354 1,3657 1,3336 1,2269 1,0720 0,9179 0,7953 0,6993 0,6048 0,4774 0,2751 -0,0270 -0,4074 -0,8025 -1,1389 -1,3614 -1,4457 -1,4021 -1,2718 -1,1105 -0,9613 -0,8399 -0,7399 -0,6435 -0,5254 -0,3603 -0,1384 0,1188 0,3512 0,4708 0,4004 0,1244 -0,2939 -0,7475 -1,1402 -1,4130 -1,5339 -1,4775 -1,2194 -0,7591 -0,1505 0,5028 1,0944 1,5593 1,8779 2,0629 2,1509 2,1943 2,2460 2,3480 2,5386 2,8610 3,3353 3,9172 4,5073 5,0065 5,3482 5,4897 5,3997 5,0771 4,5740 3,9863 3,4283 3,0197 2,8528 2,9420 3,2151 3,5617 3,8799 4,0884 4,1285 3,9820 3,6950 3,3708 3,1264 3,0360 3,0868 3,1828 3,2047 3,0846 2,8375 2,5362 2,2528 2,0168 1,8158 1,6203 1,4071 1,1655 0,8861 0,5596 0,1980 -0,1524 -0,4323 -0,6067 -0,6913 -0,7462 -0,8339 -0,9779 -1,1533 -1,3086 -1,4024 -1,4348 -1,4497 -1,5050 -1,6308 -1,8066 -1,9749 -2,0825 -2,1195 -2,1276 -2,1744 -2,3166 -2,5704 -2,9066 -3,2708 -3,6017 -3,8440 -3,9660 -3,9735 -3,9007 -3,7855 -3,6501 -3,4992 -3,3248 -3,1085 -2,8317 -2,4959 -2,1317 -1,7832
F7    -0,8462 -0,9442 -1,1855 -1,4694 -1,6875 -1,7722 -1,7179 -1,5653 -1,3708 -1,1793 -1,0116 -0,8680 -0,7398 -0,6166 -0,4885 -0,3468 -0,1836 0,0077 0,2253 0,4536 0,6695 0,8483 0,9576 0,9560 0,8118 0,5292 0,1556 -0,2329 -0,5588 -0,7679 -0,8402 -0,7824 -0,6162 -0,3726 -0,0892 0,1924 0,4373 0,6312 0,7856 0,9256 1,0727 1,2364 1,4100 1,5667 1,6658 1,6714 1,5719 1,3849 1,1527 0,9343 0,7842 0,7256 0,7405 0,7839 0,8091 0,7872 0,7135 0,6055 0,5014 0,4503 0,4843 0,5933 0,7275 0,8228 0,8302 0,7318 0,5363 0,2665 -0,0468 -0,3618 -0,6247 -0,7806 -0,7935 -0,6612 -0,4153 -0,1066 0,2084 0,4752 0,6486 0,7049 0,6512 0,5245 0,3820 0,2805 0,2538 0,2975 0,3720 0,4212 0,3991 0,2903 0,1118 -0,1041 -0,3273 -0,5374 -0,7235 -0,8816 -1,0145 -1,1328 -1,2456 -1,3503 -1,4331 -1,4818 -1,4944 -1,4802 -1,4547 -1,4341 -1,4350 -1,4759 -1,5732 -1,7314 -1,9358 -2,1537 -2,3449 -2,4770 -2,5359 -2,5254 -2,4597 -2,3577 -2,2424 -2,1409 -2,0740 -2,0425 -2,0271 -2,0034 -1,9605 -1,9065 -1,8622 -1,8486 -1,8683 -1,8930 -1,8778 -1,7918 -1,6325 -1,4168 -1,1656 -0,8909 -0,5911 -0,2585 0,1084 0,4947 0,8690 1,1924 1,4320 1,5729 1,6246 1,6219 1,6171 1,6566 1,7563 1,9025 2,0738 2,2552 2,4364 2,6098 2,7709 2,9145 3,0312 3,1115 3,1527 3,1613 3,1488 3,1233 3,0838 3,0277 2,9673 2,9299 2,9376 2,9899 3,0733 3,1766 3,2913 3,4079 3,5197 3,6262 3,7284 3,8196 3,8848 3,9110 3,8992 3,8721 3,8716 3,9418 4,1042 4,3370 4,5786 4,7594 4,8396 4,8163 4,7050 4,5216 4,2806 4,0077 3,7519 3,5696 3,4892 3,4914 3,5242 3,5307 3,4674 3,3064 3,0344 2,6543 2,1897 1,6804 1,1666 0,6851 0,2763 -0,0185 -0,1721 -0,1815 -0,0717 0,1093 0,3015 0,4539 0,5411 0,5683 0,5595 0,5315 0,4745 0,3642 0,1937 -0,0097 -0,2017 -0,3521 -0,4585 -0,5346 -0,5936 -0,6393 -0,6619 -0,6401 -0,5534 -0,3963 -0,1861 0,0433 0,2618 0,4624 0,6587 0,8603 1,0521 1,2032 1,2920 1,3171 1,2928 1,2363 1,1597 1,0695 0,9738 0,8933 0,8653 0,9273 1,0882 1,3101 1,5242 1,6705 1,7334 1,7438 1,7485 1,7742 1,8144 1,8437 1,8424 1,8069 1,7382 1,6317 1,4801 1,2817 1,0453 0,7989 0,5936 0,4864 0,5071 0,6380 0,8259 1,0144 1,1683 1,2712 1,3161 1,3095 1,2737 1,2300 1,1820 1,1199 1,0360 0,9305 0,8033 0,6520 0,4835 0,3195 0,1810 0,0724 -0,0146 -0,0862 -0,1408 -0,1739 -0,1814 -0,1590 -0,1076 -0,0411 0,0162 0,0467 0,0547 0,0606 0,0843 0,1309 0,1919 0,2576 0,3296 0,4272 0,5744 0,7687 0,9634 1,0898 1,0992 0,9891 0,8039 0,6113 0,4636 0,3639 0,2709 0,1353 -0,0663 -0,3230 -0,5987 -0,8425 -0,9961 -1,0101 -0,8675 -0,5917 -0,2328 0,1517 0,5151 0,8320 1,0970 1,3167 1,5041 1,6716 1,8268 1,9732 2,1093 2,2225 2,2914 2,2950 2,2223 2,0792 1,8913 1,6958 1,5325 1,4403 1,4483 1,5606 1,7468 1,9499 2,1111 2,1975 2,2101 2,1780 2,1434 2,1371 2,1579 2,1736 2,1377 2,0118 1,7849 1,4839 1,1682 0,9053 0,7400 0,6779 0,6965 0,7672 0,8696 0,9909 1,1207 1,2480 1,3681 1,4808 1,5744 1,6196 1,5876 1,4702 1,2777 1,0305 0,7653 0,5385 0,4076 0,4101 0,5572 0,8353 1,2020 1,5899 1,9272 2,1601 2,2651 2,2509 2,1511 2,0085 1,8607 1,7373 1,6678 1,6808 1,7925 1,9892 2,2259 2,4478 2,6202 2,7391 2,8223 2,8892 2,9394 2,9495 2,8934 2,7650 2,5788 2,3552 2,1168 1,8973 1,7443 1,6989 1,7702 1,9277 2,1194 2,2951 2,4148 2,4441 2,3596 2,1691 1,9159 1,6547 1,4187 1,2088 1,0134 0,8289 0,6639 0,5296 0,4334 0,3797 0,3714 0,4102 0,4966 0,6308 0,8095 1,0217 1,2488 1,4674 1,6548 1,7977 1,8992 1,9747 2,0354 2,0745 2,0738 2,0235 1,9386 1,8605 1,8431 1,9266 2,1175 2,3899 2,7048 3,0234 3,3073 3,5162 3,6186 3,6085 3,5095 3,3600 3,1916 3,0153 2,8234 2,6026 2,3497 2,0837 1,8408 1,6567 1,5499 1,5126 1,5076 1,4804 1,3849 1,2045 0,9577 0,6901 0,4559 0,2976 0,2333 0,2520 0,3190 0,3910 0,4350 0,4384 0,4051 0,3436 0,2612 0,1653 0,0697 -0,0022 -0,0237 0,0237 0,1468 0,3436 0,6055 0,9098 1,2133 1,4592 1,6010 1,6246 1,5510 1,4181 1,2637 1,1254 1,0390 1,0220 1,0618 1,1314 1,2165 1,3238 1,4719 1,6794 1,9538 2,2835 2,6369 2,9747 3,2672 3,5063 3,7021 3,8730 4,0334 4,1791 4,2836 4,3129 4,2491 4,1067 3,9255 3,7463 3,5941 3,4798 3,4070 3,3744 3,3728 3,3916 3,4249 3,4656 3,4987 3,5094 3,4995 3,4858 3,4779 3,4591 3,3887 3,2256 2,9563 2,6052 2,2201 1,8547 1,5546 1,3433 1,2138 1,1392 1,0936 1,0643 1,0526 1,0668 1,1125 1,1844 1,2631 1,3125 1,2872 1,1475 0,8778 0,4986 0,0689 -0,3319 -0,6376 -0,8226 -0,9081 -0,9499 -1,0099 -1,1253 -1,2966 -1,4960 -1,6828 -1,8199 -1,8816 -1,8548 -1,7391 -1,5478 -1,3066 -1,0527 -0,8246 -0,6500 -0,5395 -0,4865 -0,4767 -0,5016 -0,5646 -0,6713 -0,8123 -0,9552 -1,0614 -1,1174
