Fp1   -0,4117 -0,5044 -0,4767 -0,3170 -0,0443 0,2994 0,6577 0,9688 1,1753 1,2305 1,1094 0,8283 0,4558 0,0921 -0,1803 -0,3281 -0,3584 -0,2976 -0,1797 -0,0326 0,1314 0,3073 0,4847 0,6504 0,7965 0,9156 1,0007 1,0475 1,0421 0,9527 0,7475 0,4222 0,0131 -0,4186 -0,8163 -1,1421 -1,3735 -1,5036 -1,5405 -1,4935 -1,3634 -1,1584 -0,9101 -0,6591 -0,4307 -0,2280 -0,0393 0,1453 0,3127 0,4209 0,4227 0,2992 0,0762 -0,1851 -0,4232 -0,6082 -0,7353 -0,7988 -0,7881 -0,7023 -0,5585 -0,3927 -0,2511 -0,1660 -0,1289 -0,0902 0,0086 0,1939 0,4415 0,6843 0,8379 0,8401 0,6819 0,4054 0,0841 -0,1999 -0,3864 -0,4650 -0,4741 -0,4714 -0,5015 -0,5770 -0,6751 -0,7581 -0,8093 -0,8418 -0,8707 -0,8915 -0,8810 -0,8113 -0,6646 -0,4457 -0,1883 0,0515 0,2119 0,2373 0,0929 -0,2140 -0,6250 -1,0487 -1,3970 -1,6211 -1,7278 -1,7631 -1,7655 -1,7395 -1,6762 -1,5832 -1,4805 -1,3828 -1,2931 -1,2034 -1,1082 -1,0229 -0,9814 -1,0119 -1,1097 -1,2289 -1,3025 -1,2733 -1,1139 -0,8341 -0,4751 -0,0813 0,3284 0,7630 1,2413 1,7709 2,3431 2,9471 3,5789 4,2278 4,8696 5,4752 6,0202 6,4877 6,8668 7,1520 7,3500 7,4798 7,5521 7,5504 7,4429 7,2197 6,9240 6,6560 6,5382 6,6589 7,0288 7,5850 8,2348 8,8976 9,5114 10,0170 10,3590 10,5088 10,4791 10,3142 10,0698 9,7974 9,5399 9,3362 9,2222 9,2132 9,2851 9,3767 9,4164 9,3472 9,1332 8,7594 8,2447 7,6506 7,0627 6,5591 6,1927 5,9887 5,9449 6,0294 6,1804 6,3176 6,3707 6,3060 6,1286 5,8616 5,5361 5,1986 4,9106 4,7287 4,6809 4,7544 4,8926 5,0151 5,0588 5,0079 4,8932 4,7617 4,6420 4,5381 4,4457 4,3629 4,2904 4,2323 4,1984 4,1988 4,2375 4,3162 4,4418 4,6198 4,8424 5,0836 5,3067 5,4768 5,5776 5,6199 5,6350 5,6561 5,7021 5,7687 5,8279 5,8496 5,8278 5,7819 5,7411 5,7354 5,7930 5,9335 6,1619 6,4630 6,7881 7,0567 7,1943 7,1719 7,0080 6,7486 6,4534 6,1833 5,9795 5,8453 5,7521 5,6652 5,5669 5,4630 5,3763 5,3357 5,3675 5,4867 5,6873 5,9353 6,1741 6,3476 6,4299 6,4380 6,4163 6,4047 6,4154 6,4302 6,4165 6,3524 6,2361 6,0810 5,9057 5,7262 5,5570 5,4191 5,3392 5,3328 5,3896 5,4775 5,5604 5,6169 5,6474 5,6671 5,6959 5,7484 5,8247 5,9144 6,0094 6,1039 6,1877 6,2534 6,3063 6,3556 6,3953 6,4059 6,3725 6,2954 6,1889 6,0728 5,9690 5,9024 5,8936 5,9471 6,0468 6,1679 6,2994 6,4416 6,5773 6,6610 6,6458 6,5174 6,3033 6,0542 5,8203 5,6380 5,5178 5,4360 5,3544 5,2559 5,1551 5,0723 5,0159 4,9956 5,0292 5,1294 5,2970 5,5256 5,8029 6,1061 6,3936 6,6080 6,7050 6,6862 6,6038 6,5260 6,4913 6,4912 6,4976 6,5055 6,5462 6,6611 6,8676 7,1511 7,4802 7,8230 8,1486 8,4184 8,5790 8,5783 8,3943 8,0472 7,5887 7,0886 6,6193 6,2308 5,9330 5,7007 5,4969 5,3017 5,1221 4,9838 4,9133 4,9150 4,9683 5,0571 5,1909 5,3855 5,6316 5,8925 6,1212 6,2796 6,3494 6,3298 6,2219 6,0253 5,7522 5,4399 5,1398 4,8901 4,7087 4,6054 4,5780 4,5904 4,5666 4,4310 4,1708 3,8555 3,5918 3,4639 3,5013 3,6752 3,9160 4,1317 4,2303 4,1518 3,8930 3,5080 3,0886 2,7264 2,4772 2,3504 2,3235 2,3597 2,4224 2,4801 2,5068 2,4847 2,4155 2,3272 2,2704 2,3000 2,4531 2,7349 3,1085 3,4889 3,7688 3,8743 3,8026 3,6107 3,3762 3,1595 2,9869 2,8612 2,7824 2,7616 2,8119 2,9270 3,0836 3,2633 3,4586 3,6566 3,8360 3,9845 4,1050 4,1984 4,2515 4,2412 4,1435 3,9471 3,6649 3,3294 2,9752 2,6281 2,3109 2,0443 1,8360 1,6811 1,5761 1,5257 1,5336 1,5925 1,6912 1,8346 2,0444 2,3288 2,6576 2,9745 3,2293 3,4033 3,5148 3,6016 3,6942 3,8044 3,9148 3,9701 3,9098 3,7238 3,4532 3,1426 2,8130 2,4752 2,1466 1,8537 1,6263 1,4896 1,4543 1,5088 1,6226 1,7610 1,8978 2,0074 2,0518 1,9855 1,7760 1,4285 1,0003 0,5765 0,2177 -0,0630 -0,2757 -0,4301 -0,5340 -0,5969 -0,6285 -0,6408 -0,6555 -0,7006 -0,7873 -0,8945 -0,9842 -1,0253 -1,0052 -0,9326 -0,8373 -0,7513 -0,6916 -0,6686 -0,6977 -0,7863 -0,9163 -1,0589 -1,1979 -1,3325 -1,4654 -1,6037 -1,7690 -1,9905 -2,2752 -2,5811 -2,8329 -2,9744 -3,0044 -2,9604 -2,8761 -2,7665 -2,6450 -2,5309 -2,4413 -2,3795 -2,3287 -2,2543 -2,1275 -1,9544 -1,7710 -1,6140 -1,4998 -1,4232 -1,3682 -1,3226 -1,2890 -1,2831 -1,3232 -1,4172 -1,5566 -1,7163 -1,8555 -1,9310 -1,9250 -1,8668 -1,8218 -1,8516 -1,9807 -2,1932 -2,4517 -2,7247 -3,0067 -3,3086 -3,6340 -3,9692 -4,2850 -4,5427 -4,7092 -4,7740 -4,7497 -4,6572 -4,5219 -4,3769 -4,2573 -4,1921 -4,1989 -4,2776 -4,4060 -4,5503 -4,6835 -4,7950 -4,8963 -5,0180 -5,1874 -5,4022 -5,6249 -5,8005 -5,8832 -5,8563 -5,7385 -5,5720 -5,4059 -5,2829 -5,2201 -5,1963 -5,1721 -5,1262 -5,0637 -4,9992 -4,9458 -4,9105 -4,8956 -4,8993 -4,9101 -4,9077 -4,8760 -4,8100 -4,7083 -4,5688 -4,3946 -4,1867 -3,9362 -3,6411 -3,3272 -3,0376 -2,8035 -2,6358
Fz    0,7906 0,6308 0,5309 0,5095 0,5761 0,7187 0,9004 1,0751 1,2098 1,2831 1,2711 1,1537 0,9401 0,6756 0,4182 0,2160 0,1026 0,0933 0,1785 0,3230 0,4763 0,5876 0,6226 0,5776 0,4793 0,3690 0,2862 0,2556 0,2707 0,2891 0,2531 0,1250 -0,0915 -0,3605 -0,6441 -0,9199 -1,1708 -1,3738 -1,5050 -1,5481 -1,5040 -1,3980 -1,2716 -1,1603 -1,0781 -1,0174 -0,9540 -0,8614 -0,7340 -0,5967 -0,4894 -0,4430 -0,4617 -0,5190 -0,5751 -0,6054 -0,6093 -0,5972 -0,5838 -0,5856 -0,6159 -0,6791 -0,7689 -0,8637 -0,9245 -0,9043 -0,7699 -0,5260 -0,2205 0,0696 0,2622 0,3010 0,1765 -0,0793 -0,4103 -0,7531 -1,0525 -1,2746 -1,4149 -1,4937 -1,5407 -1,5763 -1,6029 -1,6167 -1,6281 -1,6571 -1,7072 -1,7517 -1,7471 -1,6598 -1,4862 -1,2568 -1,0236 -0,8386 -0,7411 -0,7577 -0,9016 -1,1606 -1,4873 -1,8118 -2,0685 -2,2186 -2,2616 -2,2316 -2,1727 -2,1165 -2,0783 -2,0605 -2,0567 -2,0577 -2,0552 -2,0390 -2,0024 -1,9529 -1,9104 -1,8889 -1,8789 -1,8449 -1,7448 -1,5554 -1,2808 -0,9435 -0,5728 -0,1948 0,1775 0,5480 0,9320 1,3455 1,8041 2,3271 2,9290 3,6029 4,3155 5,0169 5,6556 6,1966 6,6285 6,9601 7,2146 7,4207 7,5943 7,7271 7,8014 7,8162 7,8018 7,8150 7,9183 8,1530 8,5219 8,9948 9,5257 10,0677 10,5743 10,9937 11,2767 11,3982 11,3740 11,2571 11,1153 10,9999 10,9294 10,8981 10,8928 10,8940 10,8699 10,7824 10,6077 10,3453 10,0051 9,5924 9,1186 8,6197 8,1536 7,7747 7,5142 7,3778 7,3531 7,4137 7,5151 7,5978 7,6083 7,5231 7,3528 7,1282 6,8895 6,6868 6,5749 6,5932 6,7436 6,9807 7,2186 7,3591 7,3356 7,1424 6,8247 6,4456 6,0621 5,7188 5,4474 5,2648 5,1733 5,1616 5,2052 5,2744 5,3502 5,4378 5,5630 5,7454 5,9737 6,2063 6,3990 6,5327 6,6197 6,6853 6,7500 6,8272 6,9278 7,0557 7,1981 7,3319 7,4408 7,5216 7,5811 7,6349 7,7018 7,7950 7,9203 8,0782 8,2520 8,4005 8,4837 8,4959 8,4656 8,4318 8,4281 8,4727 8,5538 8,6229 8,6164 8,4956 8,2699 7,9890 7,7185 7,5155 7,4105 7,4053 7,4835 7,6172 7,7695 7,9030 7,9996 8,0678 8,1248 8,1732 8,1946 8,1627 8,0622 7,9021 7,7138 7,5336 7,3845 7,2675 7,1705 7,0874 7,0260 6,9950 6,9898 6,9939 6,9917 6,9786 6,9633 6,9637 7,0043 7,1058 7,2700 7,4770 7,6955 7,8916 8,0383 8,1278 8,1712 8,1810 8,1576 8,0988 8,0150 7,9264 7,8502 7,7968 7,7796 7,8159 7,9122 8,0536 8,2148 8,3787 8,5431 8,7078 8,8525 8,9366 8,9244 8,8141 8,6441 8,4741 8,3580 8,3285 8,3893 8,5118 8,6487 8,7620 8,8381 8,8764 8,8741 8,8310 8,7580 8,6764 8,6144 8,6041 8,6718 8,8279 9,0584 9,3276 9,5924 9,8179 9,9860 10,0957 10,1529 10,1633 10,1413 10,1192 10,1371 10,2207 10,3670 10,5547 10,7622 10,9728 11,1673 11,3238 11,4201 11,4356 11,3538 11,1682 10,8899 10,5469 10,1722 9,7922 9,4277 9,0986 8,8268 8,6390 8,5613 8,6049 8,7537 8,9605 9,1624 9,3155 9,4181 9,4987 9,5846 9,6794 9,7663 9,8252 9,8451 9,8237 9,7597 9,6491 9,4875 9,2816 9,0575 8,8529 8,7010 8,6177 8,5932 8,5911 8,5611 8,4683 8,3178 8,1483 8,0045 7,9170 7,8975 7,9411 8,0290 8,1284 8,1961 8,1947 8,1134 7,9788 7,8489 7,7854 7,8224 7,9538 8,1470 8,3578 8,5370 8,6312 8,5930 8,4022 8,0839 7,7057 7,3562 7,1190 7,0532 7,1788 7,4692 7,8557 8,2497 8,5750 8,7905 8,8914 8,8990 8,8478 8,7714 8,6957 8,6458 8,6487 8,7214 8,8582 9,0353 9,2294 9,4241 9,6015 9,7399 9,8237 9,8466 9,8039 9,6894 9,5035 9,2557 8,9595 8,6303 8,2807 7,9152 7,5340 7,1497 6,7892 6,4792 6,2378 6,0810 6,0249 6,0773 6,2310 6,4681 6,7694 7,1206 7,5061 7,8993 8,2631 8,5634 8,7833 8,9299 9,0230 9,0799 9,1121 9,1208 9,0873 8,9836 8,8014 8,5538 8,2572 7,9274 7,5870 7,2635 6,9787 6,7479 6,5847 6,4944 6,4635 6,4652 6,4781 6,4936 6,5069 6,5039 6,4571 6,3335 6,1170 5,8323 5,5401 5,3002 5,1396 5,0527 5,0163 5,0031 4,9928 4,9741 4,9392 4,8775 4,7824 4,6651 4,5558 4,4821 4,4483 4,4349 4,4089 4,3373 4,2047 4,0208 3,8068 3,5829 3,3703 3,1950 3,0783 3,0219 3,0057 2,9967 2,9587 2,8609 2,6911 2,4719 2,2615 2,1305 2,1250 2,2445 2,4544 2,7167 3,0004 3,2723 3,4992 3,6599 3,7544 3,8078 3,8643 3,9595 4,0928 4,2330 4,3474 4,4170 4,4363 4,4143 4,3685 4,3123 4,2514 4,1896 4,1352 4,0971 4,0789 4,0795 4,0948 4,1146 4,1161 4,0673 3,9448 3,7509 3,5135 3,2700 3,0449 2,8394 2,6403 2,4367 2,2283 2,0272 1,8566 1,7424 1,6994 1,7224 1,7868 1,8604 1,9162 1,9380 1,9162 1,8449 1,7279 1,5871 1,4528 1,3423 1,2502 1,1527 1,0156 0,8090 0,5297 0,2155 -0,0639 -0,2385 -0,2714 -0,1743 0,0037 0,2024 0,3706 0,4810 0,5376 0,5602 0,5584 0,5242 0,4491 0,3393 0,2159 0,1035 0,0208 -0,0183 -0,0044 0,0662 0,1921 0,3730 0,6084 0,8921 1,2130 1,5574 1,9016 2,2123 2,4625 2,6423 2,7530
F3    0,4751 0,5474 0,6349 0,7499 0,9066 1,1019 1,3043 1,4689 1,5640 1,5751 1,4913 1,3087 1,0510 0,7707 0,5212 0,3348 0,2241 0,1860 0,2038 0,2539 0,3146 0,3678 0,3991 0,4028 0,3835 0,3484 0,3039 0,2546 0,1938 0,0946 -0,0799 -0,3499 -0,6966 -1,0690 -1,4120 -1,6850 -1,8625 -1,9303 -1,8865 -1,7417 -1,5192 -1,2542 -0,9867 -0,7491 -0,5607 -0,4313 -0,3621 -0,3454 -0,3726 -0,4419 -0,5553 -0,7104 -0,8894 -1,0572 -1,1806 -1,2532 -1,2933 -1,3180 -1,3322 -1,3349 -1,3268 -1,3125 -1,2973 -1,2788 -1,2393 -1,1512 -0,9941 -0,7719 -0,5166 -0,2812 -0,1268 -0,0983 -0,2054 -0,4215 -0,6938 -0,9578 -1,1589 -1,2734 -1,3144 -1,3192 -1,3265 -1,3600 -1,4253 -1,5204 -1,6468 -1,8022 -1,9630 -2,0877 -2,1386 -2,1014 -1,9915 -1,8496 -1,7263 -1,6627 -1,6782 -1,7748 -1,9480 -2,1841 -2,4513 -2,7057 -2,9096 -3,0444 -3,1148 -3,1450 -3,1632 -3,1859 -3,2165 -3,2518 -3,2844 -3,3025 -3,2933 -3,2459 -3,1581 -3,0439 -2,9296 -2,8373 -2,7670 -2,6915 -2,5722 -2,3858 -2,1357 -1,8455 -1,5469 -1,2635 -0,9992 -0,7366 -0,4485 -0,1157 0,2685 0,7070 1,2006 1,7399 2,3016 2,8533 3,3633 3,8114 4,1923 4,5102 4,7768 5,0108 5,2245 5,4074 5,5299 5,5715 5,5482 5,5183 5,5592 5,7325 6,0587 6,5136 7,0437 7,5881 8,0916 8,5058 8,7943 8,9431 8,9636 8,8890 8,7633 8,6248 8,4963 8,3907 8,3165 8,2708 8,2304 8,1599 8,0338 7,8475 7,6058 7,3050 6,9400 6,5276 6,1113 5,7397 5,4508 5,2699 5,2079 5,2550 5,3739 5,5033 5,5764 5,5455 5,3924 5,1258 4,7795 4,4137 4,1066 3,9287 3,9159 4,0551 4,2848 4,5157 4,6721 4,7235 4,6793 4,5619 4,3896 4,1789 3,9498 3,7264 3,5326 3,3866 3,2967 3,2616 3,2738 3,3269 3,4210 3,5568 3,7232 3,8981 4,0610 4,2049 4,3330 4,4486 4,5515 4,6415 4,7192 4,7791 4,8076 4,7977 4,7620 4,7242 4,7019 4,7031 4,7328 4,7981 4,9125 5,0880 5,3066 5,5053 5,6119 5,5934 5,4676 5,2798 5,0813 4,9163 4,8086 4,7491 4,7042 4,6435 4,5626 4,4818 4,4278 4,4168 4,4508 4,5219 4,6169 4,7151 4,7876 4,8051 4,7563 4,6601 4,5518 4,4566 4,3763 4,2983 4,2142 4,1274 4,0485 3,9846 3,9335 3,8851 3,8298 3,7696 3,7205 3,6997 3,7114 3,7446 3,7799 3,8006 3,8006 3,7873 3,7779 3,7900 3,8315 3,9002 3,9910 4,0958 4,2049 4,3119 4,4154 4,5132 4,5966 4,6540 4,6778 4,6678 4,6295 4,5735 4,5217 4,5069 4,5529 4,6580 4,7953 4,9292 5,0322 5,0875 5,0790 4,9893 4,8133 4,5733 4,3196 4,1089 3,9826 3,9586 4,0254 4,1397 4,2455 4,3078 4,3259 4,3149 4,2861 4,2510 4,2314 4,2573 4,3574 4,5480 4,8221 5,1483 5,4795 5,7675 5,9764 6,0917 6,1225 6,0965 6,0457 5,9946 5,9574 5,9456 5,9723 6,0478 6,1722 6,3399 6,5481 6,7951 7,0716 7,3548 7,6076 7,7851 7,8508 7,7910 7,6161 7,3515 7,0233 6,6498 6,2481 5,8471 5,4927 5,2357 5,1105 5,1212 5,2422 5,4257 5,6216 5,8071 5,9995 6,2327 6,5229 6,8506 7,1660 7,4114 7,5463 7,5602 7,4692 7,3009 7,0810 6,8350 6,5970 6,4064 6,2939 6,2660 6,2960 6,3300 6,3094 6,2015 6,0185 5,8076 5,6250 5,5185 5,5183 5,6294 5,8266 6,0560 6,2473 6,3428 6,3238 6,2179 6,0805 5,9616 5,8826 5,8398 5,8198 5,8071 5,7798 5,7093 5,5713 5,3609 5,1030 4,8480 4,6572 4,5878 4,6826 4,9574 5,3844 5,8881 6,3689 6,7407 6,9524 6,9903 6,8715 6,6339 6,3244 5,9938 5,7009 5,5116 5,4810 5,6283 5,9304 6,3351 6,7770 7,1851 7,4959 7,6718 7,7089 7,6244 7,4448 7,2018 6,9221 6,6189 6,2965 5,9593 5,6105 5,2501 4,8795 4,5036 4,1296 3,7744 3,4767 3,2891 3,2507 3,3651 3,6013 3,9136 4,2603 4,6095 4,9355 5,2171 5,4411 5,6106 5,7494 5,8884 6,0459 6,2235 6,4033 6,5458 6,6057 6,5592 6,4040 6,1442 5,7898 5,3643 4,9038 4,4548 4,0712 3,8071 3,6988 3,7444 3,9025 4,1108 4,3111 4,4609 4,5300 4,4939 4,3353 4,0583 3,7043 3,3437 3,0405 2,8253 2,6974 2,6390 2,6270 2,6416 2,6665 2,6837 2,6707 2,6146 2,5308 2,4597 2,4349 2,4559 2,4885 2,4871 2,4188 2,2804 2,0980 1,9053 1,7227 1,5590 1,4256 1,3394 1,3095 1,3243 1,3506 1,3455 1,2737 1,1257 0,9287 0,7369 0,6034 0,5522 0,5705 0,6262 0,6896 0,7380 0,7516 0,7178 0,6387 0,5338 0,4419 0,4144 0,4902 0,6697 0,9182 1,1920 1,4541 1,6772 1,8486 1,9679 2,0339 2,0410 1,9917 1,9074 1,8182 1,7476 1,7074 1,7002 1,7208 1,7532 1,7677 1,7313 1,6247 1,4531 1,2407 1,0119 0,7760 0,5344 0,2934 0,0688 -0,1186 -0,2471 -0,3010 -0,2796 -0,2004 -0,0955 -0,0021 0,0516 0,0550 0,0102 -0,0785 -0,2037 -0,3480 -0,4871 -0,6023 -0,6871 -0,7506 -0,8180 -0,9190 -1,0617 -1,2183 -1,3396 -1,3832 -1,3335 -1,2038 -1,0254 -0,8343 -0,6649 -0,5440 -0,4801 -0,4674 -0,5015 -0,5856 -0,7189 -0,8866 -1,0602 -1,2075 -1,3039 -1,3363 -1,3069 -1,2341 -1,1368 -1,0158 -0,8543 -0,6353 -0,3505 -0,0037 0,3857 0,7874 1,1751 1,5314 1,8377
F7    0,2070 0,1964 0,1915 0,2107 0,2688 0,3645 0,4767 0,5778 0,6505 0,6854 0,6690 0,5901 0,4599 0,3152 0,1962 0,1270 0,1178 0,1663 0,2538 0,3484 0,4171 0,4345 0,3897 0,2923 0,1704 0,0583 -0,0141 -0,0262 0,0242 0,1091 0,1705 0,1411 -0,0221 -0,3141 -0,6844 -1,0568 -1,3495 -1,4953 -1,4613 -1,2631 -0,9587 -0,6239 -0,3229 -0,0922 0,0597 0,1395 0,1561 0,1165 0,0280 -0,0955 -0,2336 -0,3669 -0,4808 -0,5602 -0,5925 -0,5814 -0,5480 -0,5159 -0,5013 -0,5157 -0,5689 -0,6650 -0,7950 -0,9278 -1,0070 -0,9703 -0,7860 -0,4794 -0,1263 0,1774 0,3503 0,3527 0,1967 -0,0672 -0,3788 -0,6894 -0,9679 -1,1968 -1,3687 -1,4848 -1,5511 -1,5749 -1,5663 -1,5453 -1,5407 -1,5695 -1,6162 -1,6463 -1,6387 -1,5994 -1,5517 -1,5171 -1,5022 -1,5007 -1,5086 -1,5396 -1,6216 -1,7746 -1,9909 -2,2383 -2,4798 -2,6916 -2,8736 -3,0444 -3,2243 -3,4211 -3,6333 -3,8553 -4,0768 -4,2837 -4,4618 -4,5936 -4,6641 -4,6731 -4,6364 -4,5695 -4,4729 -4,3356 -4,1492 -3,9165 -3,6430 -3,3314 -2,9874 -2,6263 -2,2663 -1,9150 -1,5694 -1,2272 -0,8900 -0,5522 -0,1979 0,1854 0,5914 0,9956 1,3737 1,7180 2,0342 2,3307 2,6161 2,9028 3,1962 3,4798 3,7176 3,8773 3,9587 4,0056 4,0875 4,2621 4,5489 4,9277 5,3529 5,7740 6,1492 6,4483 6,6512 6,7508 6,7556 6,6933 6,6055 6,5316 6,4928 6,4878 6,4999 6,5039 6,4686 6,3630 6,1680 5,8823 5,5192 5,0979 4,6481 4,2171 3,8570 3,5977 3,4364 3,3523 3,3229 3,3303 3,3604 3,3950 3,4061 3,3635 3,2480 3,0606 2,8260 2,5901 2,4106 2,3372 2,3898 2,5480 2,7574 2,9500 3,0737 3,1092 3,0641 2,9532 2,7872 2,5789 2,3480 2,1133 1,8837 1,6580 1,4355 1,2277 1,0599 0,9655 0,9744 1,0953 1,3020 1,5437 1,7741 1,9727 2,1401 2,2794 2,3853 2,4507 2,4750 2,4623 2,4126 2,3249 2,2082 2,0853 1,9855 1,9349 1,9507 2,0394 2,1967 2,4049 2,6224 2,7861 2,8450 2,7941 2,6706 2,5236 2,3935 2,3079 2,2760 2,2801 2,2837 2,2549 2,1838 2,0811 1,9669 1,8617 1,7823 1,7428 1,7559 1,8267 1,9423 2,0750 2,1993 2,3032 2,3830 2,4326 2,4401 2,3930 2,2845 2,1212 1,9248 1,7251 1,5490 1,4160 1,3391 1,3295 1,3919 1,5146 1,6648 1,7997 1,8841 1,9067 1,8842 1,8520 1,8494 1,9056 2,0275 2,1992 2,3949 2,5898 2,7648 2,9095 3,0195 3,0908 3,1196 3,1106 3,0800 3,0425 2,9965 2,9260 2,8210 2,6916 2,5627 2,4599 2,4018 2,4011 2,4659 2,5921 2,7539 2,9065 3,0032 3,0159 2,9476 2,8290 2,7039 2,6153 2,5888 2,6182 2,6733 2,7258 2,7658 2,7947 2,8145 2,8269 2,8351 2,8419 2,8543 2,8862 2,9538 3,0691 3,2357 3,4461 3,6801 3,9060 4,0920 4,2215 4,2990 4,3424 4,3709 4,3976 4,4316 4,4815 4,5525 4,6453 4,7623 4,9062 5,0708 5,2346 5,3628 5,4193 5,3831 5,2574 5,0633 4,8242 4,5530 4,2540 3,9351 3,6186 3,3425 3,1541 3,0896 3,1544 3,3184 3,5281 3,7318 3,9070 4,0672 4,2401 4,4391 4,6503 4,8355 4,9491 4,9611 4,8733 4,7152 4,5235 4,3250 4,1397 3,9921 3,9119 3,9197 4,0104 4,1498 4,2853 4,3662 4,3653 4,2908 4,1745 4,0479 3,9337 3,8490 3,8051 3,8005 3,8162 3,8197 3,7826 3,6992 3,5911 3,4940 3,4397 3,4405 3,4843 3,5450 3,5967 3,6193 3,5972 3,5204 3,3891 3,2191 3,0399 2,8851 2,7844 2,7634 2,8409 3,0183 3,2699 3,5489 3,8021 3,9809 4,0515 4,0060 3,8667 3,6769 3,4868 3,3484 3,3098 3,3994 3,6116 3,9105 4,2461 4,5700 4,8427 5,0362 5,1359 5,1382 5,0449 4,8657 4,6264 4,3598 4,0866 3,8106 3,5308 3,2488 2,9702 2,7033 2,4527 2,2152 1,9896 1,7918 1,6540 1,6043 1,6486 1,7720 1,9502 2,1586 2,3751 2,5798 2,7571 2,9036 3,0375 3,1913 3,3884 3,6263 3,8813 4,1197 4,3000 4,3848 4,3578 4,2229 3,9903 3,6733 3,2940 2,8829 2,4754 2,1088 1,8183 1,6264 1,5354 1,5298 1,5864 1,6805 1,7851 1,8659 1,8833 1,8021 1,6043 1,3051 0,9542 0,6142 0,3359 0,1476 0,0552 0,0460 0,0937 0,1624 0,2137 0,2186 0,1706 0,0927 0,0249 -0,0023 0,0103 0,0304 0,0127 -0,0772 -0,2459 -0,4735 -0,7298 -0,9892 -1,2339 -1,4480 -1,6153 -1,7247 -1,7755 -1,7793 -1,7588 -1,7373 -1,7201 -1,6837 -1,5908 -1,4189 -1,1778 -0,9070 -0,6577 -0,4711 -0,3702 -0,3636 -0,4463 -0,5993 -0,7904 -0,9759 -1,1080 -1,1537 -1,1107 -1,0005 -0,8500 -0,6798 -0,5038 -0,3315 -0,1748 -0,0513 0,0204 0,0338 0,0018 -0,0479 -0,0885 -0,1038 -0,0882 -0,0462 0,0035 0,0272 -0,0096 -0,1207 -0,2887 -0,4776 -0,6632 -0,8489 -1,0512 -1,2756 -1,5093 -1,7274 -1,9004 -2,0024 -2,0216 -1,9691 -1,8749 -1,7755 -1,6982 -1,6522 -1,6351 -1,6439 -1,6796 -1,7428 -1,8299 -1,9351 -2,0551 -2,1943 -2,3658 -2,5791 -2,8228 -3,0598 -3,2430 -3,3369 -3,3313 -3,2423 -3,1002 -2,9350 -2,7679 -2,6111 -2,4672 -2,3362 -2,2291 -2,1687 -2,1734 -2,2412 -2,3498 -2,4718 -2,5854 -2,6749 -2,7292 -2,7436 -2,7141 -2,6319 -2,4879 -2,2841 -2,0345 -1,7577 -1,4705 -1,1828 -0,8989 -0,6270 -0,3879
