Fp1   3,0627 3,3632 3,4176 3,2254 2,7487 1,8955 0,5997 -1,0279 -2,6239 -3,6992 -3,9000 -3,1879 -1,8156 -0,1764 1,3468 2,4678 3,0143 2,9318 2,2892 1,2396 -0,0454 -1,4201 -2,7847 -4,0629 -5,1415 -5,8370 -5,9372 -5,3042 -3,9698 -2,1374 -0,0691 2,0540 4,1491 6,0757 7,5152 8,0948 7,6209 6,1937 4,1846 2,1099 0,3997 -0,8095 -1,6661 -2,3872 -3,0575 -3,6054 -3,9175 -3,9613 -3,8235 -3,6317 -3,4118 -3,0545 -2,4862 -1,8488 -1,4571 -1,5871 -2,3122 -3,4855 -4,8177 -5,9838 -6,7233 -6,9077 -6,5637 -5,8539 -5,0148 -4,2682 -3,7292 -3,3802 -3,1500 -3,0000 -2,9004 -2,7376 -2,3037 -1,4221 -0,0609 1,6744 3,5891 5,4065 6,7750 7,3282 6,7993 5,1646 2,7486 0,1783 -1,8472 -2,8614 -2,8261 -2,0979 -1,1917 -0,5026 -0,1428 0,0313 0,2245 0,4948 0,7217 0,7437 0,4807 -0,0696 -0,8956 -1,9476 -3,0322 -3,8352 -4,1355 -3,9823 -3,6494 -3,4400 -3,5504 -4,0671 -4,9820 -6,1739 -7,4214 -8,4530 -9,0178 -8,9752 -8,3499 -7,3074 -6,0591 -4,7382 -3,3625 -1,9553 -0,6738 0,2145 0,4759 0,0532 -0,8922 -2,0752 -3,2314 -4,1870 -4,8254 -5,0126 -4,5694 -3,3584 -1,4501 0,8050 2,9087 4,4490 5,2660 5,4677 5,3180 5,0759 4,8537 4,5726 4,0745 3,2860 2,2690 1,1509 0,0603 -0,8903 -1,6255 -2,1625 -2,6546 -3,3311 -4,3451 -5,6752 -7,1285 -8,3569 -8,9184 -8,4834 -7,0730 -5,0822 -3,0562 -1,4245 -0,3750 0,1017 0,0852 -0,3759 -1,2722 -2,5490 -4,0236 -5,4185 -6,5141 -7,2659 -7,7532 -8,0365 -8,0762 -7,7437 -6,9034 -5,5292 -3,7664 -1,9207 -0,4105 0,3283 -0,0141 -1,4975 -3,8957 -6,7720 -9,6284 -12,0443 -13,7703 -14,7646 -15,1058 -14,8281 -13,8939 -12,3226 -10,2740 -8,0278 -5,9275 -4,2861 -3,2639 -2,7915 -2,6075 -2,4197 -2,0898 -1,6799 -1,3351 -1,1556 -1,1994 -1,5793 -2,4945 -4,0967 -6,3007 -8,7269 -10,8311 -12,1325 -12,3996 -11,6892 -10,2455 -8,3588 -6,2829 -4,2636 -2,6152 -1,6778 -1,6400 -2,4099 -3,6669 -5,0222 -6,1397 -6,7907 -6,8967 -6,5633 -6,0343 -5,5328 -5,1158 -4,6752 -4,0435 -3,0756 -1,6945 0,0267 1,7822 3,0814 3,4775 2,8662 1,6176 0,3574 -0,4488 -0,7431 -0,7939 -0,9325 -1,3425 -1,9969 -2,6981 -3,1797 -3,2557 -2,9474 -2,4688 -2,0644 -1,8611 -1,8415 -1,8925 -1,8885 -1,7744 -1,5765 -1,3607 -1,2045 -1,1755 -1,2952 -1,5137 -1,7308 -1,8574 -1,8620 -1,7763 -1,6750 -1,6470 -1,7609 -1,9923 -2,1511 -1,9359 -1,1056 0,3634 2,2184 3,9845 5,1316 5,3047 4,4907 2,9962 1,2724 -0,2808 -1,4500 -2,2331 -2,7379 -3,0610 -3,2602 -3,3954 -3,5518 -3,8026 -4,1386 -4,4299 -4,4807 -4,1625 -3,5327 -2,8355 -2,3814 -2,3817 -2,8339 -3,5424 -4,2548 -4,7717 -4,9541 -4,7217 -4,0912 -3,1739 -2,1316 -1,1486 -0,4088 -0,0498 -0,1118 -0,5145 -1,1032 -1,7462 -2,3958 -3,0668 -3,7707 -4,4771 -5,1248 -5,6522 -6,0154 -6,1855 -6,1314 -5,8183 -5,2223 -4,3351 -3,1603 -1,7459 -0,2357 1,1491 2,1900 2,7075 2,5578 1,6919 0,2492 -1,4474 -3,0217 -4,1733 -4,7333 -4,7081 -4,3057 -3,8560 -3,6552 -3,8480 -4,3847 -5,0455 -5,5329 -5,5920 -5,1109 -4,1509 -2,8917 -1,5663 -0,4427 0,2076 0,2059 -0,4312 -1,4633 -2,5016 -3,1420 -3,0853 -2,2462 -0,8233 0,7759 2,1466 3,0456 3,3809 3,1516 2,4728 1,6133 0,9210 0,6579 0,8678 1,3774 1,9350 2,3675 2,6380 2,7944 2,8865 2,9256 2,8804 2,6562 2,0782 0,9759 -0,6619 -2,6028 -4,4227 -5,6436 -5,8885 -5,0256 -3,2637 -1,1106 0,8399 2,1596 2,7010 2,5535 1,9190 0,9926 -0,0814 -1,1674 -2,0837 -2,6289 -2,6960 -2,3588 -1,8256 -1,2908 -0,7990 -0,2207 0,6344 1,8518 3,3406 4,8871 6,2271 7,0865 7,2598 6,7261 5,6686 4,3451 2,9533 1,6244 0,4960 -0,2632 -0,5213 -0,2823 0,2892 0,9405 1,4218 1,5416 1,2117 0,4910 -0,4154 -1,2208 -1,6634 -1,6371 -1,2757 -0,8511 -0,5459 -0,3640 -0,2464 -0,1818 -0,1828 -0,2143 -0,1758 0,0342 0,3951 0,7219 0,7838 0,4411 -0,3395 -1,5079 -2,8818 -4,1079 -4,7601 -4,5208 -3,3156 -1,3408 1,0213 3,3373 5,2284 6,4575 7,0085 7,0767 6,9405 6,7933 6,6362 6,2840 5,4703 3,9933 1,8350 -0,8058 -3,5829 -6,0776 -7,8260 -8,4096 -7,6241 -5,5634 -2,5727 0,8471 4,1546 6,8686 8,6276 9,2463 8,7596 7,3858 5,4166 3,1119 0,6711 -1,7062 -3,7526 -5,1786 -5,8161 -5,7109 -5,0813 -4,2002 -3,3014 -2,5518 -2,0415 -1,7669 -1,6605 -1,6423 -1,6265 -1,5167 -1,2314 -0,7355 -0,0462 0,7822 1,6798 2,5757 3,3848 3,9815 4,2291 4,0636 3,5395 2,7974 1,9940 1,2454 0,5983 0,0525 -0,3667 -0,5667 -0,4228 0,1539 1,1443 2,3788 3,5698 4,4188 4,7509 4,5895 4,1095 3,5384 3,0772 2,8442 2,8367 2,9264 2,9148 2,6344 2,0362 1,1968 0,2464 -0,6916 -1,5111 -2,1398 -2,5566 -2,7701 -2,8059 -2,7025 -2,4572 -1,9969 -1,2704 -0,3383 0,6808 1,7166 2,7563 3,7512 4,5031 4,6612 3,9010 2,1463 -0,3679 -3,2054 -5,9049 -8,1448 -9,7995 -10,8326 -11,1648 -10,6717 -9,2765 -7,0654 -4,3757 -1,7332 0,3562 1,5623 1,7555 0,9869 -0,5377 -2,4878 -4,4519 -6,0196 -6,8814 -6,8973 -6,1164 -4,7592 -3,1636 -1,6879 -0,6224 -0,1440 -0,2848 -0,9103 -1,7515 -2,5312 -3,1166 -3,5453 -3,9342 -4,4033 -5,0191 -5,7121
Fz    2,1827 1,9839 1,6376 1,2198 0,8307 0,5567 0,4379 0,4578 0,5565 0,6591 0,6988 0,6349 0,4778 0,2927 0,1572 0,1069 0,1160 0,1244 0,0763 -0,0654 -0,3146 -0,6505 -1,0159 -1,3368 -1,5477 -1,6096 -1,5170 -1,3014 -1,0181 -0,7152 -0,4131 -0,1132 0,1866 0,4824 0,7590 0,9961 1,1734 1,2636 1,2312 1,0553 0,7520 0,3725 -0,0162 -0,3583 -0,6458 -0,9271 -1,2645 -1,6886 -2,1955 -2,7653 -3,3616 -3,9334 -4,4336 -4,8263 -5,0773 -5,1635 -5,0965 -4,9138 -4,6462 -4,3136 -3,9431 -3,5648 -3,1970 -2,8463 -2,5142 -2,1905 -1,8493 -1,4667 -1,0439 -0,6039 -0,1770 0,2009 0,4851 0,6374 0,6543 0,5800 0,4842 0,4225 0,4081 0,4157 0,4099 0,3645 0,2717 0,1490 0,0337 -0,0309 -0,0105 0,1065 0,3017 0,5305 0,7317 0,8350 0,7629 0,4449 -0,1441 -0,9462 -1,8249 -2,6154 -3,1942 -3,5135 -3,5877 -3,4787 -3,2962 -3,1747 -3,2188 -3,4550 -3,8368 -4,2871 -4,7168 -5,0290 -5,1563 -5,1061 -4,9539 -4,7822 -4,6319 -4,5153 -4,4514 -4,4599 -4,5287 -4,5978 -4,5681 -4,3366 -3,8454 -3,1131 -2,2296 -1,3203 -0,4872 0,2364 0,8791 1,4793 2,0306 2,4652 2,6844 2,6149 2,2594 1,7132 1,1299 0,6436 0,3072 0,0972 -0,0334 -0,1183 -0,1817 -0,2549 -0,3616 -0,4902 -0,6020 -0,6703 -0,6974 -0,6976 -0,6775 -0,6314 -0,5434 -0,3988 -0,1996 0,0294 0,2366 0,3411 0,2589 -0,0437 -0,5254 -1,0951 -1,6517 -2,1239 -2,4936 -2,7739 -2,9669 -3,0552 -3,0259 -2,8881 -2,6743 -2,4279 -2,1796 -1,9392 -1,7147 -1,5292 -1,4138 -1,3899 -1,4589 -1,6084 -1,8252 -2,0958 -2,4034 -2,7329 -3,0736 -3,4077 -3,6984 -3,8904 -3,9281 -3,7792 -3,4523 -3,0088 -2,5608 -2,2362 -2,1213 -2,2215 -2,4649 -2,7393 -2,9473 -3,0442 -3,0433 -3,0023 -3,0034 -3,1258 -3,4166 -3,8743 -4,4566 -5,1100 -5,7890 -6,4298 -6,9220 -7,1414 -7,0192 -6,5791 -5,9198 -5,1678 -4,4475 -3,8730 -3,5317 -3,4582 -3,6314 -3,9890 -4,4416 -4,8859 -5,2220 -5,3762 -5,3228 -5,0897 -4,7377 -4,3343 -3,9359 -3,5674 -3,2088 -2,8213 -2,3976 -1,9728 -1,5824 -1,2325 -0,9222 -0,6747 -0,5270 -0,4853 -0,5018 -0,5135 -0,4979 -0,4804 -0,4971 -0,5587 -0,6407 -0,6989 -0,6950 -0,6221 -0,5156 -0,4306 -0,4043 -0,4414 -0,5328 -0,6670 -0,8051 -0,8628 -0,7493 -0,4299 0,0501 0,5940 1,1061 1,5320 1,8628 2,1044 2,2500 2,2851 2,2045 2,0150 1,7268 1,3457 0,8797 0,3541 -0,1892 -0,7043 -1,1445 -1,4623 -1,6171 -1,5902 -1,3988 -1,1007 -0,7949 -0,6085 -0,6527 -0,9680 -1,5004 -2,1177 -2,6526 -2,9677 -3,0080 -2,8018 -2,4221 -1,9552 -1,4952 -1,1371 -0,9502 -0,9611 -1,1637 -1,5321 -2,0186 -2,5483 -3,0304 -3,3895 -3,5924 -3,6386 -3,5382 -3,3110 -3,0012 -2,6801 -2,4344 -2,3441 -2,4528 -2,7526 -3,1942 -3,7020 -4,1764 -4,5064 -4,6102 -4,4721 -4,1406 -3,7017 -3,2491 -2,8558 -2,5575 -2,3616 -2,2707 -2,2951 -2,4423 -2,7014 -3,0363 -3,3918 -3,7105 -3,9515 -4,0970 -4,1470 -4,1130 -4,0161 -3,8776 -3,7093 -3,5121 -3,2797 -3,0111 -2,7300 -2,4840 -2,3164 -2,2382 -2,2236 -2,2263 -2,2089 -2,1695 -2,1453 -2,1831 -2,2912 -2,4231 -2,5103 -2,4974 -2,3527 -2,0804 -1,7333 -1,3983 -1,1570 -1,0465 -1,0534 -1,1420 -1,2723 -1,3963 -1,4571 -1,4038 -1,2074 -0,8719 -0,4402 0,0212 0,4559 0,8361 1,1452 1,3542 1,4221 1,3142 1,0255 0,6052 0,1548 -0,2129 -0,4278 -0,4878 -0,4342 -0,3030 -0,1012 0,1718 0,4883 0,7795 0,9555 0,9427 0,7119 0,2818 -0,2847 -0,8815 -1,3814 -1,6825 -1,7493 -1,6161 -1,3553 -1,0416 -0,7305 -0,4464 -0,1877 0,0490 0,2442 0,3577 0,3562 0,2423 0,0669 -0,0732 -0,0609 0,1876 0,6707 1,2953 1,9290 2,4641 2,8403 3,0356 3,0491 2,8784 2,5098 1,9459 1,2413 0,5005 -0,1510 -0,6021 -0,7941 -0,7455 -0,5387 -0,2725 -0,0265 0,1437 0,2088 0,1840 0,1370 0,1620 0,3340 0,6762 1,1501 1,6610 2,0762 2,2629 2,1525 1,7831 1,2752 0,7749 0,4110 0,2651 0,3405 0,5580 0,7968 0,9467 0,9493 0,8058 0,5445 0,1999 -0,1638 -0,4432 -0,5307 -0,3592 0,0770 0,7197 1,4534 2,1372 2,6666 3,0096 3,1804 3,1926 3,0433 2,7271 2,2646 1,7181 1,1764 0,7320 0,4684 0,4412 0,6472 1,0187 1,4605 1,8898 2,2429 2,4670 2,5301 2,4408 2,2428 1,9797 1,6720 1,3296 0,9723 0,6331 0,3501 0,1599 0,0870 0,1283 0,2434 0,3765 0,5016 0,6343 0,8024 1,0154 1,2530 1,4748 1,6473 1,7584 1,8121 1,8261 1,8286 1,8433 1,8774 1,9285 1,9944 2,0755 2,1657 2,2391 2,2515 2,1679 1,9997 1,8211 1,7414 1,8468 2,1599 2,6361 3,1878 3,7138 4,1200 4,3352 4,3263 4,1082 3,7339 3,2656 2,7605 2,2698 1,8194 1,3899 0,9428 0,4740 0,0299 -0,3264 -0,5540 -0,6494 -0,6469 -0,6033 -0,5626 -0,5261 -0,4511 -0,2755 0,0345 0,4359 0,8090 1,0112 0,9354 0,5407 -0,1309 -0,9469 -1,7195 -2,2948 -2,6309 -2,7915 -2,8641 -2,8977 -2,9144 -2,9449 -3,0274 -3,1858 -3,4230 -3,7289 -4,0853 -4,4670 -4,8441 -5,1899 -5,4967 -5,7888 -6,1141 -6,5171 -7,0014 -7,5031 -7,9140 -8,1405 -8,1474 -7,9592 -7,6228 -7,1602 -6,5614 -5,8402 -5,0851 -4,4273 -3,9594 -3,6913 -3,5794 -3,5882 -3,7258 -4,0285 -4,5037 -5,0785 -5,6117
F3    1,3566 0,4123 -0,5602 -1,3752 -1,8758 -1,9438 -1,5174 -0,6394 0,4984 1,5833 2,2923 2,4213 1,9673 1,1208 0,1688 -0,6350 -1,1600 -1,4008 -1,4185 -1,2799 -1,0307 -0,7072 -0,3556 -0,0333 0,2086 0,3511 0,4212 0,4797 0,5922 0,8000 1,0860 1,3581 1,4993 1,4671 1,3456 1,2936 1,4215 1,6946 1,9342 1,9143 1,4880 0,6665 -0,3872 -1,4329 -2,2515 -2,7118 -2,7835 -2,5293 -2,1004 -1,7135 -1,5984 -1,9115 -2,6383 -3,5622 -4,3572 -4,7538 -4,6562 -4,1333 -3,3409 -2,4674 -1,6924 -1,1220 -0,7549 -0,5201 -0,3355 -0,1270 0,1767 0,6268 1,2279 1,9344 2,6518 3,2284 3,4692 3,1993 2,3642 1,0909 -0,3528 -1,6725 -2,6248 -3,0226 -2,7569 -1,8743 -0,6158 0,6508 1,5779 1,9899 1,9456 1,6623 1,3586 1,1279 0,9228 0,6440 0,2397 -0,2720 -0,8390 -1,4004 -1,8912 -2,2513 -2,4465 -2,4831 -2,4086 -2,3126 -2,3085 -2,4838 -2,8470 -3,3222 -3,7941 -4,1500 -4,2795 -4,0894 -3,5662 -2,8205 -2,0438 -1,4171 -1,0703 -1,1112 -1,6342 -2,6506 -4,0033 -5,3611 -6,3213 -6,5594 -5,9354 -4,5257 -2,5983 -0,5194 1,4034 3,0225 4,3136 5,2719 5,8434 5,9297 5,4523 4,4283 3,0104 1,4600 0,0504 -1,0463 -1,7887 -2,1932 -2,2700 -2,0487 -1,6375 -1,2164 -0,9486 -0,9014 -1,0451 -1,2925 -1,5228 -1,5913 -1,3402 -0,6313 0,6004 2,2844 4,1763 5,8756 6,9254 6,9753 5,9408 4,0584 1,7762 -0,4534 -2,3408 -3,8002 -4,8645 -5,5668 -5,9087 -5,9195 -5,6866 -5,2855 -4,6953 -3,8157 -2,5770 -1,0466 0,5415 1,8406 2,5077 2,3453 1,3997 -0,0619 -1,6748 -3,1003 -4,1028 -4,5829 -4,5601 -4,1246 -3,3900 -2,4757 -1,5115 -0,6282 0,0679 0,4915 0,5594 0,2120 -0,5211 -1,4825 -2,4260 -3,1192 -3,4427 -3,4226 -3,2017 -2,9855 -2,9635 -3,2351 -3,7973 -4,5914 -5,5485 -6,5880 -7,5852 -8,3498 -8,6548 -8,3289 -7,3627 -5,9397 -4,3608 -2,9340 -1,9226 -1,5312 -1,8539 -2,8036 -4,1035 -5,3698 -6,2435 -6,5085 -6,1505 -5,3360 -4,3228 -3,3538 -2,5927 -2,1125 -1,9129 -1,9402 -2,1061 -2,3161 -2,4997 -2,6239 -2,6770 -2,6356 -2,4494 -2,0703 -1,4993 -0,8016 -0,0954 0,4686 0,7579 0,7282 0,4543 0,0944 -0,1959 -0,3569 -0,4555 -0,6274 -0,9677 -1,4504 -1,9474 -2,3287 -2,5550 -2,6820 -2,7705 -2,7966 -2,6647 -2,2902 -1,6547 -0,8061 0,1659 1,1606 2,0904 2,8838 3,4912 3,9044 4,1603 4,3026 4,3336 4,1934 3,7781 2,9838 1,7516 0,1170 -1,7509 -3,5628 -4,9918 -5,7844 -5,8463 -5,2669 -4,2949 -3,2739 -2,5256 -2,2264 -2,3631 -2,7748 -3,2328 -3,5271 -3,5229 -3,1656 -2,4732 -1,5602 -0,6637 -0,0770 0,0149 -0,3586 -1,0069 -1,7108 -2,3196 -2,7849 -3,1335 -3,4161 -3,6824 -3,9770 -4,3099 -4,6121 -4,7574 -4,6680 -4,3990 -4,1019 -3,9017 -3,8258 -3,8479 -3,9460 -4,0787 -4,1384 -3,9880 -3,5571 -2,8933 -2,1230 -1,3780 -0,7537 -0,3118 -0,1028 -0,1788 -0,5844 -1,3346 -2,4072 -3,7433 -5,2312 -6,6933 -7,9149 -8,6973 -8,9017 -8,4921 -7,5775 -6,4012 -5,2557 -4,3740 -3,8564 -3,6525 -3,5991 -3,4997 -3,2076 -2,6777 -1,9686 -1,2083 -0,5590 -0,1802 -0,1816 -0,5675 -1,1998 -1,8348 -2,2417 -2,2963 -1,9958 -1,4523 -0,8798 -0,5173 -0,5126 -0,8664 -1,4765 -2,2173 -2,9685 -3,5879 -3,9050 -3,7735 -3,1498 -2,1362 -0,9569 0,1227 0,9074 1,3491 1,5140 1,4744 1,2407 0,7873 0,1193 -0,6846 -1,4798 -2,1046 -2,4324 -2,3939 -1,9717 -1,1884 -0,1180 1,0873 2,2082 3,0243 3,3924 3,2852 2,7736 1,9684 0,9866 -0,0473 -1,0070 -1,7833 -2,2931 -2,4882 -2,3682 -1,9860 -1,4283 -0,7696 -0,0349 0,7689 1,5704 2,1873 2,3813 1,9915 1,0474 -0,2079 -1,3870 -2,0974 -2,0977 -1,3857 -0,1707 1,2324 2,5316 3,5491 4,2204 4,5150 4,3706 3,7227 2,6009 1,1915 -0,1907 -1,2144 -1,6605 -1,5000 -0,8978 -0,1378 0,4998 0,8457 0,8914 0,7761 0,7144 0,8874 1,3571 2,0504 2,7912 3,3581 3,5644 3,3309 2,7234 1,9394 1,2338 0,8276 0,8511 1,3007 2,0140 2,7170 3,1327 3,0788 2,5136 1,5238 0,2747 -1,0208 -2,1210 -2,8079 -2,9572 -2,5698 -1,7459 -0,6309 0,6276 1,9069 3,1312 4,2588 5,2364 5,9825 6,4193 6,5047 6,2392 5,6566 4,8050 3,7331 2,4961 1,1777 -0,0980 -1,1752 -1,8988 -2,1631 -1,9619 -1,3969 -0,6271 0,1946 0,9608 1,6154 2,1255 2,4496 2,5481 2,4316 2,1793 1,8874 1,6038 1,3241 1,0271 0,7197 0,4792 0,4356 0,6794 1,1833 1,8067 2,3505 2,6249 2,5154 2,0306 1,3015 0,5212 -0,1408 -0,5854 -0,7728 -0,7046 -0,4221 -0,0026 0,4574 0,8627 1,1521 1,3368 1,5096 1,7973 2,2788 2,9360 3,6918 4,4730 5,2134 5,8243 6,2040 6,2710 5,9796 5,3323 4,3958 3,3051 2,2289 1,2950 0,5383 -0,0649 -0,5303 -0,8496 -1,0112 -1,0029 -0,8065 -0,4152 0,1473 0,8216 1,5025 2,0553 2,3776 2,4479 2,3094 2,0038 1,5088 0,7389 -0,3764 -1,7783 -3,2096 -4,2709 -4,6056 -4,1088 -2,9847 -1,5928 -0,2488 0,8344 1,5056 1,6621 1,2733 0,3951 -0,8434 -2,2698 -3,6975 -4,9526 -5,9065 -6,5151 -6,8406 -7,0196 -7,1875 -7,4034 -7,6292 -7,7903 -7,8510 -7,8132 -7,6666 -7,3641 -6,8452 -6,0765 -5,0795 -3,9501 -2,8519 -1,9598 -1,3857 -1,1464 -1,2017 -1,5216 -2,0988 -2,8782 -3,6979 -4,3351
F7    1,4509 1,4326 1,3129 1,1162 0,8935 0,6866 0,5072 0,3496 0,2158 0,1210 0,0729 0,0618 0,0802 0,1403 0,2575 0,4188 0,5660 0,6233 0,5429 0,3190 -0,0242 -0,4424 -0,8770 -1,2602 -1,5220 -1,6071 -1,4995 -1,2425 -0,9162 -0,5812 -0,2474 0,1046 0,4796 0,8383 1,1129 1,2501 1,2314 1,0655 0,7890 0,4701 0,1821 -0,0404 -0,2117 -0,3644 -0,5296 -0,7406 -1,0283 -1,4039 -1,8475 -2,3067 -2,7010 -2,9419 -2,9818 -2,8476 -2,6267 -2,4245 -2,3224 -2,3506 -2,4831 -2,6596 -2,8134 -2,8894 -2,8505 -2,6880 -2,4285 -2,1216 -1,8071 -1,4975 -1,1956 -0,9154 -0,6694 -0,4483 -0,2255 0,0226 0,3147 0,6688 1,0849 1,5192 1,8773 2,0420 1,9250 1,5172 0,9061 0,2495 -0,2827 -0,5682 -0,5743 -0,3639 -0,0568 0,2324 0,4364 0,5414 0,5553 0,4691 0,2570 -0,0842 -0,5068 -0,9339 -1,3115 -1,6213 -1,8476 -1,9708 -2,0084 -2,0371 -2,1486 -2,3827 -2,7211 -3,1377 -3,6094 -4,0860 -4,4938 -4,7760 -4,9184 -4,9361 -4,8429 -4,6438 -4,3531 -3,9993 -3,6140 -3,2244 -2,8477 -2,4917 -2,1644 -1,8741 -1,6210 -1,3931 -1,1709 -0,9278 -0,6256 -0,2157 0,3333 0,9961 1,6787 2,2564 2,6379 2,8120 2,8460 2,8297 2,8074 2,7617 2,6525 2,4596 2,1967 1,8969 1,5946 1,3266 1,1325 1,0330 1,0090 1,0092 0,9721 0,8473 0,6160 0,2966 -0,0609 -0,3797 -0,5764 -0,6071 -0,4973 -0,3218 -0,1592 -0,0571 -0,0230 -0,0413 -0,1060 -0,2332 -0,4392 -0,7115 -1,0054 -1,2677 -1,4679 -1,6138 -1,7327 -1,8391 -1,9161 -1,9202 -1,8018 -1,5282 -1,1063 -0,5985 -0,1119 0,2390 0,3668 0,2294 -0,1643 -0,7609 -1,4725 -2,1884 -2,7965 -3,2183 -3,4240 -3,4149 -3,2173 -2,8983 -2,5528 -2,2649 -2,0762 -1,9787 -1,9357 -1,9133 -1,8957 -1,8830 -1,8906 -1,9527 -2,1105 -2,3836 -2,7540 -3,1890 -3,6683 -4,1690 -4,6378 -4,9992 -5,1883 -5,1811 -5,0027 -4,7007 -4,3179 -3,8940 -3,4733 -3,1075 -2,8646 -2,8208 -3,0210 -3,4363 -3,9597 -4,4455 -4,7634 -4,8379 -4,6648 -4,3032 -3,8397 -3,3375 -2,8086 -2,2404 -1,6490 -1,0869 -0,5999 -0,2084 0,0614 0,1558 0,0295 -0,2916 -0,6872 -1,0010 -1,1344 -1,0892 -0,9402 -0,7771 -0,6591 -0,5986 -0,5710 -0,5388 -0,4810 -0,4101 -0,3557 -0,3309 -0,3210 -0,3010 -0,2551 -0,1832 -0,0976 -0,0116 0,0644 0,1188 0,1455 0,1523 0,1580 0,1789 0,2163 0,2581 0,2922 0,3110 0,3056 0,2646 0,1900 0,1132 0,0819 0,1296 0,2616 0,4538 0,6509 0,7798 0,7859 0,6612 0,4315 0,1219 -0,2541 -0,6843 -1,1446 -1,5892 -1,9509 -2,1607 -2,1821 -2,0316 -1,7658 -1,4506 -1,1457 -0,9014 -0,7612 -0,7626 -0,9295 -1,2579 -1,7039 -2,1795 -2,5748 -2,8061 -2,8513 -2,7357 -2,5001 -2,1930 -1,8756 -1,6132 -1,4608 -1,4534 -1,5997 -1,8782 -2,2387 -2,6113 -2,9216 -3,1078 -3,1369 -3,0085 -2,7448 -2,3857 -1,9915 -1,6366 -1,3824 -1,2478 -1,2076 -1,2189 -1,2449 -1,2635 -1,2691 -1,2692 -1,2750 -1,2981 -1,3555 -1,4683 -1,6448 -1,8624 -2,0687 -2,2060 -2,2350 -2,1393 -1,9264 -1,6381 -1,3512 -1,1524 -1,0975 -1,1779 -1,3216 -1,4353 -1,4618 -1,4089 -1,3317 -1,2840 -1,2853 -1,3265 -1,3905 -1,4586 -1,5054 -1,4984 -1,4104 -1,2317 -0,9680 -0,6400 -0,2987 -0,0173 0,1553 0,2247 0,2337 0,2316 0,2607 0,3503 0,5062 0,7100 0,9269 1,1129 1,2245 1,2368 1,1562 1,0137 0,8474 0,6936 0,5841 0,5346 0,5228 0,4901 0,3844 0,2020 -0,0109 -0,1861 -0,2679 -0,2443 -0,1632 -0,1099 -0,1559 -0,3168 -0,5467 -0,7691 -0,9205 -0,9799 -0,9649 -0,9024 -0,8034 -0,6634 -0,4801 -0,2698 -0,0685 0,0890 0,1976 0,2956 0,4481 0,7060 1,0802 1,5494 2,0686 2,5603 2,9279 3,1011 3,0680 2,8614 2,5282 2,1160 1,6732 1,2521 0,9099 0,6983 0,6410 0,7206 0,8855 1,0686 1,2070 1,2652 1,2501 1,2006 1,1569 1,1337 1,1174 1,0934 1,0752 1,0983 1,1908 1,3525 1,5551 1,7529 1,8932 1,9321 1,8489 1,6536 1,3874 1,1175 0,9151 0,8180 0,8157 0,8713 0,9519 1,0490 1,1768 1,3417 1,5190 1,6711 1,7799 1,8553 1,9229 2,0101 2,1379 2,3061 2,4747 2,5792 2,5730 2,4476 2,2174 1,8998 1,5091 1,0701 0,6403 0,2987 0,1081 0,1010 0,2898 0,6571 1,1325 1,6023 1,9551 2,1214 2,0831 1,8613 1,5033 1,0658 0,5958 0,1252 -0,3135 -0,6767 -0,9262 -1,0470 -1,0415 -0,9203 -0,7110 -0,4687 -0,2569 -0,1110 -0,0290 0,0133 0,0546 0,1379 0,2911 0,5153 0,7845 1,0592 1,3131 1,5405 1,7425 1,9149 2,0518 2,1545 2,2305 2,2779 2,2768 2,2008 2,0340 1,7835 1,4943 1,2459 1,1182 1,1551 1,3493 1,6473 1,9669 2,2205 2,3433 2,3153 2,1652 1,9528 1,7333 1,5308 1,3391 1,1333 0,8861 0,5922 0,2782 -0,0132 -0,2498 -0,4228 -0,5487 -0,6625 -0,7862 -0,8986 -0,9545 -0,9309 -0,8372 -0,6980 -0,5474 -0,4195 -0,3271 -0,2548 -0,1689 -0,0471 0,0799 0,1225 -0,0174 -0,3924 -0,9852 -1,7054 -2,4155 -2,9973 -3,4128 -3,6956 -3,8882 -3,9951 -3,9865 -3,8429 -3,5990 -3,3442 -3,1703 -3,1260 -3,2160 -3,4340 -3,7881 -4,2785 -4,8467 -5,3680 -5,7035 -5,7731 -5,5930 -5,2550 -4,8655 -4,4915 -4,1599 -3,8969 -3,7384 -3,6927 -3,7167 -3,7502 -3,7662 -3,7798 -3,8246 -3,9304 -4,1066 -4,3343
