Fp1   0,7457 0,6007 0,4878 0,4069 0,3832 0,4785 0,7390 1,1388 1,5900 1,9802 2,1964 2,1634 1,8830 1,4334 0,9254 0,4521 0,0719 -0,1733 -0,2549 -0,1772 0,0194 0,2852 0,5812 0,8740 1,1346 1,3676 1,6195 1,9211 2,2224 2,3971 2,2954 1,8065 0,9274 -0,2088 -1,4057 -2,5254 -3,5199 -4,3521 -4,9378 -5,1781 -5,0204 -4,4884 -3,6716 -2,6835 -1,6233 -0,5693 0,4112 1,2492 1,8602 2,1413 2,0009 1,4203 0,5087 -0,5010 -1,3342 -1,7890 -1,7993 -1,4220 -0,7844 -0,0339 0,6929 1,2723 1,6024 1,6569 1,5142 1,2731 0,9345 0,4080 -0,3495 -1,2175 -1,9525 -2,3488 -2,3696 -2,1546 -1,9123 -1,7716 -1,7121 -1,6267 -1,4375 -1,1458 -0,8072 -0,4944 -0,2615 -0,1125 -0,0155 0,0246 -0,0743 -0,4112 -1,0039 -1,7586 -2,5316 -3,2300 -3,8715 -4,5563 -5,3769 -6,3385 -7,3537 -8,3221 -9,2346 -10,1865 -11,2801 -12,5348 -13,8800 -15,1917 -16,3193 -17,1000 -17,3896 -17,1270 -16,3739 -15,2674 -13,9457 -12,5282 -11,1363 -9,9012 -8,9316 -8,2521 -7,7873 -7,4307 -7,1215 -6,8463 -6,5783 -6,2358 -5,7126 -4,9474 -3,9499 -2,7908 -1,6242 -0,6917 -0,1934 -0,1067 -0,1740 -0,0927 0,2843 0,8961 1,5561 2,0588 2,2412 2,0126 1,3798 0,4481 -0,6189 -1,6426 -2,4752 -3,0786 -3,5839 -4,2421 -5,2843 -6,7851 -8,5936 -10,3683 -11,7221 -12,3994 -12,3658 -11,7627 -10,7877 -9,5959 -8,2749 -6,8897 -5,5378 -4,3453 -3,3985 -2,6982 -2,2076 -1,9333 -1,9181 -2,1683 -2,6176 -3,1455 -3,5984 -3,8141 -3,6805 -3,2160 -2,5902 -2,0180 -1,5985 -1,2649 -0,9062 -0,5164 -0,1893 0,0175 0,1519 0,2794 0,3780 0,3679 0,2187 -0,0285 -0,3501 -0,8197 -1,5764 -2,6990 -4,1051 -5,5679 -6,8155 -7,6299 -7,9150 -7,7209 -7,2138 -6,6051 -6,0840 -5,7894 -5,7856 -6,0148 -6,3056 -6,4888 -6,5013 -6,3772 -6,1944 -6,0644 -6,1276 -6,4888 -7,1421 -7,9626 -8,7471 -9,2604 -9,2977 -8,7543 -7,6658 -6,2028 -4,6102 -3,1109 -1,8262 -0,7646 0,1086 0,7764 1,1302 1,0237 0,3821 -0,7076 -2,0087 -3,2545 -4,2798 -5,0568 -5,6332 -6,0618 -6,3845 -6,6546 -6,9465 -7,3249 -7,7909 -8,2667 -8,6361 -8,7941 -8,6785 -8,2964 -7,7187 -7,0270 -6,2647 -5,4361 -4,5601 -3,7308 -3,0850 -2,6796 -2,4203 -2,1319 -1,7076 -1,1902 -0,7088 -0,3474 -0,0827 0,1443 0,2997 0,2434 -0,1173 -0,6808 -1,1929 -1,4192 -1,2642 -0,7723 -0,0686 0,7120 1,4702 2,1341 2,6403 2,9489 3,0671 3,0391 2,9166 2,7414 2,5455 2,3690 2,2808 2,3553 2,6063 2,9573 3,2694 3,3915 3,2138 2,7022 1,9003 0,9146 -0,1106 -1,0260 -1,7035 -2,0696 -2,1495 -2,0703 -1,9899 -2,0156 -2,1789 -2,4453 -2,7348 -2,9565 -3,0417 -2,9735 -2,8158 -2,6838 -2,6356 -2,6042 -2,4609 -2,1417 -1,7100 -1,2893 -0,9354 -0,5864 -0,1228 0,5555 1,4911 2,6341 3,8152 4,7741 5,2436 5,0611 4,2555 3,0520 1,7797 0,7311 0,0671 -0,1740 -0,0149 0,4873 1,2227 2,0279 2,7238 3,1656 3,2846 3,1086 2,7506 2,3635 2,0864 2,0137 2,1818 2,5681 3,1065 3,6984 4,2003 4,4534 4,3967 4,1636 4,0276 4,2153 4,7506 5,4612 6,1152 6,5594 6,7732 6,8383 6,8809 7,0322 7,3911 7,9690 8,6680 9,3394 9,8613 10,1666 10,2411 10,1193 9,8625 9,5384 9,2251 9,0027 8,8990 8,8454 8,7095 8,3797 7,8391 7,1945 6,6274 6,2829 6,1766 6,1935 6,1786 6,0367 5,7601 5,4059 5,0745 4,8733 4,8666 5,0865 5,5857 6,4099 7,5120 8,7380 9,8877 10,7820 11,3166 11,4859 11,3699 11,0990 10,8023 10,5433 10,2917 9,9755 9,5701 9,1333 8,7661 8,5460 8,4840 8,5314 8,6305 8,7622 8,9497 9,2217 9,5707 9,9275 10,1587 10,1189 9,7446 9,1126 8,4083 7,8151 7,3888 7,0307 6,5961 6,0260 5,3798 4,7708 4,2895 3,9924 3,9260 4,0888 4,3727 4,6185 4,7393 4,7545 4,7259 4,6909 4,6304 4,4862 4,2151 3,8267 3,3748 2,9305 2,5544 2,2733 2,0851 1,9935 2,0247 2,2159 2,5881 3,1235 3,7821 4,5467 5,4287 6,4034 7,3301 7,9640 8,0965 7,7023 6,9448 6,0615 5,2519 4,6254 4,1845 3,8499 3,5303 3,1673 2,7247 2,1962 1,6665 1,3195 1,3299 1,7247 2,3436 2,9280 3,2723 3,3198 3,1315 2,7790 2,2870 1,6703 0,9901 0,3359 -0,2310 -0,6804 -1,0083 -1,3040 -1,7587 -2,4738 -3,2438 -3,6185 -3,2298 -2,0449 -0,3302 1,5647 3,3798 4,9798 6,3100 7,3506 8,0855 8,4784 8,4808 8,0883 7,3844 6,4964 5,5127 4,4811 3,4942 2,7480 2,4672 2,7252 3,3309 3,9252 4,2089 4,0944 3,6832 3,1403 2,5965 2,1219 1,7263 1,3595 0,9477 0,4683 -0,0182 -0,4188 -0,6802 -0,8172 -0,9216 -1,1526 -1,6571 -2,4590 -3,4392 -4,4084 -5,1842 -5,6287 -5,6491 -5,1909 -4,2653 -3,0018 -1,6558 -0,5296 0,1662 0,4138 0,3561 0,1686 -0,0399 -0,2392 -0,4321 -0,6020 -0,6954 -0,6446 -0,4000 0,0382 0,5914 1,1186 1,5015 1,7299 1,8892 2,0619 2,2611 2,4348 2,4883 2,3417 2,0222 1,6648 1,3820 1,1842 1,0474 0,9848 1,0059 1,0603 1,0701 0,9968 0,8543 0,6817 0,5108 0,3329 0,0927 -0,2582 -0,6997 -1,1471 -1,5021 -1,6869 -1,6574 -1,4460 -1,1941 -1,0676 -1,1096 -1,2152 -1,2360 -1,0745 -0,7216 -0,2529 0,2226 0,6149 0,8678 0,9819 1,0292 1,0885 1,1740 1,2804
Fz    1,2540 1,2739 1,1935 1,0419 0,8808 0,7803 0,7757 0,8435 0,9198 0,9386 0,8596 0,6859 0,4608 0,2414 0,0672 -0,0516 -0,1270 -0,1801 -0,2336 -0,2988 -0,3650 -0,4059 -0,4035 -0,3599 -0,2902 -0,2086 -0,1213 -0,0282 0,0739 0,1864 0,2990 0,3816 0,3984 0,3311 0,1835 -0,0326 -0,3031 -0,6010 -0,8846 -1,1173 -1,2807 -1,3648 -1,3548 -1,2385 -1,0262 -0,7605 -0,5031 -0,3024 -0,1657 -0,0620 0,0503 0,1965 0,3799 0,5888 0,8088 1,0268 1,2284 1,3944 1,5111 1,5840 1,6366 1,6850 1,7245 1,7532 1,7875 1,8287 1,8287 1,7135 1,4495 1,0898 0,7549 0,5603 0,5509 0,6902 0,9045 1,1463 1,4249 1,7817 2,2383 2,7692 3,3113 3,7874 4,1343 4,3302 4,3930 4,3430 4,1686 3,8335 3,3138 2,6237 1,8075 0,9106 -0,0393 -1,0307 -2,0540 -3,0850 -4,0805 -4,9918 -5,7886 -6,4607 -7,0004 -7,4013 -7,6794 -7,8751 -8,0235 -8,1226 -8,1331 -8,0143 -7,7557 -7,3690 -6,8662 -6,2620 -5,5930 -4,9218 -4,3188 -3,8397 -3,5172 -3,3669 -3,3892 -3,5620 -3,8316 -4,1168 -4,3358 -4,4364 -4,3973 -4,2130 -3,8985 -3,4988 -3,0653 -2,6085 -2,0936 -1,4946 -0,8442 -0,2203 0,3105 0,7247 1,0286 1,2357 1,3640 1,4426 1,5092 1,6031 1,7512 1,9502 2,1610 2,3284 2,4108 2,4057 2,3589 2,3482 2,4419 2,6581 2,9531 3,2494 3,4852 3,6505 3,7853 3,9421 4,1434 4,3707 4,5914 4,7865 4,9438 5,0382 5,0347 4,9141 4,6897 4,4060 4,1286 3,9283 3,8551 3,9088 4,0338 4,1512 4,2003 4,1513 3,9878 3,6836 3,2111 2,5820 1,8639 1,1393 0,4526 -0,1981 -0,8323 -1,4660 -2,1103 -2,7767 -3,4760 -4,2043 -4,9243 -5,5659 -6,0544 -6,3454 -6,4462 -6,4071 -6,2931 -6,1582 -6,0330 -5,9257 -5,8210 -5,6789 -5,4525 -5,1277 -4,7417 -4,3603 -4,0404 -3,8101 -3,6694 -3,5967 -3,5521 -3,4848 -3,3469 -3,1023 -2,7334 -2,2523 -1,7058 -1,1615 -0,6843 -0,3092 -0,0210 0,2378 0,5224 0,8388 1,1309 1,3033 1,2683 0,9915 0,5059 -0,1097 -0,7637 -1,3733 -1,8754 -2,2367 -2,4634 -2,5966 -2,7020 -2,8508 -3,0825 -3,3742 -3,6545 -3,8460 -3,8988 -3,8042 -3,5927 -3,3178 -3,0335 -2,7790 -2,5798 -2,4557 -2,4107 -2,4106 -2,3869 -2,2787 -2,0810 -1,8570 -1,6948 -1,6491 -1,7143 -1,8435 -1,9871 -2,1143 -2,1942 -2,1738 -1,9978 -1,6501 -1,1669 -0,6162 -0,0727 0,4022 0,7737 1,0359 1,2051 1,3073 1,3616 1,3756 1,3548 1,3067 1,2267 1,0986 0,9243 0,7417 0,6075 0,5740 0,6724 0,8958 1,1974 1,5115 1,7771 1,9525 2,0245 2,0147 1,9696 1,9318 1,9075 1,8568 1,7141 1,4298 1,0095 0,5213 0,0607 -0,2941 -0,5007 -0,5474 -0,4547 -0,2708 -0,0435 0,2061 0,4753 0,7531 1,0112 1,2222 1,3800 1,4995 1,6005 1,6943 1,7822 1,8551 1,8919 1,8641 1,7486 1,5495 1,3154 1,1307 1,0761 1,1843 1,4284 1,7524 2,1115 2,4808 2,8391 3,1630 3,4367 3,6628 3,8630 4,0650 4,2809 4,4967 4,6866 4,8347 4,9430 5,0302 5,1270 5,2612 5,4385 5,6461 5,8815 6,1667 6,5208 6,9187 7,2878 7,5510 7,6735 7,6731 7,5982 7,4997 7,4199 7,3946 7,4499 7,5886 7,7862 8,0095 8,2370 8,4573 8,6551 8,7983 8,8356 8,7148 8,4109 7,9351 7,3290 6,6620 6,0205 5,4792 5,0728 4,7964 4,6199 4,4956 4,3673 4,1929 3,9678 3,7310 3,5462 3,4777 3,5784 3,8727 4,3331 4,8818 5,4270 5,8948 6,2394 6,4479 6,5369 6,5399 6,4949 6,4341 6,3816 6,3631 6,4064 6,5128 6,6331 6,6914 6,6382 6,4821 6,2780 6,0954 5,9905 5,9884 6,0745 6,2066 6,3409 6,4510 6,5331 6,5973 6,6500 6,6827 6,6841 6,6599 6,6392 6,6615 6,7539 6,9156 7,1265 7,3625 7,5994 7,8021 7,9227 7,9226 7,7976 7,5680 7,2527 6,8744 6,4818 6,1402 5,8926 5,7331 5,6172 5,5001 5,3645 5,2169 5,0715 4,9468 4,8639 4,8385 4,8755 4,9620 5,0598 5,1183 5,1074 5,0340 4,9275 4,8199 4,7368 4,6926 4,6761 4,6436 4,5450 4,3619 4,1170 3,8555 3,6295 3,4941 3,4902 3,6163 3,8245 4,0474 4,2228 4,3091 4,2979 4,2114 4,0785 3,9091 3,6866 3,3807 2,9739 2,4851 1,9660 1,4653 0,9960 0,5440 0,1025 -0,3111 -0,6652 -0,9256 -1,0710 -1,1201 -1,1340 -1,1626 -1,1902 -1,1502 -0,9974 -0,7503 -0,4669 -0,1976 0,0385 0,2529 0,4735 0,7274 1,0253 1,3567 1,7015 2,0502 2,4109 2,7866 3,1511 3,4588 3,6804 3,8230 3,9204 4,0068 4,0963 4,1862 4,2756 4,3740 4,4913 4,6329 4,8051 5,0182 5,2727 5,5452 5,7959 5,9955 6,1421 6,2563 6,3609 6,4604 6,5269 6,5077 6,3650 6,1171 5,8342 5,6007 5,4792 5,4923 5,6255 5,8414 6,0925 6,3198 6,4507 6,4155 6,1848 5,7965 5,3392 4,9043 4,5467 4,2754 4,0672 3,8865 3,6977 3,4741 3,2080 2,9085 2,5835 2,2320 1,8611 1,5030 1,2037 0,9933 0,8730 0,8281 0,8411 0,8991 1,0029 1,1627 1,3713 1,5897 1,7696 1,8814 1,9141 1,8647 1,7422 1,5684 1,3610 1,1232 0,8559 0,5719 0,3011 0,0871 -0,0273 -0,0197 0,1074 0,3403 0,6672 1,0745 1,5332 1,9989 2,4299 2,8011 3,1027 3,3347 3,4989 3,5889 3,5879 3,4820 3,2775 3,0095 2,7218 2,4337 2,1343 1,8197
F3    1,7496 1,6326 1,5140 1,4072 1,3207 1,2456 1,1672 1,0780 0,9720 0,8448 0,7128 0,6160 0,5827 0,6018 0,6345 0,6331 0,5431 0,2980 -0,1517 -0,7712 -1,4172 -1,9087 -2,1294 -2,0647 -1,7638 -1,2947 -0,7280 -0,1285 0,4557 0,9865 1,4155 1,6867 1,7654 1,6544 1,3883 1,0225 0,6151 0,2026 -0,2048 -0,5994 -0,9585 -1,2580 -1,4837 -1,6196 -1,6593 -1,6411 -1,6420 -1,7114 -1,8079 -1,8025 -1,5480 -0,9621 -0,0808 0,9394 1,8805 2,5570 2,8941 2,9434 2,8302 2,6749 2,5460 2,4585 2,3949 2,3262 2,2265 2,0786 1,8818 1,6558 1,4300 1,2218 1,0315 0,8661 0,7593 0,7615 0,9063 1,1837 1,5461 1,9358 2,3062 2,6355 2,9313 3,2122 3,4760 3,6897 3,8099 3,8142 3,7093 3,5141 3,2499 2,9470 2,6342 2,3130 1,9426 1,4357 0,6733 -0,4430 -1,9249 -3,6650 -5,4535 -7,0344 -8,1857 -8,7945 -8,8908 -8,6208 -8,1650 -7,6520 -7,1371 -6,6416 -6,1869 -5,7935 -5,4641 -5,1790 -4,9046 -4,5977 -4,2146 -3,7374 -3,2038 -2,7092 -2,3712 -2,2839 -2,4914 -2,9745 -3,6453 -4,3587 -4,9489 -5,2786 -5,2748 -4,9402 -4,3481 -3,6127 -2,8391 -2,0974 -1,4430 -0,9347 -0,6152 -0,4830 -0,4955 -0,5863 -0,6741 -0,6683 -0,4900 -0,1024 0,4713 1,1563 1,8558 2,4804 2,9648 3,2949 3,5224 3,7278 3,9622 4,2210 4,4578 4,6259 4,7135 4,7367 4,7088 4,6329 4,5178 4,3847 4,2567 4,1410 4,0233 3,8901 3,7487 3,6315 3,5831 3,6273 3,7294 3,8007 3,7575 3,5784 3,2960 2,9501 2,5729 2,2003 1,8671 1,5935 1,3750 1,1757 0,9261 0,5387 -0,0537 -0,8651 -1,8596 -2,9664 -4,0719 -5,0264 -5,7013 -6,0561 -6,1486 -6,0863 -5,9704 -5,8711 -5,8351 -5,9086 -6,1412 -6,5525 -7,0987 -7,6889 -8,2285 -8,6336 -8,8213 -8,7206 -8,3095 -7,6469 -6,8618 -6,0987 -5,4573 -4,9593 -4,5436 -4,0902 -3,4895 -2,7158 -1,8393 -0,9909 -0,3194 0,0567 0,0926 -0,1696 -0,6149 -1,0890 -1,4499 -1,6233 -1,6288 -1,5589 -1,5241 -1,5984 -1,7936 -2,0749 -2,3969 -2,7278 -3,0419 -3,2984 -3,4500 -3,4766 -3,3926 -3,2246 -3,0023 -2,7690 -2,5955 -2,5718 -2,7607 -3,1442 -3,6112 -4,0136 -4,2601 -4,3648 -4,4188 -4,5216 -4,7239 -4,9921 -5,2219 -5,3101 -5,2188 -4,9641 -4,5639 -4,0290 -3,3993 -2,7649 -2,2463 -1,9416 -1,8650 -1,9302 -2,0101 -2,0243 -1,9804 -1,9461 -1,9858 -2,1112 -2,2789 -2,4164 -2,4517 -2,3469 -2,1224 -1,8420 -1,5679 -1,3378 -1,1782 -1,1097 -1,1253 -1,1732 -1,1731 -1,0551 -0,7969 -0,4339 -0,0404 0,2960 0,5002 0,5331 0,4092 0,1942 -0,0335 -0,2288 -0,3910 -0,5550 -0,7878 -1,1537 -1,6532 -2,2084 -2,7039 -3,0251 -3,0738 -2,7909 -2,1846 -1,3477 -0,4483 0,3147 0,7806 0,8820 0,6527 0,1875 -0,4047 -1,0121 -1,5208 -1,8500 -1,9905 -1,9844 -1,8855 -1,7484 -1,6163 -1,4966 -1,3473 -1,0936 -0,6794 -0,1279 0,4507 0,9264 1,2212 1,3208 1,2621 1,1326 1,0390 1,0351 1,0914 1,1469 1,1672 1,1554 1,1433 1,1808 1,3044 1,4985 1,6985 1,8541 1,9963 2,2253 2,6261 3,1978 3,8429 4,4122 4,7821 4,9115 4,8387 4,6441 4,4142 4,2220 4,1109 4,0896 4,1448 4,2664 4,4621 4,7428 5,0951 5,4761 5,8316 6,1089 6,2729 6,3145 6,2198 5,9414 5,4360 4,7203 3,8680 2,9713 2,1205 1,3970 0,8566 0,5138 0,3440 0,3104 0,3940 0,6020 0,9481 1,4228 1,9818 2,5660 3,1294 3,6442 4,0830 4,4064 4,5766 4,5863 4,4690 4,2790 4,0538 3,7975 3,4981 3,1504 2,7676 2,4010 2,1500 2,1209 2,3552 2,7945 3,3117 3,7760 4,0991 4,2391 4,1888 3,9831 3,7070 3,4591 3,3050 3,2707 3,3554 3,5301 3,7453 3,9595 4,1560 4,3247 4,4397 4,4628 4,3661 4,1478 3,8346 3,4723 3,1091 2,7749 2,4680 2,1680 1,8758 1,6369 1,5264 1,6068 1,8776 2,2508 2,5890 2,7833 2,8111 2,7384 2,6734 2,6977 2,8185 2,9831 3,1275 3,1997 3,1486 2,9244 2,5101 1,9443 1,3012 0,6582 0,0857 -0,3503 -0,5849 -0,5607 -0,2671 0,2171 0,7444 1,1676 1,3918 1,4028 1,2734 1,1165 1,0152 0,9938 1,0307 1,0801 1,0914 1,0217 0,8454 0,5754 0,2693 -0,0109 -0,2462 -0,4649 -0,7153 -1,0354 -1,4285 -1,8605 -2,2861 -2,6715 -3,0029 -3,2919 -3,5754 -3,9056 -4,3231 -4,8025 -5,2256 -5,4410 -5,3709 -5,0504 -4,5729 -4,0290 -3,4899 -3,0099 -2,6239 -2,3318 -2,0849 -1,8065 -1,4343 -0,9512 -0,3976 0,1446 0,5937 0,8992 1,0365 0,9918 0,7704 0,4151 0,0094 -0,3422 -0,5415 -0,5324 -0,3265 0,0138 0,4199 0,8386 1,2253 1,5462 1,7981 2,0189 2,2601 2,5463 2,8739 3,2179 3,5148 3,6756 3,6565 3,4956 3,2758 3,0681 2,9036 2,7619 2,5775 2,2885 1,8904 1,4372 1,0052 0,6598 0,4326 0,3093 0,2417 0,1745 0,0655 -0,1054 -0,3393 -0,6316 -0,9674 -1,3064 -1,5989 -1,8176 -1,9581 -2,0265 -2,0460 -2,0646 -2,1386 -2,2957 -2,5102 -2,7104 -2,8114 -2,7536 -2,5355 -2,2245 -1,9290 -1,7472 -1,7312 -1,8796 -2,1482 -2,4720 -2,7892 -3,0462 -3,2011 -3,2367 -3,1653 -3,0172 -2,8262 -2,6239 -2,4379 -2,2822 -2,1459 -2,0114 -1,8807 -1,7513 -1,5875 -1,3641 -1,1178 -0,9136 -0,7793 -0,6926 -0,6235 -0,5757 -0,5700 -0,5971 -0,6155 -0,5977 -0,5522 -0,5062 -0,4940 -0,5558
F7    0,4153 0,7291 0,9508 1,0694 1,0956 1,0429 0,9180 0,7243 0,4736 0,1913 -0,0891 -0,3254 -0,4684 -0,4860 -0,3924 -0,2429 -0,0952 0,0219 0,1072 0,1711 0,2222 0,2575 0,2588 0,2019 0,0756 -0,1020 -0,2790 -0,3927 -0,4084 -0,3290 -0,1770 0,0162 0,2082 0,3498 0,3956 0,3188 0,1290 -0,1173 -0,3394 -0,4841 -0,5570 -0,6000 -0,6468 -0,7043 -0,7557 -0,7664 -0,6963 -0,5291 -0,2963 -0,0639 0,1126 0,2283 0,3286 0,4737 0,7025 1,0162 1,3750 1,7069 1,9424 2,0581 2,0859 2,0805 2,0855 2,1249 2,2023 2,2928 2,3472 2,3198 2,2032 2,0399 1,8962 1,8153 1,7954 1,8142 1,8642 1,9639 2,1463 2,4372 2,8329 3,2901 3,7416 4,1272 4,4134 4,5892 4,6471 4,5738 4,3546 3,9837 3,4753 2,8660 2,1937 1,4767 0,7291 -0,0068 -0,6586 -1,1552 -1,4615 -1,5993 -1,6440 -1,6948 -1,8300 -2,0729 -2,3889 -2,7105 -2,9785 -3,1701 -3,2920 -3,3564 -3,3674 -3,3191 -3,1951 -2,9813 -2,6865 -2,3457 -2,0038 -1,7009 -1,4664 -1,3105 -1,2129 -1,1298 -1,0144 -0,8400 -0,6165 -0,3918 -0,2259 -0,1570 -0,1898 -0,3050 -0,4658 -0,6185 -0,7109 -0,7206 -0,6554 -0,5226 -0,3117 -0,0067 0,3929 0,8652 1,3794 1,9160 2,4677 3,0202 3,5414 3,9940 4,3586 4,6435 4,8757 5,0829 5,2804 5,4682 5,6346 5,7599 5,8213 5,7997 5,6884 5,5045 5,2935 5,1140 5,0102 4,9864 5,0079 5,0335 5,0415 5,0221 4,9656 4,8671 4,7358 4,5990 4,4991 4,4771 4,5441 4,6590 4,7421 4,7189 4,5453 4,2036 3,6941 3,0302 2,2359 1,3480 0,4149 -0,5110 -1,3830 -2,1638 -2,8258 -3,3513 -3,7315 -3,9680 -4,0799 -4,1091 -4,1135 -4,1490 -4,2531 -4,4357 -4,6814 -4,9528 -5,1930 -5,3432 -5,3659 -5,2555 -5,0358 -4,7568 -4,4851 -4,2814 -4,1757 -4,1576 -4,1837 -4,1997 -4,1664 -4,0667 -3,8936 -3,6491 -3,3577 -3,0629 -2,8041 -2,5978 -2,4316 -2,2657 -2,0498 -1,7551 -1,3975 -1,0314 -0,7185 -0,4957 -0,3668 -0,3224 -0,3605 -0,4834 -0,6895 -0,9684 -1,2985 -1,6526 -2,0077 -2,3489 -2,6677 -2,9625 -3,2437 -3,5270 -3,8126 -4,0718 -4,2554 -4,3156 -4,2337 -4,0435 -3,8223 -3,6477 -3,5555 -3,5357 -3,5536 -3,5748 -3,5812 -3,5707 -3,5464 -3,5111 -3,4764 -3,4742 -3,5480 -3,7260 -3,9989 -4,3192 -4,6192 -4,8371 -4,9443 -4,9583 -4,9294 -4,9025 -4,8806 -4,8272 -4,7055 -4,5140 -4,2913 -4,0975 -3,9857 -3,9825 -4,0875 -4,2740 -4,4886 -4,6628 -4,7470 -4,7318 -4,6373 -4,4943 -4,3378 -4,2012 -4,1033 -4,0388 -3,9811 -3,8972 -3,7626 -3,5703 -3,3319 -3,0729 -2,8284 -2,6319 -2,4925 -2,3793 -2,2480 -2,0859 -1,9270 -1,8325 -1,8670 -2,0722 -2,4454 -2,9344 -3,4505 -3,8926 -4,1818 -4,2924 -4,2506 -4,1054 -3,9046 -3,6846 -3,4683 -3,2728 -3,1171 -3,0153 -2,9697 -2,9716 -3,0019 -3,0325 -3,0330 -2,9782 -2,8542 -2,6691 -2,4579 -2,2721 -2,1569 -2,1304 -2,1771 -2,2546 -2,3156 -2,3341 -2,3062 -2,2292 -2,0927 -1,8908 -1,6340 -1,3441 -1,0424 -0,7444 -0,4613 -0,2018 0,0298 0,2322 0,3950 0,4916 0,4988 0,4208 0,2877 0,1379 0,0073 -0,0764 -0,1052 -0,0979 -0,0881 -0,0993 -0,1292 -0,1560 -0,1629 -0,1549 -0,1484 -0,1482 -0,1375 -0,0892 0,0158 0,1610 0,2844 0,3128 0,2072 -0,0254 -0,3468 -0,7034 -1,0412 -1,3203 -1,5220 -1,6456 -1,7014 -1,7062 -1,6797 -1,6431 -1,6208 -1,6390 -1,7201 -1,8768 -2,0995 -2,3456 -2,5551 -2,6813 -2,7097 -2,6545 -2,5430 -2,3981 -2,2321 -2,0495 -1,8534 -1,6478 -1,4324 -1,1923 -0,8992 -0,5343 -0,1169 0,2906 0,6123 0,7998 0,8527 0,8079 0,7161 0,6165 0,5244 0,4307 0,3090 0,1194 -0,1751 -0,5774 -1,0398 -1,4824 -1,8254 -2,0134 -2,0324 -1,9141 -1,7120 -1,4614 -1,1564 -0,7677 -0,2856 0,2478 0,7465 1,1178 1,2977 1,2612 1,0202 0,6227 0,1431 -0,3420 -0,7732 -1,1087 -1,3177 -1,3814 -1,2983 -1,0990 -0,8518 -0,6350 -0,4932 -0,4198 -0,3727 -0,3059 -0,1952 -0,0420 0,1412 0,3403 0,5318 0,6740 0,7177 0,6302 0,4105 0,0891 -0,2749 -0,6019 -0,8127 -0,8576 -0,7350 -0,4883 -0,1855 0,1035 0,3287 0,4762 0,5660 0,6327 0,7056 0,7922 0,8619 0,8467 0,6767 0,3282 -0,1652 -0,7431 -1,3479 -1,9338 -2,4669 -2,9256 -3,2942 -3,5669 -3,7618 -3,9154 -4,0524 -4,1665 -4,2284 -4,2123 -4,1166 -3,9666 -3,8044 -3,6666 -3,5626 -3,4753 -3,3832 -3,2750 -3,1454 -2,9886 -2,7996 -2,5759 -2,3193 -2,0366 -1,7281 -1,3829 -0,9933 -0,5700 -0,1431 0,2501 0,5814 0,8323 0,9805 1,0006 0,8857 0,6646 0,3944 0,1391 -0,0505 -0,1476 -0,1509 -0,0743 0,0633 0,2485 0,4826 0,7702 1,0955 1,4270 1,7449 2,0457 2,3174 2,5256 2,6278 2,6024 2,4628 2,2483 2,0034 1,7595 1,5237 1,2847 1,0258 0,7281 0,3759 -0,0251 -0,4417 -0,8400 -1,2093 -1,5517 -1,8561 -2,0949 -2,2582 -2,3831 -2,5395 -2,7832 -3,1172 -3,4850 -3,7955 -3,9647 -3,9579 -3,8066 -3,5825 -3,3523 -3,1598 -3,0307 -2,9728 -2,9733 -3,0104 -3,0640 -3,1103 -3,1166 -3,0567 -2,9333 -2,7819 -2,6574 -2,6140 -2,6822 -2,8537 -3,0835 -3,3128 -3,4964 -3,6146 -3,6579 -3,6035 -3,4177 -3,0889 -2,6505 -2,1666 -1,6931 -1,2571 -0,8724 -0,5602 -0,3381 -0,2033 -0,1427 -0,1514 -0,2275 -0,3563 -0,5106 -0,6676 -0,8172 -0,9532 -1,0599
