Fp1   0,2659 -0,1183 -0,2665 0,0100 0,6975 1,5898 2,4196 2,9817 3,1732 2,9811 2,4628 1,7269 0,9066 0,1063 -0,6546 -1,4198 -2,2144 -3,0078 -3,7128 -4,1719 -4,1796 -3,5870 -2,4192 -0,8995 0,6619 2,0241 3,0649 3,7074 3,8571 3,4551 2,5823 1,4605 0,3305 -0,6719 -1,5335 -2,2669 -2,8221 -3,1026 -3,0160 -2,4879 -1,5019 -0,2077 1,0475 1,8753 2,0453 1,5643 0,6475 -0,3780 -1,2256 -1,7796 -2,1116 -2,3671 -2,6196 -2,8294 -2,9153 -2,8283 -2,5594 -2,1232 -1,5774 -1,0527 -0,7260 -0,7365 -1,1306 -1,8705 -2,8572 -3,9269 -4,8472 -5,3679 -5,3200 -4,7014 -3,6906 -2,5714 -1,6036 -0,9186 -0,5091 -0,3015 -0,2159 -0,1630 -0,0500 0,1734 0,4863 0,7958 0,9495 0,7855 0,2246 -0,6608 -1,6718 -2,5948 -3,3110 -3,8180 -4,1645 -4,3680 -4,3746 -4,1002 -3,5216 -2,7011 -1,7328 -0,7022 0,3157 1,2497 2,0188 2,5242 2,6790 2,4603 1,9284 1,1821 0,2935 -0,7099 -1,8109 -2,9572 -4,0405 -4,9047 -5,3874 -5,3815 -4,8507 -3,8018 -2,3046 -0,5481 1,1878 2,6510 3,7108 4,3593 4,6599 4,6993 4,5703 4,3719 4,1838 4,0266 3,8659 3,6665 3,4368 3,2332 3,1392 3,2407 3,5921 4,1626 4,8005 5,2690 5,3546 4,9840 4,2698 3,4552 2,8026 2,4943 2,5741 2,9238 3,2995 3,4482 3,2368 2,6984 1,9928 1,3256 0,8508 0,6054 0,5291 0,5343 0,5490 0,5307 0,4753 0,4227 0,4507 0,6296 0,9586 1,3633 1,7524 2,0553 2,2354 2,3199 2,4146 2,6501 3,0795 3,6009 3,9918 4,0587 3,7737 3,2688 2,7194 2,2502 1,9203 1,7517 1,7319 1,7840 1,7911 1,6861 1,4906 1,2802 1,1518 1,1864 1,3880 1,6764 1,9743 2,2672 2,5524 2,7871 2,9312 3,0083 3,0994 3,2916 3,6343 4,1175 4,6612 5,1129 5,2862 5,0476 4,3982 3,4854 2,5102 1,6126 0,8366 0,1666 -0,4130 -0,8699 -1,1416 -1,1977 -1,0621 -0,7882 -0,4315 -0,0284 0,4118 0,8909 1,3946 1,8754 2,2608 2,4833 2,5058 2,3326 2,0121 1,6135 1,1768 0,6753 0,0277 -0,8417 -1,9292 -3,1172 -4,2174 -5,0692 -5,6110 -5,8674 -5,8857 -5,7002 -5,3305 -4,7879 -4,0975 -3,3230 -2,5688 -1,9699 -1,6600 -1,7019 -2,0269 -2,4505 -2,7630 -2,8230 -2,6009 -2,1868 -1,7554 -1,4696 -1,3895 -1,4681 -1,5993 -1,6570 -1,5466 -1,2594 -0,8662 -0,4649 -0,1298 0,1122 0,2813 0,4272 0,5878 0,7361 0,7802 0,6408 0,3117 -0,1596 -0,7057 -1,2428 -1,6846 -1,9778 -2,1064 -2,0681 -1,8826 -1,6085 -1,3087 -1,0152 -0,7498 -0,5386 -0,3816 -0,2546 -0,1656 -0,1753 -0,3439 -0,6734 -1,0906 -1,4528 -1,5914 -1,4020 -0,9305 -0,3734 0,0450 0,2301 0,2616 0,3039 0,5053 0,9507 1,6420 2,4887 3,3319 4,0174 4,4697 4,7022 4,7819 4,8040 4,8642 5,0157 5,2449 5,4928 5,7131 5,9146 6,1368 6,4005 6,6902 6,9693 7,1985 7,3519 7,4394 7,5093 7,6072 7,7375 7,8798 8,0331 8,2115 8,3776 8,4130 8,2153 7,8175 7,3798 7,0870 7,0573 7,2966 7,7153 8,2124 8,7469 9,3190 9,9260 10,5746 11,2947 12,0880 12,8975 13,6627 14,3665 15,0136 15,6014 16,1137 16,5011 16,6742 16,5605 16,1869 15,7026 15,3286 15,2758 15,6513 16,3963 17,3367 18,3201 19,2985 20,2869 21,2758 22,1819 22,8743 23,2501 23,2777 22,9732 22,3691 21,5249 20,5488 19,5807 18,7484 18,1308 17,7434 17,5422 17,4487 17,3952 17,3477 17,2754 17,1090 16,7610 16,1993 15,5116 14,8876 14,4889 14,3288 14,3247 14,4263 14,6294 14,9112 15,2207 15,5166 15,7751 15,9613 16,0114 15,8479 15,4404 14,8744 14,3237 13,9107 13,6030 13,2712 12,8384 12,3397 11,8555 11,4527 11,1981 11,1594 11,3395 11,6259 11,8422 11,8631 11,6951 11,4684 11,3415 11,3945 11,5901 11,7883 11,8067 11,5204 10,9313 10,1529 9,3582 8,7123 8,3001 8,1118 8,0812 8,1156 8,1274 8,0783 7,9850 7,8805 7,7770 7,6774 7,6115 7,6228 7,7271 7,9274 8,2531 8,7349 9,3347 9,9123 10,2571 10,1816 9,6445 8,8091 7,9687 7,3927 7,1935 7,2933 7,4911 7,5583 7,3275 6,7796 6,0671 5,4163 4,9953 4,8577 4,9533 5,1538 5,3003 5,2833 5,1002 4,8164 4,4739 4,0655 3,5839 3,0610 2,5799 2,2747 2,2837 2,6500 3,2501 3,8259 4,1288 4,0682 3,7115 3,1579 2,4793 1,7704 1,1791 0,8732 0,9833 1,5339 2,3985 3,3500 4,1717 4,7309 4,9790 4,9261 4,6245 4,1559 3,6122 3,0689 2,5669 2,1151 1,7041 1,3267 1,0003 0,7632 0,6436 0,6408 0,7261 0,8262 0,8172 0,5902 0,1343 -0,4736 -1,1376 -1,7885 -2,3820 -2,8700 -3,1769 -3,2096 -2,8963 -2,2300 -1,2869 -0,1901 0,9523 2,0581 3,0412 3,8112 4,2904 4,4148 4,1522 3,5550 2,7898 2,0835 1,6225 1,4782 1,6135 1,9584 2,4807 3,1700 3,9740 4,7903 5,5155 6,0825 6,4761 6,7495 7,0214 7,3924 7,8310 8,1905 8,3556 8,3485 8,2982 8,3159 8,3868 8,3850 8,1860 7,7619 7,1965 6,6318 6,1932 5,9508 5,9197 6,0547 6,2739 6,5270 6,8330 7,2468 7,8080 8,5141 9,2969 10,0122 10,4894 10,6133 10,3794 9,8940 9,3171 8,7755 8,3056 7,8661 7,4070 6,9518 6,6224 6,5512 6,7522 7,1131 7,5132 7,8918 8,2069 8,3941 8,4112 8,3125 8,2363 8,2976 8,5036 8,7722 9,0174 9,2097 9,3461 9,3957 9,3236
Fz    1,2842 0,9876 0,7676 0,7199 0,8408 1,0384 1,2013 1,2543 1,1700 0,9588 0,6609 0,3363 0,0492 -0,1638 -0,3282 -0,5140 -0,7729 -1,1035 -1,4541 -1,7291 -1,8084 -1,6044 -1,1230 -0,4717 0,1974 0,7602 1,1513 1,3438 1,3170 1,0646 0,6343 0,1309 -0,3406 -0,7334 -1,0630 -1,3512 -1,5710 -1,6552 -1,5414 -1,1996 -0,6473 0,0248 0,6539 1,0679 1,1643 0,9481 0,5224 0,0353 -0,3931 -0,7169 -0,9597 -1,1652 -1,3378 -1,4333 -1,4057 -1,2469 -0,9758 -0,6158 -0,2071 0,1700 0,4115 0,4440 0,2564 -0,1125 -0,5935 -1,0885 -1,4729 -1,6262 -1,4844 -1,0711 -0,4945 0,0901 0,5450 0,8119 0,9237 0,9564 0,9719 1,0014 1,0566 1,1323 1,2034 1,2290 1,1597 0,9512 0,5885 0,1049 -0,4253 -0,9206 -1,3291 -1,6401 -1,8652 -2,0101 -2,0581 -1,9798 -1,7681 -1,4479 -1,0496 -0,5906 -0,0881 0,4218 0,8727 1,1715 1,2349 1,0361 0,6194 0,0694 -0,5345 -1,1429 -1,7301 -2,2746 -2,7410 -3,0767 -3,2252 -3,1476 -2,8231 -2,2363 -1,3933 -0,3683 0,6930 1,6297 2,3272 2,7434 2,9053 2,8874 2,7813 2,6760 2,6424 2,7068 2,8420 2,9976 3,1408 3,2722 3,4206 3,6288 3,9294 4,3046 4,6631 4,8634 4,7813 4,3827 3,7533 3,0679 2,5179 2,2365 2,2509 2,4769 2,7590 2,9432 2,9385 2,7346 2,3867 1,9883 1,6288 1,3512 1,1453 0,9797 0,8349 0,7098 0,6126 0,5561 0,5647 0,6659 0,8585 1,0977 1,3236 1,4974 1,6141 1,7056 1,8406 2,1016 2,5297 3,0752 3,6106 4,0100 4,2230 4,2782 4,2345 4,1406 4,0273 3,9161 3,8150 3,7022 3,5383 3,3097 3,0451 2,7987 2,6339 2,6036 2,7119 2,9037 3,1140 3,3096 3,4732 3,5804 3,6120 3,5752 3,5039 3,4431 3,4311 3,4866 3,5951 3,6941 3,6913 3,5180 3,1721 2,7089 2,1933 1,6659 1,1505 0,6722 0,2670 -0,0165 -0,1377 -0,0941 0,0828 0,3540 0,6882 1,0582 1,4374 1,7989 2,1111 2,3338 2,4270 2,3696 2,1684 1,8603 1,5108 1,1861 0,9067 0,6261 0,2590 -0,2607 -0,9308 -1,6684 -2,3488 -2,8715 -3,2000 -3,3522 -3,3685 -3,2937 -3,1656 -2,9993 -2,7884 -2,5283 -2,2365 -1,9612 -1,7657 -1,6880 -1,7109 -1,7730 -1,8073 -1,7720 -1,6614 -1,5093 -1,3810 -1,3342 -1,3744 -1,4529 -1,5008 -1,4536 -1,2645 -0,9256 -0,4796 -0,0020 0,4366 0,7980 1,0810 1,3062 1,4860 1,5969 1,5865 1,4165 1,0979 0,6814 0,2337 -0,1769 -0,4930 -0,6835 -0,7430 -0,6764 -0,4975 -0,2412 0,0441 0,3128 0,5207 0,6259 0,6138 0,5093 0,3475 0,1442 -0,0925 -0,3367 -0,5359 -0,6190 -0,5229 -0,2320 0,1940 0,6303 0,9469 1,0846 1,0766 1,0102 0,9753 1,0338 1,2049 1,4664 1,7751 2,0978 2,4259 2,7619 3,1009 3,4316 3,7448 4,0310 4,2726 4,4512 4,5657 4,6413 4,7210 4,8425 5,0106 5,1912 5,3369 5,4164 5,4288 5,4037 5,3797 5,3758 5,3904 5,4279 5,5014 5,5907 5,6214 5,5208 5,2964 5,0364 4,8459 4,7911 4,8816 5,0858 5,3627 5,6825 6,0197 6,3491 6,6732 7,0297 7,4423 7,8814 8,2951 8,6574 8,9741 9,2654 9,5499 9,8226 10,0430 10,1546 10,1276 9,9940 9,8506 9,8157 9,9651 10,2915 10,7270 11,2036 11,6877 12,1669 12,6265 13,0393 13,3666 13,5692 13,6189 13,4996 13,2129 12,7931 12,3133 11,8618 11,5097 11,2954 11,2248 11,2719 11,3857 11,5127 11,6104 11,6359 11,5359 11,2659 10,8287 10,3023 9,8252 9,5182 9,4092 9,4520 9,5998 9,8229 10,0845 10,3419 10,5674 10,7498 10,8794 10,9402 10,9085 10,7645 10,5204 10,2232 9,9098 9,5673 9,1591 8,6894 8,2198 7,8196 7,5242 7,3455 7,2864 7,3207 7,3781 7,3781 7,2892 7,1567 7,0760 7,1245 7,3063 7,5521 7,7584 7,8307 7,7190 7,4315 7,0227 6,5783 6,1861 5,8955 5,7077 5,5991 5,5394 5,4975 5,4489 5,3846 5,3111 5,2400 5,1791 5,1340 5,1064 5,0928 5,1000 5,1587 5,2991 5,5048 5,6978 5,7685 5,6349 5,2974 4,8454 4,4053 4,0745 3,8807 3,7806 3,6929 3,5343 3,2442 2,8134 2,3028 1,8201 1,4669 1,2991 1,3091 1,4267 1,5499 1,6024 1,5728 1,4939 1,3889 1,2490 1,0577 0,8231 0,5859 0,4090 0,3540 0,4488 0,6620 0,9065 1,0934 1,1998 1,2688 1,3409 1,4234 1,5252 1,6805 1,9273 2,2787 2,7024 3,1136 3,3984 3,4617 3,2593 2,8008 2,1487 1,4134 0,7225 0,1738 -0,1999 -0,4277 -0,5657 -0,6620 -0,7387 -0,7913 -0,8057 -0,7793 -0,7220 -0,6463 -0,5807 -0,5821 -0,7004 -0,9265 -1,1942 -1,4281 -1,5885 -1,6737 -1,6876 -1,6114 -1,4072 -1,0468 -0,5412 0,0535 0,6629 1,2264 1,7037 2,0615 2,2745 2,3321 2,2376 2,0081 1,6875 1,3505 1,0801 0,9351 0,9345 1,0675 1,3184 1,6788 2,1345 2,6521 3,1902 3,7118 4,1785 4,5529 4,8170 4,9824 5,0647 5,0460 4,8860 4,5782 4,1829 3,8088 3,5534 3,4395 3,4124 3,4014 3,3788 3,3652 3,3957 3,4858 3,6285 3,8052 3,9806 4,1071 4,1612 4,1684 4,1886 4,2831 4,4863 4,7805 5,0872 5,2947 5,3088 5,0927 4,6817 4,1668 3,6493 3,1946 2,8197 2,5202 2,3111 2,2391 2,3407 2,5848 2,8800 3,1457 3,3545 3,5024 3,5753 3,5633 3,4978 3,4501 3,4860 3,6262 3,8465 4,1081 4,3827 4,6418 4,8381 4,9208
F3    1,5396 0,9939 0,5708 0,4460 0,6397 1,0286 1,4395 1,7252 1,7976 1,6455 1,3353 0,9756 0,6615 0,4249 0,2112 -0,0805 -0,5186 -1,0945 -1,7193 -2,2423 -2,4985 -2,3703 -1,8353 -0,9847 0,0043 0,9334 1,6421 2,0279 2,0327 1,6503 0,9677 0,1582 -0,6075 -1,2500 -1,7819 -2,2244 -2,5348 -2,6234 -2,4233 -1,9252 -1,1794 -0,3032 0,5266 1,1330 1,4061 1,3316 0,9834 0,4890 -0,0276 -0,4963 -0,9155 -1,3069 -1,6502 -1,8819 -1,9594 -1,8954 -1,7162 -1,4219 -1,0221 -0,5938 -0,2613 -0,1178 -0,1866 -0,4424 -0,8363 -1,2927 -1,7021 -1,9350 -1,8882 -1,5438 -0,9978 -0,4213 0,0359 0,3252 0,4973 0,6325 0,7791 0,9472 1,1269 1,2877 1,3737 1,3251 1,1132 0,7481 0,2625 -0,2986 -0,8802 -1,4307 -1,9190 -2,3363 -2,6747 -2,9107 -3,0048 -2,9191 -2,6448 -2,2097 -1,6546 -1,0128 -0,3131 0,4012 1,0460 1,4920 1,6098 1,3424 0,7415 -0,0665 -0,9428 -1,7793 -2,5163 -3,1324 -3,6069 -3,8962 -3,9553 -3,7718 -3,3588 -2,7214 -1,8642 -0,8464 0,2043 1,1464 1,8823 2,3748 2,6373 2,7225 2,7069 2,6816 2,7337 2,9026 3,1532 3,4073 3,5987 3,7001 3,7223 3,7163 3,7593 3,8960 4,0798 4,1844 4,0856 3,7479 3,2524 2,7550 2,4142 2,3211 2,4568 2,7000 2,8887 2,9021 2,7058 2,3420 1,8972 1,4723 1,1422 0,9140 0,7292 0,5195 0,2679 0,0244 -0,1321 -0,1383 0,0366 0,3831 0,8390 1,3035 1,6819 1,9187 2,0043 1,9823 1,9526 2,0334 2,2893 2,6822 3,0899 3,3846 3,5010 3,4437 3,2553 2,9888 2,6954 2,4260 2,2180 2,0619 1,9072 1,7193 1,5076 1,3091 1,1711 1,1312 1,1858 1,2881 1,3995 1,5204 1,6558 1,7854 1,8830 1,9413 1,9769 2,0198 2,0893 2,1757 2,2411 2,2244 2,0616 1,7284 1,2702 0,7745 0,3089 -0,1080 -0,4811 -0,8116 -1,0915 -1,2986 -1,3960 -1,3486 -1,1432 -0,8000 -0,3755 0,0504 0,4040 0,6482 0,7822 0,8104 0,7249 0,5174 0,1928 -0,2192 -0,6561 -1,0522 -1,3924 -1,7243 -2,1181 -2,6155 -3,1939 -3,7676 -4,2383 -4,5569 -4,7396 -4,8395 -4,9088 -4,9736 -5,0248 -5,0234 -4,9264 -4,7227 -4,4497 -4,1829 -4,0002 -3,9307 -3,9316 -3,9209 -3,8396 -3,6923 -3,5361 -3,4382 -3,4440 -3,5635 -3,7645 -3,9814 -4,1402 -4,1795 -4,0637 -3,7932 -3,4075 -2,9701 -2,5398 -2,1453 -1,7806 -1,4255 -1,0866 -0,8265 -0,7371 -0,8728 -1,2101 -1,6704 -2,1657 -2,6156 -2,9487 -3,1245 -3,1495 -3,0578 -2,8895 -2,6903 -2,5045 -2,3585 -2,2710 -2,2699 -2,3725 -2,5536 -2,7590 -2,9430 -3,0813 -3,1603 -3,1702 -3,1015 -2,9450 -2,7043 -2,4169 -2,1642 -2,0362 -2,0633 -2,1837 -2,2898 -2,2996 -2,1882 -1,9747 -1,6964 -1,3844 -1,0478 -0,6850 -0,3112 0,0362 0,3207 0,5243 0,6449 0,6883 0,6703 0,6225 0,5898 0,6211 0,7443 0,9369 1,1307 1,2538 1,2638 1,1575 0,9754 0,7818 0,6255 0,5274 0,5001 0,5471 0,6311 0,6690 0,5864 0,3796 0,1198 -0,0944 -0,1920 -0,1563 -0,0077 0,2338 0,5611 0,9551 1,3745 1,7910 2,2106 2,6289 2,9966 3,2644 3,4415 3,5866 3,7590 3,9834 4,2382 4,4678 4,6077 4,6083 4,4648 4,2447 4,0738 4,0665 4,2622 4,6332 5,1366 5,7425 6,4257 7,1512 7,8695 8,5149 9,0128 9,2942 9,3109 9,0567 8,5913 8,0349 7,5232 7,1567 6,9739 6,9514 7,0190 7,0834 7,0644 6,9211 6,6524 6,2806 5,8364 5,3578 4,9128 4,6078 4,5287 4,6644 4,9226 5,2062 5,4489 5,6149 5,7119 5,7890 5,8946 6,0342 6,1713 6,2553 6,2570 6,1945 6,1178 6,0468 5,9332 5,7027 5,3335 4,8791 4,4153 3,9913 3,6320 3,3551 3,1575 2,9998 2,8280 2,6200 2,4157 2,3028 2,3591 2,5899 2,9156 3,2148 3,3836 3,3742 3,1948 2,8906 2,5310 2,1938 1,9401 1,8042 1,7877 1,8488 1,9115 1,9051 1,8060 1,6447 1,4672 1,3006 1,1587 1,0596 1,0268 1,0914 1,2948 1,6602 2,1405 2,6034 2,8823 2,8576 2,5198 1,9771 1,3951 0,9132 0,5892 0,3997 0,2755 0,1291 -0,1273 -0,5388 -1,0628 -1,5796 -1,9617 -2,1424 -2,1365 -2,0155 -1,8664 -1,7539 -1,6973 -1,6859 -1,7154 -1,7972 -1,9353 -2,1091 -2,2816 -2,4138 -2,4685 -2,4189 -2,2699 -2,0719 -1,8927 -1,7671 -1,6853 -1,6301 -1,5920 -1,5431 -1,4280 -1,1931 -0,8208 -0,3545 0,0986 0,4122 0,5031 0,3560 0,0052 -0,4836 -1,0239 -1,5278 -1,9330 -2,2216 -2,4191 -2,5703 -2,7157 -2,8766 -3,0473 -3,2000 -3,3075 -3,3555 -3,3392 -3,2764 -3,2303 -3,2786 -3,4443 -3,6748 -3,8859 -4,0188 -4,0563 -3,9991 -3,8420 -3,5660 -3,1470 -2,5856 -1,9321 -1,2701 -0,6816 -0,2334 0,0235 0,0679 -0,0828 -0,3860 -0,7874 -1,2210 -1,6112 -1,8878 -2,0087 -1,9703 -1,7910 -1,4864 -1,0720 -0,5876 -0,0927 0,3732 0,8115 1,2377 1,6477 2,0177 2,3267 2,5547 2,6548 2,5598 2,2398 1,7489 1,2161 0,7808 0,5117 0,3827 0,3275 0,3064 0,3171 0,3688 0,4629 0,5949 0,7500 0,8889 0,9668 0,9869 1,0174 1,1457 1,4227 1,8419 2,3377 2,7923 3,0660 3,0504 2,7187 2,1450 1,4689 0,8215 0,2700 -0,1822 -0,5521 -0,8235 -0,9357 -0,8446 -0,5946 -0,2984 -0,0473 0,1317 0,2364 0,2550 0,1860 0,0697 -0,0163 0,0027 0,1628 0,4494 0,8093 1,1756 1,4799 1,6553 1,6565
F7    1,7192 1,6745 1,6570 1,6151 1,5195 1,3608 1,1449 0,9002 0,6722 0,4977 0,3815 0,3014 0,2351 0,1692 0,0815 -0,0576 -0,2565 -0,5057 -0,7977 -1,1008 -1,3271 -1,3740 -1,1995 -0,8452 -0,3953 0,0728 0,5047 0,8471 1,0360 1,0308 0,8465 0,5381 0,1672 -0,2145 -0,5680 -0,8697 -1,1147 -1,3036 -1,4139 -1,4010 -1,2327 -0,9247 -0,5532 -0,2282 -0,0401 -0,0181 -0,1203 -0,2645 -0,3847 -0,4620 -0,5197 -0,6059 -0,7593 -0,9682 -1,1618 -1,2473 -1,1660 -0,9240 -0,5840 -0,2415 0,0110 0,1235 0,1000 -0,0228 -0,2025 -0,3957 -0,5444 -0,5798 -0,4594 -0,1978 0,1307 0,4215 0,5919 0,6242 0,5639 0,4732 0,3851 0,3012 0,2176 0,1397 0,0723 0,0012 -0,1037 -0,2603 -0,4553 -0,6440 -0,7622 -0,7569 -0,6179 -0,3817 -0,1200 0,0823 0,1702 0,1398 0,0186 -0,1441 -0,2700 -0,2785 -0,1318 0,1481 0,4903 0,7981 0,9882 1,0235 0,9103 0,6749 0,3452 -0,0558 -0,4948 -0,9162 -1,2635 -1,4944 -1,5657 -1,4308 -1,0650 -0,4877 0,2312 0,9824 1,6547 2,1705 2,4933 2,6243 2,6167 2,5743 2,5997 2,7336 2,9471 3,1811 3,3821 3,5178 3,5841 3,6054 3,6194 3,6517 3,6978 3,7262 3,6988 3,5911 3,3998 3,1401 2,8407 2,5390 2,2651 2,0281 1,8218 1,6388 1,4809 1,3608 1,2869 1,2498 1,2325 1,2304 1,2529 1,3053 1,3737 1,4308 1,4574 1,4552 1,4434 1,4528 1,5117 1,6202 1,7360 1,7976 1,7629 1,6338 1,4605 1,3258 1,3029 1,4188 1,6453 1,9131 2,1432 2,2919 2,3762 2,4550 2,5802 2,7585 2,9531 3,1081 3,1650 3,0797 2,8477 2,5149 2,1486 1,7931 1,4636 1,1739 0,9430 0,7833 0,6970 0,6726 0,6737 0,6385 0,5072 0,2603 -0,0603 -0,3638 -0,5446 -0,5246 -0,3031 0,0121 0,2448 0,2486 -0,0215 -0,5160 -1,1450 -1,8218 -2,4837 -3,0996 -3,6509 -4,1038 -4,4263 -4,6282 -4,7492 -4,8074 -4,7828 -4,6458 -4,3843 -4,0169 -3,5975 -3,2098 -2,9445 -2,8608 -2,9525 -3,1596 -3,4178 -3,6948 -3,9863 -4,3037 -4,6685 -5,0962 -5,5693 -6,0265 -6,3850 -6,5831 -6,6068 -6,4840 -6,2722 -6,0431 -5,8529 -5,7146 -5,6082 -5,5194 -5,4643 -5,4811 -5,5994 -5,8153 -6,0840 -6,3247 -6,4443 -6,3783 -6,1272 -5,7627 -5,3980 -5,1326 -5,0111 -5,0154 -5,0733 -5,0830 -4,9644 -4,7055 -4,3657 -4,0341 -3,7702 -3,5723 -3,4076 -3,2559 -3,1165 -3,0045 -2,9549 -3,0069 -3,1823 -3,4818 -3,8780 -4,3125 -4,7146 -5,0295 -5,2336 -5,3358 -5,3652 -5,3475 -5,2843 -5,1628 -4,9978 -4,8487 -4,7802 -4,8173 -4,9511 -5,1633 -5,4341 -5,7386 -6,0364 -6,2631 -6,3538 -6,2822 -6,0765 -5,8054 -5,5451 -5,3458 -5,2196 -5,1474 -5,0883 -4,9972 -4,8533 -4,6759 -4,5183 -4,4421 -4,4769 -4,5980 -4,7443 -4,8570 -4,9012 -4,8717 -4,7947 -4,7165 -4,6718 -4,6625 -4,6713 -4,6853 -4,7008 -4,7136 -4,7198 -4,7258 -4,7426 -4,7771 -4,8454 -4,9755 -5,1750 -5,4088 -5,6272 -5,8157 -6,0152 -6,2814 -6,6172 -6,9527 -7,1938 -7,2778 -7,1926 -6,9680 -6,6548 -6,2997 -5,9307 -5,5646 -5,2221 -4,9270 -4,6960 -4,5297 -4,4068 -4,2999 -4,2042 -4,1433 -4,1502 -4,2515 -4,4607 -4,7685 -5,1240 -5,4314 -5,5826 -5,5112 -5,2364 -4,8643 -4,5237 -4,2821 -4,1215 -3,9757 -3,7795 -3,5009 -3,1567 -2,8045 -2,5132 -2,3329 -2,2775 -2,3214 -2,4189 -2,5377 -2,6741 -2,8339 -3,0079 -3,1749 -3,3127 -3,3961 -3,4021 -3,3382 -3,2610 -3,2443 -3,3237 -3,4709 -3,6290 -3,7826 -3,9745 -4,2310 -4,4933 -4,6396 -4,5595 -4,2168 -3,6677 -3,0304 -2,4323 -1,9677 -1,6813 -1,5691 -1,5914 -1,7034 -1,8871 -2,1573 -2,5251 -2,9527 -3,3584 -3,6718 -3,8694 -3,9578 -3,9521 -3,8883 -3,8388 -3,8853 -4,0614 -4,3233 -4,5775 -4,7448 -4,7970 -4,7447 -4,6182 -4,4678 -4,3505 -4,3000 -4,3214 -4,4090 -4,5433 -4,6895 -4,8194 -4,9231 -4,9954 -5,0223 -4,9904 -4,9110 -4,8289 -4,8024 -4,8708 -5,0346 -5,2626 -5,5121 -5,7350 -5,8770 -5,8985 -5,8030 -5,6408 -5,4803 -5,3736 -5,3374 -5,3566 -5,4008 -5,4401 -5,4648 -5,5037 -5,6123 -5,8263 -6,1296 -6,4684 -6,7870 -7,0523 -7,2507 -7,3742 -7,4286 -7,4501 -7,4886 -7,5684 -7,6721 -7,7655 -7,8349 -7,8928 -7,9514 -8,0045 -8,0337 -8,0189 -7,9470 -7,8214 -7,6734 -7,5587 -7,5252 -7,5769 -7,6779 -7,7894 -7,8844 -7,9304 -7,8839 -7,7194 -7,4526 -7,1369 -6,8455 -6,6496 -6,5993 -6,7040 -6,9276 -7,2047 -7,4642 -7,6510 -7,7443 -7,7697 -7,7843 -7,8396 -7,9637 -8,1637 -8,4224 -8,6938 -8,9125 -9,0191 -8,9991 -8,9007 -8,8041 -8,7643 -8,7878 -8,8512 -8,9239 -8,9759 -8,9846 -8,9370 -8,8192 -8,6073 -8,2752 -7,8158 -7,2581 -6,6616 -6,0877 -5,5733 -5,1264 -4,7446 -4,4326 -4,2093 -4,1108 -4,1704 -4,3790 -4,6755 -4,9772 -5,2227 -5,3990 -5,5223 -5,5920 -5,5753 -5,4316 -5,1446 -4,7417 -4,2842 -3,8284 -3,3920 -2,9589 -2,5222 -2,1310 -1,8831 -1,8564 -2,0531 -2,4024 -2,8145 -3,2424 -3,6885 -4,1571 -4,6214 -5,0338 -5,3480 -5,5327 -5,5743 -5,4713 -5,2366 -4,9075 -4,5396 -4,1769 -3,8300 -3,4907 -3,1644 -2,8806 -2,6852 -2,6277 -2,7514 -3,0802 -3,6002 -4,2522 -4,9507 -5,6121 -6,1705 -6,5755 -6,7823 -6,7590 -6,5196 -6,1540 -5,8011 -5,5739 -5,5162 -5,6201 -5,8510 -6,1504 -6,4412 -6,6531 -6,7464 -6,7155 -6,5773 -6,3597 -6,0984 -5,8445 -5,6599 -5,5780
