Fp1   0,6218 0,7615 0,6221 0,2432 -0,2301 -0,6039 -0,7268 -0,5603 -0,1864 0,2365 0,5371 0,5917 0,3719 -0,0320 -0,4358 -0,6460 -0,5508 -0,1445 0,5041 1,2816 2,0446 2,6430 2,9647 2,9842 2,7697 2,4323 2,0576 1,6644 1,2116 0,6367 -0,0955 -0,9512 -1,8175 -2,5432 -2,9995 -3,1160 -2,8995 -2,4358 -1,8626 -1,3213 -0,9050 -0,6253 -0,4318 -0,2791 -0,1672 -0,1160 -0,1190 -0,1371 -0,1329 -0,1080 -0,1070 -0,1778 -0,3264 -0,5091 -0,6652 -0,7522 -0,7605 -0,7167 -0,6940 -0,8060 -1,1447 -1,7012 -2,3480 -2,9009 -3,2040 -3,1743 -2,8090 -2,1909 -1,4853 -0,9078 -0,6608 -0,8586 -1,4849 -2,4003 -3,3736 -4,1310 -4,4508 -4,2665 -3,6952 -2,9675 -2,3241 -1,9462 -1,9300 -2,2785 -2,8925 -3,5759 -4,0894 -4,2692 -4,1322 -3,8600 -3,6697 -3,6862 -3,9038 -4,2335 -4,5840 -4,9132 -5,2188 -5,5073 -5,7834 -6,0504 -6,3017 -6,5128 -6,6450 -6,6560 -6,5143 -6,2001 -5,6897 -4,9608 -4,0357 -3,0165 -2,0628 -1,3246 -0,8945 -0,8098 -1,0674 -1,6221 -2,3925 -3,2940 -4,2635 -5,2569 -6,2350 -7,1499 -7,9445 -8,5745 -9,0227 -9,2859 -9,3679 -9,2882 -9,0816 -8,7957 -8,4888 -8,2016 -7,9342 -7,6755 -7,4395 -7,2514 -7,1103 -6,9856 -6,8512 -6,7212 -6,6643 -6,7785 -7,1254 -7,6864 -8,3838 -9,1175 -9,7766 -10,2457 -10,4303 -10,2883 -9,8477 -9,2035 -8,4838 -7,7878 -7,1375 -6,4870 -5,7659 -4,9207 -3,9560 -2,9566 -2,0587 -1,3871 -1,0052 -0,8921 -0,9457 -1,0223 -1,0048 -0,8611 -0,6602 -0,5330 -0,5995 -0,9005 -1,3661 -1,8343 -2,1128 -2,0428 -1,5339 -0,5809 0,7254 2,2115 3,6687 4,9149 5,8367 6,4018 6,6481 6,6621 6,5455 6,3763 6,1751 5,9166 5,5964 5,2820 5,0845 5,0904 5,3338 5,8157 6,5142 7,3618 8,2282 8,9502 9,3882 9,4655 9,1812 8,6052 7,8600 7,0986 6,4926 6,2072 6,3430 6,8768 7,6709 8,5553 9,4018 10,1379 10,7393 11,2293 11,6543 12,0357 12,3423 12,5126 12,5039 12,3161 11,9824 11,5596 11,1314 10,8028 10,6673 10,7578 11,0314 11,4171 11,8668 12,3365 12,7333 12,9242 12,8153 12,4287 11,9107 11,4719 11,3126 11,5666 12,2482 13,2167 14,2112 14,9595 15,2886 15,1728 14,7125 14,0719 13,4080 12,8148 12,3015 11,8146 11,2869 10,6879 10,0607 9,5239 9,2204 9,2512 9,6386 10,3221 11,1750 12,0325 12,7218 13,0949 13,0739 12,6861 12,0482 11,3071 10,5889 9,9884 9,5918 9,4855 9,7212 10,2698 11,0041 11,7211 12,1982 12,2746 11,9212 11,2546 10,4737 9,7529 9,1706 8,7276 8,4186 8,2750 8,3414 8,6188 9,0302 9,4328 9,6690 9,6345 9,3380 8,9104 8,5480 8,4170 8,5748 8,9468 9,3643 9,6367 9,6255 9,2867 8,6664 7,8797 7,0917 6,4728 6,1324 6,0846 6,2667 6,5699 6,8610 7,0116 6,9430 6,6532 6,2078 5,7106 5,2708 4,9800 4,9019 5,0684 5,4721 6,0669 6,7858 7,5549 8,2973 8,9391 9,4153 9,6715 9,6751 9,4340 8,9995 8,4361 7,7782 7,0191 6,1531 5,2295 4,3637 3,6915 3,2916 3,1310 3,0786 2,9836 2,7629 2,4374 2,1189 1,9659 2,1097 2,5848 3,3224 4,1988 5,0792 5,8420 6,4018 6,7223 6,8059 6,6844 6,4127 6,0460 5,6018 5,0501 4,3551 3,5244 2,6161 1,7179 0,9338 0,3806 0,1632 0,3212 0,7869 1,4122 2,0550 2,6476 3,1895 3,6969 4,1818 4,6674 5,1902 5,7578 6,2946 6,6404 6,6189 6,1238 5,1754 3,9247 2,6135 1,4999 0,7789 0,5342 0,7394 1,2817 1,9847 2,6443 3,0854 3,2196 3,0736 2,7706 2,4609 2,2427 2,1415 2,1536 2,2740 2,4767 2,7058 2,9067 3,0641 3,2030 3,3530 3,5131 3,6418 3,6725 3,5462 3,2369 2,7553 2,1500 1,5179 0,9882 0,6692 0,5945 0,7075 0,8926 1,0252 1,0051 0,7678 0,2920 -0,3816 -1,1324 -1,7791 -2,1532 -2,1779 -1,8841 -1,3707 -0,7586 -0,1588 0,3490 0,7147 0,9000 0,8802 0,6664 0,3081 -0,1339 -0,6084 -1,0676 -1,4580 -1,7293 -1,8431 -1,7689 -1,4916 -1,0441 -0,5331 -0,1208 0,0315 -0,1789 -0,7546 -1,5803 -2,4572 -3,1854 -3,6384 -3,7904 -3,7127 -3,5476 -3,4495 -3,5064 -3,6991 -3,9261 -4,0598 -4,0096 -3,7705 -3,4242 -3,0834 -2,8348 -2,7268 -2,7713 -2,9353 -3,1440 -3,3061 -3,3447 -3,2204 -2,9386 -2,5543 -2,1726 -1,9165 -1,8631 -2,0029 -2,2582 -2,5269 -2,7202 -2,7960 -2,7762 -2,7367 -2,7849 -3,0223 -3,4891 -4,1428 -4,8957 -5,6517 -6,2997 -6,7105 -6,7884 -6,5430 -6,1096 -5,7005 -5,5098 -5,6312 -6,0413 -6,6443 -7,3253 -7,9887 -8,5793 -9,0807 -9,4915 -9,8067 -10,0242 -10,1569 -10,2187 -10,1879 -9,9900 -9,5553 -8,9163 -8,2329 -7,7179 -7,5337 -7,7178 -8,1652 -8,6881 -9,1119 -9,3366 -9,3374 -9,1321 -8,7569 -8,2697 -7,7642 -7,3598 -7,1572 -7,1884 -7,3969 -7,6653 -7,8748 -7,9536 -7,8895 -7,7196 -7,5155 -7,3576 -7,2983 -7,3469 -7,4803 -7,6447 -7,7561 -7,7315 -7,5313 -7,1720 -6,7082 -6,2048 -5,7121 -5,2559 -4,8481 -4,5025 -4,2359 -4,0675 -4,0279 -4,1630 -4,5142 -5,0821 -5,7978 -6,5228 -7,0884 -7,3558 -7,2582 -6,8157 -6,1352 -5,3759 -4,6875 -4,1655 -3,8449 -3,7151 -3,7459 -3,9083 -4,1726 -4,4951 -4,8225 -5,1171 -5,3772 -5,6343 -5,9313 -6,2865 -6,6713 -7,0289 -7,3131 -7,5015 -7,5815 -7,5536 -7,4575 -7,3774 -7,4042 -7,5833 -7,8802 -8,1851 -8,3615 -8,3117 -8,0192 -7,5501
Fz    1,0423 1,0854 1,0713 0,9976 0,8831 0,7717 0,7224 0,7786 0,9408 1,1669 1,3949 1,5668 1,6423 1,6069 1,4781 1,3040 1,1411 1,0202 0,9257 0,8033 0,5849 0,2221 -0,2789 -0,8428 -1,3543 -1,7114 -1,8572 -1,7835 -1,5284 -1,1750 -0,8329 -0,5982 -0,5166 -0,5719 -0,6969 -0,8005 -0,8055 -0,6815 -0,4561 -0,2040 -0,0170 0,0341 -0,0747 -0,3174 -0,6279 -0,9220 -1,1270 -1,2057 -1,1620 -1,0351 -0,8894 -0,7985 -0,8244 -0,9927 -1,2783 -1,6128 -1,9114 -2,1074 -2,1842 -2,1829 -2,1752 -2,2229 -2,3505 -2,5434 -2,7614 -2,9560 -3,0921 -3,1672 -3,2078 -3,2485 -3,3226 -3,4594 -3,6700 -3,9322 -4,1920 -4,3795 -4,4333 -4,3275 -4,0845 -3,7667 -3,4585 -3,2491 -3,2077 -3,3508 -3,6300 -3,9529 -4,2189 -4,3584 -4,3626 -4,2843 -4,2070 -4,2053 -4,3143 -4,5199 -4,7716 -5,0085 -5,1734 -5,2264 -5,1705 -5,0627 -4,9784 -4,9623 -5,0106 -5,0876 -5,1491 -5,1493 -5,0413 -4,7945 -4,4275 -4,0187 -3,6787 -3,4971 -3,5001 -3,6516 -3,8853 -4,1330 -4,3401 -4,4798 -4,5607 -4,6190 -4,6992 -4,8384 -5,0586 -5,3645 -5,7396 -6,1463 -6,5366 -6,8739 -7,1519 -7,3996 -7,6631 -7,9696 -8,3093 -8,6487 -8,9483 -9,1692 -9,2775 -9,2535 -9,1050 -8,8732 -8,6216 -8,4075 -8,2567 -8,1622 -8,1006 -8,0403 -7,9396 -7,7621 -7,5029 -7,2020 -6,9276 -6,7381 -6,6500 -6,6311 -6,6188 -6,5423 -6,3388 -5,9766 -5,4801 -4,9258 -4,3994 -3,9534 -3,5974 -3,3133 -3,0657 -2,8055 -2,4828 -2,0693 -1,5777 -1,0647 -0,6071 -0,2629 -0,0459 0,0741 0,1605 0,2950 0,5502 0,9593 1,5017 2,1100 2,6917 3,1577 3,4508 3,5685 3,5672 3,5357 3,5563 3,6741 3,8761 4,0938 4,2424 4,2692 4,1725 3,9917 3,7917 3,6471 3,6218 3,7462 4,0055 4,3498 4,7097 5,0075 5,1771 5,1938 5,0876 4,9303 4,8035 4,7680 4,8391 4,9789 5,1157 5,1840 5,1552 5,0471 4,9210 4,8629 4,9435 5,1769 5,5131 5,8656 6,1533 6,3274 6,3738 6,3076 6,1709 6,0261 5,9367 5,9411 6,0370 6,1879 6,3437 6,4543 6,4789 6,4104 6,2948 6,2132 6,2353 6,3864 6,6393 6,9259 7,1639 7,2863 7,2592 7,0870 6,8113 6,5056 6,2511 6,1012 6,0632 6,1048 6,1663 6,1818 6,1110 5,9584 5,7757 5,6449 5,6371 5,7708 6,0060 6,2751 6,5142 6,6736 6,7181 6,6369 6,4613 6,2625 6,1163 6,0621 6,0885 6,1421 6,1507 6,0509 5,8154 5,4666 5,0676 4,6989 4,4343 4,3179 4,3476 4,4822 4,6611 4,8260 4,9360 4,9697 4,9216 4,8070 4,6731 4,5843 4,5799 4,6475 4,7362 4,7882 4,7672 4,6715 4,5319 4,4039 4,3460 4,3827 4,4805 4,5717 4,6006 4,5419 4,3925 4,1690 3,9159 3,6948 3,5540 3,5102 3,5511 3,6438 3,7414 3,7929 3,7606 3,6368 3,4500 3,2511 3,0903 2,9997 2,9847 3,0262 3,0936 3,1620 3,2207 3,2713 3,3204 3,3744 3,4406 3,5283 3,6383 3,7512 3,8303 3,8374 3,7429 3,5319 3,2237 2,8810 2,5818 2,3813 2,2957 2,3019 2,3446 2,3645 2,3365 2,2802 2,2345 2,2339 2,2991 2,4281 2,5868 2,7171 2,7663 2,7118 2,5644 2,3547 2,1184 1,8937 1,7255 1,6547 1,6834 1,7592 1,8086 1,7820 1,6698 1,4961 1,3094 1,1661 1,1069 1,1371 1,2233 1,3045 1,3085 1,1739 0,8791 0,4631 0,0245 -0,3146 -0,4664 -0,4157 -0,2155 0,0458 0,2774 0,4113 0,4204 0,3225 0,1693 0,0278 -0,0427 -0,0157 0,0852 0,1927 0,2295 0,1476 -0,0558 -0,3416 -0,6381 -0,8641 -0,9640 -0,9284 -0,7909 -0,6130 -0,4669 -0,4115 -0,4607 -0,5734 -0,6774 -0,7074 -0,6272 -0,4368 -0,1767 0,0766 0,2339 0,2287 0,0458 -0,2697 -0,6285 -0,9328 -1,1070 -1,1200 -1,0022 -0,8354 -0,7115 -0,6941 -0,8096 -1,0503 -1,3732 -1,7029 -1,9541 -2,0754 -2,0851 -2,0639 -2,1025 -2,2487 -2,4930 -2,7820 -3,0416 -3,2049 -3,2307 -3,1068 -2,8523 -2,5263 -2,2184 -2,0117 -1,9540 -2,0545 -2,2866 -2,5857 -2,8700 -3,0839 -3,2243 -3,3278 -3,4380 -3,5794 -3,7514 -3,9334 -4,0942 -4,1969 -4,2083 -4,1163 -3,9493 -3,7788 -3,6895 -3,7322 -3,8995 -4,1361 -4,3637 -4,5078 -4,5214 -4,3964 -4,1658 -3,8978 -3,6780 -3,5767 -3,6200 -3,7842 -4,0083 -4,2149 -4,3382 -4,3453 -4,2471 -4,0976 -3,9689 -3,9071 -3,9062 -3,9203 -3,8960 -3,7978 -3,6208 -3,3897 -3,1501 -2,9608 -2,8784 -2,9305 -3,1035 -3,3575 -3,6469 -3,9325 -4,1843 -4,3877 -4,5528 -4,7163 -4,9318 -5,2492 -5,6895 -6,2318 -6,8181 -7,3738 -7,8378 -8,1872 -8,4368 -8,6166 -8,7491 -8,8461 -8,9180 -8,9809 -9,0470 -9,1021 -9,1067 -9,0278 -8,8642 -8,6444 -8,4173 -8,2418 -8,1694 -8,2295 -8,4200 -8,6977 -8,9781 -9,1650 -9,2025 -9,1060 -8,9460 -8,8030 -8,7300 -8,7378 -8,7983 -8,8550 -8,8448 -8,7276 -8,5074 -8,2351 -7,9950 -7,8707 -7,9019 -8,0635 -8,2799 -8,4575 -8,5250 -8,4641 -8,3165 -8,1604 -8,0718 -8,0897 -8,1996 -8,3421 -8,4417 -8,4387 -8,3034 -8,0401 -7,6913 -7,3366 -7,0701 -6,9633 -7,0349 -7,2438 -7,5107 -7,7499 -7,8927 -7,9027 -7,7892 -7,6056 -7,4276 -7,3235 -7,3306 -7,4425 -7,6145 -7,7838 -7,8966 -7,9321 -7,9107 -7,8810 -7,8995 -8,0098 -8,2250 -8,5176 -8,8270 -9,0876 -9,2589 -9,3381 -9,3537 -9,3498 -9,3756 -9,4768 -9,6781 -9,9659 -10,2884 -10,5701 -10,7377 -10,7471 -10,6041 -10,3642
F3    0,1860 0,3265 0,4779 0,6104 0,7042 0,7751 0,8614 0,9919 1,1714 1,3864 1,6113 1,8132 1,9559 2,0041 1,9317 1,7329 1,4268 1,0510 0,6408 0,2077 -0,2635 -0,7886 -1,3491 -1,8818 -2,3062 -2,5601 -2,6088 -2,4375 -2,0561 -1,5217 -0,9440 -0,4462 -0,1120 0,0339 0,0213 -0,0745 -0,1597 -0,1665 -0,0798 0,0622 0,1866 0,2258 0,1535 -0,0108 -0,2201 -0,4180 -0,5559 -0,6053 -0,5580 -0,4254 -0,2476 -0,0995 -0,0759 -0,2441 -0,5967 -1,0450 -1,4553 -1,7093 -1,7609 -1,6533 -1,4854 -1,3604 -1,3431 -1,4415 -1,6176 -1,8186 -2,0117 -2,1970 -2,3828 -2,5599 -2,7144 -2,8518 -2,9906 -3,1364 -3,2728 -3,3685 -3,3886 -3,3125 -3,1505 -2,9405 -2,7358 -2,5936 -2,5543 -2,6159 -2,7374 -2,8665 -2,9633 -3,0113 -3,0204 -3,0173 -3,0290 -3,0750 -3,1649 -3,2909 -3,4266 -3,5330 -3,5671 -3,5024 -3,3595 -3,2012 -3,0805 -3,0053 -2,9656 -2,9740 -3,0539 -3,1884 -3,2984 -3,2947 -3,1539 -2,9377 -2,7484 -2,6711 -2,7340 -2,8988 -3,0889 -3,2354 -3,3063 -3,3046 -3,2520 -3,1760 -3,1067 -3,0749 -3,1033 -3,2010 -3,3641 -3,5756 -3,8105 -4,0571 -4,3296 -4,6579 -5,0665 -5,5536 -6,0857 -6,6132 -7,0874 -7,4643 -7,7031 -7,7718 -7,6632 -7,4107 -7,0813 -6,7465 -6,4529 -6,2133 -6,0175 -5,8384 -5,6324 -5,3563 -5,0036 -4,6263 -4,3127 -4,1312 -4,0939 -4,1607 -4,2640 -4,3349 -4,3224 -4,2081 -4,0167 -3,8035 -3,6194 -3,4803 -3,3645 -3,2325 -3,0436 -2,7584 -2,3449 -1,7932 -1,1246 -0,3918 0,3356 1,0000 1,5708 2,0346 2,3971 2,6997 3,0036 3,3475 3,7256 4,0922 4,3767 4,5141 4,4829 4,3250 4,1370 4,0255 4,0575 4,2416 4,5343 4,8575 5,1329 5,3093 5,3664 5,3087 5,1637 4,9868 4,8563 4,8467 4,9981 5,3045 5,7209 6,1811 6,6191 6,9859 7,2570 7,4291 7,5110 7,5174 7,4645 7,3588 7,1881 6,9345 6,6001 6,2243 5,8830 5,6690 5,6576 5,8723 6,2741 6,7840 7,3153 7,7959 8,1758 8,4222 8,5200 8,4804 8,3451 8,1728 8,0168 7,9104 7,8613 7,8503 7,8381 7,7915 7,7142 7,6509 7,6551 7,7539 7,9363 8,1520 8,3223 8,3688 8,2411 7,9298 7,4737 6,9592 6,4918 6,1545 5,9857 5,9782 6,0815 6,2189 6,3262 6,3881 6,4471 6,5754 6,8195 7,1604 7,5266 7,8385 8,0347 8,0734 7,9386 7,6581 7,3068 6,9796 6,7498 6,6403 6,6226 6,6307 6,5854 6,4195 6,0986 5,6331 5,0832 4,5538 4,1730 4,0380 4,1647 4,4873 4,8965 5,2767 5,5344 5,6216 5,5476 5,3737 5,1956 5,1099 5,1698 5,3570 5,5967 5,7941 5,8707 5,7903 5,5732 5,2896 5,0286 4,8515 4,7673 4,7452 4,7431 4,7200 4,6414 4,4925 4,2931 4,0902 3,9344 3,8601 3,8757 3,9603 4,0657 4,1274 4,0909 3,9464 3,7380 3,5367 3,4068 3,3816 3,4521 3,5744 3,6892 3,7432 3,7040 3,5675 3,3587 3,1256 2,9271 2,8138 2,8073 2,8906 3,0136 3,1131 3,1390 3,0801 2,9703 2,8644 2,7995 2,7800 2,7938 2,8300 2,8723 2,8951 2,8838 2,8521 2,8324 2,8507 2,9077 2,9779 3,0228 3,0036 2,8939 2,6917 2,4228 2,1312 1,8608 1,6441 1,5084 1,4809 1,5691 1,7360 1,9177 2,0649 2,1602 2,2045 2,2034 2,1653 2,1016 2,0290 1,9691 1,9303 1,8791 1,7475 1,4821 1,0891 0,6444 0,2609 0,0283 -0,0250 0,0701 0,2457 0,4260 0,5568 0,6212 0,6377 0,6422 0,6675 0,7303 0,8267 0,9312 0,9988 0,9789 0,8391 0,5834 0,2583 -0,0565 -0,2749 -0,3396 -0,2423 -0,0204 0,2597 0,5228 0,7089 0,7929 0,7906 0,7437 0,6925 0,6601 0,6592 0,6898 0,7274 0,7285 0,6550 0,4977 0,2854 0,0708 -0,0931 -0,1649 -0,1254 0,0018 0,1464 0,2228 0,1743 -0,0033 -0,2670 -0,5492 -0,7793 -0,8990 -0,8847 -0,7736 -0,6649 -0,6730 -0,8661 -1,2365 -1,7057 -2,1560 -2,4764 -2,5931 -2,4779 -2,1521 -1,6878 -1,1890 -0,7539 -0,4464 -0,2943 -0,2918 -0,4024 -0,5786 -0,7915 -1,0407 -1,3351 -1,6649 -1,9964 -2,2903 -2,5198 -2,6719 -2,7350 -2,7003 -2,5831 -2,4388 -2,3499 -2,3822 -2,5390 -2,7586 -2,9578 -3,0710 -3,0615 -2,9166 -2,6429 -2,2711 -1,8636 -1,5045 -1,2682 -1,1903 -1,2618 -1,4426 -1,6775 -1,9141 -2,1209 -2,3003 -2,4851 -2,7053 -2,9480 -3,1530 -3,2529 -3,2126 -3,0414 -2,7831 -2,4947 -2,2211 -1,9880 -1,8121 -1,7054 -1,6698 -1,6923 -1,7559 -1,8553 -1,9969 -2,1846 -2,4152 -2,6862 -3,0030 -3,3721 -3,7927 -4,2570 -4,7456 -5,2233 -5,6501 -6,0002 -6,2733 -6,4876 -6,6573 -6,7830 -6,8652 -6,9143 -6,9392 -6,9281 -6,8600 -6,7351 -6,5775 -6,4090 -6,2365 -6,0664 -5,9201 -5,8326 -5,8342 -5,9252 -6,0649 -6,1945 -6,2803 -6,3406 -6,4288 -6,5866 -6,8132 -7,0673 -7,2877 -7,4119 -7,3871 -7,1879 -6,8379 -6,4157 -6,0322 -5,7823 -5,6988 -5,7422 -5,8284 -5,8697 -5,8115 -5,6572 -5,4691 -5,3337 -5,3077 -5,3890 -5,5272 -5,6579 -5,7301 -5,7180 -5,6134 -5,4161 -5,1407 -4,8295 -4,5484 -4,3688 -4,3437 -4,4846 -4,7530 -5,0753 -5,3675 -5,5664 -5,6517 -5,6417 -5,5658 -5,4486 -5,3118 -5,1763 -5,0540 -4,9376 -4,8088 -4,6654 -4,5356 -4,4698 -4,5224 -4,7317 -5,0992 -5,5772 -6,0801 -6,5151 -6,8123 -6,9409 -6,9110 -6,7687 -6,5865 -6,4410 -6,3855 -6,4373 -6,5764 -6,7515 -6,8975 -6,9644 -6,9417 -6,8625
F7    0,6140 0,7929 0,8588 0,8341 0,7360 0,5708 0,3481 0,0864 -0,1949 -0,4774 -0,7294 -0,9038 -0,9673 -0,9276 -0,8142 -0,6376 -0,3797 -0,0294 0,3766 0,7503 0,9931 1,0441 0,9083 0,6541 0,3749 0,1437 -0,0072 -0,0858 -0,1312 -0,1941 -0,3132 -0,5009 -0,7369 -0,9697 -1,1311 -1,1608 -1,0387 -0,7986 -0,5054 -0,2166 0,0387 0,2503 0,4064 0,4944 0,5170 0,4955 0,4540 0,4064 0,3627 0,3400 0,3527 0,3949 0,4387 0,4589 0,4579 0,4589 0,4808 0,5248 0,5716 0,5927 0,5731 0,5174 0,4339 0,3226 0,1861 0,0470 -0,0582 -0,1153 -0,1559 -0,2342 -0,3844 -0,6039 -0,8636 -1,1185 -1,3169 -1,4100 -1,3655 -1,1830 -0,8964 -0,5559 -0,2093 0,0983 0,3191 0,4092 0,3456 0,1418 -0,1428 -0,4235 -0,6375 -0,7744 -0,8612 -0,9291 -0,9923 -1,0497 -1,0990 -1,1458 -1,2012 -1,2737 -1,3612 -1,4498 -1,5244 -1,5794 -1,6102 -1,6024 -1,5316 -1,3714 -1,1016 -0,7256 -0,2820 0,1649 0,5462 0,8110 0,9384 0,9312 0,8094 0,6149 0,4070 0,2375 0,1181 0,0128 -0,1367 -0,3771 -0,7287 -1,1881 -1,7236 -2,2763 -2,7915 -3,2532 -3,6751 -4,0481 -4,3082 -4,3673 -4,1863 -3,8145 -3,3661 -2,9618 -2,6780 -2,5274 -2,4775 -2,4902 -2,5499 -2,6583 -2,8084 -2,9722 -3,1119 -3,1921 -3,1849 -3,0817 -2,9020 -2,6815 -2,4530 -2,2395 -2,0584 -1,9150 -1,7870 -1,6297 -1,4042 -1,1017 -0,7481 -0,3830 -0,0320 0,2963 0,5991 0,8793 1,1488 1,4290 1,7457 2,1161 2,5284 2,9395 3,2931 3,5427 3,6663 3,6743 3,6182 3,5886 3,6832 3,9618 4,4311 5,0586 5,7827 6,5169 7,1726 7,6934 8,0700 8,3223 8,4788 8,5723 8,6303 8,6578 8,6435 8,5880 8,5193 8,4774 8,4918 8,5731 8,7211 8,9314 9,2042 9,5467 9,9564 10,3943 10,7890 11,0742 11,2213 11,2460 11,1963 11,1360 11,1225 11,1798 11,2940 11,4349 11,5770 11,7096 11,8529 12,0548 12,3502 12,7267 13,1283 13,4831 13,7293 13,8290 13,7635 13,5312 13,1680 12,7710 12,4742 12,3786 12,4995 12,7771 13,1298 13,4937 13,8216 14,0718 14,2191 14,2677 14,2409 14,1714 14,1013 14,0654 14,0665 14,0744 14,0504 13,9670 13,8155 13,6063 13,3609 13,0959 12,8209 12,5461 12,2836 12,0481 11,8608 11,7442 11,7057 11,7278 11,7808 11,8520 11,9552 12,1094 12,3047 12,4873 12,5844 12,5506 12,3855 12,1072 11,7296 11,2741 10,7928 10,3620 10,0498 9,8834 9,8458 9,9017 10,0203 10,1740 10,3271 10,4379 10,4834 10,4823 10,4796 10,5042 10,5514 10,5998 10,6297 10,6287 10,5950 10,5386 10,4726 10,4032 10,3296 10,2499 10,1642 10,0773 9,9975 9,9300 9,8691 9,7968 9,6859 9,5053 9,2384 8,9056 8,5664 8,2892 8,1180 8,0597 8,0822 8,1222 8,1088 7,9933 7,7678 7,4657 7,1457 6,8640 6,6490 6,4885 6,3450 6,1925 6,0484 5,9774 6,0589 6,3407 6,8173 7,4328 8,0935 8,6867 9,1149 9,3252 9,3129 9,1018 8,7217 8,2002 7,5659 6,8542 6,1180 5,4316 4,8743 4,5112 4,3825 4,4881 4,7704 5,1234 5,4410 5,6654 5,7945 5,8578 5,8982 5,9599 6,0667 6,2087 6,3600 6,5094 6,6686 6,8495 7,0397 7,2033 7,3007 7,3081 7,2178 7,0290 6,7452 6,3785 5,9471 5,4759 5,0016 4,5717 4,2343 4,0278 3,9727 4,0630 4,2619 4,5089 4,7383 4,9013 4,9807 4,9917 4,9657 4,9312 4,9081 4,9115 4,9506 5,0204 5,0955 5,1419 5,1391 5,0874 4,9999 4,9017 4,8270 4,7903 4,7665 4,7128 4,6074 4,4633 4,3199 4,2229 4,2013 4,2565 4,3680 4,4985 4,6001 4,6370 4,6154 4,5892 4,6270 4,7596 4,9506 5,1181 5,1850 5,1130 4,9109 4,6333 4,3656 4,1878 4,1350 4,1865 4,2862 4,3679 4,3770 4,2905 4,1218 3,9039 3,6633 3,4083 3,1405 2,8742 2,6398 2,4693 2,3783 2,3595 2,3961 2,4813 2,6199 2,8148 3,0600 3,3424 3,6453 3,9549 4,2533 4,4955 4,6097 4,5479 4,3314 4,0340 3,7414 3,5241 3,4127 3,3802 3,3608 3,2914 3,1434 2,9376 2,7375 2,6118 2,5891 2,6415 2,7127 2,7607 2,7734 2,7477 2,6678 2,5084 2,2532 1,9119 1,5253 1,1504 0,8453 0,6710 0,6864 0,9129 1,3039 1,7621 2,1848 2,4970 2,6701 2,7272 2,7256 2,7291 2,7825 2,8886 3,0117 3,1153 3,1986 3,2913 3,4126 3,5435 3,6375 3,6501 3,5527 3,3234 2,9489 2,4474 1,8795 1,3312 0,8840 0,5892 0,4535 0,4441 0,5075 0,5823 0,6064 0,5366 0,3768 0,1727 -0,0244 -0,1880 -0,3207 -0,4389 -0,5535 -0,6611 -0,7444 -0,7813 -0,7642 -0,7156 -0,6711 -0,6437 -0,6220 -0,5998 -0,5867 -0,5896 -0,6011 -0,6104 -0,6258 -0,6860 -0,8370 -1,0869 -1,3794 -1,6119 -1,6825 -1,5337 -1,1682 -0,6427 -0,0452 0,5302 0,9973 1,2905 1,3869 1,3138 1,1299 0,9018 0,6881 0,5236 0,4141 0,3535 0,3417 0,3774 0,4373 0,4711 0,4260 0,2811 0,0643 -0,1539 -0,2895 -0,2785 -0,0984 0,2336 0,6776 1,1800 1,6762 2,0973 2,3855 2,5151 2,5107 2,4438 2,4010 2,4453 2,5974 2,8364 3,1054 3,3313 3,4593 3,4708 3,3751 3,1956 2,9691 2,7432 2,5620 2,4442 2,3753 2,3195 2,2397 2,1185 1,9681 1,8197 1,6996 1,6132 1,5445 1,4679 1,3629 1,2204 1,0437 0,8505 0,6683 0,5182 0,4136 0,3728 0,4186 0,5614 0,7854 1,0486
