Fp1   -3,8059 -3,6339 -3,4444 -3,2408 -3,0317 -2,8505 -2,7420 -2,7286 -2,7929 -2,8807 -2,9237 -2,8742 -2,7124 -2,4222 -1,9893 -1,4159 -0,7254 0,0366 0,8076 1,5351 2,1982 2,8038 3,3629 3,8701 4,2973 4,5992 4,7229 4,6257 4,3075 3,8251 3,2692 2,7357 2,3094 2,0459 1,9553 2,0005 2,1076 2,1723 2,0752 1,7269 1,1216 0,3463 -0,4725 -1,2385 -1,9052 -2,4490 -2,8546 -3,1246 -3,2759 -3,3230 -3,2699 -3,1136 -2,8605 -2,5470 -2,2387 -2,0009 -1,8601 -1,7892 -1,7313 -1,6466 -1,5405 -1,4522 -1,4252 -1,5011 -1,7247 -2,1222 -2,6633 -3,2508 -3,7537 -4,0632 -4,1240 -3,9321 -3,5195 -2,9446 -2,2969 -1,6873 -1,2027 -0,8669 -0,6502 -0,5123 -0,4356 -0,4220 -0,4693 -0,5635 -0,6862 -0,8207 -0,9560 -1,0951 -1,2634 -1,5023 -1,8412 -2,2706 -2,7396 -3,1740 -3,5022 -3,6892 -3,7537 -3,7506 -3,7409 -3,7777 -3,8904 -4,0603 -4,2162 -4,2733 -4,1939 -4,0179 -3,8301 -3,6933 -3,6200 -3,5914 -3,5786 -3,5442 -3,4490 -3,2792 -3,0708 -2,8952 -2,8077 -2,7971 -2,7819 -2,6578 -2,3520 -1,8534 -1,2097 -0,4923 0,2425 0,9520 1,5811 2,0593 2,3254 2,3492 2,1465 1,7904 1,3965 1,0685 0,8489 0,7182 0,6348 0,5770 0,5578 0,6003 0,7047 0,8489 1,0102 1,1729 1,3203 1,4254 1,4445 1,3254 1,0432 0,6332 0,1753 -0,2571 -0,6365 -0,9874 -1,3631 -1,8012 -2,2947 -2,7953 -3,2293 -3,5212 -3,6353 -3,5960 -3,4614 -3,2793 -3,0680 -2,8225 -2,5268 -2,1641 -1,7347 -1,2778 -0,8730 -0,6112 -0,5540 -0,7150 -1,0663 -1,5501 -2,0813 -2,5591 -2,8922 -3,0242 -2,9518 -2,7263 -2,4249 -2,1135 -1,8334 -1,6065 -1,4438 -1,3578 -1,3687 -1,4913 -1,7118 -1,9729 -2,1920 -2,3057 -2,2910 -2,1614 -1,9595 -1,7427 -1,5572 -1,4323 -1,3971 -1,4850 -1,7196 -2,1131 -2,6808 -3,4419 -4,3851 -5,4418 -6,5144 -7,5185 -8,3900 -9,0784 -9,5514 -9,7970 -9,8257 -9,6788 -9,4328 -9,1838 -9,0180 -8,9910 -9,1226 -9,3987 -9,7794 -10,2090 -10,6269 -10,9877 -11,2616 -11,3967 -11,3059 -10,9180 -10,2429 -9,3858 -8,4950 -7,6878 -7,0171 -6,4842 -6,0549 -5,6828 -5,3524 -5,0928 -4,9274 -4,8287 -4,7415 -4,6394 -4,5519 -4,5363 -4,6269 -4,8175 -5,0764 -5,3686 -5,6738 -5,9826 -6,2787 -6,5374 -6,7424 -6,8810 -6,9160 -6,7842 -6,4525 -5,9713 -5,4472 -4,9620 -4,5374 -4,1653 -3,8310 -3,5163 -3,2179 -2,9571 -2,7602 -2,6354 -2,5754 -2,5778 -2,6496 -2,7794 -2,9116 -2,9670 -2,8909 -2,6801 -2,3777 -2,0499 -1,7491 -1,4996 -1,3195 -1,2460 -1,3354 -1,6335 -2,1322 -2,7482 -3,3502 -3,8110 -4,0487 -4,0507 -3,8605 -3,5275 -3,0572 -2,4127 -1,5735 -0,6036 0,3391 1,0743 1,4940 1,5956 1,4416 1,1093 0,6756 0,2136 -0,2250 -0,6177 -0,9494 -1,1883 -1,2988 -1,2805 -1,1774 -1,0460 -0,9252 -0,8258 -0,7348 -0,6354 -0,5281 -0,4242 -0,3308 -0,2507 -0,1854 -0,1325 -0,0943 -0,0778 -0,0724 -0,0406 0,0663 0,2964 0,6846 1,2305 1,8903 2,5890 3,2334 3,7281 3,9998 4,0169 3,7903 3,3618 2,7847 2,1054 1,3583 0,5822 -0,1630 -0,8052 -1,2838 -1,5550 -1,5928 -1,4081 -1,0628 -0,6545 -0,2865 -0,0359 0,0779 0,1031 0,1229 0,1985 0,3327 0,4715 0,5460 0,5299 0,4679 0,4460 0,5346 0,7559 1,0932 1,5083 1,9461 2,3458 2,6742 2,9559 3,2566 3,6284 4,0751 4,5545 4,9915 5,3077 5,4583 5,4444 5,3011 5,0785 4,8271 4,5946 4,4261 4,3565 4,3993 4,5429 4,7548 4,9772 5,1197 5,0884 4,8444 4,4187 3,8729 3,2678 2,6538 2,0618 1,5039 0,9893 0,5497 0,2498 0,1582 0,3075 0,6832 1,2284 1,8446 2,4149 2,8469 3,1116 3,2628 3,4042 3,6176 3,9224 4,2879 4,6583 4,9658 5,1558 5,2171 5,1800 5,0865 4,9692 4,8462 4,7214 4,5814 4,3897 4,0946 3,6666 3,1372 2,5958 2,1388 1,8205 1,6449 1,5856 1,6001 1,6289 1,6114 1,5253 1,4092 1,3406 1,3825 1,5340 1,7266 1,8697 1,9082 1,8570 1,8024 1,8673 2,1605 2,7431 3,6091 4,6735 5,7939 6,8274 7,6734 8,2787 8,6336 8,7680 8,7459 8,6569 8,5899 8,5908 8,6484 8,7252 8,7957 8,8499 8,8732 8,8343 8,6955 8,4458 8,1227 7,7877 7,4805 7,2032 6,9361 6,6633 6,3970 6,1742 6,0265 5,9535 5,9099 5,8158 5,6021 5,2521 4,7925 4,2693 3,7487 3,3013 2,9642 2,7380 2,6149 2,5919 2,6619 2,8083 3,0097 3,2404 3,4672 3,6565 3,8021 3,9445 4,1450 4,4294 4,7566 5,0270 5,1241 4,9746 4,5977 4,1011 3,6245 3,2758 3,0998 3,0823 3,1779 3,3357 3,5228 3,7511 4,0670 4,4944 4,9941 5,4806 5,8719 6,1192 6,2049 6,1341 5,9285 5,6205 5,2538 4,8859 4,5802 4,3898 4,3469 4,4592 4,7152 5,0929 5,5680 6,1153 6,6992 7,2585 7,7075 7,9550 7,9286 7,5931 6,9629 6,1047 5,1284 4,1521 3,2571 2,4821 1,8592 1,4398 1,2782 1,3958 1,7735 2,3623 3,0759 3,7960 4,4219 4,9039 5,2199 5,3404 5,2247 4,8436 4,2131 3,4091 2,5370 1,6782 0,8707 0,1255 -0,5606 -1,2050 -1,8262 -2,4247 -2,9860 -3,4997 -3,9676 -4,3845 -4,7259 -4,9633 -5,0897 -5,1325 -5,1425 -5,1619 -5,1958 -5,2131 -5,1767 -5,0785 -4,9595 -4,8970 -4,9548 -5,1366 -5,3859 -5,6214 -5,7727 -5,7986 -5,6976 -5,5018 -5,2505 -4,9569 -4,5924 -4,1112
Fz    -2,4836 -2,3381 -2,2031 -2,0690 -1,9315 -1,8179 -1,7674 -1,8017 -1,9147 -2,0622 -2,1626 -2,1435 -1,9875 -1,7246 -1,3947 -1,0222 -0,6172 -0,1993 0,2001 0,5731 0,9480 1,3535 1,7852 2,2069 2,5691 2,8225 2,9187 2,8165 2,5082 2,0485 1,5477 1,1329 0,9043 0,9069 1,1289 1,5165 1,9788 2,3863 2,5870 2,4566 1,9647 1,2083 0,3630 -0,4133 -1,0393 -1,4995 -1,8152 -2,0240 -2,1606 -2,2395 -2,2481 -2,1554 -1,9392 -1,6178 -1,2509 -0,9094 -0,6530 -0,5217 -0,5268 -0,6489 -0,8542 -1,1047 -1,3590 -1,5886 -1,8039 -2,0410 -2,3146 -2,5948 -2,8336 -2,9972 -3,0644 -3,0133 -2,8203 -2,4730 -1,9973 -1,4672 -0,9622 -0,5221 -0,1570 0,1183 0,2794 0,3169 0,2551 0,1464 0,0444 -0,0288 -0,1015 -0,2388 -0,5007 -0,9051 -1,4149 -1,9472 -2,4032 -2,7034 -2,8107 -2,7434 -2,5690 -2,3679 -2,1976 -2,0815 -2,0075 -1,9290 -1,7852 -1,5362 -1,1955 -0,8389 -0,5670 -0,4415 -0,4498 -0,5329 -0,6359 -0,7213 -0,7600 -0,7452 -0,7117 -0,7122 -0,7643 -0,8228 -0,8007 -0,6163 -0,2256 0,3628 1,0798 1,8211 2,4975 3,0579 3,4696 3,7035 3,7458 3,6166 3,3747 3,1079 2,9097 2,8386 2,8830 2,9764 3,0621 3,1380 3,2359 3,3667 3,4917 3,5548 3,5321 3,4421 3,3314 3,2551 3,2472 3,3020 3,3923 3,4976 3,6015 3,6826 3,7190 3,6890 3,5692 3,3440 3,0145 2,6034 2,1666 1,7809 1,4936 1,2977 1,1672 1,0933 1,0812 1,1323 1,2466 1,4305 1,6815 1,9666 2,2211 2,3654 2,3359 2,1257 1,7959 1,4486 1,1882 1,0932 1,2054 1,5228 1,9864 2,4816 2,8832 3,1103 3,1434 3,0136 2,7854 2,5276 2,2871 2,0819 1,9085 1,7605 1,6470 1,5918 1,6261 1,7830 2,0738 2,4670 2,8989 3,2973 3,5927 3,7323 3,6983 3,5003 3,1403 2,5880 1,8164 0,8590 -0,1880 -1,2055 -2,0816 -2,7324 -3,1216 -3,2586 -3,1767 -2,9147 -2,5175 -2,0422 -1,5509 -1,1005 -0,7378 -0,4956 -0,3936 -0,4428 -0,6413 -0,9740 -1,4031 -1,8402 -2,1513 -2,2284 -2,0669 -1,7655 -1,4429 -1,1513 -0,8704 -0,5580 -0,1912 0,2148 0,6042 0,9132 1,1298 1,3130 1,5414 1,8460 2,1857 2,4855 2,6963 2,8098 2,8287 2,7457 2,5558 2,2802 1,9703 1,6773 1,4249 1,2308 1,1511 1,2685 1,6127 2,1113 2,6464 3,1551 3,6490 4,1493 4,6367 5,0524 5,3172 5,3654 5,1860 4,8343 4,3975 3,9433 3,5095 3,1379 2,8924 2,8218 2,9133 3,0924 3,2656 3,3692 3,4046 3,4275 3,4905 3,5896 3,6640 3,6413 3,4901 3,2419 2,9724 2,7652 2,6729 2,6911 2,7708 2,8741 3,0260 3,3055 3,7725 4,3916 5,0169 5,4676 5,6425 5,5675 5,3469 5,0881 4,8648 4,7079 4,6002 4,4916 4,3405 4,1478 3,9434 3,7390 3,5110 3,2367 2,9302 2,6456 2,4539 2,4026 2,4829 2,6378 2,7962 2,9020 2,9280 2,8747 2,7534 2,5789 2,3855 2,2311 2,1777 2,2757 2,5506 2,9871 3,5350 4,1295 4,7006 5,1782 5,5080 5,6684 5,6662 5,5168 5,2286 4,8025 4,2510 3,6281 3,0389 2,6046 2,4039 2,4432 2,6648 2,9765 3,2911 3,5537 3,7335 3,8079 3,7797 3,7040 3,6686 3,7347 3,8968 4,0830 4,1945 4,1627 3,9845 3,7121 3,4261 3,2200 3,1818 3,3549 3,7057 4,1412 4,5681 4,9448 5,2841 5,6098 5,9191 6,1780 6,3360 6,3523 6,2243 5,9933 5,7217 5,4607 5,2335 5,0506 4,9368 4,9369 5,0895 5,3924 5,7895 6,1791 6,4386 6,4754 6,2785 5,9120 5,4665 5,0249 4,6401 4,3147 4,0065 3,6682 3,2960 2,9470 2,7008 2,6048 2,6582 2,8266 3,0592 3,3009 3,4980 3,6187 3,6873 3,7797 3,9648 4,2608 4,6431 5,0671 5,4761 5,8136 6,0447 6,1593 6,1660 6,0978 6,0016 5,9040 5,7840 5,5818 5,2417 4,7642 4,2307 3,7688 3,4787 3,3857 3,4473 3,5881 3,7203 3,7536 3,6213 3,3175 2,9029 2,4789 2,1507 1,9849 1,9789 2,0706 2,1886 2,3117 2,4934 2,8292 3,4039 4,2604 5,3738 6,6232 7,8129 8,7541 9,3368 9,5480 9,4520 9,1492 8,7412 8,3216 7,9678 7,7215 7,5844 7,5371 7,5550 7,6085 7,6622 7,6787 7,6209 7,4619 7,2032 6,8708 6,4969 6,1108 5,7407 5,4219 5,2047 5,1390 5,2450 5,4948 5,8027 6,0350 6,0631 5,8178 5,2914 4,5307 3,6437 2,7721 2,0389 1,5252 1,2756 1,3014 1,5799 2,0493 2,6053 3,1123 3,4372 3,4973 3,3062 2,9844 2,7059 2,6115 2,7520 3,0744 3,4477 3,7404 3,9037 3,9847 4,0642 4,1963 4,3886 4,6103 4,8149 4,9619 5,0396 5,0949 5,2224 5,4913 5,8820 6,2967 6,6164 6,7514 6,6692 6,3974 5,9921 5,4931 4,9237 4,3307 3,8022 3,4353 3,2920 3,3796 3,6598 4,0735 4,5637 5,0843 5,5870 6,0025 6,2507 6,2771 6,0784 5,6960 5,1892 4,6154 4,0312 3,4917 3,0359 2,6865 2,4685 2,4112 2,5255 2,7881 3,1523 3,5661 3,9714 4,3145 4,5779 4,7778 4,9200 4,9689 4,8596 4,5446 4,0479 3,4735 2,9467 2,5355 2,2216 1,9318 1,5856 1,1272 0,5471 -0,1124 -0,7775 -1,3813 -1,8875 -2,2843 -2,5727 -2,7678 -2,9062 -3,0357 -3,1820 -3,3188 -3,3726 -3,2695 -2,9920 -2,6047 -2,2442 -2,0739 -2,2037 -2,6268 -3,2305 -3,8593 -4,3727 -4,6813 -4,7591 -4,6253 -4,3142 -3,8496 -3,2303 -2,4507
F3    -1,9629 -2,0290 -2,0159 -1,9079 -1,7221 -1,5125 -1,3462 -1,2800 -1,3556 -1,5753 -1,8712 -2,1311 -2,2658 -2,2441 -2,0750 -1,7686 -1,3229 -0,7512 -0,0969 0,5948 1,2959 1,9758 2,5843 3,0677 3,3904 3,5274 3,4410 3,0916 2,4909 1,7385 0,9913 0,3991 0,0599 0,0053 0,2104 0,6145 1,1307 1,6361 1,9786 2,0248 1,7246 1,1492 0,4567 -0,2033 -0,7500 -1,1517 -1,4032 -1,5380 -1,6166 -1,6823 -1,7383 -1,7578 -1,7122 -1,6007 -1,4527 -1,2997 -1,1610 -1,0535 -1,0006 -1,0347 -1,1892 -1,4641 -1,8009 -2,1170 -2,3651 -2,5445 -2,6665 -2,7323 -2,7462 -2,7398 -2,7549 -2,7970 -2,8158 -2,7355 -2,5121 -2,1638 -1,7409 -1,2879 -0,8521 -0,4966 -0,2720 -0,1857 -0,2128 -0,3246 -0,4935 -0,6853 -0,8797 -1,0983 -1,3852 -1,7597 -2,2001 -2,6611 -3,0871 -3,4090 -3,5563 -3,5098 -3,3422 -3,1755 -3,0946 -3,1039 -3,1456 -3,1409 -3,0185 -2,7406 -2,3386 -1,9184 -1,6002 -1,4449 -1,4339 -1,5093 -1,6215 -1,7303 -1,7849 -1,7437 -1,6146 -1,4460 -1,2712 -1,0738 -0,8052 -0,4197 0,1045 0,7587 1,4973 2,2451 2,9227 3,4652 3,8223 3,9632 3,8914 3,6528 3,3310 3,0255 2,8200 2,7468 2,7687 2,8071 2,8068 2,7739 2,7583 2,8011 2,8881 2,9570 2,9559 2,8902 2,8184 2,8076 2,8826 3,0168 3,1677 3,3067 3,4172 3,4875 3,5137 3,4894 3,3919 3,1951 2,8951 2,5232 2,1420 1,8166 1,5712 1,3786 1,2003 1,0224 0,8575 0,7333 0,6918 0,7734 0,9778 1,2414 1,4618 1,5411 1,4240 1,1269 0,7295 0,3257 -0,0065 -0,1902 -0,1465 0,1642 0,6923 1,3042 1,8509 2,2347 2,4195 2,4100 2,2400 1,9627 1,6378 1,3190 1,0395 0,8153 0,6647 0,6111 0,6774 0,8748 1,1817 1,5371 1,8693 2,1227 2,2555 2,2322 2,0306 1,6494 1,0975 0,3825 -0,4710 -1,4024 -2,3317 -3,1768 -3,8554 -4,3034 -4,5016 -4,4759 -4,2724 -3,9318 -3,4866 -2,9799 -2,4755 -2,0386 -1,7117 -1,5143 -1,4619 -1,5666 -1,8214 -2,2028 -2,6700 -3,1326 -3,4487 -3,4917 -3,2313 -2,7569 -2,2173 -1,7293 -1,3394 -1,0428 -0,8047 -0,5780 -0,3324 -0,0691 0,2073 0,5152 0,8763 1,2734 1,6349 1,8730 1,9410 1,8427 1,5997 1,2367 0,7967 0,3552 0,0010 -0,2144 -0,2994 -0,2755 -0,1169 0,2253 0,7295 1,2787 1,7592 2,1568 2,5367 2,9562 3,4210 3,8928 4,3036 4,5756 4,6535 4,5220 4,1902 3,6683 2,9847 2,2376 1,5965 1,2136 1,1310 1,2742 1,5149 1,7515 1,9625 2,1843 2,4350 2,6690 2,7962 2,7385 2,4876 2,1261 1,7899 1,5977 1,5903 1,7145 1,8626 1,9631 2,0509 2,2366 2,6034 3,1312 3,6905 4,1049 4,2612 4,1770 3,9599 3,7146 3,4982 3,3311 3,2133 3,1304 3,0648 3,0111 2,9694 2,9196 2,8228 2,6617 2,4633 2,2809 2,1634 2,1282 2,1498 2,1799 2,1832 2,1513 2,0954 2,0288 1,9445 1,8191 1,6530 1,4931 1,4111 1,4744 1,7224 2,1484 2,7030 3,3061 3,8526 4,2440 4,4400 4,4686 4,3854 4,2382 4,0559 3,8423 3,5769 3,2434 2,8646 2,4989 2,2055 2,0189 1,9468 1,9849 2,1375 2,4104 2,7726 3,1379 3,4144 3,5749 3,6597 3,7180 3,7618 3,7604 3,6697 3,4804 3,2350 2,9858 2,7627 2,5953 2,5376 2,6400 2,9027 3,2758 3,7041 4,1638 4,6585 5,1857 5,7161 6,1904 6,5288 6,6633 6,5766 6,3080 5,9317 5,5312 5,1751 4,9005 4,7209 4,6511 4,7136 4,9190 5,2429 5,6132 5,9153 6,0403 5,9506 5,6849 5,3067 4,8687 4,4096 3,9599 3,5472 3,1924 2,9154 2,7505 2,7314 2,8562 3,0883 3,3808 3,6841 3,9433 4,1044 4,1466 4,1213 4,1389 4,2902 4,5870 4,9832 5,4212 5,8413 6,1793 6,3888 6,4613 6,4220 6,3138 6,1818 6,0536 5,9200 5,7349 5,4512 5,0688 4,6538 4,3048 4,0914 4,0187 4,0413 4,1032 4,1531 4,1275 3,9623 3,6443 3,2401 2,8633 2,6096 2,5040 2,4994 2,5215 2,5216 2,5114 2,5706 2,8196 3,3688 4,2715 5,4859 6,8599 8,1720 9,2131 9,8478 10,0406 9,8565 9,4257 8,8943 8,3946 8,0250 7,8225 7,7531 7,7441 7,7425 7,7406 7,7464 7,7475 7,7106 7,6082 7,4367 7,2081 6,9380 6,6434 6,3383 6,0346 5,7544 5,5354 5,4249 5,4591 5,6163 5,7901 5,8438 5,6913 5,3183 4,7627 4,1130 3,4943 3,0205 2,7557 2,7114 2,8674 3,1924 3,6470 4,1707 4,6708 5,0303 5,1533 5,0370 4,7965 4,5910 4,5213 4,5935 4,7367 4,8431 4,8380 4,7378 4,6288 4,5966 4,6804 4,8654 5,0954 5,3002 5,4263 5,4662 5,4876 5,6105 5,9124 6,3491 6,7765 7,0440 7,0686 6,8511 6,4553 5,9651 5,4434 4,9266 4,4509 4,0678 3,8323 3,7806 3,9165 4,2196 4,6674 5,2414 5,9112 6,6100 7,2268 7,6408 7,7753 7,6215 7,2235 6,6531 5,9897 5,3148 4,7050 4,2143 3,8691 3,6846 3,6725 3,8266 4,1134 4,4847 4,8916 5,2815 5,6060 5,8515 6,0352 6,1595 6,1857 6,0457 5,6877 5,1286 4,4700 3,8457 3,3398 2,9472 2,5991 2,2157 1,7486 1,2056 0,6437 0,1267 -0,3187 -0,7055 -1,0561 -1,3813 -1,6804 -1,9462 -2,1727 -2,3594 -2,4962 -2,5414 -2,4364 -2,1567 -1,7561 -1,3701 -1,1630 -1,2403 -1,5968 -2,1395 -2,7401 -3,2740 -3,6481 -3,8173 -3,7756 -3,5351 -3,1039 -2,4746 -1,6460
F7    -1,3610 -1,3477 -1,3326 -1,2808 -1,1786 -1,0588 -0,9777 -0,9751 -1,0605 -1,2102 -1,3690 -1,4789 -1,5123 -1,4656 -1,3358 -1,1092 -0,7749 -0,3547 0,0939 0,5213 0,9194 1,3077 1,7010 2,0936 2,4605 2,7579 2,9212 2,8798 2,6024 2,1311 1,5686 1,0340 0,6240 0,3921 0,3487 0,4693 0,6979 0,9460 1,1004 1,0529 0,7563 0,2634 -0,3022 -0,8224 -1,2280 -1,4947 -1,6311 -1,6733 -1,6666 -1,6419 -1,6037 -1,5324 -1,4023 -1,2079 -0,9746 -0,7469 -0,5679 -0,4606 -0,4198 -0,4292 -0,4858 -0,5959 -0,7549 -0,9533 -1,2014 -1,5190 -1,8904 -2,2463 -2,5009 -2,6038 -2,5498 -2,3563 -2,0427 -1,6305 -1,1672 -0,7326 -0,3930 -0,1558 0,0121 0,1331 0,1962 0,1786 0,0788 -0,0670 -0,1975 -0,2615 -0,2566 -0,2393 -0,2939 -0,4875 -0,8359 -1,2955 -1,7823 -2,2055 -2,4968 -2,6359 -2,6579 -2,6255 -2,5961 -2,6101 -2,6810 -2,7761 -2,8189 -2,7306 -2,4873 -2,1469 -1,8123 -1,5579 -1,3893 -1,2717 -1,1796 -1,1059 -1,0427 -0,9833 -0,9435 -0,9566 -1,0360 -1,1410 -1,1840 -1,0718 -0,7438 -0,1935 0,5220 1,3043 2,0554 2,6983 3,1711 3,4302 3,4655 3,3071 3,0223 2,7041 2,4463 2,3069 2,2862 2,3408 2,4296 2,5483 2,7171 2,9388 3,1695 3,3414 3,4068 3,3543 3,2057 3,0076 2,8095 2,6392 2,5071 2,4222 2,3869 2,3873 2,3973 2,3809 2,2957 2,1111 1,8242 1,4605 1,0698 0,7119 0,4218 0,1970 0,0276 -0,0741 -0,0819 0,0189 0,2252 0,5258 0,9001 1,3074 1,6869 1,9686 2,0960 2,0534 1,8740 1,6223 1,3736 1,1998 1,1572 1,2739 1,5328 1,8674 2,1893 2,4297 2,5548 2,5632 2,4761 2,3193 2,1051 1,8310 1,4952 1,1180 0,7468 0,4359 0,2291 0,1543 0,2120 0,3736 0,6011 0,8569 1,0927 1,2510 1,2874 1,1811 0,9208 0,4881 -0,1225 -0,8739 -1,6975 -2,5209 -3,2695 -3,8748 -4,2970 -4,5268 -4,5660 -4,4205 -4,1170 -3,7179 -3,3119 -2,9875 -2,8107 -2,8106 -2,9785 -3,2803 -3,6701 -4,1058 -4,5445 -4,9106 -5,0962 -5,0233 -4,7077 -4,2567 -3,7993 -3,4084 -3,0822 -2,7826 -2,4752 -2,1524 -1,8438 -1,5925 -1,4020 -1,2164 -0,9709 -0,6569 -0,3393 -0,1133 -0,0386 -0,1144 -0,3041 -0,5695 -0,8839 -1,2211 -1,5458 -1,8253 -2,0442 -2,1839 -2,1840 -1,9604 -1,4896 -0,8624 -0,2255 0,3269 0,7848 1,1701 1,4931 1,7433 1,8901 1,8995 1,7653 1,5210 1,2162 0,8830 0,5335 0,1966 -0,0599 -0,1643 -0,0933 0,1168 0,3985 0,6874 0,9476 1,1711 1,3456 1,4299 1,3641 1,1068 0,6721 0,1363 -0,3909 -0,8077 -1,0539 -1,1316 -1,0917 -0,9788 -0,7771 -0,4188 0,1430 0,8606 1,5814 2,1228 2,3824 2,3822 2,2205 2,0013 1,8025 1,6649 1,5822 1,5132 1,4229 1,3141 1,2116 1,1160 0,9930 0,8155 0,5963 0,3840 0,2365 0,1864 0,2177 0,2803 0,3253 0,3236 0,2662 0,1590 0,0116 -0,1671 -0,3534 -0,5019 -0,5567 -0,4640 -0,1877 0,2686 0,8605 1,5188 2,1597 2,6932 3,0506 3,2082 3,1804 2,9890 2,6437 2,1451 1,5070 0,7878 0,0981 -0,4357 -0,7268 -0,7561 -0,5684 -0,2493 0,1108 0,4442 0,7067 0,8706 0,9399 0,9663 1,0284 1,1837 1,4325 1,7113 1,9215 1,9862 1,8903 1,6729 1,3984 1,1388 0,9669 0,9340 1,0364 1,2178 1,4181 1,6227 1,8602 2,1564 2,4975 2,8303 3,0811 3,1889 3,1356 2,9508 2,6928 2,4225 2,1827 2,0001 1,9003 1,9137 2,0635 2,3469 2,7234 3,1100 3,3938 3,4820 3,3587 3,0801 2,7222 2,3462 1,9917 1,6719 1,3773 1,0919 0,8229 0,6154 0,5257 0,5808 0,7686 1,0490 1,3634 1,6487 1,8541 1,9658 2,0323 2,1437 2,3650 2,6994 3,1111 3,5500 3,9529 4,2564 4,4246 4,4534 4,3588 4,1755 3,9517 3,7303 3,5275 3,3226 3,0718 2,7483 2,3786 2,0332 1,7779 1,6353 1,5839 1,5780 1,5606 1,4664 1,2406 0,8722 0,4093 -0,0552 -0,4173 -0,6088 -0,6283 -0,5267 -0,3566 -0,1272 0,2059 0,7118 1,4463 2,4291 3,6246 4,9222 6,1548 7,1612 7,8359 8,1401 8,0970 7,7798 7,2935 6,7612 6,2948 5,9552 5,7421 5,6276 5,5921 5,6226 5,6948 5,7685 5,7978 5,7522 5,6307 5,4499 5,2231 4,9573 4,6605 4,3559 4,0986 3,9653 4,0140 4,2462 4,5848 4,8874 5,0122 4,8846 4,5012 3,9104 3,2086 2,5198 1,9509 1,5666 1,3896 1,4081 1,5881 1,8857 2,2478 2,6078 2,8906 3,0401 3,0566 3,0079 2,9909 3,0711 3,2511 3,4691 3,6221 3,6229 3,4610 3,2059 2,9533 2,7758 2,7036 2,7241 2,8005 2,8946 2,9891 3,1124 3,3277 3,6711 4,1047 4,5310 4,8464 4,9824 4,9219 4,6955 4,3506 3,9159 3,4095 2,8799 2,4178 2,1209 2,0552 2,2368 2,6322 3,1784 3,8136 4,4927 5,1707 5,7750 6,2168 6,4296 6,3892 6,1036 5,6008 4,9341 4,1930 3,4842 2,8890 2,4489 2,1877 2,1208 2,2420 2,5178 2,9028 3,3522 3,8120 4,2235 4,5569 4,8111 4,9736 4,9986 4,8262 4,4244 3,8313 3,1592 2,5390 2,0447 1,6677 1,3483 1,0146 0,6056 0,0939 -0,4962 -1,1000 -1,6497 -2,1023 -2,4376 -2,6491 -2,7456 -2,7573 -2,7309 -2,7083 -2,7001 -2,6745 -2,5821 -2,3974 -2,1527 -1,9458 -1,9071 -2,1237 -2,5780 -3,1553 -3,7070 -4,1140 -4,3166 -4,3101 -4,1170 -3,7627 -3,2608 -2,6066 -1,7991
