Fp1   -3,4385 -2,3731 -1,0594 0,3880 1,7999 2,9845 3,7908 4,1524 4,0873 3,6625 2,9520 2,0237 0,9694 -0,0560 -0,8474 -1,2470 -1,2318 -0,8833 -0,3025 0,4089 1,1299 1,7520 2,2324 2,5896 2,8388 2,9389 2,8146 2,4318 1,8403 1,1487 0,4702 -0,1076 -0,5264 -0,7696 -0,8794 -0,9424 -1,0476 -1,2509 -1,5545 -1,9060 -2,2389 -2,5216 -2,7625 -2,9795 -3,1625 -3,2564 -3,2131 -3,0690 -2,9284 -2,8517 -2,7914 -2,6452 -2,3412 -1,8748 -1,3055 -0,7418 -0,3131 -0,1225 -0,2033 -0,5101 -0,9434 -1,4016 -1,8364 -2,2472 -2,6111 -2,8484 -2,8800 -2,7068 -2,4103 -2,0865 -1,7959 -1,5590 -1,3697 -1,2134 -1,0859 -0,9842 -0,8813 -0,7420 -0,5652 -0,3696 -0,1346 0,2165 0,7641 1,5235 2,4126 3,2759 3,9438 4,2756 4,1892 3,7076 2,9822 2,2275 1,6157 1,2122 0,9569 0,6853 0,2192 -0,5239 -1,4840 -2,4738 -3,2311 -3,5245 -3,2638 -2,5304 -1,5261 -0,4887 0,3846 0,9775 1,2540 1,2392 0,9966 0,6120 0,1575 -0,3625 -0,9981 -1,7491 -2,4883 -3,0042 -3,1127 -2,7461 -1,9814 -1,0004 -0,0053 0,8466 1,4648 1,8188 1,9149 1,7752 1,4566 1,0881 0,8532 0,9126 1,3268 2,0222 2,8208 3,5317 4,0386 4,3247 4,4310 4,3902 4,1925 3,8086 3,2271 2,4775 1,6598 0,9593 0,5834 0,6508 1,1235 1,8214 2,4997 2,9383 2,9990 2,6372 1,8869 0,8558 -0,2660 -1,2337 -1,8348 -1,9875 -1,7690 -1,3418 -0,8398 -0,3146 0,2274 0,7702 1,3006 1,8593 2,5299 3,3321 4,1241 4,6372 4,6382 4,0910 3,1885 2,2428 1,5354 1,2232 1,3252 1,7593 2,3811 2,9992 3,4023 3,4434 3,1298 2,6178 2,1148 1,7790 1,6723 1,7680 1,9868 2,2387 2,4637 2,6547 2,8319 2,9982 3,1384 3,2462 3,3179 3,3142 3,1598 2,8031 2,2783 1,7057 1,2230 0,8953 0,6760 0,4617 0,2048 -0,0177 -0,0601 0,1653 0,6242 1,1949 1,7478 2,2069 2,5413 2,7153 2,6972 2,5079 2,2124 1,8697 1,5048 1,1022 0,6212 0,0353 -0,6439 -1,3744 -2,0917 -2,7083 -3,1335 -3,3124 -3,2322 -2,8914 -2,2993 -1,5248 -0,7276 -0,1146 0,1569 0,0380 -0,4222 -1,0994 -1,8154 -2,3958 -2,7245 -2,7510 -2,4937 -2,0558 -1,5839 -1,1605 -0,7398 -0,2119 0,4713 1,2431 1,9832 2,6071 3,0858 3,4083 3,5536 3,4982 3,2491 2,8844 2,5551 2,4227 2,5660 2,9134 3,2574 3,3793 3,2043 2,8369 2,4479 2,1478 1,9604 1,8766 1,9016 2,0499 2,3176 2,6683 3,0396 3,3473 3,4829 3,3335 2,8408 2,0697 1,2255 0,5789 0,3299 0,4985 0,9323 1,4262 1,8327 2,0804 2,1512 2,0634 1,8364 1,4542 0,8833 0,1218 -0,7907 -1,7855 -2,7441 -3,4788 -3,7839 -3,5380 -2,7742 -1,6790 -0,5251 0,4398 1,0956 1,4746 1,6931 1,8495 1,9679 2,0059 1,8833 1,5170 0,8790 0,0469 -0,8164 -1,5488 -2,0657 -2,3596 -2,4222 -2,1786 -1,5298 -0,4688 0,8693 2,2669 3,5070 4,4132 4,8789 4,9140 4,6673 4,3621 4,1762 4,1665 4,2702 4,3470 4,2432 3,8779 3,3088 2,7001 2,1925 1,7961 1,4207 0,9964 0,5494 0,1808 0,0077 0,1018 0,4386 0,9047 1,3744 1,7713 2,0588 2,2090 2,1953 2,0106 1,6855 1,2890 0,9041 0,5842 0,3295 0,1091 -0,0971 -0,2748 -0,3773 -0,3579 -0,2061 0,0447 0,3394 0,6276 0,8761 1,0739 1,2256 1,3238 1,3219 1,1492 0,7698 0,2265 -0,3792 -0,9318 -1,3041 -1,3522 -0,9805 -0,2452 0,6196 1,2988 1,5371 1,2307 0,4373 -0,6612 -1,8280 -2,8783 -3,7662 -4,5426 -5,2094 -5,6395 -5,6617 -5,1982 -4,3074 -3,1355 -1,8739 -0,7303 0,1250 0,6221 0,8047 0,7728 0,6156 0,4051 0,2319 0,2036 0,3828 0,7256 1,1012 1,3846 1,5260 1,5436 1,4944 1,4684 1,5718 1,8675 2,3123 2,7563 3,0225 3,0088 2,7419 2,3637 2,0647 1,9918 2,1804 2,5427 2,8991 3,0557 2,9160 2,5366 2,0684 1,6508 1,3635 1,2574 1,3759 1,7044 2,1166 2,4124 2,4219 2,0815 1,4485 0,6713 -0,0639 -0,5835 -0,7653 -0,5754 -0,0813 0,5836 1,2635 1,8050 2,1044 2,1526 2,0140 1,7769 1,5430 1,4165 1,4579 1,6496 1,9119 2,1538 2,3246 2,4292 2,5157 2,6663 2,9847 3,5558 4,3809 5,3386 6,2174 6,8064 6,9755 6,7027 6,0784 5,3006 4,6103 4,1699 3,9814 3,9123 3,8086 3,6129 3,3916 3,2651 3,3260 3,6020 4,0529 4,5795 5,0346 5,2338 4,9918 4,1908 2,8507 1,1515 -0,6115 -2,1097 -3,0714 -3,3610 -3,0116 -2,1803 -1,0532 0,2310 1,5791 2,8772 3,9572 4,6449 4,8384 4,5538 3,9010 3,0336 2,1349 1,4129 1,0475 1,1153 1,5608 2,2487 3,0395 3,8188 4,4925 4,9819 5,2165 5,1348 4,7103 3,9837 3,0762 2,1495 1,3325 0,6922 0,2580 0,0400 0,0374 0,2515 0,6802 1,2754 1,9173 2,4574 2,8063 2,9794 3,0618 3,1385 3,2579 3,4497 3,7405 4,1203 4,5111 4,8051 4,9435 4,9484 4,8786 4,7707 4,6285 4,4419 4,1666 3,6969 2,9273 1,8831 0,7938 0,0088 -0,2060 0,1835 0,9981 1,9704 2,8556 3,4933 3,8344 3,9249 3,8396 3,6200 3,2669 2,7653 2,1080 1,3259 0,5072 -0,2235 -0,7396 -0,9377 -0,7938 -0,4240 -0,0559 0,0842 -0,1309 -0,6927 -1,4830 -2,3437 -3,1341 -3,7615 -4,2072 -4,5209 -4,7585 -4,9182 -4,9301 -4,7010 -4,1813 -3,4051 -2,4811 -1,5484
Fz    -0,7085 -0,3417 0,0262 0,3638 0,6424 0,8366 0,9263 0,9043 0,7911 0,6402 0,5231 0,4991 0,5876 0,7624 0,9736 1,1827 1,3849 1,5983 1,8334 2,0741 2,2851 2,4334 2,4993 2,4805 2,3963 2,2807 2,1580 2,0187 1,8230 1,5315 1,1333 0,6488 0,1208 -0,3947 -0,8418 -1,1821 -1,4072 -1,5344 -1,5870 -1,5821 -1,5474 -1,5428 -1,6569 -1,9690 -2,4985 -3,1785 -3,8864 -4,4976 -4,9160 -5,0868 -5,0115 -4,7485 -4,3855 -4,0068 -3,6735 -3,4114 -3,2125 -3,0616 -2,9667 -2,9578 -3,0526 -3,2299 -3,4413 -3,6391 -3,7891 -3,8684 -3,8602 -3,7542 -3,5482 -3,2386 -2,8132 -2,2709 -1,6554 -1,0523 -0,5421 -0,1668 0,0608 0,1507 0,1436 0,0976 0,0567 0,0398 0,0528 0,0982 0,1800 0,3039 0,4621 0,6140 0,6945 0,6432 0,4258 0,0400 -0,4783 -1,0503 -1,5663 -1,9205 -2,0528 -1,9790 -1,7882 -1,6118 -1,5764 -1,7543 -2,1368 -2,6574 -3,2384 -3,8073 -4,2881 -4,6078 -4,7191 -4,6147 -4,3232 -3,8914 -3,3700 -2,8033 -2,2186 -1,6237 -1,0266 -0,4546 0,0554 0,4841 0,8430 1,1670 1,5017 1,8846 2,3202 2,7689 3,1604 3,4246 3,5233 3,4627 3,2818 3,0385 2,7917 2,5749 2,3879 2,2180 2,0542 1,8866 1,7106 1,5231 1,3065 1,0296 0,6699 0,2300 -0,2492 -0,6868 -0,9891 -1,0976 -1,0153 -0,8032 -0,5531 -0,3538 -0,2654 -0,3123 -0,4914 -0,7799 -1,1319 -1,4788 -1,7500 -1,9035 -1,9330 -1,8538 -1,6900 -1,4728 -1,2381 -1,0255 -0,8761 -0,8133 -0,8155 -0,8216 -0,7717 -0,6344 -0,4043 -0,0942 0,2642 0,6262 0,9545 1,2323 1,4524 1,6067 1,6931 1,7300 1,7599 1,8307 1,9722 2,1934 2,5026 2,9170 3,4401 4,0334 4,6123 5,0664 5,2977 5,2662 5,0110 4,6229 4,1998 3,8164 3,5162 3,3121 3,1968 3,1610 3,2024 3,3167 3,4869 3,6856 3,8778 4,0196 4,0608 3,9571 3,6797 3,2185 2,5866 1,8281 1,0260 0,2891 -0,2876 -0,6559 -0,8145 -0,8007 -0,6925 -0,5983 -0,6155 -0,7832 -1,0717 -1,4086 -1,7093 -1,8962 -1,9224 -1,7956 -1,5782 -1,3558 -1,1965 -1,1408 -1,2180 -1,4466 -1,8192 -2,2913 -2,7855 -3,2103 -3,4917 -3,5983 -3,5492 -3,3983 -3,1996 -2,9752 -2,7162 -2,4049 -2,0342 -1,6140 -1,1700 -0,7371 -0,3545 -0,0571 0,1422 0,2623 0,3446 0,4310 0,5448 0,6890 0,8572 1,0469 1,2654 1,5209 1,8094 2,1115 2,3991 2,6451 2,8333 2,9625 3,0411 3,0800 3,0859 3,0583 2,9969 2,9071 2,7902 2,6297 2,4032 2,1095 1,7789 1,4541 1,1668 0,9245 0,7126 0,5104 0,3059 0,0957 -0,1229 -0,3516 -0,5929 -0,8573 -1,1589 -1,4989 -1,8601 -2,2131 -2,5185 -2,7254 -2,7811 -2,6503 -2,3441 -1,9465 -1,5958 -1,4119 -1,4346 -1,6244 -1,9029 -2,1924 -2,4399 -2,6214 -2,7358 -2,7965 -2,8149 -2,7813 -2,6591 -2,4078 -2,0228 -1,5574 -1,1077 -0,7738 -0,6224 -0,6637 -0,8557 -1,1294 -1,4162 -1,6642 -1,8469 -1,9637 -2,0184 -1,9928 -1,8525 -1,5797 -1,1847 -0,6952 -0,1483 0,4126 0,9400 1,3830 1,6915 1,8258 1,7726 1,5542 1,2277 0,8728 0,5698 0,3721 0,2920 0,3106 0,3992 0,5294 0,6696 0,7857 0,8516 0,8607 0,8254 0,7644 0,7012 0,6646 0,6705 0,7038 0,7330 0,7449 0,7583 0,8052 0,8985 1,0166 1,1196 1,1801 1,1967 1,1836 1,1603 1,1507 1,1823 1,2859 1,4875 1,7818 2,1062 2,3574 2,4395 2,3041 1,9675 1,5017 1,0019 0,5527 0,2132 0,0165 -0,0292 0,0595 0,2429 0,4610 0,6400 0,7047 0,6012 0,3220 -0,0898 -0,5591 -1,0071 -1,3765 -1,6459 -1,8293 -1,9603 -2,0635 -2,1343 -2,1500 -2,0956 -1,9685 -1,7633 -1,4628 -1,0407 -0,4782 0,2075 0,9444 1,6173 2,1055 2,3255 2,2670 1,9991 1,6291 1,2422 0,8754 0,5344 0,2211 -0,0519 -0,2647 -0,4025 -0,4532 -0,3935 -0,1948 0,1415 0,5498 0,9107 1,1096 1,1013 0,9297 0,6940 0,4949 0,3933 0,4013 0,5005 0,6606 0,8457 1,0208 1,1673 1,2894 1,4066 1,5425 1,7061 1,8690 1,9703 1,9600 1,8400 1,6558 1,4444 1,2022 0,9134 0,6043 0,3572 0,2687 0,3906 0,7045 1,1463 1,6444 2,1402 2,5925 2,9761 3,2778 3,4934 3,6318 3,7197 3,7892 3,8511 3,8906 3,8926 3,8619 3,8215 3,8101 3,8763 4,0555 4,3407 4,6755 4,9719 5,1402 5,1215 4,9165 4,5857 4,2135 3,8558 3,5061 3,0996 2,5515 1,8103 0,9095 -0,0171 -0,7876 -1,2606 -1,3884 -1,2178 -0,8658 -0,4884 -0,2343 -0,1920 -0,3611 -0,6650 -0,9907 -1,2354 -1,3440 -1,3209 -1,2141 -1,0897 -1,0106 -1,0163 -1,1011 -1,1989 -1,1998 -1,0043 -0,5896 -0,0295 0,5572 1,0829 1,5186 1,8659 2,1188 2,2535 2,2449 2,0860 1,7957 1,4124 0,9910 0,6072 0,3390 0,2174 0,2016 0,2157 0,2082 0,1845 0,1978 0,3104 0,5601 0,9459 1,4270 1,9337 2,3903 2,7454 2,9860 3,1317 3,2195 3,2843 3,3459 3,4175 3,5219 3,6842 3,9014 4,1254 4,2889 4,3536 4,3341 4,2769 4,2146 4,1416 4,0249 3,8332 3,5567 3,2035 2,7828 2,2988 1,7560 1,1570 0,4981 -0,2150 -0,9388 -1,5919 -2,0978 -2,4323 -2,6406 -2,8141 -3,0363 -3,3378 -3,6967 -4,0728 -4,4312 -4,7382 -4,9513 -5,0243 -4,9299 -4,6787 -4,3212 -3,9345 -3,6050 -3,4050 -3,3720 -3,5094 -3,8051 -4,2341 -4,7393 -5,2302 -5,6142 -5,8323 -5,8710 -5,7533 -5,5223
F3    0,9698 1,0660 0,9912 0,7996 0,5750 0,3837 0,2425 0,1310 0,0303 -0,0418 -0,0258 0,1480 0,5089 1,0133 1,5580 2,0297 2,3536 2,5054 2,4976 2,3687 2,1753 1,9718 1,7834 1,6023 1,4105 1,2044 0,9999 0,8201 0,6744 0,5485 0,4114 0,2296 -0,0176 -0,3269 -0,6695 -1,0009 -1,2784 -1,4718 -1,5637 -1,5573 -1,4912 -1,4415 -1,4982 -1,7292 -2,1474 -2,6977 -3,2720 -3,7421 -4,0045 -4,0262 -3,8649 -3,6347 -3,4466 -3,3747 -3,4484 -3,6502 -3,9259 -4,2146 -4,4758 -4,6848 -4,8040 -4,7735 -4,5427 -4,1139 -3,5580 -2,9852 -2,4856 -2,0863 -1,7574 -1,4397 -1,0689 -0,6082 -0,0898 0,3885 0,7259 0,8746 0,8407 0,6676 0,4295 0,2021 0,0191 -0,1291 -0,2550 -0,3488 -0,3866 -0,3442 -0,2126 -0,0180 0,1747 0,2822 0,2357 0,0094 -0,3645 -0,8079 -1,2215 -1,5053 -1,5842 -1,4402 -1,1291 -0,7778 -0,5526 -0,5931 -0,9503 -1,5847 -2,4082 -3,3085 -4,1531 -4,8109 -5,1905 -5,2621 -5,0457 -4,5844 -3,9278 -3,1256 -2,2244 -1,2803 -0,3826 0,3515 0,8295 1,0371 1,0409 0,9522 0,8889 0,9435 1,1546 1,5013 1,9239 2,3462 2,6910 2,8940 2,9221 2,7888 2,5414 2,2176 1,8303 1,3963 0,9588 0,5717 0,2726 0,0636 -0,0883 -0,2279 -0,3839 -0,5608 -0,7388 -0,8771 -0,9287 -0,8634 -0,6842 -0,4332 -0,1839 -0,0176 0,0117 -0,0967 -0,2963 -0,5225 -0,7156 -0,8366 -0,8789 -0,8642 -0,8225 -0,7733 -0,7195 -0,6522 -0,5628 -0,4644 -0,4078 -0,4589 -0,6400 -0,8930 -1,1003 -1,1402 -0,9380 -0,4924 0,1246 0,7968 1,4125 1,9039 2,2490 2,4510 2,5276 2,5194 2,4897 2,4980 2,5673 2,6861 2,8408 3,0383 3,2906 3,5871 3,8845 4,1127 4,1978 4,1094 3,8905 3,6323 3,4261 3,3338 3,3776 3,5400 3,7762 4,0304 4,2441 4,3550 4,3125 4,1128 3,8124 3,4936 3,2133 2,9767 2,7417 2,4437 2,0263 1,4641 0,7800 0,0487 -0,6318 -1,1787 -1,5449 -1,7294 -1,7866 -1,8102 -1,8818 -2,0193 -2,1783 -2,2954 -2,3172 -2,2101 -1,9814 -1,6956 -1,4533 -1,3413 -1,3984 -1,6205 -1,9807 -2,4350 -2,9198 -3,3596 -3,6825 -3,8361 -3,7992 -3,5963 -3,3034 -3,0177 -2,7961 -2,6239 -2,4485 -2,2331 -1,9755 -1,6974 -1,4303 -1,2027 -1,0316 -0,9134 -0,8175 -0,6962 -0,5079 -0,2363 0,1095 0,5116 0,9574 1,4329 1,9058 2,3223 2,6296 2,8064 2,8752 2,8872 2,8948 2,9276 2,9878 3,0604 3,1244 3,1580 3,1413 3,0577 2,8943 2,6434 2,3160 1,9606 1,6596 1,4889 1,4699 1,5491 1,6142 1,5410 1,2492 0,7399 0,0939 -0,5673 -1,1415 -1,5876 -1,9282 -2,2142 -2,4882 -2,7644 -3,0146 -3,1682 -3,1418 -2,8903 -2,4497 -1,9462 -1,5498 -1,3936 -1,5218 -1,8912 -2,3980 -2,9198 -3,3628 -3,6828 -3,8738 -3,9452 -3,9000 -3,7239 -3,3943 -2,9047 -2,2887 -1,6276 -1,0272 -0,5772 -0,3187 -0,2398 -0,3044 -0,4910 -0,7957 -1,1952 -1,6212 -1,9847 -2,2129 -2,2618 -2,1162 -1,7934 -1,3368 -0,8015 -0,2402 0,3058 0,8076 1,2371 1,5557 1,7203 1,7084 1,5378 1,2685 0,9874 0,7768 0,6772 0,6708 0,7011 0,7091 0,6584 0,5376 0,3557 0,1361 -0,0866 -0,2767 -0,4089 -0,4669 -0,4376 -0,3257 -0,1696 -0,0297 0,0491 0,0718 0,0890 0,1512 0,2684 0,4125 0,5472 0,6445 0,6858 0,6694 0,6197 0,5726 0,5545 0,5801 0,6585 0,7843 0,9246 1,0185 0,9981 0,8257 0,5159 0,1194 -0,3108 -0,7306 -1,0891 -1,3187 -1,3546 -1,1722 -0,8169 -0,4005 -0,0634 0,0871 0,0311 -0,1638 -0,3984 -0,6068 -0,7863 -0,9794 -1,2308 -1,5489 -1,8949 -2,2009 -2,4064 -2,4817 -2,4239 -2,2387 -1,9246 -1,4670 -0,8545 -0,1146 0,6662 1,3654 1,8746 2,1448 2,2071 2,1514 2,0623 1,9598 1,7956 1,5016 1,0518 0,4982 -0,0446 -0,4570 -0,6631 -0,6431 -0,4276 -0,0941 0,2414 0,4623 0,5109 0,4226 0,2952 0,2166 0,2139 0,2602 0,3133 0,3469 0,3534 0,3311 0,2842 0,2369 0,2330 0,3145 0,4974 0,7486 0,9716 1,0389 0,8737 0,5058 0,0451 -0,3955 -0,7536 -1,0095 -1,1447 -1,1229 -0,9142 -0,5341 -0,0492 0,4552 0,9171 1,3146 1,6526 1,9412 2,1829 2,3697 2,4964 2,5750 2,6220 2,6286 2,5629 2,4077 2,1921 1,9850 1,8694 1,9129 2,1349 2,4846 2,8547 3,1299 3,2382 3,1796 3,0216 2,8567 2,7445 2,6758 2,5752 2,3320 1,8459 1,0769 0,0868 -0,9567 -1,8362 -2,3753 -2,5022 -2,2615 -1,7905 -1,2792 -0,9132 -0,8091 -0,9738 -1,3142 -1,6913 -1,9930 -2,1767 -2,2573 -2,2752 -2,2768 -2,2981 -2,3420 -2,3682 -2,3019 -2,0578 -1,5820 -0,8956 -0,1029 0,6601 1,2909 1,7380 1,9761 1,9917 1,7973 1,4422 1,0068 0,5827 0,2441 0,0200 -0,1039 -0,1645 -0,2065 -0,2719 -0,3837 -0,5325 -0,6711 -0,7249 -0,6256 -0,3459 0,0877 0,5994 1,0864 1,4587 1,6782 1,7702 1,8022 1,8478 1,9555 2,1382 2,3849 2,6790 3,0002 3,3061 3,5322 3,6306 3,6099 3,5281 3,4546 3,4346 3,4718 3,5275 3,5306 3,4059 3,1068 2,6291 2,0075 1,3093 0,6115 -0,0407 -0,6500 -1,2286 -1,7486 -2,1471 -2,3791 -2,4621 -2,4724 -2,4995 -2,6001 -2,7900 -3,0600 -3,3874 -3,7345 -4,0420 -4,2302 -4,2225 -3,9817 -3,5356 -2,9827 -2,4758 -2,1716 -2,1578 -2,4197 -2,8768 -3,4336 -3,9986 -4,4940 -4,8758 -5,1391 -5,2991 -5,3734 -5,3783
F7    -1,6578 -1,0571 -0,2951 0,4754 1,1061 1,5306 1,7791 1,9367 2,0820 2,2516 2,4339 2,5655 2,5468 2,3041 1,8511 1,2959 0,7978 0,5051 0,5027 0,7789 1,2224 1,6659 1,9601 2,0367 1,9295 1,7398 1,5652 1,4296 1,2635 0,9659 0,4951 -0,0967 -0,7057 -1,2381 -1,6443 -1,9188 -2,0905 -2,2039 -2,2873 -2,3373 -2,3476 -2,3309 -2,3017 -2,2675 -2,2563 -2,3205 -2,4953 -2,7657 -3,0704 -3,3283 -3,4791 -3,5135 -3,4555 -3,3126 -3,0591 -2,6712 -2,1531 -1,5344 -0,8861 -0,3391 -0,0501 -0,1253 -0,5626 -1,2414 -1,9597 -2,5031 -2,7201 -2,5813 -2,1832 -1,6845 -1,2232 -0,8747 -0,6526 -0,5160 -0,3749 -0,1291 0,2613 0,7441 1,2177 1,6091 1,9210 2,2060 2,4880 2,7208 2,8289 2,7650 2,5250 2,1371 1,6572 1,1721 0,7781 0,5351 0,4402 0,4522 0,5236 0,5987 0,6064 0,4885 0,2344 -0,1227 -0,5391 -0,9703 -1,3500 -1,6000 -1,6722 -1,5610 -1,2921 -0,9190 -0,5099 -0,1280 0,1690 0,3199 0,2665 -0,0252 -0,5337 -1,1534 -1,7092 -2,0326 -2,0446 -1,7772 -1,3301 -0,8137 -0,3209 0,0708 0,2952 0,3147 0,1479 -0,1215 -0,3711 -0,4836 -0,3891 -0,0840 0,3820 0,9418 1,5385 2,1182 2,6100 2,9418 3,0826 3,0518 2,8925 2,6459 2,3379 1,9723 1,5425 1,0511 0,5136 -0,0400 -0,5574 -0,9706 -1,2125 -1,2267 -0,9816 -0,5080 0,0762 0,6035 0,9434 1,0582 0,9852 0,7851 0,5250 0,2954 0,1935 0,2627 0,4745 0,7722 1,1082 1,4435 1,7458 1,9910 2,1613 2,2597 2,3293 2,4229 2,5511 2,6771 2,7540 2,7574 2,6893 2,5621 2,3893 2,1953 2,0333 1,9808 2,0989 2,3968 2,8436 3,3923 3,9732 4,4847 4,8280 4,9619 4,9119 4,7336 4,4768 4,1647 3,7898 3,3355 2,8060 2,2297 1,6451 1,1024 0,6696 0,4231 0,4322 0,7327 1,2825 1,9424 2,5227 2,8706 2,9343 2,7652 2,4726 2,1860 2,0374 2,1162 2,4009 2,7480 2,9831 3,0064 2,8136 2,4515 1,9862 1,4863 0,9882 0,4755 -0,0845 -0,6793 -1,2286 -1,6262 -1,8017 -1,7444 -1,4805 -1,0720 -0,6433 -0,3567 -0,3299 -0,5839 -1,0561 -1,6333 -2,1763 -2,5429 -2,6234 -2,3788 -1,8600 -1,1864 -0,4899 0,1381 0,6625 1,0847 1,4183 1,6770 1,8728 2,0180 2,1314 2,2387 2,3737 2,5796 2,8911 3,2942 3,7048 4,0126 4,1541 4,1415 4,0414 3,9434 3,9261 4,0202 4,1876 4,3406 4,4013 4,3532 4,2287 4,0617 3,8709 3,6658 3,4496 3,2347 3,0487 2,9097 2,7999 2,6712 2,4761 2,2004 1,8726 1,5567 1,3368 1,2803 1,3875 1,5768 1,7223 1,7131 1,4943 1,0839 0,5618 0,0253 -0,4758 -0,9603 -1,4537 -1,9013 -2,1611 -2,1048 -1,7202 -1,0996 -0,3637 0,3715 1,0038 1,4766 1,7953 1,9876 2,0580 1,9863 1,7484 1,3359 0,7861 0,1923 -0,3358 -0,7222 -0,9345 -0,9696 -0,8461 -0,5904 -0,2144 0,2886 0,9243 1,6610 2,4012 3,0029 3,3554 3,4503 3,3915 3,3280 3,3599 3,4912 3,6611 3,8045 3,8825 3,8921 3,8688 3,8522 3,8372 3,7736 3,6151 3,3511 2,9950 2,5644 2,0891 1,6369 1,3151 1,2292 1,4301 1,8849 2,4758 3,0304 3,3865 3,4636 3,2969 3,0029 2,7010 2,4503 2,2487 2,0762 1,9213 1,7693 1,5894 1,3528 1,0693 0,8065 0,6706 0,7496 1,0561 1,5206 2,0449 2,5570 3,0191 3,3986 3,6521 3,7420 3,6485 3,3671 2,9273 2,4222 2,0012 1,8134 1,9281 2,2881 2,7397 3,1121 3,2874 3,2401 3,0393 2,7978 2,5900 2,4019 2,1678 1,8494 1,4741 1,1192 0,8728 0,7828 0,8208 0,9114 1,0051 1,1089 1,2536 1,4590 1,7268 2,0494 2,4171 2,8163 3,2174 3,5630 3,7866 3,8623 3,8278 3,7334 3,5857 3,3744 3,1401 2,9718 2,9449 3,0810 3,3351 3,5945 3,7222 3,6363 3,3701 3,0575 2,8438 2,7954 2,8694 2,9435 2,8836 2,6192 2,1832 1,6909 1,2747 1,0253 0,9642 1,0376 1,1374 1,1617 1,0692 0,8723 0,6034 0,3080 0,0596 -0,0532 0,0258 0,2767 0,6073 0,8944 1,0233 0,9128 0,5490 0,0238 -0,4762 -0,7546 -0,7046 -0,3504 0,1756 0,6997 1,0860 1,2774 1,2900 1,1972 1,1033 1,1004 1,2393 1,5308 1,9547 2,4682 3,0171 3,5293 3,9105 4,0755 3,9980 3,7372 3,4143 3,1472 2,9917 2,9202 2,8419 2,6627 2,3491 1,9410 1,5139 1,1272 0,7986 0,5247 0,3204 0,2230 0,2517 0,3649 0,4716 0,4857 0,3644 0,1072 -0,2586 -0,6951 -1,1729 -1,6735 -2,1611 -2,5558 -2,7586 -2,7091 -2,4109 -1,8987 -1,2096 -0,4128 0,3587 0,9536 1,2891 1,3837 1,3099 1,1261 0,8572 0,5386 0,2574 0,1396 0,3046 0,8092 1,5854 2,4345 3,1106 3,4241 3,3029 2,8100 2,1192 1,4408 0,9160 0,5468 0,2385 -0,0805 -0,4034 -0,6859 -0,8824 -0,9374 -0,7924 -0,4314 0,0941 0,7041 1,3462 1,9973 2,6195 3,1511 3,5426 3,7782 3,8720 3,8689 3,8287 3,7735 3,6681 3,4678 3,1747 2,8451 2,5460 2,3085 2,1267 1,9851 1,8652 1,7382 1,5766 1,3695 1,1149 0,8037 0,4364 0,0658 -0,1895 -0,2010 0,0746 0,5465 1,0331 1,3468 1,3547 1,0031 0,3258 -0,5641 -1,5075 -2,3460 -2,9660 -3,3263 -3,4633 -3,4678 -3,4394 -3,4398 -3,4646 -3,4477 -3,3170 -3,0656 -2,7685 -2,5413 -2,4874 -2,6453 -2,9497 -3,2526 -3,4028 -3,3098 -2,9548 -2,3794
