Fp1   0,6111 0,3270 0,1413 0,0336 -0,0141 -0,0099 0,0573 0,2061 0,4282 0,6730 0,8670 0,9477 0,8901 0,7150 0,4729 0,2142 -0,0258 -0,2265 -0,3851 -0,5230 -0,6747 -0,8581 -1,0589 -1,2445 -1,3838 -1,4485 -1,4084 -1,2392 -0,9440 -0,5621 -0,1547 0,2105 0,4684 0,5677 0,4942 0,2800 -0,0092 -0,2951 -0,5077 -0,6042 -0,5757 -0,4383 -0,2109 0,0929 0,4478 0,7990 1,0767 1,2349 1,2814 1,2643 1,2272 1,1822 1,1172 1,0189 0,8934 0,7749 0,7106 0,7311 0,8367 1,0079 1,2177 1,4367 1,6370 1,7920 1,8671 1,8234 1,6436 1,3512 0,9999 0,6528 0,3721 0,2022 0,1510 0,1921 0,2844 0,3829 0,4446 0,4471 0,3971 0,3060 0,1698 -0,0150 -0,2291 -0,4329 -0,5863 -0,6638 -0,6559 -0,5721 -0,4524 -0,3578 -0,3361 -0,3997 -0,5312 -0,7015 -0,8860 -1,0781 -1,2843 -1,4953 -1,6670 -1,7473 -1,7281 -1,6639 -1,6384 -1,7139 -1,9117 -2,2310 -2,6636 -3,1808 -3,7171 -4,1892 -4,5438 -4,7841 -4,9452 -5,0476 -5,0794 -5,0179 -4,8500 -4,5733 -4,2011 -3,7659 -3,3112 -2,8833 -2,5245 -2,2709 -2,1494 -2,1646 -2,2769 -2,4046 -2,4580 -2,3720 -2,1213 -1,7270 -1,2474 -0,7437 -0,2518 0,2161 0,6532 1,0482 1,3778 1,6048 1,6956 1,6540 1,5353 1,4126 1,3257 1,2661 1,2098 1,1577 1,1433 1,2082 1,3720 1,6219 1,9260 2,2599 2,6172 2,9827 3,3054 3,5233 3,6144 3,6086 3,5569 3,5003 3,4620 3,4449 3,4315 3,4023 3,3709 3,3985 3,5621 3,9053 4,4161 5,0370 5,6843 6,2653 6,7023 6,9614 7,0658 7,0704 7,0210 6,9389 6,8375 6,7345 6,6461 6,5845 6,5597 6,5681 6,5846 6,5806 6,5505 6,5104 6,4762 6,4482 6,4126 6,3567 6,2790 6,1783 6,0306 5,7980 5,4694 5,0901 4,7467 4,5149 4,4064 4,3674 4,3308 4,2562 4,1341 3,9828 3,8426 3,7583 3,7506 3,7995 3,8602 3,9037 3,9373 3,9804 4,0318 4,0689 4,0709 4,0335 3,9678 3,8934 3,8332 3,8067 3,8190 3,8593 3,9117 3,9576 3,9667 3,9041 3,7646 3,5935 3,4543 3,3716 3,3186 3,2522 3,1434 2,9802 2,7632 2,5092 2,2624 2,0842 2,0179 2,0618 2,1748 2,3056 2,4212 2,5112 2,5723 2,5985 2,5856 2,5393 2,4798 2,4412 2,4528 2,5135 2,5862 2,6231 2,6045 2,5568 2,5284 2,5549 2,6466 2,8008 3,0137 3,2722 3,5377 3,7475 3,8413 3,7963 3,6398 3,4378 3,2733 3,2169 3,3000 3,5209 3,8673 4,3126 4,8043 5,2775 5,6788 5,9780 6,1675 6,2544 6,2568 6,2088 6,1604 6,1598 6,2350 6,3919 6,6123 6,8447 7,0078 7,0252 6,8695 6,5811 6,2394 5,9201 5,6856 5,5892 5,6563 5,8653 6,1618 6,4828 6,7688 6,9737 7,0817 7,1133 7,1055 7,0780 7,0230 6,9279 6,7910 6,6116 6,3793 6,0865 5,7473 5,3985 5,0862 4,8471 4,6878 4,5710 4,4333 4,2312 3,9758 3,7232 3,5337 3,4371 3,4250 3,4625 3,5010 3,4924 3,4051 3,2309 2,9767 2,6644 2,3432 2,0813 1,9306 1,9033 1,9780 2,1139 2,2616 2,3721 2,4047 2,3299 2,1334 1,8249 1,4438 1,0575 0,7507 0,6099 0,6956 1,0062 1,4727 1,9994 2,5153 2,9869 3,3929 3,7184 3,9727 4,1880 4,3897 4,5840 4,7736 4,9698 5,1896 5,4503 5,7641 6,1325 6,5414 6,9617 7,3529 7,6663 7,8582 7,9109 7,8385 7,6671 7,4195 7,1264 6,8385 6,6134 6,4979 6,5194 6,6690 6,8861 7,0758 7,1572 7,0994 6,9208 6,6679 6,3953 6,1558 5,9912 5,9114 5,8762 5,8130 5,6563 5,3713 4,9651 4,4931 4,0494 3,7368 3,6186 3,6737 3,7964 3,8573 3,7794 3,5685 3,2830 2,9917 2,7509 2,5902 2,5064 2,4802 2,4987 2,5573 2,6518 2,7801 2,9426 3,1315 3,3270 3,4957 3,5872 3,5452 3,3406 3,0028 2,6205 2,3005 2,1109 2,0522 2,0698 2,0931 2,0761 2,0196 1,9727 1,9993 2,1292 2,3424 2,5988 2,8646 3,1069 3,2822 3,3491 3,2964 3,1589 3,0057 2,8994 2,8538 2,8301 2,7826 2,6991 2,6012 2,5283 2,5213 2,5969 2,7299 2,8688 2,9662 2,9871 2,9003 2,6884 2,3721 2,0181 1,7132 1,5286 1,4987 1,6137 1,8184 2,0313 2,1833 2,2486 2,2459 2,2127 2,1822 2,1797 2,2225 2,3062 2,4043 2,4870 2,5335 2,5298 2,4642 2,3261 2,1100 1,8177 1,4556 1,0444 0,6278 0,2541 -0,0484 -0,2710 -0,4137 -0,4827 -0,4874 -0,4348 -0,3362 -0,2152 -0,1055 -0,0413 -0,0409 -0,0910 -0,1608 -0,2365 -0,3257 -0,4277 -0,5235 -0,5969 -0,6445 -0,6697 -0,6855 -0,7079 -0,7321 -0,7242 -0,6439 -0,4625 -0,1730 0,1970 0,5871 0,9389 1,2294 1,4691 1,6736 1,8425 1,9586 1,9970 1,9371 1,7714 1,5027 1,1362 0,6755 0,1313 -0,4647 -1,0547 -1,5637 -1,9164 -2,0706 -2,0450 -1,9121 -1,7614 -1,6550 -1,6073 -1,5975 -1,5839 -1,5094 -1,3283 -1,0326 -0,6480 -0,2203 0,1928 0,5378 0,7828 0,9194 0,9635 0,9540 0,9398 0,9617 1,0426 1,1842 1,3602 1,5170 1,5927 1,5518 1,4074 1,2127 1,0250 0,8686 0,7348 0,6177 0,5409 0,5452 0,6522 0,8385 1,0477 1,2225 1,3215 1,3134 1,1715 0,8863 0,4765 -0,0119 -0,5137 -0,9650 -1,3257 -1,5934 -1,8040 -2,0127 -2,2570 -2,5316 -2,7919 -2,9742 -3,0290 -2,9462 -2,7535 -2,5018 -2,2590 -2,0964 -2,0582 -2,1388 -2,2960
Fz    1,1018 0,8397 0,5443 0,2591 0,0393 -0,0774 -0,0621 0,1029 0,4065 0,8003 1,1897 1,4402 1,4343 1,1450 0,6441 0,0397 -0,5783 -1,1443 -1,6140 -1,9835 -2,2873 -2,5464 -2,7224 -2,7374 -2,5429 -2,1622 -1,6754 -1,1731 -0,7225 -0,3525 -0,0517 0,2068 0,4264 0,5779 0,6212 0,5257 0,2881 -0,0448 -0,3743 -0,5827 -0,5873 -0,3687 0,0436 0,5961 1,2164 1,8122 2,2874 2,5734 2,6548 2,5741 2,4056 2,2135 2,0327 1,8821 1,7814 1,7503 1,7919 1,8794 1,9687 2,0340 2,0801 2,1148 2,1232 2,0745 1,9390 1,6997 1,3785 1,0472 0,7898 0,6568 0,6541 0,7462 0,8725 0,9874 1,0885 1,1944 1,3033 1,3847 1,3957 1,2898 1,0278 0,6066 0,0743 -0,4894 -1,0007 -1,3948 -1,6399 -1,7396 -1,7306 -1,6655 -1,5800 -1,4802 -1,3610 -1,2321 -1,1301 -1,1090 -1,2051 -1,3994 -1,6213 -1,8005 -1,9209 -2,0337 -2,2255 -2,5622 -3,0527 -3,6552 -4,2978 -4,8899 -5,3452 -5,6230 -5,7519 -5,8044 -5,8401 -5,8644 -5,8399 -5,7362 -5,5522 -5,2922 -4,9459 -4,5141 -4,0458 -3,6308 -3,3458 -3,2153 -3,2170 -3,2983 -3,3838 -3,3912 -3,2619 -2,9830 -2,5814 -2,0964 -1,5526 -0,9536 -0,2970 0,4096 1,1456 1,8754 2,5380 3,0465 3,3226 3,3529 3,2159 3,0278 2,8449 2,6262 2,3004 1,8621 1,3996 1,0419 0,8874 0,9734 1,2894 1,8030 2,4680 3,2095 3,9212 4,5030 4,9062 5,1429 5,2660 5,3423 5,4193 5,4982 5,5432 5,5240 5,4594 5,4385 5,5903 6,0097 6,7022 7,5906 8,5518 9,4551 10,1912 10,6936 10,9519 11,0047 10,9043 10,6889 10,3899 10,0457 9,6978 9,3793 9,1137 8,9226 8,8177 8,7869 8,8026 8,8410 8,8832 8,9115 8,9139 8,8904 8,8528 8,8031 8,7074 8,5087 8,1771 7,7411 7,2799 6,8937 6,6610 6,6085 6,7141 6,9153 7,1206 7,2443 7,2458 7,1369 6,9627 6,7699 6,5863 6,4312 6,3269 6,2830 6,2759 6,2679 6,2473 6,2290 6,2176 6,1965 6,1559 6,1123 6,0930 6,1030 6,1208 6,1249 6,1087 6,0725 6,0290 6,0154 6,0628 6,1397 6,1573 6,0447 5,8034 5,4942 5,1924 4,9623 4,8554 4,9053 5,1075 5,4079 5,7055 5,8805 5,8580 5,6537 5,3473 5,0268 4,7650 4,6138 4,5933 4,6881 4,8541 5,0305 5,1560 5,1967 5,1765 5,1700 5,2446 5,4063 5,6016 5,7715 5,8962 5,9920 6,0760 6,1483 6,2028 6,2384 6,2486 6,2279 6,1963 6,1897 6,2185 6,2613 6,3070 6,3798 6,5156 6,7286 7,0118 7,3516 7,7264 8,0975 8,4209 8,6792 8,8932 9,0944 9,2963 9,4993 9,6988 9,8734 9,9788 9,9683 9,8260 9,5775 9,2675 8,9480 8,6872 8,5540 8,5834 8,7682 9,0778 9,4651 9,8607 10,1818 10,3687 10,4232 10,4060 10,3874 10,4001 10,4332 10,4541 10,4205 10,2797 9,9869 9,5464 9,0322 8,5545 8,2017 8,0032 7,9240 7,8922 7,8452 7,7555 7,6268 7,4913 7,4073 7,4221 7,5168 7,6033 7,5878 7,4350 7,1728 6,8461 6,4826 6,0993 5,7269 5,4135 5,2017 5,0990 5,0737 5,0799 5,0810 5,0505 4,9684 4,8256 4,6296 4,4020 4,1723 3,9742 3,8436 3,8115 3,8949 4,0899 4,3881 4,8085 5,3869 6,1145 6,9138 7,6822 8,3435 8,8564 9,1965 9,3593 9,3866 9,3777 9,4569 9,7106 10,1426 10,6921 11,2837 11,8479 12,3199 12,6487 12,8169 12,8490 12,7927 12,6823 12,5292 12,3427 12,1482 11,9933 11,9407 12,0267 12,2144 12,3982 12,4617 12,3426 12,0588 11,6762 11,2621 10,8749 10,5731 10,3974 10,3441 10,3680 10,4028 10,3758 10,2336 9,9714 9,6310 9,2755 8,9658 8,7238 8,5001 8,1994 7,7644 7,2375 6,7342 6,3568 6,1364 6,0449 6,0320 6,0528 6,0811 6,1170 6,1867 6,3304 6,5715 6,8860 7,2075 7,4584 7,5777 7,5373 7,3462 7,0476 6,7117 6,4184 6,2287 6,1549 6,1461 6,1087 5,9593 5,6745 5,3065 4,9407 4,6363 4,4191 4,3182 4,3692 4,5789 4,9130 5,3182 5,7440 6,1494 6,5067 6,8050 7,0398 7,1940 7,2377 7,1555 6,9771 6,7702 6,5992 6,4875 6,4121 6,3263 6,1862 5,9685 5,6748 5,3286 4,9789 4,7029 4,5861 4,6889 5,0186 5,5113 6,0318 6,4223 6,5800 6,5048 6,2802 6,0190 5,8210 5,7504 5,8110 5,9356 6,0356 6,0690 6,0482 5,9944 5,8984 5,7252 5,4502 5,0916 4,7016 4,3329 4,0161 3,7521 3,5203 3,3031 3,0998 2,9287 2,8226 2,8131 2,9063 3,0646 3,2115 3,2582 3,1400 2,8389 2,3773 1,7981 1,1665 0,5770 0,1228 -0,1440 -0,2179 -0,1389 0,0065 0,1258 0,1856 0,2255 0,3100 0,4858 0,7811 1,2077 1,7459 2,3404 2,9239 3,4349 3,8187 4,0352 4,0790 3,9869 3,8191 3,6259 3,4150 3,1387 2,7215 2,1152 1,3399 0,4920 -0,2810 -0,8319 -1,0701 -0,9958 -0,6969 -0,3091 0,0469 0,3130 0,4992 0,6672 0,9061 1,2932 1,8523 2,5301 3,2013 3,7131 3,9603 3,9411 3,7480 3,5146 3,3552 3,3202 3,3863 3,4916 3,5791 3,6191 3,6140 3,5899 3,5800 3,6136 3,7181 3,9095 4,1667 4,4209 4,5867 4,6136 4,5167 4,3591 4,2036 4,0804 3,9842 3,8912 3,7727 3,5973 3,3307 2,9491 2,4615 1,9273 1,4290 1,0112 0,6526 0,2944 -0,1092 -0,5548 -0,9904 -1,3449 -1,5601 -1,6135 -1,5275 -1,3573 -1,1718 -1,0455 -1,0519 -1,2347 -1,5773 -2,0154
F3    1,2369 1,1601 1,0478 0,9339 0,8783 0,9205 1,0717 1,3221 1,6418 1,9776 2,2455 2,3395 2,1816 1,7764 1,2030 0,5543 -0,1027 -0,7195 -1,2571 -1,7045 -2,0847 -2,4158 -2,6719 -2,7974 -2,7542 -2,5541 -2,2511 -1,9079 -1,5668 -1,2356 -0,8928 -0,5234 -0,1556 0,1441 0,3080 0,2946 0,1034 -0,2139 -0,5598 -0,8205 -0,9083 -0,7919 -0,4885 -0,0410 0,4860 1,0039 1,4192 1,6713 1,7596 1,7373 1,6716 1,6019 1,5309 1,4531 1,3905 1,3969 1,5256 1,7863 2,1366 2,5150 2,8710 3,1585 3,3254 3,3227 3,1173 2,7026 2,1238 1,4852 0,9056 0,4673 0,2008 0,0856 0,0666 0,0944 0,1561 0,2613 0,4092 0,5769 0,7214 0,7819 0,7023 0,4747 0,1554 -0,1622 -0,3869 -0,4615 -0,3732 -0,1519 0,1331 0,3988 0,5930 0,7051 0,7399 0,6964 0,5642 0,3306 0,0029 -0,3707 -0,7133 -0,9710 -1,1558 -1,3392 -1,5998 -1,9693 -2,4221 -2,9091 -3,3816 -3,7884 -4,0811 -4,2471 -4,3323 -4,4160 -4,5476 -4,7014 -4,8007 -4,7930 -4,6857 -4,5084 -4,2723 -3,9814 -3,6694 -3,4031 -3,2432 -3,2109 -3,2902 -3,4409 -3,6013 -3,6952 -3,6545 -3,4399 -3,0477 -2,5078 -1,8703 -1,1830 -0,4773 0,2299 0,9282 1,6035 2,2177 2,6975 2,9634 2,9974 2,8838 2,7539 2,6680 2,5631 2,3297 1,9294 1,4367 0,9824 0,6770 0,5776 0,6977 1,0264 1,5279 2,1241 2,6979 3,1394 3,3993 3,4992 3,5046 3,4910 3,5120 3,5739 3,6413 3,6765 3,6867 3,7542 4,0136 4,5683 5,4197 6,4656 7,5509 8,5229 9,2688 9,7322 9,9152 9,8667 9,6470 9,3064 8,8951 8,4745 8,1055 7,8281 7,6542 7,5748 7,5670 7,6040 7,6722 7,7786 7,9299 8,1098 8,2813 8,4089 8,4763 8,4803 8,4038 8,2147 7,9015 7,5018 7,0992 6,7951 6,6623 6,7124 6,8993 7,1349 7,3062 7,3194 7,1426 6,8123 6,4035 5,9905 5,6247 5,3397 5,1558 5,0636 5,0123 4,9425 4,8382 4,7313 4,6596 4,6378 4,6632 4,7315 4,8336 4,9396 5,0058 5,0057 4,9436 4,8440 4,7462 4,7019 4,7356 4,7943 4,7678 4,5758 4,2241 3,7840 3,3404 2,9652 2,7196 2,6495 2,7629 3,0125 3,2983 3,5017 3,5504 3,4566 3,2867 3,1118 2,9823 2,9222 2,9305 2,9911 3,0827 3,1805 3,2571 3,2982 3,3230 3,3759 3,4821 3,6197 3,7380 3,8030 3,8285 3,8600 3,9333 4,0557 4,2135 4,3829 4,5319 4,6387 4,7169 4,8003 4,9029 5,0140 5,1323 5,2802 5,4756 5,7043 5,9348 6,1471 6,3349 6,4872 6,5842 6,6237 6,6438 6,6982 6,8170 7,0074 7,2681 7,5732 7,8521 8,0125 7,9971 7,8084 7,4790 7,0555 6,6139 6,2474 6,0227 5,9659 6,0768 6,3287 6,6629 7,0079 7,3137 7,5679 7,7777 7,9380 8,0209 7,9961 7,8490 7,5779 7,1880 6,7010 6,1725 5,6888 5,3349 5,1588 5,1544 5,2608 5,3819 5,4306 5,3659 5,1930 4,9502 4,7024 4,5143 4,3997 4,3029 4,1499 3,9114 3,6105 3,2815 2,9445 2,6205 2,3487 2,1748 2,1236 2,1816 2,3079 2,4607 2,6100 2,7315 2,8070 2,8345 2,8283 2,8084 2,7885 2,7784 2,7949 2,8682 3,0265 3,2703 3,5758 3,9344 4,3620 4,8549 5,3633 5,8237 6,1970 6,4706 6,6403 6,7125 6,7287 6,7733 6,9468 7,3183 7,8916 8,6097 9,3844 10,1176 10,7184 11,1264 11,3330 11,3789 11,3162 11,1654 10,9130 10,5489 10,0964 9,6169 9,1971 8,9048 8,7356 8,6093 8,4256 8,1294 7,7338 7,2926 6,8634 6,5017 6,2630 6,1807 6,2408 6,3839 6,5188 6,5453 6,4004 6,0991 5,7180 5,3488 5,0644 4,8842 4,7438 4,5242 4,1451 3,6367 3,1180 2,7106 2,4776 2,4227 2,5151 2,7080 2,9591 3,2484 3,5791 3,9630 4,3930 4,8214 5,1717 5,3700 5,3737 5,1857 4,8532 4,4558 4,0898 3,8416 3,7605 3,8391 4,0088 4,1653 4,2173 4,1341 3,9609 3,7765 3,6310 3,5384 3,5153 3,5874 3,7590 4,0030 4,2802 4,5546 4,7968 4,9889 5,1307 5,2304 5,2791 5,2459 5,1107 4,8968 4,6626 4,4648 4,3298 4,2499 4,1953 4,1292 4,0173 3,8353 3,5794 3,2818 3,0155 2,8670 2,8953 3,1087 3,4542 3,8221 4,0832 4,1495 4,0127 3,7357 3,4122 3,1317 2,9565 2,8978 2,9054 2,9085 2,8731 2,8143 2,7593 2,7073 2,6209 2,4585 2,2161 1,9285 1,6349 1,3560 1,0918 0,8352 0,5891 0,3702 0,2050 0,1272 0,1638 0,3118 0,5246 0,7212 0,8146 0,7459 0,5055 0,1245 -0,3493 -0,8509 -1,2875 -1,5693 -1,6582 -1,5741 -1,3781 -1,1556 -0,9767 -0,8504 -0,7317 -0,5694 -0,3332 -0,0026 0,4374 0,9776 1,5790 2,1883 2,7458 3,1839 3,4378 3,4715 3,2961 2,9664 2,5569 2,1224 1,6670 1,1540 0,5490 -0,1364 -0,8302 -1,4218 -1,8079 -1,9335 -1,8143 -1,5364 -1,2232 -0,9718 -0,8150 -0,7339 -0,6765 -0,5643 -0,3207 0,0839 0,6043 1,1253 1,4984 1,6140 1,4651 1,1488 0,8068 0,5568 0,4473 0,4578 0,5345 0,6260 0,6977 0,7355 0,7418 0,7265 0,7068 0,7171 0,7984 0,9594 1,1519 1,2970 1,3392 1,2791 1,1577 1,0218 0,9035 0,8157 0,7521 0,6883 0,5860 0,4005 0,0982 -0,3155 -0,7799 -1,2111 -1,5587 -1,8314 -2,0833 -2,3751 -2,7271 -3,0985 -3,4075 -3,5769 -3,5741 -3,4233 -3,1800 -2,9055 -2,6661 -2,5349 -2,5616 -2,7384 -3,0155
F7    1,3139 1,1321 0,9934 0,9151 0,9120 0,9861 1,1348 1,3552 1,6337 1,9329 2,1920 2,3333 2,2830 2,0108 1,5505 0,9761 0,3647 -0,2246 -0,7565 -1,2215 -1,6294 -1,9812 -2,2416 -2,3513 -2,2677 -1,9977 -1,6009 -1,1689 -0,7911 -0,5180 -0,3461 -0,2387 -0,1626 -0,1116 -0,1068 -0,1804 -0,3474 -0,5858 -0,8396 -1,0407 -1,1369 -1,1066 -0,9464 -0,6646 -0,2955 0,0964 0,4363 0,6699 0,7915 0,8463 0,8969 0,9800 1,0866 1,1842 1,2656 1,3664 1,5240 1,7329 1,9465 2,1126 2,2023 2,2187 2,1906 2,1490 2,0937 1,9916 1,8148 1,5719 1,2996 1,0397 0,8181 0,6315 0,4615 0,3045 0,1837 0,1311 0,1656 0,2803 0,4365 0,5643 0,5895 0,4812 0,2658 0,0012 -0,2511 -0,4373 -0,5088 -0,4262 -0,1851 0,1732 0,5863 0,9903 1,3243 1,5376 1,5990 1,4968 1,2436 0,8975 0,5627 0,3357 0,2363 0,1959 0,1101 -0,0931 -0,4244 -0,8547 -1,3450 -1,8520 -2,3289 -2,7433 -3,0960 -3,4138 -3,7164 -3,9874 -4,1832 -4,2717 -4,2504 -4,1246 -3,8915 -3,5595 -3,1697 -2,7925 -2,4976 -2,3270 -2,2911 -2,3664 -2,4897 -2,5734 -2,5461 -2,3772 -2,0723 -1,6658 -1,2072 -0,7324 -0,2477 0,2540 0,7692 1,2749 1,7310 2,0860 2,2949 2,3560 2,3317 2,3054 2,3066 2,2902 2,1871 1,9673 1,6637 1,3543 1,1238 1,0296 1,0938 1,3198 1,6989 2,1873 2,6903 3,0938 3,3267 3,3966 3,3708 3,3293 3,3255 3,3681 3,4241 3,4547 3,4649 3,5251 3,7359 4,1637 4,8006 5,5736 6,3759 7,0983 7,6582 8,0248 8,2235 8,3059 8,3130 8,2682 8,1894 8,0914 7,9837 7,8780 7,7985 7,7761 7,8279 7,9470 8,1139 8,3103 8,5168 8,7058 8,8442 8,9052 8,8793 8,7726 8,5893 8,3227 7,9718 7,5648 7,1670 6,8655 6,7257 6,7550 6,9105 7,1227 7,3093 7,3967 7,3482 7,1707 6,8941 6,5481 6,1636 5,7881 5,4800 5,2720 5,1489 5,0757 5,0339 5,0213 5,0353 5,0703 5,1218 5,1830 5,2410 5,2815 5,3010 5,3080 5,3039 5,2738 5,2121 5,1469 5,1082 5,0742 4,9772 4,7641 4,4279 3,9925 3,4998 3,0214 2,6580 2,4996 2,5757 2,8330 3,1526 3,4063 3,5218 3,5038 3,4008 3,2686 3,1561 3,0985 3,1079 3,1693 3,2480 3,3069 3,3214 3,2904 3,2412 3,2180 3,2494 3,3273 3,4208 3,5127 3,6161 3,7548 3,9333 4,1284 4,3049 4,4374 4,5149 4,5387 4,5240 4,4885 4,4332 4,3612 4,3179 4,3776 4,5776 4,8859 5,2368 5,5766 5,8705 6,0883 6,2122 6,2619 6,2946 6,3669 6,5058 6,7176 6,9944 7,2903 7,5135 7,5683 7,4135 7,0767 6,6189 6,1024 5,5942 5,1655 4,8680 4,7184 4,7113 4,8355 5,0701 5,3767 5,7082 6,0336 6,3436 6,6283 6,8611 7,0087 7,0431 6,9407 6,6876 6,2994 5,8377 5,4001 5,0766 4,9070 4,8706 4,9079 4,9520 4,9587 4,9141 4,8186 4,6837 4,5466 4,4575 4,4296 4,4162 4,3521 4,2145 4,0260 3,8089 3,5595 3,2729 2,9781 2,7380 2,6120 2,6166 2,7252 2,8983 3,1015 3,3003 3,4597 3,5595 3,6027 3,6082 3,5986 3,5911 3,5981 3,6392 3,7432 3,9235 4,1653 4,4566 4,8084 5,2199 5,6463 6,0222 6,2973 6,4380 6,4221 6,2568 6,0019 5,7612 5,6424 5,7120 5,9796 6,4099 6,9363 7,4760 7,9495 8,2964 8,4890 8,5364 8,4631 8,2843 8,0114 7,6730 7,3229 7,0284 6,8531 6,8256 6,9071 6,9987 6,9943 6,8333 6,5177 6,0940 5,6256 5,1842 4,8407 4,6360 4,5628 4,5784 4,6212 4,6238 4,5516 4,4301 4,3196 4,2752 4,3297 4,4671 4,5929 4,5710 4,3256 3,9076 3,4573 3,1069 2,9154 2,8701 2,9226 3,0206 3,1329 3,2646 3,4518 3,7325 4,1161 4,5727 5,0448 5,4644 5,7636 5,8871 5,8122 5,5701 5,2452 4,9426 4,7484 4,6964 4,7526 4,8373 4,8784 4,8568 4,8071 4,7776 4,7912 4,8452 4,9295 5,0329 5,1400 5,2372 5,3252 5,4165 5,5234 5,6522 5,7962 5,9178 5,9474 5,8201 5,5245 5,1156 4,6854 4,3241 4,0885 3,9866 3,9835 4,0221 4,0419 3,9956 3,8626 3,6613 3,4488 3,2995 3,2742 3,3907 3,6070 3,8307 3,9603 3,9333 3,7495 3,4620 3,1461 2,8710 2,6822 2,5825 2,5291 2,4706 2,3828 2,2700 2,1496 2,0362 1,9294 1,8150 1,6824 1,5372 1,3926 1,2522 1,0995 0,9140 0,6980 0,4775 0,2815 0,1318 0,0434 0,0204 0,0458 0,0759 0,0580 -0,0311 -0,1692 -0,3149 -0,4446 -0,5532 -0,6249 -0,6205 -0,4978 -0,2387 0,1321 0,5438 0,9134 1,1962 1,4025 1,5741 1,7631 2,0169 2,3547 2,7552 3,1780 3,5857 3,9408 4,2052 4,3557 4,3937 4,3357 4,2062 4,0335 3,8292 3,5623 3,1655 2,5865 1,8450 1,0445 0,3304 -0,1714 -0,3988 -0,3658 -0,1492 0,1451 0,4254 0,6391 0,7707 0,8496 0,9549 1,1709 1,5282 1,9891 2,4664 2,8490 3,0418 3,0124 2,8068 2,5153 2,2181 1,9498 1,7046 1,4679 1,2377 1,0212 0,8263 0,6566 0,5083 0,3843 0,3198 0,3698 0,5516 0,8134 1,0746 1,2910 1,4717 1,6387 1,7914 1,9155 1,9992 2,0320 2,0007 1,8932 1,7025 1,4289 1,0926 0,7441 0,4412 0,2097 0,0325 -0,1342 -0,3370 -0,5911 -0,8574 -1,0568 -1,1140 -1,0003 -0,7446 -0,4034 -0,0314 0,3157 0,5739 0,6929 0,6636 0,5090
