Fp1   1,0310 0,8795 0,6702 0,4281 0,1876 -0,0046 -0,1079 -0,1148 -0,0595 0,0068 0,0484 0,0655 0,0912 0,1727 0,3497 0,6335 0,9860 1,3169 1,5216 1,5351 1,3649 1,0844 0,7917 0,5536 0,3762 0,2184 0,0255 -0,2441 -0,6011 -1,0067 -1,3672 -1,5685 -1,5382 -1,2900 -0,9133 -0,5168 -0,1822 0,0479 0,1681 0,1997 0,1659 0,0742 -0,0763 -0,2804 -0,5223 -0,7714 -0,9718 -1,0577 -0,9954 -0,8044 -0,5388 -0,2559 -0,0057 0,1703 0,2532 0,2607 0,2311 0,1978 0,1691 0,1186 -0,0006 -0,2203 -0,5328 -0,8950 -1,2490 -1,5375 -1,7126 -1,7429 -1,6231 -1,3859 -1,0986 -0,8294 -0,6097 -0,4301 -0,2618 -0,0750 0,1490 0,4059 0,6628 0,8637 0,9405 0,8345 0,5332 0,0929 -0,3842 -0,7997 -1,0978 -1,2726 -1,3494 -1,3627 -1,3466 -1,3214 -1,2895 -1,2497 -1,2151 -1,2158 -1,2956 -1,4924 -1,8053 -2,1830 -2,5498 -2,8428 -3,0360 -3,1412 -3,1926 -3,2267 -3,2616 -3,2756 -3,2101 -3,0021 -2,6114 -2,0268 -1,2737 -0,4231 0,4268 1,1947 1,8367 2,3253 2,6320 2,7446 2,6938 2,5515 2,4028 2,3133 2,3082 2,3821 2,5333 2,7841 3,1648 3,6849 4,3187 5,0216 5,7558 6,4927 7,1967 7,8113 8,2647 8,4951 8,4843 8,2796 7,9851 7,7187 7,5594 7,5177 7,5499 7,5981 7,6197 7,5873 7,4788 7,2769 6,9818 6,6314 6,3044 6,0939 6,0706 6,2598 6,6447 7,1784 7,7753 8,3073 8,6452 8,7232 8,5721 8,2950 8,0005 7,7352 7,4648 7,1228 6,6799 6,1684 5,6575 5,2152 4,8770 4,6329 4,4530 4,3294 4,2846 4,3438 4,5070 4,7392 4,9805 5,1795 5,3266 5,4479 5,5706 5,7002 5,8224 5,9035 5,9027 5,8031 5,6299 5,4326 5,2554 5,1227 5,0334 4,9571 4,8377 4,6120 4,2419 3,7498 3,2262 2,7882 2,5203 2,4439 2,5235 2,6965 2,9057 3,1143 3,3017 3,4597 3,5943 3,7222 3,8582 4,0039 4,1487 4,2786 4,3727 4,4043 4,3662 4,2930 4,2434 4,2642 4,3763 4,5831 4,8830 5,2674 5,7068 6,1431 6,4997 6,7050 6,7260 6,5837 6,3329 6,0250 5,6959 5,3853 5,1477 5,0340 5,0646 5,2162 5,4312 5,6394 5,7777 5,8033 5,7123 5,5482 5,3702 5,2017 5,0170 4,7849 4,5205 4,2875 4,1503 4,1314 4,2101 4,3449 4,4937 4,6305 4,7587 4,9053 5,0907 5,2971 5,4679 5,5487 5,5277 5,4293 5,2828 5,1128 4,9460 4,8075 4,7051 4,6251 4,5407 4,4171 4,2151 3,9066 3,5040 3,0772 2,7319 2,5600 2,5937 2,7947 3,0852 3,3935 3,6812 3,9345 4,1394 4,2721 4,3049 4,2146 3,9973 3,6872 3,3555 3,0791 2,9115 2,8743 2,9639 3,1622 3,4379 3,7342 3,9701 4,0758 4,0411 3,9286 3,8272 3,7901 3,8241 3,9261 4,1011 4,3429 4,6178 4,8830 5,1082 5,2772 5,3855 5,4442 5,4819 5,5317 5,6150 5,7363 5,8827 6,0167 6,0875 6,0771 6,0230 5,9746 5,9346 5,8599 5,7116 5,4930 5,2495 5,0442 4,9288 4,9202 4,9938 5,0970 5,1808 5,2315 5,2781 5,3591 5,4675 5,5217 5,4036 5,0498 4,5108 3,9219 3,4280 3,1253 3,0383 3,1297 3,3436 3,6527 4,0594 4,5522 5,0732 5,5298 5,8388 5,9649 5,9300 5,7933 5,6132 5,4151 5,1841 4,8811 4,4834 4,0109 3,5021 2,9836 2,4837 2,0532 1,7463 1,5914 1,5858 1,7098 1,9430 2,2684 2,6559 3,0539 3,4090 3,6896 3,8859 3,9890 3,9854 3,8813 3,7250 3,5871 3,5147 3,5156 3,5784 3,6823 3,7919 3,8628 3,8556 3,7452 3,5278 3,2308 2,9097 2,6291 2,4430 2,3885 2,4831 2,7197 3,0548 3,4127 3,7224 3,9471 4,0739 4,0865 3,9695 3,7409 3,4736 3,2763 3,2454 3,4252 3,7939 4,2720 4,7512 5,1388 5,3881 5,4910 5,4547 5,3015 5,0834 4,8723 4,7270 4,6689 4,6798 4,7134 4,7147 4,6432 4,4900 4,2784 4,0509 3,8514 3,7066 3,6145 3,5466 3,4654 3,3575 3,2517 3,1951 3,2120 3,2852 3,3694 3,4181 3,4006 3,3093 3,1605 2,9836 2,8071 2,6544 2,5435 2,4829 2,4726 2,5170 2,6293 2,8147 3,0470 3,2734 3,4507 3,5693 3,6465 3,7163 3,8216 3,9893 4,2053 4,4166 4,5519 4,5418 4,3400 3,9493 3,4236 2,8351 2,2483 1,7258 1,3334 1,1140 1,0654 1,1524 1,3271 1,5363 1,7248 1,8513 1,9054 1,9105 1,9087 1,9384 2,0147 2,1152 2,1843 2,1636 2,0317 1,8191 1,5838 1,3741 1,2136 1,1039 1,0270 0,9471 0,8243 0,6429 0,4280 0,2318 0,0983 0,0515 0,1144 0,3199 0,6916 1,2182 1,8477 2,5013 3,0953 3,5622 3,8736 4,0503 4,1341 4,1462 4,0920 3,9906 3,8705 3,7405 3,5950 3,4479 3,3355 3,2801 3,2628 3,2342 3,1528 3,0116 2,8283 2,6159 2,3714 2,0902 1,7748 1,4341 1,0846 0,7485 0,4445 0,1907 0,0219 -0,0195 0,0695 0,2244 0,3454 0,3527 0,2155 -0,0483 -0,3863 -0,7316 -1,0250 -1,2309 -1,3503 -1,4223 -1,5067 -1,6468 -1,8392 -2,0467 -2,2418 -2,4303 -2,6308 -2,8380 -3,0166 -3,1280 -3,1572 -3,1206 -3,0559 -3,0083 -3,0175 -3,0968 -3,2213 -3,3290 -3,3374 -3,1816 -2,8498 -2,3818 -1,8444 -1,3142 -0,8650 -0,5477 -0,3701 -0,3021 -0,3106 -0,3897 -0,5551 -0,8006 -1,0615 -1,2386 -1,2658 -1,1490 -0,9472 -0,7340 -0,5697 -0,4880 -0,4935 -0,5661 -0,6736 -0,7819 -0,8549 -0,8536 -0,7592
Fz    1,4745 1,3598 1,2757 1,2340 1,2335 1,2650 1,3126 1,3481 1,3408 1,2841 1,2075 1,1558 1,1624 1,2406 1,3845 1,5685 1,7445 1,8481 1,8208 1,6371 1,3158 0,9129 0,4994 0,1317 -0,1704 -0,4205 -0,6441 -0,8589 -1,0700 -1,2690 -1,4329 -1,5255 -1,5131 -1,3858 -1,1626 -0,8791 -0,5853 -0,3463 -0,2253 -0,2602 -0,4553 -0,7823 -1,1859 -1,5980 -1,9592 -2,2276 -2,3688 -2,3553 -2,1846 -1,8916 -1,5400 -1,1995 -0,9255 -0,7476 -0,6646 -0,6476 -0,6612 -0,6857 -0,7268 -0,8066 -0,9429 -1,1290 -1,3258 -1,4758 -1,5348 -1,4970 -1,3887 -1,2450 -1,0964 -0,9713 -0,8944 -0,8732 -0,8861 -0,8922 -0,8537 -0,7527 -0,6001 -0,4287 -0,2797 -0,1921 -0,1986 -0,3205 -0,5606 -0,8984 -1,2944 -1,7010 -2,0742 -2,3819 -2,6068 -2,7456 -2,8034 -2,7866 -2,7040 -2,5763 -2,4400 -2,3398 -2,3153 -2,3882 -2,5537 -2,7835 -3,0329 -3,2525 -3,4054 -3,4750 -3,4616 -3,3776 -3,2403 -3,0583 -2,8231 -2,5190 -2,1348 -1,6644 -1,1117 -0,5070 0,0980 0,6630 1,1726 1,6104 1,9392 2,1225 2,1584 2,0890 1,9818 1,9003 1,8806 1,9287 2,0436 2,2367 2,5287 2,9332 3,4516 4,0829 4,8280 5,6735 6,5717 7,4433 8,2018 8,7821 9,1608 9,3667 9,4710 9,5515 9,6525 9,7696 9,8678 9,9131 9,8891 9,7905 9,6117 9,3495 9,0175 8,6592 8,3454 8,1532 8,1366 8,3036 8,6151 9,0053 9,3917 9,6791 9,7854 9,6844 9,4245 9,1036 8,8159 8,6029 8,4386 8,2569 8,0009 7,6592 7,2687 6,8906 6,5802 6,3678 6,2635 6,2676 6,3662 6,5259 6,7006 6,8401 6,8996 6,8571 6,7303 6,5691 6,4258 6,3302 6,2863 6,2725 6,2485 6,1827 6,0749 5,9506 5,8419 5,7740 5,7568 5,7755 5,7933 5,7663 5,6652 5,4937 5,2973 5,1438 5,0799 5,1050 5,1823 5,2688 5,3363 5,3754 5,3904 5,4020 5,4507 5,5830 5,8215 6,1471 6,5097 6,8570 7,1462 7,3423 7,4271 7,4157 7,3514 7,2844 7,2616 7,3265 7,5118 7,8211 8,2169 8,6272 8,9636 9,1453 9,1294 8,9324 8,6173 8,2531 7,8894 7,5639 7,3139 7,1700 7,1402 7,2056 7,3292 7,4698 7,5887 7,6549 7,6578 7,6139 7,5462 7,4532 7,3118 7,1156 6,9013 6,7308 6,6517 6,6758 6,7835 6,9384 7,0991 7,2303 7,3190 7,3770 7,4281 7,4881 7,5488 7,5855 7,5784 7,5213 7,4139 7,2600 7,0708 6,8619 6,6439 6,4205 6,1988 5,9913 5,8054 5,6355 5,4743 5,3334 5,2487 5,2560 5,3577 5,5153 5,6770 5,8105 5,9130 5,9956 6,0648 6,1138 6,1218 6,0577 5,8938 5,6308 5,3106 4,9978 4,7514 4,6126 4,6054 4,7353 4,9803 5,2895 5,5954 5,8399 6,0002 6,0938 6,1557 6,2135 6,2811 6,3687 6,4831 6,6167 6,7441 6,8386 6,8896 6,9032 6,8974 6,8999 6,9395 7,0300 7,1652 7,3300 7,5069 7,6683 7,7823 7,8417 7,8749 7,9102 7,9346 7,9009 7,7695 7,5429 7,2718 7,0323 6,8853 6,8437 6,8737 6,9290 6,9848 7,0432 7,1174 7,2148 7,3203 7,3856 7,3447 7,1569 6,8426 6,4716 6,1232 5,8525 5,6735 5,5642 5,5002 5,4888 5,5658 5,7563 6,0418 6,3637 6,6550 6,8674 6,9787 6,9870 6,8956 6,7029 6,4048 6,0094 5,5509 5,0880 4,6788 4,3573 4,1362 4,0178 3,9961 4,0542 4,1655 4,3015 4,4477 4,6124 4,8080 5,0244 5,2295 5,3933 5,5053 5,5750 5,6214 5,6656 5,7291 5,8289 5,9647 6,1212 6,2840 6,4451 6,5931 6,7113 6,7801 6,7776 6,6916 6,5379 6,3596 6,2050 6,1101 6,0917 6,1498 6,2736 6,4410 6,6168 6,7712 6,8935 6,9789 7,0113 6,9741 6,8741 6,7486 6,6485 6,6138 6,6564 6,7591 6,8848 6,9943 7,0667 7,1071 7,1349 7,1625 7,1886 7,2067 7,2113 7,1928 7,1340 7,0170 6,8353 6,5969 6,3179 6,0189 5,7255 5,4679 5,2716 5,1463 5,0800 5,0450 5,0118 4,9698 4,9375 4,9427 4,9919 5,0646 5,1326 5,1817 5,2130 5,2292 5,2299 5,2157 5,1928 5,1708 5,1520 5,1214 5,0510 4,9278 4,7760 4,6460 4,5768 4,5780 4,6438 4,7697 4,9504 5,1797 5,4513 5,7510 6,0478 6,2978 6,4570 6,4975 6,4240 6,2796 6,1206 5,9746 5,8296 5,6653 5,4857 5,3126 5,1614 5,0362 4,9436 4,8967 4,9031 4,9540 5,0307 5,1210 5,2271 5,3557 5,4998 5,6315 5,7090 5,6930 5,5635 5,3301 5,0252 4,6899 4,3663 4,0930 3,8922 3,7609 3,6765 3,6116 3,5486 3,4883 3,4481 3,4566 3,5550 3,7903 4,1894 4,7341 5,3575 5,9736 6,5151 6,9505 7,2792 7,5183 7,6798 7,7580 7,7453 7,6534 7,5095 7,3421 7,1787 7,0486 6,9762 6,9625 6,9788 6,9834 6,9482 6,8751 6,7845 6,6836 6,5513 6,3574 6,0880 5,7519 5,3716 4,9721 4,5692 4,1729 3,8033 3,4928 3,2631 3,1052 2,9864 2,8738 2,7499 2,6146 2,4827 2,3811 2,3374 2,3582 2,4143 2,4464 2,3944 2,2351 2,0023 1,7623 1,5621 1,4019 1,2560 1,1068 0,9547 0,8074 0,6729 0,5607 0,4806 0,4288 0,3843 0,3283 0,2659 0,2313 0,2769 0,4468 0,7480 1,1472 1,5912 2,0278 2,4160 2,7279 2,9512 3,0897 3,1552 3,1527 3,0796 2,9490 2,8091 2,7253 2,7355 2,8266 2,9532 3,0706 3,1533 3,1970 3,2101 3,2061 3,2019 3,2169 3,2691 3,3703 3,5149
F3    1,5305 1,5159 1,4792 1,4328 1,3895 1,3545 1,3182 1,2544 1,1322 0,9457 0,7311 0,5532 0,4803 0,5607 0,8044 1,1715 1,5750 1,9040 2,0614 1,9963 1,7146 1,2712 0,7472 0,2190 -0,2634 -0,6798 -1,0304 -1,3247 -1,5710 -1,7659 -1,8869 -1,8935 -1,7496 -1,4539 -1,0506 -0,6132 -0,2242 0,0454 0,1584 0,1155 -0,0614 -0,3446 -0,7008 -1,0911 -1,4776 -1,8242 -2,0857 -2,2114 -2,1730 -1,9850 -1,7018 -1,3973 -1,1419 -0,9817 -0,9251 -0,9467 -1,0112 -1,0965 -1,1999 -1,3316 -1,5012 -1,7024 -1,9017 -2,0466 -2,0958 -2,0459 -1,9295 -1,7934 -1,6785 -1,6111 -1,6024 -1,6430 -1,7028 -1,7440 -1,7338 -1,6475 -1,4762 -1,2364 -0,9703 -0,7348 -0,5884 -0,5816 -0,7433 -1,0627 -1,4846 -1,9265 -2,3095 -2,5858 -2,7509 -2,8314 -2,8633 -2,8757 -2,8837 -2,8919 -2,9033 -2,9296 -2,9928 -3,1135 -3,2960 -3,5199 -3,7418 -3,9144 -4,0144 -4,0509 -4,0509 -4,0397 -4,0262 -3,9923 -3,8963 -3,6961 -3,3713 -2,9227 -2,3669 -1,7417 -1,1023 -0,4947 0,0606 0,5486 0,9378 1,1936 1,3063 1,2956 1,1955 1,0410 0,8624 0,6865 0,5489 0,5018 0,6003 0,8779 1,3347 1,9516 2,7081 3,5770 4,5047 5,4049 6,1762 6,7326 7,0350 7,1143 7,0613 6,9779 6,9258 6,9070 6,8863 6,8325 6,7391 6,6106 6,4411 6,2141 5,9251 5,6046 5,3186 5,1460 5,1479 5,3409 5,6905 6,1306 6,5780 6,9380 7,1278 7,1114 6,9129 6,6027 6,2633 5,9450 5,6407 5,3074 4,9169 4,4863 4,0656 3,7070 3,4396 3,2651 3,1775 3,1845 3,3021 3,5298 3,8383 4,1735 4,4728 4,6924 4,8285 4,9108 4,9748 5,0414 5,1085 5,1471 5,1133 4,9786 4,7535 4,4803 4,2134 3,9974 3,8484 3,7446 3,6381 3,4821 3,2554 2,9724 2,6779 2,4268 2,2563 2,1695 2,1410 2,1349 2,1261 2,1098 2,1005 2,1309 2,2501 2,5051 2,9095 3,4235 3,9622 4,4284 4,7443 4,8689 4,8073 4,6110 4,3585 4,1224 3,9483 3,8581 3,8622 3,9626 4,1452 4,3729 4,5863 4,7194 4,7298 4,6223 4,4363 4,2124 3,9763 3,7501 3,5608 3,4326 3,3774 3,3910 3,4567 3,5519 3,6495 3,7179 3,7318 3,6859 3,5891 3,4472 3,2570 3,0247 2,7855 2,5985 2,5135 2,5455 2,6753 2,8673 3,0894 3,3249 3,5740 3,8446 4,1350 4,4188 4,6395 4,7333 4,6703 4,4717 4,1954 3,9114 3,6845 3,5550 3,5212 3,5405 3,5540 3,5140 3,3934 3,1819 2,8902 2,5634 2,2768 2,0986 2,0492 2,0932 2,1716 2,2427 2,2942 2,3268 2,3364 2,3160 2,2611 2,1654 2,0193 1,8248 1,6089 1,4115 1,2655 1,1916 1,2016 1,2991 1,4745 1,6981 1,9193 2,0851 2,1692 2,1852 2,1737 2,1800 2,2367 2,3575 2,5376 2,7540 2,9741 3,1683 3,3150 3,3986 3,4168 3,3896 3,3563 3,3569 3,4141 3,5311 3,7006 3,9055 4,1170 4,3064 4,4566 4,5500 4,5532 4,4260 4,1497 3,7453 3,2744 2,8251 2,4813 2,2859 2,2299 2,2756 2,3877 2,5460 2,7422 2,9699 3,2088 3,4111 3,5105 3,4627 3,2783 3,0136 2,7348 2,4874 2,2810 2,0973 1,9243 1,7871 1,7404 1,8296 2,0590 2,3863 2,7400 3,0476 3,2578 3,3483 3,3140 3,1542 2,8735 2,4935 2,0642 1,6576 1,3406 1,1487 1,0807 1,1065 1,1801 1,2577 1,3153 1,3548 1,4048 1,5103 1,7054 1,9862 2,3139 2,6413 2,9314 3,1598 3,3107 3,3834 3,4006 3,4003 3,4126 3,4482 3,5077 3,5896 3,6895 3,7995 3,9024 3,9680 3,9681 3,9004 3,7893 3,6670 3,5618 3,4959 3,4833 3,5308 3,6316 3,7568 3,8658 3,9249 3,9099 3,8030 3,6022 3,3327 3,0468 2,8087 2,6728 2,6642 2,7705 2,9514 3,1579 3,3516 3,5114 3,6279 3,6953 3,7155 3,7059 3,6916 3,6876 3,6875 3,6713 3,6241 3,5465 3,4468 3,3285 3,1887 3,0265 2,8490 2,6714 2,5125 2,3831 2,2784 2,1914 2,1352 2,1395 2,2195 2,3566 2,5081 2,6310 2,6978 2,6983 2,6340 2,5144 2,3585 2,1958 2,0552 1,9430 1,8339 1,6978 1,5368 1,3883 1,2912 1,2602 1,2927 1,3814 1,5186 1,7028 1,9462 2,2622 2,6370 3,0133 3,3036 3,4259 3,3425 3,0783 2,7001 2,2733 1,8395 1,4320 1,0938 0,8655 0,7629 0,7757 0,8833 1,0625 1,2804 1,4945 1,6720 1,8077 1,9205 2,0344 2,1575 2,2712 2,3402 2,3352 2,2497 2,1050 1,9418 1,7993 1,6992 1,6405 1,6010 1,5420 1,4263 1,2408 1,0049 0,7601 0,5514 0,4181 0,3977 0,5276 0,8338 1,3090 1,9011 2,5326 3,1347 3,6639 4,1000 4,4378 4,6728 4,7950 4,8025 4,7131 4,5567 4,3649 4,1710 4,0097 3,9049 3,8510 3,8121 3,7425 3,6153 3,4371 3,2318 3,0088 2,7530 2,4474 2,0934 1,7100 1,3253 0,9701 0,6686 0,4357 0,2830 0,2173 0,2211 0,2434 0,2187 0,1015 -0,1097 -0,3724 -0,6207 -0,7941 -0,8593 -0,8207 -0,7180 -0,6141 -0,5744 -0,6364 -0,7867 -0,9745 -1,1539 -1,3112 -1,4550 -1,5908 -1,7116 -1,8063 -1,8722 -1,9182 -1,9623 -2,0302 -2,1494 -2,3253 -2,5244 -2,6789 -2,7051 -2,5345 -2,1494 -1,6006 -0,9915 -0,4347 -0,0106 0,2487 0,3546 0,3463 0,2649 0,1281 -0,0657 -0,3030 -0,5270 -0,6547 -0,6293 -0,4509 -0,1626 0,1779 0,5148 0,8038 1,0200 1,1623 1,2464 1,2934 1,3238 1,3571 1,4023
F7    0,6420 0,5748 0,5500 0,5976 0,7290 0,9236 1,1284 1,2753 1,3064 1,1983 0,9723 0,6880 0,4278 0,2772 0,2956 0,4869 0,7880 1,0909 1,2887 1,3184 1,1730 0,8862 0,5101 0,0985 -0,3030 -0,6615 -0,9588 -1,1935 -1,3749 -1,5070 -1,5751 -1,5486 -1,3998 -1,1251 -0,7523 -0,3321 0,0680 0,3742 0,5314 0,5201 0,3551 0,0780 -0,2546 -0,5882 -0,8862 -1,1310 -1,3112 -1,4157 -1,4404 -1,3949 -1,2996 -1,1832 -1,0799 -1,0177 -1,0046 -1,0301 -1,0833 -1,1653 -1,2842 -1,4438 -1,6361 -1,8391 -2,0180 -2,1323 -2,1523 -2,0750 -1,9268 -1,7491 -1,5815 -1,4538 -1,3851 -1,3760 -1,4019 -1,4229 -1,4047 -1,3266 -1,1816 -0,9802 -0,7556 -0,5608 -0,4533 -0,4815 -0,6751 -1,0339 -1,5190 -2,0630 -2,5890 -3,0321 -3,3537 -3,5442 -3,6125 -3,5746 -3,4499 -3,2631 -3,0455 -2,8343 -2,6760 -2,6226 -2,7113 -2,9436 -3,2797 -3,6562 -4,0141 -4,3177 -4,5558 -4,7311 -4,8444 -4,8862 -4,8416 -4,7023 -4,4714 -4,1587 -3,7783 -3,3493 -2,8926 -2,4230 -1,9533 -1,5147 -1,1649 -0,9609 -0,9191 -1,0032 -1,1474 -1,2871 -1,3737 -1,3751 -1,2692 -1,0405 -0,6853 -0,2209 0,3167 0,8874 1,4625 2,0309 2,5884 3,1197 3,5915 3,9630 4,2125 4,3587 4,4530 4,5462 4,6562 4,7635 4,8358 4,8577 4,8393 4,7980 4,7349 4,6297 4,4635 4,2488 4,0358 3,8929 3,8783 4,0151 4,2825 4,6322 5,0013 5,3094 5,4746 5,4541 5,2709 5,0055 4,7545 4,5728 4,4409 4,2877 4,0510 3,7187 3,3266 2,9314 2,5836 2,3165 2,1493 2,0946 2,1550 2,3168 2,5484 2,8034 3,0322 3,2009 3,3049 3,3613 3,3886 3,3974 3,3905 3,3577 3,2701 3,0959 2,8285 2,4992 2,1688 1,9016 1,7377 1,6767 1,6813 1,6982 1,6807 1,6043 1,4754 1,3213 1,1684 1,0298 0,9064 0,7914 0,6787 0,5732 0,4941 0,4727 0,5413 0,7119 0,9637 1,2506 1,5213 1,7375 1,8786 1,9362 1,9116 1,8194 1,6879 1,5496 1,4328 1,3654 1,3763 1,4849 1,6863 1,9440 2,1965 2,3751 2,4330 2,3662 2,2084 2,0062 1,8014 1,6288 1,5178 1,4827 1,5130 1,5788 1,6480 1,7015 1,7344 1,7450 1,7288 1,6826 1,6087 1,5097 1,3849 1,2373 1,0857 0,9623 0,8943 0,8912 0,9466 1,0490 1,1895 1,3647 1,5764 1,8325 2,1392 2,4818 2,8099 3,0528 3,1609 3,1312 2,9996 2,8177 2,6285 2,4515 2,2809 2,0980 1,8884 1,6523 1,4005 1,1425 0,8866 0,6554 0,4903 0,4287 0,4741 0,5907 0,7263 0,8417 0,9209 0,9608 0,9585 0,9103 0,8186 0,6914 0,5401 0,3812 0,2350 0,1173 0,0365 0,0012 0,0238 0,1149 0,2734 0,4799 0,6991 0,8946 1,0461 1,1551 1,2400 1,3255 1,4323 1,5672 1,7169 1,8505 1,9354 1,9543 1,9077 1,8106 1,6932 1,6003 1,5771 1,6486 1,8088 2,0280 2,2703 2,5067 2,7174 2,8963 3,0513 3,1830 3,2599 3,2277 3,0460 2,7143 2,2763 1,8103 1,4063 1,1345 1,0227 1,0551 1,1910 1,3869 1,6089 1,8312 2,0287 2,1696 2,2178 2,1504 1,9761 1,7355 1,4821 1,2595 1,0809 0,9303 0,7916 0,6770 0,6259 0,6772 0,8444 1,1065 1,4152 1,7152 1,9629 2,1281 2,1828 2,0994 1,8643 1,4922 1,0336 0,5681 0,1794 -0,0741 -0,1733 -0,1392 -0,0238 0,1105 0,2144 0,2676 0,2834 0,2988 0,3478 0,4428 0,5802 0,7545 0,9595 1,1823 1,4011 1,5922 1,7405 1,8410 1,8945 1,9098 1,9068 1,9049 1,9136 1,9328 1,9518 1,9473 1,9016 1,8236 1,7448 1,6900 1,6597 1,6395 1,6215 1,6172 1,6472 1,7206 1,8304 1,9573 2,0712 2,1364 2,1270 2,0393 1,8962 1,7417 1,6240 1,5721 1,5848 1,6386 1,7079 1,7787 1,8498 1,9253 2,0060 2,0896 2,1746 2,2597 2,3398 2,4030 2,4331 2,4174 2,3532 2,2451 2,0980 1,9158 1,7073 1,4901 1,2867 1,1175 0,9931 0,9120 0,8700 0,8733 0,9316 1,0313 1,1296 1,1829 1,1813 1,1499 1,1184 1,0958 1,0700 1,0245 0,9544 0,8664 0,7585 0,6114 0,4131 0,1916 0,0096 -0,0750 -0,0425 0,0893 0,2847 0,5082 0,7398 0,9811 1,2398 1,5013 1,7189 1,8344 1,8048 1,6175 1,2921 0,8707 0,3983 -0,0875 -0,5510 -0,9556 -1,2758 -1,5061 -1,6486 -1,6939 -1,6242 -1,4405 -1,1829 -0,9117 -0,6728 -0,4815 -0,3294 -0,2054 -0,1142 -0,0752 -0,1055 -0,2070 -0,3643 -0,5533 -0,7535 -0,9482 -1,1210 -1,2614 -1,3743 -1,4777 -1,5904 -1,7184 -1,8468 -1,9441 -1,9715 -1,8874 -1,6538 -1,2516 -0,7002 -0,0631 0,5737 1,1382 1,5942 1,9415 2,2020 2,3950 2,5266 2,6019 2,6346 2,6377 2,6153 2,5675 2,4963 2,4073 2,3040 2,1834 2,0379 1,8654 1,6760 1,4844 1,2941 1,0949 0,8785 0,6480 0,4143 0,1907 -0,0074 -0,1667 -0,2836 -0,3636 -0,4185 -0,4682 -0,5405 -0,6591 -0,8311 -1,0447 -1,2720 -1,4769 -1,6267 -1,7049 -1,7194 -1,7019 -1,7001 -1,7635 -1,9189 -2,1487 -2,3985 -2,6090 -2,7479 -2,8154 -2,8335 -2,8323 -2,8385 -2,8648 -2,9061 -2,9482 -2,9862 -3,0328 -3,1038 -3,1994 -3,2964 -3,3517 -3,3201 -3,1778 -2,9371 -2,6409 -2,3395 -2,0674 -1,8404 -1,6670 -1,5530 -1,5024 -1,5162 -1,5880 -1,6886 -1,7609 -1,7443 -1,6161 -1,4018 -1,1480 -0,8951 -0,6736 -0,5069 -0,4061 -0,3681 -0,3819 -0,4314 -0,4902 -0,5253 -0,5153
