Fp1   2,1781 2,1045 1,8848 1,5657 1,2065 0,8612 0,5747 0,3753 0,2572 0,1800 0,0949 -0,0274 -0,1883 -0,3685 -0,5431 -0,6952 -0,8191 -0,9091 -0,9543 -0,9504 -0,9151 -0,8874 -0,9020 -0,9617 -1,0339 -1,0686 -1,0278 -0,9085 -0,7438 -0,5829 -0,4648 -0,4027 -0,3880 -0,4070 -0,4474 -0,4913 -0,5129 -0,4861 -0,3905 -0,2127 0,0499 0,3772 0,7153 0,9853 1,1194 1,1012 0,9697 0,7953 0,6590 0,6353 0,7575 0,9916 1,2569 1,4750 1,6025 1,6320 1,5759 1,4542 1,2931 1,1278 0,9959 0,9209 0,9018 0,9191 0,9526 0,9934 1,0420 1,1029 1,1799 1,2715 1,3650 1,4436 1,5050 1,5611 1,6189 1,6700 1,6976 1,6799 1,5938 1,4309 1,2158 1,0056 0,8728 0,8818 1,0649 1,4063 1,8496 2,3196 2,7340 3,0089 3,0810 2,9467 2,6749 2,3630 2,0727 1,8094 1,5544 1,3041 1,0834 0,9402 0,9241 1,0477 1,2594 1,4684 1,6016 1,6340 1,5768 1,4571 1,3112 1,1774 1,0750 0,9902 0,8928 0,7609 0,5843 0,3587 0,0864 -0,2194 -0,5398 -0,8585 -1,1636 -1,4380 -1,6545 -1,7875 -1,8364 -1,8313 -1,8092 -1,7813 -1,7260 -1,6076 -1,4036 -1,1230 -0,7999 -0,4675 -0,1411 0,1802 0,5131 0,8970 1,3804 1,9901 2,7131 3,5037 4,2995 5,0395 5,6901 6,2551 6,7511 7,1818 7,5351 7,7978 7,9789 8,1169 8,2557 8,4074 8,5377 8,5949 8,5515 8,4137 8,2063 7,9613 7,7115 7,4765 7,2514 7,0134 6,7485 6,4724 6,2245 6,0428 5,9448 5,9208 5,9382 5,9586 5,9621 5,9601 5,9870 6,0734 6,2247 6,4162 6,6010 6,7331 6,7936 6,7981 6,7818 6,7785 6,8141 6,9147 7,1059 7,3921 7,7337 8,0544 8,2810 8,3840 8,3819 8,3174 8,2320 8,1535 8,0940 8,0560 8,0378 8,0286 8,0035 7,9326 7,8042 7,6319 7,4376 7,2309 7,0006 6,7201 6,3723 5,9767 5,5912 5,2856 5,1113 5,0792 5,1517 5,2573 5,3213 5,2888 5,1286 4,8360 4,4411 4,0038 3,5821 3,2030 2,8636 2,5589 2,3024 2,1202 2,0242 1,9938 1,9827 1,9479 1,8764 1,7863 1,7039 1,6411 1,5913 1,5440 1,5022 1,4791 1,4716 1,4444 1,3544 1,1894 0,9725 0,7403 0,5282 0,3634 0,2553 0,1901 0,1426 0,0984 0,0691 0,0870 0,1802 0,3523 0,5765 0,8050 0,9914 1,1189 1,2053 1,2774 1,3445 1,3992 1,4348 1,4565 1,4786 1,5163 1,5721 1,6299 1,6638 1,6539 1,5931 1,4903 1,3704 1,2632 1,1883 1,1416 1,0942 1,0087 0,8633 0,6630 0,4350 0,2156 0,0333 -0,1017 -0,1960 -0,2627 -0,3051 -0,3100 -0,2641 -0,1751 -0,0734 0,0047 0,0369 0,0212 -0,0340 -0,1156 -0,2000 -0,2535 -0,2484 -0,1776 -0,0506 0,1114 0,2739 0,3921 0,4308 0,3878 0,2994 0,2287 0,2432 0,3839 0,6383 0,9413 1,2161 1,4182 1,5418 1,5963 1,5891 1,5307 1,4481 1,3802 1,3563 1,3851 1,4608 1,5719 1,7067 1,8568 2,0100 2,1398 2,2085 2,1901 2,0887 1,9332 1,7557 1,5771 1,4051 1,2410 1,0913 0,9751 0,9162 0,9246 0,9895 1,0866 1,1860 1,2579 1,2827 1,2644 1,2347 1,2365 1,2951 1,4053 1,5485 1,7174 1,9139 2,1315 2,3563 2,5864 2,8351 3,1120 3,4044 3,6814 3,9155 4,0987 4,2369 4,3332 4,3785 4,3579 4,2653 4,1175 3,9482 3,7887 3,6593 3,5751 3,5505 3,5942 3,7013 3,8485 4,0007 4,1249 4,1995 4,2192 4,1980 4,1669 4,1692 4,2452 4,4043 4,6140 4,8258 5,0026 5,1288 5,2094 5,2606 5,2959 5,3178 5,3131 5,2575 5,1408 4,9850 4,8326 4,7185 4,6435 4,5699 4,4477 4,2521 4,0006 3,7402 3,5124 3,3302 3,1878 3,0792 3,0077 2,9891 3,0331 3,1196 3,2138 3,2937 3,3496 3,3750 3,3700 3,3401 3,2886 3,2174 3,1422 3,0928 3,0866 3,1065 3,1155 3,0812 2,9814 2,8057 2,5679 2,3156 2,1164 2,0249 2,0647 2,2247 2,4565 2,6898 2,8663 2,9559 2,9597 2,9178 2,8985 2,9606 3,1189 3,3369 3,5486 3,6942 3,7442 3,7013 3,5875 3,4320 3,2590 3,0817 2,9063 2,7458 2,6286 2,5891 2,6467 2,7920 2,9798 3,1451 3,2371 3,2440 3,1971 3,1577 3,1772 3,2606 3,3772 3,4959 3,6022 3,6951 3,7770 3,8467 3,8950 3,9113 3,8997 3,8784 3,8579 3,8272 3,7690 3,6826 3,5849 3,4988 3,4509 3,4633 3,5326 3,6242 3,6929 3,7073 3,6609 3,5646 3,4307 3,2597 3,0327 2,7140 2,2773 1,7316 1,1251 0,5253 -0,0134 -0,4667 -0,8243 -1,0709 -1,1875 -1,1635 -1,0126 -0,7827 -0,5412 -0,3461 -0,2317 -0,2052 -0,2372 -0,2664 -0,2378 -0,1316 0,0429 0,2709 0,5411 0,8425 1,1660 1,5038 1,8447 2,1836 2,5278 2,8745 3,1920 3,4374 3,5883 3,6490 3,6363 3,5720 3,4892 3,4292 3,4248 3,4896 3,6198 3,8064 4,0425 4,3173 4,6037 4,8598 5,0546 5,1926 5,3043 5,4154 5,5304 5,6421 5,7461 5,8387 5,9116 5,9575 5,9750 5,9597 5,8958 5,7640 5,5582 5,2983 5,0347 4,8286 4,7124 4,6639 4,6245 4,5427 4,4009 4,2129 4,0124 3,8370 3,7092 3,6281 3,5789 3,5513 3,5463 3,5655 3,6006 3,6327 3,6309 3,5529 3,3590 3,0325 2,5956 2,1104 1,6550 1,2886 1,0290 0,8506 0,7056 0,5497 0,3596 0,1447 -0,0645 -0,2536 -0,4422 -0,6561 -0,8915 -1,1188 -1,3088 -1,4423 -1,5131
Fz    2,8872 2,7681 2,5603 2,2863 1,9851 1,6967 1,4528 1,2677 1,1338 1,0279 0,9228 0,7958 0,6398 0,4687 0,3091 0,1809 0,0852 0,0074 -0,0715 -0,1721 -0,3140 -0,5078 -0,7428 -0,9865 -1,1992 -1,3493 -1,4198 -1,4147 -1,3602 -1,2910 -1,2301 -1,1802 -1,1363 -1,1020 -1,0867 -1,0882 -1,0873 -1,0578 -0,9787 -0,8352 -0,6188 -0,3394 -0,0427 0,1955 0,3057 0,2646 0,1048 -0,1049 -0,2808 -0,3484 -0,2724 -0,0758 0,1812 0,4417 0,6745 0,8705 1,0297 1,1535 1,2461 1,3192 1,3917 1,4822 1,5961 1,7165 1,8121 1,8618 1,8700 1,8601 1,8559 1,8700 1,9009 1,9431 1,9979 2,0678 2,1427 2,2054 2,2492 2,2763 2,2847 2,2707 2,2472 2,2499 2,3251 2,5121 2,8218 3,2214 3,6454 4,0237 4,3024 4,4504 4,4627 4,3622 4,1937 4,0009 3,7999 3,5785 3,3240 3,0454 2,7780 2,5770 2,4964 2,5521 2,6971 2,8427 2,9074 2,8502 2,6706 2,3978 2,0835 1,7875 1,5526 1,3878 1,2793 1,2086 1,1541 1,0889 0,9900 0,8456 0,6561 0,4290 0,1738 -0,0983 -0,3681 -0,6099 -0,8063 -0,9600 -1,0844 -1,1799 -1,2237 -1,1816 -1,0314 -0,7785 -0,4494 -0,0711 0,3425 0,7914 1,2885 1,8559 2,5124 3,2572 4,0680 4,9115 5,7497 6,5429 7,2639 7,9109 8,5000 9,0464 9,5515 10,0044 10,3983 10,7398 11,0406 11,3000 11,5015 11,6308 11,6944 11,7112 11,6918 11,6347 11,5361 11,3941 11,2056 10,9700 10,7014 10,4322 10,2025 10,0433 9,9653 9,9576 9,9912 10,0293 10,0464 10,0463 10,0611 10,1290 10,2686 10,4684 10,6975 10,9296 11,1578 11,3861 11,6120 11,8240 12,0139 12,1879 12,3628 12,5433 12,7033 12,7934 12,7725 12,6366 12,4228 12,1858 11,9690 11,7911 11,6515 11,5413 11,4471 11,3546 11,2521 11,1328 10,9998 10,8621 10,7177 10,5448 10,3100 9,9862 9,5741 9,1142 8,6745 8,3191 8,0808 7,9491 7,8768 7,8039 7,6859 7,5056 7,2668 6,9844 6,6827 6,3930 6,1357 5,9053 5,6814 5,4578 5,2586 5,1267 5,0924 5,1490 5,2517 5,3379 5,3575 5,2953 5,1739 5,0345 4,9152 4,8399 4,8148 4,8244 4,8292 4,7764 4,6259 4,3777 4,0741 3,7801 3,5581 3,4470 3,4474 3,5212 3,6085 3,6529 3,6290 3,5533 3,4686 3,4158 3,4120 3,4393 3,4596 3,4479 3,4095 3,3646 3,3254 3,2947 3,2740 3,2637 3,2608 3,2644 3,2741 3,2816 3,2741 3,2458 3,2021 3,1568 3,1282 3,1327 3,1790 3,2640 3,3694 3,4676 3,5317 3,5444 3,5077 3,4449 3,3867 3,3520 3,3392 3,3340 3,3257 3,3179 3,3196 3,3300 3,3363 3,3240 3,2851 3,2188 3,1262 3,0113 2,8900 2,7929 2,7471 2,7556 2,7993 2,8489 2,8709 2,8335 2,7250 2,5682 2,4141 2,3199 2,3263 2,4382 2,6155 2,7891 2,9019 2,9451 2,9528 2,9631 2,9860 3,0099 3,0276 3,0473 3,0836 3,1469 3,2402 3,3625 3,5144 3,6979 3,9044 4,1069 4,2686 4,3623 4,3791 4,3236 4,2063 4,0401 3,8380 3,6145 3,3939 3,2146 3,1199 3,1410 3,2819 3,5138 3,7800 4,0140 4,1639 4,2140 4,1901 4,1444 4,1282 4,1694 4,2695 4,4205 4,6150 4,8428 5,0904 5,3516 5,6305 5,9320 6,2493 6,5620 6,8468 7,0882 7,2776 7,4064 7,4639 7,4392 7,3282 7,1465 6,9352 6,7487 6,6316 6,6054 6,6680 6,7985 6,9631 7,1238 7,2519 7,3416 7,4077 7,4704 7,5403 7,6190 7,7093 7,8139 7,9257 8,0299 8,1152 8,1803 8,2311 8,2771 8,3237 8,3656 8,3897 8,3812 8,3292 8,2360 8,1210 8,0071 7,9015 7,7900 7,6493 7,4652 7,2443 7,0157 6,8193 6,6758 6,5694 6,4630 6,3246 6,1422 5,9270 5,7037 5,4974 5,3310 5,2191 5,1485 5,0787 4,9731 4,8218 4,6370 4,4432 4,2743 4,1562 4,0798 4,0056 3,8958 3,7347 3,5289 3,3012 3,0850 2,9220 2,8554 2,9132 3,0957 3,3760 3,7070 4,0360 4,3201 4,5319 4,6662 4,7525 4,8525 5,0250 5,2859 5,5982 5,8941 6,1109 6,2218 6,2420 6,2112 6,1742 6,1721 6,2304 6,3450 6,4854 6,6162 6,7143 6,7731 6,8003 6,8063 6,7880 6,7330 6,6385 6,5208 6,4040 6,3018 6,2152 6,1455 6,1016 6,0898 6,1001 6,1069 6,0802 5,9955 5,8471 5,6600 5,4824 5,3578 5,3021 5,3030 5,3363 5,3795 5,4132 5,4222 5,4026 5,3617 5,3098 5,2516 5,1816 5,0881 4,9651 4,8159 4,6448 4,4457 4,1966 3,8696 3,4558 2,9749 2,4602 1,9396 1,4348 0,9749 0,6059 0,3823 0,3356 0,4434 0,6374 0,8445 1,0212 1,1540 1,2484 1,3260 1,4168 1,5370 1,6798 1,8341 2,0022 2,1966 2,4260 2,6865 2,9618 3,2323 3,4923 3,7493 3,9999 4,2219 4,3979 4,5319 4,6396 4,7299 4,8049 4,8685 4,9255 4,9774 5,0288 5,0975 5,2112 5,3927 5,6404 5,9225 6,1905 6,4093 6,5760 6,7112 6,8361 6,9617 7,0920 7,2303 7,3791 7,5326 7,6775 7,7964 7,8686 7,8748 7,8061 7,6699 7,4940 7,3283 7,2255 7,2067 7,2461 7,2898 7,2901 7,2270 7,1070 6,9505 6,7764 6,5942 6,4027 6,1945 5,9668 5,7302 5,5047 5,3060 5,1324 4,9572 4,7353 4,4252 4,0117 3,5138 2,9775 2,4552 1,9852 1,5762 1,2059 0,8427 0,4720 0,1036 -0,2357 -0,5144 -0,7163 -0,8524 -0,9463 -1,0110 -1,0441 -1,0413 -1,0036 -0,9346
F3    2,7764 2,5821 2,2995 1,9627 1,6170 1,3032 1,0486 0,8591 0,7188 0,6034 0,4945 0,3857 0,2833 0,2041 0,1669 0,1751 0,2066 0,2203 0,1725 0,0255 -0,2432 -0,6239 -1,0625 -1,4742 -1,7767 -1,9135 -1,8626 -1,6433 -1,3146 -0,9544 -0,6307 -0,3857 -0,2405 -0,2031 -0,2659 -0,4008 -0,5630 -0,7004 -0,7631 -0,7122 -0,5325 -0,2479 0,0696 0,3185 0,4162 0,3418 0,1387 -0,1139 -0,3286 -0,4329 -0,3946 -0,2344 -0,0020 0,2606 0,5314 0,7958 1,0340 1,2210 1,3411 1,4027 1,4386 1,4861 1,5595 1,6356 1,6720 1,6440 1,5620 1,4585 1,3674 1,3106 1,2941 1,3140 1,3654 1,4358 1,4961 1,5174 1,4958 1,4484 1,3899 1,3286 1,2847 1,2982 1,4137 1,6592 2,0251 2,4575 2,8790 3,2237 3,4560 3,5662 3,5607 3,4580 3,2883 3,0816 2,8508 2,5930 2,3130 2,0380 1,8139 1,6928 1,7145 1,8772 2,1206 2,3510 2,4925 2,5153 2,4251 2,2463 2,0168 1,7829 1,5828 1,4310 1,3240 1,2522 1,1980 1,1334 1,0306 0,8748 0,6678 0,4243 0,1624 -0,1015 -0,3478 -0,5547 -0,7095 -0,8190 -0,9028 -0,9714 -1,0093 -0,9814 -0,8575 -0,6335 -0,3287 0,0327 0,4351 0,8743 1,3590 1,9092 2,5436 3,2611 4,0344 4,8246 5,5940 6,3077 6,9411 7,4926 7,9826 8,4384 8,8748 9,2844 9,6493 9,9577 10,2058 10,3900 10,5068 10,5667 10,5972 10,6205 10,6316 10,6052 10,5217 10,3771 10,1739 9,9223 9,6470 9,3852 9,1764 9,0534 9,0307 9,0929 9,1958 9,2838 9,3163 9,2898 9,2408 9,2240 9,2784 9,4069 9,5839 9,7797 9,9777 10,1730 10,3624 10,5450 10,7286 10,9310 11,1720 11,4547 11,7496 11,9985 12,1398 12,1389 12,0026 11,7686 11,4799 11,1696 10,8617 10,5750 10,3203 10,0993 9,9077 9,7404 9,5983 9,4889 9,4108 9,3393 9,2275 9,0252 8,7087 8,3045 7,8799 7,5068 7,2257 7,0327 6,8904 6,7521 6,5863 6,3867 6,1616 5,9219 5,6836 5,4696 5,2938 5,1455 4,9993 4,8432 4,6947 4,5914 4,5644 4,6153 4,7101 4,7918 4,8087 4,7441 4,6230 4,4923 4,3946 4,3526 4,3632 4,3949 4,3941 4,3007 4,0765 3,7320 3,3297 2,9603 2,7099 2,6301 2,7162 2,9056 3,1042 3,2286 3,2419 3,1628 3,0408 2,9248 2,8410 2,7846 2,7337 2,6789 2,6360 2,6250 2,6449 2,6757 2,7010 2,7174 2,7296 2,7439 2,7606 2,7667 2,7414 2,6711 2,5554 2,4063 2,2492 2,1214 2,0593 2,0801 2,1716 2,2969 2,4090 2,4686 2,4637 2,4145 2,3554 2,3105 2,2827 2,2624 2,2465 2,2477 2,2799 2,3400 2,4078 2,4615 2,4891 2,4879 2,4542 2,3831 2,2859 2,2001 2,1684 2,2083 2,3070 2,4336 2,5467 2,6038 2,5830 2,4972 2,3888 2,3117 2,3125 2,4093 2,5755 2,7515 2,8866 2,9773 3,0575 3,1540 3,2570 3,3348 3,3660 3,3547 3,3214 3,2900 3,2809 3,3099 3,3907 3,5321 3,7256 3,9369 4,1148 4,2111 4,1981 4,0741 3,8585 3,5829 3,2806 2,9794 2,7053 2,4907 2,3751 2,3911 2,5427 2,7966 3,0890 3,3442 3,5002 3,5298 3,4509 3,3153 3,1834 3,1006 3,0898 3,1577 3,2997 3,4975 3,7277 3,9807 4,2672 4,6028 4,9852 5,3849 5,7582 6,0667 6,2863 6,4072 6,4324 6,3696 6,2259 6,0159 5,7789 5,5745 5,4510 5,4243 5,4834 5,6043 5,7539 5,8948 5,9969 6,0528 6,0788 6,0989 6,1297 6,1806 6,2659 6,4017 6,5855 6,7885 6,9704 7,1010 7,1760 7,2155 7,2438 7,2705 7,2906 7,2942 7,2740 7,2346 7,1897 7,1463 7,0938 7,0071 6,8612 6,6487 6,3897 6,1320 5,9315 5,8158 5,7653 5,7291 5,6569 5,5182 5,3101 5,0550 4,7938 4,5767 4,4428 4,3873 4,3618 4,3157 4,2302 4,1165 4,0005 3,9151 3,8820 3,8878 3,8887 3,8402 3,7193 3,5289 3,2941 3,0566 2,8661 2,7718 2,8083 2,9805 3,2578 3,5830 3,8924 4,1360 4,2874 4,3470 4,3461 4,3421 4,3872 4,4970 4,6465 4,7870 4,8736 4,8992 4,8997 4,9252 5,0078 5,1506 5,3323 5,5173 5,6693 5,7635 5,7882 5,7436 5,6482 5,5368 5,4355 5,3467 5,2674 5,2090 5,1881 5,2006 5,2187 5,2153 5,1885 5,1584 5,1462 5,1545 5,1620 5,1349 5,0522 4,9258 4,7905 4,6799 4,6139 4,5969 4,6204 4,6696 4,7253 4,7627 4,7629 4,7307 4,6863 4,6373 4,5645 4,4431 4,2714 4,0732 3,8795 3,7077 3,5464 3,3567 3,0959 2,7406 2,2876 1,7486 1,1544 0,5619 0,0506 -0,2984 -0,4426 -0,4045 -0,2560 -0,0740 0,0920 0,2218 0,3147 0,3894 0,4738 0,5788 0,6904 0,7914 0,8836 0,9867 1,1252 1,3184 1,5734 1,8817 2,2297 2,6051 2,9855 3,3349 3,6263 3,8575 4,0403 4,1813 4,2781 4,3276 4,3285 4,2828 4,2044 4,1276 4,1013 4,1655 4,3242 4,5411 4,7647 4,9611 5,1279 5,2808 5,4309 5,5741 5,6997 5,8083 5,9150 6,0336 6,1633 6,2905 6,3908 6,4330 6,3887 6,2423 6,0071 5,7366 5,5063 5,3695 5,3274 5,3404 5,3607 5,3548 5,3078 5,2176 5,0890 4,9288 4,7430 4,5346 4,3108 4,0880 3,8874 3,7240 3,5975 3,4853 3,3466 3,1378 2,8325 2,4352 1,9803 1,5163 1,0835 0,6978 0,3484 0,0161 -0,3065 -0,6139 -0,8915 -1,1203 -1,2920 -1,4199 -1,5244 -1,6110 -1,6705 -1,6971 -1,6951 -1,6711
F7    2,1266 2,1241 1,9578 1,6533 1,2602 0,8419 0,4666 0,1857 0,0117 -0,0838 -0,1466 -0,2096 -0,2778 -0,3395 -0,3876 -0,4268 -0,4676 -0,5185 -0,5836 -0,6679 -0,7810 -0,9255 -1,0801 -1,2095 -1,2963 -1,3461 -1,3627 -1,3318 -1,2344 -1,0705 -0,8622 -0,6313 -0,3871 -0,1359 0,1102 0,3297 0,4887 0,5535 0,5202 0,4336 0,3710 0,3954 0,5068 0,6388 0,7074 0,6701 0,5424 0,3800 0,2551 0,2331 0,3434 0,5591 0,8093 1,0196 1,1508 1,2120 1,2369 1,2429 1,2194 1,1575 1,0731 1,0017 0,9762 1,0043 1,0638 1,1233 1,1617 1,1753 1,1770 1,1867 1,2127 1,2447 1,2717 1,2940 1,3050 1,2843 1,2201 1,1187 0,9893 0,8361 0,6671 0,5023 0,3757 0,3286 0,3867 0,5391 0,7441 0,9540 1,1370 1,2906 1,4399 1,6158 1,8317 2,0741 2,3011 2,4539 2,4892 2,3997 2,2107 1,9744 1,7597 1,6197 1,5618 1,5581 1,5777 1,6010 1,6139 1,6074 1,5866 1,5674 1,5563 1,5399 1,4996 1,4265 1,3153 1,1486 0,9073 0,5964 0,2517 -0,0862 -0,3991 -0,6889 -0,9530 -1,1785 -1,3601 -1,5097 -1,6416 -1,7527 -1,8217 -1,8216 -1,7336 -1,5599 -1,3274 -1,0667 -0,7916 -0,4993 -0,1744 0,2166 0,7153 1,3438 2,0848 2,8876 3,6850 4,4101 5,0198 5,5103 5,9063 6,2436 6,5539 6,8473 7,1096 7,3241 7,4885 7,6035 7,6595 7,6491 7,5849 7,4890 7,3726 7,2398 7,1003 6,9666 6,8434 6,7305 6,6347 6,5599 6,4860 6,3790 6,2235 6,0352 5,8457 5,6896 5,6008 5,6053 5,7141 5,9211 6,1973 6,4870 6,7254 6,8770 6,9620 7,0353 7,1397 7,2866 7,4755 7,7072 7,9768 8,2636 8,5290 8,7211 8,7950 8,7376 8,5752 8,3576 8,1284 7,9062 7,7024 7,5458 7,4665 7,4520 7,4388 7,3607 7,2080 7,0335 6,9031 6,8366 6,7835 6,6523 6,3765 5,9653 5,4997 5,0793 4,7716 4,5939 4,5144 4,4641 4,3693 4,1835 3,8933 3,5144 3,0901 2,6720 2,2831 1,9044 1,5134 1,1375 0,8534 0,7281 0,7660 0,9141 1,0999 1,2599 1,3565 1,3846 1,3615 1,3069 1,2271 1,1123 0,9533 0,7638 0,5721 0,3921 0,2225 0,0739 -0,0288 -0,0699 -0,0560 -0,0062 0,0571 0,1031 0,0900 -0,0155 -0,2115 -0,4542 -0,6774 -0,8180 -0,8467 -0,7808 -0,6545 -0,4779 -0,2326 0,0942 0,4740 0,8370 1,1045 1,2263 1,2078 1,1104 1,0041 0,9176 0,8437 0,7723 0,6981 0,6169 0,5276 0,4293 0,3217 0,2068 0,0769 -0,0905 -0,3145 -0,5912 -0,8899 -1,1625 -1,3567 -1,4342 -1,3896 -1,2547 -1,0750 -0,8819 -0,6919 -0,5221 -0,3923 -0,3160 -0,2903 -0,2998 -0,3333 -0,3913 -0,4763 -0,5869 -0,7172 -0,8471 -0,9349 -0,9388 -0,8530 -0,7162 -0,5837 -0,4911 -0,4363 -0,3832 -0,2847 -0,1113 0,1294 0,3930 0,6247 0,7975 0,9211 1,0113 1,0639 1,0674 1,0317 0,9940 0,9964 1,0656 1,2015 1,3776 1,5586 1,7225 1,8573 1,9437 1,9571 1,8821 1,7159 1,4655 1,1507 0,8094 0,4843 0,1975 -0,0577 -0,3003 -0,5349 -0,7388 -0,8728 -0,9093 -0,8510 -0,7269 -0,5831 -0,4689 -0,4160 -0,4228 -0,4577 -0,4757 -0,4381 -0,3193 -0,1049 0,1973 0,5452 0,8808 1,1633 1,3813 1,5364 1,6278 1,6602 1,6587 1,6664 1,7254 1,8494 2,0148 2,1856 2,3422 2,4788 2,5906 2,6750 2,7345 2,7722 2,7922 2,8006 2,8056 2,8201 2,8604 2,9313 3,0138 3,0715 3,0721 3,0111 2,9188 2,8479 2,8637 3,0151 3,2793 3,5584 3,7633 3,8760 3,9158 3,8906 3,7928 3,6219 3,4013 3,1763 3,0001 2,9198 2,9549 3,0760 3,2099 3,2785 3,2428 3,1073 2,8940 2,6292 2,3496 2,1055 1,9468 1,8954 1,9215 1,9493 1,9036 1,7577 1,5322 1,2658 1,0056 0,8119 0,7347 0,7756 0,8925 1,0398 1,1954 1,3506 1,4788 1,5259 1,4386 1,2087 0,8915 0,5783 0,3441 0,2177 0,1932 0,2549 0,3763 0,5132 0,6156 0,6565 0,6516 0,6441 0,6728 0,7691 0,9620 1,2531 1,5897 1,8844 2,0679 2,1182 2,0515 1,8979 1,6840 1,4341 1,1708 0,9037 0,6375 0,4077 0,2928 0,3605 0,6020 0,9387 1,2670 1,4903 1,5646 1,5192 1,3988 1,2122 0,9664 0,7242 0,5977 0,6779 0,9667 1,3722 1,7723 2,0871 2,3046 2,4519 2,5554 2,6216 2,6397 2,5908 2,4622 2,2661 2,0490 1,8750 1,7894 1,7960 1,8619 1,9352 1,9648 1,9105 1,7447 1,4547 1,0389 0,4913 -0,1942 -0,9857 -1,7847 -2,4531 -2,8878 -3,0800 -3,1004 -3,0330 -2,9333 -2,8256 -2,7111 -2,5828 -2,4364 -2,2739 -2,1093 -1,9717 -1,8876 -1,8571 -1,8509 -1,8265 -1,7531 -1,6286 -1,4702 -1,2874 -1,0670 -0,7860 -0,4396 -0,0439 0,3758 0,7797 1,1194 1,3774 1,5827 1,7767 1,9701 2,1357 2,2363 2,2560 2,2105 2,1366 2,0771 2,0745 2,1662 2,3645 2,6411 2,9435 3,2262 3,4603 3,6267 3,7233 3,7770 3,8289 3,9031 3,9901 4,0549 4,0608 3,9899 3,8502 3,6722 3,4971 3,3630 3,2960 3,3049 3,3755 3,4657 3,5105 3,4461 3,2412 2,9108 2,5046 2,0808 1,6853 1,3512 1,1100 0,9870 0,9850 1,0791 1,2263 1,3787 1,4960 1,5543 1,5385 1,4297 1,2108 0,8875 0,4940 0,0819 -0,2982 -0,6197 -0,8875 -1,1143 -1,3026 -1,4560 -1,5873 -1,7102 -1,8386 -1,9882 -2,1604 -2,3290 -2,4590 -2,5351 -2,5687 -2,5871
