Fp1   1,8072 1,4810 1,1541 0,9149 0,8321 0,9287 1,1716 1,4818 1,7611 1,9258 1,9269 1,7454 1,3856 0,8941 0,3688 -0,0832 -0,4019 -0,5839 -0,6512 -0,6261 -0,5351 -0,4193 -0,3198 -0,2562 -0,2284 -0,2305 -0,2553 -0,2893 -0,3166 -0,3363 -0,3715 -0,4542 -0,5990 -0,7959 -1,0218 -1,2453 -1,4271 -1,5245 -1,5040 -1,3557 -1,1058 -0,8134 -0,5440 -0,3381 -0,2046 -0,1363 -0,1194 -0,1447 -0,2143 -0,3264 -0,4463 -0,5077 -0,4551 -0,2885 -0,0645 0,1440 0,2856 0,3505 0,3726 0,4085 0,4991 0,6442 0,8063 0,9380 1,0122 1,0219 0,9613 0,8239 0,6176 0,3688 0,1037 -0,1713 -0,4605 -0,7532 -1,0136 -1,1947 -1,2674 -1,2346 -1,1164 -0,9241 -0,6561 -0,3224 0,0356 0,3538 0,5745 0,6646 0,6221 0,4754 0,2750 0,0794 -0,0602 -0,1243 -0,1462 -0,1955 -0,3194 -0,4996 -0,6721 -0,7820 -0,8204 -0,8174 -0,8075 -0,8128 -0,8507 -0,9472 -1,1304 -1,4077 -1,7511 -2,1106 -2,4440 -2,7291 -2,9600 -3,1489 -3,3304 -3,5471 -3,8264 -4,1653 -4,5228 -4,8292 -5,0160 -5,0442 -4,9149 -4,6721 -4,3848 -4,0985 -3,7975 -3,4256 -2,9368 -2,3181 -1,5842 -0,7707 0,0723 0,9005 1,6926 2,4473 3,1735 3,8958 4,6587 5,5029 6,4221 7,3449 8,1556 8,7369 9,0146 8,9885 8,7313 8,3543 7,9602 7,5987 7,2522 6,8809 6,4811 6,0861 5,7251 5,4049 5,1194 4,8539 4,5840 4,2852 3,9446 3,5685 3,1803 2,8052 2,4531 2,1122 1,7569 1,3713 0,9724 0,6005 0,2888 0,0526 -0,0883 -0,0970 0,0507 0,3265 0,6527 0,9482 1,1729 1,3441 1,5205 1,7759 2,1780 2,7647 3,5208 4,3789 5,2568 6,1003 6,8882 7,6051 8,2261 8,7351 9,1499 9,5216 9,9043 10,3235 10,7675 11,2018 11,5906 11,9069 12,1313 12,2524 12,2723 12,2089 12,0932 11,9642 11,8545 11,7688 11,6819 11,5569 11,3606 11,0783 10,7253 10,3385 9,9510 9,5807 9,2309 8,8922 8,5560 8,2289 7,9257 7,6507 7,3944 7,1415 6,8727 6,5655 6,2041 5,7987 5,3939 5,0501 4,8082 4,6717 4,6136 4,5953 4,5823 4,5509 4,4940 4,4212 4,3459 4,2750 4,2165 4,1893 4,2150 4,3022 4,4495 4,6555 4,9173 5,2172 5,5179 5,7755 5,9634 6,0884 6,1829 6,2884 6,4447 6,6770 6,9819 7,3213 7,6344 7,8670 8,0027 8,0761 8,1506 8,2722 8,4480 8,6637 8,8991 9,1325 9,3487 9,5482 9,7395 9,9230 10,0884 10,2226 10,3126 10,3453 10,3161 10,2455 10,1779 10,1544 10,1887 10,2670 10,3718 10,4998 10,6530 10,8232 10,9934 11,1427 11,2566 11,3398 11,4166 11,5113 11,6276 11,7521 11,8733 11,9960 12,1330 12,2839 12,4305 12,5590 12,6720 12,7753 12,8661 12,9382 12,9874 13,0168 13,0423 13,0824 13,1383 13,1955 13,2394 13,2655 13,2844 13,3183 13,3781 13,4390 13,4520 13,3823 13,2249 12,9886 12,6911 12,3679 12,0639 11,8116 11,6214 11,4820 11,3686 11,2663 11,1874 11,1569 11,1870 11,2670 11,3621 11,4234 11,4088 11,3039 11,1278 10,9198 10,7159 10,5421 10,4203 10,3687 10,3932 10,4717 10,5541 10,5961 10,5955 10,5843 10,5912 10,6208 10,6526 10,6570 10,6199 10,5492 10,4583 10,3596 10,2705 10,2081 10,1689 10,1302 10,0731 9,9928 9,8906 9,7714 9,6472 9,5420 9,4964 9,5529 9,7152 9,9271 10,1023 10,1742 10,1149 9,9241 9,6130 9,2015 8,7280 8,2523 7,8360 7,5173 7,3070 7,1953 7,1510 7,1192 7,0406 6,8800 6,6370 6,3312 5,9840 5,6254 5,3024 5,0623 4,9250 4,8718 4,8520 4,8028 4,6757 4,4560 4,1642 3,8502 3,5827 3,4251 3,4056 3,5109 3,6984 3,9039 4,0567 4,1149 4,0917 4,0465 4,0459 4,1210 4,2538 4,3968 4,5036 4,5510 4,5512 4,5394 4,5378 4,5316 4,4874 4,3852 4,2290 4,0415 3,8491 3,6673 3,5004 3,3586 3,2774 3,3096 3,4865 3,7911 4,1673 4,5400 4,8380 5,0169 5,0665 4,9939 4,8093 4,5311 4,1871 3,7982 3,3699 2,9045 2,4192 1,9579 1,5851 1,3572 1,2983 1,4042 1,6561 2,0271 2,4833 2,9756 3,4371 3,7974 3,9993 4,0123 3,8481 3,5666 3,2543 2,9912 2,8293 2,7873 2,8521 2,9964 3,1992 3,4466 3,7210 3,9958 4,2398 4,4272 4,5413 4,5716 4,5173 4,3914 4,2145 4,0034 3,7680 3,5155 3,2607 3,0321 2,8620 2,7730 2,7802 2,8956 3,1231 3,4544 3,8592 4,2828 4,6635 4,9498 5,1043 5,1111 4,9674 4,6688 4,2180 3,6454 3,0093 2,3879 1,8682 1,5227 1,3838 1,4379 1,6467 1,9717 2,3776 2,8267 3,2898 3,7645 4,2601 4,7593 5,2088 5,5514 5,7580 5,8367 5,8243 5,7712 5,7287 5,7449 5,8539 6,0486 6,2688 6,4363 6,5131 6,5268 6,5429 6,6159 6,7588 6,9427 7,1141 7,2264 7,2629 7,2343 7,1595 7,0449 6,8720 6,6059 6,2195 5,7168 5,1419 4,5669 4,0564 3,6310 3,2630 2,9068 2,5310 2,1321 1,7340 1,3787 1,1093 0,9493 0,8916 0,9061 0,9561 1,0133 1,0662 1,1187 1,1817 1,2705 1,4023 1,5864 1,8060 2,0074 2,1106 2,0445 1,7855 1,3694 0,8646 0,3413 -0,1282 -0,4607 -0,5899 -0,5155 -0,3176 -0,1111 0,0272 0,0962 0,1337 0,1578 0,1545 0,1036 -0,0015 -0,1431 -0,2828 -0,3882 -0,4544 -0,4862 -0,4706 -0,3773 -0,1872 0,0810 0,3701 0,6088 0,7329 0,6978 0,4883 0,1257 -0,3337 -0,8143 -1,2483 -1,5972
Fz    2,2730 1,8444 1,4799 1,2227 1,0938 1,0809 1,1362 1,1854 1,1476 0,9663 0,6343 0,1895 -0,3049 -0,7699 -1,1245 -1,3200 -1,3678 -1,3226 -1,2420 -1,1619 -1,0967 -1,0474 -1,0043 -0,9512 -0,8786 -0,7936 -0,7166 -0,6680 -0,6558 -0,6739 -0,7071 -0,7351 -0,7338 -0,6821 -0,5737 -0,4166 -0,2194 0,0155 0,2811 0,5527 0,7888 0,9455 0,9973 0,9483 0,8248 0,6593 0,4801 0,3041 0,1350 -0,0192 -0,1225 -0,1191 0,0248 0,2865 0,6001 0,9026 1,1639 1,3827 1,5733 1,7527 1,9290 2,0936 2,2199 2,2729 2,2283 2,0877 1,8776 1,6409 1,4211 1,2430 1,0986 0,9563 0,7893 0,5977 0,4068 0,2501 0,1579 0,1557 0,2644 0,4969 0,8459 1,2772 1,7392 2,1835 2,5761 2,8968 3,1381 3,3042 3,4085 3,4698 3,5067 3,5270 3,5174 3,4534 3,3274 3,1669 3,0179 2,9111 2,8425 2,7788 2,6786 2,5104 2,2606 1,9303 1,5281 1,0719 0,5949 0,1359 -0,2785 -0,6434 -0,9744 -1,3059 -1,6859 -2,1609 -2,7517 -3,4328 -4,1294 -4,7434 -5,1966 -5,4574 -5,5366 -5,4683 -5,2857 -4,9978 -4,5888 -4,0464 -3,3853 -2,6404 -1,8457 -1,0292 -0,2177 0,5669 1,3218 2,0717 2,8647 3,7564 4,7863 5,9579 7,2300 8,5241 9,7421 10,7918 11,6167 12,2113 12,6091 12,8554 12,9908 13,0386 12,9975 12,8590 12,6358 12,3644 12,0827 11,8145 11,5638 11,3117 11,0238 10,6724 10,2557 9,8017 9,3574 8,9684 8,6578 8,4172 8,2135 8,0087 7,7829 7,5432 7,3148 7,1282 7,0126 6,9904 7,0638 7,2045 7,3647 7,5032 7,6051 7,6863 7,7876 7,9602 8,2492 8,6824 9,2660 9,9858 10,8115 11,7007 12,6017 13,4564 14,2166 14,8630 15,4047 15,8604 16,2479 16,5854 16,8869 17,1577 17,3952 17,5928 17,7412 17,8325 17,8655 17,8477 17,7949 17,7277 17,6633 17,6038 17,5334 17,4290 17,2683 17,0332 16,7158 16,3259 15,8906 15,4432 15,0088 14,5990 14,2232 13,8940 13,6159 13,3739 13,1403 12,8912 12,6172 12,3223 12,0175 11,7242 11,4801 11,3292 11,2975 11,3808 11,5484 11,7517 11,9399 12,0753 12,1392 12,1271 12,0403 11,8847 11,6763 11,4479 11,2407 11,0882 11,0062 10,9963 11,0471 11,1291 11,2009 11,2294 11,2052 11,1411 11,0598 10,9855 10,9395 10,9308 10,9462 10,9536 10,9156 10,8064 10,6312 10,4345 10,2782 10,2038 10,2155 10,2941 10,4132 10,5498 10,6901 10,8266 10,9418 11,0039 10,9887 10,9081 10,8096 10,7469 10,7565 10,8568 11,0503 11,3176 11,6220 11,9289 12,2251 12,5203 12,8306 13,1586 13,4857 13,7792 14,0074 14,1554 14,2313 14,2558 14,2454 14,2053 14,1350 14,0382 13,9260 13,8084 13,6902 13,5786 13,4880 13,4287 13,3935 13,3593 13,3014 13,2096 13,0916 12,9613 12,8256 12,6828 12,5323 12,3862 12,2724 12,2169 12,2156 12,2270 12,1998 12,1108 11,9763 11,8338 11,7216 11,6700 11,6955 11,7912 11,9266 12,0622 12,1653 12,2228 12,2446 12,2568 12,2856 12,3445 12,4267 12,5080 12,5619 12,5732 12,5408 12,4731 12,3870 12,3119 12,2862 12,3388 12,4729 12,6582 12,8405 12,9731 13,0445 13,0744 13,0854 13,0837 13,0548 12,9751 12,8335 12,6444 12,4372 12,2372 12,0601 11,9124 11,7864 11,6663 11,5446 11,4267 11,3193 11,2244 11,1453 11,0972 11,1084 11,2038 11,3792 11,5942 11,7906 11,9150 11,9270 11,7975 11,5100 11,0739 10,5386 9,9875 9,5056 9,1463 8,9189 8,7976 8,7316 8,6592 8,5282 8,3080 7,9913 7,5940 7,1544 6,7263 6,3599 6,0789 5,8747 5,7221 5,5968 5,4802 5,3649 5,2601 5,1841 5,1504 5,1622 5,2129 5,2830 5,3455 5,3757 5,3538 5,2696 5,1351 4,9933 4,9069 4,9274 5,0682 5,3008 5,5716 5,8232 6,0145 6,1380 6,2209 6,3037 6,4111 6,5358 6,6448 6,7025 6,6965 6,6469 6,5909 6,5606 6,5743 6,6451 6,7883 7,0130 7,3078 7,6399 7,9620 8,2242 8,3894 8,4445 8,3980 8,2685 8,0757 7,8387 7,5753 7,2979 7,0091 6,7088 6,4072 6,1231 5,8690 5,6485 5,4714 5,3584 5,3298 5,3924 5,5364 5,7353 5,9473 6,1224 6,2184 6,2142 6,1114 5,9299 5,7035 5,4744 5,2836 5,1622 5,1323 5,2107 5,4048 5,7040 6,0727 6,4555 6,7968 7,0599 7,2305 7,3117 7,3160 7,2558 7,1343 6,9437 6,6789 6,3555 6,0110 5,6840 5,3966 5,1608 4,9910 4,9026 4,9000 4,9643 5,0568 5,1367 5,1708 5,1324 5,0019 4,7637 4,4021 3,9120 3,3168 2,6699 2,0394 1,4905 1,0722 0,8104 0,7036 0,7294 0,8618 1,0832 1,3826 1,7497 2,1765 2,6525 3,1513 3,6300 4,0462 4,3763 4,6209 4,7999 4,9481 5,1120 5,3387 5,6510 6,0258 6,3965 6,6857 6,8426 6,8624 6,7762 6,6264 6,4434 6,2391 6,0158 5,7771 5,5286 5,2732 5,0116 4,7409 4,4438 4,0898 3,6534 3,1325 2,5516 1,9530 1,3808 0,8652 0,4145 0,0182 -0,3379 -0,6553 -0,9214 -1,1200 -1,2377 -1,2710 -1,2330 -1,1528 -1,0598 -0,9652 -0,8587 -0,7215 -0,5428 -0,3239 -0,0768 0,1750 0,3982 0,5586 0,6330 0,6208 0,5465 0,4508 0,3749 0,3534 0,4185 0,5966 0,8852 1,2323 1,5453 1,7365 1,7743 1,6932 1,5531 1,3865 1,1810 0,9046 0,5466 0,1381 -0,2679 -0,6352 -0,9580 -1,2376 -1,4592 -1,5947 -1,6243 -1,5514 -1,4006 -1,2116 -1,0401 -0,9531 -0,9994 -1,1758 -1,4269 -1,6771 -1,8639 -1,9540
F3    1,8706 1,6033 1,3978 1,2767 1,2440 1,2849 1,3651 1,4292 1,4118 1,2657 0,9871 0,6137 0,2078 -0,1560 -0,4087 -0,5192 -0,5136 -0,4517 -0,3836 -0,3277 -0,2791 -0,2268 -0,1616 -0,0796 0,0098 0,0794 0,0959 0,0393 -0,0877 -0,2644 -0,4642 -0,6598 -0,8228 -0,9318 -0,9818 -0,9776 -0,9198 -0,8030 -0,6296 -0,4208 -0,2188 -0,0750 -0,0283 -0,0864 -0,2280 -0,4188 -0,6257 -0,8269 -1,0166 -1,1864 -1,3014 -1,3064 -1,1683 -0,9096 -0,5945 -0,2842 -0,0084 0,2317 0,4513 0,6701 0,9002 1,1351 1,3466 1,4968 1,5636 1,5532 1,4930 1,4173 1,3544 1,3127 1,2717 1,1951 1,0589 0,8710 0,6640 0,4754 0,3335 0,2570 0,2634 0,3717 0,5911 0,9045 1,2683 1,6316 1,9533 2,2079 2,3874 2,4990 2,5592 2,5897 2,6149 2,6493 2,6829 2,6861 2,6377 2,5480 2,4494 2,3681 2,3081 2,2535 2,1813 2,0727 1,9172 1,7095 1,4468 1,1372 0,8078 0,4927 0,2110 -0,0388 -0,2732 -0,5207 -0,8204 -1,2117 -1,7149 -2,3119 -2,9396 -3,5100 -3,9510 -4,2315 -4,3569 -4,3545 -4,2537 -4,0620 -3,7561 -3,3085 -2,7163 -2,0039 -1,2075 -0,3675 0,4724 1,2736 2,0191 2,7262 3,4430 4,2272 5,1212 6,1372 7,2492 8,3935 9,4823 10,4272 11,1674 11,6879 12,0148 12,1944 12,2741 12,2843 12,2273 12,0922 11,8854 11,6393 11,3917 11,1640 10,9492 10,7103 10,3973 9,9787 9,4627 8,8941 8,3355 7,8463 7,4606 7,1750 6,9520 6,7414 6,5101 6,2621 6,0332 5,8711 5,8150 5,8801 6,0477 6,2703 6,4897 6,6596 6,7611 6,8084 6,8457 6,9357 7,1403 7,5020 8,0297 8,6968 9,4558 10,2546 11,0417 11,7659 12,3908 12,9112 13,3440 13,7078 14,0178 14,2910 14,5424 14,7787 14,9960 15,1808 15,3145 15,3810 15,3753 15,3072 15,1976 15,0730 14,9566 14,8587 14,7721 14,6774 14,5512 14,3737 14,1357 13,8427 13,5150 13,1791 12,8542 12,5470 12,2603 11,9989 11,7615 11,5333 11,2912 11,0216 10,7321 10,4421 10,1664 9,9206 9,7320 9,6291 9,6193 9,6863 9,8001 9,9246 10,0264 10,0805 10,0699 9,9855 9,8276 9,6053 9,3365 9,0520 8,7921 8,5938 8,4787 8,4522 8,5058 8,6160 8,7449 8,8525 8,9157 8,9370 8,9369 8,9420 8,9772 9,0559 9,1688 9,2820 9,3441 9,3090 9,1679 8,9650 8,7726 8,6448 8,5985 8,6277 8,7179 8,8505 9,0085 9,1817 9,3570 9,5073 9,6053 9,6479 9,6598 9,6719 9,7048 9,7725 9,8858 10,0415 10,2196 10,3958 10,5612 10,7283 10,9166 11,1356 11,3773 11,6166 11,8207 11,9672 12,0565 12,1040 12,1242 12,1222 12,0943 12,0349 11,9456 11,8360 11,7220 11,6300 11,5935 11,6335 11,7420 11,8865 12,0264 12,1283 12,1736 12,1608 12,1033 12,0214 11,9341 11,8588 11,8156 11,8196 11,8585 11,8865 11,8479 11,7125 11,4908 11,2222 10,9590 10,7577 10,6624 10,6842 10,7980 10,9607 11,1299 11,2761 11,3884 11,4733 11,5478 11,6290 11,7197 11,8025 11,8502 11,8409 11,7640 11,6212 11,4311 11,2367 11,0977 11,0632 11,1466 11,3146 11,4981 11,6306 11,6863 11,6808 11,6430 11,5912 11,5244 11,4290 11,3005 11,1590 11,0363 10,9540 10,9167 10,9149 10,9257 10,9208 10,8833 10,8161 10,7310 10,6372 10,5443 10,4752 10,4691 10,5593 10,7416 10,9728 11,1976 11,3710 11,4584 11,4299 11,2656 10,9731 10,6003 10,2272 9,9325 9,7622 9,7174 9,7608 9,8317 9,8671 9,8217 9,6745 9,4236 9,0852 8,6982 8,3214 8,0103 7,7841 7,6206 7,4814 7,3339 7,1549 6,9349 6,6859 6,4385 6,2308 6,0960 6,0515 6,0901 6,1862 6,3072 6,4183 6,4888 6,5076 6,4931 6,4840 6,5183 6,6134 6,7584 6,9209 7,0635 7,1595 7,2084 7,2380 7,2873 7,3821 7,5199 7,6686 7,7804 7,8181 7,7751 7,6737 7,5483 7,4310 7,3499 7,3311 7,3894 7,5193 7,7001 7,9025 8,0918 8,2359 8,3146 8,3221 8,2587 8,1280 7,9383 7,7023 7,4305 7,1295 6,8116 6,5050 6,2461 6,0582 5,9431 5,8925 5,9031 5,9812 6,1396 6,3830 6,6895 7,0079 7,2754 7,4424 7,4885 7,4208 7,2654 7,0619 6,8566 6,6948 6,6138 6,6406 6,7890 7,0561 7,4177 7,8282 8,2297 8,5721 8,8304 9,0049 9,1117 9,1704 9,1953 9,1861 9,1262 8,9954 8,7916 8,5397 8,2770 8,0327 7,8272 7,6808 7,6133 7,6311 7,7126 7,8135 7,8904 7,9135 7,8637 7,7292 7,4983 7,1522 6,6770 6,0872 5,4346 4,7927 4,2337 3,8129 3,5595 3,4734 3,5323 3,7090 3,9835 4,3390 4,7555 5,2123 5,6867 6,1504 6,5734 6,9333 7,2226 7,4496 7,6359 7,8150 8,0306 8,3229 8,7030 9,1324 9,5315 9,8201 9,9606 9,9704 9,8984 9,7916 9,6747 9,5485 9,4038 9,2376 9,0547 8,8612 8,6620 8,4574 8,2311 7,9507 7,5889 7,1434 6,6391 6,1178 5,6223 5,1781 4,7842 4,4195 4,0628 3,7089 3,3704 3,0695 2,8291 2,6626 2,5645 2,5131 2,4887 2,4885 2,5247 2,6092 2,7408 2,9107 3,1098 3,3252 3,5347 3,7111 3,8318 3,8883 3,8890 3,8574 3,8274 3,8377 3,9275 4,1228 4,4125 4,7324 4,9841 5,0889 5,0376 4,8896 4,7161 4,5455 4,3588 4,1221 3,8233 3,4879 3,1637 2,8824 2,6379 2,4086 2,1914 2,0118 1,9071 1,9047 2,0089 2,1933 2,3934 2,5193 2,4978 2,3190 2,0446 1,7708 1,5793 1,5074
F7    0,5850 0,3835 0,2993 0,3521 0,5226 0,7745 1,0725 1,3631 1,5652 1,6043 1,4558 1,1529 0,7644 0,3733 0,0529 -0,1655 -0,3038 -0,4021 -0,4794 -0,5288 -0,5349 -0,4907 -0,4021 -0,2831 -0,1563 -0,0600 -0,0410 -0,1291 -0,3185 -0,5691 -0,8232 -1,0220 -1,1172 -1,0902 -0,9637 -0,7798 -0,5675 -0,3408 -0,1128 0,1022 0,2908 0,4342 0,5039 0,4710 0,3203 0,0618 -0,2656 -0,6026 -0,8876 -1,0681 -1,1044 -0,9768 -0,6951 -0,3023 0,1394 0,5745 0,9642 1,2793 1,4998 1,6223 1,6605 1,6376 1,5798 1,5175 1,4865 1,5168 1,6178 1,7747 1,9572 2,1275 2,2504 2,3046 2,2851 2,1997 2,0610 1,8840 1,6899 1,5165 1,4227 1,4738 1,7038 2,0832 2,5259 2,9312 3,2228 3,3656 3,3644 3,2520 3,0753 2,8906 2,7546 2,6967 2,6949 2,6860 2,6135 2,4735 2,3140 2,1940 2,1395 2,1314 2,1288 2,1015 2,0443 1,9643 1,8630 1,7357 1,5813 1,4001 1,1844 0,9160 0,5701 0,1190 -0,4567 -1,1474 -1,9063 -2,6626 -3,3433 -3,8929 -4,2821 -4,5089 -4,5957 -4,5797 -4,4935 -4,3452 -4,1151 -3,7782 -3,3279 -2,7772 -2,1483 -1,4658 -0,7554 -0,0448 0,6432 1,3075 1,9721 2,6658 3,4083 4,2135 5,0850 6,0014 6,9102 7,7406 8,4252 8,9211 9,2192 9,3443 9,3474 9,2835 9,1833 9,0499 8,8833 8,6948 8,4954 8,2852 8,0566 7,7961 7,4842 7,1041 6,6582 6,1832 5,7438 5,3975 5,1636 5,0219 4,9281 4,8283 4,6783 4,4624 4,1989 3,9372 3,7418 3,6578 3,6849 3,7831 3,8936 3,9591 3,9457 3,8649 3,7709 3,7328 3,8062 4,0192 4,3642 4,8000 5,2693 5,7265 6,1525 6,5494 6,9289 7,3010 7,6640 8,0060 8,3155 8,5807 8,7859 8,9184 8,9767 8,9639 8,8786 8,7154 8,4774 8,1823 7,8594 7,5479 7,2906 7,1173 7,0413 7,0641 7,1711 7,3241 7,4766 7,5923 7,6502 7,6426 7,5714 7,4416 7,2567 7,0226 6,7542 6,4717 6,1959 5,9561 5,7870 5,6986 5,6592 5,6316 5,6198 5,6614 5,7782 5,9489 6,1243 6,2581 6,3292 6,3436 6,3135 6,2428 6,1363 6,0123 5,9025 5,8416 5,8485 5,9054 5,9699 6,0210 6,0872 6,2099 6,3762 6,5082 6,5297 6,4320 6,2672 6,0995 5,9693 5,8884 5,8512 5,8368 5,8018 5,6935 5,4910 5,2318 4,9887 4,8169 4,7298 4,7139 4,7471 4,8060 4,8752 4,9575 5,0649 5,1923 5,3095 5,3819 5,3935 5,3506 5,2747 5,1958 5,1470 5,1519 5,2100 5,2954 5,3774 5,4458 5,5093 5,5759 5,6398 5,6827 5,6883 5,6606 5,6290 5,6343 5,7105 5,8736 6,1059 6,3506 6,5373 6,6188 6,5897 6,4896 6,3949 6,3869 6,5090 6,7463 7,0383 7,3094 7,4987 7,5815 7,5731 7,5125 7,4366 7,3727 7,3508 7,4036 7,5403 7,7241 7,8861 7,9640 7,9299 7,7867 7,5598 7,2987 7,0657 6,9048 6,8272 6,8249 6,8824 6,9762 7,0739 7,1440 7,1753 7,1815 7,1799 7,1641 7,1017 6,9568 6,7173 6,4058 6,0705 5,7698 5,5597 5,4776 5,5281 5,6739 5,8471 5,9882 6,0803 6,1423 6,1964 6,2410 6,2399 6,1426 5,9350 5,6683 5,4338 5,3117 5,3315 5,4619 5,6399 5,8117 5,9511 6,0525 6,1143 6,1306 6,0996 6,0427 6,0104 6,0551 6,1893 6,3817 6,5944 6,8084 7,0065 7,1507 7,1921 7,1068 6,9196 6,6976 6,5229 6,4588 6,5240 6,6830 6,8594 6,9698 6,9558 6,7932 6,4901 6,0905 5,6794 5,3662 5,2321 5,2672 5,3725 5,4380 5,4020 5,2465 4,9846 4,6649 4,3547 4,1068 3,9390 3,8347 3,7592 3,6875 3,6213 3,5774 3,5705 3,6101 3,6970 3,8161 3,9478 4,0830 4,2167 4,3384 4,4316 4,4742 4,4482 4,3560 4,2266 4,1085 4,0576 4,1241 4,3314 4,6493 4,9931 5,2777 5,4708 5,5878 5,6572 5,6960 5,7015 5,6577 5,5564 5,4055 5,2227 5,0299 4,8526 4,7109 4,6082 4,5319 4,4625 4,3780 4,2547 4,0710 3,8191 3,5224 3,2371 3,0191 2,8867 2,8202 2,7917 2,7933 2,8438 2,9678 3,1613 3,3763 3,5402 3,5931 3,5154 3,3309 3,1000 2,9087 2,8318 2,8963 3,0827 3,3544 3,6742 4,0047 4,3080 4,5500 4,7071 4,7755 4,7730 4,7279 4,6640 4,5981 4,5454 4,5147 4,5000 4,4821 4,4425 4,3793 4,3101 4,2619 4,2567 4,3040 4,3993 4,5235 4,6398 4,7017 4,6760 4,5527 4,3370 4,0410 3,6787 3,2661 2,8318 2,4130 2,0280 1,6688 1,3336 1,0506 0,8575 0,7692 0,7725 0,8502 1,0009 1,2347 1,5542 1,9416 2,3593 2,7688 3,1516 3,5086 3,8463 4,1688 4,4779 4,7775 5,0805 5,4061 5,7663 6,1510 6,5223 6,8299 7,0429 7,1670 7,2269 7,2413 7,2103 7,1080 6,8936 6,5501 6,1159 5,6723 5,3035 5,0572 4,9193 4,8255 4,7098 4,5393 4,3102 4,0309 3,7149 3,3754 3,0191 2,6424 2,2309 1,7701 1,2659 0,7577 0,3118 -0,0042 -0,1524 -0,1343 0,0236 0,2819 0,5867 0,8726 1,0812 1,1861 1,1971 1,1421 1,0478 0,9336 0,8189 0,7305 0,6915 0,7097 0,7917 0,9524 1,1952 1,4963 1,8107 2,0836 2,2555 2,2786 2,1470 1,9053 1,6081 1,2821 0,9363 0,5855 0,2499 -0,0530 -0,3088 -0,5122 -0,6788 -0,8328 -0,9733 -1,0703 -1,1003 -1,0688 -0,9950 -0,8983 -0,8131 -0,7937 -0,8817 -1,0679 -1,2900 -1,4666 -1,5419 -1,5136
