Fp1   -2,2224 -1,8212 -1,4965 -1,2261 -0,9532 -0,6536 -0,3657 -0,1550 -0,0607 -0,0794 -0,1794 -0,3128 -0,4236 -0,4673 -0,4304 -0,3281 -0,1819 -0,0048 0,1820 0,3249 0,3589 0,2606 0,0640 -0,1733 -0,4005 -0,5736 -0,6483 -0,5899 -0,3869 -0,0486 0,3999 0,9118 1,4164 1,8281 2,0592 2,0443 1,7768 1,3260 0,8121 0,3634 0,0738 -0,0346 -0,0123 0,0598 0,1132 0,1085 0,0394 -0,0612 -0,1286 -0,1029 0,0285 0,2326 0,4752 0,7455 1,0329 1,2956 1,4711 1,5228 1,4653 1,3422 1,1944 1,0510 0,9265 0,8070 0,6532 0,4325 0,1430 -0,1906 -0,5311 -0,8397 -1,0861 -1,2571 -1,3617 -1,4239 -1,4641 -1,4853 -1,4695 -1,3921 -1,2467 -1,0600 -0,8892 -0,8095 -0,8888 -1,1468 -1,5254 -1,9063 -2,1768 -2,2890 -2,2581 -2,1126 -1,8557 -1,4887 -1,0616 -0,6730 -0,4126 -0,3164 -0,3734 -0,5526 -0,8155 -1,1255 -1,4577 -1,7967 -2,1249 -2,4255 -2,6962 -2,9553 -3,2253 -3,5012 -3,7333 -3,8381 -3,7301 -3,3652 -2,7689 -2,0346 -1,2931 -0,6637 -0,2263 -0,0203 -0,0384 -0,2284 -0,5185 -0,8439 -1,1539 -1,4120 -1,6019 -1,7314 -1,8144 -1,8479 -1,8076 -1,6591 -1,3705 -0,9304 -0,3698 0,2338 0,7824 1,1969 1,4436 1,5308 1,4854 1,3395 1,1434 0,9704 0,8893 0,9293 1,0737 1,2785 1,4945 1,6775 1,7960 1,8493 1,8861 1,9889 2,2173 2,5590 2,9348 3,2539 3,4659 3,5700 3,5910 3,5654 3,5397 3,5576 3,6413 3,8002 4,0574 4,4426 4,9498 5,5146 6,0396 6,4483 6,7353 6,9698 7,2421 7,6055 8,0524 8,5207 8,9291 9,2270 9,4155 9,5263 9,5801 9,5618 9,4364 9,1867 8,8278 8,3971 7,9484 7,5505 7,2642 7,1029 7,0199 6,9366 6,7902 6,5739 6,3523 6,2284 6,2643 6,4218 6,5767 6,5800 6,3222 5,7763 4,9971 4,0820 3,1346 2,2520 1,5090 0,9421 0,5554 0,3307 0,2335 0,2288 0,2909 0,3994 0,5372 0,6907 0,8492 1,0101 1,1835 1,3802 1,5870 1,7596 1,8504 1,8502 1,7906 1,6946 1,5453 1,3260 1,0687 0,8487 0,7527 0,8513 1,1699 1,6682 2,2538 2,8200 3,2820 3,6023 3,7941 3,8952 3,9399 3,9506 3,9340 3,8761 3,7496 3,5250 3,1791 2,7139 2,1872 1,7112 1,4046 1,3339 1,4795 1,7401 1,9860 2,1366 2,1954 2,2227 2,2739 2,3499 2,3922 2,3288 2,1315 1,8493 1,5982 1,5084 1,6499 1,9864 2,3990 2,7529 2,9548 2,9725 2,8132 2,4952 2,0531 1,5512 1,0738 0,7024 0,4927 0,4523 0,5355 0,6637 0,7643 0,8091 0,8256 0,8738 1,0085 1,2486 1,5712 1,9212 2,2237 2,4105 2,4643 2,4339 2,3929 2,3856 2,4218 2,5017 2,6226 2,7730 2,9374 3,1100 3,2997 3,5201 3,7734 4,0303 4,2425 4,3972 4,5484 4,7690 5,0703 5,3810 5,6096 5,7142 5,7149 5,6713 5,6505 5,6888 5,7722 5,8499 5,8652 5,7850 5,6230 5,4409 5,3132 5,2869 5,3733 5,5549 5,7759 5,9476 5,9842 5,8352 5,4911 4,9829 4,3794 3,7792 3,3027 3,0700 3,1604 3,5784 4,2481 5,0385 5,8059 6,4360 6,8679 7,0990 7,1766 7,1823 7,2075 7,3192 7,5210 7,7393 7,8631 7,8125 7,5807 7,2188 6,7942 6,3617 5,9574 5,6110 5,3675 5,2863 5,4018 5,6828 6,0304 6,3040 6,3618 6,1237 5,6270 5,0123 4,4486 4,0607 3,8988 3,9465 4,1440 4,4150 4,6852 4,8875 4,9797 4,9762 4,9443 4,9549 5,0398 5,1839 5,3399 5,4525 5,4929 5,4742 5,4309 5,3934 5,3925 5,4704 5,6595 5,9486 6,2894 6,6250 6,8896 7,0043 6,9183 6,6565 6,3101 5,9813 5,7384 5,6005 5,5421 5,5190 5,4973 5,4645 5,4201 5,3671 5,3253 5,3405 5,4566 5,6692 5,9144 6,1083 6,2012 6,1918 6,0989 5,9446 5,7694 5,6404 5,6287 5,7738 6,0568 6,4108 6,7697 7,1125 7,4576 7,8081 8,1080 8,2744 8,2672 8,1056 7,8319 7,4939 7,1500 6,8632 6,6882 6,6702 6,8336 7,1548 7,5516 7,9100 8,1344 8,1986 8,1535 8,0694 7,9660 7,8062 7,5505 7,1975 6,7755 6,3252 5,8956 5,5406 5,3141 5,2606 5,3949 5,6865 6,0642 6,4303 6,6828 6,7426 6,5658 6,1509 5,5544 4,8923 4,3027 3,8857 3,6624 3,5854 3,5868 3,6185 3,6492 3,6361 3,5289 3,3209 3,0702 2,8536 2,7137 2,6459 2,6121 2,5681 2,5094 2,4913 2,5901 2,8377 3,1948 3,5774 3,9008 4,1029 4,1486 4,0321 3,7765 3,4273 3,0440 2,6827 2,3740 2,1147 1,8850 1,6754 1,4931 1,3506 1,2587 1,2317 1,2881 1,4410 1,6817 1,9681 2,2313 2,4019 2,4487 2,4009 2,3303 2,3062 2,3650 2,5047 2,6944 2,8859 3,0176 3,0271 2,8778 2,5735 2,1624 1,7412 1,4423 1,3878 1,6306 2,1220 2,7333 3,3233 3,7915 4,0770 4,1413 3,9787 3,6438 3,2437 2,8816 2,6063 2,4145 2,2827 2,1932 2,1417 2,1270 2,1332 2,1333 2,1231 2,1516 2,3038 2,6402 3,1428 3,7169 4,2430 4,6310 4,8388 4,8601 4,7072 4,4070 4,0084 3,5866 3,2301 3,0123 2,9647 3,0576 3,2054 3,3145 3,3399 3,2982 3,2359 3,1830 3,1373 3,0868 3,0280 2,9531 2,8298 2,6051 2,2412 1,7565 1,2318 0,7845 0,5279 0,5261 0,7704 1,1928 1,6981 2,1930 2,6035 2,8729 2,9523 2,8187 2,5079 2,1134 1,7500 1,5076 1,4138 1,4217 1,4529 1,4685 1,4990
Fz    -0,0465 -0,0128 -0,0235 -0,0470 -0,0419 0,0129 0,1007 0,1826 0,2296 0,2417 0,2393 0,2476 0,2897 0,3812 0,5157 0,6612 0,7859 0,8830 0,9651 1,0403 1,0993 1,1232 1,0940 1,0036 0,8631 0,6982 0,5249 0,3373 0,1268 -0,0981 -0,3199 -0,5319 -0,7388 -0,9388 -1,1193 -1,2725 -1,4013 -1,5051 -1,5706 -1,5716 -1,4745 -1,2561 -0,9250 -0,5300 -0,1445 0,1628 0,3562 0,4454 0,4731 0,4853 0,5022 0,5133 0,5007 0,4685 0,4469 0,4677 0,5386 0,6447 0,7657 0,8864 0,9980 1,1017 1,2066 1,3192 1,4346 1,5362 1,5980 1,5904 1,5000 1,3467 1,1748 1,0245 0,9117 0,8273 0,7559 0,6944 0,6519 0,6345 0,6373 0,6491 0,6592 0,6593 0,6491 0,6461 0,6806 0,7706 0,8985 1,0095 1,0399 0,9622 0,8070 0,6379 0,5110 0,4538 0,4654 0,5201 0,5778 0,6033 0,5800 0,5123 0,4200 0,3231 0,2253 0,1143 -0,0283 -0,2215 -0,4777 -0,7885 -1,1186 -1,4143 -1,6191 -1,6915 -1,6182 -1,4205 -1,1525 -0,8917 -0,7196 -0,6951 -0,8262 -1,0617 -1,3188 -1,5251 -1,6431 -1,6705 -1,6312 -1,5598 -1,4801 -1,3929 -1,2801 -1,1162 -0,8767 -0,5383 -0,0837 0,4798 1,1075 1,7332 2,3005 2,7761 3,1435 3,4021 3,5766 3,7191 3,8913 4,1367 4,4638 4,8530 5,2757 5,7027 6,1037 6,4572 6,7693 7,0729 7,3986 7,7451 8,0751 8,3382 8,4971 8,5385 8,4744 8,3409 8,1941 8,0936 8,0774 8,1488 8,2874 8,4699 8,6776 8,8916 9,0953 9,2882 9,4926 9,7366 10,0223 10,3070 10,5220 10,6146 10,5802 10,4615 10,3202 10,2074 10,1451 10,1163 10,0732 9,9640 9,7540 9,4345 9,0249 8,5685 8,1184 7,7190 7,3907 7,1236 6,8870 6,6529 6,4158 6,1950 6,0146 5,8817 5,7774 5,6630 5,4948 5,2405 4,8887 4,4478 3,9379 3,3841 2,8182 2,2832 1,8297 1,4993 1,3089 1,2503 1,3004 1,4315 1,6120 1,7958 1,9252 1,9613 1,9108 1,8205 1,7506 1,7494 1,8395 2,0148 2,2458 2,4920 2,7216 2,9222 3,0912 3,2224 3,3100 3,3562 3,3645 3,3327 3,2601 3,1527 3,0164 2,8499 2,6489 2,4151 2,1606 1,9022 1,6589 1,4534 1,3080 1,2379 1,2486 1,3288 1,4453 1,5511 1,6087 1,6078 1,5552 1,4559 1,3187 1,1716 1,0524 0,9821 0,9520 0,9362 0,9168 0,9014 0,9225 1,0191 1,2130 1,4925 1,8144 2,1219 2,3665 2,5185 2,5739 2,5558 2,4992 2,4288 2,3518 2,2625 2,1524 2,0237 1,8936 1,7839 1,7064 1,6549 1,6100 1,5546 1,4845 1,4051 1,3217 1,2369 1,1548 1,0836 1,0371 1,0283 1,0636 1,1414 1,2540 1,3917 1,5451 1,6972 1,8196 1,8892 1,9121 1,9250 1,9711 2,0753 2,2360 2,4310 2,6346 2,8333 3,0215 3,1876 3,3099 3,3682 3,3642 3,3328 3,3306 3,4074 3,5804 3,8290 4,1031 4,3409 4,4934 4,5409 4,4917 4,3711 4,2098 4,0328 3,8563 3,6958 3,5758 3,5264 3,5690 3,7010 3,8853 4,0601 4,1761 4,2236 4,2205 4,1933 4,1751 4,2023 4,2997 4,4694 4,6893 4,9220 5,1298 5,2794 5,3447 5,3233 5,2499 5,1768 5,1397 5,1426 5,1689 5,2052 5,2557 5,3366 5,4610 5,6296 5,8306 6,0435 6,2449 6,4159 6,5472 6,6404 6,7041 6,7444 6,7526 6,7131 6,6261 6,5103 6,3835 6,2549 6,1341 6,0344 5,9633 5,9096 5,8377 5,6939 5,4328 5,0545 4,6169 4,2129 3,9275 3,8066 3,8476 4,0068 4,2166 4,4140 4,5693 4,6923 4,8137 4,9607 5,1428 5,3471 5,5421 5,6900 5,7646 5,7629 5,7107 5,6583 5,6596 5,7421 5,8957 6,0830 6,2544 6,3626 6,3760 6,2937 6,1549 6,0203 5,9343 5,9091 5,9348 5,9878 6,0348 6,0399 5,9716 5,8077 5,5454 5,2167 4,8897 4,6411 4,5218 4,5448 4,6921 4,9264 5,2066 5,5058 5,8084 6,0908 6,3113 6,4275 6,4194 6,2942 6,0806 5,8295 5,6063 5,4615 5,4064 5,4175 5,4567 5,4878 5,4885 5,4548 5,3955 5,3270 5,2755 5,2689 5,3169 5,4007 5,4842 5,5331 5,5268 5,4653 5,3679 5,2620 5,1690 5,1013 5,0682 5,0786 5,1374 5,2362 5,3474 5,4260 5,4216 5,2965 5,0418 4,6854 4,2839 3,8997 3,5794 3,3459 3,1984 3,1110 3,0334 2,9020 2,6594 2,2753 1,7643 1,1888 0,6385 0,1904 -0,1202 -0,2971 -0,3614 -0,3355 -0,2450 -0,1216 0,0009 0,1015 0,1808 0,2496 0,3078 0,3388 0,3292 0,2894 0,2550 0,2667 0,3456 0,4807 0,6404 0,7922 0,9102 0,9722 0,9582 0,8560 0,6741 0,4496 0,2376 0,0821 -0,0065 -0,0481 -0,0662 -0,0584 0,0128 0,1990 0,5270 0,9717 1,4579 1,8935 2,2095 2,3809 2,4215 2,3709 2,2870 2,2372 2,2834 2,4561 2,7328 3,0472 3,3260 3,5208 3,6179 3,6296 3,5759 3,4719 3,3324 3,1752 3,0175 2,8769 2,7749 2,7270 2,7319 2,7728 2,8290 2,8859 2,9375 2,9841 3,0318 3,0904 3,1690 3,2692 3,3861 3,5143 3,6478 3,7760 3,8841 3,9507 3,9453 3,8415 3,6383 3,3696 3,0949 2,8812 2,7808 2,8073 2,9237 3,0522 3,1028 3,0074 2,7460 2,3524 1,8942 1,4432 1,0533 0,7518 0,5350 0,3767 0,2513 0,1469 0,0564 -0,0270 -0,1037 -0,1651 -0,1977 -0,1902 -0,1389 -0,0451 0,0893 0,2592 0,4538 0,6566 0,8486 1,0192 1,1754 1,3331 1,4961 1,6519 1,7883 1,9030
F3    1,0969 1,0111 0,8349 0,6343 0,4697 0,3706 0,3258 0,3058 0,2982 0,3197 0,3956 0,5341 0,7214 0,9318 1,1358 1,3077 1,4344 1,5123 1,5311 1,4704 1,3188 1,0903 0,8234 0,5718 0,3956 0,3308 0,3519 0,3820 0,3472 0,2122 -0,0268 -0,3587 -0,7516 -1,1406 -1,4471 -1,6255 -1,6861 -1,6795 -1,6666 -1,6842 -1,7219 -1,7313 -1,6673 -1,5202 -1,3142 -1,0818 -0,8345 -0,5506 -0,1983 0,2214 0,6510 0,9933 1,1601 1,1230 0,9219 0,6284 0,3088 0,0154 -0,2084 -0,3320 -0,3415 -0,2337 -0,0132 0,2949 0,6352 0,9381 1,1523 1,2696 1,3240 1,3581 1,3830 1,3704 1,2792 1,0920 0,8355 0,5703 0,3549 0,2143 0,1377 0,0984 0,0740 0,0495 0,0235 0,0196 0,0676 0,1548 0,2055 0,1225 -0,1439 -0,5663 -1,0639 -1,5364 -1,8878 -2,0442 -1,9715 -1,6921 -1,2812 -0,8375 -0,4573 -0,2136 -0,1347 -0,1997 -0,3567 -0,5516 -0,7590 -0,9958 -1,2966 -1,6789 -2,1313 -2,6138 -3,0623 -3,4085 -3,5976 -3,5937 -3,3838 -2,9952 -2,5032 -2,0033 -1,5687 -1,2351 -1,0093 -0,8775 -0,8156 -0,8066 -0,8428 -0,9064 -0,9546 -0,9356 -0,8188 -0,6079 -0,3387 -0,0673 0,1530 0,2900 0,3410 0,3506 0,4140 0,6250 1,0094 1,5202 2,0838 2,6408 3,1661 3,6730 4,1921 4,7404 5,3009 5,8103 6,1705 6,3028 6,2029 5,9405 5,6157 5,3186 5,1066 4,9982 4,9794 5,0187 5,0853 5,1692 5,2866 5,4548 5,6667 5,8996 6,1392 6,3816 6,6217 6,8511 7,0548 7,2031 7,2500 7,1511 6,8966 6,5311 6,1448 5,8489 5,7422 5,8775 6,2431 6,7755 7,3862 7,9810 8,4725 8,7896 8,8842 8,7411 8,3867 7,8771 7,2788 6,6620 6,0910 5,5975 5,1609 4,7259 4,2447 3,7094 3,1574 2,6591 2,2913 2,0959 2,0539 2,1028 2,1842 2,2763 2,3841 2,5025 2,5956 2,6150 2,5329 2,3555 2,1096 1,8262 1,5422 1,2946 1,0926 0,9010 0,6647 0,3534 -0,0125 -0,3713 -0,6384 -0,7193 -0,5449 -0,1252 0,4318 0,9751 1,3991 1,6860 1,8700 1,9836 2,0454 2,0715 2,0771 2,0670 2,0337 1,9693 1,8733 1,7420 1,5549 1,2870 0,9430 0,5775 0,2670 0,0598 -0,0490 -0,1002 -0,1384 -0,1942 -0,2927 -0,4637 -0,7271 -1,0623 -1,3983 -1,6366 -1,6879 -1,5124 -1,1452 -0,6854 -0,2473 0,0927 0,3208 0,4747 0,6151 0,7945 1,0313 1,2963 1,5187 1,6171 1,5473 1,3332 1,0596 0,8389 0,7669 0,8726 1,0891 1,2838 1,3345 1,1978 0,9226 0,6135 0,3792 0,2920 0,3750 0,6071 0,9284 1,2466 1,4667 1,5239 1,3965 1,1090 0,7320 0,3597 0,0688 -0,1086 -0,1712 -0,1191 0,0456 0,2846 0,5128 0,6440 0,6561 0,6106 0,6080 0,7284 1,0087 1,4399 1,9646 2,4894 2,9089 3,1299 3,0980 2,8214 2,3758 1,8873 1,4887 1,2693 1,2501 1,3884 1,5969 1,7810 1,8875 1,9253 1,9378 1,9676 2,0487 2,2066 2,4484 2,7669 3,1589 3,6206 4,1266 4,6249 5,0467 5,3202 5,3873 5,2129 4,7908 4,1634 3,4487 2,8215 2,4357 2,3494 2,5104 2,7981 3,0859 3,2876 3,3767 3,3861 3,3814 3,4163 3,5038 3,6278 3,7739 3,9375 4,1079 4,2670 4,4073 4,5338 4,6427 4,7125 4,7220 4,6734 4,5995 4,5507 4,5696 4,6755 4,8624 5,1058 5,3672 5,5956 5,7299 5,7177 5,5469 5,2573 4,9219 4,6114 4,3611 4,1593 3,9706 3,7868 3,6588 3,6745 3,8984 4,3319 4,9159 5,5542 6,1384 6,5738 6,8088 6,8498 6,7417 6,5331 6,2680 6,0024 5,7977 5,6928 5,6942 5,7870 5,9406 6,1052 6,2163 6,2213 6,1182 5,9689 5,8633 5,8615 5,9652 6,1392 6,3461 6,5466 6,6922 6,7436 6,6911 6,5539 6,3697 6,1861 6,0478 5,9787 5,9606 5,9320 5,8183 5,5740 5,2019 4,7465 4,2809 3,8829 3,6053 3,4623 3,4361 3,4905 3,5880 3,7052 3,8423 4,0210 4,2662 4,5811 4,9370 5,2786 5,5327 5,6275 5,5223 5,2270 4,8024 4,3435 3,9470 3,6810 3,5782 3,6433 3,8515 4,1465 4,4566 4,7142 4,8670 4,8937 4,8178 4,6927 4,5661 4,4544 4,3408 4,1923 3,9770 3,6782 3,3114 2,9312 2,6082 2,3983 2,3313 2,4147 2,6322 2,9325 3,2271 3,4180 3,4395 3,2781 2,9670 2,5613 2,1045 1,6070 1,0559 0,4412 -0,2232 -0,8961 -1,5207 -2,0412 -2,4171 -2,6290 -2,6793 -2,5957 -2,4303 -2,2286 -1,9842 -1,6394 -1,1456 -0,5144 0,1881 0,8791 1,4832 1,9349 2,1808 2,1886 1,9489 1,4698 0,7766 -0,0733 -0,9777 -1,7981 -2,4009 -2,7055 -2,7141 -2,5105 -2,2265 -1,9782 -1,8007 -1,6398 -1,4063 -1,0354 -0,5088 0,1432 0,8333 1,4351 1,8474 2,0479 2,0740 1,9711 1,7780 1,5457 1,3411 1,2212 1,2006 1,2449 1,3006 1,3408 1,3857 1,4786 1,6375 1,8317 2,0082 2,1286 2,1758 2,1394 2,0192 1,8459 1,6833 1,5963 1,6223 1,7770 2,0669 2,4835 2,9882 3,5129 3,9793 4,3207 4,4921 4,4767 4,2931 3,9888 3,6162 3,2119 2,7918 2,3644 1,9425 1,5401 1,1706 0,8615 0,6576 0,5969 0,6787 0,8454 0,9958 1,0361 0,9378 0,7469 0,5403 0,3831 0,3167 0,3526 0,4616 0,5801 0,6413 0,5979 0,4298 0,1510 -0,1837 -0,4906 -0,6827 -0,6979 -0,5232 -0,2024 0,1844 0,5544 0,8505 1,0503 1,1622 1,2188 1,2620 1,3251 1,4282 1,5873 1,8096 2,0613
F7    -0,5428 -0,3314 -0,1301 0,0717 0,2871 0,5136 0,7300 0,9127 1,0546 1,1626 1,2389 1,2749 1,2607 1,1935 1,0762 0,9149 0,7245 0,5298 0,3517 0,1944 0,0514 -0,0821 -0,2122 -0,3498 -0,4991 -0,6461 -0,7638 -0,8247 -0,8084 -0,7043 -0,5162 -0,2695 -0,0114 0,2000 0,3110 0,2850 0,1185 -0,1518 -0,4587 -0,7265 -0,8944 -0,9370 -0,8721 -0,7473 -0,6170 -0,5218 -0,4774 -0,4712 -0,4666 -0,4243 -0,3253 -0,1738 0,0187 0,2387 0,4614 0,6485 0,7678 0,8137 0,8047 0,7598 0,6860 0,5858 0,4683 0,3486 0,2422 0,1613 0,1087 0,0745 0,0475 0,0271 0,0170 0,0139 0,0092 0,0023 0,0118 0,0705 0,2043 0,4076 0,6357 0,8213 0,9066 0,8646 0,6987 0,4390 0,1439 -0,1125 -0,2757 -0,3345 -0,3111 -0,2269 -0,0836 0,1208 0,3626 0,5883 0,7411 0,7919 0,7453 0,6279 0,4768 0,3288 0,2069 0,1093 0,0157 -0,0941 -0,2291 -0,3879 -0,5618 -0,7323 -0,8708 -0,9435 -0,9212 -0,7882 -0,5509 -0,2466 0,0602 0,2997 0,4185 0,3869 0,2042 -0,0948 -0,4472 -0,7815 -1,0327 -1,1565 -1,1411 -1,0054 -0,7841 -0,5143 -0,2255 0,0731 0,3952 0,7617 1,1795 1,6317 2,0817 2,4895 2,8282 3,0863 3,2591 3,3503 3,3844 3,4097 3,4780 3,6129 3,7942 3,9682 4,0799 4,1030 4,0496 3,9602 3,8856 3,8705 3,9380 4,0772 4,2456 4,3980 4,5162 4,6114 4,7010 4,7944 4,8978 5,0197 5,1623 5,3174 5,4731 5,6193 5,7458 5,8371 5,8721 5,8413 5,7686 5,7111 5,7254 5,8354 6,0288 6,2709 6,5207 6,7473 6,9336 7,0721 7,1571 7,1794 7,1310 7,0185 6,8639 6,6893 6,5050 6,3091 6,0914 5,8391 5,5470 5,2299 4,9276 4,6976 4,5950 4,6460 4,8293 5,0785 5,3050 5,4250 5,3812 5,1589 4,7830 4,3024 3,7741 3,2508 2,7720 2,3638 2,0463 1,8318 1,7193 1,6956 1,7377 1,8143 1,8926 1,9450 1,9541 1,9224 1,8743 1,8430 1,8500 1,8956 1,9677 2,0604 2,1791 2,3218 2,4636 2,5731 2,6395 2,6812 2,7335 2,8283 2,9733 3,1461 3,3017 3,3843 3,3432 3,1576 2,8538 2,4934 2,1461 1,8683 1,6906 1,6095 1,5911 1,5917 1,5804 1,5464 1,4966 1,4540 1,4518 1,5154 1,6386 1,7768 1,8762 1,9145 1,9122 1,9071 1,9201 1,9383 1,9231 1,8377 1,6776 1,4815 1,3211 1,2680 1,3592 1,5838 1,8926 2,2171 2,4880 2,6542 2,6939 2,6167 2,4637 2,2956 2,1685 2,1150 2,1385 2,2174 2,3174 2,4053 2,4586 2,4727 2,4618 2,4477 2,4459 2,4624 2,4976 2,5502 2,6157 2,6846 2,7495 2,8078 2,8514 2,8591 2,8069 2,6850 2,5047 2,2951 2,0967 1,9523 1,8951 1,9375 2,0660 2,2418 2,4182 2,5721 2,7200 2,8955 3,1104 3,3387 3,5377 3,6857 3,7952 3,8938 3,9974 4,0969 4,1614 4,1554 4,0612 3,8924 3,6919 3,5161 3,4108 3,3931 3,4560 3,5785 3,7220 3,8328 3,8632 3,7888 3,6064 3,3355 3,0280 2,7634 2,6179 2,6386 2,8348 3,1788 3,6119 4,0619 4,4581 4,7411 4,8731 4,8518 4,7173 4,5398 4,3926 4,3238 4,3415 4,4176 4,5089 4,5836 4,6407 4,7023 4,7894 4,9045 5,0350 5,1668 5,2928 5,4103 5,5102 5,5707 5,5611 5,4484 5,2070 4,8400 4,4048 4,0018 3,7229 3,6090 3,6468 3,7867 3,9646 4,1239 4,2265 4,2521 4,1981 4,0851 3,9547 3,8497 3,7926 3,7770 3,7752 3,7564 3,7070 3,6393 3,5805 3,5545 3,5754 3,6489 3,7699 3,9211 4,0776 4,2072 4,2679 4,2209 4,0601 3,8317 3,6139 3,4726 3,4331 3,4831 3,5888 3,7145 3,8333 3,9248 3,9738 3,9786 3,9570 3,9407 3,9616 4,0327 4,1361 4,2253 4,2423 4,1409 3,9077 3,5702 3,1941 2,8646 2,6596 2,6252 2,7630 3,0372 3,3972 3,7977 4,1982 4,5514 4,8056 4,9288 4,9267 4,8296 4,6679 4,4632 4,2345 4,0031 3,7993 3,6617 3,6158 3,6519 3,7309 3,8091 3,8570 3,8730 3,8827 3,9097 3,9436 3,9453 3,8856 3,7660 3,6069 3,4317 3,2645 3,1332 3,0698 3,1031 3,2392 3,4530 3,7007 3,9341 4,1075 4,1830 4,1354 3,9588 3,6718 3,3154 2,9372 2,5738 2,2473 1,9730 1,7672 1,6400 1,5788 1,5401 1,4658 1,3194 1,1088 0,8752 0,6644 0,5062 0,4072 0,3558 0,3365 0,3385 0,3491 0,3459 0,3050 0,2170 0,0906 -0,0571 -0,2076 -0,3430 -0,4515 -0,5338 -0,6011 -0,6655 -0,7354 -0,8149 -0,8958 -0,9497 -0,9400 -0,8497 -0,6935 -0,5093 -0,3395 -0,2168 -0,1574 -0,1615 -0,2092 -0,2614 -0,2731 -0,2067 -0,0413 0,2169 0,5336 0,8601 1,1476 1,3555 1,4556 1,4409 1,3370 1,1964 1,0775 1,0305 1,0930 1,2752 1,5437 1,8278 2,0526 2,1754 2,1944 2,1274 1,9898 1,7972 1,5829 1,4011 1,3016 1,2987 1,3644 1,4482 1,5132 1,5559 1,5904 1,6208 1,6326 1,6096 1,5579 1,5091 1,5008 1,5498 1,6438 1,7541 1,8539 1,9245 1,9515 1,9209 1,8193 1,6435 1,4147 1,1805 0,9961 0,8978 0,8883 0,9404 1,0141 1,0730 1,0966 1,0822 1,0308 0,9357 0,7928 0,6117 0,4075 0,1845 -0,0618 -0,3262 -0,5831 -0,7968 -0,9352 -0,9777 -0,9237 -0,7980 -0,6378 -0,4743 -0,3241 -0,1895 -0,0689 0,0316 0,1036 0,1513 0,1894 0,2283 0,2681 0,2983 0,2978 0,2490 0,1606 0,0743
