Fp1   2,7027 2,6930 2,6686 2,6213 2,5354 2,3900 2,1707 1,8870 1,5701 1,2545 0,9610 0,6952 0,4525 0,2211 -0,0131 -0,2589 -0,5144 -0,7672 -1,0007 -1,1981 -1,3411 -1,4132 -1,4119 -1,3557 -1,2744 -1,1972 -1,1494 -1,1496 -1,2009 -1,2865 -1,3791 -1,4507 -1,4746 -1,4292 -1,3066 -1,1178 -0,8892 -0,6510 -0,4287 -0,2403 -0,0919 0,0231 0,1155 0,1872 0,2339 0,2578 0,2737 0,3002 0,3500 0,4269 0,5257 0,6389 0,7650 0,9127 1,0931 1,3086 1,5482 1,7876 1,9935 2,1355 2,2031 2,2077 2,1651 2,0794 1,9416 1,7391 1,4638 1,1163 0,7064 0,2540 -0,2096 -0,6446 -1,0114 -1,2854 -1,4700 -1,5896 -1,6670 -1,7087 -1,7159 -1,6996 -1,6776 -1,6618 -1,6534 -1,6486 -1,6441 -1,6385 -1,6312 -1,6214 -1,6066 -1,5819 -1,5418 -1,4820 -1,3964 -1,2770 -1,1212 -0,9386 -0,7467 -0,5660 -0,4198 -0,3328 -0,3190 -0,3726 -0,4714 -0,5936 -0,7375 -0,9218 -1,1612 -1,4459 -1,7500 -2,0542 -2,3489 -2,6223 -2,8554 -3,0337 -3,1610 -3,2575 -3,3416 -3,4199 -3,4907 -3,5493 -3,5903 -3,6071 -3,5953 -3,5609 -3,5220 -3,4992 -3,5047 -3,5384 -3,5909 -3,6454 -3,6790 -3,6669 -3,5899 -3,4425 -3,2348 -2,9872 -2,7219 -2,4550 -2,1921 -1,9307 -1,6652 -1,3973 -1,1463 -0,9422 -0,8045 -0,7325 -0,7102 -0,7127 -0,7123 -0,6881 -0,6345 -0,5622 -0,4913 -0,4388 -0,4147 -0,4239 -0,4669 -0,5367 -0,6189 -0,6942 -0,7409 -0,7428 -0,6983 -0,6212 -0,5323 -0,4508 -0,3871 -0,3386 -0,2952 -0,2452 -0,1776 -0,0836 0,0387 0,1830 0,3354 0,4676 0,5404 0,5251 0,4181 0,2370 0,0102 -0,2303 -0,4543 -0,6391 -0,7782 -0,8833 -0,9727 -1,0580 -1,1443 -1,2351 -1,3341 -1,4413 -1,5512 -1,6566 -1,7542 -1,8463 -1,9325 -2,0036 -2,0467 -2,0602 -2,0587 -2,0580 -2,0573 -2,0430 -2,0078 -1,9581 -1,9062 -1,8636 -1,8393 -1,8391 -1,8653 -1,9163 -1,9884 -2,0742 -2,1588 -2,2182 -2,2243 -2,1598 -2,0309 -1,8625 -1,6782 -1,4863 -1,2859 -1,0791 -0,8748 -0,6805 -0,4895 -0,2799 -0,0304 0,2665 0,6090 0,9920 1,4034 1,8228 2,2256 2,5861 2,8849 3,1140 3,2754 3,3757 3,4276 3,4452 3,4368 3,4046 3,3481 3,2647 3,1504 2,9994 2,8023 2,5512 2,2505 1,9216 1,5952 1,2978 1,0424 0,8282 0,6487 0,4959 0,3560 0,2104 0,0476 -0,1281 -0,2997 -0,4425 -0,5287 -0,5341 -0,4432 -0,2561 0,0059 0,3049 0,6018 0,8667 1,0798 1,2356 1,3513 1,4619 1,5975 1,7588 1,9160 2,0309 2,0777 2,0532 1,9751 1,8696 1,7618 1,6720 1,6173 1,6112 1,6577 1,7512 1,8836 2,0489 2,2391 2,4442 2,6536 2,8540 3,0284 3,1636 3,2593 3,3288 3,3913 3,4597 3,5330 3,5980 3,6387 3,6432 3,6095 3,5470 3,4681 3,3762 3,2630 3,1166 2,9302 2,7065 2,4570 2,1963 1,9363 1,6830 1,4404 1,2193 1,0397 0,9237 0,8845 0,9218 1,0219 1,1584 1,2942 1,3968 1,4555 1,4788 1,4742 1,4413 1,3856 1,3260 1,2857 1,2808 1,3159 1,3841 1,4724 1,5722 1,6876 1,8312 2,0076 2,2040 2,3970 2,5649 2,7003 2,8149 2,9291 3,0544 3,1878 3,3201 3,4419 3,5401 3,6001 3,6158 3,5896 3,5232 3,4153 3,2660 3,0808 2,8676 2,6362 2,3981 2,1649 1,9472 1,7540 1,5911 1,4569 1,3431 1,2464 1,1757 1,1398 1,1362 1,1549 1,1866 1,2229 1,2567 1,2876 1,3241 1,3779 1,4522 1,5307 1,5815 1,5791 1,5220 1,4326 1,3413 1,2685 1,2180 1,1875 1,1750 1,1745 1,1700 1,1375 1,0547 0,9166 0,7436 0,5719 0,4339 0,3461 0,3083 0,3089 0,3320 0,3627 0,3897 0,4040 0,3989 0,3738 0,3368 0,2979 0,2592 0,2129 0,1487 0,0613 -0,0458 -0,1608 -0,2677 -0,3489 -0,3917 -0,3932 -0,3620 -0,3143 -0,2688 -0,2409 -0,2373 -0,2519 -0,2692 -0,2712 -0,2434 -0,1791 -0,0814 0,0394 0,1714 0,3046 0,4325 0,5508 0,6548 0,7423 0,8199 0,9026 0,9999 1,1080 1,2168 1,3230 1,4324 1,5492 1,6700 1,7848 1,8802 1,9434 1,9731 1,9839 1,9968 2,0241 2,0652 2,1114 2,1492 2,1613 2,1329 2,0622 1,9619 1,8486 1,7348 1,6327 1,5566 1,5132 1,4906 1,4636 1,4131 1,3351 1,2326 1,1021 0,9317 0,7098 0,4342 0,1086 -0,2618 -0,6595 -1,0472 -1,3804 -1,6261 -1,7694 -1,8092 -1,7585 -1,6479 -1,5230 -1,4273 -1,3832 -1,3849 -1,4067 -1,4158 -1,3827 -1,2910 -1,1386 -0,9316 -0,6789 -0,3953 -0,1060 0,1578 0,3697 0,5166 0,5992 0,6286 0,6206 0,5840 0,5169 0,4224 0,3239 0,2551 0,2408 0,2902 0,3979 0,5446 0,7033 0,8492 0,9682 1,0568 1,1220 1,1805 1,2538 1,3590 1,4997 1,6643 1,8303 1,9655 2,0354 2,0185 1,9110 1,7189 1,4522 1,1264 0,7672 0,4074 0,0797 -0,1939 -0,4088 -0,5775 -0,7201 -0,8481 -0,9590 -1,0470 -1,1121 -1,1570 -1,1811 -1,1823 -1,1627 -1,1305 -1,0968 -1,0707 -1,0528 -1,0298 -0,9804 -0,8906 -0,7662 -0,6291 -0,5023 -0,3994 -0,3234 -0,2718 -0,2394 -0,2219 -0,2214 -0,2440 -0,2912 -0,3594 -0,4478 -0,5584 -0,6889 -0,8303 -0,9712 -1,1016 -1,2126 -1,2966 -1,3496 -1,3706 -1,3615 -1,3309 -1,2944 -1,2687 -1,2675 -1,3030 -1,3876 -1,5267 -1,7163 -1,9453 -2,1976 -2,4542 -2,6969 -2,9100 -3,0803 -3,1992 -3,2641 -3,2802 -3,2633 -3,2395 -3,2379 -3,2763 -3,3494 -3,4339
Fz    2,5439 2,5231 2,4935 2,4429 2,3555 2,2139 2,0101 1,7577 1,4860 1,2190 0,9666 0,7286 0,4998 0,2704 0,0287 -0,2308 -0,5016 -0,7671 -1,0083 -1,2083 -1,3514 -1,4243 -1,4221 -1,3588 -1,2674 -1,1886 -1,1573 -1,1910 -1,2813 -1,3976 -1,5005 -1,5531 -1,5286 -1,4189 -1,2372 -1,0134 -0,7821 -0,5701 -0,3919 -0,2509 -0,1390 -0,0385 0,0663 0,1771 0,2845 0,3845 0,4849 0,5995 0,7388 0,9045 1,0892 1,2810 1,4720 1,6629 1,8605 2,0689 2,2849 2,4961 2,6832 2,8271 2,9188 2,9594 2,9483 2,8793 2,7456 2,5429 2,2711 1,9395 1,5671 1,1783 0,8005 0,4619 0,1858 -0,0201 -0,1728 -0,3076 -0,4522 -0,6068 -0,7559 -0,8880 -0,9970 -1,0758 -1,1188 -1,1283 -1,1130 -1,0830 -1,0477 -1,0150 -0,9879 -0,9643 -0,9393 -0,9073 -0,8583 -0,7772 -0,6523 -0,4878 -0,3065 -0,1408 -0,0205 0,0382 0,0414 0,0135 -0,0183 -0,0427 -0,0764 -0,1624 -0,3453 -0,6399 -1,0260 -1,4633 -1,9024 -2,2905 -2,5864 -2,7766 -2,8785 -2,9271 -2,9531 -2,9742 -3,0040 -3,0578 -3,1461 -3,2652 -3,3982 -3,5279 -3,6507 -3,7783 -3,9260 -4,1006 -4,2968 -4,4977 -4,6748 -4,7958 -4,8349 -4,7806 -4,6375 -4,4216 -4,1548 -3,8627 -3,5711 -3,3003 -3,0577 -2,8422 -2,6537 -2,4953 -2,3659 -2,2577 -2,1588 -2,0567 -1,9421 -1,8093 -1,6553 -1,4794 -1,2850 -1,0789 -0,8736 -0,6855 -0,5237 -0,3794 -0,2306 -0,0566 0,1521 0,3923 0,6477 0,8918 1,0954 1,2382 1,3181 1,3527 1,3679 1,3850 1,4203 1,4873 1,5865 1,7003 1,7995 1,8493 1,8205 1,7052 1,5225 1,3064 1,0908 0,9017 0,7527 0,6430 0,5575 0,4697 0,3560 0,2085 0,0345 -0,1542 -0,3460 -0,5291 -0,6900 -0,8162 -0,9040 -0,9649 -1,0192 -1,0828 -1,1598 -1,2461 -1,3337 -1,4081 -1,4488 -1,4398 -1,3829 -1,2989 -1,2144 -1,1500 -1,1170 -1,1193 -1,1538 -1,2119 -1,2826 -1,3540 -1,4127 -1,4470 -1,4479 -1,4081 -1,3223 -1,1898 -1,0156 -0,8078 -0,5781 -0,3433 -0,1260 0,0521 0,1851 0,2906 0,3995 0,5380 0,7207 0,9494 1,2120 1,4868 1,7511 1,9840 2,1703 2,3064 2,3995 2,4616 2,5026 2,5248 2,5228 2,4930 2,4369 2,3559 2,2483 2,1111 1,9413 1,7347 1,4903 1,2163 0,9287 0,6453 0,3793 0,1357 -0,0869 -0,2941 -0,4975 -0,7097 -0,9320 -1,1509 -1,3441 -1,4906 -1,5759 -1,5931 -1,5390 -1,4150 -1,2339 -1,0198 -0,7982 -0,5876 -0,4018 -0,2536 -0,1476 -0,0723 -0,0067 0,0607 0,1217 0,1569 0,1514 0,1061 0,0393 -0,0233 -0,0606 -0,0625 -0,0276 0,0425 0,1430 0,2672 0,4125 0,5799 0,7690 0,9760 1,1932 1,4039 1,5822 1,7077 1,7786 1,8127 1,8363 1,8758 1,9506 2,0650 2,2032 2,3357 2,4383 2,5058 2,5459 2,5627 2,5491 2,4935 2,3911 2,2490 2,0807 1,8953 1,6931 1,4703 1,2270 0,9726 0,7270 0,5177 0,3716 0,3032 0,3055 0,3498 0,3939 0,4006 0,3560 0,2710 0,1663 0,0595 -0,0344 -0,0999 -0,1246 -0,1054 -0,0528 0,0146 0,0821 0,1469 0,2195 0,3173 0,4541 0,6335 0,8481 1,0808 1,3133 1,5348 1,7434 1,9419 2,1381 2,3436 2,5632 2,7826 2,9764 3,1299 3,2425 3,3159 3,3483 3,3420 3,3085 3,2652 3,2247 3,1889 3,1512 3,1054 3,0522 2,9943 2,9267 2,8379 2,7245 2,5986 2,4739 2,3529 2,2291 2,0950 1,9473 1,7925 1,6516 1,5541 1,5241 1,5653 1,6521 1,7389 1,7861 1,7810 1,7394 1,6896 1,6508 1,6240 1,5998 1,5711 1,5323 1,4700 1,3598 1,1795 0,9303 0,6427 0,3616 0,1271 -0,0372 -0,1290 -0,1637 -0,1638 -0,1461 -0,1211 -0,1030 -0,1106 -0,1531 -0,2225 -0,3029 -0,3839 -0,4645 -0,5508 -0,6522 -0,7744 -0,9141 -1,0590 -1,1916 -1,2956 -1,3618 -1,3904 -1,3892 -1,3696 -1,3417 -1,3082 -1,2633 -1,1986 -1,1087 -0,9923 -0,8487 -0,6795 -0,4925 -0,3010 -0,1179 0,0487 0,1941 0,3126 0,3990 0,4568 0,5007 0,5461 0,5988 0,6569 0,7208 0,7936 0,8707 0,9364 0,9740 0,9750 0,9423 0,8886 0,8322 0,7886 0,7630 0,7500 0,7370 0,7094 0,6566 0,5744 0,4647 0,3345 0,1932 0,0517 -0,0755 -0,1725 -0,2306 -0,2573 -0,2746 -0,3080 -0,3763 -0,4915 -0,6644 -0,9078 -1,2294 -1,6234 -2,0749 -2,5643 -3,0594 -3,5132 -3,8787 -4,1266 -4,2498 -4,2595 -4,1822 -4,0554 -3,9187 -3,8027 -3,7209 -3,6677 -3,6245 -3,5672 -3,4733 -3,3288 -3,1332 -2,8994 -2,6474 -2,3989 -2,1751 -1,9944 -1,8683 -1,7976 -1,7749 -1,7885 -1,8282 -1,8940 -1,9946 -2,1263 -2,2597 -2,3538 -2,3795 -2,3292 -2,2146 -2,0583 -1,8844 -1,7111 -1,5499 -1,4093 -1,2944 -1,1991 -1,1042 -0,9865 -0,8305 -0,6349 -0,4116 -0,1827 0,0226 0,1735 0,2448 0,2223 0,1059 -0,0920 -0,3501 -0,6383 -0,9189 -1,1558 -1,3308 -1,4550 -1,5588 -1,6666 -1,7819 -1,8921 -1,9783 -2,0219 -2,0153 -1,9694 -1,9089 -1,8583 -1,8319 -1,8329 -1,8537 -1,8732 -1,8609 -1,7908 -1,6545 -1,4653 -1,2498 -1,0357 -0,8437 -0,6883 -0,5784 -0,5155 -0,4965 -0,5152 -0,5614 -0,6204 -0,6797 -0,7347 -0,7877 -0,8466 -0,9240 -1,0303 -1,1642 -1,3142 -1,4676 -1,6136 -1,7461 -1,8688 -1,9940 -2,1320 -2,2891 -2,4730 -2,6937 -2,9528 -3,2374 -3,5284 -3,8127 -4,0850 -4,3416 -4,5732 -4,7663 -4,9073 -4,9863 -5,0025 -4,9713 -4,9242 -4,8954 -4,9036 -4,9450 -5,0017
F3    2,3630 2,3864 2,3888 2,3670 2,3112 2,2079 2,0503 1,8453 1,6079 1,3500 1,0782 0,7995 0,5240 0,2626 0,0240 -0,1868 -0,3695 -0,5279 -0,6686 -0,7946 -0,9016 -0,9817 -1,0332 -1,0655 -1,0932 -1,1287 -1,1822 -1,2605 -1,3594 -1,4610 -1,5406 -1,5717 -1,5319 -1,4138 -1,2333 -1,0232 -0,8181 -0,6409 -0,5008 -0,3983 -0,3259 -0,2670 -0,2032 -0,1258 -0,0343 0,0751 0,2128 0,3855 0,5897 0,8142 1,0449 1,2685 1,4753 1,6634 1,8379 2,0056 2,1704 2,3273 2,4594 2,5456 2,5772 2,5607 2,5057 2,4152 2,2864 2,1148 1,8986 1,6446 1,3671 1,0819 0,8044 0,5521 0,3426 0,1847 0,0704 -0,0238 -0,1187 -0,2176 -0,3118 -0,3979 -0,4807 -0,5650 -0,6504 -0,7342 -0,8126 -0,8799 -0,9285 -0,9528 -0,9529 -0,9310 -0,8877 -0,8215 -0,7298 -0,6095 -0,4602 -0,2902 -0,1184 0,0308 0,1340 0,1782 0,1698 0,1314 0,0878 0,0483 -0,0036 -0,1056 -0,2946 -0,5818 -0,9481 -1,3565 -1,7630 -2,1235 -2,4033 -2,5869 -2,6807 -2,7076 -2,6957 -2,6719 -2,6613 -2,6839 -2,7458 -2,8366 -2,9396 -3,0462 -3,1618 -3,2969 -3,4560 -3,6342 -3,8198 -3,9955 -4,1369 -4,2171 -4,2153 -4,1256 -3,9621 -3,7535 -3,5325 -3,3254 -3,1478 -3,0028 -2,8819 -2,7719 -2,6667 -2,5701 -2,4886 -2,4247 -2,3732 -2,3204 -2,2476 -2,1370 -1,9783 -1,7735 -1,5360 -1,2849 -1,0433 -0,8347 -0,6721 -0,5474 -0,4378 -0,3224 -0,1925 -0,0490 0,1033 0,2569 0,4043 0,5412 0,6681 0,7871 0,8974 0,9961 1,0855 1,1736 1,2634 1,3460 1,4048 1,4188 1,3699 1,2532 1,0818 0,8807 0,6784 0,5027 0,3746 0,2972 0,2479 0,1850 0,0723 -0,0969 -0,2993 -0,5041 -0,6934 -0,8627 -1,0091 -1,1249 -1,2071 -1,2650 -1,3146 -1,3680 -1,4274 -1,4884 -1,5459 -1,5932 -1,6185 -1,6107 -1,5735 -1,5283 -1,5014 -1,5096 -1,5548 -1,6282 -1,7172 -1,8122 -1,9082 -2,0015 -2,0842 -2,1420 -2,1569 -2,1116 -1,9973 -1,8189 -1,5926 -1,3368 -1,0669 -0,7966 -0,5427 -0,3229 -0,1459 -0,0062 0,1103 0,2207 0,3438 0,4974 0,6872 0,9013 1,1159 1,3032 1,4430 1,5312 1,5774 1,5957 1,6001 1,6006 1,6001 1,5971 1,5864 1,5599 1,5078 1,4231 1,2996 1,1293 0,9069 0,6381 0,3412 0,0400 -0,2439 -0,4970 -0,7123 -0,8876 -1,0296 -1,1545 -1,2766 -1,3984 -1,5098 -1,5954 -1,6450 -1,6567 -1,6309 -1,5667 -1,4680 -1,3465 -1,2158 -1,0857 -0,9659 -0,8673 -0,7937 -0,7337 -0,6680 -0,5880 -0,5035 -0,4356 -0,4015 -0,4034 -0,4255 -0,4426 -0,4313 -0,3778 -0,2820 -0,1540 -0,0056 0,1553 0,3268 0,5079 0,6941 0,8776 1,0502 1,2010 1,3173 1,3922 1,4299 1,4444 1,4543 1,4786 1,5322 1,6205 1,7308 1,8362 1,9135 1,9575 1,9751 1,9701 1,9364 1,8614 1,7354 1,5608 1,3518 1,1256 0,8939 0,6626 0,4358 0,2207 0,0275 -0,1323 -0,2464 -0,3046 -0,3055 -0,2642 -0,2139 -0,1929 -0,2250 -0,3099 -0,4331 -0,5761 -0,7174 -0,8321 -0,8970 -0,9012 -0,8522 -0,7680 -0,6623 -0,5379 -0,3889 -0,2068 0,0096 0,2475 0,4849 0,7012 0,8862 1,0436 1,1871 1,3330 1,4958 1,6861 1,9057 2,1367 2,3464 2,5087 2,6161 2,6713 2,6767 2,6353 2,5573 2,4603 2,3608 2,2673 2,1802 2,0996 2,0315 1,9846 1,9590 1,9434 1,9253 1,8982 1,8576 1,7973 1,7129 1,6032 1,4703 1,3260 1,1961 1,1110 1,0895 1,1279 1,1997 1,2644 1,2865 1,2512 1,1677 1,0580 0,9417 0,8286 0,7241 0,6372 0,5774 0,5435 0,5148 0,4609 0,3638 0,2294 0,0787 -0,0663 -0,1905 -0,2883 -0,3611 -0,4102 -0,4348 -0,4370 -0,4308 -0,4383 -0,4746 -0,5362 -0,6055 -0,6665 -0,7183 -0,7750 -0,8537 -0,9630 -1,0985 -1,2427 -1,3698 -1,4585 -1,5030 -1,5093 -1,4860 -1,4400 -1,3772 -1,3005 -1,2077 -1,0918 -0,9462 -0,7676 -0,5583 -0,3266 -0,0864 0,1457 0,3553 0,5328 0,6731 0,7705 0,8198 0,8262 0,8090 0,7916 0,7898 0,8108 0,8579 0,9303 1,0176 1,0996 1,1548 1,1709 1,1483 1,1011 1,0506 1,0158 1,0023 0,9997 0,9859 0,9383 0,8446 0,7080 0,5433 0,3691 0,2005 0,0476 -0,0795 -0,1686 -0,2132 -0,2235 -0,2272 -0,2548 -0,3255 -0,4468 -0,6231 -0,8600 -1,1575 -1,5046 -1,8829 -2,2720 -2,6467 -2,9774 -3,2385 -3,4158 -3,5062 -3,5174 -3,4692 -3,3916 -3,3155 -3,2635 -3,2438 -3,2513 -3,2700 -3,2763 -3,2433 -3,1504 -2,9919 -2,7776 -2,5273 -2,2622 -2,0003 -1,7588 -1,5523 -1,3886 -1,2707 -1,2021 -1,1891 -1,2405 -1,3618 -1,5374 -1,7220 -1,8616 -1,9214 -1,8963 -1,8048 -1,6781 -1,5446 -1,4185 -1,3010 -1,1913 -1,0914 -1,0004 -0,9108 -0,8116 -0,6951 -0,5620 -0,4233 -0,2997 -0,2156 -0,1924 -0,2447 -0,3778 -0,5872 -0,8586 -1,1696 -1,4878 -1,7753 -2,0033 -2,1667 -2,2849 -2,3861 -2,4864 -2,5809 -2,6536 -2,6891 -2,6776 -2,6198 -2,5300 -2,4322 -2,3502 -2,3003 -2,2891 -2,3125 -2,3514 -2,3743 -2,3521 -2,2729 -2,1453 -1,9909 -1,8341 -1,6941 -1,5806 -1,4935 -1,4260 -1,3707 -1,3247 -1,2885 -1,2634 -1,2528 -1,2624 -1,2960 -1,3527 -1,4305 -1,5286 -1,6436 -1,7687 -1,8992 -2,0337 -2,1701 -2,3055 -2,4374 -2,5656 -2,6961 -2,8430 -3,0193 -3,2203 -3,4221 -3,6022 -3,7573 -3,8992 -4,0373 -4,1712 -4,2963 -4,4083 -4,5010 -4,5674 -4,6071 -4,6311 -4,6570 -4,6959 -4,7424 -4,7777
F7    1,6987 1,7263 1,7273 1,7104 1,6751 1,6122 1,5127 1,3756 1,2070 1,0169 0,8174 0,6236 0,4486 0,2954 0,1538 0,0097 -0,1434 -0,3016 -0,4558 -0,5954 -0,7066 -0,7772 -0,8074 -0,8140 -0,8205 -0,8445 -0,8942 -0,9679 -1,0548 -1,1392 -1,2064 -1,2400 -1,2207 -1,1358 -0,9920 -0,8154 -0,6382 -0,4829 -0,3577 -0,2593 -0,1768 -0,0978 -0,0190 0,0512 0,1029 0,1386 0,1736 0,2225 0,2905 0,3745 0,4672 0,5626 0,6599 0,7632 0,8758 0,9963 1,1189 1,2334 1,3228 1,3702 1,3711 1,3372 1,2824 1,2090 1,1082 0,9717 0,7990 0,5963 0,3722 0,1376 -0,0923 -0,2968 -0,4577 -0,5722 -0,6583 -0,7428 -0,8387 -0,9340 -1,0083 -1,0567 -1,0943 -1,1407 -1,2045 -1,2826 -1,3676 -1,4529 -1,5330 -1,6018 -1,6502 -1,6676 -1,6445 -1,5750 -1,4574 -1,2955 -1,0997 -0,8853 -0,6726 -0,4861 -0,3505 -0,2792 -0,2653 -0,2886 -0,3303 -0,3860 -0,4699 -0,6055 -0,8056 -1,0590 -1,3381 -1,6152 -1,8680 -2,0783 -2,2343 -2,3347 -2,3895 -2,4160 -2,4312 -2,4475 -2,4732 -2,5108 -2,5527 -2,5825 -2,5852 -2,5624 -2,5368 -2,5412 -2,6001 -2,7180 -2,8821 -3,0686 -3,2475 -3,3868 -3,4586 -3,4516 -3,3779 -3,2668 -3,1503 -3,0501 -2,9707 -2,9013 -2,8240 -2,7262 -2,6109 -2,4947 -2,3933 -2,3104 -2,2371 -2,1601 -2,0689 -1,9577 -1,8261 -1,6813 -1,5377 -1,4111 -1,3155 -1,2579 -1,2323 -1,2188 -1,1940 -1,1424 -1,0588 -0,9461 -0,8139 -0,6786 -0,5576 -0,4626 -0,3943 -0,3402 -0,2829 -0,2113 -0,1229 -0,0192 0,0965 0,2177 0,3322 0,4162 0,4393 0,3816 0,2448 0,0492 -0,1744 -0,3913 -0,5703 -0,6965 -0,7789 -0,8433 -0,9111 -0,9850 -1,0535 -1,1091 -1,1571 -1,2106 -1,2778 -1,3581 -1,4485 -1,5484 -1,6560 -1,7657 -1,8689 -1,9589 -2,0336 -2,0894 -2,1134 -2,0899 -2,0196 -1,9251 -1,8393 -1,7888 -1,7858 -1,8263 -1,8954 -1,9782 -2,0641 -2,1439 -2,2071 -2,2419 -2,2375 -2,1878 -2,0959 -1,9737 -1,8354 -1,6894 -1,5370 -1,3801 -1,2270 -1,0884 -0,9674 -0,8552 -0,7370 -0,5999 -0,4390 -0,2588 -0,0711 0,1103 0,2716 0,3991 0,4819 0,5194 0,5234 0,5133 0,5091 0,5215 0,5492 0,5829 0,6107 0,6173 0,5838 0,4946 0,3440 0,1381 -0,1067 -0,3652 -0,6099 -0,8198 -0,9857 -1,1078 -1,1899 -1,2400 -1,2737 -1,3097 -1,3575 -1,4129 -1,4628 -1,4925 -1,4915 -1,4545 -1,3790 -1,2649 -1,1211 -0,9676 -0,8268 -0,7120 -0,6259 -0,5651 -0,5187 -0,4689 -0,3983 -0,3046 -0,2053 -0,1291 -0,1021 -0,1327 -0,2054 -0,2892 -0,3534 -0,3777 -0,3544 -0,2876 -0,1891 -0,0705 0,0635 0,2125 0,3701 0,5225 0,6558 0,7619 0,8391 0,8902 0,9207 0,9368 0,9449 0,9515 0,9638 0,9872 1,0198 1,0510 1,0700 1,0752 1,0717 1,0626 1,0429 0,9997 0,9186 0,7922 0,6246 0,4288 0,2219 0,0208 -0,1582 -0,2994 -0,3916 -0,4325 -0,4271 -0,3841 -0,3151 -0,2385 -0,1786 -0,1540 -0,1649 -0,1952 -0,2239 -0,2346 -0,2174 -0,1679 -0,0879 0,0133 0,1209 0,2190 0,2981 0,3594 0,4153 0,4837 0,5778 0,6974 0,8314 0,9634 1,0799 1,1780 1,2654 1,3540 1,4518 1,5617 1,6799 1,7921 1,8768 1,9209 1,9251 1,8939 1,8259 1,7191 1,5792 1,4202 1,2546 1,0897 0,9297 0,7801 0,6501 0,5483 0,4739 0,4163 0,3645 0,3147 0,2673 0,2217 0,1747 0,1224 0,0635 0,0027 -0,0482 -0,0749 -0,0697 -0,0377 0,0034 0,0291 0,0202 -0,0262 -0,0946 -0,1621 -0,2116 -0,2396 -0,2510 -0,2487 -0,2316 -0,2022 -0,1735 -0,1667 -0,1978 -0,2650 -0,3502 -0,4315 -0,4952 -0,5386 -0,5677 -0,5909 -0,6136 -0,6375 -0,6658 -0,7045 -0,7566 -0,8142 -0,8615 -0,8851 -0,8822 -0,8621 -0,8414 -0,8353 -0,8526 -0,8939 -0,9532 -1,0219 -1,0918 -1,1541 -1,1983 -1,2165 -1,2067 -1,1717 -1,1163 -1,0439 -0,9560 -0,8504 -0,7255 -0,5875 -0,4500 -0,3253 -0,2187 -0,1293 -0,0513 0,0203 0,0839 0,1352 0,1748 0,2073 0,2377 0,2721 0,3195 0,3885 0,4803 0,5870 0,6932 0,7802 0,8321 0,8444 0,8275 0,7962 0,7573 0,7075 0,6406 0,5527 0,4447 0,3240 0,2032 0,0953 0,0073 -0,0604 -0,1095 -0,1393 -0,1506 -0,1526 -0,1607 -0,1862 -0,2320 -0,2974 -0,3850 -0,4995 -0,6413 -0,8078 -1,0015 -1,2279 -1,4791 -1,7272 -1,9385 -2,0900 -2,1729 -2,1897 -2,1533 -2,0850 -2,0101 -1,9527 -1,9290 -1,9407 -1,9754 -2,0123 -2,0287 -2,0067 -1,9391 -1,8293 -1,6865 -1,5219 -1,3488 -1,1840 -1,0426 -0,9322 -0,8532 -0,8058 -0,7958 -0,8365 -0,9385 -1,0909 -1,2553 -1,3866 -1,4585 -1,4679 -1,4285 -1,3653 -1,3055 -1,2664 -1,2481 -1,2378 -1,2185 -1,1736 -1,0895 -0,9615 -0,7972 -0,6128 -0,4305 -0,2777 -0,1827 -0,1647 -0,2302 -0,3752 -0,5867 -0,8453 -1,1262 -1,3981 -1,6281 -1,7948 -1,9005 -1,9677 -2,0225 -2,0772 -2,1294 -2,1734 -2,2038 -2,2138 -2,1988 -2,1637 -2,1206 -2,0841 -2,0676 -2,0774 -2,1020 -2,1128 -2,0790 -1,9881 -1,8526 -1,6999 -1,5572 -1,4431 -1,3645 -1,3182 -1,2960 -1,2902 -1,2962 -1,3136 -1,3422 -1,3788 -1,4181 -1,4572 -1,4951 -1,5293 -1,5584 -1,5833 -1,6045 -1,6226 -1,6416 -1,6657 -1,6935 -1,7208 -1,7455 -1,7706 -1,8043 -1,8598 -1,9496 -2,0763 -2,2299 -2,3957 -2,5623 -2,7220 -2,8655 -2,9822 -3,0641 -3,1067 -3,1070 -3,0657 -2,9931 -2,9097 -2,8422 -2,8126 -2,8262 -2,8695
