Fp1   3,2565 3,4268 3,3302 3,0717 2,7880 2,5905 2,5450 2,6663 2,9193 3,2259 3,4787 3,5783 3,4729 3,1706 2,7245 2,2031 1,6667 1,1578 0,7010 0,3184 0,0292 -0,1746 -0,3297 -0,4847 -0,6868 -0,9533 -1,2349 -1,4204 -1,4049 -1,1697 -0,8035 -0,4580 -0,2892 -0,4281 -0,9527 -1,8339 -2,9042 -3,8925 -4,5166 -4,6077 -4,2043 -3,5249 -2,8280 -2,2734 -1,8921 -1,6601 -1,5729 -1,6485 -1,8947 -2,2771 -2,6977 -3,0269 -3,1770 -3,1395 -2,9524 -2,6729 -2,3919 -2,2083 -2,1535 -2,1766 -2,2041 -2,1818 -2,0634 -1,7972 -1,3599 -0,7994 -0,2184 0,2879 0,6560 0,8463 0,8667 0,7952 0,7310 0,7238 0,7622 0,8219 0,9079 1,0376 1,1855 1,2723 1,2301 1,0803 0,9320 0,8959 1,0095 1,2258 1,4408 1,5348 1,4085 0,9991 0,2914 -0,6532 -1,6915 -2,6555 -3,4298 -3,9696 -4,2680 -4,3413 -4,2427 -4,0510 -3,8257 -3,5804 -3,2853 -2,8751 -2,2670 -1,4075 -0,3319 0,8241 1,8914 2,7546 3,3857 3,8108 4,0542 4,1253 4,0563 3,9345 3,8689 3,9101 4,0130 4,0946 4,1113 4,0605 3,9372 3,7368 3,4916 3,2713 3,1432 3,1454 3,2750 3,4737 3,6377 3,6763 3,5611 3,3065 2,9173 2,3585 1,5790 0,5852 -0,5227 -1,5972 -2,5146 -3,2022 -3,6395 -3,8684 -3,9836 -4,0729 -4,1579 -4,1853 -4,0762 -3,7877 -3,3277 -2,7367 -2,0846 -1,4640 -0,9548 -0,5941 -0,3811 -0,3069 -0,3657 -0,5278 -0,7261 -0,8649 -0,8304 -0,5213 0,1017 0,9885 2,0146 3,0289 3,9087 4,6011 5,1379 5,6201 6,1744 6,8828 7,7336 8,6460 9,5333 10,3458 11,0696 11,6928 12,1922 12,5599 12,8112 12,9467 12,9368 12,7792 12,5584 12,4028 12,3920 12,5380 12,8307 13,2650 13,8221 14,4469 15,0653 15,6152 16,0595 16,3915 16,6254 16,7638 16,7765 16,6138 16,2489 15,7160 15,1118 14,5516 14,1038 13,7570 13,4480 13,1121 12,7118 12,2456 11,7577 11,3231 10,9985 10,7908 10,6699 10,6002 10,5674 10,5766 10,6077 10,5878 10,4445 10,1810 9,8790 9,6215 9,4087 9,1641 8,8331 8,4361 8,0227 7,6251 7,2526 6,9080 6,6140 6,4286 6,4102 6,5642 6,8352 7,1344 7,3563 7,3929 7,1689 6,6905 6,0681 5,4756 5,0667 4,9140 5,0082 5,2737 5,5597 5,6715 5,4827 5,0215 4,4297 3,8620 3,4226 3,1463 3,0017 2,9011 2,7287 2,4239 2,0581 1,7866 1,7215 1,8626 2,1193 2,3767 2,5526 2,6155 2,5770 2,4558 2,2312 1,8503 1,3008 0,6522 0,0040 -0,5907 -1,1420 -1,6919 -2,2700 -2,8527 -3,3644 -3,7400 -3,9807 -4,1266 -4,1846 -4,1117 -3,8721 -3,4908 -3,0385 -2,5810 -2,1671 -1,8545 -1,7210 -1,8255 -2,1391 -2,5333 -2,8579 -3,0352 -3,0865 -3,0962 -3,1605 -3,3442 -3,6496 -4,0250 -4,4139 -4,7779 -5,0683 -5,2182 -5,1855 -4,9825 -4,6568 -4,2553 -3,8035 -3,3129 -2,8025 -2,3030 -1,8418 -1,4329 -1,0813 -0,7956 -0,5886 -0,4503 -0,3256 -0,1282 0,2257 0,7866 1,5516 2,4578 3,3901 4,2102 4,8142 5,1750 5,3243 5,3055 5,1627 4,9652 4,8347 4,9261 5,3522 6,1151 7,1104 8,1940 9,2459 10,2013 11,0497 11,8024 12,4549 12,9695 13,2947 13,4107 13,3633 13,2589 13,2168 13,3121 13,5564 13,9287 14,4152 15,0150 15,7148 16,4527 17,1008 17,5089 17,5955 17,4024 17,0626 16,7080 16,3985 16,1323 15,9032 15,7314 15,6467 15,6649 15,7849 15,9825 16,1831 16,2644 16,1182 15,7381 15,2461 14,8090 14,5318 14,4391 14,5194 14,7537 15,1188 15,5869 16,1256 16,6977 17,2641 17,7923 18,2639 18,6635 18,9531 19,0684 18,9661 18,6585 18,1789 17,5466 16,7865 15,9385 15,0364 14,1195 13,2570 12,5208 11,9558 11,5936 11,4625 11,5585 11,8102 12,0887 12,2674 12,2793 12,1418 11,9459 11,8093 11,8149 11,9702 12,2079 12,4339 12,5870 12,6550 12,6467 12,5471 12,2910 11,7956 11,0382 10,0960 9,1116 8,2245 7,5420 7,1619 7,1732 7,5992 8,3496 9,2206 9,9441 10,2916 10,1928 9,7612 9,1986 8,6612 8,1858 7,7222 7,2309 6,7482 6,3486 6,0578 5,8262 5,5757 5,2485 4,8373 4,4013 4,0370 3,8105 3,7200 3,7294 3,8238 4,0138 4,2961 4,6302 4,9422 5,1393 5,1328 4,8727 4,3756 3,7303 3,0774 2,5563 2,2464 2,1583 2,2691 2,5459 2,9369 3,3449 3,6471 3,7611 3,6728 3,4127 3,0372 2,6181 2,2236 1,9051 1,6924 1,5771 1,5032 1,3936 1,2132 1,0171 0,9172 0,9839 1,2042 1,5254 1,8963 2,2746 2,6217 2,8952 3,0655 3,1481 3,2018 3,2879 3,4159 3,5181 3,5051 3,3405 3,0447 2,6549 2,2043 1,7178 1,2099 0,6882 0,1572 -0,3758 -0,8801 -1,2976 -1,5836 -1,7526 -1,8795 -2,0547 -2,3265 -2,6540 -2,9091 -2,9520 -2,7179 -2,2301 -1,5509 -0,7310 0,1977 1,1909 2,1714 3,0538 3,8057 4,4864 5,2156 6,0947 7,1438 8,2992 9,4667 10,5714 11,5719 12,4686 13,2935 14,0651 14,7732 15,4108 15,9849 16,5069 17,0105 17,5647 18,2235 18,9623 19,6907 20,3270 20,8422 21,2547 21,6020 21,9160 22,2229 22,5594 22,9800 23,5468 24,3136 25,3088 26,5051 27,7939 29,0024 29,9590 30,5760 30,8920 31,0514 31,2418 31,6145 32,2209 32,9988 33,8100 34,5065 34,9833 35,1945 35,1562 34,9548 34,7344 34,6432 34,7696 35,1068 35,5645 36,0246 36,3958 36,6312 36,7194 36,6684 36,5016 36,2704 36,0603 35,9614 36,0013 36,1151 36,2180 36,2815 36,3152
Fz    0,8555 0,9598 1,1257 1,3387 1,5752 1,8079 2,0064 2,1377 2,1752 2,1102 1,9575 1,7476 1,5079 1,2517 0,9884 0,7342 0,5090 0,3297 0,2064 0,1372 0,1024 0,0700 0,0125 -0,0792 -0,1934 -0,3068 -0,3948 -0,4393 -0,4352 -0,3968 -0,3565 -0,3537 -0,4200 -0,5675 -0,7804 -1,0217 -1,2510 -1,4403 -1,5737 -1,6422 -1,6456 -1,5997 -1,5341 -1,4777 -1,4420 -1,4194 -1,3889 -1,3199 -1,1857 -0,9811 -0,7215 -0,4292 -0,1305 0,1424 0,3603 0,5119 0,6086 0,6754 0,7402 0,8243 0,9359 1,0659 1,1924 1,2950 1,3620 1,3838 1,3492 1,2522 1,0950 0,8901 0,6667 0,4703 0,3437 0,3070 0,3551 0,4681 0,6215 0,7894 0,9448 1,0654 1,1425 1,1864 1,2177 1,2468 1,2636 1,2471 1,1825 1,0680 0,9075 0,7006 0,4400 0,1167 -0,2738 -0,7262 -1,2211 -1,7295 -2,2212 -2,6651 -3,0296 -3,2897 -3,4280 -3,4322 -3,2978 -3,0334 -2,6576 -2,1949 -1,6763 -1,1315 -0,5757 -0,0120 0,5553 1,1089 1,6128 2,0166 2,2746 2,3663 2,2986 2,0914 1,7681 1,3643 0,9340 0,5327 0,1969 -0,0571 -0,2207 -0,2910 -0,2698 -0,1577 0,0367 0,2828 0,5323 0,7401 0,8713 0,8971 0,7922 0,5349 0,1124 -0,4632 -1,1448 -1,8631 -2,5473 -3,1390 -3,6033 -3,9367 -4,1635 -4,3145 -4,4095 -4,4549 -4,4528 -4,4069 -4,3189 -4,1843 -4,0011 -3,7805 -3,5454 -3,3176 -3,1048 -2,9000 -2,6907 -2,4637 -2,2044 -1,8990 -1,5326 -1,0888 -0,5534 0,0747 0,7785 1,5342 2,3196 3,1107 3,8792 4,5967 5,2415 5,8004 6,2695 6,6527 6,9574 7,1945 7,3812 7,5360 7,6668 7,7646 7,8123 7,8031 7,7467 7,6631 7,5769 7,5125 7,4867 7,5031 7,5566 7,6406 7,7453 7,8502 7,9252 7,9424 7,8883 7,7689 7,6040 7,4152 7,2115 6,9819 6,7066 6,3753 5,9930 5,5750 5,1372 4,6915 4,2465 3,8072 3,3777 2,9682 2,5988 2,2909 2,0521 1,8723 1,7248 1,5732 1,3888 1,1646 0,9036 0,5996 0,2402 -0,1776 -0,6414 -1,1297 -1,6212 -2,0945 -2,5225 -2,8759 -3,1320 -3,2804 -3,3211 -3,2572 -3,0879 -2,8139 -2,4476 -2,0140 -1,5448 -1,0711 -0,6185 -0,2073 0,1432 0,4151 0,5982 0,6966 0,7253 0,7014 0,6394 0,5532 0,4550 0,3514 0,2453 0,1435 0,0561 -0,0083 -0,0428 -0,0395 0,0099 0,1096 0,2595 0,4626 0,7278 1,0617 1,4566 1,8827 2,2906 2,6307 2,8780 3,0398 3,1384 3,1893 3,1922 3,1386 3,0231 2,8470 2,6136 2,3256 1,9901 1,6171 1,2104 0,7705 0,3087 -0,1523 -0,5896 -0,9777 -1,2774 -1,4429 -1,4459 -1,2908 -1,0033 -0,6133 -0,1559 0,3191 0,7532 1,1005 1,3436 1,4884 1,5485 1,5349 1,4531 1,3080 1,1087 0,8706 0,6161 0,3665 0,1317 -0,0842 -0,2705 -0,4107 -0,4959 -0,5289 -0,5183 -0,4722 -0,3986 -0,3081 -0,2149 -0,1342 -0,0773 -0,0444 -0,0232 0,0009 0,0334 0,0703 0,1039 0,1275 0,1370 0,1325 0,1195 0,1115 0,1278 0,1842 0,2843 0,4212 0,5806 0,7424 0,8829 0,9814 1,0276 1,0243 0,9836 0,9211 0,8536 0,7990 0,7743 0,7920 0,8599 0,9831 1,1620 1,3850 1,6244 1,8483 2,0406 2,2038 2,3498 2,4944 2,6593 2,8678 3,1358 3,4661 3,8496 4,2681 4,6905 5,0747 5,3822 5,5961 5,7266 5,8009 5,8479 5,8904 5,9446 6,0184 6,1103 6,2125 6,3165 6,4149 6,5004 6,5660 6,6077 6,6283 6,6379 6,6493 6,6697 6,6975 6,7238 6,7366 6,7258 6,6847 6,6121 6,5144 6,4037 6,2906 6,1789 6,0678 5,9587 5,8573 5,7732 5,7137 5,6719 5,6240 5,5417 5,4008 5,1780 4,8559 4,4340 3,9299 3,3767 2,8216 2,3163 1,8935 1,5539 1,2796 1,0573 0,8809 0,7418 0,6275 0,5240 0,4164 0,2921 0,1424 -0,0381 -0,2542 -0,5094 -0,7994 -1,1060 -1,4031 -1,6660 -1,8746 -2,0133 -2,0713 -2,0424 -1,9264 -1,7309 -1,4758 -1,1958 -0,9358 -0,7386 -0,6319 -0,6182 -0,6744 -0,7669 -0,8703 -0,9794 -1,1088 -1,2734 -1,4644 -1,6421 -1,7570 -1,7823 -1,7189 -1,5755 -1,3595 -1,0796 -0,7475 -0,3801 -0,0041 0,3464 0,6410 0,8669 1,0304 1,1474 1,2304 1,2820 1,2972 1,2688 1,1938 1,0783 0,9462 0,8397 0,8036 0,8664 1,0338 1,2924 1,6160 1,9692 2,3052 2,5754 2,7438 2,7950 2,7343 2,5841 2,3753 2,1420 1,9196 1,7376 1,6054 1,5089 1,4275 1,3535 1,2907 1,2399 1,1904 1,1291 1,0544 0,9740 0,8883 0,7831 0,6421 0,4568 0,2265 -0,0439 -0,3450 -0,6734 -1,0417 -1,4650 -1,9436 -2,4627 -3,0025 -3,5405 -4,0545 -4,5303 -4,9642 -5,3586 -5,7222 -6,0720 -6,4283 -6,8057 -7,2037 -7,6030 -7,9735 -8,2861 -8,5201 -8,6639 -8,7121 -8,6634 -8,5209 -8,2933 -7,9925 -7,6310 -7,2205 -6,7697 -6,2839 -5,7637 -5,2012 -4,5880 -3,9295 -3,2479 -2,5712 -1,9242 -1,3227 -0,7667 -0,2364 0,2943 0,8370 1,3838 1,9198 2,4327 2,9153 3,3667 3,7929 4,2019 4,5926 4,9504 5,2534 5,4857 5,6479 5,7584 5,8433 5,9260 6,0216 6,1340 6,2546 6,3658 6,4510 6,4996 6,5094 6,4880 6,4515 6,4173 6,3942 6,3777 6,3555 6,3180 6,2657 6,2070 6,1526 6,1113 6,0866 6,0728 6,0579 6,0306 5,9845 5,9168 5,8247 5,7049 5,5549 5,3792 5,1958 5,0346 4,9275 4,8984 4,9587 5,1096 5,3473 5,6591 6,0130 6,3597 6,6535 6,8649 6,9770
F3    1,3002 1,4123 1,5865 1,8242 2,1079 2,4083 2,6916 2,9204 3,0503 3,0381 2,8660 2,5524 2,1323 1,6462 1,1472 0,6908 0,3095 0,0095 -0,2132 -0,3650 -0,4612 -0,5295 -0,5979 -0,6754 -0,7437 -0,7701 -0,7304 -0,6211 -0,4580 -0,2705 -0,0983 0,0150 0,0312 -0,0754 -0,3025 -0,6073 -0,9264 -1,2158 -1,4636 -1,6699 -1,8316 -1,9510 -2,0478 -2,1446 -2,2399 -2,3074 -2,3161 -2,2408 -2,0667 -1,7989 -1,4622 -1,0931 -0,7336 -0,4245 -0,1905 -0,0328 0,0649 0,1256 0,1703 0,2149 0,2731 0,3536 0,4507 0,5436 0,6074 0,6196 0,5621 0,4229 0,1971 -0,1049 -0,4417 -0,7435 -0,9482 -1,0322 -1,0096 -0,9128 -0,7757 -0,6272 -0,4909 -0,3875 -0,3335 -0,3328 -0,3699 -0,4205 -0,4758 -0,5502 -0,6630 -0,8172 -1,0004 -1,2009 -1,4192 -1,6687 -1,9658 -2,3145 -2,6962 -3,0769 -3,4222 -3,7004 -3,8836 -3,9529 -3,9042 -3,7513 -3,5232 -3,2492 -2,9440 -2,6141 -2,2754 -1,9433 -1,6060 -1,2298 -0,7961 -0,3238 0,1366 0,5221 0,7851 0,9169 0,9405 0,8767 0,7293 0,5104 0,2670 0,0637 -0,0589 -0,0967 -0,0664 0,0097 0,1157 0,2552 0,4367 0,6484 0,8588 1,0332 1,1423 1,1634 1,0804 0,8739 0,5191 0,0144 -0,5935 -1,2277 -1,8181 -2,3158 -2,6942 -2,9563 -3,1330 -3,2598 -3,3512 -3,3993 -3,3936 -3,3325 -3,2183 -3,0546 -2,8554 -2,6416 -2,4224 -2,1888 -1,9263 -1,6327 -1,3259 -1,0376 -0,8002 -0,6282 -0,5022 -0,3746 -0,1906 0,0835 0,4435 0,8601 1,3038 1,7530 2,1885 2,5905 2,9418 3,2351 3,4761 3,6763 3,8441 3,9958 4,1681 4,4048 4,7198 5,0761 5,4060 5,6545 5,8074 5,8904 5,9506 6,0288 6,1402 6,2770 6,4260 6,5812 6,7346 6,8630 6,9314 6,9106 6,7943 6,6055 6,3877 6,1822 6,0053 5,8382 5,6466 5,4108 5,1331 4,8252 4,4927 4,1356 3,7569 3,3609 2,9549 2,5621 2,2266 1,9922 1,8677 1,8121 1,7509 1,6123 1,3622 1,0166 0,6145 0,1775 -0,2944 -0,7943 -1,2918 -1,7491 -2,1437 -2,4696 -2,7227 -2,8931 -2,9735 -2,9741 -2,9221 -2,8374 -2,7139 -2,5326 -2,2874 -1,9927 -1,6689 -1,3255 -0,9650 -0,5988 -0,2522 0,0447 0,2661 0,3960 0,4319 0,3844 0,2759 0,1344 -0,0204 -0,1842 -0,3511 -0,4979 -0,6012 -0,6595 -0,6831 -0,6748 -0,6280 -0,5416 -0,4239 -0,2809 -0,1067 0,1046 0,3463 0,5987 0,8302 1,0030 1,0875 1,0743 0,9736 0,8064 0,5978 0,3757 0,1624 -0,0394 -0,2461 -0,4778 -0,7454 -1,0468 -1,3703 -1,6936 -1,9861 -2,2250 -2,4027 -2,5083 -2,5113 -2,3747 -2,0848 -1,6690 -1,1866 -0,7044 -0,2854 0,0136 0,1502 0,1126 -0,0746 -0,3648 -0,7097 -1,0664 -1,3998 -1,6834 -1,8984 -2,0294 -2,0656 -2,0142 -1,9080 -1,7874 -1,6765 -1,5798 -1,4922 -1,4063 -1,3181 -1,2282 -1,1410 -1,0599 -0,9847 -0,9096 -0,8235 -0,7158 -0,5894 -0,4609 -0,3467 -0,2525 -0,1773 -0,1174 -0,0676 -0,0239 0,0154 0,0533 0,0955 0,1471 0,2110 0,2876 0,3708 0,4487 0,5143 0,5761 0,6573 0,7801 0,9435 1,1178 1,2612 1,3425 1,3557 1,3196 1,2688 1,2373 1,2459 1,2954 1,3671 1,4384 1,5020 1,5671 1,6460 1,7462 1,8704 2,0177 2,1878 2,3874 2,6303 2,9272 3,2662 3,6036 3,8801 4,0592 4,1544 4,2149 4,2862 4,3926 4,5369 4,6983 4,8411 4,9357 4,9733 4,9568 4,8857 4,7568 4,5719 4,3441 4,1005 3,8715 3,6773 3,5298 3,4381 3,4048 3,4206 3,4658 3,5197 3,5738 3,6290 3,6792 3,7048 3,6830 3,6009 3,4605 3,2864 3,1231 3,0081 2,9462 2,9120 2,8651 2,7660 2,5916 2,3423 2,0330 1,6901 1,3549 1,0708 0,8595 0,7168 0,6331 0,6100 0,6497 0,7416 0,8659 0,9991 1,1159 1,1932 1,2121 1,1544 1,0017 0,7457 0,4044 0,0243 -0,3405 -0,6466 -0,8589 -0,9489 -0,9059 -0,7409 -0,4794 -0,1621 0,1502 0,3867 0,4889 0,4315 0,2294 -0,0656 -0,3807 -0,6513 -0,8457 -0,9728 -1,0752 -1,2038 -1,3812 -1,5783 -1,7356 -1,8138 -1,8139 -1,7534 -1,6435 -1,4839 -1,2677 -0,9963 -0,6911 -0,3924 -0,1471 0,0139 0,0894 0,1005 0,0726 0,0183 -0,0626 -0,1698 -0,3008 -0,4576 -0,6363 -0,8062 -0,9195 -0,9408 -0,8628 -0,7001 -0,4743 -0,2092 0,0595 0,2919 0,4675 0,5874 0,6599 0,6949 0,7013 0,6895 0,6781 0,6929 0,7460 0,8230 0,8995 0,9647 1,0236 1,0814 1,1300 1,1577 1,1688 1,1795 1,1934 1,1949 1,1639 1,0843 0,9421 0,7308 0,4587 0,1425 -0,2093 -0,5966 -1,0162 -1,4571 -1,9004 -2,3208 -2,6980 -3,0294 -3,3214 -3,5790 -3,8107 -4,0312 -4,2567 -4,5039 -4,7791 -5,0664 -5,3374 -5,5739 -5,7744 -5,9380 -6,0541 -6,1053 -6,0772 -5,9644 -5,7688 -5,4972 -5,1622 -4,7803 -4,3648 -3,9211 -3,4423 -2,9180 -2,3508 -1,7609 -1,1725 -0,6046 -0,0713 0,4246 0,9019 1,3840 1,8626 2,2958 2,6492 2,9281 3,1655 3,3926 3,6283 3,8860 4,1718 4,4750 4,7675 5,0240 5,2408 5,4329 5,6177 5,8084 6,0177 6,2569 6,5223 6,7887 7,0228 7,2005 7,3165 7,3880 7,4462 7,5170 7,6058 7,6954 7,7608 7,7903 7,7942 7,7988 7,8322 7,9149 8,0540 8,2372 8,4350 8,6118 8,7359 8,7835 8,7440 8,6269 8,4551 8,2519 8,0427 7,8628 7,7505 7,7328 7,8240 8,0315 8,3478 8,7393 9,1478 9,5126 9,7949 9,9812 10,0681
F7    1,2544 1,1593 1,0652 0,9950 0,9675 0,9951 1,0589 1,1037 1,0761 0,9693 0,8234 0,6761 0,5203 0,3139 0,0300 -0,3054 -0,6270 -0,8666 -0,9751 -0,9332 -0,7653 -0,5398 -0,3302 -0,1666 -0,0362 0,0712 0,1421 0,1682 0,1694 0,1678 0,1543 0,1049 0,0109 -0,1142 -0,2376 -0,3233 -0,3546 -0,3394 -0,3005 -0,2671 -0,2650 -0,3137 -0,4242 -0,5891 -0,7722 -0,9156 -0,9695 -0,9178 -0,7767 -0,5713 -0,3218 -0,0495 0,2217 0,4739 0,6938 0,8662 0,9786 1,0286 1,0245 0,9790 0,8948 0,7563 0,5523 0,3011 0,0472 -0,1591 -0,2794 -0,3037 -0,2596 -0,2041 -0,1942 -0,2602 -0,3965 -0,5620 -0,6900 -0,7248 -0,6635 -0,5599 -0,4793 -0,4548 -0,4877 -0,5673 -0,6793 -0,8099 -0,9453 -1,0639 -1,1327 -1,1181 -1,0146 -0,8651 -0,7449 -0,7174 -0,8064 -0,9942 -1,2261 -1,4348 -1,5823 -1,6676 -1,7012 -1,6958 -1,6649 -1,6053 -1,4925 -1,3055 -1,0428 -0,7160 -0,3433 0,0559 0,4712 0,8981 1,3208 1,7069 2,0165 2,2165 2,2948 2,2634 2,1452 1,9641 1,7493 1,5459 1,4063 1,3676 1,4342 1,5846 1,7937 2,0339 2,2629 2,4338 2,5183 2,5175 2,4699 2,4387 2,4600 2,5043 2,4954 2,3621 2,0805 1,6821 1,2290 0,7868 0,4098 0,1323 -0,0418 -0,1399 -0,2057 -0,2656 -0,3115 -0,3204 -0,2739 -0,1519 0,0730 0,4196 0,8712 1,3724 1,8559 2,2727 2,6004 2,8376 2,9858 3,0372 2,9928 2,8883 2,7826 2,7243 2,7270 2,7722 2,8352 2,9037 2,9796 3,0723 3,1894 3,3293 3,4785 3,6242 3,7775 3,9632 4,1763 4,3804 4,5515 4,6977 4,8346 4,9655 5,1005 5,2774 5,5416 5,9089 6,3611 6,8702 7,4020 7,9096 8,3475 8,6873 8,9061 8,9799 8,9139 8,7627 8,5928 8,4336 8,2804 8,1241 7,9578 7,7665 7,5297 7,2337 6,8786 6,4813 6,0628 5,6297 5,1752 4,6951 4,1996 3,7180 3,2954 2,9861 2,8329 2,8426 2,9813 3,1830 3,3642 3,4458 3,3780 3,1513 2,7855 2,3080 1,7462 1,1350 0,5221 -0,0415 -0,5132 -0,8728 -1,1338 -1,3175 -1,4056 -1,3531 -1,1538 -0,8637 -0,5624 -0,3130 -0,1487 -0,0746 -0,0785 -0,1544 -0,3164 -0,5814 -0,9398 -1,3484 -1,7408 -2,0547 -2,2687 -2,3965 -2,4427 -2,3930 -2,2497 -2,0450 -1,8198 -1,6107 -1,4452 -1,3327 -1,2645 -1,2315 -1,2361 -1,2818 -1,3614 -1,4706 -1,6237 -1,8468 -2,1574 -2,5452 -2,9579 -3,3092 -3,5223 -3,5861 -3,5681 -3,5569 -3,5961 -3,6779 -3,7756 -3,8666 -3,9396 -3,9923 -4,0318 -4,0661 -4,0901 -4,0804 -4,0073 -3,8596 -3,6601 -3,4513 -3,2699 -3,1309 -3,0205 -2,9077 -2,7805 -2,6685 -2,6282 -2,7053 -2,9019 -3,1745 -3,4499 -3,6423 -3,6870 -3,5821 -3,3872 -3,1789 -3,0163 -2,9355 -2,9474 -3,0333 -3,1508 -3,2544 -3,3122 -3,3054 -3,2254 -3,0800 -2,8978 -2,7111 -2,5385 -2,3932 -2,2943 -2,2539 -2,2593 -2,2668 -2,2167 -2,0675 -1,8249 -1,5313 -1,2263 -0,9285 -0,6463 -0,3872 -0,1628 0,0096 0,1234 0,1941 0,2456 0,2911 0,3261 0,3304 0,2828 0,1785 0,0357 -0,1159 -0,2544 -0,3670 -0,4281 -0,4024 -0,2864 -0,1261 0,0243 0,1423 0,2348 0,3168 0,3853 0,4051 0,3320 0,1558 -0,0843 -0,3156 -0,4575 -0,4551 -0,3090 -0,0807 0,1331 0,2598 0,3017 0,3175 0,3449 0,3557 0,2910 0,1181 -0,1469 -0,4534 -0,7451 -0,9771 -1,1145 -1,1355 -1,0365 -0,8229 -0,5127 -0,1592 0,1599 0,3878 0,5093 0,5410 0,5060 0,4109 0,2529 0,0525 -0,1347 -0,2474 -0,2550 -0,1655 -0,0121 0,1637 0,3240 0,4478 0,5384 0,6099 0,6657 0,6965 0,6980 0,6768 0,6400 0,5914 0,5318 0,4524 0,3376 0,1841 0,0118 -0,1409 -0,2289 -0,2201 -0,1106 0,0834 0,3329 0,5912 0,8036 0,9348 0,9866 0,9871 0,9709 0,9616 0,9493 0,8991 0,7882 0,6173 0,3818 0,0564 -0,3725 -0,8681 -1,3487 -1,7102 -1,8566 -1,7512 -1,4472 -1,0661 -0,7450 -0,5689 -0,5359 -0,5956 -0,6968 -0,7994 -0,8865 -0,9725 -1,0727 -1,1707 -1,2294 -1,2231 -1,1510 -1,0266 -0,8634 -0,6756 -0,4920 -0,3491 -0,2740 -0,2825 -0,3793 -0,5498 -0,7544 -0,9405 -1,0672 -1,1270 -1,1438 -1,1604 -1,2258 -1,3730 -1,5951 -1,8459 -2,0662 -2,2176 -2,2989 -2,3273 -2,3070 -2,2252 -2,0746 -1,8725 -1,6633 -1,5045 -1,4369 -1,4639 -1,5537 -1,6511 -1,6922 -1,6290 -1,4511 -1,1834 -0,8666 -0,5424 -0,2417 0,0183 0,2212 0,3440 0,3800 0,3570 0,3158 0,2813 0,2606 0,2497 0,2414 0,2402 0,2536 0,2615 0,2109 0,0504 -0,2363 -0,6290 -1,0958 -1,6105 -2,1478 -2,6721 -3,1497 -3,5670 -3,9256 -4,2185 -4,4203 -4,5029 -4,4544 -4,2938 -4,0718 -3,8447 -3,6460 -3,4838 -3,3512 -3,2267 -3,0782 -2,8786 -2,6109 -2,2621 -1,8253 -1,3161 -0,7915 -0,3344 0,0010 0,2244 0,3868 0,5353 0,6908 0,8503 1,0013 1,1385 1,2627 1,3671 1,4382 1,4742 1,4920 1,5102 1,5338 1,5672 1,6261 1,7226 1,8594 2,0371 2,2485 2,4696 2,6711 2,8440 3,0198 3,2532 3,5780 3,9771 4,3883 4,7430 5,0100 5,2071 5,3715 5,5291 5,6889 5,8524 6,0131 6,1478 6,2332 6,2835 6,3457 6,4453 6,5684 6,6974 6,8307 6,9612 7,0624 7,1128 7,1206 7,1073 7,0815 7,0361 6,9562 6,8301 6,6683 6,5095 6,3969 6,3436 6,3373 6,3788 6,4925 6,6891 6,9390 7,1941 7,4294 7,6493 7,8468 7,9752
