Fp1   2,6993 2,5654 2,3989 2,2164 2,0462 1,9143 1,8309 1,8004 1,8263 1,8910 1,9487 1,9424 1,8344 1,6371 1,4104 1,2132 1,0614 0,9343 0,8027 0,6343 0,3915 0,0608 -0,3104 -0,6309 -0,8247 -0,8655 -0,7678 -0,5700 -0,3265 -0,1022 0,0378 0,0460 -0,0820 -0,3048 -0,5705 -0,8489 -1,1256 -1,3817 -1,5921 -1,7504 -1,8868 -2,0454 -2,2437 -2,4619 -2,6568 -2,7701 -2,7373 -2,5172 -2,1264 -1,6443 -1,1743 -0,7885 -0,5119 -0,3557 -0,3476 -0,5147 -0,8440 -1,2815 -1,7636 -2,2355 -2,6492 -2,9707 -3,1902 -3,3180 -3,3733 -3,3807 -3,3710 -3,3824 -3,4484 -3,5711 -3,7218 -3,8750 -4,0331 -4,2224 -4,4767 -4,8153 -5,2188 -5,6226 -5,9436 -6,1252 -6,1647 -6,0952 -5,9547 -5,7739 -5,5696 -5,3408 -5,0795 -4,7934 -4,5115 -4,2671 -4,0684 -3,8745 -3,6105 -3,2238 -2,7301 -2,2123 -1,7756 -1,4814 -1,3160 -1,2282 -1,1833 -1,1703 -1,1760 -1,1749 -1,1636 -1,1973 -1,3615 -1,6962 -2,1509 -2,6175 -3,0083 -3,3109 -3,5745 -3,8586 -4,2025 -4,6257 -5,1295 -5,6900 -6,2572 -6,7714 -7,1792 -7,4314 -7,4812 -7,3010 -6,9003 -6,3306 -5,6755 -5,0261 -4,4397 -3,9099 -3,3765 -2,7711 -2,0665 -1,2984 -0,5421 0,1387 0,7247 1,2308 1,6739 2,0585 2,3843 2,6436 2,8139 2,8832 2,8793 2,8508 2,8118 2,7224 2,5313 2,2278 1,8449 1,4309 1,0266 0,6641 0,3710 0,1676 0,0589 0,0321 0,0595 0,1134 0,1906 0,3091 0,4740 0,6577 0,8140 0,9138 0,9766 1,0597 1,2157 1,4629 1,7790 2,1037 2,3509 2,4487 2,3834 2,2129 2,0402 1,9652 2,0411 2,2592 2,5666 2,9001 3,2073 3,4494 3,6038 3,6808 3,7358 3,8551 4,1189 4,5550 5,1159 5,7019 6,2127 6,5824 6,7882 6,8461 6,8030 6,7195 6,6427 6,5812 6,5138 6,4239 6,3159 6,2051 6,1126 6,0632 6,0692 6,1169 6,1771 6,2255 6,2563 6,2727 6,2595 6,1731 5,9613 5,5916 5,0775 4,4881 3,9114 3,3984 2,9470 2,5444 2,2151 2,0172 1,9892 2,1144 2,3311 2,5666 2,7623 2,8850 2,9288 2,9180 2,8975 2,9083 2,9667 3,0628 3,1721 3,2750 3,3740 3,4897 3,6341 3,7793 3,8546 3,7902 3,5703 3,2456 2,9052 2,6294 2,4479 2,3282 2,1925 1,9632 1,6301 1,2791 1,0405 0,9994 1,1534 1,4395 1,7844 2,1386 2,4885 2,8483 3,2331 3,6345 4,0159 4,3244 4,5100 4,5509 4,4802 4,3839 4,3539 4,4406 4,6491 4,9516 5,2880 5,5758 5,7492 5,8025 5,7949 5,8043 5,8757 6,0043 6,1568 6,2995 6,4047 6,4414 6,3803 6,2249 6,0326 5,8994 5,9212 6,1568 6,6104 7,2304 7,9221 8,5823 9,1401 9,5763 9,9128 10,1851 10,4172 10,6091 10,7391 10,7820 10,7347 10,6302 10,5318 10,5124 10,6174 10,8271 11,0601 11,2216 11,2566 11,1670 10,9868 10,7536 10,5096 10,3147 10,2260 10,2553 10,3537 10,4296 10,3905 10,1986 9,9027 9,6023 9,3743 9,2333 9,1499 9,0880 9,0288 8,9757 8,9502 8,9816 9,0942 9,2930 9,5525 9,8203 10,0400 10,1743 10,2138 10,1677 10,0555 9,9092 9,7642 9,6397 9,5317 9,4227 9,2972 9,1658 9,0811 9,1072 9,2670 9,5294 9,8399 10,1381 10,3562 10,4347 10,3511 10,1277 9,8099 9,4413 9,0570 8,6914 8,3846 8,1798 8,1080 8,1718 8,3569 8,6546 9,0565 9,5315 10,0206 10,4499 10,7473 10,8617 10,7793 10,5330 10,1927 9,8300 9,4857 9,1717 8,8922 8,6533 8,4714 8,3838 8,4332 8,6299 8,9303 9,2515 9,5095 9,6537 9,6663 9,5377 9,2608 8,8514 8,3632 7,8835 7,5113 7,3180 7,3145 7,4523 7,6591 7,8705 8,0382 8,1434 8,2142 8,3114 8,4917 8,7854 9,1950 9,6962 10,2391 10,7584 11,1878 11,4667 11,5491 11,4194 11,1019 10,6498 10,1247 9,5919 9,1185 8,7535 8,5122 8,3959 8,4065 8,5229 8,6936 8,8790 9,0800 9,3112 9,5719 9,8533 10,1478 10,4320 10,6533 10,7432 10,6410 10,3097 9,7549 9,0414 8,2785 7,5735 6,9866 6,5235 6,1551 5,8367 5,5226 5,1824 4,8098 4,4136 4,0030 3,5803 3,1485 2,7358 2,4187 2,3033 2,4512 2,8215 3,2976 3,7644 4,1577 4,4609 4,6848 4,8558 5,0090 5,1762 5,3833 5,6579 6,0313 6,5289 7,1498 7,8455 8,5281 9,1013 9,4896 9,6562 9,6114 9,4099 9,1344 8,8775 8,7212 8,7048 8,8006 8,9196 8,9361 8,7231 8,1958 7,3571 6,3198 5,2698 4,3740 3,7083 3,2689 3,0239 2,9333 2,9363 2,9619 2,9663 2,9447 2,9023 2,8236 2,6816 2,4745 2,2497 2,0867 2,0600 2,2071 2,5194 2,9543 3,4460 3,9221 4,3453 4,7437 5,1857 5,7223 6,3429 6,9807 7,5623 8,0366 8,3597 8,4996 8,4867 8,4222 8,4058 8,4681 8,5650 8,6180 8,5612 8,3731 8,0825 7,7610 7,5048 7,4022 7,5010 7,7901 8,2028 8,6429 9,0181 9,2535 9,2906 9,0918 8,6478 7,9717 7,0903 6,0483 4,9125 3,7727 2,7396 1,9274 1,4213 1,2519 1,3876 1,7418 2,1923 2,6133 2,9204 3,1030 3,2069 3,2797 3,3376 3,3848 3,4539 3,6171 3,9497 4,4690 5,1041 5,7300 6,2357 6,5712 6,7503 6,8185 6,8206 6,7885 6,7466 6,7155 6,7004 6,6778 6,5978 6,3954 6,0132 5,4499 4,7947 4,1777 3,6869 3,3473 3,1584 3,1209 3,2261 3,4369 3,6913 3,9223 4,0746 4,1114 4,0245 3,8465 3,6392 3,4543 3,3134
Fz    2,1518 1,8522 1,6453 1,5507 1,5668 1,6746 1,8437 2,0461 2,2599 2,4621 2,6271 2,7316 2,7604 2,7172 2,6256 2,5063 2,3648 2,2050 2,0398 1,8761 1,6968 1,4718 1,1915 0,8842 0,6025 0,3970 0,2963 0,2984 0,3713 0,4600 0,5006 0,4416 0,2630 -0,0228 -0,3880 -0,8038 -1,2475 -1,7023 -2,1558 -2,6046 -3,0589 -3,5309 -4,0110 -4,4611 -4,8262 -5,0465 -5,0719 -4,8845 -4,5166 -4,0499 -3,5887 -3,2192 -2,9801 -2,8673 -2,8584 -2,9241 -3,0286 -3,1378 -3,2289 -3,2872 -3,2994 -3,2544 -3,1498 -2,9979 -2,8222 -2,6428 -2,4696 -2,3146 -2,2030 -2,1628 -2,2092 -2,3415 -2,5506 -2,8241 -3,1478 -3,5010 -3,8495 -4,1436 -4,3351 -4,4062 -4,3783 -4,2897 -4,1715 -4,0481 -3,9427 -3,8762 -3,8641 -3,9140 -4,0202 -4,1573 -4,2770 -4,3152 -4,2150 -3,9585 -3,5818 -3,1613 -2,7834 -2,5088 -2,3553 -2,3108 -2,3574 -2,4748 -2,6290 -2,7731 -2,8775 -2,9649 -3,1014 -3,3407 -3,6777 -4,0523 -4,3980 -4,6904 -4,9585 -5,2574 -5,6341 -6,1114 -6,6835 -7,3134 -7,9411 -8,5045 -8,9533 -9,2459 -9,3438 -9,2188 -8,8631 -8,2934 -7,5560 -6,7271 -5,8896 -5,0936 -4,3347 -3,5678 -2,7424 -1,8345 -0,8566 0,1514 1,1361 2,0492 2,8602 3,5565 4,1357 4,5989 4,9518 5,2118 5,4095 5,5778 5,7335 5,8706 5,9734 6,0335 6,0463 5,9988 5,8706 5,6452 5,3214 4,9211 4,4923 4,1005 3,8033 3,6300 3,5841 3,6498 3,7934 3,9694 4,1352 4,2739 4,4125 4,6053 4,8864 5,2345 5,5790 5,8366 5,9506 5,9071 5,7280 5,4647 5,1953 5,0082 4,9703 5,1014 5,3754 5,7442 6,1609 6,5834 6,9738 7,3122 7,6142 7,9273 8,3037 8,7698 9,3092 9,8684 10,3783 10,7751 11,0110 11,0641 10,9478 10,7112 10,4212 10,1367 9,8978 9,7260 9,6214 9,5676 9,5541 9,5871 9,6762 9,8147 9,9770 10,1349 10,2725 10,3824 10,4490 10,4429 10,3344 10,1118 9,7892 9,4016 8,9863 8,5639 8,1390 7,7216 7,3451 7,0608 6,9075 6,8856 6,9583 7,0710 7,1745 7,2340 7,2294 7,1609 7,0486 6,9149 6,7692 6,6128 6,4479 6,2857 6,1547 6,0989 6,1549 6,3243 6,5691 6,8395 7,1068 7,3693 7,6344 7,8983 8,1349 8,3030 8,3634 8,2992 8,1396 7,9681 7,8906 7,9741 8,2117 8,5411 8,8850 9,1836 9,4116 9,5813 9,7261 9,8750 10,0390 10,2147 10,3871 10,5330 10,6374 10,7067 10,7614 10,8202 10,8944 10,9819 11,0565 11,0718 10,9874 10,7989 10,5470 10,2983 10,1130 10,0232 10,0322 10,1206 10,2483 10,3548 10,3786 10,2972 10,1473 10,0010 9,9264 9,9610 10,1031 10,3165 10,5400 10,7066 10,7699 10,7256 10,6137 10,4968 10,4284 10,4268 10,4738 10,5375 10,6009 10,6703 10,7659 10,9090 11,1054 11,3325 11,5460 11,7032 11,7871 11,8170 11,8349 11,8780 11,9661 12,1093 12,3104 12,5516 12,7883 12,9598 13,0139 12,9321 12,7469 12,5308 12,3564 12,2586 12,2246 12,2085 12,1507 11,9989 11,7328 11,3779 10,9994 10,6799 10,4903 10,4641 10,5900 10,8196 11,0817 11,2991 11,4134 11,4109 11,3247 11,2099 11,1093 11,0368 10,9855 10,9504 10,9454 10,9979 11,1245 11,3190 11,5566 11,7943 11,9756 12,0550 12,0219 11,8942 11,6937 11,4364 11,1425 10,8428 10,5760 10,3831 10,2961 10,3224 10,4468 10,6452 10,8878 11,1336 11,3384 11,4694 11,5086 11,4494 11,2939 11,0544 10,7573 10,4393 10,1344 9,8646 9,6421 9,4688 9,3358 9,2331 9,1602 9,1184 9,0959 9,0623 8,9807 8,8273 8,5980 8,3005 7,9502 7,5780 7,2326 6,9694 6,8275 6,8153 6,9133 7,0863 7,3012 7,5345 7,7689 7,9947 8,2172 8,4557 8,7307 9,0498 9,3981 9,7417 10,0440 10,2823 10,4501 10,5454 10,5578 10,4713 10,2799 9,9987 9,6610 9,3106 8,9935 8,7442 8,5739 8,4786 8,4516 8,4811 8,5506 8,6545 8,8025 9,0012 9,2410 9,5025 9,7602 9,9745 10,0934 10,0728 9,8909 9,5476 9,0618 8,4723 7,8266 7,1626 6,5024 5,8618 5,2566 4,6975 4,1869 3,7227 3,3049 2,9384 2,6325 2,4012 2,2665 2,2557 2,3924 2,6834 3,1012 3,5749 4,0155 4,3631 4,6136 4,7996 4,9575 5,1140 5,2860 5,4811 5,7091 5,9915 6,3544 6,8099 7,3374 7,8732 8,3222 8,5939 8,6415 8,4731 8,1401 7,7195 7,2961 6,9482 6,7333 6,6706 6,7317 6,8489 6,9333 6,8989 6,6901 6,3070 5,8050 5,2652 4,7501 4,2791 3,8385 3,4148 3,0143 2,6499 2,3249 2,0306 1,7447 1,4346 1,0806 0,6985 0,3422 0,0883 0,0081 0,1396 0,4753 0,9723 1,5693 2,2000 2,8029 3,3398 3,8089 4,2373 4,6597 5,0982 5,5496 5,9873 6,3792 6,7017 6,9413 7,0955 7,1743 7,1963 7,1749 7,0991 6,9341 6,6464 6,2306 5,7171 5,1617 4,6266 4,1639 3,8077 3,5657 3,4124 3,3018 3,1888 3,0347 2,8032 2,4686 2,0279 1,4983 0,9064 0,2903 -0,2951 -0,7862 -1,1259 -1,2764 -1,2274 -1,0018 -0,6495 -0,2345 0,1774 0,5342 0,8190 1,0587 1,3031 1,5903 1,9277 2,3021 2,7054 3,1523 3,6699 4,2663 4,9075 5,5221 6,0365 6,4163 6,6823 6,8879 7,0802 7,2748 7,4545 7,5827 7,6142 7,5080 7,2468 6,8401 6,3098 5,6913 5,0460 4,4450 3,9357 3,5304 3,2253 3,0239 2,9412 2,9910 3,1722 3,4645 3,8313 4,2243 4,5974 4,9251 5,2042 5,4397 5,6437
F3    2,2923 2,1341 2,0399 2,0047 2,0109 2,0355 2,0556 2,0571 2,0376 1,9987 1,9388 1,8496 1,7195 1,5523 1,3738 1,2103 1,0702 0,9520 0,8531 0,7598 0,6376 0,4501 0,1910 -0,1041 -0,3777 -0,5790 -0,6787 -0,6740 -0,5908 -0,4806 -0,4046 -0,4072 -0,4943 -0,6388 -0,8052 -0,9701 -1,1269 -1,2806 -1,4384 -1,6053 -1,7897 -2,0008 -2,2337 -2,4627 -2,6480 -2,7395 -2,6853 -2,4512 -2,0424 -1,5149 -0,9649 -0,4940 -0,1745 -0,0394 -0,0892 -0,2936 -0,5958 -0,9348 -1,2665 -1,5632 -1,7984 -1,9436 -1,9776 -1,9024 -1,7475 -1,5534 -1,3525 -1,1675 -1,0204 -0,9323 -0,9203 -0,9989 -1,1823 -1,4786 -1,8826 -2,3706 -2,8949 -3,3866 -3,7763 -4,0234 -4,1278 -4,1121 -3,9999 -3,8158 -3,5895 -3,3503 -3,1211 -2,9180 -2,7475 -2,6016 -2,4554 -2,2699 -2,0087 -1,6646 -1,2734 -0,8989 -0,6029 -0,4190 -0,3441 -0,3575 -0,4421 -0,5829 -0,7539 -0,9188 -1,0588 -1,2022 -1,4109 -1,7263 -2,1284 -2,5459 -2,9030 -3,1668 -3,3633 -3,5514 -3,7883 -4,1129 -4,5400 -5,0551 -5,6171 -6,1752 -6,6774 -7,0659 -7,2804 -7,2764 -7,0382 -6,5792 -5,9422 -5,1978 -4,4226 -3,6613 -2,9064 -2,1171 -1,2604 -0,3393 0,6115 1,5458 2,4212 3,2065 3,8858 4,4552 4,9160 5,2701 5,5224 5,6884 5,7970 5,8799 5,9526 6,0034 6,0082 5,9520 5,8316 5,6457 5,3945 5,0837 4,7255 4,3449 3,9870 3,7087 3,5480 3,5032 3,5478 3,6532 3,7893 3,9190 4,0050 4,0342 4,0382 4,0804 4,2104 4,4267 4,6752 4,8775 4,9725 4,9419 4,8065 4,6099 4,4126 4,2861 4,2914 4,4545 4,7586 5,1585 5,6005 6,0342 6,4200 6,7430 7,0211 7,2944 7,6037 7,9716 8,3913 8,8253 9,2154 9,5023 9,6465 9,6400 9,5056 9,2891 9,0448 8,8175 8,6333 8,4986 8,4008 8,3226 8,2658 8,2552 8,3129 8,4301 8,5667 8,6754 8,7270 8,7136 8,6359 8,4901 8,2695 7,9723 7,6088 7,2012 6,7681 6,3083 5,8092 5,2773 4,7630 4,3475 4,0982 4,0297 4,1007 4,2387 4,3715 4,4476 4,4448 4,3734 4,2669 4,1549 4,0459 3,9334 3,8093 3,6744 3,5472 3,4644 3,4602 3,5395 3,6715 3,8139 3,9447 4,0706 4,2092 4,3639 4,5135 4,6213 4,6494 4,5736 4,4076 4,2169 4,0969 4,1172 4,2834 4,5465 4,8382 5,1003 5,3063 5,4720 5,6393 5,8418 6,0825 6,3379 6,5729 6,7558 6,8760 6,9472 6,9903 7,0199 7,0455 7,0693 7,0749 7,0280 6,9003 6,6982 6,4679 6,2698 6,1465 6,1118 6,1622 6,2885 6,4676 6,6458 6,7522 6,7475 6,6564 6,5490 6,4991 6,5544 6,7242 6,9774 7,2493 7,4665 7,5808 7,5908 7,5388 7,4894 7,4949 7,5660 7,6735 7,7800 7,8720 7,9631 8,0785 8,2390 8,4458 8,6708 8,8651 8,9827 9,0007 8,9296 8,8075 8,6790 8,5837 8,5588 8,6320 8,7998 9,0179 9,2170 9,3330 9,3345 9,2369 9,0944 8,9664 8,8811 8,8256 8,7595 8,6328 8,4046 8,0694 7,6703 7,2859 6,9996 6,8691 6,9092 7,0931 7,3662 7,6617 7,9133 8,0739 8,1331 8,1165 8,0626 7,9975 7,9233 7,8322 7,7289 7,6447 7,6241 7,6947 7,8509 8,0582 8,2619 8,4010 8,4362 8,3699 8,2354 8,0656 7,8782 7,6811 7,4813 7,2921 7,1425 7,0706 7,1017 7,2373 7,4621 7,7484 8,0569 8,3475 8,5912 8,7664 8,8504 8,8224 8,6776 8,4354 8,1349 7,8192 7,5231 7,2740 7,0914 6,9803 6,9348 6,9467 7,0039 7,0850 7,1601 7,1968 7,1710 7,0730 6,9030 6,6672 6,3838 6,0893 5,8302 5,6443 5,5489 5,5396 5,5953 5,6882 5,7924 5,8849 5,9534 6,0093 6,0851 6,2161 6,4193 6,6830 6,9707 7,2370 7,4453 7,5776 7,6257 7,5784 7,4248 7,1708 6,8472 6,5015 6,1831 5,9305 5,7625 5,6782 5,6688 5,7263 5,8357 5,9739 6,1278 6,3036 6,5099 6,7476 7,0165 7,3124 7,6107 7,8632 8,0153 8,0234 7,8670 7,5558 7,1281 6,6341 6,1167 5,6043 5,1178 4,6726 4,2707 3,8959 3,5259 3,1493 2,7704 2,4013 2,0564 1,7598 1,5490 1,4615 1,5151 1,6915 1,9368 2,1885 2,4113 2,6069 2,7888 2,9583 3,1152 3,2728 3,4537 3,6847 3,9942 4,4006 4,8981 5,4497 5,9861 6,4196 6,6757 6,7241 6,5867 6,3243 6,0145 5,7332 5,5428 5,4821 5,5480 5,6893 5,8212 5,8488 5,6947 5,3280 4,7799 4,1333 3,4883 2,9167 2,4312 1,9978 1,5831 1,1858 0,8233 0,5066 0,2304 -0,0360 -0,3426 -0,7222 -1,1521 -1,5577 -1,8490 -1,9552 -1,8434 -1,5234 -1,0355 -0,4296 0,2436 0,9272 1,5710 2,1518 2,6722 3,1466 3,5899 4,0110 4,4139 4,7979 5,1512 5,4547 5,6973 5,8817 6,0188 6,1180 6,1731 6,1571 6,0374 5,8000 5,4596 5,0549 4,6368 4,2583 3,9657 3,7815 3,6936 3,6711 3,6834 3,6961 3,6607 3,5249 3,2556 2,8502 2,3318 1,7404 1,1266 0,5449 0,0489 -0,3180 -0,5359 -0,6131 -0,5760 -0,4573 -0,2969 -0,1393 -0,0067 0,1202 0,2837 0,5094 0,7870 1,0876 1,3968 1,7318 2,1248 2,5895 3,0992 3,5919 4,0011 4,2942 4,4866 4,6200 4,7271 4,8149 4,8713 4,8789 4,8129 4,6364 4,3188 3,8553 3,2650 2,5939 1,9193 1,3243 0,8604 0,5397 0,3523 0,2862 0,3324 0,4804 0,7141 1,0119 1,3459 1,6813 1,9855 2,2444 2,4589 2,6318 2,7694
F7    0,0187 0,2059 0,4208 0,6151 0,7471 0,7929 0,7520 0,6491 0,5208 0,3972 0,2918 0,1922 0,0695 -0,0852 -0,2379 -0,3356 -0,3435 -0,2606 -0,1181 0,0313 0,1366 0,1807 0,1910 0,2099 0,2569 0,3239 0,3990 0,4795 0,5595 0,6101 0,5834 0,4439 0,1970 -0,1100 -0,4111 -0,6429 -0,7585 -0,7473 -0,6417 -0,4949 -0,3530 -0,2561 -0,2461 -0,3497 -0,5508 -0,7799 -0,9318 -0,8994 -0,6175 -0,1044 0,5338 1,1519 1,6243 1,8704 1,8625 1,6297 1,2410 0,7699 0,2683 -0,2263 -0,6587 -0,9402 -0,9768 -0,7231 -0,2235 0,3904 0,9595 1,3677 1,5687 1,5723 1,4169 1,1416 0,7708 0,3165 -0,2076 -0,7694 -1,3175 -1,8033 -2,1986 -2,4873 -2,6466 -2,6413 -2,4552 -2,1381 -1,7977 -1,5321 -1,3775 -1,3108 -1,2820 -1,2449 -1,1694 -1,0366 -0,8382 -0,5853 -0,3099 -0,0525 0,1463 0,2518 0,2465 0,1384 -0,0425 -0,2451 -0,3967 -0,4323 -0,3489 -0,2238 -0,1676 -0,2608 -0,5213 -0,9016 -1,3188 -1,7092 -2,0586 -2,3859 -2,7151 -3,0686 -3,4613 -3,8859 -4,3164 -4,7329 -5,1319 -5,5070 -5,8279 -6,0537 -6,1611 -6,1491 -6,0298 -5,8228 -5,5442 -5,1829 -4,6961 -4,0459 -3,2454 -2,3605 -1,4676 -0,6116 0,2059 1,0003 1,7587 2,4193 2,9001 3,1446 3,1513 2,9783 2,7308 2,5252 2,4321 2,4435 2,4974 2,5270 2,4881 2,3703 2,1999 2,0190 1,8589 1,7381 1,6755 1,6872 1,7695 1,8921 2,0203 2,1451 2,2843 2,4533 2,6361 2,7922 2,8848 2,8946 2,8217 2,6915 2,5465 2,4157 2,2985 2,1862 2,0893 2,0335 2,0412 2,1259 2,2997 2,5742 2,9459 3,3804 3,8166 4,1807 4,4053 4,4570 4,3576 4,1770 4,0001 3,8909 3,8721 3,9235 3,9924 4,0249 4,0063 3,9614 3,9124 3,8612 3,8072 3,7605 3,7376 3,7465 3,7730 3,7943 3,8124 3,8626 3,9791 4,1574 4,3476 4,4740 4,4639 4,2811 3,9422 3,4995 3,0208 2,5858 2,2664 2,0890 2,0153 1,9554 1,8055 1,5050 1,0817 0,6408 0,3039 0,1502 0,1963 0,4018 0,6755 0,9005 0,9991 0,9842 0,9355 0,9233 0,9626 1,0232 1,0635 1,0656 1,0463 1,0340 1,0438 1,0835 1,1741 1,3443 1,6005 1,9053 2,1937 2,4063 2,5115 2,5081 2,4059 2,2053 1,9110 1,5612 1,2248 0,9680 0,8306 0,8270 0,9453 1,1405 1,3519 1,5426 1,7185 1,9032 2,1025 2,2976 2,4562 2,5453 2,5442 2,4551 2,2982 2,1020 1,8987 1,7158 1,5623 1,4208 1,2650 1,0868 0,9053 0,7617 0,7068 0,7713 0,9450 1,2023 1,5228 1,8603 2,1237 2,2275 2,1548 1,9647 1,7560 1,6248 1,6295 1,7675 1,9725 2,1522 2,2501 2,2733 2,2628 2,2531 2,2628 2,3047 2,3798 2,4676 2,5432 2,6030 2,6636 2,7420 2,8410 2,9508 3,0696 3,2163 3,4060 3,6157 3,8001 3,9361 4,0362 4,1300 4,2466 4,3951 4,5516 4,6722 4,7186 4,6727 4,5426 4,3673 4,2012 4,0740 3,9678 3,8429 3,6663 3,4128 3,0709 2,6721 2,3120 2,1220 2,1924 2,5051 2,9410 3,3627 3,6889 3,8981 3,9955 3,9991 3,9383 3,8439 3,7336 3,6080 3,4650 3,3247 3,2415 3,2828 3,4847 3,8180 4,1944 4,5105 4,6977 4,7484 4,7074 4,6413 4,6048 4,6130 4,6314 4,6000 4,4765 4,2625 4,0016 3,7613 3,6092 3,5978 3,7525 4,0676 4,5105 5,0259 5,5377 5,9620 6,2402 6,3651 6,3598 6,2407 6,0216 5,7374 5,4447 5,1986 5,0345 4,9706 5,0107 5,1348 5,3006 5,4651 5,5984 5,6797 5,6844 5,5784 5,3339 4,9612 4,5258 4,1370 3,9088 3,9082 4,1296 4,5129 4,9828 5,4594 5,8487 6,0707 6,1114 6,0300 5,9159 5,8393 5,8284 5,8673 5,9056 5,8843 5,7652 5,5373 5,2139 4,8333 4,4402 4,0591 3,7031 3,4023 3,2018 3,1382 3,2192 3,4101 3,6426 3,8478 3,9890 4,0734 4,1335 4,1918 4,2528 4,3263 4,4324 4,5790 4,7519 4,9226 5,0560 5,1140 5,0585 4,8593 4,5126 4,0536 3,5454 3,0600 2,6597 2,3698 2,1568 1,9478 1,6877 1,3758 1,0491 0,7536 0,5410 0,4636 0,5519 0,8017 1,1762 1,6115 2,0337 2,3851 2,6320 2,7489 2,7196 2,5791 2,4262 2,3650 2,4448 2,6607 2,9824 3,3697 3,7731 4,1334 4,3916 4,5100 4,4863 4,3419 4,1135 3,8585 3,6504 3,5576 3,6157 3,8042 4,0534 4,2661 4,3306 4,1477 3,6742 2,9533 2,1112 1,3082 0,6604 0,1886 -0,1645 -0,4776 -0,8128 -1,2085 -1,6700 -2,1613 -2,6250 -3,0041 -3,2455 -3,3190 -3,2444 -3,0742 -2,8512 -2,6054 -2,3717 -2,1618 -1,9189 -1,5510 -1,0230 -0,3845 0,2854 0,9289 1,5233 2,0755 2,6050 3,1313 3,6558 4,1434 4,5424 4,8290 5,0116 5,1078 5,1406 5,1414 5,1290 5,0836 4,9589 4,7341 4,4471 4,1750 3,9878 3,9193 3,9619 4,0836 4,2547 4,4534 4,6504 4,8047 4,8706 4,7947 4,5280 4,0666 3,4689 2,8186 2,1843 1,6097 1,1172 0,7193 0,4325 0,2797 0,2689 0,3689 0,5220 0,6903 0,8737 1,0890 1,3490 1,6522 1,9760 2,2881 2,5715 2,8322 3,0792 3,3070 3,5009 3,6522 3,7655 3,8550 3,9335 3,9975 4,0218 3,9755 3,8485 3,6460 3,3551 2,9422 2,3829 1,6869 0,9097 0,1462 -0,5118 -1,0083 -1,3169 -1,4396 -1,4215 -1,3443 -1,2864 -1,2869 -1,3434 -1,4305 -1,5129 -1,5475 -1,4855 -1,2929 -0,9789 -0,6046
