Fp1   -0,5109 0,2399 1,0368 1,7254 2,1387 2,1558 1,7383 0,9219 -0,2121 -1,5677 -3,0590 -4,5760 -5,8962 -6,6837 -6,6309 -5,6102 -3,7282 -1,3056 1,1846 3,2400 4,4899 4,8000 4,2773 3,2032 1,9130 0,6567 -0,4599 -1,4194 -2,2073 -2,7792 -3,0730 -3,0442 -2,7075 -2,1444 -1,4603 -0,7382 -0,0287 0,6306 1,1986 1,6394 1,9499 2,1666 2,3239 2,4246 2,4701 2,4833 2,4728 2,3976 2,1828 1,7810 1,2227 0,6029 0,0307 -0,4006 -0,6232 -0,6252 -0,4803 -0,3165 -0,2289 -0,2288 -0,2741 -0,3284 -0,3885 -0,4706 -0,5860 -0,7416 -0,9655 -1,3145 -1,8273 -2,4536 -3,0362 -3,3826 -3,3654 -2,9760 -2,3051 -1,4741 -0,5958 0,1802 0,6452 0,6364 0,1593 -0,6226 -1,4916 -2,2415 -2,6808 -2,6603 -2,1604 -1,3293 -0,3999 0,4295 1,0509 1,4392 1,6286 1,6883 1,6676 1,5292 1,1468 0,4174 -0,5927 -1,6247 -2,3698 -2,6526 -2,5116 -2,1182 -1,6164 -1,0372 -0,3486 0,4316 1,1714 1,6619 1,6927 1,1111 -0,1027 -1,7561 -3,4735 -4,8671 -5,7232 -6,0485 -5,9552 -5,5188 -4,7591 -3,7620 -2,7682 -2,0839 -1,9164 -2,2780 -2,9719 -3,6758 -4,0997 -4,0744 -3,5138 -2,3906 -0,8006 1,0078 2,7252 4,0980 4,9694 5,2540 4,9279 4,0672 2,8654 1,5811 0,4759 -0,2156 -0,3259 0,1607 1,0451 1,9743 2,6274 2,8849 2,8264 2,5729 2,1603 1,5385 0,6343 -0,5746 -1,9956 -3,4101 -4,5218 -5,0417 -4,7877 -3,7668 -2,2085 -0,5202 0,8321 1,4579 1,1334 -0,1512 -2,1778 -4,5349 -6,7078 -8,2090 -8,7089 -8,1104 -6,5448 -4,3234 -1,8730 0,3723 2,1095 3,2334 3,7748 3,7707 3,1818 1,9504 0,1357 -2,0671 -4,4243 -6,6963 -8,5787 -9,7266 -9,9164 -9,1917 -7,8631 -6,3702 -5,0906 -4,2081 -3,7157 -3,5023 -3,4244 -3,3360 -3,1266 -2,7863 -2,4279 -2,2175 -2,2771 -2,6308 -3,2224 -3,9893 -4,9232 -6,0382 -7,2700 -8,4163 -9,1717 -9,2441 -8,4915 -7,0061 -5,1121 -3,2539 -1,8087 -0,9571 -0,7037 -0,9703 -1,6493 -2,6115 -3,6953 -4,6889 -5,3375 -5,4176 -4,8562 -3,8012 -2,5676 -1,4972 -0,8384 -0,6674 -0,8680 -1,2044 -1,4393 -1,4315 -1,1896 -0,8369 -0,5210 -0,3805 -0,5602 -1,1694 -2,1864 -3,4164 -4,5541 -5,3026 -5,4921 -5,1544 -4,4730 -3,6246 -2,6926 -1,7336 -0,8580 -0,2314 -0,0121 -0,2588 -0,8705 -1,6306 -2,3259 -2,8218 -3,0226 -2,8101 -2,0888 -0,9016 0,5386 1,9462 3,0984 3,9011 4,3408 4,3911 3,9933 3,1271 1,8615 0,3360 -1,2898 -2,8988 -4,4454 -5,8808 -7,0583 -7,7693 -7,8738 -7,3616 -6,3133 -4,8601 -3,2008 -1,6066 -0,3500 0,3995 0,6556 0,6280 0,6103 0,7905 1,1422 1,4809 1,6176 1,5062 1,3086 1,3164 1,7513 2,5714 3,4262 3,8306 3,4537 2,2913 0,6323 -1,0835 -2,4169 -3,0701 -2,9768 -2,2911 -1,2828 -0,1990 0,8162 1,7008 2,4133 2,9102 3,1608 3,1379 2,7679 1,9145 0,4819 -1,4083 -3,3314 -4,6957 -5,0416 -4,2684 -2,6060 -0,4014 2,0624 4,5828 6,9397 8,8312 9,9345 10,0340 9,1072 7,3290 5,0390 2,6998 0,8071 -0,2658 -0,4155 0,1539 1,0287 1,7654 2,0744 1,9246 1,5114 1,1100 0,8919 0,8112 0,6530 0,2200 -0,5103 -1,3808 -2,1558 -2,6298 -2,6932 -2,3496 -1,7082 -0,9364 -0,1553 0,6507 1,6066 2,8270 4,3098 5,8970 7,3176 8,3091 8,7318 8,5710 7,8543 6,6422 5,1146 3,5735 2,2993 1,4317 0,9991 1,0082 1,4376 2,1596 2,9518 3,6241 4,1172 4,4868 4,8015 5,0364 5,0572 4,7146 3,9738 2,9857 2,0284 1,3429 1,0302 1,0956 1,5322 2,3435 3,4997 4,8811 6,3112 7,6669 8,8822 9,8305 10,2822 10,0210 9,0022 7,4319 5,7060 4,2269 3,2235 2,7107 2,5828 2,7058 2,9475 3,2101 3,4799 3,8068 4,2047 4,5893 4,8237 4,8109 4,5732 4,2692 4,1041 4,1814 4,4248 4,6644 4,8041 4,8961 5,0845 5,4908 6,0970 6,6988 6,9887 6,7163 5,8125 4,4209 2,8674 1,5825 0,9429 1,0834 1,8449 2,9038 3,9460 4,7795 5,3630 5,7477 5,9899 6,1164 6,1448 6,1008 6,0225 5,9596 5,9612 6,0563 6,2285 6,3954 6,4302 6,2369 5,8382 5,4034 5,1730 5,3303 5,9181 6,8421 7,9514 9,1293 10,3144 11,4651 12,5209 13,3695 13,8338 13,7125 12,8538 11,2241 8,9673 6,3953 3,8616 1,6365 -0,1107 -1,2773 -1,7957 -1,6280 -0,8225 0,4274 1,8313 3,1077 4,0414 4,4937 4,3979 3,7550 2,6532 1,2971 -0,0044 -0,9204 -1,2300 -0,9182 -0,1373 0,9331 2,1788 3,5116 4,7794 5,7664 6,3145 6,4281 6,2451 5,9439 5,7068 5,7106 6,0927 6,9021 8,0311 9,1610 9,8289 9,6481 8,5570 6,9022 5,2590 4,1080 3,6060 3,6121 3,8935 4,2824 4,7017 5,1469 5,6596 6,2749 6,9596 7,5558 7,8070 7,5025 6,5917 5,1803 3,4826 1,7567 0,2007 -1,1206 -2,2240 -3,0643 -3,4541 -3,1606 -2,1274 -0,5939 1,0383 2,4175 3,3163 3,6112 3,2788 2,4143 1,2094 -0,1211 -1,3895 -2,4325 -3,0981 -3,2374 -2,7209 -1,5187 0,2010 2,0528 3,5219 4,1339 3,6436 2,1308 -0,0472 -2,4068 -4,5262 -6,1525 -7,1499 -7,4024 -6,8232 -5,4509 -3,5157 -1,4085 0,4390 1,6857 2,1565 1,8647 0,9933 -0,1691 -1,3331 -2,3163 -3,0756 -3,6294 -3,9634 -4,0150 -3,7119 -3,0223 -2,0067 -0,8382 0,2368 0,9923 1,3361 1,3626 1,2872 1,3239 1,5923 2,0693 2,6007 2,9699
Fz    0,3497 0,1622 -0,1456 -0,5596 -1,0208 -1,4523 -1,7841 -1,9644 -1,9623 -1,7759 -1,4530 -1,0878 -0,7788 -0,5856 -0,5092 -0,4954 -0,4735 -0,4004 -0,2738 -0,1223 0,0050 0,0567 0,0065 -0,1280 -0,2981 -0,4583 -0,5818 -0,6422 -0,6007 -0,4241 -0,1085 0,3192 0,8121 1,3104 1,7489 2,0692 2,2336 2,2304 2,0716 1,7879 1,4263 1,0486 0,7158 0,4657 0,3072 0,2268 0,1938 0,1740 0,1622 0,2027 0,3666 0,6929 1,1405 1,6012 1,9565 2,1243 2,0822 1,8701 1,5672 1,2485 0,9521 0,6806 0,4315 0,2189 0,0601 -0,0460 -0,1130 -0,1459 -0,1293 -0,0354 0,1497 0,4057 0,6908 0,9758 1,2558 1,5259 1,7512 1,8689 1,8231 1,5961 1,2067 0,6868 0,0765 -0,5566 -1,1112 -1,4864 -1,6279 -1,5412 -1,2684 -0,8676 -0,4097 0,0264 0,3689 0,5735 0,6358 0,5815 0,4454 0,2613 0,0672 -0,0923 -0,1888 -0,2358 -0,2743 -0,3231 -0,3597 -0,3580 -0,3301 -0,3252 -0,3925 -0,5453 -0,7607 -1,0078 -1,2694 -1,5398 -1,8133 -2,0784 -2,3274 -2,5709 -2,8363 -3,1373 -3,4327 -3,6293 -3,6357 -3,4112 -2,9737 -2,3789 -1,6938 -0,9710 -0,2338 0,5191 1,2837 2,0214 2,6549 3,0970 3,2933 3,2470 3,0162 2,6868 2,3347 2,0089 1,7376 1,5319 1,3861 1,2983 1,2872 1,3798 1,5887 1,9044 2,2945 2,7108 3,1042 3,4352 3,6713 3,7852 3,7627 3,6208 3,4146 3,2132 3,0566 2,9312 2,7846 2,5618 2,2324 1,8112 1,3642 0,9847 0,7606 0,7574 1,0039 1,4761 2,0890 2,7063 3,1773 3,3902 3,3102 2,9864 2,5235 2,0372 1,6171 1,3063 1,0951 0,9352 0,7727 0,5786 0,3573 0,1289 -0,0892 -0,2815 -0,4282 -0,5201 -0,5840 -0,6762 -0,8436 -1,0915 -1,3778 -1,6310 -1,7902 -1,8429 -1,8270 -1,7946 -1,7798 -1,7963 -1,8463 -1,9179 -1,9816 -2,0087 -1,9995 -1,9905 -2,0413 -2,2126 -2,5423 -3,0222 -3,5930 -4,1619 -4,6288 -4,9091 -4,9576 -4,7828 -4,4329 -3,9688 -3,4532 -2,9545 -2,5424 -2,2667 -2,1286 -2,0706 -2,0043 -1,8630 -1,6311 -1,3384 -1,0379 -0,7784 -0,5807 -0,4346 -0,3118 -0,1834 -0,0273 0,1712 0,4138 0,6887 0,9757 1,2459 1,4586 1,5743 1,5774 1,4815 1,3166 1,1155 0,9070 0,7036 0,4926 0,2488 -0,0433 -0,3764 -0,7214 -1,0362 -1,2715 -1,3720 -1,2901 -1,0171 -0,6017 -0,1376 0,2699 0,5329 0,5937 0,4325 0,0860 -0,3487 -0,7464 -1,0004 -1,0559 -0,9252 -0,6800 -0,4233 -0,2543 -0,2427 -0,4200 -0,7895 -1,3349 -2,0064 -2,7093 -3,3312 -3,7863 -4,0341 -4,0713 -3,9075 -3,5425 -2,9680 -2,1949 -1,2809 -0,3359 0,5051 1,1186 1,4237 1,4117 1,1574 0,7788 0,3653 -0,0522 -0,4640 -0,8410 -1,1448 -1,3574 -1,4874 -1,5548 -1,5777 -1,5595 -1,4816 -1,3186 -1,0731 -0,7988 -0,5794 -0,4771 -0,4943 -0,5782 -0,6546 -0,6553 -0,5217 -0,2087 0,2941 0,9358 1,6090 2,2023 2,6602 3,0009 3,2846 3,5659 3,8661 4,1679 4,4231 4,5732 4,5840 4,4728 4,2918 4,0781 3,8295 3,5233 3,1428 2,6944 2,2175 1,7713 1,4071 1,1564 1,0334 1,0355 1,1479 1,3556 1,6436 1,9834 2,3101 2,5090 2,4501 2,0646 1,4013 0,6128 -0,1168 -0,6485 -0,9280 -0,9810 -0,8865 -0,7438 -0,6402 -0,6156 -0,6343 -0,6052 -0,4418 -0,1068 0,3849 0,9779 1,5957 2,1754 2,6907 3,1316 3,4742 3,6818 3,7281 3,6214 3,4103 3,1685 2,9628 2,8178 2,7049 2,5719 2,3827 2,1338 1,8564 1,6174 1,5029 1,5811 1,8691 2,3260 2,8642 3,3687 3,7273 3,8750 3,8188 3,6207 3,3596 3,0939 2,8420 2,6029 2,3883 2,2208 2,1169 2,0916 2,1653 2,3502 2,6305 2,9581 3,2680 3,4995 3,6064 3,5596 3,3513 3,0033 2,5766 2,1650 1,8650 1,7412 1,8110 2,0405 2,3566 2,6800 2,9625 3,2027 3,4260 3,6477 3,8512 3,9948 4,0352 3,9569 3,7888 3,5884 3,4011 3,2347 3,0781 2,9418 2,8631 2,8679 2,9396 3,0274 3,0779 3,0726 3,0416 3,0325 3,0752 3,1831 3,3722 3,6661 4,0805 4,5956 5,1471 5,6570 6,0660 6,3323 6,4209 6,3117 6,0073 5,5284 4,9136 4,2360 3,6112 3,1722 3,0192 3,1903 3,6643 4,3736 5,2184 6,0920 6,9068 7,6011 8,1250 8,4310 8,4945 8,3386 8,0295 7,6460 7,2381 6,7976 6,2729 5,6280 4,8948 4,1704 3,5621 3,1329 2,8844 2,7666 2,6928 2,5703 2,3494 2,0461 1,7190 1,4321 1,2243 1,0967 1,0327 1,0278 1,0879 1,2165 1,4260 1,7500 2,2267 2,8697 3,6490 4,4938 5,3209 6,0734 6,7297 7,2718 7,6477 7,7838 7,6427 7,2509 6,6765 6,0120 5,3766 4,9015 4,6856 4,7450 5,0032 5,3400 5,6534 5,8859 6,0129 6,0216 5,9070 5,6804 5,3728 5,0233 4,6500 4,2374 3,7728 3,2902 2,8734 2,6180 2,5756 2,7199 2,9671 3,2253 3,4239 3,5141 3,4675 3,2868 3,0048 2,6626 2,2847 1,8720 1,4166 0,9157 0,3816 -0,1522 -0,6428 -1,0566 -1,3805 -1,6244 -1,8168 -1,9900 -2,1685 -2,3595 -2,5467 -2,6985 -2,7898 -2,8168 -2,7977 -2,7598 -2,7283 -2,7204 -2,7345 -2,7407 -2,6969 -2,5840 -2,4283 -2,3011 -2,2984 -2,4859 -2,8373 -3,2320 -3,5285 -3,6430 -3,5693 -3,3607 -3,1087 -2,9129 -2,8418 -2,9146 -3,1111 -3,3948 -3,7365 -4,1158 -4,4875 -4,7703 -4,8897 -4,8204 -4,5839 -4,2311 -3,8304 -3,4559 -3,1680 -2,9864 -2,8763
F3    0,0302 -1,1416 -2,1656 -2,9440 -3,4129 -3,5478 -3,3497 -2,8204 -1,9664 -0,8412 0,4044 1,5330 2,3051 2,5725 2,3345 1,7350 0,9876 0,2708 -0,3224 -0,7718 -1,0971 -1,3295 -1,4951 -1,6144 -1,6998 -1,7385 -1,6802 -1,4541 -1,0074 -0,3415 0,4861 1,3961 2,3177 3,1824 3,8973 4,3381 4,3967 4,0518 3,3939 2,5849 1,7948 1,1411 0,6360 0,1813 -0,3445 -0,9744 -1,6170 -2,1027 -2,2502 -1,9411 -1,1914 -0,1648 0,9069 1,8327 2,5104 2,9103 3,0627 3,0559 2,9887 2,8990 2,7519 2,4883 2,0724 1,5025 0,7980 0,0053 -0,7762 -1,3904 -1,6661 -1,4895 -0,8677 0,0645 1,1179 2,1496 3,0968 3,9314 4,6165 5,1085 5,3646 5,3280 4,9197 4,0787 2,8436 1,3959 -0,0134 -1,1907 -2,0413 -2,5200 -2,6044 -2,3237 -1,7742 -1,0945 -0,4312 0,1004 0,4558 0,6724 0,8393 1,0419 1,3087 1,5942 1,8037 1,8446 1,6842 1,3776 1,0290 0,7067 0,3909 0,0008 -0,5324 -1,2006 -1,9018 -2,4917 -2,8718 -3,0456 -3,0944 -3,1037 -3,1275 -3,2204 -3,4701 -3,9538 -4,6386 -5,3245 -5,7034 -5,5041 -4,6207 -3,1433 -1,3021 0,6230 2,3817 3,7778 4,6536 4,9083 4,5529 3,7217 2,6158 1,4317 0,3388 -0,4996 -0,9318 -0,8710 -0,3463 0,4903 1,4113 2,2051 2,7491 3,0292 3,1141 3,0966 3,0313 2,9242 2,7821 2,6458 2,5664 2,5706 2,6619 2,8487 3,1496 3,5547 3,9835 4,2833 4,2791 3,8519 3,0203 1,9906 1,0986 0,6473 0,7817 1,4865 2,6479 4,0858 5,5474 6,7247 7,3343 7,2092 6,3451 4,9031 3,1676 1,4520 -0,0107 -1,1264 -1,9071 -2,3810 -2,5404 -2,3674 -1,8814 -1,1470 -0,2555 0,6818 1,5334 2,1457 2,3573 2,0628 1,2997 0,2559 -0,8241 -1,7438 -2,3993 -2,7740 -2,9175 -2,9184 -2,8667 -2,8225 -2,7933 -2,7099 -2,4438 -1,8984 -1,0916 -0,1366 0,8282 1,6556 2,1722 2,2038 1,6461 0,5257 -0,9874 -2,6252 -4,0988 -5,1651 -5,6724 -5,5914 -5,0175 -4,1266 -3,1067 -2,1132 -1,2624 -0,6435 -0,3127 -0,2644 -0,4260 -0,7038 -1,0223 -1,3155 -1,5130 -1,5635 -1,4629 -1,2571 -1,0119 -0,7670 -0,5113 -0,2034 0,1786 0,5981 0,9632 1,1858 1,2537 1,2274 1,1629 1,0654 0,9170 0,7186 0,4866 0,2192 -0,1050 -0,4760 -0,8132 -0,9891 -0,8924 -0,4776 0,2208 1,0927 1,9684 2,6600 3,0118 2,9285 2,3827 1,4308 0,2287 -0,9960 -2,0156 -2,6671 -2,8787 -2,6720 -2,1429 -1,4239 -0,6500 0,0523 0,5697 0,8216 0,7783 0,4417 -0,1932 -1,1314 -2,3103 -3,5611 -4,6500 -5,3419 -5,4391 -4,8154 -3,4651 -1,5549 0,5612 2,4255 3,6456 4,0414 3,6973 2,9019 1,9830 1,1197 0,2764 -0,6831 -1,8069 -2,9619 -3,8993 -4,3877 -4,3053 -3,6687 -2,6273 -1,4305 -0,3533 0,3934 0,7138 0,6160 0,1754 -0,4977 -1,2797 -2,0313 -2,5824 -2,7481 -2,3765 -1,3980 0,1305 2,0172 3,9859 5,7492 7,0544 7,7289 7,7488 7,2668 6,5321 5,7472 4,9779 4,1866 3,3473 2,5189 1,8271 1,4032 1,3240 1,5569 1,9396 2,2252 2,1868 1,7394 1,0036 0,2459 -0,2557 -0,3111 0,1457 1,0484 2,2001 3,2981 4,0066 4,0793 3,4678 2,3408 1,0081 -0,2034 -1,0590 -1,4620 -1,4363 -1,0918 -0,5867 -0,0745 0,3483 0,6487 0,8181 0,8502 0,7698 0,6559 0,6004 0,6540 0,8374 1,1779 1,6926 2,3451 3,0481 3,7066 4,2530 4,6454 4,8392 4,7740 4,4048 3,7610 2,9628 2,1607 1,4552 0,8952 0,5605 0,6039 1,1639 2,2350 3,6367 5,0849 6,2871 7,0295 7,2401 6,9748 6,3443 5,4580 4,4167 3,3194 2,2624 1,3320 0,6047 0,1627 0,1020 0,4981 1,3512 2,5520 3,8915 5,1222 6,0479 6,5758 6,6926 6,4206 5,8161 4,9811 4,0463 3,1500 2,4367 2,0353 2,0088 2,3227 2,8556 3,4462 3,9649 4,3666 4,6705 4,9027 5,0528 5,0543 4,8024 4,2232 3,3550 2,3729 1,5217 1,0115 0,9565 1,3546 2,0812 2,9122 3,6033 3,9964 4,0672 3,8868 3,5551 3,1690 2,8314 2,6627 2,7692 3,1841 3,8468 4,6484 5,4965 6,3309 7,0840 7,6539 7,9290 7,8273 7,3131 6,4069 5,2047 3,8843 2,6763 1,8094 1,4449 1,6305 2,2992 3,3081 4,4756 5,6032 6,5043 7,0494 7,2099 7,0861 6,8975 6,8934 7,2105 7,7799 8,3634 8,6843 8,5597 7,9687 7,0321 5,9248 4,8073 3,8123 3,0248 2,4506 2,0336 1,7188 1,4987 1,4106 1,4912 1,7068 1,9272 2,0000 1,8626 1,5753 1,2644 1,0566 1,0520 1,3289 1,9567 2,9811 4,3835 6,0537 7,7949 9,3554 10,4821 10,9783 10,7464 9,8185 8,3699 6,7074 5,2235 4,2970 4,1565 4,7792 5,9087 7,1921 8,3270 9,1138 9,4435 9,2813 8,6580 7,6682 6,4622 5,2228 4,1189 3,2601 2,6927 2,4394 2,5265 2,9611 3,6788 4,5296 5,3494 6,0534 6,6292 7,0423 7,1893 6,9749 6,4307 5,7181 4,9910 4,2819 3,5371 2,7240 1,8769 1,0736 0,4082 -0,0382 -0,2351 -0,2220 -0,1066 -0,0533 -0,2444 -0,7959 -1,6699 -2,6615 -3,4822 -3,8847 -3,7587 -3,1572 -2,2470 -1,2296 -0,2827 0,4699 0,9615 1,1602 1,0494 0,6312 -0,0514 -0,8996 -1,7670 -2,4793 -2,8763 -2,8790 -2,5359 -2,0034 -1,4790 -1,1302 -1,0383 -1,1768 -1,4512 -1,7710 -2,1042 -2,4912 -2,9961 -3,6068 -4,1823 -4,5333 -4,5693 -4,3652 -4,0959 -3,9149 -3,8696 -3,8987 -3,8788 -3,6699
F7    -0,0735 0,0736 0,0796 -0,0503 -0,2827 -0,5754 -0,8852 -1,1701 -1,3912 -1,5210 -1,5593 -1,5322 -1,4608 -1,3465 -1,1855 -0,9773 -0,7242 -0,4402 -0,1537 0,1020 0,2971 0,4063 0,4198 0,3562 0,2485 0,1099 -0,0715 -0,2988 -0,5355 -0,7102 -0,7481 -0,6116 -0,3213 0,0619 0,4753 0,8764 1,2410 1,5481 1,7623 1,8335 1,7281 1,4680 1,1320 0,8192 0,6045 0,5129 0,5208 0,5806 0,6512 0,7174 0,7917 0,8951 1,0311 1,1804 1,3169 1,4128 1,4309 1,3357 1,1310 0,8736 0,6380 0,4721 0,3919 0,4041 0,5134 0,7059 0,9363 1,1422 1,2777 1,3342 1,3279 1,2792 1,2133 1,1669 1,1758 1,2529 1,3698 1,4616 1,4593 1,3324 1,1072 0,8392 0,5748 0,3488 0,2042 0,1821 0,2857 0,4736 0,6920 0,9055 1,0997 1,2664 1,3927 1,4690 1,4986 1,4853 1,4149 1,2720 1,0809 0,9111 0,8274 0,8390 0,9045 0,9811 1,0595 1,1492 1,2441 1,3124 1,3186 1,2442 1,0814 0,8171 0,4417 -0,0254 -0,5319 -1,0165 -1,4383 -1,7878 -2,0728 -2,2898 -2,4145 -2,4251 -2,3274 -2,1518 -1,9342 -1,6982 -1,4431 -1,1478 -0,7873 -0,3392 0,2160 0,8777 1,6039 2,3161 2,9341 3,4082 3,7228 3,8712 3,8417 3,6427 3,3256 2,9686 2,6460 2,4217 2,3488 2,4503 2,7012 3,0415 3,4066 3,7509 4,0535 4,3078 4,5047 4,6236 4,6368 4,5309 4,3264 4,0720 3,8183 3,5991 3,4340 3,3301 3,2694 3,2072 3,0970 2,9176 2,6810 2,4208 2,1784 1,9985 1,9242 1,9793 2,1533 2,4058 2,6901 2,9729 3,2332 3,4499 3,6054 3,6929 3,7106 3,6487 3,4911 3,2280 2,8634 2,4109 1,8904 1,3398 0,8287 0,4417 0,2323 0,1923 0,2581 0,3430 0,3834 0,3710 0,3338 0,2920 0,2419 0,1745 0,0910 -0,0041 -0,1181 -0,2702 -0,4781 -0,7476 -1,0723 -1,4384 -1,8298 -2,2348 -2,6433 -3,0323 -3,3513 -3,5357 -3,5363 -3,3437 -2,9956 -2,5656 -2,1302 -1,7396 -1,4175 -1,1849 -1,0711 -1,0919 -1,2204 -1,3808 -1,4757 -1,4308 -1,2233 -0,8821 -0,4707 -0,0653 0,2674 0,4940 0,6273 0,7157 0,8194 0,9839 1,2159 1,4814 1,7298 1,9156 2,0024 1,9649 1,7989 1,5315 1,2173 0,9182 0,6813 0,5230 0,4272 0,3662 0,3201 0,2767 0,2228 0,1411 0,0157 -0,1479 -0,3116 -0,4251 -0,4591 -0,4164 -0,3184 -0,1865 -0,0375 0,1118 0,2474 0,3684 0,4877 0,6232 0,7866 0,9669 1,1249 1,2068 1,1644 0,9688 0,6181 0,1340 -0,4449 -1,0587 -1,6166 -2,0182 -2,1973 -2,1459 -1,9012 -1,5200 -1,0619 -0,5798 -0,1106 0,3267 0,7292 1,1036 1,4496 1,7451 1,9538 2,0498 2,0333 1,9239 1,7537 1,5711 1,4316 1,3550 1,2934 1,1615 0,9043 0,5373 0,1390 -0,1775 -0,3052 -0,1929 0,1273 0,5579 0,9903 1,3565 1,6451 1,8782 2,0800 2,2654 2,4405 2,5938 2,6859 2,6602 2,4781 2,1596 1,8017 1,5508 1,5315 1,7802 2,2388 2,8018 3,3691 3,8771 4,3030 4,6412 4,8669 4,9258 4,7645 4,3737 3,8146 3,2134 2,7154 2,4191 2,3391 2,4199 2,5732 2,7109 2,7698 2,7299 2,6167 2,4753 2,3309 2,1676 1,9509 1,6694 1,3556 1,0681 0,8589 0,7550 0,7579 0,8492 0,9937 1,1439 1,2606 1,3491 1,4694 1,6964 2,0660 2,5544 3,0930 3,6036 4,0309 4,3513 4,5559 4,6378 4,5994 4,4593 4,2497 4,0148 3,8123 3,7025 3,7124 3,8056 3,9041 3,9401 3,8915 3,7869 3,6810 3,6128 3,5840 3,5762 3,5780 3,5972 3,6535 3,7552 3,8944 4,0645 4,2695 4,5136 4,7795 5,0222 5,2038 5,3275 5,4165 5,4637 5,4256 5,2643 4,9845 4,6359 4,2953 4,0446 3,9379 3,9703 4,0778 4,1725 4,1880 4,1091 3,9729 3,8358 3,7342 3,6744 3,6478 3,6490 3,6850 3,7783 3,9501 4,1904 4,4415 4,6239 4,6902 4,6637 4,6240 4,6505 4,7667 4,9227 5,0227 4,9844 4,7892 4,4859 4,1556 3,8782 3,7108 3,6697 3,7325 3,8629 4,0234 4,1760 4,2922 4,3692 4,4335 4,5222 4,6497 4,7932 4,9127 4,9840 5,0120 5,0190 5,0241 5,0318 5,0350 5,0289 5,0293 5,0779 5,2203 5,4738 5,8241 6,2441 6,7034 7,1661 7,5989 7,9881 8,3396 8,6466 8,8618 8,9081 8,7172 8,2676 7,6094 6,8478 6,0843 5,3685 4,7073 4,1106 3,6179 3,2820 3,1243 3,1041 3,1302 3,1017 2,9486 2,6565 2,2629 1,8316 1,4316 1,1308 0,9868 1,0370 1,2839 1,6842 2,1679 2,6782 3,1932 3,7097 4,2121 4,6620 5,0224 5,2917 5,5140 5,7530 6,0499 6,3970 6,7499 7,0649 7,3098 7,4479 7,4420 7,2815 7,0045 6,6952 6,4504 6,3340 6,3623 6,5174 6,7597 7,0271 7,2443 7,3485 7,3081 7,1261 6,8307 6,4513 6,0019 5,4996 4,9794 4,4829 4,0446 3,6896 3,4282 3,2524 3,1459 3,1002 3,1159 3,1886 3,2914 3,3745 3,3881 3,3067 3,1246 2,8424 2,4669 2,0200 1,5409 1,0763 0,6617 0,3140 0,0408 -0,1407 -0,1976 -0,1046 0,1240 0,4254 0,7050 0,8644 0,8352 0,6055 0,2279 -0,2009 -0,5865 -0,8708 -1,0236 -1,0246 -0,8715 -0,5958 -0,2725 -0,0094 0,0992 0,0299 -0,1585 -0,3734 -0,5465 -0,6566 -0,7217 -0,7829 -0,8819 -1,0380 -1,2411 -1,4575 -1,6434 -1,7717 -1,8489 -1,8973 -1,9310 -1,9522 -1,9487 -1,8864 -1,7251 -1,4523 -1,1052 -0,7607 -0,4990 -0,3667
