Fp1   -0,9384 -0,8028 -0,7185 -0,6612 -0,6081 -0,5508 -0,4847 -0,3971 -0,2758 -0,1268 0,0227 0,1435 0,2192 0,2487 0,2471 0,2398 0,2524 0,3010 0,3823 0,4647 0,4986 0,4520 0,3442 0,2457 0,2436 0,4013 0,7370 1,2200 1,7763 2,3054 2,7132 2,9405 2,9717 2,8269 2,5491 2,1846 1,7664 1,3147 0,8394 0,3347 -0,2195 -0,8417 -1,5308 -2,2488 -2,9173 -3,4414 -3,7458 -3,7987 -3,6169 -3,2615 -2,8192 -2,3733 -1,9856 -1,6958 -1,5229 -1,4613 -1,4861 -1,5716 -1,7039 -1,8759 -2,0815 -2,3166 -2,5742 -2,8303 -3,0383 -3,1442 -3,1156 -2,9635 -2,7398 -2,5131 -2,3451 -2,2822 -2,3566 -2,5825 -2,9451 -3,3928 -3,8493 -4,2351 -4,4815 -4,5387 -4,3841 -4,0245 -3,4895 -2,8265 -2,0912 -1,3318 -0,5788 0,1447 0,8070 1,3691 1,8011 2,0950 2,2660 2,3477 2,3863 2,4308 2,5234 2,6870 2,9128 3,1652 3,4002 3,5812 3,6853 3,7053 3,6536 3,5625 3,4712 3,4060 3,3749 3,3775 3,4096 3,4587 3,5087 3,5491 3,5786 3,6053 3,6435 3,7056 3,7965 3,9197 4,0829 4,2889 4,5255 4,7777 5,0553 5,3990 5,8483 6,4087 7,0528 7,7480 8,4757 9,2222 9,9601 10,6453 11,2309 11,6863 12,0116 12,2333 12,3783 12,4561 12,4663 12,4220 12,3633 12,3412 12,3869 12,5008 12,6622 12,8358 12,9710 13,0038 12,8720 12,5429 12,0380 11,4362 10,8440 10,3489 9,9822 9,7143 9,4786 9,2068 8,8540 8,4120 7,9134 7,4146 6,9647 6,5929 6,3194 6,1631 6,1341 6,2245 6,4108 6,6644 6,9652 7,3063 7,6865 8,0956 8,4934 8,8007 8,9191 8,7712 8,3403 7,6929 6,9624 6,2958 5,7991 5,5029 5,3567 5,2651 5,1469 4,9753 4,7749 4,5853 4,4251 4,2808 4,1233 3,9311 3,6939 3,3962 3,0069 2,4967 1,8711 1,1759 0,4646 -0,2337 -0,9131 -1,5700 -2,1927 -2,7601 -3,2433 -3,6202 -3,8950 -4,0912 -4,2205 -4,2685 -4,2130 -4,0452 -3,7703 -3,4110 -3,0254 -2,7051 -2,5331 -2,5322 -2,6527 -2,8070 -2,9207 -2,9613 -2,9411 -2,9034 -2,8970 -2,9518 -3,0726 -3,2418 -3,4215 -3,5611 -3,6137 -3,5554 -3,3933 -3,1605 -2,9107 -2,7155 -2,6490 -2,7565 -3,0294 -3,4050 -3,7911 -4,1093 -4,3275 -4,4540 -4,5120 -4,5269 -4,5225 -4,5153 -4,5127 -4,5174 -4,5256 -4,5283 -4,5249 -4,5348 -4,5863 -4,6958 -4,8540 -5,0291 -5,1859 -5,3041 -5,3855 -5,4516 -5,5352 -5,6612 -5,8306 -6,0224 -6,2043 -6,3446 -6,4264 -6,4524 -6,4365 -6,3931 -6,3337 -6,2689 -6,2080 -6,1570 -6,1202 -6,1047 -6,1188 -6,1607 -6,2083 -6,2218 -6,1618 -6,0154 -5,8053 -5,5790 -5,3857 -5,2545 -5,1853 -5,1535 -5,1163 -5,0247 -4,8440 -4,5661 -4,2102 -3,8228 -3,4731 -3,2313 -3,1303 -3,1447 -3,2100 -3,2598 -3,2465 -3,1466 -2,9697 -2,7642 -2,6008 -2,5429 -2,6153 -2,7918 -3,0152 -3,2384 -3,4526 -3,6826 -3,9559 -4,2738 -4,6083 -4,9263 -5,2108 -5,4559 -5,6466 -5,7565 -5,7648 -5,6729 -5,5107 -5,3351 -5,2116 -5,1857 -5,2679 -5,4403 -5,6677 -5,9011 -6,0896 -6,2073 -6,2719 -6,3312 -6,4306 -6,5881 -6,7880 -6,9909 -7,1521 -7,2341 -7,2113 -7,0662 -6,7850 -6,3620 -5,8152 -5,2035 -4,6217 -4,1583 -3,8447 -3,6453 -3,4898 -3,3151 -3,0920 -2,8260 -2,5423 -2,2723 -2,0405 -1,8457 -1,6601 -1,4569 -1,2418 -1,0548 -0,9480 -0,9645 -1,1312 -1,4524 -1,9018 -2,4259 -2,9636 -3,4640 -3,8913 -4,2297 -4,4947 -4,7311 -4,9839 -5,2662 -5,5585 -5,8398 -6,1070 -6,3630 -6,5982 -6,7922 -6,9292 -7,0064 -7,0358 -7,0392 -7,0343 -7,0227 -6,9916 -6,9246 -6,8137 -6,6649 -6,4972 -6,3402 -6,2267 -6,1734 -6,1687 -6,1832 -6,1883 -6,1666 -6,1168 -6,0578 -6,0247 -6,0504 -6,1430 -6,2762 -6,3937 -6,4214 -6,2940 -5,9869 -5,5327 -5,0105 -4,5163 -4,1311 -3,9021 -3,8432 -3,9422 -4,1671 -4,4724 -4,8060 -5,1192 -5,3806 -5,5835 -5,7295 -5,8073 -5,7992 -5,7004 -5,5247 -5,2957 -5,0386 -4,7757 -4,5250 -4,2978 -4,0940 -3,9017 -3,7034 -3,4821 -3,2275 -2,9412 -2,6343 -2,3162 -1,9960 -1,7031 -1,4922 -1,4180 -1,5037 -1,7241 -2,0138 -2,2952 -2,4997 -2,5760 -2,4990 -2,2846 -1,9982 -1,7416 -1,6180 -1,6818 -1,9138 -2,2460 -2,6043 -2,9278 -3,1719 -3,3181 -3,3792 -3,3873 -3,3729 -3,3442 -3,2803 -3,1457 -2,9143 -2,5826 -2,1698 -1,7187 -1,2938 -0,9649 -0,7838 -0,7736 -0,9262 -1,1998 -1,5223 -1,8177 -2,0408 -2,1899 -2,2936 -2,3879 -2,4919 -2,5957 -2,6738 -2,7049 -2,6768 -2,5802 -2,4035 -2,1381 -1,7933 -1,4013 -1,0015 -0,6145 -0,2255 0,2052 0,7113 1,2964 1,9364 2,6041 3,2862 3,9759 4,6540 5,2882 5,8564 6,3725 6,8822 7,4312 8,0339 8,6623 9,2570 9,7503 10,0925 10,2663 10,2835 10,1686 9,9408 9,6029 9,1459 8,5700 7,9040 7,2049 6,5364 5,9466 5,4600 5,0854 4,8240 4,6608 4,5515 4,4370 4,2736 4,0454 3,7610 3,4533 3,1750 2,9759 2,8716 2,8293 2,7865 2,6897 2,5222 2,2976 2,0373 1,7576 1,4800 1,2424 1,0927 1,0724 1,1969 1,4366 1,7224 1,9757 2,1321 2,1509 2,0200 1,7491 1,3581 0,8739 0,3290 -0,2537 -0,8730 -1,5481 -2,3066 -3,1577 -4,0668 -4,9594 -5,7506 -6,3801 -6,8366 -7,1547 -7,3900 -7,5869 -7,7653 -7,9287 -8,0791 -8,2227 -8,3683 -8,5184 -8,6626 -8,7878 -8,8935 -9,0014 -9,1514 -9,3750 -9,6620 -9,9558 -10,1798 -10,2691 -10,1934 -9,9644 -9,6235
Fz    1,6383 1,9552 2,2070 2,3865 2,4937 2,5271 2,4860 2,3756 2,2090 2,0032 1,7768 1,5533 1,3621 1,2299 1,1696 1,1759 1,2274 1,2902 1,3274 1,3105 1,2250 1,0704 0,8610 0,6255 0,3999 0,2191 0,1041 0,0500 0,0225 -0,0296 -0,1484 -0,3469 -0,6096 -0,9097 -1,2217 -1,5265 -1,8089 -2,0574 -2,2722 -2,4677 -2,6607 -2,8550 -3,0350 -3,1653 -3,1992 -3,0990 -2,8546 -2,4846 -2,0222 -1,5078 -0,9869 -0,5057 -0,1025 0,1951 0,3745 0,4442 0,4318 0,3689 0,2773 0,1650 0,0283 -0,1439 -0,3585 -0,6063 -0,8635 -1,1063 -1,3262 -1,5351 -1,7608 -2,0343 -2,3771 -2,7967 -3,2898 -3,8437 -4,4319 -5,0110 -5,5304 -5,9443 -6,2162 -6,3231 -6,2640 -6,0607 -5,7431 -5,3291 -4,8209 -4,2153 -3,5185 -2,7542 -1,9616 -1,1839 -0,4536 0,2158 0,8280 1,3998 1,9570 2,5316 3,1552 3,8424 4,5767 5,3141 6,0036 6,6036 7,0853 7,4317 7,6427 7,7409 7,7620 7,7360 7,6827 7,6203 7,5630 7,5116 7,4507 7,3563 7,2061 6,9900 6,7138 6,3917 6,0361 5,6581 5,2756 4,9196 4,6322 4,4604 4,4548 4,6638 5,1153 5,7995 6,6739 7,6835 8,7710 9,8675 10,8910 11,7684 12,4644 12,9912 13,3946 13,7307 14,0432 14,3531 14,6639 14,9749 15,2924 15,6281 15,9863 16,3542 16,7017 16,9852 17,1519 17,1475 16,9295 16,4826 15,8302 15,0361 14,1896 13,3741 12,6355 11,9717 11,3518 10,7473 10,1511 9,5791 9,0611 8,6299 8,3097 8,1149 8,0538 8,1318 8,3489 8,6973 9,1621 9,7244 10,3638 11,0586 11,7838 12,5084 13,1945 13,7978 14,2721 14,5791 14,7014 14,6561 14,4958 14,2880 14,0853 13,9065 13,7403 13,5654 13,3691 13,1564 12,9484 12,7700 12,6376 12,5521 12,5028 12,4757 12,4538 12,4062 12,2865 12,0517 11,6865 11,2089 10,6514 10,0374 9,3771 8,6782 7,9510 7,2097 6,4816 5,8052 5,2120 4,7170 4,3277 4,0490 3,8720 3,7723 3,7272 3,7264 3,7614 3,8142 3,8646 3,9055 3,9497 4,0182 4,1247 4,2691 4,4369 4,5996 4,7215 4,7750 4,7540 4,6769 4,5798 4,5017 4,4731 4,5139 4,6363 4,8406 5,1050 5,3803 5,6036 5,7219 5,7102 5,5750 5,3492 5,0773 4,7981 4,5363 4,3049 4,1059 3,9352 3,7897 3,6698 3,5733 3,4918 3,4108 3,3084 3,1610 2,9545 2,6979 2,4259 2,1851 2,0092 1,9033 1,8452 1,7973 1,7197 1,5839 1,3800 1,1189 0,8318 0,5633 0,3551 0,2351 0,2189 0,3150 0,5236 0,8344 1,2290 1,6839 2,1686 2,6446 3,0749 3,4369 3,7287 3,9664 4,1742 4,3721 4,5701 4,7709 4,9759 5,1910 5,4266 5,6969 6,0215 6,4240 6,9172 7,4869 8,0870 8,6525 9,1195 9,4452 9,6189 9,6621 9,6143 9,5172 9,4049 9,2980 9,1971 9,0818 8,9219 8,6937 8,3975 8,0646 7,7422 7,4663 7,2424 7,0507 6,8634 6,6615 6,4422 6,2155 5,9982 5,8093 5,6646 5,5728 5,5353 5,5436 5,5742 5,5904 5,5543 5,4449 5,2672 5,0430 4,7990 4,5638 4,3715 4,2571 4,2378 4,3003 4,4057 4,5091 4,5824 4,6287 4,6776 4,7680 4,9329 5,1945 5,5637 6,0361 6,5833 7,1500 7,6701 8,0953 8,4163 8,6562 8,8501 9,0339 9,2427 9,5061 9,8362 10,2165 10,6071 10,9679 11,2757 11,5215 11,6998 11,8054 11,8302 11,7594 11,5754 11,2693 10,8497 10,3438 9,7895 9,2281 8,7053 8,2671 7,9410 7,7188 7,5650 7,4398 7,3130 7,1634 6,9744 6,7359 6,4467 6,1113 5,7351 5,3209 4,8657 4,3631 3,8142 3,2394 2,6807 2,1898 1,8102 1,5655 1,4558 1,4592 1,5421 1,6760 1,8502 2,0702 2,3499 2,7052 3,1432 3,6466 4,1713 4,6640 5,0849 5,4202 5,6825 5,9073 6,1412 6,4229 6,7655 7,1491 7,5243 7,8278 8,0040 8,0230 7,8848 7,6120 7,2439 6,8335 6,4348 6,0854 5,7991 5,5796 5,4339 5,3691 5,3866 5,4893 5,6841 5,9722 6,3430 6,7749 7,2414 7,7233 8,2162 8,7265 9,2615 9,8169 10,3695 10,8892 11,3632 11,7996 12,2006 12,5435 12,7909 12,9115 12,8951 12,7591 12,5433 12,2981 12,0708 11,8935 11,7741 11,6943 11,6173 11,5013 11,3163 11,0525 10,7205 10,3479 9,9718 9,6232 9,3091 9,0116 8,7065 8,3827 8,0492 7,7326 7,4666 7,2792 7,1847 7,1848 7,2707 7,4185 7,5889 7,7402 7,8445 7,8940 7,8985 7,8794 7,8614 7,8614 7,8764 7,8834 7,8582 7,7981 7,7274 7,6793 7,6808 7,7535 7,9155 8,1740 8,5142 8,9011 9,2927 9,6640 10,0225 10,4031 10,8450 11,3701 11,9755 12,6394 13,3304 14,0147 14,6593 15,2370 15,7366 16,1726 16,5796 16,9942 17,4396 17,9179 18,4056 18,8584 19,2256 19,4707 19,5812 19,5588 19,4064 19,1253 18,7195 18,2025 17,6018 16,9567 16,3121 15,7100 15,1780 14,7232 14,3389 14,0134 13,7267 13,4456 13,1327 12,7596 12,3136 11,7981 11,2359 10,6714 10,1622 9,7558 9,4662 9,2701 9,1243 8,9865 8,8270 8,6283 8,3854 8,1118 7,8415 7,6228 7,5048 7,5156 7,6439 7,8443 8,0640 8,2582 8,3900 8,4269 8,3447 8,1308 7,7851 7,3176 6,7421 6,0662 5,2842 4,3831 3,3629 2,2542 1,1179 0,0302 -0,9383 -1,7429 -2,3747 -2,8524 -3,2007 -3,4358 -3,5728 -3,6391 -3,6749 -3,7221 -3,8118 -3,9554 -4,1463 -4,3706 -4,6170 -4,8754 -5,1275 -5,3377 -5,4571 -5,4385 -5,2521 -4,8980 -4,4082 -3,8353
F3    0,1161 0,2595 0,3927 0,5253 0,6568 0,7679 0,8306 0,8259 0,7551 0,6367 0,4961 0,3595 0,2537 0,2027 0,2198 0,3037 0,4404 0,6068 0,7744 0,9165 1,0126 1,0503 1,0323 0,9817 0,9349 0,9284 0,9827 1,0918 1,2231 1,3304 1,3749 1,3386 1,2219 1,0365 0,7978 0,5189 0,2125 -0,1077 -0,4371 -0,7880 -1,1788 -1,6156 -2,0809 -2,5342 -2,9199 -3,1870 -3,3083 -3,2821 -3,1209 -2,8490 -2,5067 -2,1448 -1,8137 -1,5570 -1,4036 -1,3577 -1,4000 -1,5022 -1,6389 -1,7885 -1,9353 -2,0720 -2,1941 -2,2916 -2,3486 -2,3527 -2,3056 -2,2273 -2,1487 -2,1011 -2,1118 -2,2049 -2,3995 -2,7002 -3,0828 -3,4933 -3,8677 -4,1548 -4,3211 -4,3456 -4,2240 -3,9724 -3,6165 -3,1773 -2,6674 -2,0952 -1,4731 -0,8252 -0,1888 0,3980 0,9153 1,3661 1,7649 2,1261 2,4617 2,7861 3,1163 3,4611 3,8060 4,1146 4,3511 4,5027 4,5818 4,6130 4,6262 4,6560 4,7292 4,8489 4,9970 5,1536 5,3049 5,4389 5,5422 5,6016 5,6059 5,5499 5,4365 5,2728 5,0657 4,8266 4,5813 4,3697 4,2357 4,2195 4,3637 4,7134 5,2970 6,1020 7,0780 8,1621 9,2958 10,4145 11,4400 12,2987 12,9511 13,4035 13,7002 13,9022 14,0629 14,2123 14,3587 14,5025 14,6529 14,8276 15,0393 15,2839 15,5395 15,7698 15,9286 15,9660 15,8389 15,5262 15,0413 14,4349 13,7821 13,1513 12,5733 12,0331 11,4938 10,9309 10,3483 9,7722 9,2366 8,7674 8,3744 8,0555 7,8109 7,6514 7,5925 7,6430 7,7985 8,0428 8,3567 8,7225 9,1199 9,5218 9,8935 10,1950 10,3853 10,4340 10,3344 10,1123 9,8202 9,5144 9,2307 8,9742 8,7270 8,4673 8,1889 7,9103 7,6664 7,4878 7,3842 7,3409 7,3265 7,3082 7,2590 7,1504 6,9471 6,6207 6,1708 5,6278 5,0299 4,3986 3,7390 3,0556 2,3590 1,6697 1,0268 0,4819 0,0757 -0,1770 -0,2790 -0,2446 -0,1078 0,0804 0,2743 0,4445 0,5674 0,6184 0,5839 0,4801 0,3554 0,2687 0,2613 0,3441 0,4984 0,6815 0,8422 0,9427 0,9715 0,9434 0,8893 0,8406 0,8208 0,8458 0,9269 1,0656 1,2446 1,4235 1,5504 1,5850 1,5159 1,3616 1,1613 0,9592 0,7872 0,6611 0,5874 0,5648 0,5874 0,6512 0,7530 0,8797 1,0034 1,0845 1,0816 0,9653 0,7321 0,4115 0,0601 -0,2555 -0,4829 -0,6016 -0,6221 -0,5759 -0,5067 -0,4556 -0,4465 -0,4800 -0,5345 -0,5777 -0,5849 -0,5506 -0,4819 -0,3859 -0,2669 -0,1276 0,0328 0,2192 0,4332 0,6695 0,9205 1,1825 1,4539 1,7330 2,0159 2,2945 2,5578 2,7962 3,0062 3,1945 3,3749 3,5634 3,7799 4,0484 4,3861 4,7878 5,2205 5,6323 5,9691 6,1945 6,3056 6,3300 6,3065 6,2674 6,2344 6,2199 6,2220 6,2228 6,1978 6,1274 6,0076 5,8531 5,6874 5,5239 5,3539 5,1521 4,8907 4,5556 4,1552 3,7158 3,2718 2,8574 2,5010 2,2231 2,0369 1,9448 1,9297 1,9528 1,9688 1,9459 1,8719 1,7470 1,5815 1,3988 1,2358 1,1276 1,0907 1,1162 1,1764 1,2371 1,2739 1,2853 1,2930 1,3292 1,4238 1,5969 1,8573 2,2030 2,6173 3,0608 3,4767 3,8160 4,0615 4,2282 4,3500 4,4651 4,6066 4,7962 5,0390 5,3185 5,6002 5,8494 6,0448 6,1765 6,2384 6,2273 6,1450 5,9962 5,7851 5,5145 5,1904 4,8247 4,4325 4,0281 3,6306 3,2692 2,9713 2,7460 2,5830 2,4651 2,3747 2,2894 2,1797 2,0186 1,7940 1,5143 1,2026 0,8813 0,5561 0,2145 -0,1548 -0,5406 -0,9063 -1,2038 -1,3932 -1,4554 -1,3960 -1,2443 -1,0432 -0,8317 -0,6331 -0,4564 -0,3003 -0,1517 0,0085 0,1882 0,3725 0,5319 0,6431 0,7034 0,7350 0,7786 0,8775 1,0600 1,3288 1,6575 1,9957 2,2842 2,4731 2,5367 2,4765 2,3102 2,0610 1,7571 1,4340 1,1262 0,8569 0,6399 0,4869 0,4027 0,3824 0,4217 0,5227 0,6866 0,9081 1,1755 1,4749 1,7985 2,1493 2,5361 2,9633 3,4188 3,8668 4,2637 4,5872 4,8444 5,0472 5,1911 5,2629 5,2575 5,1836 5,0610 4,9148 4,7690 4,6427 4,5474 4,4835 4,4357 4,3732 4,2584 4,0631 3,7824 3,4324 3,0430 2,6533 2,3015 2,0098 1,7790 1,5983 1,4594 1,3639 1,3229 1,3507 1,4558 1,6353 1,8764 2,1609 2,4638 2,7542 3,0017 3,1859 3,2986 3,3411 3,3251 3,2713 3,2005 3,1168 3,0053 2,8492 2,6544 2,4533 2,2850 2,1762 2,1402 2,1848 2,3104 2,5044 2,7406 2,9914 3,2478 3,5296 3,8762 4,3237 4,8860 5,5489 6,2787 7,0358 7,7836 8,4881 9,1186 9,6582 10,1157 10,5235 10,9212 11,3375 11,7800 12,2306 12,6484 12,9829 13,1935 13,2591 13,1708 12,9233 12,5153 11,9546 11,2668 10,4996 9,7168 8,9827 8,3486 7,8402 7,4530 7,1608 6,9298 6,7231 6,5015 6,2330 5,9013 5,5047 5,0516 4,5646 4,0838 3,6581 3,3213 3,0734 2,8835 2,7102 2,5205 2,2977 2,0384 1,7475 1,4396 1,1416 0,8920 0,7347 0,7015 0,7925 0,9738 1,1949 1,4006 1,5359 1,5553 1,4306 1,1513 0,7242 0,1736 -0,4672 -1,1712 -1,9261 -2,7303 -3,5768 -4,4390 -5,2707 -6,0215 -6,6554 -7,1614 -7,5518 -7,8496 -8,0732 -8,2298 -8,3238 -8,3678 -8,3852 -8,4057 -8,4560 -8,5477 -8,6745 -8,8216 -8,9762 -9,1306 -9,2746 -9,3830 -9,4167 -9,3372 -9,1230 -8,7805 -8,3439 -7,8609
F7    -0,2361 -0,2209 -0,1823 -0,1182 -0,0426 0,0165 0,0342 0,0071 -0,0433 -0,0849 -0,0936 -0,0611 0,0090 0,1073 0,2206 0,3308 0,4179 0,4677 0,4787 0,4635 0,4427 0,4369 0,4656 0,5487 0,7009 0,9248 1,2044 1,5065 1,7889 2,0159 2,1681 2,2413 2,2374 2,1574 1,9995 1,7621 1,4486 1,0688 0,6287 0,1224 -0,4583 -1,1060 -1,7883 -2,4500 -3,0256 -3,4618 -3,7349 -3,8479 -3,8138 -3,6533 -3,4017 -3,1070 -2,8195 -2,5858 -2,4405 -2,3964 -2,4429 -2,5542 -2,6979 -2,8403 -2,9554 -3,0331 -3,0731 -3,0705 -3,0114 -2,8847 -2,6935 -2,4591 -2,2170 -2,0048 -1,8517 -1,7753 -1,7849 -1,8793 -2,0394 -2,2268 -2,3982 -2,5209 -2,5719 -2,5294 -2,3761 -2,1074 -1,7347 -1,2814 -0,7764 -0,2443 0,2976 0,8293 1,3193 1,7315 2,0442 2,2588 2,3911 2,4565 2,4631 2,4190 2,3459 2,2747 2,2234 2,1856 2,1428 2,0824 2,0017 1,9027 1,7926 1,6864 1,5994 1,5387 1,5084 1,5211 1,5922 1,7259 1,9072 2,1045 2,2775 2,3937 2,4394 2,4186 2,3463 2,2490 2,1679 2,1488 2,2252 2,4163 2,7396 3,2157 3,8523 4,6263 5,4908 6,3998 7,3170 8,2019 8,9966 9,6392 10,0893 10,3458 10,4497 10,4700 10,4752 10,5102 10,5916 10,7164 10,8759 11,0647 11,2807 11,5195 11,7671 11,9956 12,1638 12,2272 12,1530 11,9295 11,5727 11,1287 10,6675 10,2520 9,9014 9,5818 9,2360 8,8278 8,3620 7,8698 7,3848 6,9277 6,5044 6,1124 5,7521 5,4303 5,1582 4,9476 4,8054 4,7278 4,7017 4,7131 4,7522 4,8090 4,8588 4,8576 4,7576 4,5302 4,1804 3,7516 3,3133 2,9314 2,6391 2,4235 2,2368 2,0233 1,7487 1,4169 1,0648 0,7378 0,4642 0,2394 0,0304 -0,2014 -0,4838 -0,8385 -1,2881 -1,8426 -2,4804 -3,1486 -3,7944 -4,3969 -4,9679 -5,5265 -6,0779 -6,6032 -7,0590 -7,3911 -7,5603 -7,5575 -7,3970 -7,1097 -6,7463 -6,3691 -6,0270 -5,7460 -5,5454 -5,4479 -5,4637 -5,5661 -5,6901 -5,7631 -5,7407 -5,6174 -5,4188 -5,1911 -4,9844 -4,8353 -4,7594 -4,7497 -4,7799 -4,8154 -4,8242 -4,7799 -4,6634 -4,4699 -4,2172 -3,9446 -3,6957 -3,5004 -3,3680 -3,2958 -3,2748 -3,2936 -3,3432 -3,4132 -3,4852 -3,5339 -3,5319 -3,4523 -3,2811 -3,0345 -2,7613 -2,5291 -2,4027 -2,4216 -2,5855 -2,8544 -3,1609 -3,4310 -3,6121 -3,6933 -3,7022 -3,6864 -3,6947 -3,7585 -3,8808 -4,0417 -4,2082 -4,3472 -4,4408 -4,4949 -4,5290 -4,5606 -4,5992 -4,6472 -4,6947 -4,7198 -4,7014 -4,6316 -4,5156 -4,3631 -4,1813 -3,9717 -3,7341 -3,4768 -3,2170 -2,9708 -2,7445 -2,5353 -2,3364 -2,1411 -1,9420 -1,7313 -1,5077 -1,2837 -1,0821 -0,9295 -0,8510 -0,8585 -0,9342 -1,0347 -1,1175 -1,1593 -1,1498 -1,0846 -0,9718 -0,8385 -0,7212 -0,6511 -0,6418 -0,6852 -0,7641 -0,8734 -1,0294 -1,2563 -1,5675 -1,9559 -2,3950 -2,8485 -3,2817 -3,6702 -4,0022 -4,2756 -4,4928 -4,6607 -4,7949 -4,9178 -5,0470 -5,1843 -5,3152 -5,4205 -5,4843 -5,4941 -5,4430 -5,3382 -5,2088 -5,0950 -5,0280 -5,0194 -5,0617 -5,1346 -5,2138 -5,2788 -5,3179 -5,3243 -5,2892 -5,1994 -5,0460 -4,8427 -4,6341 -4,4746 -4,3932 -4,3783 -4,3860 -4,3640 -4,2756 -4,1099 -3,8811 -3,6253 -3,3886 -3,2052 -3,0843 -3,0186 -3,0023 -3,0351 -3,1161 -3,2423 -3,4121 -3,6277 -3,8915 -4,2008 -4,5479 -4,9257 -5,3246 -5,7227 -6,0892 -6,3988 -6,6388 -6,8057 -6,9037 -6,9507 -6,9792 -7,0257 -7,1146 -7,2477 -7,4052 -7,5544 -7,6682 -7,7401 -7,7800 -7,7974 -7,7921 -7,7571 -7,6897 -7,5971 -7,4921 -7,3865 -7,2865 -7,1880 -7,0817 -6,9664 -6,8561 -6,7702 -6,7216 -6,7166 -6,7642 -6,8727 -7,0317 -7,2033 -7,3343 -7,3806 -7,3252 -7,1800 -6,9750 -6,7472 -6,5303 -6,3493 -6,2213 -6,1561 -6,1566 -6,2200 -6,3438 -6,5247 -6,7482 -6,9897 -7,2253 -7,4352 -7,6002 -7,7031 -7,7320 -7,6790 -7,5441 -7,3456 -7,1167 -6,8920 -6,6946 -6,5267 -6,3716 -6,2061 -6,0105 -5,7811 -5,5372 -5,3102 -5,1154 -4,9428 -4,7815 -4,6431 -4,5539 -4,5374 -4,6008 -4,7321 -4,9075 -5,0987 -5,2774 -5,4224 -5,5282 -5,6060 -5,6785 -5,7749 -5,9211 -6,1255 -6,3758 -6,6449 -6,8935 -7,0809 -7,1842 -7,2056 -7,1610 -7,0664 -6,9315 -6,7579 -6,5441 -6,2961 -6,0320 -5,7717 -5,5272 -5,3024 -5,1004 -4,9294 -4,8038 -4,7429 -4,7623 -4,8621 -5,0240 -5,2240 -5,4468 -5,6879 -5,9414 -6,1866 -6,3901 -6,5212 -6,5657 -6,5263 -6,4146 -6,2443 -6,0309 -5,7938 -5,5498 -5,2967 -5,0078 -4,6448 -4,1786 -3,6052 -2,9479 -2,2439 -1,5258 -0,8134 -0,1185 0,5464 1,1707 1,7547 2,3090 2,8398 3,3407 3,7957 4,1850 4,4877 4,6859 4,7711 4,7441 4,6051 4,3475 3,9604 3,4344 2,7737 2,0098 1,1988 0,4070 -0,3051 -0,8978 -1,3633 -1,7201 -1,9953 -2,2152 -2,4037 -2,5779 -2,7457 -2,9150 -3,0988 -3,3060 -3,5276 -3,7394 -3,9216 -4,0739 -4,2109 -4,3493 -4,5010 -4,6714 -4,8626 -5,0759 -5,3069 -5,5384 -5,7378 -5,8639 -5,8853 -5,7999 -5,6332 -5,4224 -5,2085 -5,0380 -4,9595 -5,0177 -5,2452 -5,6516 -6,2155 -6,8902 -7,6240 -8,3783 -9,1300 -9,8560 -10,5188 -11,0737 -11,4893 -11,7625 -11,9220 -12,0172 -12,0955 -12,1832 -12,2818 -12,3810 -12,4732 -12,5583 -12,6416 -12,7281 -12,8177 -12,9059 -12,9924 -13,0875 -13,2075 -13,3588 -13,5231 -13,6583 -13,7157 -13,6588 -13,4778 -13,1932 -12,8409
