Fp1   1,4825 1,3035 1,0842 0,8733 0,7009 0,5928 0,5879 0,6989 0,8581 0,9369 0,8349 0,5484 0,1572 -0,2465 -0,6143 -0,9362 -1,1967 -1,3578 -1,3844 -1,2662 -1,0131 -0,6444 -0,1922 0,2888 0,7252 1,0484 1,2174 1,2326 1,1356 0,9857 0,8259 0,6752 0,5423 0,4318 0,3402 0,2478 0,1219 -0,0640 -0,3042 -0,5583 -0,7820 -0,9627 -1,1193 -1,2684 -1,3937 -1,4460 -1,3717 -1,1497 -0,8067 -0,3999 0,0103 0,3700 0,6296 0,7547 0,7476 0,6522 0,5214 0,3734 0,1839 -0,0748 -0,3912 -0,7164 -0,9826 -1,1100 -1,0240 -0,6965 -0,1731 0,4495 1,0724 1,6210 2,0456 2,3209 2,4484 2,4555 2,3932 2,3308 2,3378 2,4580 2,6903 2,9791 3,2222 3,3116 3,1895 2,8757 2,4495 2,0127 1,6542 1,4262 1,3391 1,3676 1,4553 1,5248 1,5062 1,3697 1,1363 0,8627 0,6188 0,4591 0,4009 0,4309 0,5287 0,6704 0,8154 0,9013 0,8578 0,6396 0,2573 -0,2269 -0,7338 -1,1891 -1,5238 -1,6782 -1,6190 -1,3554 -0,9336 -0,4022 0,2089 0,8719 1,5432 2,1726 2,7284 3,2150 3,6640 4,0971 4,4959 4,8159 5,0336 5,1759 5,3067 5,4907 5,7669 6,1416 6,5988 7,1091 7,6310 8,1221 8,5523 8,9057 9,1814 9,3889 9,5336 9,6053 9,5850 9,4717 9,3065 9,1598 9,0917 9,1240 9,2353 9,3866 9,5628 9,7843 10,0811 10,4557 10,8556 11,1862 11,3609 11,3393 11,1294 10,7693 10,3037 9,7705 9,2129 8,6900 8,2583 7,9467 7,7626 7,7108 7,7870 7,9571 8,1551 8,3064 8,3601 8,3142 8,2135 8,1085 8,0175 7,9362 7,8744 7,8552 7,8793 7,9083 7,8914 7,8038 7,6540 7,4565 7,2138 6,9259 6,6087 6,2986 6,0330 5,8189 5,6267 5,4205 5,2006 5,0155 4,9299 4,9756 5,1292 5,3295 5,5235 5,7019 5,8859 6,0915 6,3149 6,5385 6,7371 6,8810 6,9532 6,9627 6,9318 6,8719 6,7795 6,6512 6,4951 6,3271 6,1645 6,0300 5,9435 5,9001 5,8765 5,8637 5,8825 5,9657 6,1290 6,3579 6,6243 6,9014 7,1609 7,3786 7,5520 7,7070 7,8753 8,0636 8,2464 8,3913 8,4799 8,5034 8,4527 8,3247 8,1313 7,9061 7,7101 7,6112 7,6375 7,7589 7,9135 8,0424 8,1043 8,0703 7,9246 7,6851 7,4068 7,1426 6,9058 6,6710 6,4080 6,1120 5,8080 5,5378 5,3455 5,2622 5,2969 5,4422 5,6761 5,9541 6,2189 6,4352 6,6022 6,7244 6,7758 6,7052 6,4699 6,0662 5,5384 4,9704 4,4623 4,0974 3,9211 3,9470 4,1667 4,5472 5,0257 5,5118 5,9044 6,1202 6,1170 5,8999 5,5131 5,0269 4,5227 4,0768 3,7545 3,6152 3,7015 4,0037 4,4392 4,8840 5,2315 5,4252 5,4509 5,3344 5,1556 5,0270 5,0310 5,1784 5,4229 5,7021 5,9625 6,1557 6,2389 6,1985 6,0743 5,9452 5,8786 5,8914 5,9534 6,0251 6,0930 6,1759 6,3000 6,4666 6,6489 6,8183 6,9604 7,0656 7,1236 7,1392 7,1375 7,1424 7,1521 7,1429 7,1007 7,0515 7,0541 7,1578 7,3654 7,6284 7,8721 8,0261 8,0394 7,8898 7,6026 7,2594 6,9657 6,8029 6,8036 6,9446 7,1421 7,2752 7,2563 7,0901 6,8517 6,6129 6,3989 6,1987 5,9872 5,7447 5,4825 5,2553 5,1353 5,1651 5,3328 5,5824 5,8411 6,0445 6,1506 6,1469 6,0499 5,8880 5,6773 5,4201 5,1237 4,8036 4,4757 4,1532 3,8487 3,5736 3,3377 3,1516 3,0308 2,9944 3,0501 3,1759 3,3257 3,4586 3,5590 3,6215 3,6307 3,5737 3,4620 3,3334 3,2430 3,2515 3,4041 3,7039 4,1027 4,5206 4,8727 5,0864 5,1171 4,9635 4,6615 4,2703 3,8599 3,4904 3,1914 2,9641 2,8080 2,7357 2,7531 2,8342 2,9253 2,9772 2,9729 2,9311 2,8935 2,9054 2,9882 3,1282 3,3007 3,4998 3,7354 4,0082 4,2910 4,5280 4,6545 4,6331 4,4769 4,2437 4,0117 3,8430 3,7553 3,7270 3,7230 3,7158 3,6924 3,6546 3,6215 3,6211 3,6640 3,7310 3,7958 3,8496 3,8988 3,9476 3,9819 3,9699 3,8892 3,7480 3,5739 3,3857 3,1866 2,9869 2,8255 2,7487 2,7575 2,7875 2,7504 2,5907 2,3111 1,9594 1,5984 1,2833 1,0525 0,9232 0,8898 0,9251 0,9878 1,0430 1,0815 1,1103 1,1316 1,1503 1,1969 1,3168 1,5315 1,8125 2,0798 2,2330 2,1998 1,9617 1,5443 0,9977 0,3802 -0,2569 -0,8779 -1,4582 -1,9779 -2,4227 -2,7871 -3,0767 -3,3143 -3,5342 -3,7539 -3,9548 -4,1036 -4,1899 -4,2339 -4,2616 -4,2754 -4,2433 -4,1195 -3,8824 -3,5525 -3,1762 -2,8028 -2,4707 -2,1978 -1,9822 -1,8142 -1,6792 -1,5518 -1,3963 -1,1846 -0,9196 -0,6428 -0,4059 -0,2317 -0,1078 -0,0122 0,0595 0,0894 0,0497 -0,0843 -0,3287 -0,6809 -1,1062 -1,5405 -1,9135 -2,1750 -2,3128 -2,3553 -2,3483 -2,3225 -2,2844 -2,2355 -2,1919 -2,1882 -2,2642 -2,4445 -2,7299 -3,0987 -3,5130 -3,9311 -4,3203 -4,6579 -4,9276 -5,1187 -5,2296 -5,2749 -5,2870 -5,3023 -5,3398 -5,3971 -5,4593 -5,5029 -5,4975 -5,4157 -5,2467 -4,9995 -4,6978 -4,3737 -4,0600 -3,7887 -3,6025 -3,5548 -3,6896 -4,0188 -4,5108 -5,0904 -5,6516 -6,0908 -6,3505 -6,4374 -6,3932 -6,2556 -6,0500 -5,7994 -5,5311 -5,2741 -5,0501 -4,8659 -4,7245 -4,6403 -4,6346 -4,7217 -4,9019 -5,1664 -5,4980 -5,8633 -6,2097 -6,4777 -6,6205 -6,6227 -6,5000 -6,2782 -5,9817 -5,6494 -5,3342
Fz    2,1852 2,0998 1,9905 1,8754 1,7706 1,6927 1,6650 1,6939 1,7411 1,7338 1,6109 1,3616 1,0244 0,6510 0,2726 -0,1027 -0,4649 -0,7871 -1,0345 -1,1777 -1,1946 -1,0739 -0,8239 -0,4825 -0,1153 0,2112 0,4535 0,5921 0,6272 0,5754 0,4630 0,3173 0,1610 0,0071 -0,1422 -0,2920 -0,4513 -0,6322 -0,8451 -1,0879 -1,3417 -1,5779 -1,7682 -1,8906 -1,9294 -1,8750 -1,7323 -1,5290 -1,3096 -1,1147 -0,9636 -0,8570 -0,7912 -0,7649 -0,7703 -0,7868 -0,7979 -0,8129 -0,8640 -0,9760 -1,1424 -1,3297 -1,4903 -1,5668 -1,5027 -1,2714 -0,8952 -0,4344 0,0393 0,4626 0,7864 0,9818 1,0509 1,0287 0,9693 0,9286 0,9530 1,0669 1,2600 1,4888 1,6890 1,7888 1,7338 1,5177 1,1874 0,8168 0,4780 0,2252 0,0859 0,0467 0,0466 -0,0017 -0,1621 -0,4371 -0,7710 -1,0823 -1,3016 -1,4020 -1,4073 -1,3665 -1,3172 -1,2754 -1,2502 -1,2565 -1,3111 -1,4225 -1,5869 -1,7914 -2,0165 -2,2335 -2,3996 -2,4679 -2,4101 -2,2375 -1,9937 -1,7190 -1,4211 -1,0806 -0,6771 -0,2030 0,3390 0,9432 1,6013 2,2914 2,9679 3,5683 4,0370 4,3481 4,5113 4,5647 4,5652 4,5772 4,6593 4,8427 5,1166 5,4442 5,7956 6,1625 6,5508 6,9707 7,4268 7,9076 8,3819 8,8117 9,1762 9,4860 9,7684 10,0372 10,2763 10,4618 10,5971 10,7153 10,8568 11,0464 11,2724 11,4879 11,6396 11,6918 11,6273 11,4460 11,1592 10,7827 10,3397 9,8660 9,4001 8,9696 8,5921 8,2834 8,0590 7,9250 7,8677 7,8533 7,8427 7,8132 7,7686 7,7219 7,6710 7,6026 7,5192 7,4461 7,4053 7,3926 7,3853 7,3630 7,3150 7,2336 7,1102 6,9409 6,7340 6,5119 6,2995 6,1035 5,9104 5,7103 5,5252 5,4053 5,3947 5,5002 5,6849 5,8883 6,0622 6,1943 6,2972 6,3808 6,4424 6,4731 6,4615 6,3975 6,2868 6,1590 6,0494 5,9753 5,9316 5,9062 5,8907 5,8800 5,8714 5,8742 5,9108 5,9992 6,1391 6,3171 6,5180 6,7262 6,9208 7,0805 7,1976 7,2813 7,3482 7,4206 7,5272 7,6924 7,9203 8,1897 8,4624 8,7020 8,8829 8,9855 8,9893 8,8817 8,6706 8,3934 8,1169 7,9101 7,8051 7,7895 7,8309 7,8959 7,9503 7,9549 7,8789 7,7288 7,5470 7,3680 7,1837 6,9556 6,6524 6,2758 5,8624 5,4694 5,1543 4,9580 4,8974 4,9671 5,1410 5,3710 5,5999 5,7879 5,9283 6,0293 6,0839 6,0683 5,9697 5,8044 5,6090 5,4232 5,2794 5,1931 5,1656 5,2020 5,3212 5,5435 5,8662 6,2510 6,6345 6,9556 7,1747 7,2737 7,2501 7,1188 6,9133 6,6813 6,4835 6,3896 6,4520 6,6698 6,9822 7,3023 7,5632 7,7347 7,8104 7,8017 7,7492 7,7120 7,7290 7,7943 7,8694 7,9164 7,9187 7,8743 7,7878 7,6802 7,5970 7,5903 7,6878 7,8761 8,1104 8,3412 8,5389 8,7005 8,8322 8,9293 8,9803 8,9868 8,9693 8,9512 8,9407 8,9310 8,9153 8,8942 8,8727 8,8561 8,8525 8,8753 8,9420 9,0612 9,2240 9,4063 9,5754 9,6950 9,7324 9,6700 9,5213 9,3357 9,1754 9,0850 9,0831 9,1658 9,3027 9,4380 9,5185 9,5254 9,4756 9,3948 9,2950 9,1736 9,0241 8,8461 8,6477 8,4449 8,2591 8,1140 8,0319 8,0285 8,1047 8,2397 8,3942 8,5267 8,6096 8,6269 8,5644 8,4164 8,2036 7,9696 7,7516 7,5545 7,3571 7,1404 6,9090 6,6897 6,5139 6,4040 6,3711 6,4133 6,5117 6,6323 6,7386 6,8038 6,8151 6,7759 6,7053 6,6352 6,6084 6,6727 6,8624 7,1711 7,5418 7,8890 8,1326 8,2218 8,1502 7,9570 7,7114 7,4862 7,3389 7,2948 7,3343 7,4018 7,4416 7,4316 7,3787 7,2902 7,1596 6,9805 6,7681 6,5569 6,3797 6,2522 6,1712 6,1232 6,1011 6,1171 6,1954 6,3486 6,5602 6,7883 6,9836 7,1096 7,1502 7,1099 7,0094 6,8717 6,7082 6,5184 6,3016 6,0698 5,8504 5,6758 5,5713 5,5484 5,5982 5,6901 5,7842 5,8468 5,8587 5,8184 5,7359 5,6267 5,5127 5,4187 5,3609 5,3347 5,3148 5,2782 5,2340 5,2135 5,2256 5,2345 5,1842 5,0343 4,7787 4,4417 4,0666 3,7039 3,3956 3,1635 3,0086 2,9197 2,8785 2,8657 2,8674 2,8736 2,8749 2,8794 2,9280 3,0724 3,3321 3,6746 4,0279 4,3106 4,4581 4,4316 4,2159 3,8238 3,2957 2,6794 2,0114 1,3179 0,6266 -0,0277 -0,6050 -1,0722 -1,4211 -1,6717 -1,8491 -1,9589 -1,9928 -1,9557 -1,8780 -1,7976 -1,7346 -1,6806 -1,6122 -1,5170 -1,4012 -1,2743 -1,1347 -0,9723 -0,7757 -0,5364 -0,2534 0,0668 0,4184 0,7970 1,1914 1,5797 1,9357 2,2378 2,4713 2,6270 2,6987 2,6827 2,5812 2,4076 2,1880 1,9540 1,7356 1,5585 1,4399 1,3808 1,3660 1,3679 1,3508 1,2825 1,1474 0,9449 0,6822 0,3716 0,0274 -0,3412 -0,7273 -1,1199 -1,5008 -1,8457 -2,1304 -2,3364 -2,4506 -2,4688 -2,4064 -2,3018 -2,2086 -2,1818 -2,2590 -2,4431 -2,7015 -2,9826 -3,2279 -3,3821 -3,4055 -3,2877 -3,0488 -2,7264 -2,3587 -1,9769 -1,6127 -1,3144 -1,1426 -1,1470 -1,3487 -1,7333 -2,2495 -2,8124 -3,3241 -3,7039 -3,9105 -3,9394 -3,8116 -3,5710 -3,2789 -2,9937 -2,7524 -2,5661 -2,4318 -2,3508 -2,3388 -2,4162 -2,5877 -2,8355 -3,1328 -3,4590 -3,7967 -4,1207 -4,3951 -4,5856 -4,6777 -4,6845 -4,6335 -4,5472 -4,4383 -4,3103
F3    2,2417 1,9406 1,6809 1,5050 1,4361 1,4764 1,6093 1,7901 1,9379 1,9573 1,7840 1,4214 0,9321 0,3900 -0,1608 -0,7027 -1,2079 -1,6224 -1,8876 -1,9651 -1,8404 -1,5165 -1,0149 -0,3886 0,2730 0,8628 1,2857 1,4870 1,4723 1,2992 1,0402 0,7483 0,4477 0,1426 -0,1715 -0,4960 -0,8219 -1,1323 -1,4079 -1,6277 -1,7719 -1,8332 -1,8201 -1,7457 -1,6122 -1,4122 -1,1508 -0,8629 -0,5990 -0,3896 -0,2306 -0,1031 -0,0027 0,0541 0,0496 -0,0176 -0,1395 -0,3192 -0,5737 -0,9145 -1,3283 -1,7732 -2,1833 -2,4760 -2,5750 -2,4437 -2,0970 -1,5826 -0,9585 -0,2873 0,3609 0,9119 1,3021 1,4923 1,4783 1,2992 1,0315 0,7591 0,5403 0,3945 0,3055 0,2345 0,1492 0,0498 -0,0376 -0,0933 -0,1206 -0,1317 -0,1275 -0,0988 -0,0520 -0,0301 -0,0994 -0,3097 -0,6623 -1,1057 -1,5610 -1,9600 -2,2691 -2,4813 -2,5946 -2,6106 -2,5530 -2,4739 -2,4334 -2,4699 -2,5893 -2,7776 -3,0175 -3,2918 -3,5767 -3,8356 -4,0234 -4,0994 -4,0380 -3,8208 -3,4293 -2,8650 -2,1712 -1,4266 -0,7080 -0,0567 0,5239 1,0406 1,4822 1,8197 2,0304 2,1172 2,1108 2,0614 2,0281 2,0718 2,2433 2,5652 3,0212 3,5703 4,1661 4,7629 5,3213 5,8168 6,2359 6,5642 6,7839 6,8864 6,8880 6,8365 6,7972 6,8216 6,9246 7,0982 7,3427 7,6720 8,0969 8,6068 9,1591 9,6809 10,0912 10,3243 10,3409 10,1325 9,7169 9,1324 8,4370 7,7076 7,0209 6,4299 5,9626 5,6395 5,4814 5,4930 5,6422 5,8610 6,0718 6,2219 6,3003 6,3236 6,3123 6,2845 6,2644 6,2766 6,3267 6,3956 6,4515 6,4667 6,4278 6,3377 6,2095 6,0583 5,8978 5,7412 5,5917 5,4303 5,2236 4,9530 4,6406 4,3432 4,1184 3,9888 3,9331 3,9085 3,8875 3,8772 3,9021 3,9729 4,0729 4,1708 4,2411 4,2731 4,2747 4,2655 4,2604 4,2576 4,2443 4,2119 4,1648 4,1134 4,0646 4,0267 4,0113 4,0185 4,0296 4,0244 4,0016 3,9794 3,9783 4,0067 4,0654 4,1497 4,2449 4,3359 4,4234 4,5203 4,6329 4,7473 4,8363 4,8811 4,8850 4,8637 4,8258 4,7707 4,6964 4,6090 4,5335 4,5062 4,5445 4,6308 4,7191 4,7516 4,6762 4,4639 4,1230 3,7136 3,3330 3,0608 2,9077 2,8184 2,7182 2,5568 2,3223 2,0403 1,7638 1,5547 1,4622 1,5076 1,6745 1,9099 2,1444 2,3291 2,4567 2,5473 2,6137 2,6432 2,6097 2,4944 2,2996 2,0527 1,8001 1,5885 1,4504 1,4103 1,4901 1,7000 2,0241 2,4157 2,8085 3,1360 3,3452 3,4039 3,3077 3,0867 2,7999 2,5166 2,3031 2,2197 2,3053 2,5489 2,8791 3,1937 3,4127 3,5044 3,4710 3,3377 3,1601 3,0152 2,9601 3,0026 3,1109 3,2431 3,3663 3,4558 3,4948 3,4863 3,4619 3,4672 3,5333 3,6611 3,8316 4,0277 4,2462 4,4885 4,7410 4,9671 5,1226 5,1804 5,1413 5,0262 4,8629 4,6817 4,5143 4,3893 4,3238 4,3178 4,3580 4,4318 4,5399 4,6906 4,8893 5,1348 5,4189 5,7222 6,0068 6,2224 6,3336 6,3471 6,3059 6,2604 6,2449 6,2689 6,3106 6,3253 6,2760 6,1603 6,0030 5,8283 5,6443 5,4498 5,2456 5,0420 4,8595 4,7258 4,6729 4,7268 4,8907 5,1363 5,4121 5,6592 5,8255 5,8839 5,8441 5,7375 5,5889 5,4084 5,2094 5,0176 4,8590 4,7406 4,6473 4,5512 4,4326 4,2964 4,1680 4,0733 4,0226 4,0096 4,0218 4,0513 4,0945 4,1441 4,1819 4,1838 4,1359 4,0488 3,9638 3,9443 4,0491 4,2969 4,6518 5,0389 5,3755 5,5958 5,6695 5,6093 5,4558 5,2545 5,0419 4,8371 4,6368 4,4259 4,1998 3,9778 3,7880 3,6376 3,5041 3,3625 3,2195 3,1149 3,0955 3,1904 3,3982 3,6875 4,0109 4,3312 4,6312 4,8945 5,0833 5,1425 5,0341 4,7706 4,4158 4,0551 3,7640 3,5827 3,5060 3,4943 3,5011 3,4964 3,4748 3,4521 3,4542 3,5003 3,5820 3,6632 3,7023 3,6754 3,5797 3,4244 3,2190 2,9727 2,7060 2,4524 2,2428 2,0911 1,9933 1,9440 1,9508 2,0225 2,1403 2,2529 2,3016 2,2478 2,0821 1,8186 1,4859 1,1185 0,7474 0,3943 0,0742 -0,1969 -0,4019 -0,5265 -0,5654 -0,5327 -0,4586 -0,3635 -0,2377 -0,0589 0,1788 0,4560 0,7337 0,9644 1,1067 1,1311 1,0175 0,7635 0,3896 -0,0729 -0,5968 -1,1590 -1,7311 -2,2750 -2,7502 -3,1289 -3,4119 -3,6261 -3,8045 -3,9673 -4,1214 -4,2738 -4,4342 -4,6034 -4,7595 -4,8582 -4,8505 -4,7084 -4,4432 -4,0960 -3,7148 -3,3403 -2,9980 -2,6941 -2,4221 -2,1715 -1,9256 -1,6601 -1,3547 -1,0124 -0,6669 -0,3710 -0,1716 -0,0886 -0,1147 -0,2312 -0,4239 -0,6838 -1,0013 -1,3626 -1,7482 -2,1285 -2,4631 -2,7114 -2,8500 -2,8818 -2,8320 -2,7292 -2,5903 -2,4234 -2,2440 -2,0845 -1,9952 -2,0328 -2,2380 -2,6162 -3,1367 -3,7446 -4,3782 -4,9789 -5,4925 -5,8741 -6,1005 -6,1824 -6,1592 -6,0821 -5,9943 -5,9186 -5,8568 -5,7951 -5,7067 -5,5591 -5,3278 -5,0067 -4,6082 -4,1595 -3,7008 -3,2762 -2,9269 -2,6894 -2,5919 -2,6491 -2,8630 -3,2201 -3,6776 -4,1598 -4,5800 -4,8790 -5,0460 -5,1023 -5,0704 -4,9666 -4,8104 -4,6272 -4,4398 -4,2595 -4,0863 -3,9253 -3,8031 -3,7595 -3,8224 -3,9932 -4,2539 -4,5776 -4,9317 -5,2782 -5,5765 -5,7881 -5,8861 -5,8621 -5,7206 -5,4713 -5,1360 -4,7539
F7    1,5322 1,3336 1,1532 1,0162 0,9434 0,9399 0,9931 1,0691 1,1143 1,0705 0,9056 0,6348 0,3080 -0,0274 -0,3539 -0,6728 -0,9727 -1,2205 -1,3780 -1,4191 -1,3290 -1,0985 -0,7269 -0,2336 0,3297 0,8793 1,3145 1,5494 1,5506 1,3503 1,0219 0,6404 0,2587 -0,0908 -0,3862 -0,6139 -0,7750 -0,8837 -0,9566 -1,0014 -1,0170 -1,0042 -0,9693 -0,9177 -0,8460 -0,7495 -0,6401 -0,5521 -0,5213 -0,5516 -0,6047 -0,6290 -0,5983 -0,5230 -0,4290 -0,3366 -0,2626 -0,2343 -0,2879 -0,4452 -0,6879 -0,9575 -1,1787 -1,2866 -1,2509 -1,0899 -0,8535 -0,5881 -0,3158 -0,0414 0,2291 0,4787 0,6856 0,8306 0,9004 0,8948 0,8370 0,7648 0,7071 0,6679 0,6278 0,5559 0,4289 0,2484 0,0401 -0,1673 -0,3604 -0,5374 -0,6897 -0,8013 -0,8720 -0,9304 -1,0167 -1,1528 -1,3300 -1,5183 -1,6839 -1,8070 -1,8915 -1,9573 -2,0223 -2,0973 -2,1971 -2,3483 -2,5747 -2,8799 -3,2453 -3,6420 -4,0408 -4,4140 -4,7347 -4,9782 -5,1279 -5,1823 -5,1497 -5,0264 -4,7860 -4,4029 -3,8869 -3,2881 -2,6642 -2,0517 -1,4673 -0,9265 -0,4529 -0,0727 0,1970 0,3587 0,4407 0,4957 0,5856 0,7608 1,0480 1,4451 1,9194 2,4199 2,8976 3,3197 3,6737 3,9653 4,2054 4,3946 4,5211 4,5742 4,5596 4,5073 4,4653 4,4778 4,5652 4,7263 4,9563 5,2517 5,6027 5,9877 6,3715 6,7096 6,9629 7,1084 7,1416 7,0725 6,9159 6,6812 6,3776 6,0253 5,6527 5,2811 4,9217 4,5885 4,3100 4,1195 4,0320 4,0290 4,0653 4,0926 4,0840 4,0351 3,9512 3,8458 3,7461 3,6841 3,6754 3,7083 3,7514 3,7705 3,7460 3,6795 3,5860 3,4842 3,3969 3,3520 3,3646 3,4112 3,4321 3,3704 3,2112 2,9841 2,7326 2,4840 2,2455 2,0240 1,8449 1,7490 1,7656 1,8892 2,0849 2,3069 2,5095 2,6554 2,7270 2,7294 2,6802 2,5978 2,4970 2,3925 2,3026 2,2401 2,2014 2,1737 2,1499 2,1296 2,1133 2,1027 2,1031 2,1204 2,1562 2,2108 2,2915 2,4065 2,5531 2,7219 2,9058 3,0975 3,2811 3,4316 3,5263 3,5589 3,5438 3,5010 3,4417 3,3661 3,2669 3,1362 2,9833 2,8390 2,7361 2,6908 2,6976 2,7303 2,7502 2,7199 2,6230 2,4842 2,3588 2,2850 2,2450 2,1773 2,0223 1,7588 1,4106 1,0348 0,7012 0,4688 0,3700 0,4031 0,5350 0,7145 0,8923 1,0368 1,1449 1,2326 1,3097 1,3673 1,3887 1,3603 1,2727 1,1251 0,9344 0,7355 0,5712 0,4809 0,4915 0,6103 0,8254 1,1094 1,4246 1,7268 1,9697 2,1091 2,1122 1,9747 1,7314 1,4505 1,2180 1,1159 1,1888 1,4135 1,7026 1,9479 2,0757 2,0688 1,9451 1,7404 1,5120 1,3302 1,2487 1,2807 1,4025 1,5731 1,7506 1,8976 1,9884 2,0264 2,0498 2,1121 2,2484 2,4540 2,6901 2,9140 3,1044 3,2612 3,3863 3,4718 3,5059 3,4827 3,4062 3,2863 3,1370 2,9754 2,8188 2,6813 2,5729 2,4987 2,4556 2,4373 2,4467 2,4980 2,6077 2,7864 3,0327 3,3274 3,6328 3,9020 4,1005 4,2214 4,2828 4,3119 4,3341 4,3646 4,3983 4,4108 4,3795 4,3015 4,1898 4,0543 3,8903 3,6803 3,4124 3,0997 2,7805 2,4985 2,2888 2,1751 2,1691 2,2700 2,4655 2,7295 3,0212 3,2963 3,5237 3,6827 3,7492 3,7024 3,5499 3,3356 3,1168 2,9326 2,7865 2,6538 2,5107 2,3554 2,2033 2,0710 1,9673 1,8957 1,8561 1,8448 1,8547 1,8771 1,9013 1,9148 1,9048 1,8700 1,8343 1,8424 1,9346 2,1212 2,3781 2,6610 2,9210 3,1131 3,2060 3,1916 3,0817 2,8981 2,6669 2,4159 2,1679 1,9361 1,7272 1,5519 1,4248 1,3494 1,3094 1,2842 1,2740 1,3042 1,4064 1,5970 1,8656 2,1736 2,4705 2,7240 2,9328 3,1060 3,2366 3,2966 3,2564 3,1103 2,8857 2,6272 2,3744 2,1488 1,9551 1,7908 1,6567 1,5607 1,5152 1,5304 1,6093 1,7438 1,9095 2,0649 2,1633 2,1705 2,0773 1,9020 1,6795 1,4467 1,2357 1,0679 0,9486 0,8714 0,8258 0,8076 0,8236 0,8804 0,9633 1,0332 1,0479 0,9856 0,8490 0,6541 0,4191 0,1613 -0,1047 -0,3717 -0,6393 -0,9059 -1,1604 -1,3812 -1,5480 -1,6583 -1,7250 -1,7525 -1,7225 -1,6102 -1,4089 -1,1404 -0,8515 -0,6031 -0,4521 -0,4391 -0,5853 -0,8878 -1,3194 -1,8402 -2,4089 -2,9888 -3,5514 -4,0787 -4,5604 -4,9870 -5,3464 -5,6284 -5,8280 -5,9456 -5,9894 -5,9787 -5,9417 -5,9039 -5,8741 -5,8349 -5,7495 -5,5821 -5,3189 -4,9736 -4,5818 -4,1856 -3,8160 -3,4860 -3,2011 -2,9668 -2,7825 -2,6312 -2,4834 -2,3130 -2,1141 -1,9025 -1,7029 -1,5355 -1,4160 -1,3627 -1,3987 -1,5394 -1,7780 -2,0854 -2,4223 -2,7492 -3,0324 -3,2479 -3,3840 -3,4429 -3,4393 -3,3916 -3,3164 -3,2312 -3,1590 -3,1280 -3,1716 -3,3233 -3,6025 -3,9995 -4,4728 -4,9607 -5,4020 -5,7496 -5,9709 -6,0456 -5,9726 -5,7830 -5,5428 -5,3340 -5,2199 -5,2175 -5,3011 -5,4240 -5,5338 -5,5823 -5,5374 -5,3903 -5,1522 -4,8487 -4,5160 -4,1946 -3,9202 -3,7220 -3,6237 -3,6456 -3,8039 -4,1009 -4,5080 -4,9619 -5,3820 -5,7031 -5,8983 -5,9748 -5,9528 -5,8579 -5,7229 -5,5824 -5,4590 -5,3541 -5,2544 -5,1528 -5,0629 -5,0133 -5,0292 -5,1200 -5,2757 -5,4745 -5,6908 -5,8993 -6,0730 -6,1831 -6,2029 -6,1180 -5,9259 -5,6288 -5,2419 -4,8046
