Fp1   1,0349 1,2265 1,1654 0,7153 -0,1265 -1,1488 -2,0826 -2,8256 -3,4612 -4,0585 -4,5012 -4,5129 -3,8241 -2,3604 -0,3348 1,8208 3,6221 4,7061 4,9517 4,4858 3,5851 2,5560 1,6589 1,0874 0,9738 1,3669 2,1660 3,0803 3,7249 3,8293 3,3578 2,4269 1,1569 -0,3598 -1,9774 -3,4599 -4,5688 -5,1688 -5,2447 -4,8708 -4,1952 -3,3947 -2,5803 -1,7533 -0,8579 0,1610 1,3407 2,6514 3,9260 4,8900 5,3317 5,2628 4,9060 4,5471 4,3959 4,5066 4,7514 4,8800 4,6785 4,1377 3,4720 2,9527 2,7090 2,6443 2,5318 2,2171 1,7393 1,2607 0,9225 0,8007 0,9577 1,4688 2,3835 3,6706 5,1841 6,6456 7,6601 7,8461 7,0285 5,3106 2,9899 0,4269 -2,0521 -4,1624 -5,6026 -6,0801 -5,4555 -3,8431 -1,5640 0,9827 3,4338 5,5117 7,0206 7,8322 7,8920 7,2583 6,1335 4,7902 3,4312 2,1437 0,9603 -0,0750 -0,8774 -1,3414 -1,4133 -1,1459 -0,6708 -0,1521 0,1981 0,1161 -0,6006 -1,9424 -3,6419 -5,2586 -6,3511 -6,6720 -6,2758 -5,4616 -4,5843 -3,8677 -3,3535 -2,9819 -2,7118 -2,5942 -2,7375 -3,1931 -3,8696 -4,5255 -4,8434 -4,5711 -3,6297 -2,1071 -0,2229 1,6870 3,2648 4,3149 4,9114 5,3081 5,7481 6,3553 7,1276 7,9315 8,4987 8,5158 7,7984 6,4372 4,8199 3,4835 2,8631 3,1035 4,0348 5,3044 6,5850 7,7224 8,7465 9,7808 10,9206 12,1339 13,2458 14,0305 14,3343 14,1207 13,4402 12,3797 11,0317 9,5253 8,0866 7,0335 6,6831 7,2370 8,7105 10,9238 13,5384 16,1138 18,1796 19,3425 19,4102 18,4438 16,7066 14,5740 12,4389 10,6053 9,2254 8,3305 7,9091 7,9493 8,4176 9,2071 10,1278 10,9674 11,5673 11,8515 11,8314 11,6103 11,3615 11,2564 11,3674 11,6252 11,8642 11,9081 11,6495 11,0858 10,2664 9,1960 7,8109 6,0784 4,1478 2,3909 1,2191 0,8063 1,0186 1,6225 2,5011 3,6367 4,9554 6,2536 7,2555 7,7387 7,6585 7,1560 6,4306 5,6112 4,7234 3,7408 2,6562 1,5145 0,4135 -0,4987 -1,0502 -1,1360 -0,8082 -0,2567 0,2983 0,7150 0,9991 1,2852 1,7214 2,3663 3,1830 4,0903 5,0051 5,8482 6,5175 6,8504 6,6364 5,7233 4,1380 2,1059 -0,0338 -1,9484 -3,3994 -4,2487 -4,4096 -3,8453 -2,6382 -1,0244 0,6639 2,0816 2,9325 3,0404 2,4289 1,3359 0,1046 -0,9821 -1,8098 -2,4463 -3,0554 -3,7278 -4,3378 -4,5643 -4,0910 -2,8349 -1,0279 0,8916 2,4909 3,5102 3,9024 3,8001 3,4524 3,1143 2,9283 2,8728 2,7987 2,5385 2,0323 1,3745 0,7414 0,2855 0,0828 0,1278 0,3540 0,6676 0,9816 1,2493 1,4923 1,8118 2,3828 3,3930 4,9150 6,8072 8,7415 10,3360 11,2895 11,4385 10,7728 9,4464 7,7360 5,9545 4,4131 3,4047 3,0961 3,4012 4,0129 4,5894 4,9330 5,0596 5,1525 5,4195 5,9328 6,5798 7,1761 7,6259 7,9677 8,3005 8,6901 9,0897 9,3171 9,1443 8,4562 7,3685 6,2276 5,4821 5,5028 6,4471 8,1907 10,3264 12,2861 13,5875 14,0561 13,8566 13,3395 12,8347 12,5184 12,3822 12,2692 11,9558 11,2615 10,1287 8,6419 7,0127 5,5545 4,6158 4,4440 5,0472 6,1754 7,4552 8,5846 9,4456 10,0851 10,6410 11,2659 12,0405 12,8949 13,6144 13,9557 13,7754 13,0676 11,9352 10,5674 9,2184 8,1449 7,5217 7,3985 7,7015 8,2461 8,8119 9,2970 9,7917 10,4603 11,3640 12,4144 13,4652 14,3896 15,0905 15,5203 15,6944 15,6390 15,3564 14,8745 14,2760 13,6342 12,9572 12,2367 11,5396 11,0230 10,8330 10,9842 11,3728 11,9008 12,5402 13,2860 14,0802 14,7985 15,3301 15,6807 15,9834 16,3951 16,9687 17,6050 18,1027 18,2576 17,9567 17,2297 16,2342 15,1969 14,3632 13,9542 14,0997 14,7779 15,8184 16,9588 17,9453 18,6503 19,1226 19,5210 19,9993 20,6367 21,4101 22,1665 22,6172 22,4230 21,3773 19,5602 17,3210 15,1450 13,5316 12,8839 13,3966 14,9892 17,3257 19,9216 22,2926 24,0786 25,1099 25,4027 25,0931 24,3753 23,4733 22,6047 21,9144 21,4370 21,1452 21,0236 21,0634 21,1915 21,2566 21,1343 20,8119 20,3255 19,6763 18,8826 18,0647 17,4052 17,0187 16,8671 16,7970 16,6738 16,4837 16,3131 16,2684 16,4348 16,8733 17,6160 18,6321 19,7815 20,8357 21,5784 21,8876 21,7471 21,2178 20,4024 19,4157 18,3444 17,2075 15,9743 14,6534 13,3623 12,3114 11,7204 11,6898 12,1038 12,6683 13,0442 12,9388 12,1420 10,6081 8,5784 6,5654 5,1376 4,6708 5,2197 6,5397 8,2187 9,8553 11,1914 12,1235 12,6432 12,7973 12,6561 12,2907 11,7898 11,2529 10,7150 10,1123 9,3918 8,6785 8,3073 8,6691 9,9940 12,1778 14,7201 16,8950 18,1358 18,3207 17,7166 16,7266 15,6916 14,8041 14,0883 13,4583 12,8619 12,4143 12,3876 13,0625 14,5539 16,6895 18,9924 20,8114 21,5718 21,0264 19,3698 17,1478 15,0116 13,4716 12,7807 12,9482 13,7981 15,0118 16,1815 16,9222 17,0148 16,4829 15,5448 14,4901 13,5773 12,9781 12,7241 12,6960 12,7353 12,7879 12,9222 13,2249 13,6929 14,2250 14,7109 15,0971 15,3294 15,2620 14,7016 13,5841 12,0746 10,4643 9,0127 7,9002 7,2303 6,9856 7,0077 7,0856 7,0957 7,0835 7,2357 7,7614 8,7523 10,0983 11,5156 12,6573 13,1946 12,8594 11,5416 9,4082 6,9101 4,6223 3,0194 2,3556 2,6942 3,9911 6,1497 9,0297 12,3880 15,7906
Fz    2,1627 2,3692 2,4924 2,4736 2,2635 1,8598 1,3057 0,6645 0,0066 -0,5836 -1,0068 -1,1667 -1,0059 -0,5414 0,1315 0,8709 1,5319 2,0091 2,2636 2,3152 2,2091 1,9858 1,6701 1,2912 0,9106 0,6130 0,4509 0,3888 0,3050 0,0696 -0,3649 -0,9488 -1,5921 -2,2143 -2,7489 -3,1300 -3,2966 -3,2140 -2,8915 -2,3862 -1,7989 -1,2485 -0,8235 -0,5527 -0,4199 -0,3914 -0,4278 -0,4991 -0,6043 -0,7566 -0,9411 -1,0973 -1,1397 -0,9949 -0,6418 -0,1369 0,3997 0,8377 1,0986 1,1861 1,1687 1,1366 1,1535 1,2191 1,2705 1,2315 1,0647 0,7800 0,4202 0,0643 -0,1678 -0,1510 0,1759 0,7641 1,4695 2,1085 2,5171 2,5981 2,3390 1,7911 1,0387 0,1855 -0,6495 -1,3423 -1,7797 -1,8839 -1,6411 -1,1113 -0,4108 0,3257 0,9918 1,5332 1,9366 2,2000 2,3195 2,2991 2,1568 1,9018 1,5181 0,9892 0,3396 -0,3563 -0,9966 -1,4872 -1,7771 -1,8712 -1,8139 -1,6716 -1,5374 -1,5313 -1,7634 -2,2715 -2,9807 -3,7210 -4,3069 -4,6269 -4,6803 -4,5457 -4,3181 -4,0544 -3,7635 -3,4435 -3,1169 -2,8296 -2,6238 -2,5076 -2,4464 -2,3795 -2,2442 -1,9951 -1,6183 -1,1301 -0,5657 0,0269 0,5932 1,0926 1,5189 1,8989 2,2663 2,6416 3,0318 3,4293 3,7984 4,0773 4,2105 4,1866 4,0575 3,9325 3,9446 4,2014 4,7391 5,5012 6,3642 7,1986 7,9271 8,5402 9,0654 9,5191 9,8770 10,0898 10,1264 9,9950 9,7251 9,3398 8,8533 8,2986 7,7531 7,3320 7,1584 7,3270 7,8642 8,7066 9,7204 10,7385 11,5881 12,1189 12,2487 11,9859 11,4068 10,6166 9,7259 8,8392 8,0455 7,4117 6,9775 6,7588 6,7520 6,9319 7,2411 7,5946 7,9061 8,1146 8,1952 8,1554 8,0227 7,8310 7,6018 7,3319 7,0082 6,6370 6,2515 5,8914 5,5784 5,3009 5,0092 4,6369 4,1526 3,6013 3,0861 2,7013 2,4867 2,4486 2,5959 2,9242 3,3768 3,8439 4,2063 4,3938 4,4213 4,3664 4,3044 4,2605 4,2070 4,1001 3,9252 3,7148 3,5302 3,4313 3,4520 3,5783 3,7386 3,8360 3,8136 3,6922 3,5583 3,5192 3,6370 3,8766 4,1157 4,2212 4,1265 3,8491 3,4478 2,9761 2,4661 1,9371 1,4072 0,8963 0,4286 0,0316 -0,2705 -0,4546 -0,4903 -0,3478 -0,0295 0,4156 0,9127 1,3813 1,7398 1,9303 1,9574 1,8870 1,7938 1,7119 1,6252 1,4902 1,2787 1,0182 0,7939 0,7154 0,8726 1,2938 1,9244 2,6417 3,3023 3,7913 4,0452 4,0561 3,8753 3,6058 3,3609 3,2174 3,2016 3,3070 3,5052 3,7445 3,9607 4,1054 4,1680 4,1709 4,1434 4,1035 4,0614 4,0431 4,1018 4,2962 4,6579 5,1761 5,8002 6,4552 7,0610 7,5462 7,8568 7,9572 7,8321 7,4975 7,0110 6,4633 5,9559 5,5806 5,3948 5,3972 5,5330 5,7353 5,9606 6,1883 6,4056 6,5978 6,7448 6,8303 6,8642 6,8918 6,9662 7,1163 7,3420 7,6180 7,8920 8,1043 8,2193 8,2399 8,1991 8,1520 8,1705 8,3233 8,6296 9,0244 9,3776 9,5658 9,5434 9,3594 9,1141 8,8984 8,7616 8,7080 8,7042 8,6935 8,6175 8,4428 8,1750 7,8573 7,5570 7,3471 7,2818 7,3756 7,5968 7,8747 8,1194 8,2588 8,2686 8,1748 8,0415 7,9544 7,9815 8,1216 8,2858 8,3343 8,1482 7,6906 7,0224 6,2812 5,6382 5,2425 5,1714 5,4059 5,8387 6,3183 6,7232 7,0138 7,2168 7,3711 7,4951 7,5884 7,6421 7,6462 7,6019 7,5280 7,4455 7,3559 7,2444 7,0976 6,9159 6,7117 6,5038 6,3142 6,1603 6,0345 5,8943 5,6902 5,4060 5,0727 4,7607 4,5560 4,5256 4,6997 5,0808 5,6440 6,3263 7,0285 7,6381 8,0625 8,2572 8,2277 8,0086 7,6533 7,2354 6,8300 6,4824 6,1982 5,9563 5,7266 5,4898 5,2588 5,0877 5,0518 5,2006 5,5206 5,9380 6,3523 6,6684 6,8123 6,7420 6,4682 6,0638 5,6406 5,3137 5,1767 5,2787 5,6037 6,0693 6,5551 6,9484 7,1743 7,1991 7,0296 6,7137 6,3319 5,9759 5,7273 5,6376 5,7157 5,9344 6,2580 6,6623 7,1198 7,5719 7,9317 8,1249 8,1218 7,9280 7,5630 7,0642 6,4964 5,9342 5,4237 4,9665 4,5510 4,1985 3,9688 3,9214 4,0826 4,4498 5,0055 5,7167 6,5259 7,3463 8,0690 8,5870 8,8258 8,7637 8,4328 7,9043 7,2626 6,5762 5,8726 5,1396 4,3645 3,5748 2,8336 2,1991 1,6910 1,2904 0,9648 0,6838 0,4122 0,1009 -0,2947 -0,7722 -1,2633 -1,6739 -1,9439 -2,0713 -2,0919 -2,0536 -1,9971 -1,9436 -1,9015 -1,8801 -1,8859 -1,9106 -1,9284 -1,8997 -1,7891 -1,5871 -1,3093 -0,9655 -0,5260 0,0717 0,8676 1,8257 2,8326 3,7360 4,4015 4,7661 4,8535 4,7364 4,4949 4,1989 3,8967 3,6011 3,2958 2,9723 2,6684 2,4729 2,4967 2,8277 3,4835 4,3789 5,3345 6,1356 6,6212 6,7594 6,6590 6,5041 6,4577 6,5976 6,9075 7,3084 7,7032 8,0037 8,1399 8,0704 7,7955 7,3580 6,8282 6,2829 5,7834 5,3578 4,9989 4,6912 4,4489 4,3267 4,3854 4,6459 5,0804 5,6389 6,2674 6,8944 7,4148 7,7015 7,6511 7,2300 6,4860 5,5315 4,5126 3,5640 2,7594 2,1014 1,5571 1,1048 0,7676 0,6149 0,7229 1,1174 1,7373 2,4430 3,0732 3,4958 3,6267 3,4462 3,0196 2,4775 1,9591 1,5699 1,3742 1,3944 1,6105 1,9889 2,5195 3,2012 3,9822
F3    -0,1098 0,9167 1,9428 2,7938 3,3023 3,3881 3,0822 2,4866 1,7236 0,9097 0,1478 -0,4872 -0,9578 -1,2559 -1,3882 -1,3725 -1,2383 -1,0026 -0,6370 -0,0915 0,6314 1,4371 2,1822 2,7532 3,1070 3,2405 3,1302 2,7120 1,9350 0,8439 -0,4025 -1,6100 -2,6346 -3,3919 -3,8299 -3,9314 -3,7349 -3,3269 -2,7960 -2,2060 -1,6203 -1,1197 -0,7621 -0,5441 -0,4265 -0,3720 -0,3471 -0,3275 -0,3305 -0,4113 -0,6024 -0,8709 -1,1382 -1,3180 -1,3471 -1,2046 -0,9110 -0,5070 -0,0310 0,4901 1,0412 1,6106 2,1643 2,6147 2,8346 2,7299 2,2940 1,5987 0,7637 -0,0504 -0,6509 -0,8703 -0,6539 -0,0979 0,5984 1,2052 1,5200 1,4321 0,9684 0,2615 -0,5278 -1,2599 -1,8243 -2,1398 -2,1665 -1,9242 -1,5000 -1,0225 -0,6123 -0,3388 -0,1998 -0,1234 -0,0025 0,2393 0,5981 1,0087 1,3906 1,6487 1,6624 1,3347 0,6610 -0,2624 -1,2687 -2,1511 -2,7217 -2,8974 -2,7364 -2,3966 -2,0687 -1,9199 -2,0548 -2,4889 -3,1403 -3,8523 -4,4559 -4,8474 -5,0152 -5,0030 -4,8550 -4,5849 -4,1938 -3,7169 -3,2415 -2,8733 -2,6837 -2,6839 -2,8329 -3,0554 -3,2498 -3,3058 -3,1337 -2,6849 -1,9633 -1,0432 -0,0703 0,7837 1,3948 1,7298 1,8450 1,8675 1,9580 2,2429 2,7435 3,3599 3,9300 4,3137 4,4499 4,3693 4,1770 4,0223 4,0524 4,3583 4,9426 5,7246 6,5737 7,3611 8,0048 8,4736 8,7543 8,8357 8,7249 8,4617 8,1072 7,7169 7,3116 6,8823 6,4313 6,0071 5,7060 5,6425 5,8978 6,4753 7,2960 8,2263 9,1054 9,7810 10,1622 10,2457 10,0859 9,7411 9,2457 8,6163 7,8749 7,0690 6,2778 5,6021 5,1297 4,8872 4,8268 4,8765 4,9978 5,1908 5,4657 5,8194 6,2200 6,6087 6,9194 7,0968 7,1072 6,9476 6,6531 6,2843 5,8956 5,5042 5,0719 4,5200 3,7952 2,9415 2,1031 1,4386 1,0335 0,8978 1,0079 1,3201 1,7566 2,2071 2,5587 2,7504 2,8132 2,8408 2,9116 3,0456 3,2051 3,3248 3,3623 3,3347 3,3017 3,3169 3,3930 3,4855 3,4987 3,3290 2,9253 2,3278 1,6838 1,2133 1,0999 1,3726 1,8858 2,4122 2,7598 2,8297 2,6120 2,1572 1,5427 0,8483 0,1503 -0,4819 -0,9980 -1,3774 -1,6219 -1,7315 -1,6846 -1,4541 -1,0473 -0,5216 0,0381 0,5447 0,9160 1,0987 1,1137 1,0510 0,9954 0,9551 0,8511 0,5773 0,0977 -0,4956 -1,0176 -1,2777 -1,1537 -0,6297 0,1954 1,1322 1,9688 2,5402 2,7506 2,5769 2,0923 1,4684 0,9058 0,5413 0,4188 0,5289 0,8467 1,3332 1,9251 2,5351 3,0611 3,4071 3,5135 3,3836 3,0948 2,7937 2,6535 2,7908 3,2047 3,7926 4,4153 4,9561 5,3317 5,4848 5,4081 5,1612 4,8304 4,4785 4,1477 3,8851 3,7395 3,7394 3,8761 4,1007 4,3403 4,5309 4,6358 4,6422 4,5598 4,4233 4,2847 4,1948 4,1916 4,2989 4,5202 4,8380 5,2310 5,6692 6,0862 6,3837 6,4587 6,2310 5,6878 4,9383 4,2212 3,8285 3,9618 4,6058 5,5213 6,3762 6,9296 7,1367 7,1093 6,9934 6,8685 6,7301 6,5298 6,2184 5,7692 5,1870 4,5148 3,8409 3,2944 3,0151 3,1077 3,6013 4,4282 5,4229 6,3588 7,0267 7,3050 7,1753 6,7104 6,0601 5,4125 4,9254 4,6697 4,6199 4,6911 4,7839 4,8156 4,7511 4,6203 4,5007 4,4705 4,5567 4,7142 4,8600 4,9349 4,9376 4,9062 4,8763 4,8674 4,9018 5,0082 5,1965 5,4460 5,7207 5,9776 6,1569 6,1930 6,0473 5,7264 5,2702 4,7247 4,1223 3,4894 2,8619 2,2909 1,8418 1,5923 1,6157 1,9511 2,5659 3,3482 4,1682 4,9609 5,7464 6,5725 7,4404 8,2624 8,8793 9,1334 8,9489 8,3585 7,4737 6,4342 5,3685 4,3763 3,5293 2,8747 2,4381 2,2323 2,2795 2,6160 3,2385 4,0393 4,8284 5,4378 5,8018 5,9512 5,9493 5,8352 5,6205 5,3221 4,9794 4,6561 4,4359 4,3970 4,5732 4,9229 5,3391 5,7088 5,9657 6,0881 6,0738 5,9345 5,7011 5,4230 5,1650 4,9942 4,9488 5,0281 5,2262 5,5606 6,0426 6,6141 7,1393 7,4784 7,5609 7,3894 7,0047 6,4629 5,8256 5,1465 4,4541 3,7533 3,0621 2,4468 2,0116 1,8539 2,0374 2,5831 3,4497 4,5185 5,6228 6,6082 7,3813 7,9215 8,2607 8,4412 8,4731 8,3261 7,9632 7,3634 6,4972 5,3177 3,8197 2,1055 0,3762 -1,1411 -2,2800 -2,9918 -3,3376 -3,4268 -3,3650 -3,2406 -3,1197 -3,0180 -2,8845 -2,6499 -2,3046 -1,9135 -1,5620 -1,3073 -1,1661 -1,1224 -1,1504 -1,2395 -1,3993 -1,6385 -1,9354 -2,2246 -2,4227 -2,4715 -2,3550 -2,0720 -1,6020 -0,9202 -0,0521 0,9127 1,8646 2,7134 3,4049 3,9300 4,3073 4,5408 4,6038 4,4691 4,1441 3,6678 3,0775 2,3972 1,6713 1,0067 0,5685 0,5164 0,9145 1,6759 2,5841 3,3837 3,8939 4,0882 4,0967 4,1205 4,3108 4,6961 5,1955 5,6868 6,0678 6,2719 6,2548 5,9911 5,4991 4,8700 4,2566 3,8093 3,6029 3,5941 3,6456 3,6207 3,4839 3,3244 3,2879 3,4746 3,8820 4,4172 4,9437 5,3241 5,4424 5,2170 4,6259 3,7300 2,6636 1,5898 0,6510 -0,0615 -0,5288 -0,8079 -0,9978 -1,1701 -1,3073 -1,3021 -1,0297 -0,4300 0,4455 1,4425 2,3678 3,0533 3,3767 3,2809 2,8014 2,0511 1,1749 0,3242 -0,3615 -0,7928 -0,9478 -0,8378 -0,4670 0,1513 0,9420
F7    -0,8282 -0,6304 -0,3691 -0,1037 0,0826 0,1360 0,0594 -0,1036 -0,2935 -0,4428 -0,4839 -0,3733 -0,1170 0,2285 0,5819 0,8679 1,0380 1,0853 1,0456 0,9722 0,9101 0,8847 0,9011 0,9591 1,0723 1,2530 1,4725 1,6477 1,6769 1,4915 1,0851 0,5035 -0,1836 -0,8954 -1,5403 -2,0325 -2,3196 -2,3877 -2,2477 -1,9345 -1,5195 -1,0927 -0,7135 -0,3904 -0,1178 0,0904 0,2192 0,2789 0,2931 0,2840 0,2792 0,3163 0,4345 0,6655 1,0190 1,4647 1,9285 2,3166 2,5564 2,6276 2,5652 2,4406 2,3235 2,2370 2,1459 1,9987 1,7788 1,5069 1,2096 0,9039 0,6138 0,3857 0,2722 0,2952 0,4282 0,6080 0,7563 0,8015 0,6999 0,4480 0,0875 -0,3048 -0,6514 -0,9080 -1,0596 -1,0971 -1,0123 -0,8100 -0,5176 -0,1813 0,1537 0,4646 0,7449 0,9769 1,1234 1,1532 1,0606 0,8473 0,5063 0,0474 -0,4719 -0,9568 -1,3118 -1,4766 -1,4460 -1,2675 -1,0181 -0,7836 -0,6499 -0,6936 -0,9606 -1,4388 -2,0442 -2,6450 -3,1183 -3,3998 -3,4905 -3,4321 -3,2822 -3,1002 -2,9333 -2,8052 -2,7193 -2,6755 -2,6664 -2,6563 -2,5807 -2,3793 -2,0304 -1,5627 -1,0382 -0,5196 -0,0499 0,3421 0,6354 0,8267 0,9486 1,0731 1,2866 1,6457 2,1494 2,7454 3,3497 3,8610 4,1839 4,2677 4,1421 3,9129 3,7184 3,6780 3,8475 4,2023 4,6620 5,1351 5,5605 5,9286 6,2606 6,5672 6,8322 7,0336 7,1647 7,2266 7,2121 7,1078 6,9102 6,6443 6,3629 6,1251 5,9783 5,9539 6,0591 6,2784 6,5903 6,9691 7,3613 7,6823 7,8605 7,8844 7,8049 7,6982 7,6193 7,5728 7,5186 7,4058 7,1990 6,8933 6,5174 6,1225 5,7650 5,4956 5,3455 5,3080 5,3346 5,3642 5,3641 5,3442 5,3344 5,3590 5,4235 5,5016 5,5351 5,4629 5,2573 4,9292 4,5052 4,0095 3,4756 2,9605 2,5260 2,2010 1,9729 1,8216 1,7460 1,7529 1,8284 1,9266 1,9793 1,9289 1,7665 1,5329 1,2742 1,0043 0,7083 0,3781 0,0432 -0,2361 -0,3988 -0,4029 -0,2304 0,1029 0,5350 0,9621 1,2659 1,3567 1,2196 0,9216 0,5633 0,2176 -0,0896 -0,3524 -0,5492 -0,6464 -0,6395 -0,5697 -0,4908 -0,4293 -0,3785 -0,3223 -0,2662 -0,2485 -0,3194 -0,5002 -0,7590 -1,0237 -1,2269 -1,3424 -1,3863 -1,3943 -1,3973 -1,4088 -1,4283 -1,4550 -1,4972 -1,5744 -1,7199 -1,9753 -2,3630 -2,8585 -3,3859 -3,8385 -4,1079 -4,1165 -3,8506 -3,3760 -2,8146 -2,2923 -1,8907 -1,6227 -1,4481 -1,3180 -1,2088 -1,1188 -1,0475 -0,9834 -0,9084 -0,8100 -0,6901 -0,5618 -0,4339 -0,3046 -0,1809 -0,1024 -0,1235 -0,2563 -0,4417 -0,5822 -0,5948 -0,4438 -0,1460 0,2526 0,7007 1,1456 1,5296 1,8004 1,9252 1,9016 1,7640 1,5764 1,4061 1,2975 1,2579 1,2520 1,2169 1,1096 0,9443 0,7748 0,6450 0,5628 0,5098 0,4663 0,4241 0,3868 0,3580 0,3304 0,2960 0,2590 0,2250 0,1858 0,1194 0,0016 -0,1726 -0,3693 -0,5160 -0,5313 -0,3727 -0,0598 0,3485 0,7941 1,2344 1,6361 1,9678 2,2022 2,3226 2,3228 2,1989 1,9447 1,5634 1,0831 0,5647 0,0962 -0,2289 -0,3388 -0,2095 0,1216 0,5636 1,0025 1,3447 1,5524 1,6423 1,6538 1,6246 1,5926 1,5899 1,6191 1,6417 1,5929 1,4159 1,0971 0,6776 0,2406 -0,1076 -0,2650 -0,1756 0,1320 0,5481 0,9419 1,2276 1,3806 1,4115 1,3420 1,1992 1,0117 0,7974 0,5625 0,3203 0,1015 -0,0631 -0,1588 -0,1736 -0,0835 0,1302 0,4422 0,7765 1,0422 1,1813 1,1893 1,0990 0,9536 0,7931 0,6526 0,5707 0,5888 0,7236 0,9525 1,2349 1,5326 1,8094 2,0364 2,2029 2,3111 2,3609 2,3396 2,2274 2,0171 1,7304 1,4125 1,1105 0,8519 0,6366 0,4487 0,2781 0,1354 0,0559 0,0876 0,2599 0,5558 0,9161 1,2657 1,5374 1,6824 1,6733 1,5131 1,2423 0,9301 0,6612 0,5233 0,5744 0,8083 1,1570 1,5276 1,8435 2,0623 2,1710 2,1849 2,1517 2,1328 2,1656 2,2522 2,3816 2,5422 2,7125 2,8639 2,9827 3,0748 3,1412 3,1681 3,1438 3,0637 2,9152 2,6815 2,3650 1,9960 1,6157 1,2571 0,9405 0,6811 0,4979 0,4077 0,4073 0,4737 0,5953 0,7915 1,0929 1,5095 2,0122 2,5330 2,9799 3,2671 3,3436 3,2052 2,8845 2,4360 1,9247 1,4105 0,9328 0,5076 0,1379 -0,1789 -0,4522 -0,7036 -0,9683 -1,2876 -1,6937 -2,1891 -2,7366 -3,2690 -3,7045 -3,9546 -3,9480 -3,6728 -3,1947 -2,6234 -2,0663 -1,6085 -1,3075 -1,1844 -1,2140 -1,3318 -1,4640 -1,5628 -1,6191 -1,6487 -1,6682 -1,6828 -1,6837 -1,6364 -1,4793 -1,1545 -0,6427 0,0260 0,7801 1,5257 2,1773 2,6790 3,0011 3,1395 3,1281 3,0284 2,8888 2,7219 2,5239 2,3053 2,0971 1,9395 1,8713 1,9169 2,0696 2,2812 2,4749 2,5834 2,5944 2,5618 2,5676 2,6751 2,9058 3,2302 3,5690 3,8253 3,9234 3,8275 3,5528 3,1735 2,8009 2,5354 2,4263 2,4569 2,5481 2,5904 2,5062 2,2987 2,0400 1,8144 1,6686 1,6026 1,5920 1,6085 1,6272 1,6283 1,5973 1,5278 1,4225 1,2841 1,1096 0,8935 0,6298 0,3072 -0,0827 -0,5219 -0,9537 -1,2960 -1,4737 -1,4446 -1,2103 -0,8165 -0,3411 0,1304 0,5150 0,7334 0,7373 0,5415 0,2169 -0,1446 -0,4538 -0,6351 -0,6453 -0,4892 -0,1996 0,1994 0,6992 1,2727
