Fp1   4,7987 5,4329 5,6715 5,5725 5,1728 4,4799 3,5071 2,3002 0,9527 -0,3781 -1,4778 -2,1448 -2,2890 -1,9656 -1,3221 -0,5296 0,2564 0,9051 1,2991 1,3343 0,9429 0,1309 -0,9883 -2,2066 -3,3067 -4,1492 -4,6687 -4,8178 -4,5544 -3,8745 -2,8410 -1,6017 -0,3823 0,5616 1,0394 1,0451 0,7901 0,5589 0,5022 0,5810 0,6850 0,7482 0,7437 0,6305 0,3640 -0,0753 -0,6958 -1,4792 -2,3068 -2,9514 -3,2017 -3,0308 -2,6523 -2,3805 -2,3896 -2,5885 -2,7358 -2,6756 -2,4445 -2,1723 -1,9313 -1,7060 -1,4871 -1,3371 -1,3264 -1,4342 -1,5633 -1,6403 -1,6573 -1,6417 -1,6530 -1,8045 -2,2206 -2,9462 -3,9074 -4,9464 -5,8763 -6,5372 -6,8532 -6,8661 -6,7212 -6,5851 -6,5335 -6,5146 -6,4240 -6,1976 -5,8360 -5,3908 -4,9614 -4,6890 -4,7156 -5,1149 -5,8585 -6,8532 -7,9977 -9,2035 -10,4085 -11,5995 -12,7887 -13,9419 -14,9382 -15,6048 -15,8004 -15,4818 -14,6993 -13,5553 -12,1783 -10,7054 -9,2544 -7,9116 -6,7454 -5,8238 -5,2107 -4,9299 -4,9228 -5,0441 -5,1109 -4,9911 -4,6973 -4,4010 -4,3101 -4,5066 -4,8817 -5,2056 -5,2598 -4,9235 -4,1768 -3,0783 -1,7721 -0,4990 0,4399 0,7870 0,4609 -0,3899 -1,4895 -2,6032 -3,5994 -4,3915 -4,9009 -5,1024 -5,0665 -4,9285 -4,8220 -4,8390 -5,0336 -5,4268 -5,9960 -6,6763 -7,3645 -7,9393 -8,3412 -8,6353 -8,9447 -9,3119 -9,6486 -9,8240 -9,7946 -9,6336 -9,4331 -9,2060 -8,8968 -8,4567 -7,8794 -7,1760 -6,3427 -5,3672 -4,2887 -3,2588 -2,5133 -2,2609 -2,5735 -3,3371 -4,2952 -5,1821 -5,8439 -6,2511 -6,4487 -6,5346 -6,6414 -6,8706 -7,2324 -7,6817 -8,2059 -8,8316 -9,5335 -10,1683 -10,5539 -10,6308 -10,5025 -10,3097 -10,1212 -9,9710 -9,9448 -10,1505 -10,5889 -11,1041 -11,4967 -11,6634 -11,6130 -11,3833 -10,9929 -10,4592 -9,8178 -9,1369 -8,5398 -8,1599 -8,0103 -7,9308 -7,7104 -7,2441 -6,5765 -5,8548 -5,2523 -4,8841 -4,7735 -4,9153 -5,3532 -6,1400 -7,2207 -8,3928 -9,3794 -9,9442 -10,0060 -9,6897 -9,2314 -8,8016 -8,4299 -8,0781 -7,7252 -7,3747 -7,0313 -6,6984 -6,3741 -6,0424 -5,6857 -5,2985 -4,8913 -4,5036 -4,2160 -4,1272 -4,3077 -4,7442 -5,2984 -5,7390 -5,8652 -5,6323 -5,1803 -4,7399 -4,4948 -4,5094 -4,7535 -5,1565 -5,6370 -6,1052 -6,4707 -6,6710 -6,7095 -6,6638 -6,6362 -6,6692 -6,6982 -6,5924 -6,2541 -5,6722 -4,8907 -3,9684 -2,9924 -2,1060 -1,4798 -1,2474 -1,4749 -2,1650 -3,2309 -4,4542 -5,5203 -6,1512 -6,2178 -5,7574 -4,9268 -3,9255 -2,9181 -2,0092 -1,2723 -0,7580 -0,4575 -0,2995 -0,1860 -0,0145 0,2951 0,7384 1,1904 1,4674 1,4440 1,1123 0,5392 -0,1981 -1,0125 -1,7692 -2,3123 -2,5665 -2,5895 -2,5048 -2,4059 -2,3429 -2,3680 -2,5265 -2,7997 -3,1264 -3,4930 -3,9403 -4,4649 -4,9596 -5,2789 -5,3567 -5,2629 -5,1555 -5,1746 -5,3596 -5,6283 -5,8009 -5,6563 -5,0276 -3,9050 -2,4774 -1,0626 0,0263 0,5882 0,6053 0,2778 -0,0531 -0,0965 0,2290 0,7833 1,3099 1,5876 1,5451 1,2516 0,7889 0,1516 -0,7074 -1,7602 -2,8705 -3,8552 -4,5528 -4,8663 -4,7851 -4,3468 -3,5464 -2,3179 -0,6520 1,2680 3,0730 4,3622 4,8664 4,5159 3,4336 1,9071 0,3213 -0,9910 -1,9268 -2,6626 -3,4742 -4,4679 -5,4872 -6,2563 -6,5745 -6,3887 -5,7435 -4,7352 -3,5378 -2,4098 -1,5897 -1,1669 -1,0616 -1,1272 -1,2661 -1,4502 -1,6676 -1,8965 -2,1230 -2,3211 -2,4044 -2,2576 -1,8597 -1,3315 -0,8228 -0,3959 -0,0582 0,1573 0,2190 0,1780 0,1786 0,3682 0,7763 1,2613 1,5886 1,5816 1,1883 0,4315 -0,6251 -1,8289 -2,9193 -3,6281 -3,8406 -3,6651 -3,3319 -3,0124 -2,7319 -2,4341 -2,0979 -1,8005 -1,6887 -1,8745 -2,3237 -2,8426 -3,2021 -3,2747 -3,0422 -2,5193 -1,7332 -0,7660 0,2379 1,1287 1,8115 2,2562 2,4773 2,5114 2,3883 2,1083 1,6560 1,0371 0,3038 -0,4458 -1,0898 -1,5128 -1,6547 -1,5532 -1,3145 -1,0221 -0,6858 -0,2693 0,2666 0,9394 1,7260 2,5541 3,3189 3,9142 4,2462 4,2311 3,8218 3,0552 2,0516 0,9679 -0,0401 -0,8385 -1,3489 -1,5714 -1,5622 -1,3944 -1,1639 -1,0285 -1,1804 -1,7117 -2,5152 -3,3430 -3,9575 -4,2467 -4,2663 -4,2111 -4,3135 -4,7139 -5,3932 -6,2036 -6,9357 -7,3879 -7,4591 -7,1957 -6,7224 -6,1584 -5,6246 -5,2657 -5,1830 -5,3310 -5,5203 -5,5605 -5,4055 -5,1600 -4,9747 -4,9541 -5,1529 -5,6142 -6,3595 -7,3214 -8,3038 -9,0425 -9,3246 -9,0825 -8,4173 -7,5325 -6,6120 -5,7505 -4,9754 -4,2929 -3,6944 -3,1351 -2,5500 -1,9480 -1,5010 -1,4802 -2,0418 -3,0676 -4,2207 -5,1440 -5,6297 -5,6724 -5,4217 -5,0831 -4,8182 -4,6677 -4,5054 -4,0784 -3,1770 -1,8205 -0,2819 1,0513 1,8547 1,9874 1,5152 0,6451 -0,3767 -1,3514 -2,1708 -2,7991 -3,2258 -3,4564 -3,5291 -3,5105 -3,4591 -3,3815 -3,2187 -2,9004 -2,4282 -1,9117 -1,5282 -1,4321 -1,6776 -2,2101 -2,9002 -3,5850 -4,1324 -4,5108 -4,7799 -5,0045 -5,1915 -5,2993 -5,2612 -4,9790 -4,3525 -3,3792 -2,2206 -1,1375 -0,3688 -0,0684 -0,2926 -0,9709 -1,8879 -2,7646 -3,4075 -3,7909 -4,0223 -4,2421 -4,5135 -4,7815 -4,9632 -5,0775 -5,2590 -5,6455 -6,2702 -7,0667 -7,9419 -8,7862 -9,4067 -9,5268 -8,9237 -7,5955 -5,8182 -4,0473 -2,7166 -2,0483 -1,9953 -2,3403 -2,8647 -3,4606 -4,1100 -4,7772 -5,3498 -5,6994 -5,7901 -5,7354 -5,7477
Fz    0,9630 0,6593 0,3793 0,1659 0,0331 -0,0408 -0,0897 -0,1369 -0,1892 -0,2381 -0,2603 -0,2311 -0,1444 -0,0202 0,1036 0,1781 0,1591 0,0355 -0,1591 -0,3733 -0,5750 -0,7565 -0,9114 -1,0237 -1,0860 -1,1097 -1,0997 -1,0301 -0,8617 -0,5821 -0,2183 0,1839 0,5788 0,9200 1,1583 1,2641 1,2560 1,1904 1,1204 1,0678 1,0256 0,9668 0,8468 0,6225 0,2924 -0,0964 -0,4919 -0,8628 -1,1802 -1,4017 -1,4841 -1,4132 -1,2239 -0,9862 -0,7549 -0,5255 -0,2510 0,0917 0,4569 0,7524 0,8992 0,8623 0,6372 0,2318 -0,3218 -0,9447 -1,5244 -1,9689 -2,2481 -2,3855 -2,4292 -2,4321 -2,4409 -2,4836 -2,5589 -2,6382 -2,6833 -2,6729 -2,6158 -2,5507 -2,5375 -2,6313 -2,8468 -3,1507 -3,4914 -3,8315 -4,1543 -4,4544 -4,7327 -4,9984 -5,2695 -5,5709 -5,9336 -6,3876 -6,9460 -7,5954 -8,3109 -9,0770 -9,8771 -10,6653 -11,3569 -11,8442 -12,0308 -11,8719 -11,3975 -10,6987 -9,8945 -9,0918 -8,3530 -7,6967 -7,1285 -6,6620 -6,3140 -6,0955 -6,0106 -6,0582 -6,2287 -6,4928 -6,8020 -7,1050 -7,3592 -7,5314 -7,6040 -7,5801 -7,4771 -7,3135 -7,0990 -6,8338 -6,5206 -6,1785 -5,8455 -5,5605 -5,3334 -5,1286 -4,8928 -4,6062 -4,2999 -4,0146 -3,7511 -3,4733 -3,1512 -2,7911 -2,4290 -2,1028 -1,8327 -1,6180 -1,4455 -1,3042 -1,1886 -1,0884 -0,9928 -0,9036 -0,8204 -0,7116 -0,5178 -0,1968 0,2320 0,6913 1,0956 1,4016 1,6225 1,8041 1,9913 2,2057 2,4395 2,6621 2,8283 2,8838 2,7838 2,5141 2,0985 1,5948 1,0795 0,6119 0,2018 -0,1832 -0,5864 -1,0377 -1,5458 -2,0910 -2,6294 -3,1265 -3,5901 -4,0629 -4,5789 -5,1238 -5,6436 -6,1003 -6,5041 -6,8820 -7,2328 -7,5277 -7,7396 -7,8502 -7,8379 -7,6812 -7,3920 -7,0340 -6,6873 -6,3863 -6,1055 -5,8036 -5,4708 -5,1460 -4,9067 -4,8288 -4,9290 -5,1436 -5,3669 -5,5056 -5,5065 -5,3669 -5,1305 -4,8559 -4,5803 -4,3177 -4,0767 -3,8579 -3,6379 -3,3736 -3,0258 -2,5786 -2,0547 -1,5233 -1,0734 -0,7609 -0,5783 -0,4752 -0,3986 -0,3148 -0,2122 -0,1001 0,0029 0,0847 0,1437 0,1840 0,2157 0,2509 0,2954 0,3421 0,3736 0,3758 0,3580 0,3554 0,3968 0,4652 0,4931 0,4022 0,1533 -0,2325 -0,6922 -1,1546 -1,5678 -1,9096 -2,1800 -2,3931 -2,5785 -2,7787 -3,0277 -3,3278 -3,6403 -3,8923 -4,0077 -3,9456 -3,7129 -3,3471 -2,8963 -2,4128 -1,9458 -1,5278 -1,1731 -0,8939 -0,7013 -0,5749 -0,4448 -0,2295 0,1060 0,5347 1,0006 1,4614 1,9044 2,3310 2,7351 3,1104 3,4677 3,8215 4,1636 4,4614 4,6756 4,7777 4,7630 4,6574 4,5087 4,3599 4,2217 4,0705 3,8826 3,6722 3,4850 3,3543 3,2770 3,2343 3,2184 3,2229 3,2156 3,1468 2,9868 2,7400 2,4262 2,0695 1,7086 1,3948 1,1705 1,0586 1,0673 1,1918 1,4048 1,6569 1,8971 2,0973 2,2560 2,3833 2,4837 2,5454 2,5429 2,4530 2,2763 2,0527 1,8543 1,7507 1,7638 1,8513 1,9335 1,9368 1,8305 1,6416 1,4365 1,2727 1,1607 1,0769 1,0069 0,9662 0,9827 1,0706 1,2183 1,3942 1,5737 1,7730 2,0437 2,4141 2,8389 3,2138 3,4390 3,4712 3,3307 3,0814 2,8115 2,6149 2,5600 2,6515 2,8141 2,9322 2,9302 2,8209 2,6801 2,5858 2,5814 2,6817 2,8823 3,1493 3,4210 3,6414 3,7929 3,8892 3,9447 3,9514 3,8817 3,7111 3,4361 3,0793 2,6929 2,3480 2,0999 1,9549 1,8781 1,8330 1,8066 1,7988 1,8018 1,8046 1,8132 1,8489 1,9245 2,0244 2,1066 2,1295 2,0826 1,9836 1,8417 1,6450 1,3930 1,1213 0,8778 0,6785 0,4917 0,2621 -0,0485 -0,4297 -0,8277 -1,1811 -1,4521 -1,6319 -1,7238 -1,7263 -1,6346 -1,4584 -1,2283 -0,9725 -0,6940 -0,3751 -0,0011 0,4211 0,8656 1,2996 1,6945 2,0320 2,3053 2,5076 2,6187 2,6167 2,5107 2,3544 2,2168 2,1389 2,1156 2,1042 2,0404 1,8587 1,5260 1,0652 0,5470 0,0592 -0,3212 -0,5430 -0,5889 -0,4735 -0,2347 0,0761 0,3984 0,6722 0,8493 0,8952 0,7932 0,5640 0,2731 -0,0013 -0,2120 -0,3456 -0,3989 -0,3758 -0,3077 -0,2505 -0,2438 -0,2886 -0,3723 -0,4927 -0,6506 -0,8396 -1,0486 -1,2625 -1,4603 -1,6213 -1,7373 -1,8185 -1,8951 -2,0150 -2,2213 -2,5141 -2,8477 -3,1707 -3,4611 -3,7193 -3,9379 -4,0907 -4,1543 -4,1261 -4,0186 -3,8465 -3,6297 -3,4057 -3,2242 -3,1183 -3,0885 -3,1142 -3,1728 -3,2554 -3,3772 -3,5766 -3,9017 -4,3858 -5,0218 -5,7535 -6,4827 -7,0863 -7,4478 -7,4973 -7,2428 -6,7720 -6,2070 -5,6298 -5,0412 -4,3909 -3,6374 -2,7862 -1,8916 -1,0342 -0,2956 0,2561 0,5900 0,7419 0,8068 0,8789 1,0013 1,1672 1,3458 1,5003 1,6006 1,6299 1,5825 1,4593 1,2625 0,9943 0,6690 0,3272 0,0204 -0,2239 -0,4165 -0,5888 -0,7623 -0,9321 -1,0803 -1,1974 -1,2910 -1,3798 -1,4812 -1,5977 -1,7194 -1,8382 -1,9567 -2,0929 -2,2800 -2,5392 -2,8475 -3,1468 -3,3883 -3,5598 -3,6771 -3,7656 -3,8522 -3,9589 -4,0998 -4,2902 -4,5580 -4,9312 -5,4112 -5,9642 -6,5454 -7,1227 -7,6721 -8,1673 -8,5844 -8,9021 -9,0933 -9,1344 -9,0249 -8,7907 -8,4712 -8,1079 -7,7456 -7,4294 -7,1831 -6,9792 -6,7493 -6,4456 -6,0866 -5,7411 -5,4840 -5,3628 -5,3788 -5,4860 -5,6184 -5,7241 -5,7863 -5,8119 -5,7988 -5,7172 -5,5332 -5,2491 -4,9194 -4,6282
F3    0,5754 0,1589 -0,2356 -0,6333 -1,0413 -1,4548 -1,8428 -2,1296 -2,2098 -2,0036 -1,5130 -0,8221 -0,0569 0,6384 1,1232 1,3095 1,1953 0,8567 0,4323 0,0918 -0,0298 0,1026 0,4130 0,7685 1,0443 1,1588 1,0918 0,8977 0,6898 0,5866 0,6533 0,8782 1,1850 1,4530 1,5482 1,3801 0,9573 0,3908 -0,1731 -0,6340 -0,9572 -1,1410 -1,1912 -1,1202 -0,9556 -0,7373 -0,4988 -0,2630 -0,0517 0,1152 0,2188 0,2356 0,1569 0,0216 -0,0820 -0,0552 0,1599 0,5468 1,0145 1,4341 1,6913 1,7108 1,4490 0,8993 0,1052 -0,8420 -1,8221 -2,7151 -3,4309 -3,9134 -4,1182 -3,9974 -3,5193 -2,7081 -1,6604 -0,5325 0,4807 1,1825 1,4333 1,1885 0,5019 -0,4843 -1,5716 -2,5745 -3,3794 -3,9481 -4,2970 -4,4897 -4,6284 -4,8101 -5,0747 -5,4087 -5,7969 -6,2477 -6,7592 -7,2907 -7,7768 -8,1552 -8,3860 -8,4669 -8,4319 -8,3278 -8,1872 -8,0238 -7,8478 -7,6818 -7,5658 -7,5424 -7,6258 -7,7924 -8,0054 -8,2153 -8,3319 -8,2469 -7,9173 -7,4046 -6,8244 -6,2690 -5,7666 -5,2894 -4,8019 -4,3102 -3,8767 -3,5918 -3,5286 -3,7063 -4,0727 -4,5164 -4,9153 -5,1907 -5,3229 -5,3334 -5,2572 -5,1194 -4,9241 -4,6684 -4,3701 -4,0749 -3,8179 -3,5743 -3,2789 -2,8978 -2,4550 -1,9822 -1,4688 -0,8782 -0,2070 0,4950 1,1697 1,7924 2,3539 2,8182 3,1269 3,2504 3,2092 3,0507 2,8261 2,5661 2,2602 1,8764 1,4205 0,9709 0,6481 0,5499 0,7101 1,0952 1,6257 2,2084 2,7464 3,1305 3,2621 3,1033 2,6902 2,1029 1,4372 0,7873 0,2170 -0,2712 -0,7384 -1,2659 -1,9081 -2,6838 -3,5797 -4,5434 -5,4908 -6,3324 -7,0001 -7,4703 -7,7662 -7,9278 -7,9856 -7,9517 -7,8140 -7,5497 -7,1622 -6,6986 -6,2274 -5,8097 -5,4878 -5,2739 -5,1357 -5,0100 -4,8519 -4,6769 -4,5552 -4,5674 -4,7583 -5,1145 -5,5699 -6,0382 -6,4500 -6,7695 -6,9863 -7,0990 -7,0987 -6,9655 -6,6798 -6,2365 -5,6452 -4,9221 -4,0968 -3,2358 -2,4462 -1,8403 -1,4743 -1,3046 -1,2011 -1,0148 -0,6557 -0,1358 0,4491 0,9862 1,3984 1,6469 1,7133 1,5895 1,2780 0,8028 0,2305 -0,3261 -0,7540 -1,0198 -1,1936 -1,3826 -1,6485 -1,9654 -2,2243 -2,3018 -2,1510 -1,8327 -1,4675 -1,1569 -0,9482 -0,8628 -0,9249 -1,1472 -1,5033 -1,9286 -2,3536 -2,7356 -3,0633 -3,3415 -3,5800 -3,7848 -3,9599 -4,1179 -4,2743 -4,4247 -4,5370 -4,5603 -4,4374 -4,1277 -3,6284 -2,9639 -2,1608 -1,2478 -0,2703 0,7084 1,6223 2,4165 3,0493 3,4943 3,7628 3,9091 3,9838 3,9955 3,9418 3,8538 3,7745 3,7069 3,6134 3,4583 3,2402 2,9908 2,7489 2,5368 2,3581 2,2061 2,0709 1,9533 1,8789 1,8812 1,9639 2,0876 2,1953 2,2533 2,2642 2,2365 2,1561 2,0021 1,7771 1,5039 1,2050 0,8976 0,6015 0,3481 0,1841 0,1506 0,2465 0,4091 0,5272 0,4890 0,2490 -0,1273 -0,4807 -0,6358 -0,4876 -0,0411 0,6014 1,2760 1,8002 2,0222 1,8827 1,4498 0,8828 0,3503 -0,0312 -0,2184 -0,2303 -0,1158 0,0772 0,3165 0,5907 0,9074 1,2759 1,6871 2,1196 2,5480 2,9334 3,2225 3,3774 3,3894 3,2527 2,9519 2,4935 1,9381 1,3906 0,9532 0,6850 0,6028 0,6947 0,9091 1,1645 1,4099 1,6538 1,9218 2,2186 2,5350 2,8538 3,1519 3,4220 3,6818 3,9371 4,1454 4,2367 4,1648 3,9308 3,5681 3,1124 2,5928 2,0414 1,4891 0,9578 0,4673 0,0439 -0,2815 -0,4729 -0,4904 -0,3059 0,0829 0,6551 1,3655 2,1312 2,8347 3,3558 3,6046 3,5477 3,2263 2,7387 2,1916 1,6628 1,1939 0,7981 0,4747 0,2216 0,0330 -0,1079 -0,2305 -0,3665 -0,5357 -0,7290 -0,8960 -0,9553 -0,8533 -0,6307 -0,4194 -0,3585 -0,5016 -0,7796 -1,0381 -1,1248 -0,9593 -0,5365 0,1095 0,9159 1,7757 2,5519 3,1255 3,4272 3,4382 3,1871 2,7598 2,2968 1,9550 1,8354 1,9276 2,1208 2,2723 2,2849 2,1492 1,9132 1,6152 1,2586 0,8403 0,3801 -0,0806 -0,4968 -0,8203 -1,0000 -1,0195 -0,9361 -0,8554 -0,8641 -0,9851 -1,1841 -1,4046 -1,5897 -1,6850 -1,6394 -1,4100 -0,9731 -0,3515 0,3551 0,9836 1,3687 1,4021 1,0616 0,4275 -0,3321 -1,0329 -1,5657 -1,9282 -2,1731 -2,3441 -2,4659 -2,5647 -2,6742 -2,8145 -2,9683 -3,0885 -3,1304 -3,0764 -2,9406 -2,7649 -2,6101 -2,5328 -2,5539 -2,6501 -2,7842 -2,9433 -3,1348 -3,3527 -3,5758 -3,7869 -3,9772 -4,1449 -4,2935 -4,4337 -4,6038 -4,8758 -5,3034 -5,8571 -6,4179 -6,8338 -6,9926 -6,8678 -6,5175 -6,0504 -5,5834 -5,1985 -4,9122 -4,6859 -4,4618 -4,1769 -3,7625 -3,1601 -2,3639 -1,4536 -0,5640 0,1761 0,6779 0,9117 0,9276 0,8450 0,8006 0,8796 1,0743 1,3013 1,4669 1,5208 1,4503 1,2460 0,9126 0,5140 0,1616 -0,0697 -0,2048 -0,3494 -0,6178 -1,0489 -1,5660 -2,0257 -2,3039 -2,3468 -2,1698 -1,8353 -1,4445 -1,1295 -1,0088 -1,1338 -1,4769 -1,9499 -2,4321 -2,8133 -3,0433 -3,1427 -3,1787 -3,2451 -3,4291 -3,7531 -4,1507 -4,5248 -4,8415 -5,1542 -5,5336 -6,0051 -6,5503 -7,1233 -7,6565 -8,0790 -8,3533 -8,4916 -8,5228 -8,4551 -8,2837 -8,0129 -7,6572 -7,2393 -6,7966 -6,3806 -6,0401 -5,7963 -5,6327 -5,5151 -5,4153 -5,3021 -5,1287 -4,8586 -4,5026 -4,1190 -3,7848 -3,5685 -3,5140 -3,6407 -3,9431 -4,3728 -4,8363 -5,2318 -5,4938 -5,6034
F7    -2,0106 -2,3188 -2,5897 -2,7177 -2,6362 -2,3544 -1,9290 -1,4214 -0,8850 -0,3693 0,0791 0,4193 0,6219 0,6831 0,6375 0,5456 0,4633 0,4214 0,4214 0,4364 0,4225 0,3480 0,2142 0,0477 -0,1150 -0,2304 -0,2529 -0,1603 0,0229 0,2340 0,4103 0,5291 0,6208 0,7359 0,9019 1,1095 1,3254 1,5027 1,5919 1,5660 1,4388 1,2509 1,0353 0,8022 0,5540 0,2930 0,0133 -0,2893 -0,5896 -0,8298 -0,9541 -0,9462 -0,8289 -0,6325 -0,3727 -0,0591 0,2886 0,6351 0,9369 1,1540 1,2618 1,2537 1,1406 0,9584 0,7656 0,6172 0,5349 0,5014 0,4778 0,4193 0,2771 0,0033 -0,4254 -0,9727 -1,5299 -1,9527 -2,1261 -2,0089 -1,6401 -1,1188 -0,5710 -0,1076 0,2064 0,3531 0,3444 0,2082 -0,0204 -0,3102 -0,6413 -1,0031 -1,3883 -1,7898 -2,2093 -2,6637 -3,1755 -3,7526 -4,3807 -5,0232 -5,6232 -6,1202 -6,4748 -6,6808 -6,7592 -6,7462 -6,6758 -6,5550 -6,3578 -6,0454 -5,5893 -4,9840 -4,2604 -3,4935 -2,7873 -2,2400 -1,9080 -1,7950 -1,8732 -2,1073 -2,4572 -2,8703 -3,2818 -3,6298 -3,8705 -3,9809 -3,9578 -3,8266 -3,6432 -3,4725 -3,3548 -3,2759 -3,1699 -2,9653 -2,6330 -2,1962 -1,7100 -1,2356 -0,8105 -0,4263 -0,0396 0,3884 0,8601 1,3410 1,7774 2,1180 2,3353 2,4411 2,4786 2,4953 2,5241 2,5830 2,6825 2,8349 3,0621 3,3877 3,8166 4,3162 4,8064 5,1869 5,3957 5,4442 5,3953 5,3115 5,2109 5,0591 4,8010 4,4044 3,8852 3,3130 2,7968 2,4366 2,2595 2,2030 2,1656 2,0660 1,8629 1,5456 1,1242 0,6239 0,0816 -0,4609 -0,9678 -1,4194 -1,8126 -2,1582 -2,4787 -2,7970 -3,1206 -3,4437 -3,7606 -4,0640 -4,3348 -4,5449 -4,6708 -4,7055 -4,6623 -4,5644 -4,4272 -4,2552 -4,0508 -3,8175 -3,5654 -3,3270 -3,1615 -3,1260 -3,2348 -3,4440 -3,6739 -3,8539 -3,9588 -4,0116 -4,0531 -4,1064 -4,1630 -4,1868 -4,1293 -3,9569 -3,6780 -3,3396 -3,0019 -2,7217 -2,5430 -2,4806 -2,5099 -2,5817 -2,6495 -2,6859 -2,6853 -2,6635 -2,6516 -2,6766 -2,7477 -2,8594 -2,9991 -3,1483 -3,2787 -3,3507 -3,3248 -3,1914 -2,9928 -2,8048 -2,6887 -2,6542 -2,6573 -2,6320 -2,5358 -2,3841 -2,2502 -2,2233 -2,3526 -2,6258 -3,0003 -3,4401 -3,9208 -4,4121 -4,8785 -5,3006 -5,6896 -6,0716 -6,4554 -6,8161 -7,1012 -7,2510 -7,2257 -7,0244 -6,6827 -6,2520 -5,7764 -5,2881 -4,8218 -4,4223 -4,1280 -3,9535 -3,8851 -3,8830 -3,8949 -3,8833 -3,8388 -3,7631 -3,6447 -3,4496 -3,1375 -2,6967 -2,1713 -1,6452 -1,1994 -0,8876 -0,7386 -0,7578 -0,9158 -1,1402 -1,3404 -1,4597 -1,5090 -1,5476 -1,6347 -1,7881 -1,9719 -2,1143 -2,1470 -2,0509 -1,8792 -1,7305 -1,6952 -1,8256 -2,1372 -2,6061 -3,1548 -3,6680 -4,0469 -4,2547 -4,3122 -4,2649 -4,1575 -4,0250 -3,8864 -3,7450 -3,5985 -3,4555 -3,3356 -3,2478 -3,1740 -3,0843 -2,9607 -2,8054 -2,6359 -2,4807 -2,3729 -2,3334 -2,3563 -2,4105 -2,4570 -2,4650 -2,4170 -2,3073 -2,1473 -1,9717 -1,8278 -1,7518 -1,7549 -1,8190 -1,9003 -1,9527 -1,9625 -1,9575 -1,9769 -2,0364 -2,1232 -2,2089 -2,2629 -2,2688 -2,2362 -2,1915 -2,1499 -2,1043 -2,0519 -2,0218 -2,0631 -2,2005 -2,4028 -2,5959 -2,7126 -2,7270 -2,6505 -2,5178 -2,3793 -2,2832 -2,2518 -2,2732 -2,3143 -2,3456 -2,3554 -2,3446 -2,3185 -2,2829 -2,2469 -2,2255 -2,2292 -2,2511 -2,2729 -2,2776 -2,2520 -2,1910 -2,1006 -1,9846 -1,8347 -1,6491 -1,4494 -1,2703 -1,1444 -1,0976 -1,1399 -1,2506 -1,3836 -1,4980 -1,5838 -1,6587 -1,7472 -1,8664 -2,0213 -2,2029 -2,3847 -2,5374 -2,6566 -2,7765 -2,9548 -3,2335 -3,5976 -3,9714 -4,2615 -4,4090 -4,4042 -4,2641 -4,0120 -3,6747 -3,2835 -2,8705 -2,4686 -2,1103 -1,8221 -1,6166 -1,4899 -1,4289 -1,4232 -1,4721 -1,5770 -1,7228 -1,8652 -1,9456 -1,9286 -1,8212 -1,6595 -1,4874 -1,3550 -1,3209 -1,4234 -1,6418 -1,8976 -2,1065 -2,2306 -2,2848 -2,3003 -2,2814 -2,1993 -2,0338 -1,8152 -1,6107 -1,4749 -1,4258 -1,4575 -1,5542 -1,6907 -1,8398 -1,9933 -2,1729 -2,4098 -2,7112 -3,0469 -3,3578 -3,5727 -3,6318 -3,5176 -3,2614 -2,9151 -2,5280 -2,1540 -1,8494 -1,6526 -1,5833 -1,6553 -1,8695 -2,1942 -2,5669 -2,9297 -3,2669 -3,6095 -3,9937 -4,4138 -4,8114 -5,1083 -5,2535 -5,2502 -5,1499 -5,0201 -4,9087 -4,8274 -4,7605 -4,6912 -4,6235 -4,5832 -4,6011 -4,6884 -4,8230 -4,9619 -5,0688 -5,1357 -5,1987 -5,3239 -5,5643 -5,9250 -6,3627 -6,8180 -7,2528 -7,6555 -8,0176 -8,3119 -8,4921 -8,5034 -8,2989 -7,8555 -7,1852 -6,3421 -5,4187 -4,5182 -3,7207 -3,0666 -2,5600 -2,1815 -1,9045 -1,6951 -1,5052 -1,2883 -1,0397 -0,8094 -0,6665 -0,6512 -0,7554 -0,9334 -1,1275 -1,3018 -1,4628 -1,6393 -1,8471 -2,0783 -2,3221 -2,5880 -2,9026 -3,2795 -3,6873 -4,0518 -4,3065 -4,4458 -4,5207 -4,5829 -4,6424 -4,6659 -4,5963 -4,3860 -4,0410 -3,6351 -3,2725 -3,0337 -2,9488 -3,0042 -3,1664 -3,4086 -3,7224 -4,0970 -4,4950 -4,8664 -5,1862 -5,4687 -5,7485 -6,0494 -6,3595 -6,6402 -6,8603 -7,0238 -7,1677 -7,3342 -7,5440 -7,7854 -8,0109 -8,1492 -8,1423 -7,9763 -7,6710 -7,2555 -6,7662 -6,2515 -5,7583 -5,3129 -4,9251 -4,6122 -4,4105 -4,3525 -4,4266 -4,5641 -4,6695 -4,6677 -4,5363 -4,3001 -4,0020 -3,6855 -3,3886 -3,1332 -2,9189 -2,7303 -2,5508 -2,3750 -2,2222
