Fp1   0,9091 0,6921 0,3057 -0,1616 -0,6283 -1,0375 -1,3340 -1,4445 -1,3038 -0,9049 -0,3217 0,3174 0,8889 1,3233 1,6210 1,8347 2,0275 2,2242 2,3876 2,4440 2,3419 2,0949 1,7750 1,4639 1,2064 0,9936 0,7741 0,4858 0,1027 -0,3325 -0,7192 -0,9575 -1,0140 -0,9425 -0,8483 -0,8279 -0,9176 -1,0896 -1,2921 -1,4809 -1,6235 -1,6917 -1,6556 -1,4938 -1,2240 -0,9181 -0,6662 -0,5145 -0,4456 -0,4223 -0,4367 -0,5136 -0,6774 -0,9241 -1,2131 -1,4778 -1,6454 -1,6607 -1,5130 -1,2425 -0,9141 -0,5899 -0,3177 -0,1343 -0,0899 -0,2543 -0,6677 -1,2766 -1,9353 -2,4811 -2,8115 -2,9059 -2,8076 -2,5964 -2,3521 -2,1225 -1,9194 -1,7360 -1,5460 -1,2951 -0,9224 -0,3993 0,2440 0,9183 1,5063 1,9147 2,1082 2,1055 1,9532 1,7075 1,4384 1,2335 1,1681 1,2505 1,3928 1,4566 1,3525 1,1016 0,8031 0,5483 0,3607 0,1902 -0,0576 -0,4657 -1,0435 -1,7131 -2,3556 -2,8724 -3,2339 -3,4894 -3,7187 -3,9623 -4,1890 -4,3164 -4,2614 -4,0038 -3,6143 -3,2086 -2,8742 -2,6361 -2,4619 -2,2853 -2,0502 -1,7505 -1,4315 -1,1565 -0,9585 -0,8060 -0,6194 -0,3179 0,1472 0,7706 1,4742 2,1163 2,5515 2,7234 2,7094 2,6650 2,7199 2,9145 3,2087 3,5321 3,8273 4,0591 4,2036 4,2354 4,1343 3,9091 3,6092 3,3151 3,1171 3,0888 3,2588 3,6025 4,0688 4,6088 5,1709 5,6849 6,0739 6,2923 6,3550 6,3299 6,2956 6,3004 6,3474 6,4021 6,4155 6,3502 6,1888 5,9357 5,6242 5,3085 5,0368 4,8429 4,7485 4,7470 4,7997 4,8694 4,9541 5,0709 5,2229 5,3991 5,6032 5,8595 6,1701 6,4730 6,6617 6,6459 6,4055 5,9999 5,5284 5,0783 4,6981 4,3938 4,1419 3,9150 3,7108 3,5739 3,5776 3,7606 4,0839 4,4494 4,7458 4,8891 4,8533 4,6710 4,3989 4,0873 3,7726 3,4800 3,2277 3,0337 2,9101 2,8344 2,7423 2,5718 2,3194 2,0568 1,8901 1,8974 2,0965 2,4519 2,8953 3,3463 3,7412 4,0504 4,2644 4,3658 4,3238 4,1204 3,7797 3,3691 2,9786 2,6995 2,5999 2,6980 2,9582 3,3156 3,7072 4,0941 4,4572 4,7820 5,0567 5,2597 5,3395 5,2351 4,9296 4,4738 3,9579 3,4642 3,0388 2,6959 2,4535 2,3561 2,4520 2,7564 3,2412 3,8463 4,4930 5,0989 5,5911 5,9095 6,0131 5,8955 5,5927 5,1677 4,6887 4,2288 3,8788 3,7349 3,8603 4,2455 4,7981 5,3741 5,8304 6,0717 6,0839 5,9395 5,7447 5,5646 5,4091 5,2824 5,2188 5,2657 5,4403 5,6972 5,9295 6,0088 5,8500 5,4585 4,9326 4,4308 4,1167 4,0862 4,3141 4,6700 5,0005 5,1987 5,2182 5,0555 4,7405 4,3388 3,9399 3,6270 3,4477 3,4072 3,4880 3,6746 3,9691 4,3907 4,9522 5,6307 6,3525 7,0016 7,4576 7,6524 7,5940 7,3339 6,9268 6,4280 5,9137 5,4744 5,1712 5,0004 4,9006 4,7953 4,6385 4,4362 4,2364 4,0931 4,0246 3,9956 3,9374 3,7874 3,5348 3,2492 3,0593 3,0766 3,3235 3,7390 4,2505 4,8167 5,4098 5,9947 6,5297 6,9750 7,3006 7,4872 7,5239 7,4172 7,2042 6,9424 6,6879 6,4780 6,3243 6,2121 6,1016 5,9377 5,6804 5,3378 4,9662 4,6373 4,4073 4,3007 4,2988 4,3405 4,3581 4,3189 4,2323 4,1322 4,0640 4,0638 4,1225 4,1707 4,1120 3,8927 3,5572 3,2328 3,0588 3,1260 3,4560 4,0059 4,6864 5,3933 6,0333 6,5331 6,8417 6,9294 6,7879 6,4491 6,0089 5,6007 5,3177 5,1674 5,1056 5,1007 5,1608 5,3116 5,5620 5,8872 6,2243 6,4895 6,6177 6,5813 6,3779 6,0273 5,5810 5,1114 4,6765 4,2965 3,9605 3,6588 3,4035 3,2163 3,1121 3,1053 3,2194 3,4759 3,8618 4,3187 4,7763 5,1830 5,4965 5,6759 5,7069 5,6174 5,4579 5,2815 5,1426 5,0797 5,0927 5,1526 5,2309 5,3083 5,3675 5,3970 5,3961 5,3698 5,3299 5,3011 5,3138 5,3723 5,4255 5,3939 5,2473 5,0494 4,9169 4,9362 5,1088 5,3618 5,6042 5,7865 5,9199 6,0429 6,1640 6,2443 6,2298 6,0830 5,7884 5,3623 4,8649 4,3831 3,9991 3,7684 3,6999 3,7539 3,8705 3,9965 4,0901 4,1198 4,0697 3,9381 3,7244 3,4205 3,0097 2,4730 1,8189 1,1170 0,4812 0,0034 -0,2931 -0,4376 -0,4633 -0,3825 -0,2003 0,0784 0,4613 0,9627 1,5729 2,2367 2,8635 3,3665 3,7034 3,8911 3,9822 4,0239 4,0339 3,9989 3,8822 3,6447 3,2727 2,7888 2,2451 1,7148 1,2744 0,9773 0,8428 0,8587 0,9822 1,1471 1,2866 1,3547 1,3430 1,2928 1,2717 1,3237 1,4525 1,6519 1,9398 2,3653 2,9663 3,7087 4,4832 5,1684 5,6793 5,9733 6,0475 5,9299 5,6672 5,3331 5,0299 4,8565 4,8675 5,0571 5,3790 5,7814 6,2141 6,6138 6,9166 7,1001 7,1911 7,2280 7,2199 7,1362 6,9347 6,6056 6,1873 5,7454 5,3452 5,0336 4,8374 4,7592 4,7684 4,8120 4,8553 4,9073 4,9947 5,1186 5,2527 5,3677 5,4345 5,4276 5,3540 5,2689 5,2398 5,2919 5,3931 5,4884 5,5365 5,5135 5,3998 5,1917 4,9310 4,6999 4,5743 4,5833 4,6976 4,8472 4,9538 4,9500 4,7865 4,4494 3,9826 3,4853 3,0714 2,8153 2,7279 2,7738 2,9013 3,0542 3,1694 3,1933 3,1194 3,0070 2,9517 3,0256 3,2349 3,5305 3,8506 4,1471
Fz    0,8553 0,8228 0,7379 0,6378 0,5514 0,4893 0,4514 0,4391 0,4589 0,5121 0,5860 0,6527 0,6791 0,6440 0,5568 0,4624 0,4217 0,4816 0,6572 0,9282 1,2438 1,5329 1,7218 1,7562 1,6131 1,3018 0,8559 0,3276 -0,2105 -0,6663 -0,9571 -1,0504 -0,9770 -0,8097 -0,6353 -0,5304 -0,5368 -0,6529 -0,8457 -1,0668 -1,2673 -1,4137 -1,4954 -1,5189 -1,4975 -1,4452 -1,3726 -1,2790 -1,1545 -0,9962 -0,8276 -0,6967 -0,6442 -0,6646 -0,7010 -0,6839 -0,5769 -0,3905 -0,1627 0,0660 0,2663 0,4215 0,5264 0,5806 0,5792 0,5156 0,3944 0,2360 0,0700 -0,0705 -0,1529 -0,1512 -0,0684 0,0471 0,1247 0,1248 0,0698 0,0274 0,0697 0,2417 0,5513 0,9694 1,4354 1,8764 2,2369 2,4963 2,6679 2,7854 2,8864 3,0003 3,1454 3,3251 3,5197 3,6891 3,7885 3,7828 3,6587 3,4338 3,1477 2,8417 2,5427 2,2563 1,9656 1,6416 1,2639 0,8370 0,3906 -0,0347 -0,4034 -0,7001 -0,9393 -1,1512 -1,3509 -1,5273 -1,6616 -1,7536 -1,8274 -1,9046 -1,9687 -1,9586 -1,8053 -1,4766 -0,9958 -0,4319 0,1248 0,5897 0,9092 1,0764 1,1322 1,1458 1,1856 1,3032 1,5292 1,8677 2,2979 2,7905 3,3217 3,8679 4,4039 4,9181 5,4159 5,9031 6,3749 6,8213 7,2280 7,5752 7,8508 8,0680 8,2626 8,4730 8,7225 9,0148 9,3412 9,6859 10,0267 10,3341 10,5713 10,7022 10,7092 10,6106 10,4617 10,3325 10,2722 10,2886 10,3532 10,4221 10,4602 10,4543 10,4099 10,3375 10,2458 10,1461 10,0545 9,9806 9,9128 9,8126 9,6276 9,3210 8,8956 8,3958 7,8840 7,4143 7,0273 6,7529 6,5951 6,5238 6,4928 6,4595 6,3892 6,2576 6,0619 5,8247 5,5826 5,3652 5,1827 5,0309 4,9074 4,8236 4,7959 4,8234 4,8758 4,9070 4,8755 4,7578 4,5617 4,3246 4,0913 3,8908 3,7333 3,6155 3,5224 3,4374 3,3529 3,2666 3,1666 3,0314 2,8486 2,6318 2,4221 2,2803 2,2712 2,4393 2,7850 3,2581 3,7767 4,2583 4,6430 4,9000 5,0212 5,0166 4,9091 4,7235 4,4784 4,1889 3,8785 3,5823 3,3385 3,1810 3,1350 3,2059 3,3695 3,5789 3,7848 3,9496 4,0515 4,0844 4,0572 3,9898 3,9016 3,8026 3,6882 3,5383 3,3291 3,0527 2,7249 2,3794 2,0580 1,8033 1,6507 1,6144 1,6734 1,7788 1,8836 1,9705 2,0497 2,1377 2,2433 2,3681 2,5161 2,6990 2,9293 3,2056 3,5012 3,7657 3,9475 4,0310 4,0518 4,0722 4,1373 4,2527 4,3928 4,5207 4,6072 4,6419 4,6326 4,5939 4,5358 4,4590 4,3655 4,2720 4,2091 4,2080 4,2839 4,4259 4,5969 4,7473 4,8392 4,8591 4,8211 4,7677 4,7537 4,8154 4,9519 5,1339 5,3222 5,4771 5,5606 5,5494 5,4505 5,2977 5,1324 4,9931 4,9044 4,8621 4,8357 4,7893 4,6995 4,5561 4,3579 4,1199 3,8873 3,7273 3,6912 3,7769 3,9306 4,0818 4,1794 4,2063 4,1785 4,1299 4,0885 4,0624 4,0510 4,0548 4,0684 4,0783 4,0779 4,0767 4,0890 4,1216 4,1775 4,2597 4,3656 4,4912 4,6405 4,8196 5,0212 5,2182 5,3704 5,4399 5,4126 5,3134 5,1969 5,1128 5,0759 5,0657 5,0543 5,0372 5,0402 5,0972 5,2245 5,4150 5,6416 5,8571 5,9957 5,9932 5,8253 5,5267 5,1707 4,8313 4,5580 4,3643 4,2283 4,1082 3,9671 3,7942 3,6111 3,4599 3,3821 3,4019 3,5230 3,7391 4,0443 4,4303 4,8696 5,3080 5,6865 5,9765 6,1887 6,3474 6,4635 6,5281 6,5234 6,4347 6,2591 6,0130 5,7324 5,4619 5,2366 5,0736 4,9778 4,9561 5,0251 5,1952 5,4470 5,7304 5,9957 6,2162 6,3858 6,5067 6,5842 6,6286 6,6558 6,6795 6,6946 6,6769 6,6077 6,4933 6,3601 6,2413 6,1674 6,1537 6,1873 6,2357 6,2674 6,2610 6,2020 6,0906 5,9463 5,7908 5,6306 5,4608 5,2790 5,0884 4,8908 4,6864 4,4847 4,3129 4,2117 4,2197 4,3447 4,5439 4,7389 4,8594 4,8829 4,8450 4,8135 4,8398 4,9279 5,0478 5,1654 5,2615 5,3380 5,4079 5,4760 5,5264 5,5290 5,4641 5,3403 5,1898 5,0473 4,9261 4,8079 4,6598 4,4656 4,2409 4,0211 3,8390 3,7124 3,6373 3,5900 3,5358 3,4401 3,2752 3,0263 2,6959 2,3055 1,8941 1,5131 1,2166 1,0405 0,9835 1,0096 1,0742 1,1547 1,2651 1,4401 1,7005 2,0318 2,3907 2,7264 3,0025 3,2037 3,3253 3,3602 3,2982 3,1356 2,8883 2,5944 2,2996 2,0433 1,8546 1,7488 1,7258 1,7720 1,8689 2,0032 2,1662 2,3448 2,5197 2,6775 2,8255 2,9921 3,2141 3,5135 3,8825 4,2858 4,6762 5,0132 5,2791 5,4806 5,6336 5,7486 5,8264 5,8557 5,8193 5,7148 5,5647 5,4019 5,2507 5,1278 5,0514 5,0403 5,1055 5,2389 5,4069 5,5648 5,6836 5,7629 5,8191 5,8626 5,8835 5,8567 5,7573 5,5748 5,3146 4,9903 4,6220 4,2416 3,8916 3,6156 3,4466 3,3913 3,4173 3,4642 3,4798 3,4450 3,3673 3,2596 3,1236 2,9484 2,7204 2,4376 2,1159 1,7780 1,4360 1,0893 0,7420 0,4107 0,1145 -0,1371 -0,3419 -0,4983 -0,6075 -0,6827 -0,7490 -0,8290 -0,9236 -1,0078 -1,0444 -1,0095 -0,9154 -0,8110 -0,7524 -0,7704 -0,8579 -0,9729 -1,0519 -1,0324 -0,8769 -0,5917 -0,2316 0,1201 0,3859 0,5217 0,5273 0,4323 0,2683 0,0588 -0,1697
F3    -0,3510 -0,5285 -0,6650 -0,6774 -0,5477 -0,3166 -0,0433 0,2242 0,4588 0,6542 0,8170 0,9519 1,0501 1,0933 1,0731 1,0047 0,9144 0,8206 0,7293 0,6377 0,5398 0,4272 0,2825 0,0750 -0,2201 -0,5808 -0,9202 -1,1274 -1,1297 -0,9179 -0,5336 -0,0452 0,4747 0,9536 1,3096 1,4595 1,3522 0,9981 0,4715 -0,1159 -0,6603 -1,0986 -1,4037 -1,5604 -1,5588 -1,4065 -1,1343 -0,7847 -0,4030 -0,0427 0,2296 0,3540 0,3191 0,1819 0,0449 0,0045 0,1006 0,3025 0,5416 0,7546 0,8979 0,9457 0,8928 0,7531 0,5537 0,3333 0,1361 -0,0064 -0,0885 -0,1247 -0,1275 -0,0809 0,0563 0,3001 0,5969 0,8415 0,9422 0,8709 0,6699 0,4317 0,2605 0,2248 0,3282 0,5249 0,7604 1,0007 1,2445 1,5187 1,8532 2,2452 2,6455 2,9784 3,1831 3,2436 3,1758 2,9899 2,6806 2,2542 1,7482 1,2227 0,7464 0,3749 0,1264 -0,0198 -0,0974 -0,1329 -0,1422 -0,1377 -0,1348 -0,1464 -0,1749 -0,2110 -0,2480 -0,3023 -0,4114 -0,6067 -0,8889 -1,2158 -1,5063 -1,6659 -1,6230 -1,3553 -0,8976 -0,3295 0,2452 0,7220 1,0209 1,1111 1,0211 0,8149 0,5590 0,3164 0,1579 0,1539 0,3523 0,7619 1,3493 2,0444 2,7585 3,4114 3,9536 4,3707 4,6768 4,9076 5,1094 5,3314 5,6275 6,0458 6,6040 7,2694 7,9553 8,5443 8,9351 9,0782 8,9890 8,7320 8,3798 7,9813 7,5686 7,1777 6,8530 6,6402 6,5740 6,6654 6,8974 7,2308 7,6174 8,0115 8,3744 8,6808 8,9295 9,1390 9,3191 9,4450 9,4588 9,2996 8,9422 8,4138 7,7777 7,1023 6,4398 5,8270 5,3037 4,9174 4,6986 4,6315 4,6592 4,7191 4,7665 4,7808 4,7677 4,7553 4,7773 4,8541 4,9796 5,1171 5,2106 5,2127 5,1115 4,9363 4,7362 4,5479 4,3681 4,1600 3,8973 3,5947 3,2898 3,0081 2,7560 2,5365 2,3569 2,2225 2,1328 2,0764 2,0304 1,9761 1,9190 1,8834 1,8917 1,9563 2,0823 2,2625 2,4757 2,6947 2,8940 3,0554 3,1710 3,2432 3,2802 3,2884 3,2627 3,1767 2,9851 2,6522 2,1901 1,6642 1,1633 0,7777 0,5879 0,6418 0,9291 1,3773 1,8707 2,2928 2,5787 2,7281 2,7705 2,7303 2,6212 2,4534 2,2290 1,9350 1,5595 1,1173 0,6571 0,2469 -0,0504 -0,2011 -0,2108 -0,1141 0,0419 0,2068 0,3386 0,4237 0,4885 0,5826 0,7462 0,9879 1,2853 1,6037 1,9204 2,2319 2,5336 2,8001 2,9919 3,0832 3,0855 3,0471 3,0263 3,0653 3,1845 3,3799 3,6137 3,8207 3,9353 3,9176 3,7558 3,4508 3,0163 2,5092 2,0511 1,7966 1,8687 2,3084 3,0529 3,9434 4,7767 5,3925 5,7381 5,8636 5,8588 5,7939 5,7029 5,5951 5,4688 5,3180 5,1304 4,8950 4,6168 4,3127 3,9916 3,6532 3,2931 2,9001 2,4683 2,0229 1,6161 1,2936 1,0826 1,0157 1,1388 1,4710 1,9577 2,4700 2,8589 3,0301 2,9925 2,8433 2,6903 2,5744 2,4603 2,2957 2,0800 1,8673 1,7083 1,6125 1,5734 1,6022 1,7191 1,9211 2,1733 2,4192 2,5965 2,6679 2,6495 2,5985 2,5756 2,6173 2,7202 2,8348 2,8840 2,8107 2,6198 2,3736 2,1491 1,9968 1,9330 1,9620 2,1012 2,3720 2,7613 3,2011 3,5928 3,8454 3,8995 3,7366 3,3815 2,8968 2,3738 1,9137 1,5923 1,4272 1,3836 1,4080 1,4589 1,5113 1,5419 1,5199 1,4204 1,2449 1,0273 0,8220 0,6821 0,6409 0,7074 0,8786 1,1593 1,5625 2,0750 2,6287 3,1198 3,4593 3,6135 3,6108 3,5135 3,3697 3,1820 2,9176 2,5501 2,0913 1,5969 1,1632 0,9094 0,9308 1,2512 1,8159 2,5276 3,2799 3,9682 4,5026 4,8300 4,9429 4,8692 4,6541 4,3389 3,9427 3,4661 2,9177 2,3333 1,7715 1,2976 0,9637 0,7888 0,7575 0,8397 1,0001 1,1979 1,4012 1,5944 1,7538 1,8255 1,7517 1,5281 1,2220 0,9214 0,6728 0,4716 0,3073 0,2078 0,2266 0,3871 0,6526 0,9558 1,2515 1,5373 1,8363 2,1694 2,5328 2,8919 3,1985 3,4176 3,5444 3,5933 3,5703 3,4651 3,2683 2,9964 2,7058 2,4798 2,3840 2,4203 2,5197 2,5857 2,5515 2,4089 2,1939 1,9489 1,6934 1,4224 1,1289 0,8307 0,5689 0,3756 0,2420 0,1174 -0,0575 -0,3068 -0,5994 -0,8622 -1,0137 -1,0121 -0,8886 -0,7269 -0,6008 -0,5282 -0,4786 -0,4064 -0,2767 -0,0810 0,1471 0,3391 0,4407 0,4535 0,4198 0,3689 0,2882 0,1426 -0,0905 -0,4006 -0,7365 -1,0177 -1,1689 -1,1575 -1,0030 -0,7667 -0,5249 -0,3366 -0,2302 -0,2127 -0,2735 -0,3734 -0,4364 -0,3665 -0,0890 0,4091 1,0709 1,7935 2,4619 2,9854 3,3294 3,5226 3,6349 3,7393 3,8775 4,0338 4,1358 4,1016 3,9015 3,5785 3,2193 2,9044 2,6738 2,5324 2,4806 2,5221 2,6344 2,7562 2,8234 2,8135 2,7434 2,6344 2,4916 2,3122 2,1071 1,9093 1,7513 1,6421 1,5717 1,5297 1,5136 1,5280 1,5840 1,6899 1,8268 1,9401 1,9635 1,8586 1,6358 1,3410 1,0143 0,6631 0,2654 -0,2033 -0,7341 -1,2790 -1,7854 -2,2273 -2,6041 -2,9237 -3,1898 -3,3999 -3,5577 -3,6819 -3,7902 -3,8705 -3,8803 -3,7819 -3,5706 -3,2652 -2,8843 -2,4441 -1,9785 -1,5515 -1,2401 -1,1034 -1,1611 -1,3872 -1,7252 -2,1083 -2,4660 -2,7342 -2,8732 -2,8788 -2,7837 -2,6423 -2,5015 -2,3921 -2,3418 -2,3730 -2,4809
F7    -0,1023 -0,1340 -0,2487 -0,4208 -0,6103 -0,7750 -0,8692 -0,8440 -0,6650 -0,3348 0,0986 0,5563 0,9590 1,2540 1,4266 1,4992 1,5170 1,5218 1,5301 1,5295 1,4957 1,4120 1,2784 1,1083 0,9144 0,6952 0,4349 0,1216 -0,2297 -0,5673 -0,8173 -0,9223 -0,8820 -0,7585 -0,6407 -0,5952 -0,6354 -0,7289 -0,8336 -0,9215 -0,9760 -0,9834 -0,9318 -0,8170 -0,6520 -0,4721 -0,3226 -0,2346 -0,2089 -0,2179 -0,2286 -0,2305 -0,2391 -0,2657 -0,2927 -0,2823 -0,2051 -0,0591 0,1306 0,3245 0,4859 0,5941 0,6516 0,6805 0,6994 0,6986 0,6456 0,5169 0,3256 0,1171 -0,0582 -0,1709 -0,2236 -0,2425 -0,2531 -0,2607 -0,2550 -0,2237 -0,1538 -0,0272 0,1684 0,4243 0,7085 0,9761 1,1877 1,3278 1,4114 1,4679 1,5170 1,5585 1,5875 1,6128 1,6516 1,7016 1,7278 1,6846 1,5553 1,3683 1,1724 1,0002 0,8559 0,7281 0,5973 0,4408 0,2447 0,0131 -0,2369 -0,4870 -0,7263 -0,9543 -1,1737 -1,3758 -1,5381 -1,6373 -1,6633 -1,6233 -1,5372 -1,4269 -1,3071 -1,1825 -1,0506 -0,9059 -0,7469 -0,5827 -0,4344 -0,3276 -0,2755 -0,2589 -0,2239 -0,1018 0,1656 0,6028 1,1820 1,8226 2,4209 2,9022 3,2526 3,5063 3,7119 3,9110 4,1312 4,3854 4,6737 4,9840 5,2834 5,5185 5,6416 5,6431 5,5595 5,4547 5,3920 5,4123 5,5216 5,6945 5,8965 6,1059 6,3122 6,5006 6,6539 6,7738 6,8866 7,0258 7,2105 7,4323 7,6527 7,8105 7,8484 7,7432 7,5147 7,2113 6,8962 6,6294 6,4425 6,3265 6,2429 6,1462 6,0083 5,8325 5,6449 5,4756 5,3460 5,2682 5,2493 5,2903 5,3731 5,4556 5,4886 5,4430 5,3230 5,1583 4,9834 4,8236 4,6903 4,5746 4,4514 4,3003 4,1288 3,9795 3,9085 3,9467 4,0797 4,2626 4,4436 4,5767 4,6278 4,5799 4,4341 4,2095 3,9422 3,6745 3,4409 3,2648 3,1601 3,1177 3,0939 3,0295 2,8907 2,6941 2,4944 2,3520 2,3098 2,3815 2,5468 2,7619 2,9832 3,1790 3,3257 3,4020 3,3950 3,3130 3,1880 3,0625 2,9720 2,9374 2,9638 3,0409 3,1481 3,2595 3,3517 3,4116 3,4381 3,4386 3,4236 3,3951 3,3362 3,2198 3,0320 2,7842 2,5064 2,2302 1,9747 1,7466 1,5531 1,4102 1,3328 1,3220 1,3638 1,4365 1,5195 1,5989 1,6668 1,7190 1,7577 1,7888 1,8116 1,8160 1,7964 1,7717 1,7899 1,9063 2,1480 2,4903 2,8633 3,1829 3,3877 3,4639 3,4460 3,3960 3,3710 3,4000 3,4829 3,6041 3,7436 3,8832 4,0103 4,1187 4,2051 4,2655 4,2961 4,2975 4,2791 4,2605 4,2633 4,2949 4,3337 4,3414 4,2965 4,2110 4,1116 4,0134 3,9115 3,7924 3,6520 3,5016 3,3608 3,2504 3,1899 3,1941 3,2741 3,4328 3,6565 3,9140 4,1644 4,3635 4,4707 4,4683 4,3750 4,2335 4,0816 3,9349 3,7926 3,6509 3,5041 3,3408 3,1501 2,9310 2,6946 2,4600 2,2569 2,1262 2,1009 2,1823 2,3378 2,5221 2,7005 2,8596 3,0047 3,1464 3,2784 3,3738 3,4109 3,3971 3,3668 3,3637 3,4209 3,5468 3,7207 3,8982 4,0284 4,0757 4,0345 3,9286 3,7975 3,6759 3,5778 3,4949 3,4087 3,3044 3,1790 3,0430 2,9212 2,8491 2,8613 2,9699 3,1468 3,3298 3,4579 3,5012 3,4617 3,3597 3,2261 3,0947 2,9810 2,8682 2,7209 2,5219 2,3019 2,1312 2,0749 2,1560 2,3543 2,6276 2,9363 3,2536 3,5596 3,8275 4,0260 4,1335 4,1481 4,0913 4,0031 3,9199 3,8528 3,7853 3,6956 3,5824 3,4736 3,4116 3,4292 3,5315 3,6937 3,8730 4,0296 4,1383 4,1884 4,1812 4,1294 4,0493 3,9525 3,8437 3,7212 3,5859 3,4523 3,3481 3,2997 3,3232 3,4237 3,5884 3,7828 3,9681 4,1236 4,2434 4,3162 4,3165 4,2173 4,0092 3,7122 3,3768 3,0671 2,8274 2,6631 2,5557 2,4867 2,4454 2,4251 2,4227 2,4406 2,4830 2,5502 2,6424 2,7619 2,9042 3,0452 3,1485 3,1948 3,2032 3,2159 3,2620 3,3407 3,4335 3,5257 3,6179 3,7238 3,8521 3,9838 4,0710 4,0676 3,9579 3,7581 3,5083 3,2655 3,0820 2,9821 2,9600 2,9900 3,0398 3,0801 3,0894 3,0564 2,9832 2,8859 2,7823 2,6757 2,5521 2,3881 2,1589 1,8523 1,4876 1,1181 0,8058 0,5894 0,4730 0,4387 0,4624 0,5187 0,5845 0,6518 0,7331 0,8417 0,9656 1,0697 1,1262 1,1397 1,1405 1,1539 1,1753 1,1764 1,1317 1,0357 0,9049 0,7709 0,6648 0,6044 0,5961 0,6376 0,7196 0,8376 1,0012 1,2169 1,4679 1,7245 1,9729 2,2254 2,5083 2,8359 3,1888 3,5216 3,7928 3,9908 4,1353 4,2578 4,3735 4,4705 4,5219 4,4947 4,3560 4,0918 3,7271 3,3236 2,9570 2,6920 2,5677 2,5963 2,7652 3,0405 3,3763 3,7254 4,0468 4,3105 4,5035 4,6256 4,6730 4,6286 4,4669 4,1737 3,7644 3,2858 2,8050 2,3879 2,0735 1,8641 1,7396 1,6744 1,6447 1,6351 1,6415 1,6649 1,7027 1,7506 1,8070 1,8689 1,9289 1,9826 2,0381 2,1078 2,1889 2,2531 2,2593 2,1737 1,9819 1,6903 1,3295 0,9535 0,6240 0,3832 0,2381 0,1681 0,1417 0,1253 0,0858 -0,0004 -0,1375 -0,3087 -0,4855 -0,6420 -0,7620 -0,8342 -0,8493 -0,8016 -0,6960 -0,5594 -0,4438 -0,4020 -0,4492 -0,5522 -0,6578 -0,7304 -0,7621 -0,7615 -0,7414
