Fp1   2,1160 1,8970 1,7182 1,5836 1,4960 1,4566 1,4613 1,4966 1,5411 1,5774 1,6039 1,6308 1,6661 1,7056 1,7285 1,6975 1,5714 1,3245 0,9617 0,5215 0,0632 -0,3584 -0,7133 -1,0027 -1,2526 -1,4948 -1,7394 -1,9642 -2,1324 -2,2206 -2,2315 -2,1847 -2,0979 -1,9778 -1,8259 -1,6482 -1,4589 -1,2764 -1,1174 -0,9909 -0,8905 -0,7908 -0,6585 -0,4714 -0,2300 0,0399 0,2922 0,4768 0,5607 0,5411 0,4453 0,3182 0,1975 0,0955 0,0031 -0,0937 -0,2028 -0,3237 -0,4469 -0,5529 -0,6184 -0,6293 -0,5878 -0,5069 -0,3995 -0,2742 -0,1407 -0,0117 0,1022 0,1939 0,2549 0,2773 0,2612 0,2131 0,1350 0,0209 -0,1380 -0,3467 -0,6015 -0,8819 -1,1508 -1,3670 -1,5030 -1,5538 -1,5387 -1,4925 -1,4530 -1,4507 -1,5028 -1,6089 -1,7579 -1,9364 -2,1294 -2,3217 -2,5087 -2,6994 -2,9028 -3,1149 -3,3204 -3,5013 -3,6465 -3,7543 -3,8312 -3,8886 -3,9397 -4,0002 -4,0907 -4,2296 -4,4215 -4,6515 -4,8882 -5,0917 -5,2258 -5,2678 -5,2132 -5,0745 -4,8754 -4,6426 -4,4029 -4,1770 -3,9694 -3,7671 -3,5478 -3,2902 -2,9837 -2,6333 -2,2552 -1,8736 -1,5163 -1,2056 -0,9473 -0,7366 -0,5714 -0,4529 -0,3760 -0,3258 -0,2812 -0,2212 -0,1357 -0,0324 0,0674 0,1426 0,1835 0,1919 0,1767 0,1538 0,1462 0,1735 0,2389 0,3266 0,4088 0,4602 0,4712 0,4490 0,4072 0,3547 0,2915 0,2135 0,1177 0,0042 -0,1228 -0,2511 -0,3629 -0,4411 -0,4728 -0,4523 -0,3844 -0,2838 -0,1683 -0,0502 0,0691 0,2004 0,3568 0,5389 0,7320 0,9154 1,0683 1,1711 1,2088 1,1806 1,1009 0,9876 0,8504 0,6929 0,5199 0,3394 0,1588 -0,0156 -0,1737 -0,2984 -0,3723 -0,3870 -0,3506 -0,2856 -0,2165 -0,1559 -0,1035 -0,0539 -0,0042 0,0446 0,0884 0,1193 0,1259 0,0984 0,0373 -0,0429 -0,1176 -0,1604 -0,1517 -0,0858 0,0235 0,1462 0,2501 0,3118 0,3167 0,2574 0,1396 -0,0135 -0,1708 -0,3051 -0,3953 -0,4241 -0,3793 -0,2592 -0,0726 0,1622 0,4195 0,6724 0,8988 1,0839 1,2213 1,3105 1,3581 1,3799 1,3952 1,4223 1,4737 1,5455 1,6144 1,6531 1,6486 1,6062 1,5423 1,4812 1,4509 1,4711 1,5403 1,6341 1,7209 1,7778 1,7940 1,7655 1,6942 1,5931 1,4853 1,3902 1,3106 1,2341 1,1455 1,0356 0,9013 0,7425 0,5576 0,3431 0,0968 -0,1740 -0,4474 -0,6907 -0,8739 -0,9841 -1,0325 -1,0451 -1,0439 -1,0366 -1,0228 -1,0050 -0,9929 -0,9993 -1,0354 -1,1014 -1,1787 -1,2372 -1,2514 -1,2132 -1,1296 -1,0121 -0,8726 -0,7258 -0,5859 -0,4589 -0,3384 -0,2046 -0,0316 0,1936 0,4603 0,7442 1,0226 1,2765 1,4839 1,6225 1,6810 1,6635 1,5871 1,4771 1,3573 1,2408 1,1330 1,0385 0,9621 0,9042 0,8606 0,8273 0,8046 0,7984 0,8153 0,8566 0,9156 0,9745 1,0091 1,0055 0,9741 0,9453 0,9499 1,0032 1,1010 1,2241 1,3497 1,4648 1,5725 1,6816 1,7923 1,8903 1,9575 1,9890 1,9984 2,0081 2,0317 2,0622 2,0789 2,0677 2,0365 2,0096 2,0094 2,0459 2,1144 2,1966 2,2673 2,3074 2,3170 2,3197 2,3478 2,4159 2,5093 2,5993 2,6659 2,7067 2,7343 2,7674 2,8176 2,8810 2,9458 3,0050 3,0582 3,1093 3,1639 3,2225 3,2726 3,2955 3,2815 3,2370 3,1787 3,1229 3,0812 3,0589 3,0536 3,0598 3,0740 3,0939 3,1170 3,1389 3,1502 3,1367 3,0892 3,0137 2,9319 2,8716 2,8547 2,8917 2,9801 3,1014 3,2253 3,3240 3,3812 3,3912 3,3576 3,2945 3,2224 3,1549 3,0884 3,0047 2,8902 2,7528 2,6202 2,5270 2,5034 2,5634 2,6963 2,8689 3,0446 3,2045 3,3467 3,4707 3,5713 3,6460 3,6964 3,7206 3,7116 3,6643 3,5838 3,4821 3,3642 3,2194 3,0316 2,7994 2,5468 2,3132 2,1285 1,9961 1,8973 1,8042 1,6911 1,5437 1,3650 1,1716 0,9830 0,8117 0,6636 0,5426 0,4515 0,3885 0,3442 0,3029 0,2523 0,1970 0,1602 0,1678 0,2293 0,3345 0,4674 0,6218 0,8014 1,0108 1,2475 1,4997 1,7525 1,9940 2,2167 2,4185 2,6045 2,7811 2,9497 3,1109 3,2707 3,4305 3,5770 3,6879 3,7456 3,7441 3,6849 3,5731 3,4217 3,2517 3,0769 2,8916 2,6791 2,4281 2,1383 1,8157 1,4689 1,1077 0,7439 0,3846 0,0245 -0,3481 -0,7340 -1,1166 -1,4714 -1,7811 -2,0406 -2,2516 -2,4134 -2,5189 -2,5591 -2,5293 -2,4325 -2,2776 -2,0790 -1,8535 -1,6137 -1,3661 -1,1179 -0,8848 -0,6895 -0,5509 -0,4712 -0,4352 -0,4201 -0,4071 -0,3851 -0,3552 -0,3312 -0,3319 -0,3659 -0,4260 -0,5014 -0,5946 -0,7216 -0,8978 -1,1232 -1,3731 -1,6015 -1,7612 -1,8283 -1,8139 -1,7553 -1,6942 -1,6562 -1,6485 -1,6720 -1,7308 -1,8279 -1,9589 -2,1147 -2,2831 -2,4510 -2,6057 -2,7368 -2,8406 -2,9251 -3,0019 -3,0738 -3,1307 -3,1543 -3,1248 -3,0302 -2,8742 -2,6750 -2,4569 -2,2396 -2,0337 -1,8447 -1,6834 -1,5677 -1,5156 -1,5382 -1,6356 -1,7965 -2,0023 -2,2350 -2,4772 -2,7094 -2,9146 -3,0874 -3,2372 -3,3824 -3,5348 -3,6887 -3,8256 -3,9316 -4,0069 -4,0596 -4,0988 -4,1324 -4,1632 -4,1874 -4,1991 -4,1930 -4,1667 -4,1267 -4,0922 -4,0856 -4,1192 -4,1932 -4,3005 -4,4287 -4,5597 -4,6742 -4,7648 -4,8403 -4,9158 -4,9984 -5,0803 -5,1429 -5,1680 -5,1461 -5,0739 -4,9474 -4,7625 -4,5229 -4,2456
Fz    1,9718 1,7333 1,5408 1,4050 1,3261 1,2966 1,3048 1,3348 1,3694 1,3995 1,4304 1,4732 1,5288 1,5837 1,6137 1,5852 1,4653 1,2375 0,9085 0,5056 0,0683 -0,3657 -0,7688 -1,1299 -1,4570 -1,7654 -2,0536 -2,2952 -2,4571 -2,5224 -2,5006 -2,4190 -2,3044 -2,1687 -2,0102 -1,8237 -1,6078 -1,3681 -1,1175 -0,8703 -0,6345 -0,4059 -0,1706 0,0865 0,3728 0,6785 0,9737 1,2170 1,3738 1,4317 1,4073 1,3368 1,2566 1,1887 1,1399 1,1101 1,0962 1,0926 1,0923 1,0901 1,0848 1,0778 1,0738 1,0818 1,1123 1,1679 1,2374 1,3034 1,3538 1,3810 1,3739 1,3173 1,2011 1,0243 0,7925 0,5173 0,2159 -0,0919 -0,3890 -0,6605 -0,8918 -1,0717 -1,1963 -1,2713 -1,3127 -1,3437 -1,3882 -1,4659 -1,5899 -1,7649 -1,9920 -2,2728 -2,6040 -2,9696 -3,3458 -3,7077 -4,0298 -4,2882 -4,4695 -4,5763 -4,6278 -4,6509 -4,6688 -4,6955 -4,7353 -4,7872 -4,8527 -4,9370 -5,0412 -5,1574 -5,2714 -5,3677 -5,4360 -5,4733 -5,4824 -5,4658 -5,4200 -5,3373 -5,2175 -5,0735 -4,9221 -4,7720 -4,6192 -4,4503 -4,2523 -4,0195 -3,7546 -3,4691 -3,1837 -2,9205 -2,6903 -2,4930 -2,3289 -2,2034 -2,1210 -2,0789 -2,0610 -2,0413 -1,9973 -1,9214 -1,8185 -1,6957 -1,5558 -1,4013 -1,2396 -1,0767 -0,9101 -0,7324 -0,5407 -0,3420 -0,1486 0,0304 0,1956 0,3560 0,5196 0,6818 0,8208 0,9086 0,9256 0,8675 0,7460 0,5860 0,4216 0,2889 0,2180 0,2259 0,3120 0,4602 0,6459 0,8469 1,0517 1,2573 1,4625 1,6623 1,8497 2,0200 2,1716 2,2991 2,3881 2,4207 2,3882 2,2959 2,1581 1,9932 1,8206 1,6546 1,5017 1,3645 1,2483 1,1593 1,1004 1,0682 1,0539 1,0462 1,0372 1,0281 1,0258 1,0337 1,0494 1,0674 1,0821 1,0873 1,0779 1,0507 1,0028 0,9339 0,8533 0,7816 0,7381 0,7301 0,7506 0,7848 0,8190 0,8418 0,8399 0,8000 0,7176 0,6031 0,4760 0,3574 0,2679 0,2280 0,2557 0,3609 0,5401 0,7759 1,0378 1,2889 1,4956 1,6366 1,7076 1,7200 1,6992 1,6785 1,6869 1,7413 1,8442 1,9791 2,1115 2,2035 2,2327 2,1995 2,1227 2,0329 1,9671 1,9556 2,0061 2,0984 2,1971 2,2687 2,2899 2,2471 2,1400 1,9853 1,8138 1,6574 1,5333 1,4383 1,3527 1,2522 1,1185 0,9423 0,7195 0,4508 0,1472 -0,1635 -0,4427 -0,6569 -0,7918 -0,8572 -0,8793 -0,8869 -0,8983 -0,9169 -0,9354 -0,9455 -0,9445 -0,9364 -0,9311 -0,9397 -0,9650 -0,9962 -1,0139 -0,9990 -0,9398 -0,8300 -0,6657 -0,4507 -0,1992 0,0704 0,3452 0,6237 0,9094 1,1967 1,4690 1,7135 1,9292 2,1181 2,2712 2,3709 2,4070 2,3846 2,3201 2,2360 2,1532 2,0854 2,0401 2,0189 2,0177 2,0284 2,0407 2,0459 2,0426 2,0395 2,0502 2,0839 2,1411 2,2135 2,2880 2,3568 2,4249 2,5095 2,6291 2,7902 2,9805 3,1721 3,3373 3,4638 3,5571 3,6275 3,6772 3,6988 3,6859 3,6438 3,5900 3,5456 3,5258 3,5368 3,5754 3,6320 3,6969 3,7645 3,8319 3,8974 3,9595 4,0161 4,0647 4,1009 4,1222 4,1347 4,1506 4,1741 4,1980 4,2128 4,2150 4,2084 4,2044 4,2184 4,2587 4,3223 4,4003 4,4835 4,5620 4,6274 4,6809 4,7333 4,7947 4,8670 4,9470 5,0323 5,1212 5,2095 5,2898 5,3546 5,3976 5,4172 5,4195 5,4111 5,3944 5,3711 5,3442 5,3162 5,2902 5,2722 5,2696 5,2849 5,3156 5,3611 5,4255 5,5102 5,6085 5,7077 5,7929 5,8500 5,8717 5,8627 5,8363 5,8056 5,7760 5,7455 5,7120 5,6817 5,6683 5,6857 5,7443 5,8481 5,9916 6,1604 6,3386 6,5179 6,6929 6,8510 6,9734 7,0457 7,0627 7,0246 6,9341 6,7978 6,6294 6,4443 6,2512 6,0497 5,8375 5,6167 5,3970 5,1937 5,0184 4,8692 4,7324 4,5925 4,4391 4,2687 4,0828 3,8879 3,6932 3,5057 3,3290 3,1652 3,0170 2,8869 2,7756 2,6796 2,5949 2,5281 2,4968 2,5163 2,5861 2,6919 2,8195 2,9677 3,1483 3,3763 3,6566 3,9760 4,3069 4,6214 4,9022 5,1458 5,3585 5,5476 5,7168 5,8690 6,0067 6,1240 6,2045 6,2324 6,2046 6,1323 6,0290 5,9012 5,7543 5,5978 5,4351 5,2543 5,0379 4,7794 4,4863 4,1703 3,8377 3,4906 3,1332 2,7709 2,4058 2,0417 1,6909 1,3694 1,0870 0,8443 0,6369 0,4588 0,3072 0,1837 0,0898 0,0222 -0,0258 -0,0580 -0,0756 -0,0803 -0,0754 -0,0659 -0,0603 -0,0696 -0,1039 -0,1641 -0,2344 -0,2904 -0,3167 -0,3166 -0,3045 -0,2980 -0,3161 -0,3751 -0,4787 -0,6144 -0,7637 -0,9155 -1,0682 -1,2245 -1,3866 -1,5474 -1,6831 -1,7615 -1,7617 -1,6858 -1,5587 -1,4143 -1,2765 -1,1506 -1,0349 -0,9326 -0,8499 -0,7913 -0,7624 -0,7700 -0,8142 -0,8843 -0,9653 -1,0491 -1,1388 -1,2399 -1,3475 -1,4409 -1,4917 -1,4761 -1,3844 -1,2246 -1,0175 -0,7862 -0,5482 -0,3143 -0,0906 0,1168 0,2955 0,4259 0,4851 0,4567 0,3394 0,1507 -0,0805 -0,3253 -0,5612 -0,7738 -0,9567 -1,1110 -1,2425 -1,3560 -1,4513 -1,5242 -1,5717 -1,5945 -1,5984 -1,5970 -1,6112 -1,6589 -1,7477 -1,8740 -2,0238 -2,1782 -2,3258 -2,4690 -2,6159 -2,7705 -2,9350 -3,1131 -3,3058 -3,5041 -3,6919 -3,8559 -3,9903 -4,0931 -4,1622 -4,1921 -4,1774 -4,1178 -4,0188 -3,8854 -3,7172 -3,5103 -3,2709 -3,0234
F3    1,7796 1,5818 1,4023 1,2511 1,1361 1,0646 1,0405 1,0569 1,0952 1,1406 1,1960 1,2765 1,3875 1,5145 1,6271 1,6869 1,6573 1,5139 1,2518 0,8899 0,4677 0,0335 -0,3699 -0,7172 -1,0096 -1,2666 -1,5040 -1,7196 -1,8998 -2,0326 -2,1146 -2,1505 -2,1477 -2,1088 -2,0282 -1,8984 -1,7199 -1,5047 -1,2717 -1,0402 -0,8215 -0,6139 -0,4056 -0,1832 0,0602 0,3168 0,5599 0,7542 0,8734 0,9128 0,8905 0,8364 0,7777 0,7305 0,7027 0,6987 0,7173 0,7513 0,7891 0,8207 0,8420 0,8563 0,8709 0,8939 0,9322 0,9866 1,0483 1,1047 1,1511 1,1880 1,2088 1,1973 1,1385 1,0278 0,8683 0,6653 0,4268 0,1660 -0,0984 -0,3461 -0,5606 -0,7327 -0,8604 -0,9460 -0,9988 -1,0396 -1,0965 -1,1926 -1,3352 -1,5157 -1,7214 -1,9458 -2,1863 -2,4349 -2,6784 -2,9040 -3,1016 -3,2644 -3,3907 -3,4863 -3,5637 -3,6396 -3,7288 -3,8362 -3,9513 -4,0544 -4,1329 -4,1882 -4,2285 -4,2609 -4,2913 -4,3231 -4,3548 -4,3801 -4,3918 -4,3862 -4,3614 -4,3169 -4,2580 -4,1943 -4,1309 -4,0638 -3,9831 -3,8778 -3,7397 -3,5646 -3,3531 -3,1139 -2,8659 -2,6310 -2,4215 -2,2374 -2,0786 -1,9517 -1,8649 -1,8180 -1,7941 -1,7643 -1,7043 -1,6090 -1,4917 -1,3699 -1,2531 -1,1417 -1,0336 -0,9265 -0,8163 -0,6987 -0,5722 -0,4419 -0,3171 -0,2040 -0,1008 0,0019 0,1145 0,2417 0,3784 0,5112 0,6229 0,6965 0,7195 0,6903 0,6217 0,5378 0,4688 0,4450 0,4885 0,6026 0,7683 0,9545 1,1359 1,3034 1,4602 1,6099 1,7520 1,8845 2,0063 2,1140 2,1956 2,2303 2,1986 2,0934 1,9240 1,7126 1,4894 1,2837 1,1152 0,9923 0,9162 0,8837 0,8872 0,9173 0,9649 1,0209 1,0775 1,1312 1,1801 1,2202 1,2457 1,2536 1,2438 1,2155 1,1678 1,1018 1,0191 0,9220 0,8185 0,7262 0,6654 0,6471 0,6655 0,7022 0,7380 0,7625 0,7726 0,7683 0,7487 0,7122 0,6584 0,5906 0,5193 0,4641 0,4500 0,4973 0,6136 0,7885 0,9939 1,1923 1,3492 1,4430 1,4691 1,4386 1,3747 1,3064 1,2564 1,2347 1,2405 1,2616 1,2750 1,2554 1,1911 1,0905 0,9778 0,8822 0,8314 0,8448 0,9259 1,0585 1,2109 1,3485 1,4452 1,4864 1,4697 1,4074 1,3221 1,2351 1,1559 1,0827 1,0081 0,9231 0,8182 0,6849 0,5174 0,3141 0,0808 -0,1663 -0,4031 -0,6047 -0,7540 -0,8469 -0,8916 -0,9026 -0,8948 -0,8802 -0,8650 -0,8514 -0,8397 -0,8315 -0,8329 -0,8508 -0,8825 -0,9104 -0,9123 -0,8787 -0,8140 -0,7219 -0,5978 -0,4353 -0,2363 -0,0111 0,2280 0,4743 0,7264 0,9772 1,2129 1,4241 1,6128 1,7848 1,9382 2,0645 2,1566 2,2127 2,2347 2,2278 2,1997 2,1605 2,1226 2,0956 2,0827 2,0812 2,0839 2,0810 2,0658 2,0381 2,0035 1,9681 1,9348 1,9028 1,8714 1,8466 1,8429 1,8811 1,9804 2,1482 2,3745 2,6327 2,8893 3,1189 3,3121 3,4687 3,5865 3,6585 3,6780 3,6461 3,5773 3,4973 3,4331 3,4022 3,4053 3,4313 3,4708 3,5247 3,6007 3,7040 3,8322 3,9745 4,1140 4,2312 4,3123 4,3582 4,3817 4,3935 4,3938 4,3780 4,3437 4,2958 4,2468 4,2112 4,1968 4,2000 4,2117 4,2252 4,2382 4,2535 4,2793 4,3252 4,3926 4,4722 4,5537 4,6361 4,7246 4,8185 4,9082 4,9784 5,0136 5,0042 4,9481 4,8475 4,7107 4,5559 4,4069 4,2853 4,2077 4,1843 4,2163 4,2929 4,3945 4,5006 4,5988 4,6854 4,7603 4,8220 4,8646 4,8801 4,8637 4,8199 4,7636 4,7130 4,6804 4,6680 4,6727 4,6939 4,7370 4,8114 4,9272 5,0908 5,2975 5,5313 5,7712 5,9998 6,2024 6,3616 6,4595 6,4866 6,4458 6,3466 6,1985 6,0113 5,7990 5,5797 5,3688 5,1718 4,9881 4,8168 4,6623 4,5331 4,4334 4,3556 4,2830 4,1978 4,0877 3,9514 3,8009 3,6552 3,5294 3,4266 3,3377 3,2467 3,1390 3,0077 2,8517 2,6739 2,4855 2,3119 2,1850 2,1248 2,1293 2,1828 2,2746 2,4077 2,5934 2,8389 3,1384 3,4710 3,8063 4,1158 4,3818 4,6001 4,7790 4,9318 5,0679 5,1904 5,2967 5,3778 5,4198 5,4121 5,3567 5,2678 5,1628 5,0522 4,9407 4,8311 4,7196 4,5913 4,4292 4,2248 3,9797 3,7009 3,3972 3,0782 2,7531 2,4250 2,0898 1,7478 1,4122 1,1029 0,8323 0,6001 0,3991 0,2218 0,0667 -0,0616 -0,1601 -0,2352 -0,2996 -0,3614 -0,4194 -0,4636 -0,4789 -0,4529 -0,3871 -0,3008 -0,2233 -0,1762 -0,1617 -0,1676 -0,1825 -0,2026 -0,2273 -0,2575 -0,2997 -0,3644 -0,4549 -0,5632 -0,6783 -0,7961 -0,9208 -1,0594 -1,2145 -1,3778 -1,5278 -1,6358 -1,6800 -1,6560 -1,5788 -1,4731 -1,3593 -1,2478 -1,1454 -1,0621 -1,0078 -0,9884 -1,0039 -1,0478 -1,1052 -1,1595 -1,2017 -1,2361 -1,2770 -1,3359 -1,4104 -1,4822 -1,5264 -1,5234 -1,4658 -1,3589 -1,2147 -1,0452 -0,8600 -0,6684 -0,4804 -0,3062 -0,1564 -0,0450 0,0096 -0,0112 -0,1164 -0,2987 -0,5358 -0,7970 -1,0516 -1,2738 -1,4481 -1,5719 -1,6549 -1,7120 -1,7539 -1,7819 -1,7931 -1,7892 -1,7805 -1,7833 -1,8124 -1,8720 -1,9567 -2,0590 -2,1702 -2,2798 -2,3809 -2,4762 -2,5709 -2,6648 -2,7560 -2,8501 -2,9580 -3,0845 -3,2219 -3,3539 -3,4637 -3,5410 -3,5844 -3,5981 -3,5839 -3,5396 -3,4615 -3,3479 -3,1982 -3,0142 -2,8059 -2,5934
F7    0,9731 0,8508 0,7434 0,6526 0,5838 0,5458 0,5468 0,5878 0,6622 0,7599 0,8734 0,9945 1,1104 1,2049 1,2620 1,2655 1,2009 1,0626 0,8565 0,6002 0,3225 0,0543 -0,1831 -0,3858 -0,5670 -0,7460 -0,9302 -1,1068 -1,2513 -1,3466 -1,3939 -1,4109 -1,4142 -1,4046 -1,3659 -1,2811 -1,1484 -0,9812 -0,7993 -0,6219 -0,4619 -0,3212 -0,1922 -0,0652 0,0649 0,1931 0,3026 0,3715 0,3855 0,3472 0,2767 0,2045 0,1577 0,1464 0,1625 0,1886 0,2080 0,2110 0,1973 0,1735 0,1485 0,1324 0,1352 0,1642 0,2228 0,3094 0,4153 0,5256 0,6247 0,7033 0,7569 0,7820 0,7757 0,7365 0,6636 0,5571 0,4204 0,2607 0,0871 -0,0891 -0,2545 -0,3974 -0,5119 -0,5988 -0,6663 -0,7279 -0,7987 -0,8910 -1,0083 -1,1405 -1,2704 -1,3872 -1,4885 -1,5731 -1,6381 -1,6806 -1,6986 -1,6909 -1,6598 -1,6148 -1,5733 -1,5537 -1,5689 -1,6249 -1,7213 -1,8519 -2,0082 -2,1809 -2,3563 -2,5182 -2,6544 -2,7612 -2,8403 -2,8919 -2,9134 -2,9010 -2,8512 -2,7641 -2,6510 -2,5343 -2,4369 -2,3698 -2,3257 -2,2869 -2,2384 -2,1721 -2,0844 -1,9771 -1,8579 -1,7347 -1,6097 -1,4839 -1,3664 -1,2729 -1,2163 -1,1981 -1,2041 -1,2096 -1,1953 -1,1593 -1,1168 -1,0876 -1,0829 -1,0985 -1,1185 -1,1228 -1,0942 -1,0247 -0,9187 -0,7932 -0,6714 -0,5707 -0,4941 -0,4317 -0,3695 -0,3005 -0,2282 -0,1633 -0,1155 -0,0892 -0,0826 -0,0884 -0,0973 -0,1027 -0,1010 -0,0859 -0,0481 0,0178 0,1096 0,2205 0,3439 0,4756 0,6130 0,7510 0,8824 1,0015 1,1064 1,1965 1,2652 1,2978 1,2780 1,1982 1,0639 0,8933 0,7147 0,5579 0,4423 0,3711 0,3367 0,3294 0,3407 0,3633 0,3886 0,4065 0,4095 0,3984 0,3816 0,3699 0,3704 0,3849 0,4103 0,4400 0,4670 0,4867 0,4934 0,4782 0,4367 0,3768 0,3141 0,2608 0,2211 0,1925 0,1710 0,1532 0,1332 0,1022 0,0537 -0,0133 -0,0952 -0,1830 -0,2606 -0,3066 -0,3032 -0,2434 -0,1332 0,0113 0,1676 0,3124 0,4275 0,5036 0,5407 0,5456 0,5313 0,5139 0,5060 0,5133 0,5343 0,5589 0,5677 0,5421 0,4763 0,3791 0,2673 0,1624 0,0913 0,0774 0,1278 0,2294 0,3578 0,4883 0,6016 0,6836 0,7249 0,7232 0,6847 0,6211 0,5432 0,4566 0,3630 0,2641 0,1638 0,0653 -0,0322 -0,1356 -0,2548 -0,3954 -0,5508 -0,7000 -0,8157 -0,8798 -0,8935 -0,8751 -0,8476 -0,8258 -0,8134 -0,8086 -0,8132 -0,8347 -0,8831 -0,9633 -1,0664 -1,1677 -1,2371 -1,2550 -1,2168 -1,1267 -0,9915 -0,8214 -0,6292 -0,4276 -0,2267 -0,0309 0,1603 0,3448 0,5154 0,6686 0,8097 0,9450 1,0727 1,1842 1,2703 1,3246 1,3447 1,3354 1,3045 1,2593 1,2068 1,1537 1,1024 1,0527 1,0039 0,9544 0,9044 0,8574 0,8173 0,7863 0,7643 0,7473 0,7270 0,6960 0,6555 0,6173 0,5993 0,6168 0,6743 0,7620 0,8616 0,9578 1,0468 1,1323 1,2153 1,2903 1,3507 1,3971 1,4393 1,4892 1,5533 1,6283 1,7029 1,7655 1,8149 1,8624 1,9223 2,0025 2,1017 2,2099 2,3122 2,3937 2,4455 2,4723 2,4884 2,5014 2,5031 2,4797 2,4275 2,3584 2,2931 2,2484 2,2290 2,2277 2,2346 2,2442 2,2553 2,2680 2,2848 2,3066 2,3274 2,3359 2,3264 2,3048 2,2837 2,2713 2,2678 2,2695 2,2726 2,2742 2,2692 2,2489 2,2081 2,1491 2,0762 1,9915 1,9004 1,8182 1,7638 1,7479 1,7684 1,8151 1,8780 1,9498 2,0242 2,0936 2,1494 2,1833 2,1893 2,1690 2,1335 2,0966 2,0642 2,0331 1,9988 1,9641 1,9396 1,9378 1,9691 2,0395 2,1486 2,2892 2,4499 2,6188 2,7809 2,9152 3,0019 3,0345 3,0213 2,9759 2,9068 2,8182 2,7157 2,6077 2,4995 2,3903 2,2757 2,1542 2,0339 1,9311 1,8547 1,7951 1,7297 1,6391 1,5162 1,3666 1,2054 1,0518 0,9204 0,8174 0,7415 0,6863 0,6410 0,5916 0,5255 0,4378 0,3367 0,2435 0,1830 0,1703 0,2031 0,2660 0,3446 0,4364 0,5482 0,6874 0,8549 1,0426 1,2348 1,4159 1,5765 1,7161 1,8405 1,9561 2,0633 2,1600 2,2475 2,3272 2,3941 2,4398 2,4610 2,4615 2,4458 2,4147 2,3683 2,3092 2,2367 2,1418 2,0148 1,8547 1,6688 1,4640 1,2427 1,0074 0,7652 0,5235 0,2836 0,0429 -0,1971 -0,4281 -0,6400 -0,8272 -0,9885 -1,1235 -1,2296 -1,3011 -1,3357 -1,3398 -1,3251 -1,3023 -1,2764 -1,2453 -1,2007 -1,1343 -1,0457 -0,9466 -0,8558 -0,7867 -0,7381 -0,6984 -0,6570 -0,6091 -0,5537 -0,4949 -0,4475 -0,4303 -0,4515 -0,5038 -0,5778 -0,6727 -0,7933 -0,9447 -1,1249 -1,3180 -1,4944 -1,6240 -1,6924 -1,7057 -1,6854 -1,6539 -1,6231 -1,5923 -1,5574 -1,5190 -1,4814 -1,4479 -1,4198 -1,3961 -1,3735 -1,3491 -1,3260 -1,3157 -1,3318 -1,3795 -1,4506 -1,5288 -1,5958 -1,6359 -1,6367 -1,5915 -1,5012 -1,3739 -1,2244 -1,0718 -0,9354 -0,8299 -0,7630 -0,7381 -0,7579 -0,8189 -0,9050 -0,9927 -1,0635 -1,1117 -1,1425 -1,1687 -1,2052 -1,2639 -1,3483 -1,4526 -1,5623 -1,6601 -1,7330 -1,7790 -1,8077 -1,8350 -1,8749 -1,9340 -2,0112 -2,0994 -2,1859 -2,2572 -2,3083 -2,3476 -2,3902 -2,4459 -2,5175 -2,6062 -2,7137 -2,8366 -2,9631 -3,0796 -3,1762 -3,2480 -3,2932 -3,3117 -3,3010 -3,2567 -3,1778 -3,0666 -2,9255 -2,7554 -2,5611 -2,3558
