Fp1   2,7287 2,9436 2,9561 2,8225 2,6402 2,5116 2,5098 2,6583 2,9153 3,1750 3,3056 3,2041 2,8392 2,2676 1,6096 0,9957 0,5277 0,2585 0,1759 0,2092 0,2707 0,3031 0,2925 0,2467 0,1710 0,0603 -0,0958 -0,3089 -0,5936 -0,9624 -1,4112 -1,9102 -2,4122 -2,8677 -3,2351 -3,4844 -3,5982 -3,5736 -3,4297 -3,2128 -2,9867 -2,7987 -2,6378 -2,4303 -2,0846 -1,5518 -0,8535 -0,0725 0,6702 1,2432 1,5458 1,5488 1,3039 0,9213 0,5306 0,2377 0,0923 0,0817 0,1412 0,1764 0,0986 -0,1283 -0,4597 -0,7871 -0,9871 -0,9677 -0,6969 -0,2103 0,3980 1,0026 1,4882 1,7838 1,8734 1,7955 1,6415 1,5305 1,5576 1,7523 2,0689 2,4020 2,6241 2,6382 2,4180 2,0145 1,5349 1,0989 0,7889 0,6228 0,5572 0,5103 0,3990 0,1800 -0,1217 -0,4129 -0,5689 -0,4992 -0,1920 0,2940 0,8599 1,4007 1,8397 2,1466 2,3412 2,4878 2,6687 2,9408 3,3109 3,7441 4,1779 4,5228 4,6806 4,5974 4,3068 3,9189 3,5626 3,3329 3,2692 3,3528 3,5078 3,6173 3,5615 3,2642 2,7308 2,0620 1,4183 0,9507 0,7483 0,8185 1,0918 1,4535 1,7912 2,0365 2,1860 2,2951 2,4474 2,7125 3,1130 3,6139 4,1332 4,5674 4,8350 4,9205 4,8848 4,8332 4,8702 5,0657 5,4309 5,9181 6,4509 6,9609 7,3978 7,7317 7,9637 8,1357 8,3185 8,5769 8,9321 9,3483 9,7423 10,0038 10,0297 9,7729 9,2735 8,6458 8,0300 7,5442 7,2538 7,1617 7,2165 7,3338 7,4268 7,4454 7,3972 7,3376 7,3389 7,4519 7,6732 7,9388 8,1446 8,1845 7,9913 7,5622 6,9589 6,2889 5,6848 5,2754 5,1472 5,3148 5,7156 6,2212 6,6722 6,9355 6,9502 6,7397 6,3894 6,0080 5,6856 5,4668 5,3392 5,2409 5,0922 4,8510 4,5473 4,2577 4,0554 3,9861 4,0655 4,2746 4,5562 4,8208 4,9756 4,9703 4,8252 4,6195 4,4482 4,3805 4,4374 4,5847 4,7439 4,8166 4,7102 4,3721 3,8221 3,1441 2,4386 1,7804 1,2100 0,7475 0,4082 0,1960 0,0842 0,0129 -0,0828 -0,2367 -0,4300 -0,6050 -0,7078 -0,7200 -0,6629 -0,5905 -0,5724 -0,6571 -0,8349 -1,0267 -1,1137 -0,9968 -0,6456 -0,1094 0,5002 1,0457 1,4175 1,5878 1,6274 1,6599 1,7889 2,0560 2,4444 2,8921 3,3046 3,5829 3,6528 3,4770 3,0659 2,4951 1,8895 1,3669 0,9862 0,7400 0,5782 0,4305 0,2218 -0,0962 -0,5092 -0,9406 -1,2936 -1,5030 -1,5663 -1,5426 -1,5325 -1,6501 -1,9778 -2,5163 -3,1768 -3,8327 -4,3795 -4,7654 -4,9979 -5,1370 -5,2730 -5,4863 -5,8051 -6,1833 -6,5136 -6,6708 -6,5716 -6,2195 -5,6940 -5,0966 -4,5109 -3,9935 -3,5750 -3,2565 -3,0117 -2,8013 -2,5871 -2,3371 -2,0313 -1,6726 -1,3033 -1,0193 -0,9461 -1,1627 -1,6345 -2,2177 -2,7297 -3,0322 -3,0764 -2,9026 -2,6179 -2,3562 -2,2302 -2,2955 -2,5373 -2,8882 -3,2616 -3,5841 -3,8261 -4,0176 -4,2278 -4,5201 -4,9245 -5,4357 -6,0095 -6,5544 -6,9600 -7,1588 -7,1483 -6,9605 -6,6408 -6,2534 -5,8755 -5,5599 -5,2985 -5,0301 -4,6854 -4,2274 -3,6700 -3,0667 -2,4758 -1,9495 -1,5550 -1,3669 -1,4178 -1,6540 -1,9519 -2,1866 -2,2927 -2,2824 -2,2298 -2,2281 -2,3434 -2,5970 -2,9761 -3,4463 -3,9498 -4,4151 -4,7880 -5,0413 -5,1626 -5,1673 -5,1192 -5,0998 -5,1475 -5,2244 -5,2256 -5,0378 -4,6160 -4,0067 -3,3112 -2,6437 -2,0977 -1,7128 -1,4686 -1,3072 -1,1699 -1,0328 -0,9110 -0,8320 -0,8083 -0,8328 -0,8956 -0,9965 -1,1287 -1,2551 -1,3145 -1,2504 -1,0352 -0,6889 -0,2912 0,0376 0,1797 0,0591 -0,3276 -0,8862 -1,4359 -1,7784 -1,7962 -1,5042 -1,0183 -0,4901 -0,0671 0,1411 0,1128 -0,0565 -0,1983 -0,1686 0,0838 0,5204 1,0454 1,5298 1,8404 1,8985 1,7325 1,4603 1,2152 1,0884 1,1127 1,2625 1,4681 1,6398 1,6945 1,5884 1,3505 1,0804 0,8953 0,8671 1,0035 1,2708 1,6163 1,9701 2,2431 2,3523 2,2697 2,0525 1,8213 1,6948 1,7300 1,9132 2,1885 2,4798 2,7096 2,8301 2,8477 2,8274 2,8812 3,1336 3,6549 4,4012 5,2184 5,9195 6,3811 6,5882 6,6098 6,5450 6,4799 6,4645 6,5081 6,5817 6,6281 6,5879 6,4243 6,1338 5,7439 5,3038 4,8744 4,5210 4,2993 4,2410 4,3407 4,5393 4,7351 4,8436 4,8490 4,7947 4,7361 4,7123 4,7409 4,8099 4,8815 4,9183 4,9007 4,8268 4,7156 4,6050 4,5395 4,5530 4,6496 4,7938 4,9247 4,9787 4,9049 4,6787 4,3241 3,9211 3,5755 3,3776 3,3728 3,5414 3,8036 4,0611 4,2453 4,3428 4,3933 4,4680 4,6305 4,8891 5,1801 5,3994 5,4478 5,2656 4,8574 4,3076 3,7599 3,3525 3,1646 3,2153 3,4869 3,9327 4,4628 4,9413 5,2294 5,2549 5,0573 4,7705 4,5543 4,5216 4,7022 5,0547 5,4924 5,8968 6,1418 6,1420 5,8989 5,5168 5,1629 4,9739 4,9869 5,1471 5,3612 5,5358 5,5885 5,4600 5,1438 4,7021 4,2470 3,8981 3,7363 3,7673 3,9040 3,9906 3,8840 3,5351 2,9962 2,3715 1,7842 1,3596 1,1806 1,2476 1,4920 1,8214 2,1460 2,3879 2,5050 2,5148 2,4779 2,4516 2,4652 2,5223 2,5943 2,6092 2,4888 2,2201 1,8795 1,5834 1,4258 1,4528 1,6673 2,0337 2,4774 2,8921 3,1725 3,2498 3,1101 2,7976 2,4018 2,0223 1,7268 1,5309 1,4056 1,2902
Fz    2,6331 3,0113 3,3125 3,5453 3,7184 3,8452 3,9402 4,0092 4,0388 3,9929 3,8309 3,5373 3,1392 2,6996 2,2875 1,9410 1,6632 1,4482 1,2938 1,1895 1,1119 1,0380 0,9557 0,8611 0,7494 0,6102 0,4292 0,1866 -0,1433 -0,5780 -1,1107 -1,7103 -2,3325 -2,9263 -3,4423 -3,8472 -4,1297 -4,2942 -4,3552 -4,3395 -4,2819 -4,2046 -4,0999 -3,9363 -3,6803 -3,3159 -2,8517 -2,3215 -1,7879 -1,3299 -1,0066 -0,8262 -0,7541 -0,7456 -0,7613 -0,7624 -0,7156 -0,6149 -0,4984 -0,4371 -0,4909 -0,6649 -0,9019 -1,1148 -1,2224 -1,1690 -0,9394 -0,5666 -0,1275 0,2772 0,5642 0,7040 0,7223 0,6767 0,6331 0,6468 0,7429 0,9056 1,0864 1,2246 1,2720 1,2134 1,0661 0,8618 0,6328 0,4073 0,2064 0,0477 -0,0557 -0,1115 -0,1525 -0,2064 -0,2652 -0,2867 -0,2272 -0,0764 0,1380 0,3708 0,5831 0,7597 0,9146 1,0789 1,2883 1,5816 1,9892 2,5047 3,0741 3,6281 4,1110 4,4787 4,6952 4,7454 4,6519 4,4711 4,2675 4,0869 3,9430 3,8198 3,6836 3,4943 3,2169 2,8416 2,4036 1,9859 1,6900 1,5867 1,6914 1,9782 2,4019 2,9061 3,4267 3,9091 4,3325 4,7131 5,0851 5,4760 5,8912 6,3109 6,6997 7,0142 7,2167 7,3035 7,3185 7,3294 7,3934 7,5397 7,7626 8,0173 8,2335 8,3457 8,3219 8,1730 7,9430 7,6940 7,4917 7,3871 7,3980 7,5004 7,6284 7,6917 7,6184 7,3939 7,0630 6,6996 6,3681 6,0945 5,8684 5,6744 5,5176 5,4135 5,3688 5,3858 5,4710 5,6313 5,8645 6,1480 6,4353 6,6689 6,8036 6,8226 6,7345 6,5636 6,3440 6,1159 5,9253 5,8229 5,8553 6,0487 6,3883 6,8098 7,2183 7,5291 7,6972 7,7182 7,6171 7,4411 7,2462 7,0748 6,9444 6,8480 6,7608 6,6635 6,5625 6,4795 6,4300 6,4206 6,4510 6,5113 6,5852 6,6524 6,6857 6,6626 6,5815 6,4547 6,2901 6,0899 5,8576 5,5919 5,2787 4,8944 4,4197 3,8532 3,2200 2,5676 1,9482 1,3922 0,8923 0,4133 -0,0783 -0,5899 -1,1025 -1,5864 -2,0152 -2,3723 -2,6467 -2,8271 -2,9085 -2,9000 -2,8270 -2,7300 -2,6510 -2,6140 -2,6160 -2,6247 -2,5811 -2,4240 -2,1172 -1,6590 -1,0849 -0,4675 0,1076 0,5872 0,9779 1,3265 1,6738 2,0241 2,3484 2,6060 2,7716 2,8511 2,8623 2,8039 2,6602 2,4297 2,1284 1,7688 1,3534 0,8903 0,3972 -0,1149 -0,6478 -1,1987 -1,7386 -2,2153 -2,5774 -2,7972 -2,8801 -2,8676 -2,8324 -2,8536 -2,9827 -3,2225 -3,5351 -3,8671 -4,1689 -4,4004 -4,5475 -4,6359 -4,7160 -4,8349 -5,0178 -5,2552 -5,4949 -5,6510 -5,6403 -5,4277 -5,0442 -4,5642 -4,0638 -3,5887 -3,1537 -2,7586 -2,3959 -2,0479 -1,6910 -1,3033 -0,8769 -0,4272 0,0045 0,3586 0,5805 0,6461 0,5742 0,4263 0,2854 0,2095 0,2099 0,2638 0,3297 0,3639 0,3340 0,2252 0,0502 -0,1486 -0,3267 -0,4753 -0,6356 -0,8797 -1,2678 -1,8074 -2,4407 -3,0746 -3,6206 -4,0124 -4,2160 -4,2426 -4,1349 -3,9351 -3,6742 -3,3830 -3,0987 -2,8534 -2,6553 -2,4778 -2,2670 -1,9765 -1,6177 -1,2592 -0,9650 -0,7534 -0,6152 -0,5422 -0,5340 -0,5864 -0,6783 -0,7772 -0,8554 -0,9023 -0,9297 -0,9656 -1,0430 -1,1908 -1,4297 -1,7686 -2,1920 -2,6548 -3,0983 -3,4645 -3,7057 -3,8077 -3,8065 -3,7636 -3,7117 -3,6214 -3,4259 -3,0831 -2,6094 -2,0532 -1,4556 -0,8507 -0,2824 0,1975 0,5520 0,7839 0,9350 1,0521 1,1496 1,2096 1,2070 1,1225 0,9456 0,6799 0,3508 0,0040 -0,3082 -0,5452 -0,6832 -0,7153 -0,6573 -0,5486 -0,4380 -0,3627 -0,3367 -0,3459 -0,3498 -0,3076 -0,2088 -0,0753 0,0592 0,1663 0,2277 0,2359 0,1953 0,1229 0,0437 -0,0231 -0,0684 -0,0793 -0,0390 0,0485 0,1451 0,2043 0,2171 0,2214 0,2601 0,3490 0,4809 0,6380 0,7905 0,8911 0,8867 0,7480 0,4964 0,2063 -0,0209 -0,1022 -0,0148 0,1938 0,4347 0,6212 0,6991 0,6557 0,5223 0,3688 0,2814 0,3284 0,5321 0,8637 1,2649 1,6737 2,0485 2,3899 2,7377 3,1369 3,6096 4,1619 4,7971 5,4936 6,1837 6,7767 7,1999 7,4202 7,4561 7,3755 7,2592 7,1676 7,1349 7,1645 7,2182 7,2285 7,1358 6,9277 6,6454 6,3504 6,0892 5,8854 5,7442 5,6522 5,5794 5,4818 5,3136 5,0610 4,7585 4,4561 4,1768 3,9155 3,6636 3,4239 3,2068 3,0191 2,8590 2,7268 2,6398 2,6285 2,7123 2,8832 3,1121 3,3610 3,5898 3,7599 3,8419 3,8252 3,7281 3,5996 3,4938 3,4402 3,4506 3,5305 3,6662 3,8288 4,0010 4,1806 4,3653 4,5550 4,7632 4,9955 5,2238 5,3939 5,4551 5,3805 5,1759 4,8935 4,6332 4,4977 4,5334 4,7147 4,9774 5,2589 5,5103 5,6893 5,7620 5,7274 5,6307 5,5454 5,5406 5,6529 5,8723 6,1465 6,4045 6,5829 6,6407 6,5629 6,3651 6,0996 5,8421 5,6493 5,5224 5,4168 5,2822 5,0908 4,8376 4,5377 4,2293 3,9689 3,8081 3,7661 3,8186 3,9134 3,9900 3,9876 3,8614 3,6150 3,3001 2,9735 2,6616 2,3672 2,0879 1,8260 1,5902 1,3824 1,1874 0,9901 0,8061 0,6867 0,6786 0,7730 0,9049 1,0036 1,0271 0,9591 0,8117 0,6414 0,5350 0,5618 0,7360 1,0184 1,3398 1,6261 1,8233 1,9117 1,8977 1,7995 1,6472 1,4823 1,3433 1,2475 1,1730 1,0614 0,8522 0,5182
F3    3,3797 3,7678 4,0514 4,2356 4,3421 4,4046 4,4566 4,5146 4,5605 4,5377 4,3773 4,0402 3,5450 2,9655 2,3964 1,9072 1,5255 1,2537 1,0762 0,9529 0,8317 0,6791 0,4942 0,2962 0,1068 -0,0657 -0,2337 -0,4276 -0,6856 -1,0374 -1,4908 -2,0306 -2,6228 -3,2168 -3,7502 -4,1655 -4,4260 -4,5195 -4,4595 -4,2915 -4,0878 -3,9151 -3,7986 -3,7113 -3,5927 -3,3773 -3,0194 -2,5167 -1,9235 -1,3333 -0,8354 -0,4795 -0,2710 -0,1842 -0,1734 -0,1816 -0,1552 -0,0656 0,0672 0,1745 0,1785 0,0481 -0,1794 -0,4229 -0,5910 -0,6035 -0,4170 -0,0473 0,4285 0,8964 1,2508 1,4359 1,4590 1,3767 1,2703 1,2182 1,2697 1,4283 1,6519 1,8659 1,9918 1,9811 1,8334 1,5900 1,3149 1,0698 0,8954 0,8087 0,7996 0,8214 0,8091 0,7242 0,5818 0,4361 0,3440 0,3366 0,4149 0,5569 0,7310 0,9129 1,0915 1,2620 1,4283 1,6166 1,8675 2,2023 2,6023 3,0283 3,4421 3,8036 4,0683 4,2073 4,2280 4,1712 4,0854 4,0054 3,9455 3,8955 3,8207 3,6680 3,3878 2,9618 2,4227 1,8590 1,3910 1,1235 1,1105 1,3502 1,7950 2,3660 2,9693 3,5210 3,9766 4,3424 4,6588 4,9751 5,3277 5,7255 6,1450 6,5340 6,8322 7,0092 7,0865 7,1249 7,1972 7,3631 7,6410 7,9884 8,3158 8,5309 8,5810 8,4701 8,2451 7,9738 7,7283 7,5674 7,5208 7,5784 7,6812 7,7304 7,6317 7,3469 6,9110 6,4063 5,9228 5,5233 5,2327 5,0510 4,9684 4,9647 5,0131 5,0983 5,2221 5,3921 5,6095 5,8596 6,1076 6,3067 6,4119 6,3958 6,2560 6,0132 5,7056 5,3863 5,1228 4,9868 5,0355 5,2906 5,7218 6,2462 6,7521 7,1351 7,3304 7,3334 7,2003 7,0227 6,8849 6,8300 6,8514 6,9073 6,9417 6,9125 6,8153 6,6771 6,5341 6,4212 6,3634 6,3623 6,3931 6,4124 6,3699 6,2341 6,0180 5,7721 5,5484 5,3751 5,2547 5,1629 5,0463 4,8389 4,4880 3,9752 3,3286 2,6195 1,9347 1,3395 0,8528 0,4499 0,0889 -0,2627 -0,6189 -0,9790 -1,3336 -1,6680 -1,9563 -2,1588 -2,2390 -2,1850 -2,0199 -1,7967 -1,5787 -1,4130 -1,3132 -1,2545 -1,1793 -1,0239 -0,7461 -0,3315 0,2015 0,7898 1,3399 1,7797 2,1008 2,3504 2,5840 2,8226 3,0470 3,2182 3,3068 3,3077 3,2242 3,0467 2,7638 2,3905 1,9673 1,5322 1,1067 0,7047 0,3354 -0,0065 -0,3418 -0,6873 -1,0336 -1,3453 -1,5789 -1,6981 -1,6862 -1,5646 -1,4005 -1,2895 -1,3151 -1,5113 -1,8580 -2,3032 -2,7796 -3,2122 -3,5413 -3,7504 -3,8672 -3,9438 -4,0287 -4,1401 -4,2522 -4,3015 -4,2188 -3,9709 -3,5777 -3,0964 -2,5987 -2,1492 -1,7892 -1,5299 -1,3497 -1,1975 -1,0124 -0,7489 -0,3914 0,0404 0,4927 0,8870 1,1420 1,1990 1,0512 0,7693 0,4782 0,2827 0,2216 0,2725 0,3714 0,4423 0,4256 0,2942 0,0589 -0,2398 -0,5532 -0,8462 -1,1148 -1,3931 -1,7309 -2,1541 -2,6436 -3,1509 -3,6218 -4,0014 -4,2422 -4,3295 -4,2826 -4,1230 -3,8551 -3,4903 -3,0770 -2,6864 -2,3663 -2,1053 -1,8350 -1,4739 -0,9978 -0,4642 0,0462 0,4889 0,8478 1,1031 1,2265 1,1984 1,0229 0,7352 0,3960 0,0666 -0,2140 -0,4392 -0,6405 -0,8832 -1,2360 -1,7245 -2,2981 -2,8497 -3,2776 -3,5254 -3,5816 -3,4863 -3,3390 -3,2670 -3,3476 -3,5362 -3,6791 -3,6203 -3,2948 -2,7280 -1,9970 -1,2130 -0,5038 0,0311 0,3619 0,5307 0,6165 0,6878 0,7748 0,8706 0,9442 0,9552 0,8740 0,6953 0,4430 0,1749 -0,0271 -0,0967 -0,0168 0,1768 0,4139 0,6125 0,7036 0,6555 0,4842 0,2480 0,0348 -0,0691 -0,0251 0,1395 0,3540 0,5401 0,6344 0,6004 0,4434 0,2207 0,0155 -0,1170 -0,1675 -0,1333 -0,0019 0,2091 0,4249 0,5570 0,5815 0,5579 0,5708 0,6786 0,9046 1,2307 1,5944 1,9057 2,0783 2,0602 1,8604 1,5552 1,2651 1,1042 1,1260 1,2984 1,5273 1,7081 1,7708 1,6944 1,5107 1,3042 1,1868 1,2520 1,5341 1,9933 2,5375 3,0635 3,4998 3,8376 4,1230 4,4195 4,7774 5,2327 5,8119 6,5088 7,2580 7,9453 8,4448 8,6609 8,5809 8,2925 7,9235 7,5805 7,3415 7,2456 7,2669 7,3231 7,3225 7,2125 6,9999 6,7260 6,4311 6,1488 5,9103 5,7306 5,5880 5,4283 5,2007 4,8950 4,5416 4,1741 3,8087 3,4588 3,1512 2,9161 2,7702 2,7049 2,6880 2,6824 2,6690 2,6552 2,6678 2,7407 2,8999 3,1486 3,4560 3,7597 3,9821 4,0609 3,9833 3,8028 3,6075 3,4715 3,4523 3,5917 3,8798 4,2489 4,6178 4,9272 5,1513 5,3095 5,4562 5,6301 5,8166 5,9634 6,0181 5,9463 5,7304 5,3902 5,0090 4,7034 4,5533 4,5703 4,7159 4,9338 5,1691 5,3672 5,4738 5,4596 5,3456 5,1995 5,1075 5,1346 5,2938 5,5468 5,8258 6,0577 6,1801 6,1525 5,9721 5,6929 5,4086 5,1922 5,0506 4,9387 4,8105 4,6451 4,4361 4,1850 3,9134 3,6674 3,4970 3,4337 3,4812 3,6189 3,8048 3,9757 4,0648 4,0351 3,8904 3,6568 3,3724 3,0873 2,8488 2,6872 2,6067 2,5704 2,5019 2,3298 2,0494 1,7431 1,5210 1,4326 1,4459 1,4987 1,5396 1,5312 1,4593 1,3524 1,2747 1,2867 1,4113 1,6328 1,9174 2,2256 2,5150 2,7425 2,8701 2,8769 2,7719 2,5921 2,3878 2,2028 2,0488 1,8948 1,6916 1,3992
F7    2,1183 2,3923 2,5760 2,6962 2,7894 2,8779 2,9645 3,0457 3,1172 3,1616 3,1447 3,0254 2,7765 2,4082 1,9624 1,4912 1,0555 0,7177 0,5094 0,4119 0,3699 0,3275 0,2542 0,1444 0,0063 -0,1496 -0,3196 -0,5136 -0,7517 -1,0447 -1,3777 -1,7199 -2,0429 -2,3308 -2,5801 -2,7951 -2,9799 -3,1271 -3,2102 -3,1995 -3,0956 -2,9348 -2,7539 -2,5561 -2,3129 -1,9880 -1,5517 -0,9915 -0,3378 0,3204 0,8644 1,2008 1,3075 1,2466 1,1247 1,0275 0,9871 0,9978 1,0344 1,0504 0,9876 0,8192 0,5771 0,3319 0,1528 0,0876 0,1577 0,3504 0,6153 0,8894 1,1312 1,3244 1,4606 1,5398 1,5809 1,6087 1,6325 1,6461 1,6391 1,6017 1,5287 1,4193 1,2648 1,0501 0,7788 0,4863 0,2251 0,0460 -0,0145 0,0426 0,1658 0,2864 0,3712 0,4377 0,5282 0,6740 0,8816 1,1430 1,4481 1,7848 2,1285 2,4362 2,6724 2,8425 2,9837 3,1286 3,2934 3,4891 3,7145 3,9278 4,0564 4,0484 3,9078 3,6842 3,4389 3,2207 3,0523 2,9159 2,7515 2,4910 2,1058 1,6216 1,1085 0,6697 0,4105 0,3882 0,5912 0,9541 1,3856 1,8056 2,1749 2,4959 2,7879 3,0656 3,3379 3,6160 3,9162 4,2484 4,6008 4,9350 5,2069 5,3955 5,5097 5,5785 5,6517 5,7857 5,9948 6,2302 6,4280 6,5682 6,6788 6,7984 6,9371 7,0683 7,1639 7,2292 7,2910 7,3593 7,4078 7,3876 7,2574 7,0082 6,6721 6,3057 5,9548 5,6349 5,3505 5,1234 4,9985 5,0126 5,1660 5,4339 5,7842 6,1642 6,4997 6,7320 6,8453 6,8489 6,7522 6,5735 6,3559 6,1505 5,9808 5,8360 5,7035 5,5927 5,5205 5,4970 5,5366 5,6520 5,8313 6,0372 6,2182 6,3247 6,3366 6,2794 6,2070 6,1647 6,1595 6,1531 6,0854 5,9214 5,6723 5,3679 5,0363 4,7175 4,4610 4,3030 4,2505 4,2650 4,2671 4,1845 4,0100 3,8100 3,6704 3,6343 3,6893 3,7876 3,8726 3,8942 3,8022 3,5484 3,1183 2,5513 1,9241 1,3180 0,7885 0,3464 -0,0377 -0,4003 -0,7444 -1,0299 -1,2078 -1,2706 -1,2577 -1,2102 -1,1376 -1,0246 -0,8548 -0,6399 -0,4202 -0,2242 -0,0441 0,1417 0,3456 0,5637 0,7804 0,9934 1,2237 1,4745 1,7017 1,8533 1,9217 1,9408 1,9516 1,9861 2,0704 2,2169 2,4102 2,6153 2,7894 2,8822 2,8566 2,7172 2,5000 2,2325 1,9227 1,5807 1,2326 0,9044 0,6073 0,3434 0,1134 -0,0816 -0,2399 -0,3579 -0,4321 -0,4620 -0,4659 -0,4942 -0,6043 -0,8196 -1,1242 -1,4894 -1,8901 -2,3031 -2,7071 -3,0746 -3,3648 -3,5502 -3,6480 -3,6982 -3,7148 -3,6705 -3,5255 -3,2675 -2,9155 -2,4966 -2,0376 -1,5717 -1,1320 -0,7382 -0,3914 -0,0805 0,2113 0,5027 0,8003 1,0823 1,3050 1,4156 1,3682 1,1575 0,8272 0,4450 0,0829 -0,1972 -0,3620 -0,4176 -0,4087 -0,4024 -0,4650 -0,6346 -0,8912 -1,1656 -1,3948 -1,5590 -1,6742 -1,7768 -1,9102 -2,1019 -2,3498 -2,6278 -2,9013 -3,1361 -3,3012 -3,3771 -3,3622 -3,2648 -3,0972 -2,8766 -2,6210 -2,3457 -2,0683 -1,8141 -1,6104 -1,4696 -1,3803 -1,3145 -1,2391 -1,1270 -0,9773 -0,8276 -0,7375 -0,7423 -0,8186 -0,9155 -1,0034 -1,0808 -1,1668 -1,2924 -1,4698 -1,6787 -1,8921 -2,0958 -2,2775 -2,4254 -2,5531 -2,6956 -2,8722 -3,0786 -3,3104 -3,5683 -3,8429 -4,0859 -4,1907 -4,0489 -3,6512 -3,1074 -2,5597 -2,0867 -1,6737 -1,2586 -0,8052 -0,3372 0,0840 0,4061 0,6215 0,7556 0,8321 0,8639 0,8625 0,8430 0,8283 0,8458 0,9076 1,0048 1,1335 1,2968 1,4659 1,5724 1,5493 1,3560 0,9837 0,4813 -0,0287 -0,3933 -0,5043 -0,3466 0,0125 0,4743 0,9457 1,3479 1,6341 1,8139 1,9325 2,0181 2,0724 2,0999 2,1174 2,1198 2,0500 1,8437 1,5105 1,1345 0,8086 0,5975 0,5412 0,6547 0,9129 1,2447 1,5529 1,7548 1,8226 1,7858 1,7002 1,6179 1,5755 1,5948 1,6946 1,8801 2,1012 2,2405 2,1964 1,9864 1,7399 1,5915 1,6087 1,7908 2,0869 2,4219 2,7372 3,0162 3,2784 3,5581 3,8962 4,3386 4,9032 5,5315 6,1032 6,5131 6,7212 6,7389 6,5913 6,3173 6,0002 5,7556 5,6717 5,7649 5,9865 6,2655 6,5381 6,7428 6,8147 6,7057 6,4092 5,9571 5,4038 4,8371 4,3735 4,0819 3,9337 3,8581 3,8109 3,7865 3,7947 3,8369 3,8979 3,9438 3,9276 3,8194 3,6365 3,4370 3,2885 3,2437 3,3236 3,5155 3,7946 4,1338 4,4852 4,7758 4,9372 4,9440 4,8257 4,6444 4,4657 4,3559 4,3710 4,5113 4,7057 4,8588 4,9097 4,8566 4,7501 4,6652 4,6610 4,7528 4,9180 5,1112 5,2798 5,3803 5,3800 5,2676 5,0763 4,8760 4,7412 4,7253 4,8419 5,0562 5,2949 5,4760 5,5451 5,4937 5,3591 5,2105 5,1161 5,1047 5,1599 5,2522 5,3604 5,4556 5,4970 5,4518 5,3155 5,1233 4,9375 4,8028 4,7102 4,6034 4,4280 4,1817 3,9129 3,6767 3,5019 3,3949 3,3638 3,4316 3,6218 3,9279 4,2842 4,5761 4,7077 4,6609 4,4784 4,2082 3,8833 3,5378 3,2114 2,9323 2,7113 2,5625 2,5143 2,5909 2,7955 3,1086 3,4837 3,8460 4,1233 4,2860 4,3423 4,2896 4,0947 3,7503 3,3304 2,9533 2,6995 2,5781 2,5551 2,6010 2,7041 2,8503 3,0128 3,1661 3,2947 3,3858 3,4216 3,3829 3,2522 3,0184 2,6865 2,2794
