Fp1   4,7209 4,2112 3,5882 2,9046 2,2144 1,5595 0,9671 0,4540 0,0364 -0,2656 -0,4412 -0,5036 -0,4838 -0,4130 -0,3195 -0,2293 -0,1625 -0,1327 -0,1484 -0,2136 -0,3225 -0,4521 -0,5617 -0,6105 -0,5770 -0,4555 -0,2509 0,0112 0,2867 0,5371 0,7415 0,8825 0,9326 0,8651 0,6800 0,4119 0,1114 -0,1789 -0,4373 -0,6598 -0,8517 -1,0264 -1,2065 -1,4148 -1,6599 -1,9326 -2,2105 -2,4666 -2,6802 -2,8476 -2,9823 -3,1059 -3,2388 -3,3928 -3,5674 -3,7556 -3,9502 -4,1403 -4,3085 -4,4378 -4,5202 -4,5551 -4,5442 -4,4913 -4,4033 -4,2885 -4,1583 -4,0358 -3,9569 -3,9524 -4,0338 -4,1962 -4,4252 -4,6950 -4,9652 -5,1853 -5,3124 -5,3278 -5,2389 -5,0748 -4,8768 -4,6784 -4,4771 -4,2296 -3,8819 -3,4124 -2,8504 -2,2590 -1,7062 -1,2528 -0,9535 -0,8482 -0,9475 -1,2305 -1,6495 -2,1307 -2,5844 -2,9362 -3,1617 -3,2972 -3,4201 -3,6066 -3,8947 -4,2773 -4,7187 -5,1798 -5,6392 -6,1041 -6,6080 -7,1961 -7,9024 -8,7283 -9,6331 -10,5409 -11,3619 -12,0152 -12,4452 -12,6305 -12,5870 -12,3547 -11,9716 -11,4565 -10,8101 -10,0238 -9,0918 -8,0227 -6,8443 -5,6043 -4,3680 -3,2022 -2,1483 -1,2065 -0,3493 0,4516 1,2175 1,9737 2,7496 3,5548 4,3589 5,0926 5,6750 6,0441 6,1751 6,0891 5,8522 5,5481 5,2347 4,9281 4,6211 4,3007 3,9567 3,5938 3,2423 2,9479 2,7443 2,6369 2,6084 2,6393 2,7226 2,8576 3,0302 3,2096 3,3659 3,4877 3,5851 3,6852 3,8185 4,0024 4,2326 4,4842 4,7183 4,9005 5,0126 5,0482 5,0087 4,9015 4,7291 4,4834 4,1611 3,7851 3,4035 3,0653 2,7959 2,5915 2,4382 2,3393 2,3163 2,3755 2,4801 2,5631 2,5594 2,4230 2,1248 1,6500 1,0088 0,2479 -0,5591 -1,3438 -2,0722 -2,7477 -3,3916 -4,0215 -4,6407 -5,2341 -5,7720 -6,2241 -6,5764 -6,8399 -7,0428 -7,2142 -7,3694 -7,5033 -7,5922 -7,6066 -7,5214 -7,3234 -7,0118 -6,5979 -6,1117 -5,6068 -5,1465 -4,7763 -4,5029 -4,2950 -4,1049 -3,8957 -3,6507 -3,3676 -3,0480 -2,6868 -2,2722 -1,7982 -1,2746 -0,7286 -0,1960 0,2907 0,7113 1,0573 1,3227 1,4958 1,5687 1,5575 1,5046 1,4631 1,4792 1,5831 1,7819 2,0571 2,3681 2,6562 2,8564 2,9263 2,8688 2,7183 2,5139 2,2808 2,0249 1,7350 1,3945 0,9977 0,5625 0,1290 -0,2541 -0,5399 -0,6899 -0,6819 -0,5187 -0,2339 0,1053 0,4108 0,6006 0,6260 0,4893 0,2461 -0,0129 -0,1932 -0,2292 -0,1073 0,1331 0,4182 0,6639 0,7999 0,7864 0,6206 0,3338 -0,0216 -0,3962 -0,7614 -1,1008 -1,4007 -1,6593 -1,8902 -2,1059 -2,3057 -2,4754 -2,5874 -2,6047 -2,4984 -2,2683 -1,9515 -1,6119 -1,3134 -1,0942 -0,9562 -0,8691 -0,7848 -0,6621 -0,4944 -0,3200 -0,1995 -0,1757 -0,2494 -0,3897 -0,5618 -0,7512 -0,9724 -1,2562 -1,6261 -2,0795 -2,5797 -3,0627 -3,4622 -3,7390 -3,8909 -3,9411 -3,9162 -3,8294 -3,6744 -3,4356 -3,1115 -2,7325 -2,3621 -2,0807 -1,9522 -2,0009 -2,2145 -2,5544 -2,9536 -3,3214 -3,5693 -3,6406 -3,5308 -3,2874 -2,9890 -2,7160 -2,5292 -2,4581 -2,4972 -2,6167 -2,7873 -2,9967 -3,2440 -3,5254 -3,8229 -4,1009 -4,3150 -4,4261 -4,4125 -4,2754 -4,0395 -3,7435 -3,4186 -3,0721 -2,6990 -2,3046 -1,9160 -1,5787 -1,3428 -1,2453 -1,3012 -1,5068 -1,8419 -2,2728 -2,7570 -3,2432 -3,6738 -4,0091 -4,2478 -4,4119 -4,5139 -4,5535 -4,5426 -4,5135 -4,4995 -4,5132 -4,5479 -4,5883 -4,6172 -4,6163 -4,5676 -4,4559 -4,2757 -4,0345 -3,7435 -3,4046 -3,0111 -2,5591 -2,0546 -1,5077 -0,9323 -0,3525 0,1948 0,6637 1,0001 1,1506 1,0840 0,8080 0,3676 -0,1704 -0,7390 -1,2842 -1,7649 -2,1476 -2,4074 -2,5258 -2,4872 -2,2896 -1,9651 -1,5833 -1,2275 -0,9622 -0,8094 -0,7470 -0,7346 -0,7408 -0,7517 -0,7579 -0,7411 -0,6853 -0,5972 -0,5090 -0,4604 -0,4837 -0,5957 -0,7902 -1,0321 -1,2613 -1,4116 -1,4360 -1,3186 -1,0680 -0,7087 -0,2790 0,1712 0,5903 0,9413 1,2129 1,4152 1,5633 1,6670 1,7307 1,7561 1,7477 1,7275 1,7318 1,7832 1,8657 1,9320 1,9370 1,8737 1,7799 1,7114 1,7119 1,7966 1,9498 2,1365 2,3236 2,4919 2,6367 2,7625 2,8720 2,9544 2,9840 2,9319 2,7874 2,5718 2,3290 2,0991 1,8931 1,6891 1,4518 1,1583 0,8084 0,4192 0,0209 -0,3444 -0,6336 -0,8272 -0,9383 -0,9961 -1,0290 -1,0641 -1,1213 -1,1933 -1,2341 -1,1745 -0,9507 -0,5300 0,0771 0,8256 1,6575 2,5154 3,3508 4,1359 4,8750 5,6046 6,3736 7,2198 8,1584 9,1756 10,2266 11,2468 12,1757 12,9809 13,6596 14,2211 14,6675 14,9921 15,1912 15,2766 15,2746 15,2161 15,1201 14,9794 14,7648 14,4504 14,0351 13,5379 12,9732 12,3424 11,6482 10,9110 10,1707 9,4807 8,9004 8,4792 8,2376 8,1594 8,1989 8,2928 8,3654 8,3357 8,1406 7,7623 7,2395 6,6554 6,1119 5,6997 5,4780 5,4664 5,6448 5,9555 6,3116 6,6192 6,8130 6,8865 6,8930 6,9059 6,9663 7,0575 7,1208 7,0927 6,9352 6,6492 6,2726 5,8649 5,4842 5,1633 4,8959 4,6478 4,3838 4,0805 3,7288 3,3366 2,9205 2,4871 2,0274 1,5314 1,0043 0,4671 -0,0574 -0,5586 -1,0406 -1,5130 -1,9793 -2,4317 -2,8496 -3,2023 -3,4576 -3,5945 -3,6125 -3,5296 -3,3709 -3,1554 -2,8875 -2,5591 -2,1613 -1,6989 -1,1968 -0,6884
Fz    3,5643 3,1439 2,6444 2,0772 1,4618 0,8226 0,1858 -0,4197 -0,9571 -1,3776 -1,6313 -1,6866 -1,5425 -1,2299 -0,8031 -0,3218 0,1656 0,6243 1,0259 1,3501 1,5960 1,7870 1,9552 2,1162 2,2608 2,3751 2,4561 2,5070 2,5251 2,5042 2,4380 2,3174 2,1267 1,8521 1,4949 1,0740 0,6131 0,1259 -0,3873 -0,9346 -1,5222 -2,1467 -2,7924 -3,4363 -4,0526 -4,6106 -5,0667 -5,3700 -5,4853 -5,4162 -5,2062 -4,9160 -4,5974 -4,2771 -3,9605 -3,6476 -3,3452 -3,0649 -2,8181 -2,6122 -2,4482 -2,3166 -2,1977 -2,0700 -1,9194 -1,7432 -1,5511 -1,3654 -1,2202 -1,1514 -1,1855 -1,3353 -1,5975 -1,9455 -2,3213 -2,6395 -2,8128 -2,7850 -2,5491 -2,1433 -1,6293 -1,0611 -0,4583 0,1988 0,9438 1,7922 2,7274 3,7085 4,6862 5,6116 6,4378 7,1234 7,6399 7,9808 8,1661 8,2390 8,2567 8,2698 8,2981 8,3229 8,3007 8,1894 7,9687 7,6420 7,2210 6,7102 6,1020 5,3786 4,5182 3,5049 2,3417 1,0641 -0,2553 -1,5218 -2,6402 -3,5305 -4,1376 -4,4426 -4,4679 -4,2651 -3,8921 -3,3947 -2,7907 -2,0649 -1,1792 -0,0986 1,1803 2,6141 4,1206 5,6054 6,9876 8,2138 9,2608 10,1338 10,8610 11,4795 12,0166 12,4750 12,8356 13,0673 13,1415 13,0474 12,8034 12,4552 12,0646 11,6893 11,3614 11,0860 10,8588 10,6779 10,5450 10,4648 10,4463 10,4968 10,6110 10,7660 10,9270 11,0648 11,1698 11,2511 11,3214 11,3898 11,4676 11,5751 11,7375 11,9763 12,3038 12,7234 13,2317 13,8147 14,4418 15,0664 15,6348 16,0963 16,4151 16,5806 16,6050 16,5122 16,3323 16,1013 15,8555 15,6219 15,4135 15,2349 15,0907 14,9948 14,9702 15,0299 15,1529 15,2795 15,3280 15,2233 14,9234 14,4285 13,7716 13,0031 12,1741 11,3192 10,4481 9,5471 8,5913 7,5602 6,4490 5,2715 4,0569 2,8428 1,6668 0,5623 -0,4376 -1,2977 -1,9902 -2,5048 -2,8467 -3,0304 -3,0764 -3,0150 -2,8838 -2,7162 -2,5332 -2,3468 -2,1693 -2,0164 -1,8989 -1,8138 -1,7444 -1,6703 -1,5758 -1,4517 -1,2976 -1,1228 -0,9445 -0,7794 -0,6375 -0,5224 -0,4333 -0,3629 -0,2924 -0,1949 -0,0505 0,1424 0,3740 0,6368 0,9314 1,2673 1,6601 2,1214 2,6490 3,2260 3,8251 4,4096 4,9385 5,3803 5,7248 5,9789 6,1596 6,2905 6,3973 6,5002 6,6101 6,7298 6,8588 6,9986 7,1573 7,3515 7,6053 7,9389 8,3558 8,8350 9,3327 9,7912 10,1499 10,3595 10,4001 10,2960 10,1104 9,9237 9,8089 9,8122 9,9418 10,1628 10,4086 10,6087 10,7164 10,7122 10,5919 10,3573 10,0149 9,5790 9,0788 8,5591 8,0663 7,6344 7,2778 6,9948 6,7801 6,6374 6,5790 6,6139 6,7390 6,9378 7,1822 7,4398 7,6857 7,9133 8,1363 8,3805 8,6678 8,9997 9,3496 9,6719 9,9232 10,0802 10,1425 10,1237 10,0391 9,8977 9,6998 9,4405 9,1134 8,7248 8,3058 7,9071 7,5769 7,3463 7,2236 7,1975 7,2480 7,3548 7,4963 7,6488 7,7915 7,9039 7,9619 7,9451 7,8459 7,6679 7,4256 7,1518 6,8967 6,7099 6,6233 6,6465 6,7686 6,9610 7,1861 7,4096 7,6121 7,7904 7,9481 8,0818 8,1761 8,2128 8,1860 8,1098 8,0125 7,9252 7,8707 7,8572 7,8793 7,9219 7,9693 8,0170 8,0773 8,1735 8,3253 8,5326 8,7665 8,9774 9,1138 9,1360 9,0184 8,7540 8,3600 7,8760 7,3524 6,8366 6,3615 5,9436 5,5892 5,2999 5,0699 4,8796 4,6984 4,4997 4,2750 4,0345 3,8003 3,5980 3,4537 3,3942 3,4432 3,6130 3,8985 4,2804 4,7407 5,2795 5,9171 6,6765 7,5589 8,5315 9,5335 10,4933 11,3386 11,9982 12,4079 12,5290 12,3638 11,9565 11,3777 10,7050 10,0112 9,3605 8,8035 8,3740 8,0905 7,9570 7,9550 8,0415 8,1600 8,2580 8,3024 8,2884 8,2391 8,1923 8,1809 8,2171 8,2925 8,3878 8,4805 8,5432 8,5469 8,4701 8,3059 8,0676 7,7902 7,5252 7,3316 7,2618 7,3479 7,5987 8,0062 8,5486 9,1911 9,8880 10,5909 11,2581 11,8598 12,3808 12,8179 13,1740 13,4518 13,6496 13,7637 13,8023 13,7899 13,7502 13,6838 13,5674 13,3798 13,1319 12,8698 12,6528 12,5290 12,5206 12,6185 12,7867 12,9760 13,1406 13,2514 13,3005 13,2944 13,2403 13,1406 12,9963 12,8136 12,6073 12,3947 12,1858 11,9790 11,7653 11,5343 11,2782 10,9935 10,6844 10,3687 10,0801 9,8542 9,7062 9,6244 9,5804 9,5387 9,4643 9,3393 9,1814 9,0442 8,9963 9,0971 9,3800 9,8485 10,4823 11,2456 12,0925 12,9717 13,8375 14,6629 15,4463 16,2095 16,9901 17,8259 18,7310 19,6816 20,6265 21,5105 22,2891 22,9292 23,4075 23,7145 23,8585 23,8604 23,7462 23,5362 23,2392 22,8542 22,3789 21,8176 21,1846 20,5065 19,8156 19,1311 18,4490 17,7532 17,0358 16,3098 15,6097 14,9820 14,4736 14,1133 13,8939 13,7679 13,6603 13,4872 13,1750 12,6866 12,0419 11,3136 10,6017 10,0000 9,5682 9,3209 9,2354 9,2691 9,3693 9,4741 9,5203 9,4687 9,3248 9,1352 8,9573 8,8279 8,7526 8,7106 8,6636 8,5685 8,3956 8,1396 7,8157 7,4486 7,0617 6,6699 6,2822 5,9110 5,5740 5,2850 5,0440 4,8324 4,6151 4,3512 4,0154 3,6127 3,1724 2,7263 2,2902 1,8623 1,4343 1,0019 0,5707 0,1590 -0,2108 -0,5227 -0,7680 -0,9376 -1,0179 -0,9921 -0,8450 -0,5681 -0,1603 0,3768 1,0352 1,7880 2,5863
F3    4,1165 3,7548 3,3101 2,7965 2,2368 1,6550 1,0691 0,4932 -0,0515 -0,5295 -0,8979 -1,1236 -1,1955 -1,1273 -0,9527 -0,7123 -0,4406 -0,1648 0,0939 0,3245 0,5316 0,7335 0,9500 1,1843 1,4188 1,6290 1,7975 1,9107 1,9518 1,9059 1,7686 1,5448 1,2437 0,8804 0,4803 0,0757 -0,3067 -0,6547 -0,9713 -1,2705 -1,5695 -1,8828 -2,2195 -2,5794 -2,9490 -3,2996 -3,5896 -3,7758 -3,8317 -3,7611 -3,5983 -3,3920 -3,1845 -2,9980 -2,8354 -2,6941 -2,5777 -2,4931 -2,4414 -2,4167 -2,4105 -2,4117 -2,4065 -2,3829 -2,3357 -2,2696 -2,1986 -2,1443 -2,1314 -2,1797 -2,2981 -2,4859 -2,7354 -3,0250 -3,3093 -3,5230 -3,6005 -3,5005 -3,2224 -2,8069 -2,3181 -1,8138 -1,3173 -0,8109 -0,2595 0,3574 1,0298 1,7217 2,3845 2,9676 3,4226 3,7089 3,8042 3,7152 3,4788 3,1536 2,8078 2,5036 2,2738 2,1072 1,9572 1,7701 1,5137 1,1842 0,7906 0,3368 -0,1852 -0,7937 -1,5093 -2,3475 -3,3098 -4,3750 -5,4924 -6,5861 -7,5697 -8,3614 -8,8975 -9,1438 -9,1028 -8,8091 -8,3129 -7,6622 -6,8883 -5,9992 -4,9871 -3,8465 -2,5923 -1,2662 0,0727 1,3641 2,5594 3,6295 4,5677 5,3888 6,1221 6,8012 7,4475 8,0586 8,6083 9,0556 9,3589 9,4940 9,4642 9,3015 9,0597 8,7939 8,5368 8,2935 8,0561 7,8182 7,5815 7,3601 7,1774 7,0522 6,9840 6,9508 6,9200 6,8679 6,7934 6,7123 6,6393 6,5787 6,5315 6,5048 6,5109 6,5635 6,6766 6,8656 7,1420 7,5039 7,9290 8,3779 8,8023 9,1548 9,3993 9,5204 9,5234 9,4259 9,2513 9,0278 8,7824 8,5328 8,2850 8,0361 7,7816 7,5269 7,2932 7,1038 6,9604 6,8319 6,6637 6,3988 6,0023 5,4721 4,8334 4,1287 3,4047 2,6955 2,0120 1,3430 0,6646 -0,0467 -0,8047 -1,6087 -2,4414 -3,2715 -4,0638 -4,7904 -5,4298 -5,9602 -6,3635 -6,6328 -6,7739 -6,8019 -6,7417 -6,6274 -6,4979 -6,3855 -6,3079 -6,2703 -6,2722 -6,3082 -6,3609 -6,3992 -6,3898 -6,3153 -6,1760 -5,9817 -5,7443 -5,4772 -5,1946 -4,9107 -4,6397 -4,3980 -4,2033 -4,0644 -3,9693 -3,8883 -3,7924 -3,6693 -3,5181 -3,3361 -3,1139 -2,8382 -2,4964 -2,0870 -1,6264 -1,1434 -0,6689 -0,2333 0,1371 0,4286 0,6452 0,8000 0,9063 0,9731 1,0046 1,0013 0,9634 0,8960 0,8106 0,7239 0,6550 0,6262 0,6636 0,7917 1,0224 1,3467 1,7341 2,1369 2,4981 2,7630 2,8969 2,9024 2,8200 2,7140 2,6526 2,6863 2,8280 3,0467 3,2807 3,4675 3,5692 3,5788 3,5082 3,3747 3,1912 2,9659 2,7113 2,4516 2,2149 2,0188 1,8626 1,7309 1,6102 1,5069 1,4472 1,4580 1,5526 1,7281 1,9694 2,2530 2,5539 2,8521 3,1384 3,4154 3,6911 3,9639 4,2130 4,4031 4,5035 4,5029 4,4139 4,2644 4,0812 3,8764 3,6474 3,3857 3,0860 2,7561 2,4267 2,1437 1,9443 1,8395 1,8159 1,8450 1,8978 1,9557 2,0111 2,0616 2,1035 2,1238 2,0992 2,0081 1,8409 1,5993 1,2997 0,9823 0,7067 0,5266 0,4689 0,5313 0,6856 0,8836 1,0687 1,1946 1,2413 1,2189 1,1537 1,0715 0,9869 0,9060 0,8355 0,7905 0,7911 0,8516 0,9723 1,1400 1,3379 1,5515 1,7684 1,9829 2,2033 2,4479 2,7307 3,0421 3,3430 3,5792 3,7050 3,6955 3,5458 3,2678 2,8894 2,4523 2,0068 1,6013 1,2671 1,0117 0,8260 0,6983 0,6180 0,5675 0,5186 0,4432 0,3250 0,1629 -0,0326 -0,2395 -0,4215 -0,5333 -0,5344 -0,4039 -0,1465 0,2132 0,6477 1,1443 1,7118 2,3673 3,1175 3,9453 4,8056 5,6353 6,3650 6,9260 7,2561 7,3154 7,1018 6,6551 6,0433 5,3421 4,6216 3,9424 3,3525 2,8881 2,5790 2,4459 2,4831 2,6494 2,8799 3,1105 3,2979 3,4280 3,5128 3,5760 3,6372 3,7012 3,7605 3,8062 3,8316 3,8256 3,7726 3,6588 3,4778 3,2379 2,9672 2,7110 2,5218 2,4450 2,5068 2,7138 3,0598 3,5269 4,0824 4,6811 5,2737 5,8170 6,2809 6,6507 6,9256 7,1126 7,2198 7,2527 7,2177 7,1328 7,0280 6,9268 6,8265 6,7029 6,5398 6,3580 6,2124 6,1626 6,2420 6,4458 6,7338 7,0439 7,3125 7,4934 7,5689 7,5486 7,4565 7,3124 7,1234 6,8917 6,6266 6,3490 6,0855 5,8567 5,6687 5,5144 5,3783 5,2425 5,0904 4,9089 4,6941 4,4550 4,2090 3,9706 3,7464 3,5381 3,3433 3,1542 2,9649 2,7906 2,6759 2,6813 2,8594 3,2380 3,8178 4,5768 5,4737 6,4492 7,4339 8,3635 9,1974 9,9296 10,5885 11,2256 11,8970 12,6401 13,4557 14,3098 15,1514 15,9287 16,5958 17,1172 17,4767 17,6816 17,7565 17,7312 17,6298 17,4639 17,2311 16,9178 16,5080 15,9967 15,3991 14,7431 14,0504 13,3283 12,5787 11,8137 11,0617 10,3598 9,7415 9,2312 8,8392 8,5550 8,3475 8,1711 7,9719 7,6947 7,3039 6,8041 6,2430 5,6913 5,2192 4,8761 4,6816 4,6294 4,6939 4,8313 4,9803 5,0730 5,0593 4,9319 4,7279 4,5008 4,2877 4,0985 3,9209 3,7281 3,4909 3,1932 2,8401 2,4489 2,0365 1,6131 1,1814 0,7424 0,3062 -0,1072 -0,4809 -0,8138 -1,1230 -1,4404 -1,7984 -2,2101 -2,6573 -3,1008 -3,5043 -3,8538 -4,1559 -4,4233 -4,6612 -4,8602 -4,9985 -5,0554 -5,0249 -4,9179 -4,7514 -4,5367 -4,2736 -3,9544 -3,5721 -3,1209 -2,5923 -1,9810 -1,3017 -0,5895
F7    3,2905 3,0797 2,7646 2,3533 1,8617 1,3064 0,7048 0,0847 -0,5077 -1,0109 -1,3665 -1,5432 -1,5477 -1,4162 -1,1963 -0,9322 -0,6620 -0,4204 -0,2351 -0,1140 -0,0407 0,0175 0,0928 0,2000 0,3316 0,4726 0,6130 0,7442 0,8553 0,9381 0,9895 1,0044 0,9719 0,8834 0,7426 0,5670 0,3774 0,1854 -0,0119 -0,2241 -0,4551 -0,6968 -0,9374 -1,1712 -1,3974 -1,6119 -1,8031 -1,9556 -2,0587 -2,1161 -2,1473 -2,1784 -2,2273 -2,2935 -2,3634 -2,4274 -2,4916 -2,5708 -2,6723 -2,7875 -2,8963 -2,9771 -3,0186 -3,0277 -3,0265 -3,0416 -3,0929 -3,1919 -3,3425 -3,5394 -3,7685 -4,0124 -4,2575 -4,4926 -4,7013 -4,8595 -4,9435 -4,9427 -4,8684 -4,7498 -4,6181 -4,4853 -4,3347 -4,1308 -3,8443 -3,4757 -3,0610 -2,6549 -2,3107 -2,0723 -1,9737 -2,0353 -2,2575 -2,6158 -3,0636 -3,5427 -3,9942 -4,3727 -4,6640 -4,8921 -5,1056 -5,3512 -5,6509 -5,9963 -6,3630 -6,7312 -7,0967 -7,4713 -7,8776 -8,3402 -8,8737 -9,4728 -10,1091 -10,7379 -11,3079 -11,7681 -12,0741 -12,2003 -12,1474 -11,9329 -11,5723 -11,0712 -10,4289 -9,6437 -8,7195 -7,6753 -6,5516 -5,4013 -4,2722 -3,1941 -2,1766 -1,2146 -0,2987 0,5769 1,4185 2,2397 3,0554 3,8621 4,6287 5,3040 5,8350 6,1854 6,3454 6,3350 6,1995 5,9915 5,7484 5,4844 5,2008 4,8970 4,5773 4,2559 3,9577 3,7123 3,5395 3,4343 3,3679 3,3068 3,2347 3,1548 3,0734 2,9892 2,8961 2,7904 2,6724 2,5456 2,4197 2,3168 2,2668 2,2918 2,3926 2,5477 2,7202 2,8650 2,9390 2,9147 2,7871 2,5690 2,2860 1,9743 1,6724 1,4060 1,1788 0,9735 0,7616 0,5216 0,2524 -0,0357 -0,3386 -0,6655 -1,0351 -1,4670 -1,9705 -2,5406 -3,1640 -3,8190 -4,4733 -5,0964 -5,6767 -6,2225 -6,7508 -7,2756 -7,8028 -8,3275 -8,8338 -9,2975 -9,6969 -10,0224 -10,2769 -10,4665 -10,5924 -10,6454 -10,6087 -10,4717 -10,2445 -9,9585 -9,6569 -9,3830 -9,1690 -9,0320 -8,9758 -8,9938 -9,0629 -9,1412 -9,1815 -9,1527 -9,0474 -8,8720 -8,6341 -8,3374 -7,9848 -7,5812 -7,1395 -6,6846 -6,2517 -5,8728 -5,5604 -5,3055 -5,0909 -4,9044 -4,7368 -4,5748 -4,4011 -4,1977 -3,9488 -3,6467 -3,2957 -2,9083 -2,5029 -2,1038 -1,7371 -1,4201 -1,1565 -0,9419 -0,7721 -0,6508 -0,5951 -0,6312 -0,7766 -1,0253 -1,3477 -1,7008 -2,0421 -2,3363 -2,5536 -2,6710 -2,6811 -2,5978 -2,4537 -2,2938 -2,1676 -2,1144 -2,1460 -2,2405 -2,3532 -2,4363 -2,4534 -2,3893 -2,2532 -2,0766 -1,9079 -1,7988 -1,7829 -1,8624 -2,0135 -2,2010 -2,3916 -2,5581 -2,6764 -2,7278 -2,7073 -2,6247 -2,4973 -2,3449 -2,1874 -2,0386 -1,9036 -1,7806 -1,6601 -1,5255 -1,3614 -1,1622 -0,9314 -0,6771 -0,4111 -0,1507 0,0804 0,2534 0,3406 0,3238 0,2044 0,0067 -0,2293 -0,4631 -0,6690 -0,8450 -1,0105 -1,1947 -1,4221 -1,6954 -1,9842 -2,2363 -2,4085 -2,4917 -2,5115 -2,5083 -2,5136 -2,5358 -2,5593 -2,5572 -2,5099 -2,4242 -2,3362 -2,2953 -2,3456 -2,5146 -2,7999 -3,1541 -3,4928 -3,7324 -3,8238 -3,7624 -3,5848 -3,3590 -3,1669 -3,0795 -3,1317 -3,3126 -3,5767 -3,8678 -4,1379 -4,3583 -4,5214 -4,6319 -4,6993 -4,7323 -4,7376 -4,7165 -4,6611 -4,5568 -4,3906 -4,1525 -3,8357 -3,4443 -3,0034 -2,5634 -2,1924 -1,9517 -1,8759 -1,9698 -2,2161 -2,5764 -2,9939 -3,4030 -3,7441 -3,9792 -4,1018 -4,1346 -4,1133 -4,0673 -4,0138 -3,9677 -3,9468 -3,9652 -4,0262 -4,1256 -4,2562 -4,4046 -4,5422 -4,6214 -4,5881 -4,4079 -4,0820 -3,6452 -3,1509 -2,6480 -2,1646 -1,7079 -1,2715 -0,8409 -0,4030 0,0420 0,4704 0,8311 1,0563 1,0886 0,9032 0,5168 -0,0197 -0,6348 -1,2522 -1,8048 -2,2484 -2,5631 -2,7394 -2,7681 -2,6492 -2,4017 -2,0632 -1,6804 -1,2980 -0,9457 -0,6347 -0,3659 -0,1419 0,0279 0,1364 0,1903 0,2077 0,2025 0,1778 0,1284 0,0439 -0,0849 -0,2568 -0,4541 -0,6445 -0,7908 -0,8610 -0,8303 -0,6805 -0,4114 -0,0523 0,3419 0,7101 1,0054 1,2076 1,3259 1,3885 1,4233 1,4422 1,4456 1,4378 1,4375 1,4678 1,5305 1,5932 1,6060 1,5386 1,4080 1,2691 1,1779 1,1642 1,2301 1,3583 1,5190 1,6766 1,7977 1,8631 1,8744 1,8425 1,7703 1,6511 1,4793 1,2591 1,0056 0,7415 0,4917 0,2764 0,1055 -0,0252 -0,1336 -0,2478 -0,3978 -0,5986 -0,8337 -1,0633 -1,2554 -1,4034 -1,5136 -1,5906 -1,6396 -1,6669 -1,6658 -1,6065 -1,4443 -1,1414 -0,6859 -0,0958 0,5927 1,3387 2,1042 2,8585 3,5820 4,2697 4,9316 5,5915 6,2825 7,0337 7,8482 8,6932 9,5170 10,2760 10,9460 11,5133 11,9632 12,2826 12,4718 12,5473 12,5354 12,4644 12,3593 12,2331 12,0769 11,8618 11,5588 11,1604 10,6784 10,1231 9,4934 8,7893 8,0296 7,2562 6,5188 5,8607 5,3161 4,9082 4,6395 4,4823 4,3834 4,2768 4,1002 3,8186 3,4427 3,0251 2,6365 2,3367 2,1581 2,1055 2,1664 2,3183 2,5299 2,7579 2,9511 3,0658 3,0887 3,0422 2,9630 2,8736 2,7728 2,6439 2,4645 2,2157 1,8902 1,4965 1,0538 0,5849 0,1099 -0,3609 -0,8219 -1,2636 -1,6749 -2,0529 -2,4096 -2,7709 -3,1699 -3,6328 -4,1622 -4,7314 -5,2975 -5,8240 -6,2955 -6,7155 -7,0950 -7,4428 -7,7531 -7,9990 -8,1453 -8,1665 -8,0559 -7,8251 -7,4984 -7,1014 -6,6544 -6,1721 -5,6651 -5,1395 -4,6013 -4,0653 -3,5513
