Fp1   0,5883 0,6710 0,7643 0,8318 0,8034 0,6250 0,2935 -0,1348 -0,5529 -0,8559 -1,0100 -1,0545 -1,0368 -0,9708 -0,8639 -0,7484 -0,6596 -0,6118 -0,5944 -0,5604 -0,4509 -0,2573 -0,0258 0,2158 0,5038 0,8913 1,3793 1,9133 2,4248 2,8399 3,0689 3,0293 2,6903 2,0975 1,3602 0,6061 -0,0662 -0,6093 -1,0234 -1,3282 -1,5384 -1,6526 -1,6536 -1,5423 -1,3745 -1,2351 -1,1759 -1,2042 -1,3156 -1,4904 -1,6532 -1,6773 -1,4494 -0,9289 -0,1672 0,7221 1,6214 2,4340 3,0805 3,5025 3,6665 3,5783 3,2957 2,8871 2,3855 1,8045 1,1840 0,6101 0,1850 -0,0212 0,0077 0,2260 0,5350 0,8483 1,1479 1,4343 1,6417 1,6488 1,3716 0,8480 0,2514 -0,1981 -0,3692 -0,2795 -0,0511 0,1826 0,3549 0,4888 0,6613 0,9474 1,3662 1,8524 2,2936 2,6131 2,8069 2,9093 2,9462 2,9136 2,7781 2,4995 2,0544 1,4478 0,7151 -0,0817 -0,8600 -1,5249 -2,0006 -2,2733 -2,3961 -2,4392 -2,4504 -2,4626 -2,4927 -2,5159 -2,4701 -2,3023 -2,0325 -1,7985 -1,8292 -2,3250 -3,3091 -4,5705 -5,7627 -6,5758 -6,8550 -6,6359 -6,1099 -5,5300 -5,1108 -4,9743 -5,1432 -5,5626 -6,1221 -6,6792 -7,1067 -7,3498 -7,4294 -7,3881 -7,2485 -7,0129 -6,6663 -6,1794 -5,5287 -4,7317 -3,8802 -3,1108 -2,5045 -2,0348 -1,6145 -1,1639 -0,6471 -0,0718 0,5329 1,1244 1,6248 1,9175 1,9150 1,6457 1,2466 0,8745 0,6341 0,5467 0,5654 0,6427 0,7732 0,9659 1,2009 1,4131 1,5230 1,5045 1,4059 1,2732 1,0938 0,8550 0,6037 0,4076 0,3025 0,3012 0,4213 0,6906 1,1169 1,6367 2,1137 2,4086 2,4574 2,2868 1,9619 1,5390 1,0568 0,5345 -0,0175 -0,5431 -0,9104 -0,9852 -0,7351 -0,2389 0,3847 1,0276 1,6053 2,0624 2,3585 2,4526 2,3314 2,0510 1,7281 1,4833 1,3903 1,4600 1,6428 1,8506 2,0056 2,0694 2,0121 1,7904 1,3956 0,9180 0,5252 0,3787 0,5726 1,0984 1,8310 2,5647 3,0939 3,2931 3,1461 2,7329 2,1945 1,6721 1,2584 1,0033 0,9326 1,0281 1,2046 1,3495 1,3905 1,3124 1,1360 0,9021 0,6529 0,4189 0,2302 0,1199 0,1097 0,2017 0,3754 0,5827 0,7502 0,7848 0,6091 0,2275 -0,2625 -0,7405 -1,1308 -1,4047 -1,5276 -1,4140 -0,9622 -0,1586 0,8507 1,8015 2,4335 2,6062 2,3427 1,8004 1,2232 0,8816 0,9613 1,4509 2,1403 2,7519 3,1049 3,1856 3,0838 2,8821 2,6179 2,3233 2,0488 1,8367 1,6964 1,6057 1,5385 1,4995 1,5406 1,7533 2,2091 2,8719 3,5976 4,2462 4,7523 5,0840 5,1891 5,0220 4,6138 4,0904 3,6139 3,3147 3,2568 3,4456 3,8686 4,5118 5,3254 6,1903 6,9374 7,4014 7,4607 7,0495 6,1790 4,9746 3,6717 2,5459 1,8160 1,5794 1,7992 2,3176 2,9046 3,3548 3,5683 3,5704 3,4787 3,4218 3,4451 3,4875 3,4529 3,3049 3,0835 2,8434 2,6073 2,3816 2,1888 2,0750 2,0919 2,2766 2,6353 3,1100 3,5473 3,7325 3,4982 2,8511 2,0034 1,2493 0,8032 0,7288 0,9472 1,2930 1,5925 1,7254 1,6621 1,4717 1,2643 1,1063 1,0101 1,0001 1,1501 1,5253 2,0946 2,7405 3,3476 3,8457 4,2018 4,4102 4,4752 4,3947 4,1650 3,7947 3,3190 2,7991 2,2822 1,7564 1,1746 0,5455 -0,0246 -0,4022 -0,5373 -0,5227 -0,5362 -0,6835 -0,9090 -1,0676 -1,0493 -0,8448 -0,5367 -0,2446 -0,0648 -0,0309 -0,1051 -0,2098 -0,2657 -0,1995 0,0479 0,4734 0,9710 1,3830 1,6044 1,6283 1,5124 1,3351 1,1577 0,9852 0,7808 0,5375 0,2965 0,0728 -0,1880 -0,5487 -1,0066 -1,5001 -1,9590 -2,3208 -2,5140 -2,4734 -2,2020 -1,7946 -1,3641 -0,9572 -0,5652 -0,1894 0,1469 0,4297 0,6660 0,8807 1,0995 1,3088 1,4382 1,4020 1,1629 0,7566 0,2501 -0,3058 -0,8571 -1,3065 -1,5396 -1,4706 -1,0524 -0,3051 0,6449 1,5991 2,3754 2,8561 3,0025 2,8597 2,5280 2,1113 1,6804 1,2512 0,7906 0,2726 -0,2638 -0,7224 -0,9979 -1,0122 -0,7415 -0,2294 0,4311 1,1306 1,7763 2,3089 2,6863 2,8545 2,7776 2,5183 2,2413 2,0974 2,1036 2,1300 1,9886 1,5562 0,8433 -0,0313 -0,9077 -1,6310 -2,0844 -2,2220 -2,0709 -1,7088 -1,2515 -0,8391 -0,5857 -0,5340 -0,6743 -0,9923 -1,4830 -2,1474 -2,9796 -3,9409 -4,9658 -6,0069 -7,0475 -8,0575 -8,9551 -9,6389 -10,0489 -10,1730 -10,0289 -9,6855 -9,2743 -8,9340 -8,7498 -8,7547 -8,9420 -9,2445 -9,5519 -9,8038 -10,0399 -10,3282 -10,6683 -10,9763 -11,1233 -10,9713 -10,4371 -9,5631 -8,4937 -7,3662 -6,2608 -5,2477 -4,4035 -3,7536 -3,2410 -2,7829 -2,3446 -1,9425 -1,5998 -1,3307 -1,1584 -1,1105 -1,1799 -1,3126 -1,4417 -1,5150 -1,5030 -1,4079 -1,2491 -1,0445 -0,8205 -0,6152 -0,4725 -0,4512 -0,6077 -0,9410 -1,3803 -1,8234 -2,1634 -2,3016 -2,1889 -1,8656 -1,4450 -1,0411 -0,7084 -0,4482 -0,2614 -0,1877 -0,2917 -0,6072 -1,1023 -1,7003 -2,3186 -2,8916 -3,3904 -3,8343 -4,2594 -4,6727 -5,0466 -5,3383 -5,5056 -5,5228 -5,3897 -5,1350 -4,8199 -4,5116 -4,2404 -4,0129 -3,8595 -3,8294 -3,9429 -4,1650 -4,4263 -4,6765 -4,9166 -5,1708 -5,4423 -5,7092 -5,9528 -6,1614 -6,3131 -6,3805 -6,3571 -6,2879 -6,2770 -6,4306 -6,7674 -7,2036 -7,6263 -7,9454 -8,0736 -7,9276 -7,4942 -6,8718 -6,2198 -5,6782 -5,3327 -5,2237
Fz    0,7108 0,7602 0,8415 0,9151 0,9320 0,8642 0,7145 0,5111 0,3050 0,1542 0,0884 0,0913 0,1210 0,1398 0,1262 0,0772 0,0101 -0,0504 -0,0883 -0,0953 -0,0688 -0,0232 0,0144 0,0368 0,0769 0,1840 0,3788 0,6332 0,8872 1,0750 1,1452 1,0718 0,8554 0,5213 0,1193 -0,2816 -0,6148 -0,8394 -0,9505 -0,9734 -0,9491 -0,9129 -0,8792 -0,8551 -0,8626 -0,9292 -1,0553 -1,2051 -1,3313 -1,3966 -1,3776 -1,2588 -1,0318 -0,6970 -0,2704 0,2161 0,7246 1,2104 1,6207 1,9099 2,0564 2,0649 1,9539 1,7359 1,4080 0,9705 0,4535 -0,0706 -0,5046 -0,7658 -0,8160 -0,6737 -0,4078 -0,1023 0,1844 0,4208 0,5755 0,6085 0,4943 0,2529 -0,0456 -0,3135 -0,4881 -0,5535 -0,5370 -0,4826 -0,4241 -0,3731 -0,3210 -0,2506 -0,1532 -0,0400 0,0666 0,1530 0,2225 0,2873 0,3573 0,4345 0,5083 0,5548 0,5443 0,4581 0,3004 0,0945 -0,1340 -0,3690 -0,6077 -0,8587 -1,1301 -1,4132 -1,6821 -1,9155 -2,1117 -2,2778 -2,4137 -2,5165 -2,6028 -2,7284 -2,9786 -3,4248 -4,0732 -4,8436 -5,6020 -6,2253 -6,6455 -6,8597 -6,9177 -6,8924 -6,8459 -6,8164 -6,8261 -6,8911 -7,0138 -7,1712 -7,3272 -7,4562 -7,5389 -7,5396 -7,4152 -7,1478 -6,7535 -6,2659 -5,7242 -5,1727 -4,6594 -4,2174 -3,8423 -3,4981 -3,1446 -2,7539 -2,3152 -1,8404 -1,3618 -0,9180 -0,5372 -0,2322 0,0002 0,1804 0,3371 0,4895 0,6381 0,7680 0,8697 0,9631 1,0888 1,2721 1,4943 1,6962 1,8135 1,8238 1,7580 1,6601 1,5476 1,4191 1,2772 1,1299 0,9847 0,8539 0,7600 0,7336 0,7944 0,9295 1,0947 1,2385 1,3252 1,3471 1,3176 1,2512 1,1456 0,9822 0,7558 0,5122 0,3397 0,3060 0,4121 0,6123 0,8624 1,1336 1,3999 1,6283 1,7740 1,7885 1,6458 1,3657 1,0073 0,6411 0,3243 0,0950 -0,0280 -0,0455 0,0270 0,1593 0,3004 0,3836 0,3591 0,2285 0,0482 -0,1030 -0,1595 -0,0930 0,0801 0,3072 0,5217 0,6695 0,7262 0,6936 0,5945 0,4630 0,3293 0,2077 0,0927 -0,0392 -0,2177 -0,4625 -0,7715 -1,1186 -1,4668 -1,7818 -2,0333 -2,1932 -2,2377 -2,1578 -1,9723 -1,7278 -1,4875 -1,3148 -1,2550 -1,3261 -1,5151 -1,7741 -2,0350 -2,2416 -2,3695 -2,4244 -2,4208 -2,3568 -2,2134 -1,9849 -1,7075 -1,4584 -1,3217 -1,3340 -1,4581 -1,6184 -1,7480 -1,7950 -1,7169 -1,5033 -1,1948 -0,8647 -0,5739 -0,3432 -0,1644 -0,0344 0,0371 0,0541 0,0424 0,0223 -0,0116 -0,0762 -0,1702 -0,2582 -0,2835 -0,1942 0,0306 0,3637 0,7420 1,1091 1,4380 1,7142 1,9182 2,0333 2,0626 2,0329 1,9844 1,9556 1,9701 2,0338 2,1477 2,3168 2,5380 2,7823 2,9985 3,1355 3,1578 3,0443 2,7895 2,4186 1,9959 1,6105 1,3367 1,1980 1,1651 1,1825 1,1974 1,1743 1,0934 0,9546 0,7910 0,6546 0,5705 0,5196 0,4704 0,4145 0,3672 0,3420 0,3349 0,3273 0,3049 0,2791 0,2834 0,3445 0,4572 0,5771 0,6324 0,5519 0,2998 -0,0860 -0,4862 -0,7618 -0,8345 -0,7158 -0,4865 -0,2535 -0,0999 -0,0501 -0,0673 -0,0833 -0,0479 0,0418 0,1573 0,2778 0,4071 0,5587 0,7337 0,9183 1,0965 1,2540 1,3784 1,4578 1,4748 1,4081 1,2454 0,9912 0,6673 0,3079 -0,0574 -0,4193 -0,7782 -1,1103 -1,3594 -1,4795 -1,4778 -1,4143 -1,3571 -1,3304 -1,3030 -1,2263 -1,0766 -0,8725 -0,6650 -0,5074 -0,4338 -0,4554 -0,5646 -0,7390 -0,9424 -1,1210 -1,2128 -1,1802 -1,0391 -0,8480 -0,6687 -0,5323 -0,4365 -0,3654 -0,3177 -0,3202 -0,4079 -0,5877 -0,8346 -1,1218 -1,4379 -1,7739 -2,1105 -2,4199 -2,6760 -2,8587 -2,9511 -2,9368 -2,8117 -2,5973 -2,3277 -2,0235 -1,6928 -1,3492 -1,0094 -0,6779 -0,3506 -0,0265 0,2841 0,5485 0,7157 0,7433 0,6262 0,3985 0,1067 -0,2100 -0,5045 -0,7083 -0,7560 -0,6100 -0,2639 0,2453 0,8262 1,3676 1,7959 2,0946 2,2846 2,3926 2,4245 2,3639 2,1949 1,9178 1,5471 1,1186 0,7023 0,3806 0,2115 0,2190 0,3973 0,7072 1,0766 1,4176 1,6613 1,7931 1,8474 1,8639 1,8653 1,8730 1,9165 2,0045 2,0916 2,0815 1,8729 1,4171 0,7459 -0,0468 -0,8469 -1,5503 -2,0796 -2,3961 -2,5024 -2,4377 -2,2737 -2,1014 -1,9969 -1,9905 -2,0777 -2,2546 -2,5307 -2,9177 -3,4142 -3,9923 -4,6034 -5,2032 -5,7722 -6,3083 -6,8067 -7,2562 -7,6453 -7,9559 -8,1583 -8,2303 -8,1829 -8,0632 -7,9374 -7,8690 -7,8891 -7,9712 -8,0501 -8,0802 -8,0708 -8,0556 -8,0485 -8,0334 -7,9785 -7,8466 -7,6112 -7,2771 -6,8730 -6,4191 -5,9161 -5,3674 -4,7920 -4,2082 -3,6208 -3,0345 -2,4677 -1,9424 -1,4711 -1,0629 -0,7352 -0,5071 -0,3755 -0,3079 -0,2615 -0,2012 -0,1067 0,0221 0,1722 0,3291 0,4800 0,6150 0,7255 0,7964 0,8111 0,7717 0,7006 0,6218 0,5494 0,4920 0,4506 0,4060 0,3182 0,1557 -0,0742 -0,3281 -0,5632 -0,7732 -0,9905 -1,2572 -1,5940 -1,9894 -2,4006 -2,7675 -3,0439 -3,2224 -3,3262 -3,3833 -3,4140 -3,4370 -3,4713 -3,5268 -3,5923 -3,6462 -3,6832 -3,7144 -3,7408 -3,7509 -3,7511 -3,7785 -3,8784 -4,0763 -4,3656 -4,7201 -5,1102 -5,5024 -5,8511 -6,1138 -6,2781 -6,3624 -6,3876 -6,3681 -6,3243 -6,2932 -6,3199 -6,4319 -6,6140 -6,8148 -6,9800 -7,0760 -7,0855 -6,9998 -6,8255 -6,5898 -6,3305 -6,0854 -5,8934 -5,7906
F3    0,1681 0,2914 0,5047 0,7395 0,9248 1,0243 1,0283 0,9375 0,7788 0,6126 0,4890 0,4010 0,2997 0,1497 -0,0382 -0,2177 -0,3377 -0,3800 -0,3684 -0,3373 -0,3054 -0,2930 -0,3304 -0,4145 -0,4728 -0,3983 -0,1273 0,3192 0,8505 1,3421 1,6692 1,7352 1,4925 0,9656 0,2697 -0,4187 -0,9372 -1,2012 -1,2161 -1,0553 -0,8246 -0,6168 -0,4801 -0,4284 -0,4709 -0,6110 -0,8262 -1,0708 -1,3049 -1,5104 -1,6735 -1,7628 -1,7279 -1,5154 -1,0997 -0,5068 0,1943 0,8988 1,4741 1,8005 1,8202 1,5645 1,1434 0,6829 0,2615 -0,0951 -0,3843 -0,6017 -0,7315 -0,7458 -0,6139 -0,3395 0,0131 0,3560 0,6353 0,8324 0,9266 0,8820 0,6692 0,2969 -0,1700 -0,6278 -0,9836 -1,2019 -1,3021 -1,3134 -1,2460 -1,1062 -0,9184 -0,7183 -0,5385 -0,4058 -0,3382 -0,3345 -0,3702 -0,4045 -0,3964 -0,3307 -0,2325 -0,1463 -0,1013 -0,1043 -0,1523 -0,2382 -0,3540 -0,4972 -0,6774 -0,9219 -1,2627 -1,6959 -2,1632 -2,6013 -2,9961 -3,3604 -3,6728 -3,8747 -3,9419 -3,9431 -4,0179 -4,2927 -4,8040 -5,4738 -6,1476 -6,6700 -6,9492 -6,9860 -6,8571 -6,6566 -6,4450 -6,2444 -6,0655 -5,9259 -5,8435 -5,8193 -5,8473 -5,9325 -6,0679 -6,1960 -6,2299 -6,1173 -5,8623 -5,4983 -5,0693 -4,6323 -4,2526 -3,9720 -3,7776 -3,6151 -3,4281 -3,1758 -2,8280 -2,3658 -1,7928 -1,1463 -0,4981 0,0671 0,4924 0,7796 0,9760 1,1301 1,2583 1,3421 1,3650 1,3528 1,3605 1,4192 1,5022 1,5286 1,4122 1,1381 0,7891 0,4763 0,2507 0,0968 -0,0171 -0,1113 -0,1916 -0,2459 -0,2485 -0,1699 0,0054 0,2598 0,5434 0,8001 0,9970 1,1340 1,2291 1,2892 1,2857 1,1607 0,8802 0,4890 0,1053 -0,1499 -0,2152 -0,0930 0,1754 0,5218 0,8661 1,1392 1,2850 1,2559 1,0396 0,6911 0,3108 -0,0166 -0,2611 -0,4341 -0,5543 -0,6182 -0,5871 -0,4153 -0,1053 0,2761 0,6419 0,9340 1,1332 1,2511 1,3189 1,3607 1,3752 1,3405 1,2289 1,0238 0,7267 0,3590 -0,0302 -0,3707 -0,6059 -0,7213 -0,7417 -0,7137 -0,6874 -0,7029 -0,7830 -0,9372 -1,1623 -1,4331 -1,7006 -1,9094 -2,0169 -2,0034 -1,8806 -1,6907 -1,4915 -1,3326 -1,2403 -1,2332 -1,3319 -1,5358 -1,7989 -2,0456 -2,2153 -2,2934 -2,2961 -2,2259 -2,0547 -1,7576 -1,3630 -0,9714 -0,7137 -0,6654 -0,7924 -0,9858 -1,1389 -1,1857 -1,1046 -0,9163 -0,6736 -0,4294 -0,1998 0,0426 0,3240 0,6128 0,8327 0,9366 0,9397 0,8776 0,7571 0,5550 0,2665 -0,0537 -0,3009 -0,3688 -0,2071 0,1415 0,5676 0,9778 1,3443 1,6775 1,9763 2,2203 2,3965 2,5216 2,6345 2,7661 2,9094 3,0267 3,0931 3,1223 3,1488 3,1972 3,2685 3,3448 3,3888 3,3356 3,1134 2,6951 2,1371 1,5664 1,1159 0,8535 0,7632 0,7780 0,8195 0,8251 0,7556 0,6046 0,4175 0,2761 0,2401 0,3106 0,4511 0,6318 0,8486 1,1048 1,3891 1,6698 1,9116 2,0995 2,2450 2,3658 2,4508 2,4403 2,2522 1,8400 1,2299 0,5302 -0,0912 -0,4805 -0,5751 -0,4176 -0,1229 0,1698 0,3478 0,3611 0,2345 0,0469 -0,1192 -0,2210 -0,2460 -0,1739 0,0330 0,3938 0,8739 1,3999 1,9008 2,3205 2,6167 2,7618 2,7320 2,5084 2,1080 1,5986 1,0670 0,5729 0,1289 -0,2839 -0,6773 -1,0190 -1,2437 -1,3203 -1,2977 -1,2777 -1,3412 -1,4832 -1,6152 -1,6373 -1,5113 -1,2769 -1,0182 -0,8111 -0,6904 -0,6510 -0,6692 -0,7222 -0,7897 -0,8446 -0,8594 -0,8279 -0,7750 -0,7450 -0,7713 -0,8389 -0,8823 -0,8303 -0,6696 -0,4759 -0,3639 -0,3923 -0,5374 -0,7564 -1,0342 -1,3587 -1,6914 -1,9839 -2,2091 -2,3692 -2,4734 -2,5142 -2,4832 -2,4071 -2,3335 -2,2809 -2,2343 -2,1818 -2,1169 -2,0188 -1,8619 -1,6379 -1,3582 -1,0553 -0,7860 -0,6144 -0,5756 -0,6592 -0,8329 -1,0615 -1,2926 -1,4572 -1,5028 -1,4005 -1,1284 -0,6979 -0,1861 0,3024 0,7042 1,0158 1,2674 1,4810 1,6355 1,6800 1,5869 1,3696 1,0490 0,6458 0,2114 -0,1691 -0,4098 -0,4460 -0,2582 0,0964 0,4863 0,7608 0,8365 0,7522 0,6277 0,5571 0,5575 0,6194 0,7601 0,9974 1,2893 1,5193 1,5493 1,3010 0,8089 0,1944 -0,4088 -0,9072 -1,2613 -1,4809 -1,5979 -1,6343 -1,6086 -1,5696 -1,5861 -1,6975 -1,9084 -2,2277 -2,6825 -3,2915 -4,0254 -4,7963 -5,5076 -6,1232 -6,6766 -7,2198 -7,7685 -8,2878 -8,7162 -8,9918 -9,0694 -8,9397 -8,6442 -8,2707 -7,9330 -7,7385 -7,7411 -7,9056 -8,1312 -8,3276 -8,4571 -8,5092 -8,4667 -8,3116 -8,0477 -7,6963 -7,2791 -6,8253 -6,3727 -5,9425 -5,5289 -5,1196 -4,7033 -4,2649 -3,8000 -3,3318 -2,8925 -2,4807 -2,0588 -1,6069 -1,1635 -0,7987 -0,5519 -0,4088 -0,3315 -0,2900 -0,2681 -0,2609 -0,2650 -0,2728 -0,2779 -0,2772 -0,2706 -0,2647 -0,2602 -0,2405 -0,1908 -0,1273 -0,0887 -0,1005 -0,1537 -0,2191 -0,2822 -0,3586 -0,4741 -0,6475 -0,8938 -1,2265 -1,6527 -2,1616 -2,7050 -3,1942 -3,5378 -3,6991 -3,7221 -3,7019 -3,7256 -3,8334 -4,0202 -4,2589 -4,5208 -4,7758 -4,9745 -5,0653 -5,0472 -4,9710 -4,8689 -4,7261 -4,5357 -4,3424 -4,2200 -4,2225 -4,3603 -4,6094 -4,9326 -5,2865 -5,6213 -5,9012 -6,1276 -6,3112 -6,4228 -6,4117 -6,2723 -6,0741 -5,9420 -5,9975 -6,2769 -6,6958 -7,1029 -7,3689 -7,4343 -7,3150 -7,0852 -6,8308 -6,5950 -6,3669 -6,1241 -5,8783
F7    -0,3039 -0,5635 -0,7953 -0,9441 -1,0371 -1,1407 -1,2747 -1,3888 -1,4234 -1,3699 -1,2704 -1,1569 -1,0008 -0,7390 -0,3561 0,0753 0,4447 0,6821 0,7832 0,7769 0,6969 0,5871 0,5078 0,5138 0,6181 0,7661 0,8445 0,7507 0,4745 0,1072 -0,2121 -0,3404 -0,1797 0,2526 0,8066 1,2872 1,5615 1,5874 1,3797 0,9946 0,5317 0,1130 -0,1670 -0,2819 -0,2663 -0,1759 -0,0776 -0,0590 -0,1873 -0,4315 -0,6526 -0,7093 -0,5736 -0,3312 -0,1008 0,0428 0,1134 0,1994 0,3984 0,7633 1,2778 1,8474 2,3174 2,5293 2,3870 1,8944 1,1549 0,3422 -0,3688 -0,8724 -1,1416 -1,2017 -1,1166 -0,9705 -0,8511 -0,8541 -1,0681 -1,5103 -2,0800 -2,5796 -2,7916 -2,5671 -1,8924 -0,9133 0,0946 0,8507 1,2312 1,3091 1,2468 1,1760 1,1533 1,1704 1,1833 1,1550 1,0867 1,0049 0,9223 0,8202 0,6661 0,4381 0,1196 -0,3224 -0,9274 -1,6928 -2,5412 -3,3431 -3,9710 -4,3315 -4,3721 -4,1103 -3,6695 -3,2264 -2,8923 -2,6653 -2,4899 -2,3281 -2,1827 -2,0911 -2,1048 -2,2609 -2,5679 -3,0113 -3,5476 -4,0902 -4,5177 -4,7257 -4,6924 -4,4885 -4,2307 -4,0451 -4,0361 -4,2328 -4,5544 -4,8459 -4,9773 -4,9360 -4,8189 -4,7252 -4,6694 -4,5844 -4,3690 -3,9440 -3,3037 -2,5349 -1,7773 -1,1325 -0,5984 -0,1080 0,3793 0,8496 1,2676 1,6023 1,8442 2,0128 2,1222 2,1391 2,0096 1,7325 1,3897 1,1039 0,9469 0,8699 0,7569 0,5570 0,3377 0,2173 0,2771 0,5377 0,9719 1,5018 1,9956 2,3100 2,3687 2,2183 1,9906 1,7943 1,6553 1,5562 1,4913 1,4531 1,3920 1,2273 0,9085 0,4582 -0,0437 -0,5181 -0,9235 -1,2310 -1,3886 -1,3578 -1,1790 -0,9486 -0,7284 -0,5170 -0,2974 -0,0672 0,1634 0,3632 0,4912 0,5379 0,5403 0,5449 0,5702 0,5963 0,5869 0,5417 0,5225 0,6022 0,7720 0,9169 0,8946 0,6303 0,1410 -0,4977 -1,1960 -1,8757 -2,4647 -2,8739 -2,9984 -2,7793 -2,2771 -1,6700 -1,1562 -0,8279 -0,6319 -0,4495 -0,2018 0,1148 0,4546 0,7571 0,9635 1,0252 0,9177 0,6588 0,3258 0,0348 -0,1314 -0,1812 -0,1933 -0,2483 -0,3779 -0,5577 -0,7267 -0,8162 -0,7939 -0,7023 -0,6445 -0,7102 -0,9148 -1,2185 -1,5921 -2,0268 -2,4833 -2,8630 -3,0348 -2,8941 -2,4290 -1,7518 -1,0509 -0,4990 -0,1832 -0,0860 -0,1229 -0,1976 -0,2142 -0,0696 0,3142 0,9161 1,5649 2,0069 2,0745 1,7922 1,3274 0,8781 0,5893 0,5107 0,6095 0,8416 1,1949 1,6485 2,1283 2,5359 2,8143 2,9819 3,1017 3,2207 3,3494 3,4765 3,5691 3,5669 3,4043 3,0395 2,4713 1,7521 0,9950 0,3501 -0,0310 -0,0149 0,4660 1,3251 2,3088 3,1218 3,5731 3,6320 3,3894 2,9842 2,5588 2,2418 2,1075 2,1443 2,2790 2,4277 2,5401 2,6080 2,6403 2,6397 2,6032 2,5362 2,4692 2,4479 2,4820 2,5067 2,4151 2,1347 1,6676 1,0741 0,4377 -0,1636 -0,6679 -1,0319 -1,2350 -1,2605 -1,0643 -0,5970 0,1183 0,9416 1,6720 2,1527 2,3197 2,2171 2,0048 1,8811 1,9492 2,1813 2,4909 2,7862 2,9727 2,9731 2,7570 2,3379 1,7564 1,0883 0,4618 0,0181 -0,1779 -0,1640 -0,0206 0,1864 0,4308 0,7358 1,1449 1,6570 2,1808 2,5614 2,6681 2,4621 1,9858 1,3102 0,5099 -0,3146 -1,0179 -1,4510 -1,5391 -1,3253 -0,9434 -0,5571 -0,3030 -0,2380 -0,3277 -0,4971 -0,6745 -0,8005 -0,8373 -0,7741 -0,6152 -0,3764 -0,0987 0,1574 0,3336 0,3804 0,2511 -0,0801 -0,5742 -1,1236 -1,6162 -1,9687 -2,1079 -1,9971 -1,6948 -1,3348 -1,0496 -0,9296 -1,0102 -1,2724 -1,6736 -2,1680 -2,6867 -3,1420 -3,4692 -3,6310 -3,5939 -3,3432 -2,9038 -2,3336 -1,7231 -1,1820 -0,7938 -0,5887 -0,5405 -0,5697 -0,5916 -0,5873 -0,6097 -0,7225 -0,9467 -1,2581 -1,6217 -2,0054 -2,3509 -2,5759 -2,6432 -2,5898 -2,4696 -2,3067 -2,1086 -1,8913 -1,6922 -1,5604 -1,5150 -1,5126 -1,4730 -1,3503 -1,1790 -1,0474 -1,0272 -1,1235 -1,2781 -1,4231 -1,5332 -1,6146 -1,6427 -1,5326 -1,1889 -0,5935 0,1463 0,8408 1,3162 1,4832 1,3451 0,9777 0,4988 0,0244 -0,3718 -0,6731 -0,8960 -1,0453 -1,0905 -0,9971 -0,7717 -0,4711 -0,1771 0,0379 0,1353 0,1023 -0,0792 -0,4420 -0,9995 -1,7028 -2,4384 -3,0657 -3,4689 -3,6110 -3,5730 -3,5201 -3,6011 -3,8759 -4,3223 -4,8692 -5,4187 -5,8745 -6,1790 -6,3246 -6,3468 -6,3229 -6,3434 -6,4405 -6,5486 -6,5702 -6,4785 -6,3398 -6,2500 -6,2770 -6,4389 -6,6943 -6,9597 -7,1645 -7,2878 -7,3288 -7,2654 -7,0682 -6,7237 -6,2160 -5,5334 -4,7173 -3,8662 -3,0562 -2,2807 -1,5003 -0,7462 -0,1330 0,2466 0,4176 0,4915 0,5449 0,5598 0,4869 0,3309 0,1517 0,0021 -0,1105 -0,2021 -0,2750 -0,3139 -0,3023 -0,2458 -0,1916 -0,2140 -0,3575 -0,5910 -0,8285 -0,9890 -1,0422 -1,0170 -0,9720 -0,9572 -0,9967 -1,0888 -1,2113 -1,3272 -1,3966 -1,3987 -1,3584 -1,3580 -1,5130 -1,9008 -2,4962 -3,1624 -3,7016 -3,9390 -3,8072 -3,3687 -2,7578 -2,1029 -1,4956 -1,0085 -0,7126 -0,6615 -0,8605 -1,2602 -1,7849 -2,3679 -2,9526 -3,4683 -3,8284 -3,9691 -3,9020 -3,7339 -3,6139 -3,6370 -3,8017 -4,0593 -4,3767 -4,7466 -5,1641 -5,6069 -6,0314 -6,3794 -6,5957 -6,6492 -6,5480 -6,3401 -6,0923 -5,8488 -5,6087 -5,3461 -5,0532 -4,7661 -4,5522 -4,4679 -4,5038
