Fp1   0,4944 0,5203 0,6554 0,8111 0,9076 0,9023 0,7693 0,4734 -0,0161 -0,6889 -1,4555 -2,1393 -2,5527 -2,6078 -2,3513 -1,9351 -1,5696 -1,4329 -1,5741 -1,9108 -2,3055 -2,6148 -2,6954 -2,4472 -1,8882 -1,1640 -0,4595 0,0982 0,4569 0,5956 0,4982 0,1762 -0,2911 -0,7523 -1,0319 -1,0089 -0,6746 -0,1223 0,5124 1,1112 1,6023 1,9567 2,1801 2,3257 2,4865 2,7394 3,1078 3,5735 4,0976 4,6376 5,1543 5,6068 5,9653 6,2247 6,3948 6,4933 6,5437 6,5658 6,5662 6,5242 6,3854 6,1022 5,6958 5,2616 4,8974 4,6257 4,3844 4,0939 3,7418 3,3893 3,1069 2,9363 2,8967 2,9853 3,1799 3,4671 3,8460 4,2822 4,6645 4,8438 4,7329 4,3549 3,8128 3,2467 2,8046 2,6084 2,7140 3,0932 3,6336 4,1544 4,4680 4,4754 4,2087 3,7747 3,2828 2,8340 2,5222 2,3943 2,4075 2,4492 2,4137 2,2651 2,0257 1,7274 1,4217 1,2238 1,2827 1,6798 2,3874 3,3240 4,3983 5,4928 6,4561 7,1424 7,4596 7,3925 6,9922 6,3352 5,4885 4,5154 3,4861 2,4720 1,5430 0,7690 0,2045 -0,1222 -0,2033 -0,0412 0,3606 1,0000 1,8314 2,7113 3,4489 3,9381 4,2097 4,3536 4,4125 4,3389 4,0419 3,4738 2,6769 1,7728 0,9266 0,2916 -0,0608 -0,1608 -0,0722 0,1911 0,6581 1,3274 2,1264 2,9156 3,5040 3,7049 3,4425 2,8188 2,0692 1,4624 1,2123 1,4157 2,0247 2,8558 3,6462 4,1653 4,3231 4,2038 4,0164 3,9775 4,1758 4,5352 4,8918 5,0912 5,0656 4,8741 4,6580 4,5329 4,5218 4,5622 4,5570 4,4460 4,2498 4,0518 3,9404 3,9473 4,0169 4,0346 3,8960 3,5558 3,0201 2,3356 1,6044 0,9745 0,5910 0,5455 0,8487 1,4304 2,1675 2,9217 3,5621 3,9842 4,1195 3,9536 3,5705 3,1482 2,8622 2,7907 2,9066 3,1312 3,3875 3,6197 3,7851 3,8671 3,8998 3,9268 3,9331 3,8717 3,7479 3,6256 3,5600 3,5616 3,6048 3,6410 3,6335 3,5936 3,5734 3,6422 3,8437 4,1397 4,4175 4,5669 4,5456 4,3844 4,1469 3,8868 3,6392 3,4200 3,2124 2,9865 2,7360 2,4697 2,1742 1,8111 1,3668 0,9009 0,5213 0,3098 0,2738 0,3440 0,4076 0,3680 0,1948 -0,0702 -0,3423 -0,5501 -0,6837 -0,7864 -0,8960 -0,9987 -1,0386 -0,9667 -0,7797 -0,5116 -0,2045 0,0859 0,2624 0,1998 -0,1640 -0,7445 -1,3677 -1,9145 -2,3821 -2,8354 -3,3310 -3,8562 -4,3288 -4,6673 -4,8374 -4,8251 -4,6235 -4,2847 -3,9470 -3,7638 -3,7999 -3,9911 -4,1753 -4,1693 -3,8689 -3,3072 -2,6185 -1,9561 -1,4336 -1,1210 -1,0688 -1,3069 -1,8112 -2,4730 -3,1115 -3,5552 -3,7414 -3,7364 -3,6560 -3,5827 -3,5570 -3,5988 -3,7033 -3,8439 -3,9914 -4,1102 -4,1502 -4,0622 -3,8273 -3,4796 -3,1047 -2,7999 -2,6236 -2,5821 -2,6400 -2,7159 -2,6905 -2,4565 -1,9912 -1,4060 -0,9012 -0,6365 -0,6490 -0,8889 -1,2915 -1,8042 -2,3736 -2,9164 -3,3129 -3,4534 -3,2980 -2,8983 -2,3782 -1,8911 -1,5524 -1,3798 -1,3081 -1,2796 -1,3090 -1,4466 -1,7093 -2,0693 -2,4762 -2,8721 -3,2131 -3,4884 -3,7058 -3,8499 -3,8771 -3,7723 -3,5921 -3,4308 -3,3710 -3,4700 -3,7363 -4,0843 -4,3274 -4,2521 -3,7483 -2,9080 -1,9870 -1,2406 -0,7846 -0,5847 -0,5246 -0,4746 -0,3609 -0,2100 -0,1210 -0,2046 -0,5325 -1,1038 -1,8579 -2,7078 -3,5424 -4,2346 -4,6977 -4,9298 -4,9929 -4,9545 -4,8575 -4,7343 -4,6129 -4,4900 -4,3204 -4,0463 -3,6360 -3,1154 -2,5781 -2,1403 -1,8662 -1,7589 -1,8007 -1,9482 -2,1036 -2,1603 -2,0946 -1,9817 -1,9169 -1,9386 -2,0300 -2,1720 -2,3711 -2,6449 -2,9946 -3,3888 -3,7615 -4,0207 -4,0662 -3,8271 -3,3019 -2,5683 -1,7651 -1,0672 -0,6536 -0,6473 -1,0527 -1,7445 -2,5183 -3,1653 -3,5384 -3,5923 -3,3839 -3,0276 -2,6449 -2,3354 -2,1470 -2,0596 -2,0204 -1,9878 -1,9379 -1,8449 -1,6708 -1,3894 -1,0129 -0,5655 -0,0465 0,5398 1,1361 1,6493 2,0037 2,1611 2,1185 1,9085 1,5846 1,2071 0,8596 0,6514 0,6704 0,9234 1,3151 1,6763 1,8382 1,7087 1,2967 0,6943 0,0490 -0,4766 -0,7532 -0,7191 -0,3962 0,1112 0,6503 1,0878 1,3707 1,5168 1,5496 1,4654 1,2725 1,0380 0,8649 0,8115 0,8495 0,9099 0,9592 1,0272 1,1625 1,3506 1,4924 1,4686 1,2223 0,8006 0,3203 -0,1088 -0,4235 -0,6003 -0,6474 -0,5951 -0,4737 -0,2992 -0,0649 0,2820 0,8317 1,6096 2,4708 3,1362 3,3387 2,9534 2,0614 0,9220 -0,1549 -0,9526 -1,4129 -1,6103 -1,6828 -1,7623 -1,9274 -2,1947 -2,5223 -2,8232 -3,0193 -3,0953 -3,0948 -3,1000 -3,2186 -3,5354 -4,0392 -4,6045 -5,0684 -5,3283 -5,3554 -5,1496 -4,7273 -4,1380 -3,4499 -2,7154 -1,9508 -1,1529 -0,3377 0,4440 1,1354 1,7139 2,1951 2,6026 2,9569 3,2951 3,6614 4,0580 4,4330 4,7361 4,9757 5,2111 5,4889 5,8031 6,1189 6,4238 6,7514 7,1471 7,6023 8,0321 8,3342 8,4678 8,4616 8,3436 8,0960 7,6886 7,1328 6,4956 5,8781 5,3656 4,9929 4,7719 4,7327 4,9166 5,3572 6,0539 6,9155 7,7546 8,3673 8,6187 8,4801 8,0165 7,3453 6,5861 5,8210 5,0946 4,4564 3,9876 3,7744 3,8428 4,1088 4,3907 4,4983 4,3473 4,0094 3,6541 3,4392 3,4188 3,5221 3,6293 3,6796 3,7089 3,7953 3,9765 4,2191 4,4542 4,6086 4,5994
Fz    1,5789 1,3742 1,1692 0,9504 0,7099 0,4377 0,1289 -0,1995 -0,5043 -0,7356 -0,8632 -0,8871 -0,8373 -0,7661 -0,7297 -0,7686 -0,8990 -1,1098 -1,3663 -1,6284 -1,8713 -2,0857 -2,2572 -2,3604 -2,3748 -2,2995 -2,1530 -1,9627 -1,7543 -1,5452 -1,3447 -1,1572 -0,9852 -0,8259 -0,6677 -0,4958 -0,3000 -0,0692 0,2171 0,5798 1,0164 1,4938 1,9711 2,4318 2,8844 3,3371 3,7849 4,2128 4,5997 4,9265 5,1901 5,4083 5,6048 5,7826 5,9096 5,9334 5,8097 5,5221 5,0891 4,5574 3,9846 3,4256 2,9266 2,5173 2,2023 1,9638 1,7729 1,6035 1,4397 1,2772 1,1226 0,9956 0,9193 0,8988 0,9104 0,9173 0,8954 0,8385 0,7449 0,6126 0,4517 0,2892 0,1534 0,0600 0,0146 0,0162 0,0559 0,1131 0,1595 0,1674 0,1203 0,0155 -0,1431 -0,3484 -0,5801 -0,8032 -0,9808 -1,0868 -1,1121 -1,0675 -0,9762 -0,8608 -0,7448 -0,6605 -0,6309 -0,6342 -0,6051 -0,4786 -0,2288 0,1246 0,5323 0,9423 1,3235 1,6664 1,9687 2,2192 2,3886 2,4386 2,3428 2,1042 1,7606 1,3711 0,9969 0,6877 0,4744 0,3638 0,3423 0,3794 0,4326 0,4616 0,4433 0,3712 0,2496 0,0915 -0,0816 -0,2419 -0,3600 -0,4190 -0,4254 -0,4033 -0,3794 -0,3761 -0,4109 -0,4978 -0,6452 -0,8531 -1,1059 -1,3650 -1,5704 -1,6578 -1,5836 -1,3436 -0,9715 -0,5176 -0,0262 0,4671 0,9298 1,3387 1,6854 1,9658 2,1789 2,3332 2,4420 2,5146 2,5590 2,5899 2,6357 2,7307 2,8878 3,0849 3,2818 3,4450 3,5629 3,6454 3,7048 3,7389 3,7346 3,6789 3,5665 3,4056 3,2164 3,0221 2,8372 2,6640 2,4949 2,3106 2,0845 1,8018 1,4721 1,1259 0,8057 0,5531 0,3890 0,3094 0,3018 0,3570 0,4681 0,6270 0,8204 1,0277 1,2201 1,3658 1,4471 1,4715 1,4660 1,4645 1,4998 1,5955 1,7604 1,9885 2,2615 2,5524 2,8324 3,0711 3,2358 3,3067 3,2994 3,2651 3,2592 3,3098 3,4136 3,5517 3,6975 3,8155 3,8691 3,8419 3,7458 3,6059 3,4429 3,2653 3,0729 2,8688 2,6661 2,4805 2,3205 2,1807 2,0453 1,9049 1,7695 1,6581 1,5811 1,5316 1,4940 1,4580 1,4224 1,3907 1,3663 1,3469 1,3273 1,3103 1,3113 1,3442 1,4074 1,4868 1,5617 1,6030 1,5734 1,4450 1,2153 0,9065 0,5491 0,1681 -0,2245 -0,6321 -1,0641 -1,5182 -1,9750 -2,4094 -2,8105 -3,1903 -3,5666 -3,9404 -4,2907 -4,5853 -4,7995 -4,9325 -5,0041 -5,0367 -5,0478 -5,0552 -5,0742 -5,1102 -5,1583 -5,2076 -5,2457 -5,2649 -5,2650 -5,2473 -5,2070 -5,1339 -5,0245 -4,8971 -4,7949 -4,7642 -4,8272 -4,9768 -5,1838 -5,4087 -5,6135 -5,7676 -5,8434 -5,8151 -5,6695 -5,4158 -5,0770 -4,6772 -4,2397 -3,7961 -3,3891 -3,0621 -2,8423 -2,7369 -2,7329 -2,7954 -2,8766 -2,9343 -2,9377 -2,8638 -2,6994 -2,4435 -2,1039 -1,6983 -1,2603 -0,8325 -0,4497 -0,1282 0,1333 0,3427 0,5069 0,6338 0,7319 0,8002 0,8235 0,7891 0,7023 0,5828 0,4575 0,3614 0,3271 0,3599 0,4288 0,4879 0,5053 0,4797 0,4383 0,4197 0,4523 0,5419 0,6704 0,8076 0,9297 1,0273 1,0969 1,1298 1,1094 1,0194 0,8575 0,6388 0,3824 0,1004 -0,2042 -0,5353 -0,8962 -1,2763 -1,6491 -1,9840 -2,2564 -2,4553 -2,5910 -2,6878 -2,7716 -2,8684 -3,0069 -3,2124 -3,4972 -3,8557 -4,2608 -4,6761 -5,0761 -5,4517 -5,7971 -6,0971 -6,3264 -6,4576 -6,4669 -6,3330 -6,0351 -5,5657 -4,9531 -4,2725 -3,6236 -3,0891 -2,7096 -2,4884 -2,4075 -2,4318 -2,5094 -2,5821 -2,6070 -2,5693 -2,4839 -2,3905 -2,3354 -2,3487 -2,4310 -2,5592 -2,6981 -2,8099 -2,8614 -2,8273 -2,6914 -2,4476 -2,1019 -1,6725 -1,1872 -0,6811 -0,1964 0,2250 0,5537 0,7839 0,9353 1,0346 1,0908 1,0938 1,0348 0,9219 0,7767 0,6230 0,4785 0,3548 0,2632 0,2167 0,2259 0,2935 0,4143 0,5786 0,7766 1,0006 1,2419 1,4912 1,7367 1,9599 2,1328 2,2261 2,2237 2,1325 1,9781 1,7888 1,5792 1,3456 1,0797 0,7856 0,4841 0,2042 -0,0336 -0,2310 -0,4112 -0,6049 -0,8354 -1,1077 -1,4037 -1,6910 -1,9324 -2,0913 -2,1421 -2,0807 -1,9231 -1,6956 -1,4308 -1,1667 -0,9375 -0,7631 -0,6537 -0,6138 -0,6291 -0,6608 -0,6648 -0,6164 -0,5147 -0,3772 -0,2324 -0,1158 -0,0662 -0,1145 -0,2682 -0,5062 -0,7888 -1,0723 -1,3213 -1,5130 -1,6386 -1,7044 -1,7264 -1,7183 -1,6855 -1,6339 -1,5808 -1,5486 -1,5520 -1,5950 -1,6719 -1,7673 -1,8669 -1,9708 -2,0897 -2,2318 -2,3957 -2,5742 -2,7574 -2,9366 -3,1053 -3,2573 -3,3897 -3,5085 -3,6277 -3,7628 -3,9268 -4,1264 -4,3513 -4,5680 -4,7328 -4,8149 -4,8024 -4,6914 -4,4809 -4,1747 -3,7796 -3,3021 -2,7504 -2,1351 -1,4728 -0,7895 -0,1137 0,5355 1,1478 1,7124 2,2179 2,6581 3,0303 3,3352 3,5793 3,7758 3,9422 4,0983 4,2618 4,4466 4,6624 4,9124 5,1910 5,4860 5,7771 6,0370 6,2399 6,3725 6,4367 6,4461 6,4205 6,3744 6,3085 6,2163 6,0971 5,9591 5,8144 5,6744 5,5460 5,4328 5,3431 5,2879 5,2660 5,2581 5,2359 5,1751 5,0598 4,8853 4,6585 4,3934 4,1011 3,7850 3,4448 3,0836 2,7089 2,3239 1,9274 1,5194 1,1084 0,7102 0,3436 0,0260 -0,2253 -0,3937 -0,4661 -0,4353 -0,3050 -0,0972 0,1500 0,3930 0,5970 0,7454 0,8405 0,8944
F3    0,6233 0,3504 0,1083 -0,1041 -0,2995 -0,5066 -0,7480 -1,0151 -1,2686 -1,4607 -1,5564 -1,5459 -1,4521 -1,3255 -1,2203 -1,1716 -1,1846 -1,2351 -1,2906 -1,3410 -1,4119 -1,5410 -1,7309 -1,9303 -2,0686 -2,1073 -2,0534 -1,9361 -1,7831 -1,6135 -1,4359 -1,2466 -1,0335 -0,7835 -0,4864 -0,1398 0,2471 0,6645 1,1134 1,5972 2,1005 2,5832 3,0045 3,3591 3,6778 3,9876 4,2856 4,5557 4,7878 4,9813 5,1482 5,3176 5,5251 5,7815 6,0453 6,2338 6,2695 6,1187 5,7958 5,3431 4,8142 4,2638 3,7352 3,2502 2,8106 2,4092 2,0397 1,6986 1,3848 1,0992 0,8504 0,6643 0,5740 0,5886 0,6769 0,7931 0,9072 1,0026 1,0551 1,0375 0,9510 0,8332 0,7252 0,6428 0,5807 0,5338 0,5075 0,5077 0,5227 0,5225 0,4759 0,3675 0,2032 0,0073 -0,1832 -0,3322 -0,4159 -0,4223 -0,3455 -0,1851 0,0504 0,3378 0,6306 0,8627 0,9816 0,9913 0,9577 0,9673 1,0799 1,3035 1,6017 1,9303 2,2722 2,6347 3,0196 3,3998 3,7184 3,9105 3,9311 3,7709 3,4593 3,0531 2,6143 2,1945 1,8308 1,5436 1,3366 1,1939 1,0806 0,9590 0,8063 0,6125 0,3730 0,0958 -0,1893 -0,4350 -0,5945 -0,6431 -0,5877 -0,4523 -0,2650 -0,0598 0,1206 0,2347 0,2539 0,1682 -0,0134 -0,2572 -0,5058 -0,6976 -0,7918 -0,7814 -0,6847 -0,5182 -0,2753 0,0586 0,4737 0,9347 1,4032 1,8429 2,2213 2,5169 2,7182 2,8192 2,8300 2,7822 2,7212 2,6909 2,7142 2,7850 2,8824 2,9895 3,1022 3,2219 3,3359 3,4149 3,4351 3,3937 3,3008 3,1717 3,0265 2,8876 2,7726 2,6860 2,6188 2,5482 2,4469 2,3075 2,1522 2,0156 1,9265 1,8988 1,9206 1,9550 1,9641 1,9389 1,9049 1,8967 1,9290 1,9933 2,0679 2,1236 2,1376 2,1103 2,0691 2,0553 2,1018 2,2192 2,3976 2,6166 2,8462 3,0496 3,1962 3,2682 3,2566 3,1646 3,0195 2,8755 2,7924 2,8057 2,9232 3,1342 3,4011 3,6540 3,8199 3,8684 3,8208 3,7208 3,6023 3,4744 3,3265 3,1496 2,9515 2,7529 2,5732 2,4168 2,2696 2,1124 1,9401 1,7676 1,6193 1,5086 1,4303 1,3686 1,3012 1,2039 1,0625 0,8807 0,6785 0,4891 0,3503 0,2931 0,3323 0,4606 0,6447 0,8295 0,9573 0,9895 0,9168 0,7538 0,5217 0,2328 -0,1149 -0,5300 -1,0055 -1,5036 -1,9689 -2,3601 -2,6724 -2,9333 -3,1691 -3,3800 -3,5444 -3,6359 -3,6398 -3,5594 -3,4036 -3,1735 -2,8740 -2,5334 -2,1997 -1,9184 -1,7165 -1,5986 -1,5522 -1,5573 -1,5913 -1,6285 -1,6450 -1,6301 -1,5916 -1,5539 -1,5517 -1,6134 -1,7473 -1,9402 -2,1655 -2,3952 -2,6071 -2,7768 -2,8671 -2,8396 -2,6802 -2,4097 -2,0663 -1,6852 -1,3003 -0,9577 -0,7181 -0,6305 -0,7065 -0,9226 -1,2342 -1,5789 -1,8857 -2,0968 -2,1806 -2,1327 -1,9740 -1,7392 -1,4579 -1,1501 -0,8391 -0,5541 -0,3194 -0,1445 -0,0248 0,0513 0,0971 0,1301 0,1672 0,2052 0,2109 0,1411 -0,0217 -0,2580 -0,5241 -0,7683 -0,9472 -1,0467 -1,0883 -1,1101 -1,1371 -1,1660 -1,1711 -1,1219 -0,9963 -0,7882 -0,5177 -0,2287 0,0348 0,2447 0,3847 0,4445 0,4225 0,3269 0,1764 -0,0011 -0,1872 -0,3869 -0,6185 -0,8940 -1,2036 -1,5090 -1,7546 -1,8915 -1,8994 -1,8016 -1,6597 -1,5424 -1,4929 -1,5261 -1,6420 -1,8340 -2,0930 -2,4055 -2,7448 -3,0728 -3,3539 -3,5674 -3,7094 -3,7848 -3,8008 -3,7659 -3,6858 -3,5528 -3,3417 -3,0282 -2,6180 -2,1563 -1,7095 -1,3353 -1,0642 -0,9008 -0,8305 -0,8178 -0,8114 -0,7663 -0,6633 -0,5107 -0,3422 -0,2140 -0,1839 -0,2814 -0,4908 -0,7568 -1,0048 -1,1681 -1,2092 -1,1278 -0,9530 -0,7276 -0,4954 -0,2889 -0,1208 0,0129 0,1185 0,1941 0,2329 0,2381 0,2316 0,2381 0,2583 0,2662 0,2332 0,1440 -0,0036 -0,1980 -0,4123 -0,6115 -0,7618 -0,8366 -0,8253 -0,7329 -0,5720 -0,3563 -0,0990 0,1827 0,4623 0,7055 0,8832 0,9785 0,9826 0,8887 0,6978 0,4290 0,1194 -0,1908 -0,4751 -0,7247 -0,9376 -1,1074 -1,2244 -1,2820 -1,2861 -1,2574 -1,2232 -1,2082 -1,2323 -1,3061 -1,4240 -1,5669 -1,7026 -1,7893 -1,7937 -1,7086 -1,5481 -1,3310 -1,0769 -0,8108 -0,5565 -0,3305 -0,1511 -0,0427 -0,0138 -0,0424 -0,0887 -0,1148 -0,0956 -0,0246 0,0825 0,1906 0,2580 0,2584 0,1917 0,0750 -0,0666 -0,2056 -0,3195 -0,3959 -0,4296 -0,4215 -0,3834 -0,3331 -0,2810 -0,2311 -0,1970 -0,2030 -0,2698 -0,4055 -0,6027 -0,8406 -1,0992 -1,3693 -1,6462 -1,9178 -2,1631 -2,3614 -2,5042 -2,6045 -2,6850 -2,7531 -2,7984 -2,8140 -2,8110 -2,8132 -2,8435 -2,9135 -3,0199 -3,1462 -3,2712 -3,3798 -3,4620 -3,5069 -3,5004 -3,4240 -3,2517 -2,9589 -2,5392 -2,0101 -1,4067 -0,7746 -0,1559 0,4261 0,9657 1,4633 1,9208 2,3409 2,7208 3,0533 3,3360 3,5777 3,7997 4,0323 4,3018 4,6186 4,9741 5,3432 5,6931 5,9928 6,2178 6,3506 6,3865 6,3347 6,2133 6,0491 5,8810 5,7493 5,6809 5,6795 5,7248 5,7809 5,8159 5,8125 5,7667 5,6855 5,5875 5,4927 5,4082 5,3277 5,2401 5,1347 5,0016 4,8363 4,6456 4,4425 4,2360 4,0262 3,8038 3,5543 3,2647 2,9294 2,5551 2,1601 1,7674 1,3968 1,0632 0,7776 0,5478 0,3764 0,2637 0,2146 0,2383 0,3350 0,4846 0,6498 0,7935 0,8969 0,9646 1,0134
F7    -0,6026 -0,7752 -0,8866 -0,9880 -1,0961 -1,2173 -1,3701 -1,5582 -1,7328 -1,8137 -1,7625 -1,6123 -1,4284 -1,2677 -1,1744 -1,1805 -1,2916 -1,4772 -1,6806 -1,8418 -1,9183 -1,8923 -1,7694 -1,5767 -1,3507 -1,1170 -0,8841 -0,6515 -0,4104 -0,1472 0,1405 0,4390 0,7319 1,0068 1,2550 1,4694 1,6431 1,7732 1,8653 1,9249 1,9577 1,9904 2,0767 2,2555 2,5095 2,7757 2,9932 3,1394 3,2308 3,2971 3,3626 3,4521 3,5931 3,7934 4,0193 4,2029 4,2763 4,2037 3,9907 3,6724 3,2942 2,8966 2,5125 2,1595 1,8312 1,5090 1,1864 0,8901 0,6836 0,6403 0,7990 1,1287 1,5329 1,9024 2,1685 2,3201 2,3894 2,4090 2,3815 2,2992 2,1706 2,0119 1,8293 1,6213 1,3987 1,2049 1,1039 1,1332 1,2657 1,4161 1,4949 1,4699 1,3743 1,2648 1,1757 1,1040 1,0377 0,9883 0,9772 1,0020 1,0308 1,0362 1,0352 1,0827 1,2227 1,4639 1,7980 2,2215 2,7278 3,2773 3,7975 4,2332 4,5851 4,8778 5,1133 5,2657 5,2944 5,1684 4,9017 4,5426 4,1240 3,6570 3,1605 2,6649 2,1867 1,7166 1,2525 0,8378 0,5417 0,4014 0,3915 0,4495 0,5249 0,6004 0,6715 0,7185 0,7105 0,6395 0,5371 0,4484 0,4022 0,4053 0,4443 0,4900 0,5174 0,5211 0,5137 0,5185 0,5622 0,6668 0,8414 1,0776 1,3550 1,6464 1,9194 2,1429 2,2951 2,3756 2,4127 2,4459 2,5018 2,5920 2,7261 2,9165 3,1616 3,4321 3,6853 3,8802 3,9763 3,9464 3,8008 3,5901 3,3866 3,2583 3,2392 3,3149 3,4468 3,6157 3,8266 4,0720 4,3121 4,4980 4,5982 4,5970 4,4831 4,2472 3,8987 3,4870 3,0908 2,7748 2,5653 2,4638 2,4645 2,5546 2,7045 2,8680 3,0051 3,1057 3,1756 3,2019 3,1591 3,0464 2,8912 2,7239 2,5672 2,4392 2,3580 2,3401 2,3877 2,4775 2,5619 2,5846 2,4982 2,2726 1,9050 1,4428 0,9857 0,6424 0,4817 0,5222 0,7450 1,1035 1,5321 1,9618 2,3332 2,6092 2,7829 2,8736 2,9100 2,9146 2,9002 2,8758 2,8445 2,7993 2,7275 2,6231 2,4923 2,3524 2,2296 2,1624 2,1949 2,3388 2,5445 2,7290 2,8225 2,7851 2,6058 2,3052 1,9378 1,5793 1,3021 1,1558 1,1523 1,2502 1,3663 1,4229 1,3874 1,2640 1,0656 0,8078 0,5169 0,2343 0,0169 -0,0820 -0,0513 0,0643 0,1929 0,2734 0,2741 0,1982 0,0828 -0,0131 -0,0353 0,0383 0,1913 0,3818 0,5591 0,6767 0,7002 0,6129 0,4245 0,1805 -0,0449 -0,1761 -0,1589 0,0222 0,3348 0,7121 1,0864 1,4130 1,6777 1,8831 2,0262 2,1026 2,1251 2,1134 2,0761 2,0133 1,9222 1,7955 1,6272 1,4221 1,2008 0,9948 0,8352 0,7423 0,7212 0,7599 0,8254 0,8598 0,8021 0,6370 0,4137 0,2042 0,0530 -0,0248 -0,0220 0,0623 0,2064 0,3689 0,5151 0,6363 0,7399 0,8350 0,9244 1,0007 1,0556 1,0964 1,1392 1,1925 1,2572 1,3306 1,3997 1,4415 1,4360 1,3708 1,2406 1,0532 0,8325 0,6123 0,4193 0,2526 0,0872 -0,0998 -0,3093 -0,5178 -0,6866 -0,7910 -0,8359 -0,8327 -0,7778 -0,6672 -0,5198 -0,3772 -0,2728 -0,2039 -0,1334 -0,0220 0,1415 0,3421 0,5536 0,7436 0,8788 0,9390 0,9257 0,8662 0,8072 0,7913 0,8337 0,9228 1,0279 1,1047 1,1127 1,0394 0,9026 0,7319 0,5547 0,3917 0,2505 0,1239 0,0110 -0,0649 -0,0649 0,0451 0,2792 0,6227 1,0351 1,4712 1,9019 2,3068 2,6520 2,8913 2,9934 2,9598 2,8225 2,6293 2,4270 2,2477 2,1030 1,9871 1,8867 1,7850 1,6706 1,5513 1,4450 1,3554 1,2840 1,2514 1,2758 1,3457 1,4260 1,4838 1,5144 1,5471 1,6171 1,7327 1,8713 2,0004 2,0916 2,1238 2,0932 2,0150 1,9067 1,7830 1,6638 1,5687 1,5029 1,4554 1,4112 1,3652 1,3206 1,2849 1,2774 1,3254 1,4422 1,6203 1,8439 2,0956 2,3458 2,5458 2,6463 2,6219 2,4763 2,2315 1,9192 1,5781 1,2601 1,0306 0,9342 0,9555 1,0390 1,1496 1,2890 1,4667 1,6828 1,9287 2,1790 2,3841 2,4900 2,4723 2,3497 2,1665 1,9690 1,7947 1,6652 1,5854 1,5559 1,5798 1,6536 1,7600 1,8711 1,9537 1,9810 1,9467 1,8691 1,7909 1,7698 1,8487 2,0309 2,2818 2,5481 2,7816 2,9536 3,0510 3,0633 2,9782 2,7982 2,5567 2,3094 2,1065 1,9786 1,9429 1,9976 2,1141 2,2526 2,3844 2,4923 2,5568 2,5585 2,4903 2,3478 2,1209 1,8080 1,4259 1,0017 0,5690 0,1728 -0,1327 -0,3058 -0,3302 -0,2110 0,0179 0,2958 0,5734 0,8359 1,0769 1,2672 1,3607 1,3283 1,1834 0,9801 0,7847 0,6508 0,6042 0,6379 0,7233 0,8374 0,9754 1,1438 1,3551 1,6207 1,9326 2,2583 2,5650 2,8402 3,0882 3,3144 3,5175 3,6925 3,8447 3,9972 4,1744 4,3866 4,6323 4,9025 5,1746 5,4170 5,6097 5,7595 5,8905 6,0226 6,1543 6,2588 6,2982 6,2415 6,0763 5,8110 5,4693 5,0840 4,6945 4,3464 4,0879 3,9622 3,9941 4,1714 4,4410 4,7342 5,0023 5,2280 5,4138 5,5731 5,7237 5,8705 5,9915 6,0433 5,9752 5,7527 5,3837 4,9231 4,4525 4,0453 3,7379 3,5299 3,4027 3,3282 3,2708 3,2028 3,1121 2,9935 2,8415 2,6516 2,4306 2,2014 1,9926 1,8253 1,7047 1,6160 1,5320 1,4326 1,3151
