Fp1   1,9143 1,9944 1,5493 0,7507 -0,1707 -1,0072 -1,6364 -2,0424 -2,2842 -2,4243 -2,4722 -2,3933 -2,1639 -1,8118 -1,4073 -1,0221 -0,6986 -0,4465 -0,2513 -0,0855 0,0733 0,2283 0,3679 0,4873 0,6003 0,7249 0,8621 0,9882 1,0637 1,0565 0,9573 0,7733 0,5307 0,2886 0,1192 0,0613 0,1078 0,2313 0,4045 0,5982 0,7772 0,9029 0,9436 0,8952 0,7895 0,6650 0,5280 0,3446 0,0673 -0,3290 -0,8178 -1,3248 -1,7626 -2,0503 -2,1016 -1,8219 -1,1462 -0,1036 1,1402 2,3159 3,1683 3,5791 3,5966 3,3545 2,9692 2,4915 1,9326 1,3248 0,7472 0,2894 0,0140 -0,0499 0,0970 0,4300 0,9133 1,5128 2,1955 2,9172 3,6049 4,1576 4,4753 4,4880 4,1697 3,5619 2,7945 2,0524 1,4979 1,2171 1,2085 1,4040 1,7081 2,0337 2,3222 2,5550 2,7497 2,9355 3,1313 3,3364 3,5331 3,6991 3,8176 3,8800 3,8904 3,8668 3,8407 3,8582 3,9737 4,2217 4,5942 5,0419 5,4827 5,8141 5,9443 5,8293 5,4886 4,9897 4,4098 3,7978 3,1608 2,4762 1,7244 0,9277 0,1646 -0,4627 -0,8803 -1,0634 -1,0193 -0,7756 -0,3857 0,0722 0,5160 0,8827 1,1376 1,2710 1,2961 1,2441 1,1557 1,0771 1,0598 1,1518 1,3792 1,7360 2,1985 2,7470 3,3682 4,0395 4,7311 5,4285 6,1323 6,8284 7,4707 7,9992 8,3792 8,6223 8,7659 8,8344 8,8233 8,7034 8,4305 7,9768 7,3667 6,6720 5,9810 5,3974 5,0551 5,0909 5,5807 6,5036 7,7567 9,1802 10,5743 11,7448 12,5842 13,1181 13,4614 13,7218 13,9405 14,1168 14,2650 14,4226 14,6069 14,7792 14,8572 14,7598 14,4507 13,9589 13,3802 12,8674 12,5903 12,6727 13,1401 13,9136 14,8402 15,7433 16,4746 16,9559 17,1983 17,2827 17,3133 17,3776 17,5266 17,7609 18,0384 18,2995 18,4783 18,4980 18,2856 17,8118 17,1162 16,2872 15,4284 14,6518 14,0939 13,9075 14,1952 14,9267 15,9265 16,9500 17,7839 18,3170 18,5592 18,6045 18,5631 18,5085 18,4562 18,3794 18,2525 18,0979 17,9874 17,9771 18,0432 18,0901 18,0170 17,7747 17,3762 16,8690 16,3025 15,7144 15,1408 14,6355 14,2778 14,1550 14,3147 14,7106 15,2002 15,6239 15,9020 16,0581 16,1551 16,2094 16,1589 15,9064 15,4038 14,7016 13,9224 13,1979 12,6305 12,2788 12,1389 12,1307 12,1241 12,0017 11,7054 11,2480 10,7157 10,2565 10,0253 10,1090 10,4859 11,0399 11,6080 12,0349 12,2138 12,1047 11,7381 11,2070 10,6299 10,0934 9,6219 9,2030 8,8399 8,5757 8,4820 8,6241 9,0180 9,6049 10,2631 10,8417 11,1901 11,1930 10,8207 10,1688 9,4379 8,8554 8,5938 8,7231 9,2031 9,9043 10,6436 11,2278 11,5112 11,4529 11,1297 10,6855 10,2593 9,9367 9,7374 9,6371 9,6027 9,6098 9,6303 9,6161 9,5053 9,2608 8,9156 8,5804 8,3871 8,4048 8,6072 8,9143 9,2469 9,5456 9,7667 9,8762 9,8569 9,7189 9,4906 9,2043 8,9015 8,6307 8,4169 8,2479 8,1037 7,9797 7,8819 7,8194 7,8045 7,8437 7,9231 8,0045 8,0408 8,0034 7,9061 7,8064 7,7768 7,8547 8,0096 8,1548 8,1922 8,0600 7,7604 7,3608 6,9814 6,7642 6,8144 7,1543 7,7221 8,3899 8,9871 9,3539 9,4048 9,1641 8,7547 8,3412 8,0512 7,9272 7,9370 8,0175 8,1093 8,1644 8,1358 7,9774 7,6695 7,2419 6,7629 6,3064 5,9392 5,7286 5,7337 5,9687 6,3720 6,8099 7,1192 7,1708 6,9362 6,5203 6,1204 5,9235 6,0254 6,4183 7,0143 7,6633 8,1875 8,4492 8,4050 8,1035 7,6481 7,1578 6,7394 6,4606 6,3296 6,3003 6,3131 6,3372 6,3743 6,4387 6,5543 6,7619 7,0993 7,5593 8,0715 8,5299 8,8487 9,0092 9,0674 9,1118 9,2007 9,3196 9,3953 9,3624 9,2246 9,0486 8,9002 8,7878 8,6646 8,4734 8,1941 7,8641 7,5461 7,2622 6,9673 6,5938 6,1195 5,5868 5,0697 4,6459 4,3910 4,3654 4,5778 4,9520 5,3466 5,6342 5,7783 5,8353 5,8895 5,9994 6,1909 6,4528 6,7181 6,8804 6,8540 6,6339 6,3122 6,0347 5,9225 6,0143 6,2626 6,5821 6,9003 7,1734 7,3721 7,4633 7,4056 7,1685 6,7578 6,2193 5,6279 5,0632 4,5609 4,0925 3,6208 3,1755 2,8727 2,8657 3,2552 4,0183 5,0111 6,0369 6,9163 7,5177 7,7561 7,6038 7,1197 6,4564 5,8056 5,3203 5,0772 5,0929 5,3485 5,7911 6,3345 6,8843 7,3560 7,6627 7,7212 7,4945 7,0350 6,4907 6,0454 5,8109 5,7601 5,7564 5,6373 5,2908 4,6932 3,9012 3,0247 2,2113 1,6326 1,4381 1,6904 2,3365 3,2439 4,2686 5,2939 6,2262 6,9787 7,4724 7,6504 7,4971 7,0507 6,4059 5,7006 5,0754 4,6223 4,3659 4,2849 4,3365 4,4619 4,5900 4,6537 4,6119 4,4730 4,3133 4,2512 4,3792 4,7109 5,1815 5,6849 6,1129 6,3865 6,4610 6,3114 5,9384 5,4003 4,8246 4,3582 4,0791 3,9493 3,8614 3,7346 3,5652 3,4082 3,3437 3,4559 3,8037 4,3855 5,1389 5,9658 6,7454 7,3420 7,6396 7,5838 7,1957 6,5570 5,7874 5,0271 4,4212 4,0903 4,0954 4,4144 4,9511 5,5684 6,1357 6,5761 6,8783 7,0667 7,1814 7,2797 7,4129 7,5702 7,6606 7,5727 7,2584 6,7723 6,2414 5,7949 5,5027 5,3606 5,3124 5,2982 5,3073 5,3916 5,6191 6,0143 6,5442 7,1436 7,7257 8,1845 8,4264
Fz    0,8624 0,8139 0,6045 0,2822 -0,0741 -0,3851 -0,5977 -0,7014 -0,7328 -0,7587 -0,8418 -1,0060 -1,2216 -1,4206 -1,5370 -1,5360 -1,4126 -1,1768 -0,8475 -0,4603 -0,0675 0,2788 0,5491 0,7491 0,9109 1,0582 1,1773 1,2282 1,1801 1,0335 0,8152 0,5618 0,3110 0,1034 -0,0206 -0,0342 0,0637 0,2416 0,4373 0,5760 0,6022 0,5044 0,3185 0,1079 -0,0678 -0,1733 -0,1989 -0,1505 -0,0439 0,0956 0,2414 0,3804 0,5102 0,6261 0,7189 0,7866 0,8402 0,8922 0,9442 0,9857 1,0061 1,0091 1,0190 1,0681 1,1715 1,3132 1,4580 1,5713 1,6274 1,6056 1,4970 1,3197 1,1171 0,9374 0,8216 0,8047 0,9103 1,1328 1,4260 1,7173 1,9375 2,0480 2,0571 2,0197 2,0095 2,0768 2,2309 2,4512 2,6988 2,9257 3,1012 3,2280 3,3252 3,4045 3,4684 3,5183 3,5595 3,6011 3,6549 3,7275 3,8078 3,8739 3,9186 3,9625 4,0381 4,1690 4,3591 4,5867 4,8124 4,9963 5,1097 5,1349 5,0635 4,9033 4,6872 4,4663 4,2833 4,1478 4,0360 3,9074 3,7215 3,4520 3,0986 2,6852 2,2456 1,8095 1,3989 1,0347 0,7411 0,5368 0,4216 0,3761 0,3737 0,3956 0,4423 0,5357 0,7076 0,9836 1,3658 1,8240 2,3043 2,7584 3,1697 3,5606 3,9749 4,4408 4,9512 5,4739 5,9668 6,3824 6,6727 6,8054 6,7834 6,6500 6,4744 6,3286 6,2622 6,2808 6,3429 6,3929 6,4056 6,3968 6,4044 6,4751 6,6528 6,9670 7,4245 8,0036 8,6507 9,2907 9,8515 10,2885 10,5983 10,8167 11,0012 11,2030 11,4392 11,6937 11,9436 12,1724 12,3564 12,4648 12,4864 12,4491 12,4083 12,4169 12,4997 12,6468 12,8182 12,9505 12,9801 12,8801 12,6796 12,4446 12,2426 12,1222 12,1124 12,2177 12,4059 12,6200 12,8107 12,9530 13,0420 13,0932 13,1454 13,2453 13,4184 13,6570 13,9284 14,1830 14,3650 14,4314 14,3768 14,2475 14,1255 14,0846 14,1557 14,3214 14,5320 14,7282 14,8643 14,9255 14,9250 14,8885 14,8438 14,8248 14,8716 15,0189 15,2824 15,6466 16,0609 16,4529 16,7502 16,8968 16,8735 16,7148 16,4946 16,2844 16,1206 15,9990 15,8919 15,7744 15,6428 15,5111 15,3988 15,3207 15,2810 15,2706 15,2683 15,2433 15,1606 14,9923 14,7362 14,4318 14,1491 13,9530 13,8682 13,8687 13,8976 13,9001 13,8442 13,7230 13,5462 13,3322 13,1087 12,9101 12,7625 12,6713 12,6217 12,5870 12,5324 12,4204 12,2272 11,9590 11,6474 11,3347 11,0574 10,8355 10,6748 10,5770 10,5444 10,5753 10,6593 10,7775 10,9123 11,0466 11,1534 11,2028 11,1892 11,1393 11,0887 11,0600 11,0602 11,0889 11,1478 11,2446 11,3824 11,5466 11,7053 11,8219 11,8709 11,8495 11,7787 11,6931 11,6311 11,6299 11,7162 11,8935 12,1399 12,4153 12,6684 12,8430 12,8878 12,7753 12,5253 12,2080 11,9128 11,6967 11,5615 11,4746 11,4071 11,3474 11,2903 11,2276 11,1560 11,0847 11,0243 10,9768 10,9372 10,8954 10,8389 10,7607 10,6699 10,5873 10,5262 10,4854 10,4614 10,4584 10,4839 10,5392 10,6131 10,6886 10,7512 10,7942 10,8198 10,8396 10,8721 10,9342 11,0287 11,1423 11,2559 11,3550 11,4332 11,4907 11,5310 11,5524 11,5466 11,5015 11,4025 11,2406 11,0205 10,7553 10,4608 10,1648 9,9095 9,7315 9,6428 9,6302 9,6672 9,7263 9,7801 9,7987 9,7624 9,6826 9,6001 9,5588 9,5852 9,6912 9,8806 10,1458 10,4573 10,7592 10,9856 11,0905 11,0676 10,9472 10,7729 10,5842 10,4138 10,2820 10,1873 10,1128 10,0424 9,9682 9,8924 9,8303 9,8033 9,8244 9,8880 9,9719 10,0437 10,0720 10,0441 9,9734 9,8811 9,7801 9,6825 9,6087 9,5769 9,5882 9,6266 9,6737 9,7149 9,7362 9,7275 9,6936 9,6556 9,6362 9,6467 9,6866 9,7436 9,7921 9,8026 9,7644 9,6954 9,6255 9,5799 9,5715 9,5902 9,6036 9,5785 9,4968 9,3548 9,1597 8,9277 8,6861 8,4745 8,3240 8,2271 8,1427 8,0304 7,8765 7,6964 7,5127 7,3319 7,1515 6,9861 6,8683 6,8183 6,8190 6,8256 6,8013 6,7436 6,6817 6,6590 6,7102 6,8379 7,0118 7,1936 7,3559 7,4817 7,5637 7,6066 7,6211 7,6120 7,5727 7,4970 7,3944 7,2826 7,1738 7,0825 7,0286 7,0267 7,0821 7,1960 7,3620 7,5591 7,7544 7,9124 8,0015 8,0003 7,9039 7,7307 7,5231 7,3298 7,1804 7,0804 7,0281 7,0273 7,0853 7,2072 7,3893 7,6104 7,8315 8,0145 8,1334 8,1764 8,1513 8,0825 7,9906 7,8751 7,7091 7,4546 7,0944 6,6536 6,1876 5,7481 5,3638 5,0416 4,7733 4,5446 4,3463 4,1732 4,0224 3,9043 3,8417 3,8488 3,9247 4,0669 4,2741 4,5283 4,7879 5,0037 5,1370 5,1700 5,1143 5,0076 4,8917 4,7919 4,7190 4,6757 4,6549 4,6476 4,6591 4,7090 4,8103 4,9530 5,1059 5,2310 5,2934 5,2712 5,1623 4,9823 4,7516 4,4864 4,2108 3,9714 3,8273 3,8150 3,9212 4,0902 4,2594 4,3876 4,4646 4,5052 4,5297 4,5486 4,5641 4,5801 4,6031 4,6360 4,6799 4,7418 4,8309 4,9462 5,0753 5,2062 5,3331 5,4447 5,5123 5,5038 5,4099 5,2482 5,0520 4,8651 4,7286 4,6526 4,6070 4,5541 4,4813 4,3994 4,3220 4,2573 4,2080 4,1725 4,1487 4,1333 4,1238 4,1264 4,1550 4,2134 4,2821 4,3256 4,3145 4,2416 4,1218 3,9794 3,8307 3,6781 3,5156
F3    0,5296 0,4324 0,2782 0,0882 -0,1003 -0,2422 -0,2996 -0,2644 -0,1722 -0,0920 -0,0992 -0,2423 -0,5184 -0,8734 -1,2279 -1,5045 -1,6420 -1,6009 -1,3693 -0,9775 -0,5006 -0,0267 0,3875 0,7360 1,0436 1,3196 1,5281 1,6089 1,5236 1,2779 0,9126 0,4875 0,0702 -0,2701 -0,4775 -0,5286 -0,4390 -0,2559 -0,0441 0,1342 0,2395 0,2661 0,2375 0,1904 0,1516 0,1237 0,0933 0,0550 0,0246 0,0289 0,0876 0,2033 0,3552 0,5011 0,5939 0,6029 0,5247 0,3817 0,2123 0,0594 -0,0480 -0,1020 -0,0984 -0,0225 0,1375 0,3690 0,6360 0,8941 1,1021 1,2294 1,2695 1,2433 1,1731 1,0572 0,8856 0,6785 0,4983 0,4149 0,4555 0,5870 0,7423 0,8639 0,9336 0,9782 1,0483 1,1834 1,3906 1,6479 1,9152 2,1498 2,3264 2,4351 2,4662 2,4125 2,2862 2,1254 1,9817 1,9016 1,9180 2,0431 2,2582 2,5148 2,7577 2,9501 3,0797 3,1573 3,2112 3,2677 3,3310 3,3844 3,4079 3,3918 3,3371 3,2531 3,1621 3,0969 3,0783 3,0956 3,1109 3,0751 2,9351 2,6487 2,2153 1,6901 1,1537 0,6662 0,2486 -0,0977 -0,3670 -0,5510 -0,6502 -0,6770 -0,6544 -0,6078 -0,5447 -0,4469 -0,2837 -0,0297 0,3248 0,7677 1,2689 1,7893 2,2923 2,7549 3,1738 3,5588 3,9240 4,2771 4,6059 4,8762 5,0437 5,0711 4,9504 4,7209 4,4641 4,2715 4,2022 4,2519 4,3572 4,4398 4,4582 4,4209 4,3717 4,3754 4,5055 4,8246 5,3621 6,0948 6,9440 7,7954 8,5368 9,0947 9,4505 9,6359 9,7133 9,7437 9,7621 9,7868 9,8436 9,9586 10,1261 10,3090 10,4771 10,6353 10,8091 11,0100 11,2250 11,4303 11,5972 11,6872 11,6623 11,5076 11,2415 10,9082 10,5653 10,2749 10,0945 10,0578 10,1531 10,3226 10,4879 10,5859 10,5943 10,5413 10,4968 10,5416 10,7238 11,0393 11,4488 11,9022 12,3463 12,7169 12,9493 13,0152 12,9384 12,7713 12,5613 12,3405 12,1309 11,9541 11,8364 11,8013 11,8523 11,9625 12,0854 12,1819 12,2382 12,2657 12,2924 12,3436 12,4234 12,5146 12,5893 12,6126 12,5562 12,4270 12,2748 12,1653 12,1393 12,1901 12,2696 12,3164 12,2879 12,1757 11,9965 11,7756 11,5407 11,3231 11,1462 11,0062 10,8726 10,7057 10,4755 10,1827 9,8744 9,6254 9,4887 9,4602 9,4919 9,5281 9,5306 9,4876 9,4085 9,3050 9,1815 9,0382 8,8680 8,6509 8,3741 8,0582 7,7512 7,4959 7,3169 7,2259 7,2169 7,2573 7,2949 7,2809 7,1913 7,0347 6,8461 6,6674 6,5248 6,4226 6,3608 6,3392 6,3421 6,3477 6,3593 6,4069 6,5122 6,6676 6,8489 7,0344 7,2108 7,3729 7,5157 7,6241 7,6802 7,6812 7,6375 7,5533 7,4224 7,2422 7,0331 6,8500 6,7683 6,8427 7,0702 7,3888 7,7084 7,9476 8,0533 8,0069 7,8309 7,5858 7,3426 7,1457 7,0006 6,8935 6,8227 6,8093 6,8745 7,0088 7,1701 7,3076 7,3787 7,3573 7,2460 7,0757 6,8848 6,7086 6,5811 6,5234 6,5229 6,5433 6,5619 6,5837 6,6277 6,7094 6,8241 6,9410 7,0224 7,0493 7,0288 6,9868 6,9651 7,0081 7,1344 7,3237 7,5402 7,7623 7,9830 8,1830 8,3167 8,3315 8,1991 7,9264 7,5446 7,1024 6,6576 6,2598 5,9395 5,7113 5,5753 5,5141 5,5005 5,5092 5,5224 5,5261 5,5074 5,4579 5,3832 5,3080 5,2659 5,2815 5,3587 5,4841 5,6406 5,8206 6,0259 6,2554 6,4933 6,7091 6,8652 6,9294 6,8849 6,7408 6,5373 6,3267 6,1410 5,9846 5,8462 5,7099 5,5697 5,4486 5,3969 5,4572 5,6305 5,8743 6,1274 6,3369 6,4759 6,5418 6,5410 6,4835 6,3899 6,2874 6,1931 6,1106 6,0474 6,0233 6,0483 6,1001 6,1378 6,1414 6,1288 6,1323 6,1709 6,2509 6,3709 6,5127 6,6422 6,7339 6,7838 6,7992 6,7918 6,7761 6,7512 6,6904 6,5634 6,3617 6,1037 5,8252 5,5716 5,3934 5,3259 5,3544 5,4148 5,4412 5,4074 5,3272 5,2241 5,0993 4,9265 4,6866 4,4095 4,1718 4,0462 4,0506 4,1465 4,2846 4,4367 4,5894 4,7308 4,8452 4,9074 4,8928 4,8065 4,6852 4,5685 4,4811 4,4350 4,4321 4,4663 4,5283 4,6105 4,7120 4,8345 4,9749 5,1282 5,2899 5,4503 5,5952 5,7144 5,7990 5,8314 5,7903 5,6714 5,5003 5,3219 5,1788 5,0990 5,0880 5,1206 5,1474 5,1236 5,0348 4,8981 4,7510 4,6394 4,6056 4,6730 4,8409 5,0854 5,3563 5,5899 5,7474 5,8351 5,8810 5,8973 5,8666 5,7577 5,5532 5,2649 4,9303 4,5906 4,2657 3,9468 3,6136 3,2663 2,9349 2,6510 2,4253 2,2557 2,1392 2,0709 2,0496 2,0916 2,2241 2,4561 2,7656 3,1129 3,4515 3,7322 3,9202 4,0131 4,0342 4,0147 3,9828 3,9611 3,9666 4,0119 4,1019 4,2321 4,3873 4,5358 4,6318 4,6367 4,5391 4,3567 4,1219 3,8631 3,5933 3,3190 3,0588 2,8487 2,7253 2,7079 2,7875 2,9243 3,0634 3,1662 3,2282 3,2614 3,2733 3,2694 3,2709 3,3147 3,4294 3,6177 3,8667 4,1597 4,4709 4,7642 5,0107 5,2018 5,3363 5,3959 5,3406 5,1373 4,7952 4,3701 3,9427 3,5967 3,3929 3,3381 3,3866 3,4774 3,5658 3,6270 3,6501 3,6325 3,5773 3,4938 3,3990 3,3201 3,2934 3,3547 3,5214 3,7772 4,0699 4,3285 4,4883 4,5069 4,3759 4,1211 3,7836 3,3997 3,0030
F7    0,8375 1,0166 1,0722 0,9798 0,7754 0,5384 0,3331 0,1687 0,0098 -0,1810 -0,4103 -0,6497 -0,8569 -1,0053 -1,1053 -1,1966 -1,3137 -1,4539 -1,5727 -1,6035 -1,4881 -1,2058 -0,7892 -0,3109 0,1563 0,5705 0,9218 1,2131 1,4477 1,6289 1,7525 1,8008 1,7616 1,6553 1,5244 1,3969 1,2685 1,1104 0,8842 0,5635 0,1603 -0,2711 -0,6626 -0,9656 -1,1694 -1,2989 -1,3912 -1,4696 -1,5445 -1,6326 -1,7524 -1,9009 -2,0392 -2,0956 -1,9895 -1,6810 -1,1995 -0,6117 0,0241 0,6595 1,2441 1,7370 2,1165 2,3676 2,4653 2,3762 2,0810 1,6004 0,9953 0,3390 -0,3021 -0,8651 -1,2889 -1,5274 -1,5559 -1,3685 -0,9841 -0,4603 0,1085 0,6227 1,0199 1,2900 1,4557 1,5416 1,5609 1,5184 1,4195 1,2744 1,0927 0,8861 0,6918 0,5853 0,6413 0,8754 1,2237 1,5776 1,8439 1,9863 2,0194 1,9727 1,8725 1,7597 1,7014 1,7587 1,9407 2,1994 2,4714 2,7107 2,8863 2,9753 2,9717 2,8883 2,7398 2,5235 2,2168 1,8022 1,2990 0,7631 0,2533 -0,1826 -0,4978 -0,6543 -0,6492 -0,5240 -0,3503 -0,2051 -0,1457 -0,1895 -0,3161 -0,4875 -0,6613 -0,8017 -0,8961 -0,9551 -0,9869 -0,9828 -0,9310 -0,8310 -0,6869 -0,4990 -0,2707 -0,0182 0,2432 0,5225 0,8474 1,2276 1,6364 2,0357 2,4037 2,7382 3,0476 3,3410 3,6210 3,8784 4,0890 4,2198 4,2504 4,1862 4,0519 3,8829 3,7211 3,5999 3,5329 3,5214 3,5709 3,6973 3,9142 4,2111 4,5513 4,8950 5,2249 5,5588 5,9416 6,4177 6,9958 7,6286 8,2311 8,7261 9,0802 9,3080 9,4518 9,5534 9,6373 9,7140 9,7860 9,8473 9,8838 9,8796 9,8223 9,7094 9,5597 9,4156 9,3240 9,3097 9,3665 9,4665 9,5777 9,6803 9,7691 9,8404 9,8807 9,8738 9,8211 9,7502 9,6991 9,6968 9,7626 9,9097 10,1235 10,3424 10,4823 10,4921 10,3960 10,2803 10,2255 10,2495 10,3102 10,3427 10,2889 10,1136 9,8158 9,4355 9,0492 8,7422 8,5674 8,5247 8,5788 8,6924 8,8481 9,0426 9,2549 9,4219 9,4537 9,2858 8,9223 8,4358 7,9218 7,4535 7,0731 6,8016 6,6415 6,5820 6,6015 6,6600 6,7064 6,7118 6,6891 6,6689 6,6553 6,6133 6,5014 6,3086 6,0587 5,7876 5,5303 5,3323 5,2451 5,2906 5,4374 5,6196 5,7726 5,8482 5,8096 5,6338 5,3309 4,9568 4,5951 4,3150 4,1345 4,0133 3,8777 3,6601 3,3370 2,9470 2,5688 2,2690 2,0703 1,9714 1,9731 2,0774 2,2782 2,5646 2,9243 3,3308 3,7305 4,0504 4,2219 4,2088 4,0283 3,7502 3,4581 3,2052 3,0069 2,8656 2,7928 2,8060 2,9025 3,0339 3,1134 3,0640 2,8639 2,5576 2,2347 1,9874 1,8641 1,8528 1,9096 2,0024 2,1213 2,2465 2,3270 2,3057 2,1576 1,8938 1,5525 1,2044 0,9482 0,8729 1,0048 1,2799 1,5724 1,7658 1,8126 1,7362 1,5945 1,4502 1,3509 1,3155 1,3364 1,3913 1,4518 1,4944 1,5127 1,5134 1,5001 1,4712 1,4284 1,3787 1,3418 1,3575 1,4676 1,6822 1,9697 2,2738 2,5406 2,7357 2,8385 2,8316 2,7082 2,4924 2,2437 2,0312 1,9011 1,8684 1,9316 2,0814 2,2860 2,4792 2,5772 2,5161 2,2835 1,9224 1,5109 1,1269 0,8121 0,5617 0,3503 0,1619 -0,0038 -0,1367 -0,2249 -0,2666 -0,2730 -0,2529 -0,2036 -0,1158 0,0195 0,2006 0,4000 0,5662 0,6461 0,6078 0,4542 0,2191 -0,0509 -0,3142 -0,5429 -0,7162 -0,8007 -0,7490 -0,5329 -0,1836 0,2077 0,5418 0,7721 0,9219 1,0509 1,2024 1,3693 1,5008 1,5365 1,4397 1,2152 0,9047 0,5610 0,2232 -0,0772 -0,3007 -0,4091 -0,3874 -0,2474 -0,0154 0,2753 0,5876 0,8886 1,1579 1,3845 1,5570 1,6664 1,7198 1,7413 1,7580 1,7902 1,8475 1,9236 1,9894 2,0014 1,9226 1,7342 1,4376 1,0495 0,5956 0,1111 -0,3529 -0,7324 -0,9698 -1,0396 -0,9601 -0,7796 -0,5457 -0,2945 -0,0552 0,1552 0,3409 0,5177 0,6953 0,8696 1,0171 1,0933 1,0484 0,8639 0,5809 0,2851 0,0603 -0,0295 0,0626 0,3415 0,7428 1,1662 1,5365 1,8197 2,0034 2,0847 2,0702 1,9728 1,8098 1,6108 1,4183 1,2687 1,1769 1,1423 1,1574 1,2124 1,3036 1,4408 1,6410 1,9131 2,2440 2,5956 2,9122 3,1335 3,2080 3,1107 2,8597 2,5130 2,1405 1,7993 1,5359 1,3939 1,4096 1,5977 1,9303 2,3231 2,6634 2,8641 2,8944 2,7747 2,5629 2,3363 2,1600 2,0571 2,0096 1,9834 1,9416 1,8441 1,6549 1,3693 1,0393 0,7633 0,6299 0,6712 0,8632 1,1515 1,4795 1,8118 2,1389 2,4540 2,7320 2,9415 3,0699 3,1250 3,1158 3,0465 2,9279 2,7854 2,6500 2,5417 2,4601 2,3955 2,3498 2,3447 2,4039 2,5273 2,6878 2,8519 3,0086 3,1779 3,3808 3,5959 3,7529 3,7767 3,6383 3,3716 3,0459 2,7213 2,4329 2,2033 2,0427 1,9389 1,8643 1,8021 1,7569 1,7351 1,7255 1,7156 1,7231 1,7944 1,9711 2,2733 2,7025 3,2268 3,7686 4,2263 4,5118 4,5797 4,4429 4,1663 3,8420 3,5580 3,3767 3,3320 3,4297 3,6431 3,9149 4,1745 4,3613 4,4370 4,3833 4,1993 3,9051 3,5445 3,1784 2,8703 2,6747 2,6242 2,7034 2,8423 2,9555 2,9952 2,9673 2,9147 2,8937 2,9542 3,1274 3,4183 3,8010 4,2210 4,6059 4,8859 5,0164
