Fp1   0,6377 0,6770 0,9370 1,2332 1,3910 1,3434 1,1459 0,9303 0,8348 0,9364 1,2187 1,6053 2,0158 2,3828 2,6347 2,6921 2,4974 2,0472 1,4062 0,6918 0,0223 -0,5310 -0,9372 -1,1861 -1,3155 -1,4410 -1,6899 -2,0753 -2,4745 -2,7230 -2,7008 -2,3791 -1,8472 -1,2714 -0,7796 -0,3813 -0,0080 0,3817 0,7546 1,0441 1,2034 1,2103 1,0451 0,6809 0,0952 -0,6984 -1,6178 -2,5276 -3,2927 -3,8194 -4,0669 -4,0432 -3,7976 -3,4096 -2,9677 -2,5327 -2,0957 -1,5771 -0,8999 -0,0820 0,7395 1,3592 1,5889 1,3312 0,6141 -0,4167 -1,5345 -2,4874 -3,0627 -3,1366 -2,7056 -1,8934 -0,8893 0,1489 1,1264 1,9679 2,5793 2,8763 2,8356 2,4977 1,9409 1,2781 0,6431 0,1352 -0,2268 -0,4894 -0,6969 -0,8391 -0,8790 -0,8313 -0,8021 -0,9323 -1,2967 -1,8637 -2,5457 -3,2500 -3,8909 -4,3989 -4,7359 -4,8957 -4,8954 -4,7753 -4,6090 -4,4995 -4,5281 -4,6837 -4,8584 -4,9288 -4,8343 -4,5670 -4,1219 -3,5053 -2,7612 -1,9436 -1,0858 -0,2217 0,5907 1,2861 1,8283 2,2403 2,6038 3,0042 3,4540 3,8721 4,1449 4,1960 3,9983 3,5688 2,9748 2,3083 1,6278 0,9279 0,1653 -0,6933 -1,6451 -2,6440 -3,5976 -4,4049 -5,0310 -5,5326 -5,9994 -6,4641 -6,8540 -7,0442 -6,9696 -6,6802 -6,3148 -6,0433 -6,0000 -6,2236 -6,6506 -7,1646 -7,6462 -7,9895 -8,1007 -7,9118 -7,4146 -6,6662 -5,7656 -4,8476 -4,0803 -3,6096 -3,4889 -3,6724 -4,0634 -4,5488 -5,0051 -5,3160 -5,4102 -5,2834 -4,9973 -4,6679 -4,4285 -4,3725 -4,5232 -4,8434 -5,2554 -5,6465 -5,8790 -5,8384 -5,4962 -4,9306 -4,2852 -3,7032 -3,3034 -3,1972 -3,4772 -4,1647 -5,1789 -6,3371 -7,3732 -8,0132 -8,1040 -7,7028 -7,0492 -6,4272 -6,0313 -5,9488 -6,2089 -6,7878 -7,5963 -8,5290 -9,5234 -10,5303 -11,4432 -12,0914 -12,3100 -12,0155 -11,2335 -10,0961 -8,8219 -7,6568 -6,7933 -6,3257 -6,2572 -6,5179 -6,9830 -7,5195 -8,0407 -8,5137 -8,9073 -9,1355 -9,0685 -8,6173 -7,8097 -6,7802 -5,7020 -4,7209 -3,9256 -3,3569 -3,0207 -2,8968 -2,9656 -3,2352 -3,7272 -4,4167 -5,1887 -5,8784 -6,3633 -6,6082 -6,6536 -6,5976 -6,5645 -6,6165 -6,6601 -6,4728 -5,8623 -4,8235 -3,5579 -2,3509 -1,4349 -0,9421 -0,9184 -1,3451 -2,1686 -3,3269 -4,7253 -6,1852 -7,4782 -8,4327 -8,9885 -9,1611 -8,9922 -8,5577 -7,9848 -7,4055 -6,8887 -6,4408 -6,0704 -5,8307 -5,7783 -5,8865 -6,0234 -6,0237 -5,7787 -5,2812 -4,6260 -3,9824 -3,5364 -3,4017 -3,5386 -3,7637 -3,8786 -3,7985 -3,5465 -3,1694 -2,7253 -2,3228 -2,0990 -2,1460 -2,4630 -2,9523 -3,4489 -3,7871 -3,8804 -3,7409 -3,4168 -2,9362 -2,3533 -1,8261 -1,5877 -1,8005 -2,4175 -3,1860 -3,8150 -4,1517 -4,2147 -4,1045 -3,9054 -3,6397 -3,2814 -2,8161 -2,3001 -1,8535 -1,5788 -1,5055 -1,6214 -1,9278 -2,4342 -3,0887 -3,7343 -4,1630 -4,2166 -3,8414 -3,0980 -2,1449 -1,1800 -0,3684 0,1844 0,4255 0,3496 -0,0039 -0,5613 -1,2245 -1,8742 -2,3902 -2,7109 -2,8741 -2,9938 -3,2073 -3,6170 -4,2291 -4,9414 -5,5947 -6,0327 -6,1474 -5,9280 -5,4689 -4,9001 -4,3041 -3,7003 -3,0889 -2,4969 -1,9876 -1,6201 -1,4145 -1,3755 -1,5195 -1,8398 -2,2693 -2,6944 -2,9972 -3,1090 -3,0470 -2,8801 -2,6476 -2,3326 -1,9172 -1,4322 -0,9301 -0,4433 -0,0032 0,3285 0,4858 0,4576 0,3065 0,1297 0,0030 -0,0563 -0,0902 -0,1647 -0,3196 -0,5394 -0,7727 -0,9709 -1,1044 -1,1630 -1,1555 -1,0996 -1,0022 -0,8429 -0,5893 -0,2480 0,1222 0,4585 0,7388 0,9770 1,1842 1,3376 1,4029 1,3730 1,2547 1,0359 0,6821 0,1599 -0,5229 -1,2814 -1,9660 -2,4231 -2,5771 -2,4795 -2,2775 -2,1230 -2,1065 -2,2481 -2,5195 -2,8687 -3,2296 -3,5207 -3,6715 -3,6693 -3,5722 -3,4734 -3,4464 -3,5069 -3,6137 -3,7037 -3,7226 -3,6276 -3,4060 -3,1198 -2,8991 -2,8503 -2,9631 -3,1120 -3,1498 -3,0094 -2,7400 -2,4719 -2,3495 -2,4755 -2,8919 -3,5750 -4,4414 -5,3829 -6,3014 -7,1028 -7,6990 -8,0497 -8,1629 -8,0471 -7,7167 -7,2423 -6,7562 -6,3991 -6,2480 -6,2749 -6,3809 -6,4931 -6,6369 -6,9077 -7,3697 -7,9824 -8,6100 -9,0926 -9,3130 -9,2270 -8,8718 -8,3550 -7,8185 -7,3927 -7,1478 -7,0687 -7,0899 -7,1802 -7,3829 -7,7560 -8,2936 -8,9147 -9,5019 -9,9392 -10,1395 -10,0710 -9,7755 -9,3547 -8,9209 -8,5427 -8,2146 -7,8544 -7,3503 -6,6669 -5,9191 -5,3167 -5,0287 -5,1032 -5,4694 -5,9665 -6,3934 -6,5993 -6,5505 -6,3061 -5,9537 -5,5790 -5,2812 -5,1844 -5,4005 -5,9662 -6,8352 -7,9340 -9,1983 -10,5599 -11,9058 -13,0405 -13,7305 -13,8469 -13,4653 -12,8112 -12,1131 -11,5070 -11,0426 -10,7232 -10,5203 -10,3838 -10,2820 -10,2502 -10,3565 -10,5948 -10,8581 -11,0443 -11,1588 -11,2857 -11,4651 -11,6262 -11,6434 -11,4376 -11,0238 -10,4958 -9,9816 -9,5977 -9,4167 -9,4558 -9,6842 -10,0389 -10,4419 -10,8308 -11,1973 -11,5974 -12,1172 -12,8044 -13,6119 -14,4154 -15,0864 -15,5410 -15,7417 -15,6914 -15,4228 -14,9652 -14,3346 -13,5593 -12,6895 -11,7763 -10,8686 -10,0272 -9,3170 -8,7755 -8,3901 -8,0948 -7,7973 -7,4382 -7,0360 -6,6774 -6,4910 -6,6155 -7,1276 -7,9657 -8,9307 -9,7799 -10,3318 -10,5183 -10,3890 -10,0605 -9,6371 -9,1912 -8,8068 -8,5953 -8,6382 -8,9121 -9,2734 -9,5323 -9,5643 -9,3860 -9,1349 -8,9556 -8,8969 -8,9078 -8,8976 -8,7875 -8,5436 -8,1869 -7,7519
Fz    1,1089 1,0029 0,9906 1,0182 1,0265 0,9886 0,9220 0,8698 0,8716 0,9436 1,0768 1,2475 1,4242 1,5692 1,6433 1,6119 1,4511 1,1586 0,7647 0,3300 -0,0806 -0,4262 -0,6955 -0,8970 -1,0602 -1,2381 -1,4767 -1,7620 -2,0100 -2,1134 -1,9963 -1,6492 -1,1373 -0,5693 -0,0430 0,3909 0,7202 0,9421 1,0502 1,0435 0,9312 0,7281 0,4423 0,0659 -0,4183 -1,0061 -1,6465 -2,2548 -2,7537 -3,0999 -3,2814 -3,2988 -3,1513 -2,8435 -2,4017 -1,8754 -1,3074 -0,7104 -0,0845 0,5440 1,1103 1,5264 1,7104 1,6200 1,2780 0,7711 0,2267 -0,2185 -0,4490 -0,3991 -0,0742 0,4505 1,0655 1,6725 2,2015 2,6030 2,8425 2,9045 2,7962 2,5381 2,1579 1,6990 1,2249 0,8021 0,4718 0,2356 0,0705 -0,0499 -0,1504 -0,2654 -0,4424 -0,7245 -1,1162 -1,5716 -2,0227 -2,4166 -2,7280 -2,9554 -3,1092 -3,1945 -3,2083 -3,1550 -3,0599 -2,9608 -2,8778 -2,7900 -2,6454 -2,3955 -2,0216 -1,5279 -0,9196 -0,2026 0,6030 1,4694 2,3708 3,2762 4,1445 4,9415 5,6544 6,2914 6,8742 7,4233 7,9376 8,3836 8,7080 8,8583 8,7984 8,5218 8,0506 7,4172 6,6483 5,7649 4,7912 3,7632 2,7255 1,7230 0,7996 -0,0067 -0,6825 -1,2510 -1,7553 -2,2230 -2,6419 -2,9721 -3,1822 -3,2727 -3,2767 -3,2484 -3,2434 -3,2956 -3,4080 -3,5629 -3,7331 -3,8839 -3,9729 -3,9587 -3,8197 -3,5714 -3,2645 -2,9743 -2,7850 -2,7634 -2,9286 -3,2495 -3,6685 -4,1250 -4,5593 -4,9158 -5,1531 -5,2531 -5,2242 -5,1023 -4,9416 -4,7986 -4,7215 -4,7384 -4,8396 -4,9677 -5,0328 -4,9547 -4,7041 -4,3096 -3,8338 -3,3448 -2,9104 -2,6061 -2,5034 -2,6393 -2,9987 -3,5133 -4,0756 -4,5762 -4,9560 -5,2340 -5,4887 -5,8044 -6,2244 -6,7493 -7,3636 -8,0450 -8,7537 -9,4368 -10,0534 -10,5799 -10,9909 -11,2499 -11,3259 -11,2050 -10,8889 -10,3990 -9,7915 -9,1518 -8,5598 -8,0595 -7,6598 -7,3536 -7,1232 -6,9427 -6,7906 -6,6593 -6,5450 -6,4242 -6,2468 -5,9661 -5,5829 -5,1510 -4,7476 -4,4407 -4,2710 -4,2462 -4,3471 -4,5446 -4,8172 -5,1538 -5,5398 -5,9397 -6,2898 -6,5154 -6,5658 -6,4369 -6,1743 -5,8593 -5,5774 -5,3709 -5,2107 -5,0172 -4,7202 -4,3136 -3,8668 -3,4855 -3,2588 -3,2362 -3,4285 -3,8123 -4,3373 -4,9417 -5,5596 -6,1201 -6,5603 -6,8450 -6,9679 -6,9367 -6,7666 -6,4929 -6,1740 -5,8641 -5,5818 -5,3116 -5,0370 -4,7690 -4,5393 -4,3655 -4,2284 -4,0836 -3,8935 -3,6493 -3,3765 -3,1286 -2,9682 -2,9359 -3,0208 -3,1600 -3,2755 -3,3189 -3,2810 -3,1752 -3,0331 -2,9074 -2,8566 -2,9162 -3,0778 -3,2865 -3,4633 -3,5371 -3,4675 -3,2505 -2,9072 -2,4732 -2,0092 -1,6124 -1,3910 -1,4104 -1,6487 -2,0038 -2,3591 -2,6488 -2,8656 -3,0264 -3,1437 -3,2169 -3,2364 -3,1995 -3,1258 -3,0557 -3,0271 -3,0531 -3,1207 -3,2082 -3,2985 -3,3707 -3,3906 -3,3254 -3,1637 -2,9167 -2,6123 -2,2944 -2,0100 -1,7909 -1,6492 -1,5863 -1,6018 -1,6985 -1,8810 -2,1462 -2,4709 -2,8102 -3,1201 -3,3851 -3,6211 -3,8605 -4,1338 -4,4501 -4,7900 -5,1143 -5,3750 -5,5225 -5,5240 -5,3853 -5,1518 -4,8878 -4,6500 -4,4684 -4,3412 -4,2477 -4,1662 -4,0880 -4,0283 -4,0213 -4,0975 -4,2623 -4,4878 -4,7197 -4,9017 -5,0039 -5,0203 -4,9444 -4,7649 -4,4895 -4,1520 -3,7871 -3,4137 -3,0503 -2,7268 -2,4691 -2,2773 -2,1297 -2,0038 -1,8927 -1,8093 -1,7790 -1,8263 -1,9567 -2,1454 -2,3461 -2,5167 -2,6387 -2,7196 -2,7791 -2,8296 -2,8667 -2,8774 -2,8587 -2,8271 -2,8073 -2,8111 -2,8315 -2,8525 -2,8691 -2,8966 -2,9532 -3,0389 -3,1455 -3,2739 -3,4348 -3,6382 -3,8800 -4,1243 -4,3053 -4,3632 -4,2919 -4,1545 -4,0533 -4,0790 -4,2726 -4,6150 -5,0397 -5,4610 -5,8020 -6,0111 -6,0778 -6,0401 -5,9659 -5,9140 -5,9075 -5,9345 -5,9632 -5,9576 -5,8844 -5,7153 -5,4429 -5,1093 -4,8031 -4,6060 -4,5356 -4,5413 -4,5511 -4,5255 -4,4744 -4,4384 -4,4594 -4,5625 -4,7547 -5,0234 -5,3320 -5,6301 -5,8728 -6,0282 -6,0812 -6,0425 -5,9380 -5,7897 -5,6235 -5,4864 -5,4332 -5,4933 -5,6524 -5,8557 -6,0329 -6,1378 -6,1792 -6,2128 -6,2981 -6,4582 -6,6709 -6,8852 -7,0439 -7,1060 -7,0683 -6,9690 -6,8690 -6,8305 -6,8995 -7,0913 -7,3924 -7,7825 -8,2467 -8,7656 -9,3065 -9,8293 -10,2972 -10,6798 -10,9521 -11,0987 -11,1215 -11,0382 -10,8665 -10,6084 -10,2453 -9,7418 -9,0649 -8,2258 -7,3046 -6,4248 -5,6968 -5,1780 -4,8616 -4,6849 -4,5653 -4,4507 -4,3429 -4,2759 -4,2812 -4,3740 -4,5629 -4,8622 -5,2815 -5,8072 -6,4084 -7,0618 -7,7582 -8,4857 -9,2057 -9,8373 -10,2795 -10,4712 -10,4339 -10,2506 -10,0135 -9,7905 -9,6252 -9,5411 -9,5407 -9,6132 -9,7561 -9,9940 -10,3579 -10,8345 -11,3499 -11,8147 -12,1836 -12,4669 -12,6893 -12,8491 -12,9243 -12,9094 -12,8357 -12,7618 -12,7529 -12,8655 -13,1309 -13,5408 -14,0510 -14,6025 -15,1397 -15,6187 -16,0151 -16,3319 -16,5966 -16,8408 -17,0714 -17,2611 -17,3668 -17,3552 -17,2082 -16,9155 -16,4742 -15,8915 -15,1874 -14,3950 -13,5542 -12,7004 -11,8632 -11,0736 -10,3642 -9,7548 -9,2413 -8,7998 -8,4086 -8,0734 -7,8373 -7,7642 -7,9151 -8,3257 -8,9840 -9,8173 -10,7033 -11,5077 -12,1280 -12,5185 -12,6920 -12,7001 -12,6050 -12,4676 -12,3453 -12,2808 -12,2825 -12,3171 -12,3235 -12,2416 -12,0413 -11,7417 -11,4000 -11,0684 -10,7570 -10,4370 -10,0631 -9,5967 -9,0260 -8,3761 -7,6935
F3    1,2525 1,2801 1,4191 1,5897 1,7006 1,7018 1,6000 1,4387 1,2708 1,1362 1,0526 1,0182 1,0213 1,0488 1,0855 1,1053 1,0691 0,9468 0,7437 0,5015 0,2688 0,0709 -0,0916 -0,2279 -0,3606 -0,5391 -0,8148 -1,1814 -1,5553 -1,8201 -1,8884 -1,7404 -1,4296 -1,0524 -0,6971 -0,4079 -0,1908 -0,0430 0,0337 0,0431 -0,0031 -0,0923 -0,2208 -0,4007 -0,6563 -1,0004 -1,4110 -1,8356 -2,2188 -2,5197 -2,7112 -2,7744 -2,6982 -2,4845 -2,1540 -1,7383 -1,2564 -0,7077 -0,0953 0,5469 1,1498 1,6237 1,8828 1,8727 1,5900 1,0927 0,5003 -0,0271 -0,3336 -0,3226 0,0063 0,5634 1,2198 1,8578 2,3856 2,7343 2,8654 2,7818 2,5166 2,1075 1,5871 0,9989 0,4071 -0,1174 -0,5223 -0,7865 -0,9152 -0,9302 -0,8677 -0,7792 -0,7313 -0,7906 -0,9889 -1,3015 -1,6683 -2,0307 -2,3518 -2,6212 -2,8420 -3,0050 -3,0813 -3,0505 -2,9296 -2,7680 -2,6080 -2,4520 -2,2661 -2,0089 -1,6563 -1,1993 -0,6273 0,0693 0,8797 1,7702 2,6963 3,6069 4,4463 5,1712 5,7679 6,2522 6,6562 7,0157 7,3544 7,6656 7,9061 8,0123 7,9324 7,6560 7,2131 6,6433 5,9756 5,2307 4,4278 3,5841 2,7118 1,8262 0,9648 0,1814 -0,4932 -1,0739 -1,5971 -2,0744 -2,4722 -2,7410 -2,8620 -2,8610 -2,7908 -2,7148 -2,6915 -2,7547 -2,8988 -3,0844 -3,2566 -3,3588 -3,3367 -3,1489 -2,7904 -2,3063 -1,7770 -1,2996 -0,9729 -0,8683 -0,9963 -1,3065 -1,7243 -2,1861 -2,6439 -3,0546 -3,3767 -3,5794 -3,6562 -3,6317 -3,5485 -3,4516 -3,3855 -3,3877 -3,4658 -3,5781 -3,6479 -3,6053 -3,4259 -3,1393 -2,8112 -2,5138 -2,3091 -2,2521 -2,3900 -2,7444 -3,2969 -3,9837 -4,7009 -5,3362 -5,8188 -6,1515 -6,4031 -6,6590 -6,9677 -7,3354 -7,7565 -8,2243 -8,7147 -9,1879 -9,6119 -9,9684 -10,2325 -10,3662 -10,3354 -10,1229 -9,7268 -9,1700 -8,5177 -7,8662 -7,2994 -6,8534 -6,5237 -6,2973 -6,1616 -6,0960 -6,0787 -6,0970 -6,1350 -6,1499 -6,0749 -5,8597 -5,5126 -5,0975 -4,6964 -4,3754 -4,1710 -4,0933 -4,1339 -4,2734 -4,4895 -4,7644 -5,0842 -5,4257 -5,7420 -5,9734 -6,0762 -6,0423 -5,9019 -5,7176 -5,5605 -5,4703 -5,4227 -5,3396 -5,1413 -4,8069 -4,3940 -4,0022 -3,7184 -3,5906 -3,6332 -3,8370 -4,1732 -4,5966 -5,0455 -5,4410 -5,7027 -5,7775 -5,6562 -5,3682 -4,9672 -4,5266 -4,1333 -3,8576 -3,7176 -3,6809 -3,7029 -3,7575 -3,8303 -3,8907 -3,8879 -3,7747 -3,5340 -3,1889 -2,7991 -2,4482 -2,2242 -2,1889 -2,3419 -2,6107 -2,8940 -3,1201 -3,2627 -3,3237 -3,3281 -3,3276 -3,3831 -3,5356 -3,7834 -4,0774 -4,3389 -4,4874 -4,4650 -4,2515 -3,8623 -3,3394 -2,7625 -2,2551 -1,9471 -1,9065 -2,0950 -2,3903 -2,6669 -2,8668 -2,9983 -3,0904 -3,1583 -3,1953 -3,1818 -3,1089 -2,9997 -2,9029 -2,8597 -2,8778 -2,9343 -3,0017 -3,0717 -3,1441 -3,1991 -3,1994 -3,1169 -2,9464 -2,7097 -2,4576 -2,2527 -2,1360 -2,1117 -2,1604 -2,2583 -2,3888 -2,5429 -2,7117 -2,8758 -3,0070 -3,0906 -3,1456 -3,2146 -3,3424 -3,5579 -3,8530 -4,1768 -4,4585 -4,6387 -4,6813 -4,5821 -4,3766 -4,1278 -3,8971 -3,7209 -3,6026 -3,5217 -3,4532 -3,3840 -3,3215 -3,2979 -3,3564 -3,5226 -3,7868 -4,1063 -4,4223 -4,6837 -4,8641 -4,9546 -4,9458 -4,8320 -4,6300 -4,3725 -4,0772 -3,7428 -3,3808 -3,0319 -2,7401 -2,5207 -2,3579 -2,2264 -2,1117 -2,0173 -1,9621 -1,9691 -2,0519 -2,1999 -2,3767 -2,5416 -2,6751 -2,7842 -2,8811 -2,9655 -3,0257 -3,0492 -3,0310 -2,9792 -2,9136 -2,8536 -2,8070 -2,7683 -2,7319 -2,7017 -2,6774 -2,6483 -2,6142 -2,5981 -2,6324 -2,7432 -2,9376 -3,1847 -3,4144 -3,5534 -3,5751 -3,5209 -3,4762 -3,5230 -3,7020 -4,0029 -4,3754 -4,7517 -5,0659 -5,2682 -5,3423 -5,3192 -5,2627 -5,2334 -5,2624 -5,3497 -5,4723 -5,5926 -5,6671 -5,6538 -5,5292 -5,3175 -5,0891 -4,9102 -4,7936 -4,7001 -4,5820 -4,4261 -4,2618 -4,1383 -4,0978 -4,1653 -4,3480 -4,6276 -4,9534 -5,2576 -5,4862 -5,6140 -5,6428 -5,5986 -5,5140 -5,4101 -5,3064 -5,2385 -5,2506 -5,3732 -5,6056 -5,9089 -6,2139 -6,4562 -6,6206 -6,7498 -6,8999 -7,0876 -7,2780 -7,4098 -7,4287 -7,3160 -7,1087 -6,8854 -6,7301 -6,7045 -6,8349 -7,1087 -7,4914 -7,9563 -8,4915 -9,0766 -9,6664 -10,2009 -10,6255 -10,9022 -11,0109 -10,9508 -10,7447 -10,4408 -10,0964 -9,7517 -9,4054 -9,0059 -8,4778 -7,7866 -6,9862 -6,1978 -5,5411 -5,0785 -4,7989 -4,6364 -4,5133 -4,3858 -4,2595 -4,1694 -4,1491 -4,2161 -4,3799 -4,6554 -5,0566 -5,5765 -6,1899 -6,8765 -7,6277 -8,4271 -9,2236 -9,9185 -10,3917 -10,5711 -10,4812 -10,2222 -9,9089 -9,6256 -9,4207 -9,3120 -9,2870 -9,3155 -9,3865 -9,5370 -9,8230 -10,2510 -10,7557 -11,2508 -11,6924 -12,0881 -12,4482 -12,7478 -12,9451 -13,0272 -13,0273 -13,0050 -13,0212 -13,1264 -13,3515 -13,6935 -14,1145 -14,5581 -14,9708 -15,3185 -15,5945 -15,8168 -16,0197 -16,2373 -16,4784 -16,7112 -16,8811 -16,9384 -16,8476 -16,5898 -16,1692 -15,6110 -14,9461 -14,2020 -13,4021 -12,5666 -11,7160 -10,8801 -10,1014 -9,4231 -8,8716 -8,4454 -8,1229 -7,8861 -7,7413 -7,7206 -7,8710 -8,2350 -8,8215 -9,5814 -10,4081 -11,1696 -11,7525 -12,0943 -12,1956 -12,1083 -11,9055 -11,6643 -11,4617 -11,3584 -11,3721 -11,4677 -11,5750 -11,6191 -11,5527 -11,3781 -11,1405 -10,8887 -10,6418 -10,3920 -10,1206 -9,8071 -9,4350 -9,0037 -8,5293
