Fp1   5,7062 5,6712 5,4996 5,1868 4,8073 4,4509 4,1454 3,8515 3,5200 3,1337 2,7091 2,2828 1,8925 1,5604 1,2781 1,0127 0,7384 0,4509 0,1528 -0,1615 -0,4950 -0,8226 -1,0922 -1,2626 -1,3295 -1,3205 -1,2910 -1,3140 -1,4358 -1,6393 -1,8626 -2,0449 -2,1560 -2,1971 -2,1908 -2,1736 -2,1839 -2,2381 -2,3239 -2,4257 -2,5376 -2,6479 -2,7315 -2,7581 -2,6989 -2,5384 -2,3048 -2,0781 -1,9322 -1,8621 -1,7953 -1,6718 -1,4933 -1,3039 -1,1543 -1,0925 -1,1647 -1,3964 -1,7620 -2,1696 -2,4876 -2,6171 -2,5615 -2,4127 -2,2705 -2,1841 -2,1491 -2,1261 -2,0501 -1,8470 -1,4781 -0,9709 -0,4105 0,0872 0,4033 0,4539 0,2311 -0,1992 -0,7434 -1,3178 -1,8684 -2,3901 -2,9088 -3,4341 -3,9530 -4,4604 -4,9524 -5,4013 -5,7669 -6,0269 -6,1856 -6,2574 -6,2402 -6,1147 -5,8872 -5,6190 -5,3945 -5,2609 -5,2096 -5,2030 -5,1979 -5,1499 -5,0126 -4,7496 -4,3655 -3,9228 -3,5090 -3,1827 -2,9783 -2,9380 -3,0675 -3,2921 -3,5215 -3,7223 -3,8998 -4,0671 -4,2432 -4,4406 -4,6444 -4,8212 -4,9510 -5,0422 -5,1065 -5,1216 -5,0272 -4,7718 -4,3691 -3,9096 -3,5260 -3,3271 -3,3394 -3,5130 -3,7586 -3,9653 -4,0337 -3,9368 -3,7373 -3,5247 -3,3467 -3,2041 -3,0677 -2,8753 -2,5441 -2,0281 -1,3633 -0,6487 0,0086 0,5312 0,8826 1,0656 1,1121 1,0731 1,0146 0,9964 1,0348 1,0933 1,1317 1,1644 1,2607 1,4855 1,8549 2,3431 2,8911 3,4052 3,7864 3,9785 3,9754 3,7941 3,4586 2,9933 2,4161 1,7559 1,0762 0,4587 -0,0382 -0,4060 -0,6675 -0,8359 -0,9138 -0,9103 -0,8366 -0,7192 -0,6062 -0,5237 -0,4352 -0,2717 -0,0067 0,3152 0,6243 0,8663 0,9984 0,9959 0,8744 0,6803 0,4621 0,2540 0,0630 -0,1358 -0,3784 -0,6806 -1,0130 -1,3065 -1,4908 -1,5370 -1,4767 -1,3745 -1,2726 -1,1781 -1,1007 -1,0740 -1,1268 -1,2407 -1,3453 -1,3537 -1,2131 -0,9400 -0,6142 -0,3417 -0,2181 -0,2900 -0,5228 -0,8148 -1,0476 -1,1352 -1,0439 -0,7912 -0,4532 -0,1572 -0,0228 -0,0978 -0,3390 -0,6260 -0,8205 -0,8507 -0,7397 -0,5698 -0,4387 -0,4220 -0,5384 -0,7328 -0,8984 -0,9393 -0,8224 -0,5693 -0,2152 0,2148 0,6993 1,1954 1,6313 1,9439 2,1182 2,1817 2,1890 2,2044 2,2471 2,2634 2,1928 2,0267 1,7877 1,5057 1,2169 0,9493 0,7073 0,4718 0,2011 -0,1522 -0,6164 -1,2045 -1,9185 -2,7352 -3,6053 -4,4586 -5,2168 -5,8230 -6,2421 -6,4338 -6,3609 -6,0334 -5,5337 -4,9891 -4,5115 -4,1580 -3,9258 -3,7656 -3,6087 -3,4109 -3,1797 -2,9521 -2,7632 -2,6461 -2,6125 -2,6112 -2,5543 -2,3962 -2,1521 -1,8508 -1,5028 -1,1191 -0,7393 -0,4249 -0,2230 -0,1519 -0,2160 -0,4143 -0,7351 -1,1471 -1,6010 -2,0548 -2,4917 -2,8992 -3,2483 -3,5169 -3,7214 -3,8995 -4,0549 -4,1435 -4,1286 -4,0408 -3,9726 -4,0203 -4,2442 -4,6628 -5,2444 -5,9017 -6,5248 -7,0337 -7,4132 -7,7167 -8,0243 -8,3716 -8,7222 -9,0059 -9,1637 -9,1715 -9,0554 -8,8857 -8,7372 -8,6562 -8,6662 -8,7846 -9,0126 -9,3027 -9,5508 -9,6486 -9,5469 -9,2729 -8,8926 -8,4632 -8,0216 -7,5977 -7,2196 -6,8986 -6,6152 -6,3305 -6,0018 -5,6048 -5,1776 -4,8243 -4,6350 -4,6095 -4,6840 -4,7986 -4,9148 -5,0148 -5,1192 -5,2748 -5,5113 -5,8211 -6,1652 -6,4886 -6,7365 -6,8680 -6,8705 -6,7683 -6,6027 -6,3911 -6,1140 -5,7457 -5,2858 -4,7560 -4,1858 -3,6175 -3,1144 -2,7468 -2,5643 -2,5657 -2,6870 -2,8415 -2,9839 -3,1171 -3,2415 -3,3353 -3,3810 -3,3690 -3,2732 -3,0616 -2,7334 -2,3317 -1,9253 -1,5820 -1,3468 -1,2414 -1,2773 -1,4571 -1,7859 -2,2755 -2,9095 -3,6283 -4,3573 -5,0075 -5,4834 -5,7392 -5,7889 -5,6607 -5,3877 -5,0283 -4,6598 -4,3624 -4,2026 -4,2158 -4,3989 -4,7151 -5,0977 -5,4573 -5,7091 -5,8047 -5,7605 -5,6670 -5,6543 -5,8249 -6,1909 -6,6513 -7,0473 -7,2628 -7,2772 -7,1474 -6,9560 -6,7650 -6,6021 -6,4824 -6,4219 -6,4104 -6,3795 -6,2267 -5,8942 -5,4297 -4,9756 -4,7063 -4,7506 -5,1291 -5,7445 -6,4271 -6,9900 -7,2812 -7,2385 -6,9131 -6,4301 -5,9115 -5,4337 -5,0313 -4,7117 -4,4630 -4,2687 -4,1246 -4,0391 -4,0280 -4,1192 -4,3407 -4,6975 -5,1695 -5,7303 -6,3564 -7,0155 -7,6485 -8,1777 -8,5473 -8,7584 -8,8654 -8,9419 -9,0580 -9,2672 -9,5765 -9,9262 -10,2267 -10,4150 -10,4678 -10,3987 -10,2712 -10,1916 -10,2625 -10,5347 -10,9938 -11,5619 -12,1093 -12,4964 -12,6205 -12,4321 -11,9314 -11,1657 -10,2211 -9,1949 -8,1695 -7,2144 -6,3924 -5,7436 -5,2705 -4,9378 -4,6878 -4,4756 -4,2988 -4,1881 -4,1668 -4,2193 -4,2973 -4,3559 -4,3752 -4,3457 -4,2577 -4,1210 -3,9686 -3,8265 -3,6932 -3,5540 -3,3974 -3,2206 -3,0405 -2,8844 -2,7606 -2,6549 -2,5658 -2,5267 -2,5883 -2,7769 -3,0647 -3,3880 -3,6879 -3,9181 -4,0395 -4,0365 -3,9245 -3,7289 -3,4761 -3,2026 -2,9370 -2,6806 -2,4272 -2,1878 -1,9883 -1,8781 -1,9402 -2,2598 -2,8525 -3,6165 -4,3768 -4,9872 -5,3910 -5,6176 -5,7731 -6,0161 -6,4771 -7,1612 -7,9383 -8,6371 -9,1333 -9,3637 -9,3139 -9,0307 -8,6256 -8,2291 -7,9308 -7,7604 -7,7122 -7,7728 -7,9221 -8,1281 -8,3637 -8,6181 -8,8734 -9,0917 -9,2537 -9,3795 -9,4722 -9,4730 -9,3009 -8,9080 -8,2998 -7,5576 -6,8447 -6,3359 -6,1145 -6,1456 -6,3243 -6,5279 -6,6647 -6,7267 -6,7969 -6,9798 -7,3182 -7,7784 -8,2914
Fz    3,6732 3,5752 3,4134 3,1602 2,8387 2,5051 2,2005 1,9293 1,6790 1,4480 1,2470 1,0835 0,9474 0,8168 0,6781 0,5453 0,4470 0,3852 0,3158 0,1802 -0,0381 -0,2846 -0,4702 -0,5394 -0,5065 -0,4418 -0,4357 -0,5544 -0,8038 -1,1268 -1,4334 -1,6441 -1,7319 -1,7264 -1,6730 -1,6016 -1,5271 -1,4494 -1,3650 -1,2897 -1,2459 -1,2317 -1,2301 -1,2381 -1,2595 -1,2775 -1,2690 -1,2434 -1,2263 -1,2046 -1,1290 -0,9819 -0,8088 -0,6695 -0,5873 -0,5635 -0,6163 -0,7825 -1,0787 -1,4655 -1,8494 -2,1268 -2,2373 -2,1860 -2,0247 -1,8205 -1,6303 -1,4796 -1,3418 -1,1454 -0,8235 -0,3631 0,1805 0,6982 1,0645 1,1888 1,0587 0,7361 0,3120 -0,1317 -0,5465 -0,9369 -1,3438 -1,7970 -2,3043 -2,8707 -3,4810 -4,0689 -4,5412 -4,8374 -4,9535 -4,9217 -4,7808 -4,5611 -4,2935 -4,0250 -3,8110 -3,6836 -3,6342 -3,6202 -3,5788 -3,4451 -3,1753 -2,7721 -2,3067 -1,9074 -1,6929 -1,6955 -1,8645 -2,1330 -2,4409 -2,7183 -2,9110 -3,0137 -3,0468 -3,0256 -2,9682 -2,9037 -2,8603 -2,8620 -2,9430 -3,1394 -3,4413 -3,7585 -3,9602 -3,9674 -3,8040 -3,5660 -3,3592 -3,2504 -3,2485 -3,3272 -3,4486 -3,5622 -3,6192 -3,6051 -3,5369 -3,4262 -3,2667 -3,0519 -2,7867 -2,4681 -2,0712 -1,5804 -1,0310 -0,4914 -0,0153 0,3702 0,6471 0,7977 0,8143 0,7186 0,5715 0,4468 0,3775 0,3321 0,2608 0,1635 0,1032 0,1489 0,3186 0,5742 0,8432 1,0384 1,0918 0,9920 0,7851 0,5339 0,2749 0,0048 -0,3036 -0,6699 -1,0792 -1,4794 -1,8072 -2,0311 -2,1584 -2,2028 -2,1792 -2,1246 -2,0922 -2,1253 -2,2274 -2,3528 -2,4333 -2,4161 -2,2922 -2,1020 -1,9041 -1,7394 -1,6260 -1,5645 -1,5423 -1,5498 -1,5910 -1,6721 -1,7913 -1,9366 -2,0868 -2,2249 -2,3421 -2,4226 -2,4363 -2,3567 -2,1912 -1,9894 -1,8210 -1,7496 -1,8204 -2,0431 -2,3709 -2,7058 -2,9389 -2,9958 -2,8564 -2,5500 -2,1441 -1,7375 -1,4386 -1,3133 -1,3433 -1,4500 -1,5551 -1,6112 -1,5963 -1,5107 -1,3966 -1,3435 -1,4270 -1,6456 -1,9233 -2,1511 -2,2307 -2,1175 -1,8337 -1,4546 -1,0852 -0,8216 -0,7082 -0,7271 -0,8181 -0,9036 -0,9106 -0,7952 -0,5569 -0,2279 0,1508 0,5335 0,8672 1,1044 1,2177 1,2029 1,0914 0,9509 0,8277 0,7101 0,5762 0,4399 0,3256 0,2346 0,1480 0,0458 -0,0797 -0,2275 -0,4030 -0,6169 -0,8751 -1,1880 -1,5754 -2,0533 -2,6140 -3,2080 -3,7577 -4,2028 -4,5102 -4,6427 -4,5540 -4,2287 -3,7161 -3,1128 -2,5182 -2,0100 -1,6428 -1,4408 -1,3881 -1,4427 -1,5587 -1,6896 -1,7967 -1,8726 -1,9357 -1,9896 -2,0107 -1,9832 -1,9185 -1,8274 -1,6986 -1,5196 -1,3099 -1,1151 -0,9675 -0,8681 -0,8096 -0,8061 -0,8939 -1,0983 -1,4040 -1,7717 -2,1641 -2,5335 -2,8167 -2,9743 -3,0211 -3,0029 -2,9488 -2,8529 -2,7020 -2,5162 -2,3569 -2,2887 -2,3452 -2,5324 -2,8327 -3,1955 -3,5565 -3,8809 -4,1720 -4,4354 -4,6523 -4,7916 -4,8363 -4,7922 -4,6779 -4,5248 -4,3848 -4,3144 -4,3409 -4,4615 -4,6771 -5,0010 -5,4268 -5,8954 -6,3052 -6,5669 -6,6496 -6,5746 -6,3813 -6,1068 -5,7896 -5,4710 -5,1789 -4,9112 -4,6440 -4,3510 -4,0152 -3,6479 -3,3081 -3,0752 -2,9848 -3,0138 -3,1306 -3,3209 -3,5676 -3,8560 -4,1858 -4,5362 -4,8425 -5,0432 -5,1344 -5,1608 -5,1719 -5,1888 -5,2014 -5,1862 -5,1219 -4,9884 -4,7632 -4,4246 -3,9692 -3,4364 -2,9166 -2,5213 -2,3195 -2,3021 -2,4021 -2,5295 -2,5985 -2,5685 -2,4696 -2,3679 -2,3056 -2,2885 -2,3128 -2,3635 -2,3927 -2,3361 -2,1561 -1,8664 -1,5224 -1,1911 -0,9267 -0,7736 -0,7771 -0,9728 -1,3709 -1,9374 -2,5838 -3,2066 -3,7450 -4,1740 -4,4746 -4,6434 -4,6894 -4,6109 -4,4096 -4,1250 -3,8306 -3,6000 -3,4820 -3,4924 -3,6141 -3,8130 -4,0581 -4,3254 -4,5877 -4,8084 -4,9567 -5,0379 -5,1011 -5,2062 -5,3741 -5,5670 -5,7226 -5,8058 -5,8237 -5,8034 -5,7648 -5,7084 -5,6310 -5,5529 -5,5106 -5,5147 -5,5282 -5,4866 -5,3435 -5,1085 -4,8462 -4,6417 -4,5603 -4,6116 -4,7403 -4,8584 -4,8879 -4,7921 -4,5892 -4,3343 -4,0785 -3,8486 -3,6642 -3,5514 -3,5251 -3,5650 -3,6262 -3,6710 -3,6831 -3,6641 -3,6325 -3,6162 -3,6337 -3,6886 -3,7842 -3,9314 -4,1358 -4,3822 -4,6450 -4,9099 -5,1726 -5,4205 -5,6301 -5,7961 -5,9501 -6,1284 -6,3340 -6,5458 -6,7417 -6,9049 -7,0318 -7,1402 -7,2638 -7,4376 -7,6882 -8,0252 -8,4215 -8,8023 -9,0775 -9,1862 -9,1088 -8,8577 -8,4699 -7,9979 -7,4837 -6,9434 -6,3814 -5,8033 -5,2205 -4,6553 -4,1357 -3,6812 -3,3049 -3,0177 -2,8239 -2,7172 -2,6769 -2,6711 -2,6769 -2,6937 -2,7290 -2,7817 -2,8435 -2,8994 -2,9261 -2,9004 -2,8100 -2,6531 -2,4425 -2,2184 -2,0412 -1,9556 -1,9663 -2,0540 -2,2023 -2,3986 -2,6174 -2,8204 -2,9789 -3,0897 -3,1585 -3,1801 -3,1467 -3,0697 -2,9776 -2,8955 -2,8266 -2,7435 -2,6008 -2,3762 -2,0974 -1,8308 -1,6587 -1,6544 -1,8588 -2,2644 -2,8015 -3,3538 -3,8134 -4,1291 -4,3202 -4,4687 -4,6898 -5,0726 -5,6236 -6,2601 -6,8615 -7,3192 -7,5584 -7,5599 -7,3774 -7,1108 -6,8498 -6,6429 -6,5038 -6,4228 -6,3758 -6,3362 -6,2891 -6,2458 -6,2317 -6,2475 -6,2624 -6,2612 -6,2627 -6,2652 -6,2114 -6,0324 -5,7013 -5,2483 -4,7525 -4,3216 -4,0485 -3,9676 -4,0419 -4,1896 -4,3252 -4,4009 -4,4288 -4,4754 -4,6222 -4,9046 -5,2811 -5,6663
F3    3,7326 3,8266 3,7494 3,4606 3,0428 2,6215 2,2525 1,9155 1,5885 1,2867 1,0353 0,8420 0,6987 0,5866 0,4816 0,3770 0,2864 0,2052 0,0879 -0,1199 -0,4234 -0,7480 -0,9794 -1,0446 -0,9556 -0,7895 -0,6452 -0,6030 -0,6873 -0,8572 -1,0381 -1,1696 -1,2349 -1,2506 -1,2334 -1,1876 -1,1133 -1,0113 -0,8972 -0,8184 -0,8276 -0,9401 -1,1347 -1,3731 -1,5938 -1,7128 -1,6805 -1,5305 -1,3383 -1,1384 -0,9143 -0,6700 -0,4712 -0,3903 -0,4463 -0,6184 -0,8909 -1,2598 -1,7036 -2,1570 -2,5184 -2,7024 -2,6973 -2,5625 -2,3756 -2,1932 -2,0425 -1,9193 -1,7790 -1,5487 -1,1735 -0,6538 -0,0590 0,4831 0,8270 0,8716 0,6141 0,1515 -0,3829 -0,8775 -1,2689 -1,5641 -1,8282 -2,1242 -2,4813 -2,9148 -3,4156 -3,9114 -4,2988 -4,5271 -4,6260 -4,6577 -4,6561 -4,6144 -4,5219 -4,4014 -4,3024 -4,2573 -4,2544 -4,2432 -4,1573 -3,9413 -3,5668 -3,0431 -2,4346 -1,8554 -1,4149 -1,1669 -1,1239 -1,2868 -1,6115 -1,9958 -2,3562 -2,6769 -2,9566 -3,1672 -3,2907 -3,3499 -3,3845 -3,4361 -3,5598 -3,7999 -4,1231 -4,4045 -4,5053 -4,3657 -4,0363 -3,6431 -3,3295 -3,1937 -3,2433 -3,4157 -3,6240 -3,7775 -3,8114 -3,7280 -3,5888 -3,4576 -3,3611 -3,2937 -3,2279 -3,1067 -2,8545 -2,4342 -1,8891 -1,3080 -0,7577 -0,2636 0,1556 0,4643 0,6316 0,6692 0,6392 0,6091 0,5864 0,5149 0,3516 0,1386 -0,0093 0,0092 0,2102 0,5248 0,8389 1,0348 1,0400 0,8650 0,5833 0,2653 -0,0576 -0,3826 -0,7201 -1,0779 -1,4422 -1,7749 -2,0327 -2,2018 -2,2990 -2,3296 -2,2885 -2,2031 -2,1362 -2,1532 -2,2770 -2,4550 -2,5839 -2,5713 -2,3839 -2,0586 -1,6736 -1,3121 -1,0437 -0,9052 -0,8813 -0,9227 -0,9893 -1,0722 -1,1871 -1,3507 -1,5633 -1,8108 -2,0673 -2,2926 -2,4351 -2,4535 -2,3517 -2,1874 -2,0376 -1,9707 -2,0347 -2,2311 -2,5052 -2,7754 -2,9672 -3,0245 -2,9194 -2,6666 -2,3273 -1,9947 -1,7606 -1,6646 -1,6721 -1,7195 -1,7643 -1,7857 -1,7586 -1,6572 -1,5000 -1,3720 -1,3675 -1,5234 -1,7963 -2,0717 -2,2173 -2,1640 -1,9359 -1,6198 -1,3224 -1,1272 -1,0562 -1,0581 -1,0425 -0,9360 -0,7140 -0,3918 -0,0022 0,4199 0,8463 1,2454 1,5697 1,7768 1,8534 1,8070 1,6679 1,4863 1,2823 1,0302 0,7323 0,4551 0,2664 0,1826 0,1791 0,2173 0,2647 0,2988 0,2891 0,2000 0,0087 -0,2986 -0,7264 -1,2589 -1,8645 -2,4969 -3,1030 -3,6396 -4,0536 -4,2667 -4,2167 -3,9069 -3,4114 -2,8397 -2,2880 -1,8219 -1,4933 -1,3426 -1,3612 -1,4806 -1,6259 -1,7589 -1,8744 -1,9955 -2,1457 -2,2980 -2,3873 -2,3814 -2,3030 -2,1804 -2,0089 -1,7664 -1,4561 -1,1163 -0,7883 -0,5004 -0,2892 -0,2144 -0,3343 -0,6534 -1,1021 -1,5819 -2,0246 -2,3986 -2,6863 -2,8797 -2,9885 -3,0272 -2,9888 -2,8452 -2,5880 -2,2694 -1,9954 -1,8708 -1,9532 -2,2488 -2,7200 -3,2927 -3,8752 -4,3839 -4,7636 -4,9945 -5,0835 -5,0448 -4,8937 -4,6609 -4,3945 -4,1425 -3,9504 -3,8542 -3,8486 -3,9040 -4,0281 -4,2717 -4,6707 -5,1900 -5,7168 -6,1280 -6,3657 -6,4406 -6,3856 -6,2291 -6,0025 -5,7457 -5,4934 -5,2582 -5,0326 -4,7927 -4,4932 -4,0988 -3,6450 -3,2274 -2,9178 -2,7258 -2,6509 -2,7171 -2,9326 -3,2686 -3,6872 -4,1400 -4,5575 -4,8827 -5,1032 -5,2315 -5,2806 -5,2720 -5,2377 -5,2024 -5,1653 -5,0947 -4,9363 -4,6401 -4,1944 -3,6417 -3,0710 -2,5925 -2,2886 -2,1767 -2,2163 -2,3305 -2,4245 -2,4311 -2,3603 -2,2821 -2,2534 -2,2896 -2,3891 -2,5308 -2,6468 -2,6450 -2,4803 -2,1904 -1,8700 -1,6150 -1,4765 -1,4573 -1,5397 -1,7138 -1,9931 -2,3919 -2,8771 -3,3765 -3,8320 -4,2060 -4,4662 -4,6057 -4,6308 -4,5258 -4,2807 -3,9445 -3,6210 -3,4184 -3,4036 -3,5788 -3,8895 -4,2617 -4,6280 -4,9320 -5,1339 -5,2125 -5,1692 -5,0428 -4,9112 -4,8589 -4,9252 -5,0754 -5,2327 -5,3464 -5,4135 -5,4470 -5,4476 -5,4044 -5,3152 -5,2148 -5,1674 -5,2109 -5,3058 -5,3536 -5,2749 -5,0742 -4,8361 -4,6756 -4,6800 -4,8610 -5,1467 -5,4253 -5,5888 -5,5603 -5,3219 -4,9241 -4,4540 -3,9927 -3,6016 -3,3326 -3,2182 -3,2415 -3,3405 -3,4589 -3,5747 -3,6855 -3,7954 -3,9134 -4,0413 -4,1753 -4,3266 -4,5239 -4,7843 -5,0910 -5,4061 -5,6947 -5,9290 -6,0853 -6,1531 -6,1549 -6,1521 -6,2070 -6,3347 -6,5051 -6,6752 -6,8041 -6,8728 -6,9081 -6,9717 -7,1207 -7,3847 -7,7617 -8,2061 -8,6202 -8,8901 -8,9424 -8,7656 -8,3996 -7,9250 -7,4367 -6,9861 -6,5593 -6,1251 -5,6682 -5,1862 -4,6962 -4,2339 -3,8276 -3,4799 -3,1763 -2,9083 -2,6860 -2,5258 -2,4341 -2,4092 -2,4471 -2,5272 -2,6103 -2,6625 -2,6697 -2,6324 -2,5605 -2,4617 -2,3275 -2,1495 -1,9574 -1,8210 -1,8007 -1,8952 -2,0506 -2,2165 -2,3716 -2,5048 -2,6083 -2,6960 -2,7961 -2,9002 -2,9449 -2,8703 -2,6773 -2,4245 -2,1875 -2,0089 -1,8660 -1,6912 -1,4359 -1,1084 -0,7688 -0,5194 -0,4834 -0,7543 -1,3320 -2,0859 -2,7964 -3,2722 -3,4451 -3,3834 -3,2584 -3,2862 -3,6346 -4,3141 -5,1521 -5,9055 -6,4024 -6,5894 -6,5038 -6,2406 -5,9164 -5,6255 -5,4117 -5,2635 -5,1386 -5,0075 -4,8687 -4,7417 -4,6716 -4,7154 -4,8835 -5,1098 -5,3245 -5,5174 -5,6776 -5,7316 -5,5998 -5,2683 -4,7912 -4,2789 -3,8770 -3,6891 -3,7010 -3,8043 -3,8831 -3,8688 -3,7604 -3,6267 -3,5805 -3,7259 -4,1027 -4,6577 -5,2669
