Fp1   -0,2382 -0,3965 -0,4946 -0,5151 -0,4161 -0,1807 0,1553 0,5208 0,8414 1,0572 1,1239 1,0079 0,6891 0,1780 -0,4684 -1,1496 -1,7428 -2,1402 -2,2906 -2,2125 -1,9674 -1,6280 -1,2694 -0,9683 -0,7792 -0,7012 -0,6853 -0,6851 -0,6915 -0,7213 -0,7877 -0,8757 -0,9259 -0,8464 -0,5719 -0,1227 0,4030 0,8900 1,2649 1,5172 1,6776 1,7810 1,8541 1,9096 1,9303 1,8778 1,7369 1,5403 1,3419 1,1744 1,0345 0,8911 0,7082 0,4785 0,2397 0,0550 -0,0245 0,0098 0,1155 0,2189 0,2547 0,1982 0,0748 -0,0608 -0,1574 -0,1863 -0,1348 0,0093 0,2603 0,6136 1,0241 1,4099 1,6856 1,8065 1,7898 1,6920 1,5731 1,4806 1,4489 1,4989 1,6379 1,8560 2,1216 2,3776 2,5481 2,5672 2,4111 2,1062 1,7134 1,3020 0,9247 0,6053 0,3437 0,1358 -0,0107 -0,0890 -0,1322 -0,2259 -0,4568 -0,8368 -1,2876 -1,7002 -2,0007 -2,1660 -2,2027 -2,1303 -1,9835 -1,8205 -1,7083 -1,6938 -1,7994 -2,0339 -2,3889 -2,8299 -3,3086 -3,7850 -4,2380 -4,6639 -5,0690 -5,4615 -5,8443 -6,2078 -6,5241 -6,7554 -6,8745 -6,8696 -6,7280 -6,4304 -5,9697 -5,3694 -4,6821 -3,9690 -3,2723 -2,6002 -1,9287 -1,2177 -0,4341 0,4322 1,3611 2,2978 3,1629 3,8943 4,4845 4,9625 5,3477 5,6378 5,8332 5,9569 6,0496 6,1492 6,2698 6,3899 6,4536 6,4000 6,1960 5,8453 5,3816 4,8586 4,3313 3,8406 3,4125 3,0680 2,8322 2,7340 2,7879 2,9673 3,2032 3,4174 3,5597 3,6190 3,6114 3,5619 3,4986 3,4641 3,5095 3,6577 3,8772 4,1027 4,2773 4,3688 4,3601 4,2423 4,0166 3,6926 3,2886 2,8489 2,4591 2,2228 2,1998 2,3663 2,6387 2,9343 3,2089 3,4464 3,6292 3,7297 3,7285 3,6282 3,4453 3,2007 2,9240 2,6520 2,4202 2,2607 2,1995 2,2375 2,3369 2,4312 2,4570 2,3843 2,2316 2,0562 1,9242 1,8730 1,9001 1,9889 2,1351 2,3364 2,5664 2,7672 2,8746 2,8597 2,7449 2,5756 2,3853 2,2048 2,0915 2,1173 2,3183 2,6687 3,0939 3,4999 3,7968 3,9099 3,7879 3,4234 2,8748 2,2558 1,6848 1,2305 0,8969 0,6436 0,4257 0,2323 0,0948 0,0603 0,1581 0,3801 0,6828 1,0110 1,3211 1,5863 1,7956 1,9629 2,1323 2,3654 2,7151 3,1968 3,7756 4,3894 4,9776 5,4813 5,8326 5,9698 5,8637 5,5231 4,9751 4,2518 3,4030 2,5152 1,7048 1,0774 0,6823 0,4975 0,4594 0,5159 0,6580 0,9041 1,2628 1,7043 2,1486 2,4785 2,5940 2,4805 2,2120 1,8798 1,5412 1,2325 0,9897 0,8373 0,7773 0,7961 0,8828 1,0405 1,2729 1,5615 1,8616 2,1127 2,2614 2,2877 2,2071 2,0464 1,8328 1,6032 1,3997 1,2510 1,1655 1,1452 1,1965 1,3276 1,5398 1,8234 2,1613 2,5298 2,8876 3,1705 3,3159 3,3106 3,2123 3,1104 3,0677 3,0967 3,1728 3,2535 3,2958 3,2787 3,2205 3,1703 3,1750 3,2538 3,4003 3,5961 3,8221 4,0632 4,2970 4,4786 4,5505 4,4759 4,2627 3,9712 3,7051 3,5718 3,6301 3,8690 4,2267 4,6216 4,9672 5,1792 5,1948 5,0053 4,6694 4,2916 3,9845 3,8247 3,8225 3,9347 4,1006 4,2564 4,3401 4,3128 4,1761 3,9607 3,6952 3,3932 3,0678 2,7458 2,4600 2,2341 2,0772 1,9839 1,9371 1,9123 1,8802 1,8091 1,6734 1,4630 1,1902 0,8974 0,6503 0,5025 0,4542 0,4519 0,4303 0,3555 0,2409 0,1383 0,1152 0,2194 0,4620 0,8360 1,3342 1,9305 2,5500 3,0749 3,3917 3,4434 3,2439 2,8589 2,3802 1,8943 1,4463 1,0387 0,6789 0,4045 0,2456 0,1897 0,1983 0,2421 0,3184 0,4439 0,6240 0,8261 0,9946 1,0952 1,1343 1,1478 1,1837 1,2783 1,4304 1,6011 1,7407 1,8117 1,7995 1,7209 1,6115 1,4942 1,3693 1,2329 1,0912 0,9601 0,8594 0,8075 0,8197 0,9165 1,1320 1,5003 2,0228 2,6423 3,2470 3,7033 3,9011 3,7917 3,3957 2,7954 2,1205 1,5165 1,1039 0,9411 0,9965 1,1541 1,2703 1,2487 1,0764 0,8175 0,5813 0,4733 0,5467 0,7821 1,0967 1,3774 1,5269 1,4973 1,2943 0,9537 0,5100 -0,0115 -0,5595 -1,0328 -1,3217 -1,3742 -1,2208 -0,9528 -0,6765 -0,4600 -0,3039 -0,1525 0,0730 0,4301 0,9152 1,4608 1,9710 2,3580 2,5638 2,5799 2,4476 2,2285 1,9764 1,7291 1,5100 1,3342 1,2172 1,1729 1,1989 1,2744 1,3769 1,4846 1,5613 1,5603 1,4501 1,2339 0,9421 0,6112 0,2801 -0,0022 -0,1840 -0,2377 -0,1712 -0,0051 0,2531 0,6083 1,0641 1,6123 2,2188 2,8147 3,3186 3,6820 3,9240 4,1251 4,3850 4,7729 5,2921 5,8705 6,3840 6,7037 6,7459 6,5052 6,0521 5,4929 4,9186 4,3858 3,9284 3,5685 3,3160 3,1677 3,1078 3,1084 3,1323 3,1367 3,0842 2,9576 2,7657 2,5399 2,3214 2,1376 1,9824 1,8175 1,5970 1,3057 0,9859 0,7198 0,5780 0,5780 0,6869 0,8580 1,0554 1,2413 1,3615 1,3702 1,2682 1,1006 0,9196 0,7628 0,6542 0,6057 0,6159 0,6761 0,7856 0,9539 1,1845 1,4637 1,7711 2,0909 2,4030 2,6632 2,8013 2,7479 2,4742 2,0160 1,4660 0,9392 0,5337 0,3061 0,2630 0,3619 0,5288 0,6921 0,8066 0,8453 0,7819 0,6081 0,3674 0,1482 0,0317 0,0388 0,1216 0,2014 0,2151 0,1384 -0,0058 -0,1603
Fz    1,8429 1,5901 1,3703 1,1942 1,0761 1,0170 0,9966 0,9828 0,9473 0,8719 0,7409 0,5340 0,2336 -0,1567 -0,6011 -1,0345 -1,3760 -1,5527 -1,5298 -1,3331 -1,0380 -0,7285 -0,4649 -0,2853 -0,2118 -0,2375 -0,3244 -0,4276 -0,5287 -0,6495 -0,8243 -1,0527 -1,2786 -1,4174 -1,4050 -1,2313 -0,9378 -0,5845 -0,2193 0,1285 0,4386 0,6901 0,8637 0,9501 0,9534 0,8925 0,8040 0,7396 0,7442 0,8287 0,9667 1,1133 1,2241 1,2701 1,2490 1,1838 1,1068 1,0422 0,9963 0,9528 0,8805 0,7543 0,5752 0,3768 0,2105 0,1202 0,1289 0,2448 0,4680 0,7863 1,1678 1,5602 1,9031 2,1528 2,3033 2,3821 2,4297 2,4861 2,5884 2,7634 3,0149 3,3175 3,6273 3,8964 4,0763 4,1216 4,0001 3,7048 3,2639 2,7401 2,2135 1,7539 1,3993 1,1561 1,0175 0,9733 1,0008 1,0577 1,0932 1,0705 0,9800 0,8344 0,6575 0,4796 0,3354 0,2510 0,2244 0,2204 0,1895 0,0860 -0,1286 -0,4856 -0,9986 -1,6459 -2,3627 -3,0607 -3,6663 -4,1458 -4,5083 -4,7857 -5,0067 -5,1829 -5,3087 -5,3711 -5,3594 -5,2630 -5,0636 -4,7391 -4,2827 -3,7119 -3,0597 -2,3609 -1,6401 -0,9060 -0,1571 0,6110 1,4027 2,2185 3,0425 3,8363 4,5518 5,1564 5,6505 6,0532 6,3743 6,6146 6,7838 6,9111 7,0439 7,2366 7,5231 7,8921 8,2924 8,6605 8,9450 9,1186 9,1807 9,1477 9,0357 8,8547 8,6160 8,3400 8,0586 7,8094 7,6212 7,5024 7,4447 7,4320 7,4425 7,4495 7,4325 7,3874 7,3327 7,3142 7,3882 7,5847 7,8875 8,2478 8,6095 8,9191 9,1313 9,2124 9,1440 8,9265 8,5838 8,1649 7,7365 7,3636 7,0830 6,8884 6,7432 6,6105 6,4733 6,3298 6,1789 6,0168 5,8428 5,6606 5,4767 5,3036 5,1586 5,0509 4,9768 4,9270 4,8879 4,8372 4,7489 4,6096 4,4295 4,2371 4,0647 3,9398 3,8879 3,9322 4,0786 4,3052 4,5701 4,8262 5,0292 5,1388 5,1294 5,0089 4,8214 4,6216 4,4483 4,3295 4,3066 4,4312 4,7262 5,1596 5,6593 6,1420 6,5301 6,7613 6,8026 6,6690 6,4258 6,1633 5,9570 5,8389 5,7914 5,7634 5,7028 5,5906 5,4523 5,3389 5,2943 5,3319 5,4316 5,5509 5,6423 5,6742 5,6488 5,6033 5,5950 5,6781 5,8774 6,1696 6,4930 6,7828 6,9905 7,0756 7,0062 6,7801 6,4296 5,9974 5,5144 5,0009 4,4797 3,9826 3,5503 3,2260 3,0379 2,9831 3,0324 3,1528 3,3276 3,5572 3,8405 4,1551 4,4453 4,6328 4,6484 4,4657 4,1069 3,6229 3,0783 2,5493 2,1091 1,8054 1,6497 1,6222 1,6866 1,8092 1,9709 2,1701 2,4148 2,7029 3,0111 3,3089 3,5731 3,7851 3,9345 4,0331 4,1144 4,2136 4,3496 4,5262 4,7425 4,9996 5,2976 5,6329 5,9986 6,3776 6,7310 7,0038 7,1578 7,2051 7,2066 7,2284 7,3019 7,4198 7,5564 7,6849 7,7786 7,8103 7,7658 7,6613 7,5426 7,4632 7,4634 7,5583 7,7321 7,9382 8,1148 8,2100 8,2038 8,1111 7,9722 7,8445 7,7916 7,8673 8,0937 8,4466 8,8625 9,2586 9,5508 9,6661 9,5622 9,2480 8,7839 8,2614 7,7792 7,4133 7,1888 7,0828 7,0532 7,0566 7,0546 7,0193 6,9331 6,7815 6,5480 6,2213 5,8128 5,3637 4,9293 4,5588 4,2837 4,1100 4,0093 3,9245 3,7929 3,5732 3,2658 2,9127 2,5753 2,3093 2,1508 2,1050 2,1394 2,1958 2,2226 2,2018 2,1553 2,1311 2,1790 2,3291 2,5882 2,9581 3,4427 4,0294 4,6703 5,2863 5,7906 6,1187 6,2470 6,1975 6,0308 5,8215 5,6290 5,4892 5,4342 5,4951 5,6739 5,9353 6,2312 6,5215 6,7821 7,0124 7,2277 7,4372 7,6371 7,8202 7,9813 8,1169 8,2256 8,3034 8,3389 8,3192 8,2385 8,0956 7,8882 7,6216 7,3128 6,9796 6,6338 6,2867 5,9554 5,6630 5,4350 5,2943 5,2579 5,3368 5,5347 5,8466 6,2505 6,6992 7,1185 7,4184 7,5193 7,3857 7,0413 6,5581 6,0318 5,5583 5,2110 5,0124 4,9159 4,8217 4,6310 4,3014 3,8619 3,3872 2,9641 2,6664 2,5362 2,5675 2,7030 2,8612 2,9803 3,0391 3,0444 3,0084 2,9318 2,8041 2,6244 2,4259 2,2694 2,2052 2,2427 2,3491 2,4709 2,5654 2,6241 2,6733 2,7501 2,8718 3,0224 3,1656 3,2669 3,3020 3,2587 3,1443 2,9841 2,8053 2,6266 2,4614 2,3233 2,2246 2,1702 2,1522 2,1467 2,1232 2,0630 1,9661 1,8392 1,6878 1,5197 1,3441 1,1612 0,9587 0,7311 0,5029 0,3237 0,2392 0,2733 0,4354 0,7306 1,1500 1,6657 2,2446 2,8577 3,4757 4,0653 4,6000 5,0792 5,5337 6,0076 6,5315 7,1008 7,6637 8,1270 8,3863 8,3717 8,0841 7,5919 6,9919 6,3708 5,7911 5,2988 4,9302 4,7096 4,6394 4,6945 4,8226 4,9501 4,9986 4,9093 4,6574 4,2532 3,7375 3,1709 2,6107 2,0901 1,6174 1,1963 0,8498 0,6274 0,5787 0,7119 0,9783 1,3001 1,6131 1,8859 2,1116 2,2907 2,4225 2,5060 2,5363 2,5031 2,3990 2,2341 2,0389 1,8549 1,7212 1,6633 1,6852 1,7678 1,8770 1,9750 2,0272 2,0062 1,8962 1,6913 1,3936 1,0205 0,6129 0,2276 -0,0823 -0,2788 -0,3405 -0,2652 -0,0711 0,2083 0,5352 0,8746 1,1912 1,4408 1,5789 1,5888 1,4975 1,3589 1,2204 1,0999 0,9869 0,8610 0,7165 0,5767 0,4780
F3    1,4612 1,2987 1,1435 1,0014 0,8893 0,8141 0,7615 0,7062 0,6280 0,5165 0,3638 0,1558 -0,1233 -0,4731 -0,8618 -1,2246 -1,4761 -1,5391 -1,3839 -1,0494 -0,6240 -0,1985 0,1646 0,4214 0,5386 0,5115 0,3771 0,1942 0,0032 -0,1976 -0,4327 -0,7044 -0,9672 -1,1483 -1,1925 -1,0929 -0,8878 -0,6310 -0,3619 -0,0985 0,1502 0,3708 0,5450 0,6574 0,6963 0,6575 0,5576 0,4384 0,3456 0,2992 0,2842 0,2638 0,1993 0,0720 -0,1048 -0,2932 -0,4541 -0,5655 -0,6280 -0,6583 -0,6796 -0,7089 -0,7468 -0,7728 -0,7584 -0,6888 -0,5696 -0,4129 -0,2208 0,0131 0,2843 0,5615 0,7935 0,9387 0,9930 0,9901 0,9801 1,0115 1,1261 1,3532 1,6927 2,1059 2,5298 2,8998 3,1597 3,2653 3,1936 2,9523 2,5822 2,1508 1,7375 1,4113 1,2101 1,1396 1,1886 1,3338 1,5323 1,7227 1,8430 1,8551 1,7549 1,5626 1,3105 1,0433 0,8159 0,6727 0,6181 0,6096 0,5819 0,4751 0,2431 -0,1466 -0,7065 -1,4141 -2,2044 -2,9876 -3,6844 -4,2510 -4,6845 -5,0090 -5,2561 -5,4493 -5,5954 -5,6850 -5,7042 -5,6392 -5,4704 -5,1754 -4,7494 -4,2116 -3,5893 -2,9051 -2,1739 -1,4004 -0,5850 0,2695 1,1609 2,0869 3,0298 3,9477 4,7901 5,5237 6,1452 6,6656 7,0858 7,3969 7,5973 7,7012 7,7441 7,7815 7,8658 8,0163 8,2115 8,4056 8,5517 8,6190 8,6029 8,5165 8,3723 8,1749 7,9307 7,6604 7,4011 7,1942 7,0653 7,0140 7,0187 7,0466 7,0596 7,0267 6,9381 6,8099 6,6826 6,6151 6,6609 6,8367 7,1117 7,4298 7,7385 7,9985 8,1821 8,2703 8,2505 8,1169 7,8775 7,5659 7,2410 6,9699 6,7945 6,7088 6,6677 6,6212 6,5407 6,4181 6,2500 6,0307 5,7593 5,4467 5,1144 4,7926 4,5135 4,2965 4,1417 4,0387 3,9737 3,9243 3,8589 3,7482 3,5802 3,3698 3,1546 2,9785 2,8772 2,8722 2,9651 3,1346 3,3429 3,5480 3,7105 3,7951 3,7803 3,6761 3,5232 3,3654 3,2255 3,1180 3,0782 3,1572 3,3775 3,7074 4,0821 4,4365 4,7141 4,8626 4,8418 4,6489 4,3333 3,9800 3,6682 3,4397 3,2896 3,1830 3,0859 2,9917 2,9210 2,9001 2,9400 3,0343 3,1687 3,3248 3,4755 3,5916 3,6633 3,7135 3,7908 3,9482 4,2152 4,5792 4,9953 5,4145 5,7940 6,0820 6,2181 6,1639 5,9293 5,5607 5,1056 4,5989 4,0746 3,5753 3,1477 2,8364 2,6697 2,6450 2,7312 2,8909 3,0998 3,3452 3,6125 3,8729 4,0799 4,1769 4,1226 3,9170 3,5992 3,2202 2,8266 2,4631 2,1704 1,9736 1,8740 1,8546 1,8942 1,9764 2,0907 2,2335 2,4034 2,5868 2,7552 2,8840 2,9642 2,9929 2,9698 2,9076 2,8354 2,7842 2,7749 2,8231 2,9470 3,1583 3,4446 3,7693 4,0912 4,3753 4,5873 4,6946 4,6870 4,5992 4,5028 4,4670 4,5195 4,6426 4,7934 4,9263 5,0025 4,9954 4,9019 4,7514 4,5969 4,4900 4,4643 4,5308 4,6744 4,8519 5,0006 5,0619 5,0072 4,8491 4,6359 4,4407 4,3459 4,4185 4,6838 5,1112 5,6247 6,1295 6,5338 6,7606 6,7632 6,5461 6,1676 5,7195 5,2988 4,9785 4,7849 4,7021 4,6938 4,7192 4,7433 4,7466 4,7201 4,6515 4,5200 4,3067 4,0135 3,6741 3,3408 3,0616 2,8684 2,7709 2,7488 2,7517 2,7170 2,5970 2,3822 2,1037 1,8123 1,5578 1,3809 1,3046 1,3175 1,3723 1,4143 1,4174 1,3951 1,3874 1,4374 1,5682 1,7802 2,0707 2,4424 2,8813 3,3388 3,7444 4,0333 4,1669 4,1424 3,9914 3,7682 3,5243 3,2880 3,0693 2,8865 2,7689 2,7261 2,7345 2,7621 2,7871 2,7999 2,8092 2,8386 2,9038 3,0016 3,1184 3,2380 3,3468 3,4381 3,5096 3,5567 3,5726 3,5523 3,4918 3,3835 3,2209 3,0059 2,7440 2,4444 2,1263 1,8209 1,5657 1,3963 1,3378 1,4039 1,5994 1,9229 2,3650 2,9004 3,4792 4,0245 4,4429 4,6518 4,6108 4,3362 3,8921 3,3706 2,8715 2,4827 2,2509 2,1544 2,1075 2,0108 1,8089 1,5123 1,1815 0,8954 0,7212 0,6944 0,8069 1,0059 1,2164 1,3788 1,4710 1,5019 1,4895 1,4394 1,3403 1,1899 1,0254 0,9146 0,9114 1,0234 1,2114 1,4111 1,5661 1,6553 1,6981 1,7345 1,7933 1,8730 1,9494 1,9960 1,9940 1,9340 1,8205 1,6723 1,5119 1,3593 1,2325 1,1464 1,1067 1,1035 1,1102 1,0887 1,0060 0,8528 0,6405 0,3807 0,0789 -0,2539 -0,5978 -0,9384 -1,2767 -1,6127 -1,9201 -2,1469 -2,2444 -2,1906 -1,9838 -1,6290 -1,1421 -0,5563 0,0880 0,7506 1,3927 1,9774 2,4788 2,8985 3,2705 3,6425 4,0505 4,4975 4,9415 5,3038 5,4984 5,4701 5,2218 4,8105 4,3117 3,7886 3,2898 2,8607 2,5427 2,3613 2,3149 2,3715 2,4725 2,5438 2,5156 2,3404 2,0021 1,5194 0,9470 0,3618 -0,1670 -0,6029 -0,9432 -1,2004 -1,3759 -1,4428 -1,3655 -1,1414 -0,8202 -0,4766 -0,1687 0,0804 0,2721 0,4157 0,5224 0,6026 0,6558 0,6662 0,6190 0,5221 0,4049 0,3029 0,2450 0,2522 0,3337 0,4798 0,6600 0,8296 0,9426 0,9652 0,8823 0,6916 0,3987 0,0225 -0,3995 -0,8160 -1,1769 -1,4451 -1,6015 -1,6478 -1,6055 -1,5049 -1,3711 -1,2195 -1,0674 -0,9479 -0,9003 -0,9377 -1,0325 -1,1373 -1,2150 -1,2569 -1,2807 -1,3162 -1,3829 -1,4718 -1,5509
F7    0,2200 -0,1011 -0,4940 -0,9305 -1,3504 -1,6887 -1,8992 -1,9671 -1,9171 -1,8036 -1,6792 -1,5781 -1,5222 -1,5240 -1,5800 -1,6651 -1,7368 -1,7490 -1,6624 -1,4603 -1,1750 -0,8959 -0,7226 -0,6903 -0,7396 -0,7579 -0,6530 -0,4036 -0,0537 0,3219 0,6424 0,8450 0,9245 0,9398 0,9628 1,0373 1,1820 1,3983 1,6709 1,9736 2,2729 2,5256 2,6851 2,7187 2,6166 2,3949 2,1042 1,8238 1,6228 1,5172 1,4685 1,4219 1,3454 1,2465 1,1579 1,1118 1,1160 1,1421 1,1370 1,0628 0,9211 0,7398 0,5579 0,4272 0,3962 0,4755 0,6238 0,7799 0,9087 1,0174 1,1356 1,2891 1,4827 1,6952 1,8940 2,0566 2,1850 2,3068 2,4646 2,6934 2,9924 3,3219 3,6310 3,8783 4,0339 4,0832 4,0266 3,8667 3,6029 3,2537 2,8785 2,5615 2,3712 2,3383 2,4582 2,7011 3,0179 3,3439 3,6060 3,7446 3,7323 3,5724 3,2904 2,9334 2,5669 2,2517 2,0090 1,8040 1,5662 1,2300 0,7610 0,1572 -0,5615 -1,3499 -2,1316 -2,8244 -3,3870 -3,8371 -4,2136 -4,5317 -4,7881 -4,9897 -5,1528 -5,2859 -5,3846 -5,4270 -5,3715 -5,1817 -4,8618 -4,4503 -3,9780 -3,4477 -2,8476 -2,1602 -1,3638 -0,4525 0,5410 1,5527 2,5198 3,4028 4,1810 4,8492 5,4230 5,9174 6,3178 6,5911 6,7186 6,7099 6,6037 6,4623 6,3564 6,3412 6,4322 6,6019 6,8100 7,0379 7,2829 7,5175 7,6800 7,7094 7,5772 7,2993 6,9397 6,5904 6,3333 6,2062 6,1847 6,1932 6,1483 6,0175 5,8414 5,6996 5,6679 5,7969 6,0948 6,5170 6,9671 7,3225 7,4988 7,5077 7,4375 7,3874 7,4123 7,5091 7,6386 7,7561 7,8274 7,8347 7,7730 7,6337 7,3988 7,0686 6,7002 6,4121 6,3238 6,4552 6,6883 6,8462 6,8057 6,5417 6,1026 5,5614 4,9757 4,3774 3,7873 3,2332 2,7610 2,4215 2,2387 2,2083 2,3217 2,5527 2,8346 3,0922 3,2820 3,3827 3,3692 3,2177 2,9244 2,5086 2,0138 1,5126 1,0924 0,8230 0,7478 0,8972 1,2760 1,8352 2,4825 3,1225 3,6811 4,1131 4,3968 4,5153 4,4551 4,2345 3,9204 3,6024 3,3446 3,1531 2,9890 2,8189 2,6639 2,6061 2,7406 3,1052 3,6468 4,2513 4,8134 5,2794 5,6316 5,8596 5,9642 5,9728 5,9434 5,9508 6,0459 6,2225 6,4424 6,6862 6,9593 7,2580 7,5435 7,7440 7,7891 7,6519 7,3543 6,9452 6,4827 6,0136 5,5611 5,1379 4,7662 4,4845 4,3380 4,3599 4,5465 4,8511 5,2129 5,5811 5,8961 6,0698 6,0264 5,7659 5,3663 4,9225 4,4867 4,0588 3,6282 3,2133 2,8539 2,5860 2,4339 2,4058 2,4870 2,6471 2,8478 3,0420 3,1884 3,2811 3,3578 3,4788 3,6913 3,9941 4,3263 4,5967 4,7337 4,7237 4,6170 4,4967 4,4301 4,4442 4,5357 4,6868 4,8681 5,0394 5,1531 5,1739 5,1035 4,9771 4,8425 4,7490 4,7351 4,7992 4,8875 4,9387 4,9368 4,9073 4,8675 4,8047 4,7028 4,5718 4,4480 4,3733 4,3735 4,4442 4,5501 4,6405 4,6765 4,6532 4,6076 4,6042 4,7035 4,9358 5,2909 5,7140 6,1042 6,3411 6,3388 6,0905 5,6689 5,1866 4,7491 4,4240 4,2281 4,1321 4,0823 4,0336 3,9751 3,9200 3,8722 3,8121 3,7097 3,5397 3,2947 2,9979 2,7014 2,4617 2,3042 2,2126 2,1597 2,1332 2,1168 2,0659 1,9235 1,6597 1,2959 0,9004 0,5667 0,3788 0,3646 0,4704 0,5998 0,6861 0,7251 0,7604 0,8477 1,0203 1,2828 1,6300 2,0506 2,5112 2,9572 3,3384 3,6268 3,8124 3,8962 3,8889 3,8038 3,6492 3,4305 3,1666 2,9030 2,6925 2,5616 2,5104 2,5363 2,6358 2,7953 2,9994 3,2349 3,4810 3,7127 3,9114 4,0536 4,1040 4,0409 3,8809 3,6635 3,4166 3,1491 2,8697 2,5916 2,3219 2,0581 1,7906 1,5066 1,2001 0,8808 0,5741 0,3141 0,1360 0,0717 0,1435 0,3563 0,6906 1,1014 1,5273 1,9034 2,1739 2,3063 2,2983 2,1687 1,9396 1,6297 1,2690 0,9154 0,6343 0,4522 0,3369 0,2319 0,1061 -0,0274 -0,1256 -0,1458 -0,0678 0,1017 0,3351 0,5877 0,8102 0,9719 1,0745 1,1377 1,1772 1,1901 1,1547 1,0554 0,9159 0,7939 0,7411 0,7714 0,8498 0,9089 0,8918 0,7875 0,6276 0,4598 0,3181 0,2045 0,0950 -0,0354 -0,1957 -0,3812 -0,5852 -0,8063 -1,0471 -1,3003 -1,5379 -1,7308 -1,8769 -2,0011 -2,1346 -2,3031 -2,5116 -2,7279 -2,8955 -2,9741 -2,9679 -2,9139 -2,8523 -2,8254 -2,8913 -3,0995 -3,4345 -3,8001 -4,0742 -4,1841 -4,1302 -3,9556 -3,7035 -3,3902 -3,0044 -2,5315 -1,9816 -1,3996 -0,8472 -0,3642 0,0565 0,4568 0,8807 1,3434 1,8210 2,2686 2,6417 2,9023 3,0262 3,0058 2,8420 2,5478 2,1704 1,7910 1,4920 1,3187 1,2655 1,2859 1,3190 1,3182 1,2612 1,1310 0,8914 0,5038 -0,0166 -0,5668 -0,9997 -1,2161 -1,2191 -1,0908 -0,9254 -0,7759 -0,6505 -0,5395 -0,4343 -0,3270 -0,2109 -0,0868 0,0358 0,1525 0,2826 0,4623 0,7026 0,9612 1,1676 1,2688 1,2503 1,1323 0,9656 0,8233 0,7668 0,8087 0,9112 1,0178 1,0771 1,0464 0,8884 0,5804 0,1341 -0,4016 -0,9619 -1,4855 -1,9225 -2,2388 -2,4227 -2,4910 -2,4858 -2,4594 -2,4575 -2,4993 -2,5708 -2,6477 -2,7252 -2,8187 -2,9361 -3,0525 -3,1217 -3,1229 -3,0889 -3,0871 -3,1726 -3,3508 -3,5777
