Fp1   -1,0198 -1,4059 -1,7454 -1,7928 -1,4406 -0,7918 -0,0932 0,4149 0,6382 0,6506 0,5749 0,4861 0,4446 0,5286 0,7865 1,1904 1,6411 2,0004 2,1458 2,0374 1,7454 1,3844 1,0185 0,6669 0,3776 0,2398 0,3226 0,5885 0,8719 0,9922 0,8837 0,6066 0,2757 -0,0297 -0,3057 -0,5758 -0,8138 -0,9267 -0,8372 -0,5697 -0,2249 0,0820 0,2302 0,1163 -0,2876 -0,9201 -1,6560 -2,3452 -2,8858 -3,2740 -3,5596 -3,7665 -3,8422 -3,6593 -3,1252 -2,3297 -1,5276 -0,9559 -0,6720 -0,5545 -0,4516 -0,3007 -0,0961 0,1819 0,5567 1,0162 1,5232 2,0482 2,5823 3,1309 3,6817 4,1862 4,5940 4,8901 5,0838 5,1762 5,1509 5,0103 4,8311 4,7702 4,9527 5,3051 5,5609 5,4994 5,1499 4,7514 4,5613 4,7052 5,1201 5,5748 5,7837 5,5740 4,9744 4,1640 3,3445 2,6317 2,0300 1,5019 1,0447 0,6947 0,4785 0,3741 0,3064 0,1704 -0,0850 -0,3591 -0,4774 -0,3860 -0,1633 0,1126 0,3710 0,4973 0,4158 0,1894 -0,0222 -0,0656 0,1458 0,6085 1,2502 1,9978 2,8258 3,7525 4,7750 5,8040 6,7145 7,4660 8,1310 8,8171 9,5710 10,3459 11,0465 11,5809 11,8588 11,8039 11,4636 11,0724 10,8875 10,9598 11,1288 11,2091 11,1466 11,0513 11,0978 11,3608 11,7699 12,2216 12,6343 12,9091 12,9671 12,8286 12,5835 12,3065 12,0324 11,7919 11,6439 11,6538 11,8329 12,1135 12,4059 12,6848 12,9990 13,3868 13,8204 14,2398 14,5939 14,8447 14,9505 14,8372 14,3950 13,5401 12,3012 10,8451 9,4417 8,3905 7,9094 8,0317 8,5840 9,2582 9,7293 9,7707 9,3400 8,5733 7,6986 6,9619 6,5622 6,5591 6,8346 7,1683 7,3426 7,1992 6,6725 5,8371 4,9321 4,2795 4,1026 4,3827 4,8976 5,3990 5,7465 5,8900 5,8250 5,6389 5,5145 5,5840 5,8024 5,9965 6,0096 5,7935 5,4093 4,9647 4,5352 4,1277 3,7036 3,2400 2,7728 2,3562 1,9885 1,6367 1,3442 1,2873 1,6818 2,5974 3,8767 5,2392 6,4329 7,3125 7,8479 8,0723 8,0066 7,6399 7,0006 6,2235 5,4784 4,8543 4,3883 4,1401 4,1116 4,1610 4,1311 4,0108 3,8895 3,8444 3,9362 4,2254 4,7095 5,2491 5,6298 5,7237 5,5519 5,2222 4,8626 4,5571 4,2813 3,9242 3,4092 2,7833 2,1917 1,7774 1,5709 1,4508 1,2305 0,8010 0,2263 -0,2796 -0,5251 -0,5222 -0,4553 -0,4775 -0,5866 -0,6600 -0,5476 -0,1534 0,5149 1,3538 2,2281 3,0315 3,6902 4,1672 4,4985 4,7738 5,0539 5,3415 5,6130 5,8146 5,8332 5,5424 4,9024 3,9923 2,9499 1,9023 0,9412 0,1369 -0,4520 -0,8042 -0,9359 -0,8090 -0,3045 0,5912 1,6225 2,4059 2,7007 2,4894 1,8833 1,0541 0,2014 -0,5492 -1,2161 -1,8758 -2,5185 -2,9960 -3,1187 -2,8308 -2,2574 -1,5638 -0,8212 -0,0341 0,7433 1,3601 1,6378 1,4995 1,0491 0,4914 -0,0463 -0,5522 -1,0038 -1,3240 -1,4617 -1,4166 -1,1800 -0,7271 -0,0920 0,5987 1,1941 1,6129 1,8898 2,1438 2,4839 2,9516 3,5390 4,2168 4,9430 5,6849 6,4321 7,1597 7,8196 8,4010 8,9221 9,3322 9,5170 9,4082 9,0124 8,3812 7,6257 6,9117 6,3831 6,0921 5,9876 5,9590 5,9089 5,7923 5,6017 5,3427 5,0132 4,5938 4,0759 3,5065 2,9810 2,5599 2,2157 1,9037 1,6554 1,5510 1,6037 1,7000 1,6837 1,5022 1,2365 0,9964 0,8474 0,8347 0,9893 1,2771 1,5854 1,7803 1,7866 1,6206 1,3545 1,0675 0,8354 0,7279 0,7701 0,9114 1,0552 1,1188 1,0955 1,0657 1,1145 1,2629 1,4868 1,7512 2,0186 2,2482 2,3991 2,4443 2,4161 2,4527 2,7578 3,4618 4,5257 5,7848 7,0433 8,1196 8,8688 9,2174 9,2067 8,9804 8,6881 8,4340 8,2981 8,3147 8,4447 8,6116 8,7276 8,7087 8,5448 8,3220 8,1346 8,0116 7,9287 7,8470 7,7260 7,5194 7,1982 6,7966 6,4238 6,2100 6,2376 6,5285 7,0511 7,6881 8,2364 8,5088 8,4318 8,0356 7,3920 6,5865 5,7439 5,0743 4,8569 5,2971 6,3355 7,6357 8,8060 9,6160 10,0274 10,1028 9,9239 9,5683 9,1007 8,5545 7,9511 7,3579 6,8948 6,6616 6,6901 6,9520 7,3664 7,8175 8,2038 8,4564 8,5083 8,2864 7,7492 6,9289 5,9638 5,0831 4,5263 4,4559 4,8887 5,6635 6,4956 7,1052 7,3489 7,2561 6,9478 6,5292 6,0348 5,4464 4,7826 4,1722 3,7871 3,6862 3,7751 3,9357 4,1484 4,4592 4,8741 5,3388 5,8142 6,3332 6,9457 7,5898 8,0756 8,2720 8,2757 8,3370 8,6455 9,2123 9,9049 10,5430 10,9850 11,1729 11,1289 10,9527 10,8110 10,8453 11,0596 11,3299 11,5247 11,6078 11,6350 11,6880 11,8259 12,0546 12,3031 12,4665 12,5044 12,4709 12,4314 12,3758 12,2263 11,9198 11,4841 11,0433 10,7476 10,7119 10,9926 11,5495 12,2054 12,6853 12,7582 12,3759 11,6589 10,7624 9,8162 8,9698 8,3905 8,1505 8,1259 8,0532 7,7224 7,1356 6,5079 6,1079 6,0490 6,2010 6,3207 6,2735 6,0959 5,8931 5,7477 5,6832 5,6570 5,6024 5,4875 5,3207 5,1185 4,9081 4,7351 4,5943 4,3649 3,8834 3,0833 2,0509 0,9993 0,1968 -0,1594 -0,0547 0,3471 0,8178 1,1945 1,4299 1,5643 1,6857 1,8902 2,2254 2,6482 3,0325 3,2244 3,1113 2,6580 1,9002 0,9173 -0,1913 -1,2995 -2,2371 -2,8197 -2,9320 -2,5919 -1,9515
Fz    -0,6163 -0,9307 -1,2895 -1,5870 -1,7564 -1,7948 -1,7379 -1,6205 -1,4612 -1,2706 -1,0658 -0,8686 -0,6813 -0,4780 -0,2258 0,0875 0,4386 0,7704 1,0158 1,1316 1,1159 1,0000 0,8348 0,6855 0,6227 0,6963 0,9099 1,2118 1,5130 1,7321 1,8290 1,8028 1,6746 1,4790 1,2570 1,0456 0,8734 0,7602 0,7036 0,6678 0,6000 0,4603 0,2302 -0,0942 -0,5020 -0,9689 -1,4596 -1,9231 -2,2959 -2,5211 -2,5660 -2,4324 -2,1458 -1,7270 -1,1957 -0,6051 -0,0413 0,4281 0,7979 1,1122 1,4135 1,7169 2,0273 2,3579 2,7266 3,1390 3,5799 4,0198 4,4309 4,8030 5,1392 5,4324 5,6580 5,7999 5,8761 5,9277 5,9834 6,0464 6,1169 6,2123 6,3441 6,4788 6,5498 6,5205 6,4194 6,3103 6,2362 6,1949 6,1491 6,0456 5,8354 5,5008 5,0699 4,6008 4,1418 3,6975 3,2342 2,7199 2,1488 1,5286 0,8662 0,1687 -0,5545 -1,2936 -2,0261 -2,6917 -3,2073 -3,5251 -3,6462 -3,5820 -3,3498 -2,9963 -2,5833 -2,1415 -1,6532 -1,0748 -0,3781 0,4178 1,2590 2,0994 2,9180 3,7145 4,4970 5,2607 5,9820 6,6479 7,2814 7,9262 8,6047 9,2957 9,9499 10,5172 10,9518 11,2157 11,3086 11,2914 11,2449 11,2083 11,1760 11,1420 11,1234 11,1537 11,2633 11,4514 11,6757 11,8826 12,0458 12,1709 12,2855 12,4295 12,6368 12,9144 13,2385 13,5741 13,8982 14,2053 14,4954 14,7661 15,0159 15,2430 15,4398 15,5840 15,6375 15,5630 15,3542 15,0473 14,6953 14,3280 13,9360 13,4884 12,9647 12,3847 11,8147 11,3339 10,9799 10,7240 10,4940 10,2124 9,8257 9,3173 8,7110 8,0587 7,4193 6,8436 6,3672 6,0013 5,7352 5,5512 5,4361 5,3788 5,3673 5,3967 5,4793 5,6366 5,8729 6,1569 6,4329 6,6544 6,8011 6,8635 6,8378 6,7521 6,6691 6,6347 6,6314 6,5973 6,4832 6,2861 6,0381 5,7779 5,5242 5,2591 4,9378 4,5240 4,0155 3,4301 2,7778 2,0745 1,3808 0,8136 0,5054 0,5280 0,8419 1,3254 1,8484 2,3219 2,7047 2,9824 3,1424 3,1738 3,0934 2,9598 2,8440 2,7928 2,8318 2,9798 3,2227 3,4931 3,7188 3,8846 4,0247 4,1765 4,3618 4,5915 4,8620 5,1439 5,3994 5,6223 5,8400 6,0739 6,3166 6,5357 6,6801 6,6953 6,5553 6,2837 5,9387 5,5734 5,2042 4,8227 4,4313 4,0623 3,7758 3,6466 3,7244 3,9887 4,3558 4,7419 5,1133 5,4848 5,8866 6,3335 6,8094 7,2662 7,6437 7,9041 8,0488 8,1090 8,1328 8,1699 8,2509 8,3810 8,5452 8,7054 8,7960 8,7513 8,5519 8,2393 7,8897 7,5846 7,3898 7,3319 7,3904 7,5146 7,6547 7,7998 7,9846 8,2235 8,4481 8,5472 8,4617 8,2141 7,8661 7,4792 7,1119 6,8068 6,5643 6,3501 6,1424 5,9663 5,8688 5,8625 5,9141 5,9886 6,0852 6,2193 6,3729 6,4780 6,4580 6,2773 5,9589 5,5657 5,1560 4,7620 4,4142 4,1508 3,9860 3,8946 3,8455 3,8326 3,8606 3,9127 3,9589 3,9972 4,0745 4,2592 4,5923 5,0576 5,5859 6,0906 6,5121 6,8379 7,0855 7,2749 7,4243 7,5574 7,6877 7,7900 7,8106 7,7119 7,4934 7,1834 6,8395 6,5451 6,3746 6,3570 6,4697 6,6589 6,8653 7,0396 7,1494 7,1827 7,1419 7,0372 6,8936 6,7600 6,7026 6,7706 6,9582 7,2168 7,5046 7,8117 8,1357 8,4523 8,7259 8,9408 9,1057 9,2295 9,3122 9,3587 9,3772 9,3600 9,2877 9,1567 8,9938 8,8382 8,7106 8,6039 8,5012 8,3975 8,2972 8,1972 8,0816 7,9314 7,7388 7,5098 7,2523 6,9720 6,6826 6,4111 6,1829 6,0000 5,8333 5,6499 5,4575 5,3222 5,3330 5,5369 5,9058 6,3638 6,8307 7,2398 7,5381 7,6893 7,6847 7,5501 7,3325 7,0893 6,8899 6,7943 6,8196 6,9349 7,0729 7,1517 7,1162 6,9655 6,7350 6,4662 6,1932 5,9403 5,7180 5,5236 5,3575 5,2407 5,2100 5,2936 5,4939 5,7890 6,1349 6,4577 6,6643 6,6885 6,5299 6,2500 5,9381 5,6707 5,4846 5,3894 5,4051 5,5604 5,8424 6,1732 6,4565 6,6363 6,7139 6,7233 6,6953 6,6393 6,5479 6,4087 6,2288 6,0577 5,9720 6,0238 6,2155 6,5100 6,8475 7,1633 7,4123 7,5784 7,6596 7,6496 7,5339 7,3005 6,9637 6,5852 6,2641 6,0998 6,1415 6,3581 6,6563 6,9284 7,0959 7,1362 7,0797 6,9784 6,8706 6,7707 6,6836 6,6195 6,5907 6,5955 6,6188 6,6535 6,7119 6,8110 6,9531 7,1253 7,3153 7,5239 7,7585 8,0121 8,2519 8,4465 8,6078 8,7863 9,0167 9,2761 9,4876 9,5628 9,4586 9,2045 8,8720 8,5333 8,2522 8,0768 8,0160 8,0274 8,0452 8,0172 7,9192 7,7514 7,5342 7,2964 7,0566 6,8258 6,6295 6,5115 6,5036 6,5923 6,7193 6,8194 6,8641 6,8755 6,9029 6,9929 7,1704 7,4246 7,7025 7,9252 8,0283 7,9972 7,8639 7,6777 7,4910 7,3593 7,3212 7,3645 7,4284 7,4410 7,3562 7,1752 6,9469 6,7349 6,5635 6,4004 6,1988 5,9503 5,6849 5,4345 5,2126 5,0155 4,8262 4,6242 4,3941 4,1253 3,8100 3,4537 3,0807 2,7082 2,3139 1,8512 1,2937 0,6549 -0,0197 -0,6625 -1,2045 -1,6058 -1,8698 -2,0284 -2,1163 -2,1600 -2,1762 -2,1636 -2,0949 -1,9351 -1,6816 -1,3834 -1,1182 -0,9510 -0,9123 -1,0003 -1,1951 -1,4714 -1,7903 -2,0847 -2,2739 -2,3062 -2,1879 -1,9740
F3    -0,9931 -1,2227 -1,4753 -1,6293 -1,6234 -1,4793 -1,2656 -1,0416 -0,8213 -0,5822 -0,3138 -0,0407 0,2138 0,4575 0,7080 0,9612 1,1829 1,3258 1,3588 1,2904 1,1641 1,0303 0,9254 0,8786 0,9196 1,0647 1,2946 1,5413 1,7056 1,7152 1,5653 1,3043 0,9983 0,6983 0,4240 0,1729 -0,0509 -0,2225 -0,3248 -0,3794 -0,4246 -0,4798 -0,5531 -0,6597 -0,8213 -1,0577 -1,3692 -1,7184 -2,0466 -2,3043 -2,4566 -2,4815 -2,3758 -2,1456 -1,8115 -1,4339 -1,1000 -0,8641 -0,7041 -0,5417 -0,3163 -0,0371 0,2481 0,5186 0,8005 1,1311 1,5243 1,9673 2,4384 2,9223 3,4023 3,8416 4,1942 4,4340 4,5678 4,6195 4,6068 4,5440 4,4701 4,4563 4,5538 4,7175 4,8190 4,7603 4,5593 4,3191 4,1395 4,0669 4,0914 4,1554 4,1705 4,0610 3,8023 3,4189 2,9506 2,4204 1,8369 1,2251 0,6367 0,1208 -0,3060 -0,6657 -1,0028 -1,3667 -1,7785 -2,1926 -2,5235 -2,7260 -2,8055 -2,7740 -2,6550 -2,5036 -2,3617 -2,2004 -1,9321 -1,4749 -0,8077 0,0139 0,8934 1,7495 2,5474 3,2984 4,0357 4,7661 5,4532 6,0598 6,5942 7,1012 7,6153 8,1358 8,6386 9,0888 9,4327 9,6097 9,6107 9,5120 9,4108 9,3430 9,2952 9,2661 9,2923 9,4352 9,7450 10,2029 10,7091 11,1528 11,4727 11,6493 11,6930 11,6520 11,5888 11,5408 11,5110 11,4933 11,4975 11,5501 11,6675 11,8378 12,0311 12,2235 12,4042 12,5598 12,6616 12,6814 12,6187 12,4993 12,3416 12,1228 11,7830 11,2691 10,5795 9,7798 8,9888 8,3374 7,9087 7,6967 7,6127 7,5324 7,3486 7,0045 6,5042 5,8962 5,2447 4,6213 4,1001 3,7276 3,4948 3,3462 3,2150 3,0489 2,8223 2,5485 2,2849 2,1078 2,0656 2,1524 2,3271 2,5452 2,7622 2,9184 2,9659 2,9329 2,9211 3,0004 3,1282 3,1929 3,1194 2,9174 2,6481 2,3655 2,0866 1,7954 1,4689 1,1063 0,7390 0,3956 0,0657 -0,2706 -0,5788 -0,7526 -0,6684 -0,2766 0,3527 1,0721 1,7403 2,2808 2,6882 2,9839 3,1621 3,1872 3,0534 2,8335 2,6381 2,5379 2,5583 2,7128 2,9774 3,2592 3,4580 3,5474 3,5633 3,5485 3,5392 3,5713 3,6582 3,7590 3,8064 3,7773 3,7078 3,6551 3,6703 3,7745 3,9291 4,0469 4,0553 3,9484 3,7794 3,5991 3,3986 3,1185 2,7183 2,2258 1,7343 1,3673 1,2101 1,2427 1,3601 1,4740 1,5781 1,7247 1,9696 2,3403 2,8221 3,3537 3,8487 4,2384 4,5005 4,6604 4,7793 4,9241 5,1323 5,4018 5,6960 5,9425 6,0422 5,9149 5,5506 5,0159 4,4142 3,8441 3,3752 3,0421 2,8555 2,8070 2,8762 3,0680 3,4192 3,9095 4,3943 4,6935 4,7252 4,5218 4,1555 3,6947 3,2111 2,7610 2,3491 1,9516 1,5864 1,3412 1,3081 1,4863 1,7765 2,0753 2,3533 2,6356 2,9246 3,1630 3,2731 3,2182 3,0351 2,8109 2,6159 2,4725 2,3895 2,3735 2,3949 2,3882 2,3105 2,1861 2,0789 2,0349 2,0682 2,1827 2,3872 2,6919 3,1012 3,6106 4,2039 4,8468 5,4911 6,0892 6,6052 7,0143 7,3092 7,5065 7,6179 7,6100 7,4336 7,0904 6,6321 6,1167 5,6101 5,1990 4,9599 4,9183 5,0399 5,2488 5,4591 5,6040 5,6567 5,6268 5,5228 5,3261 5,0241 4,6608 4,3343 4,1246 4,0288 3,9878 3,9626 3,9583 3,9852 4,0210 4,0312 4,0178 4,0205 4,0668 4,1482 4,2470 4,3535 4,4551 4,5292 4,5534 4,5229 4,4570 4,3841 4,3214 4,2756 4,2543 4,2562 4,2566 4,2134 4,0914 3,8908 3,6562 3,4431 3,2831 3,1812 3,1236 3,0864 3,0455 2,9837 2,8924 2,7903 2,7476 2,8677 3,2163 3,7694 4,4402 5,1327 5,7580 6,2326 6,4906 6,5102 6,3228 5,9839 5,5640 5,1660 4,8923 4,7868 4,8168 4,8913 4,9079 4,8228 4,6734 4,5205 4,3920 4,2783 4,1541 3,9931 3,7775 3,5202 3,2822 3,1521 3,1940 3,4159 3,7803 4,2185 4,6233 4,8660 4,8662 4,6412 4,2795 3,8784 3,4993 3,1675 2,9138 2,8063 2,9176 3,2458 3,6960 4,1538 4,5527 4,8736 5,1078 5,2322 5,2201 5,0665 4,7970 4,4707 4,1822 4,0255 4,0316 4,1518 4,3000 4,4037 4,4390 4,4394 4,4576 4,5057 4,5367 4,4772 4,2673 3,8944 3,4135 2,9414 2,6232 2,5675 2,7826 3,1706 3,5822 3,8901 4,0373 4,0412 3,9591 3,8415 3,7065 3,5563 3,4132 3,3190 3,2924 3,3100 3,3434 3,4000 3,5099 3,6869 3,9180 4,1813 4,4561 4,7085 4,8679 4,8498 4,6396 4,3472 4,1492 4,1716 4,4240 4,8114 5,1923 5,4539 5,5586 5,5328 5,4378 5,3533 5,3443 5,4184 5,5229 5,5864 5,5636 5,4482 5,2609 5,0405 4,8330 4,6695 4,5590 4,5121 4,5517 4,6842 4,8657 5,0123 5,0503 4,9679 4,8241 4,7083 4,6936 4,8172 5,0666 5,3723 5,6305 5,7565 5,7298 5,5858 5,3729 5,1335 4,9122 4,7456 4,6362 4,5502 4,4426 4,2832 4,0792 3,8857 3,7735 3,7631 3,7928 3,7739 3,6735 3,5197 3,3459 3,1652 2,9777 2,7732 2,5358 2,2552 1,9326 1,5790 1,2208 0,8987 0,6345 0,3945 0,1112 -0,2586 -0,7091 -1,1950 -1,6491 -2,0093 -2,2476 -2,3776 -2,4358 -2,4621 -2,4945 -2,5626 -2,6651 -2,7542 -2,7609 -2,6464 -2,4347 -2,2006 -2,0300 -1,9859 -2,0928 -2,3398 -2,6920 -3,0915 -3,4576 -3,7126 -3,8231 -3,8149 -3,7495
F7    -0,4160 -0,8089 -1,1453 -1,2574 -1,0806 -0,6880 -0,2416 0,1023 0,2836 0,3538 0,3967 0,4584 0,5569 0,7038 0,8939 1,1031 1,2951 1,4225 1,4431 1,3569 1,2183 1,0849 0,9573 0,8012 0,6198 0,4752 0,4401 0,5212 0,6338 0,6697 0,5805 0,3945 0,1776 -0,0221 -0,2002 -0,3718 -0,5318 -0,6418 -0,6665 -0,6158 -0,5313 -0,4589 -0,4498 -0,5455 -0,7479 -1,0234 -1,3198 -1,5759 -1,7509 -1,8532 -1,9208 -1,9737 -1,9796 -1,8620 -1,5691 -1,1509 -0,7414 -0,4587 -0,3224 -0,2583 -0,1856 -0,0907 0,0004 0,0865 0,1946 0,3477 0,5568 0,8284 1,1605 1,5393 1,9367 2,3106 2,6194 2,8366 2,9533 2,9766 2,9219 2,8134 2,7040 2,6880 2,8456 3,1414 3,4188 3,5381 3,4944 3,3918 3,3403 3,3941 3,5379 3,6879 3,7269 3,5754 3,2331 2,7604 2,2392 1,7413 1,3048 0,9394 0,6497 0,4450 0,3260 0,2699 0,2294 0,1444 -0,0147 -0,1899 -0,2793 -0,2533 -0,1630 -0,0581 0,0227 0,0169 -0,1173 -0,3331 -0,5123 -0,5411 -0,3650 0,0007 0,4985 1,0810 1,7376 2,4761 3,2748 4,0543 4,7206 5,2361 5,6346 5,9784 6,3031 6,5948 6,8107 6,9081 6,8468 6,5996 6,2132 5,8376 5,6292 5,6215 5,7197 5,8083 5,8479 5,8998 6,0694 6,4068 6,8726 7,3945 7,8990 8,2912 8,4903 8,4951 8,3710 8,1868 7,9887 7,8168 7,7174 7,7301 7,8610 8,0692 8,2972 8,5279 8,7914 9,1029 9,4284 9,7221 9,9577 10,1161 10,1668 10,0568 9,7196 9,1192 8,2949 7,3609 6,4750 5,8009 5,4596 5,4771 5,7669 6,1644 6,4878 6,5991 6,4569 6,1249 5,7216 5,3726 5,1767 5,1578 5,2428 5,3042 5,2214 4,9200 4,3973 3,7429 3,1292 2,7419 2,6767 2,8795 3,1941 3,4720 3,6381 3,6708 3,5734 3,3989 3,2503 3,2000 3,2256 3,2393 3,1610 2,9630 2,6737 2,3500 2,0386 1,7546 1,4874 1,2286 0,9953 0,8108 0,6675 0,5400 0,4423 0,4614 0,7094 1,2252 1,9341 2,6994 3,3905 3,9201 4,2566 4,4067 4,3774 4,1634 3,7892 3,3489 2,9589 2,6745 2,4992 2,4380 2,4728 2,5200 2,4889 2,3615 2,1751 1,9738 1,8135 1,7666 1,8702 2,0644 2,2228 2,2542 2,1518 1,9720 1,7973 1,6852 1,6178 1,5130 1,3065 1,0183 0,7389 0,5601 0,5002 0,4767 0,3642 0,0948 -0,2810 -0,6273 -0,8383 -0,9353 -1,0304 -1,1958 -1,3911 -1,5071 -1,4456 -1,1695 -0,7154 -0,1718 0,3666 0,8334 1,1915 1,4343 1,6020 1,7568 1,9250 2,0882 2,2221 2,3041 2,2843 2,0981 1,7246 1,2131 0,6539 0,1336 -0,2948 -0,6142 -0,8223 -0,9201 -0,9091 -0,7574 -0,3957 0,1759 0,8019 1,2564 1,3957 1,2017 0,7389 0,1276 -0,4838 -0,9997 -1,4292 -1,8279 -2,1976 -2,4514 -2,4771 -2,2447 -1,8339 -1,3499 -0,8453 -0,3325 0,1568 0,5461 0,7433 0,7052 0,4862 0,2043 -0,0575 -0,2831 -0,4661 -0,5872 -0,6434 -0,6378 -0,5404 -0,2984 0,1019 0,6074 1,1265 1,5709 1,8896 2,0829 2,1813 2,2318 2,3072 2,4802 2,7743 3,1695 3,6411 4,1561 4,6629 5,1304 5,5579 5,9130 6,1224 6,1384 5,9598 5,6121 5,1572 4,6946 4,3182 4,0732 3,9449 3,8762 3,8095 3,7179 3,6035 3,4775 3,3326 3,1338 2,8520 2,5052 2,1515 1,8307 1,5341 1,2479 1,0008 0,8448 0,7897 0,7676 0,6850 0,5139 0,3024 0,1057 -0,0459 -0,1124 -0,0425 0,1738 0,4770 0,7704 0,9810 1,0933 1,1338 1,1385 1,1412 1,1710 1,2329 1,2948 1,3120 1,2631 1,1762 1,1236 1,1728 1,3473 1,6275 1,9623 2,2844 2,5378 2,6947 2,7534 2,7452 2,7531 2,8948 3,2532 3,8215 4,5179 5,2340 5,8652 6,3274 6,5739 6,6165 6,5213 6,3594 6,1782 6,0157 5,8918 5,7968 5,7115 5,6154 5,4826 5,3132 5,1507 5,0388 4,9808 4,9486 4,9076 4,8265 4,6772 4,4496 4,1769 3,9401 3,8263 3,8772 4,0850 4,4175 4,8129 5,1755 5,4191 5,5080 5,4371 5,1984 4,7920 4,2737 3,7891 3,5471 3,7162 4,2964 5,1017 5,8929 6,5154 6,9194 7,1066 7,0915 6,8982 6,5628 6,1292 5,6504 5,1978 4,8514 4,6635 4,6349 4,7227 4,8601 4,9854 5,0687 5,0944 5,0217 4,7957 4,3982 3,8736 3,3207 2,8662 2,6202 2,6435 2,9298 3,3991 3,9119 4,3153 4,5143 4,5057 4,3416 4,0721 3,7179 3,2762 2,7619 2,2559 1,8794 1,6930 1,6503 1,6704 1,7269 1,8464 2,0525 2,3437 2,7133 3,1650 3,6854 4,1891 4,5329 4,6423 4,6070 4,6105 4,7845 5,1429 5,6180 6,1139 6,5371 6,8179 6,9327 6,9279 6,9100 6,9684 7,1009 7,2358 7,3154 7,3496 7,3966 7,5080 7,6999 7,9519 8,2100 8,4135 8,5417 8,6218 8,6825 8,7144 8,6746 8,5276 8,2909 8,0444 7,8837 7,8729 8,0327 8,3351 8,6899 8,9638 9,0504 8,9346 8,6669 8,2876 7,8178 7,3106 6,8630 6,5528 6,3637 6,1851 5,9027 5,4950 5,0526 4,7083 4,5379 4,5050 4,5013 4,4493 4,3498 4,2480 4,1901 4,1949 4,2372 4,2624 4,2225 4,0988 3,9010 3,6654 3,4437 3,2537 3,0357 2,6920 2,1782 1,5524 0,9578 0,5612 0,4711 0,6803 1,0762 1,5087 1,8647 2,0947 2,1983 2,2088 2,1785 2,1481 2,1179 2,0447 1,8648 1,5346 1,0541 0,4582 -0,2079 -0,8963 -1,5442 -2,0678 -2,3853 -2,4566 -2,3056 -2,0113
