Fp1   3,4979 3,8492 4,0342 4,0252 3,8547 3,6077 3,3834 3,2665 3,3038 3,4752 3,6929 3,8432 3,8391 3,6444 3,2746 2,7874 2,2696 1,8172 1,5051 1,3534 1,3123 1,2817 1,1580 0,8802 0,4561 -0,0431 -0,5115 -0,8465 -0,9944 -0,9873 -0,9337 -0,9611 -1,1527 -1,5206 -2,0260 -2,6101 -3,1941 -3,6836 -4,0088 -4,1650 -4,2071 -4,2072 -4,2186 -4,2634 -4,3314 -4,3859 -4,3758 -4,2491 -3,9732 -3,5629 -3,0893 -2,6510 -2,3243 -2,1312 -2,0379 -1,9791 -1,8948 -1,7475 -1,5142 -1,1937 -0,8258 -0,4840 -0,2496 -0,1890 -0,3253 -0,6042 -0,8956 -1,0401 -0,9141 -0,4912 0,1408 0,8286 1,4306 1,8648 2,1171 2,2298 2,2820 2,3617 2,5231 2,7542 2,9899 3,1554 3,1956 3,0812 2,8185 2,4674 2,1420 1,9692 2,0183 2,2542 2,5615 2,8161 2,9460 2,9440 2,8444 2,6961 2,5605 2,5198 2,6580 3,0100 3,5296 4,1104 4,6290 4,9776 5,0885 4,9608 4,6705 4,3402 4,0802 3,9446 3,9277 3,9930 4,1017 4,2170 4,3108 4,3837 4,4738 4,6422 4,9398 5,3640 5,8383 6,2451 6,4856 6,5200 6,3706 6,1011 5,7894 5,4999 5,2691 5,1081 5,0056 4,9250 4,8149 4,6400 4,4091 4,1734 3,9968 3,9226 3,9604 4,0861 4,2472 4,3802 4,4352 4,3905 4,2602 4,0963 3,9773 3,9849 4,1700 4,5268 4,9938 5,4783 5,8911 6,1764 6,3238 6,3649 6,3656 6,4132 6,5857 6,9136 7,3589 7,8279 8,2047 8,3884 8,3301 8,0644 7,7080 7,4085 7,2829 7,3840 7,6844 8,0892 8,4835 8,7759 8,9130 8,8893 8,7589 8,6218 8,5731 8,6550 8,8516 9,1092 9,3531 9,5061 9,5119 9,3500 9,0379 8,6278 8,1897 7,7759 7,3987 7,0398 6,6712 6,2676 5,8193 5,3456 4,8963 4,5329 4,2946 4,1687 4,0854 3,9511 3,7001 3,3266 2,8821 2,4512 2,1219 1,9554 1,9610 2,0961 2,2900 2,4722 2,5878 2,5964 2,4714 2,2121 1,8586 1,4843 1,1588 0,9108 0,7225 0,5447 0,3174 -0,0009 -0,4081 -0,8666 -1,3328 -1,7614 -2,0967 -2,2958 -2,3620 -2,3387 -2,2782 -2,2202 -2,1844 -2,1625 -2,1156 -1,9872 -1,7319 -1,3524 -0,9127 -0,5156 -0,2638 -0,2268 -0,4201 -0,7994 -1,2633 -1,6753 -1,9216 -1,9802 -1,9375 -1,9261 -2,0473 -2,3405 -2,7818 -3,2906 -3,7597 -4,0930 -4,2259 -4,1374 -3,8564 -3,4529 -3,0103 -2,6009 -2,2750 -2,0517 -1,9076 -1,7855 -1,6393 -1,4844 -1,3992 -1,4736 -1,7532 -2,2249 -2,8324 -3,4939 -4,1139 -4,5973 -4,8774 -4,9518 -4,8906 -4,7926 -4,7353 -4,7675 -4,9171 -5,1756 -5,4785 -5,7215 -5,8081 -5,6999 -5,4370 -5,1222 -4,8827 -4,8246 -4,9935 -5,3539 -5,7985 -6,1842 -6,3806 -6,3256 -6,0612 -5,7125 -5,4139 -5,2430 -5,2119 -5,2930 -5,4336 -5,5550 -5,5685 -5,4142 -5,0905 -4,6489 -4,1716 -3,7475 -3,4437 -3,2798 -3,2239 -3,2076 -3,1666 -3,0880 -3,0193 -3,0364 -3,2050 -3,5524 -4,0559 -4,6471 -5,2236 -5,6740 -5,9217 -5,9604 -5,8487 -5,6728 -5,5077 -5,4040 -5,3974 -5,5062 -5,7084 -5,9323 -6,0871 -6,1154 -6,0269 -5,8873 -5,7722 -5,7273 -5,7560 -5,8151 -5,8137 -5,6429 -5,2383 -4,6279 -3,9260 -3,2794 -2,8016 -2,5355 -2,4515 -2,4714 -2,4995 -2,4432 -2,2354 -1,8708 -1,4245 -1,0124 -0,7184 -0,5529 -0,4697 -0,4076 -0,3102 -0,1240 0,1941 0,6493 1,1959 1,7532 2,2315 2,5574 2,7017 2,6932 2,6067 2,5341 2,5478 2,6701 2,8552 2,9987 2,9847 2,7515 2,3328 1,8453 1,4327 1,2030 1,1993 1,4018 1,7366 2,0937 2,3653 2,4850 2,4416 2,2717 2,0517 1,8775 1,8256 1,9150 2,0995 2,2981 2,4347 2,4532 2,3106 1,9801 1,4733 0,8584 0,2460 -0,2626 -0,6301 -0,8940 -1,1253 -1,3745 -1,6483 -1,9139 -2,1066 -2,1428 -1,9530 -1,5224 -0,9036 -0,1923 0,5022 1,0793 1,4779 1,6990 1,7918 1,8301 1,9019 2,0882 2,4277 2,9025 3,4601 4,0530 4,6647 5,3075 6,0005 6,7508 7,5396 8,3182 9,0214 9,5946 10,0120 10,2744 10,4059 10,4600 10,5169 10,6575 10,9254 11,3021 11,7164 12,0786 12,3088 12,3513 12,1864 11,8375 11,3642 10,8428 10,3458 9,9174 9,5561 9,2246 8,8788 8,4882 8,0370 7,5232 6,9649 6,4053 5,8988 5,4735 5,1013 4,7154 4,2740 3,8110 3,4244 3,2221 3,2765 3,5951 4,1080 4,6908 5,2090 5,5510 5,6430 5,4623 5,0524 4,5177 3,9938 3,6109 3,4665 3,5943 3,9418 4,3938 4,8353 5,2005 5,4780 5,6921 5,8897 6,1283 6,4531 6,8699 7,3385 7,7952 8,1858 8,4759 8,6425 8,6755 8,5954 8,4691 8,3893 8,4126 8,5154 8,6094 8,5982 8,4323 8,1353 7,7893 7,4917 7,3035 7,2208 7,1901 7,1441 7,0287 6,8131 6,4855 6,0552 5,5689 5,1129 4,7756 4,6002 4,5663 4,6033 4,6196 4,5354 4,3079 3,9423 3,4941 3,0534 2,7131 2,5344 2,5153 2,5838 2,6396 2,6139 2,4985 2,3378 2,2078 2,1930 2,3561 2,7128 3,2304 3,8489 4,5131 5,1953 5,8920 6,6059 7,3329 8,0586 8,7750 9,4942 10,2227 10,9193 11,4929 11,8499 11,9432 11,7840 11,4231 10,9292 10,3803 9,8566 9,4209 9,0884 8,8084 8,4801 8,0012 7,3162 6,4368 5,4409 4,4522 3,5891 2,9141 2,4186 2,0412 1,6971 1,3125 0,8569 0,3565 -0,1210 -0,5037 -0,7537 -0,8894 -0,9765 -1,0965 -1,3182 -1,6776 -2,1548 -2,6637 -3,0812 -3,3044 -3,2945 -3,0951
Fz    0,5866 0,8237 1,0064 1,1434 1,2709 1,4302 1,6418 1,9091 2,2291 2,5813 2,9120 3,1513 3,2499 3,2012 3,0379 2,8092 2,5555 2,2994 2,0461 1,7858 1,4991 1,1700 0,7983 0,3984 -0,0070 -0,3872 -0,7014 -0,9084 -0,9911 -0,9757 -0,9238 -0,9011 -0,9444 -1,0500 -1,1950 -1,3600 -1,5282 -1,6808 -1,8114 -1,9432 -2,1145 -2,3423 -2,6085 -2,8783 -3,1143 -3,2748 -3,3155 -3,1971 -2,9061 -2,4766 -1,9868 -1,5252 -1,1522 -0,8850 -0,7074 -0,5897 -0,5090 -0,4546 -0,4202 -0,4035 -0,4118 -0,4593 -0,5643 -0,7420 -0,9816 -1,2353 -1,4383 -1,5381 -1,5122 -1,3768 -1,1786 -0,9681 -0,7744 -0,6000 -0,4281 -0,2326 0,0145 0,3385 0,7487 1,2172 1,6776 2,0565 2,3063 2,4188 2,4261 2,3871 2,3608 2,3790 2,4347 2,4892 2,4919 2,4031 2,2082 1,9207 1,5746 1,2171 0,9041 0,6913 0,6141 0,6671 0,8073 0,9894 1,1901 1,3974 1,5963 1,7740 1,9307 2,0773 2,2208 2,3457 2,4093 2,3635 2,1932 1,9403 1,6900 1,5319 1,5206 1,6606 1,9203 2,2545 2,6162 2,9605 3,2464 3,4417 3,5362 3,5489 3,5166 3,4712 3,4287 3,3930 3,3590 3,3115 3,2331 3,1188 2,9868 2,8811 2,8487 2,9028 3,0201 3,1749 3,3567 3,5629 3,7877 4,0157 4,2256 4,4037 4,5545 4,7010 4,8727 5,0867 5,3328 5,5806 5,7964 5,9599 6,0738 6,1619 6,2588 6,3992 6,6037 6,8657 7,1490 7,4031 7,5831 7,6556 7,6058 7,4584 7,2796 7,1379 7,0712 7,0851 7,1615 7,2772 7,4213 7,5931 7,7943 8,0258 8,2844 8,5590 8,8284 9,0597 9,2178 9,2838 9,2561 9,1389 8,9468 8,7133 8,4694 8,2155 7,9239 7,5651 7,1265 6,6144 6,0458 5,4455 4,8517 4,3159 3,8956 3,6377 3,5580 3,6280 3,7823 3,9396 4,0289 4,0097 3,8774 3,6531 3,3684 3,0566 2,7488 2,4629 2,1938 1,9194 1,6197 1,2896 0,9381 0,5899 0,2866 0,0673 -0,0588 -0,1215 -0,1709 -0,2583 -0,4249 -0,6885 -1,0311 -1,4118 -1,7904 -2,1351 -2,4221 -2,6419 -2,7989 -2,9020 -2,9605 -2,9817 -2,9647 -2,8959 -2,7602 -2,5549 -2,2914 -1,9958 -1,7147 -1,5043 -1,4045 -1,4249 -1,5428 -1,7075 -1,8607 -1,9664 -2,0223 -2,0533 -2,1028 -2,2088 -2,3786 -2,5919 -2,8155 -3,0063 -3,1184 -3,1212 -3,0119 -2,8125 -2,5613 -2,3009 -2,0663 -1,8793 -1,7467 -1,6567 -1,5839 -1,5136 -1,4599 -1,4600 -1,5495 -1,7358 -1,9934 -2,2823 -2,5641 -2,8038 -2,9671 -3,0221 -2,9524 -2,7786 -2,5576 -2,3480 -2,1835 -2,0842 -2,0689 -2,1438 -2,2864 -2,4547 -2,6223 -2,8024 -3,0296 -3,3216 -3,6657 -4,0374 -4,4166 -4,7891 -5,1421 -5,4513 -5,6685 -5,7395 -5,6478 -5,4409 -5,2053 -5,0118 -4,8856 -4,8117 -4,7518 -4,6620 -4,5144 -4,3111 -4,0803 -3,8599 -3,6845 -3,5802 -3,5526 -3,5714 -3,5805 -3,5348 -3,4309 -3,3003 -3,1839 -3,1179 -3,1316 -3,2402 -3,4319 -3,6599 -3,8563 -3,9631 -3,9564 -3,8552 -3,7139 -3,5919 -3,5174 -3,4806 -3,4627 -3,4625 -3,4866 -3,5323 -3,5913 -3,6591 -3,7364 -3,8238 -3,9126 -3,9819 -4,0069 -3,9610 -3,8104 -3,5226 -3,0923 -2,5591 -1,9971 -1,4857 -1,0857 -0,8276 -0,7079 -0,6918 -0,7207 -0,7257 -0,6560 -0,5175 -0,3721 -0,2835 -0,2676 -0,2908 -0,2989 -0,2455 -0,1032 0,1408 0,4870 0,9199 1,4103 1,9215 2,4045 2,7979 3,0594 3,1989 3,2772 3,3698 3,5252 3,7437 3,9799 4,1621 4,2256 4,1450 3,9487 3,7090 3,5136 3,4347 3,5051 3,7088 3,9846 4,2462 4,4169 4,4564 4,3635 4,1670 3,9213 3,6890 3,5097 3,3774 3,2470 3,0620 2,7804 2,3855 1,8863 1,3163 0,7268 0,1739 -0,3049 -0,7134 -1,0879 -1,4520 -1,7907 -2,0656 -2,2372 -2,2721 -2,1445 -1,8415 -1,3754 -0,7997 -0,1994 0,3463 0,7909 1,1243 1,3728 1,5892 1,8325 2,1483 2,5592 3,0582 3,6104 4,1741 4,7236 5,2530 5,7731 6,3125 6,9062 7,5712 8,2948 9,0371 9,7375 10,3344 10,7922 11,1099 11,3111 11,4353 11,5327 11,6516 11,8206 12,0345 12,2536 12,4251 12,5114 12,4993 12,3909 12,1972 11,9368 11,6348 11,3154 10,9871 10,6367 10,2420 9,7936 9,3038 8,7993 8,3091 7,8558 7,4569 7,1322 6,8993 6,7498 6,6332 6,4816 6,2612 5,9964 5,7513 5,5916 5,5446 5,5831 5,6482 5,6815 5,6347 5,4690 5,1645 4,7376 4,2417 3,7508 3,3459 3,1063 3,0875 3,2958 3,6834 4,1730 4,6998 5,2356 5,7836 6,3624 6,9837 7,6307 8,2544 8,8007 9,2400 9,5658 9,7753 9,8676 9,8622 9,8040 9,7445 9,7196 9,7396 9,7877 9,8282 9,8257 9,7661 9,6634 9,5475 9,4479 9,3794 9,3387 9,3123 9,2774 9,2054 9,0785 8,8967 8,6630 8,3791 8,0485 7,6759 7,2637 6,8142 6,3347 5,8390 5,3388 4,8334 4,3166 3,7960 3,2988 2,8604 2,5090 2,2486 2,0553 1,8968 1,7575 1,6483 1,5963 1,6268 1,7565 1,9938 2,3388 2,7781 3,2773 3,7893 4,2789 4,7405 5,1953 5,6752 6,2058 6,7987 7,4518 8,1421 8,8182 9,4164 9,8962 10,2535 10,5043 10,6658 10,7504 10,7668 10,7171 10,5872 10,3515 9,9930 9,5057 8,8866 8,1471 7,3295 6,5038 5,7399 5,0770 4,5162 4,0421 3,6421 3,3036 3,0067 2,7287 2,4554 2,1828 1,9029 1,5870 1,1947 0,7038 0,1274 -0,4987 -1,1358 -1,7495 -2,2991 -2,7395 -3,0451 -3,2277 -3,3314
F3    0,5995 0,7630 0,9238 1,0763 1,2403 1,4380 1,6721 1,9383 2,2452 2,5988 2,9664 3,2735 3,4420 3,4314 3,2529 2,9543 2,5963 2,2349 1,9082 1,6261 1,3720 1,1180 0,8425 0,5374 0,2085 -0,1223 -0,4170 -0,6304 -0,7279 -0,7086 -0,6156 -0,5202 -0,4868 -0,5482 -0,7127 -0,9793 -1,3291 -1,7166 -2,0881 -2,4121 -2,6865 -2,9190 -3,1148 -3,2800 -3,4173 -3,5167 -3,5526 -3,4881 -3,2941 -2,9757 -2,5810 -2,1818 -1,8411 -1,5903 -1,4251 -1,3177 -1,2348 -1,1439 -1,0154 -0,8438 -0,6635 -0,5357 -0,5201 -0,6526 -0,9248 -1,2793 -1,6283 -1,8850 -1,9922 -1,9424 -1,7746 -1,5457 -1,3010 -1,0658 -0,8495 -0,6432 -0,4109 -0,0930 0,3600 0,9422 1,5810 2,1729 2,6288 2,8997 2,9844 2,9233 2,7787 2,6088 2,4500 2,3102 2,1758 2,0216 1,8219 1,5623 1,2496 0,9155 0,6184 0,4301 0,4048 0,5478 0,8178 1,1544 1,4987 1,7974 2,0130 2,1350 2,1820 2,1911 2,1994 2,2236 2,2487 2,2400 2,1743 2,0608 1,9353 1,8423 1,8202 1,8927 2,0656 2,3241 2,6284 2,9208 3,1422 3,2513 3,2432 3,1521 3,0328 2,9350 2,8888 2,9014 2,9573 3,0169 3,0289 2,9572 2,8001 2,5916 2,3820 2,2103 2,1026 2,0906 2,2074 2,4616 2,8225 3,2274 3,6066 3,9148 4,1488 4,3432 4,5468 4,7910 5,0707 5,3534 5,6012 5,7875 5,9044 5,9648 6,0047 6,0782 6,2364 6,4982 6,8371 7,1934 7,4980 7,6895 7,7271 7,6157 7,4133 7,1987 7,0366 6,9630 6,9782 7,0549 7,1641 7,2880 7,4192 7,5575 7,7037 7,8577 8,0153 8,1645 8,2893 8,3778 8,4154 8,3810 8,2649 8,0845 7,8688 7,6345 7,3832 7,1085 6,8035 6,4609 6,0694 5,6177 5,1115 4,5870 4,1061 3,7366 3,5239 3,4729 3,5448 3,6698 3,7732 3,7995 3,7222 3,5374 3,2551 2,9003 2,5123 2,1308 1,7747 1,4356 1,0942 0,7397 0,3741 0,0107 -0,3238 -0,5960 -0,7851 -0,9012 -0,9824 -1,0780 -1,2371 -1,4918 -1,8379 -2,2418 -2,6615 -3,0500 -3,3548 -3,5343 -3,5801 -3,5221 -3,4182 -3,3355 -3,3242 -3,3883 -3,4826 -3,5414 -3,5096 -3,3666 -3,1401 -2,8961 -2,7061 -2,6192 -2,6461 -2,7554 -2,8944 -3,0166 -3,0920 -3,1138 -3,1108 -3,1344 -3,2255 -3,3968 -3,6277 -3,8614 -4,0212 -4,0444 -3,9059 -3,6203 -3,2316 -2,8004 -2,3925 -2,0678 -1,8658 -1,7884 -1,8023 -1,8655 -1,9500 -2,0492 -2,1720 -2,3258 -2,5082 -2,7110 -2,9189 -3,1066 -3,2407 -3,2836 -3,2079 -3,0216 -2,7736 -2,5233 -2,3156 -2,1933 -2,2029 -2,3663 -2,6497 -2,9753 -3,2729 -3,5194 -3,7307 -3,9305 -4,1346 -4,3572 -4,6154 -4,9259 -5,2930 -5,6888 -6,0417 -6,2621 -6,2991 -6,1802 -5,9899 -5,8089 -5,6772 -5,5966 -5,5418 -5,4699 -5,3404 -5,1384 -4,8796 -4,5968 -4,3291 -4,1170 -3,9862 -3,9295 -3,9135 -3,9049 -3,8885 -3,8655 -3,8441 -3,8395 -3,8771 -3,9851 -4,1764 -4,4268 -4,6713 -4,8286 -4,8399 -4,6994 -4,4600 -4,2053 -4,0071 -3,9021 -3,9011 -4,0025 -4,1883 -4,4200 -4,6505 -4,8386 -4,9612 -5,0185 -5,0187 -4,9635 -4,8490 -4,6676 -4,4052 -4,0450 -3,5872 -3,0653 -2,5450 -2,1029 -1,7975 -1,6495 -1,6433 -1,7397 -1,8806 -1,9894 -1,9991 -1,8984 -1,7381 -1,5863 -1,4853 -1,4421 -1,4387 -1,4462 -1,4296 -1,3460 -1,1544 -0,8366 -0,4068 0,0948 0,6062 1,0527 1,3773 1,5737 1,6895 1,7973 1,9579 2,1940 2,4812 2,7578 2,9539 3,0270 2,9822 2,8673 2,7496 2,6925 2,7360 2,8812 3,0844 3,2715 3,3688 3,3344 3,1688 2,9071 2,6069 2,3293 2,1181 1,9824 1,8946 1,8024 1,6508 1,4027 1,0498 0,6121 0,1319 -0,3373 -0,7529 -1,1115 -1,4495 -1,7998 -2,1573 -2,4868 -2,7482 -2,9067 -2,9319 -2,7976 -2,4925 -2,0425 -1,5110 -0,9682 -0,4636 -0,0217 0,3565 0,6932 1,0229 1,3785 1,7830 2,2436 2,7450 3,2595 3,7665 4,2595 4,7415 5,2263 5,7353 6,2856 6,8814 7,5037 8,1014 8,6053 8,9657 9,1772 9,2771 9,3269 9,3881 9,5054 9,6991 9,9636 10,2618 10,5359 10,7299 10,8029 10,7326 10,5208 10,2006 9,8275 9,4579 9,1266 8,8346 8,5544 8,2519 7,9061 7,5149 7,0916 6,6609 6,2612 5,9424 5,7448 5,6645 5,6384 5,5791 5,4292 5,1877 4,8990 4,6233 4,4043 4,2541 4,1635 4,1136 4,0695 3,9763 3,7773 3,4490 3,0190 2,5558 2,1472 1,8815 1,8238 1,9929 2,3534 2,8357 3,3714 3,9184 4,4668 5,0316 5,6324 6,2671 6,8985 7,4700 7,9366 8,2782 8,4854 8,5540 8,5003 8,3665 8,2088 8,0825 8,0266 8,0488 8,1204 8,1915 8,2197 8,1925 8,1281 8,0592 8,0119 7,9944 8,0026 8,0185 8,0097 7,9499 7,8328 7,6574 7,4149 7,0940 6,6913 6,2193 5,7066 5,1867 4,6854 4,2092 3,7401 3,2485 2,7202 2,1715 1,6462 1,1992 0,8667 0,6437 0,4920 0,3700 0,2589 0,1690 0,1297 0,1761 0,3429 0,6622 1,1494 1,7812 2,4981 3,2345 3,9489 4,6320 5,3003 5,9774 6,6783 7,4050 8,1427 8,8487 9,4604 9,9297 10,2443 10,4154 10,4579 10,3870 10,2253 10,0050 9,7500 9,4618 9,1233 8,7086 8,1937 7,5712 6,8612 6,1133 5,3910 4,7426 4,1873 3,7266 3,3543 3,0508 2,7822 2,5145 2,2284 1,9211 1,5916 1,2257 0,8022 0,3103 -0,2452 -0,8571 -1,5231 -2,2366 -2,9669 -3,6564 -4,2421 -4,6772 -4,9477
F7    1,0925 1,0036 0,9386 0,9494 1,0596 1,2718 1,5638 1,8986 2,2446 2,5792 2,8739 3,0894 3,1963 3,1932 3,1030 2,9624 2,8163 2,6994 2,6100 2,5046 2,3276 2,0477 1,6677 1,2144 0,7324 0,2740 -0,1207 -0,4283 -0,6360 -0,7460 -0,7876 -0,8132 -0,8725 -0,9896 -1,1697 -1,4133 -1,7076 -2,0258 -2,3529 -2,6966 -3,0606 -3,4180 -3,7186 -3,9166 -3,9864 -3,9255 -3,7505 -3,4828 -3,1411 -2,7545 -2,3708 -2,0397 -1,7907 -1,6283 -1,5322 -1,4614 -1,3792 -1,2715 -1,1373 -0,9855 -0,8450 -0,7520 -0,7298 -0,7971 -0,9716 -1,2367 -1,5123 -1,6766 -1,6282 -1,3468 -0,8940 -0,3629 0,1682 0,6482 1,0487 1,3597 1,5918 1,7769 1,9472 2,1047 2,2258 2,3008 2,3476 2,3789 2,3695 2,2724 2,0714 1,8027 1,5177 1,2415 0,9771 0,7279 0,5086 0,3422 0,2487 0,2341 0,2964 0,4342 0,6401 0,8915 1,1575 1,4171 1,6633 1,8930 2,0995 2,2773 2,4281 2,5571 2,6622 2,7316 2,7535 2,7246 2,6449 2,5160 2,3590 2,2300 2,1946 2,2943 2,5378 2,8909 3,2721 3,5856 3,7618 3,7738 3,6402 3,4228 3,2062 3,0577 2,9996 3,0143 3,0572 3,0646 2,9777 2,7733 2,4753 2,1457 1,8562 1,6592 1,5836 1,6480 1,8560 2,1780 2,5502 2,9003 3,1802 3,3821 3,5296 3,6544 3,7818 3,9279 4,0965 4,2715 4,4189 4,5117 4,5566 4,5891 4,6464 4,7518 4,9182 5,1459 5,4067 5,6445 5,8092 5,8839 5,8710 5,7824 5,6580 5,5579 5,5280 5,5834 5,7050 5,8510 5,9911 6,1199 6,2448 6,3776 6,5332 6,7285 6,9700 7,2417 7,5140 7,7593 7,9512 8,0635 8,0767 7,9883 7,8151 7,5829 7,3070 6,9776 6,5730 6,0864 5,5419 4,9855 4,4659 4,0251 3,6923 3,4676 3,3213 3,2114 3,0920 2,9200 2,6778 2,3902 2,1040 1,8519 1,6440 1,4800 1,3550 1,2563 1,1635 1,0516 0,8912 0,6562 0,3499 0,0140 -0,2990 -0,5573 -0,7568 -0,9063 -1,0157 -1,1027 -1,1998 -1,3406 -1,5418 -1,8001 -2,1040 -2,4301 -2,7340 -2,9716 -3,1256 -3,2004 -3,1970 -3,1039 -2,9138 -2,6446 -2,3331 -2,0090 -1,6861 -1,3907 -1,1802 -1,1189 -1,2359 -1,4995 -1,8253 -2,1247 -2,3453 -2,4719 -2,5148 -2,5106 -2,5164 -2,5804 -2,7212 -2,9377 -3,2058 -3,4667 -3,6503 -3,7070 -3,6155 -3,3794 -3,0239 -2,6004 -2,1858 -1,8586 -1,6651 -1,6093 -1,6648 -1,7913 -1,9503 -2,1221 -2,3108 -2,5318 -2,7970 -3,1029 -3,4268 -3,7336 -3,9863 -4,1449 -4,1685 -4,0415 -3,7909 -3,4708 -3,1471 -2,8964 -2,7854 -2,8310 -2,9895 -3,1893 -3,3718 -3,5128 -3,6174 -3,7025 -3,7872 -3,8942 -4,0476 -4,2579 -4,5103 -4,7680 -4,9798 -5,1048 -5,1484 -5,1695 -5,2324 -5,3543 -5,4984 -5,6050 -5,6232 -5,5282 -5,3279 -5,0575 -4,7632 -4,4811 -4,2284 -4,0094 -3,8217 -3,6609 -3,5271 -3,4268 -3,3767 -3,4041 -3,5245 -3,7200 -3,9507 -4,1795 -4,3843 -4,5558 -4,6875 -4,7759 -4,8262 -4,8401 -4,8096 -4,7423 -4,6736 -4,6447 -4,6826 -4,7928 -4,9524 -5,1154 -5,2364 -5,2938 -5,2910 -5,2411 -5,1554 -5,0485 -4,9422 -4,8430 -4,7154 -4,5050 -4,1949 -3,8214 -3,4362 -3,0704 -2,7335 -2,4269 -2,1479 -1,8906 -1,6455 -1,3965 -1,1289 -0,8571 -0,6384 -0,5333 -0,5417 -0,5938 -0,6152 -0,5818 -0,5046 -0,3887 -0,2208 0,0157 0,3174 0,6531 0,9774 1,2508 1,4526 1,5928 1,7105 1,8551 2,0726 2,3868 2,7639 3,1047 3,2912 3,2533 3,0124 2,6819 2,4112 2,3002 2,3525 2,4949 2,6297 2,6774 2,6039 2,4234 2,1702 1,8747 1,5744 1,3181 1,1356 1,0139 0,9107 0,7759 0,5624 0,2385 -0,1886 -0,6594 -1,0838 -1,3891 -1,5487 -1,5796 -1,5338 -1,4800 -1,4766 -1,5516 -1,6963 -1,8647 -1,9826 -1,9778 -1,8165 -1,5193 -1,1427 -0,7494 -0,3940 -0,1173 0,0739 0,2149 0,3540 0,5283 0,7716 1,1164 1,5734 2,1172 2,6885 3,2176 3,6683 4,0615 4,4545 4,8965 5,3927 5,9038 6,3848 6,8138 7,1852 7,4928 7,7330 7,9191 8,0797 8,2460 8,4331 8,6232 8,7799 8,8854 8,9396 8,9272 8,8129 8,5775 8,2434 7,8595 7,4716 7,1021 6,7449 6,3897 6,0482 5,7399 5,4678 5,2230 5,0014 4,8000 4,6129 4,4361 4,2566 4,0466 3,7925 3,5194 3,2690 3,0705 2,9438 2,9009 2,9239 2,9691 2,9940 2,9658 2,8577 2,6601 2,3955 2,1105 1,8577 1,6890 1,6538 1,7811 2,0547 2,4192 2,8209 3,2401 3,6732 4,1041 4,5172 4,9225 5,3409 5,7718 6,1814 6,5278 6,7971 6,9999 7,1345 7,1757 7,1039 6,9413 6,7533 6,6126 6,5649 6,6151 6,7239 6,8305 6,8967 6,9249 6,9345 6,9260 6,8712 6,7332 6,4829 6,1140 5,6646 5,2004 4,7716 4,4081 4,1293 3,9250 3,7449 3,5323 3,2613 2,9386 2,5930 2,2676 2,0014 1,8101 1,6817 1,5895 1,5146 1,4527 1,3977 1,3369 1,2645 1,1902 1,1400 1,1606 1,3132 1,6407 2,1318 2,7235 3,3408 3,9354 4,4864 4,9854 5,4398 5,8738 6,3043 6,7323 7,1552 7,5654 7,9443 8,2688 8,5214 8,6946 8,7925 8,8263 8,8050 8,7387 8,6465 8,5410 8,3998 8,1725 7,8181 7,3256 6,7068 5,9845 5,2012 4,4302 3,7465 3,1756 2,6862 2,2260 1,7500 1,2319 0,6779 0,1355 -0,3325 -0,6920 -0,9589 -1,1808 -1,3992 -1,6327 -1,9015 -2,2507 -2,7207 -3,2862 -3,8477 -4,2938 -4,5643 -4,6681
