Fp1   2,7147 2,1882 1,7398 1,4355 1,2941 1,2951 1,3838 1,4985 1,6003 1,6736 1,7120 1,7161 1,6925 1,6512 1,6142 1,6145 1,6648 1,7376 1,7758 1,7155 1,5118 1,1649 0,7178 0,2348 -0,2150 -0,5708 -0,7942 -0,8921 -0,9319 -1,0162 -1,2229 -1,5631 -1,9926 -2,4453 -2,8437 -3,0997 -3,1455 -2,9712 -2,6301 -2,2148 -1,8168 -1,4878 -1,2364 -1,0522 -0,9194 -0,8069 -0,6688 -0,4787 -0,2604 -0,0708 0,0433 0,0726 0,0390 -0,0253 -0,0922 -0,1410 -0,1463 -0,0716 0,1002 0,3289 0,5326 0,6509 0,6744 0,6251 0,5338 0,4287 0,3159 0,1744 -0,0166 -0,2543 -0,5060 -0,7017 -0,7394 -0,5211 0,0034 0,8084 1,7908 2,7944 3,6506 4,2256 4,4604 4,3743 4,0451 3,5875 3,1181 2,7198 2,4406 2,3083 2,3368 2,5352 2,9084 3,4312 4,0253 4,5806 5,0005 5,2297 5,2576 5,1023 4,7899 4,3540 3,8528 3,3633 2,9433 2,6042 2,3230 2,0541 1,7374 1,3392 0,9001 0,5253 0,3161 0,3208 0,5515 1,0226 1,7516 2,7230 3,8475 4,9680 5,9282 6,6410 7,0993 7,3422 7,4334 7,4698 7,5695 7,8111 8,1830 8,5994 8,9592 9,1910 9,2751 9,2481 9,1799 9,1420 9,1980 9,4027 9,7858 10,3215 10,9229 11,4807 11,9102 12,1741 12,2978 12,3714 12,5026 12,7447 13,0804 13,4601 13,8349 14,1748 14,4838 14,7819 15,0726 15,3511 15,6248 15,8964 16,1447 16,3455 16,5019 16,6323 16,7249 16,7301 16,6061 16,3508 15,9885 15,5487 15,0631 14,5674 14,0947 13,6801 13,3617 13,1438 12,9650 12,7379 12,4241 12,0546 11,6757 11,2893 10,8507 10,3142 9,6610 8,8898 8,0091 7,0541 6,0851 5,1459 4,2218 3,2441 2,1410 0,8868 -0,4778 -1,8480 -3,0781 -4,0398 -4,6805 -5,0197 -5,1044 -4,9872 -4,7152 -4,3100 -3,7673 -3,0851 -2,2894 -1,4365 -0,5984 0,1471 0,7194 1,0487 1,1072 0,9437 0,6743 0,4120 0,2140 0,1056 0,1188 0,2806 0,5713 0,9151 1,2329 1,4975 1,7316 1,9830 2,2985 2,6867 3,0994 3,4537 3,6747 3,7248 3,6008 3,3137 2,8966 2,4324 2,0461 1,8484 1,8685 2,0291 2,1875 2,2143 2,0560 1,7440 1,3606 1,0039 0,7649 0,7016 0,8186 1,0723 1,3899 1,6899 1,9050 2,0020 1,9719 1,8021 1,4804 1,0165 0,4368 -0,2193 -0,8745 -1,4272 -1,8198 -2,0649 -2,1869 -2,1673 -1,9683 -1,5944 -1,1146 -0,6354 -0,2509 -0,0051 0,1102 0,1329 0,1204 0,1400 0,2410 0,4277 0,6568 0,8514 0,9270 0,8332 0,5895 0,2802 0,0067 -0,1655 -0,2215 -0,1700 -0,0128 0,2654 0,6782 1,2049 1,7771 2,2979 2,6936 2,9552 3,1120 3,1807 3,1605 3,0530 2,8641 2,5912 2,2186 1,7525 1,2707 0,9129 0,8116 1,0259 1,5064 2,1022 2,6187 2,8848 2,7964 2,3587 1,7060 1,0474 0,5602 0,3187 0,3102 0,4882 0,7921 1,1440 1,4715 1,7383 1,9470 2,1238 2,2943 2,4532 2,5627 2,5950 2,5511 2,4170 2,1483 1,7395 1,2752 0,8876 0,6866 0,7291 1,0199 1,5136 2,1249 2,7499 3,2878 3,6634 3,8502 3,8731 3,7925 3,6936 3,6758 3,8204 4,1624 4,6807 5,2978 5,8968 6,3659 6,6527 6,7861 6,8455 6,9076 7,0246 7,2440 7,6154 8,1434 8,7463 9,2918 9,6768 9,8741 9,9189 9,8702 9,7919 9,7507 9,7985 9,9437 10,1515 10,3750 10,5781 10,7369 10,8504 10,9649 11,1568 11,4629 11,8282 12,1397 12,3054 12,2944 12,1193 11,8092 11,4000 10,9279 10,4190 9,8809 9,3149 8,7503 8,2517 7,8854 7,6949 7,6959 7,8524 8,0612 8,1949 8,1707 7,9813 7,6831 7,3670 7,1258 7,0394 7,1686 7,5428 8,1436 8,8899 9,6476 10,2797 10,7013 10,8959 10,8978 10,7696 10,5922 10,4551 10,4394 10,5976 10,9284 11,3567 11,7513 11,9850 11,9833 11,7414 11,3191 10,8106 10,3009 9,8484 9,4936 9,2623 9,1590 9,1526 9,1627 9,0767 8,8082 8,3631 7,8484 7,4042 7,1158 6,9842 6,9585 6,9813 7,0189 7,0750 7,1784 7,3509 7,5936 7,8965 8,2438 8,6096 8,9604 9,2736 9,5638 9,8803 10,2733 10,7607 11,3261 11,9382 12,5513 13,0787 13,3920 13,3906 13,0781 12,5608 11,9810 11,4501 11,0120 10,6414 10,2839 9,9046 9,5038 9,1025 8,7298 8,4149 8,1829 8,0557 8,0404 8,0982 8,1262 7,9926 7,6144 7,0206 6,3388 5,7193 5,2781 5,0794 5,1290 5,3779 5,7480 6,1564 6,5163 6,7375 6,7609 6,6034 6,3599 6,1646 6,1457 6,3866 6,8865 7,5341 8,1354 8,5104 8,5892 8,4383 8,2033 8,0190 7,9480 7,9642 7,9742 7,8739 7,6080 7,1929 6,7101 6,2821 6,0208 5,9739 6,1241 6,4384 6,9040 7,5188 8,2572 9,0535 9,8287 10,5409 11,2084 11,8793 12,5776 13,2790 13,9325 14,4834 14,8744 15,0569 15,0172 14,7964 14,4875 14,2040 14,0321 13,9967 14,0536 14,1164 14,1001 13,9309 13,5305 12,8449 11,8997 10,8018 9,6863 8,6571 7,7501 6,9338 6,1399 5,2993 4,3784 3,4104 2,4802 1,6576 0,9442 0,2823 -0,3939 -1,1077 -1,8300 -2,5081 -3,0845 -3,4952 -3,6831 -3,6397 -3,4152 -3,0767 -2,6715 -2,2242 -1,7572 -1,3182 -0,9795 -0,8064 -0,8256 -1,0048 -1,2487 -1,4261 -1,4218 -1,1859 -0,7417 -0,1474 0,5413 1,2798 2,0297 2,7613 3,4584 4,1091 4,6880 5,1451 5,4107 5,4247 5,1728 4,6925 4,0651 3,4082 2,8375 2,4036 2,0787 1,8028 1,5347 1,2857
Fz    1,8484 1,4461 0,9819 0,5224 0,1218 -0,1955 -0,4357 -0,6182 -0,7573 -0,8540 -0,8962 -0,8652 -0,7483 -0,5532 -0,3084 -0,0523 0,1764 0,3506 0,4614 0,5127 0,5134 0,4765 0,4193 0,3585 0,3038 0,2571 0,2144 0,1671 0,1019 0,0055 -0,1267 -0,2840 -0,4446 -0,5894 -0,7077 -0,7866 -0,8042 -0,7352 -0,5693 -0,3299 -0,0712 0,1485 0,2910 0,3458 0,3282 0,2738 0,2270 0,2245 0,2788 0,3764 0,4900 0,5946 0,6764 0,7313 0,7582 0,7592 0,7462 0,7366 0,7363 0,7312 0,6963 0,6137 0,4809 0,3101 0,1237 -0,0585 -0,2332 -0,4054 -0,5696 -0,7088 -0,8117 -0,8766 -0,8972 -0,8573 -0,7426 -0,5571 -0,3223 -0,0661 0,1852 0,4143 0,6296 0,8675 1,1694 1,5496 1,9830 2,4222 2,8293 3,1887 3,4999 3,7678 3,9993 4,2033 4,3850 4,5415 4,6667 4,7569 4,8109 4,8259 4,7930 4,7011 4,5504 4,3554 4,1314 3,8860 3,6230 3,3429 3,0349 2,6820 2,2833 1,8684 1,4830 1,1653 0,9386 0,8155 0,8050 0,9134 1,1260 1,3930 1,6479 1,8443 1,9704 2,0365 2,0640 2,0865 2,1469 2,2824 2,5093 2,8175 3,1727 3,5268 3,8386 4,1014 4,3488 4,6242 4,9479 5,3099 5,6812 6,0196 6,2773 6,4239 6,4616 6,4191 6,3414 6,2885 6,3227 6,4768 6,7379 7,0618 7,3979 7,7086 7,9786 8,2085 8,4050 8,5779 8,7356 8,8759 8,9868 9,0642 9,1251 9,1946 9,2801 9,3675 9,4415 9,4943 9,5136 9,4813 9,3886 9,2435 9,0627 8,8651 8,6678 8,4715 8,2554 7,9995 7,7123 7,4298 7,1825 6,9621 6,7191 6,3928 5,9441 5,3683 4,6885 3,9431 3,1784 2,4359 1,7353 1,0684 0,4138 -0,2406 -0,8803 -1,4650 -1,9458 -2,2938 -2,5148 -2,6348 -2,6747 -2,6470 -2,5663 -2,4496 -2,3065 -2,1361 -1,9358 -1,7103 -1,4721 -1,2380 -1,0292 -0,8691 -0,7743 -0,7418 -0,7459 -0,7576 -0,7633 -0,7555 -0,7161 -0,6254 -0,4854 -0,3240 -0,1730 -0,0412 0,0891 0,2456 0,4435 0,6726 0,9017 1,0984 1,2446 1,3413 1,4017 1,4345 1,4356 1,3947 1,3077 1,1811 1,0264 0,8527 0,6696 0,4923 0,3404 0,2310 0,1716 0,1572 0,1778 0,2287 0,3135 0,4412 0,6172 0,8313 1,0555 1,2548 1,4016 1,4845 1,5084 1,4843 1,4178 1,3138 1,1918 1,0811 1,0013 0,9577 0,9555 1,0095 1,1352 1,3338 1,5851 1,8525 2,0970 2,2927 2,4363 2,5470 2,6572 2,7994 2,9932 3,2311 3,4708 3,6438 3,6842 3,5661 3,3235 3,0347 2,7821 2,6162 2,5453 2,5503 2,6032 2,6774 2,7536 2,8200 2,8702 2,9028 2,9288 2,9748 3,0636 3,1951 3,3472 3,4915 3,6049 3,6730 3,6876 3,6496 3,5761 3,4972 3,4432 3,4372 3,4841 3,5568 3,6044 3,5793 3,4554 3,2367 2,9592 2,6814 2,4616 2,3388 2,3289 2,4274 2,6037 2,7977 2,9438 3,0071 2,9942 2,9349 2,8592 2,7847 2,7156 2,6517 2,5930 2,5315 2,4527 2,3566 2,2690 2,2239 2,2402 2,3207 2,4614 2,6548 2,8827 3,1093 3,2836 3,3596 3,3187 3,1741 2,9604 2,7269 2,5278 2,4031 2,3649 2,4019 2,4985 2,6489 2,8591 3,1365 3,4762 3,8506 4,2150 4,5316 4,7950 5,0324 5,2753 5,5319 5,7837 5,9993 6,1491 6,2182 6,2151 6,1731 6,1417 6,1669 6,2682 6,4342 6,6364 6,8400 7,0138 7,1457 7,2439 7,3198 7,3739 7,3935 7,3598 7,2573 7,0824 6,8455 6,5685 6,2777 5,9956 5,7316 5,4795 5,2358 5,0191 4,8617 4,7804 4,7639 4,7842 4,8101 4,8164 4,7915 4,7418 4,6906 4,6722 4,7197 4,8493 5,0577 5,3314 5,6510 5,9924 6,3260 6,6199 6,8444 6,9790 7,0176 6,9741 6,8852 6,8032 6,7809 6,8548 7,0298 7,2724 7,5167 7,6896 7,7450 7,6798 7,5235 7,3156 7,0849 6,8462 6,6111 6,3933 6,2032 6,0400 5,8903 5,7316 5,5415 5,3112 5,0610 4,8361 4,6793 4,6012 4,5768 4,5665 4,5394 4,4810 4,3950 4,2959 4,1937 4,0894 3,9912 3,9229 3,9157 3,9949 4,1741 4,4572 4,8363 5,2875 5,7728 6,2502 6,6838 7,0474 7,3221 7,4974 7,5797 7,5927 7,5658 7,5228 7,4801 7,4439 7,4052 7,3459 7,2532 7,1293 6,9949 6,8815 6,8112 6,7805 6,7651 6,7352 6,6617 6,5148 6,2687 5,9136 5,4652 4,9637 4,4600 4,0027 3,6305 3,3649 3,2049 3,1219 3,0629 2,9659 2,7832 2,5020 2,1518 1,7919 1,4900 1,3040 1,2687 1,3838 1,6072 1,8669 2,0916 2,2461 2,3489 2,4585 2,6330 2,8955 3,2279 3,5844 3,9113 4,1690 4,3465 4,4671 4,5840 4,7536 5,0077 5,3502 5,7727 6,2582 6,7772 7,2952 7,7870 8,2433 8,6695 9,0799 9,4867 9,8925 10,2952 10,6934 11,0822 11,4470 11,7679 12,0255 12,2087 12,3224 12,3863 12,4216 12,4373 12,4251 12,3669 12,2499 12,0677 11,8055 11,4381 10,9504 10,3564 9,6954 9,0092 8,3176 7,6128 6,8733 6,0791 5,2220 4,3200 3,4217 2,5896 1,8682 1,2653 0,7597 0,3228 -0,0689 -0,4287 -0,7504 -1,0072 -1,1734 -1,2453 -1,2364 -1,1620 -1,0352 -0,8677 -0,6691 -0,4512 -0,2311 -0,0220 0,1764 0,3741 0,5802 0,7985 1,0291 1,2675 1,5110 1,7714 2,0722 2,4293 2,8378 3,2774 3,7257 4,1663 4,5831 4,9486 5,2257 5,3894 5,4464 5,4232 5,3427 5,2197 5,0726 4,9204 4,7699 4,6166 4,4590 4,3085
F3    1,5338 1,2267 0,8960 0,5981 0,3734 0,2276 0,1328 0,0522 -0,0381 -0,1453 -0,2596 -0,3520 -0,3845 -0,3343 -0,2072 -0,0350 0,1373 0,2724 0,3555 0,3903 0,3856 0,3526 0,3045 0,2512 0,1970 0,1477 0,1146 0,1015 0,0894 0,0449 -0,0537 -0,1997 -0,3644 -0,5205 -0,6563 -0,7641 -0,8206 -0,7885 -0,6428 -0,4039 -0,1379 0,0802 0,1982 0,1934 0,0730 -0,1200 -0,3110 -0,4251 -0,4284 -0,3370 -0,1925 -0,0375 0,0932 0,1736 0,1909 0,1529 0,0896 0,0374 0,0131 0,0030 -0,0203 -0,0740 -0,1573 -0,2581 -0,3615 -0,4646 -0,5846 -0,7377 -0,9057 -1,0408 -1,1038 -1,0826 -0,9775 -0,7872 -0,5208 -0,2090 0,1132 0,4290 0,7305 1,0002 1,2222 1,4068 1,5925 1,8202 2,1022 2,4178 2,7425 3,0690 3,3994 3,7288 4,0465 4,3409 4,5920 4,7688 4,8485 4,8322 4,7417 4,6015 4,4203 4,1906 3,9095 3,5965 3,2854 3,0068 2,7790 2,5994 2,4382 2,2546 2,0339 1,8032 1,6093 1,4897 1,4686 1,5580 1,7555 2,0393 2,3633 2,6668 2,9046 3,0707 3,1891 3,2874 3,3858 3,5051 3,6686 3,8872 4,1481 4,4208 4,6694 4,8628 4,9911 5,0800 5,1832 5,3494 5,5942 5,8996 6,2289 6,5402 6,7982 6,9866 7,1087 7,1765 7,2119 7,2624 7,3915 7,6383 7,9937 8,4156 8,8538 9,2664 9,6322 9,9479 10,2146 10,4315 10,5943 10,6899 10,7068 10,6603 10,6037 10,5988 10,6685 10,7842 10,8955 10,9566 10,9288 10,7878 10,5419 10,2297 9,8943 9,5641 9,2507 8,9446 8,6201 8,2630 7,8964 7,5728 7,3327 7,1636 6,9997 6,7634 6,4023 5,8960 5,2511 4,4978 3,6823 2,8497 2,0278 1,2252 0,4453 -0,3010 -0,9915 -1,5923 -2,0631 -2,3751 -2,5290 -2,5495 -2,4676 -2,3191 -2,1503 -2,0075 -1,9114 -1,8429 -1,7623 -1,6414 -1,4779 -1,2879 -1,0952 -0,9228 -0,7861 -0,6839 -0,5997 -0,5245 -0,4716 -0,4583 -0,4806 -0,5188 -0,5636 -0,6253 -0,7114 -0,7984 -0,8338 -0,7639 -0,5666 -0,2653 0,0831 0,4162 0,6908 0,8934 1,0317 1,1106 1,1198 1,0467 0,8958 0,6933 0,4713 0,2525 0,0526 -0,1121 -0,2254 -0,2789 -0,2806 -0,2512 -0,2049 -0,1397 -0,0472 0,0775 0,2302 0,3967 0,5563 0,6887 0,7754 0,8028 0,7717 0,6959 0,5823 0,4327 0,2656 0,1136 -0,0072 -0,1014 -0,1673 -0,1800 -0,1070 0,0653 0,3177 0,6091 0,8979 1,1596 1,3871 1,5849 1,7661 1,9504 2,1512 2,3577 2,5290 2,6100 2,5632 2,3932 2,1450 1,8786 1,6412 1,4555 1,3247 1,2469 1,2203 1,2400 1,2943 1,3643 1,4303 1,4821 1,5317 1,6108 1,7420 1,9117 2,0802 2,2123 2,2953 2,3357 2,3467 2,3405 2,3303 2,3281 2,3402 2,3677 2,4022 2,4178 2,3822 2,2781 2,1081 1,8926 1,6685 1,4785 1,3563 1,3204 1,3788 1,5298 1,7515 1,9902 2,1735 2,2473 2,2005 2,0572 1,8555 1,6345 1,4300 1,2745 1,1875 1,1576 1,1518 1,1548 1,1852 1,2677 1,4074 1,5970 1,8330 2,1152 2,4339 2,7584 3,0359 3,2101 3,2482 3,1566 2,9792 2,7860 2,6497 2,6143 2,6823 2,8316 3,0417 3,3063 3,6308 4,0207 4,4681 4,9445 5,4031 5,7992 6,1182 6,3816 6,6164 6,8239 6,9764 7,0329 6,9599 6,7578 6,4740 6,1872 5,9779 5,8992 5,9606 6,1308 6,3577 6,5876 6,7803 6,9270 7,0545 7,2016 7,3871 7,5942 7,7763 7,8777 7,8595 7,7150 7,4611 7,1163 6,6911 6,1942 5,6413 5,0694 4,5466 4,1474 3,9085 3,8177 3,8352 3,9138 4,0082 4,0880 4,1444 4,1880 4,2457 4,3510 4,5263 4,7769 5,0941 5,4578 5,8406 6,2140 6,5479 6,8077 6,9570 6,9726 6,8607 6,6669 6,4703 6,3613 6,4104 6,6425 7,0263 7,4778 7,8888 8,1720 8,2901 8,2549 8,1065 7,8866 7,6240 7,3399 7,0566 6,7945 6,5634 6,3554 6,1449 5,8997 5,6020 5,2692 4,9544 4,7199 4,6010 4,5906 4,6500 4,7315 4,7962 4,8252 4,8147 4,7612 4,6589 4,5153 4,3616 4,2455 4,2110 4,2866 4,4908 4,8290 5,2792 5,7931 6,3184 6,8180 7,2659 7,6346 7,8971 8,0461 8,1049 8,1092 8,0826 8,0265 7,9223 7,7394 7,4575 7,0885 6,6755 6,2743 5,9322 5,6734 5,4960 5,3820 5,3100 5,2569 5,1922 5,0774 4,8808 4,6000 4,2697 3,9439 3,6740 3,4928 3,4095 3,4130 3,4780 3,5643 3,6210 3,5999 3,4778 3,2728 3,0390 2,8441 2,7440 2,7675 2,9093 3,1293 3,3632 3,5472 3,6482 3,6816 3,7034 3,7740 3,9231 4,1428 4,4023 4,6629 4,8887 5,0546 5,1574 5,2206 5,2802 5,3630 5,4863 5,6691 5,9282 6,2650 6,6674 7,1244 7,6339 8,1970 8,8063 9,4337 10,0329 10,5603 10,9929 11,3232 11,5506 11,6821 11,7291 11,7031 11,6241 11,5217 11,4215 11,3299 11,2350 11,1196 10,9766 10,8023 10,5691 10,2233 9,7170 9,0409 8,2272 7,3281 6,3899 5,4418 4,4984 3,5604 2,6223 1,6918 0,8015 -0,0069 -0,7104 -1,3151 -1,8417 -2,3074 -2,7245 -3,1051 -3,4545 -3,7629 -4,0145 -4,2018 -4,3198 -4,3571 -4,3059 -4,1722 -3,9729 -3,7355 -3,4940 -3,2741 -3,0802 -2,8968 -2,7018 -2,4823 -2,2424 -1,9954 -1,7427 -1,4567 -1,0978 -0,6456 -0,1112 0,4728 1,0691 1,6423 2,1568 2,5706 2,8394 2,9338 2,8552 2,6298 2,2985 1,9177 1,5530 1,2553 1,0419 0,9034 0,8243 0,7962
F7    1,3223 1,1887 1,0804 1,0440 1,1017 1,2394 1,4092 1,5578 1,6626 1,7318 1,7808 1,8213 1,8619 1,9057 1,9481 1,9734 1,9515 1,8533 1,6695 1,4147 1,1222 0,8335 0,5754 0,3489 0,1388 -0,0736 -0,2990 -0,5351 -0,7722 -1,0028 -1,2246 -1,4374 -1,6376 -1,8144 -1,9479 -2,0118 -1,9919 -1,9050 -1,7906 -1,6865 -1,6125 -1,5703 -1,5511 -1,5433 -1,5361 -1,5137 -1,4547 -1,3490 -1,2104 -1,0654 -0,9311 -0,8031 -0,6610 -0,4892 -0,2961 -0,1150 0,0161 0,0734 0,0430 -0,0849 -0,3020 -0,5728 -0,8449 -1,0679 -1,2071 -1,2568 -1,2449 -1,2140 -1,1901 -1,1717 -1,1382 -1,0588 -0,9008 -0,6408 -0,2728 0,1839 0,6783 1,1338 1,4758 1,6641 1,7063 1,6441 1,5311 1,4219 1,3645 1,3846 1,4738 1,5997 1,7243 1,8233 1,9018 1,9892 2,1123 2,2765 2,4657 2,6460 2,7699 2,7923 2,6927 2,4799 2,1857 1,8547 1,5292 1,2373 0,9935 0,7980 0,6305 0,4594 0,2694 0,0761 -0,0865 -0,1794 -0,1561 0,0331 0,4139 0,9585 1,5808 2,1714 2,6537 3,0136 3,2830 3,5000 3,6857 3,8558 4,0335 4,2337 4,4436 4,6297 4,7612 4,8198 4,8037 4,7357 4,6591 4,6220 4,6638 4,8091 5,0601 5,3876 5,7329 6,0332 6,2498 6,3800 6,4578 6,5434 6,6952 6,9415 7,2703 7,6330 7,9636 8,2136 8,3800 8,4968 8,6058 8,7379 8,9059 9,0953 9,2659 9,3743 9,4010 9,3570 9,2681 9,1563 9,0386 8,9304 8,8377 8,7457 8,6207 8,4295 8,1592 7,8292 7,4846 7,1653 6,8820 6,6228 6,3751 6,1307 5,8664 5,5317 5,0761 4,4905 3,8101 3,0897 2,3844 1,7411 1,1879 0,7175 0,2860 -0,1638 -0,6718 -1,2460 -1,8659 -2,4886 -3,0587 -3,5273 -3,8770 -4,1272 -4,3164 -4,4818 -4,6443 -4,7969 -4,8984 -4,8855 -4,7039 -4,3439 -3,8522 -3,3183 -2,8439 -2,5119 -2,3616 -2,3770 -2,4971 -2,6530 -2,7985 -2,9080 -2,9642 -2,9612 -2,9130 -2,8464 -2,7853 -2,7414 -2,7146 -2,6950 -2,6676 -2,6206 -2,5479 -2,4519 -2,3473 -2,2533 -2,1828 -2,1444 -2,1479 -2,1968 -2,2754 -2,3510 -2,3902 -2,3742 -2,3092 -2,2223 -2,1440 -2,0975 -2,1021 -2,1670 -2,2785 -2,4055 -2,5169 -2,5949 -2,6386 -2,6603 -2,6729 -2,6766 -2,6693 -2,6687 -2,7069 -2,8023 -2,9539 -3,1501 -3,3689 -3,5850 -3,7873 -3,9802 -4,1641 -4,3164 -4,3939 -4,3582 -4,2033 -3,9577 -3,6597 -3,3401 -3,0209 -2,7159 -2,4211 -2,1140 -1,7724 -1,3958 -1,0135 -0,6767 -0,4398 -0,3369 -0,3666 -0,4968 -0,6870 -0,9080 -1,1405 -1,3547 -1,4995 -1,5146 -1,3652 -1,0767 -0,7313 -0,4274 -0,2317 -0,1488 -0,1259 -0,0976 -0,0334 0,0562 0,1504 0,2394 0,3158 0,3687 0,3958 0,4156 0,4612 0,5598 0,7087 0,8664 0,9665 0,9435 0,7576 0,4120 -0,0420 -0,5207 -0,9402 -1,2430 -1,4016 -1,4130 -1,3019 -1,1189 -0,9175 -0,7311 -0,5719 -0,4411 -0,3338 -0,2432 -0,1661 -0,1035 -0,0650 -0,0791 -0,1810 -0,3765 -0,6239 -0,8532 -0,9980 -1,0139 -0,8888 -0,6502 -0,3538 -0,0578 0,1956 0,3867 0,5200 0,6141 0,6846 0,7430 0,8089 0,9027 1,0307 1,1840 1,3493 1,5208 1,7044 1,9117 2,1471 2,3995 2,6449 2,8585 3,0330 3,1848 3,3352 3,4831 3,6042 3,6737 3,6859 3,6541 3,5977 3,5364 3,4924 3,4842 3,5131 3,5585 3,5939 3,6048 3,5937 3,5809 3,6025 3,6914 3,8481 4,0317 4,1826 4,2549 4,2289 4,1048 3,8970 3,6334 3,3485 3,0737 2,8303 2,6223 2,4401 2,2691 2,0953 1,9154 1,7475 1,6217 1,5604 1,5698 1,6375 1,7353 1,8326 1,9107 1,9712 2,0392 2,1537 2,3494 2,6391 3,0004 3,3756 3,7028 3,9486 4,1078 4,1883 4,2094 4,2036 4,2070 4,2520 4,3655 4,5566 4,8021 5,0547 5,2682 5,4099 5,4643 5,4379 5,3522 5,2249 5,0610 4,8603 4,6180 4,3220 3,9618 3,5393 3,0677 2,5658 2,0666 1,6214 1,2786 1,0566 0,9455 0,9233 0,9648 1,0478 1,1643 1,3237 1,5396 1,8154 2,1433 2,5062 2,8771 3,2250 3,5306 3,7948 4,0271 4,2335 4,4237 4,6155 4,8194 5,0264 5,2067 5,3158 5,3151 5,2005 5,0027 4,7657 4,5316 4,3300 4,1635 4,0155 3,8746 3,7427 3,6218 3,5056 3,3805 3,2366 3,0852 2,9559 2,8560 2,7410 2,5385 2,2027 1,7475 1,2377 0,7548 0,3796 0,1875 0,2259 0,4851 0,8970 1,3600 1,7681 2,0392 2,1383 2,0871 1,9487 1,8030 1,7301 1,7954 2,0185 2,3469 2,6775 2,9190 3,0394 3,0670 3,0626 3,0834 3,1494 3,2250 3,2355 3,1158 2,8535 2,4931 2,1137 1,8007 1,6216 1,6132 1,7868 2,1389 2,6519 3,2890 3,9891 4,6756 5,2829 5,7832 6,1901 6,5358 6,8472 7,1394 7,4232 7,6980 7,9366 8,0953 8,1444 8,0878 7,9614 7,8188 7,7075 7,6459 7,6173 7,5858 7,5191 7,3875 7,1503 6,7687 6,2401 5,6100 4,9488 4,3115 3,7137 3,1363 2,5459 1,9145 1,2319 0,5130 -0,2096 -0,9080 -1,5768 -2,2256 -2,8560 -3,4526 -3,9948 -4,4751 -4,8932 -5,2345 -5,4702 -5,5845 -5,5913 -5,5245 -5,4197 -5,2978 -5,1661 -5,0352 -4,9245 -4,8473 -4,8027 -4,7732 -4,7202 -4,5900 -4,3441 -3,9878 -3,5626 -3,1113 -2,6628 -2,2421 -1,8725 -1,5583 -1,2815 -1,0225 -0,7758 -0,5535 -0,3858 -0,3081 -0,3349 -0,4501 -0,6135 -0,7728 -0,8821 -0,9296 -0,9422 -0,9596 -1,0048 -1,0717
