Fp1   -2,2753 0,1106 2,1835 3,7168 4,5200 4,5359 3,8810 2,7864 1,4909 0,1622 -1,1273 -2,3745 -3,5712 -4,6379 -5,4377 -5,8333 -5,7296 -5,1270 -4,1858 -3,2008 -2,4482 -2,0372 -1,8854 -1,7847 -1,4799 -0,7490 0,5041 2,1748 3,9571 5,4488 6,3047 6,3456 5,5863 4,2123 2,5260 0,8727 -0,4383 -1,2260 -1,5117 -1,4934 -1,4059 -1,3704 -1,3479 -1,2070 -0,8436 -0,2749 0,3616 0,8918 1,1915 1,2393 1,1272 1,0084 0,9993 1,1166 1,3056 1,5134 1,7245 1,9536 2,2114 2,4582 2,6057 2,5957 2,4647 2,3272 2,2936 2,3873 2,5315 2,6286 2,6454 2,5942 2,4369 2,0482 1,2990 0,1807 -1,1453 -2,3892 -3,2199 -3,3851 -2,8374 -1,7585 -0,4392 0,8813 2,0868 3,1344 3,9571 4,4049 4,2634 3,3693 1,7759 -0,1846 -2,0408 -3,4146 -4,1453 -4,2377 -3,7490 -2,7525 -1,3818 0,1315 1,4829 2,3685 2,5595 1,9512 0,5776 -1,4297 -3,9182 -6,7331 -9,6313 -12,2131 -14,0180 -14,7371 -14,3484 -13,0868 -11,3077 -9,3637 -7,5837 -6,2962 -5,7542 -5,9916 -6,7904 -7,8112 -8,7620 -9,4863 -9,9478 -10,1551 -10,1024 -9,7472 -9,0186 -7,8841 -6,4365 -4,8932 -3,4883 -2,3617 -1,5181 -0,8492 -0,1849 0,6319 1,6670 2,8698 4,1062 5,1927 5,9159 6,0750 5,5536 4,3837 2,7689 1,0592 -0,3421 -1,1315 -1,2152 -0,6840 0,2849 1,4720 2,6063 3,4123 3,7447 3,6749 3,4193 3,1791 3,0459 3,0461 3,2405 3,7368 4,6042 5,8032 7,1962 8,6097 9,9001 11,0007 11,9204 12,6824 13,2613 13,5832 13,5857 13,2715 12,7051 11,9706 11,1420 10,2832 9,4557 8,7250 8,1753 7,8999 7,9402 8,2254 8,5744 8,7640 8,6524 8,3040 7,9802 7,9541 8,3037 8,8590 9,3034 9,3221 8,7205 7,4941 5,8275 4,0328 2,4638 1,4089 0,9944 1,1604 1,7168 2,4386 3,1589 3,8061 4,3652 4,8033 5,0408 5,0105 4,7438 4,3598 3,9309 3,3779 2,5584 1,4829 0,3986 -0,3657 -0,6294 -0,4629 -0,1180 0,1367 0,1608 -0,0191 -0,2826 -0,5120 -0,6258 -0,5655 -0,3141 0,0637 0,4292 0,6352 0,5988 0,3453 -0,0278 -0,4802 -1,0976 -1,9643 -2,9740 -3,8075 -4,1213 -3,7943 -3,0141 -2,1288 -1,4249 -1,0113 -0,8439 -0,8313 -0,9437 -1,2421 -1,8062 -2,6406 -3,6550 -4,7218 -5,7198 -6,5319 -7,0550 -7,2402 -7,1222 -6,8098 -6,4110 -5,9397 -5,3290 -4,5366 -3,6127 -2,6778 -1,8614 -1,2797 -1,0559 -1,3051 -2,0373 -3,0494 -3,9412 -4,3193 -4,0385 -3,2580 -2,2988 -1,4504 -0,8361 -0,4049 -0,0609 0,2018 0,3021 0,1881 -0,0585 -0,2130 -0,0151 0,6693 1,7605 3,0193 4,1748 5,0287 5,4951 5,5842 5,3657 4,9444 4,4409 3,9561 3,5373 3,1843 2,8964 2,6986 2,6083 2,5906 2,5802 2,5543 2,5647 2,7071 3,0754 3,7214 4,6278 5,7051 6,8044 7,7470 8,3702 8,5732 8,3594 7,8601 7,2964 6,8781 6,7234 6,8508 7,2129 7,7266 8,2932 8,8405 9,3824 10,0106 10,7947 11,7018 12,6025 13,3138 13,6550 13,5203 12,9130 11,9144 10,6487 9,2879 8,0624 7,2341 7,0144 7,4649 8,4536 9,7043 10,8974 11,7595 12,1081 11,8541 10,9900 9,6056 7,9150 6,2172 4,7676 3,6716 2,9040 2,4164 2,2096 2,3224 2,7884 3,6085 4,7127 5,9079 6,8960 7,4045 7,3321 6,7743 5,9329 5,0208 4,2121 3,6034 3,1847 2,8760 2,6124 2,3836 2,2250 2,2320 2,5683 3,3872 4,6918 6,2779 7,8439 9,1580 10,1202 10,7271 11,0412 11,1761 11,2633 11,4051 11,6312 11,8796 12,0371 12,0235 11,8540 11,6379 11,5140 11,5647 11,7779 12,0652 12,3005 12,3766 12,2622 12,0054 11,6878 11,3988 11,2402 11,2937 11,5627 11,9871 12,5259 13,1770 13,9093 14,6171 15,1299 15,2580 14,8739 13,9796 12,6959 11,2120 9,7658 8,6513 8,1750 8,5372 9,7407 11,5990 13,7873 15,9068 17,5676 18,4692 18,4749 17,6652 16,3175 14,8009 13,4458 12,4663 11,9556 11,9098 12,2553 12,8958 13,7507 14,7402 15,7633 16,7415 17,6877 18,6667 19,6342 20,3370 20,4202 19,6691 18,1666 16,2498 14,3374 12,7728 11,7494 11,2862 11,2183 11,2659 11,2063 10,9962 10,7397 10,5890 10,6837 11,1345 12,0077 13,2611 14,6535 15,7573 16,1382 15,5743 14,1387 12,1341 9,9843 8,1072 6,7783 6,0666 5,8862 6,0924 6,5423 7,0975 7,6149 7,9783 8,1429 8,1295 7,9715 7,6737 7,2130 6,5604 5,6971 4,6287 3,4040 2,1123 0,8334 -0,3889 -1,4992 -2,3938 -2,9670 -3,1776 -3,0600 -2,6835 -2,1173 -1,4447 -0,7996 -0,3424 -0,1638 -0,2069 -0,2873 -0,1984 0,1751 0,8042 1,5380 2,1809 2,5954 2,7809 2,8760 3,0827 3,5630 4,3716 5,4547 6,6943 7,9520 9,0933 10,0062 10,6350 11,0153 11,2302 11,2888 11,0757 10,4607 9,4666 8,3402 7,4635 7,1564 7,5080 8,3524 9,3778 10,2866 10,9197 11,2836 11,4791 11,5854 11,5718 11,3075 10,6836 9,7423 8,6883 7,7943 7,2995 7,3499 7,9613 8,9993 10,2140 11,3511 12,2795 13,0330 13,7150 14,3398 14,7689 14,8101 14,3665 13,4885 12,2984 10,8840 9,2764 7,5083 5,6824 3,9973 2,7179 2,1063 2,3448 3,4545 5,2379 7,3113 9,2270 10,6020 11,2140 11,0307 10,1641 8,8152 7,2520 5,7647 4,5779 3,7911 3,3907 3,3084 3,4881 3,9278 4,6651 5,6941 6,8806 7,9821 8,7750 9,1492 9,0902 8,6359 7,8807 6,9906 6,1732 5,6105 5,3927 5,4787 5,6985
Fz    -0,4238 0,1317 0,4777 0,5755 0,4165 0,0501 -0,4191 -0,8710 -1,2182 -1,4345 -1,5487 -1,6086 -1,6427 -1,6531 -1,6366 -1,5975 -1,5379 -1,4508 -1,3343 -1,2020 -1,0705 -0,9383 -0,7749 -0,5288 -0,1560 0,3519 0,9589 1,5881 2,1381 2,5133 2,6529 2,5374 2,1852 1,6582 1,0585 0,5012 0,0806 -0,1529 -0,2031 -0,1234 0,0083 0,1308 0,2283 0,3199 0,4200 0,5129 0,5636 0,5505 0,4891 0,4276 0,4229 0,5156 0,7118 0,9783 1,2590 1,5026 1,6844 1,8129 1,9176 2,0173 2,0954 2,1139 2,0612 1,9742 1,9024 1,8497 1,7641 1,5901 1,3253 1,0182 0,7146 0,4224 0,1277 -0,1713 -0,4502 -0,6664 -0,7714 -0,7283 -0,5378 -0,2479 0,0755 0,3853 0,6584 0,8765 1,0048 0,9827 0,7373 0,2246 -0,5294 -1,4240 -2,3232 -3,1113 -3,7247 -4,1463 -4,3803 -4,4366 -4,3337 -4,1147 -3,8486 -3,6105 -3,4606 -3,4395 -3,5763 -3,8943 -4,4069 -5,1049 -5,9358 -6,7907 -7,5361 -8,0828 -8,4276 -8,6263 -8,7337 -8,7713 -8,7441 -8,6745 -8,6011 -8,5495 -8,5202 -8,5062 -8,4991 -8,4777 -8,4052 -8,2420 -7,9599 -7,5476 -7,0099 -6,3683 -5,6642 -4,9557 -4,3026 -3,7495 -3,3139 -2,9820 -2,7090 -2,4336 -2,1049 -1,7017 -1,2282 -0,7051 -0,1699 0,3205 0,6996 0,9131 0,9438 0,8295 0,6579 0,5269 0,4922 0,5453 0,6335 0,6995 0,7051 0,6408 0,5350 0,4557 0,4839 0,6708 1,0194 1,5078 2,1205 2,8466 3,6525 4,4703 5,2194 5,8452 6,3381 6,7277 7,0588 7,3579 7,6064 7,7471 7,7268 7,5420 7,2508 6,9444 6,7033 6,5604 6,4874 6,4162 6,2886 6,0919 5,8547 5,6181 5,4072 5,2215 5,0573 4,9387 4,9166 5,0276 5,2563 5,5329 5,7592 5,8364 5,6841 5,2644 4,6048 3,8006 2,9838 2,2765 1,7517 1,4226 1,2594 1,2172 1,2562 1,3469 1,4651 1,5848 1,6828 1,7492 1,7861 1,7903 1,7348 1,5662 1,2361 0,7534 0,2005 -0,3060 -0,6738 -0,8698 -0,9153 -0,8465 -0,6780 -0,4062 -0,0434 0,3646 0,7577 1,0956 1,3767 1,6279 1,8722 2,1015 2,2807 2,3781 2,3834 2,2844 2,0415 1,6145 1,0220 0,3597 -0,2436 -0,6922 -0,9553 -1,0491 -1,0032 -0,8533 -0,6549 -0,4894 -0,4442 -0,5755 -0,8848 -1,3310 -1,8636 -2,4479 -3,0614 -3,6679 -4,2038 -4,5928 -4,7794 -4,7545 -4,5558 -4,2405 -3,8614 -3,4629 -3,0850 -2,7622 -2,5180 -2,3622 -2,2975 -2,3278 -2,4492 -2,6248 -2,7726 -2,7991 -2,6533 -2,3466 -1,9326 -1,4775 -1,0299 -0,5984 -0,1688 0,2520 0,6229 0,9019 1,0863 1,2217 1,3793 1,6151 1,9346 2,2917 2,6223 2,8772 3,0298 3,0742 3,0268 2,9227 2,8022 2,6973 2,6296 2,6192 2,6856 2,8309 3,0205 3,1921 3,2900 3,2942 3,2198 3,1003 2,9768 2,8990 2,9248 3,1018 3,4442 3,9230 4,4715 5,0052 5,4563 5,8036 6,0753 6,3247 6,6000 6,9241 7,2955 7,7044 8,1347 8,5521 8,9129 9,1842 9,3465 9,3880 9,3014 9,0869 8,7650 8,3840 8,0031 7,6710 7,4237 7,2876 7,2715 7,3592 7,5099 7,6693 7,7911 7,8539 7,8573 7,8073 7,7071 7,5599 7,3715 7,1513 6,9178 6,6964 6,5027 6,3279 6,1446 5,9291 5,6826 5,4365 5,2440 5,1600 5,2100 5,3682 5,5693 5,7476 5,8701 5,9392 5,9770 6,0026 6,0182 6,0121 5,9684 5,8723 5,7101 5,4705 5,1586 4,8240 4,5606 4,4546 4,5211 4,6980 4,9026 5,0883 5,2446 5,3716 5,4752 5,5713 5,6806 5,8108 5,9411 6,0262 6,0174 5,8842 5,6321 5,3144 5,0156 4,8059 4,7078 4,6976 4,7275 4,7511 4,7457 4,7178 4,6902 4,6847 4,7169 4,7948 4,9128 5,0517 5,1895 5,3029 5,3610 5,3304 5,1891 4,9353 4,5904 4,1988 3,8183 3,5023 3,2892 3,2047 3,2612 3,4464 3,7223 4,0374 4,3391 4,5782 4,7095 4,6959 4,5230 4,2124 3,8250 3,4539 3,1964 3,1097 3,1875 3,3748 3,6012 3,8068 3,9523 4,0155 3,9904 3,8927 3,7629 3,6526 3,5903 3,5489 3,4545 3,2373 2,8817 2,4342 1,9752 1,5875 1,3376 1,2558 1,3126 1,4288 1,5299 1,5905 1,6238 1,6467 1,6652 1,6881 1,7371 1,8276 1,9346 1,9878 1,9120 1,6818 1,3379 0,9577 0,6183 0,3718 0,2299 0,1652 0,1336 0,0988 0,0468 -0,0181 -0,0877 -0,1562 -0,2156 -0,2561 -0,2805 -0,3125 -0,3889 -0,5474 -0,8229 -1,2408 -1,7995 -2,4649 -3,1960 -3,9683 -4,7659 -5,5590 -6,3028 -6,9483 -7,4506 -7,7777 -7,9268 -7,9418 -7,9084 -7,9144 -7,9904 -8,0790 -8,0693 -7,8743 -7,4797 -6,9337 -6,3123 -5,6967 -5,1525 -4,7072 -4,3465 -4,0320 -3,7177 -3,3564 -2,9086 -2,3523 -1,6929 -0,9746 -0,2799 0,3030 0,7281 1,0013 1,1412 1,1491 1,0214 0,7753 0,4609 0,1560 -0,0581 -0,1362 -0,0963 -0,0093 0,0528 0,0680 0,0726 0,1273 0,2743 0,5084 0,7776 1,0142 1,1825 1,3060 1,4501 1,6754 2,0026 2,4028 2,8068 3,1259 3,2836 3,2534 3,0749 2,8299 2,5872 2,3593 2,1103 1,8100 1,4766 1,1598 0,8925 0,6700 0,4692 0,2783 0,1101 -0,0004 -0,0117 0,1023 0,3304 0,6197 0,8946 1,0965 1,2075 1,2310 1,1567 0,9581 0,6300 0,2234 -0,1647 -0,4438 -0,5858 -0,6330 -0,6537 -0,6911 -0,7443 -0,7878 -0,8018 -0,7899 -0,7686 -0,7472 -0,7295 -0,7295 -0,7645 -0,8297 -0,8910 -0,9063 -0,8576 -0,7667 -0,6869 -0,6872
F3    -1,0840 -0,8303 -0,7451 -0,7600 -0,8167 -0,8827 -0,9488 -1,0129 -1,0528 -1,0197 -0,8787 -0,6551 -0,4196 -0,2350 -0,1329 -0,1272 -0,2251 -0,4285 -0,7310 -1,1089 -1,5034 -1,8157 -1,9242 -1,7201 -1,1494 -0,2463 0,8571 1,9545 2,8200 3,2819 3,2727 2,8209 2,0180 1,0082 -0,0145 -0,8460 -1,3327 -1,4146 -1,1366 -0,6245 -0,0322 0,5219 0,9850 1,3417 1,5670 1,6199 1,4774 1,1673 0,7677 0,3737 0,0623 -0,1182 -0,1420 -0,0080 0,2589 0,6125 1,0027 1,3992 1,7876 2,1336 2,3688 2,4291 2,3101 2,0797 1,8290 1,6089 1,4128 1,2192 1,0381 0,8961 0,7721 0,5793 0,2381 -0,2478 -0,7993 -1,3191 -1,7113 -1,8844 -1,7952 -1,4907 -1,0746 -0,6317 -0,1907 0,2453 0,6392 0,8917 0,8760 0,5076 -0,2082 -1,1775 -2,2535 -3,2850 -4,1540 -4,7844 -5,1251 -5,1454 -4,8618 -4,3633 -3,7981 -3,3202 -3,0368 -2,9894 -3,1728 -3,5664 -4,1544 -4,9188 -5,8069 -6,7066 -7,4734 -8,0017 -8,2826 -8,3962 -8,4420 -8,4714 -8,4880 -8,4871 -8,4708 -8,4252 -8,3175 -8,1328 -7,8959 -7,6475 -7,4145 -7,1962 -6,9685 -6,7000 -6,3607 -5,9266 -5,3914 -4,7794 -4,1453 -3,5553 -3,0588 -2,6634 -2,3154 -1,9093 -1,3426 -0,5850 0,2972 1,1727 1,8984 2,3483 2,4319 2,1244 1,4928 0,6936 -0,0614 -0,5697 -0,7163 -0,5226 -0,1200 0,3296 0,7040 0,9469 1,0647 1,1058 1,1298 1,1835 1,2946 1,4793 1,7553 2,1450 2,6598 3,2833 3,9594 4,5989 5,1161 5,4793 5,7335 5,9644 6,2268 6,4941 6,6812 6,7258 6,6477 6,5340 6,4765 6,5137 6,6048 6,6538 6,5777 6,3535 6,0079 5,5828 5,1058 4,5836 4,0358 3,5376 3,2105 3,1575 3,4051 3,8935 4,4939 5,0234 5,2790 5,1179 4,5375 3,6871 2,7987 2,0792 1,6310 1,4443 1,4504 1,5760 1,7658 1,9792 2,1799 2,3248 2,3737 2,3176 2,1910 2,0422 1,8859 1,6837 1,3805 0,9684 0,5089 0,0939 -0,2155 -0,4248 -0,5944 -0,7861 -1,0096 -1,2141 -1,3252 -1,2852 -1,0688 -0,6797 -0,1447 0,4893 1,1588 1,7896 2,3039 2,6354 2,7435 2,6032 2,1908 1,5126 0,6494 -0,2499 -1,0379 -1,6437 -2,0860 -2,4106 -2,6251 -2,7046 -2,6385 -2,4595 -2,2356 -2,0430 -1,9347 -1,9214 -1,9823 -2,0953 -2,2529 -2,4544 -2,6984 -2,9860 -3,3204 -3,6978 -4,0898 -4,4311 -4,6375 -4,6477 -4,4505 -4,0824 -3,6078 -3,0975 -2,6209 -2,2487 -2,0424 -2,0171 -2,1074 -2,1844 -2,1188 -1,8387 -1,3537 -0,7459 -0,1258 0,4212 0,8460 1,1136 1,1961 1,0900 0,8405 0,5516 0,3642 0,3968 0,6777 1,1224 1,5836 1,9298 2,0947 2,0917 1,9996 1,9183 1,9170 2,0128 2,1845 2,4002 2,6408 2,8987 3,1537 3,3577 3,4573 3,4303 3,2902 3,0605 2,7627 2,4338 2,1428 1,9785 2,0196 2,3049 2,8147 3,4767 4,1895 4,8547 5,4076 5,8342 6,1593 6,4148 6,6183 6,7826 6,9221 7,0442 7,1520 7,2477 7,3192 7,3432 7,2974 7,1543 6,8844 6,4906 6,0257 5,5749 5,2382 5,1158 5,2737 5,7094 6,3449 7,0453 7,6510 8,0217 8,0785 7,8220 7,3206 6,6822 6,0223 5,4386 5,0028 4,7564 4,6961 4,7628 4,8595 4,8982 4,8386 4,6975 4,5429 4,4661 4,5260 4,6975 4,8784 4,9517 4,8486 4,5734 4,1920 3,8006 3,4917 3,3284 3,3221 3,4249 3,5522 3,6196 3,5838 3,4748 3,3916 3,4402 3,6580 3,9887 4,3334 4,6195 4,8137 4,8959 4,8624 4,7492 4,6301 4,5711 4,5788 4,5937 4,5325 4,3425 4,0368 3,6961 3,4303 3,3207 3,3909 3,6141 3,9241 4,2243 4,4202 4,4645 4,3734 4,2035 4,0210 3,8817 3,8268 3,8904 4,0937 4,4123 4,7524 4,9748 4,9587 4,6608 4,1359 3,5132 2,9479 2,5709 2,4533 2,5941 2,9321 3,3712 3,8172 4,2102 4,5235 4,7302 4,7776 4,6004 4,1700 3,5371 2,8315 2,2197 1,8430 1,7770 2,0283 2,5381 3,1846 3,8182 4,3128 4,6004 4,6834 4,6315 4,5559 4,5631 4,6962 4,8927 5,0028 4,8771 4,4526 3,7722 2,9499 2,1297 1,4504 1,0035 0,7989 0,7729 0,8419 0,9504 1,0728 1,1916 1,2898 1,3669 1,4528 1,5890 1,7807 1,9659 2,0391 1,9149 1,5738 1,0655 0,4908 -0,0335 -0,4236 -0,6597 -0,7708 -0,7957 -0,7554 -0,6608 -0,5338 -0,4036 -0,2883 -0,1987 -0,1528 -0,1701 -0,2587 -0,4276 -0,7035 -1,1205 -1,6938 -2,4102 -3,2412 -4,1562 -5,1157 -6,0646 -6,9365 -7,6568 -8,1504 -8,3696 -8,3284 -8,1118 -7,8592 -7,7168 -7,7580 -7,9245 -8,0583 -8,0054 -7,6951 -7,1447 -6,4185 -5,5935 -4,7486 -3,9565 -3,2699 -2,7135 -2,2793 -1,9280 -1,6094 -1,2834 -0,9223 -0,5114 -0,0592 0,4031 0,8477 1,2560 1,5886 1,7698 1,7138 1,3725 0,7887 0,1111 -0,4698 -0,8306 -0,9705 -0,9758 -0,9328 -0,8609 -0,7153 -0,4409 -0,0285 0,4640 0,9359 1,2963 1,5026 1,5680 1,5498 1,5321 1,5983 1,7964 2,1119 2,4656 2,7487 2,8839 2,8627 2,7305 2,5411 2,3228 2,0779 1,8097 1,5509 1,3519 1,2371 1,1834 1,1365 1,0476 0,9020 0,7222 0,5491 0,4192 0,3448 0,3013 0,2446 0,1612 0,0984 0,1309 0,2860 0,4949 0,6241 0,5607 0,2772 -0,1661 -0,6670 -1,1309 -1,4927 -1,7136 -1,7683 -1,6411 -1,3411 -0,9153 -0,4429 -0,0218 0,2511 0,3156 0,1910 -0,0212 -0,1957 -0,2552 -0,2007 -0,0961 -0,0299 -0,0859
F7    -1,5078 -0,8945 -0,3985 -0,0847 0,0166 -0,0618 -0,2375 -0,4232 -0,5662 -0,6615 -0,7368 -0,8197 -0,9080 -0,9707 -0,9757 -0,9083 -0,7732 -0,5911 -0,3950 -0,2170 -0,0707 0,0550 0,1903 0,3685 0,6057 0,8883 1,1773 1,4187 1,5579 1,5606 1,4184 1,1326 0,7100 0,1876 -0,3477 -0,7788 -1,0107 -1,0124 -0,8204 -0,5101 -0,1674 0,1363 0,3684 0,5395 0,6747 0,7791 0,8354 0,8270 0,7569 0,6446 0,5156 0,3983 0,3167 0,2770 0,2718 0,2974 0,3606 0,4684 0,6098 0,7514 0,8506 0,8772 0,8368 0,7745 0,7381 0,7331 0,7214 0,6564 0,5123 0,2882 -0,0043 -0,3451 -0,6973 -1,0098 -1,2369 -1,3503 -1,3325 -1,1750 -0,8945 -0,5382 -0,1630 0,1846 0,4652 0,6356 0,6495 0,4740 0,1071 -0,4159 -1,0234 -1,6158 -2,0951 -2,4014 -2,5233 -2,4820 -2,3084 -2,0310 -1,6788 -1,2931 -0,9331 -0,6611 -0,5250 -0,5506 -0,7414 -1,0828 -1,5543 -2,1407 -2,8195 -3,5330 -4,1962 -4,7458 -5,1637 -5,4518 -5,6052 -5,6179 -5,5070 -5,3240 -5,1313 -4,9654 -4,8313 -4,7237 -4,6400 -4,5756 -4,5103 -4,3966 -4,1716 -3,7920 -3,2595 -2,6105 -1,8930 -1,1558 -0,4508 0,1667 0,6515 0,9896 1,2130 1,3899 1,5865 1,8308 2,1083 2,3807 2,6030 2,7348 2,7502 2,6456 2,4464 2,2121 2,0184 1,9173 1,9062 1,9341 1,9443 1,9203 1,8928 1,9061 1,9946 2,1850 2,4895 2,8890 3,3399 3,8032 4,2652 4,7357 5,2284 5,7404 6,2495 6,7284 7,1619 7,5537 7,9135 8,2261 8,4325 8,4564 8,2544 7,8441 7,2982 6,7200 6,2119 5,8398 5,6087 5,4766 5,3961 5,3439 5,3216 5,3380 5,3888 5,4504 5,4953 5,5147 5,5279 5,5626 5,6254 5,6895 5,7083 5,6333 5,4338 5,1160 4,7316 4,3636 4,0960 3,9720 3,9700 4,0204 4,0538 4,0377 3,9771 3,8904 3,7889 3,6661 3,5025 3,2854 3,0260 2,7602 2,5234 2,3190 2,1198 1,9044 1,6814 1,4779 1,3133 1,1780 1,0297 0,8192 0,5358 0,2326 -0,0036 -0,1080 -0,0734 0,0475 0,1680 0,2125 0,1495 -0,0137 -0,2546 -0,5411 -0,8280 -1,0711 -1,2557 -1,3982 -1,5168 -1,6105 -1,6696 -1,6976 -1,7086 -1,7012 -1,6566 -1,5653 -1,4470 -1,3430 -1,2948 -1,3274 -1,4458 -1,6419 -1,9056 -2,2303 -2,6049 -2,9960 -3,3469 -3,6030 -3,7385 -3,7613 -3,6946 -3,5582 -3,3662 -3,1383 -2,9065 -2,7084 -2,5749 -2,5278 -2,5816 -2,7374 -2,9672 -3,1993 -3,3277 -3,2578 -2,9600 -2,4863 -1,9430 -1,4424 -1,0519 -0,7723 -0,5698 -0,4279 -0,3599 -0,3756 -0,4482 -0,5126 -0,4943 -0,3513 -0,1054 0,1694 0,3945 0,5228 0,5427 0,4683 0,3332 0,1833 0,0653 0,0136 0,0397 0,1351 0,2875 0,4898 0,7339 0,9950 1,2284 1,3849 1,4358 1,3851 1,2678 1,1436 1,0800 1,1206 1,2623 1,4644 1,6712 1,8325 1,9232 1,9550 1,9605 1,9687 1,9987 2,0624 2,1664 2,3131 2,4967 2,6986 2,8949 3,0625 3,1789 3,2294 3,2170 3,1648 3,1080 3,0715 3,0488 3,0093 2,9278 2,8059 2,6683 2,5460 2,4626 2,4268 2,4317 2,4656 2,5174 2,5743 2,6186 2,6296 2,5850 2,4709 2,2976 2,0976 1,8998 1,7029 1,4770 1,1916 0,8446 0,4704 0,1227 -0,1494 -0,3173 -0,3776 -0,3518 -0,2781 -0,1921 -0,1114 -0,0390 0,0182 0,0441 0,0309 -0,0135 -0,0819 -0,1835 -0,3384 -0,5491 -0,7665 -0,8951 -0,8522 -0,6252 -0,2654 0,1591 0,5881 0,9649 1,2413 1,3966 1,4442 1,4217 1,3718 1,3223 1,2771 1,2201 1,1278 0,9955 0,8542 0,7408 0,6512 0,5466 0,4029 0,2375 0,0902 -0,0082 -0,0406 0,0109 0,1610 0,3964 0,6706 0,9293 1,1432 1,3108 1,4289 1,4708 1,4018 1,2039 0,8875 0,4953 0,0968 -0,2373 -0,4619 -0,5627 -0,5444 -0,4196 -0,2038 0,0870 0,4324 0,8004 1,1477 1,4287 1,6037 1,6447 1,5421 1,3138 1,0162 0,7363 0,5577 0,5268 0,6470 0,8904 1,2090 1,5457 1,8456 2,0672 2,1948 2,2489 2,2797 2,3309 2,3975 2,4280 2,3741 2,2272 2,0121 1,7606 1,4938 1,2243 0,9620 0,7103 0,4658 0,2320 0,0337 -0,0914 -0,1136 -0,0314 0,1288 0,3359 0,5719 0,8136 1,0092 1,0988 1,0647 0,9424 0,7855 0,6404 0,5387 0,4808 0,4302 0,3419 0,1981 0,0147 -0,1835 -0,3876 -0,6016 -0,8244 -1,0441 -1,2523 -1,4555 -1,6672 -1,8991 -2,1658 -2,4819 -2,8476 -3,2461 -3,6608 -4,0880 -4,5332 -4,9954 -5,4560 -5,8792 -6,2220 -6,4539 -6,5739 -6,6091 -6,5958 -6,5610 -6,5042 -6,3864 -6,1493 -5,7586 -5,2284 -4,6081 -3,9665 -3,3764 -2,8870 -2,5027 -2,1967 -1,9385 -1,6990 -1,4414 -1,1268 -0,7358 -0,2806 0,2006 0,6556 1,0294 1,2790 1,3813 1,3233 1,1015 0,7419 0,3138 -0,0849 -0,3592 -0,4477 -0,3445 -0,1014 0,1966 0,4771 0,7134 0,9178 1,1108 1,2999 1,4764 1,6205 1,7146 1,7624 1,7937 1,8464 1,9463 2,1029 2,3104 2,5463 2,7772 2,9741 3,1274 3,2470 3,3416 3,3933 3,3553 3,1802 2,8575 2,4279 1,9574 1,5002 1,0896 0,7515 0,5096 0,3800 0,3687 0,4674 0,6474 0,8608 1,0540 1,1861 1,2375 1,2063 1,1008 0,9299 0,6963 0,4035 0,0764 -0,2304 -0,4555 -0,5639 -0,5655 -0,5061 -0,4363 -0,3828 -0,3437 -0,2985 -0,2236 -0,1103 0,0229 0,1341 0,1754 0,1186 -0,0317 -0,2487 -0,4994 -0,7527 -0,9880 -1,2035 -1,4084
